date,MVP_unscaled,MVP_monthly,isPartial,scale,MVP
2016-06-14,20,52.0,,0.52,10.4
2016-06-15,17,52.0,,0.52,8.84
2016-06-16,14,52.0,,0.52,7.28
2016-06-17,28,52.0,,0.52,14.56
2016-06-18,16,52.0,,0.52,8.32
2016-06-19,19,52.0,,0.52,9.88
2016-06-20,100,52.0,,0.52,52.0
2016-06-21,27,52.0,,0.52,14.040000000000001
2016-06-22,19,52.0,,0.52,9.88
2016-06-23,20,52.0,,0.52,10.4
2016-06-24,16,52.0,,0.52,8.32
2016-06-25,15,52.0,,0.52,7.800000000000001
2016-06-26,14,52.0,,0.52,7.28
2016-06-27,13,52.0,,0.52,6.76
2016-06-28,12,52.0,,0.52,6.24
2016-06-29,12,52.0,,0.52,6.24
2016-06-30,13,52.0,,0.52,6.76
2016-07-01,41,34.0,False,0.34,13.940000000000001
2016-07-02,39,34.0,,0.34,13.260000000000002
2016-07-03,40,34.0,,0.34,13.600000000000001
2016-07-04,54,34.0,,0.34,18.360000000000003
2016-07-05,54,34.0,,0.34,18.360000000000003
2016-07-06,41,34.0,,0.34,13.940000000000001
2016-07-07,37,34.0,,0.34,12.58
2016-07-08,40,34.0,,0.34,13.600000000000001
2016-07-09,37,34.0,,0.34,12.58
2016-07-10,38,34.0,,0.34,12.920000000000002
2016-07-11,44,34.0,,0.34,14.96
2016-07-12,48,34.0,,0.34,16.32
2016-07-13,100,34.0,,0.34,34.0
2016-07-14,51,34.0,,0.34,17.34
2016-07-15,42,34.0,,0.34,14.280000000000001
2016-07-16,39,34.0,,0.34,13.260000000000002
2016-07-17,43,34.0,,0.34,14.620000000000001
2016-07-18,48,34.0,,0.34,16.32
2016-07-19,39,34.0,,0.34,13.260000000000002
2016-07-20,43,34.0,,0.34,14.620000000000001
2016-07-21,36,34.0,,0.34,12.24
2016-07-22,39,34.0,,0.34,13.260000000000002
2016-07-23,35,34.0,,0.34,11.9
2016-07-24,33,34.0,,0.34,11.22
2016-07-25,36,34.0,,0.34,12.24
2016-07-26,36,34.0,,0.34,12.24
2016-07-27,43,34.0,,0.34,14.620000000000001
2016-07-28,36,34.0,,0.34,12.24
2016-07-29,35,34.0,,0.34,11.9
2016-07-30,44,34.0,,0.34,14.96
2016-07-31,40,34.0,,0.34,13.600000000000001
2016-08-01,77,29.0,False,0.29,22.33
2016-08-02,82,29.0,,0.29,23.779999999999998
2016-08-03,76,29.0,,0.29,22.04
2016-08-04,92,29.0,,0.29,26.68
2016-08-05,98,29.0,,0.29,28.419999999999998
2016-08-06,79,29.0,,0.29,22.91
2016-08-07,76,29.0,,0.29,22.04
2016-08-08,87,29.0,,0.29,25.229999999999997
2016-08-09,97,29.0,,0.29,28.13
2016-08-10,83,29.0,,0.29,24.069999999999997
2016-08-11,84,29.0,,0.29,24.36
2016-08-12,92,29.0,,0.29,26.68
2016-08-13,75,29.0,,0.29,21.75
2016-08-14,77,29.0,,0.29,22.33
2016-08-15,83,29.0,,0.29,24.069999999999997
2016-08-16,79,29.0,,0.29,22.91
2016-08-17,100,29.0,,0.29,28.999999999999996
2016-08-18,80,29.0,,0.29,23.2
2016-08-19,82,29.0,,0.29,23.779999999999998
2016-08-20,81,29.0,,0.29,23.49
2016-08-21,86,29.0,,0.29,24.939999999999998
2016-08-22,89,29.0,,0.29,25.81
2016-08-23,87,29.0,,0.29,25.229999999999997
2016-08-24,96,29.0,,0.29,27.839999999999996
2016-08-25,92,29.0,,0.29,26.68
2016-08-26,81,29.0,,0.29,23.49
2016-08-27,68,29.0,,0.29,19.72
2016-08-28,86,29.0,,0.29,24.939999999999998
2016-08-29,79,29.0,,0.29,22.91
2016-08-30,88,29.0,,0.29,25.52
2016-08-31,97,29.0,,0.29,28.13
2016-09-01,68,28.0,False,0.28,19.040000000000003
2016-09-02,65,28.0,,0.28,18.200000000000003
2016-09-03,62,28.0,,0.28,17.360000000000003
2016-09-04,69,28.0,,0.28,19.32
2016-09-05,61,28.0,,0.28,17.080000000000002
2016-09-06,73,28.0,,0.28,20.44
2016-09-07,72,28.0,,0.28,20.160000000000004
2016-09-08,67,28.0,,0.28,18.76
2016-09-09,100,28.0,,0.28,28.000000000000004
2016-09-10,68,28.0,,0.28,19.040000000000003
2016-09-11,56,28.0,,0.28,15.680000000000001
2016-09-12,62,28.0,,0.28,17.360000000000003
2016-09-13,78,28.0,,0.28,21.840000000000003
2016-09-14,66,28.0,,0.28,18.48
2016-09-15,67,28.0,,0.28,18.76
2016-09-16,60,28.0,,0.28,16.8
2016-09-17,62,28.0,,0.28,17.360000000000003
2016-09-18,71,28.0,,0.28,19.880000000000003
2016-09-19,67,28.0,,0.28,18.76
2016-09-20,69,28.0,,0.28,19.32
2016-09-21,89,28.0,,0.28,24.92
2016-09-22,75,28.0,,0.28,21.000000000000004
2016-09-23,70,28.0,,0.28,19.6
2016-09-24,68,28.0,,0.28,19.040000000000003
2016-09-25,72,28.0,,0.28,20.160000000000004
2016-09-26,71,28.0,,0.28,19.880000000000003
2016-09-27,68,28.0,,0.28,19.040000000000003
2016-09-28,90,28.0,,0.28,25.200000000000003
2016-09-29,78,28.0,,0.28,21.840000000000003
2016-09-30,72,28.0,,0.28,20.160000000000004
2016-10-01,63,32.0,False,0.32,20.16
2016-10-02,63,32.0,,0.32,20.16
2016-10-03,63,32.0,,0.32,20.16
2016-10-04,57,32.0,,0.32,18.240000000000002
2016-10-05,59,32.0,,0.32,18.88
2016-10-06,64,32.0,,0.32,20.48
2016-10-07,53,32.0,,0.32,16.96
2016-10-08,56,32.0,,0.32,17.92
2016-10-09,49,32.0,,0.32,15.68
2016-10-10,61,32.0,,0.32,19.52
2016-10-11,61,32.0,,0.32,19.52
2016-10-12,66,32.0,,0.32,21.12
2016-10-13,65,32.0,,0.32,20.8
2016-10-14,64,32.0,,0.32,20.48
2016-10-15,52,32.0,,0.32,16.64
2016-10-16,54,32.0,,0.32,17.28
2016-10-17,58,32.0,,0.32,18.56
2016-10-18,54,32.0,,0.32,17.28
2016-10-19,68,32.0,,0.32,21.76
2016-10-20,65,32.0,,0.32,20.8
2016-10-21,59,32.0,,0.32,18.88
2016-10-22,46,32.0,,0.32,14.72
2016-10-23,100,32.0,,0.32,32.0
2016-10-24,77,32.0,,0.32,24.64
2016-10-25,84,32.0,,0.32,26.88
2016-10-26,93,32.0,,0.32,29.76
2016-10-27,76,32.0,,0.32,24.32
2016-10-28,62,32.0,,0.32,19.84
2016-10-29,59,32.0,,0.32,18.88
2016-10-30,60,32.0,,0.32,19.2
2016-10-31,71,32.0,,0.32,22.72
2016-11-01,13,57.0,False,0.57,7.409999999999999
2016-11-02,16,57.0,,0.57,9.12
2016-11-03,100,57.0,,0.57,56.99999999999999
2016-11-04,35,57.0,,0.57,19.95
2016-11-05,19,57.0,,0.57,10.829999999999998
2016-11-06,16,57.0,,0.57,9.12
2016-11-07,17,57.0,,0.57,9.69
2016-11-08,17,57.0,,0.57,9.69
2016-11-09,10,57.0,,0.57,5.699999999999999
2016-11-10,14,57.0,,0.57,7.9799999999999995
2016-11-11,15,57.0,,0.57,8.549999999999999
2016-11-12,12,57.0,,0.57,6.84
2016-11-13,13,57.0,,0.57,7.409999999999999
2016-11-14,18,57.0,,0.57,10.26
2016-11-15,17,57.0,,0.57,9.69
2016-11-16,18,57.0,,0.57,10.26
2016-11-17,34,57.0,,0.57,19.38
2016-11-18,38,57.0,,0.57,21.659999999999997
2016-11-19,16,57.0,,0.57,9.12
2016-11-20,16,57.0,,0.57,9.12
2016-11-21,14,57.0,,0.57,7.9799999999999995
2016-11-22,14,57.0,,0.57,7.9799999999999995
2016-11-23,14,57.0,,0.57,7.9799999999999995
2016-11-24,13,57.0,,0.57,7.409999999999999
2016-11-25,12,57.0,,0.57,6.84
2016-11-26,11,57.0,,0.57,6.27
2016-11-27,12,57.0,,0.57,6.84
2016-11-28,14,57.0,,0.57,7.9799999999999995
2016-11-29,14,57.0,,0.57,7.9799999999999995
2016-11-30,14,57.0,,0.57,7.9799999999999995
2016-12-01,56,42.0,False,0.42,23.52
2016-12-02,59,42.0,,0.42,24.779999999999998
2016-12-03,66,42.0,,0.42,27.72
2016-12-04,67,42.0,,0.42,28.14
2016-12-05,65,42.0,,0.42,27.3
2016-12-06,61,42.0,,0.42,25.619999999999997
2016-12-07,64,42.0,,0.42,26.88
2016-12-08,59,42.0,,0.42,24.779999999999998
2016-12-09,65,42.0,,0.42,27.3
2016-12-10,48,42.0,,0.42,20.16
2016-12-11,62,42.0,,0.42,26.04
2016-12-12,72,42.0,,0.42,30.24
2016-12-13,70,42.0,,0.42,29.4
2016-12-14,56,42.0,,0.42,23.52
2016-12-15,49,42.0,,0.42,20.58
2016-12-16,52,42.0,,0.42,21.84
2016-12-17,45,42.0,,0.42,18.9
2016-12-18,56,42.0,,0.42,23.52
2016-12-19,68,42.0,,0.42,28.56
2016-12-20,67,42.0,,0.42,28.14
2016-12-21,67,42.0,,0.42,28.14
2016-12-22,69,42.0,,0.42,28.98
2016-12-23,62,42.0,,0.42,26.04
2016-12-24,71,42.0,,0.42,29.82
2016-12-25,100,42.0,,0.42,42.0
2016-12-26,79,42.0,,0.42,33.18
2016-12-27,91,42.0,,0.42,38.22
2016-12-28,88,42.0,,0.42,36.96
2016-12-29,78,42.0,,0.42,32.76
2016-12-30,63,42.0,,0.42,26.459999999999997
2016-12-31,75,42.0,,0.42,31.5
2017-01-01,62,60.0,False,0.6,37.199999999999996
2017-01-02,100,60.0,,0.6,60.0
2017-01-03,77,60.0,,0.6,46.199999999999996
2017-01-04,69,60.0,,0.6,41.4
2017-01-05,56,60.0,,0.6,33.6
2017-01-06,53,60.0,,0.6,31.799999999999997
2017-01-07,54,60.0,,0.6,32.4
2017-01-08,61,60.0,,0.6,36.6
2017-01-09,49,60.0,,0.6,29.4
2017-01-10,50,60.0,,0.6,30.0
2017-01-11,40,60.0,,0.6,24.0
2017-01-12,37,60.0,,0.6,22.2
2017-01-13,37,60.0,,0.6,22.2
2017-01-14,61,60.0,,0.6,36.6
2017-01-15,52,60.0,,0.6,31.2
2017-01-16,47,60.0,,0.6,28.2
2017-01-17,41,60.0,,0.6,24.599999999999998
2017-01-18,44,60.0,,0.6,26.4
2017-01-19,55,60.0,,0.6,33.0
2017-01-20,67,60.0,,0.6,40.199999999999996
2017-01-21,47,60.0,,0.6,28.2
2017-01-22,66,60.0,,0.6,39.6
2017-01-23,54,60.0,,0.6,32.4
2017-01-24,37,60.0,,0.6,22.2
2017-01-25,36,60.0,,0.6,21.599999999999998
2017-01-26,37,60.0,,0.6,22.2
2017-01-27,35,60.0,,0.6,21.0
2017-01-28,34,60.0,,0.6,20.4
2017-01-29,44,60.0,,0.6,26.4
2017-01-30,82,60.0,,0.6,49.199999999999996
2017-01-31,46,60.0,,0.6,27.599999999999998
2017-02-01,5,87.0,False,0.87,4.35
2017-02-02,5,87.0,,0.87,4.35
2017-02-03,6,87.0,,0.87,5.22
2017-02-04,8,87.0,,0.87,6.96
2017-02-05,40,87.0,,0.87,34.8
2017-02-06,100,87.0,,0.87,87.0
2017-02-07,12,87.0,,0.87,10.44
2017-02-08,6,87.0,,0.87,5.22
2017-02-09,5,87.0,,0.87,4.35
2017-02-10,5,87.0,,0.87,4.35
2017-02-11,4,87.0,,0.87,3.48
2017-02-12,6,87.0,,0.87,5.22
2017-02-13,4,87.0,,0.87,3.48
2017-02-14,4,87.0,,0.87,3.48
2017-02-15,4,87.0,,0.87,3.48
2017-02-16,4,87.0,,0.87,3.48
2017-02-17,4,87.0,,0.87,3.48
2017-02-18,6,87.0,,0.87,5.22
2017-02-19,5,87.0,,0.87,4.35
2017-02-20,18,87.0,,0.87,15.66
2017-02-21,5,87.0,,0.87,4.35
2017-02-22,4,87.0,,0.87,3.48
2017-02-23,4,87.0,,0.87,3.48
2017-02-24,4,87.0,,0.87,3.48
2017-02-25,4,87.0,,0.87,3.48
2017-02-26,3,87.0,,0.87,2.61
2017-02-27,4,87.0,,0.87,3.48
2017-02-28,4,87.0,,0.87,3.48
2017-03-01,54,41.0,False,0.41,22.139999999999997
2017-03-02,55,41.0,,0.41,22.549999999999997
2017-03-03,53,41.0,,0.41,21.73
2017-03-04,45,41.0,,0.41,18.45
2017-03-05,55,41.0,,0.41,22.549999999999997
2017-03-06,60,41.0,,0.41,24.599999999999998
2017-03-07,70,41.0,,0.41,28.7
2017-03-08,64,41.0,,0.41,26.24
2017-03-09,66,41.0,,0.41,27.06
2017-03-10,68,41.0,,0.41,27.88
2017-03-11,60,41.0,,0.41,24.599999999999998
2017-03-12,67,41.0,,0.41,27.47
2017-03-13,63,41.0,,0.41,25.83
2017-03-14,57,41.0,,0.41,23.369999999999997
2017-03-15,58,41.0,,0.41,23.779999999999998
2017-03-16,58,41.0,,0.41,23.779999999999998
2017-03-17,69,41.0,,0.41,28.29
2017-03-18,59,41.0,,0.41,24.189999999999998
2017-03-19,50,41.0,,0.41,20.5
2017-03-20,54,41.0,,0.41,22.139999999999997
2017-03-21,58,41.0,,0.41,23.779999999999998
2017-03-22,50,41.0,,0.41,20.5
2017-03-23,81,41.0,,0.41,33.21
2017-03-24,50,41.0,,0.41,20.5
2017-03-25,51,41.0,,0.41,20.91
2017-03-26,54,41.0,,0.41,22.139999999999997
2017-03-27,76,41.0,,0.41,31.159999999999997
2017-03-28,75,41.0,,0.41,30.749999999999996
2017-03-29,74,41.0,,0.41,30.34
2017-03-30,100,41.0,,0.41,41.0
2017-03-31,69,41.0,,0.41,28.29
2017-04-01,41,64.0,False,0.64,26.240000000000002
2017-04-02,38,64.0,,0.64,24.32
2017-04-03,41,64.0,,0.64,26.240000000000002
2017-04-04,45,64.0,,0.64,28.8
2017-04-05,43,64.0,,0.64,27.52
2017-04-06,41,64.0,,0.64,26.240000000000002
2017-04-07,34,64.0,,0.64,21.76
2017-04-08,35,64.0,,0.64,22.400000000000002
2017-04-09,40,64.0,,0.64,25.6
2017-04-10,71,64.0,,0.64,45.44
2017-04-11,50,64.0,,0.64,32.0
2017-04-12,47,64.0,,0.64,30.080000000000002
2017-04-13,100,64.0,,0.64,64.0
2017-04-14,76,64.0,,0.64,48.64
2017-04-15,86,64.0,,0.64,55.04
2017-04-16,85,64.0,,0.64,54.4
2017-04-17,76,64.0,,0.64,48.64
2017-04-18,49,64.0,,0.64,31.36
2017-04-19,42,64.0,,0.64,26.88
2017-04-20,46,64.0,,0.64,29.44
2017-04-21,38,64.0,,0.64,24.32
2017-04-22,47,64.0,,0.64,30.080000000000002
2017-04-23,46,64.0,,0.64,29.44
2017-04-24,36,64.0,,0.64,23.04
2017-04-25,30,64.0,,0.64,19.2
2017-04-26,57,64.0,,0.64,36.480000000000004
2017-04-27,37,64.0,,0.64,23.68
2017-04-28,33,64.0,,0.64,21.12
2017-04-29,29,64.0,,0.64,18.56
2017-04-30,33,64.0,,0.64,21.12
2017-05-01,34,49.0,False,0.49,16.66
2017-05-02,41,49.0,,0.49,20.09
2017-05-03,36,49.0,,0.49,17.64
2017-05-04,36,49.0,,0.49,17.64
2017-05-05,34,49.0,,0.49,16.66
2017-05-06,37,49.0,,0.49,18.13
2017-05-07,36,49.0,,0.49,17.64
2017-05-08,38,49.0,,0.49,18.62
2017-05-09,30,49.0,,0.49,14.7
2017-05-10,35,49.0,,0.49,17.15
2017-05-11,47,49.0,,0.49,23.03
2017-05-12,69,49.0,,0.49,33.81
2017-05-13,42,49.0,,0.49,20.58
2017-05-14,45,49.0,,0.49,22.05
2017-05-15,34,49.0,,0.49,16.66
2017-05-16,33,49.0,,0.49,16.169999999999998
2017-05-17,38,49.0,,0.49,18.62
2017-05-18,41,49.0,,0.49,20.09
2017-05-19,38,49.0,,0.49,18.62
2017-05-20,100,49.0,,0.49,49.0
2017-05-21,55,49.0,,0.49,26.95
2017-05-22,45,49.0,,0.49,22.05
2017-05-23,40,49.0,,0.49,19.6
2017-05-24,36,49.0,,0.49,17.64
2017-05-25,36,49.0,,0.49,17.64
2017-05-26,39,49.0,,0.49,19.11
2017-05-27,43,49.0,,0.49,21.07
2017-05-28,35,49.0,,0.49,17.15
2017-05-29,37,49.0,,0.49,18.13
2017-05-30,41,49.0,,0.49,20.09
2017-05-31,49,49.0,,0.49,24.009999999999998
2017-06-01,13,100.0,False,1.0,13.0
2017-06-02,20,100.0,,1.0,20.0
2017-06-03,11,100.0,,1.0,11.0
2017-06-04,10,100.0,,1.0,10.0
2017-06-05,19,100.0,,1.0,19.0
2017-06-06,11,100.0,,1.0,11.0
2017-06-07,9,100.0,,1.0,9.0
2017-06-08,21,100.0,,1.0,21.0
2017-06-09,12,100.0,,1.0,12.0
2017-06-10,16,100.0,,1.0,16.0
2017-06-11,12,100.0,,1.0,12.0
2017-06-12,13,100.0,,1.0,13.0
2017-06-13,95,100.0,,1.0,95.0
2017-06-14,28,100.0,,1.0,28.0
2017-06-15,19,100.0,,1.0,19.0
2017-06-16,16,100.0,,1.0,16.0
2017-06-17,15,100.0,,1.0,15.0
2017-06-18,15,100.0,,1.0,15.0
2017-06-19,17,100.0,,1.0,17.0
2017-06-20,15,100.0,,1.0,15.0
2017-06-21,14,100.0,,1.0,14.0
2017-06-22,16,100.0,,1.0,16.0
2017-06-23,19,100.0,,1.0,19.0
2017-06-24,17,100.0,,1.0,17.0
2017-06-25,23,100.0,,1.0,23.0
2017-06-26,33,100.0,,1.0,33.0
2017-06-27,100,100.0,,1.0,100.0
2017-06-28,17,100.0,,1.0,17.0
2017-06-29,11,100.0,,1.0,11.0
2017-06-30,9,100.0,,1.0,9.0
2017-07-01,58,34.0,False,0.34,19.720000000000002
2017-07-02,45,34.0,,0.34,15.3
2017-07-03,50,34.0,,0.34,17.0
2017-07-04,44,34.0,,0.34,14.96
2017-07-05,46,34.0,,0.34,15.64
2017-07-06,51,34.0,,0.34,17.34
2017-07-07,45,34.0,,0.34,15.3
2017-07-08,52,34.0,,0.34,17.68
2017-07-09,48,34.0,,0.34,16.32
2017-07-10,48,34.0,,0.34,16.32
2017-07-11,52,34.0,,0.34,17.68
2017-07-12,100,34.0,,0.34,34.0
2017-07-13,56,34.0,,0.34,19.040000000000003
2017-07-14,45,34.0,,0.34,15.3
2017-07-15,43,34.0,,0.34,14.620000000000001
2017-07-16,39,34.0,,0.34,13.260000000000002
2017-07-17,42,34.0,,0.34,14.280000000000001
2017-07-18,67,34.0,,0.34,22.78
2017-07-19,53,34.0,,0.34,18.02
2017-07-20,57,34.0,,0.34,19.380000000000003
2017-07-21,46,34.0,,0.34,15.64
2017-07-22,45,34.0,,0.34,15.3
2017-07-23,38,34.0,,0.34,12.920000000000002
2017-07-24,55,34.0,,0.34,18.700000000000003
2017-07-25,78,34.0,,0.34,26.520000000000003
2017-07-26,57,34.0,,0.34,19.380000000000003
2017-07-27,49,34.0,,0.34,16.66
2017-07-28,50,34.0,,0.34,17.0
2017-07-29,54,34.0,,0.34,18.360000000000003
2017-07-30,50,34.0,,0.34,17.0
2017-07-31,47,34.0,,0.34,15.98
2017-08-01,96,26.0,False,0.26,24.96
2017-08-02,80,26.0,,0.26,20.8
2017-08-03,88,26.0,,0.26,22.880000000000003
2017-08-04,90,26.0,,0.26,23.400000000000002
2017-08-05,67,26.0,,0.26,17.42
2017-08-06,73,26.0,,0.26,18.98
2017-08-07,95,26.0,,0.26,24.7
2017-08-08,100,26.0,,0.26,26.0
2017-08-09,89,26.0,,0.26,23.14
2017-08-10,83,26.0,,0.26,21.580000000000002
2017-08-11,84,26.0,,0.26,21.84
2017-08-12,90,26.0,,0.26,23.400000000000002
2017-08-13,87,26.0,,0.26,22.62
2017-08-14,79,26.0,,0.26,20.54
2017-08-15,77,26.0,,0.26,20.02
2017-08-16,80,26.0,,0.26,20.8
2017-08-17,86,26.0,,0.26,22.36
2017-08-18,91,26.0,,0.26,23.66
2017-08-19,81,26.0,,0.26,21.060000000000002
2017-08-20,69,26.0,,0.26,17.94
2017-08-21,66,26.0,,0.26,17.16
2017-08-22,72,26.0,,0.26,18.72
2017-08-23,90,26.0,,0.26,23.400000000000002
2017-08-24,82,26.0,,0.26,21.32
2017-08-25,70,26.0,,0.26,18.2
2017-08-26,70,26.0,,0.26,18.2
2017-08-27,72,26.0,,0.26,18.72
2017-08-28,73,26.0,,0.26,18.98
2017-08-29,70,26.0,,0.26,18.2
2017-08-30,75,26.0,,0.26,19.5
2017-08-31,80,26.0,,0.26,20.8
2017-09-01,67,26.0,False,0.26,17.42
2017-09-02,64,26.0,,0.26,16.64
2017-09-03,60,26.0,,0.26,15.600000000000001
2017-09-04,57,26.0,,0.26,14.82
2017-09-05,62,26.0,,0.26,16.12
2017-09-06,58,26.0,,0.26,15.08
2017-09-07,68,26.0,,0.26,17.68
2017-09-08,63,26.0,,0.26,16.38
2017-09-09,53,26.0,,0.26,13.780000000000001
2017-09-10,61,26.0,,0.26,15.860000000000001
2017-09-11,58,26.0,,0.26,15.08
2017-09-12,66,26.0,,0.26,17.16
2017-09-13,65,26.0,,0.26,16.900000000000002
2017-09-14,65,26.0,,0.26,16.900000000000002
2017-09-15,72,26.0,,0.26,18.72
2017-09-16,76,26.0,,0.26,19.76
2017-09-17,68,26.0,,0.26,17.68
2017-09-18,79,26.0,,0.26,20.54
2017-09-19,70,26.0,,0.26,18.2
2017-09-20,68,26.0,,0.26,17.68
2017-09-21,74,26.0,,0.26,19.240000000000002
2017-09-22,77,26.0,,0.26,20.02
2017-09-23,61,26.0,,0.26,15.860000000000001
2017-09-24,70,26.0,,0.26,18.2
2017-09-25,100,26.0,,0.26,26.0
2017-09-26,98,26.0,,0.26,25.48
2017-09-27,91,26.0,,0.26,23.66
2017-09-28,96,26.0,,0.26,24.96
2017-09-29,77,26.0,,0.26,20.02
2017-09-30,86,26.0,,0.26,22.36
2017-10-01,51,35.0,False,0.35,17.849999999999998
2017-10-02,45,35.0,,0.35,15.749999999999998
2017-10-03,50,35.0,,0.35,17.5
2017-10-04,57,35.0,,0.35,19.95
2017-10-05,53,35.0,,0.35,18.549999999999997
2017-10-06,51,35.0,,0.35,17.849999999999998
2017-10-07,43,35.0,,0.35,15.049999999999999
2017-10-08,41,35.0,,0.35,14.35
2017-10-09,51,35.0,,0.35,17.849999999999998
2017-10-10,45,35.0,,0.35,15.749999999999998
2017-10-11,39,35.0,,0.35,13.649999999999999
2017-10-12,43,35.0,,0.35,15.049999999999999
2017-10-13,53,35.0,,0.35,18.549999999999997
2017-10-14,56,35.0,,0.35,19.599999999999998
2017-10-15,41,35.0,,0.35,14.35
2017-10-16,41,35.0,,0.35,14.35
2017-10-17,56,35.0,,0.35,19.599999999999998
2017-10-18,59,35.0,,0.35,20.65
2017-10-19,48,35.0,,0.35,16.799999999999997
2017-10-20,68,35.0,,0.35,23.799999999999997
2017-10-21,47,35.0,,0.35,16.45
2017-10-22,100,35.0,,0.35,35.0
2017-10-23,64,35.0,,0.35,22.4
2017-10-24,66,35.0,,0.35,23.099999999999998
2017-10-25,58,35.0,,0.35,20.299999999999997
2017-10-26,56,35.0,,0.35,19.599999999999998
2017-10-27,43,35.0,,0.35,15.049999999999999
2017-10-28,46,35.0,,0.35,16.099999999999998
2017-10-29,45,35.0,,0.35,15.749999999999998
2017-10-30,63,35.0,,0.35,22.049999999999997
2017-10-31,53,35.0,,0.35,18.549999999999997
2017-11-01,22,53.0,False,0.53,11.66
2017-11-02,100,53.0,,0.53,53.0
2017-11-03,34,53.0,,0.53,18.02
2017-11-04,28,53.0,,0.53,14.84
2017-11-05,21,53.0,,0.53,11.13
2017-11-06,24,53.0,,0.53,12.72
2017-11-07,32,53.0,,0.53,16.96
2017-11-08,25,53.0,,0.53,13.25
2017-11-09,27,53.0,,0.53,14.31
2017-11-10,27,53.0,,0.53,14.31
2017-11-11,21,53.0,,0.53,11.13
2017-11-12,18,53.0,,0.53,9.540000000000001
2017-11-13,23,53.0,,0.53,12.190000000000001
2017-11-14,33,53.0,,0.53,17.490000000000002
2017-11-15,28,53.0,,0.53,14.84
2017-11-16,67,53.0,,0.53,35.510000000000005
2017-11-17,76,53.0,,0.53,40.28
2017-11-18,27,53.0,,0.53,14.31
2017-11-19,21,53.0,,0.53,11.13
2017-11-20,23,53.0,,0.53,12.190000000000001
2017-11-21,23,53.0,,0.53,12.190000000000001
2017-11-22,17,53.0,,0.53,9.01
2017-11-23,19,53.0,,0.53,10.07
2017-11-24,16,53.0,,0.53,8.48
2017-11-25,19,53.0,,0.53,10.07
2017-11-26,18,53.0,,0.53,9.540000000000001
2017-11-27,22,53.0,,0.53,11.66
2017-11-28,21,53.0,,0.53,11.13
2017-11-29,20,53.0,,0.53,10.600000000000001
2017-11-30,20,53.0,,0.53,10.600000000000001
2017-12-01,57,37.0,False,0.37,21.09
2017-12-02,46,37.0,,0.37,17.02
2017-12-03,55,37.0,,0.37,20.35
2017-12-04,80,37.0,,0.37,29.6
2017-12-05,59,37.0,,0.37,21.83
2017-12-06,58,37.0,,0.37,21.46
2017-12-07,68,37.0,,0.37,25.16
2017-12-08,56,37.0,,0.37,20.72
2017-12-09,58,37.0,,0.37,21.46
2017-12-10,60,37.0,,0.37,22.2
2017-12-11,93,37.0,,0.37,34.41
2017-12-12,78,37.0,,0.37,28.86
2017-12-13,61,37.0,,0.37,22.57
2017-12-14,66,37.0,,0.37,24.419999999999998
2017-12-15,64,37.0,,0.37,23.68
2017-12-16,58,37.0,,0.37,21.46
2017-12-17,65,37.0,,0.37,24.05
2017-12-18,76,37.0,,0.37,28.12
2017-12-19,67,37.0,,0.37,24.79
2017-12-20,73,37.0,,0.37,27.009999999999998
2017-12-21,62,37.0,,0.37,22.94
2017-12-22,85,37.0,,0.37,31.45
2017-12-23,54,37.0,,0.37,19.98
2017-12-24,69,37.0,,0.37,25.53
