date,AKA_unscaled,AKA_monthly,isPartial,scale,AKA
2016-08-24,75,65.0,,0.65,48.75
2016-08-25,86,65.0,,0.65,55.9
2016-08-26,65,65.0,,0.65,42.25
2016-08-27,85,65.0,,0.65,55.25
2016-08-28,64,65.0,,0.65,41.6
2016-08-29,86,65.0,,0.65,55.9
2016-08-30,68,65.0,,0.65,44.2
2016-08-31,92,65.0,,0.65,59.800000000000004
2016-09-01,80,70.0,False,0.7,56.0
2016-09-02,73,70.0,,0.7,51.099999999999994
2016-09-03,86,70.0,,0.7,60.199999999999996
2016-09-04,69,70.0,,0.7,48.3
2016-09-05,88,70.0,,0.7,61.599999999999994
2016-09-06,79,70.0,,0.7,55.3
2016-09-07,70,70.0,,0.7,49.0
2016-09-08,76,70.0,,0.7,53.199999999999996
2016-09-09,91,70.0,,0.7,63.699999999999996
2016-09-10,75,70.0,,0.7,52.5
2016-09-11,88,70.0,,0.7,61.599999999999994
2016-09-12,86,70.0,,0.7,60.199999999999996
2016-09-13,85,70.0,,0.7,59.49999999999999
2016-09-14,84,70.0,,0.7,58.8
2016-09-15,80,70.0,,0.7,56.0
2016-09-16,76,70.0,,0.7,53.199999999999996
2016-09-17,98,70.0,,0.7,68.6
2016-09-18,77,70.0,,0.7,53.9
2016-09-19,76,70.0,,0.7,53.199999999999996
2016-09-20,86,70.0,,0.7,60.199999999999996
2016-09-21,85,70.0,,0.7,59.49999999999999
2016-09-22,94,70.0,,0.7,65.8
2016-09-23,100,70.0,,0.7,70.0
2016-09-24,96,70.0,,0.7,67.19999999999999
2016-09-25,66,70.0,,0.7,46.199999999999996
2016-09-26,77,70.0,,0.7,53.9
2016-09-27,79,70.0,,0.7,55.3
2016-09-28,84,70.0,,0.7,58.8
2016-09-29,77,70.0,,0.7,53.9
2016-09-30,85,70.0,,0.7,59.49999999999999
2016-10-01,69,70.0,False,0.7,48.3
2016-10-02,78,70.0,,0.7,54.599999999999994
2016-10-03,71,70.0,,0.7,49.699999999999996
2016-10-04,85,70.0,,0.7,59.49999999999999
2016-10-05,65,70.0,,0.7,45.5
2016-10-06,79,70.0,,0.7,55.3
2016-10-07,79,70.0,,0.7,55.3
2016-10-08,71,70.0,,0.7,49.699999999999996
2016-10-09,64,70.0,,0.7,44.8
2016-10-10,73,70.0,,0.7,51.099999999999994
2016-10-11,75,70.0,,0.7,52.5
2016-10-12,69,70.0,,0.7,48.3
2016-10-13,86,70.0,,0.7,60.199999999999996
2016-10-14,79,70.0,,0.7,55.3
2016-10-15,83,70.0,,0.7,58.099999999999994
2016-10-16,71,70.0,,0.7,49.699999999999996
2016-10-17,83,70.0,,0.7,58.099999999999994
2016-10-18,82,70.0,,0.7,57.4
2016-10-19,80,70.0,,0.7,56.0
2016-10-20,78,70.0,,0.7,54.599999999999994
2016-10-21,80,70.0,,0.7,56.0
2016-10-22,74,70.0,,0.7,51.8
2016-10-23,83,70.0,,0.7,58.099999999999994
2016-10-24,69,70.0,,0.7,48.3
2016-10-25,91,70.0,,0.7,63.699999999999996
2016-10-26,90,70.0,,0.7,62.99999999999999
2016-10-27,93,70.0,,0.7,65.1
2016-10-28,82,70.0,,0.7,57.4
2016-10-29,90,70.0,,0.7,62.99999999999999
2016-10-30,76,70.0,,0.7,53.199999999999996
2016-10-31,100,70.0,,0.7,70.0
2016-11-01,100,72.0,False,0.72,72.0
2016-11-02,94,72.0,,0.72,67.67999999999999
2016-11-03,87,72.0,,0.72,62.64
2016-11-04,78,72.0,,0.72,56.16
2016-11-05,95,72.0,,0.72,68.39999999999999
2016-11-06,78,72.0,,0.72,56.16
2016-11-07,94,72.0,,0.72,67.67999999999999
2016-11-08,88,72.0,,0.72,63.36
2016-11-09,59,72.0,,0.72,42.48
2016-11-10,92,72.0,,0.72,66.24
2016-11-11,86,72.0,,0.72,61.919999999999995
2016-11-12,93,72.0,,0.72,66.96
2016-11-13,100,72.0,,0.72,72.0
2016-11-14,85,72.0,,0.72,61.199999999999996
2016-11-15,88,72.0,,0.72,63.36
2016-11-16,90,72.0,,0.72,64.8
2016-11-17,92,72.0,,0.72,66.24
2016-11-18,81,72.0,,0.72,58.32
2016-11-19,81,72.0,,0.72,58.32
2016-11-20,92,72.0,,0.72,66.24
2016-11-21,87,72.0,,0.72,62.64
2016-11-22,96,72.0,,0.72,69.12
2016-11-23,97,72.0,,0.72,69.84
2016-11-24,83,72.0,,0.72,59.76
2016-11-25,74,72.0,,0.72,53.28
2016-11-26,84,72.0,,0.72,60.48
2016-11-27,86,72.0,,0.72,61.919999999999995
2016-11-28,78,72.0,,0.72,56.16
2016-11-29,98,72.0,,0.72,70.56
2016-11-30,90,72.0,,0.72,64.8
2016-12-01,89,70.0,False,0.7,62.3
2016-12-02,93,70.0,,0.7,65.1
2016-12-03,74,70.0,,0.7,51.8
2016-12-04,100,70.0,,0.7,70.0
2016-12-05,84,70.0,,0.7,58.8
2016-12-06,82,70.0,,0.7,57.4
2016-12-07,99,70.0,,0.7,69.3
2016-12-08,78,70.0,,0.7,54.599999999999994
2016-12-09,75,70.0,,0.7,52.5
2016-12-10,83,70.0,,0.7,58.099999999999994
2016-12-11,84,70.0,,0.7,58.8
2016-12-12,80,70.0,,0.7,56.0
2016-12-13,81,70.0,,0.7,56.699999999999996
2016-12-14,78,70.0,,0.7,54.599999999999994
2016-12-15,84,70.0,,0.7,58.8
2016-12-16,76,70.0,,0.7,53.199999999999996
2016-12-17,67,70.0,,0.7,46.9
2016-12-18,87,70.0,,0.7,60.9
2016-12-19,81,70.0,,0.7,56.699999999999996
2016-12-20,74,70.0,,0.7,51.8
2016-12-21,72,70.0,,0.7,50.4
2016-12-22,74,70.0,,0.7,51.8
2016-12-23,70,70.0,,0.7,49.0
2016-12-24,71,70.0,,0.7,49.699999999999996
2016-12-25,79,70.0,,0.7,55.3
2016-12-26,73,70.0,,0.7,51.099999999999994
2016-12-27,83,70.0,,0.7,58.099999999999994
2016-12-28,92,70.0,,0.7,64.39999999999999
2016-12-29,82,70.0,,0.7,57.4
2016-12-30,70,70.0,,0.7,49.0
2016-12-31,76,70.0,,0.7,53.199999999999996
2017-01-01,18,85.0,False,0.85,15.299999999999999
2017-01-02,24,85.0,,0.85,20.4
2017-01-03,26,85.0,,0.85,22.099999999999998
2017-01-04,24,85.0,,0.85,20.4
2017-01-05,25,85.0,,0.85,21.25
2017-01-06,23,85.0,,0.85,19.55
2017-01-07,25,85.0,,0.85,21.25
2017-01-08,27,85.0,,0.85,22.95
2017-01-09,28,85.0,,0.85,23.8
2017-01-10,27,85.0,,0.85,22.95
2017-01-11,24,85.0,,0.85,20.4
2017-01-12,27,85.0,,0.85,22.95
2017-01-13,39,85.0,,0.85,33.15
2017-01-14,41,85.0,,0.85,34.85
2017-01-15,100,85.0,,0.85,85.0
2017-01-16,50,85.0,,0.85,42.5
2017-01-17,31,85.0,,0.85,26.349999999999998
2017-01-18,23,85.0,,0.85,19.55
2017-01-19,25,85.0,,0.85,21.25
2017-01-20,24,85.0,,0.85,20.4
2017-01-21,27,85.0,,0.85,22.95
2017-01-22,27,85.0,,0.85,22.95
2017-01-23,22,85.0,,0.85,18.7
2017-01-24,22,85.0,,0.85,18.7
2017-01-25,26,85.0,,0.85,22.099999999999998
2017-01-26,25,85.0,,0.85,21.25
2017-01-27,25,85.0,,0.85,21.25
2017-01-28,23,85.0,,0.85,19.55
2017-01-29,26,85.0,,0.85,22.099999999999998
2017-01-30,25,85.0,,0.85,21.25
2017-01-31,22,85.0,,0.85,18.7
2017-02-01,93,71.0,False,0.71,66.03
2017-02-02,94,71.0,,0.71,66.74
2017-02-03,96,71.0,,0.71,68.16
2017-02-04,95,71.0,,0.71,67.45
2017-02-05,85,71.0,,0.71,60.349999999999994
2017-02-06,89,71.0,,0.71,63.19
2017-02-07,80,71.0,,0.71,56.8
2017-02-08,91,71.0,,0.71,64.61
2017-02-09,96,71.0,,0.71,68.16
2017-02-10,98,71.0,,0.71,69.58
2017-02-11,93,71.0,,0.71,66.03
2017-02-12,96,71.0,,0.71,68.16
2017-02-13,78,71.0,,0.71,55.379999999999995
2017-02-14,82,71.0,,0.71,58.22
2017-02-15,91,71.0,,0.71,64.61
2017-02-16,78,71.0,,0.71,55.379999999999995
2017-02-17,97,71.0,,0.71,68.86999999999999
2017-02-18,88,71.0,,0.71,62.48
2017-02-19,85,71.0,,0.71,60.349999999999994
2017-02-20,97,71.0,,0.71,68.86999999999999
2017-02-21,95,71.0,,0.71,67.45
2017-02-22,99,71.0,,0.71,70.28999999999999
2017-02-23,95,71.0,,0.71,67.45
2017-02-24,98,71.0,,0.71,69.58
2017-02-25,71,71.0,,0.71,50.41
2017-02-26,90,71.0,,0.71,63.9
2017-02-27,95,71.0,,0.71,67.45
2017-02-28,100,71.0,,0.71,71.0
2017-03-01,88,74.0,False,0.74,65.12
2017-03-02,76,74.0,,0.74,56.24
2017-03-03,78,74.0,,0.74,57.72
2017-03-04,79,74.0,,0.74,58.46
2017-03-05,85,74.0,,0.74,62.9
2017-03-06,81,74.0,,0.74,59.94
2017-03-07,87,74.0,,0.74,64.38
2017-03-08,61,74.0,,0.74,45.14
2017-03-09,77,74.0,,0.74,56.98
2017-03-10,87,74.0,,0.74,64.38
2017-03-11,95,74.0,,0.74,70.3
2017-03-12,72,74.0,,0.74,53.28
2017-03-13,77,74.0,,0.74,56.98
2017-03-14,84,74.0,,0.74,62.16
2017-03-15,77,74.0,,0.74,56.98
2017-03-16,93,74.0,,0.74,68.82
2017-03-17,98,74.0,,0.74,72.52
2017-03-18,80,74.0,,0.74,59.2
2017-03-19,83,74.0,,0.74,61.42
2017-03-20,92,74.0,,0.74,68.08
2017-03-21,93,74.0,,0.74,68.82
2017-03-22,85,74.0,,0.74,62.9
2017-03-23,95,74.0,,0.74,70.3
2017-03-24,100,74.0,,0.74,74.0
2017-03-25,100,74.0,,0.74,74.0
2017-03-26,86,74.0,,0.74,63.64
2017-03-27,88,74.0,,0.74,65.12
2017-03-28,80,74.0,,0.74,59.2
2017-03-29,76,74.0,,0.74,56.24
2017-03-30,95,74.0,,0.74,70.3
2017-03-31,75,74.0,,0.74,55.5
2017-04-01,73,78.0,False,0.78,56.940000000000005
2017-04-02,97,78.0,,0.78,75.66
2017-04-03,89,78.0,,0.78,69.42
2017-04-04,89,78.0,,0.78,69.42
2017-04-05,76,78.0,,0.78,59.28
2017-04-06,87,78.0,,0.78,67.86
2017-04-07,87,78.0,,0.78,67.86
2017-04-08,95,78.0,,0.78,74.10000000000001
2017-04-09,92,78.0,,0.78,71.76
2017-04-10,89,78.0,,0.78,69.42
2017-04-11,83,78.0,,0.78,64.74000000000001
2017-04-12,78,78.0,,0.78,60.84
2017-04-13,79,78.0,,0.78,61.620000000000005
2017-04-14,82,78.0,,0.78,63.96
2017-04-15,83,78.0,,0.78,64.74000000000001
2017-04-16,70,78.0,,0.78,54.6
2017-04-17,80,78.0,,0.78,62.400000000000006
2017-04-18,96,78.0,,0.78,74.88
2017-04-19,93,78.0,,0.78,72.54
2017-04-20,86,78.0,,0.78,67.08
2017-04-21,78,78.0,,0.78,60.84
2017-04-22,89,78.0,,0.78,69.42
2017-04-23,95,78.0,,0.78,74.10000000000001
2017-04-24,86,78.0,,0.78,67.08
2017-04-25,92,78.0,,0.78,71.76
2017-04-26,82,78.0,,0.78,63.96
2017-04-27,98,78.0,,0.78,76.44
2017-04-28,87,78.0,,0.78,67.86
2017-04-29,88,78.0,,0.78,68.64
2017-04-30,100,78.0,,0.78,78.0
2017-05-01,88,72.0,False,0.72,63.36
2017-05-02,87,72.0,,0.72,62.64
2017-05-03,88,72.0,,0.72,63.36
2017-05-04,100,72.0,,0.72,72.0
2017-05-05,70,72.0,,0.72,50.4
2017-05-06,83,72.0,,0.72,59.76
2017-05-07,74,72.0,,0.72,53.28
2017-05-08,90,72.0,,0.72,64.8
2017-05-09,80,72.0,,0.72,57.599999999999994
2017-05-10,71,72.0,,0.72,51.12
2017-05-11,80,72.0,,0.72,57.599999999999994
2017-05-12,68,72.0,,0.72,48.96
2017-05-13,72,72.0,,0.72,51.839999999999996
2017-05-14,70,72.0,,0.72,50.4
2017-05-15,72,72.0,,0.72,51.839999999999996
2017-05-16,74,72.0,,0.72,53.28
2017-05-17,61,72.0,,0.72,43.92
2017-05-18,56,72.0,,0.72,40.32
2017-05-19,72,72.0,,0.72,51.839999999999996
2017-05-20,69,72.0,,0.72,49.68
2017-05-21,66,72.0,,0.72,47.519999999999996
2017-05-22,86,72.0,,0.72,61.919999999999995
2017-05-23,72,72.0,,0.72,51.839999999999996
2017-05-24,72,72.0,,0.72,51.839999999999996
2017-05-25,69,72.0,,0.72,49.68
2017-05-26,70,72.0,,0.72,50.4
2017-05-27,63,72.0,,0.72,45.36
2017-05-28,48,72.0,,0.72,34.56
2017-05-29,64,72.0,,0.72,46.08
2017-05-30,66,72.0,,0.72,47.519999999999996
2017-05-31,65,72.0,,0.72,46.8
2017-06-01,83,67.0,False,0.67,55.61000000000001
2017-06-02,82,67.0,,0.67,54.940000000000005
2017-06-03,93,67.0,,0.67,62.31
2017-06-04,64,67.0,,0.67,42.88
2017-06-05,88,67.0,,0.67,58.96
2017-06-06,90,67.0,,0.67,60.300000000000004
2017-06-07,70,67.0,,0.67,46.900000000000006
2017-06-08,61,67.0,,0.67,40.870000000000005
2017-06-09,80,67.0,,0.67,53.6
2017-06-10,81,67.0,,0.67,54.27
2017-06-11,85,67.0,,0.67,56.95
2017-06-12,87,67.0,,0.67,58.290000000000006
2017-06-13,81,67.0,,0.67,54.27
2017-06-14,74,67.0,,0.67,49.580000000000005
2017-06-15,76,67.0,,0.67,50.92
2017-06-16,100,67.0,,0.67,67.0
2017-06-17,85,67.0,,0.67,56.95
2017-06-18,75,67.0,,0.67,50.25
2017-06-19,74,67.0,,0.67,49.580000000000005
2017-06-20,79,67.0,,0.67,52.93
2017-06-21,97,67.0,,0.67,64.99000000000001
2017-06-22,76,67.0,,0.67,50.92
2017-06-23,81,67.0,,0.67,54.27
2017-06-24,76,67.0,,0.67,50.92
2017-06-25,88,67.0,,0.67,58.96
2017-06-26,100,67.0,,0.67,67.0
2017-06-27,83,67.0,,0.67,55.61000000000001
2017-06-28,98,67.0,,0.67,65.66000000000001
2017-06-29,96,67.0,,0.67,64.32000000000001
2017-06-30,94,67.0,,0.67,62.980000000000004
2017-07-01,75,66.0,False,0.66,49.5
2017-07-02,76,66.0,,0.66,50.160000000000004
2017-07-03,77,66.0,,0.66,50.82
2017-07-04,65,66.0,,0.66,42.9
2017-07-05,80,66.0,,0.66,52.800000000000004
2017-07-06,86,66.0,,0.66,56.760000000000005
2017-07-07,99,66.0,,0.66,65.34
2017-07-08,96,66.0,,0.66,63.36
2017-07-09,83,66.0,,0.66,54.78
2017-07-10,84,66.0,,0.66,55.440000000000005
2017-07-11,95,66.0,,0.66,62.7
2017-07-12,95,66.0,,0.66,62.7
2017-07-13,93,66.0,,0.66,61.38
2017-07-14,89,66.0,,0.66,58.74
2017-07-15,74,66.0,,0.66,48.84
2017-07-16,84,66.0,,0.66,55.440000000000005
2017-07-17,87,66.0,,0.66,57.42
2017-07-18,81,66.0,,0.66,53.46
2017-07-19,90,66.0,,0.66,59.400000000000006
2017-07-20,70,66.0,,0.66,46.2
2017-07-21,75,66.0,,0.66,49.5
2017-07-22,84,66.0,,0.66,55.440000000000005
2017-07-23,75,66.0,,0.66,49.5
2017-07-24,84,66.0,,0.66,55.440000000000005
2017-07-25,94,66.0,,0.66,62.040000000000006
2017-07-26,84,66.0,,0.66,55.440000000000005
2017-07-27,100,66.0,,0.66,66.0
2017-07-28,95,66.0,,0.66,62.7
2017-07-29,82,66.0,,0.66,54.120000000000005
2017-07-30,84,66.0,,0.66,55.440000000000005
2017-07-31,81,66.0,,0.66,53.46
2017-08-01,97,64.0,False,0.64,62.08
2017-08-02,89,64.0,,0.64,56.96
2017-08-03,86,64.0,,0.64,55.04
2017-08-04,96,64.0,,0.64,61.44
2017-08-05,77,64.0,,0.64,49.28
2017-08-06,97,64.0,,0.64,62.08
2017-08-07,80,64.0,,0.64,51.2
2017-08-08,90,64.0,,0.64,57.6
2017-08-09,83,64.0,,0.64,53.120000000000005
2017-08-10,87,64.0,,0.64,55.68
2017-08-11,83,64.0,,0.64,53.120000000000005
2017-08-12,90,64.0,,0.64,57.6
2017-08-13,92,64.0,,0.64,58.88
2017-08-14,91,64.0,,0.64,58.24
2017-08-15,89,64.0,,0.64,56.96
2017-08-16,84,64.0,,0.64,53.76
2017-08-17,77,64.0,,0.64,49.28
2017-08-18,82,64.0,,0.64,52.480000000000004
2017-08-19,84,64.0,,0.64,53.76
2017-08-20,92,64.0,,0.64,58.88
2017-08-21,89,64.0,,0.64,56.96
2017-08-22,81,64.0,,0.64,51.84
2017-08-23,81,64.0,,0.64,51.84
2017-08-24,81,64.0,,0.64,51.84
2017-08-25,100,64.0,,0.64,64.0
2017-08-26,80,64.0,,0.64,51.2
2017-08-27,92,64.0,,0.64,58.88
2017-08-28,73,64.0,,0.64,46.72
2017-08-29,83,64.0,,0.64,53.120000000000005
2017-08-30,89,64.0,,0.64,56.96
2017-08-31,75,64.0,,0.64,48.0
2017-09-01,68,64.0,False,0.64,43.52
2017-09-02,72,64.0,,0.64,46.08
2017-09-03,56,64.0,,0.64,35.84
2017-09-04,78,64.0,,0.64,49.92
2017-09-05,78,64.0,,0.64,49.92
2017-09-06,74,64.0,,0.64,47.36
2017-09-07,74,64.0,,0.64,47.36
2017-09-08,68,64.0,,0.64,43.52
2017-09-09,74,64.0,,0.64,47.36
2017-09-10,61,64.0,,0.64,39.04
2017-09-11,70,64.0,,0.64,44.800000000000004
2017-09-12,64,64.0,,0.64,40.96
2017-09-13,68,64.0,,0.64,43.52
2017-09-14,85,64.0,,0.64,54.4
2017-09-15,81,64.0,,0.64,51.84
2017-09-16,76,64.0,,0.64,48.64
2017-09-17,87,64.0,,0.64,55.68
2017-09-18,64,64.0,,0.64,40.96
2017-09-19,71,64.0,,0.64,45.44
2017-09-20,71,64.0,,0.64,45.44
2017-09-21,65,64.0,,0.64,41.6
2017-09-22,100,64.0,,0.64,64.0
2017-09-23,71,64.0,,0.64,45.44
2017-09-24,77,64.0,,0.64,49.28
2017-09-25,77,64.0,,0.64,49.28
2017-09-26,73,64.0,,0.64,46.72
2017-09-27,74,64.0,,0.64,47.36
2017-09-28,72,64.0,,0.64,46.08
2017-09-29,83,64.0,,0.64,53.120000000000005
2017-09-30,79,64.0,,0.64,50.56
2017-10-01,79,67.0,False,0.67,52.93
2017-10-02,70,67.0,,0.67,46.900000000000006
2017-10-03,89,67.0,,0.67,59.63
2017-10-04,65,67.0,,0.67,43.550000000000004
2017-10-05,71,67.0,,0.67,47.57
2017-10-06,74,67.0,,0.67,49.580000000000005
2017-10-07,79,67.0,,0.67,52.93
2017-10-08,92,67.0,,0.67,61.64
2017-10-09,79,67.0,,0.67,52.93
2017-10-10,70,67.0,,0.67,46.900000000000006
2017-10-11,87,67.0,,0.67,58.290000000000006
2017-10-12,97,67.0,,0.67,64.99000000000001
2017-10-13,80,67.0,,0.67,53.6
2017-10-14,75,67.0,,0.67,50.25
2017-10-15,81,67.0,,0.67,54.27
2017-10-16,68,67.0,,0.67,45.56
2017-10-17,89,67.0,,0.67,59.63
2017-10-18,75,67.0,,0.67,50.25
2017-10-19,77,67.0,,0.67,51.59
2017-10-20,100,67.0,,0.67,67.0
2017-10-21,80,67.0,,0.67,53.6
2017-10-22,82,67.0,,0.67,54.940000000000005
2017-10-23,71,67.0,,0.67,47.57
2017-10-24,80,67.0,,0.67,53.6
2017-10-25,89,67.0,,0.67,59.63
2017-10-26,78,67.0,,0.67,52.260000000000005
2017-10-27,79,67.0,,0.67,52.93
2017-10-28,82,67.0,,0.67,54.940000000000005
2017-10-29,75,67.0,,0.67,50.25
2017-10-30,78,67.0,,0.67,52.260000000000005
2017-10-31,88,67.0,,0.67,58.96
2017-11-01,82,71.0,False,0.71,58.22
2017-11-02,83,71.0,,0.71,58.93
2017-11-03,74,71.0,,0.71,52.54
2017-11-04,91,71.0,,0.71,64.61
2017-11-05,77,71.0,,0.71,54.669999999999995
2017-11-06,80,71.0,,0.71,56.8
2017-11-07,90,71.0,,0.71,63.9
2017-11-08,73,71.0,,0.71,51.83
2017-11-09,74,71.0,,0.71,52.54
2017-11-10,86,71.0,,0.71,61.059999999999995
2017-11-11,92,71.0,,0.71,65.32
2017-11-12,70,71.0,,0.71,49.699999999999996
2017-11-13,92,71.0,,0.71,65.32
2017-11-14,86,71.0,,0.71,61.059999999999995
2017-11-15,100,71.0,,0.71,71.0
2017-11-16,78,71.0,,0.71,55.379999999999995
2017-11-17,94,71.0,,0.71,66.74
2017-11-18,91,71.0,,0.71,64.61
2017-11-19,90,71.0,,0.71,63.9
2017-11-20,94,71.0,,0.71,66.74
2017-11-21,89,71.0,,0.71,63.19
2017-11-22,79,71.0,,0.71,56.089999999999996
2017-11-23,74,71.0,,0.71,52.54
2017-11-24,69,71.0,,0.71,48.989999999999995
2017-11-25,85,71.0,,0.71,60.349999999999994
2017-11-26,78,71.0,,0.71,55.379999999999995
2017-11-27,74,71.0,,0.71,52.54
2017-11-28,100,71.0,,0.71,71.0
2017-11-29,93,71.0,,0.71,66.03
2017-11-30,81,71.0,,0.71,57.51
2017-12-01,68,65.0,False,0.65,44.2
2017-12-02,63,65.0,,0.65,40.95
2017-12-03,87,65.0,,0.65,56.550000000000004
2017-12-04,90,65.0,,0.65,58.5
2017-12-05,85,65.0,,0.65,55.25
2017-12-06,69,65.0,,0.65,44.85
2017-12-07,78,65.0,,0.65,50.7
2017-12-08,74,65.0,,0.65,48.1
2017-12-09,69,65.0,,0.65,44.85
2017-12-10,100,65.0,,0.65,65.0
2017-12-11,75,65.0,,0.65,48.75
2017-12-12,67,65.0,,0.65,43.550000000000004
2017-12-13,67,65.0,,0.65,43.550000000000004
2017-12-14,74,65.0,,0.65,48.1
2017-12-15,74,65.0,,0.65,48.1
2017-12-16,76,65.0,,0.65,49.4
2017-12-17,87,65.0,,0.65,56.550000000000004
2017-12-18,74,65.0,,0.65,48.1
2017-12-19,71,65.0,,0.65,46.15
2017-12-20,90,65.0,,0.65,58.5
2017-12-21,77,65.0,,0.65,50.050000000000004
2017-12-22,71,65.0,,0.65,46.15
2017-12-23,64,65.0,,0.65,41.6
2017-12-24,59,65.0,,0.65,38.35
2017-12-25,72,65.0,,0.65,46.800000000000004
