date,LMT_unscaled,LMT_monthly,isPartial,scale,LMT
2016-09-09,67,75.0,,0.75,50.25
2016-09-10,58,75.0,,0.75,43.5
2016-09-11,37,75.0,,0.75,27.75
2016-09-12,77,75.0,,0.75,57.75
2016-09-13,67,75.0,,0.75,50.25
2016-09-14,59,75.0,,0.75,44.25
2016-09-15,85,75.0,,0.75,63.75
2016-09-16,59,75.0,,0.75,44.25
2016-09-17,53,75.0,,0.75,39.75
2016-09-18,35,75.0,,0.75,26.25
2016-09-19,72,75.0,,0.75,54.0
2016-09-20,72,75.0,,0.75,54.0
2016-09-21,63,75.0,,0.75,47.25
2016-09-22,70,75.0,,0.75,52.5
2016-09-23,51,75.0,,0.75,38.25
2016-09-24,61,75.0,,0.75,45.75
2016-09-25,36,75.0,,0.75,27.0
2016-09-26,77,75.0,,0.75,57.75
2016-09-27,65,75.0,,0.75,48.75
2016-09-28,74,75.0,,0.75,55.5
2016-09-29,54,75.0,,0.75,40.5
2016-09-30,71,75.0,,0.75,53.25
2016-10-01,52,68.0,False,0.68,35.36
2016-10-02,53,68.0,,0.68,36.04
2016-10-03,70,68.0,,0.68,47.6
2016-10-04,85,68.0,,0.68,57.800000000000004
2016-10-05,64,68.0,,0.68,43.52
2016-10-06,55,68.0,,0.68,37.400000000000006
2016-10-07,72,68.0,,0.68,48.96
2016-10-08,41,68.0,,0.68,27.880000000000003
2016-10-09,24,68.0,,0.68,16.32
2016-10-10,53,68.0,,0.68,36.04
2016-10-11,50,68.0,,0.68,34.0
2016-10-12,55,68.0,,0.68,37.400000000000006
2016-10-13,56,68.0,,0.68,38.080000000000005
2016-10-14,55,68.0,,0.68,37.400000000000006
2016-10-15,52,68.0,,0.68,35.36
2016-10-16,27,68.0,,0.68,18.360000000000003
2016-10-17,57,68.0,,0.68,38.760000000000005
2016-10-18,58,68.0,,0.68,39.440000000000005
2016-10-19,53,68.0,,0.68,36.04
2016-10-20,71,68.0,,0.68,48.28
2016-10-21,58,68.0,,0.68,39.440000000000005
2016-10-22,45,68.0,,0.68,30.6
2016-10-23,35,68.0,,0.68,23.8
2016-10-24,46,68.0,,0.68,31.28
2016-10-25,100,68.0,,0.68,68.0
2016-10-26,97,68.0,,0.68,65.96000000000001
2016-10-27,69,68.0,,0.68,46.92
2016-10-28,71,68.0,,0.68,48.28
2016-10-29,41,68.0,,0.68,27.880000000000003
2016-10-30,53,68.0,,0.68,36.04
2016-10-31,57,68.0,,0.68,38.760000000000005
2016-11-01,35,79.0,False,0.79,27.650000000000002
2016-11-02,55,79.0,,0.79,43.45
2016-11-03,56,79.0,,0.79,44.24
2016-11-04,52,79.0,,0.79,41.08
2016-11-05,30,79.0,,0.79,23.700000000000003
2016-11-06,32,79.0,,0.79,25.28
2016-11-07,65,79.0,,0.79,51.35
2016-11-08,51,79.0,,0.79,40.29
2016-11-09,72,79.0,,0.79,56.88
2016-11-10,91,79.0,,0.79,71.89
2016-11-11,60,79.0,,0.79,47.400000000000006
2016-11-12,49,79.0,,0.79,38.71
2016-11-13,36,79.0,,0.79,28.44
2016-11-14,70,79.0,,0.79,55.300000000000004
2016-11-15,100,79.0,,0.79,79.0
2016-11-16,80,79.0,,0.79,63.2
2016-11-17,56,79.0,,0.79,44.24
2016-11-18,54,79.0,,0.79,42.660000000000004
2016-11-19,48,79.0,,0.79,37.92
2016-11-20,60,79.0,,0.79,47.400000000000006
2016-11-21,76,79.0,,0.79,60.040000000000006
2016-11-22,55,79.0,,0.79,43.45
2016-11-23,51,79.0,,0.79,40.29
2016-11-24,50,79.0,,0.79,39.5
2016-11-25,49,79.0,,0.79,38.71
2016-11-26,41,79.0,,0.79,32.39
2016-11-27,26,79.0,,0.79,20.54
2016-11-28,63,79.0,,0.79,49.77
2016-11-29,58,79.0,,0.79,45.82
2016-11-30,54,79.0,,0.79,42.660000000000004
2016-12-01,43,89.0,False,0.89,38.27
2016-12-02,55,89.0,,0.89,48.95
2016-12-03,24,89.0,,0.89,21.36
2016-12-04,34,89.0,,0.89,30.26
2016-12-05,50,89.0,,0.89,44.5
2016-12-06,48,89.0,,0.89,42.72
2016-12-07,50,89.0,,0.89,44.5
2016-12-08,43,89.0,,0.89,38.27
2016-12-09,46,89.0,,0.89,40.94
2016-12-10,25,89.0,,0.89,22.25
2016-12-11,32,89.0,,0.89,28.48
2016-12-12,100,89.0,,0.89,89.0
2016-12-13,70,89.0,,0.89,62.300000000000004
2016-12-14,52,89.0,,0.89,46.28
2016-12-15,51,89.0,,0.89,45.39
2016-12-16,40,89.0,,0.89,35.6
2016-12-17,33,89.0,,0.89,29.37
2016-12-18,29,89.0,,0.89,25.81
2016-12-19,43,89.0,,0.89,38.27
2016-12-20,55,89.0,,0.89,48.95
2016-12-21,43,89.0,,0.89,38.27
2016-12-22,58,89.0,,0.89,51.62
2016-12-23,82,89.0,,0.89,72.98
2016-12-24,42,89.0,,0.89,37.38
2016-12-25,28,89.0,,0.89,24.92
2016-12-26,29,89.0,,0.89,25.81
2016-12-27,45,89.0,,0.89,40.05
2016-12-28,37,89.0,,0.89,32.93
2016-12-29,46,89.0,,0.89,40.94
2016-12-30,39,89.0,,0.89,34.71
2016-12-31,21,89.0,,0.89,18.69
2017-01-01,46,68.0,False,0.68,31.28
2017-01-02,61,68.0,,0.68,41.480000000000004
2017-01-03,56,68.0,,0.68,38.080000000000005
2017-01-04,57,68.0,,0.68,38.760000000000005
2017-01-05,70,68.0,,0.68,47.6
2017-01-06,48,68.0,,0.68,32.64
2017-01-07,40,68.0,,0.68,27.200000000000003
2017-01-08,43,68.0,,0.68,29.240000000000002
2017-01-09,52,68.0,,0.68,35.36
2017-01-10,52,68.0,,0.68,35.36
2017-01-11,43,68.0,,0.68,29.240000000000002
2017-01-12,63,68.0,,0.68,42.84
2017-01-13,56,68.0,,0.68,38.080000000000005
2017-01-14,34,68.0,,0.68,23.12
2017-01-15,22,68.0,,0.68,14.96
2017-01-16,43,68.0,,0.68,29.240000000000002
2017-01-17,57,68.0,,0.68,38.760000000000005
2017-01-18,55,68.0,,0.68,37.400000000000006
2017-01-19,55,68.0,,0.68,37.400000000000006
2017-01-20,77,68.0,,0.68,52.36000000000001
2017-01-21,33,68.0,,0.68,22.44
2017-01-22,29,68.0,,0.68,19.720000000000002
2017-01-23,51,68.0,,0.68,34.68
2017-01-24,100,68.0,,0.68,68.0
2017-01-25,83,68.0,,0.68,56.440000000000005
2017-01-26,66,68.0,,0.68,44.88
2017-01-27,66,68.0,,0.68,44.88
2017-01-28,42,68.0,,0.68,28.560000000000002
2017-01-29,33,68.0,,0.68,22.44
2017-01-30,77,68.0,,0.68,52.36000000000001
2017-01-31,57,68.0,,0.68,38.760000000000005
2017-02-01,80,74.0,False,0.74,59.2
2017-02-02,56,74.0,,0.74,41.44
2017-02-03,75,74.0,,0.74,55.5
2017-02-04,58,74.0,,0.74,42.92
2017-02-05,49,74.0,,0.74,36.26
2017-02-06,65,74.0,,0.74,48.1
2017-02-07,58,74.0,,0.74,42.92
2017-02-08,45,74.0,,0.74,33.3
2017-02-09,67,74.0,,0.74,49.58
2017-02-10,83,74.0,,0.74,61.42
2017-02-11,44,74.0,,0.74,32.56
2017-02-12,42,74.0,,0.74,31.08
2017-02-13,59,74.0,,0.74,43.66
2017-02-14,54,74.0,,0.74,39.96
2017-02-15,60,74.0,,0.74,44.4
2017-02-16,69,74.0,,0.74,51.06
2017-02-17,67,74.0,,0.74,49.58
2017-02-18,56,74.0,,0.74,41.44
2017-02-19,50,74.0,,0.74,37.0
2017-02-20,56,74.0,,0.74,41.44
2017-02-21,61,74.0,,0.74,45.14
2017-02-22,76,74.0,,0.74,56.24
2017-02-23,60,74.0,,0.74,44.4
2017-02-24,71,74.0,,0.74,52.54
2017-02-25,44,74.0,,0.74,32.56
2017-02-26,33,74.0,,0.74,24.419999999999998
2017-02-27,100,74.0,,0.74,74.0
2017-02-28,86,74.0,,0.74,63.64
2017-03-01,97,68.0,False,0.68,65.96000000000001
2017-03-02,89,68.0,,0.68,60.52
2017-03-03,82,68.0,,0.68,55.760000000000005
2017-03-04,74,68.0,,0.68,50.32
2017-03-05,44,68.0,,0.68,29.92
2017-03-06,92,68.0,,0.68,62.56
2017-03-07,81,68.0,,0.68,55.080000000000005
2017-03-08,92,68.0,,0.68,62.56
2017-03-09,74,68.0,,0.68,50.32
2017-03-10,94,68.0,,0.68,63.92
2017-03-11,64,68.0,,0.68,43.52
2017-03-12,28,68.0,,0.68,19.040000000000003
2017-03-13,64,68.0,,0.68,43.52
2017-03-14,78,68.0,,0.68,53.040000000000006
2017-03-15,63,68.0,,0.68,42.84
2017-03-16,90,68.0,,0.68,61.2
2017-03-17,76,68.0,,0.68,51.68000000000001
2017-03-18,75,68.0,,0.68,51.00000000000001
2017-03-19,37,68.0,,0.68,25.16
2017-03-20,98,68.0,,0.68,66.64
2017-03-21,100,68.0,,0.68,68.0
2017-03-22,94,68.0,,0.68,63.92
2017-03-23,70,68.0,,0.68,47.6
2017-03-24,89,68.0,,0.68,60.52
2017-03-25,38,68.0,,0.68,25.840000000000003
2017-03-26,38,68.0,,0.68,25.840000000000003
2017-03-27,99,68.0,,0.68,67.32000000000001
2017-03-28,80,68.0,,0.68,54.400000000000006
2017-03-29,97,68.0,,0.68,65.96000000000001
2017-03-30,79,68.0,,0.68,53.720000000000006
2017-03-31,91,68.0,,0.68,61.88
2017-04-01,35,68.0,False,0.68,23.8
2017-04-02,22,68.0,,0.68,14.96
2017-04-03,53,68.0,,0.68,36.04
2017-04-04,54,68.0,,0.68,36.720000000000006
2017-04-05,54,68.0,,0.68,36.720000000000006
2017-04-06,56,68.0,,0.68,38.080000000000005
2017-04-07,83,68.0,,0.68,56.440000000000005
2017-04-08,67,68.0,,0.68,45.56
2017-04-09,60,68.0,,0.68,40.800000000000004
2017-04-10,54,68.0,,0.68,36.720000000000006
2017-04-11,60,68.0,,0.68,40.800000000000004
2017-04-12,65,68.0,,0.68,44.2
2017-04-13,62,68.0,,0.68,42.160000000000004
2017-04-14,42,68.0,,0.68,28.560000000000002
2017-04-15,46,68.0,,0.68,31.28
2017-04-16,41,68.0,,0.68,27.880000000000003
2017-04-17,67,68.0,,0.68,45.56
2017-04-18,50,68.0,,0.68,34.0
2017-04-19,69,68.0,,0.68,46.92
2017-04-20,62,68.0,,0.68,42.160000000000004
2017-04-21,62,68.0,,0.68,42.160000000000004
2017-04-22,35,68.0,,0.68,23.8
2017-04-23,40,68.0,,0.68,27.200000000000003
2017-04-24,74,68.0,,0.68,50.32
2017-04-25,100,68.0,,0.68,68.0
2017-04-26,66,68.0,,0.68,44.88
2017-04-27,57,68.0,,0.68,38.760000000000005
2017-04-28,65,68.0,,0.68,44.2
2017-04-29,58,68.0,,0.68,39.440000000000005
2017-04-30,23,68.0,,0.68,15.64
2017-05-01,58,75.0,False,0.75,43.5
2017-05-02,51,75.0,,0.75,38.25
2017-05-03,52,75.0,,0.75,39.0
2017-05-04,64,75.0,,0.75,48.0
2017-05-05,76,75.0,,0.75,57.0
2017-05-06,42,75.0,,0.75,31.5
2017-05-07,43,75.0,,0.75,32.25
2017-05-08,70,75.0,,0.75,52.5
2017-05-09,72,75.0,,0.75,54.0
2017-05-10,58,75.0,,0.75,43.5
2017-05-11,81,75.0,,0.75,60.75
2017-05-12,64,75.0,,0.75,48.0
2017-05-13,40,75.0,,0.75,30.0
2017-05-14,23,75.0,,0.75,17.25
2017-05-15,63,75.0,,0.75,47.25
2017-05-16,74,75.0,,0.75,55.5
2017-05-17,65,75.0,,0.75,48.75
2017-05-18,80,75.0,,0.75,60.0
2017-05-19,68,75.0,,0.75,51.0
2017-05-20,64,75.0,,0.75,48.0
2017-05-21,45,75.0,,0.75,33.75
2017-05-22,100,75.0,,0.75,75.0
2017-05-23,88,75.0,,0.75,66.0
2017-05-24,70,75.0,,0.75,52.5
2017-05-25,84,75.0,,0.75,63.0
2017-05-26,90,75.0,,0.75,67.5
2017-05-27,36,75.0,,0.75,27.0
2017-05-28,29,75.0,,0.75,21.75
2017-05-29,49,75.0,,0.75,36.75
2017-05-30,81,75.0,,0.75,60.75
2017-05-31,75,75.0,,0.75,56.25
2017-06-01,83,72.0,False,0.72,59.76
2017-06-02,85,72.0,,0.72,61.199999999999996
2017-06-03,67,72.0,,0.72,48.239999999999995
2017-06-04,72,72.0,,0.72,51.839999999999996
2017-06-05,100,72.0,,0.72,72.0
2017-06-06,93,72.0,,0.72,66.96
2017-06-07,92,72.0,,0.72,66.24
2017-06-08,78,72.0,,0.72,56.16
2017-06-09,95,72.0,,0.72,68.39999999999999
2017-06-10,57,72.0,,0.72,41.04
2017-06-11,46,72.0,,0.72,33.12
2017-06-12,91,72.0,,0.72,65.52
2017-06-13,80,72.0,,0.72,57.599999999999994
2017-06-14,81,72.0,,0.72,58.32
2017-06-15,74,72.0,,0.72,53.28
2017-06-16,87,72.0,,0.72,62.64
2017-06-17,71,72.0,,0.72,51.12
2017-06-18,53,72.0,,0.72,38.16
2017-06-19,82,72.0,,0.72,59.04
2017-06-20,89,72.0,,0.72,64.08
2017-06-21,100,72.0,,0.72,72.0
2017-06-22,83,72.0,,0.72,59.76
2017-06-23,80,72.0,,0.72,57.599999999999994
2017-06-24,43,72.0,,0.72,30.959999999999997
2017-06-25,65,72.0,,0.72,46.8
2017-06-26,92,72.0,,0.72,66.24
2017-06-27,71,72.0,,0.72,51.12
2017-06-28,84,72.0,,0.72,60.48
2017-06-29,88,72.0,,0.72,63.36
2017-06-30,100,72.0,,0.72,72.0
2017-07-01,25,77.0,False,0.77,19.25
2017-07-02,35,77.0,,0.77,26.95
2017-07-03,59,77.0,,0.77,45.43
2017-07-04,31,77.0,,0.77,23.87
2017-07-05,47,77.0,,0.77,36.19
2017-07-06,81,77.0,,0.77,62.370000000000005
2017-07-07,76,77.0,,0.77,58.52
2017-07-08,38,77.0,,0.77,29.26
2017-07-09,38,77.0,,0.77,29.26
2017-07-10,61,77.0,,0.77,46.97
2017-07-11,70,77.0,,0.77,53.9
2017-07-12,74,77.0,,0.77,56.980000000000004
2017-07-13,69,77.0,,0.77,53.13
2017-07-14,67,77.0,,0.77,51.59
2017-07-15,47,77.0,,0.77,36.19
2017-07-16,47,77.0,,0.77,36.19
2017-07-17,64,77.0,,0.77,49.28
2017-07-18,100,77.0,,0.77,77.0
2017-07-19,80,77.0,,0.77,61.6
2017-07-20,83,77.0,,0.77,63.910000000000004
2017-07-21,76,77.0,,0.77,58.52
2017-07-22,46,77.0,,0.77,35.42
2017-07-23,27,77.0,,0.77,20.79
2017-07-24,57,77.0,,0.77,43.89
2017-07-25,70,77.0,,0.77,53.9
2017-07-26,65,77.0,,0.77,50.050000000000004
2017-07-27,76,77.0,,0.77,58.52
2017-07-28,55,77.0,,0.77,42.35
2017-07-29,45,77.0,,0.77,34.65
2017-07-30,44,77.0,,0.77,33.88
2017-07-31,85,77.0,,0.77,65.45
2017-08-01,72,85.0,False,0.85,61.199999999999996
2017-08-02,62,85.0,,0.85,52.699999999999996
2017-08-03,76,85.0,,0.85,64.6
2017-08-04,51,85.0,,0.85,43.35
2017-08-05,51,85.0,,0.85,43.35
2017-08-06,25,85.0,,0.85,21.25
2017-08-07,58,85.0,,0.85,49.3
2017-08-08,67,85.0,,0.85,56.949999999999996
2017-08-09,100,85.0,,0.85,85.0
2017-08-10,75,85.0,,0.85,63.75
2017-08-11,79,85.0,,0.85,67.14999999999999
2017-08-12,36,85.0,,0.85,30.599999999999998
2017-08-13,27,85.0,,0.85,22.95
2017-08-14,46,85.0,,0.85,39.1
2017-08-15,57,85.0,,0.85,48.449999999999996
2017-08-16,60,85.0,,0.85,51.0
2017-08-17,50,85.0,,0.85,42.5
2017-08-18,48,85.0,,0.85,40.8
2017-08-19,32,85.0,,0.85,27.2
2017-08-20,33,85.0,,0.85,28.05
2017-08-21,39,85.0,,0.85,33.15
2017-08-22,81,85.0,,0.85,68.85
2017-08-23,42,85.0,,0.85,35.699999999999996
2017-08-24,66,85.0,,0.85,56.1
2017-08-25,45,85.0,,0.85,38.25
2017-08-26,33,85.0,,0.85,28.05
2017-08-27,19,85.0,,0.85,16.15
2017-08-28,46,85.0,,0.85,39.1
2017-08-29,59,85.0,,0.85,50.15
2017-08-30,60,85.0,,0.85,51.0
2017-08-31,57,85.0,,0.85,48.449999999999996
2017-09-01,77,65.0,False,0.65,50.050000000000004
2017-09-02,37,65.0,,0.65,24.05
2017-09-03,55,65.0,,0.65,35.75
2017-09-04,47,65.0,,0.65,30.55
2017-09-05,71,65.0,,0.65,46.15
2017-09-06,98,65.0,,0.65,63.7
2017-09-07,69,65.0,,0.65,44.85
2017-09-08,52,65.0,,0.65,33.800000000000004
2017-09-09,48,65.0,,0.65,31.200000000000003
2017-09-10,37,65.0,,0.65,24.05
2017-09-11,55,65.0,,0.65,35.75
2017-09-12,58,65.0,,0.65,37.7
2017-09-13,73,65.0,,0.65,47.45
2017-09-14,75,65.0,,0.65,48.75
2017-09-15,93,65.0,,0.65,60.45
2017-09-16,81,65.0,,0.65,52.65
2017-09-17,28,65.0,,0.65,18.2
2017-09-18,76,65.0,,0.65,49.4
2017-09-19,100,65.0,,0.65,65.0
2017-09-20,89,65.0,,0.65,57.85
2017-09-21,79,65.0,,0.65,51.35
2017-09-22,82,65.0,,0.65,53.300000000000004
2017-09-23,68,65.0,,0.65,44.2
2017-09-24,56,65.0,,0.65,36.4
2017-09-25,81,65.0,,0.65,52.65
2017-09-26,77,65.0,,0.65,50.050000000000004
2017-09-27,98,65.0,,0.65,63.7
2017-09-28,89,65.0,,0.65,57.85
2017-09-29,65,65.0,,0.65,42.25
2017-09-30,62,65.0,,0.65,40.300000000000004
2017-10-01,28,73.0,False,0.73,20.439999999999998
2017-10-02,74,73.0,,0.73,54.019999999999996
2017-10-03,72,73.0,,0.73,52.56
2017-10-04,76,73.0,,0.73,55.48
2017-10-05,69,73.0,,0.73,50.37
2017-10-06,71,73.0,,0.73,51.83
2017-10-07,45,73.0,,0.73,32.85
2017-10-08,27,73.0,,0.73,19.71
2017-10-09,67,73.0,,0.73,48.91
2017-10-10,57,73.0,,0.73,41.61
2017-10-11,69,73.0,,0.73,50.37
2017-10-12,67,73.0,,0.73,48.91
2017-10-13,51,73.0,,0.73,37.23
2017-10-14,29,73.0,,0.73,21.169999999999998
2017-10-15,27,73.0,,0.73,19.71
2017-10-16,56,73.0,,0.73,40.879999999999995
2017-10-17,60,73.0,,0.73,43.8
2017-10-18,62,73.0,,0.73,45.26
2017-10-19,53,73.0,,0.73,38.69
2017-10-20,47,73.0,,0.73,34.31
2017-10-21,30,73.0,,0.73,21.9
2017-10-22,32,73.0,,0.73,23.36
2017-10-23,69,73.0,,0.73,50.37
2017-10-24,100,73.0,,0.73,73.0
2017-10-25,65,73.0,,0.73,47.449999999999996
2017-10-26,66,73.0,,0.73,48.18
2017-10-27,63,73.0,,0.73,45.99
2017-10-28,34,73.0,,0.73,24.82
2017-10-29,24,73.0,,0.73,17.52
2017-10-30,64,73.0,,0.73,46.72
2017-10-31,66,73.0,,0.73,48.18
2017-11-01,73,72.0,False,0.72,52.559999999999995
2017-11-02,67,72.0,,0.72,48.239999999999995
2017-11-03,74,72.0,,0.72,53.28
2017-11-04,60,72.0,,0.72,43.199999999999996
2017-11-05,56,72.0,,0.72,40.32
2017-11-06,85,72.0,,0.72,61.199999999999996
2017-11-07,68,72.0,,0.72,48.96
2017-11-08,82,72.0,,0.72,59.04
2017-11-09,91,72.0,,0.72,65.52
2017-11-10,96,72.0,,0.72,69.12
2017-11-11,36,72.0,,0.72,25.919999999999998
2017-11-12,53,72.0,,0.72,38.16
2017-11-13,76,72.0,,0.72,54.72
2017-11-14,93,72.0,,0.72,66.96
2017-11-15,65,72.0,,0.72,46.8
2017-11-16,73,72.0,,0.72,52.559999999999995
2017-11-17,88,72.0,,0.72,63.36
2017-11-18,29,72.0,,0.72,20.88
2017-11-19,48,72.0,,0.72,34.56
2017-11-20,60,72.0,,0.72,43.199999999999996
2017-11-21,87,72.0,,0.72,62.64
2017-11-22,94,72.0,,0.72,67.67999999999999
2017-11-23,63,72.0,,0.72,45.36
2017-11-24,68,72.0,,0.72,48.96
2017-11-25,67,72.0,,0.72,48.239999999999995
2017-11-26,46,72.0,,0.72,33.12
2017-11-27,68,72.0,,0.72,48.96
2017-11-28,66,72.0,,0.72,47.519999999999996
2017-11-29,83,72.0,,0.72,59.76
2017-11-30,100,72.0,,0.72,72.0
2017-12-01,85,67.0,False,0.67,56.95
2017-12-02,62,67.0,,0.67,41.54
2017-12-03,29,67.0,,0.67,19.43
2017-12-04,80,67.0,,0.67,53.6
2017-12-05,73,67.0,,0.67,48.910000000000004
2017-12-06,69,67.0,,0.67,46.230000000000004
2017-12-07,78,67.0,,0.67,52.260000000000005
2017-12-08,73,67.0,,0.67,48.910000000000004
2017-12-09,49,67.0,,0.67,32.830000000000005
2017-12-10,39,67.0,,0.67,26.130000000000003
2017-12-11,80,67.0,,0.67,53.6
2017-12-12,86,67.0,,0.67,57.620000000000005
2017-12-13,53,67.0,,0.67,35.510000000000005
2017-12-14,83,67.0,,0.67,55.61000000000001
2017-12-15,70,67.0,,0.67,46.900000000000006
2017-12-16,56,67.0,,0.67,37.52
2017-12-17,39,67.0,,0.67,26.130000000000003
2017-12-18,94,67.0,,0.67,62.980000000000004
2017-12-19,100,67.0,,0.67,67.0
2017-12-20,96,67.0,,0.67,64.32000000000001
2017-12-21,86,67.0,,0.67,57.620000000000005
2017-12-22,73,67.0,,0.67,48.910000000000004
2017-12-23,52,67.0,,0.67,34.84
2017-12-24,30,67.0,,0.67,20.1
2017-12-25,48,67.0,,0.67,32.160000000000004
2017-12-26,62,67.0,,0.67,41.54
