date,BABA_unscaled,BABA_monthly,isPartial,scale,BABA
2016-08-26,59,60.0,,0.6,35.4
2016-08-27,53,60.0,,0.6,31.799999999999997
2016-08-28,52,60.0,,0.6,31.2
2016-08-29,52,60.0,,0.6,31.2
2016-08-30,49,60.0,,0.6,29.4
2016-08-31,48,60.0,,0.6,28.799999999999997
2016-09-01,76,59.0,False,0.59,44.839999999999996
2016-09-02,77,59.0,,0.59,45.43
2016-09-03,67,59.0,,0.59,39.53
2016-09-04,70,59.0,,0.59,41.3
2016-09-05,64,59.0,,0.59,37.76
2016-09-06,100,59.0,,0.59,59.0
2016-09-07,78,59.0,,0.59,46.019999999999996
2016-09-08,88,59.0,,0.59,51.919999999999995
2016-09-09,78,59.0,,0.59,46.019999999999996
2016-09-10,67,59.0,,0.59,39.53
2016-09-11,75,59.0,,0.59,44.25
2016-09-12,69,59.0,,0.59,40.71
2016-09-13,71,59.0,,0.59,41.89
2016-09-14,68,59.0,,0.59,40.12
2016-09-15,87,59.0,,0.59,51.33
2016-09-16,82,59.0,,0.59,48.379999999999995
2016-09-17,67,59.0,,0.59,39.53
2016-09-18,61,59.0,,0.59,35.989999999999995
2016-09-19,72,59.0,,0.59,42.48
2016-09-20,61,59.0,,0.59,35.989999999999995
2016-09-21,73,59.0,,0.59,43.07
2016-09-22,81,59.0,,0.59,47.79
2016-09-23,75,59.0,,0.59,44.25
2016-09-24,62,59.0,,0.59,36.58
2016-09-25,67,59.0,,0.59,39.53
2016-09-26,75,59.0,,0.59,44.25
2016-09-27,70,59.0,,0.59,41.3
2016-09-28,73,59.0,,0.59,43.07
2016-09-29,85,59.0,,0.59,50.15
2016-09-30,74,59.0,,0.59,43.66
2016-10-01,81,55.0,False,0.55,44.550000000000004
2016-10-02,93,55.0,,0.55,51.150000000000006
2016-10-03,81,55.0,,0.55,44.550000000000004
2016-10-04,88,55.0,,0.55,48.400000000000006
2016-10-05,73,55.0,,0.55,40.150000000000006
2016-10-06,91,55.0,,0.55,50.050000000000004
2016-10-07,98,55.0,,0.55,53.900000000000006
2016-10-08,79,55.0,,0.55,43.45
2016-10-09,82,55.0,,0.55,45.1
2016-10-10,93,55.0,,0.55,51.150000000000006
2016-10-11,94,55.0,,0.55,51.7
2016-10-12,87,55.0,,0.55,47.85
2016-10-13,92,55.0,,0.55,50.6
2016-10-14,97,55.0,,0.55,53.35
2016-10-15,96,55.0,,0.55,52.800000000000004
2016-10-16,84,55.0,,0.55,46.2
2016-10-17,90,55.0,,0.55,49.50000000000001
2016-10-18,81,55.0,,0.55,44.550000000000004
2016-10-19,100,55.0,,0.55,55.00000000000001
2016-10-20,99,55.0,,0.55,54.45
2016-10-21,91,55.0,,0.55,50.050000000000004
2016-10-22,91,55.0,,0.55,50.050000000000004
2016-10-23,75,55.0,,0.55,41.25
2016-10-24,89,55.0,,0.55,48.95
2016-10-25,79,55.0,,0.55,43.45
2016-10-26,80,55.0,,0.55,44.0
2016-10-27,97,55.0,,0.55,53.35
2016-10-28,85,55.0,,0.55,46.75000000000001
2016-10-29,71,55.0,,0.55,39.050000000000004
2016-10-30,84,55.0,,0.55,46.2
2016-10-31,80,55.0,,0.55,44.0
2016-11-01,51,69.0,False,0.69,35.19
2016-11-02,78,69.0,,0.69,53.81999999999999
2016-11-03,70,69.0,,0.69,48.3
2016-11-04,65,69.0,,0.69,44.849999999999994
2016-11-05,55,69.0,,0.69,37.949999999999996
2016-11-06,49,69.0,,0.69,33.809999999999995
2016-11-07,47,69.0,,0.69,32.43
2016-11-08,52,69.0,,0.69,35.879999999999995
2016-11-09,60,69.0,,0.69,41.4
2016-11-10,93,69.0,,0.69,64.17
2016-11-11,100,69.0,,0.69,69.0
2016-11-12,77,69.0,,0.69,53.129999999999995
2016-11-13,66,69.0,,0.69,45.54
2016-11-14,68,69.0,,0.69,46.919999999999995
2016-11-15,60,69.0,,0.69,41.4
2016-11-16,49,69.0,,0.69,33.809999999999995
2016-11-17,61,69.0,,0.69,42.089999999999996
2016-11-18,57,69.0,,0.69,39.33
2016-11-19,47,69.0,,0.69,32.43
2016-11-20,49,69.0,,0.69,33.809999999999995
2016-11-21,55,69.0,,0.69,37.949999999999996
2016-11-22,51,69.0,,0.69,35.19
2016-11-23,56,69.0,,0.69,38.64
2016-11-24,52,69.0,,0.69,35.879999999999995
2016-11-25,40,69.0,,0.69,27.599999999999998
2016-11-26,45,69.0,,0.69,31.049999999999997
2016-11-27,46,69.0,,0.69,31.74
2016-11-28,41,69.0,,0.69,28.29
2016-11-29,46,69.0,,0.69,31.74
2016-11-30,48,69.0,,0.69,33.12
2016-12-01,65,57.0,False,0.57,37.05
2016-12-02,68,57.0,,0.57,38.76
2016-12-03,56,57.0,,0.57,31.919999999999998
2016-12-04,52,57.0,,0.57,29.639999999999997
2016-12-05,59,57.0,,0.57,33.629999999999995
2016-12-06,56,57.0,,0.57,31.919999999999998
2016-12-07,60,57.0,,0.57,34.199999999999996
2016-12-08,57,57.0,,0.57,32.489999999999995
2016-12-09,60,57.0,,0.57,34.199999999999996
2016-12-10,53,57.0,,0.57,30.209999999999997
2016-12-11,50,57.0,,0.57,28.499999999999996
2016-12-12,54,57.0,,0.57,30.779999999999998
2016-12-13,50,57.0,,0.57,28.499999999999996
2016-12-14,57,57.0,,0.57,32.489999999999995
2016-12-15,70,57.0,,0.57,39.9
2016-12-16,73,57.0,,0.57,41.61
2016-12-17,54,57.0,,0.57,30.779999999999998
2016-12-18,49,57.0,,0.57,27.929999999999996
2016-12-19,62,57.0,,0.57,35.339999999999996
2016-12-20,56,57.0,,0.57,31.919999999999998
2016-12-21,55,57.0,,0.57,31.349999999999998
2016-12-22,70,57.0,,0.57,39.9
2016-12-23,65,57.0,,0.57,37.05
2016-12-24,74,57.0,,0.57,42.18
2016-12-25,100,57.0,,0.57,56.99999999999999
2016-12-26,62,57.0,,0.57,35.339999999999996
2016-12-27,62,57.0,,0.57,35.339999999999996
2016-12-28,66,57.0,,0.57,37.62
2016-12-29,62,57.0,,0.57,35.339999999999996
2016-12-30,66,57.0,,0.57,37.62
2016-12-31,65,57.0,,0.57,37.05
2017-01-01,85,62.0,False,0.62,52.7
2017-01-02,73,62.0,,0.62,45.26
2017-01-03,69,62.0,,0.62,42.78
2017-01-04,67,62.0,,0.62,41.54
2017-01-05,76,62.0,,0.62,47.12
2017-01-06,72,62.0,,0.62,44.64
2017-01-07,59,62.0,,0.62,36.58
2017-01-08,63,62.0,,0.62,39.06
2017-01-09,81,62.0,,0.62,50.22
2017-01-10,74,62.0,,0.62,45.88
2017-01-11,68,62.0,,0.62,42.16
2017-01-12,75,62.0,,0.62,46.5
2017-01-13,75,62.0,,0.62,46.5
2017-01-14,75,62.0,,0.62,46.5
2017-01-15,61,62.0,,0.62,37.82
2017-01-16,65,62.0,,0.62,40.3
2017-01-17,72,62.0,,0.62,44.64
2017-01-18,73,62.0,,0.62,45.26
2017-01-19,76,62.0,,0.62,47.12
2017-01-20,72,62.0,,0.62,44.64
2017-01-21,71,62.0,,0.62,44.02
2017-01-22,63,62.0,,0.62,39.06
2017-01-23,86,62.0,,0.62,53.32
2017-01-24,100,62.0,,0.62,62.0
2017-01-25,87,62.0,,0.62,53.94
2017-01-26,86,62.0,,0.62,53.32
2017-01-27,86,62.0,,0.62,53.32
2017-01-28,70,62.0,,0.62,43.4
2017-01-29,69,62.0,,0.62,42.78
2017-01-30,71,62.0,,0.62,44.02
2017-01-31,78,62.0,,0.62,48.36
2017-02-01,89,57.0,False,0.57,50.73
2017-02-02,96,57.0,,0.57,54.72
2017-02-03,96,57.0,,0.57,54.72
2017-02-04,89,57.0,,0.57,50.73
2017-02-05,82,57.0,,0.57,46.739999999999995
2017-02-06,79,57.0,,0.57,45.029999999999994
2017-02-07,78,57.0,,0.57,44.459999999999994
2017-02-08,83,57.0,,0.57,47.309999999999995
2017-02-09,85,57.0,,0.57,48.449999999999996
2017-02-10,93,57.0,,0.57,53.01
2017-02-11,94,57.0,,0.57,53.58
2017-02-12,84,57.0,,0.57,47.879999999999995
2017-02-13,76,57.0,,0.57,43.31999999999999
2017-02-14,80,57.0,,0.57,45.599999999999994
2017-02-15,100,57.0,,0.57,56.99999999999999
2017-02-16,88,57.0,,0.57,50.16
2017-02-17,88,57.0,,0.57,50.16
2017-02-18,100,57.0,,0.57,56.99999999999999
2017-02-19,82,57.0,,0.57,46.739999999999995
2017-02-20,79,57.0,,0.57,45.029999999999994
2017-02-21,80,57.0,,0.57,45.599999999999994
2017-02-22,92,57.0,,0.57,52.44
2017-02-23,91,57.0,,0.57,51.87
2017-02-24,99,57.0,,0.57,56.42999999999999
2017-02-25,89,57.0,,0.57,50.73
2017-02-26,85,57.0,,0.57,48.449999999999996
2017-02-27,93,57.0,,0.57,53.01
2017-02-28,76,57.0,,0.57,43.31999999999999
2017-03-01,89,55.0,False,0.55,48.95
2017-03-02,88,55.0,,0.55,48.400000000000006
2017-03-03,87,55.0,,0.55,47.85
2017-03-04,82,55.0,,0.55,45.1
2017-03-05,69,55.0,,0.55,37.95
2017-03-06,80,55.0,,0.55,44.0
2017-03-07,74,55.0,,0.55,40.7
2017-03-08,75,55.0,,0.55,41.25
2017-03-09,90,55.0,,0.55,49.50000000000001
2017-03-10,80,55.0,,0.55,44.0
2017-03-11,73,55.0,,0.55,40.150000000000006
2017-03-12,65,55.0,,0.55,35.75
2017-03-13,75,55.0,,0.55,41.25
2017-03-14,66,55.0,,0.55,36.300000000000004
2017-03-15,87,55.0,,0.55,47.85
2017-03-16,93,55.0,,0.55,51.150000000000006
2017-03-17,77,55.0,,0.55,42.35
2017-03-18,77,55.0,,0.55,42.35
2017-03-19,75,55.0,,0.55,41.25
2017-03-20,81,55.0,,0.55,44.550000000000004
2017-03-21,88,55.0,,0.55,48.400000000000006
2017-03-22,86,55.0,,0.55,47.300000000000004
2017-03-23,100,55.0,,0.55,55.00000000000001
2017-03-24,91,55.0,,0.55,50.050000000000004
2017-03-25,69,55.0,,0.55,37.95
2017-03-26,81,55.0,,0.55,44.550000000000004
2017-03-27,89,55.0,,0.55,48.95
2017-03-28,96,55.0,,0.55,52.800000000000004
2017-03-29,80,55.0,,0.55,44.0
2017-03-30,88,55.0,,0.55,48.400000000000006
2017-03-31,80,55.0,,0.55,44.0
2017-04-01,57,60.0,False,0.6,34.199999999999996
2017-04-02,58,60.0,,0.6,34.8
2017-04-03,61,60.0,,0.6,36.6
2017-04-04,62,60.0,,0.6,37.199999999999996
2017-04-05,56,60.0,,0.6,33.6
2017-04-06,64,60.0,,0.6,38.4
2017-04-07,66,60.0,,0.6,39.6
2017-04-08,63,60.0,,0.6,37.8
2017-04-09,61,60.0,,0.6,36.6
2017-04-10,64,60.0,,0.6,38.4
2017-04-11,64,60.0,,0.6,38.4
2017-04-12,62,60.0,,0.6,37.199999999999996
2017-04-13,69,60.0,,0.6,41.4
2017-04-14,61,60.0,,0.6,36.6
2017-04-15,63,60.0,,0.6,37.8
2017-04-16,66,60.0,,0.6,39.6
2017-04-17,67,60.0,,0.6,40.199999999999996
2017-04-18,54,60.0,,0.6,32.4
2017-04-19,70,60.0,,0.6,42.0
2017-04-20,72,60.0,,0.6,43.199999999999996
2017-04-21,79,60.0,,0.6,47.4
2017-04-22,64,60.0,,0.6,38.4
2017-04-23,67,60.0,,0.6,40.199999999999996
2017-04-24,70,60.0,,0.6,42.0
2017-04-25,100,60.0,,0.6,60.0
2017-04-26,85,60.0,,0.6,51.0
2017-04-27,80,60.0,,0.6,48.0
2017-04-28,70,60.0,,0.6,42.0
2017-04-29,60,60.0,,0.6,36.0
2017-04-30,64,60.0,,0.6,38.4
2017-05-01,62,64.0,False,0.64,39.68
2017-05-02,61,64.0,,0.64,39.04
2017-05-03,62,64.0,,0.64,39.68
2017-05-04,64,64.0,,0.64,40.96
2017-05-05,60,64.0,,0.64,38.4
2017-05-06,52,64.0,,0.64,33.28
2017-05-07,58,64.0,,0.64,37.12
2017-05-08,65,64.0,,0.64,41.6
2017-05-09,63,64.0,,0.64,40.32
2017-05-10,67,64.0,,0.64,42.88
2017-05-11,68,64.0,,0.64,43.52
2017-05-12,72,64.0,,0.64,46.08
2017-05-13,54,64.0,,0.64,34.56
2017-05-14,67,64.0,,0.64,42.88
2017-05-15,70,64.0,,0.64,44.800000000000004
2017-05-16,81,64.0,,0.64,51.84
2017-05-17,76,64.0,,0.64,48.64
2017-05-18,100,64.0,,0.64,64.0
2017-05-19,82,64.0,,0.64,52.480000000000004
2017-05-20,57,64.0,,0.64,36.480000000000004
2017-05-21,57,64.0,,0.64,36.480000000000004
2017-05-22,66,64.0,,0.64,42.24
2017-05-23,64,64.0,,0.64,40.96
2017-05-24,70,64.0,,0.64,44.800000000000004
2017-05-25,78,64.0,,0.64,49.92
2017-05-26,69,64.0,,0.64,44.160000000000004
2017-05-27,54,64.0,,0.64,34.56
2017-05-28,54,64.0,,0.64,34.56
2017-05-29,57,64.0,,0.64,36.480000000000004
2017-05-30,58,64.0,,0.64,37.12
2017-05-31,53,64.0,,0.64,33.92
2017-06-01,53,68.0,False,0.68,36.04
2017-06-02,51,68.0,,0.68,34.68
2017-06-03,40,68.0,,0.68,27.200000000000003
2017-06-04,41,68.0,,0.68,27.880000000000003
2017-06-05,51,68.0,,0.68,34.68
2017-06-06,53,68.0,,0.68,36.04
2017-06-07,52,68.0,,0.68,35.36
2017-06-08,100,68.0,,0.68,68.0
2017-06-09,94,68.0,,0.68,63.92
2017-06-10,41,68.0,,0.68,27.880000000000003
2017-06-11,55,68.0,,0.68,37.400000000000006
2017-06-12,58,68.0,,0.68,39.440000000000005
2017-06-13,64,68.0,,0.68,43.52
2017-06-14,62,68.0,,0.68,42.160000000000004
2017-06-15,65,68.0,,0.68,44.2
2017-06-16,58,68.0,,0.68,39.440000000000005
2017-06-17,50,68.0,,0.68,34.0
2017-06-18,43,68.0,,0.68,29.240000000000002
2017-06-19,66,68.0,,0.68,44.88
2017-06-20,60,68.0,,0.68,40.800000000000004
2017-06-21,59,68.0,,0.68,40.120000000000005
2017-06-22,68,68.0,,0.68,46.24
2017-06-23,67,68.0,,0.68,45.56
2017-06-24,49,68.0,,0.68,33.32
2017-06-25,47,68.0,,0.68,31.96
2017-06-26,64,68.0,,0.68,43.52
2017-06-27,57,68.0,,0.68,38.760000000000005
2017-06-28,56,68.0,,0.68,38.080000000000005
2017-06-29,67,68.0,,0.68,45.56
2017-06-30,52,68.0,,0.68,35.36
2017-07-01,74,69.0,False,0.69,51.059999999999995
2017-07-02,71,69.0,,0.69,48.989999999999995
2017-07-03,74,69.0,,0.69,51.059999999999995
2017-07-04,65,69.0,,0.69,44.849999999999994
2017-07-05,77,69.0,,0.69,53.129999999999995
2017-07-06,81,69.0,,0.69,55.88999999999999
2017-07-07,81,69.0,,0.69,55.88999999999999
2017-07-08,84,69.0,,0.69,57.959999999999994
2017-07-09,90,69.0,,0.69,62.099999999999994
2017-07-10,76,69.0,,0.69,52.44
2017-07-11,70,69.0,,0.69,48.3
2017-07-12,79,69.0,,0.69,54.51
2017-07-13,89,69.0,,0.69,61.41
2017-07-14,100,69.0,,0.69,69.0
2017-07-15,96,69.0,,0.69,66.24
2017-07-16,75,69.0,,0.69,51.74999999999999
2017-07-17,81,69.0,,0.69,55.88999999999999
2017-07-18,92,69.0,,0.69,63.48
2017-07-19,83,69.0,,0.69,57.269999999999996
2017-07-20,90,69.0,,0.69,62.099999999999994
2017-07-21,91,69.0,,0.69,62.78999999999999
2017-07-22,80,69.0,,0.69,55.199999999999996
2017-07-23,71,69.0,,0.69,48.989999999999995
2017-07-24,87,69.0,,0.69,60.029999999999994
2017-07-25,82,69.0,,0.69,56.58
2017-07-26,85,69.0,,0.69,58.65
2017-07-27,92,69.0,,0.69,63.48
2017-07-28,98,69.0,,0.69,67.61999999999999
2017-07-29,72,69.0,,0.69,49.67999999999999
2017-07-30,64,69.0,,0.69,44.16
2017-07-31,85,69.0,,0.69,58.65
2017-08-01,63,88.0,False,0.88,55.44
2017-08-02,63,88.0,,0.88,55.44
2017-08-03,64,88.0,,0.88,56.32
2017-08-04,57,88.0,,0.88,50.160000000000004
2017-08-05,56,88.0,,0.88,49.28
2017-08-06,46,88.0,,0.88,40.48
2017-08-07,67,88.0,,0.88,58.96
2017-08-08,63,88.0,,0.88,55.44
2017-08-09,64,88.0,,0.88,56.32
2017-08-10,69,88.0,,0.88,60.72
2017-08-11,68,88.0,,0.88,59.84
2017-08-12,46,88.0,,0.88,40.48
2017-08-13,51,88.0,,0.88,44.88
2017-08-14,60,88.0,,0.88,52.8
2017-08-15,62,88.0,,0.88,54.56
2017-08-16,78,88.0,,0.88,68.64
2017-08-17,100,88.0,,0.88,88.0
2017-08-18,89,88.0,,0.88,78.32000000000001
2017-08-19,57,88.0,,0.88,50.160000000000004
2017-08-20,50,88.0,,0.88,44.0
2017-08-21,61,88.0,,0.88,53.68
2017-08-22,72,88.0,,0.88,63.36
2017-08-23,84,88.0,,0.88,73.92
2017-08-24,77,88.0,,0.88,67.76
2017-08-25,96,88.0,,0.88,84.48
2017-08-26,68,88.0,,0.88,59.84
2017-08-27,57,88.0,,0.88,50.160000000000004
2017-08-28,86,88.0,,0.88,75.68
2017-08-29,75,88.0,,0.88,66.0
2017-08-30,74,88.0,,0.88,65.12
2017-08-31,74,88.0,,0.88,65.12
2017-09-01,90,73.0,False,0.73,65.7
2017-09-02,68,73.0,,0.73,49.64
2017-09-03,65,73.0,,0.73,47.449999999999996
2017-09-04,76,73.0,,0.73,55.48
2017-09-05,83,73.0,,0.73,60.589999999999996
2017-09-06,72,73.0,,0.73,52.56
2017-09-07,85,73.0,,0.73,62.05
2017-09-08,72,73.0,,0.73,52.56
2017-09-09,64,73.0,,0.73,46.72
2017-09-10,65,73.0,,0.73,47.449999999999996
2017-09-11,73,73.0,,0.73,53.29
2017-09-12,85,73.0,,0.73,62.05
2017-09-13,90,73.0,,0.73,65.7
2017-09-14,100,73.0,,0.73,73.0
2017-09-15,94,73.0,,0.73,68.62
2017-09-16,71,73.0,,0.73,51.83
2017-09-17,59,73.0,,0.73,43.07
2017-09-18,76,73.0,,0.73,55.48
2017-09-19,92,73.0,,0.73,67.16
2017-09-20,90,73.0,,0.73,65.7
2017-09-21,75,73.0,,0.73,54.75
2017-09-22,85,73.0,,0.73,62.05
2017-09-23,69,73.0,,0.73,50.37
2017-09-24,64,73.0,,0.73,46.72
2017-09-25,94,73.0,,0.73,68.62
2017-09-26,86,73.0,,0.73,62.78
2017-09-27,96,73.0,,0.73,70.08
2017-09-28,80,73.0,,0.73,58.4
2017-09-29,78,73.0,,0.73,56.94
2017-09-30,68,73.0,,0.73,49.64
2017-10-01,64,74.0,False,0.74,47.36
2017-10-02,78,74.0,,0.74,57.72
2017-10-03,80,74.0,,0.74,59.2
2017-10-04,79,74.0,,0.74,58.46
2017-10-05,86,74.0,,0.74,63.64
2017-10-06,84,74.0,,0.74,62.16
2017-10-07,64,74.0,,0.74,47.36
2017-10-08,60,74.0,,0.74,44.4
2017-10-09,79,74.0,,0.74,58.46
2017-10-10,87,74.0,,0.74,64.38
2017-10-11,90,74.0,,0.74,66.6
2017-10-12,89,74.0,,0.74,65.86
2017-10-13,90,74.0,,0.74,66.6
2017-10-14,55,74.0,,0.74,40.7
2017-10-15,60,74.0,,0.74,44.4
2017-10-16,74,74.0,,0.74,54.76
2017-10-17,89,74.0,,0.74,65.86
2017-10-18,82,74.0,,0.74,60.68
2017-10-19,100,74.0,,0.74,74.0
2017-10-20,87,74.0,,0.74,64.38
2017-10-21,69,74.0,,0.74,51.06
2017-10-22,63,74.0,,0.74,46.62
2017-10-23,76,74.0,,0.74,56.24
2017-10-24,72,74.0,,0.74,53.28
2017-10-25,82,74.0,,0.74,60.68
2017-10-26,92,74.0,,0.74,68.08
2017-10-27,92,74.0,,0.74,68.08
2017-10-28,66,74.0,,0.74,48.839999999999996
2017-10-29,66,74.0,,0.74,48.839999999999996
2017-10-30,93,74.0,,0.74,68.82
2017-10-31,91,74.0,,0.74,67.34
2017-11-01,84,78.0,False,0.78,65.52
2017-11-02,100,78.0,,0.78,78.0
2017-11-03,76,78.0,,0.78,59.28
2017-11-04,46,78.0,,0.78,35.88
2017-11-05,46,78.0,,0.78,35.88
2017-11-06,63,78.0,,0.78,49.14
2017-11-07,64,78.0,,0.78,49.92
2017-11-08,60,78.0,,0.78,46.800000000000004
2017-11-09,65,78.0,,0.78,50.7
2017-11-10,72,78.0,,0.78,56.160000000000004
2017-11-11,56,78.0,,0.78,43.68
2017-11-12,50,78.0,,0.78,39.0
2017-11-13,68,78.0,,0.78,53.04
2017-11-14,61,78.0,,0.78,47.58
2017-11-15,62,78.0,,0.78,48.36
2017-11-16,59,78.0,,0.78,46.02
2017-11-17,53,78.0,,0.78,41.34
2017-11-18,40,78.0,,0.78,31.200000000000003
2017-11-19,41,78.0,,0.78,31.98
2017-11-20,56,78.0,,0.78,43.68
2017-11-21,60,78.0,,0.78,46.800000000000004
2017-11-22,68,78.0,,0.78,53.04
2017-11-23,48,78.0,,0.78,37.44
2017-11-24,57,78.0,,0.78,44.46
2017-11-25,39,78.0,,0.78,30.42
2017-11-26,37,78.0,,0.78,28.86
2017-11-27,54,78.0,,0.78,42.120000000000005
2017-11-28,55,78.0,,0.78,42.9
2017-11-29,64,78.0,,0.78,49.92
2017-11-30,65,78.0,,0.78,50.7
2017-12-01,95,71.0,False,0.71,67.45
2017-12-02,66,71.0,,0.71,46.86
2017-12-03,60,71.0,,0.71,42.599999999999994
2017-12-04,100,71.0,,0.71,71.0
2017-12-05,92,71.0,,0.71,65.32
2017-12-06,87,71.0,,0.71,61.769999999999996
2017-12-07,87,71.0,,0.71,61.769999999999996
2017-12-08,87,71.0,,0.71,61.769999999999996
2017-12-09,60,71.0,,0.71,42.599999999999994
2017-12-10,59,71.0,,0.71,41.89
2017-12-11,87,71.0,,0.71,61.769999999999996
2017-12-12,79,71.0,,0.71,56.089999999999996
2017-12-13,86,71.0,,0.71,61.059999999999995
2017-12-14,95,71.0,,0.71,67.45
2017-12-15,97,71.0,,0.71,68.86999999999999
2017-12-16,54,71.0,,0.71,38.339999999999996
2017-12-17,59,71.0,,0.71,41.89
2017-12-18,85,71.0,,0.71,60.349999999999994
2017-12-19,78,71.0,,0.71,55.379999999999995
2017-12-20,81,71.0,,0.71,57.51
