date,AL_unscaled,AL_monthly,isPartial,scale,AL
2016-10-14,47,92.0,,0.92,43.24
2016-10-15,44,92.0,,0.92,40.480000000000004
2016-10-16,37,92.0,,0.92,34.04
2016-10-17,48,92.0,,0.92,44.160000000000004
2016-10-18,48,92.0,,0.92,44.160000000000004
2016-10-19,50,92.0,,0.92,46.0
2016-10-20,54,92.0,,0.92,49.68
2016-10-21,100,92.0,,0.92,92.0
2016-10-22,56,92.0,,0.92,51.52
2016-10-23,44,92.0,,0.92,40.480000000000004
2016-10-24,51,92.0,,0.92,46.92
2016-10-25,48,92.0,,0.92,44.160000000000004
2016-10-26,47,92.0,,0.92,43.24
2016-10-27,48,92.0,,0.92,44.160000000000004
2016-10-28,50,92.0,,0.92,46.0
2016-10-29,42,92.0,,0.92,38.64
2016-10-30,38,92.0,,0.92,34.96
2016-10-31,46,92.0,,0.92,42.32
2016-11-01,91,87.0,False,0.87,79.17
2016-11-02,90,87.0,,0.87,78.3
2016-11-03,87,87.0,,0.87,75.69
2016-11-04,96,87.0,,0.87,83.52
2016-11-05,87,87.0,,0.87,75.69
2016-11-06,73,87.0,,0.87,63.51
2016-11-07,98,87.0,,0.87,85.26
2016-11-08,91,87.0,,0.87,79.17
2016-11-09,78,87.0,,0.87,67.86
2016-11-10,91,87.0,,0.87,79.17
2016-11-11,91,87.0,,0.87,79.17
2016-11-12,77,87.0,,0.87,66.99
2016-11-13,70,87.0,,0.87,60.9
2016-11-14,87,87.0,,0.87,75.69
2016-11-15,87,87.0,,0.87,75.69
2016-11-16,94,87.0,,0.87,81.78
2016-11-17,94,87.0,,0.87,81.78
2016-11-18,92,87.0,,0.87,80.04
2016-11-19,82,87.0,,0.87,71.34
2016-11-20,70,87.0,,0.87,60.9
2016-11-21,97,87.0,,0.87,84.39
2016-11-22,90,87.0,,0.87,78.3
2016-11-23,87,87.0,,0.87,75.69
2016-11-24,77,87.0,,0.87,66.99
2016-11-25,83,87.0,,0.87,72.21
2016-11-26,69,87.0,,0.87,60.03
2016-11-27,66,87.0,,0.87,57.42
2016-11-28,100,87.0,,0.87,87.0
2016-11-29,90,87.0,,0.87,78.3
2016-11-30,96,87.0,,0.87,83.52
2016-12-01,85,86.0,False,0.86,73.1
2016-12-02,87,86.0,,0.86,74.82
2016-12-03,77,86.0,,0.86,66.22
2016-12-04,76,86.0,,0.86,65.36
2016-12-05,91,86.0,,0.86,78.26
2016-12-06,93,86.0,,0.86,79.98
2016-12-07,88,86.0,,0.86,75.67999999999999
2016-12-08,85,86.0,,0.86,73.1
2016-12-09,83,86.0,,0.86,71.38
2016-12-10,76,86.0,,0.86,65.36
2016-12-11,70,86.0,,0.86,60.199999999999996
2016-12-12,86,86.0,,0.86,73.96
2016-12-13,88,86.0,,0.86,75.67999999999999
2016-12-14,85,86.0,,0.86,73.1
2016-12-15,86,86.0,,0.86,73.96
2016-12-16,83,86.0,,0.86,71.38
2016-12-17,83,86.0,,0.86,71.38
2016-12-18,73,86.0,,0.86,62.78
2016-12-19,90,86.0,,0.86,77.4
2016-12-20,90,86.0,,0.86,77.4
2016-12-21,92,86.0,,0.86,79.12
2016-12-22,89,86.0,,0.86,76.53999999999999
2016-12-23,93,86.0,,0.86,79.98
2016-12-24,80,86.0,,0.86,68.8
2016-12-25,66,86.0,,0.86,56.76
2016-12-26,82,86.0,,0.86,70.52
2016-12-27,88,86.0,,0.86,75.67999999999999
2016-12-28,100,86.0,,0.86,86.0
2016-12-29,95,86.0,,0.86,81.7
2016-12-30,93,86.0,,0.86,79.98
2016-12-31,77,86.0,,0.86,66.22
2017-01-01,76,86.0,False,0.86,65.36
2017-01-02,96,86.0,,0.86,82.56
2017-01-03,99,86.0,,0.86,85.14
2017-01-04,99,86.0,,0.86,85.14
2017-01-05,100,86.0,,0.86,86.0
2017-01-06,98,86.0,,0.86,84.28
2017-01-07,96,86.0,,0.86,82.56
2017-01-08,80,86.0,,0.86,68.8
2017-01-09,93,86.0,,0.86,79.98
2017-01-10,93,86.0,,0.86,79.98
2017-01-11,92,86.0,,0.86,79.12
2017-01-12,94,86.0,,0.86,80.84
2017-01-13,92,86.0,,0.86,79.12
2017-01-14,88,86.0,,0.86,75.67999999999999
2017-01-15,77,86.0,,0.86,66.22
2017-01-16,93,86.0,,0.86,79.98
2017-01-17,94,86.0,,0.86,80.84
2017-01-18,98,86.0,,0.86,84.28
2017-01-19,100,86.0,,0.86,86.0
2017-01-20,93,86.0,,0.86,79.98
2017-01-21,91,86.0,,0.86,78.26
2017-01-22,88,86.0,,0.86,75.67999999999999
2017-01-23,94,86.0,,0.86,80.84
2017-01-24,94,86.0,,0.86,80.84
2017-01-25,92,86.0,,0.86,79.12
2017-01-26,94,86.0,,0.86,80.84
2017-01-27,96,86.0,,0.86,82.56
2017-01-28,94,86.0,,0.86,80.84
2017-01-29,84,86.0,,0.86,72.24
2017-01-30,98,86.0,,0.86,84.28
2017-01-31,96,86.0,,0.86,82.56
2017-02-01,69,93.0,False,0.93,64.17
2017-02-02,69,93.0,,0.93,64.17
2017-02-03,67,93.0,,0.93,62.31
2017-02-04,66,93.0,,0.93,61.38
2017-02-05,55,93.0,,0.93,51.150000000000006
2017-02-06,62,93.0,,0.93,57.660000000000004
2017-02-07,69,93.0,,0.93,64.17
2017-02-08,66,93.0,,0.93,61.38
2017-02-09,69,93.0,,0.93,64.17
2017-02-10,66,93.0,,0.93,61.38
2017-02-11,67,93.0,,0.93,62.31
2017-02-12,100,93.0,,0.93,93.0
2017-02-13,98,93.0,,0.93,91.14
2017-02-14,73,93.0,,0.93,67.89
2017-02-15,67,93.0,,0.93,62.31
2017-02-16,69,93.0,,0.93,64.17
2017-02-17,68,93.0,,0.93,63.24
2017-02-18,68,93.0,,0.93,63.24
2017-02-19,61,93.0,,0.93,56.730000000000004
2017-02-20,69,93.0,,0.93,64.17
2017-02-21,70,93.0,,0.93,65.10000000000001
2017-02-22,66,93.0,,0.93,61.38
2017-02-23,68,93.0,,0.93,63.24
2017-02-24,68,93.0,,0.93,63.24
2017-02-25,70,93.0,,0.93,65.10000000000001
2017-02-26,59,93.0,,0.93,54.870000000000005
2017-02-27,68,93.0,,0.93,63.24
2017-02-28,68,93.0,,0.93,63.24
2017-03-01,96,91.0,False,0.91,87.36
2017-03-02,97,91.0,,0.91,88.27
2017-03-03,100,91.0,,0.91,91.0
2017-03-04,92,91.0,,0.91,83.72
2017-03-05,87,91.0,,0.91,79.17
2017-03-06,96,91.0,,0.91,87.36
2017-03-07,96,91.0,,0.91,87.36
2017-03-08,95,91.0,,0.91,86.45
2017-03-09,95,91.0,,0.91,86.45
2017-03-10,96,91.0,,0.91,87.36
2017-03-11,96,91.0,,0.91,87.36
2017-03-12,86,91.0,,0.91,78.26
2017-03-13,99,91.0,,0.91,90.09
2017-03-14,91,91.0,,0.91,82.81
2017-03-15,92,91.0,,0.91,83.72
2017-03-16,97,91.0,,0.91,88.27
2017-03-17,97,91.0,,0.91,88.27
2017-03-18,89,91.0,,0.91,80.99000000000001
2017-03-19,82,91.0,,0.91,74.62
2017-03-20,97,91.0,,0.91,88.27
2017-03-21,94,91.0,,0.91,85.54
2017-03-22,97,91.0,,0.91,88.27
2017-03-23,95,91.0,,0.91,86.45
2017-03-24,96,91.0,,0.91,87.36
2017-03-25,98,91.0,,0.91,89.18
2017-03-26,88,91.0,,0.91,80.08
2017-03-27,99,91.0,,0.91,90.09
2017-03-28,96,91.0,,0.91,87.36
2017-03-29,95,91.0,,0.91,86.45
2017-03-30,96,91.0,,0.91,87.36
2017-03-31,95,91.0,,0.91,86.45
2017-04-01,80,94.0,False,0.94,75.19999999999999
2017-04-02,72,94.0,,0.94,67.67999999999999
2017-04-03,93,94.0,,0.94,87.42
2017-04-04,89,94.0,,0.94,83.66
2017-04-05,94,94.0,,0.94,88.36
2017-04-06,92,94.0,,0.94,86.47999999999999
2017-04-07,100,94.0,,0.94,94.0
2017-04-08,89,94.0,,0.94,83.66
2017-04-09,78,94.0,,0.94,73.32
2017-04-10,93,94.0,,0.94,87.42
2017-04-11,89,94.0,,0.94,83.66
2017-04-12,83,94.0,,0.94,78.02
2017-04-13,86,94.0,,0.94,80.83999999999999
2017-04-14,88,94.0,,0.94,82.72
2017-04-15,82,94.0,,0.94,77.08
2017-04-16,71,94.0,,0.94,66.74
2017-04-17,91,94.0,,0.94,85.53999999999999
2017-04-18,87,94.0,,0.94,81.78
2017-04-19,84,94.0,,0.94,78.96
2017-04-20,85,94.0,,0.94,79.89999999999999
2017-04-21,87,94.0,,0.94,81.78
2017-04-22,87,94.0,,0.94,81.78
2017-04-23,83,94.0,,0.94,78.02
2017-04-24,89,94.0,,0.94,83.66
2017-04-25,85,94.0,,0.94,79.89999999999999
2017-04-26,84,94.0,,0.94,78.96
2017-04-27,89,94.0,,0.94,83.66
2017-04-28,86,94.0,,0.94,80.83999999999999
2017-04-29,83,94.0,,0.94,78.02
2017-04-30,81,94.0,,0.94,76.14
2017-05-01,91,96.0,False,0.96,87.36
2017-05-02,85,96.0,,0.96,81.6
2017-05-03,93,96.0,,0.96,89.28
2017-05-04,92,96.0,,0.96,88.32
2017-05-05,93,96.0,,0.96,89.28
2017-05-06,86,96.0,,0.96,82.56
2017-05-07,80,96.0,,0.96,76.8
2017-05-08,93,96.0,,0.96,89.28
2017-05-09,86,96.0,,0.96,82.56
2017-05-10,89,96.0,,0.96,85.44
2017-05-11,86,96.0,,0.96,82.56
2017-05-12,89,96.0,,0.96,85.44
2017-05-13,85,96.0,,0.96,81.6
2017-05-14,73,96.0,,0.96,70.08
2017-05-15,87,96.0,,0.96,83.52
2017-05-16,85,96.0,,0.96,81.6
2017-05-17,96,96.0,,0.96,92.16
2017-05-18,93,96.0,,0.96,89.28
2017-05-19,87,96.0,,0.96,83.52
2017-05-20,88,96.0,,0.96,84.47999999999999
2017-05-21,85,96.0,,0.96,81.6
2017-05-22,96,96.0,,0.96,92.16
2017-05-23,91,96.0,,0.96,87.36
2017-05-24,90,96.0,,0.96,86.39999999999999
2017-05-25,92,96.0,,0.96,88.32
2017-05-26,91,96.0,,0.96,87.36
2017-05-27,93,96.0,,0.96,89.28
2017-05-28,87,96.0,,0.96,83.52
2017-05-29,87,96.0,,0.96,83.52
2017-05-30,96,96.0,,0.96,92.16
2017-05-31,100,96.0,,0.96,96.0
2017-06-01,92,98.0,False,0.98,90.16
2017-06-02,91,98.0,,0.98,89.17999999999999
2017-06-03,86,98.0,,0.98,84.28
2017-06-04,80,98.0,,0.98,78.4
2017-06-05,90,98.0,,0.98,88.2
2017-06-06,91,98.0,,0.98,89.17999999999999
2017-06-07,88,98.0,,0.98,86.24
2017-06-08,89,98.0,,0.98,87.22
2017-06-09,88,98.0,,0.98,86.24
2017-06-10,79,98.0,,0.98,77.42
2017-06-11,77,98.0,,0.98,75.46
2017-06-12,92,98.0,,0.98,90.16
2017-06-13,82,98.0,,0.98,80.36
2017-06-14,83,98.0,,0.98,81.34
2017-06-15,85,98.0,,0.98,83.3
2017-06-16,87,98.0,,0.98,85.26
2017-06-17,87,98.0,,0.98,85.26
2017-06-18,78,98.0,,0.98,76.44
2017-06-19,97,98.0,,0.98,95.06
2017-06-20,89,98.0,,0.98,87.22
2017-06-21,96,98.0,,0.98,94.08
2017-06-22,100,98.0,,0.98,98.0
2017-06-23,98,98.0,,0.98,96.03999999999999
2017-06-24,95,98.0,,0.98,93.1
2017-06-25,89,98.0,,0.98,87.22
2017-06-26,95,98.0,,0.98,93.1
2017-06-27,87,98.0,,0.98,85.26
2017-06-28,86,98.0,,0.98,84.28
2017-06-29,88,98.0,,0.98,86.24
2017-06-30,89,98.0,,0.98,87.22
2017-07-01,91,96.0,False,0.96,87.36
2017-07-02,85,96.0,,0.96,81.6
2017-07-03,95,96.0,,0.96,91.2
2017-07-04,84,96.0,,0.96,80.64
2017-07-05,100,96.0,,0.96,96.0
2017-07-06,94,96.0,,0.96,90.24
2017-07-07,97,96.0,,0.96,93.11999999999999
2017-07-08,91,96.0,,0.96,87.36
2017-07-09,80,96.0,,0.96,76.8
2017-07-10,95,96.0,,0.96,91.2
2017-07-11,94,96.0,,0.96,90.24
2017-07-12,96,96.0,,0.96,92.16
2017-07-13,91,96.0,,0.96,87.36
2017-07-14,94,96.0,,0.96,90.24
2017-07-15,91,96.0,,0.96,87.36
2017-07-16,87,96.0,,0.96,83.52
2017-07-17,95,96.0,,0.96,91.2
2017-07-18,94,96.0,,0.96,90.24
2017-07-19,95,96.0,,0.96,91.2
2017-07-20,92,96.0,,0.96,88.32
2017-07-21,94,96.0,,0.96,90.24
2017-07-22,87,96.0,,0.96,83.52
2017-07-23,81,96.0,,0.96,77.75999999999999
2017-07-24,96,96.0,,0.96,92.16
2017-07-25,92,96.0,,0.96,88.32
2017-07-26,95,96.0,,0.96,91.2
2017-07-27,94,96.0,,0.96,90.24
2017-07-28,95,96.0,,0.96,91.2
2017-07-29,96,96.0,,0.96,92.16
2017-07-30,76,96.0,,0.96,72.96
2017-07-31,99,96.0,,0.96,95.03999999999999
2017-08-01,95,96.0,False,0.96,91.2
2017-08-02,99,96.0,,0.96,95.03999999999999
2017-08-03,100,96.0,,0.96,96.0
2017-08-04,96,96.0,,0.96,92.16
2017-08-05,92,96.0,,0.96,88.32
2017-08-06,88,96.0,,0.96,84.47999999999999
2017-08-07,98,96.0,,0.96,94.08
2017-08-08,94,96.0,,0.96,90.24
2017-08-09,94,96.0,,0.96,90.24
2017-08-10,92,96.0,,0.96,88.32
2017-08-11,91,96.0,,0.96,87.36
2017-08-12,87,96.0,,0.96,83.52
2017-08-13,77,96.0,,0.96,73.92
2017-08-14,93,96.0,,0.96,89.28
2017-08-15,96,96.0,,0.96,92.16
2017-08-16,90,96.0,,0.96,86.39999999999999
2017-08-17,92,96.0,,0.96,88.32
2017-08-18,88,96.0,,0.96,84.47999999999999
2017-08-19,87,96.0,,0.96,83.52
2017-08-20,78,96.0,,0.96,74.88
2017-08-21,90,96.0,,0.96,86.39999999999999
2017-08-22,89,96.0,,0.96,85.44
2017-08-23,91,96.0,,0.96,87.36
2017-08-24,87,96.0,,0.96,83.52
2017-08-25,85,96.0,,0.96,81.6
2017-08-26,80,96.0,,0.96,76.8
2017-08-27,68,96.0,,0.96,65.28
2017-08-28,88,96.0,,0.96,84.47999999999999
2017-08-29,86,96.0,,0.96,82.56
2017-08-30,87,96.0,,0.96,83.52
2017-08-31,93,96.0,,0.96,89.28
2017-09-01,100,85.0,False,0.85,85.0
2017-09-02,84,85.0,,0.85,71.39999999999999
2017-09-03,77,85.0,,0.85,65.45
2017-09-04,81,85.0,,0.85,68.85
2017-09-05,90,85.0,,0.85,76.5
2017-09-06,87,85.0,,0.85,73.95
2017-09-07,90,85.0,,0.85,76.5
2017-09-08,92,85.0,,0.85,78.2
2017-09-09,88,85.0,,0.85,74.8
2017-09-10,81,85.0,,0.85,68.85
2017-09-11,97,85.0,,0.85,82.45
2017-09-12,89,85.0,,0.85,75.64999999999999
2017-09-13,88,85.0,,0.85,74.8
2017-09-14,88,85.0,,0.85,74.8
2017-09-15,89,85.0,,0.85,75.64999999999999
2017-09-16,83,85.0,,0.85,70.55
2017-09-17,72,85.0,,0.85,61.199999999999996
2017-09-18,86,85.0,,0.85,73.1
2017-09-19,85,85.0,,0.85,72.25
2017-09-20,87,85.0,,0.85,73.95
2017-09-21,87,85.0,,0.85,73.95
2017-09-22,87,85.0,,0.85,73.95
2017-09-23,85,85.0,,0.85,72.25
2017-09-24,71,85.0,,0.85,60.35
2017-09-25,89,85.0,,0.85,75.64999999999999
2017-09-26,88,85.0,,0.85,74.8
2017-09-27,88,85.0,,0.85,74.8
2017-09-28,89,85.0,,0.85,75.64999999999999
2017-09-29,86,85.0,,0.85,73.1
2017-09-30,89,85.0,,0.85,75.64999999999999
2017-10-01,74,88.0,False,0.88,65.12
2017-10-02,85,88.0,,0.88,74.8
2017-10-03,85,88.0,,0.88,74.8
2017-10-04,91,88.0,,0.88,80.08
2017-10-05,86,88.0,,0.88,75.68
2017-10-06,90,88.0,,0.88,79.2
2017-10-07,83,88.0,,0.88,73.04
2017-10-08,84,88.0,,0.88,73.92
2017-10-09,86,88.0,,0.88,75.68
2017-10-10,87,88.0,,0.88,76.56
2017-10-11,94,88.0,,0.88,82.72
2017-10-12,89,88.0,,0.88,78.32000000000001
2017-10-13,92,88.0,,0.88,80.96
2017-10-14,85,88.0,,0.88,74.8
2017-10-15,73,88.0,,0.88,64.24
2017-10-16,100,88.0,,0.88,88.0
2017-10-17,86,88.0,,0.88,75.68
2017-10-18,85,88.0,,0.88,74.8
2017-10-19,89,88.0,,0.88,78.32000000000001
2017-10-20,91,88.0,,0.88,80.08
2017-10-21,85,88.0,,0.88,74.8
2017-10-22,75,88.0,,0.88,66.0
2017-10-23,92,88.0,,0.88,80.96
2017-10-24,86,88.0,,0.88,75.68
2017-10-25,84,88.0,,0.88,73.92
2017-10-26,84,88.0,,0.88,73.92
2017-10-27,88,88.0,,0.88,77.44
2017-10-28,83,88.0,,0.88,73.04
2017-10-29,68,88.0,,0.88,59.84
2017-10-30,84,88.0,,0.88,73.92
2017-10-31,83,88.0,,0.88,73.04
2017-11-01,44,95.0,False,0.95,41.8
2017-11-02,46,95.0,,0.95,43.699999999999996
2017-11-03,48,95.0,,0.95,45.599999999999994
2017-11-04,43,95.0,,0.95,40.85
2017-11-05,40,95.0,,0.95,38.0
2017-11-06,48,95.0,,0.95,45.599999999999994
2017-11-07,47,95.0,,0.95,44.65
2017-11-08,44,95.0,,0.95,41.8
2017-11-09,48,95.0,,0.95,45.599999999999994
2017-11-10,47,95.0,,0.95,44.65
2017-11-11,44,95.0,,0.95,41.8
2017-11-12,37,95.0,,0.95,35.15
2017-11-13,47,95.0,,0.95,44.65
2017-11-14,46,95.0,,0.95,43.699999999999996
2017-11-15,46,95.0,,0.95,43.699999999999996
2017-11-16,100,95.0,,0.95,95.0
2017-11-17,99,95.0,,0.95,94.05
2017-11-18,60,95.0,,0.95,57.0
2017-11-19,49,95.0,,0.95,46.55
2017-11-20,55,95.0,,0.95,52.25
2017-11-21,56,95.0,,0.95,53.199999999999996
2017-11-22,49,95.0,,0.95,46.55
2017-11-23,45,95.0,,0.95,42.75
2017-11-24,44,95.0,,0.95,41.8
2017-11-25,36,95.0,,0.95,34.199999999999996
2017-11-26,38,95.0,,0.95,36.1
2017-11-27,47,95.0,,0.95,44.65
2017-11-28,46,95.0,,0.95,43.699999999999996
2017-11-29,49,95.0,,0.95,46.55
2017-11-30,53,95.0,,0.95,50.349999999999994
2017-12-01,54,91.0,False,0.91,49.14
2017-12-02,51,91.0,,0.91,46.410000000000004
2017-12-03,45,91.0,,0.91,40.95
2017-12-04,53,91.0,,0.91,48.230000000000004
2017-12-05,53,91.0,,0.91,48.230000000000004
2017-12-06,68,91.0,,0.91,61.88
2017-12-07,100,91.0,,0.91,91.0
2017-12-08,73,91.0,,0.91,66.43
2017-12-09,57,91.0,,0.91,51.870000000000005
2017-12-10,50,91.0,,0.91,45.5
2017-12-11,55,91.0,,0.91,50.050000000000004
2017-12-12,55,91.0,,0.91,50.050000000000004
2017-12-13,63,91.0,,0.91,57.330000000000005
2017-12-14,53,91.0,,0.91,48.230000000000004
2017-12-15,54,91.0,,0.91,49.14
2017-12-16,52,91.0,,0.91,47.32
2017-12-17,45,91.0,,0.91,40.95
2017-12-18,56,91.0,,0.91,50.96
2017-12-19,57,91.0,,0.91,51.870000000000005
2017-12-20,57,91.0,,0.91,51.870000000000005
2017-12-21,56,91.0,,0.91,50.96
2017-12-22,57,91.0,,0.91,51.870000000000005
2017-12-23,51,91.0,,0.91,46.410000000000004
2017-12-24,48,91.0,,0.91,43.68
2017-12-25,41,91.0,,0.91,37.31
2017-12-26,55,91.0,,0.91,50.050000000000004
2017-12-27,59,91.0,,0.91,53.690000000000005
2017-12-28,58,91.0,,0.91,52.78
2017-12-29,58,91.0,,0.91,52.78
2017-12-30,53,91.0,,0.91,48.230000000000004
2017-12-31,49,91.0,,0.91,44.59
2018-01-01,83,85.0,False,0.85,70.55
2018-01-02,96,85.0,,0.85,81.6
2018-01-03,98,85.0,,0.85,83.3
