date,MAX_unscaled,MAX_monthly,isPartial,scale,MAX
2016-09-02,83,48.0,,0.48,39.839999999999996
2016-09-03,94,48.0,,0.48,45.12
2016-09-04,95,48.0,,0.48,45.6
2016-09-05,93,48.0,,0.48,44.64
2016-09-06,86,48.0,,0.48,41.28
2016-09-07,82,48.0,,0.48,39.36
2016-09-08,81,48.0,,0.48,38.879999999999995
2016-09-09,84,48.0,,0.48,40.32
2016-09-10,91,48.0,,0.48,43.68
2016-09-11,81,48.0,,0.48,38.879999999999995
2016-09-12,82,48.0,,0.48,39.36
2016-09-13,85,48.0,,0.48,40.8
2016-09-14,82,48.0,,0.48,39.36
2016-09-15,83,48.0,,0.48,39.839999999999996
2016-09-16,87,48.0,,0.48,41.76
2016-09-17,100,48.0,,0.48,48.0
2016-09-18,90,48.0,,0.48,43.199999999999996
2016-09-19,87,48.0,,0.48,41.76
2016-09-20,84,48.0,,0.48,40.32
2016-09-21,84,48.0,,0.48,40.32
2016-09-22,84,48.0,,0.48,40.32
2016-09-23,85,48.0,,0.48,40.8
2016-09-24,90,48.0,,0.48,43.199999999999996
2016-09-25,87,48.0,,0.48,41.76
2016-09-26,84,48.0,,0.48,40.32
2016-09-27,80,48.0,,0.48,38.4
2016-09-28,83,48.0,,0.48,39.839999999999996
2016-09-29,82,48.0,,0.48,39.36
2016-09-30,85,48.0,,0.48,40.8
2016-10-01,76,50.0,False,0.5,38.0
2016-10-02,73,50.0,,0.5,36.5
2016-10-03,71,50.0,,0.5,35.5
2016-10-04,73,50.0,,0.5,36.5
2016-10-05,69,50.0,,0.5,34.5
2016-10-06,73,50.0,,0.5,36.5
2016-10-07,69,50.0,,0.5,34.5
2016-10-08,74,50.0,,0.5,37.0
2016-10-09,69,50.0,,0.5,34.5
2016-10-10,69,50.0,,0.5,34.5
2016-10-11,74,50.0,,0.5,37.0
2016-10-12,73,50.0,,0.5,36.5
2016-10-13,71,50.0,,0.5,35.5
2016-10-14,95,50.0,,0.5,47.5
2016-10-15,100,50.0,,0.5,50.0
2016-10-16,84,50.0,,0.5,42.0
2016-10-17,83,50.0,,0.5,41.5
2016-10-18,88,50.0,,0.5,44.0
2016-10-19,78,50.0,,0.5,39.0
2016-10-20,75,50.0,,0.5,37.5
2016-10-21,78,50.0,,0.5,39.0
2016-10-22,84,50.0,,0.5,42.0
2016-10-23,75,50.0,,0.5,37.5
2016-10-24,73,50.0,,0.5,36.5
2016-10-25,75,50.0,,0.5,37.5
2016-10-26,74,50.0,,0.5,37.0
2016-10-27,77,50.0,,0.5,38.5
2016-10-28,75,50.0,,0.5,37.5
2016-10-29,74,50.0,,0.5,37.0
2016-10-30,68,50.0,,0.5,34.0
2016-10-31,70,50.0,,0.5,35.0
2016-11-01,92,48.0,False,0.48,44.16
2016-11-02,93,48.0,,0.48,44.64
2016-11-03,87,48.0,,0.48,41.76
2016-11-04,94,48.0,,0.48,45.12
2016-11-05,95,48.0,,0.48,45.6
2016-11-06,93,48.0,,0.48,44.64
2016-11-07,91,48.0,,0.48,43.68
2016-11-08,88,48.0,,0.48,42.239999999999995
2016-11-09,62,48.0,,0.48,29.759999999999998
2016-11-10,90,48.0,,0.48,43.199999999999996
2016-11-11,89,48.0,,0.48,42.72
2016-11-12,91,48.0,,0.48,43.68
2016-11-13,88,48.0,,0.48,42.239999999999995
2016-11-14,90,48.0,,0.48,43.199999999999996
2016-11-15,95,48.0,,0.48,45.6
2016-11-16,95,48.0,,0.48,45.6
2016-11-17,99,48.0,,0.48,47.519999999999996
2016-11-18,91,48.0,,0.48,43.68
2016-11-19,95,48.0,,0.48,45.6
2016-11-20,94,48.0,,0.48,45.12
2016-11-21,91,48.0,,0.48,43.68
2016-11-22,91,48.0,,0.48,43.68
2016-11-23,92,48.0,,0.48,44.16
2016-11-24,89,48.0,,0.48,42.72
2016-11-25,100,48.0,,0.48,48.0
2016-11-26,99,48.0,,0.48,47.519999999999996
2016-11-27,99,48.0,,0.48,47.519999999999996
2016-11-28,100,48.0,,0.48,48.0
2016-11-29,100,48.0,,0.48,48.0
2016-11-30,96,48.0,,0.48,46.08
2016-12-01,91,50.0,False,0.5,45.5
2016-12-02,88,50.0,,0.5,44.0
2016-12-03,92,50.0,,0.5,46.0
2016-12-04,90,50.0,,0.5,45.0
2016-12-05,97,50.0,,0.5,48.5
2016-12-06,87,50.0,,0.5,43.5
2016-12-07,87,50.0,,0.5,43.5
2016-12-08,90,50.0,,0.5,45.0
2016-12-09,88,50.0,,0.5,44.0
2016-12-10,95,50.0,,0.5,47.5
2016-12-11,100,50.0,,0.5,50.0
2016-12-12,90,50.0,,0.5,45.0
2016-12-13,91,50.0,,0.5,45.5
2016-12-14,89,50.0,,0.5,44.5
2016-12-15,90,50.0,,0.5,45.0
2016-12-16,87,50.0,,0.5,43.5
2016-12-17,88,50.0,,0.5,44.0
2016-12-18,90,50.0,,0.5,45.0
2016-12-19,87,50.0,,0.5,43.5
2016-12-20,95,50.0,,0.5,47.5
2016-12-21,90,50.0,,0.5,45.0
2016-12-22,88,50.0,,0.5,44.0
2016-12-23,94,50.0,,0.5,47.0
2016-12-24,91,50.0,,0.5,45.5
2016-12-25,89,50.0,,0.5,44.5
2016-12-26,91,50.0,,0.5,45.5
2016-12-27,91,50.0,,0.5,45.5
2016-12-28,89,50.0,,0.5,44.5
2016-12-29,86,50.0,,0.5,43.0
2016-12-30,92,50.0,,0.5,46.0
2016-12-31,88,50.0,,0.5,44.0
2017-01-01,86,49.0,False,0.49,42.14
2017-01-02,94,49.0,,0.49,46.06
2017-01-03,94,49.0,,0.49,46.06
2017-01-04,94,49.0,,0.49,46.06
2017-01-05,98,49.0,,0.49,48.019999999999996
2017-01-06,89,49.0,,0.49,43.61
2017-01-07,91,49.0,,0.49,44.589999999999996
2017-01-08,93,49.0,,0.49,45.57
2017-01-09,88,49.0,,0.49,43.12
2017-01-10,90,49.0,,0.49,44.1
2017-01-11,86,49.0,,0.49,42.14
2017-01-12,86,49.0,,0.49,42.14
2017-01-13,88,49.0,,0.49,43.12
2017-01-14,100,49.0,,0.49,49.0
2017-01-15,89,49.0,,0.49,43.61
2017-01-16,87,49.0,,0.49,42.63
2017-01-17,86,49.0,,0.49,42.14
2017-01-18,85,49.0,,0.49,41.65
2017-01-19,86,49.0,,0.49,42.14
2017-01-20,82,49.0,,0.49,40.18
2017-01-21,87,49.0,,0.49,42.63
2017-01-22,86,49.0,,0.49,42.14
2017-01-23,87,49.0,,0.49,42.63
2017-01-24,84,49.0,,0.49,41.16
2017-01-25,81,49.0,,0.49,39.69
2017-01-26,80,49.0,,0.49,39.2
2017-01-27,86,49.0,,0.49,42.14
2017-01-28,85,49.0,,0.49,41.65
2017-01-29,89,49.0,,0.49,43.61
2017-01-30,83,49.0,,0.49,40.67
2017-01-31,87,49.0,,0.49,42.63
2017-02-01,95,47.0,False,0.47,44.65
2017-02-02,91,47.0,,0.47,42.769999999999996
2017-02-03,90,47.0,,0.47,42.3
2017-02-04,95,47.0,,0.47,44.65
2017-02-05,92,47.0,,0.47,43.239999999999995
2017-02-06,85,47.0,,0.47,39.949999999999996
2017-02-07,90,47.0,,0.47,42.3
2017-02-08,93,47.0,,0.47,43.71
2017-02-09,89,47.0,,0.47,41.83
2017-02-10,92,47.0,,0.47,43.239999999999995
2017-02-11,94,47.0,,0.47,44.18
2017-02-12,94,47.0,,0.47,44.18
2017-02-13,89,47.0,,0.47,41.83
2017-02-14,88,47.0,,0.47,41.36
2017-02-15,93,47.0,,0.47,43.71
2017-02-16,93,47.0,,0.47,43.71
2017-02-17,90,47.0,,0.47,42.3
2017-02-18,94,47.0,,0.47,44.18
2017-02-19,96,47.0,,0.47,45.12
2017-02-20,98,47.0,,0.47,46.059999999999995
2017-02-21,97,47.0,,0.47,45.589999999999996
2017-02-22,95,47.0,,0.47,44.65
2017-02-23,95,47.0,,0.47,44.65
2017-02-24,98,47.0,,0.47,46.059999999999995
2017-02-25,97,47.0,,0.47,45.589999999999996
2017-02-26,100,47.0,,0.47,47.0
2017-02-27,93,47.0,,0.47,43.71
2017-02-28,92,47.0,,0.47,43.239999999999995
2017-03-01,82,50.0,False,0.5,41.0
2017-03-02,85,50.0,,0.5,42.5
2017-03-03,84,50.0,,0.5,42.0
2017-03-04,88,50.0,,0.5,44.0
2017-03-05,85,50.0,,0.5,42.5
2017-03-06,86,50.0,,0.5,43.0
2017-03-07,86,50.0,,0.5,43.0
2017-03-08,82,50.0,,0.5,41.0
2017-03-09,81,50.0,,0.5,40.5
2017-03-10,84,50.0,,0.5,42.0
2017-03-11,86,50.0,,0.5,43.0
2017-03-12,82,50.0,,0.5,41.0
2017-03-13,83,50.0,,0.5,41.5
2017-03-14,83,50.0,,0.5,41.5
2017-03-15,83,50.0,,0.5,41.5
2017-03-16,83,50.0,,0.5,41.5
2017-03-17,83,50.0,,0.5,41.5
2017-03-18,86,50.0,,0.5,43.0
2017-03-19,82,50.0,,0.5,41.0
2017-03-20,84,50.0,,0.5,42.0
2017-03-21,92,50.0,,0.5,46.0
2017-03-22,83,50.0,,0.5,41.5
2017-03-23,87,50.0,,0.5,43.5
2017-03-24,86,50.0,,0.5,43.0
2017-03-25,88,50.0,,0.5,44.0
2017-03-26,100,50.0,,0.5,50.0
2017-03-27,96,50.0,,0.5,48.0
2017-03-28,90,50.0,,0.5,45.0
2017-03-29,85,50.0,,0.5,42.5
2017-03-30,88,50.0,,0.5,44.0
2017-03-31,85,50.0,,0.5,42.5
2017-04-01,95,47.0,False,0.47,44.65
2017-04-02,97,47.0,,0.47,45.589999999999996
2017-04-03,90,47.0,,0.47,42.3
2017-04-04,94,47.0,,0.47,44.18
2017-04-05,94,47.0,,0.47,44.18
2017-04-06,92,47.0,,0.47,43.239999999999995
2017-04-07,93,47.0,,0.47,43.71
2017-04-08,96,47.0,,0.47,45.12
2017-04-09,96,47.0,,0.47,45.12
2017-04-10,95,47.0,,0.47,44.65
2017-04-11,95,47.0,,0.47,44.65
2017-04-12,93,47.0,,0.47,43.71
2017-04-13,100,47.0,,0.47,47.0
2017-04-14,94,47.0,,0.47,44.18
2017-04-15,95,47.0,,0.47,44.65
2017-04-16,97,47.0,,0.47,45.589999999999996
2017-04-17,94,47.0,,0.47,44.18
2017-04-18,90,47.0,,0.47,42.3
2017-04-19,90,47.0,,0.47,42.3
2017-04-20,91,47.0,,0.47,42.769999999999996
2017-04-21,89,47.0,,0.47,41.83
2017-04-22,93,47.0,,0.47,43.71
2017-04-23,93,47.0,,0.47,43.71
2017-04-24,96,47.0,,0.47,45.12
2017-04-25,97,47.0,,0.47,45.589999999999996
2017-04-26,90,47.0,,0.47,42.3
2017-04-27,91,47.0,,0.47,42.769999999999996
2017-04-28,91,47.0,,0.47,42.769999999999996
2017-04-29,91,47.0,,0.47,42.769999999999996
2017-04-30,96,47.0,,0.47,45.12
2017-05-01,87,47.0,False,0.47,40.89
2017-05-02,87,47.0,,0.47,40.89
2017-05-03,84,47.0,,0.47,39.48
2017-05-04,86,47.0,,0.47,40.419999999999995
2017-05-05,87,47.0,,0.47,40.89
2017-05-06,86,47.0,,0.47,40.419999999999995
2017-05-07,89,47.0,,0.47,41.83
2017-05-08,88,47.0,,0.47,41.36
2017-05-09,86,47.0,,0.47,40.419999999999995
2017-05-10,86,47.0,,0.47,40.419999999999995
2017-05-11,86,47.0,,0.47,40.419999999999995
2017-05-12,85,47.0,,0.47,39.949999999999996
2017-05-13,91,47.0,,0.47,42.769999999999996
2017-05-14,89,47.0,,0.47,41.83
2017-05-15,87,47.0,,0.47,40.89
2017-05-16,87,47.0,,0.47,40.89
2017-05-17,83,47.0,,0.47,39.01
2017-05-18,91,47.0,,0.47,42.769999999999996
2017-05-19,85,47.0,,0.47,39.949999999999996
2017-05-20,93,47.0,,0.47,43.71
2017-05-21,92,47.0,,0.47,43.239999999999995
2017-05-22,89,47.0,,0.47,41.83
2017-05-23,85,47.0,,0.47,39.949999999999996
2017-05-24,87,47.0,,0.47,40.89
2017-05-25,85,47.0,,0.47,39.949999999999996
2017-05-26,86,47.0,,0.47,40.419999999999995
2017-05-27,97,47.0,,0.47,45.589999999999996
2017-05-28,100,47.0,,0.47,47.0
2017-05-29,93,47.0,,0.47,43.71
2017-05-30,89,47.0,,0.47,41.83
2017-05-31,84,47.0,,0.47,39.48
2017-06-01,79,46.0,False,0.46,36.34
2017-06-02,81,46.0,,0.46,37.260000000000005
2017-06-03,85,46.0,,0.46,39.1
2017-06-04,100,46.0,,0.46,46.0
2017-06-05,83,46.0,,0.46,38.18
2017-06-06,83,46.0,,0.46,38.18
2017-06-07,80,46.0,,0.46,36.800000000000004
2017-06-08,79,46.0,,0.46,36.34
2017-06-09,79,46.0,,0.46,36.34
2017-06-10,79,46.0,,0.46,36.34
2017-06-11,83,46.0,,0.46,38.18
2017-06-12,79,46.0,,0.46,36.34
2017-06-13,76,46.0,,0.46,34.96
2017-06-14,76,46.0,,0.46,34.96
2017-06-15,83,46.0,,0.46,38.18
2017-06-16,79,46.0,,0.46,36.34
2017-06-17,83,46.0,,0.46,38.18
2017-06-18,82,46.0,,0.46,37.72
2017-06-19,79,46.0,,0.46,36.34
2017-06-20,78,46.0,,0.46,35.88
2017-06-21,77,46.0,,0.46,35.42
2017-06-22,78,46.0,,0.46,35.88
2017-06-23,77,46.0,,0.46,35.42
2017-06-24,79,46.0,,0.46,36.34
2017-06-25,84,46.0,,0.46,38.64
2017-06-26,77,46.0,,0.46,35.42
2017-06-27,79,46.0,,0.46,36.34
2017-06-28,81,46.0,,0.46,37.260000000000005
2017-06-29,78,46.0,,0.46,35.88
2017-06-30,77,46.0,,0.46,35.42
2017-07-01,89,46.0,False,0.46,40.940000000000005
2017-07-02,93,46.0,,0.46,42.78
2017-07-03,93,46.0,,0.46,42.78
2017-07-04,89,46.0,,0.46,40.940000000000005
2017-07-05,88,46.0,,0.46,40.480000000000004
2017-07-06,89,46.0,,0.46,40.940000000000005
2017-07-07,90,46.0,,0.46,41.4
2017-07-08,96,46.0,,0.46,44.160000000000004
2017-07-09,100,46.0,,0.46,46.0
2017-07-10,92,46.0,,0.46,42.32
2017-07-11,91,46.0,,0.46,41.86
2017-07-12,95,46.0,,0.46,43.7
2017-07-13,92,46.0,,0.46,42.32
2017-07-14,94,46.0,,0.46,43.24
2017-07-15,93,46.0,,0.46,42.78
2017-07-16,97,46.0,,0.46,44.620000000000005
2017-07-17,90,46.0,,0.46,41.4
2017-07-18,92,46.0,,0.46,42.32
2017-07-19,92,46.0,,0.46,42.32
2017-07-20,90,46.0,,0.46,41.4
2017-07-21,90,46.0,,0.46,41.4
2017-07-22,93,46.0,,0.46,42.78
2017-07-23,96,46.0,,0.46,44.160000000000004
2017-07-24,95,46.0,,0.46,43.7
2017-07-25,93,46.0,,0.46,42.78
2017-07-26,92,46.0,,0.46,42.32
2017-07-27,93,46.0,,0.46,42.78
2017-07-28,93,46.0,,0.46,42.78
2017-07-29,97,46.0,,0.46,44.620000000000005
2017-07-30,98,46.0,,0.46,45.080000000000005
2017-07-31,97,46.0,,0.46,44.620000000000005
2017-08-01,91,48.0,False,0.48,43.68
2017-08-02,95,48.0,,0.48,45.6
2017-08-03,89,48.0,,0.48,42.72
2017-08-04,93,48.0,,0.48,44.64
2017-08-05,98,48.0,,0.48,47.04
2017-08-06,97,48.0,,0.48,46.559999999999995
2017-08-07,94,48.0,,0.48,45.12
2017-08-08,90,48.0,,0.48,43.199999999999996
2017-08-09,92,48.0,,0.48,44.16
2017-08-10,91,48.0,,0.48,43.68
2017-08-11,92,48.0,,0.48,44.16
2017-08-12,92,48.0,,0.48,44.16
2017-08-13,95,48.0,,0.48,45.6
2017-08-14,91,48.0,,0.48,43.68
2017-08-15,94,48.0,,0.48,45.12
2017-08-16,88,48.0,,0.48,42.239999999999995
2017-08-17,94,48.0,,0.48,45.12
2017-08-18,88,48.0,,0.48,42.239999999999995
2017-08-19,100,48.0,,0.48,48.0
2017-08-20,95,48.0,,0.48,45.6
2017-08-21,93,48.0,,0.48,44.64
2017-08-22,92,48.0,,0.48,44.16
2017-08-23,92,48.0,,0.48,44.16
2017-08-24,91,48.0,,0.48,43.68
2017-08-25,90,48.0,,0.48,43.199999999999996
2017-08-26,94,48.0,,0.48,45.12
2017-08-27,91,48.0,,0.48,43.68
2017-08-28,90,48.0,,0.48,43.199999999999996
2017-08-29,90,48.0,,0.48,43.199999999999996
2017-08-30,92,48.0,,0.48,44.16
2017-08-31,92,48.0,,0.48,44.16
2017-09-01,100,48.0,False,0.48,48.0
2017-09-02,100,48.0,,0.48,48.0
2017-09-03,96,48.0,,0.48,46.08
2017-09-04,96,48.0,,0.48,46.08
2017-09-05,89,48.0,,0.48,42.72
2017-09-06,89,48.0,,0.48,42.72
2017-09-07,89,48.0,,0.48,42.72
2017-09-08,88,48.0,,0.48,42.239999999999995
2017-09-09,95,48.0,,0.48,45.6
2017-09-10,87,48.0,,0.48,41.76
2017-09-11,85,48.0,,0.48,40.8
2017-09-12,87,48.0,,0.48,41.76
2017-09-13,89,48.0,,0.48,42.72
2017-09-14,98,48.0,,0.48,47.04
2017-09-15,94,48.0,,0.48,45.12
2017-09-16,97,48.0,,0.48,46.559999999999995
2017-09-17,94,48.0,,0.48,45.12
2017-09-18,91,48.0,,0.48,43.68
2017-09-19,92,48.0,,0.48,44.16
2017-09-20,93,48.0,,0.48,44.64
2017-09-21,91,48.0,,0.48,43.68
2017-09-22,97,48.0,,0.48,46.559999999999995
2017-09-23,95,48.0,,0.48,45.6
2017-09-24,88,48.0,,0.48,42.239999999999995
2017-09-25,90,48.0,,0.48,43.199999999999996
2017-09-26,94,48.0,,0.48,45.12
2017-09-27,94,48.0,,0.48,45.12
2017-09-28,93,48.0,,0.48,44.64
2017-09-29,94,48.0,,0.48,45.12
2017-09-30,98,48.0,,0.48,47.04
2017-10-01,89,51.0,False,0.51,45.39
2017-10-02,85,51.0,,0.51,43.35
2017-10-03,93,51.0,,0.51,47.43
2017-10-04,98,51.0,,0.51,49.980000000000004
2017-10-05,97,51.0,,0.51,49.47
2017-10-06,92,51.0,,0.51,46.92
2017-10-07,87,51.0,,0.51,44.37
2017-10-08,84,51.0,,0.51,42.84
2017-10-09,93,51.0,,0.51,47.43
2017-10-10,91,51.0,,0.51,46.410000000000004
2017-10-11,90,51.0,,0.51,45.9
2017-10-12,96,51.0,,0.51,48.96
2017-10-13,100,51.0,,0.51,51.0
2017-10-14,89,51.0,,0.51,45.39
2017-10-15,84,51.0,,0.51,42.84
2017-10-16,90,51.0,,0.51,45.9
2017-10-17,92,51.0,,0.51,46.92
2017-10-18,92,51.0,,0.51,46.92
2017-10-19,94,51.0,,0.51,47.94
2017-10-20,87,51.0,,0.51,44.37
2017-10-21,87,51.0,,0.51,44.37
2017-10-22,84,51.0,,0.51,42.84
2017-10-23,92,51.0,,0.51,46.92
2017-10-24,89,51.0,,0.51,45.39
2017-10-25,91,51.0,,0.51,46.410000000000004
2017-10-26,86,51.0,,0.51,43.86
2017-10-27,91,51.0,,0.51,46.410000000000004
2017-10-28,93,51.0,,0.51,47.43
2017-10-29,90,51.0,,0.51,45.9
2017-10-30,88,51.0,,0.51,44.88
2017-10-31,85,51.0,,0.51,43.35
2017-11-01,88,49.0,False,0.49,43.12
2017-11-02,89,49.0,,0.49,43.61
2017-11-03,90,49.0,,0.49,44.1
2017-11-04,95,49.0,,0.49,46.55
2017-11-05,88,49.0,,0.49,43.12
2017-11-06,93,49.0,,0.49,45.57
2017-11-07,95,49.0,,0.49,46.55
2017-11-08,99,49.0,,0.49,48.51
2017-11-09,87,49.0,,0.49,42.63
2017-11-10,90,49.0,,0.49,44.1
2017-11-11,97,49.0,,0.49,47.53
2017-11-12,95,49.0,,0.49,46.55
2017-11-13,92,49.0,,0.49,45.08
2017-11-14,92,49.0,,0.49,45.08
2017-11-15,91,49.0,,0.49,44.589999999999996
2017-11-16,96,49.0,,0.49,47.04
2017-11-17,91,49.0,,0.49,44.589999999999996
2017-11-18,96,49.0,,0.49,47.04
2017-11-19,90,49.0,,0.49,44.1
2017-11-20,93,49.0,,0.49,45.57
2017-11-21,93,49.0,,0.49,45.57
2017-11-22,87,49.0,,0.49,42.63
2017-11-23,87,49.0,,0.49,42.63
2017-11-24,97,49.0,,0.49,47.53
2017-11-25,99,49.0,,0.49,48.51
2017-11-26,95,49.0,,0.49,46.55
2017-11-27,100,49.0,,0.49,49.0
2017-11-28,97,49.0,,0.49,47.53
2017-11-29,94,49.0,,0.49,46.06
2017-11-30,93,49.0,,0.49,45.57
2017-12-01,65,52.0,False,0.52,33.800000000000004
2017-12-02,68,52.0,,0.52,35.36
2017-12-03,73,52.0,,0.52,37.96
2017-12-04,73,52.0,,0.52,37.96
2017-12-05,65,52.0,,0.52,33.800000000000004
2017-12-06,66,52.0,,0.52,34.32
2017-12-07,66,52.0,,0.52,34.32
2017-12-08,64,52.0,,0.52,33.28
2017-12-09,66,52.0,,0.52,34.32
2017-12-10,67,52.0,,0.52,34.84
2017-12-11,100,52.0,,0.52,52.0
2017-12-12,75,52.0,,0.52,39.0
2017-12-13,68,52.0,,0.52,35.36
2017-12-14,65,52.0,,0.52,33.800000000000004
2017-12-15,66,52.0,,0.52,34.32
2017-12-16,68,52.0,,0.52,35.36
2017-12-17,67,52.0,,0.52,34.84
2017-12-18,67,52.0,,0.52,34.84
2017-12-19,65,52.0,,0.52,33.800000000000004
2017-12-20,67,52.0,,0.52,34.84
2017-12-21,68,52.0,,0.52,35.36
2017-12-22,65,52.0,,0.52,33.800000000000004
2017-12-23,69,52.0,,0.52,35.88
2017-12-24,71,52.0,,0.52,36.92
2017-12-25,68,52.0,,0.52,35.36
2017-12-26,68,52.0,,0.52,35.36
2017-12-27,69,52.0,,0.52,35.88
2017-12-28,66,52.0,,0.52,34.32
2017-12-29,66,52.0,,0.52,34.32
2017-12-30,67,52.0,,0.52,34.84
2017-12-31,63,52.0,,0.52,32.76
2018-01-01,81,51.0,False,0.51,41.31
2018-01-02,86,51.0,,0.51,43.86
