date,NVAX_unscaled,NVAX_monthly,isPartial,scale,NVAX
2016-06-17,34,9.0,,0.09,3.06
2016-06-18,18,9.0,,0.09,1.6199999999999999
2016-06-19,13,9.0,,0.09,1.17
2016-06-20,66,9.0,,0.09,5.9399999999999995
2016-06-21,59,9.0,,0.09,5.31
2016-06-22,44,9.0,,0.09,3.96
2016-06-23,69,9.0,,0.09,6.21
2016-06-24,100,9.0,,0.09,9.0
2016-06-25,31,9.0,,0.09,2.79
2016-06-26,0,9.0,,0.09,0.0
2016-06-27,54,9.0,,0.09,4.859999999999999
2016-06-28,73,9.0,,0.09,6.569999999999999
2016-06-29,59,9.0,,0.09,5.31
2016-06-30,86,9.0,,0.09,7.739999999999999
2016-07-01,98,8.0,False,0.08,7.84
2016-07-02,20,8.0,,0.08,1.6
2016-07-03,35,8.0,,0.08,2.8000000000000003
2016-07-04,40,8.0,,0.08,3.2
2016-07-05,88,8.0,,0.08,7.04
2016-07-06,84,8.0,,0.08,6.72
2016-07-07,90,8.0,,0.08,7.2
2016-07-08,80,8.0,,0.08,6.4
2016-07-09,13,8.0,,0.08,1.04
2016-07-10,20,8.0,,0.08,1.6
2016-07-11,79,8.0,,0.08,6.32
2016-07-12,90,8.0,,0.08,7.2
2016-07-13,92,8.0,,0.08,7.36
2016-07-14,76,8.0,,0.08,6.08
2016-07-15,52,8.0,,0.08,4.16
2016-07-16,26,8.0,,0.08,2.08
2016-07-17,7,8.0,,0.08,0.56
2016-07-18,45,8.0,,0.08,3.6
2016-07-19,67,8.0,,0.08,5.36
2016-07-20,52,8.0,,0.08,4.16
2016-07-21,80,8.0,,0.08,6.4
2016-07-22,76,8.0,,0.08,6.08
2016-07-23,39,8.0,,0.08,3.12
2016-07-24,13,8.0,,0.08,1.04
2016-07-25,100,8.0,,0.08,8.0
2016-07-26,45,8.0,,0.08,3.6
2016-07-27,72,8.0,,0.08,5.76
2016-07-28,61,8.0,,0.08,4.88
2016-07-29,74,8.0,,0.08,5.92
2016-07-30,19,8.0,,0.08,1.52
2016-07-31,26,8.0,,0.08,2.08
2016-08-01,52,9.0,False,0.09,4.68
2016-08-02,49,9.0,,0.09,4.41
2016-08-03,32,9.0,,0.09,2.88
2016-08-04,65,9.0,,0.09,5.85
2016-08-05,50,9.0,,0.09,4.5
2016-08-06,9,9.0,,0.09,0.8099999999999999
2016-08-07,13,9.0,,0.09,1.17
2016-08-08,54,9.0,,0.09,4.859999999999999
2016-08-09,55,9.0,,0.09,4.95
2016-08-10,89,9.0,,0.09,8.01
2016-08-11,100,9.0,,0.09,9.0
2016-08-12,46,9.0,,0.09,4.14
2016-08-13,9,9.0,,0.09,0.8099999999999999
2016-08-14,4,9.0,,0.09,0.36
2016-08-15,45,9.0,,0.09,4.05
2016-08-16,23,9.0,,0.09,2.07
2016-08-17,53,9.0,,0.09,4.77
2016-08-18,46,9.0,,0.09,4.14
2016-08-19,39,9.0,,0.09,3.51
2016-08-20,0,9.0,,0.09,0.0
2016-08-21,4,9.0,,0.09,0.36
2016-08-22,60,9.0,,0.09,5.3999999999999995
2016-08-23,60,9.0,,0.09,5.3999999999999995
2016-08-24,48,9.0,,0.09,4.32
2016-08-25,59,9.0,,0.09,5.31
2016-08-26,90,9.0,,0.09,8.1
2016-08-27,12,9.0,,0.09,1.08
2016-08-28,8,9.0,,0.09,0.72
2016-08-29,48,9.0,,0.09,4.32
2016-08-30,55,9.0,,0.09,4.95
2016-08-31,51,9.0,,0.09,4.59
2016-09-01,8,30.0,False,0.3,2.4
2016-09-02,10,30.0,,0.3,3.0
2016-09-03,5,30.0,,0.3,1.5
2016-09-04,1,30.0,,0.3,0.3
2016-09-05,3,30.0,,0.3,0.8999999999999999
2016-09-06,11,30.0,,0.3,3.3
2016-09-07,14,30.0,,0.3,4.2
2016-09-08,14,30.0,,0.3,4.2
2016-09-09,14,30.0,,0.3,4.2
2016-09-10,8,30.0,,0.3,2.4
2016-09-11,3,30.0,,0.3,0.8999999999999999
2016-09-12,24,30.0,,0.3,7.199999999999999
2016-09-13,14,30.0,,0.3,4.2
2016-09-14,13,30.0,,0.3,3.9
2016-09-15,50,30.0,,0.3,15.0
2016-09-16,100,30.0,,0.3,30.0
2016-09-17,17,30.0,,0.3,5.1
2016-09-18,8,30.0,,0.3,2.4
2016-09-19,39,30.0,,0.3,11.7
2016-09-20,44,30.0,,0.3,13.2
2016-09-21,38,30.0,,0.3,11.4
2016-09-22,58,30.0,,0.3,17.4
2016-09-23,51,30.0,,0.3,15.299999999999999
2016-09-24,11,30.0,,0.3,3.3
2016-09-25,8,30.0,,0.3,2.4
2016-09-26,34,30.0,,0.3,10.2
2016-09-27,32,30.0,,0.3,9.6
2016-09-28,24,30.0,,0.3,7.199999999999999
2016-09-29,21,30.0,,0.3,6.3
2016-09-30,28,30.0,,0.3,8.4
2016-10-01,19,13.0,False,0.13,2.47
2016-10-02,15,13.0,,0.13,1.9500000000000002
2016-10-03,97,13.0,,0.13,12.610000000000001
2016-10-04,100,13.0,,0.13,13.0
2016-10-05,89,13.0,,0.13,11.57
2016-10-06,93,13.0,,0.13,12.09
2016-10-07,76,13.0,,0.13,9.88
2016-10-08,25,13.0,,0.13,3.25
2016-10-09,15,13.0,,0.13,1.9500000000000002
2016-10-10,42,13.0,,0.13,5.46
2016-10-11,92,13.0,,0.13,11.96
2016-10-12,74,13.0,,0.13,9.620000000000001
2016-10-13,65,13.0,,0.13,8.450000000000001
2016-10-14,63,13.0,,0.13,8.19
2016-10-15,19,13.0,,0.13,2.47
2016-10-16,15,13.0,,0.13,1.9500000000000002
2016-10-17,52,13.0,,0.13,6.76
2016-10-18,59,13.0,,0.13,7.67
2016-10-19,60,13.0,,0.13,7.800000000000001
2016-10-20,42,13.0,,0.13,5.46
2016-10-21,37,13.0,,0.13,4.8100000000000005
2016-10-22,23,13.0,,0.13,2.99
2016-10-23,16,13.0,,0.13,2.08
2016-10-24,38,13.0,,0.13,4.94
2016-10-25,56,13.0,,0.13,7.28
2016-10-26,38,13.0,,0.13,4.94
2016-10-27,28,13.0,,0.13,3.64
2016-10-28,70,13.0,,0.13,9.1
2016-10-29,13,13.0,,0.13,1.69
2016-10-30,9,13.0,,0.13,1.17
2016-10-31,39,13.0,,0.13,5.07
2016-11-01,33,10.0,False,0.1,3.3000000000000003
2016-11-02,40,10.0,,0.1,4.0
2016-11-03,39,10.0,,0.1,3.9000000000000004
2016-11-04,47,10.0,,0.1,4.7
2016-11-05,14,10.0,,0.1,1.4000000000000001
2016-11-06,5,10.0,,0.1,0.5
2016-11-07,50,10.0,,0.1,5.0
2016-11-08,37,10.0,,0.1,3.7
2016-11-09,100,10.0,,0.1,10.0
2016-11-10,97,10.0,,0.1,9.700000000000001
2016-11-11,61,10.0,,0.1,6.1000000000000005
2016-11-12,14,10.0,,0.1,1.4000000000000001
2016-11-13,8,10.0,,0.1,0.8
2016-11-14,46,10.0,,0.1,4.6000000000000005
2016-11-15,31,10.0,,0.1,3.1
2016-11-16,40,10.0,,0.1,4.0
2016-11-17,32,10.0,,0.1,3.2
2016-11-18,42,10.0,,0.1,4.2
2016-11-19,25,10.0,,0.1,2.5
2016-11-20,11,10.0,,0.1,1.1
2016-11-21,27,10.0,,0.1,2.7
2016-11-22,49,10.0,,0.1,4.9
2016-11-23,15,10.0,,0.1,1.5
2016-11-24,8,10.0,,0.1,0.8
2016-11-25,20,10.0,,0.1,2.0
2016-11-26,23,10.0,,0.1,2.3000000000000003
2016-11-27,8,10.0,,0.1,0.8
2016-11-28,20,10.0,,0.1,2.0
2016-11-29,33,10.0,,0.1,3.3000000000000003
2016-11-30,42,10.0,,0.1,4.2
2016-12-01,41,8.0,False,0.08,3.2800000000000002
2016-12-02,51,8.0,,0.08,4.08
2016-12-03,19,8.0,,0.08,1.52
2016-12-04,11,8.0,,0.08,0.88
2016-12-05,28,8.0,,0.08,2.24
2016-12-06,74,8.0,,0.08,5.92
2016-12-07,100,8.0,,0.08,8.0
2016-12-08,95,8.0,,0.08,7.6000000000000005
2016-12-09,73,8.0,,0.08,5.84
2016-12-10,12,8.0,,0.08,0.96
2016-12-11,4,8.0,,0.08,0.32
2016-12-12,43,8.0,,0.08,3.44
2016-12-13,74,8.0,,0.08,5.92
2016-12-14,22,8.0,,0.08,1.76
2016-12-15,58,8.0,,0.08,4.64
2016-12-16,47,8.0,,0.08,3.7600000000000002
2016-12-17,27,8.0,,0.08,2.16
2016-12-18,0,8.0,,0.08,0.0
2016-12-19,33,8.0,,0.08,2.64
2016-12-20,51,8.0,,0.08,4.08
2016-12-21,59,8.0,,0.08,4.72
2016-12-22,40,8.0,,0.08,3.2
2016-12-23,51,8.0,,0.08,4.08
2016-12-24,20,8.0,,0.08,1.6
2016-12-25,4,8.0,,0.08,0.32
2016-12-26,15,8.0,,0.08,1.2
2016-12-27,41,8.0,,0.08,3.2800000000000002
2016-12-28,21,8.0,,0.08,1.68
2016-12-29,34,8.0,,0.08,2.72
2016-12-30,36,8.0,,0.08,2.88
2016-12-31,7,8.0,,0.08,0.56
2017-01-01,0,6.0,False,0.06,0.0
2017-01-02,13,6.0,,0.06,0.78
2017-01-03,100,6.0,,0.06,6.0
2017-01-04,50,6.0,,0.06,3.0
2017-01-05,64,6.0,,0.06,3.84
2017-01-06,31,6.0,,0.06,1.8599999999999999
2017-01-07,18,6.0,,0.06,1.08
2017-01-08,26,6.0,,0.06,1.56
2017-01-09,56,6.0,,0.06,3.36
2017-01-10,71,6.0,,0.06,4.26
2017-01-11,76,6.0,,0.06,4.56
2017-01-12,61,6.0,,0.06,3.6599999999999997
2017-01-13,70,6.0,,0.06,4.2
2017-01-14,14,6.0,,0.06,0.84
2017-01-15,4,6.0,,0.06,0.24
2017-01-16,27,6.0,,0.06,1.6199999999999999
2017-01-17,41,6.0,,0.06,2.46
2017-01-18,48,6.0,,0.06,2.88
2017-01-19,71,6.0,,0.06,4.26
2017-01-20,30,6.0,,0.06,1.7999999999999998
2017-01-21,13,6.0,,0.06,0.78
2017-01-22,0,6.0,,0.06,0.0
2017-01-23,21,6.0,,0.06,1.26
2017-01-24,60,6.0,,0.06,3.5999999999999996
2017-01-25,33,6.0,,0.06,1.98
2017-01-26,33,6.0,,0.06,1.98
2017-01-27,50,6.0,,0.06,3.0
2017-01-28,4,6.0,,0.06,0.24
2017-01-29,13,6.0,,0.06,0.78
2017-01-30,22,6.0,,0.06,1.3199999999999998
2017-01-31,29,6.0,,0.06,1.74
2017-02-01,22,8.0,False,0.08,1.76
2017-02-02,22,8.0,,0.08,1.76
2017-02-03,30,8.0,,0.08,2.4
2017-02-04,15,8.0,,0.08,1.2
2017-02-05,9,8.0,,0.08,0.72
2017-02-06,21,8.0,,0.08,1.68
2017-02-07,22,8.0,,0.08,1.76
2017-02-08,29,8.0,,0.08,2.32
2017-02-09,27,8.0,,0.08,2.16
2017-02-10,23,8.0,,0.08,1.84
2017-02-11,12,8.0,,0.08,0.96
2017-02-12,0,8.0,,0.08,0.0
2017-02-13,33,8.0,,0.08,2.64
2017-02-14,22,8.0,,0.08,1.76
2017-02-15,100,8.0,,0.08,8.0
2017-02-16,88,8.0,,0.08,7.04
2017-02-17,52,8.0,,0.08,4.16
2017-02-18,3,8.0,,0.08,0.24
2017-02-19,9,8.0,,0.08,0.72
2017-02-20,3,8.0,,0.08,0.24
2017-02-21,31,8.0,,0.08,2.48
2017-02-22,43,8.0,,0.08,3.44
2017-02-23,19,8.0,,0.08,1.52
2017-02-24,28,8.0,,0.08,2.24
2017-02-25,12,8.0,,0.08,0.96
2017-02-26,6,8.0,,0.08,0.48
2017-02-27,63,8.0,,0.08,5.04
2017-02-28,83,8.0,,0.08,6.640000000000001
2017-03-01,100,5.0,False,0.05,5.0
2017-03-02,78,5.0,,0.05,3.9000000000000004
2017-03-03,60,5.0,,0.05,3.0
2017-03-04,19,5.0,,0.05,0.9500000000000001
2017-03-05,19,5.0,,0.05,0.9500000000000001
2017-03-06,76,5.0,,0.05,3.8000000000000003
2017-03-07,50,5.0,,0.05,2.5
2017-03-08,63,5.0,,0.05,3.1500000000000004
2017-03-09,53,5.0,,0.05,2.6500000000000004
2017-03-10,54,5.0,,0.05,2.7
2017-03-11,13,5.0,,0.05,0.65
2017-03-12,0,5.0,,0.05,0.0
2017-03-13,40,5.0,,0.05,2.0
2017-03-14,26,5.0,,0.05,1.3
2017-03-15,43,5.0,,0.05,2.15
2017-03-16,43,5.0,,0.05,2.15
2017-03-17,51,5.0,,0.05,2.5500000000000003
2017-03-18,0,5.0,,0.05,0.0
2017-03-19,13,5.0,,0.05,0.65
2017-03-20,43,5.0,,0.05,2.15
2017-03-21,91,5.0,,0.05,4.55
2017-03-22,65,5.0,,0.05,3.25
2017-03-23,60,5.0,,0.05,3.0
2017-03-24,39,5.0,,0.05,1.9500000000000002
2017-03-25,26,5.0,,0.05,1.3
2017-03-26,19,5.0,,0.05,0.9500000000000001
2017-03-27,27,5.0,,0.05,1.35
2017-03-28,71,5.0,,0.05,3.5500000000000003
2017-03-29,70,5.0,,0.05,3.5
2017-03-30,82,5.0,,0.05,4.1000000000000005
2017-03-31,27,5.0,,0.05,1.35
2017-04-01,7,7.0,False,0.07,0.49000000000000005
2017-04-02,3,7.0,,0.07,0.21000000000000002
2017-04-03,21,7.0,,0.07,1.4700000000000002
2017-04-04,35,7.0,,0.07,2.45
2017-04-05,48,7.0,,0.07,3.3600000000000003
2017-04-06,100,7.0,,0.07,7.000000000000001
2017-04-07,56,7.0,,0.07,3.9200000000000004
2017-04-08,7,7.0,,0.07,0.49000000000000005
2017-04-09,7,7.0,,0.07,0.49000000000000005
2017-04-10,46,7.0,,0.07,3.22
2017-04-11,36,7.0,,0.07,2.5200000000000005
2017-04-12,58,7.0,,0.07,4.0600000000000005
2017-04-13,39,7.0,,0.07,2.7300000000000004
2017-04-14,21,7.0,,0.07,1.4700000000000002
2017-04-15,7,7.0,,0.07,0.49000000000000005
2017-04-16,11,7.0,,0.07,0.77
2017-04-17,19,7.0,,0.07,1.33
2017-04-18,37,7.0,,0.07,2.5900000000000003
2017-04-19,24,7.0,,0.07,1.6800000000000002
2017-04-20,33,7.0,,0.07,2.31
2017-04-21,40,7.0,,0.07,2.8000000000000003
2017-04-22,10,7.0,,0.07,0.7000000000000001
2017-04-23,0,7.0,,0.07,0.0
2017-04-24,35,7.0,,0.07,2.45
2017-04-25,56,7.0,,0.07,3.9200000000000004
2017-04-26,16,7.0,,0.07,1.12
2017-04-27,30,7.0,,0.07,2.1
2017-04-28,19,7.0,,0.07,1.33
2017-04-29,16,7.0,,0.07,1.12
2017-04-30,10,7.0,,0.07,0.7000000000000001
2017-05-01,14,9.0,False,0.09,1.26
2017-05-02,30,9.0,,0.09,2.6999999999999997
2017-05-03,34,9.0,,0.09,3.06
2017-05-04,23,9.0,,0.09,2.07
2017-05-05,30,9.0,,0.09,2.6999999999999997
2017-05-06,7,9.0,,0.09,0.63
2017-05-07,7,9.0,,0.09,0.63
2017-05-08,58,9.0,,0.09,5.22
2017-05-09,86,9.0,,0.09,7.739999999999999
2017-05-10,55,9.0,,0.09,4.95
2017-05-11,47,9.0,,0.09,4.2299999999999995
2017-05-12,55,9.0,,0.09,4.95
2017-05-13,29,9.0,,0.09,2.61
2017-05-14,11,9.0,,0.09,0.99
2017-05-15,100,9.0,,0.09,9.0
2017-05-16,89,9.0,,0.09,8.01
2017-05-17,61,9.0,,0.09,5.49
2017-05-18,65,9.0,,0.09,5.85
2017-05-19,63,9.0,,0.09,5.67
2017-05-20,15,9.0,,0.09,1.3499999999999999
2017-05-21,19,9.0,,0.09,1.71
2017-05-22,49,9.0,,0.09,4.41
2017-05-23,74,9.0,,0.09,6.66
2017-05-24,25,9.0,,0.09,2.25
2017-05-25,34,9.0,,0.09,3.06
2017-05-26,33,9.0,,0.09,2.9699999999999998
2017-05-27,20,9.0,,0.09,1.7999999999999998
2017-05-28,4,9.0,,0.09,0.36
2017-05-29,4,9.0,,0.09,0.36
2017-05-30,43,9.0,,0.09,3.8699999999999997
2017-05-31,36,9.0,,0.09,3.2399999999999998
2017-06-01,67,8.0,False,0.08,5.36
2017-06-02,62,8.0,,0.08,4.96
2017-06-03,14,8.0,,0.08,1.12
2017-06-04,0,8.0,,0.08,0.0
2017-06-05,35,8.0,,0.08,2.8000000000000003
2017-06-06,76,8.0,,0.08,6.08
2017-06-07,100,8.0,,0.08,8.0
2017-06-08,54,8.0,,0.08,4.32
2017-06-09,54,8.0,,0.08,4.32
2017-06-10,14,8.0,,0.08,1.12
2017-06-11,5,8.0,,0.08,0.4
2017-06-12,62,8.0,,0.08,4.96
2017-06-13,23,8.0,,0.08,1.84
2017-06-14,65,8.0,,0.08,5.2
2017-06-15,44,8.0,,0.08,3.52
2017-06-16,52,8.0,,0.08,4.16
2017-06-17,5,8.0,,0.08,0.4
2017-06-18,10,8.0,,0.08,0.8
2017-06-19,59,8.0,,0.08,4.72
2017-06-20,74,8.0,,0.08,5.92
2017-06-21,83,8.0,,0.08,6.640000000000001
2017-06-22,49,8.0,,0.08,3.92
2017-06-23,53,8.0,,0.08,4.24
2017-06-24,23,8.0,,0.08,1.84
2017-06-25,10,8.0,,0.08,0.8
2017-06-26,72,8.0,,0.08,5.76
2017-06-27,41,8.0,,0.08,3.2800000000000002
2017-06-28,67,8.0,,0.08,5.36
2017-06-29,63,8.0,,0.08,5.04
2017-06-30,51,8.0,,0.08,4.08
2017-07-01,2,13.0,False,0.13,0.26
2017-07-02,2,13.0,,0.13,0.26
2017-07-03,15,13.0,,0.13,1.9500000000000002
2017-07-04,3,13.0,,0.13,0.39
2017-07-05,30,13.0,,0.13,3.9000000000000004
2017-07-06,15,13.0,,0.13,1.9500000000000002
2017-07-07,23,13.0,,0.13,2.99
2017-07-08,2,13.0,,0.13,0.26
2017-07-09,5,13.0,,0.13,0.65
2017-07-10,20,13.0,,0.13,2.6
2017-07-11,16,13.0,,0.13,2.08
2017-07-12,17,13.0,,0.13,2.21
2017-07-13,16,13.0,,0.13,2.08
2017-07-14,12,13.0,,0.13,1.56
2017-07-15,3,13.0,,0.13,0.39
2017-07-16,2,13.0,,0.13,0.26
2017-07-17,22,13.0,,0.13,2.8600000000000003
2017-07-18,40,13.0,,0.13,5.2
2017-07-19,80,13.0,,0.13,10.4
2017-07-20,38,13.0,,0.13,4.94
2017-07-21,34,13.0,,0.13,4.42
2017-07-22,18,13.0,,0.13,2.34
2017-07-23,11,13.0,,0.13,1.4300000000000002
2017-07-24,100,13.0,,0.13,13.0
2017-07-25,85,13.0,,0.13,11.05
2017-07-26,46,13.0,,0.13,5.98
2017-07-27,33,13.0,,0.13,4.29
2017-07-28,34,13.0,,0.13,4.42
2017-07-29,14,13.0,,0.13,1.82
2017-07-30,8,13.0,,0.13,1.04
2017-07-31,31,13.0,,0.13,4.03
2017-08-01,69,11.0,False,0.11,7.59
2017-08-02,61,11.0,,0.11,6.71
2017-08-03,71,11.0,,0.11,7.81
2017-08-04,75,11.0,,0.11,8.25
2017-08-05,6,11.0,,0.11,0.66
2017-08-06,9,11.0,,0.11,0.99
2017-08-07,56,11.0,,0.11,6.16
2017-08-08,61,11.0,,0.11,6.71
2017-08-09,100,11.0,,0.11,11.0
2017-08-10,51,11.0,,0.11,5.61
2017-08-11,32,11.0,,0.11,3.52
2017-08-12,6,11.0,,0.11,0.66
2017-08-13,3,11.0,,0.11,0.33
2017-08-14,52,11.0,,0.11,5.72
2017-08-15,55,11.0,,0.11,6.05
2017-08-16,26,11.0,,0.11,2.86
2017-08-17,34,11.0,,0.11,3.74
2017-08-18,34,11.0,,0.11,3.74
2017-08-19,12,11.0,,0.11,1.32
2017-08-20,9,11.0,,0.11,0.99
2017-08-21,42,11.0,,0.11,4.62
2017-08-22,33,11.0,,0.11,3.63
2017-08-23,72,11.0,,0.11,7.92
2017-08-24,38,11.0,,0.11,4.18
2017-08-25,44,11.0,,0.11,4.84
2017-08-26,12,11.0,,0.11,1.32
2017-08-27,11,11.0,,0.11,1.21
2017-08-28,54,11.0,,0.11,5.94
2017-08-29,57,11.0,,0.11,6.2700000000000005
2017-08-30,50,11.0,,0.11,5.5
2017-08-31,38,11.0,,0.11,4.18
2017-09-01,60,8.0,False,0.08,4.8
2017-09-02,5,8.0,,0.08,0.4
2017-09-03,15,8.0,,0.08,1.2
2017-09-04,18,8.0,,0.08,1.44
2017-09-05,75,8.0,,0.08,6.0
2017-09-06,73,8.0,,0.08,5.84
2017-09-07,95,8.0,,0.08,7.6000000000000005
2017-09-08,72,8.0,,0.08,5.76
2017-09-09,19,8.0,,0.08,1.52
2017-09-10,14,8.0,,0.08,1.12
2017-09-11,56,8.0,,0.08,4.48
2017-09-12,65,8.0,,0.08,5.2
2017-09-13,72,8.0,,0.08,5.76
2017-09-14,98,8.0,,0.08,7.84
2017-09-15,66,8.0,,0.08,5.28
2017-09-16,15,8.0,,0.08,1.2
2017-09-17,14,8.0,,0.08,1.12
2017-09-18,56,8.0,,0.08,4.48
2017-09-19,100,8.0,,0.08,8.0
2017-09-20,52,8.0,,0.08,4.16
2017-09-21,57,8.0,,0.08,4.5600000000000005
2017-09-22,38,8.0,,0.08,3.04
2017-09-23,15,8.0,,0.08,1.2
2017-09-24,19,8.0,,0.08,1.52
2017-09-25,65,8.0,,0.08,5.2
2017-09-26,77,8.0,,0.08,6.16
2017-09-27,53,8.0,,0.08,4.24
2017-09-28,69,8.0,,0.08,5.5200000000000005
2017-09-29,58,8.0,,0.08,4.64
2017-09-30,45,8.0,,0.08,3.6
2017-10-01,4,7.0,False,0.07,0.28
2017-10-02,49,7.0,,0.07,3.43
2017-10-03,61,7.0,,0.07,4.2700000000000005
2017-10-04,40,7.0,,0.07,2.8000000000000003
2017-10-05,51,7.0,,0.07,3.5700000000000003
2017-10-06,45,7.0,,0.07,3.1500000000000004
2017-10-07,9,7.0,,0.07,0.6300000000000001
2017-10-08,8,7.0,,0.07,0.56
2017-10-09,43,7.0,,0.07,3.0100000000000002
2017-10-10,32,7.0,,0.07,2.24
2017-10-11,29,7.0,,0.07,2.0300000000000002
2017-10-12,51,7.0,,0.07,3.5700000000000003
2017-10-13,71,7.0,,0.07,4.970000000000001
2017-10-14,22,7.0,,0.07,1.54
2017-10-15,0,7.0,,0.07,0.0
2017-10-16,40,7.0,,0.07,2.8000000000000003
2017-10-17,40,7.0,,0.07,2.8000000000000003
2017-10-18,58,7.0,,0.07,4.0600000000000005
2017-10-19,75,7.0,,0.07,5.250000000000001
2017-10-20,57,7.0,,0.07,3.99
2017-10-21,9,7.0,,0.07,0.6300000000000001
2017-10-22,9,7.0,,0.07,0.6300000000000001
2017-10-23,46,7.0,,0.07,3.22
2017-10-24,57,7.0,,0.07,3.99
2017-10-25,54,7.0,,0.07,3.7800000000000002
2017-10-26,54,7.0,,0.07,3.7800000000000002
2017-10-27,57,7.0,,0.07,3.99
2017-10-28,18,7.0,,0.07,1.2600000000000002
2017-10-29,17,7.0,,0.07,1.1900000000000002
2017-10-30,67,7.0,,0.07,4.69
2017-10-31,100,7.0,,0.07,7.000000000000001
2017-11-01,78,10.0,False,0.1,7.800000000000001
2017-11-02,54,10.0,,0.1,5.4
2017-11-03,48,10.0,,0.1,4.800000000000001
2017-11-04,10,10.0,,0.1,1.0
2017-11-05,10,10.0,,0.1,1.0
2017-11-06,49,10.0,,0.1,4.9
2017-11-07,57,10.0,,0.1,5.7
2017-11-08,85,10.0,,0.1,8.5
2017-11-09,49,10.0,,0.1,4.9
2017-11-10,31,10.0,,0.1,3.1
2017-11-11,14,10.0,,0.1,1.4000000000000001
2017-11-12,7,10.0,,0.1,0.7000000000000001
2017-11-13,57,10.0,,0.1,5.7
2017-11-14,71,10.0,,0.1,7.1000000000000005
2017-11-15,40,10.0,,0.1,4.0
2017-11-16,32,10.0,,0.1,3.2
2017-11-17,74,10.0,,0.1,7.4
2017-11-18,21,10.0,,0.1,2.1
2017-11-19,7,10.0,,0.1,0.7000000000000001
2017-11-20,62,10.0,,0.1,6.2
2017-11-21,100,10.0,,0.1,10.0
2017-11-22,76,10.0,,0.1,7.6000000000000005
2017-11-23,14,10.0,,0.1,1.4000000000000001
2017-11-24,63,10.0,,0.1,6.300000000000001
2017-11-25,24,10.0,,0.1,2.4000000000000004
2017-11-26,13,10.0,,0.1,1.3
2017-11-27,75,10.0,,0.1,7.5
2017-11-28,73,10.0,,0.1,7.300000000000001
2017-11-29,65,10.0,,0.1,6.5
2017-11-30,46,10.0,,0.1,4.6000000000000005
2017-12-01,36,10.0,False,0.1,3.6
2017-12-02,10,10.0,,0.1,1.0
2017-12-03,10,10.0,,0.1,1.0
2017-12-04,40,10.0,,0.1,4.0
2017-12-05,39,10.0,,0.1,3.9000000000000004
2017-12-06,40,10.0,,0.1,4.0
2017-12-07,55,10.0,,0.1,5.5
2017-12-08,33,10.0,,0.1,3.3000000000000003
2017-12-09,8,10.0,,0.1,0.8
2017-12-10,0,10.0,,0.1,0.0
2017-12-11,25,10.0,,0.1,2.5
2017-12-12,48,10.0,,0.1,4.800000000000001
2017-12-13,32,10.0,,0.1,3.2
2017-12-14,52,10.0,,0.1,5.2
2017-12-15,52,10.0,,0.1,5.2
2017-12-16,13,10.0,,0.1,1.3
2017-12-17,3,10.0,,0.1,0.30000000000000004
2017-12-18,61,10.0,,0.1,6.1000000000000005
2017-12-19,100,10.0,,0.1,10.0
