date,GME_unscaled,GME_monthly,isPartial,scale,GME
2017-06-16,46,0.0,,0.0,0.0
2017-06-17,44,0.0,,0.0,0.0
2017-06-18,48,0.0,,0.0,0.0
2017-06-19,76,0.0,,0.0,0.0
2017-06-20,58,0.0,,0.0,0.0
2017-06-21,73,0.0,,0.0,0.0
2017-06-22,100,0.0,,0.0,0.0
2017-06-23,57,0.0,,0.0,0.0
2017-06-24,58,0.0,,0.0,0.0
2017-06-25,34,0.0,,0.0,0.0
2017-06-26,69,0.0,,0.0,0.0
2017-06-27,70,0.0,,0.0,0.0
2017-06-28,75,0.0,,0.0,0.0
2017-06-29,63,0.0,,0.0,0.0
2017-06-30,88,0.0,,0.0,0.0
2017-07-01,46,0.0,False,0.0,0.0
2017-07-02,30,0.0,,0.0,0.0
2017-07-03,61,0.0,,0.0,0.0
2017-07-04,100,0.0,,0.0,0.0
2017-07-05,82,0.0,,0.0,0.0
2017-07-06,83,0.0,,0.0,0.0
2017-07-07,96,0.0,,0.0,0.0
2017-07-08,61,0.0,,0.0,0.0
2017-07-09,49,0.0,,0.0,0.0
2017-07-10,69,0.0,,0.0,0.0
2017-07-11,87,0.0,,0.0,0.0
2017-07-12,63,0.0,,0.0,0.0
2017-07-13,53,0.0,,0.0,0.0
2017-07-14,72,0.0,,0.0,0.0
2017-07-15,86,0.0,,0.0,0.0
2017-07-16,62,0.0,,0.0,0.0
2017-07-17,94,0.0,,0.0,0.0
2017-07-18,94,0.0,,0.0,0.0
2017-07-19,88,0.0,,0.0,0.0
2017-07-20,62,0.0,,0.0,0.0
2017-07-21,61,0.0,,0.0,0.0
2017-07-22,48,0.0,,0.0,0.0
2017-07-23,49,0.0,,0.0,0.0
2017-07-24,62,0.0,,0.0,0.0
2017-07-25,63,0.0,,0.0,0.0
2017-07-26,100,0.0,,0.0,0.0
2017-07-27,76,0.0,,0.0,0.0
2017-07-28,84,0.0,,0.0,0.0
2017-07-29,73,0.0,,0.0,0.0
2017-07-30,70,0.0,,0.0,0.0
2017-07-31,80,0.0,,0.0,0.0
2017-08-01,44,0.0,False,0.0,0.0
2017-08-02,60,0.0,,0.0,0.0
2017-08-03,46,0.0,,0.0,0.0
2017-08-04,39,0.0,,0.0,0.0
2017-08-05,32,0.0,,0.0,0.0
2017-08-06,30,0.0,,0.0,0.0
2017-08-07,59,0.0,,0.0,0.0
2017-08-08,34,0.0,,0.0,0.0
2017-08-09,56,0.0,,0.0,0.0
2017-08-10,42,0.0,,0.0,0.0
2017-08-11,49,0.0,,0.0,0.0
2017-08-12,31,0.0,,0.0,0.0
2017-08-13,37,0.0,,0.0,0.0
2017-08-14,61,0.0,,0.0,0.0
2017-08-15,61,0.0,,0.0,0.0
2017-08-16,52,0.0,,0.0,0.0
2017-08-17,50,0.0,,0.0,0.0
2017-08-18,59,0.0,,0.0,0.0
2017-08-19,60,0.0,,0.0,0.0
2017-08-20,49,0.0,,0.0,0.0
2017-08-21,49,0.0,,0.0,0.0
2017-08-22,63,0.0,,0.0,0.0
2017-08-23,40,0.0,,0.0,0.0
2017-08-24,55,0.0,,0.0,0.0
2017-08-25,100,0.0,,0.0,0.0
2017-08-26,41,0.0,,0.0,0.0
2017-08-27,47,0.0,,0.0,0.0
2017-08-28,60,0.0,,0.0,0.0
2017-08-29,56,0.0,,0.0,0.0
2017-08-30,53,0.0,,0.0,0.0
2017-08-31,59,0.0,,0.0,0.0
2017-09-01,43,0.0,False,0.0,0.0
2017-09-02,58,0.0,,0.0,0.0
2017-09-03,50,0.0,,0.0,0.0
2017-09-04,40,0.0,,0.0,0.0
2017-09-05,61,0.0,,0.0,0.0
2017-09-06,65,0.0,,0.0,0.0
2017-09-07,64,0.0,,0.0,0.0
2017-09-08,83,0.0,,0.0,0.0
2017-09-09,53,0.0,,0.0,0.0
2017-09-10,87,0.0,,0.0,0.0
2017-09-11,72,0.0,,0.0,0.0
2017-09-12,62,0.0,,0.0,0.0
2017-09-13,72,0.0,,0.0,0.0
2017-09-14,79,0.0,,0.0,0.0
2017-09-15,80,0.0,,0.0,0.0
2017-09-16,65,0.0,,0.0,0.0
2017-09-17,83,0.0,,0.0,0.0
2017-09-18,80,0.0,,0.0,0.0
2017-09-19,78,0.0,,0.0,0.0
2017-09-20,59,0.0,,0.0,0.0
2017-09-21,62,0.0,,0.0,0.0
2017-09-22,76,0.0,,0.0,0.0
2017-09-23,83,0.0,,0.0,0.0
2017-09-24,81,0.0,,0.0,0.0
2017-09-25,68,0.0,,0.0,0.0
2017-09-26,100,0.0,,0.0,0.0
2017-09-27,71,0.0,,0.0,0.0
2017-09-28,76,0.0,,0.0,0.0
2017-09-29,69,0.0,,0.0,0.0
2017-09-30,70,0.0,,0.0,0.0
2017-10-01,81,1.0,False,0.01,0.81
2017-10-02,87,1.0,,0.01,0.87
2017-10-03,55,1.0,,0.01,0.55
2017-10-04,87,1.0,,0.01,0.87
2017-10-05,76,1.0,,0.01,0.76
2017-10-06,87,1.0,,0.01,0.87
2017-10-07,54,1.0,,0.01,0.54
2017-10-08,63,1.0,,0.01,0.63
2017-10-09,67,1.0,,0.01,0.67
2017-10-10,71,1.0,,0.01,0.71
2017-10-11,97,1.0,,0.01,0.97
2017-10-12,56,1.0,,0.01,0.56
2017-10-13,40,1.0,,0.01,0.4
2017-10-14,84,1.0,,0.01,0.84
2017-10-15,76,1.0,,0.01,0.76
2017-10-16,82,1.0,,0.01,0.8200000000000001
2017-10-17,96,1.0,,0.01,0.96
2017-10-18,95,1.0,,0.01,0.9500000000000001
2017-10-19,90,1.0,,0.01,0.9
2017-10-20,79,1.0,,0.01,0.79
2017-10-21,100,1.0,,0.01,1.0
2017-10-22,99,1.0,,0.01,0.99
2017-10-23,72,1.0,,0.01,0.72
2017-10-24,77,1.0,,0.01,0.77
2017-10-25,92,1.0,,0.01,0.92
2017-10-26,73,1.0,,0.01,0.73
2017-10-27,90,1.0,,0.01,0.9
2017-10-28,72,1.0,,0.01,0.72
2017-10-29,77,1.0,,0.01,0.77
2017-10-30,77,1.0,,0.01,0.77
2017-10-31,80,1.0,,0.01,0.8
2017-11-01,76,1.0,False,0.01,0.76
2017-11-02,50,1.0,,0.01,0.5
2017-11-03,60,1.0,,0.01,0.6
2017-11-04,54,1.0,,0.01,0.54
2017-11-05,41,1.0,,0.01,0.41000000000000003
2017-11-06,79,1.0,,0.01,0.79
2017-11-07,62,1.0,,0.01,0.62
2017-11-08,69,1.0,,0.01,0.6900000000000001
2017-11-09,52,1.0,,0.01,0.52
2017-11-10,52,1.0,,0.01,0.52
2017-11-11,54,1.0,,0.01,0.54
2017-11-12,39,1.0,,0.01,0.39
2017-11-13,48,1.0,,0.01,0.48
2017-11-14,52,1.0,,0.01,0.52
2017-11-15,54,1.0,,0.01,0.54
2017-11-16,58,1.0,,0.01,0.58
2017-11-17,50,1.0,,0.01,0.5
2017-11-18,42,1.0,,0.01,0.42
2017-11-19,51,1.0,,0.01,0.51
2017-11-20,63,1.0,,0.01,0.63
2017-11-21,100,1.0,,0.01,1.0
2017-11-22,79,1.0,,0.01,0.79
2017-11-23,35,1.0,,0.01,0.35000000000000003
2017-11-24,67,1.0,,0.01,0.67
2017-11-25,25,1.0,,0.01,0.25
2017-11-26,54,1.0,,0.01,0.54
2017-11-27,63,1.0,,0.01,0.63
2017-11-28,77,1.0,,0.01,0.77
2017-11-29,72,1.0,,0.01,0.72
2017-11-30,56,1.0,,0.01,0.56
2017-12-01,58,1.0,False,0.01,0.58
2017-12-02,58,1.0,,0.01,0.58
2017-12-03,49,1.0,,0.01,0.49
2017-12-04,93,1.0,,0.01,0.93
2017-12-05,36,1.0,,0.01,0.36
2017-12-06,66,1.0,,0.01,0.66
2017-12-07,60,1.0,,0.01,0.6
2017-12-08,71,1.0,,0.01,0.71
2017-12-09,45,1.0,,0.01,0.45
2017-12-10,58,1.0,,0.01,0.58
2017-12-11,63,1.0,,0.01,0.63
2017-12-12,63,1.0,,0.01,0.63
2017-12-13,100,1.0,,0.01,1.0
2017-12-14,77,1.0,,0.01,0.77
2017-12-15,75,1.0,,0.01,0.75
2017-12-16,70,1.0,,0.01,0.7000000000000001
2017-12-17,73,1.0,,0.01,0.73
2017-12-18,50,1.0,,0.01,0.5
2017-12-19,77,1.0,,0.01,0.77
2017-12-20,52,1.0,,0.01,0.52
2017-12-21,89,1.0,,0.01,0.89
2017-12-22,58,1.0,,0.01,0.58
2017-12-23,41,1.0,,0.01,0.41000000000000003
2017-12-24,46,1.0,,0.01,0.46
2017-12-25,36,1.0,,0.01,0.36
2017-12-26,69,1.0,,0.01,0.6900000000000001
2017-12-27,60,1.0,,0.01,0.6
2017-12-28,60,1.0,,0.01,0.6
2017-12-29,39,1.0,,0.01,0.39
2017-12-30,50,1.0,,0.01,0.5
2017-12-31,81,1.0,,0.01,0.81
2018-01-01,70,1.0,False,0.01,0.7000000000000001
2018-01-02,58,1.0,,0.01,0.58
2018-01-03,63,1.0,,0.01,0.63
2018-01-04,60,1.0,,0.01,0.6
2018-01-05,72,1.0,,0.01,0.72
2018-01-06,56,1.0,,0.01,0.56
2018-01-07,43,1.0,,0.01,0.43
2018-01-08,94,1.0,,0.01,0.9400000000000001
2018-01-09,91,1.0,,0.01,0.91
2018-01-10,88,1.0,,0.01,0.88
2018-01-11,100,1.0,,0.01,1.0
2018-01-12,86,1.0,,0.01,0.86
2018-01-13,63,1.0,,0.01,0.63
2018-01-14,58,1.0,,0.01,0.58
