date,RAD_unscaled,RAD_monthly,isPartial,scale,RAD
2016-10-06,83,64.0,,0.64,53.120000000000005
2016-10-07,77,64.0,,0.64,49.28
2016-10-08,52,64.0,,0.64,33.28
2016-10-09,66,64.0,,0.64,42.24
2016-10-10,66,64.0,,0.64,42.24
2016-10-11,95,64.0,,0.64,60.800000000000004
2016-10-12,87,64.0,,0.64,55.68
2016-10-13,89,64.0,,0.64,56.96
2016-10-14,76,64.0,,0.64,48.64
2016-10-15,71,64.0,,0.64,45.44
2016-10-16,69,64.0,,0.64,44.160000000000004
2016-10-17,82,64.0,,0.64,52.480000000000004
2016-10-18,94,64.0,,0.64,60.160000000000004
2016-10-19,100,64.0,,0.64,64.0
2016-10-20,99,64.0,,0.64,63.36
2016-10-21,92,64.0,,0.64,58.88
2016-10-22,61,64.0,,0.64,39.04
2016-10-23,67,64.0,,0.64,42.88
2016-10-24,89,64.0,,0.64,56.96
2016-10-25,91,64.0,,0.64,58.24
2016-10-26,87,64.0,,0.64,55.68
2016-10-27,94,64.0,,0.64,60.160000000000004
2016-10-28,73,64.0,,0.64,46.72
2016-10-29,62,64.0,,0.64,39.68
2016-10-30,60,64.0,,0.64,38.4
2016-10-31,77,64.0,,0.64,49.28
2016-11-01,77,62.0,False,0.62,47.74
2016-11-02,90,62.0,,0.62,55.8
2016-11-03,75,62.0,,0.62,46.5
2016-11-04,81,62.0,,0.62,50.22
2016-11-05,65,62.0,,0.62,40.3
2016-11-06,57,62.0,,0.62,35.339999999999996
2016-11-07,100,62.0,,0.62,62.0
2016-11-08,91,62.0,,0.62,56.42
2016-11-09,60,62.0,,0.62,37.2
2016-11-10,89,62.0,,0.62,55.18
2016-11-11,84,62.0,,0.62,52.08
2016-11-12,58,62.0,,0.62,35.96
2016-11-13,63,62.0,,0.62,39.06
2016-11-14,84,62.0,,0.62,52.08
2016-11-15,83,62.0,,0.62,51.46
2016-11-16,88,62.0,,0.62,54.56
2016-11-17,86,62.0,,0.62,53.32
2016-11-18,78,62.0,,0.62,48.36
2016-11-19,72,62.0,,0.62,44.64
2016-11-20,70,62.0,,0.62,43.4
2016-11-21,84,62.0,,0.62,52.08
2016-11-22,80,62.0,,0.62,49.6
2016-11-23,78,62.0,,0.62,48.36
2016-11-24,56,62.0,,0.62,34.72
2016-11-25,63,62.0,,0.62,39.06
2016-11-26,53,62.0,,0.62,32.86
2016-11-27,56,62.0,,0.62,34.72
2016-11-28,80,62.0,,0.62,49.6
2016-11-29,81,62.0,,0.62,50.22
2016-11-30,75,62.0,,0.62,46.5
2016-12-01,100,59.0,False,0.59,59.0
2016-12-02,84,59.0,,0.59,49.559999999999995
2016-12-03,83,59.0,,0.59,48.97
2016-12-04,70,59.0,,0.59,41.3
2016-12-05,84,59.0,,0.59,49.559999999999995
2016-12-06,90,59.0,,0.59,53.099999999999994
2016-12-07,89,59.0,,0.59,52.51
2016-12-08,79,59.0,,0.59,46.61
2016-12-09,95,59.0,,0.59,56.05
2016-12-10,66,59.0,,0.59,38.94
2016-12-11,61,59.0,,0.59,35.989999999999995
2016-12-12,86,59.0,,0.59,50.739999999999995
2016-12-13,74,59.0,,0.59,43.66
2016-12-14,92,59.0,,0.59,54.279999999999994
2016-12-15,86,59.0,,0.59,50.739999999999995
2016-12-16,78,59.0,,0.59,46.019999999999996
2016-12-17,65,59.0,,0.59,38.35
2016-12-18,64,59.0,,0.59,37.76
2016-12-19,73,59.0,,0.59,43.07
2016-12-20,86,59.0,,0.59,50.739999999999995
2016-12-21,92,59.0,,0.59,54.279999999999994
2016-12-22,90,59.0,,0.59,53.099999999999994
2016-12-23,66,59.0,,0.59,38.94
2016-12-24,61,59.0,,0.59,35.989999999999995
2016-12-25,58,59.0,,0.59,34.22
2016-12-26,60,59.0,,0.59,35.4
2016-12-27,72,59.0,,0.59,42.48
2016-12-28,76,59.0,,0.59,44.839999999999996
2016-12-29,63,59.0,,0.59,37.169999999999995
2016-12-30,67,59.0,,0.59,39.53
2016-12-31,64,59.0,,0.59,37.76
2017-01-01,48,65.0,False,0.65,31.200000000000003
2017-01-02,55,65.0,,0.65,35.75
2017-01-03,72,65.0,,0.65,46.800000000000004
2017-01-04,79,65.0,,0.65,51.35
2017-01-05,67,65.0,,0.65,43.550000000000004
2017-01-06,62,65.0,,0.65,40.300000000000004
2017-01-07,47,65.0,,0.65,30.55
2017-01-08,41,65.0,,0.65,26.650000000000002
2017-01-09,65,65.0,,0.65,42.25
2017-01-10,64,65.0,,0.65,41.6
2017-01-11,73,65.0,,0.65,47.45
2017-01-12,60,65.0,,0.65,39.0
2017-01-13,80,65.0,,0.65,52.0
2017-01-14,64,65.0,,0.65,41.6
2017-01-15,50,65.0,,0.65,32.5
2017-01-16,59,65.0,,0.65,38.35
2017-01-17,88,65.0,,0.65,57.2
2017-01-18,66,65.0,,0.65,42.9
2017-01-19,71,65.0,,0.65,46.15
2017-01-20,79,65.0,,0.65,51.35
2017-01-21,67,65.0,,0.65,43.550000000000004
2017-01-22,58,65.0,,0.65,37.7
2017-01-23,88,65.0,,0.65,57.2
2017-01-24,87,65.0,,0.65,56.550000000000004
2017-01-25,91,65.0,,0.65,59.15
2017-01-26,92,65.0,,0.65,59.800000000000004
2017-01-27,90,65.0,,0.65,58.5
2017-01-28,68,65.0,,0.65,44.2
2017-01-29,64,65.0,,0.65,41.6
2017-01-30,100,65.0,,0.65,65.0
2017-01-31,75,65.0,,0.65,48.75
2017-02-01,87,72.0,False,0.72,62.64
2017-02-02,73,72.0,,0.72,52.559999999999995
2017-02-03,86,72.0,,0.72,61.919999999999995
2017-02-04,55,72.0,,0.72,39.6
2017-02-05,47,72.0,,0.72,33.839999999999996
2017-02-06,61,72.0,,0.72,43.92
2017-02-07,65,72.0,,0.72,46.8
2017-02-08,83,72.0,,0.72,59.76
2017-02-09,72,72.0,,0.72,51.839999999999996
2017-02-10,76,72.0,,0.72,54.72
2017-02-11,64,72.0,,0.72,46.08
2017-02-12,62,72.0,,0.72,44.64
2017-02-13,76,72.0,,0.72,54.72
2017-02-14,72,72.0,,0.72,51.839999999999996
2017-02-15,69,72.0,,0.72,49.68
2017-02-16,67,72.0,,0.72,48.239999999999995
2017-02-17,72,72.0,,0.72,51.839999999999996
2017-02-18,63,72.0,,0.72,45.36
2017-02-19,59,72.0,,0.72,42.48
2017-02-20,76,72.0,,0.72,54.72
2017-02-21,100,72.0,,0.72,72.0
2017-02-22,85,72.0,,0.72,61.199999999999996
2017-02-23,70,72.0,,0.72,50.4
2017-02-24,78,72.0,,0.72,56.16
2017-02-25,56,72.0,,0.72,40.32
2017-02-26,50,72.0,,0.72,36.0
2017-02-27,67,72.0,,0.72,48.239999999999995
2017-02-28,76,72.0,,0.72,54.72
2017-03-01,88,78.0,False,0.78,68.64
2017-03-02,93,78.0,,0.78,72.54
2017-03-03,87,78.0,,0.78,67.86
2017-03-04,57,78.0,,0.78,44.46
2017-03-05,59,78.0,,0.78,46.02
2017-03-06,82,78.0,,0.78,63.96
2017-03-07,100,78.0,,0.78,78.0
2017-03-08,94,78.0,,0.78,73.32000000000001
2017-03-09,90,78.0,,0.78,70.2
2017-03-10,86,78.0,,0.78,67.08
2017-03-11,66,78.0,,0.78,51.480000000000004
2017-03-12,60,78.0,,0.78,46.800000000000004
2017-03-13,90,78.0,,0.78,70.2
2017-03-14,86,78.0,,0.78,67.08
2017-03-15,99,78.0,,0.78,77.22
2017-03-16,84,78.0,,0.78,65.52
2017-03-17,76,78.0,,0.78,59.28
2017-03-18,62,78.0,,0.78,48.36
2017-03-19,62,78.0,,0.78,48.36
2017-03-20,76,78.0,,0.78,59.28
2017-03-21,86,78.0,,0.78,67.08
2017-03-22,100,78.0,,0.78,78.0
2017-03-23,91,78.0,,0.78,70.98
2017-03-24,82,78.0,,0.78,63.96
2017-03-25,61,78.0,,0.78,47.58
2017-03-26,53,78.0,,0.78,41.34
2017-03-27,78,78.0,,0.78,60.84
2017-03-28,91,78.0,,0.78,70.98
2017-03-29,82,78.0,,0.78,63.96
2017-03-30,89,78.0,,0.78,69.42
2017-03-31,85,78.0,,0.78,66.3
2017-04-01,68,69.0,False,0.69,46.919999999999995
2017-04-02,63,69.0,,0.69,43.47
2017-04-03,79,69.0,,0.69,54.51
2017-04-04,75,69.0,,0.69,51.74999999999999
2017-04-05,75,69.0,,0.69,51.74999999999999
2017-04-06,92,69.0,,0.69,63.48
2017-04-07,83,69.0,,0.69,57.269999999999996
2017-04-08,70,69.0,,0.69,48.3
2017-04-09,54,69.0,,0.69,37.26
2017-04-10,84,69.0,,0.69,57.959999999999994
2017-04-11,86,69.0,,0.69,59.339999999999996
2017-04-12,79,69.0,,0.69,54.51
2017-04-13,89,69.0,,0.69,61.41
2017-04-14,69,69.0,,0.69,47.61
2017-04-15,54,69.0,,0.69,37.26
2017-04-16,65,69.0,,0.69,44.849999999999994
2017-04-17,88,69.0,,0.69,60.72
2017-04-18,78,69.0,,0.69,53.81999999999999
2017-04-19,84,69.0,,0.69,57.959999999999994
2017-04-20,99,69.0,,0.69,68.30999999999999
2017-04-21,86,69.0,,0.69,59.339999999999996
2017-04-22,69,69.0,,0.69,47.61
2017-04-23,61,69.0,,0.69,42.089999999999996
2017-04-24,91,69.0,,0.69,62.78999999999999
2017-04-25,100,69.0,,0.69,69.0
2017-04-26,89,69.0,,0.69,61.41
2017-04-27,73,69.0,,0.69,50.37
2017-04-28,80,69.0,,0.69,55.199999999999996
2017-04-29,66,69.0,,0.69,45.54
2017-04-30,58,69.0,,0.69,40.019999999999996
2017-05-01,79,71.0,False,0.71,56.089999999999996
2017-05-02,100,71.0,,0.71,71.0
2017-05-03,100,71.0,,0.71,71.0
2017-05-04,86,71.0,,0.71,61.059999999999995
2017-05-05,88,71.0,,0.71,62.48
2017-05-06,58,71.0,,0.71,41.18
2017-05-07,70,71.0,,0.71,49.699999999999996
2017-05-08,84,71.0,,0.71,59.64
2017-05-09,97,71.0,,0.71,68.86999999999999
2017-05-10,74,71.0,,0.71,52.54
2017-05-11,80,71.0,,0.71,56.8
2017-05-12,82,71.0,,0.71,58.22
2017-05-13,57,71.0,,0.71,40.47
2017-05-14,64,71.0,,0.71,45.44
2017-05-15,83,71.0,,0.71,58.93
2017-05-16,89,71.0,,0.71,63.19
2017-05-17,84,71.0,,0.71,59.64
2017-05-18,91,71.0,,0.71,64.61
2017-05-19,80,71.0,,0.71,56.8
2017-05-20,61,71.0,,0.71,43.309999999999995
2017-05-21,48,71.0,,0.71,34.08
2017-05-22,93,71.0,,0.71,66.03
2017-05-23,80,71.0,,0.71,56.8
2017-05-24,83,71.0,,0.71,58.93
2017-05-25,89,71.0,,0.71,63.19
2017-05-26,73,71.0,,0.71,51.83
2017-05-27,58,71.0,,0.71,41.18
2017-05-28,57,71.0,,0.71,40.47
2017-05-29,56,71.0,,0.71,39.76
2017-05-30,89,71.0,,0.71,63.19
2017-05-31,92,71.0,,0.71,65.32
2017-06-01,42,95.0,False,0.95,39.9
2017-06-02,43,95.0,,0.95,40.85
2017-06-03,28,95.0,,0.95,26.599999999999998
2017-06-04,27,95.0,,0.95,25.65
2017-06-05,39,95.0,,0.95,37.05
2017-06-06,38,95.0,,0.95,36.1
2017-06-07,41,95.0,,0.95,38.949999999999996
2017-06-08,39,95.0,,0.95,37.05
2017-06-09,44,95.0,,0.95,41.8
2017-06-10,31,95.0,,0.95,29.45
2017-06-11,29,95.0,,0.95,27.549999999999997
2017-06-12,40,95.0,,0.95,38.0
2017-06-13,49,95.0,,0.95,46.55
2017-06-14,42,95.0,,0.95,39.9
2017-06-15,40,95.0,,0.95,38.0
2017-06-16,44,95.0,,0.95,41.8
2017-06-17,26,95.0,,0.95,24.7
2017-06-18,27,95.0,,0.95,25.65
2017-06-19,42,95.0,,0.95,39.9
2017-06-20,53,95.0,,0.95,50.349999999999994
2017-06-21,49,95.0,,0.95,46.55
2017-06-22,43,95.0,,0.95,40.85
2017-06-23,44,95.0,,0.95,41.8
2017-06-24,30,95.0,,0.95,28.5
2017-06-25,30,95.0,,0.95,28.5
2017-06-26,72,95.0,,0.95,68.39999999999999
2017-06-27,81,95.0,,0.95,76.95
2017-06-28,78,95.0,,0.95,74.1
2017-06-29,100,95.0,,0.95,95.0
2017-06-30,70,95.0,,0.95,66.5
2017-07-01,57,78.0,False,0.78,44.46
2017-07-02,51,78.0,,0.78,39.78
2017-07-03,81,78.0,,0.78,63.18
2017-07-04,55,78.0,,0.78,42.9
2017-07-05,97,78.0,,0.78,75.66
2017-07-06,84,78.0,,0.78,65.52
2017-07-07,81,78.0,,0.78,63.18
2017-07-08,51,78.0,,0.78,39.78
2017-07-09,48,78.0,,0.78,37.44
2017-07-10,79,78.0,,0.78,61.620000000000005
2017-07-11,88,78.0,,0.78,68.64
2017-07-12,80,78.0,,0.78,62.400000000000006
2017-07-13,81,78.0,,0.78,63.18
2017-07-14,81,78.0,,0.78,63.18
2017-07-15,54,78.0,,0.78,42.120000000000005
2017-07-16,45,78.0,,0.78,35.1
2017-07-17,90,78.0,,0.78,70.2
2017-07-18,100,78.0,,0.78,78.0
2017-07-19,94,78.0,,0.78,73.32000000000001
2017-07-20,85,78.0,,0.78,66.3
2017-07-21,84,78.0,,0.78,65.52
2017-07-22,56,78.0,,0.78,43.68
2017-07-23,50,78.0,,0.78,39.0
2017-07-24,75,78.0,,0.78,58.5
2017-07-25,83,78.0,,0.78,64.74000000000001
2017-07-26,74,78.0,,0.78,57.72
2017-07-27,76,78.0,,0.78,59.28
2017-07-28,72,78.0,,0.78,56.160000000000004
2017-07-29,52,78.0,,0.78,40.56
2017-07-30,48,78.0,,0.78,37.44
2017-07-31,70,78.0,,0.78,54.6
2017-08-01,78,82.0,False,0.82,63.959999999999994
2017-08-02,100,82.0,,0.82,82.0
2017-08-03,92,82.0,,0.82,75.44
2017-08-04,85,82.0,,0.82,69.7
2017-08-05,58,82.0,,0.82,47.559999999999995
2017-08-06,53,82.0,,0.82,43.46
2017-08-07,87,82.0,,0.82,71.33999999999999
2017-08-08,82,82.0,,0.82,67.24
2017-08-09,81,82.0,,0.82,66.42
2017-08-10,91,82.0,,0.82,74.61999999999999
2017-08-11,78,82.0,,0.82,63.959999999999994
2017-08-12,55,82.0,,0.82,45.099999999999994
2017-08-13,64,82.0,,0.82,52.48
2017-08-14,72,82.0,,0.82,59.04
2017-08-15,80,82.0,,0.82,65.6
2017-08-16,73,82.0,,0.82,59.86
2017-08-17,70,82.0,,0.82,57.4
2017-08-18,74,82.0,,0.82,60.68
2017-08-19,50,82.0,,0.82,41.0
2017-08-20,41,82.0,,0.82,33.62
2017-08-21,66,82.0,,0.82,54.12
2017-08-22,72,82.0,,0.82,59.04
2017-08-23,71,82.0,,0.82,58.22
2017-08-24,80,82.0,,0.82,65.6
2017-08-25,77,82.0,,0.82,63.13999999999999
2017-08-26,56,82.0,,0.82,45.919999999999995
2017-08-27,44,82.0,,0.82,36.08
2017-08-28,72,82.0,,0.82,59.04
2017-08-29,74,82.0,,0.82,60.68
2017-08-30,82,82.0,,0.82,67.24
2017-08-31,82,82.0,,0.82,67.24
2017-09-01,67,82.0,False,0.82,54.94
2017-09-02,51,82.0,,0.82,41.82
2017-09-03,52,82.0,,0.82,42.64
2017-09-04,52,82.0,,0.82,42.64
2017-09-05,68,82.0,,0.82,55.76
2017-09-06,67,82.0,,0.82,54.94
2017-09-07,75,82.0,,0.82,61.49999999999999
2017-09-08,63,82.0,,0.82,51.66
2017-09-09,38,82.0,,0.82,31.159999999999997
2017-09-10,40,82.0,,0.82,32.8
2017-09-11,66,82.0,,0.82,54.12
2017-09-12,66,82.0,,0.82,54.12
2017-09-13,69,82.0,,0.82,56.58
2017-09-14,66,82.0,,0.82,54.12
2017-09-15,78,82.0,,0.82,63.959999999999994
2017-09-16,61,82.0,,0.82,50.019999999999996
2017-09-17,50,82.0,,0.82,41.0
2017-09-18,92,82.0,,0.82,75.44
2017-09-19,100,82.0,,0.82,82.0
2017-09-20,77,82.0,,0.82,63.13999999999999
2017-09-21,80,82.0,,0.82,65.6
2017-09-22,77,82.0,,0.82,63.13999999999999
2017-09-23,49,82.0,,0.82,40.18
2017-09-24,46,82.0,,0.82,37.72
2017-09-25,65,82.0,,0.82,53.3
2017-09-26,70,82.0,,0.82,57.4
2017-09-27,81,82.0,,0.82,66.42
2017-09-28,96,82.0,,0.82,78.72
2017-09-29,68,82.0,,0.82,55.76
2017-09-30,47,82.0,,0.82,38.54
2017-10-01,59,83.0,False,0.83,48.97
2017-10-02,84,83.0,,0.83,69.72
2017-10-03,91,83.0,,0.83,75.53
2017-10-04,89,83.0,,0.83,73.86999999999999
2017-10-05,82,83.0,,0.83,68.06
2017-10-06,87,83.0,,0.83,72.21
2017-10-07,67,83.0,,0.83,55.61
2017-10-08,52,83.0,,0.83,43.16
2017-10-09,84,83.0,,0.83,69.72
2017-10-10,99,83.0,,0.83,82.17
2017-10-11,100,83.0,,0.83,83.0
2017-10-12,99,83.0,,0.83,82.17
2017-10-13,89,83.0,,0.83,73.86999999999999
2017-10-14,73,83.0,,0.83,60.589999999999996
2017-10-15,49,83.0,,0.83,40.669999999999995
2017-10-16,91,83.0,,0.83,75.53
2017-10-17,95,83.0,,0.83,78.85
2017-10-18,93,83.0,,0.83,77.19
2017-10-19,84,83.0,,0.83,69.72
2017-10-20,77,83.0,,0.83,63.91
2017-10-21,59,83.0,,0.83,48.97
2017-10-22,51,83.0,,0.83,42.33
2017-10-23,89,83.0,,0.83,73.86999999999999
2017-10-24,81,83.0,,0.83,67.22999999999999
2017-10-25,79,83.0,,0.83,65.57
2017-10-26,81,83.0,,0.83,67.22999999999999
2017-10-27,83,83.0,,0.83,68.89
2017-10-28,62,83.0,,0.83,51.46
2017-10-29,60,83.0,,0.83,49.8
2017-10-30,75,83.0,,0.83,62.25
2017-10-31,83,83.0,,0.83,68.89
2017-11-01,71,80.0,False,0.8,56.800000000000004
2017-11-02,74,80.0,,0.8,59.2
2017-11-03,92,80.0,,0.8,73.60000000000001
2017-11-04,54,80.0,,0.8,43.2
2017-11-05,45,80.0,,0.8,36.0
2017-11-06,79,80.0,,0.8,63.2
2017-11-07,78,80.0,,0.8,62.400000000000006
2017-11-08,75,80.0,,0.8,60.0
2017-11-09,72,80.0,,0.8,57.6
2017-11-10,75,80.0,,0.8,60.0
2017-11-11,61,80.0,,0.8,48.800000000000004
2017-11-12,47,80.0,,0.8,37.6
2017-11-13,71,80.0,,0.8,56.800000000000004
2017-11-14,66,80.0,,0.8,52.800000000000004
2017-11-15,71,80.0,,0.8,56.800000000000004
2017-11-16,76,80.0,,0.8,60.800000000000004
2017-11-17,65,80.0,,0.8,52.0
2017-11-18,44,80.0,,0.8,35.2
2017-11-19,53,80.0,,0.8,42.400000000000006
2017-11-20,68,80.0,,0.8,54.400000000000006
2017-11-21,73,80.0,,0.8,58.400000000000006
2017-11-22,72,80.0,,0.8,57.6
2017-11-23,43,80.0,,0.8,34.4
2017-11-24,56,80.0,,0.8,44.800000000000004
2017-11-25,42,80.0,,0.8,33.6
2017-11-26,45,80.0,,0.8,36.0
2017-11-27,64,80.0,,0.8,51.2
2017-11-28,70,80.0,,0.8,56.0
2017-11-29,100,80.0,,0.8,80.0
2017-11-30,95,80.0,,0.8,76.0
2017-12-01,84,69.0,False,0.69,57.959999999999994
2017-12-02,64,69.0,,0.69,44.16
2017-12-03,65,69.0,,0.69,44.849999999999994
2017-12-04,100,69.0,,0.69,69.0
2017-12-05,95,69.0,,0.69,65.55
2017-12-06,95,69.0,,0.69,65.55
2017-12-07,90,69.0,,0.69,62.099999999999994
2017-12-08,83,69.0,,0.69,57.269999999999996
2017-12-09,60,69.0,,0.69,41.4
2017-12-10,52,69.0,,0.69,35.879999999999995
2017-12-11,88,69.0,,0.69,60.72
2017-12-12,81,69.0,,0.69,55.88999999999999
2017-12-13,89,69.0,,0.69,61.41
2017-12-14,78,69.0,,0.69,53.81999999999999
2017-12-15,83,69.0,,0.69,57.269999999999996
2017-12-16,59,69.0,,0.69,40.709999999999994
2017-12-17,42,69.0,,0.69,28.979999999999997
2017-12-18,81,69.0,,0.69,55.88999999999999
2017-12-19,78,69.0,,0.69,53.81999999999999
2017-12-20,85,69.0,,0.69,58.65
2017-12-21,89,69.0,,0.69,61.41
2017-12-22,85,69.0,,0.69,58.65
2017-12-23,55,69.0,,0.69,37.949999999999996
2017-12-24,56,69.0,,0.69,38.64
2017-12-25,41,69.0,,0.69,28.29
2017-12-26,71,69.0,,0.69,48.989999999999995
2017-12-27,79,69.0,,0.69,54.51
2017-12-28,75,69.0,,0.69,51.74999999999999
