date,NVDA_unscaled,NVDA_monthly,isPartial,scale,NVDA
2016-09-04,13,9.0,,0.09,1.17
2016-09-05,18,9.0,,0.09,1.6199999999999999
2016-09-06,65,9.0,,0.09,5.85
2016-09-07,59,9.0,,0.09,5.31
2016-09-08,65,9.0,,0.09,5.85
2016-09-09,58,9.0,,0.09,5.22
2016-09-10,12,9.0,,0.09,1.08
2016-09-11,12,9.0,,0.09,1.08
2016-09-12,60,9.0,,0.09,5.3999999999999995
2016-09-13,71,9.0,,0.09,6.39
2016-09-14,72,9.0,,0.09,6.4799999999999995
2016-09-15,84,9.0,,0.09,7.56
2016-09-16,47,9.0,,0.09,4.2299999999999995
2016-09-17,10,9.0,,0.09,0.8999999999999999
2016-09-18,8,9.0,,0.09,0.72
2016-09-19,45,9.0,,0.09,4.05
2016-09-20,54,9.0,,0.09,4.859999999999999
2016-09-21,58,9.0,,0.09,5.22
2016-09-22,100,9.0,,0.09,9.0
2016-09-23,49,9.0,,0.09,4.41
2016-09-24,21,9.0,,0.09,1.89
2016-09-25,16,9.0,,0.09,1.44
2016-09-26,32,9.0,,0.09,2.88
2016-09-27,56,9.0,,0.09,5.04
2016-09-28,71,9.0,,0.09,6.39
2016-09-29,85,9.0,,0.09,7.6499999999999995
2016-09-30,94,9.0,,0.09,8.459999999999999
2016-10-01,29,9.0,False,0.09,2.61
2016-10-02,22,9.0,,0.09,1.98
2016-10-03,58,9.0,,0.09,5.22
2016-10-04,93,9.0,,0.09,8.37
2016-10-05,60,9.0,,0.09,5.3999999999999995
2016-10-06,76,9.0,,0.09,6.84
2016-10-07,38,9.0,,0.09,3.42
2016-10-08,22,9.0,,0.09,1.98
2016-10-09,8,9.0,,0.09,0.72
2016-10-10,61,9.0,,0.09,5.49
2016-10-11,59,9.0,,0.09,5.31
2016-10-12,43,9.0,,0.09,3.8699999999999997
2016-10-13,51,9.0,,0.09,4.59
2016-10-14,69,9.0,,0.09,6.21
2016-10-15,6,9.0,,0.09,0.54
2016-10-16,6,9.0,,0.09,0.54
2016-10-17,30,9.0,,0.09,2.6999999999999997
2016-10-18,40,9.0,,0.09,3.5999999999999996
2016-10-19,59,9.0,,0.09,5.31
2016-10-20,85,9.0,,0.09,7.6499999999999995
2016-10-21,53,9.0,,0.09,4.77
2016-10-22,6,9.0,,0.09,0.54
2016-10-23,8,9.0,,0.09,0.72
2016-10-24,88,9.0,,0.09,7.92
2016-10-25,92,9.0,,0.09,8.28
2016-10-26,98,9.0,,0.09,8.82
2016-10-27,100,9.0,,0.09,9.0
2016-10-28,77,9.0,,0.09,6.93
2016-10-29,16,9.0,,0.09,1.44
2016-10-30,14,9.0,,0.09,1.26
2016-10-31,48,9.0,,0.09,4.32
2016-11-01,18,18.0,False,0.18,3.2399999999999998
2016-11-02,15,18.0,,0.18,2.6999999999999997
2016-11-03,12,18.0,,0.18,2.16
2016-11-04,11,18.0,,0.18,1.98
2016-11-05,3,18.0,,0.18,0.54
2016-11-06,2,18.0,,0.18,0.36
2016-11-07,19,18.0,,0.18,3.42
2016-11-08,18,18.0,,0.18,3.2399999999999998
2016-11-09,20,18.0,,0.18,3.5999999999999996
2016-11-10,51,18.0,,0.18,9.18
2016-11-11,100,18.0,,0.18,18.0
2016-11-12,26,18.0,,0.18,4.68
2016-11-13,12,18.0,,0.18,2.16
2016-11-14,35,18.0,,0.18,6.3
2016-11-15,31,18.0,,0.18,5.58
2016-11-16,43,18.0,,0.18,7.739999999999999
2016-11-17,52,18.0,,0.18,9.36
2016-11-18,37,18.0,,0.18,6.66
2016-11-19,10,18.0,,0.18,1.7999999999999998
2016-11-20,9,18.0,,0.18,1.6199999999999999
2016-11-21,25,18.0,,0.18,4.5
2016-11-22,29,18.0,,0.18,5.22
2016-11-23,22,18.0,,0.18,3.96
2016-11-24,7,18.0,,0.18,1.26
2016-11-25,13,18.0,,0.18,2.34
2016-11-26,5,18.0,,0.18,0.8999999999999999
2016-11-27,4,18.0,,0.18,0.72
2016-11-28,23,18.0,,0.18,4.14
2016-11-29,18,18.0,,0.18,3.2399999999999998
2016-11-30,19,18.0,,0.18,3.42
2016-12-01,30,23.0,False,0.23,6.9
2016-12-02,28,23.0,,0.23,6.44
2016-12-03,5,23.0,,0.23,1.1500000000000001
2016-12-04,4,23.0,,0.23,0.92
2016-12-05,24,23.0,,0.23,5.5200000000000005
2016-12-06,22,23.0,,0.23,5.0600000000000005
2016-12-07,26,23.0,,0.23,5.98
2016-12-08,26,23.0,,0.23,5.98
2016-12-09,20,23.0,,0.23,4.6000000000000005
2016-12-10,6,23.0,,0.23,1.3800000000000001
2016-12-11,4,23.0,,0.23,0.92
2016-12-12,24,23.0,,0.23,5.5200000000000005
2016-12-13,22,23.0,,0.23,5.0600000000000005
2016-12-14,34,23.0,,0.23,7.82
2016-12-15,45,23.0,,0.23,10.35
2016-12-16,31,23.0,,0.23,7.13
2016-12-17,6,23.0,,0.23,1.3800000000000001
2016-12-18,4,23.0,,0.23,0.92
2016-12-19,30,23.0,,0.23,6.9
2016-12-20,42,23.0,,0.23,9.66
2016-12-21,45,23.0,,0.23,10.35
2016-12-22,36,23.0,,0.23,8.280000000000001
2016-12-23,39,23.0,,0.23,8.97
2016-12-24,17,23.0,,0.23,3.91
2016-12-25,8,23.0,,0.23,1.84
2016-12-26,10,23.0,,0.23,2.3000000000000003
2016-12-27,59,23.0,,0.23,13.57
2016-12-28,100,23.0,,0.23,23.0
2016-12-29,77,23.0,,0.23,17.71
2016-12-30,64,23.0,,0.23,14.72
2016-12-31,14,23.0,,0.23,3.22
2017-01-01,8,22.0,False,0.22,1.76
2017-01-02,20,22.0,,0.22,4.4
2017-01-03,66,22.0,,0.22,14.52
2017-01-04,75,22.0,,0.22,16.5
2017-01-05,100,22.0,,0.22,22.0
2017-01-06,61,22.0,,0.22,13.42
2017-01-07,19,22.0,,0.22,4.18
2017-01-08,13,22.0,,0.22,2.86
2017-01-09,52,22.0,,0.22,11.44
2017-01-10,45,22.0,,0.22,9.9
2017-01-11,54,22.0,,0.22,11.88
2017-01-12,47,22.0,,0.22,10.34
2017-01-13,37,22.0,,0.22,8.14
2017-01-14,9,22.0,,0.22,1.98
2017-01-15,6,22.0,,0.22,1.32
2017-01-16,15,22.0,,0.22,3.3
2017-01-17,39,22.0,,0.22,8.58
2017-01-18,34,22.0,,0.22,7.48
2017-01-19,45,22.0,,0.22,9.9
2017-01-20,43,22.0,,0.22,9.46
2017-01-21,11,22.0,,0.22,2.42
2017-01-22,5,22.0,,0.22,1.1
2017-01-23,39,22.0,,0.22,8.58
2017-01-24,41,22.0,,0.22,9.02
2017-01-25,46,22.0,,0.22,10.12
2017-01-26,35,22.0,,0.22,7.7
2017-01-27,40,22.0,,0.22,8.8
2017-01-28,12,22.0,,0.22,2.64
2017-01-29,9,22.0,,0.22,1.98
2017-01-30,35,22.0,,0.22,7.7
2017-01-31,38,22.0,,0.22,8.36
2017-02-01,29,32.0,False,0.32,9.28
2017-02-02,28,32.0,,0.32,8.96
2017-02-03,28,32.0,,0.32,8.96
2017-02-04,10,32.0,,0.32,3.2
2017-02-05,7,32.0,,0.32,2.24
2017-02-06,29,32.0,,0.32,9.28
2017-02-07,37,32.0,,0.32,11.84
2017-02-08,40,32.0,,0.32,12.8
2017-02-09,99,32.0,,0.32,31.68
2017-02-10,100,32.0,,0.32,32.0
2017-02-11,14,32.0,,0.32,4.48
2017-02-12,6,32.0,,0.32,1.92
2017-02-13,48,32.0,,0.32,15.36
2017-02-14,39,32.0,,0.32,12.48
2017-02-15,38,32.0,,0.32,12.16
2017-02-16,31,32.0,,0.32,9.92
2017-02-17,28,32.0,,0.32,8.96
2017-02-18,7,32.0,,0.32,2.24
2017-02-19,5,32.0,,0.32,1.6
2017-02-20,7,32.0,,0.32,2.24
2017-02-21,31,32.0,,0.32,9.92
2017-02-22,31,32.0,,0.32,9.92
2017-02-23,59,32.0,,0.32,18.88
2017-02-24,65,32.0,,0.32,20.8
2017-02-25,12,32.0,,0.32,3.84
2017-02-26,6,32.0,,0.32,1.92
2017-02-27,31,32.0,,0.32,9.92
2017-02-28,39,32.0,,0.32,12.48
2017-03-01,100,23.0,False,0.23,23.0
2017-03-02,95,23.0,,0.23,21.85
2017-03-03,89,23.0,,0.23,20.470000000000002
2017-03-04,24,23.0,,0.23,5.5200000000000005
2017-03-05,10,23.0,,0.23,2.3000000000000003
2017-03-06,98,23.0,,0.23,22.540000000000003
2017-03-07,76,23.0,,0.23,17.48
2017-03-08,89,23.0,,0.23,20.470000000000002
2017-03-09,82,23.0,,0.23,18.86
2017-03-10,59,23.0,,0.23,13.57
2017-03-11,17,23.0,,0.23,3.91
2017-03-12,9,23.0,,0.23,2.0700000000000003
2017-03-13,73,23.0,,0.23,16.79
2017-03-14,56,23.0,,0.23,12.88
2017-03-15,60,23.0,,0.23,13.8
2017-03-16,76,23.0,,0.23,17.48
2017-03-17,74,23.0,,0.23,17.02
2017-03-18,20,23.0,,0.23,4.6000000000000005
2017-03-19,13,23.0,,0.23,2.99
2017-03-20,69,23.0,,0.23,15.870000000000001
2017-03-21,85,23.0,,0.23,19.55
2017-03-22,81,23.0,,0.23,18.630000000000003
2017-03-23,53,23.0,,0.23,12.190000000000001
2017-03-24,66,23.0,,0.23,15.180000000000001
2017-03-25,14,23.0,,0.23,3.22
2017-03-26,10,23.0,,0.23,2.3000000000000003
2017-03-27,63,23.0,,0.23,14.49
2017-03-28,67,23.0,,0.23,15.41
2017-03-29,50,23.0,,0.23,11.5
2017-03-30,62,23.0,,0.23,14.26
2017-03-31,59,23.0,,0.23,13.57
2017-04-01,10,19.0,False,0.19,1.9
2017-04-02,10,19.0,,0.19,1.9
2017-04-03,40,19.0,,0.19,7.6
2017-04-04,100,19.0,,0.19,19.0
2017-04-05,73,19.0,,0.19,13.870000000000001
2017-04-06,61,19.0,,0.19,11.59
2017-04-07,56,19.0,,0.19,10.64
2017-04-08,12,19.0,,0.19,2.2800000000000002
2017-04-09,8,19.0,,0.19,1.52
2017-04-10,63,19.0,,0.19,11.97
2017-04-11,66,19.0,,0.19,12.540000000000001
2017-04-12,49,19.0,,0.19,9.31
2017-04-13,54,19.0,,0.19,10.26
2017-04-14,27,19.0,,0.19,5.13
2017-04-15,11,19.0,,0.19,2.09
2017-04-16,10,19.0,,0.19,1.9
2017-04-17,53,19.0,,0.19,10.07
2017-04-18,47,19.0,,0.19,8.93
2017-04-19,48,19.0,,0.19,9.120000000000001
2017-04-20,43,19.0,,0.19,8.17
2017-04-21,38,19.0,,0.19,7.22
2017-04-22,8,19.0,,0.19,1.52
2017-04-23,9,19.0,,0.19,1.71
2017-04-24,39,19.0,,0.19,7.41
2017-04-25,53,19.0,,0.19,10.07
2017-04-26,46,19.0,,0.19,8.74
2017-04-27,41,19.0,,0.19,7.79
2017-04-28,49,19.0,,0.19,9.31
2017-04-29,7,19.0,,0.19,1.33
2017-04-30,4,19.0,,0.19,0.76
2017-05-01,22,36.0,False,0.36,7.92
2017-05-02,31,36.0,,0.36,11.16
2017-05-03,18,36.0,,0.36,6.4799999999999995
2017-05-04,23,36.0,,0.36,8.28
2017-05-05,18,36.0,,0.36,6.4799999999999995
2017-05-06,4,36.0,,0.36,1.44
2017-05-07,4,36.0,,0.36,1.44
2017-05-08,25,36.0,,0.36,9.0
2017-05-09,83,36.0,,0.36,29.88
2017-05-10,100,36.0,,0.36,36.0
2017-05-11,75,36.0,,0.36,27.0
2017-05-12,58,36.0,,0.36,20.88
2017-05-13,16,36.0,,0.36,5.76
2017-05-14,9,36.0,,0.36,3.2399999999999998
2017-05-15,50,36.0,,0.36,18.0
2017-05-16,56,36.0,,0.36,20.16
2017-05-17,53,36.0,,0.36,19.08
2017-05-18,43,36.0,,0.36,15.479999999999999
2017-05-19,49,36.0,,0.36,17.64
2017-05-20,10,36.0,,0.36,3.5999999999999996
2017-05-21,6,36.0,,0.36,2.16
2017-05-22,47,36.0,,0.36,16.919999999999998
2017-05-23,37,36.0,,0.36,13.32
2017-05-24,46,36.0,,0.36,16.56
2017-05-25,39,36.0,,0.36,14.04
2017-05-26,38,36.0,,0.36,13.68
2017-05-27,16,36.0,,0.36,5.76
2017-05-28,6,36.0,,0.36,2.16
2017-05-29,9,36.0,,0.36,3.2399999999999998
2017-05-30,43,36.0,,0.36,15.479999999999999
2017-05-31,42,36.0,,0.36,15.12
2017-06-01,30,41.0,False,0.41,12.299999999999999
2017-06-02,26,41.0,,0.41,10.66
2017-06-03,7,41.0,,0.41,2.8699999999999997
2017-06-04,4,41.0,,0.41,1.64
2017-06-05,27,41.0,,0.41,11.069999999999999
2017-06-06,30,41.0,,0.41,12.299999999999999
2017-06-07,25,41.0,,0.41,10.25
2017-06-08,51,41.0,,0.41,20.91
2017-06-09,100,41.0,,0.41,41.0
2017-06-10,21,41.0,,0.41,8.61
2017-06-11,9,41.0,,0.41,3.69
2017-06-12,54,41.0,,0.41,22.139999999999997
2017-06-13,49,41.0,,0.41,20.09
2017-06-14,44,41.0,,0.41,18.04
2017-06-15,36,41.0,,0.41,14.76
2017-06-16,35,41.0,,0.41,14.35
2017-06-17,8,41.0,,0.41,3.28
2017-06-18,7,41.0,,0.41,2.8699999999999997
2017-06-19,36,41.0,,0.41,14.76
2017-06-20,41,41.0,,0.41,16.81
2017-06-21,38,41.0,,0.41,15.579999999999998
2017-06-22,34,41.0,,0.41,13.94
2017-06-23,33,41.0,,0.41,13.53
2017-06-24,5,41.0,,0.41,2.05
2017-06-25,3,41.0,,0.41,1.23
2017-06-26,32,41.0,,0.41,13.12
2017-06-27,30,41.0,,0.41,12.299999999999999
2017-06-28,35,41.0,,0.41,14.35
2017-06-29,33,41.0,,0.41,13.53
2017-06-30,29,41.0,,0.41,11.889999999999999
2017-07-01,21,34.0,False,0.34,7.140000000000001
2017-07-02,7,34.0,,0.34,2.3800000000000003
2017-07-03,52,34.0,,0.34,17.68
2017-07-04,26,34.0,,0.34,8.84
2017-07-05,76,34.0,,0.34,25.840000000000003
2017-07-06,65,34.0,,0.34,22.1
2017-07-07,56,34.0,,0.34,19.040000000000003
2017-07-08,14,34.0,,0.34,4.760000000000001
2017-07-09,12,34.0,,0.34,4.08
2017-07-10,76,34.0,,0.34,25.840000000000003
2017-07-11,63,34.0,,0.34,21.42
2017-07-12,100,34.0,,0.34,34.0
2017-07-13,99,34.0,,0.34,33.660000000000004
2017-07-14,93,34.0,,0.34,31.62
2017-07-15,25,34.0,,0.34,8.5
2017-07-16,15,34.0,,0.34,5.1000000000000005
2017-07-17,87,34.0,,0.34,29.580000000000002
2017-07-18,84,34.0,,0.34,28.560000000000002
2017-07-19,82,34.0,,0.34,27.880000000000003
2017-07-20,70,34.0,,0.34,23.8
2017-07-21,80,34.0,,0.34,27.200000000000003
2017-07-22,19,34.0,,0.34,6.460000000000001
2017-07-23,10,34.0,,0.34,3.4000000000000004
2017-07-24,68,34.0,,0.34,23.12
2017-07-25,80,34.0,,0.34,27.200000000000003
2017-07-26,77,34.0,,0.34,26.180000000000003
2017-07-27,87,34.0,,0.34,29.580000000000002
2017-07-28,65,34.0,,0.34,22.1
2017-07-29,10,34.0,,0.34,3.4000000000000004
2017-07-30,14,34.0,,0.34,4.760000000000001
2017-07-31,69,34.0,,0.34,23.46
2017-08-01,26,42.0,False,0.42,10.92
2017-08-02,24,42.0,,0.42,10.08
2017-08-03,22,42.0,,0.42,9.24
2017-08-04,27,42.0,,0.42,11.34
2017-08-05,5,42.0,,0.42,2.1
2017-08-06,5,42.0,,0.42,2.1
2017-08-07,35,42.0,,0.42,14.7
2017-08-08,41,42.0,,0.42,17.22
2017-08-09,42,42.0,,0.42,17.64
2017-08-10,100,42.0,,0.42,42.0
2017-08-11,85,42.0,,0.42,35.699999999999996
2017-08-12,16,42.0,,0.42,6.72
2017-08-13,8,42.0,,0.42,3.36
2017-08-14,44,42.0,,0.42,18.48
2017-08-15,41,42.0,,0.42,17.22
2017-08-16,27,42.0,,0.42,11.34
2017-08-17,26,42.0,,0.42,10.92
2017-08-18,29,42.0,,0.42,12.18
2017-08-19,5,42.0,,0.42,2.1
2017-08-20,5,42.0,,0.42,2.1
2017-08-21,21,42.0,,0.42,8.82
2017-08-22,24,42.0,,0.42,10.08
2017-08-23,25,42.0,,0.42,10.5
2017-08-24,26,42.0,,0.42,10.92
2017-08-25,23,42.0,,0.42,9.66
2017-08-26,6,42.0,,0.42,2.52
2017-08-27,3,42.0,,0.42,1.26
2017-08-28,21,42.0,,0.42,8.82
2017-08-29,21,42.0,,0.42,8.82
2017-08-30,22,42.0,,0.42,9.24
2017-08-31,21,42.0,,0.42,8.82
2017-09-01,47,32.0,False,0.32,15.040000000000001
2017-09-02,11,32.0,,0.32,3.52
2017-09-03,6,32.0,,0.32,1.92
2017-09-04,9,32.0,,0.32,2.88
2017-09-05,43,32.0,,0.32,13.76
2017-09-06,36,32.0,,0.32,11.52
2017-09-07,35,32.0,,0.32,11.200000000000001
2017-09-08,32,32.0,,0.32,10.24
2017-09-09,9,32.0,,0.32,2.88
2017-09-10,4,32.0,,0.32,1.28
2017-09-11,38,32.0,,0.32,12.16
2017-09-12,39,32.0,,0.32,12.48
2017-09-13,37,32.0,,0.32,11.84
2017-09-14,45,32.0,,0.32,14.4
2017-09-15,86,32.0,,0.32,27.52
2017-09-16,24,32.0,,0.32,7.68
2017-09-17,9,32.0,,0.32,2.88
2017-09-18,100,32.0,,0.32,32.0
2017-09-19,68,32.0,,0.32,21.76
2017-09-20,83,32.0,,0.32,26.560000000000002
2017-09-21,79,32.0,,0.32,25.28
2017-09-22,54,32.0,,0.32,17.28
2017-09-23,11,32.0,,0.32,3.52
2017-09-24,9,32.0,,0.32,2.88
2017-09-25,49,32.0,,0.32,15.68
2017-09-26,65,32.0,,0.32,20.8
2017-09-27,62,32.0,,0.32,19.84
2017-09-28,44,32.0,,0.32,14.08
2017-09-29,40,32.0,,0.32,12.8
2017-09-30,11,32.0,,0.32,3.52
2017-10-01,14,33.0,False,0.33,4.62
2017-10-02,56,33.0,,0.33,18.48
2017-10-03,63,33.0,,0.33,20.790000000000003
2017-10-04,62,33.0,,0.33,20.46
2017-10-05,64,33.0,,0.33,21.12
2017-10-06,54,33.0,,0.33,17.82
2017-10-07,13,33.0,,0.33,4.29
2017-10-08,8,33.0,,0.33,2.64
2017-10-09,64,33.0,,0.33,21.12
2017-10-10,100,33.0,,0.33,33.0
2017-10-11,87,33.0,,0.33,28.71
2017-10-12,83,33.0,,0.33,27.39
2017-10-13,79,33.0,,0.33,26.07
2017-10-14,20,33.0,,0.33,6.6000000000000005
2017-10-15,14,33.0,,0.33,4.62
2017-10-16,65,33.0,,0.33,21.45
2017-10-17,77,33.0,,0.33,25.41
2017-10-18,78,33.0,,0.33,25.740000000000002
2017-10-19,70,33.0,,0.33,23.1
2017-10-20,67,33.0,,0.33,22.11
2017-10-21,15,33.0,,0.33,4.95
2017-10-22,12,33.0,,0.33,3.96
2017-10-23,54,33.0,,0.33,17.82
2017-10-24,68,33.0,,0.33,22.44
2017-10-25,76,33.0,,0.33,25.080000000000002
2017-10-26,72,33.0,,0.33,23.76
2017-10-27,97,33.0,,0.33,32.01
2017-10-28,21,33.0,,0.33,6.930000000000001
2017-10-29,14,33.0,,0.33,4.62
2017-10-30,71,33.0,,0.33,23.43
2017-10-31,81,33.0,,0.33,26.73
2017-11-01,40,42.0,False,0.42,16.8
2017-11-02,35,42.0,,0.42,14.7
2017-11-03,33,42.0,,0.42,13.86
2017-11-04,11,42.0,,0.42,4.62
2017-11-05,6,42.0,,0.42,2.52
2017-11-06,34,42.0,,0.42,14.28
2017-11-07,33,42.0,,0.42,13.86
2017-11-08,47,42.0,,0.42,19.74
2017-11-09,98,42.0,,0.42,41.16
2017-11-10,100,42.0,,0.42,42.0
2017-11-11,17,42.0,,0.42,7.14
2017-11-12,7,42.0,,0.42,2.94
2017-11-13,36,42.0,,0.42,15.12
2017-11-14,34,42.0,,0.42,14.28
2017-11-15,33,42.0,,0.42,13.86
2017-11-16,41,42.0,,0.42,17.22
2017-11-17,26,42.0,,0.42,10.92
2017-11-18,9,42.0,,0.42,3.78
2017-11-19,5,42.0,,0.42,2.1
2017-11-20,28,42.0,,0.42,11.76
2017-11-21,30,42.0,,0.42,12.6
2017-11-22,28,42.0,,0.42,11.76
2017-11-23,9,42.0,,0.42,3.78
2017-11-24,18,42.0,,0.42,7.56
2017-11-25,8,42.0,,0.42,3.36
2017-11-26,5,42.0,,0.42,2.1
2017-11-27,22,42.0,,0.42,9.24
2017-11-28,31,42.0,,0.42,13.02
2017-11-29,61,42.0,,0.42,25.619999999999997
2017-11-30,45,42.0,,0.42,18.9
2017-12-01,78,33.0,False,0.33,25.740000000000002
2017-12-02,26,33.0,,0.33,8.58
2017-12-03,15,33.0,,0.33,4.95
2017-12-04,100,33.0,,0.33,33.0
2017-12-05,91,33.0,,0.33,30.03
2017-12-06,69,33.0,,0.33,22.77
2017-12-07,72,33.0,,0.33,23.76
2017-12-08,71,33.0,,0.33,23.43
2017-12-09,18,33.0,,0.33,5.94
2017-12-10,10,33.0,,0.33,3.3000000000000003
2017-12-11,55,33.0,,0.33,18.150000000000002
2017-12-12,59,33.0,,0.33,19.470000000000002
2017-12-13,68,33.0,,0.33,22.44
2017-12-14,68,33.0,,0.33,22.44
2017-12-15,44,33.0,,0.33,14.520000000000001
2017-12-16,20,33.0,,0.33,6.6000000000000005
2017-12-17,11,33.0,,0.33,3.6300000000000003
2017-12-18,63,33.0,,0.33,20.790000000000003
2017-12-19,64,33.0,,0.33,21.12
2017-12-20,65,33.0,,0.33,21.45
2017-12-21,49,33.0,,0.33,16.17
2017-12-22,45,33.0,,0.33,14.850000000000001
2017-12-23,17,33.0,,0.33,5.61
2017-12-24,10,33.0,,0.33,3.3000000000000003
