date,VC_unscaled,VC_monthly,isPartial,scale,VC
2016-12-26,94,54.0,,0.54,50.760000000000005
2016-12-27,94,54.0,,0.54,50.760000000000005
2016-12-28,97,54.0,,0.54,52.38
2016-12-29,89,54.0,,0.54,48.06
2016-12-30,92,54.0,,0.54,49.68000000000001
2016-12-31,72,54.0,,0.54,38.88
2017-01-01,66,55.0,False,0.55,36.300000000000004
2017-01-02,65,55.0,,0.55,35.75
2017-01-03,67,55.0,,0.55,36.85
2017-01-04,86,55.0,,0.55,47.300000000000004
2017-01-05,89,55.0,,0.55,48.95
2017-01-06,62,55.0,,0.55,34.1
2017-01-07,79,55.0,,0.55,43.45
2017-01-08,69,55.0,,0.55,37.95
2017-01-09,72,55.0,,0.55,39.6
2017-01-10,77,55.0,,0.55,42.35
2017-01-11,67,55.0,,0.55,36.85
2017-01-12,69,55.0,,0.55,37.95
2017-01-13,75,55.0,,0.55,41.25
2017-01-14,63,55.0,,0.55,34.650000000000006
2017-01-15,86,55.0,,0.55,47.300000000000004
2017-01-16,81,55.0,,0.55,44.550000000000004
2017-01-17,73,55.0,,0.55,40.150000000000006
2017-01-18,69,55.0,,0.55,37.95
2017-01-19,72,55.0,,0.55,39.6
2017-01-20,66,55.0,,0.55,36.300000000000004
2017-01-21,60,55.0,,0.55,33.0
2017-01-22,73,55.0,,0.55,40.150000000000006
2017-01-23,72,55.0,,0.55,39.6
2017-01-24,73,55.0,,0.55,40.150000000000006
2017-01-25,74,55.0,,0.55,40.7
2017-01-26,75,55.0,,0.55,41.25
2017-01-27,68,55.0,,0.55,37.400000000000006
2017-01-28,67,55.0,,0.55,36.85
2017-01-29,76,55.0,,0.55,41.800000000000004
2017-01-30,77,55.0,,0.55,42.35
2017-01-31,100,55.0,,0.55,55.00000000000001
2017-02-01,88,57.0,False,0.57,50.16
2017-02-02,79,57.0,,0.57,45.029999999999994
2017-02-03,72,57.0,,0.57,41.04
2017-02-04,72,57.0,,0.57,41.04
2017-02-05,76,57.0,,0.57,43.31999999999999
2017-02-06,70,57.0,,0.57,39.9
2017-02-07,79,57.0,,0.57,45.029999999999994
2017-02-08,83,57.0,,0.57,47.309999999999995
2017-02-09,73,57.0,,0.57,41.61
2017-02-10,70,57.0,,0.57,39.9
2017-02-11,64,57.0,,0.57,36.48
2017-02-12,71,57.0,,0.57,40.47
2017-02-13,67,57.0,,0.57,38.19
2017-02-14,100,57.0,,0.57,56.99999999999999
2017-02-15,92,57.0,,0.57,52.44
2017-02-16,88,57.0,,0.57,50.16
2017-02-17,84,57.0,,0.57,47.879999999999995
2017-02-18,82,57.0,,0.57,46.739999999999995
2017-02-19,81,57.0,,0.57,46.169999999999995
2017-02-20,88,57.0,,0.57,50.16
2017-02-21,93,57.0,,0.57,53.01
2017-02-22,85,57.0,,0.57,48.449999999999996
2017-02-23,78,57.0,,0.57,44.459999999999994
2017-02-24,73,57.0,,0.57,41.61
2017-02-25,77,57.0,,0.57,43.88999999999999
2017-02-26,73,57.0,,0.57,41.61
2017-02-27,68,57.0,,0.57,38.76
2017-02-28,82,57.0,,0.57,46.739999999999995
2017-03-01,78,61.0,False,0.61,47.58
2017-03-02,88,61.0,,0.61,53.68
2017-03-03,79,61.0,,0.61,48.19
2017-03-04,85,61.0,,0.61,51.85
2017-03-05,78,61.0,,0.61,47.58
2017-03-06,72,61.0,,0.61,43.92
2017-03-07,89,61.0,,0.61,54.29
2017-03-08,79,61.0,,0.61,48.19
2017-03-09,84,61.0,,0.61,51.24
2017-03-10,73,61.0,,0.61,44.53
2017-03-11,79,61.0,,0.61,48.19
2017-03-12,72,61.0,,0.61,43.92
2017-03-13,89,61.0,,0.61,54.29
2017-03-14,83,61.0,,0.61,50.629999999999995
2017-03-15,84,61.0,,0.61,51.24
2017-03-16,83,61.0,,0.61,50.629999999999995
2017-03-17,100,61.0,,0.61,61.0
2017-03-18,62,61.0,,0.61,37.82
2017-03-19,86,61.0,,0.61,52.46
2017-03-20,86,61.0,,0.61,52.46
2017-03-21,87,61.0,,0.61,53.07
2017-03-22,92,61.0,,0.61,56.12
2017-03-23,83,61.0,,0.61,50.629999999999995
2017-03-24,70,61.0,,0.61,42.699999999999996
2017-03-25,82,61.0,,0.61,50.019999999999996
2017-03-26,65,61.0,,0.61,39.65
2017-03-27,89,61.0,,0.61,54.29
2017-03-28,98,61.0,,0.61,59.78
2017-03-29,87,61.0,,0.61,53.07
2017-03-30,85,61.0,,0.61,51.85
2017-03-31,71,61.0,,0.61,43.31
2017-04-01,58,54.0,False,0.54,31.32
2017-04-02,67,54.0,,0.54,36.18
2017-04-03,75,54.0,,0.54,40.5
2017-04-04,78,54.0,,0.54,42.120000000000005
2017-04-05,69,54.0,,0.54,37.260000000000005
2017-04-06,80,54.0,,0.54,43.2
2017-04-07,65,54.0,,0.54,35.1
2017-04-08,63,54.0,,0.54,34.02
2017-04-09,67,54.0,,0.54,36.18
2017-04-10,65,54.0,,0.54,35.1
2017-04-11,69,54.0,,0.54,37.260000000000005
2017-04-12,72,54.0,,0.54,38.88
2017-04-13,80,54.0,,0.54,43.2
2017-04-14,67,54.0,,0.54,36.18
2017-04-15,59,54.0,,0.54,31.860000000000003
2017-04-16,75,54.0,,0.54,40.5
2017-04-17,72,54.0,,0.54,38.88
2017-04-18,66,54.0,,0.54,35.64
2017-04-19,78,54.0,,0.54,42.120000000000005
2017-04-20,76,54.0,,0.54,41.040000000000006
2017-04-21,83,54.0,,0.54,44.82
2017-04-22,66,54.0,,0.54,35.64
2017-04-23,69,54.0,,0.54,37.260000000000005
2017-04-24,71,54.0,,0.54,38.34
2017-04-25,92,54.0,,0.54,49.68000000000001
2017-04-26,100,54.0,,0.54,54.0
2017-04-27,78,54.0,,0.54,42.120000000000005
2017-04-28,75,54.0,,0.54,40.5
2017-04-29,82,54.0,,0.54,44.28
2017-04-30,94,54.0,,0.54,50.760000000000005
2017-05-01,81,56.0,False,0.56,45.36000000000001
2017-05-02,85,56.0,,0.56,47.6
2017-05-03,85,56.0,,0.56,47.6
2017-05-04,79,56.0,,0.56,44.24
2017-05-05,87,56.0,,0.56,48.720000000000006
2017-05-06,83,56.0,,0.56,46.480000000000004
2017-05-07,77,56.0,,0.56,43.120000000000005
2017-05-08,75,56.0,,0.56,42.00000000000001
2017-05-09,100,56.0,,0.56,56.00000000000001
2017-05-10,89,56.0,,0.56,49.84
2017-05-11,68,56.0,,0.56,38.080000000000005
2017-05-12,79,56.0,,0.56,44.24
2017-05-13,80,56.0,,0.56,44.800000000000004
2017-05-14,88,56.0,,0.56,49.28
2017-05-15,69,56.0,,0.56,38.64
2017-05-16,70,56.0,,0.56,39.2
2017-05-17,74,56.0,,0.56,41.440000000000005
2017-05-18,68,56.0,,0.56,38.080000000000005
2017-05-19,63,56.0,,0.56,35.28
2017-05-20,76,56.0,,0.56,42.56
2017-05-21,65,56.0,,0.56,36.400000000000006
2017-05-22,85,56.0,,0.56,47.6
2017-05-23,77,56.0,,0.56,43.120000000000005
2017-05-24,79,56.0,,0.56,44.24
2017-05-25,79,56.0,,0.56,44.24
2017-05-26,81,56.0,,0.56,45.36000000000001
2017-05-27,76,56.0,,0.56,42.56
2017-05-28,75,56.0,,0.56,42.00000000000001
2017-05-29,85,56.0,,0.56,47.6
2017-05-30,81,56.0,,0.56,45.36000000000001
2017-05-31,85,56.0,,0.56,47.6
2017-06-01,100,56.0,False,0.56,56.00000000000001
2017-06-02,84,56.0,,0.56,47.040000000000006
2017-06-03,87,56.0,,0.56,48.720000000000006
2017-06-04,79,56.0,,0.56,44.24
2017-06-05,88,56.0,,0.56,49.28
2017-06-06,96,56.0,,0.56,53.760000000000005
2017-06-07,94,56.0,,0.56,52.64000000000001
2017-06-08,78,56.0,,0.56,43.68000000000001
2017-06-09,83,56.0,,0.56,46.480000000000004
2017-06-10,81,56.0,,0.56,45.36000000000001
2017-06-11,78,56.0,,0.56,43.68000000000001
2017-06-12,87,56.0,,0.56,48.720000000000006
2017-06-13,86,56.0,,0.56,48.160000000000004
2017-06-14,84,56.0,,0.56,47.040000000000006
2017-06-15,86,56.0,,0.56,48.160000000000004
2017-06-16,66,56.0,,0.56,36.96
2017-06-17,70,56.0,,0.56,39.2
2017-06-18,66,56.0,,0.56,36.96
2017-06-19,87,56.0,,0.56,48.720000000000006
2017-06-20,91,56.0,,0.56,50.96000000000001
2017-06-21,100,56.0,,0.56,56.00000000000001
2017-06-22,95,56.0,,0.56,53.2
2017-06-23,80,56.0,,0.56,44.800000000000004
2017-06-24,79,56.0,,0.56,44.24
2017-06-25,74,56.0,,0.56,41.440000000000005
2017-06-26,73,56.0,,0.56,40.88
2017-06-27,85,56.0,,0.56,47.6
2017-06-28,90,56.0,,0.56,50.400000000000006
2017-06-29,89,56.0,,0.56,49.84
2017-06-30,87,56.0,,0.56,48.720000000000006
2017-07-01,52,50.0,False,0.5,26.0
2017-07-02,60,50.0,,0.5,30.0
2017-07-03,68,50.0,,0.5,34.0
2017-07-04,64,50.0,,0.5,32.0
2017-07-05,71,50.0,,0.5,35.5
2017-07-06,70,50.0,,0.5,35.0
2017-07-07,67,50.0,,0.5,33.5
2017-07-08,51,50.0,,0.5,25.5
2017-07-09,68,50.0,,0.5,34.0
2017-07-10,82,50.0,,0.5,41.0
2017-07-11,64,50.0,,0.5,32.0
2017-07-12,68,50.0,,0.5,34.0
2017-07-13,63,50.0,,0.5,31.5
2017-07-14,69,50.0,,0.5,34.5
2017-07-15,54,50.0,,0.5,27.0
2017-07-16,56,50.0,,0.5,28.0
2017-07-17,69,50.0,,0.5,34.5
2017-07-18,60,50.0,,0.5,30.0
2017-07-19,69,50.0,,0.5,34.5
2017-07-20,63,50.0,,0.5,31.5
2017-07-21,61,50.0,,0.5,30.5
2017-07-22,59,50.0,,0.5,29.5
2017-07-23,49,50.0,,0.5,24.5
2017-07-24,64,50.0,,0.5,32.0
2017-07-25,64,50.0,,0.5,32.0
2017-07-26,68,50.0,,0.5,34.0
2017-07-27,62,50.0,,0.5,31.0
2017-07-28,67,50.0,,0.5,33.5
2017-07-29,57,50.0,,0.5,28.5
2017-07-30,44,50.0,,0.5,22.0
2017-07-31,100,50.0,,0.5,50.0
2017-08-01,100,52.0,False,0.52,52.0
2017-08-02,72,52.0,,0.52,37.44
2017-08-03,80,52.0,,0.52,41.6
2017-08-04,62,52.0,,0.52,32.24
2017-08-05,64,52.0,,0.52,33.28
2017-08-06,52,52.0,,0.52,27.04
2017-08-07,64,52.0,,0.52,33.28
2017-08-08,71,52.0,,0.52,36.92
2017-08-09,57,52.0,,0.52,29.64
2017-08-10,58,52.0,,0.52,30.16
2017-08-11,63,52.0,,0.52,32.76
2017-08-12,50,52.0,,0.52,26.0
2017-08-13,48,52.0,,0.52,24.96
2017-08-14,62,52.0,,0.52,32.24
2017-08-15,62,52.0,,0.52,32.24
2017-08-16,62,52.0,,0.52,32.24
2017-08-17,62,52.0,,0.52,32.24
2017-08-18,53,52.0,,0.52,27.560000000000002
2017-08-19,48,52.0,,0.52,24.96
2017-08-20,48,52.0,,0.52,24.96
2017-08-21,55,52.0,,0.52,28.6
2017-08-22,50,52.0,,0.52,26.0
2017-08-23,63,52.0,,0.52,32.76
2017-08-24,60,52.0,,0.52,31.200000000000003
2017-08-25,57,52.0,,0.52,29.64
2017-08-26,43,52.0,,0.52,22.36
2017-08-27,38,52.0,,0.52,19.76
2017-08-28,49,52.0,,0.52,25.48
2017-08-29,45,52.0,,0.52,23.400000000000002
2017-08-30,47,52.0,,0.52,24.44
2017-08-31,50,52.0,,0.52,26.0
2017-09-01,30,94.0,False,0.94,28.2
2017-09-02,29,94.0,,0.94,27.259999999999998
2017-09-03,22,94.0,,0.94,20.68
2017-09-04,25,94.0,,0.94,23.5
2017-09-05,28,94.0,,0.94,26.32
2017-09-06,31,94.0,,0.94,29.139999999999997
2017-09-07,32,94.0,,0.94,30.08
2017-09-08,34,94.0,,0.94,31.959999999999997
2017-09-09,23,94.0,,0.94,21.619999999999997
2017-09-10,27,94.0,,0.94,25.38
2017-09-11,32,94.0,,0.94,30.08
2017-09-12,33,94.0,,0.94,31.02
2017-09-13,34,94.0,,0.94,31.959999999999997
2017-09-14,39,94.0,,0.94,36.66
2017-09-15,86,94.0,,0.94,80.83999999999999
2017-09-16,100,94.0,,0.94,94.0
2017-09-17,86,94.0,,0.94,80.83999999999999
2017-09-18,74,94.0,,0.94,69.56
2017-09-19,68,94.0,,0.94,63.919999999999995
2017-09-20,76,94.0,,0.94,71.44
2017-09-21,69,94.0,,0.94,64.86
2017-09-22,70,94.0,,0.94,65.8
2017-09-23,69,94.0,,0.94,64.86
2017-09-24,66,94.0,,0.94,62.04
2017-09-25,56,94.0,,0.94,52.64
2017-09-26,57,94.0,,0.94,53.58
2017-09-27,59,94.0,,0.94,55.459999999999994
2017-09-28,52,94.0,,0.94,48.879999999999995
2017-09-29,51,94.0,,0.94,47.94
2017-09-30,49,94.0,,0.94,46.059999999999995
2017-10-01,98,67.0,False,0.67,65.66000000000001
2017-10-02,86,67.0,,0.67,57.620000000000005
2017-10-03,95,67.0,,0.67,63.650000000000006
2017-10-04,79,67.0,,0.67,52.93
2017-10-05,78,67.0,,0.67,52.260000000000005
2017-10-06,99,67.0,,0.67,66.33
2017-10-07,81,67.0,,0.67,54.27
2017-10-08,86,67.0,,0.67,57.620000000000005
2017-10-09,97,67.0,,0.67,64.99000000000001
2017-10-10,100,67.0,,0.67,67.0
2017-10-11,87,67.0,,0.67,58.290000000000006
2017-10-12,88,67.0,,0.67,58.96
2017-10-13,81,67.0,,0.67,54.27
2017-10-14,83,67.0,,0.67,55.61000000000001
2017-10-15,84,67.0,,0.67,56.28
2017-10-16,76,67.0,,0.67,50.92
2017-10-17,66,67.0,,0.67,44.220000000000006
2017-10-18,96,67.0,,0.67,64.32000000000001
2017-10-19,84,67.0,,0.67,56.28
2017-10-20,86,67.0,,0.67,57.620000000000005
2017-10-21,97,67.0,,0.67,64.99000000000001
2017-10-22,66,67.0,,0.67,44.220000000000006
2017-10-23,84,67.0,,0.67,56.28
2017-10-24,82,67.0,,0.67,54.940000000000005
2017-10-25,80,67.0,,0.67,53.6
2017-10-26,74,67.0,,0.67,49.580000000000005
2017-10-27,65,67.0,,0.67,43.550000000000004
2017-10-28,77,67.0,,0.67,51.59
2017-10-29,58,67.0,,0.67,38.86
2017-10-30,64,67.0,,0.67,42.88
2017-10-31,70,67.0,,0.67,46.900000000000006
2017-11-01,67,55.0,False,0.55,36.85
2017-11-02,61,55.0,,0.55,33.550000000000004
2017-11-03,73,55.0,,0.55,40.150000000000006
2017-11-04,57,55.0,,0.55,31.35
2017-11-05,74,55.0,,0.55,40.7
2017-11-06,72,55.0,,0.55,39.6
2017-11-07,68,55.0,,0.55,37.400000000000006
2017-11-08,61,55.0,,0.55,33.550000000000004
2017-11-09,62,55.0,,0.55,34.1
2017-11-10,65,55.0,,0.55,35.75
2017-11-11,74,55.0,,0.55,40.7
2017-11-12,52,55.0,,0.55,28.6
2017-11-13,65,55.0,,0.55,35.75
2017-11-14,76,55.0,,0.55,41.800000000000004
2017-11-15,67,55.0,,0.55,36.85
2017-11-16,69,55.0,,0.55,37.95
2017-11-17,66,55.0,,0.55,36.300000000000004
2017-11-18,75,55.0,,0.55,41.25
2017-11-19,68,55.0,,0.55,37.400000000000006
2017-11-20,71,55.0,,0.55,39.050000000000004
2017-11-21,72,55.0,,0.55,39.6
2017-11-22,64,55.0,,0.55,35.2
2017-11-23,80,55.0,,0.55,44.0
2017-11-24,100,55.0,,0.55,55.00000000000001
2017-11-25,96,55.0,,0.55,52.800000000000004
2017-11-26,85,55.0,,0.55,46.75000000000001
2017-11-27,71,55.0,,0.55,39.050000000000004
2017-11-28,67,55.0,,0.55,36.85
2017-11-29,76,55.0,,0.55,41.800000000000004
2017-11-30,67,55.0,,0.55,36.85
2017-12-01,66,64.0,False,0.64,42.24
2017-12-02,72,64.0,,0.64,46.08
2017-12-03,63,64.0,,0.64,40.32
2017-12-04,65,64.0,,0.64,41.6
2017-12-05,100,64.0,,0.64,64.0
2017-12-06,82,64.0,,0.64,52.480000000000004
2017-12-07,77,64.0,,0.64,49.28
2017-12-08,83,64.0,,0.64,53.120000000000005
2017-12-09,66,64.0,,0.64,42.24
2017-12-10,65,64.0,,0.64,41.6
2017-12-11,52,64.0,,0.64,33.28
2017-12-12,61,64.0,,0.64,39.04
2017-12-13,64,64.0,,0.64,40.96
2017-12-14,70,64.0,,0.64,44.800000000000004
2017-12-15,70,64.0,,0.64,44.800000000000004
2017-12-16,63,64.0,,0.64,40.32
2017-12-17,62,64.0,,0.64,39.68
2017-12-18,53,64.0,,0.64,33.92
2017-12-19,61,64.0,,0.64,39.04
2017-12-20,64,64.0,,0.64,40.96
