date,GE_unscaled,GE_monthly,isPartial,scale,GE
2016-08-07,81,74.0,,0.74,59.94
2016-08-08,96,74.0,,0.74,71.03999999999999
2016-08-09,92,74.0,,0.74,68.08
2016-08-10,88,74.0,,0.74,65.12
2016-08-11,93,74.0,,0.74,68.82
2016-08-12,95,74.0,,0.74,70.3
2016-08-13,79,74.0,,0.74,58.46
2016-08-14,81,74.0,,0.74,59.94
2016-08-15,100,74.0,,0.74,74.0
2016-08-16,95,74.0,,0.74,70.3
2016-08-17,83,74.0,,0.74,61.42
2016-08-18,91,74.0,,0.74,67.34
2016-08-19,93,74.0,,0.74,68.82
2016-08-20,80,74.0,,0.74,59.2
2016-08-21,81,74.0,,0.74,59.94
2016-08-22,94,74.0,,0.74,69.56
2016-08-23,94,74.0,,0.74,69.56
2016-08-24,92,74.0,,0.74,68.08
2016-08-25,87,74.0,,0.74,64.38
2016-08-26,93,74.0,,0.74,68.82
2016-08-27,80,74.0,,0.74,59.2
2016-08-28,79,74.0,,0.74,58.46
2016-08-29,95,74.0,,0.74,70.3
2016-08-30,92,74.0,,0.74,68.08
2016-08-31,92,74.0,,0.74,68.08
2016-09-01,86,70.0,False,0.7,60.199999999999996
2016-09-02,90,70.0,,0.7,62.99999999999999
2016-09-03,80,70.0,,0.7,56.0
2016-09-04,85,70.0,,0.7,59.49999999999999
2016-09-05,86,70.0,,0.7,60.199999999999996
2016-09-06,95,70.0,,0.7,66.5
2016-09-07,94,70.0,,0.7,65.8
2016-09-08,90,70.0,,0.7,62.99999999999999
2016-09-09,85,70.0,,0.7,59.49999999999999
2016-09-10,80,70.0,,0.7,56.0
2016-09-11,74,70.0,,0.7,51.8
2016-09-12,94,70.0,,0.7,65.8
2016-09-13,97,70.0,,0.7,67.89999999999999
2016-09-14,100,70.0,,0.7,70.0
2016-09-15,91,70.0,,0.7,63.699999999999996
2016-09-16,87,70.0,,0.7,60.9
2016-09-17,75,70.0,,0.7,52.5
2016-09-18,75,70.0,,0.7,52.5
2016-09-19,90,70.0,,0.7,62.99999999999999
2016-09-20,91,70.0,,0.7,63.699999999999996
2016-09-21,94,70.0,,0.7,65.8
2016-09-22,87,70.0,,0.7,60.9
2016-09-23,88,70.0,,0.7,61.599999999999994
2016-09-24,72,70.0,,0.7,50.4
2016-09-25,77,70.0,,0.7,53.9
2016-09-26,90,70.0,,0.7,62.99999999999999
2016-09-27,87,70.0,,0.7,60.9
2016-09-28,91,70.0,,0.7,63.699999999999996
2016-09-29,89,70.0,,0.7,62.3
2016-09-30,88,70.0,,0.7,61.599999999999994
2016-10-01,76,71.0,False,0.71,53.959999999999994
2016-10-02,74,71.0,,0.71,52.54
2016-10-03,79,71.0,,0.71,56.089999999999996
2016-10-04,81,71.0,,0.71,57.51
2016-10-05,81,71.0,,0.71,57.51
2016-10-06,73,71.0,,0.71,51.83
2016-10-07,72,71.0,,0.71,51.12
2016-10-08,65,71.0,,0.71,46.15
2016-10-09,67,71.0,,0.71,47.57
2016-10-10,81,71.0,,0.71,57.51
2016-10-11,84,71.0,,0.71,59.64
2016-10-12,79,71.0,,0.71,56.089999999999996
2016-10-13,73,71.0,,0.71,51.83
2016-10-14,77,71.0,,0.71,54.669999999999995
2016-10-15,65,71.0,,0.71,46.15
2016-10-16,68,71.0,,0.71,48.28
2016-10-17,79,71.0,,0.71,56.089999999999996
2016-10-18,79,71.0,,0.71,56.089999999999996
2016-10-19,81,71.0,,0.71,57.51
2016-10-20,76,71.0,,0.71,53.959999999999994
2016-10-21,80,71.0,,0.71,56.8
2016-10-22,65,71.0,,0.71,46.15
2016-10-23,71,71.0,,0.71,50.41
2016-10-24,83,71.0,,0.71,58.93
2016-10-25,85,71.0,,0.71,60.349999999999994
2016-10-26,81,71.0,,0.71,57.51
2016-10-27,81,71.0,,0.71,57.51
2016-10-28,89,71.0,,0.71,63.19
2016-10-29,68,71.0,,0.71,48.28
2016-10-30,70,71.0,,0.71,49.699999999999996
2016-10-31,100,71.0,,0.71,71.0
2016-11-01,94,83.0,False,0.83,78.02
2016-11-02,88,83.0,,0.83,73.03999999999999
2016-11-03,80,83.0,,0.83,66.39999999999999
2016-11-04,84,83.0,,0.83,69.72
2016-11-05,87,83.0,,0.83,72.21
2016-11-06,86,83.0,,0.83,71.38
2016-11-07,93,83.0,,0.83,77.19
2016-11-08,81,83.0,,0.83,67.22999999999999
2016-11-09,65,83.0,,0.83,53.949999999999996
2016-11-10,89,83.0,,0.83,73.86999999999999
2016-11-11,86,83.0,,0.83,71.38
2016-11-12,76,83.0,,0.83,63.08
2016-11-13,84,83.0,,0.83,69.72
2016-11-14,100,83.0,,0.83,83.0
2016-11-15,90,83.0,,0.83,74.7
2016-11-16,92,83.0,,0.83,76.36
2016-11-17,91,83.0,,0.83,75.53
2016-11-18,85,83.0,,0.83,70.55
2016-11-19,84,83.0,,0.83,69.72
2016-11-20,83,83.0,,0.83,68.89
2016-11-21,97,83.0,,0.83,80.50999999999999
2016-11-22,98,83.0,,0.83,81.33999999999999
2016-11-23,95,83.0,,0.83,78.85
2016-11-24,91,83.0,,0.83,75.53
2016-11-25,99,83.0,,0.83,82.17
2016-11-26,94,83.0,,0.83,78.02
2016-11-27,96,83.0,,0.83,79.67999999999999
2016-11-28,98,83.0,,0.83,81.33999999999999
2016-11-29,95,83.0,,0.83,78.85
2016-11-30,87,83.0,,0.83,72.21
2016-12-01,92,74.0,False,0.74,68.08
2016-12-02,86,74.0,,0.74,63.64
2016-12-03,84,74.0,,0.74,62.16
2016-12-04,89,74.0,,0.74,65.86
2016-12-05,91,74.0,,0.74,67.34
2016-12-06,100,74.0,,0.74,74.0
2016-12-07,87,74.0,,0.74,64.38
2016-12-08,86,74.0,,0.74,63.64
2016-12-09,83,74.0,,0.74,61.42
2016-12-10,78,74.0,,0.74,57.72
2016-12-11,82,74.0,,0.74,60.68
2016-12-12,88,74.0,,0.74,65.12
2016-12-13,90,74.0,,0.74,66.6
2016-12-14,90,74.0,,0.74,66.6
2016-12-15,86,74.0,,0.74,63.64
2016-12-16,84,74.0,,0.74,62.16
2016-12-17,72,74.0,,0.74,53.28
2016-12-18,71,74.0,,0.74,52.54
2016-12-19,91,74.0,,0.74,67.34
2016-12-20,85,74.0,,0.74,62.9
2016-12-21,87,74.0,,0.74,64.38
2016-12-22,86,74.0,,0.74,63.64
2016-12-23,82,74.0,,0.74,60.68
2016-12-24,73,74.0,,0.74,54.019999999999996
2016-12-25,62,74.0,,0.74,45.88
2016-12-26,86,74.0,,0.74,63.64
2016-12-27,93,74.0,,0.74,68.82
2016-12-28,96,74.0,,0.74,71.03999999999999
2016-12-29,89,74.0,,0.74,65.86
2016-12-30,89,74.0,,0.74,65.86
2016-12-31,74,74.0,,0.74,54.76
2017-01-01,75,73.0,False,0.73,54.75
2017-01-02,92,73.0,,0.73,67.16
2017-01-03,96,73.0,,0.73,70.08
2017-01-04,97,73.0,,0.73,70.81
2017-01-05,97,73.0,,0.73,70.81
2017-01-06,89,73.0,,0.73,64.97
2017-01-07,81,73.0,,0.73,59.129999999999995
2017-01-08,89,73.0,,0.73,64.97
2017-01-09,89,73.0,,0.73,64.97
2017-01-10,93,73.0,,0.73,67.89
2017-01-11,93,73.0,,0.73,67.89
2017-01-12,93,73.0,,0.73,67.89
2017-01-13,93,73.0,,0.73,67.89
2017-01-14,90,73.0,,0.73,65.7
2017-01-15,84,73.0,,0.73,61.32
2017-01-16,96,73.0,,0.73,70.08
2017-01-17,94,73.0,,0.73,68.62
2017-01-18,93,73.0,,0.73,67.89
2017-01-19,94,73.0,,0.73,68.62
2017-01-20,87,73.0,,0.73,63.51
2017-01-21,78,73.0,,0.73,56.94
2017-01-22,88,73.0,,0.73,64.24
2017-01-23,89,73.0,,0.73,64.97
2017-01-24,97,73.0,,0.73,70.81
2017-01-25,100,73.0,,0.73,73.0
2017-01-26,94,73.0,,0.73,68.62
2017-01-27,91,73.0,,0.73,66.42999999999999
2017-01-28,86,73.0,,0.73,62.78
2017-01-29,82,73.0,,0.73,59.86
2017-01-30,91,73.0,,0.73,66.42999999999999
2017-01-31,93,73.0,,0.73,67.89
2017-02-01,88,69.0,False,0.69,60.72
2017-02-02,94,69.0,,0.69,64.86
2017-02-03,94,69.0,,0.69,64.86
2017-02-04,82,69.0,,0.69,56.58
2017-02-05,77,69.0,,0.69,53.129999999999995
2017-02-06,85,69.0,,0.69,58.65
2017-02-07,100,69.0,,0.69,69.0
2017-02-08,92,69.0,,0.69,63.48
2017-02-09,89,69.0,,0.69,61.41
2017-02-10,87,69.0,,0.69,60.029999999999994
2017-02-11,78,69.0,,0.69,53.81999999999999
2017-02-12,90,69.0,,0.69,62.099999999999994
2017-02-13,90,69.0,,0.69,62.099999999999994
2017-02-14,89,69.0,,0.69,61.41
2017-02-15,93,69.0,,0.69,64.17
2017-02-16,93,69.0,,0.69,64.17
2017-02-17,92,69.0,,0.69,63.48
2017-02-18,88,69.0,,0.69,60.72
2017-02-19,82,69.0,,0.69,56.58
2017-02-20,95,69.0,,0.69,65.55
2017-02-21,97,69.0,,0.69,66.92999999999999
2017-02-22,92,69.0,,0.69,63.48
2017-02-23,90,69.0,,0.69,62.099999999999994
2017-02-24,86,69.0,,0.69,59.339999999999996
2017-02-25,90,69.0,,0.69,62.099999999999994
2017-02-26,77,69.0,,0.69,53.129999999999995
2017-02-27,93,69.0,,0.69,64.17
2017-02-28,97,69.0,,0.69,66.92999999999999
2017-03-01,98,71.0,False,0.71,69.58
2017-03-02,97,71.0,,0.71,68.86999999999999
2017-03-03,97,71.0,,0.71,68.86999999999999
2017-03-04,85,71.0,,0.71,60.349999999999994
2017-03-05,97,71.0,,0.71,68.86999999999999
2017-03-06,99,71.0,,0.71,70.28999999999999
2017-03-07,96,71.0,,0.71,68.16
2017-03-08,93,71.0,,0.71,66.03
2017-03-09,97,71.0,,0.71,68.86999999999999
2017-03-10,97,71.0,,0.71,68.86999999999999
2017-03-11,82,71.0,,0.71,58.22
2017-03-12,91,71.0,,0.71,64.61
2017-03-13,100,71.0,,0.71,71.0
2017-03-14,95,71.0,,0.71,67.45
2017-03-15,98,71.0,,0.71,69.58
2017-03-16,93,71.0,,0.71,66.03
2017-03-17,89,71.0,,0.71,63.19
2017-03-18,82,71.0,,0.71,58.22
2017-03-19,81,71.0,,0.71,57.51
2017-03-20,98,71.0,,0.71,69.58
2017-03-21,99,71.0,,0.71,70.28999999999999
2017-03-22,96,71.0,,0.71,68.16
2017-03-23,92,71.0,,0.71,65.32
2017-03-24,93,71.0,,0.71,66.03
2017-03-25,77,71.0,,0.71,54.669999999999995
2017-03-26,84,71.0,,0.71,59.64
2017-03-27,98,71.0,,0.71,69.58
2017-03-28,100,71.0,,0.71,71.0
2017-03-29,94,71.0,,0.71,66.74
2017-03-30,97,71.0,,0.71,68.86999999999999
2017-03-31,92,71.0,,0.71,65.32
2017-04-01,78,66.0,False,0.66,51.480000000000004
2017-04-02,80,66.0,,0.66,52.800000000000004
2017-04-03,91,66.0,,0.66,60.06
2017-04-04,99,66.0,,0.66,65.34
2017-04-05,93,66.0,,0.66,61.38
2017-04-06,94,66.0,,0.66,62.040000000000006
2017-04-07,88,66.0,,0.66,58.080000000000005
2017-04-08,82,66.0,,0.66,54.120000000000005
2017-04-09,79,66.0,,0.66,52.14
2017-04-10,97,66.0,,0.66,64.02
2017-04-11,94,66.0,,0.66,62.040000000000006
2017-04-12,87,66.0,,0.66,57.42
2017-04-13,85,66.0,,0.66,56.1
2017-04-14,78,66.0,,0.66,51.480000000000004
2017-04-15,80,66.0,,0.66,52.800000000000004
2017-04-16,80,66.0,,0.66,52.800000000000004
2017-04-17,100,66.0,,0.66,66.0
2017-04-18,93,66.0,,0.66,61.38
2017-04-19,96,66.0,,0.66,63.36
2017-04-20,92,66.0,,0.66,60.720000000000006
2017-04-21,99,66.0,,0.66,65.34
2017-04-22,80,66.0,,0.66,52.800000000000004
2017-04-23,86,66.0,,0.66,56.760000000000005
2017-04-24,97,66.0,,0.66,64.02
2017-04-25,99,66.0,,0.66,65.34
2017-04-26,92,66.0,,0.66,60.720000000000006
2017-04-27,94,66.0,,0.66,62.040000000000006
2017-04-28,86,66.0,,0.66,56.760000000000005
2017-04-29,71,66.0,,0.66,46.86
2017-04-30,85,66.0,,0.66,56.1
2017-05-01,95,70.0,False,0.7,66.5
2017-05-02,88,70.0,,0.7,61.599999999999994
2017-05-03,92,70.0,,0.7,64.39999999999999
2017-05-04,92,70.0,,0.7,64.39999999999999
2017-05-05,90,70.0,,0.7,62.99999999999999
2017-05-06,75,70.0,,0.7,52.5
2017-05-07,82,70.0,,0.7,57.4
2017-05-08,98,70.0,,0.7,68.6
2017-05-09,94,70.0,,0.7,65.8
2017-05-10,90,70.0,,0.7,62.99999999999999
2017-05-11,86,70.0,,0.7,60.199999999999996
2017-05-12,91,70.0,,0.7,63.699999999999996
2017-05-13,85,70.0,,0.7,59.49999999999999
2017-05-14,78,70.0,,0.7,54.599999999999994
2017-05-15,91,70.0,,0.7,63.699999999999996
2017-05-16,90,70.0,,0.7,62.99999999999999
2017-05-17,92,70.0,,0.7,64.39999999999999
2017-05-18,91,70.0,,0.7,63.699999999999996
2017-05-19,85,70.0,,0.7,59.49999999999999
2017-05-20,85,70.0,,0.7,59.49999999999999
2017-05-21,85,70.0,,0.7,59.49999999999999
2017-05-22,90,70.0,,0.7,62.99999999999999
2017-05-23,95,70.0,,0.7,66.5
2017-05-24,100,70.0,,0.7,70.0
2017-05-25,98,70.0,,0.7,68.6
2017-05-26,92,70.0,,0.7,64.39999999999999
2017-05-27,74,70.0,,0.7,51.8
2017-05-28,79,70.0,,0.7,55.3
2017-05-29,83,70.0,,0.7,58.099999999999994
2017-05-30,98,70.0,,0.7,68.6
2017-05-31,100,70.0,,0.7,70.0
2017-06-01,62,76.0,False,0.76,47.12
2017-06-02,61,76.0,,0.76,46.36
2017-06-03,54,76.0,,0.76,41.04
2017-06-04,49,76.0,,0.76,37.24
2017-06-05,61,76.0,,0.76,46.36
2017-06-06,64,76.0,,0.76,48.64
2017-06-07,68,76.0,,0.76,51.68
2017-06-08,61,76.0,,0.76,46.36
2017-06-09,59,76.0,,0.76,44.84
2017-06-10,51,76.0,,0.76,38.76
2017-06-11,54,76.0,,0.76,41.04
2017-06-12,100,76.0,,0.76,76.0
2017-06-13,81,76.0,,0.76,61.56
2017-06-14,69,76.0,,0.76,52.44
2017-06-15,66,76.0,,0.76,50.160000000000004
2017-06-16,62,76.0,,0.76,47.12
2017-06-17,53,76.0,,0.76,40.28
2017-06-18,53,76.0,,0.76,40.28
2017-06-19,66,76.0,,0.76,50.160000000000004
2017-06-20,73,76.0,,0.76,55.480000000000004
2017-06-21,70,76.0,,0.76,53.2
2017-06-22,64,76.0,,0.76,48.64
2017-06-23,68,76.0,,0.76,51.68
2017-06-24,52,76.0,,0.76,39.52
2017-06-25,56,76.0,,0.76,42.56
2017-06-26,65,76.0,,0.76,49.4
2017-06-27,67,76.0,,0.76,50.92
2017-06-28,67,76.0,,0.76,50.92
2017-06-29,68,76.0,,0.76,51.68
2017-06-30,64,76.0,,0.76,48.64
2017-07-01,71,75.0,False,0.75,53.25
2017-07-02,73,75.0,,0.75,54.75
2017-07-03,85,75.0,,0.75,63.75
2017-07-04,72,75.0,,0.75,54.0
2017-07-05,89,75.0,,0.75,66.75
2017-07-06,82,75.0,,0.75,61.5
2017-07-07,92,75.0,,0.75,69.0
2017-07-08,69,75.0,,0.75,51.75
2017-07-09,75,75.0,,0.75,56.25
2017-07-10,91,75.0,,0.75,68.25
2017-07-11,92,75.0,,0.75,69.0
2017-07-12,91,75.0,,0.75,68.25
2017-07-13,81,75.0,,0.75,60.75
2017-07-14,82,75.0,,0.75,61.5
2017-07-15,72,75.0,,0.75,54.0
2017-07-16,67,75.0,,0.75,50.25
2017-07-17,85,75.0,,0.75,63.75
2017-07-18,80,75.0,,0.75,60.0
2017-07-19,90,75.0,,0.75,67.5
2017-07-20,84,75.0,,0.75,63.0
2017-07-21,100,75.0,,0.75,75.0
2017-07-22,74,75.0,,0.75,55.5
2017-07-23,75,75.0,,0.75,56.25
2017-07-24,89,75.0,,0.75,66.75
2017-07-25,84,75.0,,0.75,63.0
2017-07-26,90,75.0,,0.75,67.5
2017-07-27,89,75.0,,0.75,66.75
2017-07-28,80,75.0,,0.75,60.0
2017-07-29,68,75.0,,0.75,51.0
2017-07-30,72,75.0,,0.75,54.0
2017-07-31,85,75.0,,0.75,63.75
2017-08-01,92,74.0,False,0.74,68.08
2017-08-02,89,74.0,,0.74,65.86
2017-08-03,85,74.0,,0.74,62.9
2017-08-04,87,74.0,,0.74,64.38
2017-08-05,76,74.0,,0.74,56.24
2017-08-06,76,74.0,,0.74,56.24
2017-08-07,92,74.0,,0.74,68.08
2017-08-08,87,74.0,,0.74,64.38
2017-08-09,90,74.0,,0.74,66.6
2017-08-10,86,74.0,,0.74,63.64
2017-08-11,88,74.0,,0.74,65.12
2017-08-12,71,74.0,,0.74,52.54
2017-08-13,70,74.0,,0.74,51.8
2017-08-14,92,74.0,,0.74,68.08
2017-08-15,100,74.0,,0.74,74.0
2017-08-16,86,74.0,,0.74,63.64
2017-08-17,86,74.0,,0.74,63.64
2017-08-18,83,74.0,,0.74,61.42
2017-08-19,69,74.0,,0.74,51.06
2017-08-20,74,74.0,,0.74,54.76
2017-08-21,82,74.0,,0.74,60.68
2017-08-22,90,74.0,,0.74,66.6
2017-08-23,89,74.0,,0.74,65.86
2017-08-24,85,74.0,,0.74,62.9
2017-08-25,80,74.0,,0.74,59.2
2017-08-26,70,74.0,,0.74,51.8
2017-08-27,63,74.0,,0.74,46.62
2017-08-28,89,74.0,,0.74,65.86
2017-08-29,83,74.0,,0.74,61.42
2017-08-30,85,74.0,,0.74,62.9
2017-08-31,88,74.0,,0.74,65.12
2017-09-01,97,72.0,False,0.72,69.84
2017-09-02,91,72.0,,0.72,65.52
2017-09-03,93,72.0,,0.72,66.96
2017-09-04,96,72.0,,0.72,69.12
2017-09-05,86,72.0,,0.72,61.919999999999995
2017-09-06,90,72.0,,0.72,64.8
2017-09-07,90,72.0,,0.72,64.8
2017-09-08,87,72.0,,0.72,62.64
2017-09-09,73,72.0,,0.72,52.559999999999995
2017-09-10,74,72.0,,0.72,53.28
2017-09-11,94,72.0,,0.72,67.67999999999999
2017-09-12,96,72.0,,0.72,69.12
2017-09-13,96,72.0,,0.72,69.12
2017-09-14,94,72.0,,0.72,67.67999999999999
2017-09-15,90,72.0,,0.72,64.8
2017-09-16,77,72.0,,0.72,55.44
2017-09-17,74,72.0,,0.72,53.28
2017-09-18,97,72.0,,0.72,69.84
2017-09-19,94,72.0,,0.72,67.67999999999999
2017-09-20,97,72.0,,0.72,69.84
2017-09-21,91,72.0,,0.72,65.52
2017-09-22,89,72.0,,0.72,64.08
2017-09-23,84,72.0,,0.72,60.48
2017-09-24,82,72.0,,0.72,59.04
2017-09-25,100,72.0,,0.72,72.0
2017-09-26,95,72.0,,0.72,68.39999999999999
2017-09-27,96,72.0,,0.72,69.12
2017-09-28,98,72.0,,0.72,70.56
2017-09-29,91,72.0,,0.72,65.52
2017-09-30,79,72.0,,0.72,56.879999999999995
2017-10-01,52,82.0,False,0.82,42.64
2017-10-02,59,82.0,,0.82,48.379999999999995
2017-10-03,63,82.0,,0.82,51.66
2017-10-04,62,82.0,,0.82,50.839999999999996
2017-10-05,58,82.0,,0.82,47.559999999999995
2017-10-06,66,82.0,,0.82,54.12
2017-10-07,60,82.0,,0.82,49.199999999999996
2017-10-08,59,82.0,,0.82,48.379999999999995
2017-10-09,77,82.0,,0.82,63.13999999999999
2017-10-10,74,82.0,,0.82,60.68
2017-10-11,76,82.0,,0.82,62.31999999999999
2017-10-12,68,82.0,,0.82,55.76
2017-10-13,63,82.0,,0.82,51.66
2017-10-14,51,82.0,,0.82,41.82
2017-10-15,54,82.0,,0.82,44.279999999999994
2017-10-16,69,82.0,,0.82,56.58
2017-10-17,76,82.0,,0.82,62.31999999999999
2017-10-18,70,82.0,,0.82,57.4
2017-10-19,73,82.0,,0.82,59.86
2017-10-20,100,82.0,,0.82,82.0
2017-10-21,67,82.0,,0.82,54.94
2017-10-22,60,82.0,,0.82,49.199999999999996
2017-10-23,85,82.0,,0.82,69.7
2017-10-24,89,82.0,,0.82,72.97999999999999
2017-10-25,83,82.0,,0.82,68.06
2017-10-26,80,82.0,,0.82,65.6
2017-10-27,79,82.0,,0.82,64.78
2017-10-28,65,82.0,,0.82,53.3
2017-10-29,62,82.0,,0.82,50.839999999999996
2017-10-30,78,82.0,,0.82,63.959999999999994
2017-10-31,69,82.0,,0.82,56.58
2017-11-01,52,96.0,False,0.96,49.92
2017-11-02,51,96.0,,0.96,48.96
2017-11-03,53,96.0,,0.96,50.879999999999995
2017-11-04,43,96.0,,0.96,41.28
2017-11-05,45,96.0,,0.96,43.199999999999996
2017-11-06,55,96.0,,0.96,52.8
2017-11-07,52,96.0,,0.96,49.92
2017-11-08,51,96.0,,0.96,48.96
2017-11-09,51,96.0,,0.96,48.96
2017-11-10,52,96.0,,0.96,49.92
2017-11-11,47,96.0,,0.96,45.12
2017-11-12,50,96.0,,0.96,48.0
2017-11-13,100,96.0,,0.96,96.0
2017-11-14,94,96.0,,0.96,90.24
2017-11-15,77,96.0,,0.96,73.92
2017-11-16,66,96.0,,0.96,63.36
2017-11-17,59,96.0,,0.96,56.64
2017-11-18,50,96.0,,0.96,48.0
2017-11-19,50,96.0,,0.96,48.0
2017-11-20,62,96.0,,0.96,59.519999999999996
2017-11-21,65,96.0,,0.96,62.4
2017-11-22,56,96.0,,0.96,53.76
2017-11-23,50,96.0,,0.96,48.0
2017-11-24,56,96.0,,0.96,53.76
2017-11-25,53,96.0,,0.96,50.879999999999995
2017-11-26,51,96.0,,0.96,48.96
2017-11-27,57,96.0,,0.96,54.72
2017-11-28,57,96.0,,0.96,54.72
2017-11-29,53,96.0,,0.96,50.879999999999995
2017-11-30,57,96.0,,0.96,54.72
2017-12-01,85,81.0,False,0.81,68.85000000000001
2017-12-02,79,81.0,,0.81,63.99
2017-12-03,76,81.0,,0.81,61.56
2017-12-04,88,81.0,,0.81,71.28
2017-12-05,85,81.0,,0.81,68.85000000000001
2017-12-06,81,81.0,,0.81,65.61
2017-12-07,100,81.0,,0.81,81.0
2017-12-08,88,81.0,,0.81,71.28
2017-12-09,70,81.0,,0.81,56.7
2017-12-10,66,81.0,,0.81,53.46
2017-12-11,79,81.0,,0.81,63.99
2017-12-12,83,81.0,,0.81,67.23
2017-12-13,77,81.0,,0.81,62.370000000000005
2017-12-14,74,81.0,,0.81,59.940000000000005
2017-12-15,69,81.0,,0.81,55.89
2017-12-16,62,81.0,,0.81,50.220000000000006
2017-12-17,66,81.0,,0.81,53.46
2017-12-18,84,81.0,,0.81,68.04
2017-12-19,74,81.0,,0.81,59.940000000000005
2017-12-20,78,81.0,,0.81,63.18000000000001
2017-12-21,81,81.0,,0.81,65.61
2017-12-22,73,81.0,,0.81,59.13
2017-12-23,60,81.0,,0.81,48.6
2017-12-24,60,81.0,,0.81,48.6
2017-12-25,56,81.0,,0.81,45.36
2017-12-26,82,81.0,,0.81,66.42
2017-12-27,91,81.0,,0.81,73.71000000000001
2017-12-28,83,81.0,,0.81,67.23
