date,BE_unscaled,BE_monthly,isPartial,scale,BE
2017-08-15,71,65.0,,0.65,46.15
2017-08-16,70,65.0,,0.65,45.5
2017-08-17,70,65.0,,0.65,45.5
2017-08-18,69,65.0,,0.65,44.85
2017-08-19,68,65.0,,0.65,44.2
2017-08-20,77,65.0,,0.65,50.050000000000004
2017-08-21,100,65.0,,0.65,65.0
2017-08-22,70,65.0,,0.65,45.5
2017-08-23,72,65.0,,0.65,46.800000000000004
2017-08-24,71,65.0,,0.65,46.15
2017-08-25,68,65.0,,0.65,44.2
2017-08-26,65,65.0,,0.65,42.25
2017-08-27,66,65.0,,0.65,42.9
2017-08-28,73,65.0,,0.65,47.45
2017-08-29,73,65.0,,0.65,47.45
2017-08-30,75,65.0,,0.65,48.75
2017-08-31,75,65.0,,0.65,48.75
2017-09-01,83,69.0,False,0.69,57.269999999999996
2017-09-02,75,69.0,,0.69,51.74999999999999
2017-09-03,83,69.0,,0.69,57.269999999999996
2017-09-04,86,69.0,,0.69,59.339999999999996
2017-09-05,88,69.0,,0.69,60.72
2017-09-06,89,69.0,,0.69,61.41
2017-09-07,91,69.0,,0.69,62.78999999999999
2017-09-08,88,69.0,,0.69,60.72
2017-09-09,81,69.0,,0.69,55.88999999999999
2017-09-10,84,69.0,,0.69,57.959999999999994
2017-09-11,91,69.0,,0.69,62.78999999999999
2017-09-12,95,69.0,,0.69,65.55
2017-09-13,93,69.0,,0.69,64.17
2017-09-14,96,69.0,,0.69,66.24
2017-09-15,90,69.0,,0.69,62.099999999999994
2017-09-16,80,69.0,,0.69,55.199999999999996
2017-09-17,89,69.0,,0.69,61.41
2017-09-18,96,69.0,,0.69,66.24
2017-09-19,98,69.0,,0.69,67.61999999999999
2017-09-20,97,69.0,,0.69,66.92999999999999
2017-09-21,95,69.0,,0.69,65.55
2017-09-22,93,69.0,,0.69,64.17
2017-09-23,82,69.0,,0.69,56.58
2017-09-24,89,69.0,,0.69,61.41
2017-09-25,100,69.0,,0.69,69.0
2017-09-26,98,69.0,,0.69,67.61999999999999
2017-09-27,100,69.0,,0.69,69.0
2017-09-28,95,69.0,,0.69,65.55
2017-09-29,88,69.0,,0.69,60.72
2017-09-30,80,69.0,,0.69,55.199999999999996
2017-10-01,84,72.0,False,0.72,60.48
2017-10-02,88,72.0,,0.72,63.36
2017-10-03,91,72.0,,0.72,65.52
2017-10-04,91,72.0,,0.72,65.52
2017-10-05,93,72.0,,0.72,66.96
2017-10-06,86,72.0,,0.72,61.919999999999995
2017-10-07,77,72.0,,0.72,55.44
2017-10-08,84,72.0,,0.72,60.48
2017-10-09,91,72.0,,0.72,65.52
2017-10-10,92,72.0,,0.72,66.24
2017-10-11,97,72.0,,0.72,69.84
2017-10-12,94,72.0,,0.72,67.67999999999999
2017-10-13,89,72.0,,0.72,64.08
2017-10-14,75,72.0,,0.72,54.0
2017-10-15,85,72.0,,0.72,61.199999999999996
2017-10-16,95,72.0,,0.72,68.39999999999999
2017-10-17,95,72.0,,0.72,68.39999999999999
2017-10-18,95,72.0,,0.72,68.39999999999999
2017-10-19,92,72.0,,0.72,66.24
2017-10-20,87,72.0,,0.72,62.64
2017-10-21,78,72.0,,0.72,56.16
2017-10-22,81,72.0,,0.72,58.32
2017-10-23,95,72.0,,0.72,68.39999999999999
2017-10-24,98,72.0,,0.72,70.56
2017-10-25,96,72.0,,0.72,69.12
2017-10-26,100,72.0,,0.72,72.0
2017-10-27,96,72.0,,0.72,69.12
2017-10-28,81,72.0,,0.72,58.32
2017-10-29,87,72.0,,0.72,62.64
2017-10-30,97,72.0,,0.72,69.84
2017-10-31,94,72.0,,0.72,67.67999999999999
2017-11-01,91,73.0,False,0.73,66.42999999999999
2017-11-02,97,73.0,,0.73,70.81
2017-11-03,93,73.0,,0.73,67.89
2017-11-04,85,73.0,,0.73,62.05
2017-11-05,87,73.0,,0.73,63.51
2017-11-06,96,73.0,,0.73,70.08
2017-11-07,99,73.0,,0.73,72.27
2017-11-08,96,73.0,,0.73,70.08
2017-11-09,98,73.0,,0.73,71.53999999999999
2017-11-10,89,73.0,,0.73,64.97
2017-11-11,79,73.0,,0.73,57.67
2017-11-12,88,73.0,,0.73,64.24
2017-11-13,97,73.0,,0.73,70.81
2017-11-14,99,73.0,,0.73,72.27
2017-11-15,98,73.0,,0.73,71.53999999999999
2017-11-16,99,73.0,,0.73,72.27
2017-11-17,92,73.0,,0.73,67.16
2017-11-18,82,73.0,,0.73,59.86
2017-11-19,86,73.0,,0.73,62.78
2017-11-20,91,73.0,,0.73,66.42999999999999
2017-11-21,88,73.0,,0.73,64.24
2017-11-22,85,73.0,,0.73,62.05
2017-11-23,81,73.0,,0.73,59.129999999999995
2017-11-24,65,73.0,,0.73,47.449999999999996
2017-11-25,73,73.0,,0.73,53.29
2017-11-26,85,73.0,,0.73,62.05
2017-11-27,90,73.0,,0.73,65.7
2017-11-28,99,73.0,,0.73,72.27
2017-11-29,100,73.0,,0.73,73.0
2017-11-30,100,73.0,,0.73,73.0
2017-12-01,93,67.0,False,0.67,62.31
2017-12-02,83,67.0,,0.67,55.61000000000001
2017-12-03,92,67.0,,0.67,61.64
2017-12-04,99,67.0,,0.67,66.33
2017-12-05,99,67.0,,0.67,66.33
2017-12-06,100,67.0,,0.67,67.0
2017-12-07,98,67.0,,0.67,65.66000000000001
2017-12-08,93,67.0,,0.67,62.31
2017-12-09,82,67.0,,0.67,54.940000000000005
2017-12-10,88,67.0,,0.67,58.96
2017-12-11,96,67.0,,0.67,64.32000000000001
2017-12-12,96,67.0,,0.67,64.32000000000001
2017-12-13,95,67.0,,0.67,63.650000000000006
2017-12-14,96,67.0,,0.67,64.32000000000001
2017-12-15,88,67.0,,0.67,58.96
2017-12-16,74,67.0,,0.67,49.580000000000005
2017-12-17,74,67.0,,0.67,49.580000000000005
2017-12-18,82,67.0,,0.67,54.940000000000005
