date,TWO_unscaled,TWO_monthly,isPartial,scale,TWO
2016-07-04,83,68.0,,0.68,56.440000000000005
2016-07-05,87,68.0,,0.68,59.160000000000004
2016-07-06,93,68.0,,0.68,63.24
2016-07-07,94,68.0,,0.68,63.92
2016-07-08,100,68.0,,0.68,68.0
2016-07-09,85,68.0,,0.68,57.800000000000004
2016-07-10,82,68.0,,0.68,55.760000000000005
2016-07-11,96,68.0,,0.68,65.28
2016-07-12,95,68.0,,0.68,64.60000000000001
2016-07-13,90,68.0,,0.68,61.2
2016-07-14,93,68.0,,0.68,63.24
2016-07-15,90,68.0,,0.68,61.2
2016-07-16,79,68.0,,0.68,53.720000000000006
2016-07-17,89,68.0,,0.68,60.52
2016-07-18,92,68.0,,0.68,62.56
2016-07-19,96,68.0,,0.68,65.28
2016-07-20,95,68.0,,0.68,64.60000000000001
2016-07-21,91,68.0,,0.68,61.88
2016-07-22,92,68.0,,0.68,62.56
2016-07-23,78,68.0,,0.68,53.040000000000006
2016-07-24,82,68.0,,0.68,55.760000000000005
2016-07-25,92,68.0,,0.68,62.56
2016-07-26,92,68.0,,0.68,62.56
2016-07-27,97,68.0,,0.68,65.96000000000001
2016-07-28,96,68.0,,0.68,65.28
2016-07-29,88,68.0,,0.68,59.84
2016-07-30,81,68.0,,0.68,55.080000000000005
2016-07-31,84,68.0,,0.68,57.120000000000005
2016-08-01,71,72.0,False,0.72,51.12
2016-08-02,77,72.0,,0.72,55.44
2016-08-03,73,72.0,,0.72,52.559999999999995
2016-08-04,73,72.0,,0.72,52.559999999999995
2016-08-05,71,72.0,,0.72,51.12
2016-08-06,61,72.0,,0.72,43.92
2016-08-07,60,72.0,,0.72,43.199999999999996
2016-08-08,67,72.0,,0.72,48.239999999999995
2016-08-09,68,72.0,,0.72,48.96
2016-08-10,68,72.0,,0.72,48.96
2016-08-11,68,72.0,,0.72,48.96
2016-08-12,63,72.0,,0.72,45.36
2016-08-13,59,72.0,,0.72,42.48
2016-08-14,61,72.0,,0.72,43.92
2016-08-15,62,72.0,,0.72,44.64
2016-08-16,71,72.0,,0.72,51.12
2016-08-17,69,72.0,,0.72,49.68
2016-08-18,77,72.0,,0.72,55.44
2016-08-19,81,72.0,,0.72,58.32
2016-08-20,77,72.0,,0.72,55.44
2016-08-21,78,72.0,,0.72,56.16
2016-08-22,79,72.0,,0.72,56.879999999999995
2016-08-23,86,72.0,,0.72,61.919999999999995
2016-08-24,91,72.0,,0.72,65.52
2016-08-25,91,72.0,,0.72,65.52
2016-08-26,95,72.0,,0.72,68.39999999999999
2016-08-27,95,72.0,,0.72,68.39999999999999
2016-08-28,92,72.0,,0.72,66.24
2016-08-29,95,72.0,,0.72,68.39999999999999
2016-08-30,100,72.0,,0.72,72.0
2016-08-31,99,72.0,,0.72,71.28
2016-09-01,72,93.0,False,0.93,66.96000000000001
2016-09-02,68,93.0,,0.93,63.24
2016-09-03,66,93.0,,0.93,61.38
2016-09-04,71,93.0,,0.93,66.03
2016-09-05,74,93.0,,0.93,68.82000000000001
2016-09-06,73,93.0,,0.93,67.89
2016-09-07,74,93.0,,0.93,68.82000000000001
2016-09-08,76,93.0,,0.93,70.68
2016-09-09,72,93.0,,0.93,66.96000000000001
2016-09-10,63,93.0,,0.93,58.59
2016-09-11,69,93.0,,0.93,64.17
2016-09-12,74,93.0,,0.93,68.82000000000001
2016-09-13,80,93.0,,0.93,74.4
2016-09-14,78,93.0,,0.93,72.54
2016-09-15,80,93.0,,0.93,74.4
2016-09-16,76,93.0,,0.93,70.68
2016-09-17,63,93.0,,0.93,58.59
2016-09-18,68,93.0,,0.93,63.24
2016-09-19,78,93.0,,0.93,72.54
2016-09-20,81,93.0,,0.93,75.33
2016-09-21,80,93.0,,0.93,74.4
2016-09-22,95,93.0,,0.93,88.35000000000001
2016-09-23,100,93.0,,0.93,93.0
2016-09-24,73,93.0,,0.93,67.89
2016-09-25,74,93.0,,0.93,68.82000000000001
2016-09-26,83,93.0,,0.93,77.19
2016-09-27,85,93.0,,0.93,79.05
2016-09-28,81,93.0,,0.93,75.33
2016-09-29,81,93.0,,0.93,75.33
2016-09-30,77,93.0,,0.93,71.61
2016-10-01,66,85.0,False,0.85,56.1
2016-10-02,75,85.0,,0.85,63.75
2016-10-03,88,85.0,,0.85,74.8
2016-10-04,94,85.0,,0.85,79.89999999999999
2016-10-05,90,85.0,,0.85,76.5
2016-10-06,86,85.0,,0.85,73.1
2016-10-07,80,85.0,,0.85,68.0
2016-10-08,62,85.0,,0.85,52.699999999999996
2016-10-09,68,85.0,,0.85,57.8
2016-10-10,83,85.0,,0.85,70.55
2016-10-11,90,85.0,,0.85,76.5
2016-10-12,91,85.0,,0.85,77.35
2016-10-13,89,85.0,,0.85,75.64999999999999
2016-10-14,84,85.0,,0.85,71.39999999999999
2016-10-15,64,85.0,,0.85,54.4
2016-10-16,73,85.0,,0.85,62.05
2016-10-17,91,85.0,,0.85,77.35
2016-10-18,92,85.0,,0.85,78.2
2016-10-19,89,85.0,,0.85,75.64999999999999
2016-10-20,91,85.0,,0.85,77.35
2016-10-21,82,85.0,,0.85,69.7
2016-10-22,64,85.0,,0.85,54.4
2016-10-23,72,85.0,,0.85,61.199999999999996
2016-10-24,100,85.0,,0.85,85.0
2016-10-25,100,85.0,,0.85,85.0
2016-10-26,97,85.0,,0.85,82.45
2016-10-27,95,85.0,,0.85,80.75
2016-10-28,91,85.0,,0.85,77.35
2016-10-29,65,85.0,,0.85,55.25
2016-10-30,73,85.0,,0.85,62.05
2016-10-31,86,85.0,,0.85,73.1
2016-11-01,100,81.0,False,0.81,81.0
2016-11-02,99,81.0,,0.81,80.19000000000001
2016-11-03,95,81.0,,0.81,76.95
2016-11-04,89,81.0,,0.81,72.09
2016-11-05,68,81.0,,0.81,55.080000000000005
2016-11-06,75,81.0,,0.81,60.75000000000001
2016-11-07,93,81.0,,0.81,75.33
2016-11-08,87,81.0,,0.81,70.47
2016-11-09,71,81.0,,0.81,57.510000000000005
2016-11-10,91,81.0,,0.81,73.71000000000001
2016-11-11,78,81.0,,0.81,63.18000000000001
2016-11-12,69,81.0,,0.81,55.89
2016-11-13,77,81.0,,0.81,62.370000000000005
2016-11-14,94,81.0,,0.81,76.14
2016-11-15,99,81.0,,0.81,80.19000000000001
2016-11-16,96,81.0,,0.81,77.76
2016-11-17,95,81.0,,0.81,76.95
2016-11-18,90,81.0,,0.81,72.9
2016-11-19,64,81.0,,0.81,51.84
2016-11-20,76,81.0,,0.81,61.56
2016-11-21,86,81.0,,0.81,69.66000000000001
2016-11-22,83,81.0,,0.81,67.23
2016-11-23,72,81.0,,0.81,58.32000000000001
2016-11-24,59,81.0,,0.81,47.790000000000006
2016-11-25,58,81.0,,0.81,46.980000000000004
2016-11-26,66,81.0,,0.81,53.46
2016-11-27,75,81.0,,0.81,60.75000000000001
2016-11-28,87,81.0,,0.81,70.47
2016-11-29,96,81.0,,0.81,77.76
2016-11-30,97,81.0,,0.81,78.57000000000001
2016-12-01,97,80.0,False,0.8,77.60000000000001
2016-12-02,88,80.0,,0.8,70.4
2016-12-03,75,80.0,,0.8,60.0
2016-12-04,82,80.0,,0.8,65.60000000000001
2016-12-05,95,80.0,,0.8,76.0
2016-12-06,97,80.0,,0.8,77.60000000000001
2016-12-07,100,80.0,,0.8,80.0
2016-12-08,97,80.0,,0.8,77.60000000000001
2016-12-09,89,80.0,,0.8,71.2
2016-12-10,67,80.0,,0.8,53.6
2016-12-11,77,80.0,,0.8,61.6
2016-12-12,92,80.0,,0.8,73.60000000000001
2016-12-13,96,80.0,,0.8,76.80000000000001
2016-12-14,91,80.0,,0.8,72.8
2016-12-15,89,80.0,,0.8,71.2
2016-12-16,80,80.0,,0.8,64.0
2016-12-17,57,80.0,,0.8,45.6
2016-12-18,64,80.0,,0.8,51.2
2016-12-19,76,80.0,,0.8,60.800000000000004
2016-12-20,77,80.0,,0.8,61.6
2016-12-21,71,80.0,,0.8,56.800000000000004
2016-12-22,69,80.0,,0.8,55.2
2016-12-23,60,80.0,,0.8,48.0
2016-12-24,52,80.0,,0.8,41.6
2016-12-25,52,80.0,,0.8,41.6
2016-12-26,55,80.0,,0.8,44.0
2016-12-27,63,80.0,,0.8,50.400000000000006
2016-12-28,66,80.0,,0.8,52.800000000000004
2016-12-29,64,80.0,,0.8,51.2
2016-12-30,63,80.0,,0.8,50.400000000000006
2016-12-31,58,80.0,,0.8,46.400000000000006
2017-01-01,58,83.0,False,0.83,48.14
2017-01-02,67,83.0,,0.83,55.61
2017-01-03,73,83.0,,0.83,60.589999999999996
2017-01-04,78,83.0,,0.83,64.74
2017-01-05,84,83.0,,0.83,69.72
2017-01-06,78,83.0,,0.83,64.74
2017-01-07,62,83.0,,0.83,51.46
2017-01-08,73,83.0,,0.83,60.589999999999996
2017-01-09,78,83.0,,0.83,64.74
2017-01-10,85,83.0,,0.83,70.55
2017-01-11,90,83.0,,0.83,74.7
2017-01-12,88,83.0,,0.83,73.03999999999999
2017-01-13,84,83.0,,0.83,69.72
2017-01-14,64,83.0,,0.83,53.12
2017-01-15,71,83.0,,0.83,58.93
2017-01-16,77,83.0,,0.83,63.91
2017-01-17,93,83.0,,0.83,77.19
2017-01-18,93,83.0,,0.83,77.19
2017-01-19,95,83.0,,0.83,78.85
2017-01-20,87,83.0,,0.83,72.21
2017-01-21,70,83.0,,0.83,58.099999999999994
2017-01-22,81,83.0,,0.83,67.22999999999999
2017-01-23,91,83.0,,0.83,75.53
2017-01-24,96,83.0,,0.83,79.67999999999999
2017-01-25,95,83.0,,0.83,78.85
2017-01-26,95,83.0,,0.83,78.85
2017-01-27,95,83.0,,0.83,78.85
2017-01-28,73,83.0,,0.83,60.589999999999996
2017-01-29,80,83.0,,0.83,66.39999999999999
2017-01-30,96,83.0,,0.83,79.67999999999999
2017-01-31,100,83.0,,0.83,83.0
2017-02-01,97,88.0,False,0.88,85.36
2017-02-02,96,88.0,,0.88,84.48
2017-02-03,93,88.0,,0.88,81.84
2017-02-04,74,88.0,,0.88,65.12
2017-02-05,80,88.0,,0.88,70.4
2017-02-06,93,88.0,,0.88,81.84
2017-02-07,99,88.0,,0.88,87.12
2017-02-08,99,88.0,,0.88,87.12
2017-02-09,97,88.0,,0.88,85.36
2017-02-10,92,88.0,,0.88,80.96
2017-02-11,76,88.0,,0.88,66.88
2017-02-12,79,88.0,,0.88,69.52
2017-02-13,99,88.0,,0.88,87.12
2017-02-14,96,88.0,,0.88,84.48
2017-02-15,98,88.0,,0.88,86.24
2017-02-16,100,88.0,,0.88,88.0
2017-02-17,94,88.0,,0.88,82.72
2017-02-18,72,88.0,,0.88,63.36
2017-02-19,79,88.0,,0.88,69.52
2017-02-20,88,88.0,,0.88,77.44
2017-02-21,97,88.0,,0.88,85.36
2017-02-22,94,88.0,,0.88,82.72
2017-02-23,100,88.0,,0.88,88.0
2017-02-24,94,88.0,,0.88,82.72
2017-02-25,74,88.0,,0.88,65.12
2017-02-26,83,88.0,,0.88,73.04
2017-02-27,99,88.0,,0.88,87.12
2017-02-28,99,88.0,,0.88,87.12
2017-03-01,95,88.0,False,0.88,83.6
2017-03-02,100,88.0,,0.88,88.0
2017-03-03,91,88.0,,0.88,80.08
2017-03-04,71,88.0,,0.88,62.48
2017-03-05,79,88.0,,0.88,69.52
2017-03-06,93,88.0,,0.88,81.84
2017-03-07,98,88.0,,0.88,86.24
2017-03-08,95,88.0,,0.88,83.6
2017-03-09,92,88.0,,0.88,80.96
2017-03-10,84,88.0,,0.88,73.92
2017-03-11,66,88.0,,0.88,58.08
2017-03-12,74,88.0,,0.88,65.12
2017-03-13,85,88.0,,0.88,74.8
2017-03-14,84,88.0,,0.88,73.92
2017-03-15,87,88.0,,0.88,76.56
2017-03-16,83,88.0,,0.88,73.04
2017-03-17,78,88.0,,0.88,68.64
2017-03-18,66,88.0,,0.88,58.08
2017-03-19,75,88.0,,0.88,66.0
2017-03-20,90,88.0,,0.88,79.2
2017-03-21,92,88.0,,0.88,80.96
2017-03-22,89,88.0,,0.88,78.32000000000001
2017-03-23,89,88.0,,0.88,78.32000000000001
2017-03-24,87,88.0,,0.88,76.56
2017-03-25,67,88.0,,0.88,58.96
2017-03-26,74,88.0,,0.88,65.12
2017-03-27,90,88.0,,0.88,79.2
2017-03-28,91,88.0,,0.88,80.08
2017-03-29,90,88.0,,0.88,79.2
2017-03-30,90,88.0,,0.88,79.2
2017-03-31,85,88.0,,0.88,74.8
2017-04-01,69,84.0,False,0.84,57.96
2017-04-02,80,84.0,,0.84,67.2
2017-04-03,95,84.0,,0.84,79.8
2017-04-04,92,84.0,,0.84,77.28
2017-04-05,95,84.0,,0.84,79.8
2017-04-06,95,84.0,,0.84,79.8
2017-04-07,90,84.0,,0.84,75.6
2017-04-08,73,84.0,,0.84,61.32
2017-04-09,78,84.0,,0.84,65.52
2017-04-10,94,84.0,,0.84,78.96
2017-04-11,97,84.0,,0.84,81.48
2017-04-12,91,84.0,,0.84,76.44
2017-04-13,92,84.0,,0.84,77.28
2017-04-14,81,84.0,,0.84,68.03999999999999
2017-04-15,71,84.0,,0.84,59.64
2017-04-16,75,84.0,,0.84,63.0
2017-04-17,92,84.0,,0.84,77.28
2017-04-18,96,84.0,,0.84,80.64
2017-04-19,98,84.0,,0.84,82.32
2017-04-20,94,84.0,,0.84,78.96
2017-04-21,89,84.0,,0.84,74.75999999999999
2017-04-22,75,84.0,,0.84,63.0
2017-04-23,81,84.0,,0.84,68.03999999999999
2017-04-24,99,84.0,,0.84,83.16
2017-04-25,100,84.0,,0.84,84.0
2017-04-26,99,84.0,,0.84,83.16
2017-04-27,97,84.0,,0.84,81.48
2017-04-28,92,84.0,,0.84,77.28
2017-04-29,75,84.0,,0.84,63.0
2017-04-30,85,84.0,,0.84,71.39999999999999
2017-05-01,100,83.0,False,0.83,83.0
2017-05-02,96,83.0,,0.83,79.67999999999999
2017-05-03,97,83.0,,0.83,80.50999999999999
2017-05-04,97,83.0,,0.83,80.50999999999999
2017-05-05,92,83.0,,0.83,76.36
2017-05-06,76,83.0,,0.83,63.08
2017-05-07,81,83.0,,0.83,67.22999999999999
2017-05-08,99,83.0,,0.83,82.17
2017-05-09,96,83.0,,0.83,79.67999999999999
2017-05-10,89,83.0,,0.83,73.86999999999999
2017-05-11,91,83.0,,0.83,75.53
2017-05-12,90,83.0,,0.83,74.7
2017-05-13,71,83.0,,0.83,58.93
2017-05-14,74,83.0,,0.83,61.419999999999995
2017-05-15,90,83.0,,0.83,74.7
2017-05-16,90,83.0,,0.83,74.7
2017-05-17,87,83.0,,0.83,72.21
2017-05-18,85,83.0,,0.83,70.55
2017-05-19,80,83.0,,0.83,66.39999999999999
2017-05-20,64,83.0,,0.83,53.12
2017-05-21,68,83.0,,0.83,56.44
2017-05-22,87,83.0,,0.83,72.21
2017-05-23,88,83.0,,0.83,73.03999999999999
2017-05-24,84,83.0,,0.83,69.72
2017-05-25,84,83.0,,0.83,69.72
2017-05-26,78,83.0,,0.83,64.74
2017-05-27,64,83.0,,0.83,53.12
2017-05-28,63,83.0,,0.83,52.29
2017-05-29,71,83.0,,0.83,58.93
2017-05-30,82,83.0,,0.83,68.06
2017-05-31,83,83.0,,0.83,68.89
2017-06-01,100,73.0,False,0.73,73.0
2017-06-02,97,73.0,,0.73,70.81
2017-06-03,76,73.0,,0.73,55.48
2017-06-04,82,73.0,,0.73,59.86
2017-06-05,96,73.0,,0.73,70.08
2017-06-06,97,73.0,,0.73,70.81
2017-06-07,97,73.0,,0.73,70.81
2017-06-08,97,73.0,,0.73,70.81
2017-06-09,91,73.0,,0.73,66.42999999999999
2017-06-10,75,73.0,,0.73,54.75
2017-06-11,80,73.0,,0.73,58.4
2017-06-12,97,73.0,,0.73,70.81
2017-06-13,92,73.0,,0.73,67.16
2017-06-14,97,73.0,,0.73,70.81
2017-06-15,97,73.0,,0.73,70.81
2017-06-16,92,73.0,,0.73,67.16
2017-06-17,79,73.0,,0.73,57.67
2017-06-18,75,73.0,,0.73,54.75
2017-06-19,93,73.0,,0.73,67.89
2017-06-20,93,73.0,,0.73,67.89
2017-06-21,96,73.0,,0.73,70.08
2017-06-22,94,73.0,,0.73,68.62
2017-06-23,90,73.0,,0.73,65.7
2017-06-24,80,73.0,,0.73,58.4
2017-06-25,79,73.0,,0.73,57.67
2017-06-26,91,73.0,,0.73,66.42999999999999
2017-06-27,94,73.0,,0.73,68.62
2017-06-28,96,73.0,,0.73,70.08
2017-06-29,88,73.0,,0.73,64.24
2017-06-30,88,73.0,,0.73,64.24
2017-07-01,80,70.0,False,0.7,56.0
2017-07-02,81,70.0,,0.7,56.699999999999996
2017-07-03,91,70.0,,0.7,63.699999999999996
2017-07-04,82,70.0,,0.7,57.4
2017-07-05,92,70.0,,0.7,64.39999999999999
2017-07-06,95,70.0,,0.7,66.5
2017-07-07,93,70.0,,0.7,65.1
2017-07-08,87,70.0,,0.7,60.9
2017-07-09,88,70.0,,0.7,61.599999999999994
2017-07-10,97,70.0,,0.7,67.89999999999999
2017-07-11,98,70.0,,0.7,68.6
2017-07-12,99,70.0,,0.7,69.3
2017-07-13,99,70.0,,0.7,69.3
2017-07-14,100,70.0,,0.7,70.0
2017-07-15,86,70.0,,0.7,60.199999999999996
2017-07-16,89,70.0,,0.7,62.3
2017-07-17,96,70.0,,0.7,67.19999999999999
2017-07-18,99,70.0,,0.7,69.3
2017-07-19,98,70.0,,0.7,68.6
2017-07-20,96,70.0,,0.7,67.19999999999999
2017-07-21,96,70.0,,0.7,67.19999999999999
2017-07-22,87,70.0,,0.7,60.9
2017-07-23,84,70.0,,0.7,58.8
2017-07-24,98,70.0,,0.7,68.6
2017-07-25,98,70.0,,0.7,68.6
2017-07-26,96,70.0,,0.7,67.19999999999999
2017-07-27,100,70.0,,0.7,70.0
2017-07-28,88,70.0,,0.7,61.599999999999994
2017-07-29,89,70.0,,0.7,62.3
2017-07-30,91,70.0,,0.7,63.699999999999996
2017-07-31,97,70.0,,0.7,67.89999999999999
2017-08-01,83,71.0,False,0.71,58.93
2017-08-02,84,71.0,,0.71,59.64
2017-08-03,81,71.0,,0.71,57.51
2017-08-04,77,71.0,,0.71,54.669999999999995
2017-08-05,71,71.0,,0.71,50.41
2017-08-06,74,71.0,,0.71,52.54
2017-08-07,86,71.0,,0.71,61.059999999999995
2017-08-08,82,71.0,,0.71,58.22
2017-08-09,80,71.0,,0.71,56.8
2017-08-10,83,71.0,,0.71,58.93
2017-08-11,77,71.0,,0.71,54.669999999999995
2017-08-12,73,71.0,,0.71,51.83
2017-08-13,73,71.0,,0.71,51.83
2017-08-14,79,71.0,,0.71,56.089999999999996
2017-08-15,88,71.0,,0.71,62.48
2017-08-16,85,71.0,,0.71,60.349999999999994
2017-08-17,87,71.0,,0.71,61.769999999999996
2017-08-18,82,71.0,,0.71,58.22
2017-08-19,74,71.0,,0.71,52.54
2017-08-20,73,71.0,,0.71,51.83
2017-08-21,81,71.0,,0.71,57.51
2017-08-22,89,71.0,,0.71,63.19
2017-08-23,91,71.0,,0.71,64.61
2017-08-24,96,71.0,,0.71,68.16
2017-08-25,87,71.0,,0.71,61.769999999999996
2017-08-26,73,71.0,,0.71,51.83
2017-08-27,78,71.0,,0.71,55.379999999999995
2017-08-28,92,71.0,,0.71,65.32
2017-08-29,95,71.0,,0.71,67.45
2017-08-30,100,71.0,,0.71,71.0
2017-08-31,100,71.0,,0.71,71.0
2017-09-01,77,81.0,False,0.81,62.370000000000005
2017-09-02,65,81.0,,0.81,52.650000000000006
2017-09-03,70,81.0,,0.81,56.7
2017-09-04,79,81.0,,0.81,63.99
2017-09-05,83,81.0,,0.81,67.23
2017-09-06,85,81.0,,0.81,68.85000000000001
2017-09-07,87,81.0,,0.81,70.47
2017-09-08,80,81.0,,0.81,64.80000000000001
2017-09-09,65,81.0,,0.81,52.650000000000006
2017-09-10,76,81.0,,0.81,61.56
2017-09-11,87,81.0,,0.81,70.47
2017-09-12,91,81.0,,0.81,73.71000000000001
2017-09-13,96,81.0,,0.81,77.76
2017-09-14,98,81.0,,0.81,79.38000000000001
2017-09-15,88,81.0,,0.81,71.28
2017-09-16,73,81.0,,0.81,59.13
2017-09-17,81,81.0,,0.81,65.61
2017-09-18,97,81.0,,0.81,78.57000000000001
2017-09-19,98,81.0,,0.81,79.38000000000001
2017-09-20,98,81.0,,0.81,79.38000000000001
2017-09-21,97,81.0,,0.81,78.57000000000001
2017-09-22,93,81.0,,0.81,75.33
2017-09-23,74,81.0,,0.81,59.940000000000005
2017-09-24,82,81.0,,0.81,66.42
2017-09-25,95,81.0,,0.81,76.95
2017-09-26,100,81.0,,0.81,81.0
2017-09-27,100,81.0,,0.81,81.0
2017-09-28,98,81.0,,0.81,79.38000000000001
2017-09-29,89,81.0,,0.81,72.09
2017-09-30,73,81.0,,0.81,59.13
2017-10-01,77,86.0,False,0.86,66.22
2017-10-02,91,86.0,,0.86,78.26
2017-10-03,92,86.0,,0.86,79.12
2017-10-04,97,86.0,,0.86,83.42
2017-10-05,95,86.0,,0.86,81.7
2017-10-06,87,86.0,,0.86,74.82
2017-10-07,65,86.0,,0.86,55.9
2017-10-08,73,86.0,,0.86,62.78
2017-10-09,90,86.0,,0.86,77.4
2017-10-10,92,86.0,,0.86,79.12
2017-10-11,93,86.0,,0.86,79.98
2017-10-12,97,86.0,,0.86,83.42
2017-10-13,88,86.0,,0.86,75.67999999999999
2017-10-14,70,86.0,,0.86,60.199999999999996
2017-10-15,76,86.0,,0.86,65.36
2017-10-16,95,86.0,,0.86,81.7
2017-10-17,97,86.0,,0.86,83.42
2017-10-18,96,86.0,,0.86,82.56
2017-10-19,97,86.0,,0.86,83.42
2017-10-20,85,86.0,,0.86,73.1
2017-10-21,64,86.0,,0.86,55.04
2017-10-22,79,86.0,,0.86,67.94
2017-10-23,99,86.0,,0.86,85.14
2017-10-24,100,86.0,,0.86,86.0
2017-10-25,98,86.0,,0.86,84.28
2017-10-26,97,86.0,,0.86,83.42
2017-10-27,91,86.0,,0.86,78.26
2017-10-28,71,86.0,,0.86,61.06
2017-10-29,77,86.0,,0.86,66.22
2017-10-30,94,86.0,,0.86,80.84
2017-10-31,95,86.0,,0.86,81.7
2017-11-01,93,83.0,False,0.83,77.19
2017-11-02,93,83.0,,0.83,77.19
2017-11-03,92,83.0,,0.83,76.36
2017-11-04,68,83.0,,0.83,56.44
2017-11-05,77,83.0,,0.83,63.91
2017-11-06,94,83.0,,0.83,78.02
2017-11-07,99,83.0,,0.83,82.17
2017-11-08,96,83.0,,0.83,79.67999999999999
2017-11-09,92,83.0,,0.83,76.36
2017-11-10,84,83.0,,0.83,69.72
2017-11-11,68,83.0,,0.83,56.44
2017-11-12,78,83.0,,0.83,64.74
2017-11-13,94,83.0,,0.83,78.02
2017-11-14,98,83.0,,0.83,81.33999999999999
2017-11-15,99,83.0,,0.83,82.17
2017-11-16,97,83.0,,0.83,80.50999999999999
2017-11-17,91,83.0,,0.83,75.53
2017-11-18,67,83.0,,0.83,55.61
2017-11-19,73,83.0,,0.83,60.589999999999996
2017-11-20,88,83.0,,0.83,73.03999999999999
2017-11-21,86,83.0,,0.83,71.38
2017-11-22,70,83.0,,0.83,58.099999999999994
2017-11-23,55,83.0,,0.83,45.65
2017-11-24,57,83.0,,0.83,47.309999999999995
2017-11-25,67,83.0,,0.83,55.61
2017-11-26,74,83.0,,0.83,61.419999999999995
2017-11-27,88,83.0,,0.83,73.03999999999999
2017-11-28,98,83.0,,0.83,81.33999999999999
2017-11-29,98,83.0,,0.83,81.33999999999999
2017-11-30,100,83.0,,0.83,83.0
2017-12-01,92,77.0,False,0.77,70.84
2017-12-02,71,77.0,,0.77,54.67
2017-12-03,78,77.0,,0.77,60.06
2017-12-04,99,77.0,,0.77,76.23
2017-12-05,97,77.0,,0.77,74.69
2017-12-06,98,77.0,,0.77,75.46000000000001
2017-12-07,100,77.0,,0.77,77.0
2017-12-08,93,77.0,,0.77,71.61
2017-12-09,74,77.0,,0.77,56.980000000000004
2017-12-10,82,77.0,,0.77,63.14
2017-12-11,96,77.0,,0.77,73.92
2017-12-12,97,77.0,,0.77,74.69
2017-12-13,96,77.0,,0.77,73.92
2017-12-14,99,77.0,,0.77,76.23
2017-12-15,88,77.0,,0.77,67.76
2017-12-16,65,77.0,,0.77,50.050000000000004
2017-12-17,69,77.0,,0.77,53.13
2017-12-18,85,77.0,,0.77,65.45
2017-12-19,85,77.0,,0.77,65.45
2017-12-20,78,77.0,,0.77,60.06
2017-12-21,73,77.0,,0.77,56.21
2017-12-22,63,77.0,,0.77,48.51
2017-12-23,56,77.0,,0.77,43.120000000000005
2017-12-24,53,77.0,,0.77,40.81
2017-12-25,55,77.0,,0.77,42.35
2017-12-26,64,77.0,,0.77,49.28
