date,DIS_unscaled,DIS_monthly,isPartial,scale,DIS
2016-06-19,82,38.0,,0.38,31.16
2016-06-20,73,38.0,,0.38,27.740000000000002
2016-06-21,77,38.0,,0.38,29.26
2016-06-22,76,38.0,,0.38,28.88
2016-06-23,76,38.0,,0.38,28.88
2016-06-24,100,38.0,,0.38,38.0
2016-06-25,75,38.0,,0.38,28.5
2016-06-26,41,38.0,,0.38,15.58
2016-06-27,92,38.0,,0.38,34.96
2016-06-28,83,38.0,,0.38,31.54
2016-06-29,72,38.0,,0.38,27.36
2016-06-30,89,38.0,,0.38,33.82
2016-07-01,89,34.0,False,0.34,30.26
2016-07-02,68,34.0,,0.34,23.12
2016-07-03,59,34.0,,0.34,20.060000000000002
2016-07-04,77,34.0,,0.34,26.180000000000003
2016-07-05,92,34.0,,0.34,31.28
2016-07-06,91,34.0,,0.34,30.94
2016-07-07,76,34.0,,0.34,25.840000000000003
2016-07-08,63,34.0,,0.34,21.42
2016-07-09,67,34.0,,0.34,22.78
2016-07-10,75,34.0,,0.34,25.500000000000004
2016-07-11,88,34.0,,0.34,29.92
2016-07-12,93,34.0,,0.34,31.62
2016-07-13,91,34.0,,0.34,30.94
2016-07-14,80,34.0,,0.34,27.200000000000003
2016-07-15,82,34.0,,0.34,27.880000000000003
2016-07-16,58,34.0,,0.34,19.720000000000002
2016-07-17,82,34.0,,0.34,27.880000000000003
2016-07-18,91,34.0,,0.34,30.94
2016-07-19,92,34.0,,0.34,31.28
2016-07-20,96,34.0,,0.34,32.64
2016-07-21,83,34.0,,0.34,28.220000000000002
2016-07-22,68,34.0,,0.34,23.12
2016-07-23,71,34.0,,0.34,24.14
2016-07-24,66,34.0,,0.34,22.44
2016-07-25,73,34.0,,0.34,24.82
2016-07-26,91,34.0,,0.34,30.94
2016-07-27,93,34.0,,0.34,31.62
2016-07-28,100,34.0,,0.34,34.0
2016-07-29,88,34.0,,0.34,29.92
2016-07-30,72,34.0,,0.34,24.48
2016-07-31,80,34.0,,0.34,27.200000000000003
2016-08-01,58,37.0,False,0.37,21.46
2016-08-02,72,37.0,,0.37,26.64
2016-08-03,65,37.0,,0.37,24.05
2016-08-04,74,37.0,,0.37,27.38
2016-08-05,74,37.0,,0.37,27.38
2016-08-06,52,37.0,,0.37,19.24
2016-08-07,62,37.0,,0.37,22.94
2016-08-08,68,37.0,,0.37,25.16
2016-08-09,84,37.0,,0.37,31.08
2016-08-10,100,37.0,,0.37,37.0
2016-08-11,80,37.0,,0.37,29.6
2016-08-12,59,37.0,,0.37,21.83
2016-08-13,49,37.0,,0.37,18.13
2016-08-14,60,37.0,,0.37,22.2
2016-08-15,62,37.0,,0.37,22.94
2016-08-16,65,37.0,,0.37,24.05
2016-08-17,60,37.0,,0.37,22.2
2016-08-18,56,37.0,,0.37,20.72
2016-08-19,61,37.0,,0.37,22.57
2016-08-20,56,37.0,,0.37,20.72
2016-08-21,51,37.0,,0.37,18.87
2016-08-22,54,37.0,,0.37,19.98
2016-08-23,63,37.0,,0.37,23.31
2016-08-24,66,37.0,,0.37,24.419999999999998
2016-08-25,67,37.0,,0.37,24.79
2016-08-26,63,37.0,,0.37,23.31
2016-08-27,56,37.0,,0.37,20.72
2016-08-28,58,37.0,,0.37,21.46
2016-08-29,70,37.0,,0.37,25.9
2016-08-30,60,37.0,,0.37,22.2
2016-08-31,60,37.0,,0.37,22.2
2016-09-01,73,40.0,False,0.4,29.200000000000003
2016-09-02,73,40.0,,0.4,29.200000000000003
2016-09-03,63,40.0,,0.4,25.200000000000003
2016-09-04,67,40.0,,0.4,26.8
2016-09-05,65,40.0,,0.4,26.0
2016-09-06,79,40.0,,0.4,31.6
2016-09-07,79,40.0,,0.4,31.6
2016-09-08,75,40.0,,0.4,30.0
2016-09-09,87,40.0,,0.4,34.800000000000004
2016-09-10,70,40.0,,0.4,28.0
2016-09-11,71,40.0,,0.4,28.400000000000002
2016-09-12,87,40.0,,0.4,34.800000000000004
2016-09-13,79,40.0,,0.4,31.6
2016-09-14,92,40.0,,0.4,36.800000000000004
2016-09-15,79,40.0,,0.4,31.6
2016-09-16,75,40.0,,0.4,30.0
2016-09-17,72,40.0,,0.4,28.8
2016-09-18,68,40.0,,0.4,27.200000000000003
2016-09-19,89,40.0,,0.4,35.6
2016-09-20,92,40.0,,0.4,36.800000000000004
2016-09-21,100,40.0,,0.4,40.0
2016-09-22,86,40.0,,0.4,34.4
2016-09-23,78,40.0,,0.4,31.200000000000003
2016-09-24,69,40.0,,0.4,27.6
2016-09-25,73,40.0,,0.4,29.200000000000003
2016-09-26,90,40.0,,0.4,36.0
2016-09-27,93,40.0,,0.4,37.2
2016-09-28,99,40.0,,0.4,39.6
2016-09-29,83,40.0,,0.4,33.2
2016-09-30,76,40.0,,0.4,30.400000000000002
2016-10-01,72,41.0,False,0.41,29.52
2016-10-02,54,41.0,,0.41,22.139999999999997
2016-10-03,87,41.0,,0.41,35.669999999999995
2016-10-04,93,41.0,,0.41,38.129999999999995
2016-10-05,100,41.0,,0.41,41.0
2016-10-06,87,41.0,,0.41,35.669999999999995
2016-10-07,87,41.0,,0.41,35.669999999999995
2016-10-08,79,41.0,,0.41,32.39
2016-10-09,70,41.0,,0.41,28.7
2016-10-10,83,41.0,,0.41,34.03
2016-10-11,94,41.0,,0.41,38.54
2016-10-12,78,41.0,,0.41,31.979999999999997
2016-10-13,91,41.0,,0.41,37.309999999999995
2016-10-14,76,41.0,,0.41,31.159999999999997
2016-10-15,62,41.0,,0.41,25.419999999999998
2016-10-16,68,41.0,,0.41,27.88
2016-10-17,91,41.0,,0.41,37.309999999999995
2016-10-18,84,41.0,,0.41,34.44
2016-10-19,95,41.0,,0.41,38.949999999999996
2016-10-20,86,41.0,,0.41,35.26
2016-10-21,74,41.0,,0.41,30.34
2016-10-22,61,41.0,,0.41,25.009999999999998
2016-10-23,82,41.0,,0.41,33.62
2016-10-24,92,41.0,,0.41,37.72
2016-10-25,91,41.0,,0.41,37.309999999999995
2016-10-26,85,41.0,,0.41,34.85
2016-10-27,92,41.0,,0.41,37.72
2016-10-28,84,41.0,,0.41,34.44
2016-10-29,68,41.0,,0.41,27.88
2016-10-30,72,41.0,,0.41,29.52
2016-10-31,91,41.0,,0.41,37.309999999999995
2016-11-01,65,46.0,False,0.46,29.900000000000002
2016-11-02,56,46.0,,0.46,25.76
2016-11-03,59,46.0,,0.46,27.14
2016-11-04,50,46.0,,0.46,23.0
2016-11-05,43,46.0,,0.46,19.78
2016-11-06,47,46.0,,0.46,21.62
2016-11-07,67,46.0,,0.46,30.82
2016-11-08,59,46.0,,0.46,27.14
2016-11-09,86,46.0,,0.46,39.56
2016-11-10,100,46.0,,0.46,46.0
2016-11-11,77,46.0,,0.46,35.42
2016-11-12,56,46.0,,0.46,25.76
2016-11-13,60,46.0,,0.46,27.6
2016-11-14,69,46.0,,0.46,31.740000000000002
2016-11-15,70,46.0,,0.46,32.2
2016-11-16,72,46.0,,0.46,33.120000000000005
2016-11-17,76,46.0,,0.46,34.96
2016-11-18,58,46.0,,0.46,26.68
2016-11-19,54,46.0,,0.46,24.84
2016-11-20,48,46.0,,0.46,22.080000000000002
2016-11-21,64,46.0,,0.46,29.44
2016-11-22,65,46.0,,0.46,29.900000000000002
2016-11-23,60,46.0,,0.46,27.6
2016-11-24,62,46.0,,0.46,28.52
2016-11-25,46,46.0,,0.46,21.16
2016-11-26,49,46.0,,0.46,22.540000000000003
2016-11-27,50,46.0,,0.46,23.0
2016-11-28,57,46.0,,0.46,26.220000000000002
2016-11-29,62,46.0,,0.46,28.52
2016-11-30,62,46.0,,0.46,28.52
2016-12-01,86,41.0,False,0.41,35.26
2016-12-02,91,41.0,,0.41,37.309999999999995
2016-12-03,76,41.0,,0.41,31.159999999999997
2016-12-04,78,41.0,,0.41,31.979999999999997
2016-12-05,83,41.0,,0.41,34.03
2016-12-06,89,41.0,,0.41,36.489999999999995
2016-12-07,92,41.0,,0.41,37.72
2016-12-08,98,41.0,,0.41,40.18
2016-12-09,96,41.0,,0.41,39.36
2016-12-10,73,41.0,,0.41,29.93
2016-12-11,78,41.0,,0.41,31.979999999999997
2016-12-12,98,41.0,,0.41,40.18
2016-12-13,86,41.0,,0.41,35.26
2016-12-14,94,41.0,,0.41,38.54
2016-12-15,95,41.0,,0.41,38.949999999999996
2016-12-16,87,41.0,,0.41,35.669999999999995
2016-12-17,75,41.0,,0.41,30.749999999999996
2016-12-18,58,41.0,,0.41,23.779999999999998
2016-12-19,100,41.0,,0.41,41.0
2016-12-20,89,41.0,,0.41,36.489999999999995
2016-12-21,90,41.0,,0.41,36.9
2016-12-22,89,41.0,,0.41,36.489999999999995
2016-12-23,70,41.0,,0.41,28.7
2016-12-24,71,41.0,,0.41,29.11
2016-12-25,58,41.0,,0.41,23.779999999999998
2016-12-26,68,41.0,,0.41,27.88
2016-12-27,82,41.0,,0.41,33.62
2016-12-28,97,41.0,,0.41,39.769999999999996
2016-12-29,73,41.0,,0.41,29.93
2016-12-30,81,41.0,,0.41,33.21
2016-12-31,80,41.0,,0.41,32.8
2017-01-01,74,44.0,False,0.44,32.56
2017-01-02,68,44.0,,0.44,29.92
2017-01-03,81,44.0,,0.44,35.64
2017-01-04,97,44.0,,0.44,42.68
2017-01-05,98,44.0,,0.44,43.12
2017-01-06,89,44.0,,0.44,39.160000000000004
2017-01-07,65,44.0,,0.44,28.6
2017-01-08,81,44.0,,0.44,35.64
2017-01-09,88,44.0,,0.44,38.72
2017-01-10,100,44.0,,0.44,44.0
2017-01-11,90,44.0,,0.44,39.6
2017-01-12,99,44.0,,0.44,43.56
2017-01-13,86,44.0,,0.44,37.84
2017-01-14,72,44.0,,0.44,31.68
2017-01-15,79,44.0,,0.44,34.76
2017-01-16,65,44.0,,0.44,28.6
2017-01-17,100,44.0,,0.44,44.0
2017-01-18,92,44.0,,0.44,40.48
2017-01-19,86,44.0,,0.44,37.84
2017-01-20,92,44.0,,0.44,40.48
2017-01-21,89,44.0,,0.44,39.160000000000004
2017-01-22,75,44.0,,0.44,33.0
2017-01-23,93,44.0,,0.44,40.92
2017-01-24,88,44.0,,0.44,38.72
2017-01-25,100,44.0,,0.44,44.0
2017-01-26,100,44.0,,0.44,44.0
2017-01-27,88,44.0,,0.44,38.72
2017-01-28,72,44.0,,0.44,31.68
2017-01-29,65,44.0,,0.44,28.6
2017-01-30,93,44.0,,0.44,40.92
2017-01-31,96,44.0,,0.44,42.24
2017-02-01,68,48.0,False,0.48,32.64
2017-02-02,70,48.0,,0.48,33.6
2017-02-03,65,48.0,,0.48,31.2
2017-02-04,52,48.0,,0.48,24.96
2017-02-05,45,48.0,,0.48,21.599999999999998
2017-02-06,77,48.0,,0.48,36.96
2017-02-07,86,48.0,,0.48,41.28
2017-02-08,79,48.0,,0.48,37.92
2017-02-09,74,48.0,,0.48,35.519999999999996
2017-02-10,60,48.0,,0.48,28.799999999999997
2017-02-11,52,48.0,,0.48,24.96
2017-02-12,46,48.0,,0.48,22.08
2017-02-13,62,48.0,,0.48,29.759999999999998
2017-02-14,57,48.0,,0.48,27.36
2017-02-15,65,48.0,,0.48,31.2
2017-02-16,60,48.0,,0.48,28.799999999999997
2017-02-17,53,48.0,,0.48,25.439999999999998
2017-02-18,45,48.0,,0.48,21.599999999999998
2017-02-19,52,48.0,,0.48,24.96
2017-02-20,51,48.0,,0.48,24.48
2017-02-21,65,48.0,,0.48,31.2
2017-02-22,60,48.0,,0.48,28.799999999999997
2017-02-23,55,48.0,,0.48,26.4
2017-02-24,54,48.0,,0.48,25.919999999999998
2017-02-25,84,48.0,,0.48,40.32
2017-02-26,100,48.0,,0.48,48.0
2017-02-27,74,48.0,,0.48,35.519999999999996
2017-02-28,70,48.0,,0.48,33.6
2017-03-01,87,45.0,False,0.45,39.15
2017-03-02,82,45.0,,0.45,36.9
2017-03-03,82,45.0,,0.45,36.9
2017-03-04,75,45.0,,0.45,33.75
2017-03-05,61,45.0,,0.45,27.45
2017-03-06,63,45.0,,0.45,28.35
2017-03-07,70,45.0,,0.45,31.5
2017-03-08,70,45.0,,0.45,31.5
2017-03-09,67,45.0,,0.45,30.150000000000002
2017-03-10,100,45.0,,0.45,45.0
2017-03-11,66,45.0,,0.45,29.7
2017-03-12,61,45.0,,0.45,27.45
2017-03-13,66,45.0,,0.45,29.7
2017-03-14,65,45.0,,0.45,29.25
2017-03-15,72,45.0,,0.45,32.4
2017-03-16,80,45.0,,0.45,36.0
2017-03-17,64,45.0,,0.45,28.8
2017-03-18,67,45.0,,0.45,30.150000000000002
2017-03-19,57,45.0,,0.45,25.650000000000002
2017-03-20,79,45.0,,0.45,35.550000000000004
2017-03-21,75,45.0,,0.45,33.75
2017-03-22,76,45.0,,0.45,34.2
2017-03-23,67,45.0,,0.45,30.150000000000002
2017-03-24,68,45.0,,0.45,30.6
2017-03-25,60,45.0,,0.45,27.0
2017-03-26,56,45.0,,0.45,25.2
2017-03-27,62,45.0,,0.45,27.900000000000002
2017-03-28,80,45.0,,0.45,36.0
2017-03-29,69,45.0,,0.45,31.05
2017-03-30,78,45.0,,0.45,35.1
2017-03-31,68,45.0,,0.45,30.6
2017-04-01,71,38.0,False,0.38,26.98
2017-04-02,87,38.0,,0.38,33.06
2017-04-03,80,38.0,,0.38,30.4
2017-04-04,92,38.0,,0.38,34.96
2017-04-05,79,38.0,,0.38,30.02
2017-04-06,92,38.0,,0.38,34.96
2017-04-07,84,38.0,,0.38,31.92
2017-04-08,61,38.0,,0.38,23.18
2017-04-09,63,38.0,,0.38,23.94
2017-04-10,81,38.0,,0.38,30.78
2017-04-11,92,38.0,,0.38,34.96
2017-04-12,92,38.0,,0.38,34.96
2017-04-13,85,38.0,,0.38,32.3
2017-04-14,81,38.0,,0.38,30.78
2017-04-15,66,38.0,,0.38,25.080000000000002
2017-04-16,89,38.0,,0.38,33.82
2017-04-17,74,38.0,,0.38,28.12
2017-04-18,93,38.0,,0.38,35.34
2017-04-19,97,38.0,,0.38,36.86
2017-04-20,81,38.0,,0.38,30.78
2017-04-21,95,38.0,,0.38,36.1
2017-04-22,59,38.0,,0.38,22.42
2017-04-23,65,38.0,,0.38,24.7
2017-04-24,81,38.0,,0.38,30.78
2017-04-25,96,38.0,,0.38,36.480000000000004
2017-04-26,91,38.0,,0.38,34.58
2017-04-27,90,38.0,,0.38,34.2
2017-04-28,100,38.0,,0.38,38.0
2017-04-29,74,38.0,,0.38,28.12
2017-04-30,63,38.0,,0.38,23.94
2017-05-01,56,44.0,False,0.44,24.64
2017-05-02,60,44.0,,0.44,26.4
2017-05-03,65,44.0,,0.44,28.6
2017-05-04,62,44.0,,0.44,27.28
2017-05-05,65,44.0,,0.44,28.6
2017-05-06,45,44.0,,0.44,19.8
2017-05-07,53,44.0,,0.44,23.32
2017-05-08,66,44.0,,0.44,29.04
2017-05-09,87,44.0,,0.44,38.28
2017-05-10,100,44.0,,0.44,44.0
2017-05-11,70,44.0,,0.44,30.8
2017-05-12,69,44.0,,0.44,30.36
2017-05-13,47,44.0,,0.44,20.68
2017-05-14,52,44.0,,0.44,22.88
2017-05-15,58,44.0,,0.44,25.52
2017-05-16,67,44.0,,0.44,29.48
2017-05-17,68,44.0,,0.44,29.92
2017-05-18,53,44.0,,0.44,23.32
2017-05-19,57,44.0,,0.44,25.080000000000002
2017-05-20,49,44.0,,0.44,21.56
2017-05-21,50,44.0,,0.44,22.0
2017-05-22,59,44.0,,0.44,25.96
2017-05-23,58,44.0,,0.44,25.52
2017-05-24,52,44.0,,0.44,22.88
2017-05-25,54,44.0,,0.44,23.76
2017-05-26,65,44.0,,0.44,28.6
2017-05-27,54,44.0,,0.44,23.76
2017-05-28,48,44.0,,0.44,21.12
2017-05-29,49,44.0,,0.44,21.56
2017-05-30,53,44.0,,0.44,23.32
2017-05-31,62,44.0,,0.44,27.28
2017-06-01,67,35.0,False,0.35,23.45
2017-06-02,100,35.0,,0.35,35.0
2017-06-03,71,35.0,,0.35,24.849999999999998
2017-06-04,72,35.0,,0.35,25.2
2017-06-05,85,35.0,,0.35,29.749999999999996
2017-06-06,79,35.0,,0.35,27.65
2017-06-07,79,35.0,,0.35,27.65
2017-06-08,90,35.0,,0.35,31.499999999999996
2017-06-09,80,35.0,,0.35,28.0
2017-06-10,64,35.0,,0.35,22.4
2017-06-11,76,35.0,,0.35,26.599999999999998
2017-06-12,79,35.0,,0.35,27.65
2017-06-13,76,35.0,,0.35,26.599999999999998
2017-06-14,81,35.0,,0.35,28.349999999999998
2017-06-15,72,35.0,,0.35,25.2
2017-06-16,80,35.0,,0.35,28.0
2017-06-17,79,35.0,,0.35,27.65
2017-06-18,85,35.0,,0.35,29.749999999999996
2017-06-19,78,35.0,,0.35,27.299999999999997
2017-06-20,72,35.0,,0.35,25.2
2017-06-21,79,35.0,,0.35,27.65
2017-06-22,78,35.0,,0.35,27.299999999999997
2017-06-23,72,35.0,,0.35,25.2
2017-06-24,75,35.0,,0.35,26.25
2017-06-25,70,35.0,,0.35,24.5
2017-06-26,76,35.0,,0.35,26.599999999999998
2017-06-27,68,35.0,,0.35,23.799999999999997
2017-06-28,81,35.0,,0.35,28.349999999999998
2017-06-29,77,35.0,,0.35,26.95
2017-06-30,71,35.0,,0.35,24.849999999999998
2017-07-01,75,33.0,False,0.33,24.75
2017-07-02,84,33.0,,0.33,27.720000000000002
2017-07-03,91,33.0,,0.33,30.03
2017-07-04,78,33.0,,0.33,25.740000000000002
2017-07-05,79,33.0,,0.33,26.07
2017-07-06,98,33.0,,0.33,32.34
2017-07-07,87,33.0,,0.33,28.71
2017-07-08,74,33.0,,0.33,24.42
2017-07-09,85,33.0,,0.33,28.05
2017-07-10,72,33.0,,0.33,23.76
2017-07-11,82,33.0,,0.33,27.060000000000002
2017-07-12,92,33.0,,0.33,30.360000000000003
2017-07-13,91,33.0,,0.33,30.03
2017-07-14,85,33.0,,0.33,28.05
2017-07-15,86,33.0,,0.33,28.380000000000003
2017-07-16,79,33.0,,0.33,26.07
2017-07-17,93,33.0,,0.33,30.69
2017-07-18,86,33.0,,0.33,28.380000000000003
2017-07-19,93,33.0,,0.33,30.69
2017-07-20,100,33.0,,0.33,33.0
2017-07-21,78,33.0,,0.33,25.740000000000002
2017-07-22,76,33.0,,0.33,25.080000000000002
2017-07-23,78,33.0,,0.33,25.740000000000002
2017-07-24,96,33.0,,0.33,31.68
2017-07-25,95,33.0,,0.33,31.35
2017-07-26,84,33.0,,0.33,27.720000000000002
2017-07-27,91,33.0,,0.33,30.03
2017-07-28,100,33.0,,0.33,33.0
2017-07-29,81,33.0,,0.33,26.73
2017-07-30,77,33.0,,0.33,25.41
2017-07-31,87,33.0,,0.33,28.71
2017-08-01,59,41.0,False,0.41,24.189999999999998
2017-08-02,57,41.0,,0.41,23.369999999999997
2017-08-03,55,41.0,,0.41,22.549999999999997
2017-08-04,69,41.0,,0.41,28.29
2017-08-05,54,41.0,,0.41,22.139999999999997
2017-08-06,57,41.0,,0.41,23.369999999999997
2017-08-07,55,41.0,,0.41,22.549999999999997
2017-08-08,90,41.0,,0.41,36.9
2017-08-09,100,41.0,,0.41,41.0
2017-08-10,76,41.0,,0.41,31.159999999999997
2017-08-11,64,41.0,,0.41,26.24
2017-08-12,49,41.0,,0.41,20.09
2017-08-13,48,41.0,,0.41,19.68
2017-08-14,60,41.0,,0.41,24.599999999999998
2017-08-15,63,41.0,,0.41,25.83
2017-08-16,63,41.0,,0.41,25.83
2017-08-17,56,41.0,,0.41,22.959999999999997
2017-08-18,60,41.0,,0.41,24.599999999999998
2017-08-19,51,41.0,,0.41,20.91
2017-08-20,42,41.0,,0.41,17.22
2017-08-21,54,41.0,,0.41,22.139999999999997
2017-08-22,55,41.0,,0.41,22.549999999999997
2017-08-23,57,41.0,,0.41,23.369999999999997
2017-08-24,64,41.0,,0.41,26.24
2017-08-25,62,41.0,,0.41,25.419999999999998
2017-08-26,54,41.0,,0.41,22.139999999999997
2017-08-27,66,41.0,,0.41,27.06
2017-08-28,64,41.0,,0.41,26.24
2017-08-29,59,41.0,,0.41,24.189999999999998
2017-08-30,66,41.0,,0.41,27.06
2017-08-31,67,41.0,,0.41,27.47
2017-09-01,90,40.0,False,0.4,36.0
2017-09-02,79,40.0,,0.4,31.6
2017-09-03,80,40.0,,0.4,32.0
2017-09-04,64,40.0,,0.4,25.6
2017-09-05,83,40.0,,0.4,33.2
2017-09-06,95,40.0,,0.4,38.0
2017-09-07,99,40.0,,0.4,39.6
2017-09-08,92,40.0,,0.4,36.800000000000004
2017-09-09,68,40.0,,0.4,27.200000000000003
2017-09-10,67,40.0,,0.4,26.8
2017-09-11,92,40.0,,0.4,36.800000000000004
2017-09-12,94,40.0,,0.4,37.6
2017-09-13,95,40.0,,0.4,38.0
2017-09-14,86,40.0,,0.4,34.4
2017-09-15,77,40.0,,0.4,30.8
2017-09-16,72,40.0,,0.4,28.8
2017-09-17,70,40.0,,0.4,28.0
2017-09-18,87,40.0,,0.4,34.800000000000004
2017-09-19,95,40.0,,0.4,38.0
2017-09-20,100,40.0,,0.4,40.0
2017-09-21,85,40.0,,0.4,34.0
2017-09-22,93,40.0,,0.4,37.2
2017-09-23,71,40.0,,0.4,28.400000000000002
2017-09-24,86,40.0,,0.4,34.4
2017-09-25,99,40.0,,0.4,39.6
2017-09-26,99,40.0,,0.4,39.6
2017-09-27,91,40.0,,0.4,36.4
2017-09-28,90,40.0,,0.4,36.0
2017-09-29,84,40.0,,0.4,33.6
2017-09-30,71,40.0,,0.4,28.400000000000002
2017-10-01,82,41.0,False,0.41,33.62
2017-10-02,91,41.0,,0.41,37.309999999999995
2017-10-03,98,41.0,,0.41,40.18
2017-10-04,100,41.0,,0.41,41.0
2017-10-05,81,41.0,,0.41,33.21
2017-10-06,87,41.0,,0.41,35.669999999999995
2017-10-07,73,41.0,,0.41,29.93
2017-10-08,80,41.0,,0.41,32.8
2017-10-09,81,41.0,,0.41,33.21
2017-10-10,91,41.0,,0.41,37.309999999999995
2017-10-11,83,41.0,,0.41,34.03
2017-10-12,96,41.0,,0.41,39.36
2017-10-13,86,41.0,,0.41,35.26
2017-10-14,79,41.0,,0.41,32.39
2017-10-15,76,41.0,,0.41,31.159999999999997
2017-10-16,95,41.0,,0.41,38.949999999999996
2017-10-17,98,41.0,,0.41,40.18
2017-10-18,93,41.0,,0.41,38.129999999999995
2017-10-19,88,41.0,,0.41,36.08
2017-10-20,83,41.0,,0.41,34.03
2017-10-21,61,41.0,,0.41,25.009999999999998
2017-10-22,66,41.0,,0.41,27.06
2017-10-23,94,41.0,,0.41,38.54
2017-10-24,88,41.0,,0.41,36.08
2017-10-25,91,41.0,,0.41,37.309999999999995
2017-10-26,92,41.0,,0.41,37.72
2017-10-27,73,41.0,,0.41,29.93
2017-10-28,73,41.0,,0.41,29.93
2017-10-29,77,41.0,,0.41,31.569999999999997
2017-10-30,93,41.0,,0.41,38.129999999999995
2017-10-31,91,41.0,,0.41,37.309999999999995
2017-11-01,88,44.0,False,0.44,38.72
2017-11-02,81,44.0,,0.44,35.64
2017-11-03,73,44.0,,0.44,32.12
2017-11-04,52,44.0,,0.44,22.88
2017-11-05,63,44.0,,0.44,27.72
2017-11-06,83,44.0,,0.44,36.52
2017-11-07,96,44.0,,0.44,42.24
2017-11-08,93,44.0,,0.44,40.92
2017-11-09,100,44.0,,0.44,44.0
2017-11-10,97,44.0,,0.44,42.68
2017-11-11,76,44.0,,0.44,33.44
2017-11-12,60,44.0,,0.44,26.4
2017-11-13,73,44.0,,0.44,32.12
2017-11-14,78,44.0,,0.44,34.32
2017-11-15,72,44.0,,0.44,31.68
2017-11-16,85,44.0,,0.44,37.4
2017-11-17,90,44.0,,0.44,39.6
2017-11-18,70,44.0,,0.44,30.8
2017-11-19,68,44.0,,0.44,29.92
2017-11-20,70,44.0,,0.44,30.8
2017-11-21,73,44.0,,0.44,32.12
2017-11-22,71,44.0,,0.44,31.24
2017-11-23,53,44.0,,0.44,23.32
2017-11-24,62,44.0,,0.44,27.28
2017-11-25,65,44.0,,0.44,28.6
2017-11-26,63,44.0,,0.44,27.72
2017-11-27,80,44.0,,0.44,35.2
2017-11-28,77,44.0,,0.44,33.88
2017-11-29,90,44.0,,0.44,39.6
2017-11-30,89,44.0,,0.44,39.160000000000004
2017-12-01,58,44.0,False,0.44,25.52
2017-12-02,46,44.0,,0.44,20.24
2017-12-03,47,44.0,,0.44,20.68
2017-12-04,71,44.0,,0.44,31.24
2017-12-05,67,44.0,,0.44,29.48
2017-12-06,66,44.0,,0.44,29.04
2017-12-07,67,44.0,,0.44,29.48
2017-12-08,56,44.0,,0.44,24.64
2017-12-09,54,44.0,,0.44,23.76
2017-12-10,47,44.0,,0.44,20.68
2017-12-11,61,44.0,,0.44,26.84
2017-12-12,62,44.0,,0.44,27.28
2017-12-13,59,44.0,,0.44,25.96
2017-12-14,100,44.0,,0.44,44.0
2017-12-15,73,44.0,,0.44,32.12
2017-12-16,43,44.0,,0.44,18.92
2017-12-17,57,44.0,,0.44,25.080000000000002
2017-12-18,74,44.0,,0.44,32.56
2017-12-19,67,44.0,,0.44,29.48
2017-12-20,56,44.0,,0.44,24.64
2017-12-21,56,44.0,,0.44,24.64
2017-12-22,58,44.0,,0.44,25.52
2017-12-23,44,44.0,,0.44,19.36
2017-12-24,45,44.0,,0.44,19.8
2017-12-25,47,44.0,,0.44,20.68
2017-12-26,54,44.0,,0.44,23.76
