date,GOLD_unscaled,GOLD_monthly,isPartial,scale,GOLD
2016-06-23,72,74.0,,0.74,53.28
2016-06-24,100,74.0,,0.74,74.0
2016-06-25,86,74.0,,0.74,63.64
2016-06-26,80,74.0,,0.74,59.2
2016-06-27,88,74.0,,0.74,65.12
2016-06-28,83,74.0,,0.74,61.42
2016-06-29,80,74.0,,0.74,59.2
2016-06-30,83,74.0,,0.74,61.42
2016-07-01,88,75.0,False,0.75,66.0
2016-07-02,80,75.0,,0.75,60.0
2016-07-03,79,75.0,,0.75,59.25
2016-07-04,85,75.0,,0.75,63.75
2016-07-05,78,75.0,,0.75,58.5
2016-07-06,84,75.0,,0.75,63.0
2016-07-07,78,75.0,,0.75,58.5
2016-07-08,79,75.0,,0.75,59.25
2016-07-09,82,75.0,,0.75,61.5
2016-07-10,86,75.0,,0.75,64.5
2016-07-11,87,75.0,,0.75,65.25
2016-07-12,88,75.0,,0.75,66.0
2016-07-13,87,75.0,,0.75,65.25
2016-07-14,83,75.0,,0.75,62.25
2016-07-15,83,75.0,,0.75,62.25
2016-07-16,88,75.0,,0.75,66.0
2016-07-17,88,75.0,,0.75,66.0
2016-07-18,90,75.0,,0.75,67.5
2016-07-19,88,75.0,,0.75,66.0
2016-07-20,89,75.0,,0.75,66.75
2016-07-21,87,75.0,,0.75,65.25
2016-07-22,86,75.0,,0.75,64.5
2016-07-23,87,75.0,,0.75,65.25
2016-07-24,87,75.0,,0.75,65.25
2016-07-25,90,75.0,,0.75,67.5
2016-07-26,93,75.0,,0.75,69.75
2016-07-27,90,75.0,,0.75,67.5
2016-07-28,88,75.0,,0.75,66.0
2016-07-29,87,75.0,,0.75,65.25
2016-07-30,89,75.0,,0.75,66.75
2016-07-31,100,75.0,,0.75,75.0
2016-08-01,59,100.0,False,1.0,59.0
2016-08-02,59,100.0,,1.0,59.0
2016-08-03,53,100.0,,1.0,53.0
2016-08-04,52,100.0,,1.0,52.0
2016-08-05,49,100.0,,1.0,49.0
2016-08-06,65,100.0,,1.0,65.0
2016-08-07,73,100.0,,1.0,73.0
2016-08-08,78,100.0,,1.0,78.0
2016-08-09,74,100.0,,1.0,74.0
2016-08-10,100,100.0,,1.0,100.0
2016-08-11,75,100.0,,1.0,75.0
2016-08-12,100,100.0,,1.0,100.0
2016-08-13,90,100.0,,1.0,90.0
2016-08-14,94,100.0,,1.0,94.0
2016-08-15,76,100.0,,1.0,76.0
2016-08-16,73,100.0,,1.0,73.0
2016-08-17,66,100.0,,1.0,66.0
2016-08-18,62,100.0,,1.0,62.0
2016-08-19,71,100.0,,1.0,71.0
2016-08-20,76,100.0,,1.0,76.0
2016-08-21,87,100.0,,1.0,87.0
2016-08-22,65,100.0,,1.0,65.0
2016-08-23,49,100.0,,1.0,49.0
2016-08-24,49,100.0,,1.0,49.0
2016-08-25,50,100.0,,1.0,50.0
2016-08-26,51,100.0,,1.0,51.0
2016-08-27,56,100.0,,1.0,56.0
2016-08-28,55,100.0,,1.0,55.0
2016-08-29,48,100.0,,1.0,48.0
2016-08-30,47,100.0,,1.0,47.0
2016-08-31,47,100.0,,1.0,47.0
2016-09-01,86,76.0,False,0.76,65.36
2016-09-02,86,76.0,,0.76,65.36
2016-09-03,94,76.0,,0.76,71.44
2016-09-04,95,76.0,,0.76,72.2
2016-09-05,97,76.0,,0.76,73.72
2016-09-06,88,76.0,,0.76,66.88
2016-09-07,87,76.0,,0.76,66.12
2016-09-08,87,76.0,,0.76,66.12
2016-09-09,91,76.0,,0.76,69.16
2016-09-10,100,76.0,,0.76,76.0
2016-09-11,96,76.0,,0.76,72.96000000000001
2016-09-12,89,76.0,,0.76,67.64
2016-09-13,87,76.0,,0.76,66.12
2016-09-14,87,76.0,,0.76,66.12
2016-09-15,89,76.0,,0.76,67.64
2016-09-16,91,76.0,,0.76,69.16
2016-09-17,97,76.0,,0.76,73.72
2016-09-18,92,76.0,,0.76,69.92
2016-09-19,89,76.0,,0.76,67.64
2016-09-20,85,76.0,,0.76,64.6
2016-09-21,87,76.0,,0.76,66.12
2016-09-22,89,76.0,,0.76,67.64
2016-09-23,86,76.0,,0.76,65.36
2016-09-24,89,76.0,,0.76,67.64
2016-09-25,87,76.0,,0.76,66.12
2016-09-26,86,76.0,,0.76,65.36
2016-09-27,84,76.0,,0.76,63.84
2016-09-28,89,76.0,,0.76,67.64
2016-09-29,86,76.0,,0.76,65.36
2016-09-30,84,76.0,,0.76,63.84
2016-10-01,88,70.0,False,0.7,61.599999999999994
2016-10-02,88,70.0,,0.7,61.599999999999994
2016-10-03,83,70.0,,0.7,58.099999999999994
2016-10-04,92,70.0,,0.7,64.39999999999999
2016-10-05,84,70.0,,0.7,58.8
2016-10-06,84,70.0,,0.7,58.8
2016-10-07,82,70.0,,0.7,57.4
2016-10-08,88,70.0,,0.7,61.599999999999994
2016-10-09,87,70.0,,0.7,60.9
2016-10-10,80,70.0,,0.7,56.0
2016-10-11,87,70.0,,0.7,60.9
2016-10-12,86,70.0,,0.7,60.199999999999996
2016-10-13,86,70.0,,0.7,60.199999999999996
2016-10-14,86,70.0,,0.7,60.199999999999996
2016-10-15,100,70.0,,0.7,70.0
2016-10-16,91,70.0,,0.7,63.699999999999996
2016-10-17,87,70.0,,0.7,60.9
2016-10-18,89,70.0,,0.7,62.3
2016-10-19,85,70.0,,0.7,59.49999999999999
2016-10-20,83,70.0,,0.7,58.099999999999994
2016-10-21,81,70.0,,0.7,56.699999999999996
2016-10-22,91,70.0,,0.7,63.699999999999996
2016-10-23,90,70.0,,0.7,62.99999999999999
2016-10-24,88,70.0,,0.7,61.599999999999994
2016-10-25,86,70.0,,0.7,60.199999999999996
2016-10-26,86,70.0,,0.7,60.199999999999996
2016-10-27,84,70.0,,0.7,58.8
2016-10-28,86,70.0,,0.7,60.199999999999996
2016-10-29,85,70.0,,0.7,59.49999999999999
2016-10-30,86,70.0,,0.7,60.199999999999996
2016-10-31,77,70.0,,0.7,53.9
2016-11-01,69,79.0,False,0.79,54.510000000000005
2016-11-02,74,79.0,,0.79,58.46
2016-11-03,68,79.0,,0.79,53.72
2016-11-04,74,79.0,,0.79,58.46
2016-11-05,79,79.0,,0.79,62.410000000000004
2016-11-06,77,79.0,,0.79,60.830000000000005
2016-11-07,73,79.0,,0.79,57.67
2016-11-08,69,79.0,,0.79,54.510000000000005
2016-11-09,70,79.0,,0.79,55.300000000000004
2016-11-10,74,79.0,,0.79,58.46
2016-11-11,81,79.0,,0.79,63.99
2016-11-12,88,79.0,,0.79,69.52000000000001
2016-11-13,84,79.0,,0.79,66.36
2016-11-14,83,79.0,,0.79,65.57000000000001
2016-11-15,82,79.0,,0.79,64.78
2016-11-16,79,79.0,,0.79,62.410000000000004
2016-11-17,81,79.0,,0.79,63.99
2016-11-18,82,79.0,,0.79,64.78
2016-11-19,88,79.0,,0.79,69.52000000000001
2016-11-20,90,79.0,,0.79,71.10000000000001
2016-11-21,84,79.0,,0.79,66.36
2016-11-22,86,79.0,,0.79,67.94
2016-11-23,84,79.0,,0.79,66.36
2016-11-24,85,79.0,,0.79,67.15
2016-11-25,99,79.0,,0.79,78.21000000000001
2016-11-26,100,79.0,,0.79,79.0
2016-11-27,100,79.0,,0.79,79.0
2016-11-28,91,79.0,,0.79,71.89
2016-11-29,91,79.0,,0.79,71.89
2016-11-30,89,79.0,,0.79,70.31
2016-12-01,98,83.0,False,0.83,81.33999999999999
2016-12-02,89,83.0,,0.83,73.86999999999999
2016-12-03,100,83.0,,0.83,83.0
2016-12-04,100,83.0,,0.83,83.0
2016-12-05,96,83.0,,0.83,79.67999999999999
2016-12-06,91,83.0,,0.83,75.53
2016-12-07,88,83.0,,0.83,73.03999999999999
2016-12-08,88,83.0,,0.83,73.03999999999999
2016-12-09,86,83.0,,0.83,71.38
2016-12-10,97,83.0,,0.83,80.50999999999999
2016-12-11,97,83.0,,0.83,80.50999999999999
2016-12-12,92,83.0,,0.83,76.36
2016-12-13,92,83.0,,0.83,76.36
2016-12-14,95,83.0,,0.83,78.85
2016-12-15,94,83.0,,0.83,78.02
2016-12-16,92,83.0,,0.83,76.36
2016-12-17,99,83.0,,0.83,82.17
2016-12-18,95,83.0,,0.83,78.85
2016-12-19,90,83.0,,0.83,74.7
2016-12-20,93,83.0,,0.83,77.19
2016-12-21,91,83.0,,0.83,75.53
2016-12-22,92,83.0,,0.83,76.36
2016-12-23,91,83.0,,0.83,75.53
2016-12-24,88,83.0,,0.83,73.03999999999999
2016-12-25,100,83.0,,0.83,83.0
2016-12-26,99,83.0,,0.83,82.17
2016-12-27,96,83.0,,0.83,79.67999999999999
2016-12-28,95,83.0,,0.83,78.85
2016-12-29,94,83.0,,0.83,78.02
2016-12-30,92,83.0,,0.83,76.36
2016-12-31,85,83.0,,0.83,70.55
2017-01-01,74,76.0,False,0.76,56.24
2017-01-02,84,76.0,,0.76,63.84
2017-01-03,79,76.0,,0.76,60.04
2017-01-04,77,76.0,,0.76,58.52
2017-01-05,80,76.0,,0.76,60.8
2017-01-06,77,76.0,,0.76,58.52
2017-01-07,84,76.0,,0.76,63.84
2017-01-08,83,76.0,,0.76,63.08
2017-01-09,81,76.0,,0.76,61.56
2017-01-10,75,76.0,,0.76,57.0
2017-01-11,76,76.0,,0.76,57.76
2017-01-12,77,76.0,,0.76,58.52
2017-01-13,79,76.0,,0.76,60.04
2017-01-14,85,76.0,,0.76,64.6
2017-01-15,82,76.0,,0.76,62.32
2017-01-16,80,76.0,,0.76,60.8
2017-01-17,82,76.0,,0.76,62.32
2017-01-18,77,76.0,,0.76,58.52
2017-01-19,76,76.0,,0.76,57.76
2017-01-20,73,76.0,,0.76,55.480000000000004
2017-01-21,81,76.0,,0.76,61.56
2017-01-22,82,76.0,,0.76,62.32
2017-01-23,77,76.0,,0.76,58.52
2017-01-24,80,76.0,,0.76,60.8
2017-01-25,77,76.0,,0.76,58.52
2017-01-26,78,76.0,,0.76,59.28
2017-01-27,88,76.0,,0.76,66.88
2017-01-28,99,76.0,,0.76,75.24
2017-01-29,100,76.0,,0.76,76.0
2017-01-30,83,76.0,,0.76,63.08
2017-01-31,82,76.0,,0.76,62.32
2017-02-01,85,77.0,False,0.77,65.45
2017-02-02,83,77.0,,0.77,63.910000000000004
2017-02-03,86,77.0,,0.77,66.22
2017-02-04,100,77.0,,0.77,77.0
2017-02-05,91,77.0,,0.77,70.07000000000001
2017-02-06,75,77.0,,0.77,57.75
2017-02-07,82,77.0,,0.77,63.14
2017-02-08,79,77.0,,0.77,60.83
2017-02-09,79,77.0,,0.77,60.83
2017-02-10,82,77.0,,0.77,63.14
2017-02-11,92,77.0,,0.77,70.84
2017-02-12,98,77.0,,0.77,75.46000000000001
2017-02-13,85,77.0,,0.77,65.45
2017-02-14,77,77.0,,0.77,59.29
2017-02-15,79,77.0,,0.77,60.83
2017-02-16,77,77.0,,0.77,59.29
2017-02-17,79,77.0,,0.77,60.83
2017-02-18,87,77.0,,0.77,66.99
2017-02-19,88,77.0,,0.77,67.76
2017-02-20,82,77.0,,0.77,63.14
2017-02-21,77,77.0,,0.77,59.29
2017-02-22,78,77.0,,0.77,60.06
2017-02-23,75,77.0,,0.77,57.75
2017-02-24,78,77.0,,0.77,60.06
2017-02-25,86,77.0,,0.77,66.22
2017-02-26,82,77.0,,0.77,63.14
2017-02-27,81,77.0,,0.77,62.370000000000005
2017-02-28,78,77.0,,0.77,60.06
2017-03-01,89,74.0,False,0.74,65.86
2017-03-02,93,74.0,,0.74,68.82
2017-03-03,86,74.0,,0.74,63.64
2017-03-04,96,74.0,,0.74,71.03999999999999
2017-03-05,98,74.0,,0.74,72.52
2017-03-06,91,74.0,,0.74,67.34
2017-03-07,91,74.0,,0.74,67.34
2017-03-08,87,74.0,,0.74,64.38
2017-03-09,87,74.0,,0.74,64.38
2017-03-10,89,74.0,,0.74,65.86
2017-03-11,100,74.0,,0.74,74.0
2017-03-12,98,74.0,,0.74,72.52
2017-03-13,89,74.0,,0.74,65.86
2017-03-14,89,74.0,,0.74,65.86
2017-03-15,92,74.0,,0.74,68.08
2017-03-16,89,74.0,,0.74,65.86
2017-03-17,92,74.0,,0.74,68.08
2017-03-18,90,74.0,,0.74,66.6
2017-03-19,88,74.0,,0.74,65.12
2017-03-20,86,74.0,,0.74,63.64
2017-03-21,86,74.0,,0.74,63.64
2017-03-22,87,74.0,,0.74,64.38
2017-03-23,85,74.0,,0.74,62.9
2017-03-24,85,74.0,,0.74,62.9
2017-03-25,90,74.0,,0.74,66.6
2017-03-26,96,74.0,,0.74,71.03999999999999
2017-03-27,88,74.0,,0.74,65.12
2017-03-28,87,74.0,,0.74,64.38
2017-03-29,86,74.0,,0.74,63.64
2017-03-30,87,74.0,,0.74,64.38
2017-03-31,83,74.0,,0.74,61.42
2017-04-01,97,72.0,False,0.72,69.84
2017-04-02,95,72.0,,0.72,68.39999999999999
2017-04-03,88,72.0,,0.72,63.36
2017-04-04,88,72.0,,0.72,63.36
2017-04-05,87,72.0,,0.72,62.64
2017-04-06,88,72.0,,0.72,63.36
2017-04-07,89,72.0,,0.72,64.08
2017-04-08,96,72.0,,0.72,69.12
2017-04-09,96,72.0,,0.72,69.12
2017-04-10,91,72.0,,0.72,65.52
2017-04-11,89,72.0,,0.72,64.08
2017-04-12,90,72.0,,0.72,64.8
2017-04-13,88,72.0,,0.72,63.36
2017-04-14,89,72.0,,0.72,64.08
2017-04-15,93,72.0,,0.72,66.96
2017-04-16,86,72.0,,0.72,61.919999999999995
2017-04-17,90,72.0,,0.72,64.8
2017-04-18,88,72.0,,0.72,63.36
2017-04-19,87,72.0,,0.72,62.64
2017-04-20,89,72.0,,0.72,64.08
2017-04-21,93,72.0,,0.72,66.96
2017-04-22,95,72.0,,0.72,68.39999999999999
2017-04-23,98,72.0,,0.72,70.56
2017-04-24,94,72.0,,0.72,67.67999999999999
2017-04-25,95,72.0,,0.72,68.39999999999999
2017-04-26,88,72.0,,0.72,63.36
2017-04-27,91,72.0,,0.72,65.52
2017-04-28,87,72.0,,0.72,62.64
2017-04-29,93,72.0,,0.72,66.96
2017-04-30,100,72.0,,0.72,72.0
2017-05-01,89,74.0,False,0.74,65.86
2017-05-02,85,74.0,,0.74,62.9
2017-05-03,89,74.0,,0.74,65.86
2017-05-04,92,74.0,,0.74,68.08
2017-05-05,89,74.0,,0.74,65.86
2017-05-06,95,74.0,,0.74,70.3
2017-05-07,100,74.0,,0.74,74.0
2017-05-08,93,74.0,,0.74,68.82
2017-05-09,91,74.0,,0.74,67.34
2017-05-10,87,74.0,,0.74,64.38
2017-05-11,86,74.0,,0.74,63.64
2017-05-12,83,74.0,,0.74,61.42
2017-05-13,91,74.0,,0.74,67.34
2017-05-14,94,74.0,,0.74,69.56
2017-05-15,88,74.0,,0.74,65.12
2017-05-16,86,74.0,,0.74,63.64
2017-05-17,83,74.0,,0.74,61.42
2017-05-18,82,74.0,,0.74,60.68
2017-05-19,78,74.0,,0.74,57.72
2017-05-20,87,74.0,,0.74,64.38
2017-05-21,91,74.0,,0.74,67.34
2017-05-22,85,74.0,,0.74,62.9
2017-05-23,80,74.0,,0.74,59.2
2017-05-24,80,74.0,,0.74,59.2
2017-05-25,81,74.0,,0.74,59.94
2017-05-26,81,74.0,,0.74,59.94
2017-05-27,82,74.0,,0.74,60.68
2017-05-28,82,74.0,,0.74,60.68
2017-05-29,88,74.0,,0.74,65.12
2017-05-30,83,74.0,,0.74,61.42
2017-05-31,82,74.0,,0.74,60.68
2017-06-01,82,75.0,False,0.75,61.5
2017-06-02,81,75.0,,0.75,60.75
2017-06-03,83,75.0,,0.75,62.25
2017-06-04,83,75.0,,0.75,62.25
2017-06-05,81,75.0,,0.75,60.75
2017-06-06,100,75.0,,0.75,75.0
2017-06-07,89,75.0,,0.75,66.75
2017-06-08,87,75.0,,0.75,65.25
2017-06-09,88,75.0,,0.75,66.0
2017-06-10,85,75.0,,0.75,63.75
2017-06-11,87,75.0,,0.75,65.25
2017-06-12,83,75.0,,0.75,62.25
2017-06-13,81,75.0,,0.75,60.75
2017-06-14,83,75.0,,0.75,62.25
2017-06-15,81,75.0,,0.75,60.75
2017-06-16,86,75.0,,0.75,64.5
2017-06-17,89,75.0,,0.75,66.75
2017-06-18,81,75.0,,0.75,60.75
2017-06-19,82,75.0,,0.75,61.5
2017-06-20,84,75.0,,0.75,63.0
2017-06-21,85,75.0,,0.75,63.75
2017-06-22,79,75.0,,0.75,59.25
2017-06-23,84,75.0,,0.75,63.0
2017-06-24,86,75.0,,0.75,64.5
2017-06-25,85,75.0,,0.75,63.75
2017-06-26,90,75.0,,0.75,67.5
2017-06-27,85,75.0,,0.75,63.75
2017-06-28,81,75.0,,0.75,60.75
2017-06-29,82,75.0,,0.75,61.5
2017-06-30,83,75.0,,0.75,62.25
2017-07-01,61,85.0,False,0.85,51.85
2017-07-02,64,85.0,,0.85,54.4
2017-07-03,64,85.0,,0.85,54.4
2017-07-04,62,85.0,,0.85,52.699999999999996
2017-07-05,60,85.0,,0.85,51.0
2017-07-06,62,85.0,,0.85,52.699999999999996
2017-07-07,67,85.0,,0.85,56.949999999999996
2017-07-08,89,85.0,,0.85,75.64999999999999
2017-07-09,80,85.0,,0.85,68.0
2017-07-10,77,85.0,,0.85,65.45
2017-07-11,70,85.0,,0.85,59.5
2017-07-12,79,85.0,,0.85,67.14999999999999
2017-07-13,76,85.0,,0.85,64.6
2017-07-14,78,85.0,,0.85,66.3
2017-07-15,86,85.0,,0.85,73.1
2017-07-16,92,85.0,,0.85,78.2
2017-07-17,82,85.0,,0.85,69.7
2017-07-18,69,85.0,,0.85,58.65
2017-07-19,72,85.0,,0.85,61.199999999999996
2017-07-20,81,85.0,,0.85,68.85
2017-07-21,83,85.0,,0.85,70.55
2017-07-22,75,85.0,,0.85,63.75
2017-07-23,99,85.0,,0.85,84.14999999999999
2017-07-24,83,85.0,,0.85,70.55
2017-07-25,70,85.0,,0.85,59.5
2017-07-26,73,85.0,,0.85,62.05
2017-07-27,100,85.0,,0.85,85.0
2017-07-28,63,85.0,,0.85,53.55
2017-07-29,68,85.0,,0.85,57.8
2017-07-30,63,85.0,,0.85,53.55
2017-07-31,61,85.0,,0.85,51.85
2017-08-01,93,73.0,False,0.73,67.89
2017-08-02,95,73.0,,0.73,69.35
2017-08-03,93,73.0,,0.73,67.89
2017-08-04,94,73.0,,0.73,68.62
2017-08-05,92,73.0,,0.73,67.16
2017-08-06,100,73.0,,0.73,73.0
2017-08-07,98,73.0,,0.73,71.53999999999999
2017-08-08,92,73.0,,0.73,67.16
2017-08-09,94,73.0,,0.73,68.62
2017-08-10,92,73.0,,0.73,67.16
2017-08-11,95,73.0,,0.73,69.35
2017-08-12,99,73.0,,0.73,72.27
2017-08-13,94,73.0,,0.73,68.62
2017-08-14,91,73.0,,0.73,66.42999999999999
2017-08-15,88,73.0,,0.73,64.24
2017-08-16,83,73.0,,0.73,60.589999999999996
2017-08-17,91,73.0,,0.73,66.42999999999999
2017-08-18,89,73.0,,0.73,64.97
2017-08-19,95,73.0,,0.73,69.35
2017-08-20,96,73.0,,0.73,70.08
2017-08-21,79,73.0,,0.73,57.67
2017-08-22,88,73.0,,0.73,64.24
2017-08-23,88,73.0,,0.73,64.24
2017-08-24,91,73.0,,0.73,66.42999999999999
2017-08-25,87,73.0,,0.73,63.51
2017-08-26,93,73.0,,0.73,67.89
2017-08-27,88,73.0,,0.73,64.24
2017-08-28,89,73.0,,0.73,64.97
2017-08-29,89,73.0,,0.73,64.97
2017-08-30,89,73.0,,0.73,64.97
2017-08-31,89,73.0,,0.73,64.97
2017-09-01,83,70.0,False,0.7,58.099999999999994
2017-09-02,90,70.0,,0.7,62.99999999999999
2017-09-03,94,70.0,,0.7,65.8
2017-09-04,96,70.0,,0.7,67.19999999999999
2017-09-05,86,70.0,,0.7,60.199999999999996
2017-09-06,79,70.0,,0.7,55.3
2017-09-07,80,70.0,,0.7,56.0
2017-09-08,74,70.0,,0.7,51.8
2017-09-09,79,70.0,,0.7,55.3
2017-09-10,78,70.0,,0.7,54.599999999999994
2017-09-11,74,70.0,,0.7,51.8
2017-09-12,80,70.0,,0.7,56.0
2017-09-13,83,70.0,,0.7,58.099999999999994
2017-09-14,85,70.0,,0.7,59.49999999999999
2017-09-15,88,70.0,,0.7,61.599999999999994
2017-09-16,97,70.0,,0.7,67.89999999999999
2017-09-17,89,70.0,,0.7,62.3
2017-09-18,85,70.0,,0.7,59.49999999999999
2017-09-19,81,70.0,,0.7,56.699999999999996
2017-09-20,82,70.0,,0.7,57.4
2017-09-21,84,70.0,,0.7,58.8
2017-09-22,88,70.0,,0.7,61.599999999999994
2017-09-23,100,70.0,,0.7,70.0
2017-09-24,96,70.0,,0.7,67.19999999999999
2017-09-25,90,70.0,,0.7,62.99999999999999
2017-09-26,88,70.0,,0.7,61.599999999999994
2017-09-27,85,70.0,,0.7,59.49999999999999
2017-09-28,84,70.0,,0.7,58.8
2017-09-29,82,70.0,,0.7,57.4
2017-09-30,93,70.0,,0.7,65.1
2017-10-01,89,75.0,False,0.75,66.75
2017-10-02,89,75.0,,0.75,66.75
2017-10-03,91,75.0,,0.75,68.25
2017-10-04,84,75.0,,0.75,63.0
2017-10-05,81,75.0,,0.75,60.75
2017-10-06,83,75.0,,0.75,62.25
2017-10-07,91,75.0,,0.75,68.25
2017-10-08,93,75.0,,0.75,69.75
2017-10-09,89,75.0,,0.75,66.75
2017-10-10,89,75.0,,0.75,66.75
2017-10-11,85,75.0,,0.75,63.75
2017-10-12,89,75.0,,0.75,66.75
2017-10-13,89,75.0,,0.75,66.75
2017-10-14,100,75.0,,0.75,75.0
2017-10-15,93,75.0,,0.75,69.75
2017-10-16,90,75.0,,0.75,67.5
2017-10-17,92,75.0,,0.75,69.0
2017-10-18,87,75.0,,0.75,65.25
2017-10-19,93,75.0,,0.75,69.75
2017-10-20,90,75.0,,0.75,67.5
2017-10-21,99,75.0,,0.75,74.25
2017-10-22,95,75.0,,0.75,71.25
2017-10-23,96,75.0,,0.75,72.0
2017-10-24,95,75.0,,0.75,71.25
2017-10-25,90,75.0,,0.75,67.5
2017-10-26,89,75.0,,0.75,66.75
2017-10-27,88,75.0,,0.75,66.0
2017-10-28,92,75.0,,0.75,69.0
2017-10-29,86,75.0,,0.75,64.5
2017-10-30,82,75.0,,0.75,61.5
2017-10-31,78,75.0,,0.75,58.5
2017-11-01,68,76.0,False,0.76,51.68
2017-11-02,71,76.0,,0.76,53.96
2017-11-03,73,76.0,,0.76,55.480000000000004
2017-11-04,79,76.0,,0.76,60.04
2017-11-05,78,76.0,,0.76,59.28
2017-11-06,76,76.0,,0.76,57.76
2017-11-07,73,76.0,,0.76,55.480000000000004
2017-11-08,81,76.0,,0.76,61.56
2017-11-09,74,76.0,,0.76,56.24
2017-11-10,78,76.0,,0.76,59.28
2017-11-11,82,76.0,,0.76,62.32
2017-11-12,88,76.0,,0.76,66.88
2017-11-13,80,76.0,,0.76,60.8
2017-11-14,78,76.0,,0.76,59.28
2017-11-15,79,76.0,,0.76,60.04
2017-11-16,76,76.0,,0.76,57.76
2017-11-17,76,76.0,,0.76,57.76
2017-11-18,89,76.0,,0.76,67.64
2017-11-19,89,76.0,,0.76,67.64
2017-11-20,84,76.0,,0.76,63.84
2017-11-21,85,76.0,,0.76,64.6
2017-11-22,80,76.0,,0.76,60.8
2017-11-23,81,76.0,,0.76,61.56
2017-11-24,95,76.0,,0.76,72.2
2017-11-25,100,76.0,,0.76,76.0
2017-11-26,96,76.0,,0.76,72.96000000000001
2017-11-27,92,76.0,,0.76,69.92
2017-11-28,89,76.0,,0.76,67.64
2017-11-29,85,76.0,,0.76,64.6
2017-11-30,80,76.0,,0.76,60.8
2017-12-01,88,83.0,False,0.83,73.03999999999999
2017-12-02,93,83.0,,0.83,77.19
2017-12-03,91,83.0,,0.83,75.53
2017-12-04,90,83.0,,0.83,74.7
2017-12-05,87,83.0,,0.83,72.21
2017-12-06,88,83.0,,0.83,73.03999999999999
2017-12-07,88,83.0,,0.83,73.03999999999999
2017-12-08,86,83.0,,0.83,71.38
2017-12-09,97,83.0,,0.83,80.50999999999999
2017-12-10,99,83.0,,0.83,82.17
2017-12-11,89,83.0,,0.83,73.86999999999999
2017-12-12,92,83.0,,0.83,76.36
2017-12-13,87,83.0,,0.83,72.21
2017-12-14,90,83.0,,0.83,74.7
2017-12-15,92,83.0,,0.83,76.36
2017-12-16,98,83.0,,0.83,81.33999999999999
2017-12-17,98,83.0,,0.83,81.33999999999999
2017-12-18,95,83.0,,0.83,78.85
2017-12-19,92,83.0,,0.83,76.36
2017-12-20,92,83.0,,0.83,76.36
2017-12-21,89,83.0,,0.83,73.86999999999999
2017-12-22,92,83.0,,0.83,76.36
2017-12-23,94,83.0,,0.83,78.02
2017-12-24,86,83.0,,0.83,71.38
2017-12-25,95,83.0,,0.83,78.85
2017-12-26,100,83.0,,0.83,83.0
2017-12-27,97,83.0,,0.83,80.50999999999999
2017-12-28,92,83.0,,0.83,76.36
2017-12-29,89,83.0,,0.83,73.86999999999999
2017-12-30,94,83.0,,0.83,78.02
2017-12-31,89,83.0,,0.83,73.86999999999999
2018-01-01,79,74.0,False,0.74,58.46
2018-01-02,83,74.0,,0.74,61.42
2018-01-03,85,74.0,,0.74,62.9
