date,FB_unscaled,FB_monthly,isPartial,scale,FB
2016-07-06,67,90.0,,0.9,60.300000000000004
2016-07-07,70,90.0,,0.9,63.0
2016-07-08,73,90.0,,0.9,65.7
2016-07-09,69,90.0,,0.9,62.1
2016-07-10,62,90.0,,0.9,55.800000000000004
2016-07-11,67,90.0,,0.9,60.300000000000004
2016-07-12,68,90.0,,0.9,61.2
2016-07-13,68,90.0,,0.9,61.2
2016-07-14,64,90.0,,0.9,57.6
2016-07-15,65,90.0,,0.9,58.5
2016-07-16,68,90.0,,0.9,61.2
2016-07-17,66,90.0,,0.9,59.4
2016-07-18,73,90.0,,0.9,65.7
2016-07-19,67,90.0,,0.9,60.300000000000004
2016-07-20,75,90.0,,0.9,67.5
2016-07-21,71,90.0,,0.9,63.9
2016-07-22,77,90.0,,0.9,69.3
2016-07-23,66,90.0,,0.9,59.4
2016-07-24,68,90.0,,0.9,61.2
2016-07-25,71,90.0,,0.9,63.9
2016-07-26,78,90.0,,0.9,70.2
2016-07-27,93,90.0,,0.9,83.7
2016-07-28,100,90.0,,0.9,90.0
2016-07-29,85,90.0,,0.9,76.5
2016-07-30,76,90.0,,0.9,68.4
2016-07-31,79,90.0,,0.9,71.10000000000001
2016-08-01,85,100.0,False,1.0,85.0
2016-08-02,85,100.0,,1.0,85.0
2016-08-03,92,100.0,,1.0,92.0
2016-08-04,99,100.0,,1.0,99.0
2016-08-05,98,100.0,,1.0,98.0
2016-08-06,100,100.0,,1.0,100.0
2016-08-07,98,100.0,,1.0,98.0
2016-08-08,96,100.0,,1.0,96.0
2016-08-09,98,100.0,,1.0,98.0
2016-08-10,91,100.0,,1.0,91.0
2016-08-11,88,100.0,,1.0,88.0
2016-08-12,84,100.0,,1.0,84.0
2016-08-13,94,100.0,,1.0,94.0
2016-08-14,98,100.0,,1.0,98.0
2016-08-15,89,100.0,,1.0,89.0
2016-08-16,88,100.0,,1.0,88.0
2016-08-17,90,100.0,,1.0,90.0
2016-08-18,88,100.0,,1.0,88.0
2016-08-19,90,100.0,,1.0,90.0
2016-08-20,90,100.0,,1.0,90.0
2016-08-21,89,100.0,,1.0,89.0
2016-08-22,90,100.0,,1.0,90.0
2016-08-23,89,100.0,,1.0,89.0
2016-08-24,91,100.0,,1.0,91.0
2016-08-25,83,100.0,,1.0,83.0
2016-08-26,83,100.0,,1.0,83.0
2016-08-27,78,100.0,,1.0,78.0
2016-08-28,79,100.0,,1.0,79.0
2016-08-29,71,100.0,,1.0,71.0
2016-08-30,75,100.0,,1.0,75.0
2016-08-31,70,100.0,,1.0,70.0
2016-09-01,91,89.0,False,0.89,80.99
2016-09-02,97,89.0,,0.89,86.33
2016-09-03,97,89.0,,0.89,86.33
2016-09-04,96,89.0,,0.89,85.44
2016-09-05,92,89.0,,0.89,81.88
2016-09-06,92,89.0,,0.89,81.88
2016-09-07,88,89.0,,0.89,78.32000000000001
2016-09-08,87,89.0,,0.89,77.43
2016-09-09,88,89.0,,0.89,78.32000000000001
2016-09-10,98,89.0,,0.89,87.22
2016-09-11,90,89.0,,0.89,80.1
2016-09-12,87,89.0,,0.89,77.43
2016-09-13,91,89.0,,0.89,80.99
2016-09-14,90,89.0,,0.89,80.1
2016-09-15,92,89.0,,0.89,81.88
2016-09-16,90,89.0,,0.89,80.1
2016-09-17,100,89.0,,0.89,89.0
2016-09-18,93,89.0,,0.89,82.77
2016-09-19,94,89.0,,0.89,83.66
2016-09-20,86,89.0,,0.89,76.54
2016-09-21,86,89.0,,0.89,76.54
2016-09-22,87,89.0,,0.89,77.43
2016-09-23,90,89.0,,0.89,80.1
2016-09-24,89,89.0,,0.89,79.21000000000001
2016-09-25,87,89.0,,0.89,77.43
2016-09-26,86,89.0,,0.89,76.54
2016-09-27,91,89.0,,0.89,80.99
2016-09-28,87,89.0,,0.89,77.43
2016-09-29,85,89.0,,0.89,75.65
2016-09-30,91,89.0,,0.89,80.99
2016-10-01,80,96.0,False,0.96,76.8
2016-10-02,76,96.0,,0.96,72.96
2016-10-03,74,96.0,,0.96,71.03999999999999
2016-10-04,75,96.0,,0.96,72.0
2016-10-05,77,96.0,,0.96,73.92
2016-10-06,78,96.0,,0.96,74.88
2016-10-07,80,96.0,,0.96,76.8
2016-10-08,77,96.0,,0.96,73.92
2016-10-09,76,96.0,,0.96,72.96
2016-10-10,75,96.0,,0.96,72.0
2016-10-11,81,96.0,,0.96,77.75999999999999
2016-10-12,80,96.0,,0.96,76.8
2016-10-13,84,96.0,,0.96,80.64
2016-10-14,84,96.0,,0.96,80.64
2016-10-15,86,96.0,,0.96,82.56
2016-10-16,84,96.0,,0.96,80.64
2016-10-17,84,96.0,,0.96,80.64
2016-10-18,87,96.0,,0.96,83.52
2016-10-19,92,96.0,,0.96,88.32
2016-10-20,87,96.0,,0.96,83.52
2016-10-21,90,96.0,,0.96,86.39999999999999
2016-10-22,95,96.0,,0.96,91.2
2016-10-23,88,96.0,,0.96,84.47999999999999
2016-10-24,89,96.0,,0.96,85.44
2016-10-25,89,96.0,,0.96,85.44
2016-10-26,91,96.0,,0.96,87.36
2016-10-27,95,96.0,,0.96,91.2
2016-10-28,97,96.0,,0.96,93.11999999999999
2016-10-29,100,96.0,,0.96,96.0
2016-10-30,93,96.0,,0.96,89.28
2016-10-31,96,96.0,,0.96,92.16
2016-11-01,86,99.0,False,0.99,85.14
2016-11-02,100,99.0,,0.99,99.0
2016-11-03,97,99.0,,0.99,96.03
2016-11-04,80,99.0,,0.99,79.2
2016-11-05,79,99.0,,0.99,78.21
2016-11-06,78,99.0,,0.99,77.22
2016-11-07,75,99.0,,0.99,74.25
2016-11-08,76,99.0,,0.99,75.24
2016-11-09,74,99.0,,0.99,73.26
2016-11-10,85,99.0,,0.99,84.15
2016-11-11,84,99.0,,0.99,83.16
2016-11-12,81,99.0,,0.99,80.19
2016-11-13,79,99.0,,0.99,78.21
2016-11-14,78,99.0,,0.99,77.22
2016-11-15,80,99.0,,0.99,79.2
2016-11-16,77,99.0,,0.99,76.23
2016-11-17,77,99.0,,0.99,76.23
2016-11-18,76,99.0,,0.99,75.24
2016-11-19,75,99.0,,0.99,74.25
2016-11-20,74,99.0,,0.99,73.26
2016-11-21,74,99.0,,0.99,73.26
2016-11-22,81,99.0,,0.99,80.19
2016-11-23,77,99.0,,0.99,76.23
2016-11-24,74,99.0,,0.99,73.26
2016-11-25,73,99.0,,0.99,72.27
2016-11-26,76,99.0,,0.99,75.24
2016-11-27,78,99.0,,0.99,77.22
2016-11-28,67,99.0,,0.99,66.33
2016-11-29,72,99.0,,0.99,71.28
2016-11-30,71,99.0,,0.99,70.29
2016-12-01,92,94.0,False,0.94,86.47999999999999
2016-12-02,89,94.0,,0.94,83.66
2016-12-03,95,94.0,,0.94,89.3
2016-12-04,95,94.0,,0.94,89.3
2016-12-05,87,94.0,,0.94,81.78
2016-12-06,92,94.0,,0.94,86.47999999999999
2016-12-07,95,94.0,,0.94,89.3
2016-12-08,95,94.0,,0.94,89.3
2016-12-09,100,94.0,,0.94,94.0
2016-12-10,100,94.0,,0.94,94.0
2016-12-11,92,94.0,,0.94,86.47999999999999
2016-12-12,98,94.0,,0.94,92.11999999999999
2016-12-13,92,94.0,,0.94,86.47999999999999
2016-12-14,87,94.0,,0.94,81.78
2016-12-15,87,94.0,,0.94,81.78
2016-12-16,85,94.0,,0.94,79.89999999999999
2016-12-17,83,94.0,,0.94,78.02
2016-12-18,80,94.0,,0.94,75.19999999999999
2016-12-19,85,94.0,,0.94,79.89999999999999
2016-12-20,83,94.0,,0.94,78.02
2016-12-21,87,94.0,,0.94,81.78
2016-12-22,87,94.0,,0.94,81.78
2016-12-23,89,94.0,,0.94,83.66
2016-12-24,89,94.0,,0.94,83.66
2016-12-25,93,94.0,,0.94,87.42
2016-12-26,84,94.0,,0.94,78.96
2016-12-27,82,94.0,,0.94,77.08
2016-12-28,86,94.0,,0.94,80.83999999999999
2016-12-29,88,94.0,,0.94,82.72
2016-12-30,88,94.0,,0.94,82.72
2016-12-31,87,94.0,,0.94,81.78
2017-01-01,97,93.0,False,0.93,90.21000000000001
2017-01-02,88,93.0,,0.93,81.84
2017-01-03,88,93.0,,0.93,81.84
2017-01-04,95,93.0,,0.93,88.35000000000001
2017-01-05,96,93.0,,0.93,89.28
2017-01-06,96,93.0,,0.93,89.28
2017-01-07,98,93.0,,0.93,91.14
2017-01-08,91,93.0,,0.93,84.63000000000001
2017-01-09,96,93.0,,0.93,89.28
2017-01-10,99,93.0,,0.93,92.07000000000001
2017-01-11,89,93.0,,0.93,82.77000000000001
2017-01-12,91,93.0,,0.93,84.63000000000001
2017-01-13,91,93.0,,0.93,84.63000000000001
2017-01-14,94,93.0,,0.93,87.42
2017-01-15,87,93.0,,0.93,80.91000000000001
2017-01-16,89,93.0,,0.93,82.77000000000001
2017-01-17,91,93.0,,0.93,84.63000000000001
2017-01-18,90,93.0,,0.93,83.7
2017-01-19,89,93.0,,0.93,82.77000000000001
2017-01-20,91,93.0,,0.93,84.63000000000001
2017-01-21,95,93.0,,0.93,88.35000000000001
2017-01-22,91,93.0,,0.93,84.63000000000001
2017-01-23,87,93.0,,0.93,80.91000000000001
2017-01-24,96,93.0,,0.93,89.28
2017-01-25,99,93.0,,0.93,92.07000000000001
2017-01-26,99,93.0,,0.93,92.07000000000001
2017-01-27,100,93.0,,0.93,93.0
2017-01-28,96,93.0,,0.93,89.28
2017-01-29,93,93.0,,0.93,86.49000000000001
2017-01-30,94,93.0,,0.93,87.42
2017-01-31,97,93.0,,0.93,90.21000000000001
2017-02-01,100,91.0,False,0.91,91.0
2017-02-02,99,91.0,,0.91,90.09
2017-02-03,83,91.0,,0.91,75.53
2017-02-04,79,91.0,,0.91,71.89
2017-02-05,75,91.0,,0.91,68.25
2017-02-06,76,91.0,,0.91,69.16
2017-02-07,80,91.0,,0.91,72.8
2017-02-08,84,91.0,,0.91,76.44
2017-02-09,83,91.0,,0.91,75.53
2017-02-10,78,91.0,,0.91,70.98
2017-02-11,82,91.0,,0.91,74.62
2017-02-12,77,91.0,,0.91,70.07000000000001
2017-02-13,75,91.0,,0.91,68.25
2017-02-14,82,91.0,,0.91,74.62
2017-02-15,81,91.0,,0.91,73.71000000000001
2017-02-16,84,91.0,,0.91,76.44
2017-02-17,81,91.0,,0.91,73.71000000000001
2017-02-18,77,91.0,,0.91,70.07000000000001
2017-02-19,78,91.0,,0.91,70.98
2017-02-20,74,91.0,,0.91,67.34
2017-02-21,77,91.0,,0.91,70.07000000000001
2017-02-22,77,91.0,,0.91,70.07000000000001
2017-02-23,76,91.0,,0.91,69.16
2017-02-24,75,91.0,,0.91,68.25
2017-02-25,76,91.0,,0.91,69.16
2017-02-26,69,91.0,,0.91,62.79
2017-02-27,74,91.0,,0.91,67.34
2017-02-28,74,91.0,,0.91,67.34
2017-03-01,95,88.0,False,0.88,83.6
2017-03-02,100,88.0,,0.88,88.0
2017-03-03,91,88.0,,0.88,80.08
2017-03-04,93,88.0,,0.88,81.84
2017-03-05,87,88.0,,0.88,76.56
2017-03-06,90,88.0,,0.88,79.2
2017-03-07,93,88.0,,0.88,81.84
2017-03-08,92,88.0,,0.88,80.96
2017-03-09,95,88.0,,0.88,83.6
2017-03-10,93,88.0,,0.88,81.84
2017-03-11,93,88.0,,0.88,81.84
2017-03-12,84,88.0,,0.88,73.92
2017-03-13,91,88.0,,0.88,80.08
2017-03-14,95,88.0,,0.88,83.6
2017-03-15,100,88.0,,0.88,88.0
2017-03-16,92,88.0,,0.88,80.96
2017-03-17,93,88.0,,0.88,81.84
2017-03-18,92,88.0,,0.88,80.96
2017-03-19,94,88.0,,0.88,82.72
2017-03-20,94,88.0,,0.88,82.72
2017-03-21,94,88.0,,0.88,82.72
2017-03-22,98,88.0,,0.88,86.24
2017-03-23,93,88.0,,0.88,81.84
2017-03-24,94,88.0,,0.88,82.72
2017-03-25,93,88.0,,0.88,81.84
2017-03-26,94,88.0,,0.88,82.72
2017-03-27,94,88.0,,0.88,82.72
2017-03-28,93,88.0,,0.88,81.84
2017-03-29,96,88.0,,0.88,84.48
2017-03-30,98,88.0,,0.88,86.24
2017-03-31,87,88.0,,0.88,76.56
2017-04-01,79,88.0,False,0.88,69.52
2017-04-02,74,88.0,,0.88,65.12
2017-04-03,70,88.0,,0.88,61.6
2017-04-04,75,88.0,,0.88,66.0
2017-04-05,70,88.0,,0.88,61.6
2017-04-06,72,88.0,,0.88,63.36
2017-04-07,72,88.0,,0.88,63.36
2017-04-08,77,88.0,,0.88,67.76
2017-04-09,68,88.0,,0.88,59.84
2017-04-10,72,88.0,,0.88,63.36
2017-04-11,74,88.0,,0.88,65.12
2017-04-12,70,88.0,,0.88,61.6
2017-04-13,74,88.0,,0.88,65.12
2017-04-14,72,88.0,,0.88,63.36
2017-04-15,71,88.0,,0.88,62.48
2017-04-16,86,88.0,,0.88,75.68
2017-04-17,100,88.0,,0.88,88.0
2017-04-18,93,88.0,,0.88,81.84
2017-04-19,83,88.0,,0.88,73.04
2017-04-20,76,88.0,,0.88,66.88
2017-04-21,78,88.0,,0.88,68.64
2017-04-22,70,88.0,,0.88,61.6
2017-04-23,76,88.0,,0.88,66.88
2017-04-24,75,88.0,,0.88,66.0
2017-04-25,79,88.0,,0.88,69.52
2017-04-26,74,88.0,,0.88,65.12
2017-04-27,78,88.0,,0.88,68.64
2017-04-28,82,88.0,,0.88,72.16
2017-04-29,75,88.0,,0.88,66.0
2017-04-30,73,88.0,,0.88,64.24
2017-05-01,83,87.0,False,0.87,72.21
2017-05-02,83,87.0,,0.87,72.21
2017-05-03,100,87.0,,0.87,87.0
2017-05-04,94,87.0,,0.87,81.78
2017-05-05,81,87.0,,0.87,70.47
2017-05-06,74,87.0,,0.87,64.38
2017-05-07,77,87.0,,0.87,66.99
2017-05-08,76,87.0,,0.87,66.12
2017-05-09,77,87.0,,0.87,66.99
2017-05-10,77,87.0,,0.87,66.99
2017-05-11,75,87.0,,0.87,65.25
2017-05-12,79,87.0,,0.87,68.73
2017-05-13,78,87.0,,0.87,67.86
2017-05-14,77,87.0,,0.87,66.99
2017-05-15,79,87.0,,0.87,68.73
2017-05-16,77,87.0,,0.87,66.99
2017-05-17,80,87.0,,0.87,69.6
2017-05-18,80,87.0,,0.87,69.6
2017-05-19,77,87.0,,0.87,66.99
2017-05-20,74,87.0,,0.87,64.38
2017-05-21,74,87.0,,0.87,64.38
2017-05-22,80,87.0,,0.87,69.6
2017-05-23,76,87.0,,0.87,66.12
2017-05-24,76,87.0,,0.87,66.12
2017-05-25,77,87.0,,0.87,66.99
2017-05-26,78,87.0,,0.87,67.86
2017-05-27,73,87.0,,0.87,63.51
2017-05-28,78,87.0,,0.87,67.86
2017-05-29,73,87.0,,0.87,63.51
2017-05-30,73,87.0,,0.87,63.51
2017-05-31,76,87.0,,0.87,66.12
2017-06-01,98,80.0,False,0.8,78.4
2017-06-02,91,80.0,,0.8,72.8
2017-06-03,89,80.0,,0.8,71.2
2017-06-04,89,80.0,,0.8,71.2
2017-06-05,92,80.0,,0.8,73.60000000000001
2017-06-06,97,80.0,,0.8,77.60000000000001
2017-06-07,91,80.0,,0.8,72.8
2017-06-08,87,80.0,,0.8,69.60000000000001
2017-06-09,96,80.0,,0.8,76.80000000000001
2017-06-10,90,80.0,,0.8,72.0
2017-06-11,94,80.0,,0.8,75.2
2017-06-12,100,80.0,,0.8,80.0
2017-06-13,91,80.0,,0.8,72.8
2017-06-14,96,80.0,,0.8,76.80000000000001
2017-06-15,95,80.0,,0.8,76.0
2017-06-16,92,80.0,,0.8,73.60000000000001
2017-06-17,89,80.0,,0.8,71.2
2017-06-18,92,80.0,,0.8,73.60000000000001
2017-06-19,94,80.0,,0.8,75.2
2017-06-20,92,80.0,,0.8,73.60000000000001
2017-06-21,91,80.0,,0.8,72.8
2017-06-22,91,80.0,,0.8,72.8
2017-06-23,87,80.0,,0.8,69.60000000000001
2017-06-24,88,80.0,,0.8,70.4
2017-06-25,86,80.0,,0.8,68.8
2017-06-26,94,80.0,,0.8,75.2
2017-06-27,94,80.0,,0.8,75.2
2017-06-28,97,80.0,,0.8,77.60000000000001
2017-06-29,95,80.0,,0.8,76.0
2017-06-30,91,80.0,,0.8,72.8
2017-07-01,68,78.0,False,0.78,53.04
2017-07-02,67,78.0,,0.78,52.260000000000005
2017-07-03,72,78.0,,0.78,56.160000000000004
2017-07-04,72,78.0,,0.78,56.160000000000004
2017-07-05,71,78.0,,0.78,55.38
2017-07-06,73,78.0,,0.78,56.940000000000005
2017-07-07,72,78.0,,0.78,56.160000000000004
2017-07-08,68,78.0,,0.78,53.04
2017-07-09,64,78.0,,0.78,49.92
2017-07-10,75,78.0,,0.78,58.5
2017-07-11,70,78.0,,0.78,54.6
2017-07-12,73,78.0,,0.78,56.940000000000005
2017-07-13,72,78.0,,0.78,56.160000000000004
2017-07-14,68,78.0,,0.78,53.04
2017-07-15,70,78.0,,0.78,54.6
2017-07-16,70,78.0,,0.78,54.6
2017-07-17,70,78.0,,0.78,54.6
2017-07-18,69,78.0,,0.78,53.82
2017-07-19,73,78.0,,0.78,56.940000000000005
2017-07-20,70,78.0,,0.78,54.6
2017-07-21,72,78.0,,0.78,56.160000000000004
2017-07-22,65,78.0,,0.78,50.7
2017-07-23,72,78.0,,0.78,56.160000000000004
2017-07-24,78,78.0,,0.78,60.84
2017-07-25,76,78.0,,0.78,59.28
2017-07-26,100,78.0,,0.78,78.0
2017-07-27,100,78.0,,0.78,78.0
2017-07-28,79,78.0,,0.78,61.620000000000005
2017-07-29,71,78.0,,0.78,55.38
2017-07-30,72,78.0,,0.78,56.160000000000004
2017-07-31,77,78.0,,0.78,60.06
2017-08-01,98,80.0,False,0.8,78.4
2017-08-02,95,80.0,,0.8,76.0
2017-08-03,89,80.0,,0.8,71.2
2017-08-04,96,80.0,,0.8,76.80000000000001
2017-08-05,88,80.0,,0.8,70.4
2017-08-06,85,80.0,,0.8,68.0
2017-08-07,92,80.0,,0.8,73.60000000000001
2017-08-08,91,80.0,,0.8,72.8
2017-08-09,95,80.0,,0.8,76.0
2017-08-10,100,80.0,,0.8,80.0
2017-08-11,98,80.0,,0.8,78.4
2017-08-12,93,80.0,,0.8,74.4
2017-08-13,94,80.0,,0.8,75.2
2017-08-14,98,80.0,,0.8,78.4
2017-08-15,100,80.0,,0.8,80.0
2017-08-16,98,80.0,,0.8,78.4
2017-08-17,92,80.0,,0.8,73.60000000000001
2017-08-18,100,80.0,,0.8,80.0
2017-08-19,91,80.0,,0.8,72.8
2017-08-20,94,80.0,,0.8,75.2
2017-08-21,92,80.0,,0.8,73.60000000000001
2017-08-22,96,80.0,,0.8,76.80000000000001
2017-08-23,96,80.0,,0.8,76.80000000000001
2017-08-24,94,80.0,,0.8,75.2
2017-08-25,89,80.0,,0.8,71.2
2017-08-26,100,80.0,,0.8,80.0
2017-08-27,88,80.0,,0.8,70.4
2017-08-28,98,80.0,,0.8,78.4
2017-08-29,90,80.0,,0.8,72.0
2017-08-30,96,80.0,,0.8,76.80000000000001
2017-08-31,93,80.0,,0.8,74.4
2017-09-01,88,75.0,False,0.75,66.0
2017-09-02,80,75.0,,0.75,60.0
2017-09-03,84,75.0,,0.75,63.0
2017-09-04,79,75.0,,0.75,59.25
2017-09-05,80,75.0,,0.75,60.0
2017-09-06,80,75.0,,0.75,60.0
2017-09-07,81,75.0,,0.75,60.75
2017-09-08,75,75.0,,0.75,56.25
2017-09-09,83,75.0,,0.75,62.25
2017-09-10,83,75.0,,0.75,62.25
2017-09-11,87,75.0,,0.75,65.25
2017-09-12,81,75.0,,0.75,60.75
2017-09-13,79,75.0,,0.75,59.25
2017-09-14,84,75.0,,0.75,63.0
2017-09-15,81,75.0,,0.75,60.75
2017-09-16,87,75.0,,0.75,65.25
2017-09-17,82,75.0,,0.75,61.5
2017-09-18,83,75.0,,0.75,62.25
2017-09-19,83,75.0,,0.75,62.25
2017-09-20,83,75.0,,0.75,62.25
2017-09-21,89,75.0,,0.75,66.75
2017-09-22,87,75.0,,0.75,65.25
2017-09-23,100,75.0,,0.75,75.0
2017-09-24,81,75.0,,0.75,60.75
2017-09-25,84,75.0,,0.75,63.0
2017-09-26,89,75.0,,0.75,66.75
2017-09-27,83,75.0,,0.75,62.25
2017-09-28,88,75.0,,0.75,66.0
2017-09-29,84,75.0,,0.75,63.0
2017-09-30,84,75.0,,0.75,63.0
2017-10-01,97,75.0,False,0.75,72.75
2017-10-02,92,75.0,,0.75,69.0
2017-10-03,92,75.0,,0.75,69.0
2017-10-04,90,75.0,,0.75,67.5
2017-10-05,88,75.0,,0.75,66.0
2017-10-06,96,75.0,,0.75,72.0
2017-10-07,89,75.0,,0.75,66.75
2017-10-08,89,75.0,,0.75,66.75
2017-10-09,94,75.0,,0.75,70.5
2017-10-10,90,75.0,,0.75,67.5
2017-10-11,98,75.0,,0.75,73.5
2017-10-12,87,75.0,,0.75,65.25
2017-10-13,86,75.0,,0.75,64.5
2017-10-14,88,75.0,,0.75,66.0
2017-10-15,87,75.0,,0.75,65.25
2017-10-16,95,75.0,,0.75,71.25
2017-10-17,96,75.0,,0.75,72.0
2017-10-18,94,75.0,,0.75,70.5
2017-10-19,98,75.0,,0.75,73.5
2017-10-20,82,75.0,,0.75,61.5
2017-10-21,90,75.0,,0.75,67.5
2017-10-22,86,75.0,,0.75,64.5
2017-10-23,82,75.0,,0.75,61.5
2017-10-24,86,75.0,,0.75,64.5
2017-10-25,87,75.0,,0.75,65.25
2017-10-26,90,75.0,,0.75,67.5
2017-10-27,96,75.0,,0.75,72.0
2017-10-28,96,75.0,,0.75,72.0
2017-10-29,89,75.0,,0.75,66.75
2017-10-30,95,75.0,,0.75,71.25
2017-10-31,100,75.0,,0.75,75.0
2017-11-01,100,69.0,False,0.69,69.0
2017-11-02,87,69.0,,0.69,60.029999999999994
2017-11-03,76,69.0,,0.69,52.44
2017-11-04,71,69.0,,0.69,48.989999999999995
2017-11-05,63,69.0,,0.69,43.47
2017-11-06,71,69.0,,0.69,48.989999999999995
2017-11-07,71,69.0,,0.69,48.989999999999995
2017-11-08,69,69.0,,0.69,47.61
2017-11-09,67,69.0,,0.69,46.23
2017-11-10,66,69.0,,0.69,45.54
2017-11-11,67,69.0,,0.69,46.23
2017-11-12,65,69.0,,0.69,44.849999999999994
2017-11-13,65,69.0,,0.69,44.849999999999994
2017-11-14,63,69.0,,0.69,43.47
2017-11-15,62,69.0,,0.69,42.779999999999994
2017-11-16,59,69.0,,0.69,40.709999999999994
2017-11-17,62,69.0,,0.69,42.779999999999994
2017-11-18,64,69.0,,0.69,44.16
2017-11-19,59,69.0,,0.69,40.709999999999994
2017-11-20,60,69.0,,0.69,41.4
2017-11-21,64,69.0,,0.69,44.16
2017-11-22,61,69.0,,0.69,42.089999999999996
2017-11-23,58,69.0,,0.69,40.019999999999996
2017-11-24,58,69.0,,0.69,40.019999999999996
2017-11-25,64,69.0,,0.69,44.16
2017-11-26,57,69.0,,0.69,39.33
2017-11-27,59,69.0,,0.69,40.709999999999994
2017-11-28,62,69.0,,0.69,42.779999999999994
2017-11-29,64,69.0,,0.69,44.16
2017-11-30,67,69.0,,0.69,46.23
2017-12-01,97,62.0,False,0.62,60.14
2017-12-02,95,62.0,,0.62,58.9
2017-12-03,98,62.0,,0.62,60.76
2017-12-04,99,62.0,,0.62,61.38
2017-12-05,100,62.0,,0.62,62.0
2017-12-06,93,62.0,,0.62,57.66
2017-12-07,100,62.0,,0.62,62.0
2017-12-08,97,62.0,,0.62,60.14
2017-12-09,94,62.0,,0.62,58.28
2017-12-10,88,62.0,,0.62,54.56
2017-12-11,98,62.0,,0.62,60.76
2017-12-12,96,62.0,,0.62,59.519999999999996
2017-12-13,91,62.0,,0.62,56.42
2017-12-14,91,62.0,,0.62,56.42
2017-12-15,92,62.0,,0.62,57.04
2017-12-16,89,62.0,,0.62,55.18
2017-12-17,87,62.0,,0.62,53.94
2017-12-18,93,62.0,,0.62,57.66
2017-12-19,95,62.0,,0.62,58.9
2017-12-20,95,62.0,,0.62,58.9
2017-12-21,99,62.0,,0.62,61.38
2017-12-22,94,62.0,,0.62,58.28
2017-12-23,87,62.0,,0.62,53.94
2017-12-24,86,62.0,,0.62,53.32
2017-12-25,96,62.0,,0.62,59.519999999999996
2017-12-26,94,62.0,,0.62,58.28
2017-12-27,94,62.0,,0.62,58.28
2017-12-28,97,62.0,,0.62,60.14
2017-12-29,90,62.0,,0.62,55.8
2017-12-30,87,62.0,,0.62,53.94
2017-12-31,90,62.0,,0.62,55.8
2018-01-01,77,66.0,False,0.66,50.82
2018-01-02,77,66.0,,0.66,50.82
2018-01-03,77,66.0,,0.66,50.82
