date,AR_unscaled,AR_monthly,isPartial,scale,AR
2016-07-13,93,92.0,,0.92,85.56
2016-07-14,88,92.0,,0.92,80.96000000000001
2016-07-15,90,92.0,,0.92,82.8
2016-07-16,94,92.0,,0.92,86.48
2016-07-17,88,92.0,,0.92,80.96000000000001
2016-07-18,92,92.0,,0.92,84.64
2016-07-19,87,92.0,,0.92,80.04
2016-07-20,90,92.0,,0.92,82.8
2016-07-21,90,92.0,,0.92,82.8
2016-07-22,90,92.0,,0.92,82.8
2016-07-23,90,92.0,,0.92,82.8
2016-07-24,82,92.0,,0.92,75.44
2016-07-25,89,92.0,,0.92,81.88000000000001
2016-07-26,88,92.0,,0.92,80.96000000000001
2016-07-27,85,92.0,,0.92,78.2
2016-07-28,81,92.0,,0.92,74.52000000000001
2016-07-29,84,92.0,,0.92,77.28
2016-07-30,88,92.0,,0.92,80.96000000000001
2016-07-31,79,92.0,,0.92,72.68
2016-08-01,99,82.0,False,0.82,81.17999999999999
2016-08-02,93,82.0,,0.82,76.25999999999999
2016-08-03,95,82.0,,0.82,77.89999999999999
2016-08-04,98,82.0,,0.82,80.36
2016-08-05,100,82.0,,0.82,82.0
2016-08-06,96,82.0,,0.82,78.72
2016-08-07,89,82.0,,0.82,72.97999999999999
2016-08-08,95,82.0,,0.82,77.89999999999999
2016-08-09,91,82.0,,0.82,74.61999999999999
2016-08-10,98,82.0,,0.82,80.36
2016-08-11,97,82.0,,0.82,79.53999999999999
2016-08-12,99,82.0,,0.82,81.17999999999999
2016-08-13,93,82.0,,0.82,76.25999999999999
2016-08-14,87,82.0,,0.82,71.33999999999999
2016-08-15,95,82.0,,0.82,77.89999999999999
2016-08-16,95,82.0,,0.82,77.89999999999999
2016-08-17,95,82.0,,0.82,77.89999999999999
2016-08-18,95,82.0,,0.82,77.89999999999999
2016-08-19,99,82.0,,0.82,81.17999999999999
2016-08-20,98,82.0,,0.82,80.36
2016-08-21,87,82.0,,0.82,71.33999999999999
2016-08-22,94,82.0,,0.82,77.08
2016-08-23,96,82.0,,0.82,78.72
2016-08-24,95,82.0,,0.82,77.89999999999999
2016-08-25,92,82.0,,0.82,75.44
2016-08-26,96,82.0,,0.82,78.72
2016-08-27,96,82.0,,0.82,78.72
2016-08-28,90,82.0,,0.82,73.8
2016-08-29,96,82.0,,0.82,78.72
2016-08-30,95,82.0,,0.82,77.89999999999999
2016-08-31,95,82.0,,0.82,77.89999999999999
2016-09-01,96,81.0,False,0.81,77.76
2016-09-02,99,81.0,,0.81,80.19000000000001
2016-09-03,92,81.0,,0.81,74.52000000000001
2016-09-04,90,81.0,,0.81,72.9
2016-09-05,90,81.0,,0.81,72.9
2016-09-06,98,81.0,,0.81,79.38000000000001
2016-09-07,90,81.0,,0.81,72.9
2016-09-08,93,81.0,,0.81,75.33
2016-09-09,99,81.0,,0.81,80.19000000000001
2016-09-10,91,81.0,,0.81,73.71000000000001
2016-09-11,79,81.0,,0.81,63.99
2016-09-12,94,81.0,,0.81,76.14
2016-09-13,92,81.0,,0.81,74.52000000000001
2016-09-14,95,81.0,,0.81,76.95
2016-09-15,94,81.0,,0.81,76.14
2016-09-16,98,81.0,,0.81,79.38000000000001
2016-09-17,92,81.0,,0.81,74.52000000000001
2016-09-18,81,81.0,,0.81,65.61
2016-09-19,94,81.0,,0.81,76.14
2016-09-20,93,81.0,,0.81,75.33
2016-09-21,95,81.0,,0.81,76.95
2016-09-22,96,81.0,,0.81,77.76
2016-09-23,100,81.0,,0.81,81.0
2016-09-24,91,81.0,,0.81,73.71000000000001
2016-09-25,81,81.0,,0.81,65.61
2016-09-26,95,81.0,,0.81,76.95
2016-09-27,92,81.0,,0.81,74.52000000000001
2016-09-28,93,81.0,,0.81,75.33
2016-09-29,92,81.0,,0.81,74.52000000000001
2016-09-30,98,81.0,,0.81,79.38000000000001
2016-10-01,90,82.0,False,0.82,73.8
2016-10-02,81,82.0,,0.82,66.42
2016-10-03,91,82.0,,0.82,74.61999999999999
2016-10-04,93,82.0,,0.82,76.25999999999999
2016-10-05,95,82.0,,0.82,77.89999999999999
2016-10-06,92,82.0,,0.82,75.44
2016-10-07,91,82.0,,0.82,74.61999999999999
2016-10-08,90,82.0,,0.82,73.8
2016-10-09,79,82.0,,0.82,64.78
2016-10-10,93,82.0,,0.82,76.25999999999999
2016-10-11,90,82.0,,0.82,73.8
2016-10-12,95,82.0,,0.82,77.89999999999999
2016-10-13,94,82.0,,0.82,77.08
2016-10-14,99,82.0,,0.82,81.17999999999999
2016-10-15,93,82.0,,0.82,76.25999999999999
2016-10-16,87,82.0,,0.82,71.33999999999999
2016-10-17,99,82.0,,0.82,81.17999999999999
2016-10-18,96,82.0,,0.82,78.72
2016-10-19,97,82.0,,0.82,79.53999999999999
2016-10-20,96,82.0,,0.82,78.72
2016-10-21,95,82.0,,0.82,77.89999999999999
2016-10-22,97,82.0,,0.82,79.53999999999999
2016-10-23,89,82.0,,0.82,72.97999999999999
2016-10-24,98,82.0,,0.82,80.36
2016-10-25,97,82.0,,0.82,79.53999999999999
2016-10-26,100,82.0,,0.82,82.0
2016-10-27,99,82.0,,0.82,81.17999999999999
2016-10-28,94,82.0,,0.82,77.08
2016-10-29,93,82.0,,0.82,76.25999999999999
2016-10-30,84,82.0,,0.82,68.88
2016-10-31,93,82.0,,0.82,76.25999999999999
2016-11-01,96,79.0,False,0.79,75.84
2016-11-02,97,79.0,,0.79,76.63000000000001
2016-11-03,95,79.0,,0.79,75.05
2016-11-04,100,79.0,,0.79,79.0
2016-11-05,96,79.0,,0.79,75.84
2016-11-06,89,79.0,,0.79,70.31
2016-11-07,99,79.0,,0.79,78.21000000000001
2016-11-08,95,79.0,,0.79,75.05
2016-11-09,74,79.0,,0.79,58.46
2016-11-10,94,79.0,,0.79,74.26
2016-11-11,96,79.0,,0.79,75.84
2016-11-12,94,79.0,,0.79,74.26
2016-11-13,86,79.0,,0.79,67.94
2016-11-14,94,79.0,,0.79,74.26
2016-11-15,96,79.0,,0.79,75.84
2016-11-16,94,79.0,,0.79,74.26
2016-11-17,96,79.0,,0.79,75.84
2016-11-18,99,79.0,,0.79,78.21000000000001
2016-11-19,95,79.0,,0.79,75.05
2016-11-20,87,79.0,,0.79,68.73
2016-11-21,91,79.0,,0.79,71.89
2016-11-22,93,79.0,,0.79,73.47
2016-11-23,94,79.0,,0.79,74.26
2016-11-24,81,79.0,,0.79,63.99
2016-11-25,92,79.0,,0.79,72.68
2016-11-26,91,79.0,,0.79,71.89
2016-11-27,88,79.0,,0.79,69.52000000000001
2016-11-28,98,79.0,,0.79,77.42
2016-11-29,95,79.0,,0.79,75.05
2016-11-30,94,79.0,,0.79,74.26
2016-12-01,93,82.0,False,0.82,76.25999999999999
2016-12-02,97,82.0,,0.82,79.53999999999999
2016-12-03,96,82.0,,0.82,78.72
2016-12-04,85,82.0,,0.82,69.7
2016-12-05,93,82.0,,0.82,76.25999999999999
2016-12-06,90,82.0,,0.82,73.8
2016-12-07,96,82.0,,0.82,78.72
2016-12-08,93,82.0,,0.82,76.25999999999999
2016-12-09,92,82.0,,0.82,75.44
2016-12-10,91,82.0,,0.82,74.61999999999999
2016-12-11,86,82.0,,0.82,70.52
2016-12-12,95,82.0,,0.82,77.89999999999999
2016-12-13,96,82.0,,0.82,78.72
2016-12-14,94,82.0,,0.82,77.08
2016-12-15,96,82.0,,0.82,78.72
2016-12-16,95,82.0,,0.82,77.89999999999999
2016-12-17,97,82.0,,0.82,79.53999999999999
2016-12-18,91,82.0,,0.82,74.61999999999999
2016-12-19,95,82.0,,0.82,77.89999999999999
2016-12-20,98,82.0,,0.82,80.36
2016-12-21,97,82.0,,0.82,79.53999999999999
2016-12-22,97,82.0,,0.82,79.53999999999999
2016-12-23,95,82.0,,0.82,77.89999999999999
2016-12-24,92,82.0,,0.82,75.44
2016-12-25,91,82.0,,0.82,74.61999999999999
2016-12-26,98,82.0,,0.82,80.36
2016-12-27,96,82.0,,0.82,78.72
2016-12-28,100,82.0,,0.82,82.0
2016-12-29,95,82.0,,0.82,77.89999999999999
2016-12-30,98,82.0,,0.82,80.36
2016-12-31,89,82.0,,0.82,72.97999999999999
2017-01-01,86,81.0,False,0.81,69.66000000000001
2017-01-02,92,81.0,,0.81,74.52000000000001
2017-01-03,95,81.0,,0.81,76.95
2017-01-04,93,81.0,,0.81,75.33
2017-01-05,100,81.0,,0.81,81.0
2017-01-06,93,81.0,,0.81,75.33
2017-01-07,92,81.0,,0.81,74.52000000000001
2017-01-08,83,81.0,,0.81,67.23
2017-01-09,93,81.0,,0.81,75.33
2017-01-10,91,81.0,,0.81,73.71000000000001
2017-01-11,95,81.0,,0.81,76.95
2017-01-12,91,81.0,,0.81,73.71000000000001
2017-01-13,94,81.0,,0.81,76.14
2017-01-14,93,81.0,,0.81,75.33
2017-01-15,82,81.0,,0.81,66.42
2017-01-16,87,81.0,,0.81,70.47
2017-01-17,92,81.0,,0.81,74.52000000000001
2017-01-18,92,81.0,,0.81,74.52000000000001
2017-01-19,92,81.0,,0.81,74.52000000000001
2017-01-20,88,81.0,,0.81,71.28
2017-01-21,89,81.0,,0.81,72.09
2017-01-22,82,81.0,,0.81,66.42
2017-01-23,89,81.0,,0.81,72.09
2017-01-24,90,81.0,,0.81,72.9
2017-01-25,90,81.0,,0.81,72.9
2017-01-26,92,81.0,,0.81,74.52000000000001
2017-01-27,91,81.0,,0.81,73.71000000000001
2017-01-28,91,81.0,,0.81,73.71000000000001
2017-01-29,80,81.0,,0.81,64.80000000000001
2017-01-30,88,81.0,,0.81,71.28
2017-01-31,94,81.0,,0.81,76.14
2017-02-01,91,83.0,False,0.83,75.53
2017-02-02,90,83.0,,0.83,74.7
2017-02-03,92,83.0,,0.83,76.36
2017-02-04,89,83.0,,0.83,73.86999999999999
2017-02-05,80,83.0,,0.83,66.39999999999999
2017-02-06,86,83.0,,0.83,71.38
2017-02-07,93,83.0,,0.83,77.19
2017-02-08,94,83.0,,0.83,78.02
2017-02-09,93,83.0,,0.83,77.19
2017-02-10,95,83.0,,0.83,78.85
2017-02-11,92,83.0,,0.83,76.36
2017-02-12,83,83.0,,0.83,68.89
2017-02-13,96,83.0,,0.83,79.67999999999999
2017-02-14,89,83.0,,0.83,73.86999999999999
2017-02-15,92,83.0,,0.83,76.36
2017-02-16,92,83.0,,0.83,76.36
2017-02-17,93,83.0,,0.83,77.19
2017-02-18,91,83.0,,0.83,75.53
2017-02-19,89,83.0,,0.83,73.86999999999999
2017-02-20,91,83.0,,0.83,75.53
2017-02-21,96,83.0,,0.83,79.67999999999999
2017-02-22,93,83.0,,0.83,77.19
2017-02-23,96,83.0,,0.83,79.67999999999999
2017-02-24,98,83.0,,0.83,81.33999999999999
2017-02-25,91,83.0,,0.83,75.53
2017-02-26,85,83.0,,0.83,70.55
2017-02-27,97,83.0,,0.83,80.50999999999999
2017-02-28,100,83.0,,0.83,83.0
2017-03-01,97,88.0,False,0.88,85.36
2017-03-02,94,88.0,,0.88,82.72
2017-03-03,94,88.0,,0.88,82.72
2017-03-04,90,88.0,,0.88,79.2
2017-03-05,88,88.0,,0.88,77.44
2017-03-06,95,88.0,,0.88,83.6
2017-03-07,100,88.0,,0.88,88.0
2017-03-08,90,88.0,,0.88,79.2
2017-03-09,91,88.0,,0.88,80.08
2017-03-10,98,88.0,,0.88,86.24
2017-03-11,94,88.0,,0.88,82.72
2017-03-12,88,88.0,,0.88,77.44
2017-03-13,98,88.0,,0.88,86.24
2017-03-14,91,88.0,,0.88,80.08
2017-03-15,89,88.0,,0.88,78.32000000000001
2017-03-16,93,88.0,,0.88,81.84
2017-03-17,94,88.0,,0.88,82.72
2017-03-18,86,88.0,,0.88,75.68
2017-03-19,81,88.0,,0.88,71.28
2017-03-20,89,88.0,,0.88,78.32000000000001
2017-03-21,86,88.0,,0.88,75.68
2017-03-22,89,88.0,,0.88,78.32000000000001
2017-03-23,87,88.0,,0.88,76.56
2017-03-24,91,88.0,,0.88,80.08
2017-03-25,89,88.0,,0.88,78.32000000000001
2017-03-26,82,88.0,,0.88,72.16
2017-03-27,97,88.0,,0.88,85.36
2017-03-28,89,88.0,,0.88,78.32000000000001
2017-03-29,90,88.0,,0.88,79.2
2017-03-30,95,88.0,,0.88,83.6
2017-03-31,91,88.0,,0.88,80.08
2017-04-01,95,79.0,False,0.79,75.05
2017-04-02,91,79.0,,0.79,71.89
2017-04-03,95,79.0,,0.79,75.05
2017-04-04,95,79.0,,0.79,75.05
2017-04-05,98,79.0,,0.79,77.42
2017-04-06,93,79.0,,0.79,73.47
2017-04-07,97,79.0,,0.79,76.63000000000001
2017-04-08,91,79.0,,0.79,71.89
2017-04-09,88,79.0,,0.79,69.52000000000001
2017-04-10,100,79.0,,0.79,79.0
2017-04-11,95,79.0,,0.79,75.05
2017-04-12,95,79.0,,0.79,75.05
2017-04-13,93,79.0,,0.79,73.47
2017-04-14,92,79.0,,0.79,72.68
2017-04-15,91,79.0,,0.79,71.89
2017-04-16,85,79.0,,0.79,67.15
2017-04-17,95,79.0,,0.79,75.05
2017-04-18,93,79.0,,0.79,73.47
2017-04-19,95,79.0,,0.79,75.05
2017-04-20,94,79.0,,0.79,74.26
2017-04-21,99,79.0,,0.79,78.21000000000001
2017-04-22,95,79.0,,0.79,75.05
2017-04-23,87,79.0,,0.79,68.73
2017-04-24,99,79.0,,0.79,78.21000000000001
2017-04-25,94,79.0,,0.79,74.26
2017-04-26,96,79.0,,0.79,75.84
2017-04-27,97,79.0,,0.79,76.63000000000001
2017-04-28,95,79.0,,0.79,75.05
2017-04-29,98,79.0,,0.79,77.42
2017-04-30,98,79.0,,0.79,77.42
2017-05-01,92,81.0,False,0.81,74.52000000000001
2017-05-02,91,81.0,,0.81,73.71000000000001
2017-05-03,97,81.0,,0.81,78.57000000000001
2017-05-04,100,81.0,,0.81,81.0
2017-05-05,98,81.0,,0.81,79.38000000000001
2017-05-06,91,81.0,,0.81,73.71000000000001
2017-05-07,84,81.0,,0.81,68.04
2017-05-08,95,81.0,,0.81,76.95
2017-05-09,94,81.0,,0.81,76.14
2017-05-10,89,81.0,,0.81,72.09
2017-05-11,96,81.0,,0.81,77.76
2017-05-12,95,81.0,,0.81,76.95
2017-05-13,90,81.0,,0.81,72.9
2017-05-14,81,81.0,,0.81,65.61
2017-05-15,92,81.0,,0.81,74.52000000000001
2017-05-16,93,81.0,,0.81,75.33
2017-05-17,91,81.0,,0.81,73.71000000000001
2017-05-18,92,81.0,,0.81,74.52000000000001
2017-05-19,94,81.0,,0.81,76.14
2017-05-20,98,81.0,,0.81,79.38000000000001
2017-05-21,84,81.0,,0.81,68.04
2017-05-22,96,81.0,,0.81,77.76
2017-05-23,91,81.0,,0.81,73.71000000000001
2017-05-24,92,81.0,,0.81,74.52000000000001
2017-05-25,93,81.0,,0.81,75.33
2017-05-26,97,81.0,,0.81,78.57000000000001
2017-05-27,96,81.0,,0.81,77.76
2017-05-28,92,81.0,,0.81,74.52000000000001
2017-05-29,87,81.0,,0.81,70.47
2017-05-30,94,81.0,,0.81,76.14
2017-05-31,93,81.0,,0.81,75.33
2017-06-01,95,80.0,False,0.8,76.0
2017-06-02,96,80.0,,0.8,76.80000000000001
2017-06-03,95,80.0,,0.8,76.0
2017-06-04,87,80.0,,0.8,69.60000000000001
2017-06-05,94,80.0,,0.8,75.2
2017-06-06,95,80.0,,0.8,76.0
2017-06-07,88,80.0,,0.8,70.4
2017-06-08,90,80.0,,0.8,72.0
2017-06-09,94,80.0,,0.8,75.2
2017-06-10,92,80.0,,0.8,73.60000000000001
2017-06-11,83,80.0,,0.8,66.4
2017-06-12,93,80.0,,0.8,74.4
2017-06-13,89,80.0,,0.8,71.2
2017-06-14,90,80.0,,0.8,72.0
2017-06-15,91,80.0,,0.8,72.8
2017-06-16,96,80.0,,0.8,76.80000000000001
2017-06-17,97,80.0,,0.8,77.60000000000001
2017-06-18,88,80.0,,0.8,70.4
2017-06-19,97,80.0,,0.8,77.60000000000001
2017-06-20,91,80.0,,0.8,72.8
2017-06-21,89,80.0,,0.8,71.2
2017-06-22,92,80.0,,0.8,73.60000000000001
2017-06-23,96,80.0,,0.8,76.80000000000001
2017-06-24,91,80.0,,0.8,72.8
2017-06-25,88,80.0,,0.8,70.4
2017-06-26,96,80.0,,0.8,76.80000000000001
2017-06-27,92,80.0,,0.8,73.60000000000001
2017-06-28,91,80.0,,0.8,72.8
2017-06-29,93,80.0,,0.8,74.4
2017-06-30,100,80.0,,0.8,80.0
2017-07-01,99,79.0,False,0.79,78.21000000000001
2017-07-02,94,79.0,,0.79,74.26
2017-07-03,100,79.0,,0.79,79.0
2017-07-04,90,79.0,,0.79,71.10000000000001
2017-07-05,98,79.0,,0.79,77.42
2017-07-06,91,79.0,,0.79,71.89
2017-07-07,95,79.0,,0.79,75.05
2017-07-08,91,79.0,,0.79,71.89
2017-07-09,87,79.0,,0.79,68.73
2017-07-10,93,79.0,,0.79,73.47
2017-07-11,91,79.0,,0.79,71.89
2017-07-12,91,79.0,,0.79,71.89
2017-07-13,90,79.0,,0.79,71.10000000000001
2017-07-14,93,79.0,,0.79,73.47
2017-07-15,91,79.0,,0.79,71.89
2017-07-16,86,79.0,,0.79,67.94
2017-07-17,97,79.0,,0.79,76.63000000000001
2017-07-18,93,79.0,,0.79,73.47
2017-07-19,91,79.0,,0.79,71.89
2017-07-20,90,79.0,,0.79,71.10000000000001
2017-07-21,92,79.0,,0.79,72.68
2017-07-22,91,79.0,,0.79,71.89
2017-07-23,83,79.0,,0.79,65.57000000000001
2017-07-24,91,79.0,,0.79,71.89
2017-07-25,94,79.0,,0.79,74.26
2017-07-26,90,79.0,,0.79,71.10000000000001
2017-07-27,89,79.0,,0.79,70.31
2017-07-28,94,79.0,,0.79,74.26
2017-07-29,92,79.0,,0.79,72.68
2017-07-30,84,79.0,,0.79,66.36
2017-07-31,93,79.0,,0.79,73.47
2017-08-01,95,80.0,False,0.8,76.0
2017-08-02,95,80.0,,0.8,76.0
2017-08-03,92,80.0,,0.8,73.60000000000001
2017-08-04,97,80.0,,0.8,77.60000000000001
2017-08-05,97,80.0,,0.8,77.60000000000001
2017-08-06,92,80.0,,0.8,73.60000000000001
2017-08-07,98,80.0,,0.8,78.4
2017-08-08,92,80.0,,0.8,73.60000000000001
2017-08-09,92,80.0,,0.8,73.60000000000001
2017-08-10,95,80.0,,0.8,76.0
2017-08-11,100,80.0,,0.8,80.0
2017-08-12,97,80.0,,0.8,77.60000000000001
2017-08-13,90,80.0,,0.8,72.0
2017-08-14,99,80.0,,0.8,79.2
2017-08-15,98,80.0,,0.8,78.4
2017-08-16,95,80.0,,0.8,76.0
2017-08-17,94,80.0,,0.8,75.2
2017-08-18,99,80.0,,0.8,79.2
2017-08-19,97,80.0,,0.8,77.60000000000001
2017-08-20,89,80.0,,0.8,71.2
2017-08-21,100,80.0,,0.8,80.0
2017-08-22,93,80.0,,0.8,74.4
2017-08-23,94,80.0,,0.8,75.2
2017-08-24,93,80.0,,0.8,74.4
2017-08-25,95,80.0,,0.8,76.0
2017-08-26,89,80.0,,0.8,71.2
2017-08-27,76,80.0,,0.8,60.800000000000004
2017-08-28,97,80.0,,0.8,77.60000000000001
2017-08-29,92,80.0,,0.8,73.60000000000001
2017-08-30,97,80.0,,0.8,77.60000000000001
2017-08-31,93,80.0,,0.8,74.4
2017-09-01,98,76.0,False,0.76,74.48
2017-09-02,92,76.0,,0.76,69.92
2017-09-03,82,76.0,,0.76,62.32
2017-09-04,86,76.0,,0.76,65.36
2017-09-05,92,76.0,,0.76,69.92
2017-09-06,89,76.0,,0.76,67.64
2017-09-07,88,76.0,,0.76,66.88
2017-09-08,88,76.0,,0.76,66.88
2017-09-09,82,76.0,,0.76,62.32
2017-09-10,76,76.0,,0.76,57.76
2017-09-11,90,76.0,,0.76,68.4
2017-09-12,95,76.0,,0.76,72.2
2017-09-13,94,76.0,,0.76,71.44
2017-09-14,93,76.0,,0.76,70.68
2017-09-15,98,76.0,,0.76,74.48
2017-09-16,88,76.0,,0.76,66.88
2017-09-17,83,76.0,,0.76,63.08
2017-09-18,96,76.0,,0.76,72.96000000000001
2017-09-19,98,76.0,,0.76,74.48
2017-09-20,95,76.0,,0.76,72.2
2017-09-21,96,76.0,,0.76,72.96000000000001
2017-09-22,100,76.0,,0.76,76.0
2017-09-23,95,76.0,,0.76,72.2
2017-09-24,83,76.0,,0.76,63.08
2017-09-25,100,76.0,,0.76,76.0
2017-09-26,100,76.0,,0.76,76.0
2017-09-27,99,76.0,,0.76,75.24
2017-09-28,92,76.0,,0.76,69.92
2017-09-29,97,76.0,,0.76,73.72
2017-09-30,95,76.0,,0.76,72.2
2017-10-01,58,86.0,False,0.86,49.88
2017-10-02,74,86.0,,0.86,63.64
2017-10-03,87,86.0,,0.86,74.82
2017-10-04,100,86.0,,0.86,86.0
2017-10-05,95,86.0,,0.86,81.7
2017-10-06,83,86.0,,0.86,71.38
2017-10-07,73,86.0,,0.86,62.78
2017-10-08,66,86.0,,0.86,56.76
2017-10-09,74,86.0,,0.86,63.64
2017-10-10,71,86.0,,0.86,61.06
2017-10-11,69,86.0,,0.86,59.339999999999996
2017-10-12,70,86.0,,0.86,60.199999999999996
2017-10-13,73,86.0,,0.86,62.78
2017-10-14,67,86.0,,0.86,57.62
2017-10-15,63,86.0,,0.86,54.18
2017-10-16,70,86.0,,0.86,60.199999999999996
2017-10-17,70,86.0,,0.86,60.199999999999996
2017-10-18,68,86.0,,0.86,58.48
2017-10-19,67,86.0,,0.86,57.62
2017-10-20,70,86.0,,0.86,60.199999999999996
2017-10-21,70,86.0,,0.86,60.199999999999996
2017-10-22,62,86.0,,0.86,53.32
2017-10-23,68,86.0,,0.86,58.48
2017-10-24,69,86.0,,0.86,59.339999999999996
2017-10-25,68,86.0,,0.86,58.48
2017-10-26,68,86.0,,0.86,58.48
2017-10-27,69,86.0,,0.86,59.339999999999996
2017-10-28,66,86.0,,0.86,56.76
2017-10-29,59,86.0,,0.86,50.74
2017-10-30,68,86.0,,0.86,58.48
2017-10-31,67,86.0,,0.86,57.62
2017-11-01,78,79.0,False,0.79,61.620000000000005
2017-11-02,80,79.0,,0.79,63.2
2017-11-03,85,79.0,,0.79,67.15
2017-11-04,81,79.0,,0.79,63.99
2017-11-05,72,79.0,,0.79,56.88
2017-11-06,100,79.0,,0.79,79.0
2017-11-07,89,79.0,,0.79,70.31
2017-11-08,81,79.0,,0.79,63.99
2017-11-09,86,79.0,,0.79,67.94
2017-11-10,85,79.0,,0.79,67.15
2017-11-11,82,79.0,,0.79,64.78
2017-11-12,73,79.0,,0.79,57.67
2017-11-13,82,79.0,,0.79,64.78
2017-11-14,80,79.0,,0.79,63.2
2017-11-15,81,79.0,,0.79,63.99
2017-11-16,81,79.0,,0.79,63.99
2017-11-17,81,79.0,,0.79,63.99
2017-11-18,80,79.0,,0.79,63.2
2017-11-19,71,79.0,,0.79,56.09
2017-11-20,78,79.0,,0.79,61.620000000000005
2017-11-21,76,79.0,,0.79,60.040000000000006
2017-11-22,76,79.0,,0.79,60.040000000000006
2017-11-23,68,79.0,,0.79,53.72
2017-11-24,79,79.0,,0.79,62.410000000000004
2017-11-25,79,79.0,,0.79,62.410000000000004
2017-11-26,69,79.0,,0.79,54.510000000000005
2017-11-27,79,79.0,,0.79,62.410000000000004
2017-11-28,78,79.0,,0.79,61.620000000000005
2017-11-29,78,79.0,,0.79,61.620000000000005
2017-11-30,80,79.0,,0.79,63.2
2017-12-01,89,78.0,False,0.78,69.42
2017-12-02,88,78.0,,0.78,68.64
2017-12-03,81,78.0,,0.78,63.18
2017-12-04,92,78.0,,0.78,71.76
2017-12-05,91,78.0,,0.78,70.98
2017-12-06,90,78.0,,0.78,70.2
2017-12-07,90,78.0,,0.78,70.2
2017-12-08,91,78.0,,0.78,70.98
2017-12-09,91,78.0,,0.78,70.98
2017-12-10,81,78.0,,0.78,63.18
2017-12-11,92,78.0,,0.78,71.76
2017-12-12,94,78.0,,0.78,73.32000000000001
2017-12-13,90,78.0,,0.78,70.2
2017-12-14,92,78.0,,0.78,71.76
2017-12-15,98,78.0,,0.78,76.44
2017-12-16,94,78.0,,0.78,73.32000000000001
2017-12-17,88,78.0,,0.78,68.64
2017-12-18,95,78.0,,0.78,74.10000000000001
