date,LL_unscaled,LL_monthly,isPartial,scale,LL
2016-08-12,93,53.0,,0.53,49.29
2016-08-13,86,53.0,,0.53,45.580000000000005
2016-08-14,86,53.0,,0.53,45.580000000000005
2016-08-15,75,53.0,,0.53,39.75
2016-08-16,85,53.0,,0.53,45.050000000000004
2016-08-17,78,53.0,,0.53,41.34
2016-08-18,82,53.0,,0.53,43.46
2016-08-19,84,53.0,,0.53,44.52
2016-08-20,85,53.0,,0.53,45.050000000000004
2016-08-21,100,53.0,,0.53,53.0
2016-08-22,87,53.0,,0.53,46.11
2016-08-23,79,53.0,,0.53,41.870000000000005
2016-08-24,83,53.0,,0.53,43.99
2016-08-25,77,53.0,,0.53,40.81
2016-08-26,80,53.0,,0.53,42.400000000000006
2016-08-27,90,53.0,,0.53,47.7
2016-08-28,100,53.0,,0.53,53.0
2016-08-29,75,53.0,,0.53,39.75
2016-08-30,69,53.0,,0.53,36.57
2016-08-31,80,53.0,,0.53,42.400000000000006
2016-09-01,76,50.0,False,0.5,38.0
2016-09-02,76,50.0,,0.5,38.0
2016-09-03,87,50.0,,0.5,43.5
2016-09-04,84,50.0,,0.5,42.0
2016-09-05,92,50.0,,0.5,46.0
2016-09-06,75,50.0,,0.5,37.5
2016-09-07,75,50.0,,0.5,37.5
2016-09-08,61,50.0,,0.5,30.5
2016-09-09,67,50.0,,0.5,33.5
2016-09-10,81,50.0,,0.5,40.5
2016-09-11,79,50.0,,0.5,39.5
2016-09-12,79,50.0,,0.5,39.5
2016-09-13,75,50.0,,0.5,37.5
2016-09-14,76,50.0,,0.5,38.0
2016-09-15,71,50.0,,0.5,35.5
2016-09-16,70,50.0,,0.5,35.0
2016-09-17,75,50.0,,0.5,37.5
2016-09-18,83,50.0,,0.5,41.5
2016-09-19,75,50.0,,0.5,37.5
2016-09-20,78,50.0,,0.5,39.0
2016-09-21,70,50.0,,0.5,35.0
2016-09-22,77,50.0,,0.5,38.5
2016-09-23,78,50.0,,0.5,39.0
2016-09-24,90,50.0,,0.5,45.0
2016-09-25,100,50.0,,0.5,50.0
2016-09-26,85,50.0,,0.5,42.5
2016-09-27,80,50.0,,0.5,40.0
2016-09-28,75,50.0,,0.5,37.5
2016-09-29,83,50.0,,0.5,41.5
2016-09-30,100,50.0,,0.5,50.0
2016-10-01,95,60.0,False,0.6,57.0
2016-10-02,90,60.0,,0.6,54.0
2016-10-03,73,60.0,,0.6,43.8
2016-10-04,76,60.0,,0.6,45.6
2016-10-05,74,60.0,,0.6,44.4
2016-10-06,72,60.0,,0.6,43.199999999999996
2016-10-07,79,60.0,,0.6,47.4
2016-10-08,98,60.0,,0.6,58.8
2016-10-09,100,60.0,,0.6,60.0
2016-10-10,84,60.0,,0.6,50.4
2016-10-11,81,60.0,,0.6,48.6
2016-10-12,72,60.0,,0.6,43.199999999999996
2016-10-13,85,60.0,,0.6,51.0
2016-10-14,75,60.0,,0.6,45.0
2016-10-15,81,60.0,,0.6,48.6
2016-10-16,88,60.0,,0.6,52.8
2016-10-17,75,60.0,,0.6,45.0
2016-10-18,73,60.0,,0.6,43.8
2016-10-19,65,60.0,,0.6,39.0
2016-10-20,74,60.0,,0.6,44.4
2016-10-21,72,60.0,,0.6,43.199999999999996
2016-10-22,92,60.0,,0.6,55.199999999999996
2016-10-23,95,60.0,,0.6,57.0
2016-10-24,79,60.0,,0.6,47.4
2016-10-25,79,60.0,,0.6,47.4
2016-10-26,78,60.0,,0.6,46.8
2016-10-27,83,60.0,,0.6,49.8
2016-10-28,86,60.0,,0.6,51.6
2016-10-29,89,60.0,,0.6,53.4
2016-10-30,96,60.0,,0.6,57.599999999999994
2016-10-31,74,60.0,,0.6,44.4
2016-11-01,41,82.0,False,0.82,33.62
2016-11-02,37,82.0,,0.82,30.34
2016-11-03,36,82.0,,0.82,29.52
2016-11-04,39,82.0,,0.82,31.979999999999997
2016-11-05,45,82.0,,0.82,36.9
2016-11-06,53,82.0,,0.82,43.46
2016-11-07,45,82.0,,0.82,36.9
2016-11-08,34,82.0,,0.82,27.88
2016-11-09,30,82.0,,0.82,24.599999999999998
2016-11-10,47,82.0,,0.82,38.54
2016-11-11,46,82.0,,0.82,37.72
2016-11-12,56,82.0,,0.82,45.919999999999995
2016-11-13,67,82.0,,0.82,54.94
2016-11-14,55,82.0,,0.82,45.099999999999994
2016-11-15,56,82.0,,0.82,45.919999999999995
2016-11-16,52,82.0,,0.82,42.64
2016-11-17,46,82.0,,0.82,37.72
2016-11-18,47,82.0,,0.82,38.54
2016-11-19,64,82.0,,0.82,52.48
2016-11-20,71,82.0,,0.82,58.22
2016-11-21,57,82.0,,0.82,46.739999999999995
2016-11-22,62,82.0,,0.82,50.839999999999996
2016-11-23,60,82.0,,0.82,49.199999999999996
2016-11-24,62,82.0,,0.82,50.839999999999996
2016-11-25,94,82.0,,0.82,77.08
2016-11-26,95,82.0,,0.82,77.89999999999999
2016-11-27,89,82.0,,0.82,72.97999999999999
2016-11-28,100,82.0,,0.82,82.0
2016-11-29,85,82.0,,0.82,69.7
2016-11-30,64,82.0,,0.82,52.48
2016-12-01,64,93.0,False,0.93,59.52
2016-12-02,58,93.0,,0.93,53.940000000000005
2016-12-03,71,93.0,,0.93,66.03
2016-12-04,84,93.0,,0.93,78.12
2016-12-05,72,93.0,,0.93,66.96000000000001
2016-12-06,70,93.0,,0.93,65.10000000000001
2016-12-07,71,93.0,,0.93,66.03
2016-12-08,78,93.0,,0.93,72.54
2016-12-09,76,93.0,,0.93,70.68
2016-12-10,91,93.0,,0.93,84.63000000000001
2016-12-11,100,93.0,,0.93,93.0
2016-12-12,85,93.0,,0.93,79.05
2016-12-13,74,93.0,,0.93,68.82000000000001
2016-12-14,76,93.0,,0.93,70.68
2016-12-15,74,93.0,,0.93,68.82000000000001
2016-12-16,70,93.0,,0.93,65.10000000000001
2016-12-17,94,93.0,,0.93,87.42
2016-12-18,93,93.0,,0.93,86.49000000000001
2016-12-19,80,93.0,,0.93,74.4
2016-12-20,80,93.0,,0.93,74.4
2016-12-21,62,93.0,,0.93,57.660000000000004
2016-12-22,58,93.0,,0.93,53.940000000000005
2016-12-23,56,93.0,,0.93,52.080000000000005
2016-12-24,54,93.0,,0.93,50.220000000000006
2016-12-25,69,93.0,,0.93,64.17
2016-12-26,81,93.0,,0.93,75.33
2016-12-27,62,93.0,,0.93,57.660000000000004
2016-12-28,53,93.0,,0.93,49.29
2016-12-29,50,93.0,,0.93,46.5
2016-12-30,51,93.0,,0.93,47.43
2016-12-31,55,93.0,,0.93,51.150000000000006
2017-01-01,40,70.0,False,0.7,28.0
2017-01-02,38,70.0,,0.7,26.599999999999998
2017-01-03,30,70.0,,0.7,21.0
2017-01-04,30,70.0,,0.7,21.0
2017-01-05,35,70.0,,0.7,24.5
2017-01-06,34,70.0,,0.7,23.799999999999997
2017-01-07,47,70.0,,0.7,32.9
2017-01-08,47,70.0,,0.7,32.9
2017-01-09,39,70.0,,0.7,27.299999999999997
2017-01-10,34,70.0,,0.7,23.799999999999997
2017-01-11,31,70.0,,0.7,21.7
2017-01-12,85,70.0,,0.7,59.49999999999999
2017-01-13,100,70.0,,0.7,70.0
2017-01-14,63,70.0,,0.7,44.099999999999994
2017-01-15,46,70.0,,0.7,32.199999999999996
2017-01-16,40,70.0,,0.7,28.0
2017-01-17,34,70.0,,0.7,23.799999999999997
2017-01-18,30,70.0,,0.7,21.0
2017-01-19,26,70.0,,0.7,18.2
2017-01-20,26,70.0,,0.7,18.2
2017-01-21,26,70.0,,0.7,18.2
2017-01-22,30,70.0,,0.7,21.0
2017-01-23,25,70.0,,0.7,17.5
2017-01-24,26,70.0,,0.7,18.2
2017-01-25,25,70.0,,0.7,17.5
2017-01-26,26,70.0,,0.7,18.2
2017-01-27,27,70.0,,0.7,18.9
2017-01-28,29,70.0,,0.7,20.299999999999997
2017-01-29,31,70.0,,0.7,21.7
2017-01-30,30,70.0,,0.7,21.0
2017-01-31,24,70.0,,0.7,16.799999999999997
2017-02-01,78,48.0,False,0.48,37.44
2017-02-02,65,48.0,,0.48,31.2
2017-02-03,76,48.0,,0.48,36.48
2017-02-04,80,48.0,,0.48,38.4
2017-02-05,87,48.0,,0.48,41.76
2017-02-06,69,48.0,,0.48,33.12
2017-02-07,79,48.0,,0.48,37.92
2017-02-08,78,48.0,,0.48,37.44
2017-02-09,81,48.0,,0.48,38.879999999999995
2017-02-10,91,48.0,,0.48,43.68
2017-02-11,91,48.0,,0.48,43.68
2017-02-12,100,48.0,,0.48,48.0
2017-02-13,77,48.0,,0.48,36.96
2017-02-14,69,48.0,,0.48,33.12
2017-02-15,77,48.0,,0.48,36.96
2017-02-16,66,48.0,,0.48,31.68
2017-02-17,76,48.0,,0.48,36.48
2017-02-18,80,48.0,,0.48,38.4
2017-02-19,79,48.0,,0.48,37.92
2017-02-20,77,48.0,,0.48,36.96
2017-02-21,74,48.0,,0.48,35.519999999999996
2017-02-22,70,48.0,,0.48,33.6
2017-02-23,66,48.0,,0.48,31.68
2017-02-24,69,48.0,,0.48,33.12
2017-02-25,75,48.0,,0.48,36.0
2017-02-26,71,48.0,,0.48,34.08
2017-02-27,66,48.0,,0.48,31.68
2017-02-28,67,48.0,,0.48,32.16
2017-03-01,95,43.0,False,0.43,40.85
2017-03-02,77,43.0,,0.43,33.11
2017-03-03,71,43.0,,0.43,30.53
2017-03-04,88,43.0,,0.43,37.839999999999996
2017-03-05,100,43.0,,0.43,43.0
2017-03-06,86,43.0,,0.43,36.98
2017-03-07,83,43.0,,0.43,35.69
2017-03-08,88,43.0,,0.43,37.839999999999996
2017-03-09,76,43.0,,0.43,32.68
2017-03-10,76,43.0,,0.43,32.68
2017-03-11,90,43.0,,0.43,38.7
2017-03-12,100,43.0,,0.43,43.0
2017-03-13,86,43.0,,0.43,36.98
2017-03-14,82,43.0,,0.43,35.26
2017-03-15,83,43.0,,0.43,35.69
2017-03-16,77,43.0,,0.43,33.11
2017-03-17,74,43.0,,0.43,31.82
2017-03-18,82,43.0,,0.43,35.26
2017-03-19,96,43.0,,0.43,41.28
2017-03-20,80,43.0,,0.43,34.4
2017-03-21,77,43.0,,0.43,33.11
2017-03-22,73,43.0,,0.43,31.39
2017-03-23,77,43.0,,0.43,33.11
2017-03-24,80,43.0,,0.43,34.4
2017-03-25,91,43.0,,0.43,39.13
2017-03-26,94,43.0,,0.43,40.42
2017-03-27,85,43.0,,0.43,36.55
2017-03-28,70,43.0,,0.43,30.099999999999998
2017-03-29,78,43.0,,0.43,33.54
2017-03-30,67,43.0,,0.43,28.81
2017-03-31,79,43.0,,0.43,33.97
2017-04-01,75,42.0,False,0.42,31.5
2017-04-02,89,42.0,,0.42,37.379999999999995
2017-04-03,71,42.0,,0.42,29.82
2017-04-04,81,42.0,,0.42,34.019999999999996
2017-04-05,80,42.0,,0.42,33.6
2017-04-06,82,42.0,,0.42,34.44
2017-04-07,82,42.0,,0.42,34.44
2017-04-08,85,42.0,,0.42,35.699999999999996
2017-04-09,88,42.0,,0.42,36.96
2017-04-10,79,42.0,,0.42,33.18
2017-04-11,73,42.0,,0.42,30.66
2017-04-12,73,42.0,,0.42,30.66
2017-04-13,70,42.0,,0.42,29.4
2017-04-14,82,42.0,,0.42,34.44
2017-04-15,86,42.0,,0.42,36.12
2017-04-16,85,42.0,,0.42,35.699999999999996
2017-04-17,74,42.0,,0.42,31.08
2017-04-18,76,42.0,,0.42,31.919999999999998
2017-04-19,76,42.0,,0.42,31.919999999999998
2017-04-20,70,42.0,,0.42,29.4
2017-04-21,79,42.0,,0.42,33.18
2017-04-22,88,42.0,,0.42,36.96
2017-04-23,95,42.0,,0.42,39.9
2017-04-24,85,42.0,,0.42,35.699999999999996
2017-04-25,86,42.0,,0.42,36.12
2017-04-26,78,42.0,,0.42,32.76
2017-04-27,75,42.0,,0.42,31.5
2017-04-28,100,42.0,,0.42,42.0
2017-04-29,91,42.0,,0.42,38.22
2017-04-30,98,42.0,,0.42,41.16
2017-05-01,71,45.0,False,0.45,31.95
2017-05-02,74,45.0,,0.45,33.300000000000004
2017-05-03,66,45.0,,0.45,29.7
2017-05-04,72,45.0,,0.45,32.4
2017-05-05,79,45.0,,0.45,35.550000000000004
2017-05-06,81,45.0,,0.45,36.45
2017-05-07,86,45.0,,0.45,38.7
2017-05-08,82,45.0,,0.45,36.9
2017-05-09,70,45.0,,0.45,31.5
2017-05-10,66,45.0,,0.45,29.7
2017-05-11,68,45.0,,0.45,30.6
2017-05-12,78,45.0,,0.45,35.1
2017-05-13,76,45.0,,0.45,34.2
2017-05-14,76,45.0,,0.45,34.2
2017-05-15,79,45.0,,0.45,35.550000000000004
2017-05-16,67,45.0,,0.45,30.150000000000002
2017-05-17,69,45.0,,0.45,31.05
2017-05-18,63,45.0,,0.45,28.35
2017-05-19,68,45.0,,0.45,30.6
2017-05-20,86,45.0,,0.45,38.7
2017-05-21,73,45.0,,0.45,32.85
2017-05-22,71,45.0,,0.45,31.95
2017-05-23,75,45.0,,0.45,33.75
2017-05-24,76,45.0,,0.45,34.2
2017-05-25,77,45.0,,0.45,34.65
2017-05-26,85,45.0,,0.45,38.25
2017-05-27,86,45.0,,0.45,38.7
2017-05-28,79,45.0,,0.45,35.550000000000004
2017-05-29,100,45.0,,0.45,45.0
2017-05-30,79,45.0,,0.45,35.550000000000004
2017-05-31,70,45.0,,0.45,31.5
2017-06-01,85,42.0,False,0.42,35.699999999999996
2017-06-02,74,42.0,,0.42,31.08
2017-06-03,94,42.0,,0.42,39.48
2017-06-04,88,42.0,,0.42,36.96
2017-06-05,75,42.0,,0.42,31.5
2017-06-06,82,42.0,,0.42,34.44
2017-06-07,72,42.0,,0.42,30.24
2017-06-08,65,42.0,,0.42,27.3
2017-06-09,77,42.0,,0.42,32.339999999999996
2017-06-10,81,42.0,,0.42,34.019999999999996
2017-06-11,88,42.0,,0.42,36.96
2017-06-12,100,42.0,,0.42,42.0
2017-06-13,78,42.0,,0.42,32.76
2017-06-14,81,42.0,,0.42,34.019999999999996
2017-06-15,77,42.0,,0.42,32.339999999999996
2017-06-16,83,42.0,,0.42,34.86
2017-06-17,88,42.0,,0.42,36.96
2017-06-18,99,42.0,,0.42,41.58
2017-06-19,89,42.0,,0.42,37.379999999999995
2017-06-20,79,42.0,,0.42,33.18
2017-06-21,79,42.0,,0.42,33.18
2017-06-22,88,42.0,,0.42,36.96
2017-06-23,78,42.0,,0.42,32.76
2017-06-24,87,42.0,,0.42,36.54
2017-06-25,94,42.0,,0.42,39.48
2017-06-26,93,42.0,,0.42,39.059999999999995
2017-06-27,81,42.0,,0.42,34.019999999999996
2017-06-28,84,42.0,,0.42,35.28
2017-06-29,89,42.0,,0.42,37.379999999999995
2017-06-30,81,42.0,,0.42,34.019999999999996
2017-07-01,74,50.0,False,0.5,37.0
2017-07-02,65,50.0,,0.5,32.5
2017-07-03,65,50.0,,0.5,32.5
2017-07-04,69,50.0,,0.5,34.5
2017-07-05,70,50.0,,0.5,35.0
2017-07-06,61,50.0,,0.5,30.5
2017-07-07,69,50.0,,0.5,34.5
2017-07-08,75,50.0,,0.5,37.5
2017-07-09,79,50.0,,0.5,39.5
2017-07-10,85,50.0,,0.5,42.5
2017-07-11,100,50.0,,0.5,50.0
2017-07-12,81,50.0,,0.5,40.5
2017-07-13,78,50.0,,0.5,39.0
2017-07-14,67,50.0,,0.5,33.5
2017-07-15,70,50.0,,0.5,35.0
2017-07-16,78,50.0,,0.5,39.0
2017-07-17,74,50.0,,0.5,37.0
2017-07-18,76,50.0,,0.5,38.0
2017-07-19,68,50.0,,0.5,34.0
2017-07-20,68,50.0,,0.5,34.0
2017-07-21,66,50.0,,0.5,33.0
2017-07-22,62,50.0,,0.5,31.0
2017-07-23,69,50.0,,0.5,34.5
2017-07-24,75,50.0,,0.5,37.5
2017-07-25,69,50.0,,0.5,34.5
2017-07-26,68,50.0,,0.5,34.0
2017-07-27,68,50.0,,0.5,34.0
2017-07-28,65,50.0,,0.5,32.5
2017-07-29,82,50.0,,0.5,41.0
2017-07-30,73,50.0,,0.5,36.5
2017-07-31,70,50.0,,0.5,35.0
2017-08-01,85,52.0,False,0.52,44.2
2017-08-02,90,52.0,,0.52,46.800000000000004
2017-08-03,84,52.0,,0.52,43.68
2017-08-04,80,52.0,,0.52,41.6
2017-08-05,91,52.0,,0.52,47.32
2017-08-06,100,52.0,,0.52,52.0
2017-08-07,100,52.0,,0.52,52.0
2017-08-08,78,52.0,,0.52,40.56
2017-08-09,88,52.0,,0.52,45.760000000000005
2017-08-10,76,52.0,,0.52,39.52
2017-08-11,78,52.0,,0.52,40.56
2017-08-12,98,52.0,,0.52,50.96
2017-08-13,88,52.0,,0.52,45.760000000000005
2017-08-14,73,52.0,,0.52,37.96
2017-08-15,80,52.0,,0.52,41.6
2017-08-16,75,52.0,,0.52,39.0
2017-08-17,82,52.0,,0.52,42.64
2017-08-18,85,52.0,,0.52,44.2
2017-08-19,90,52.0,,0.52,46.800000000000004
2017-08-20,87,52.0,,0.52,45.24
2017-08-21,74,52.0,,0.52,38.480000000000004
2017-08-22,75,52.0,,0.52,39.0
2017-08-23,80,52.0,,0.52,41.6
2017-08-24,72,52.0,,0.52,37.44
2017-08-25,79,52.0,,0.52,41.08
2017-08-26,82,52.0,,0.52,42.64
2017-08-27,88,52.0,,0.52,45.760000000000005
2017-08-28,69,52.0,,0.52,35.88
2017-08-29,78,52.0,,0.52,40.56
2017-08-30,72,52.0,,0.52,37.44
2017-08-31,82,52.0,,0.52,42.64
2017-09-01,77,50.0,False,0.5,38.5
2017-09-02,90,50.0,,0.5,45.0
2017-09-03,100,50.0,,0.5,50.0
2017-09-04,93,50.0,,0.5,46.5
2017-09-05,90,50.0,,0.5,45.0
2017-09-06,74,50.0,,0.5,37.0
2017-09-07,69,50.0,,0.5,34.5
2017-09-08,69,50.0,,0.5,34.5
2017-09-09,77,50.0,,0.5,38.5
2017-09-10,92,50.0,,0.5,46.0
2017-09-11,72,50.0,,0.5,36.0
2017-09-12,68,50.0,,0.5,34.0
2017-09-13,66,50.0,,0.5,33.0
2017-09-14,67,50.0,,0.5,33.5
2017-09-15,69,50.0,,0.5,34.5
2017-09-16,73,50.0,,0.5,36.5
2017-09-17,77,50.0,,0.5,38.5
2017-09-18,75,50.0,,0.5,37.5
2017-09-19,70,50.0,,0.5,35.0
2017-09-20,67,50.0,,0.5,33.5
2017-09-21,58,50.0,,0.5,29.0
2017-09-22,63,50.0,,0.5,31.5
2017-09-23,84,50.0,,0.5,42.0
2017-09-24,68,50.0,,0.5,34.0
2017-09-25,68,50.0,,0.5,34.0
2017-09-26,73,50.0,,0.5,36.5
2017-09-27,69,50.0,,0.5,34.5
2017-09-28,71,50.0,,0.5,35.5
2017-09-29,75,50.0,,0.5,37.5
2017-09-30,98,50.0,,0.5,49.0
2017-10-01,81,60.0,False,0.6,48.6
2017-10-02,76,60.0,,0.6,45.6
2017-10-03,75,60.0,,0.6,45.0
2017-10-04,73,60.0,,0.6,43.8
2017-10-05,81,60.0,,0.6,48.6
2017-10-06,87,60.0,,0.6,52.199999999999996
2017-10-07,90,60.0,,0.6,54.0
2017-10-08,97,60.0,,0.6,58.199999999999996
2017-10-09,94,60.0,,0.6,56.4
2017-10-10,90,60.0,,0.6,54.0
2017-10-11,78,60.0,,0.6,46.8
2017-10-12,71,60.0,,0.6,42.6
2017-10-13,76,60.0,,0.6,45.6
2017-10-14,83,60.0,,0.6,49.8
2017-10-15,86,60.0,,0.6,51.6
2017-10-16,87,60.0,,0.6,52.199999999999996
2017-10-17,88,60.0,,0.6,52.8
2017-10-18,75,60.0,,0.6,45.0
2017-10-19,78,60.0,,0.6,46.8
2017-10-20,75,60.0,,0.6,45.0
2017-10-21,87,60.0,,0.6,52.199999999999996
2017-10-22,90,60.0,,0.6,54.0
2017-10-23,79,60.0,,0.6,47.4
2017-10-24,79,60.0,,0.6,47.4
2017-10-25,78,60.0,,0.6,46.8
2017-10-26,88,60.0,,0.6,52.8
2017-10-27,78,60.0,,0.6,46.8
2017-10-28,92,60.0,,0.6,55.199999999999996
2017-10-29,100,60.0,,0.6,60.0
2017-10-30,89,60.0,,0.6,53.4
2017-10-31,78,60.0,,0.6,46.8
2017-11-01,41,90.0,False,0.9,36.9
2017-11-02,40,90.0,,0.9,36.0
2017-11-03,39,90.0,,0.9,35.1
2017-11-04,50,90.0,,0.9,45.0
2017-11-05,53,90.0,,0.9,47.7
2017-11-06,46,90.0,,0.9,41.4
2017-11-07,46,90.0,,0.9,41.4
2017-11-08,46,90.0,,0.9,41.4
2017-11-09,53,90.0,,0.9,47.7
2017-11-10,67,90.0,,0.9,60.300000000000004
2017-11-11,79,90.0,,0.9,71.10000000000001
2017-11-12,75,90.0,,0.9,67.5
2017-11-13,67,90.0,,0.9,60.300000000000004
2017-11-14,62,90.0,,0.9,55.800000000000004
2017-11-15,54,90.0,,0.9,48.6
2017-11-16,51,90.0,,0.9,45.9
2017-11-17,51,90.0,,0.9,45.9
2017-11-18,56,90.0,,0.9,50.4
2017-11-19,67,90.0,,0.9,60.300000000000004
2017-11-20,52,90.0,,0.9,46.800000000000004
2017-11-21,56,90.0,,0.9,50.4
2017-11-22,57,90.0,,0.9,51.300000000000004
2017-11-23,68,90.0,,0.9,61.2
2017-11-24,100,90.0,,0.9,90.0
2017-11-25,91,90.0,,0.9,81.9
2017-11-26,82,90.0,,0.9,73.8
2017-11-27,91,90.0,,0.9,81.9
2017-11-28,75,90.0,,0.9,67.5
2017-11-29,62,90.0,,0.9,55.800000000000004
2017-11-30,53,90.0,,0.9,47.7
2017-12-01,44,99.0,False,0.99,43.56
2017-12-02,55,99.0,,0.99,54.45
2017-12-03,56,99.0,,0.99,55.44
2017-12-04,55,99.0,,0.99,54.45
2017-12-05,54,99.0,,0.99,53.46
2017-12-06,55,99.0,,0.99,54.45
2017-12-07,51,99.0,,0.99,50.49
2017-12-08,57,99.0,,0.99,56.43
2017-12-09,76,99.0,,0.99,75.24
2017-12-10,84,99.0,,0.99,83.16
2017-12-11,79,99.0,,0.99,78.21
2017-12-12,62,99.0,,0.99,61.38
2017-12-13,54,99.0,,0.99,53.46
2017-12-14,59,99.0,,0.99,58.41
2017-12-15,57,99.0,,0.99,56.43
2017-12-16,65,99.0,,0.99,64.35
2017-12-17,58,99.0,,0.99,57.42
2017-12-18,53,99.0,,0.99,52.47
2017-12-19,44,99.0,,0.99,43.56
2017-12-20,43,99.0,,0.99,42.57
2017-12-21,43,99.0,,0.99,42.57
2017-12-22,40,99.0,,0.99,39.6
2017-12-23,43,99.0,,0.99,42.57
2017-12-24,39,99.0,,0.99,38.61
2017-12-25,56,99.0,,0.99,55.44
2017-12-26,71,99.0,,0.99,70.29
2017-12-27,100,99.0,,0.99,99.0
2017-12-28,54,99.0,,0.99,53.46
2017-12-29,54,99.0,,0.99,53.46
2017-12-30,53,99.0,,0.99,52.47
