date,CRM_unscaled,CRM_monthly,isPartial,scale,CRM
2016-09-10,40,67.0,,0.67,26.8
2016-09-11,30,67.0,,0.67,20.1
2016-09-12,86,67.0,,0.67,57.620000000000005
2016-09-13,93,67.0,,0.67,62.31
2016-09-14,98,67.0,,0.67,65.66000000000001
2016-09-15,89,67.0,,0.67,59.63
2016-09-16,69,67.0,,0.67,46.230000000000004
2016-09-17,35,67.0,,0.67,23.450000000000003
2016-09-18,42,67.0,,0.67,28.14
2016-09-19,93,67.0,,0.67,62.31
2016-09-20,92,67.0,,0.67,61.64
2016-09-21,78,67.0,,0.67,52.260000000000005
2016-09-22,79,67.0,,0.67,52.93
2016-09-23,85,67.0,,0.67,56.95
2016-09-24,45,67.0,,0.67,30.150000000000002
2016-09-25,45,67.0,,0.67,30.150000000000002
2016-09-26,100,67.0,,0.67,67.0
2016-09-27,87,67.0,,0.67,58.290000000000006
2016-09-28,93,67.0,,0.67,62.31
2016-09-29,79,67.0,,0.67,52.93
2016-09-30,76,67.0,,0.67,50.92
2016-10-01,28,68.0,False,0.68,19.040000000000003
2016-10-02,28,68.0,,0.68,19.040000000000003
2016-10-03,82,68.0,,0.68,55.760000000000005
2016-10-04,87,68.0,,0.68,59.160000000000004
2016-10-05,100,68.0,,0.68,68.0
2016-10-06,94,68.0,,0.68,63.92
2016-10-07,65,68.0,,0.68,44.2
2016-10-08,35,68.0,,0.68,23.8
2016-10-09,31,68.0,,0.68,21.080000000000002
2016-10-10,81,68.0,,0.68,55.080000000000005
2016-10-11,94,68.0,,0.68,63.92
2016-10-12,88,68.0,,0.68,59.84
2016-10-13,85,68.0,,0.68,57.800000000000004
2016-10-14,81,68.0,,0.68,55.080000000000005
2016-10-15,43,68.0,,0.68,29.240000000000002
2016-10-16,37,68.0,,0.68,25.16
2016-10-17,93,68.0,,0.68,63.24
2016-10-18,93,68.0,,0.68,63.24
2016-10-19,78,68.0,,0.68,53.040000000000006
2016-10-20,74,68.0,,0.68,50.32
2016-10-21,79,68.0,,0.68,53.720000000000006
2016-10-22,29,68.0,,0.68,19.720000000000002
2016-10-23,37,68.0,,0.68,25.16
2016-10-24,81,68.0,,0.68,55.080000000000005
2016-10-25,92,68.0,,0.68,62.56
2016-10-26,83,68.0,,0.68,56.440000000000005
2016-10-27,84,68.0,,0.68,57.120000000000005
2016-10-28,73,68.0,,0.68,49.64
2016-10-29,33,68.0,,0.68,22.44
2016-10-30,36,68.0,,0.68,24.48
2016-10-31,74,68.0,,0.68,50.32
2016-11-01,100,66.0,False,0.66,66.0
2016-11-02,81,66.0,,0.66,53.46
2016-11-03,75,66.0,,0.66,49.5
2016-11-04,77,66.0,,0.66,50.82
2016-11-05,33,66.0,,0.66,21.78
2016-11-06,37,66.0,,0.66,24.42
2016-11-07,83,66.0,,0.66,54.78
2016-11-08,88,66.0,,0.66,58.080000000000005
2016-11-09,60,66.0,,0.66,39.6
2016-11-10,88,66.0,,0.66,58.080000000000005
2016-11-11,67,66.0,,0.66,44.22
2016-11-12,29,66.0,,0.66,19.14
2016-11-13,32,66.0,,0.66,21.12
2016-11-14,83,66.0,,0.66,54.78
2016-11-15,83,66.0,,0.66,54.78
2016-11-16,81,66.0,,0.66,53.46
2016-11-17,98,66.0,,0.66,64.68
2016-11-18,77,66.0,,0.66,50.82
2016-11-19,33,66.0,,0.66,21.78
2016-11-20,33,66.0,,0.66,21.78
2016-11-21,85,66.0,,0.66,56.1
2016-11-22,90,66.0,,0.66,59.400000000000006
2016-11-23,59,66.0,,0.66,38.940000000000005
2016-11-24,19,66.0,,0.66,12.540000000000001
2016-11-25,40,66.0,,0.66,26.400000000000002
2016-11-26,30,66.0,,0.66,19.8
2016-11-27,29,66.0,,0.66,19.14
2016-11-28,70,66.0,,0.66,46.2
2016-11-29,77,66.0,,0.66,50.82
2016-11-30,86,66.0,,0.66,56.760000000000005
2016-12-01,98,59.0,False,0.59,57.82
2016-12-02,98,59.0,,0.59,57.82
2016-12-03,47,59.0,,0.59,27.729999999999997
2016-12-04,50,59.0,,0.59,29.5
2016-12-05,91,59.0,,0.59,53.69
2016-12-06,94,59.0,,0.59,55.459999999999994
2016-12-07,99,59.0,,0.59,58.41
2016-12-08,100,59.0,,0.59,59.0
2016-12-09,80,59.0,,0.59,47.199999999999996
2016-12-10,41,59.0,,0.59,24.189999999999998
2016-12-11,37,59.0,,0.59,21.83
2016-12-12,90,59.0,,0.59,53.099999999999994
2016-12-13,94,59.0,,0.59,55.459999999999994
2016-12-14,97,59.0,,0.59,57.23
2016-12-15,95,59.0,,0.59,56.05
2016-12-16,72,59.0,,0.59,42.48
2016-12-17,33,59.0,,0.59,19.47
2016-12-18,42,59.0,,0.59,24.779999999999998
2016-12-19,91,59.0,,0.59,53.69
2016-12-20,96,59.0,,0.59,56.64
2016-12-21,96,59.0,,0.59,56.64
2016-12-22,71,59.0,,0.59,41.89
2016-12-23,56,59.0,,0.59,33.04
2016-12-24,25,59.0,,0.59,14.75
2016-12-25,32,59.0,,0.59,18.88
2016-12-26,35,59.0,,0.59,20.65
2016-12-27,58,59.0,,0.59,34.22
2016-12-28,84,59.0,,0.59,49.559999999999995
2016-12-29,58,59.0,,0.59,34.22
2016-12-30,58,59.0,,0.59,34.22
2016-12-31,49,59.0,,0.59,28.91
2017-01-01,34,69.0,False,0.69,23.459999999999997
2017-01-02,38,69.0,,0.69,26.22
2017-01-03,70,69.0,,0.69,48.3
2017-01-04,93,69.0,,0.69,64.17
2017-01-05,83,69.0,,0.69,57.269999999999996
2017-01-06,71,69.0,,0.69,48.989999999999995
2017-01-07,29,69.0,,0.69,20.009999999999998
2017-01-08,27,69.0,,0.69,18.63
2017-01-09,69,69.0,,0.69,47.61
2017-01-10,86,69.0,,0.69,59.339999999999996
2017-01-11,95,69.0,,0.69,65.55
2017-01-12,88,69.0,,0.69,60.72
2017-01-13,84,69.0,,0.69,57.959999999999994
2017-01-14,36,69.0,,0.69,24.839999999999996
2017-01-15,30,69.0,,0.69,20.7
2017-01-16,61,69.0,,0.69,42.089999999999996
2017-01-17,88,69.0,,0.69,60.72
2017-01-18,87,69.0,,0.69,60.029999999999994
2017-01-19,95,69.0,,0.69,65.55
2017-01-20,68,69.0,,0.69,46.919999999999995
2017-01-21,36,69.0,,0.69,24.839999999999996
2017-01-22,49,69.0,,0.69,33.809999999999995
2017-01-23,76,69.0,,0.69,52.44
2017-01-24,87,69.0,,0.69,60.029999999999994
2017-01-25,82,69.0,,0.69,56.58
2017-01-26,79,69.0,,0.69,54.51
2017-01-27,87,69.0,,0.69,60.029999999999994
2017-01-28,35,69.0,,0.69,24.15
2017-01-29,40,69.0,,0.69,27.599999999999998
2017-01-30,76,69.0,,0.69,52.44
2017-01-31,100,69.0,,0.69,69.0
2017-02-01,81,74.0,False,0.74,59.94
2017-02-02,80,74.0,,0.74,59.2
2017-02-03,77,74.0,,0.74,56.98
2017-02-04,35,74.0,,0.74,25.9
2017-02-05,40,74.0,,0.74,29.6
2017-02-06,72,74.0,,0.74,53.28
2017-02-07,77,74.0,,0.74,56.98
2017-02-08,77,74.0,,0.74,56.98
2017-02-09,79,74.0,,0.74,58.46
2017-02-10,67,74.0,,0.74,49.58
2017-02-11,35,74.0,,0.74,25.9
2017-02-12,31,74.0,,0.74,22.94
2017-02-13,77,74.0,,0.74,56.98
2017-02-14,82,74.0,,0.74,60.68
2017-02-15,74,74.0,,0.74,54.76
2017-02-16,87,74.0,,0.74,64.38
2017-02-17,70,74.0,,0.74,51.8
2017-02-18,29,74.0,,0.74,21.46
2017-02-19,36,74.0,,0.74,26.64
2017-02-20,65,74.0,,0.74,48.1
2017-02-21,77,74.0,,0.74,56.98
2017-02-22,82,74.0,,0.74,60.68
2017-02-23,72,74.0,,0.74,53.28
2017-02-24,73,74.0,,0.74,54.019999999999996
2017-02-25,43,74.0,,0.74,31.82
2017-02-26,38,74.0,,0.74,28.12
2017-02-27,78,74.0,,0.74,57.72
2017-02-28,100,74.0,,0.74,74.0
2017-03-01,98,76.0,False,0.76,74.48
2017-03-02,81,76.0,,0.76,61.56
2017-03-03,75,76.0,,0.76,57.0
2017-03-04,38,76.0,,0.76,28.88
2017-03-05,41,76.0,,0.76,31.16
2017-03-06,82,76.0,,0.76,62.32
2017-03-07,100,76.0,,0.76,76.0
2017-03-08,92,76.0,,0.76,69.92
2017-03-09,87,76.0,,0.76,66.12
2017-03-10,75,76.0,,0.76,57.0
2017-03-11,38,76.0,,0.76,28.88
2017-03-12,37,76.0,,0.76,28.12
2017-03-13,84,76.0,,0.76,63.84
2017-03-14,88,76.0,,0.76,66.88
2017-03-15,86,76.0,,0.76,65.36
2017-03-16,80,76.0,,0.76,60.8
2017-03-17,70,76.0,,0.76,53.2
2017-03-18,38,76.0,,0.76,28.88
2017-03-19,34,76.0,,0.76,25.84
2017-03-20,84,76.0,,0.76,63.84
2017-03-21,79,76.0,,0.76,60.04
2017-03-22,84,76.0,,0.76,63.84
2017-03-23,79,76.0,,0.76,60.04
2017-03-24,67,76.0,,0.76,50.92
2017-03-25,30,76.0,,0.76,22.8
2017-03-26,46,76.0,,0.76,34.96
2017-03-27,84,76.0,,0.76,63.84
2017-03-28,88,76.0,,0.76,66.88
2017-03-29,88,76.0,,0.76,66.88
2017-03-30,77,76.0,,0.76,58.52
2017-03-31,72,76.0,,0.76,54.72
2017-04-01,32,67.0,False,0.67,21.44
2017-04-02,38,67.0,,0.67,25.46
2017-04-03,81,67.0,,0.67,54.27
2017-04-04,85,67.0,,0.67,56.95
2017-04-05,91,67.0,,0.67,60.970000000000006
2017-04-06,90,67.0,,0.67,60.300000000000004
2017-04-07,84,67.0,,0.67,56.28
2017-04-08,44,67.0,,0.67,29.48
2017-04-09,42,67.0,,0.67,28.14
2017-04-10,89,67.0,,0.67,59.63
2017-04-11,92,67.0,,0.67,61.64
2017-04-12,96,67.0,,0.67,64.32000000000001
2017-04-13,87,67.0,,0.67,58.290000000000006
2017-04-14,71,67.0,,0.67,47.57
2017-04-15,27,67.0,,0.67,18.09
2017-04-16,33,67.0,,0.67,22.110000000000003
2017-04-17,89,67.0,,0.67,59.63
2017-04-18,86,67.0,,0.67,57.620000000000005
2017-04-19,100,67.0,,0.67,67.0
2017-04-20,82,67.0,,0.67,54.940000000000005
2017-04-21,85,67.0,,0.67,56.95
2017-04-22,34,67.0,,0.67,22.78
2017-04-23,42,67.0,,0.67,28.14
2017-04-24,89,67.0,,0.67,59.63
2017-04-25,96,67.0,,0.67,64.32000000000001
2017-04-26,94,67.0,,0.67,62.980000000000004
2017-04-27,79,67.0,,0.67,52.93
2017-04-28,64,67.0,,0.67,42.88
2017-04-29,41,67.0,,0.67,27.470000000000002
2017-04-30,30,67.0,,0.67,20.1
2017-05-01,86,71.0,False,0.71,61.059999999999995
2017-05-02,89,71.0,,0.71,63.19
2017-05-03,87,71.0,,0.71,61.769999999999996
2017-05-04,100,71.0,,0.71,71.0
2017-05-05,82,71.0,,0.71,58.22
2017-05-06,42,71.0,,0.71,29.82
2017-05-07,35,71.0,,0.71,24.849999999999998
2017-05-08,87,71.0,,0.71,61.769999999999996
2017-05-09,83,71.0,,0.71,58.93
2017-05-10,93,71.0,,0.71,66.03
2017-05-11,92,71.0,,0.71,65.32
2017-05-12,75,71.0,,0.71,53.25
2017-05-13,33,71.0,,0.71,23.43
2017-05-14,34,71.0,,0.71,24.14
2017-05-15,82,71.0,,0.71,58.22
2017-05-16,84,71.0,,0.71,59.64
2017-05-17,85,71.0,,0.71,60.349999999999994
2017-05-18,97,71.0,,0.71,68.86999999999999
2017-05-19,86,71.0,,0.71,61.059999999999995
2017-05-20,42,71.0,,0.71,29.82
2017-05-21,38,71.0,,0.71,26.979999999999997
2017-05-22,94,71.0,,0.71,66.74
2017-05-23,86,71.0,,0.71,61.059999999999995
2017-05-24,83,71.0,,0.71,58.93
2017-05-25,89,71.0,,0.71,63.19
2017-05-26,65,71.0,,0.71,46.15
2017-05-27,33,71.0,,0.71,23.43
2017-05-28,29,71.0,,0.71,20.59
2017-05-29,51,71.0,,0.71,36.21
2017-05-30,76,71.0,,0.71,53.959999999999994
2017-05-31,85,71.0,,0.71,60.349999999999994
2017-06-01,74,74.0,False,0.74,54.76
2017-06-02,70,74.0,,0.74,51.8
2017-06-03,42,74.0,,0.74,31.08
2017-06-04,38,74.0,,0.74,28.12
2017-06-05,86,74.0,,0.74,63.64
2017-06-06,93,74.0,,0.74,68.82
2017-06-07,90,74.0,,0.74,66.6
2017-06-08,86,74.0,,0.74,63.64
2017-06-09,81,74.0,,0.74,59.94
2017-06-10,39,74.0,,0.74,28.86
2017-06-11,41,74.0,,0.74,30.34
2017-06-12,89,74.0,,0.74,65.86
2017-06-13,83,74.0,,0.74,61.42
2017-06-14,90,74.0,,0.74,66.6
2017-06-15,78,74.0,,0.74,57.72
2017-06-16,69,74.0,,0.74,51.06
2017-06-17,34,74.0,,0.74,25.16
2017-06-18,40,74.0,,0.74,29.6
2017-06-19,80,74.0,,0.74,59.2
2017-06-20,95,74.0,,0.74,70.3
2017-06-21,89,74.0,,0.74,65.86
2017-06-22,100,74.0,,0.74,74.0
2017-06-23,83,74.0,,0.74,61.42
2017-06-24,39,74.0,,0.74,28.86
2017-06-25,42,74.0,,0.74,31.08
2017-06-26,80,74.0,,0.74,59.2
2017-06-27,83,74.0,,0.74,61.42
2017-06-28,91,74.0,,0.74,67.34
2017-06-29,86,74.0,,0.74,63.64
2017-06-30,66,74.0,,0.74,48.839999999999996
2017-07-01,35,69.0,False,0.69,24.15
2017-07-02,43,69.0,,0.69,29.669999999999998
2017-07-03,65,69.0,,0.69,44.849999999999994
2017-07-04,52,69.0,,0.69,35.879999999999995
2017-07-05,82,69.0,,0.69,56.58
2017-07-06,79,69.0,,0.69,54.51
2017-07-07,82,69.0,,0.69,56.58
2017-07-08,40,69.0,,0.69,27.599999999999998
2017-07-09,46,69.0,,0.69,31.74
2017-07-10,98,69.0,,0.69,67.61999999999999
2017-07-11,87,69.0,,0.69,60.029999999999994
2017-07-12,95,69.0,,0.69,65.55
2017-07-13,73,69.0,,0.69,50.37
2017-07-14,76,69.0,,0.69,52.44
2017-07-15,37,69.0,,0.69,25.529999999999998
2017-07-16,31,69.0,,0.69,21.389999999999997
2017-07-17,76,69.0,,0.69,52.44
2017-07-18,82,69.0,,0.69,56.58
2017-07-19,95,69.0,,0.69,65.55
2017-07-20,89,69.0,,0.69,61.41
2017-07-21,72,69.0,,0.69,49.67999999999999
2017-07-22,39,69.0,,0.69,26.909999999999997
2017-07-23,30,69.0,,0.69,20.7
2017-07-24,80,69.0,,0.69,55.199999999999996
2017-07-25,100,69.0,,0.69,69.0
2017-07-26,89,69.0,,0.69,61.41
2017-07-27,82,69.0,,0.69,56.58
2017-07-28,69,69.0,,0.69,47.61
2017-07-29,29,69.0,,0.69,20.009999999999998
2017-07-30,32,69.0,,0.69,22.08
2017-07-31,76,69.0,,0.69,52.44
2017-08-01,74,69.0,False,0.69,51.059999999999995
2017-08-02,83,69.0,,0.69,57.269999999999996
2017-08-03,77,69.0,,0.69,53.129999999999995
2017-08-04,68,69.0,,0.69,46.919999999999995
2017-08-05,33,69.0,,0.69,22.77
2017-08-06,31,69.0,,0.69,21.389999999999997
2017-08-07,79,69.0,,0.69,54.51
2017-08-08,72,69.0,,0.69,49.67999999999999
2017-08-09,69,69.0,,0.69,47.61
2017-08-10,69,69.0,,0.69,47.61
2017-08-11,72,69.0,,0.69,49.67999999999999
2017-08-12,36,69.0,,0.69,24.839999999999996
2017-08-13,27,69.0,,0.69,18.63
2017-08-14,74,69.0,,0.69,51.059999999999995
2017-08-15,77,69.0,,0.69,53.129999999999995
2017-08-16,73,69.0,,0.69,50.37
2017-08-17,80,69.0,,0.69,55.199999999999996
2017-08-18,59,69.0,,0.69,40.709999999999994
2017-08-19,25,69.0,,0.69,17.25
2017-08-20,28,69.0,,0.69,19.32
2017-08-21,57,69.0,,0.69,39.33
2017-08-22,100,69.0,,0.69,69.0
2017-08-23,85,69.0,,0.69,58.65
2017-08-24,71,69.0,,0.69,48.989999999999995
2017-08-25,71,69.0,,0.69,48.989999999999995
2017-08-26,36,69.0,,0.69,24.839999999999996
2017-08-27,27,69.0,,0.69,18.63
2017-08-28,65,69.0,,0.69,44.849999999999994
2017-08-29,83,69.0,,0.69,57.269999999999996
2017-08-30,84,69.0,,0.69,57.959999999999994
2017-08-31,75,69.0,,0.69,51.74999999999999
2017-09-01,80,72.0,False,0.72,57.599999999999994
2017-09-02,52,72.0,,0.72,37.44
2017-09-03,52,72.0,,0.72,37.44
2017-09-04,47,72.0,,0.72,33.839999999999996
2017-09-05,87,72.0,,0.72,62.64
2017-09-06,74,72.0,,0.72,53.28
2017-09-07,84,72.0,,0.72,60.48
2017-09-08,75,72.0,,0.72,54.0
2017-09-09,43,72.0,,0.72,30.959999999999997
2017-09-10,41,72.0,,0.72,29.52
2017-09-11,83,72.0,,0.72,59.76
2017-09-12,100,72.0,,0.72,72.0
2017-09-13,92,72.0,,0.72,66.24
2017-09-14,98,72.0,,0.72,70.56
2017-09-15,85,72.0,,0.72,61.199999999999996
2017-09-16,41,72.0,,0.72,29.52
2017-09-17,41,72.0,,0.72,29.52
2017-09-18,77,72.0,,0.72,55.44
2017-09-19,92,72.0,,0.72,66.24
2017-09-20,91,72.0,,0.72,65.52
2017-09-21,83,72.0,,0.72,59.76
2017-09-22,84,72.0,,0.72,60.48
2017-09-23,49,72.0,,0.72,35.28
2017-09-24,39,72.0,,0.72,28.08
2017-09-25,87,72.0,,0.72,62.64
2017-09-26,90,72.0,,0.72,64.8
2017-09-27,93,72.0,,0.72,66.96
2017-09-28,83,72.0,,0.72,59.76
2017-09-29,90,72.0,,0.72,64.8
2017-09-30,45,72.0,,0.72,32.4
2017-10-01,41,75.0,False,0.75,30.75
2017-10-02,79,75.0,,0.75,59.25
2017-10-03,90,75.0,,0.75,67.5
2017-10-04,98,75.0,,0.75,73.5
2017-10-05,85,75.0,,0.75,63.75
2017-10-06,74,75.0,,0.75,55.5
2017-10-07,39,75.0,,0.75,29.25
2017-10-08,48,75.0,,0.75,36.0
2017-10-09,82,75.0,,0.75,61.5
2017-10-10,94,75.0,,0.75,70.5
2017-10-11,83,75.0,,0.75,62.25
2017-10-12,81,75.0,,0.75,60.75
2017-10-13,77,75.0,,0.75,57.75
2017-10-14,41,75.0,,0.75,30.75
2017-10-15,49,75.0,,0.75,36.75
2017-10-16,89,75.0,,0.75,66.75
2017-10-17,84,75.0,,0.75,63.0
2017-10-18,90,75.0,,0.75,67.5
2017-10-19,90,75.0,,0.75,67.5
2017-10-20,72,75.0,,0.75,54.0
2017-10-21,38,75.0,,0.75,28.5
2017-10-22,44,75.0,,0.75,33.0
2017-10-23,81,75.0,,0.75,60.75
2017-10-24,89,75.0,,0.75,66.75
2017-10-25,100,75.0,,0.75,75.0
2017-10-26,94,75.0,,0.75,70.5
2017-10-27,79,75.0,,0.75,59.25
2017-10-28,40,75.0,,0.75,30.0
2017-10-29,37,75.0,,0.75,27.75
2017-10-30,82,75.0,,0.75,61.5
2017-10-31,89,75.0,,0.75,66.75
2017-11-01,76,67.0,False,0.67,50.92
2017-11-02,85,67.0,,0.67,56.95
2017-11-03,69,67.0,,0.67,46.230000000000004
2017-11-04,46,67.0,,0.67,30.82
2017-11-05,40,67.0,,0.67,26.8
2017-11-06,84,67.0,,0.67,56.28
2017-11-07,100,67.0,,0.67,67.0
2017-11-08,82,67.0,,0.67,54.940000000000005
2017-11-09,91,67.0,,0.67,60.970000000000006
2017-11-10,77,67.0,,0.67,51.59
2017-11-11,39,67.0,,0.67,26.130000000000003
2017-11-12,43,67.0,,0.67,28.810000000000002
2017-11-13,70,67.0,,0.67,46.900000000000006
2017-11-14,85,67.0,,0.67,56.95
2017-11-15,89,67.0,,0.67,59.63
2017-11-16,74,67.0,,0.67,49.580000000000005
2017-11-17,68,67.0,,0.67,45.56
2017-11-18,34,67.0,,0.67,22.78
2017-11-19,28,67.0,,0.67,18.76
2017-11-20,70,67.0,,0.67,46.900000000000006
2017-11-21,84,67.0,,0.67,56.28
2017-11-22,76,67.0,,0.67,50.92
2017-11-23,32,67.0,,0.67,21.44
2017-11-24,30,67.0,,0.67,20.1
2017-11-25,27,67.0,,0.67,18.09
2017-11-26,25,67.0,,0.67,16.75
2017-11-27,61,67.0,,0.67,40.870000000000005
2017-11-28,80,67.0,,0.67,53.6
2017-11-29,77,67.0,,0.67,51.59
2017-11-30,76,67.0,,0.67,50.92
2017-12-01,68,51.0,False,0.51,34.68
2017-12-02,37,51.0,,0.51,18.87
2017-12-03,31,51.0,,0.51,15.81
2017-12-04,85,51.0,,0.51,43.35
2017-12-05,91,51.0,,0.51,46.410000000000004
2017-12-06,92,51.0,,0.51,46.92
2017-12-07,98,51.0,,0.51,49.980000000000004
2017-12-08,81,51.0,,0.51,41.31
2017-12-09,40,51.0,,0.51,20.4
2017-12-10,32,51.0,,0.51,16.32
2017-12-11,91,51.0,,0.51,46.410000000000004
2017-12-12,100,51.0,,0.51,51.0
2017-12-13,97,51.0,,0.51,49.47
2017-12-14,89,51.0,,0.51,45.39
2017-12-15,85,51.0,,0.51,43.35
2017-12-16,35,51.0,,0.51,17.85
2017-12-17,38,51.0,,0.51,19.38
2017-12-18,81,51.0,,0.51,41.31
2017-12-19,82,51.0,,0.51,41.82
2017-12-20,80,51.0,,0.51,40.8
2017-12-21,77,51.0,,0.51,39.27
2017-12-22,51,51.0,,0.51,26.01
