date,PLUG_unscaled,PLUG_monthly,isPartial,scale,PLUG
2016-09-07,83,66.0,,0.66,54.78
2016-09-08,84,66.0,,0.66,55.440000000000005
2016-09-09,87,66.0,,0.66,57.42
2016-09-10,95,66.0,,0.66,62.7
2016-09-11,92,66.0,,0.66,60.720000000000006
2016-09-12,80,66.0,,0.66,52.800000000000004
2016-09-13,86,66.0,,0.66,56.760000000000005
2016-09-14,84,66.0,,0.66,55.440000000000005
2016-09-15,81,66.0,,0.66,53.46
2016-09-16,80,66.0,,0.66,52.800000000000004
2016-09-17,95,66.0,,0.66,62.7
2016-09-18,93,66.0,,0.66,61.38
2016-09-19,83,66.0,,0.66,54.78
2016-09-20,82,66.0,,0.66,54.120000000000005
2016-09-21,81,66.0,,0.66,53.46
2016-09-22,80,66.0,,0.66,52.800000000000004
2016-09-23,79,66.0,,0.66,52.14
2016-09-24,91,66.0,,0.66,60.06
2016-09-25,89,66.0,,0.66,58.74
2016-09-26,78,66.0,,0.66,51.480000000000004
2016-09-27,81,66.0,,0.66,53.46
2016-09-28,84,66.0,,0.66,55.440000000000005
2016-09-29,77,66.0,,0.66,50.82
2016-09-30,80,66.0,,0.66,52.800000000000004
2016-10-01,96,64.0,False,0.64,61.44
2016-10-02,100,64.0,,0.64,64.0
2016-10-03,81,64.0,,0.64,51.84
2016-10-04,88,64.0,,0.64,56.32
2016-10-05,78,64.0,,0.64,49.92
2016-10-06,85,64.0,,0.64,54.4
2016-10-07,88,64.0,,0.64,56.32
2016-10-08,99,64.0,,0.64,63.36
2016-10-09,94,64.0,,0.64,60.160000000000004
2016-10-10,89,64.0,,0.64,56.96
2016-10-11,85,64.0,,0.64,54.4
2016-10-12,89,64.0,,0.64,56.96
2016-10-13,84,64.0,,0.64,53.76
2016-10-14,87,64.0,,0.64,55.68
2016-10-15,89,64.0,,0.64,56.96
2016-10-16,92,64.0,,0.64,58.88
2016-10-17,84,64.0,,0.64,53.76
2016-10-18,89,64.0,,0.64,56.96
2016-10-19,87,64.0,,0.64,55.68
2016-10-20,86,64.0,,0.64,55.04
2016-10-21,82,64.0,,0.64,52.480000000000004
2016-10-22,99,64.0,,0.64,63.36
2016-10-23,93,64.0,,0.64,59.52
2016-10-24,81,64.0,,0.64,51.84
2016-10-25,81,64.0,,0.64,51.84
2016-10-26,85,64.0,,0.64,54.4
2016-10-27,81,64.0,,0.64,51.84
2016-10-28,86,64.0,,0.64,55.04
2016-10-29,96,64.0,,0.64,61.44
2016-10-30,93,64.0,,0.64,59.52
2016-10-31,79,64.0,,0.64,50.56
2016-11-01,76,66.0,False,0.66,50.160000000000004
2016-11-02,79,66.0,,0.66,52.14
2016-11-03,74,66.0,,0.66,48.84
2016-11-04,78,66.0,,0.66,51.480000000000004
2016-11-05,92,66.0,,0.66,60.720000000000006
2016-11-06,88,66.0,,0.66,58.080000000000005
2016-11-07,75,66.0,,0.66,49.5
2016-11-08,70,66.0,,0.66,46.2
2016-11-09,50,66.0,,0.66,33.0
2016-11-10,72,66.0,,0.66,47.52
2016-11-11,77,66.0,,0.66,50.82
2016-11-12,88,66.0,,0.66,58.080000000000005
2016-11-13,84,66.0,,0.66,55.440000000000005
2016-11-14,81,66.0,,0.66,53.46
2016-11-15,76,66.0,,0.66,50.160000000000004
2016-11-16,83,66.0,,0.66,54.78
2016-11-17,81,66.0,,0.66,53.46
2016-11-18,78,66.0,,0.66,51.480000000000004
2016-11-19,88,66.0,,0.66,58.080000000000005
2016-11-20,95,66.0,,0.66,62.7
2016-11-21,82,66.0,,0.66,54.120000000000005
2016-11-22,86,66.0,,0.66,56.760000000000005
2016-11-23,80,66.0,,0.66,52.800000000000004
2016-11-24,76,66.0,,0.66,50.160000000000004
2016-11-25,83,66.0,,0.66,54.78
2016-11-26,100,66.0,,0.66,66.0
2016-11-27,100,66.0,,0.66,66.0
2016-11-28,82,66.0,,0.66,54.120000000000005
2016-11-29,85,66.0,,0.66,56.1
2016-11-30,87,66.0,,0.66,57.42
2016-12-01,81,69.0,False,0.69,55.88999999999999
2016-12-02,80,69.0,,0.69,55.199999999999996
2016-12-03,98,69.0,,0.69,67.61999999999999
2016-12-04,92,69.0,,0.69,63.48
2016-12-05,81,69.0,,0.69,55.88999999999999
2016-12-06,79,69.0,,0.69,54.51
2016-12-07,79,69.0,,0.69,54.51
2016-12-08,83,69.0,,0.69,57.269999999999996
2016-12-09,77,69.0,,0.69,53.129999999999995
2016-12-10,100,69.0,,0.69,69.0
2016-12-11,94,69.0,,0.69,64.86
2016-12-12,82,69.0,,0.69,56.58
2016-12-13,80,69.0,,0.69,55.199999999999996
2016-12-14,78,69.0,,0.69,53.81999999999999
2016-12-15,81,69.0,,0.69,55.88999999999999
2016-12-16,86,69.0,,0.69,59.339999999999996
2016-12-17,95,69.0,,0.69,65.55
2016-12-18,86,69.0,,0.69,59.339999999999996
2016-12-19,82,69.0,,0.69,56.58
2016-12-20,84,69.0,,0.69,57.959999999999994
2016-12-21,79,69.0,,0.69,54.51
2016-12-22,82,69.0,,0.69,56.58
2016-12-23,82,69.0,,0.69,56.58
2016-12-24,82,69.0,,0.69,56.58
2016-12-25,79,69.0,,0.69,54.51
2016-12-26,86,69.0,,0.69,59.339999999999996
2016-12-27,89,69.0,,0.69,61.41
2016-12-28,94,69.0,,0.69,64.86
2016-12-29,90,69.0,,0.69,62.099999999999994
2016-12-30,89,69.0,,0.69,61.41
2016-12-31,87,69.0,,0.69,60.029999999999994
2017-01-01,72,67.0,False,0.67,48.24
2017-01-02,81,67.0,,0.67,54.27
2017-01-03,74,67.0,,0.67,49.580000000000005
2017-01-04,69,67.0,,0.67,46.230000000000004
2017-01-05,77,67.0,,0.67,51.59
2017-01-06,72,67.0,,0.67,48.24
2017-01-07,81,67.0,,0.67,54.27
2017-01-08,81,67.0,,0.67,54.27
2017-01-09,69,67.0,,0.67,46.230000000000004
2017-01-10,67,67.0,,0.67,44.89
2017-01-11,71,67.0,,0.67,47.57
2017-01-12,67,67.0,,0.67,44.89
2017-01-13,72,67.0,,0.67,48.24
2017-01-14,84,67.0,,0.67,56.28
2017-01-15,77,67.0,,0.67,51.59
2017-01-16,76,67.0,,0.67,50.92
2017-01-17,74,67.0,,0.67,49.580000000000005
2017-01-18,68,67.0,,0.67,45.56
2017-01-19,72,67.0,,0.67,48.24
2017-01-20,71,67.0,,0.67,47.57
2017-01-21,100,67.0,,0.67,67.0
2017-01-22,99,67.0,,0.67,66.33
2017-01-23,84,67.0,,0.67,56.28
2017-01-24,81,67.0,,0.67,54.27
2017-01-25,81,67.0,,0.67,54.27
2017-01-26,81,67.0,,0.67,54.27
2017-01-27,80,67.0,,0.67,53.6
2017-01-28,88,67.0,,0.67,58.96
2017-01-29,83,67.0,,0.67,55.61000000000001
2017-01-30,67,67.0,,0.67,44.89
2017-01-31,73,67.0,,0.67,48.910000000000004
2017-02-01,84,65.0,False,0.65,54.6
2017-02-02,80,65.0,,0.65,52.0
2017-02-03,85,65.0,,0.65,55.25
2017-02-04,93,65.0,,0.65,60.45
2017-02-05,93,65.0,,0.65,60.45
2017-02-06,75,65.0,,0.65,48.75
2017-02-07,77,65.0,,0.65,50.050000000000004
2017-02-08,76,65.0,,0.65,49.4
2017-02-09,79,65.0,,0.65,51.35
2017-02-10,83,65.0,,0.65,53.95
2017-02-11,100,65.0,,0.65,65.0
2017-02-12,90,65.0,,0.65,58.5
2017-02-13,82,65.0,,0.65,53.300000000000004
2017-02-14,76,65.0,,0.65,49.4
2017-02-15,73,65.0,,0.65,47.45
2017-02-16,82,65.0,,0.65,53.300000000000004
2017-02-17,83,65.0,,0.65,53.95
2017-02-18,98,65.0,,0.65,63.7
2017-02-19,100,65.0,,0.65,65.0
2017-02-20,88,65.0,,0.65,57.2
2017-02-21,76,65.0,,0.65,49.4
2017-02-22,73,65.0,,0.65,47.45
2017-02-23,82,65.0,,0.65,53.300000000000004
2017-02-24,86,65.0,,0.65,55.9
2017-02-25,97,65.0,,0.65,63.050000000000004
2017-02-26,96,65.0,,0.65,62.400000000000006
2017-02-27,81,65.0,,0.65,52.65
2017-02-28,77,65.0,,0.65,50.050000000000004
2017-03-01,73,69.0,False,0.69,50.37
2017-03-02,79,69.0,,0.69,54.51
2017-03-03,82,69.0,,0.69,56.58
2017-03-04,100,69.0,,0.69,69.0
2017-03-05,96,69.0,,0.69,66.24
2017-03-06,74,69.0,,0.69,51.059999999999995
2017-03-07,78,69.0,,0.69,53.81999999999999
2017-03-08,80,69.0,,0.69,55.199999999999996
2017-03-09,83,69.0,,0.69,57.269999999999996
2017-03-10,79,69.0,,0.69,54.51
2017-03-11,90,69.0,,0.69,62.099999999999994
2017-03-12,89,69.0,,0.69,61.41
2017-03-13,79,69.0,,0.69,54.51
2017-03-14,77,69.0,,0.69,53.129999999999995
2017-03-15,79,69.0,,0.69,54.51
2017-03-16,76,69.0,,0.69,52.44
2017-03-17,78,69.0,,0.69,53.81999999999999
2017-03-18,95,69.0,,0.69,65.55
2017-03-19,93,69.0,,0.69,64.17
2017-03-20,83,69.0,,0.69,57.269999999999996
2017-03-21,81,69.0,,0.69,55.88999999999999
2017-03-22,84,69.0,,0.69,57.959999999999994
2017-03-23,80,69.0,,0.69,55.199999999999996
2017-03-24,86,69.0,,0.69,59.339999999999996
2017-03-25,98,69.0,,0.69,67.61999999999999
2017-03-26,96,69.0,,0.69,66.24
2017-03-27,91,69.0,,0.69,62.78999999999999
2017-03-28,84,69.0,,0.69,57.959999999999994
2017-03-29,84,69.0,,0.69,57.959999999999994
2017-03-30,81,69.0,,0.69,55.88999999999999
2017-03-31,82,69.0,,0.69,56.58
2017-04-01,90,71.0,False,0.71,63.9
2017-04-02,89,71.0,,0.71,63.19
2017-04-03,76,71.0,,0.71,53.959999999999994
2017-04-04,77,71.0,,0.71,54.669999999999995
2017-04-05,77,71.0,,0.71,54.669999999999995
2017-04-06,82,71.0,,0.71,58.22
2017-04-07,79,71.0,,0.71,56.089999999999996
2017-04-08,100,71.0,,0.71,71.0
2017-04-09,91,71.0,,0.71,64.61
2017-04-10,79,71.0,,0.71,56.089999999999996
2017-04-11,84,71.0,,0.71,59.64
2017-04-12,76,71.0,,0.71,53.959999999999994
2017-04-13,80,71.0,,0.71,56.8
2017-04-14,80,71.0,,0.71,56.8
2017-04-15,98,71.0,,0.71,69.58
2017-04-16,89,71.0,,0.71,63.19
2017-04-17,77,71.0,,0.71,54.669999999999995
2017-04-18,75,71.0,,0.71,53.25
2017-04-19,77,71.0,,0.71,54.669999999999995
2017-04-20,74,71.0,,0.71,52.54
2017-04-21,79,71.0,,0.71,56.089999999999996
2017-04-22,93,71.0,,0.71,66.03
2017-04-23,92,71.0,,0.71,65.32
2017-04-24,79,71.0,,0.71,56.089999999999996
2017-04-25,79,71.0,,0.71,56.089999999999996
2017-04-26,75,71.0,,0.71,53.25
2017-04-27,76,71.0,,0.71,53.959999999999994
2017-04-28,80,71.0,,0.71,56.8
2017-04-29,86,71.0,,0.71,61.059999999999995
2017-04-30,90,71.0,,0.71,63.9
2017-05-01,80,73.0,False,0.73,58.4
2017-05-02,80,73.0,,0.73,58.4
2017-05-03,78,73.0,,0.73,56.94
2017-05-04,82,73.0,,0.73,59.86
2017-05-05,79,73.0,,0.73,57.67
2017-05-06,93,73.0,,0.73,67.89
2017-05-07,96,73.0,,0.73,70.08
2017-05-08,90,73.0,,0.73,65.7
2017-05-09,81,73.0,,0.73,59.129999999999995
2017-05-10,80,73.0,,0.73,58.4
2017-05-11,78,73.0,,0.73,56.94
2017-05-12,80,73.0,,0.73,58.4
2017-05-13,96,73.0,,0.73,70.08
2017-05-14,88,73.0,,0.73,64.24
2017-05-15,81,73.0,,0.73,59.129999999999995
2017-05-16,83,73.0,,0.73,60.589999999999996
2017-05-17,85,73.0,,0.73,62.05
2017-05-18,81,73.0,,0.73,59.129999999999995
2017-05-19,78,73.0,,0.73,56.94
2017-05-20,92,73.0,,0.73,67.16
2017-05-21,92,73.0,,0.73,67.16
2017-05-22,82,73.0,,0.73,59.86
2017-05-23,82,73.0,,0.73,59.86
2017-05-24,79,73.0,,0.73,57.67
2017-05-25,81,73.0,,0.73,59.129999999999995
2017-05-26,87,73.0,,0.73,63.51
2017-05-27,100,73.0,,0.73,73.0
2017-05-28,96,73.0,,0.73,70.08
2017-05-29,90,73.0,,0.73,65.7
2017-05-30,84,73.0,,0.73,61.32
2017-05-31,83,73.0,,0.73,60.589999999999996
2017-06-01,84,76.0,False,0.76,63.84
2017-06-02,82,76.0,,0.76,62.32
2017-06-03,100,76.0,,0.76,76.0
2017-06-04,98,76.0,,0.76,74.48
2017-06-05,78,76.0,,0.76,59.28
2017-06-06,80,76.0,,0.76,60.8
2017-06-07,83,76.0,,0.76,63.08
2017-06-08,87,76.0,,0.76,66.12
2017-06-09,87,76.0,,0.76,66.12
2017-06-10,93,76.0,,0.76,70.68
2017-06-11,97,76.0,,0.76,73.72
2017-06-12,81,76.0,,0.76,61.56
2017-06-13,79,76.0,,0.76,60.04
2017-06-14,84,76.0,,0.76,63.84
2017-06-15,86,76.0,,0.76,65.36
2017-06-16,87,76.0,,0.76,66.12
2017-06-17,92,76.0,,0.76,69.92
2017-06-18,89,76.0,,0.76,67.64
2017-06-19,88,76.0,,0.76,66.88
2017-06-20,86,76.0,,0.76,65.36
2017-06-21,83,76.0,,0.76,63.08
2017-06-22,85,76.0,,0.76,64.6
2017-06-23,83,76.0,,0.76,63.08
2017-06-24,96,76.0,,0.76,72.96000000000001
2017-06-25,99,76.0,,0.76,75.24
2017-06-26,89,76.0,,0.76,67.64
2017-06-27,84,76.0,,0.76,63.84
2017-06-28,87,76.0,,0.76,66.12
2017-06-29,88,76.0,,0.76,66.88
2017-06-30,85,76.0,,0.76,64.6
2017-07-01,89,81.0,False,0.81,72.09
2017-07-02,88,81.0,,0.81,71.28
2017-07-03,75,81.0,,0.81,60.75000000000001
2017-07-04,77,81.0,,0.81,62.370000000000005
2017-07-05,75,81.0,,0.81,60.75000000000001
2017-07-06,80,81.0,,0.81,64.80000000000001
2017-07-07,77,81.0,,0.81,62.370000000000005
2017-07-08,97,81.0,,0.81,78.57000000000001
2017-07-09,88,81.0,,0.81,71.28
2017-07-10,82,81.0,,0.81,66.42
2017-07-11,84,81.0,,0.81,68.04
2017-07-12,78,81.0,,0.81,63.18000000000001
2017-07-13,78,81.0,,0.81,63.18000000000001
2017-07-14,83,81.0,,0.81,67.23
2017-07-15,92,81.0,,0.81,74.52000000000001
2017-07-16,93,81.0,,0.81,75.33
2017-07-17,80,81.0,,0.81,64.80000000000001
2017-07-18,84,81.0,,0.81,68.04
2017-07-19,84,81.0,,0.81,68.04
2017-07-20,80,81.0,,0.81,64.80000000000001
2017-07-21,84,81.0,,0.81,68.04
2017-07-22,92,81.0,,0.81,74.52000000000001
2017-07-23,90,81.0,,0.81,72.9
2017-07-24,86,81.0,,0.81,69.66000000000001
2017-07-25,82,81.0,,0.81,66.42
2017-07-26,83,81.0,,0.81,67.23
2017-07-27,87,81.0,,0.81,70.47
2017-07-28,89,81.0,,0.81,72.09
2017-07-29,100,81.0,,0.81,81.0
2017-07-30,98,81.0,,0.81,79.38000000000001
2017-07-31,94,81.0,,0.81,76.14
2017-08-01,100,78.0,False,0.78,78.0
2017-08-02,95,78.0,,0.78,74.10000000000001
2017-08-03,91,78.0,,0.78,70.98
2017-08-04,86,78.0,,0.78,67.08
2017-08-05,95,78.0,,0.78,74.10000000000001
2017-08-06,95,78.0,,0.78,74.10000000000001
2017-08-07,82,78.0,,0.78,63.96
2017-08-08,85,78.0,,0.78,66.3
2017-08-09,81,78.0,,0.78,63.18
2017-08-10,79,78.0,,0.78,61.620000000000005
2017-08-11,82,78.0,,0.78,63.96
2017-08-12,91,78.0,,0.78,70.98
2017-08-13,91,78.0,,0.78,70.98
2017-08-14,83,78.0,,0.78,64.74000000000001
2017-08-15,83,78.0,,0.78,64.74000000000001
2017-08-16,78,78.0,,0.78,60.84
2017-08-17,81,78.0,,0.78,63.18
2017-08-18,77,78.0,,0.78,60.06
2017-08-19,90,78.0,,0.78,70.2
2017-08-20,88,78.0,,0.78,68.64
2017-08-21,71,78.0,,0.78,55.38
2017-08-22,81,78.0,,0.78,63.18
2017-08-23,79,78.0,,0.78,61.620000000000005
2017-08-24,74,78.0,,0.78,57.72
2017-08-25,76,78.0,,0.78,59.28
2017-08-26,88,78.0,,0.78,68.64
2017-08-27,78,78.0,,0.78,60.84
2017-08-28,75,78.0,,0.78,58.5
2017-08-29,75,78.0,,0.78,58.5
2017-08-30,73,78.0,,0.78,56.940000000000005
2017-08-31,74,78.0,,0.78,57.72
2017-09-01,86,72.0,False,0.72,61.919999999999995
2017-09-02,96,72.0,,0.72,69.12
2017-09-03,100,72.0,,0.72,72.0
2017-09-04,97,72.0,,0.72,69.84
2017-09-05,82,72.0,,0.72,59.04
2017-09-06,80,72.0,,0.72,57.599999999999994
2017-09-07,82,72.0,,0.72,59.04
2017-09-08,79,72.0,,0.72,56.879999999999995
2017-09-09,89,72.0,,0.72,64.08
2017-09-10,86,72.0,,0.72,61.919999999999995
2017-09-11,78,72.0,,0.72,56.16
2017-09-12,80,72.0,,0.72,57.599999999999994
2017-09-13,88,72.0,,0.72,63.36
2017-09-14,84,72.0,,0.72,60.48
2017-09-15,84,72.0,,0.72,60.48
2017-09-16,98,72.0,,0.72,70.56
2017-09-17,97,72.0,,0.72,69.84
2017-09-18,78,72.0,,0.72,56.16
2017-09-19,78,72.0,,0.72,56.16
2017-09-20,82,72.0,,0.72,59.04
2017-09-21,79,72.0,,0.72,56.879999999999995
2017-09-22,83,72.0,,0.72,59.76
2017-09-23,94,72.0,,0.72,67.67999999999999
2017-09-24,88,72.0,,0.72,63.36
2017-09-25,81,72.0,,0.72,58.32
2017-09-26,85,72.0,,0.72,61.199999999999996
2017-09-27,79,72.0,,0.72,56.879999999999995
2017-09-28,80,72.0,,0.72,57.599999999999994
2017-09-29,84,72.0,,0.72,60.48
2017-09-30,99,72.0,,0.72,71.28
2017-10-01,100,70.0,False,0.7,70.0
2017-10-02,82,70.0,,0.7,57.4
2017-10-03,87,70.0,,0.7,60.9
2017-10-04,84,70.0,,0.7,58.8
2017-10-05,89,70.0,,0.7,62.3
2017-10-06,91,70.0,,0.7,63.699999999999996
2017-10-07,97,70.0,,0.7,67.89999999999999
2017-10-08,97,70.0,,0.7,67.89999999999999
2017-10-09,90,70.0,,0.7,62.99999999999999
2017-10-10,85,70.0,,0.7,59.49999999999999
2017-10-11,83,70.0,,0.7,58.099999999999994
2017-10-12,82,70.0,,0.7,57.4
2017-10-13,84,70.0,,0.7,58.8
2017-10-14,97,70.0,,0.7,67.89999999999999
2017-10-15,98,70.0,,0.7,68.6
2017-10-16,91,70.0,,0.7,63.699999999999996
2017-10-17,92,70.0,,0.7,64.39999999999999
2017-10-18,87,70.0,,0.7,60.9
2017-10-19,91,70.0,,0.7,63.699999999999996
2017-10-20,91,70.0,,0.7,63.699999999999996
2017-10-21,99,70.0,,0.7,69.3
2017-10-22,100,70.0,,0.7,70.0
2017-10-23,88,70.0,,0.7,61.599999999999994
2017-10-24,90,70.0,,0.7,62.99999999999999
2017-10-25,90,70.0,,0.7,62.99999999999999
2017-10-26,91,70.0,,0.7,63.699999999999996
2017-10-27,91,70.0,,0.7,63.699999999999996
2017-10-28,97,70.0,,0.7,67.89999999999999
2017-10-29,95,70.0,,0.7,66.5
2017-10-30,88,70.0,,0.7,61.599999999999994
2017-10-31,85,70.0,,0.7,59.49999999999999
2017-11-01,65,73.0,False,0.73,47.449999999999996
2017-11-02,67,73.0,,0.73,48.91
2017-11-03,74,73.0,,0.73,54.019999999999996
2017-11-04,78,73.0,,0.73,56.94
2017-11-05,84,73.0,,0.73,61.32
2017-11-06,74,73.0,,0.73,54.019999999999996
2017-11-07,68,73.0,,0.73,49.64
2017-11-08,70,73.0,,0.73,51.1
2017-11-09,71,73.0,,0.73,51.83
2017-11-10,77,73.0,,0.73,56.21
2017-11-11,82,73.0,,0.73,59.86
2017-11-12,76,73.0,,0.73,55.48
2017-11-13,68,73.0,,0.73,49.64
2017-11-14,69,73.0,,0.73,50.37
2017-11-15,69,73.0,,0.73,50.37
2017-11-16,70,73.0,,0.73,51.1
2017-11-17,72,73.0,,0.73,52.56
2017-11-18,82,73.0,,0.73,59.86
2017-11-19,78,73.0,,0.73,56.94
2017-11-20,74,73.0,,0.73,54.019999999999996
2017-11-21,76,73.0,,0.73,55.48
2017-11-22,77,73.0,,0.73,56.21
2017-11-23,72,73.0,,0.73,52.56
2017-11-24,85,73.0,,0.73,62.05
2017-11-25,96,73.0,,0.73,70.08
2017-11-26,100,73.0,,0.73,73.0
2017-11-27,83,73.0,,0.73,60.589999999999996
2017-11-28,84,73.0,,0.73,61.32
2017-11-29,78,73.0,,0.73,56.94
2017-11-30,74,73.0,,0.73,54.019999999999996
2017-12-01,75,78.0,False,0.78,58.5
2017-12-02,98,78.0,,0.78,76.44
2017-12-03,100,78.0,,0.78,78.0
2017-12-04,82,78.0,,0.78,63.96
2017-12-05,77,78.0,,0.78,60.06
2017-12-06,78,78.0,,0.78,60.84
2017-12-07,72,78.0,,0.78,56.160000000000004
2017-12-08,78,78.0,,0.78,60.84
2017-12-09,94,78.0,,0.78,73.32000000000001
2017-12-10,92,78.0,,0.78,71.76
2017-12-11,85,78.0,,0.78,66.3
2017-12-12,81,78.0,,0.78,63.18
2017-12-13,82,78.0,,0.78,63.96
2017-12-14,75,78.0,,0.78,58.5
2017-12-15,74,78.0,,0.78,57.72
2017-12-16,89,78.0,,0.78,69.42
2017-12-17,84,78.0,,0.78,65.52
