date,SI_unscaled,SI_monthly,isPartial,scale,SI
2016-07-24,82,85.0,,0.85,69.7
2016-07-25,82,85.0,,0.85,69.7
2016-07-26,95,85.0,,0.85,80.75
2016-07-27,93,85.0,,0.85,79.05
2016-07-28,99,85.0,,0.85,84.14999999999999
2016-07-29,92,85.0,,0.85,78.2
2016-07-30,89,85.0,,0.85,75.64999999999999
2016-07-31,84,85.0,,0.85,71.39999999999999
2016-08-01,87,84.0,False,0.84,73.08
2016-08-02,86,84.0,,0.84,72.24
2016-08-03,82,84.0,,0.84,68.88
2016-08-04,84,84.0,,0.84,70.56
2016-08-05,84,84.0,,0.84,70.56
2016-08-06,84,84.0,,0.84,70.56
2016-08-07,78,84.0,,0.84,65.52
2016-08-08,78,84.0,,0.84,65.52
2016-08-09,86,84.0,,0.84,72.24
2016-08-10,78,84.0,,0.84,65.52
2016-08-11,84,84.0,,0.84,70.56
2016-08-12,80,84.0,,0.84,67.2
2016-08-13,82,84.0,,0.84,68.88
2016-08-14,83,84.0,,0.84,69.72
2016-08-15,75,84.0,,0.84,63.0
2016-08-16,86,84.0,,0.84,72.24
2016-08-17,85,84.0,,0.84,71.39999999999999
2016-08-18,85,84.0,,0.84,71.39999999999999
2016-08-19,81,84.0,,0.84,68.03999999999999
2016-08-20,87,84.0,,0.84,73.08
2016-08-21,87,84.0,,0.84,73.08
2016-08-22,86,84.0,,0.84,72.24
2016-08-23,85,84.0,,0.84,71.39999999999999
2016-08-24,99,84.0,,0.84,83.16
2016-08-25,95,84.0,,0.84,79.8
2016-08-26,95,84.0,,0.84,79.8
2016-08-27,87,84.0,,0.84,73.08
2016-08-28,90,84.0,,0.84,75.6
2016-08-29,99,84.0,,0.84,83.16
2016-08-30,100,84.0,,0.84,84.0
2016-08-31,98,84.0,,0.84,82.32
2016-09-01,92,94.0,False,0.94,86.47999999999999
2016-09-02,95,94.0,,0.94,89.3
2016-09-03,84,94.0,,0.94,78.96
2016-09-04,85,94.0,,0.94,79.89999999999999
2016-09-05,93,94.0,,0.94,87.42
2016-09-06,91,94.0,,0.94,85.53999999999999
2016-09-07,94,94.0,,0.94,88.36
2016-09-08,99,94.0,,0.94,93.05999999999999
2016-09-09,91,94.0,,0.94,85.53999999999999
2016-09-10,93,94.0,,0.94,87.42
2016-09-11,85,94.0,,0.94,79.89999999999999
2016-09-12,89,94.0,,0.94,83.66
2016-09-13,95,94.0,,0.94,89.3
2016-09-14,97,94.0,,0.94,91.17999999999999
2016-09-15,100,94.0,,0.94,94.0
2016-09-16,93,94.0,,0.94,87.42
2016-09-17,88,94.0,,0.94,82.72
2016-09-18,82,94.0,,0.94,77.08
2016-09-19,90,94.0,,0.94,84.6
2016-09-20,89,94.0,,0.94,83.66
2016-09-21,95,94.0,,0.94,89.3
2016-09-22,92,94.0,,0.94,86.47999999999999
2016-09-23,94,94.0,,0.94,88.36
2016-09-24,93,94.0,,0.94,87.42
2016-09-25,81,94.0,,0.94,76.14
2016-09-26,90,94.0,,0.94,84.6
2016-09-27,86,94.0,,0.94,80.83999999999999
2016-09-28,94,94.0,,0.94,88.36
2016-09-29,92,94.0,,0.94,86.47999999999999
2016-09-30,89,94.0,,0.94,83.66
2016-10-01,83,86.0,False,0.86,71.38
2016-10-02,94,86.0,,0.86,80.84
2016-10-03,96,86.0,,0.86,82.56
2016-10-04,100,86.0,,0.86,86.0
2016-10-05,91,86.0,,0.86,78.26
2016-10-06,94,86.0,,0.86,80.84
2016-10-07,85,86.0,,0.86,73.1
2016-10-08,89,86.0,,0.86,76.53999999999999
2016-10-09,88,86.0,,0.86,75.67999999999999
2016-10-10,87,86.0,,0.86,74.82
2016-10-11,95,86.0,,0.86,81.7
2016-10-12,96,86.0,,0.86,82.56
2016-10-13,95,86.0,,0.86,81.7
2016-10-14,92,86.0,,0.86,79.12
2016-10-15,86,86.0,,0.86,73.96
2016-10-16,84,86.0,,0.86,72.24
2016-10-17,88,86.0,,0.86,75.67999999999999
2016-10-18,91,86.0,,0.86,78.26
2016-10-19,96,86.0,,0.86,82.56
2016-10-20,91,86.0,,0.86,78.26
2016-10-21,93,86.0,,0.86,79.98
2016-10-22,91,86.0,,0.86,78.26
2016-10-23,86,86.0,,0.86,73.96
2016-10-24,92,86.0,,0.86,79.12
2016-10-25,92,86.0,,0.86,79.12
2016-10-26,93,86.0,,0.86,79.98
2016-10-27,91,86.0,,0.86,78.26
2016-10-28,92,86.0,,0.86,79.12
2016-10-29,93,86.0,,0.86,79.98
2016-10-30,85,86.0,,0.86,73.1
2016-10-31,85,86.0,,0.86,73.1
2016-11-01,75,82.0,False,0.82,61.49999999999999
2016-11-02,83,82.0,,0.82,68.06
2016-11-03,85,82.0,,0.82,69.7
2016-11-04,85,82.0,,0.82,69.7
2016-11-05,86,82.0,,0.82,70.52
2016-11-06,76,82.0,,0.82,62.31999999999999
2016-11-07,80,82.0,,0.82,65.6
2016-11-08,81,82.0,,0.82,66.42
2016-11-09,75,82.0,,0.82,61.49999999999999
2016-11-10,84,82.0,,0.82,68.88
2016-11-11,82,82.0,,0.82,67.24
2016-11-12,80,82.0,,0.82,65.6
2016-11-13,78,82.0,,0.82,63.959999999999994
2016-11-14,75,82.0,,0.82,61.49999999999999
2016-11-15,83,82.0,,0.82,68.06
2016-11-16,93,82.0,,0.82,76.25999999999999
2016-11-17,89,82.0,,0.82,72.97999999999999
2016-11-18,90,82.0,,0.82,73.8
2016-11-19,78,82.0,,0.82,63.959999999999994
2016-11-20,78,82.0,,0.82,63.959999999999994
2016-11-21,76,82.0,,0.82,62.31999999999999
2016-11-22,81,82.0,,0.82,66.42
2016-11-23,78,82.0,,0.82,63.959999999999994
2016-11-24,82,82.0,,0.82,67.24
2016-11-25,69,82.0,,0.82,56.58
2016-11-26,75,82.0,,0.82,61.49999999999999
2016-11-27,78,82.0,,0.82,63.959999999999994
2016-11-28,72,82.0,,0.82,59.04
2016-11-29,100,82.0,,0.82,82.0
2016-11-30,87,82.0,,0.82,71.33999999999999
2016-12-01,100,79.0,False,0.79,79.0
2016-12-02,91,79.0,,0.79,71.89
2016-12-03,90,79.0,,0.79,71.10000000000001
2016-12-04,87,79.0,,0.79,68.73
2016-12-05,87,79.0,,0.79,68.73
2016-12-06,91,79.0,,0.79,71.89
2016-12-07,92,79.0,,0.79,72.68
2016-12-08,93,79.0,,0.79,73.47
2016-12-09,87,79.0,,0.79,68.73
2016-12-10,87,79.0,,0.79,68.73
2016-12-11,83,79.0,,0.79,65.57000000000001
2016-12-12,89,79.0,,0.79,70.31
2016-12-13,93,79.0,,0.79,73.47
2016-12-14,89,79.0,,0.79,70.31
2016-12-15,93,79.0,,0.79,73.47
2016-12-16,91,79.0,,0.79,71.89
2016-12-17,88,79.0,,0.79,69.52000000000001
2016-12-18,85,79.0,,0.79,67.15
2016-12-19,79,79.0,,0.79,62.410000000000004
2016-12-20,85,79.0,,0.79,67.15
2016-12-21,85,79.0,,0.79,67.15
2016-12-22,81,79.0,,0.79,63.99
2016-12-23,79,79.0,,0.79,62.410000000000004
2016-12-24,77,79.0,,0.79,60.830000000000005
2016-12-25,72,79.0,,0.79,56.88
2016-12-26,82,79.0,,0.79,64.78
2016-12-27,81,79.0,,0.79,63.99
2016-12-28,83,79.0,,0.79,65.57000000000001
2016-12-29,82,79.0,,0.79,64.78
2016-12-30,81,79.0,,0.79,63.99
2016-12-31,78,79.0,,0.79,61.620000000000005
2017-01-01,76,80.0,False,0.8,60.800000000000004
2017-01-02,77,80.0,,0.8,61.6
2017-01-03,75,80.0,,0.8,60.0
2017-01-04,88,80.0,,0.8,70.4
2017-01-05,92,80.0,,0.8,73.60000000000001
2017-01-06,84,80.0,,0.8,67.2
2017-01-07,81,80.0,,0.8,64.8
2017-01-08,87,80.0,,0.8,69.60000000000001
2017-01-09,82,80.0,,0.8,65.60000000000001
2017-01-10,90,80.0,,0.8,72.0
2017-01-11,100,80.0,,0.8,80.0
2017-01-12,96,80.0,,0.8,76.80000000000001
2017-01-13,92,80.0,,0.8,73.60000000000001
2017-01-14,94,80.0,,0.8,75.2
2017-01-15,87,80.0,,0.8,69.60000000000001
2017-01-16,90,80.0,,0.8,72.0
2017-01-17,93,80.0,,0.8,74.4
2017-01-18,94,80.0,,0.8,75.2
2017-01-19,94,80.0,,0.8,75.2
2017-01-20,91,80.0,,0.8,72.8
2017-01-21,85,80.0,,0.8,68.0
2017-01-22,91,80.0,,0.8,72.8
2017-01-23,91,80.0,,0.8,72.8
2017-01-24,89,80.0,,0.8,71.2
2017-01-25,97,80.0,,0.8,77.60000000000001
2017-01-26,98,80.0,,0.8,78.4
2017-01-27,96,80.0,,0.8,76.80000000000001
2017-01-28,90,80.0,,0.8,72.0
2017-01-29,88,80.0,,0.8,70.4
2017-01-30,90,80.0,,0.8,72.0
2017-01-31,92,80.0,,0.8,73.60000000000001
2017-02-01,68,93.0,False,0.93,63.24
2017-02-02,69,93.0,,0.93,64.17
2017-02-03,67,93.0,,0.93,62.31
2017-02-04,71,93.0,,0.93,66.03
2017-02-05,64,93.0,,0.93,59.52
2017-02-06,62,93.0,,0.93,57.660000000000004
2017-02-07,74,93.0,,0.93,68.82000000000001
2017-02-08,77,93.0,,0.93,71.61
2017-02-09,73,93.0,,0.93,67.89
2017-02-10,69,93.0,,0.93,64.17
2017-02-11,65,93.0,,0.93,60.45
2017-02-12,68,93.0,,0.93,63.24
2017-02-13,65,93.0,,0.93,60.45
2017-02-14,67,93.0,,0.93,62.31
2017-02-15,88,93.0,,0.93,81.84
2017-02-16,100,93.0,,0.93,93.0
2017-02-17,82,93.0,,0.93,76.26
2017-02-18,85,93.0,,0.93,79.05
2017-02-19,78,93.0,,0.93,72.54
2017-02-20,72,93.0,,0.93,66.96000000000001
2017-02-21,72,93.0,,0.93,66.96000000000001
2017-02-22,73,93.0,,0.93,67.89
2017-02-23,73,93.0,,0.93,67.89
2017-02-24,67,93.0,,0.93,62.31
2017-02-25,63,93.0,,0.93,58.59
2017-02-26,66,93.0,,0.93,61.38
2017-02-27,64,93.0,,0.93,59.52
2017-02-28,70,93.0,,0.93,65.10000000000001
2017-03-01,89,80.0,False,0.8,71.2
2017-03-02,98,80.0,,0.8,78.4
2017-03-03,92,80.0,,0.8,73.60000000000001
2017-03-04,87,80.0,,0.8,69.60000000000001
2017-03-05,96,80.0,,0.8,76.80000000000001
2017-03-06,94,80.0,,0.8,75.2
2017-03-07,93,80.0,,0.8,74.4
2017-03-08,95,80.0,,0.8,76.0
2017-03-09,93,80.0,,0.8,74.4
2017-03-10,92,80.0,,0.8,73.60000000000001
2017-03-11,85,80.0,,0.8,68.0
2017-03-12,91,80.0,,0.8,72.8
2017-03-13,84,80.0,,0.8,67.2
2017-03-14,90,80.0,,0.8,72.0
2017-03-15,92,80.0,,0.8,73.60000000000001
2017-03-16,91,80.0,,0.8,72.8
2017-03-17,89,80.0,,0.8,71.2
2017-03-18,87,80.0,,0.8,69.60000000000001
2017-03-19,86,80.0,,0.8,68.8
2017-03-20,89,80.0,,0.8,71.2
2017-03-21,88,80.0,,0.8,70.4
2017-03-22,87,80.0,,0.8,69.60000000000001
2017-03-23,90,80.0,,0.8,72.0
2017-03-24,91,80.0,,0.8,72.8
2017-03-25,86,80.0,,0.8,68.8
2017-03-26,91,80.0,,0.8,72.8
2017-03-27,89,80.0,,0.8,71.2
2017-03-28,95,80.0,,0.8,76.0
2017-03-29,92,80.0,,0.8,73.60000000000001
2017-03-30,100,80.0,,0.8,80.0
2017-03-31,88,80.0,,0.8,70.4
2017-04-01,88,83.0,False,0.83,73.03999999999999
2017-04-02,90,83.0,,0.83,74.7
2017-04-03,86,83.0,,0.83,71.38
2017-04-04,88,83.0,,0.83,73.03999999999999
2017-04-05,86,83.0,,0.83,71.38
2017-04-06,100,83.0,,0.83,83.0
2017-04-07,90,83.0,,0.83,74.7
2017-04-08,88,83.0,,0.83,73.03999999999999
2017-04-09,86,83.0,,0.83,71.38
2017-04-10,84,83.0,,0.83,69.72
2017-04-11,85,83.0,,0.83,70.55
2017-04-12,83,83.0,,0.83,68.89
2017-04-13,92,83.0,,0.83,76.36
2017-04-14,86,83.0,,0.83,71.38
2017-04-15,88,83.0,,0.83,73.03999999999999
2017-04-16,88,83.0,,0.83,73.03999999999999
2017-04-17,84,83.0,,0.83,69.72
2017-04-18,88,83.0,,0.83,73.03999999999999
2017-04-19,94,83.0,,0.83,78.02
2017-04-20,85,83.0,,0.83,70.55
2017-04-21,90,83.0,,0.83,74.7
2017-04-22,89,83.0,,0.83,73.86999999999999
2017-04-23,88,83.0,,0.83,73.03999999999999
2017-04-24,90,83.0,,0.83,74.7
2017-04-25,87,83.0,,0.83,72.21
2017-04-26,87,83.0,,0.83,72.21
2017-04-27,93,83.0,,0.83,77.19
2017-04-28,88,83.0,,0.83,73.03999999999999
2017-04-29,81,83.0,,0.83,67.22999999999999
2017-04-30,93,83.0,,0.83,77.19
2017-05-01,87,80.0,False,0.8,69.60000000000001
2017-05-02,88,80.0,,0.8,70.4
2017-05-03,87,80.0,,0.8,69.60000000000001
2017-05-04,88,80.0,,0.8,70.4
2017-05-05,90,80.0,,0.8,72.0
2017-05-06,90,80.0,,0.8,72.0
2017-05-07,88,80.0,,0.8,70.4
2017-05-08,89,80.0,,0.8,71.2
2017-05-09,84,80.0,,0.8,67.2
2017-05-10,83,80.0,,0.8,66.4
2017-05-11,87,80.0,,0.8,69.60000000000001
2017-05-12,88,80.0,,0.8,70.4
2017-05-13,93,80.0,,0.8,74.4
2017-05-14,96,80.0,,0.8,76.80000000000001
2017-05-15,100,80.0,,0.8,80.0
2017-05-16,92,80.0,,0.8,73.60000000000001
2017-05-17,89,80.0,,0.8,71.2
2017-05-18,90,80.0,,0.8,72.0
2017-05-19,89,80.0,,0.8,71.2
2017-05-20,88,80.0,,0.8,70.4
2017-05-21,90,80.0,,0.8,72.0
2017-05-22,92,80.0,,0.8,73.60000000000001
2017-05-23,88,80.0,,0.8,70.4
2017-05-24,88,80.0,,0.8,70.4
2017-05-25,89,80.0,,0.8,71.2
2017-05-26,86,80.0,,0.8,68.8
2017-05-27,89,80.0,,0.8,71.2
2017-05-28,88,80.0,,0.8,70.4
2017-05-29,84,80.0,,0.8,67.2
2017-05-30,90,80.0,,0.8,72.0
2017-05-31,89,80.0,,0.8,71.2
2017-06-01,100,81.0,False,0.81,81.0
2017-06-02,93,81.0,,0.81,75.33
2017-06-03,92,81.0,,0.81,74.52000000000001
2017-06-04,86,81.0,,0.81,69.66000000000001
2017-06-05,89,81.0,,0.81,72.09
2017-06-06,94,81.0,,0.81,76.14
2017-06-07,91,81.0,,0.81,73.71000000000001
2017-06-08,91,81.0,,0.81,73.71000000000001
2017-06-09,95,81.0,,0.81,76.95
2017-06-10,94,81.0,,0.81,76.14
2017-06-11,94,81.0,,0.81,76.14
2017-06-12,91,81.0,,0.81,73.71000000000001
2017-06-13,88,81.0,,0.81,71.28
2017-06-14,93,81.0,,0.81,75.33
2017-06-15,96,81.0,,0.81,77.76
2017-06-16,93,81.0,,0.81,75.33
2017-06-17,93,81.0,,0.81,75.33
2017-06-18,92,81.0,,0.81,74.52000000000001
2017-06-19,92,81.0,,0.81,74.52000000000001
2017-06-20,92,81.0,,0.81,74.52000000000001
2017-06-21,96,81.0,,0.81,77.76
2017-06-22,97,81.0,,0.81,78.57000000000001
2017-06-23,92,81.0,,0.81,74.52000000000001
2017-06-24,89,81.0,,0.81,72.09
2017-06-25,94,81.0,,0.81,76.14
2017-06-26,94,81.0,,0.81,76.14
2017-06-27,92,81.0,,0.81,74.52000000000001
2017-06-28,93,81.0,,0.81,75.33
2017-06-29,92,81.0,,0.81,74.52000000000001
2017-06-30,84,81.0,,0.81,68.04
2017-07-01,87,83.0,False,0.83,72.21
2017-07-02,85,83.0,,0.83,70.55
2017-07-03,79,83.0,,0.83,65.57
2017-07-04,90,83.0,,0.83,74.7
2017-07-05,83,83.0,,0.83,68.89
2017-07-06,85,83.0,,0.83,70.55
2017-07-07,90,83.0,,0.83,74.7
2017-07-08,89,83.0,,0.83,73.86999999999999
2017-07-09,95,83.0,,0.83,78.85
2017-07-10,76,83.0,,0.83,63.08
2017-07-11,87,83.0,,0.83,72.21
2017-07-12,84,83.0,,0.83,69.72
2017-07-13,84,83.0,,0.83,69.72
2017-07-14,84,83.0,,0.83,69.72
2017-07-15,89,83.0,,0.83,73.86999999999999
2017-07-16,81,83.0,,0.83,67.22999999999999
2017-07-17,85,83.0,,0.83,70.55
2017-07-18,86,83.0,,0.83,71.38
2017-07-19,90,83.0,,0.83,74.7
2017-07-20,87,83.0,,0.83,72.21
2017-07-21,80,83.0,,0.83,66.39999999999999
2017-07-22,87,83.0,,0.83,72.21
2017-07-23,81,83.0,,0.83,67.22999999999999
2017-07-24,91,83.0,,0.83,75.53
2017-07-25,86,83.0,,0.83,71.38
2017-07-26,100,83.0,,0.83,83.0
2017-07-27,98,83.0,,0.83,81.33999999999999
2017-07-28,95,83.0,,0.83,78.85
2017-07-29,99,83.0,,0.83,82.17
2017-07-30,94,83.0,,0.83,78.02
2017-07-31,92,83.0,,0.83,76.36
2017-08-01,88,87.0,False,0.87,76.56
2017-08-02,100,87.0,,0.87,87.0
2017-08-03,87,87.0,,0.87,75.69
2017-08-04,92,87.0,,0.87,80.04
2017-08-05,95,87.0,,0.87,82.65
2017-08-06,86,87.0,,0.87,74.82
2017-08-07,88,87.0,,0.87,76.56
2017-08-08,90,87.0,,0.87,78.3
2017-08-09,93,87.0,,0.87,80.91
2017-08-10,86,87.0,,0.87,74.82
2017-08-11,89,87.0,,0.87,77.42999999999999
2017-08-12,92,87.0,,0.87,80.04
2017-08-13,90,87.0,,0.87,78.3
2017-08-14,88,87.0,,0.87,76.56
2017-08-15,93,87.0,,0.87,80.91
2017-08-16,86,87.0,,0.87,74.82
2017-08-17,91,87.0,,0.87,79.17
2017-08-18,94,87.0,,0.87,81.78
2017-08-19,91,87.0,,0.87,79.17
2017-08-20,90,87.0,,0.87,78.3
2017-08-21,87,87.0,,0.87,75.69
2017-08-22,91,87.0,,0.87,79.17
2017-08-23,98,87.0,,0.87,85.26
2017-08-24,96,87.0,,0.87,83.52
2017-08-25,92,87.0,,0.87,80.04
2017-08-26,89,87.0,,0.87,77.42999999999999
2017-08-27,87,87.0,,0.87,75.69
2017-08-28,94,87.0,,0.87,81.78
2017-08-29,96,87.0,,0.87,83.52
2017-08-30,93,87.0,,0.87,80.91
2017-08-31,99,87.0,,0.87,86.13
2017-09-01,90,86.0,False,0.86,77.4
2017-09-02,89,86.0,,0.86,76.53999999999999
2017-09-03,87,86.0,,0.86,74.82
2017-09-04,92,86.0,,0.86,79.12
2017-09-05,94,86.0,,0.86,80.84
2017-09-06,92,86.0,,0.86,79.12
2017-09-07,89,86.0,,0.86,76.53999999999999
2017-09-08,94,86.0,,0.86,80.84
2017-09-09,78,86.0,,0.86,67.08
2017-09-10,82,86.0,,0.86,70.52
2017-09-11,84,86.0,,0.86,72.24
2017-09-12,92,86.0,,0.86,79.12
2017-09-13,100,86.0,,0.86,86.0
2017-09-14,98,86.0,,0.86,84.28
2017-09-15,91,86.0,,0.86,78.26
2017-09-16,93,86.0,,0.86,79.98
2017-09-17,85,86.0,,0.86,73.1
2017-09-18,86,86.0,,0.86,73.96
2017-09-19,93,86.0,,0.86,79.98
2017-09-20,95,86.0,,0.86,81.7
2017-09-21,91,86.0,,0.86,78.26
2017-09-22,88,86.0,,0.86,75.67999999999999
2017-09-23,86,86.0,,0.86,73.96
2017-09-24,85,86.0,,0.86,73.1
2017-09-25,92,86.0,,0.86,79.12
2017-09-26,94,86.0,,0.86,80.84
2017-09-27,93,86.0,,0.86,79.98
2017-09-28,95,86.0,,0.86,81.7
2017-09-29,90,86.0,,0.86,77.4
2017-09-30,90,86.0,,0.86,77.4
2017-10-01,95,88.0,False,0.88,83.6
2017-10-02,94,88.0,,0.88,82.72
2017-10-03,94,88.0,,0.88,82.72
2017-10-04,93,88.0,,0.88,81.84
2017-10-05,100,88.0,,0.88,88.0
2017-10-06,91,88.0,,0.88,80.08
2017-10-07,88,88.0,,0.88,77.44
2017-10-08,87,88.0,,0.88,76.56
2017-10-09,90,88.0,,0.88,79.2
2017-10-10,91,88.0,,0.88,80.08
2017-10-11,86,88.0,,0.88,75.68
2017-10-12,92,88.0,,0.88,80.96
2017-10-13,89,88.0,,0.88,78.32000000000001
2017-10-14,89,88.0,,0.88,78.32000000000001
2017-10-15,85,88.0,,0.88,74.8
2017-10-16,83,88.0,,0.88,73.04
2017-10-17,90,88.0,,0.88,79.2
2017-10-18,91,88.0,,0.88,80.08
2017-10-19,92,88.0,,0.88,80.96
2017-10-20,89,88.0,,0.88,78.32000000000001
2017-10-21,93,88.0,,0.88,81.84
2017-10-22,85,88.0,,0.88,74.8
2017-10-23,89,88.0,,0.88,78.32000000000001
2017-10-24,87,88.0,,0.88,76.56
2017-10-25,93,88.0,,0.88,81.84
2017-10-26,94,88.0,,0.88,82.72
2017-10-27,89,88.0,,0.88,78.32000000000001
2017-10-28,86,88.0,,0.88,75.68
2017-10-29,88,88.0,,0.88,77.44
2017-10-30,90,88.0,,0.88,79.2
2017-10-31,90,88.0,,0.88,79.2
2017-11-01,87,82.0,False,0.82,71.33999999999999
2017-11-02,100,82.0,,0.82,82.0
2017-11-03,94,82.0,,0.82,77.08
2017-11-04,91,82.0,,0.82,74.61999999999999
2017-11-05,85,82.0,,0.82,69.7
2017-11-06,88,82.0,,0.82,72.16
2017-11-07,92,82.0,,0.82,75.44
2017-11-08,89,82.0,,0.82,72.97999999999999
2017-11-09,93,82.0,,0.82,76.25999999999999
2017-11-10,89,82.0,,0.82,72.97999999999999
2017-11-11,90,82.0,,0.82,73.8
2017-11-12,85,82.0,,0.82,69.7
2017-11-13,91,82.0,,0.82,74.61999999999999
2017-11-14,87,82.0,,0.82,71.33999999999999
2017-11-15,94,82.0,,0.82,77.08
2017-11-16,88,82.0,,0.82,72.16
2017-11-17,87,82.0,,0.82,71.33999999999999
2017-11-18,83,82.0,,0.82,68.06
2017-11-19,77,82.0,,0.82,63.13999999999999
2017-11-20,80,82.0,,0.82,65.6
2017-11-21,87,82.0,,0.82,71.33999999999999
2017-11-22,87,82.0,,0.82,71.33999999999999
2017-11-23,85,82.0,,0.82,69.7
2017-11-24,78,82.0,,0.82,63.959999999999994
2017-11-25,80,82.0,,0.82,65.6
2017-11-26,79,82.0,,0.82,64.78
2017-11-27,78,82.0,,0.82,63.959999999999994
2017-11-28,87,82.0,,0.82,71.33999999999999
2017-11-29,94,82.0,,0.82,77.08
2017-11-30,90,82.0,,0.82,73.8
2017-12-01,95,73.0,False,0.73,69.35
2017-12-02,92,73.0,,0.73,67.16
2017-12-03,94,73.0,,0.73,68.62
2017-12-04,97,73.0,,0.73,70.81
2017-12-05,100,73.0,,0.73,73.0
2017-12-06,96,73.0,,0.73,70.08
2017-12-07,93,73.0,,0.73,67.89
2017-12-08,90,73.0,,0.73,65.7
2017-12-09,84,73.0,,0.73,61.32
2017-12-10,89,73.0,,0.73,64.97
2017-12-11,97,73.0,,0.73,70.81
2017-12-12,94,73.0,,0.73,68.62
2017-12-13,90,73.0,,0.73,65.7
2017-12-14,94,73.0,,0.73,68.62
2017-12-15,95,73.0,,0.73,69.35
2017-12-16,87,73.0,,0.73,63.51
2017-12-17,92,73.0,,0.73,67.16
2017-12-18,93,73.0,,0.73,67.89
2017-12-19,85,73.0,,0.73,62.05
2017-12-20,84,73.0,,0.73,61.32
2017-12-21,84,73.0,,0.73,61.32
2017-12-22,81,73.0,,0.73,59.129999999999995
2017-12-23,83,73.0,,0.73,60.589999999999996
2017-12-24,81,73.0,,0.73,59.129999999999995
2017-12-25,86,73.0,,0.73,62.78
2017-12-26,85,73.0,,0.73,62.05
2017-12-27,88,73.0,,0.73,64.24
