date,AAL_unscaled,AAL_monthly,isPartial,scale,AAL
2016-07-24,24,10.0,,0.1,2.4000000000000004
2016-07-25,64,10.0,,0.1,6.4
2016-07-26,51,10.0,,0.1,5.1000000000000005
2016-07-27,63,10.0,,0.1,6.300000000000001
2016-07-28,61,10.0,,0.1,6.1000000000000005
2016-07-29,47,10.0,,0.1,4.7
2016-07-30,27,10.0,,0.1,2.7
2016-07-31,24,10.0,,0.1,2.4000000000000004
2016-08-01,66,7.0,False,0.07,4.62
2016-08-02,75,7.0,,0.07,5.250000000000001
2016-08-03,100,7.0,,0.07,7.000000000000001
2016-08-04,83,7.0,,0.07,5.8100000000000005
2016-08-05,83,7.0,,0.07,5.8100000000000005
2016-08-06,36,7.0,,0.07,2.5200000000000005
2016-08-07,35,7.0,,0.07,2.45
2016-08-08,88,7.0,,0.07,6.16
2016-08-09,83,7.0,,0.07,5.8100000000000005
2016-08-10,77,7.0,,0.07,5.390000000000001
2016-08-11,79,7.0,,0.07,5.53
2016-08-12,48,7.0,,0.07,3.3600000000000003
2016-08-13,44,7.0,,0.07,3.08
2016-08-14,39,7.0,,0.07,2.7300000000000004
2016-08-15,74,7.0,,0.07,5.180000000000001
2016-08-16,50,7.0,,0.07,3.5000000000000004
2016-08-17,53,7.0,,0.07,3.7100000000000004
2016-08-18,85,7.0,,0.07,5.95
2016-08-19,60,7.0,,0.07,4.2
2016-08-20,53,7.0,,0.07,3.7100000000000004
2016-08-21,30,7.0,,0.07,2.1
2016-08-22,55,7.0,,0.07,3.8500000000000005
2016-08-23,60,7.0,,0.07,4.2
2016-08-24,43,7.0,,0.07,3.0100000000000002
2016-08-25,59,7.0,,0.07,4.130000000000001
2016-08-26,50,7.0,,0.07,3.5000000000000004
2016-08-27,30,7.0,,0.07,2.1
2016-08-28,18,7.0,,0.07,1.2600000000000002
2016-08-29,68,7.0,,0.07,4.760000000000001
2016-08-30,88,7.0,,0.07,6.16
2016-08-31,68,7.0,,0.07,4.760000000000001
2016-09-01,85,6.0,False,0.06,5.1
2016-09-02,78,6.0,,0.06,4.68
2016-09-03,27,6.0,,0.06,1.6199999999999999
2016-09-04,36,6.0,,0.06,2.16
2016-09-05,15,6.0,,0.06,0.8999999999999999
2016-09-06,75,6.0,,0.06,4.5
2016-09-07,95,6.0,,0.06,5.7
2016-09-08,93,6.0,,0.06,5.58
2016-09-09,86,6.0,,0.06,5.16
2016-09-10,35,6.0,,0.06,2.1
2016-09-11,26,6.0,,0.06,1.56
2016-09-12,95,6.0,,0.06,5.7
2016-09-13,83,6.0,,0.06,4.9799999999999995
2016-09-14,100,6.0,,0.06,6.0
2016-09-15,97,6.0,,0.06,5.819999999999999
2016-09-16,60,6.0,,0.06,3.5999999999999996
2016-09-17,42,6.0,,0.06,2.52
2016-09-18,29,6.0,,0.06,1.74
2016-09-19,44,6.0,,0.06,2.6399999999999997
2016-09-20,64,6.0,,0.06,3.84
2016-09-21,83,6.0,,0.06,4.9799999999999995
2016-09-22,91,6.0,,0.06,5.46
2016-09-23,96,6.0,,0.06,5.76
2016-09-24,23,6.0,,0.06,1.38
2016-09-25,26,6.0,,0.06,1.56
2016-09-26,96,6.0,,0.06,5.76
2016-09-27,35,6.0,,0.06,2.1
2016-09-28,83,6.0,,0.06,4.9799999999999995
2016-09-29,61,6.0,,0.06,3.6599999999999997
2016-09-30,60,6.0,,0.06,3.5999999999999996
2016-10-01,21,6.0,False,0.06,1.26
2016-10-02,9,6.0,,0.06,0.54
2016-10-03,29,6.0,,0.06,1.74
2016-10-04,56,6.0,,0.06,3.36
2016-10-05,40,6.0,,0.06,2.4
2016-10-06,27,6.0,,0.06,1.6199999999999999
2016-10-07,40,6.0,,0.06,2.4
2016-10-08,26,6.0,,0.06,1.56
2016-10-09,21,6.0,,0.06,1.26
2016-10-10,43,6.0,,0.06,2.58
2016-10-11,39,6.0,,0.06,2.34
2016-10-12,40,6.0,,0.06,2.4
2016-10-13,45,6.0,,0.06,2.6999999999999997
2016-10-14,63,6.0,,0.06,3.78
2016-10-15,27,6.0,,0.06,1.6199999999999999
2016-10-16,32,6.0,,0.06,1.92
2016-10-17,39,6.0,,0.06,2.34
2016-10-18,58,6.0,,0.06,3.48
2016-10-19,61,6.0,,0.06,3.6599999999999997
2016-10-20,100,6.0,,0.06,6.0
2016-10-21,60,6.0,,0.06,3.5999999999999996
2016-10-22,27,6.0,,0.06,1.6199999999999999
2016-10-23,16,6.0,,0.06,0.96
2016-10-24,38,6.0,,0.06,2.28
2016-10-25,56,6.0,,0.06,3.36
2016-10-26,44,6.0,,0.06,2.6399999999999997
2016-10-27,54,6.0,,0.06,3.2399999999999998
2016-10-28,43,6.0,,0.06,2.58
2016-10-29,24,6.0,,0.06,1.44
2016-10-30,32,6.0,,0.06,1.92
2016-10-31,39,6.0,,0.06,2.34
2016-11-01,49,7.0,False,0.07,3.43
2016-11-02,73,7.0,,0.07,5.11
2016-11-03,50,7.0,,0.07,3.5000000000000004
2016-11-04,49,7.0,,0.07,3.43
2016-11-05,28,7.0,,0.07,1.9600000000000002
2016-11-06,13,7.0,,0.07,0.9100000000000001
2016-11-07,39,7.0,,0.07,2.7300000000000004
2016-11-08,53,7.0,,0.07,3.7100000000000004
2016-11-09,62,7.0,,0.07,4.340000000000001
2016-11-10,82,7.0,,0.07,5.74
2016-11-11,28,7.0,,0.07,1.9600000000000002
2016-11-12,32,7.0,,0.07,2.24
2016-11-13,24,7.0,,0.07,1.6800000000000002
2016-11-14,59,7.0,,0.07,4.130000000000001
2016-11-15,100,7.0,,0.07,7.000000000000001
2016-11-16,94,7.0,,0.07,6.580000000000001
2016-11-17,59,7.0,,0.07,4.130000000000001
2016-11-18,60,7.0,,0.07,4.2
2016-11-19,19,7.0,,0.07,1.33
2016-11-20,42,7.0,,0.07,2.9400000000000004
2016-11-21,76,7.0,,0.07,5.32
2016-11-22,72,7.0,,0.07,5.040000000000001
2016-11-23,61,7.0,,0.07,4.2700000000000005
2016-11-24,38,7.0,,0.07,2.66
2016-11-25,27,7.0,,0.07,1.8900000000000001
2016-11-26,25,7.0,,0.07,1.7500000000000002
2016-11-27,36,7.0,,0.07,2.5200000000000005
2016-11-28,71,7.0,,0.07,4.970000000000001
2016-11-29,64,7.0,,0.07,4.48
2016-11-30,61,7.0,,0.07,4.2700000000000005
2016-12-01,55,6.0,False,0.06,3.3
2016-12-02,56,6.0,,0.06,3.36
2016-12-03,25,6.0,,0.06,1.5
2016-12-04,30,6.0,,0.06,1.7999999999999998
2016-12-05,73,6.0,,0.06,4.38
2016-12-06,72,6.0,,0.06,4.32
2016-12-07,83,6.0,,0.06,4.9799999999999995
2016-12-08,71,6.0,,0.06,4.26
2016-12-09,88,6.0,,0.06,5.279999999999999
2016-12-10,43,6.0,,0.06,2.58
2016-12-11,43,6.0,,0.06,2.58
2016-12-12,71,6.0,,0.06,4.26
2016-12-13,100,6.0,,0.06,6.0
2016-12-14,84,6.0,,0.06,5.04
2016-12-15,86,6.0,,0.06,5.16
2016-12-16,64,6.0,,0.06,3.84
2016-12-17,33,6.0,,0.06,1.98
2016-12-18,19,6.0,,0.06,1.14
2016-12-19,69,6.0,,0.06,4.14
2016-12-20,93,6.0,,0.06,5.58
2016-12-21,84,6.0,,0.06,5.04
2016-12-22,66,6.0,,0.06,3.96
2016-12-23,67,6.0,,0.06,4.02
2016-12-24,58,6.0,,0.06,3.48
2016-12-25,51,6.0,,0.06,3.06
2016-12-26,41,6.0,,0.06,2.46
2016-12-27,43,6.0,,0.06,2.58
2016-12-28,44,6.0,,0.06,2.6399999999999997
2016-12-29,94,6.0,,0.06,5.64
2016-12-30,65,6.0,,0.06,3.9
2016-12-31,37,6.0,,0.06,2.2199999999999998
2017-01-01,16,6.0,False,0.06,0.96
2017-01-02,29,6.0,,0.06,1.74
2017-01-03,53,6.0,,0.06,3.1799999999999997
2017-01-04,61,6.0,,0.06,3.6599999999999997
2017-01-05,35,6.0,,0.06,2.1
2017-01-06,42,6.0,,0.06,2.52
2017-01-07,29,6.0,,0.06,1.74
2017-01-08,13,6.0,,0.06,0.78
2017-01-09,44,6.0,,0.06,2.6399999999999997
2017-01-10,35,6.0,,0.06,2.1
2017-01-11,78,6.0,,0.06,4.68
2017-01-12,60,6.0,,0.06,3.5999999999999996
2017-01-13,38,6.0,,0.06,2.28
2017-01-14,20,6.0,,0.06,1.2
2017-01-15,17,6.0,,0.06,1.02
2017-01-16,34,6.0,,0.06,2.04
2017-01-17,39,6.0,,0.06,2.34
2017-01-18,46,6.0,,0.06,2.76
2017-01-19,31,6.0,,0.06,1.8599999999999999
2017-01-20,64,6.0,,0.06,3.84
2017-01-21,15,6.0,,0.06,0.8999999999999999
2017-01-22,19,6.0,,0.06,1.14
2017-01-23,35,6.0,,0.06,2.1
2017-01-24,44,6.0,,0.06,2.6399999999999997
2017-01-25,40,6.0,,0.06,2.4
2017-01-26,76,6.0,,0.06,4.56
2017-01-27,100,6.0,,0.06,6.0
2017-01-28,22,6.0,,0.06,1.3199999999999998
2017-01-29,24,6.0,,0.06,1.44
2017-01-30,79,6.0,,0.06,4.74
2017-01-31,82,6.0,,0.06,4.92
2017-02-01,100,6.0,False,0.06,6.0
2017-02-02,48,6.0,,0.06,2.88
2017-02-03,74,6.0,,0.06,4.4399999999999995
2017-02-04,45,6.0,,0.06,2.6999999999999997
2017-02-05,33,6.0,,0.06,1.98
2017-02-06,67,6.0,,0.06,4.02
2017-02-07,57,6.0,,0.06,3.42
2017-02-08,74,6.0,,0.06,4.4399999999999995
2017-02-09,70,6.0,,0.06,4.2
2017-02-10,72,6.0,,0.06,4.32
2017-02-11,46,6.0,,0.06,2.76
2017-02-12,31,6.0,,0.06,1.8599999999999999
2017-02-13,43,6.0,,0.06,2.58
2017-02-14,60,6.0,,0.06,3.5999999999999996
2017-02-15,85,6.0,,0.06,5.1
2017-02-16,65,6.0,,0.06,3.9
2017-02-17,68,6.0,,0.06,4.08
2017-02-18,33,6.0,,0.06,1.98
2017-02-19,29,6.0,,0.06,1.74
2017-02-20,46,6.0,,0.06,2.76
2017-02-21,64,6.0,,0.06,3.84
2017-02-22,59,6.0,,0.06,3.54
2017-02-23,39,6.0,,0.06,2.34
2017-02-24,71,6.0,,0.06,4.26
2017-02-25,30,6.0,,0.06,1.7999999999999998
2017-02-26,21,6.0,,0.06,1.26
2017-02-27,55,6.0,,0.06,3.3
2017-02-28,68,6.0,,0.06,4.08
2017-03-01,69,6.0,False,0.06,4.14
2017-03-02,82,6.0,,0.06,4.92
2017-03-03,69,6.0,,0.06,4.14
2017-03-04,36,6.0,,0.06,2.16
2017-03-05,26,6.0,,0.06,1.56
2017-03-06,93,6.0,,0.06,5.58
2017-03-07,86,6.0,,0.06,5.16
2017-03-08,60,6.0,,0.06,3.5999999999999996
2017-03-09,68,6.0,,0.06,4.08
2017-03-10,75,6.0,,0.06,4.5
2017-03-11,33,6.0,,0.06,1.98
2017-03-12,24,6.0,,0.06,1.44
2017-03-13,59,6.0,,0.06,3.54
2017-03-14,73,6.0,,0.06,4.38
2017-03-15,100,6.0,,0.06,6.0
2017-03-16,100,6.0,,0.06,6.0
2017-03-17,35,6.0,,0.06,2.1
2017-03-18,36,6.0,,0.06,2.16
2017-03-19,26,6.0,,0.06,1.56
2017-03-20,57,6.0,,0.06,3.42
2017-03-21,71,6.0,,0.06,4.26
2017-03-22,83,6.0,,0.06,4.9799999999999995
2017-03-23,98,6.0,,0.06,5.88
2017-03-24,68,6.0,,0.06,4.08
2017-03-25,37,6.0,,0.06,2.2199999999999998
2017-03-26,26,6.0,,0.06,1.56
2017-03-27,57,6.0,,0.06,3.42
2017-03-28,67,6.0,,0.06,4.02
2017-03-29,78,6.0,,0.06,4.68
2017-03-30,87,6.0,,0.06,5.22
2017-03-31,84,6.0,,0.06,5.04
2017-04-01,22,7.0,False,0.07,1.54
2017-04-02,30,7.0,,0.07,2.1
2017-04-03,46,7.0,,0.07,3.22
2017-04-04,55,7.0,,0.07,3.8500000000000005
2017-04-05,65,7.0,,0.07,4.550000000000001
2017-04-06,70,7.0,,0.07,4.9
2017-04-07,49,7.0,,0.07,3.43
2017-04-08,38,7.0,,0.07,2.66
2017-04-09,25,7.0,,0.07,1.7500000000000002
2017-04-10,52,7.0,,0.07,3.6400000000000006
2017-04-11,73,7.0,,0.07,5.11
2017-04-12,77,7.0,,0.07,5.390000000000001
2017-04-13,51,7.0,,0.07,3.5700000000000003
2017-04-14,41,7.0,,0.07,2.87
2017-04-15,15,7.0,,0.07,1.05
2017-04-16,38,7.0,,0.07,2.66
2017-04-17,58,7.0,,0.07,4.0600000000000005
2017-04-18,42,7.0,,0.07,2.9400000000000004
2017-04-19,35,7.0,,0.07,2.45
2017-04-20,68,7.0,,0.07,4.760000000000001
2017-04-21,74,7.0,,0.07,5.180000000000001
2017-04-22,25,7.0,,0.07,1.7500000000000002
2017-04-23,40,7.0,,0.07,2.8000000000000003
2017-04-24,75,7.0,,0.07,5.250000000000001
2017-04-25,79,7.0,,0.07,5.53
2017-04-26,64,7.0,,0.07,4.48
2017-04-27,100,7.0,,0.07,7.000000000000001
2017-04-28,92,7.0,,0.07,6.44
2017-04-29,32,7.0,,0.07,2.24
2017-04-30,27,7.0,,0.07,1.8900000000000001
2017-05-01,62,7.0,False,0.07,4.340000000000001
2017-05-02,69,7.0,,0.07,4.83
2017-05-03,55,7.0,,0.07,3.8500000000000005
2017-05-04,65,7.0,,0.07,4.550000000000001
2017-05-05,60,7.0,,0.07,4.2
2017-05-06,41,7.0,,0.07,2.87
2017-05-07,33,7.0,,0.07,2.31
2017-05-08,72,7.0,,0.07,5.040000000000001
2017-05-09,69,7.0,,0.07,4.83
2017-05-10,100,7.0,,0.07,7.000000000000001
2017-05-11,52,7.0,,0.07,3.6400000000000006
2017-05-12,54,7.0,,0.07,3.7800000000000002
2017-05-13,34,7.0,,0.07,2.3800000000000003
2017-05-14,17,7.0,,0.07,1.1900000000000002
2017-05-15,56,7.0,,0.07,3.9200000000000004
2017-05-16,83,7.0,,0.07,5.8100000000000005
2017-05-17,62,7.0,,0.07,4.340000000000001
2017-05-18,57,7.0,,0.07,3.99
2017-05-19,46,7.0,,0.07,3.22
2017-05-20,38,7.0,,0.07,2.66
2017-05-21,44,7.0,,0.07,3.08
2017-05-22,57,7.0,,0.07,3.99
2017-05-23,90,7.0,,0.07,6.300000000000001
2017-05-24,53,7.0,,0.07,3.7100000000000004
2017-05-25,89,7.0,,0.07,6.23
2017-05-26,52,7.0,,0.07,3.6400000000000006
2017-05-27,31,7.0,,0.07,2.1700000000000004
2017-05-28,28,7.0,,0.07,1.9600000000000002
2017-05-29,34,7.0,,0.07,2.3800000000000003
2017-05-30,69,7.0,,0.07,4.83
2017-05-31,52,7.0,,0.07,3.6400000000000006
2017-06-01,79,6.0,False,0.06,4.74
2017-06-02,83,6.0,,0.06,4.9799999999999995
2017-06-03,37,6.0,,0.06,2.2199999999999998
2017-06-04,40,6.0,,0.06,2.4
2017-06-05,69,6.0,,0.06,4.14
2017-06-06,54,6.0,,0.06,3.2399999999999998
2017-06-07,55,6.0,,0.06,3.3
2017-06-08,100,6.0,,0.06,6.0
2017-06-09,65,6.0,,0.06,3.9
2017-06-10,44,6.0,,0.06,2.6399999999999997
2017-06-11,31,6.0,,0.06,1.8599999999999999
2017-06-12,64,6.0,,0.06,3.84
2017-06-13,63,6.0,,0.06,3.78
2017-06-14,77,6.0,,0.06,4.62
2017-06-15,57,6.0,,0.06,3.42
2017-06-16,66,6.0,,0.06,3.96
2017-06-17,37,6.0,,0.06,2.2199999999999998
2017-06-18,38,6.0,,0.06,2.28
2017-06-19,84,6.0,,0.06,5.04
2017-06-20,87,6.0,,0.06,5.22
2017-06-21,59,6.0,,0.06,3.54
2017-06-22,94,6.0,,0.06,5.64
2017-06-23,85,6.0,,0.06,5.1
2017-06-24,32,6.0,,0.06,1.92
2017-06-25,31,6.0,,0.06,1.8599999999999999
2017-06-26,54,6.0,,0.06,3.2399999999999998
2017-06-27,52,6.0,,0.06,3.12
2017-06-28,78,6.0,,0.06,4.68
2017-06-29,69,6.0,,0.06,4.14
2017-06-30,55,6.0,,0.06,3.3
2017-07-01,36,6.0,False,0.06,2.16
2017-07-02,37,6.0,,0.06,2.2199999999999998
2017-07-03,60,6.0,,0.06,3.5999999999999996
2017-07-04,43,6.0,,0.06,2.58
2017-07-05,59,6.0,,0.06,3.54
2017-07-06,85,6.0,,0.06,5.1
2017-07-07,45,6.0,,0.06,2.6999999999999997
2017-07-08,22,6.0,,0.06,1.3199999999999998
2017-07-09,36,6.0,,0.06,2.16
2017-07-10,63,6.0,,0.06,3.78
2017-07-11,66,6.0,,0.06,3.96
2017-07-12,47,6.0,,0.06,2.82
2017-07-13,100,6.0,,0.06,6.0
2017-07-14,96,6.0,,0.06,5.76
2017-07-15,32,6.0,,0.06,1.92
2017-07-16,33,6.0,,0.06,1.98
2017-07-17,66,6.0,,0.06,3.96
2017-07-18,47,6.0,,0.06,2.82
2017-07-19,75,6.0,,0.06,4.5
2017-07-20,52,6.0,,0.06,3.12
2017-07-21,71,6.0,,0.06,4.26
2017-07-22,22,6.0,,0.06,1.3199999999999998
2017-07-23,19,6.0,,0.06,1.14
2017-07-24,79,6.0,,0.06,4.74
2017-07-25,63,6.0,,0.06,3.78
2017-07-26,38,6.0,,0.06,2.28
2017-07-27,65,6.0,,0.06,3.9
2017-07-28,92,6.0,,0.06,5.52
2017-07-29,48,6.0,,0.06,2.88
2017-07-30,39,6.0,,0.06,2.34
2017-07-31,71,6.0,,0.06,4.26
2017-08-01,75,6.0,False,0.06,4.5
2017-08-02,100,6.0,,0.06,6.0
2017-08-03,69,6.0,,0.06,4.14
2017-08-04,97,6.0,,0.06,5.819999999999999
2017-08-05,31,6.0,,0.06,1.8599999999999999
2017-08-06,21,6.0,,0.06,1.26
2017-08-07,46,6.0,,0.06,2.76
2017-08-08,50,6.0,,0.06,3.0
2017-08-09,61,6.0,,0.06,3.6599999999999997
2017-08-10,70,6.0,,0.06,4.2
2017-08-11,67,6.0,,0.06,4.02
2017-08-12,24,6.0,,0.06,1.44
2017-08-13,14,6.0,,0.06,0.84
2017-08-14,59,6.0,,0.06,3.54
2017-08-15,53,6.0,,0.06,3.1799999999999997
2017-08-16,65,6.0,,0.06,3.9
2017-08-17,33,6.0,,0.06,1.98
2017-08-18,83,6.0,,0.06,4.9799999999999995
2017-08-19,34,6.0,,0.06,2.04
2017-08-20,27,6.0,,0.06,1.6199999999999999
2017-08-21,31,6.0,,0.06,1.8599999999999999
2017-08-22,35,6.0,,0.06,2.1
2017-08-23,73,6.0,,0.06,4.38
2017-08-24,64,6.0,,0.06,3.84
2017-08-25,98,6.0,,0.06,5.88
2017-08-26,64,6.0,,0.06,3.84
2017-08-27,19,6.0,,0.06,1.14
2017-08-28,70,6.0,,0.06,4.2
2017-08-29,65,6.0,,0.06,3.9
2017-08-30,34,6.0,,0.06,2.04
2017-08-31,34,6.0,,0.06,2.04
2017-09-01,69,5.0,False,0.05,3.45
2017-09-02,41,5.0,,0.05,2.0500000000000003
2017-09-03,21,5.0,,0.05,1.05
2017-09-04,39,5.0,,0.05,1.9500000000000002
2017-09-05,71,5.0,,0.05,3.5500000000000003
2017-09-06,59,5.0,,0.05,2.95
2017-09-07,47,5.0,,0.05,2.35
2017-09-08,78,5.0,,0.05,3.9000000000000004
2017-09-09,44,5.0,,0.05,2.2
2017-09-10,35,5.0,,0.05,1.75
2017-09-11,74,5.0,,0.05,3.7
2017-09-12,79,5.0,,0.05,3.95
2017-09-13,75,5.0,,0.05,3.75
2017-09-14,84,5.0,,0.05,4.2
2017-09-15,63,5.0,,0.05,3.1500000000000004
2017-09-16,29,5.0,,0.05,1.4500000000000002
2017-09-17,33,5.0,,0.05,1.6500000000000001
2017-09-18,85,5.0,,0.05,4.25
2017-09-19,81,5.0,,0.05,4.05
2017-09-20,85,5.0,,0.05,4.25
2017-09-21,58,5.0,,0.05,2.9000000000000004
2017-09-22,82,5.0,,0.05,4.1000000000000005
2017-09-23,21,5.0,,0.05,1.05
2017-09-24,33,5.0,,0.05,1.6500000000000001
2017-09-25,72,5.0,,0.05,3.6
2017-09-26,41,5.0,,0.05,2.0500000000000003
2017-09-27,100,5.0,,0.05,5.0
2017-09-28,83,5.0,,0.05,4.15
2017-09-29,74,5.0,,0.05,3.7
2017-09-30,51,5.0,,0.05,2.5500000000000003
2017-10-01,49,5.0,False,0.05,2.45
2017-10-02,54,5.0,,0.05,2.7
2017-10-03,68,5.0,,0.05,3.4000000000000004
2017-10-04,100,5.0,,0.05,5.0
2017-10-05,88,5.0,,0.05,4.4
2017-10-06,68,5.0,,0.05,3.4000000000000004
2017-10-07,41,5.0,,0.05,2.0500000000000003
2017-10-08,37,5.0,,0.05,1.85
2017-10-09,65,5.0,,0.05,3.25
2017-10-10,97,5.0,,0.05,4.8500000000000005
2017-10-11,99,5.0,,0.05,4.95
2017-10-12,53,5.0,,0.05,2.6500000000000004
2017-10-13,77,5.0,,0.05,3.85
2017-10-14,41,5.0,,0.05,2.0500000000000003
2017-10-15,41,5.0,,0.05,2.0500000000000003
2017-10-16,75,5.0,,0.05,3.75
2017-10-17,53,5.0,,0.05,2.6500000000000004
2017-10-18,87,5.0,,0.05,4.3500000000000005
2017-10-19,97,5.0,,0.05,4.8500000000000005
2017-10-20,43,5.0,,0.05,2.15
2017-10-21,42,5.0,,0.05,2.1
2017-10-22,52,5.0,,0.05,2.6
2017-10-23,68,5.0,,0.05,3.4000000000000004
2017-10-24,58,5.0,,0.05,2.9000000000000004
2017-10-25,53,5.0,,0.05,2.6500000000000004
2017-10-26,75,5.0,,0.05,3.75
2017-10-27,75,5.0,,0.05,3.75
2017-10-28,30,5.0,,0.05,1.5
2017-10-29,22,5.0,,0.05,1.1
2017-10-30,61,5.0,,0.05,3.0500000000000003
2017-10-31,45,5.0,,0.05,2.25
2017-11-01,87,5.0,False,0.05,4.3500000000000005
2017-11-02,48,5.0,,0.05,2.4000000000000004
2017-11-03,100,5.0,,0.05,5.0
2017-11-04,39,5.0,,0.05,1.9500000000000002
2017-11-05,30,5.0,,0.05,1.5
2017-11-06,83,5.0,,0.05,4.15
2017-11-07,67,5.0,,0.05,3.35
2017-11-08,51,5.0,,0.05,2.5500000000000003
2017-11-09,74,5.0,,0.05,3.7
2017-11-10,52,5.0,,0.05,2.6
2017-11-11,27,5.0,,0.05,1.35
2017-11-12,31,5.0,,0.05,1.55
2017-11-13,79,5.0,,0.05,3.95
2017-11-14,73,5.0,,0.05,3.6500000000000004
2017-11-15,71,5.0,,0.05,3.5500000000000003
2017-11-16,61,5.0,,0.05,3.0500000000000003
2017-11-17,69,5.0,,0.05,3.45
2017-11-18,27,5.0,,0.05,1.35
2017-11-19,27,5.0,,0.05,1.35
2017-11-20,79,5.0,,0.05,3.95
2017-11-21,71,5.0,,0.05,3.5500000000000003
2017-11-22,70,5.0,,0.05,3.5
2017-11-23,19,5.0,,0.05,0.9500000000000001
2017-11-24,56,5.0,,0.05,2.8000000000000003
2017-11-25,30,5.0,,0.05,1.5
2017-11-26,15,5.0,,0.05,0.75
2017-11-27,54,5.0,,0.05,2.7
2017-11-28,25,5.0,,0.05,1.25
2017-11-29,66,5.0,,0.05,3.3000000000000003
2017-11-30,100,5.0,,0.05,5.0
2017-12-01,50,5.0,False,0.05,2.5
2017-12-02,35,5.0,,0.05,1.75
2017-12-03,31,5.0,,0.05,1.55
2017-12-04,100,5.0,,0.05,5.0
2017-12-05,51,5.0,,0.05,2.5500000000000003
2017-12-06,95,5.0,,0.05,4.75
2017-12-07,64,5.0,,0.05,3.2
