date,PSA_unscaled,PSA_monthly,isPartial,scale,PSA
2016-08-04,88,39.0,,0.39,34.32
2016-08-05,89,39.0,,0.39,34.71
2016-08-06,57,39.0,,0.39,22.23
2016-08-07,57,39.0,,0.39,22.23
2016-08-08,91,39.0,,0.39,35.49
2016-08-09,84,39.0,,0.39,32.76
2016-08-10,91,39.0,,0.39,35.49
2016-08-11,82,39.0,,0.39,31.98
2016-08-12,83,39.0,,0.39,32.370000000000005
2016-08-13,59,39.0,,0.39,23.01
2016-08-14,55,39.0,,0.39,21.45
2016-08-15,67,39.0,,0.39,26.130000000000003
2016-08-16,85,39.0,,0.39,33.15
2016-08-17,72,39.0,,0.39,28.080000000000002
2016-08-18,90,39.0,,0.39,35.1
2016-08-19,60,39.0,,0.39,23.400000000000002
2016-08-20,50,39.0,,0.39,19.5
2016-08-21,52,39.0,,0.39,20.28
2016-08-22,73,39.0,,0.39,28.470000000000002
2016-08-23,94,39.0,,0.39,36.660000000000004
2016-08-24,100,39.0,,0.39,39.0
2016-08-25,82,39.0,,0.39,31.98
2016-08-26,77,39.0,,0.39,30.03
2016-08-27,72,39.0,,0.39,28.080000000000002
2016-08-28,63,39.0,,0.39,24.57
2016-08-29,76,39.0,,0.39,29.64
2016-08-30,72,39.0,,0.39,28.080000000000002
2016-08-31,98,39.0,,0.39,38.22
2016-09-01,85,40.0,False,0.4,34.0
2016-09-02,84,40.0,,0.4,33.6
2016-09-03,49,40.0,,0.4,19.6
2016-09-04,58,40.0,,0.4,23.200000000000003
2016-09-05,52,40.0,,0.4,20.8
2016-09-06,83,40.0,,0.4,33.2
2016-09-07,70,40.0,,0.4,28.0
2016-09-08,89,40.0,,0.4,35.6
2016-09-09,82,40.0,,0.4,32.800000000000004
2016-09-10,62,40.0,,0.4,24.8
2016-09-11,49,40.0,,0.4,19.6
2016-09-12,85,40.0,,0.4,34.0
2016-09-13,90,40.0,,0.4,36.0
2016-09-14,99,40.0,,0.4,39.6
2016-09-15,98,40.0,,0.4,39.2
2016-09-16,88,40.0,,0.4,35.2
2016-09-17,58,40.0,,0.4,23.200000000000003
2016-09-18,56,40.0,,0.4,22.400000000000002
2016-09-19,81,40.0,,0.4,32.4
2016-09-20,75,40.0,,0.4,30.0
2016-09-21,100,40.0,,0.4,40.0
2016-09-22,96,40.0,,0.4,38.400000000000006
2016-09-23,83,40.0,,0.4,33.2
2016-09-24,58,40.0,,0.4,23.200000000000003
2016-09-25,62,40.0,,0.4,24.8
2016-09-26,99,40.0,,0.4,39.6
2016-09-27,87,40.0,,0.4,34.800000000000004
2016-09-28,93,40.0,,0.4,37.2
2016-09-29,88,40.0,,0.4,35.2
2016-09-30,74,40.0,,0.4,29.6
2016-10-01,47,46.0,False,0.46,21.62
2016-10-02,48,46.0,,0.46,22.080000000000002
2016-10-03,66,46.0,,0.46,30.360000000000003
2016-10-04,97,46.0,,0.46,44.620000000000005
2016-10-05,100,46.0,,0.46,46.0
2016-10-06,87,46.0,,0.46,40.02
2016-10-07,73,46.0,,0.46,33.58
2016-10-08,46,46.0,,0.46,21.16
2016-10-09,46,46.0,,0.46,21.16
2016-10-10,61,46.0,,0.46,28.060000000000002
2016-10-11,76,46.0,,0.46,34.96
2016-10-12,84,46.0,,0.46,38.64
2016-10-13,76,46.0,,0.46,34.96
2016-10-14,75,46.0,,0.46,34.5
2016-10-15,55,46.0,,0.46,25.3
2016-10-16,38,46.0,,0.46,17.48
2016-10-17,75,46.0,,0.46,34.5
2016-10-18,76,46.0,,0.46,34.96
2016-10-19,76,46.0,,0.46,34.96
2016-10-20,67,46.0,,0.46,30.82
2016-10-21,64,46.0,,0.46,29.44
2016-10-22,57,46.0,,0.46,26.220000000000002
2016-10-23,48,46.0,,0.46,22.080000000000002
2016-10-24,75,46.0,,0.46,34.5
2016-10-25,80,46.0,,0.46,36.800000000000004
2016-10-26,72,46.0,,0.46,33.120000000000005
2016-10-27,72,46.0,,0.46,33.120000000000005
2016-10-28,64,46.0,,0.46,29.44
2016-10-29,47,46.0,,0.46,21.62
2016-10-30,46,46.0,,0.46,21.16
2016-10-31,68,46.0,,0.46,31.28
2016-11-01,79,47.0,False,0.47,37.129999999999995
2016-11-02,75,47.0,,0.47,35.25
2016-11-03,77,47.0,,0.47,36.19
2016-11-04,82,47.0,,0.47,38.54
2016-11-05,59,47.0,,0.47,27.729999999999997
2016-11-06,46,47.0,,0.47,21.619999999999997
2016-11-07,73,47.0,,0.47,34.309999999999995
2016-11-08,72,47.0,,0.47,33.839999999999996
2016-11-09,57,47.0,,0.47,26.79
2016-11-10,71,47.0,,0.47,33.37
2016-11-11,66,47.0,,0.47,31.02
2016-11-12,48,47.0,,0.47,22.56
2016-11-13,47,47.0,,0.47,22.09
2016-11-14,66,47.0,,0.47,31.02
2016-11-15,83,47.0,,0.47,39.01
2016-11-16,81,47.0,,0.47,38.07
2016-11-17,81,47.0,,0.47,38.07
2016-11-18,70,47.0,,0.47,32.9
2016-11-19,47,47.0,,0.47,22.09
2016-11-20,55,47.0,,0.47,25.849999999999998
2016-11-21,75,47.0,,0.47,35.25
2016-11-22,100,47.0,,0.47,47.0
2016-11-23,75,47.0,,0.47,35.25
2016-11-24,60,47.0,,0.47,28.2
2016-11-25,52,47.0,,0.47,24.439999999999998
2016-11-26,41,47.0,,0.47,19.27
2016-11-27,54,47.0,,0.47,25.38
2016-11-28,66,47.0,,0.47,31.02
2016-11-29,85,47.0,,0.47,39.949999999999996
2016-11-30,89,47.0,,0.47,41.83
2016-12-01,82,48.0,False,0.48,39.36
2016-12-02,69,48.0,,0.48,33.12
2016-12-03,60,48.0,,0.48,28.799999999999997
2016-12-04,64,48.0,,0.48,30.72
2016-12-05,98,48.0,,0.48,47.04
2016-12-06,100,48.0,,0.48,48.0
2016-12-07,92,48.0,,0.48,44.16
2016-12-08,85,48.0,,0.48,40.8
2016-12-09,72,48.0,,0.48,34.56
2016-12-10,57,48.0,,0.48,27.36
2016-12-11,50,48.0,,0.48,24.0
2016-12-12,69,48.0,,0.48,33.12
2016-12-13,78,48.0,,0.48,37.44
2016-12-14,73,48.0,,0.48,35.04
2016-12-15,79,48.0,,0.48,37.92
2016-12-16,69,48.0,,0.48,33.12
2016-12-17,49,48.0,,0.48,23.52
2016-12-18,53,48.0,,0.48,25.439999999999998
2016-12-19,65,48.0,,0.48,31.2
2016-12-20,71,48.0,,0.48,34.08
2016-12-21,65,48.0,,0.48,31.2
2016-12-22,70,48.0,,0.48,33.6
2016-12-23,67,48.0,,0.48,32.16
2016-12-24,46,48.0,,0.48,22.08
2016-12-25,33,48.0,,0.48,15.84
2016-12-26,38,48.0,,0.48,18.24
2016-12-27,48,48.0,,0.48,23.04
2016-12-28,55,48.0,,0.48,26.4
2016-12-29,57,48.0,,0.48,27.36
2016-12-30,60,48.0,,0.48,28.799999999999997
2016-12-31,54,48.0,,0.48,25.919999999999998
2017-01-01,62,48.0,False,0.48,29.759999999999998
2017-01-02,60,48.0,,0.48,28.799999999999997
2017-01-03,74,48.0,,0.48,35.519999999999996
2017-01-04,97,48.0,,0.48,46.559999999999995
2017-01-05,94,48.0,,0.48,45.12
2017-01-06,83,48.0,,0.48,39.839999999999996
2017-01-07,65,48.0,,0.48,31.2
2017-01-08,59,48.0,,0.48,28.32
2017-01-09,75,48.0,,0.48,36.0
2017-01-10,91,48.0,,0.48,43.68
2017-01-11,97,48.0,,0.48,46.559999999999995
2017-01-12,100,48.0,,0.48,48.0
2017-01-13,94,48.0,,0.48,45.12
2017-01-14,70,48.0,,0.48,33.6
2017-01-15,54,48.0,,0.48,25.919999999999998
2017-01-16,81,48.0,,0.48,38.879999999999995
2017-01-17,98,48.0,,0.48,47.04
2017-01-18,97,48.0,,0.48,46.559999999999995
2017-01-19,93,48.0,,0.48,44.64
2017-01-20,81,48.0,,0.48,38.879999999999995
2017-01-21,64,48.0,,0.48,30.72
2017-01-22,65,48.0,,0.48,31.2
2017-01-23,78,48.0,,0.48,37.44
2017-01-24,86,48.0,,0.48,41.28
2017-01-25,88,48.0,,0.48,42.239999999999995
2017-01-26,89,48.0,,0.48,42.72
2017-01-27,83,48.0,,0.48,39.839999999999996
2017-01-28,73,48.0,,0.48,35.04
2017-01-29,64,48.0,,0.48,30.72
2017-01-30,78,48.0,,0.48,37.44
2017-01-31,85,48.0,,0.48,40.8
2017-02-01,91,52.0,False,0.52,47.32
2017-02-02,77,52.0,,0.52,40.04
2017-02-03,87,52.0,,0.52,45.24
2017-02-04,67,52.0,,0.52,34.84
2017-02-05,59,52.0,,0.52,30.68
2017-02-06,77,52.0,,0.52,40.04
2017-02-07,81,52.0,,0.52,42.120000000000005
2017-02-08,93,52.0,,0.52,48.36
2017-02-09,76,52.0,,0.52,39.52
2017-02-10,88,52.0,,0.52,45.760000000000005
2017-02-11,65,52.0,,0.52,33.800000000000004
2017-02-12,61,52.0,,0.52,31.720000000000002
2017-02-13,88,52.0,,0.52,45.760000000000005
2017-02-14,88,52.0,,0.52,45.760000000000005
2017-02-15,100,52.0,,0.52,52.0
2017-02-16,97,52.0,,0.52,50.440000000000005
2017-02-17,87,52.0,,0.52,45.24
2017-02-18,71,52.0,,0.52,36.92
2017-02-19,55,52.0,,0.52,28.6
2017-02-20,74,52.0,,0.52,38.480000000000004
2017-02-21,88,52.0,,0.52,45.760000000000005
2017-02-22,79,52.0,,0.52,41.08
2017-02-23,83,52.0,,0.52,43.160000000000004
2017-02-24,82,52.0,,0.52,42.64
2017-02-25,66,52.0,,0.52,34.32
2017-02-26,60,52.0,,0.52,31.200000000000003
2017-02-27,89,52.0,,0.52,46.28
2017-02-28,90,52.0,,0.52,46.800000000000004
2017-03-01,82,52.0,False,0.52,42.64
2017-03-02,84,52.0,,0.52,43.68
2017-03-03,78,52.0,,0.52,40.56
2017-03-04,61,52.0,,0.52,31.720000000000002
2017-03-05,62,52.0,,0.52,32.24
2017-03-06,100,52.0,,0.52,52.0
2017-03-07,92,52.0,,0.52,47.84
2017-03-08,88,52.0,,0.52,45.760000000000005
2017-03-09,79,52.0,,0.52,41.08
2017-03-10,81,52.0,,0.52,42.120000000000005
2017-03-11,55,52.0,,0.52,28.6
2017-03-12,51,52.0,,0.52,26.52
2017-03-13,82,52.0,,0.52,42.64
2017-03-14,79,52.0,,0.52,41.08
2017-03-15,81,52.0,,0.52,42.120000000000005
2017-03-16,87,52.0,,0.52,45.24
2017-03-17,72,52.0,,0.52,37.44
2017-03-18,59,52.0,,0.52,30.68
2017-03-19,53,52.0,,0.52,27.560000000000002
2017-03-20,83,52.0,,0.52,43.160000000000004
2017-03-21,77,52.0,,0.52,40.04
2017-03-22,85,52.0,,0.52,44.2
2017-03-23,91,52.0,,0.52,47.32
2017-03-24,79,52.0,,0.52,41.08
2017-03-25,59,52.0,,0.52,30.68
2017-03-26,55,52.0,,0.52,28.6
2017-03-27,81,52.0,,0.52,42.120000000000005
2017-03-28,88,52.0,,0.52,45.760000000000005
2017-03-29,95,52.0,,0.52,49.4
2017-03-30,91,52.0,,0.52,47.32
2017-03-31,75,52.0,,0.52,39.0
2017-04-01,57,50.0,False,0.5,28.5
2017-04-02,54,50.0,,0.5,27.0
2017-04-03,74,50.0,,0.5,37.0
2017-04-04,90,50.0,,0.5,45.0
2017-04-05,81,50.0,,0.5,40.5
2017-04-06,68,50.0,,0.5,34.0
2017-04-07,77,50.0,,0.5,38.5
2017-04-08,58,50.0,,0.5,29.0
2017-04-09,51,50.0,,0.5,25.5
2017-04-10,81,50.0,,0.5,40.5
2017-04-11,100,50.0,,0.5,50.0
2017-04-12,91,50.0,,0.5,45.5
2017-04-13,82,50.0,,0.5,41.0
2017-04-14,69,50.0,,0.5,34.5
2017-04-15,58,50.0,,0.5,29.0
2017-04-16,51,50.0,,0.5,25.5
2017-04-17,71,50.0,,0.5,35.5
2017-04-18,88,50.0,,0.5,44.0
2017-04-19,88,50.0,,0.5,44.0
2017-04-20,81,50.0,,0.5,40.5
2017-04-21,78,50.0,,0.5,39.0
2017-04-22,62,50.0,,0.5,31.0
2017-04-23,53,50.0,,0.5,26.5
2017-04-24,79,50.0,,0.5,39.5
2017-04-25,86,50.0,,0.5,43.0
2017-04-26,88,50.0,,0.5,44.0
2017-04-27,78,50.0,,0.5,39.0
2017-04-28,79,50.0,,0.5,39.5
2017-04-29,56,50.0,,0.5,28.0
2017-04-30,57,50.0,,0.5,28.5
2017-05-01,84,49.0,False,0.49,41.16
2017-05-02,91,49.0,,0.49,44.589999999999996
2017-05-03,98,49.0,,0.49,48.019999999999996
2017-05-04,88,49.0,,0.49,43.12
2017-05-05,94,49.0,,0.49,46.06
2017-05-06,62,49.0,,0.49,30.38
2017-05-07,55,49.0,,0.49,26.95
2017-05-08,100,49.0,,0.49,49.0
2017-05-09,89,49.0,,0.49,43.61
2017-05-10,89,49.0,,0.49,43.61
2017-05-11,92,49.0,,0.49,45.08
2017-05-12,83,49.0,,0.49,40.67
2017-05-13,65,49.0,,0.49,31.849999999999998
2017-05-14,58,49.0,,0.49,28.419999999999998
2017-05-15,97,49.0,,0.49,47.53
2017-05-16,98,49.0,,0.49,48.019999999999996
2017-05-17,87,49.0,,0.49,42.63
2017-05-18,90,49.0,,0.49,44.1
2017-05-19,88,49.0,,0.49,43.12
2017-05-20,65,49.0,,0.49,31.849999999999998
2017-05-21,53,49.0,,0.49,25.97
2017-05-22,89,49.0,,0.49,43.61
2017-05-23,88,49.0,,0.49,43.12
2017-05-24,95,49.0,,0.49,46.55
2017-05-25,90,49.0,,0.49,44.1
2017-05-26,80,49.0,,0.49,39.2
2017-05-27,59,49.0,,0.49,28.91
2017-05-28,51,49.0,,0.49,24.99
2017-05-29,56,49.0,,0.49,27.439999999999998
2017-05-30,83,49.0,,0.49,40.67
2017-05-31,85,49.0,,0.49,41.65
2017-06-01,91,43.0,False,0.43,39.13
2017-06-02,75,43.0,,0.43,32.25
2017-06-03,60,43.0,,0.43,25.8
2017-06-04,59,43.0,,0.43,25.37
2017-06-05,90,43.0,,0.43,38.7
2017-06-06,96,43.0,,0.43,41.28
2017-06-07,88,43.0,,0.43,37.839999999999996
2017-06-08,75,43.0,,0.43,32.25
2017-06-09,82,43.0,,0.43,35.26
2017-06-10,73,43.0,,0.43,31.39
2017-06-11,64,43.0,,0.43,27.52
2017-06-12,82,43.0,,0.43,35.26
2017-06-13,86,43.0,,0.43,36.98
2017-06-14,77,43.0,,0.43,33.11
2017-06-15,87,43.0,,0.43,37.41
2017-06-16,83,43.0,,0.43,35.69
2017-06-17,71,43.0,,0.43,30.53
2017-06-18,58,43.0,,0.43,24.94
2017-06-19,99,43.0,,0.43,42.57
2017-06-20,86,43.0,,0.43,36.98
2017-06-21,100,43.0,,0.43,43.0
2017-06-22,93,43.0,,0.43,39.99
2017-06-23,88,43.0,,0.43,37.839999999999996
2017-06-24,59,43.0,,0.43,25.37
2017-06-25,53,43.0,,0.43,22.79
2017-06-26,85,43.0,,0.43,36.55
2017-06-27,91,43.0,,0.43,39.13
2017-06-28,93,43.0,,0.43,39.99
2017-06-29,99,43.0,,0.43,42.57
2017-06-30,94,43.0,,0.43,40.42
2017-07-01,66,42.0,False,0.42,27.72
2017-07-02,68,42.0,,0.42,28.56
2017-07-03,84,42.0,,0.42,35.28
2017-07-04,59,42.0,,0.42,24.779999999999998
2017-07-05,83,42.0,,0.42,34.86
2017-07-06,74,42.0,,0.42,31.08
2017-07-07,95,42.0,,0.42,39.9
2017-07-08,72,42.0,,0.42,30.24
2017-07-09,58,42.0,,0.42,24.36
2017-07-10,86,42.0,,0.42,36.12
2017-07-11,96,42.0,,0.42,40.32
2017-07-12,91,42.0,,0.42,38.22
2017-07-13,83,42.0,,0.42,34.86
2017-07-14,93,42.0,,0.42,39.059999999999995
2017-07-15,81,42.0,,0.42,34.019999999999996
2017-07-16,69,42.0,,0.42,28.98
2017-07-17,89,42.0,,0.42,37.379999999999995
2017-07-18,85,42.0,,0.42,35.699999999999996
2017-07-19,95,42.0,,0.42,39.9
2017-07-20,99,42.0,,0.42,41.58
2017-07-21,88,42.0,,0.42,36.96
2017-07-22,68,42.0,,0.42,28.56
2017-07-23,77,42.0,,0.42,32.339999999999996
2017-07-24,95,42.0,,0.42,39.9
2017-07-25,99,42.0,,0.42,41.58
2017-07-26,100,42.0,,0.42,42.0
2017-07-27,95,42.0,,0.42,39.9
2017-07-28,94,42.0,,0.42,39.48
2017-07-29,70,42.0,,0.42,29.4
2017-07-30,62,42.0,,0.42,26.04
2017-07-31,94,42.0,,0.42,39.48
2017-08-01,94,44.0,False,0.44,41.36
2017-08-02,89,44.0,,0.44,39.160000000000004
2017-08-03,83,44.0,,0.44,36.52
2017-08-04,72,44.0,,0.44,31.68
2017-08-05,61,44.0,,0.44,26.84
2017-08-06,69,44.0,,0.44,30.36
2017-08-07,86,44.0,,0.44,37.84
2017-08-08,90,44.0,,0.44,39.6
2017-08-09,100,44.0,,0.44,44.0
2017-08-10,72,44.0,,0.44,31.68
2017-08-11,86,44.0,,0.44,37.84
2017-08-12,62,44.0,,0.44,27.28
2017-08-13,53,44.0,,0.44,23.32
2017-08-14,80,44.0,,0.44,35.2
2017-08-15,94,44.0,,0.44,41.36
2017-08-16,96,44.0,,0.44,42.24
2017-08-17,86,44.0,,0.44,37.84
2017-08-18,72,44.0,,0.44,31.68
2017-08-19,57,44.0,,0.44,25.080000000000002
2017-08-20,61,44.0,,0.44,26.84
2017-08-21,75,44.0,,0.44,33.0
2017-08-22,82,44.0,,0.44,36.08
2017-08-23,91,44.0,,0.44,40.04
2017-08-24,79,44.0,,0.44,34.76
2017-08-25,76,44.0,,0.44,33.44
2017-08-26,57,44.0,,0.44,25.080000000000002
2017-08-27,50,44.0,,0.44,22.0
2017-08-28,78,44.0,,0.44,34.32
2017-08-29,93,44.0,,0.44,40.92
2017-08-30,92,44.0,,0.44,40.48
2017-08-31,85,44.0,,0.44,37.4
2017-09-01,76,43.0,False,0.43,32.68
2017-09-02,59,43.0,,0.43,25.37
2017-09-03,58,43.0,,0.43,24.94
2017-09-04,64,43.0,,0.43,27.52
2017-09-05,77,43.0,,0.43,33.11
2017-09-06,94,43.0,,0.43,40.42
2017-09-07,79,43.0,,0.43,33.97
2017-09-08,79,43.0,,0.43,33.97
2017-09-09,68,43.0,,0.43,29.24
2017-09-10,55,43.0,,0.43,23.65
2017-09-11,79,43.0,,0.43,33.97
2017-09-12,86,43.0,,0.43,36.98
2017-09-13,74,43.0,,0.43,31.82
2017-09-14,80,43.0,,0.43,34.4
2017-09-15,82,43.0,,0.43,35.26
2017-09-16,69,43.0,,0.43,29.669999999999998
2017-09-17,59,43.0,,0.43,25.37
2017-09-18,89,43.0,,0.43,38.269999999999996
2017-09-19,82,43.0,,0.43,35.26
2017-09-20,94,43.0,,0.43,40.42
2017-09-21,100,43.0,,0.43,43.0
2017-09-22,91,43.0,,0.43,39.13
2017-09-23,65,43.0,,0.43,27.95
2017-09-24,57,43.0,,0.43,24.509999999999998
2017-09-25,93,43.0,,0.43,39.99
2017-09-26,93,43.0,,0.43,39.99
2017-09-27,95,43.0,,0.43,40.85
2017-09-28,92,43.0,,0.43,39.56
2017-09-29,84,43.0,,0.43,36.12
2017-09-30,68,43.0,,0.43,29.24
2017-10-01,51,50.0,False,0.5,25.5
2017-10-02,73,50.0,,0.5,36.5
2017-10-03,74,50.0,,0.5,37.0
2017-10-04,89,50.0,,0.5,44.5
2017-10-05,84,50.0,,0.5,42.0
2017-10-06,80,50.0,,0.5,40.0
2017-10-07,64,50.0,,0.5,32.0
2017-10-08,43,50.0,,0.5,21.5
2017-10-09,87,50.0,,0.5,43.5
2017-10-10,76,50.0,,0.5,38.0
2017-10-11,76,50.0,,0.5,38.0
2017-10-12,81,50.0,,0.5,40.5
2017-10-13,86,50.0,,0.5,43.0
2017-10-14,58,50.0,,0.5,29.0
2017-10-15,52,50.0,,0.5,26.0
2017-10-16,82,50.0,,0.5,41.0
2017-10-17,91,50.0,,0.5,45.5
2017-10-18,97,50.0,,0.5,48.5
2017-10-19,86,50.0,,0.5,43.0
2017-10-20,80,50.0,,0.5,40.0
2017-10-21,64,50.0,,0.5,32.0
2017-10-22,61,50.0,,0.5,30.5
2017-10-23,79,50.0,,0.5,39.5
2017-10-24,94,50.0,,0.5,47.0
2017-10-25,94,50.0,,0.5,47.0
2017-10-26,100,50.0,,0.5,50.0
2017-10-27,79,50.0,,0.5,39.5
2017-10-28,62,50.0,,0.5,31.0
2017-10-29,50,50.0,,0.5,25.0
2017-10-30,85,50.0,,0.5,42.5
2017-10-31,80,50.0,,0.5,40.0
2017-11-01,91,51.0,False,0.51,46.410000000000004
2017-11-02,94,51.0,,0.51,47.94
2017-11-03,86,51.0,,0.51,43.86
2017-11-04,76,51.0,,0.51,38.76
2017-11-05,65,51.0,,0.51,33.15
2017-11-06,81,51.0,,0.51,41.31
2017-11-07,92,51.0,,0.51,46.92
2017-11-08,98,51.0,,0.51,49.980000000000004
2017-11-09,93,51.0,,0.51,47.43
2017-11-10,78,51.0,,0.51,39.78
2017-11-11,62,51.0,,0.51,31.62
2017-11-12,49,51.0,,0.51,24.990000000000002
2017-11-13,96,51.0,,0.51,48.96
2017-11-14,90,51.0,,0.51,45.9
2017-11-15,92,51.0,,0.51,46.92
2017-11-16,97,51.0,,0.51,49.47
2017-11-17,83,51.0,,0.51,42.33
2017-11-18,72,51.0,,0.51,36.72
2017-11-19,54,51.0,,0.51,27.54
2017-11-20,82,51.0,,0.51,41.82
2017-11-21,93,51.0,,0.51,47.43
2017-11-22,81,51.0,,0.51,41.31
2017-11-23,53,51.0,,0.51,27.03
2017-11-24,59,51.0,,0.51,30.09
2017-11-25,47,51.0,,0.51,23.97
2017-11-26,60,51.0,,0.51,30.6
2017-11-27,82,51.0,,0.51,41.82
2017-11-28,92,51.0,,0.51,46.92
2017-11-29,100,51.0,,0.51,51.0
2017-11-30,97,51.0,,0.51,49.47
2017-12-01,83,44.0,False,0.44,36.52
2017-12-02,65,44.0,,0.44,28.6
2017-12-03,67,44.0,,0.44,29.48
2017-12-04,72,44.0,,0.44,31.68
2017-12-05,100,44.0,,0.44,44.0
2017-12-06,98,44.0,,0.44,43.12
2017-12-07,88,44.0,,0.44,38.72
2017-12-08,71,44.0,,0.44,31.24
2017-12-09,70,44.0,,0.44,30.8
2017-12-10,61,44.0,,0.44,26.84
2017-12-11,88,44.0,,0.44,38.72
2017-12-12,92,44.0,,0.44,40.48
2017-12-13,68,44.0,,0.44,29.92
2017-12-14,100,44.0,,0.44,44.0
2017-12-15,96,44.0,,0.44,42.24
2017-12-16,69,44.0,,0.44,30.36
2017-12-17,65,44.0,,0.44,28.6
2017-12-18,80,44.0,,0.44,35.2
2017-12-19,86,44.0,,0.44,37.84
2017-12-20,88,44.0,,0.44,38.72
2017-12-21,81,44.0,,0.44,35.64
2017-12-22,72,44.0,,0.44,31.68
2017-12-23,64,44.0,,0.44,28.16
2017-12-24,60,44.0,,0.44,26.4
2017-12-25,49,44.0,,0.44,21.56
2017-12-26,57,44.0,,0.44,25.080000000000002
2017-12-27,73,44.0,,0.44,32.12
2017-12-28,91,44.0,,0.44,40.04
2017-12-29,74,44.0,,0.44,32.56
2017-12-30,57,44.0,,0.44,25.080000000000002
2017-12-31,47,44.0,,0.44,20.68
2018-01-01,49,52.0,False,0.52,25.48
2018-01-02,63,52.0,,0.52,32.76
2018-01-03,69,52.0,,0.52,35.88
2018-01-04,67,52.0,,0.52,34.84
