date,SMH_unscaled,SMH_monthly,isPartial,scale,SMH
2016-10-28,75,70.0,,0.7,52.5
2016-10-29,83,70.0,,0.7,58.099999999999994
2016-10-30,89,70.0,,0.7,62.3
2016-10-31,77,70.0,,0.7,53.9
2016-11-01,58,77.0,False,0.77,44.660000000000004
2016-11-02,54,77.0,,0.77,41.58
2016-11-03,65,77.0,,0.77,50.050000000000004
2016-11-04,64,77.0,,0.77,49.28
2016-11-05,57,77.0,,0.77,43.89
2016-11-06,67,77.0,,0.77,51.59
2016-11-07,60,77.0,,0.77,46.2
2016-11-08,67,77.0,,0.77,51.59
2016-11-09,100,77.0,,0.77,77.0
2016-11-10,90,77.0,,0.77,69.3
2016-11-11,82,77.0,,0.77,63.14
2016-11-12,77,77.0,,0.77,59.29
2016-11-13,60,77.0,,0.77,46.2
2016-11-14,62,77.0,,0.77,47.74
2016-11-15,70,77.0,,0.77,53.9
2016-11-16,59,77.0,,0.77,45.43
2016-11-17,59,77.0,,0.77,45.43
2016-11-18,59,77.0,,0.77,45.43
2016-11-19,70,77.0,,0.77,53.9
2016-11-20,64,77.0,,0.77,49.28
2016-11-21,54,77.0,,0.77,41.58
2016-11-22,72,77.0,,0.77,55.44
2016-11-23,64,77.0,,0.77,49.28
2016-11-24,54,77.0,,0.77,41.58
2016-11-25,73,77.0,,0.77,56.21
2016-11-26,63,77.0,,0.77,48.51
2016-11-27,67,77.0,,0.77,51.59
2016-11-28,64,77.0,,0.77,49.28
2016-11-29,62,77.0,,0.77,47.74
2016-11-30,66,77.0,,0.77,50.82
2016-12-01,79,74.0,False,0.74,58.46
2016-12-02,70,74.0,,0.74,51.8
2016-12-03,80,74.0,,0.74,59.2
2016-12-04,81,74.0,,0.74,59.94
2016-12-05,60,74.0,,0.74,44.4
2016-12-06,88,74.0,,0.74,65.12
2016-12-07,89,74.0,,0.74,65.86
2016-12-08,75,74.0,,0.74,55.5
2016-12-09,74,74.0,,0.74,54.76
2016-12-10,81,74.0,,0.74,59.94
2016-12-11,65,74.0,,0.74,48.1
2016-12-12,72,74.0,,0.74,53.28
2016-12-13,76,74.0,,0.74,56.24
2016-12-14,73,74.0,,0.74,54.019999999999996
2016-12-15,83,74.0,,0.74,61.42
2016-12-16,81,74.0,,0.74,59.94
2016-12-17,88,74.0,,0.74,65.12
2016-12-18,76,74.0,,0.74,56.24
2016-12-19,74,74.0,,0.74,54.76
2016-12-20,79,74.0,,0.74,58.46
2016-12-21,84,74.0,,0.74,62.16
2016-12-22,97,74.0,,0.74,71.78
2016-12-23,78,74.0,,0.74,57.72
2016-12-24,68,74.0,,0.74,50.32
2016-12-25,78,74.0,,0.74,57.72
2016-12-26,68,74.0,,0.74,50.32
2016-12-27,87,74.0,,0.74,64.38
2016-12-28,82,74.0,,0.74,60.68
2016-12-29,97,74.0,,0.74,71.78
2016-12-30,79,74.0,,0.74,58.46
2016-12-31,100,74.0,,0.74,74.0
2017-01-01,73,82.0,False,0.82,59.86
2017-01-02,70,82.0,,0.82,57.4
2017-01-03,74,82.0,,0.82,60.68
2017-01-04,82,82.0,,0.82,67.24
2017-01-05,82,82.0,,0.82,67.24
2017-01-06,79,82.0,,0.82,64.78
2017-01-07,83,82.0,,0.82,68.06
2017-01-08,95,82.0,,0.82,77.89999999999999
2017-01-09,73,82.0,,0.82,59.86
2017-01-10,64,82.0,,0.82,52.48
2017-01-11,68,82.0,,0.82,55.76
2017-01-12,76,82.0,,0.82,62.31999999999999
2017-01-13,76,82.0,,0.82,62.31999999999999
2017-01-14,73,82.0,,0.82,59.86
2017-01-15,76,82.0,,0.82,62.31999999999999
2017-01-16,80,82.0,,0.82,65.6
2017-01-17,70,82.0,,0.82,57.4
2017-01-18,67,82.0,,0.82,54.94
2017-01-19,69,82.0,,0.82,56.58
2017-01-20,70,82.0,,0.82,57.4
2017-01-21,79,82.0,,0.82,64.78
2017-01-22,100,82.0,,0.82,82.0
2017-01-23,83,82.0,,0.82,68.06
2017-01-24,77,82.0,,0.82,63.13999999999999
2017-01-25,81,82.0,,0.82,66.42
2017-01-26,62,82.0,,0.82,50.839999999999996
2017-01-27,71,82.0,,0.82,58.22
2017-01-28,58,82.0,,0.82,47.559999999999995
2017-01-29,85,82.0,,0.82,69.7
2017-01-30,69,82.0,,0.82,56.58
2017-01-31,69,82.0,,0.82,56.58
2017-02-01,86,64.0,False,0.64,55.04
2017-02-02,93,64.0,,0.64,59.52
2017-02-03,79,64.0,,0.64,50.56
2017-02-04,95,64.0,,0.64,60.800000000000004
2017-02-05,85,64.0,,0.64,54.4
2017-02-06,100,64.0,,0.64,64.0
2017-02-07,84,64.0,,0.64,53.76
2017-02-08,78,64.0,,0.64,49.92
2017-02-09,84,64.0,,0.64,53.76
2017-02-10,98,64.0,,0.64,62.72
2017-02-11,86,64.0,,0.64,55.04
2017-02-12,93,64.0,,0.64,59.52
2017-02-13,81,64.0,,0.64,51.84
2017-02-14,75,64.0,,0.64,48.0
2017-02-15,78,64.0,,0.64,49.92
2017-02-16,91,64.0,,0.64,58.24
2017-02-17,70,64.0,,0.64,44.800000000000004
2017-02-18,66,64.0,,0.64,42.24
2017-02-19,99,64.0,,0.64,63.36
2017-02-20,84,64.0,,0.64,53.76
2017-02-21,72,64.0,,0.64,46.08
2017-02-22,74,64.0,,0.64,47.36
2017-02-23,75,64.0,,0.64,48.0
2017-02-24,88,64.0,,0.64,56.32
2017-02-25,93,64.0,,0.64,59.52
2017-02-26,83,64.0,,0.64,53.120000000000005
2017-02-27,58,64.0,,0.64,37.12
2017-02-28,63,64.0,,0.64,40.32
2017-03-01,85,61.0,False,0.61,51.85
2017-03-02,80,61.0,,0.61,48.8
2017-03-03,76,61.0,,0.61,46.36
2017-03-04,90,61.0,,0.61,54.9
2017-03-05,95,61.0,,0.61,57.949999999999996
2017-03-06,71,61.0,,0.61,43.31
2017-03-07,87,61.0,,0.61,53.07
2017-03-08,94,61.0,,0.61,57.339999999999996
2017-03-09,73,61.0,,0.61,44.53
2017-03-10,68,61.0,,0.61,41.48
2017-03-11,96,61.0,,0.61,58.56
2017-03-12,78,61.0,,0.61,47.58
2017-03-13,79,61.0,,0.61,48.19
2017-03-14,90,61.0,,0.61,54.9
2017-03-15,91,61.0,,0.61,55.51
2017-03-16,77,61.0,,0.61,46.97
2017-03-17,98,61.0,,0.61,59.78
2017-03-18,81,61.0,,0.61,49.41
2017-03-19,95,61.0,,0.61,57.949999999999996
2017-03-20,96,61.0,,0.61,58.56
2017-03-21,75,61.0,,0.61,45.75
2017-03-22,91,61.0,,0.61,55.51
2017-03-23,72,61.0,,0.61,43.92
2017-03-24,84,61.0,,0.61,51.24
2017-03-25,94,61.0,,0.61,57.339999999999996
2017-03-26,100,61.0,,0.61,61.0
2017-03-27,78,61.0,,0.61,47.58
2017-03-28,86,61.0,,0.61,52.46
2017-03-29,91,61.0,,0.61,55.51
2017-03-30,84,61.0,,0.61,51.24
2017-03-31,77,61.0,,0.61,46.97
2017-04-01,38,100.0,False,1.0,38.0
2017-04-02,39,100.0,,1.0,39.0
2017-04-03,68,100.0,,1.0,68.0
2017-04-04,98,100.0,,1.0,98.0
2017-04-05,90,100.0,,1.0,90.0
2017-04-06,86,100.0,,1.0,86.0
2017-04-07,80,100.0,,1.0,80.0
2017-04-08,100,100.0,,1.0,100.0
2017-04-09,92,100.0,,1.0,92.0
2017-04-10,93,100.0,,1.0,93.0
2017-04-11,80,100.0,,1.0,80.0
2017-04-12,44,100.0,,1.0,44.0
2017-04-13,40,100.0,,1.0,40.0
2017-04-14,44,100.0,,1.0,44.0
2017-04-15,42,100.0,,1.0,42.0
2017-04-16,42,100.0,,1.0,42.0
2017-04-17,38,100.0,,1.0,38.0
2017-04-18,38,100.0,,1.0,38.0
2017-04-19,47,100.0,,1.0,47.0
2017-04-20,42,100.0,,1.0,42.0
2017-04-21,36,100.0,,1.0,36.0
2017-04-22,34,100.0,,1.0,34.0
2017-04-23,31,100.0,,1.0,31.0
2017-04-24,38,100.0,,1.0,38.0
2017-04-25,31,100.0,,1.0,31.0
2017-04-26,34,100.0,,1.0,34.0
2017-04-27,39,100.0,,1.0,39.0
2017-04-28,33,100.0,,1.0,33.0
2017-04-29,35,100.0,,1.0,35.0
2017-04-30,32,100.0,,1.0,32.0
2017-05-01,75,60.0,False,0.6,45.0
2017-05-02,69,60.0,,0.6,41.4
2017-05-03,79,60.0,,0.6,47.4
2017-05-04,80,60.0,,0.6,48.0
2017-05-05,82,60.0,,0.6,49.199999999999996
2017-05-06,71,60.0,,0.6,42.6
2017-05-07,87,60.0,,0.6,52.199999999999996
2017-05-08,65,60.0,,0.6,39.0
2017-05-09,82,60.0,,0.6,49.199999999999996
2017-05-10,100,60.0,,0.6,60.0
2017-05-11,87,60.0,,0.6,52.199999999999996
2017-05-12,69,60.0,,0.6,41.4
2017-05-13,84,60.0,,0.6,50.4
2017-05-14,74,60.0,,0.6,44.4
2017-05-15,78,60.0,,0.6,46.8
2017-05-16,80,60.0,,0.6,48.0
2017-05-17,80,60.0,,0.6,48.0
2017-05-18,75,60.0,,0.6,45.0
2017-05-19,75,60.0,,0.6,45.0
2017-05-20,77,60.0,,0.6,46.199999999999996
2017-05-21,86,60.0,,0.6,51.6
2017-05-22,69,60.0,,0.6,41.4
2017-05-23,90,60.0,,0.6,54.0
2017-05-24,84,60.0,,0.6,50.4
2017-05-25,73,60.0,,0.6,43.8
2017-05-26,77,60.0,,0.6,46.199999999999996
2017-05-27,75,60.0,,0.6,45.0
2017-05-28,75,60.0,,0.6,45.0
2017-05-29,72,60.0,,0.6,43.199999999999996
2017-05-30,75,60.0,,0.6,45.0
2017-05-31,71,60.0,,0.6,42.6
2017-06-01,78,59.0,False,0.59,46.019999999999996
2017-06-02,79,59.0,,0.59,46.61
2017-06-03,67,59.0,,0.59,39.53
2017-06-04,80,59.0,,0.59,47.199999999999996
2017-06-05,80,59.0,,0.59,47.199999999999996
2017-06-06,82,59.0,,0.59,48.379999999999995
2017-06-07,72,59.0,,0.59,42.48
2017-06-08,86,59.0,,0.59,50.739999999999995
2017-06-09,89,59.0,,0.59,52.51
2017-06-10,87,59.0,,0.59,51.33
2017-06-11,100,59.0,,0.59,59.0
2017-06-12,87,59.0,,0.59,51.33
2017-06-13,77,59.0,,0.59,45.43
2017-06-14,83,59.0,,0.59,48.97
2017-06-15,88,59.0,,0.59,51.919999999999995
2017-06-16,87,59.0,,0.59,51.33
2017-06-17,78,59.0,,0.59,46.019999999999996
2017-06-18,72,59.0,,0.59,42.48
2017-06-19,72,59.0,,0.59,42.48
2017-06-20,77,59.0,,0.59,45.43
2017-06-21,85,59.0,,0.59,50.15
2017-06-22,80,59.0,,0.59,47.199999999999996
2017-06-23,91,59.0,,0.59,53.69
2017-06-24,80,59.0,,0.59,47.199999999999996
2017-06-25,78,59.0,,0.59,46.019999999999996
2017-06-26,88,59.0,,0.59,51.919999999999995
2017-06-27,79,59.0,,0.59,46.61
2017-06-28,96,59.0,,0.59,56.64
2017-06-29,86,59.0,,0.59,50.739999999999995
2017-06-30,85,59.0,,0.59,50.15
2017-07-01,83,60.0,False,0.6,49.8
2017-07-02,100,60.0,,0.6,60.0
2017-07-03,81,60.0,,0.6,48.6
2017-07-04,83,60.0,,0.6,49.8
2017-07-05,83,60.0,,0.6,49.8
2017-07-06,87,60.0,,0.6,52.199999999999996
2017-07-07,87,60.0,,0.6,52.199999999999996
2017-07-08,68,60.0,,0.6,40.8
2017-07-09,86,60.0,,0.6,51.6
2017-07-10,80,60.0,,0.6,48.0
2017-07-11,87,60.0,,0.6,52.199999999999996
2017-07-12,91,60.0,,0.6,54.6
2017-07-13,74,60.0,,0.6,44.4
2017-07-14,90,60.0,,0.6,54.0
2017-07-15,81,60.0,,0.6,48.6
2017-07-16,74,60.0,,0.6,44.4
2017-07-17,73,60.0,,0.6,43.8
2017-07-18,80,60.0,,0.6,48.0
2017-07-19,87,60.0,,0.6,52.199999999999996
2017-07-20,82,60.0,,0.6,49.199999999999996
2017-07-21,88,60.0,,0.6,52.8
2017-07-22,86,60.0,,0.6,51.6
2017-07-23,81,60.0,,0.6,48.6
2017-07-24,71,60.0,,0.6,42.6
2017-07-25,85,60.0,,0.6,51.0
2017-07-26,89,60.0,,0.6,53.4
2017-07-27,88,60.0,,0.6,52.8
2017-07-28,71,60.0,,0.6,42.6
2017-07-29,77,60.0,,0.6,46.199999999999996
2017-07-30,70,60.0,,0.6,42.0
2017-07-31,79,60.0,,0.6,47.4
2017-08-01,81,59.0,False,0.59,47.79
2017-08-02,70,59.0,,0.59,41.3
2017-08-03,86,59.0,,0.59,50.739999999999995
2017-08-04,86,59.0,,0.59,50.739999999999995
2017-08-05,81,59.0,,0.59,47.79
2017-08-06,71,59.0,,0.59,41.89
2017-08-07,69,59.0,,0.59,40.71
2017-08-08,87,59.0,,0.59,51.33
2017-08-09,82,59.0,,0.59,48.379999999999995
2017-08-10,86,59.0,,0.59,50.739999999999995
2017-08-11,97,59.0,,0.59,57.23
2017-08-12,81,59.0,,0.59,47.79
2017-08-13,100,59.0,,0.59,59.0
2017-08-14,72,59.0,,0.59,42.48
2017-08-15,96,59.0,,0.59,56.64
2017-08-16,84,59.0,,0.59,49.559999999999995
2017-08-17,88,59.0,,0.59,51.919999999999995
2017-08-18,86,59.0,,0.59,50.739999999999995
2017-08-19,78,59.0,,0.59,46.019999999999996
2017-08-20,91,59.0,,0.59,53.69
2017-08-21,86,59.0,,0.59,50.739999999999995
2017-08-22,91,59.0,,0.59,53.69
2017-08-23,81,59.0,,0.59,47.79
2017-08-24,85,59.0,,0.59,50.15
2017-08-25,74,59.0,,0.59,43.66
2017-08-26,86,59.0,,0.59,50.739999999999995
2017-08-27,77,59.0,,0.59,45.43
2017-08-28,90,59.0,,0.59,53.099999999999994
2017-08-29,90,59.0,,0.59,53.099999999999994
2017-08-30,95,59.0,,0.59,56.05
2017-08-31,81,59.0,,0.59,47.79
2017-09-01,35,68.0,False,0.68,23.8
2017-09-02,24,68.0,,0.68,16.32
2017-09-03,33,68.0,,0.68,22.44
2017-09-04,26,68.0,,0.68,17.68
2017-09-05,25,68.0,,0.68,17.0
2017-09-06,23,68.0,,0.68,15.64
2017-09-07,28,68.0,,0.68,19.040000000000003
2017-09-08,21,68.0,,0.68,14.280000000000001
2017-09-09,23,68.0,,0.68,15.64
2017-09-10,28,68.0,,0.68,19.040000000000003
2017-09-11,23,68.0,,0.68,15.64
2017-09-12,23,68.0,,0.68,15.64
2017-09-13,22,68.0,,0.68,14.96
2017-09-14,26,68.0,,0.68,17.68
2017-09-15,26,68.0,,0.68,17.68
2017-09-16,30,68.0,,0.68,20.400000000000002
2017-09-17,30,68.0,,0.68,20.400000000000002
2017-09-18,26,68.0,,0.68,17.68
2017-09-19,23,68.0,,0.68,15.64
2017-09-20,26,68.0,,0.68,17.68
2017-09-21,28,68.0,,0.68,19.040000000000003
2017-09-22,27,68.0,,0.68,18.360000000000003
2017-09-23,100,68.0,,0.68,68.0
2017-09-24,51,68.0,,0.68,34.68
2017-09-25,31,68.0,,0.68,21.080000000000002
2017-09-26,32,68.0,,0.68,21.76
2017-09-27,31,68.0,,0.68,21.080000000000002
2017-09-28,29,68.0,,0.68,19.720000000000002
2017-09-29,25,68.0,,0.68,17.0
2017-09-30,24,68.0,,0.68,16.32
2017-10-01,87,56.0,False,0.56,48.720000000000006
2017-10-02,74,56.0,,0.56,41.440000000000005
2017-10-03,83,56.0,,0.56,46.480000000000004
2017-10-04,86,56.0,,0.56,48.160000000000004
2017-10-05,78,56.0,,0.56,43.68000000000001
2017-10-06,68,56.0,,0.56,38.080000000000005
2017-10-07,69,56.0,,0.56,38.64
2017-10-08,82,56.0,,0.56,45.92
2017-10-09,90,56.0,,0.56,50.400000000000006
2017-10-10,77,56.0,,0.56,43.120000000000005
2017-10-11,73,56.0,,0.56,40.88
2017-10-12,85,56.0,,0.56,47.6
2017-10-13,71,56.0,,0.56,39.760000000000005
2017-10-14,79,56.0,,0.56,44.24
2017-10-15,78,56.0,,0.56,43.68000000000001
2017-10-16,83,56.0,,0.56,46.480000000000004
2017-10-17,72,56.0,,0.56,40.32000000000001
2017-10-18,81,56.0,,0.56,45.36000000000001
2017-10-19,90,56.0,,0.56,50.400000000000006
2017-10-20,73,56.0,,0.56,40.88
2017-10-21,75,56.0,,0.56,42.00000000000001
2017-10-22,100,56.0,,0.56,56.00000000000001
2017-10-23,79,56.0,,0.56,44.24
2017-10-24,76,56.0,,0.56,42.56
2017-10-25,82,56.0,,0.56,45.92
2017-10-26,83,56.0,,0.56,46.480000000000004
2017-10-27,69,56.0,,0.56,38.64
2017-10-28,88,56.0,,0.56,49.28
2017-10-29,84,56.0,,0.56,47.040000000000006
2017-10-30,75,56.0,,0.56,42.00000000000001
2017-10-31,86,56.0,,0.56,48.160000000000004
2017-11-01,77,56.0,False,0.56,43.120000000000005
2017-11-02,90,56.0,,0.56,50.400000000000006
2017-11-03,86,56.0,,0.56,48.160000000000004
2017-11-04,98,56.0,,0.56,54.88
2017-11-05,77,56.0,,0.56,43.120000000000005
2017-11-06,72,56.0,,0.56,40.32000000000001
2017-11-07,73,56.0,,0.56,40.88
2017-11-08,74,56.0,,0.56,41.440000000000005
2017-11-09,83,56.0,,0.56,46.480000000000004
2017-11-10,76,56.0,,0.56,42.56
2017-11-11,80,56.0,,0.56,44.800000000000004
2017-11-12,96,56.0,,0.56,53.760000000000005
2017-11-13,77,56.0,,0.56,43.120000000000005
2017-11-14,82,56.0,,0.56,45.92
2017-11-15,93,56.0,,0.56,52.080000000000005
2017-11-16,74,56.0,,0.56,41.440000000000005
2017-11-17,82,56.0,,0.56,45.92
2017-11-18,77,56.0,,0.56,43.120000000000005
2017-11-19,92,56.0,,0.56,51.52
2017-11-20,80,56.0,,0.56,44.800000000000004
2017-11-21,83,56.0,,0.56,46.480000000000004
2017-11-22,83,56.0,,0.56,46.480000000000004
2017-11-23,84,56.0,,0.56,47.040000000000006
2017-11-24,65,56.0,,0.56,36.400000000000006
2017-11-25,79,56.0,,0.56,44.24
2017-11-26,81,56.0,,0.56,45.36000000000001
2017-11-27,75,56.0,,0.56,42.00000000000001
2017-11-28,100,56.0,,0.56,56.00000000000001
2017-11-29,79,56.0,,0.56,44.24
2017-11-30,80,56.0,,0.56,44.800000000000004
2017-12-01,78,53.0,False,0.53,41.34
2017-12-02,77,53.0,,0.53,40.81
2017-12-03,89,53.0,,0.53,47.17
2017-12-04,69,53.0,,0.53,36.57
2017-12-05,78,53.0,,0.53,41.34
2017-12-06,88,53.0,,0.53,46.64
2017-12-07,75,53.0,,0.53,39.75
2017-12-08,74,53.0,,0.53,39.22
2017-12-09,77,53.0,,0.53,40.81
2017-12-10,81,53.0,,0.53,42.93
2017-12-11,72,53.0,,0.53,38.160000000000004
2017-12-12,80,53.0,,0.53,42.400000000000006
2017-12-13,78,53.0,,0.53,41.34
2017-12-14,72,53.0,,0.53,38.160000000000004
2017-12-15,87,53.0,,0.53,46.11
2017-12-16,77,53.0,,0.53,40.81
2017-12-17,79,53.0,,0.53,41.870000000000005
2017-12-18,83,53.0,,0.53,43.99
2017-12-19,83,53.0,,0.53,43.99
2017-12-20,85,53.0,,0.53,45.050000000000004
2017-12-21,85,53.0,,0.53,45.050000000000004
2017-12-22,94,53.0,,0.53,49.82
2017-12-23,82,53.0,,0.53,43.46
2017-12-24,79,53.0,,0.53,41.870000000000005
