date,JNJ_unscaled,JNJ_monthly,isPartial,scale,JNJ
2016-06-11,24,36.0,,0.36,8.64
2016-06-12,21,36.0,,0.36,7.56
2016-06-13,65,36.0,,0.36,23.4
2016-06-14,40,36.0,,0.36,14.399999999999999
2016-06-15,60,36.0,,0.36,21.599999999999998
2016-06-16,60,36.0,,0.36,21.599999999999998
2016-06-17,47,36.0,,0.36,16.919999999999998
2016-06-18,38,36.0,,0.36,13.68
2016-06-19,20,36.0,,0.36,7.199999999999999
2016-06-20,71,36.0,,0.36,25.56
2016-06-21,49,36.0,,0.36,17.64
2016-06-22,50,36.0,,0.36,18.0
2016-06-23,85,36.0,,0.36,30.599999999999998
2016-06-24,99,36.0,,0.36,35.64
2016-06-25,37,36.0,,0.36,13.32
2016-06-26,34,36.0,,0.36,12.24
2016-06-27,95,36.0,,0.36,34.199999999999996
2016-06-28,90,36.0,,0.36,32.4
2016-06-29,78,36.0,,0.36,28.08
2016-06-30,100,36.0,,0.36,36.0
2016-07-01,53,38.0,False,0.38,20.14
2016-07-02,20,38.0,,0.38,7.6
2016-07-03,14,38.0,,0.38,5.32
2016-07-04,10,38.0,,0.38,3.8
2016-07-05,40,38.0,,0.38,15.2
2016-07-06,50,38.0,,0.38,19.0
2016-07-07,32,38.0,,0.38,12.16
2016-07-08,50,38.0,,0.38,19.0
2016-07-09,22,38.0,,0.38,8.36
2016-07-10,9,38.0,,0.38,3.42
2016-07-11,49,38.0,,0.38,18.62
2016-07-12,47,38.0,,0.38,17.86
2016-07-13,54,38.0,,0.38,20.52
2016-07-14,50,38.0,,0.38,19.0
2016-07-15,58,38.0,,0.38,22.04
2016-07-16,13,38.0,,0.38,4.94
2016-07-17,12,38.0,,0.38,4.5600000000000005
2016-07-18,52,38.0,,0.38,19.76
2016-07-19,100,38.0,,0.38,38.0
2016-07-20,59,38.0,,0.38,22.42
2016-07-21,64,38.0,,0.38,24.32
2016-07-22,37,38.0,,0.38,14.06
2016-07-23,22,38.0,,0.38,8.36
2016-07-24,17,38.0,,0.38,6.46
2016-07-25,40,38.0,,0.38,15.2
2016-07-26,37,38.0,,0.38,14.06
2016-07-27,57,38.0,,0.38,21.66
2016-07-28,37,38.0,,0.38,14.06
2016-07-29,46,38.0,,0.38,17.48
2016-07-30,25,38.0,,0.38,9.5
2016-07-31,14,38.0,,0.38,5.32
2016-08-01,76,31.0,False,0.31,23.56
2016-08-02,73,31.0,,0.31,22.63
2016-08-03,86,31.0,,0.31,26.66
2016-08-04,89,31.0,,0.31,27.59
2016-08-05,79,31.0,,0.31,24.49
2016-08-06,14,31.0,,0.31,4.34
2016-08-07,41,31.0,,0.31,12.709999999999999
2016-08-08,51,31.0,,0.31,15.81
2016-08-09,98,31.0,,0.31,30.38
2016-08-10,82,31.0,,0.31,25.419999999999998
2016-08-11,70,31.0,,0.31,21.7
2016-08-12,100,31.0,,0.31,31.0
2016-08-13,45,31.0,,0.31,13.95
2016-08-14,21,31.0,,0.31,6.51
2016-08-15,60,31.0,,0.31,18.6
2016-08-16,77,31.0,,0.31,23.87
2016-08-17,83,31.0,,0.31,25.73
2016-08-18,81,31.0,,0.31,25.11
2016-08-19,80,31.0,,0.31,24.8
2016-08-20,38,31.0,,0.31,11.78
2016-08-21,28,31.0,,0.31,8.68
2016-08-22,73,31.0,,0.31,22.63
2016-08-23,66,31.0,,0.31,20.46
2016-08-24,98,31.0,,0.31,30.38
2016-08-25,65,31.0,,0.31,20.15
2016-08-26,66,31.0,,0.31,20.46
2016-08-27,24,31.0,,0.31,7.4399999999999995
2016-08-28,28,31.0,,0.31,8.68
2016-08-29,77,31.0,,0.31,23.87
2016-08-30,71,31.0,,0.31,22.01
2016-08-31,63,31.0,,0.31,19.53
2016-09-01,69,27.0,False,0.27,18.630000000000003
2016-09-02,86,27.0,,0.27,23.220000000000002
2016-09-03,28,27.0,,0.27,7.5600000000000005
2016-09-04,20,27.0,,0.27,5.4
2016-09-05,22,27.0,,0.27,5.94
2016-09-06,84,27.0,,0.27,22.68
2016-09-07,92,27.0,,0.27,24.840000000000003
2016-09-08,91,27.0,,0.27,24.57
2016-09-09,78,27.0,,0.27,21.060000000000002
2016-09-10,33,27.0,,0.27,8.91
2016-09-11,34,27.0,,0.27,9.18
2016-09-12,59,27.0,,0.27,15.930000000000001
2016-09-13,72,27.0,,0.27,19.44
2016-09-14,90,27.0,,0.27,24.3
2016-09-15,71,27.0,,0.27,19.17
2016-09-16,100,27.0,,0.27,27.0
2016-09-17,51,27.0,,0.27,13.770000000000001
2016-09-18,22,27.0,,0.27,5.94
2016-09-19,68,27.0,,0.27,18.36
2016-09-20,75,27.0,,0.27,20.25
2016-09-21,89,27.0,,0.27,24.03
2016-09-22,65,27.0,,0.27,17.55
2016-09-23,62,27.0,,0.27,16.740000000000002
2016-09-24,37,27.0,,0.27,9.99
2016-09-25,25,27.0,,0.27,6.75
2016-09-26,68,27.0,,0.27,18.36
2016-09-27,66,27.0,,0.27,17.82
2016-09-28,72,27.0,,0.27,19.44
2016-09-29,88,27.0,,0.27,23.76
2016-09-30,87,27.0,,0.27,23.490000000000002
2016-10-01,15,30.0,False,0.3,4.5
2016-10-02,19,30.0,,0.3,5.7
2016-10-03,50,30.0,,0.3,15.0
2016-10-04,57,30.0,,0.3,17.099999999999998
2016-10-05,56,30.0,,0.3,16.8
2016-10-06,42,30.0,,0.3,12.6
2016-10-07,49,30.0,,0.3,14.7
2016-10-08,19,30.0,,0.3,5.7
2016-10-09,9,30.0,,0.3,2.6999999999999997
2016-10-10,43,30.0,,0.3,12.9
2016-10-11,58,30.0,,0.3,17.4
2016-10-12,40,30.0,,0.3,12.0
2016-10-13,46,30.0,,0.3,13.799999999999999
2016-10-14,42,30.0,,0.3,12.6
2016-10-15,23,30.0,,0.3,6.8999999999999995
2016-10-16,19,30.0,,0.3,5.7
2016-10-17,42,30.0,,0.3,12.6
2016-10-18,100,30.0,,0.3,30.0
2016-10-19,88,30.0,,0.3,26.4
2016-10-20,74,30.0,,0.3,22.2
2016-10-21,57,30.0,,0.3,17.099999999999998
2016-10-22,22,30.0,,0.3,6.6
2016-10-23,19,30.0,,0.3,5.7
2016-10-24,46,30.0,,0.3,13.799999999999999
2016-10-25,59,30.0,,0.3,17.7
2016-10-26,58,30.0,,0.3,17.4
2016-10-27,48,30.0,,0.3,14.399999999999999
2016-10-28,52,30.0,,0.3,15.6
2016-10-29,25,30.0,,0.3,7.5
2016-10-30,20,30.0,,0.3,6.0
2016-10-31,44,30.0,,0.3,13.2
2016-11-01,71,31.0,False,0.31,22.01
2016-11-02,47,31.0,,0.31,14.57
2016-11-03,48,31.0,,0.31,14.879999999999999
2016-11-04,47,31.0,,0.31,14.57
2016-11-05,14,31.0,,0.31,4.34
2016-11-06,17,31.0,,0.31,5.27
2016-11-07,55,31.0,,0.31,17.05
2016-11-08,53,31.0,,0.31,16.43
2016-11-09,94,31.0,,0.31,29.14
2016-11-10,100,31.0,,0.31,31.0
2016-11-11,63,31.0,,0.31,19.53
2016-11-12,15,31.0,,0.31,4.65
2016-11-13,15,31.0,,0.31,4.65
2016-11-14,57,31.0,,0.31,17.669999999999998
2016-11-15,64,31.0,,0.31,19.84
2016-11-16,64,31.0,,0.31,19.84
2016-11-17,56,31.0,,0.31,17.36
2016-11-18,53,31.0,,0.31,16.43
2016-11-19,28,31.0,,0.31,8.68
2016-11-20,21,31.0,,0.31,6.51
2016-11-21,46,31.0,,0.31,14.26
2016-11-22,98,31.0,,0.31,30.38
2016-11-23,63,31.0,,0.31,19.53
2016-11-24,28,31.0,,0.31,8.68
2016-11-25,47,31.0,,0.31,14.57
2016-11-26,22,31.0,,0.31,6.82
2016-11-27,16,31.0,,0.31,4.96
2016-11-28,40,31.0,,0.31,12.4
2016-11-29,54,31.0,,0.31,16.74
2016-11-30,55,31.0,,0.31,17.05
2016-12-01,66,30.0,False,0.3,19.8
2016-12-02,79,30.0,,0.3,23.7
2016-12-03,27,30.0,,0.3,8.1
2016-12-04,27,30.0,,0.3,8.1
2016-12-05,68,30.0,,0.3,20.4
2016-12-06,74,30.0,,0.3,22.2
2016-12-07,89,30.0,,0.3,26.7
2016-12-08,97,30.0,,0.3,29.099999999999998
2016-12-09,72,30.0,,0.3,21.599999999999998
2016-12-10,37,30.0,,0.3,11.1
2016-12-11,26,30.0,,0.3,7.8
2016-12-12,71,30.0,,0.3,21.3
2016-12-13,100,30.0,,0.3,30.0
2016-12-14,83,30.0,,0.3,24.9
2016-12-15,71,30.0,,0.3,21.3
2016-12-16,69,30.0,,0.3,20.7
2016-12-17,26,30.0,,0.3,7.8
2016-12-18,21,30.0,,0.3,6.3
2016-12-19,50,30.0,,0.3,15.0
2016-12-20,65,30.0,,0.3,19.5
2016-12-21,59,30.0,,0.3,17.7
2016-12-22,54,30.0,,0.3,16.2
2016-12-23,44,30.0,,0.3,13.2
2016-12-24,24,30.0,,0.3,7.199999999999999
2016-12-25,23,30.0,,0.3,6.8999999999999995
2016-12-26,25,30.0,,0.3,7.5
2016-12-27,47,30.0,,0.3,14.1
2016-12-28,66,30.0,,0.3,19.8
2016-12-29,48,30.0,,0.3,14.399999999999999
2016-12-30,49,30.0,,0.3,14.7
2016-12-31,28,30.0,,0.3,8.4
2017-01-01,17,33.0,False,0.33,5.61
2017-01-02,17,33.0,,0.33,5.61
2017-01-03,61,33.0,,0.33,20.130000000000003
2017-01-04,56,33.0,,0.33,18.48
2017-01-05,52,33.0,,0.33,17.16
2017-01-06,53,33.0,,0.33,17.490000000000002
2017-01-07,27,33.0,,0.33,8.91
2017-01-08,8,33.0,,0.33,2.64
2017-01-09,44,33.0,,0.33,14.520000000000001
2017-01-10,50,33.0,,0.33,16.5
2017-01-11,60,33.0,,0.33,19.8
2017-01-12,52,33.0,,0.33,17.16
2017-01-13,69,33.0,,0.33,22.77
2017-01-14,24,33.0,,0.33,7.92
2017-01-15,19,33.0,,0.33,6.2700000000000005
2017-01-16,15,33.0,,0.33,4.95
2017-01-17,49,33.0,,0.33,16.17
2017-01-18,48,33.0,,0.33,15.84
2017-01-19,48,33.0,,0.33,15.84
2017-01-20,40,33.0,,0.33,13.200000000000001
2017-01-21,22,33.0,,0.33,7.260000000000001
2017-01-22,24,33.0,,0.33,7.92
2017-01-23,47,33.0,,0.33,15.510000000000002
2017-01-24,86,33.0,,0.33,28.380000000000003
2017-01-25,78,33.0,,0.33,25.740000000000002
2017-01-26,100,33.0,,0.33,33.0
2017-01-27,76,33.0,,0.33,25.080000000000002
2017-01-28,25,33.0,,0.33,8.25
2017-01-29,22,33.0,,0.33,7.260000000000001
2017-01-30,47,33.0,,0.33,15.510000000000002
2017-01-31,70,33.0,,0.33,23.1
2017-02-01,55,32.0,False,0.32,17.6
2017-02-02,100,32.0,,0.32,32.0
2017-02-03,68,32.0,,0.32,21.76
2017-02-04,44,32.0,,0.32,14.08
2017-02-05,23,32.0,,0.32,7.36
2017-02-06,55,32.0,,0.32,17.6
2017-02-07,82,32.0,,0.32,26.240000000000002
2017-02-08,89,32.0,,0.32,28.48
2017-02-09,62,32.0,,0.32,19.84
2017-02-10,75,32.0,,0.32,24.0
2017-02-11,30,32.0,,0.32,9.6
2017-02-12,24,32.0,,0.32,7.68
2017-02-13,66,32.0,,0.32,21.12
2017-02-14,85,32.0,,0.32,27.2
2017-02-15,94,32.0,,0.32,30.080000000000002
2017-02-16,76,32.0,,0.32,24.32
2017-02-17,61,32.0,,0.32,19.52
2017-02-18,47,32.0,,0.32,15.040000000000001
2017-02-19,28,32.0,,0.32,8.96
2017-02-20,36,32.0,,0.32,11.52
2017-02-21,96,32.0,,0.32,30.72
2017-02-22,95,32.0,,0.32,30.400000000000002
2017-02-23,97,32.0,,0.32,31.04
2017-02-24,87,32.0,,0.32,27.84
2017-02-25,32,32.0,,0.32,10.24
2017-02-26,39,32.0,,0.32,12.48
2017-02-27,67,32.0,,0.32,21.44
2017-02-28,97,32.0,,0.32,31.04
2017-03-01,100,36.0,False,0.36,36.0
2017-03-02,96,36.0,,0.36,34.56
2017-03-03,80,36.0,,0.36,28.799999999999997
2017-03-04,35,36.0,,0.36,12.6
2017-03-05,26,36.0,,0.36,9.36
2017-03-06,61,36.0,,0.36,21.96
2017-03-07,49,36.0,,0.36,17.64
2017-03-08,56,36.0,,0.36,20.16
2017-03-09,71,36.0,,0.36,25.56
2017-03-10,77,36.0,,0.36,27.72
2017-03-11,22,36.0,,0.36,7.92
2017-03-12,30,36.0,,0.36,10.799999999999999
2017-03-13,58,36.0,,0.36,20.88
2017-03-14,67,36.0,,0.36,24.119999999999997
2017-03-15,76,36.0,,0.36,27.36
2017-03-16,75,36.0,,0.36,27.0
2017-03-17,71,36.0,,0.36,25.56
2017-03-18,26,36.0,,0.36,9.36
2017-03-19,19,36.0,,0.36,6.84
2017-03-20,59,36.0,,0.36,21.24
2017-03-21,52,36.0,,0.36,18.72
2017-03-22,69,36.0,,0.36,24.84
2017-03-23,74,36.0,,0.36,26.64
2017-03-24,59,36.0,,0.36,21.24
2017-03-25,30,36.0,,0.36,10.799999999999999
2017-03-26,16,36.0,,0.36,5.76
2017-03-27,67,36.0,,0.36,24.119999999999997
2017-03-28,65,36.0,,0.36,23.4
2017-03-29,67,36.0,,0.36,24.119999999999997
2017-03-30,76,36.0,,0.36,27.36
2017-03-31,78,36.0,,0.36,28.08
2017-04-01,22,31.0,False,0.31,6.82
2017-04-02,17,31.0,,0.31,5.27
2017-04-03,41,31.0,,0.31,12.709999999999999
2017-04-04,50,31.0,,0.31,15.5
2017-04-05,50,31.0,,0.31,15.5
2017-04-06,56,31.0,,0.31,17.36
2017-04-07,54,31.0,,0.31,16.74
2017-04-08,18,31.0,,0.31,5.58
2017-04-09,17,31.0,,0.31,5.27
2017-04-10,51,31.0,,0.31,15.81
2017-04-11,39,31.0,,0.31,12.09
2017-04-12,41,31.0,,0.31,12.709999999999999
2017-04-13,55,31.0,,0.31,17.05
2017-04-14,31,31.0,,0.31,9.61
2017-04-15,27,31.0,,0.31,8.37
2017-04-16,13,31.0,,0.31,4.03
2017-04-17,50,31.0,,0.31,15.5
2017-04-18,100,31.0,,0.31,31.0
2017-04-19,82,31.0,,0.31,25.419999999999998
2017-04-20,75,31.0,,0.31,23.25
2017-04-21,48,31.0,,0.31,14.879999999999999
2017-04-22,21,31.0,,0.31,6.51
2017-04-23,17,31.0,,0.31,5.27
2017-04-24,83,31.0,,0.31,25.73
2017-04-25,54,31.0,,0.31,16.74
2017-04-26,76,31.0,,0.31,23.56
2017-04-27,60,31.0,,0.31,18.6
2017-04-28,55,31.0,,0.31,17.05
2017-04-29,28,31.0,,0.31,8.68
2017-04-30,12,31.0,,0.31,3.7199999999999998
2017-05-01,75,30.0,False,0.3,22.5
2017-05-02,73,30.0,,0.3,21.9
2017-05-03,67,30.0,,0.3,20.099999999999998
2017-05-04,60,30.0,,0.3,18.0
2017-05-05,85,30.0,,0.3,25.5
2017-05-06,57,30.0,,0.3,17.099999999999998
2017-05-07,26,30.0,,0.3,7.8
2017-05-08,62,30.0,,0.3,18.599999999999998
2017-05-09,70,30.0,,0.3,21.0
2017-05-10,67,30.0,,0.3,20.099999999999998
2017-05-11,68,30.0,,0.3,20.4
2017-05-12,78,30.0,,0.3,23.4
2017-05-13,34,30.0,,0.3,10.2
2017-05-14,16,30.0,,0.3,4.8
2017-05-15,65,30.0,,0.3,19.5
2017-05-16,87,30.0,,0.3,26.099999999999998
2017-05-17,92,30.0,,0.3,27.599999999999998
2017-05-18,76,30.0,,0.3,22.8
2017-05-19,90,30.0,,0.3,27.0
2017-05-20,32,30.0,,0.3,9.6
2017-05-21,28,30.0,,0.3,8.4
2017-05-22,73,30.0,,0.3,21.9
2017-05-23,77,30.0,,0.3,23.099999999999998
2017-05-24,67,30.0,,0.3,20.099999999999998
2017-05-25,100,30.0,,0.3,30.0
2017-05-26,55,30.0,,0.3,16.5
2017-05-27,21,30.0,,0.3,6.3
2017-05-28,23,30.0,,0.3,6.8999999999999995
2017-05-29,29,30.0,,0.3,8.7
2017-05-30,76,30.0,,0.3,22.8
2017-05-31,58,30.0,,0.3,17.4
2017-06-01,97,35.0,False,0.35,33.949999999999996
2017-06-02,84,35.0,,0.35,29.4
2017-06-03,32,35.0,,0.35,11.2
2017-06-04,27,35.0,,0.35,9.45
2017-06-05,86,35.0,,0.35,30.099999999999998
2017-06-06,74,35.0,,0.35,25.9
2017-06-07,84,35.0,,0.35,29.4
2017-06-08,93,35.0,,0.35,32.55
2017-06-09,97,35.0,,0.35,33.949999999999996
2017-06-10,22,35.0,,0.35,7.699999999999999
2017-06-11,18,35.0,,0.35,6.3
2017-06-12,92,35.0,,0.35,32.199999999999996
2017-06-13,96,35.0,,0.35,33.599999999999994
2017-06-14,71,35.0,,0.35,24.849999999999998
2017-06-15,81,35.0,,0.35,28.349999999999998
2017-06-16,82,35.0,,0.35,28.7
2017-06-17,30,35.0,,0.35,10.5
2017-06-18,20,35.0,,0.35,7.0
2017-06-19,91,35.0,,0.35,31.849999999999998
2017-06-20,68,35.0,,0.35,23.799999999999997
2017-06-21,82,35.0,,0.35,28.7
2017-06-22,100,35.0,,0.35,35.0
2017-06-23,84,35.0,,0.35,29.4
2017-06-24,30,35.0,,0.35,10.5
2017-06-25,18,35.0,,0.35,6.3
2017-06-26,72,35.0,,0.35,25.2
2017-06-27,85,35.0,,0.35,29.749999999999996
2017-06-28,76,35.0,,0.35,26.599999999999998
2017-06-29,63,35.0,,0.35,22.049999999999997
2017-06-30,91,35.0,,0.35,31.849999999999998
2017-07-01,21,31.0,False,0.31,6.51
2017-07-02,4,31.0,,0.31,1.24
2017-07-03,26,31.0,,0.31,8.06
2017-07-04,21,31.0,,0.31,6.51
2017-07-05,48,31.0,,0.31,14.879999999999999
2017-07-06,49,31.0,,0.31,15.19
2017-07-07,42,31.0,,0.31,13.02
2017-07-08,22,31.0,,0.31,6.82
2017-07-09,23,31.0,,0.31,7.13
2017-07-10,47,31.0,,0.31,14.57
2017-07-11,54,31.0,,0.31,16.74
2017-07-12,62,31.0,,0.31,19.22
2017-07-13,59,31.0,,0.31,18.29
2017-07-14,53,31.0,,0.31,16.43
2017-07-15,25,31.0,,0.31,7.75
2017-07-16,25,31.0,,0.31,7.75
2017-07-17,48,31.0,,0.31,14.879999999999999
2017-07-18,100,31.0,,0.31,31.0
2017-07-19,59,31.0,,0.31,18.29
2017-07-20,66,31.0,,0.31,20.46
2017-07-21,61,31.0,,0.31,18.91
2017-07-22,27,31.0,,0.31,8.37
2017-07-23,15,31.0,,0.31,4.65
2017-07-24,50,31.0,,0.31,15.5
2017-07-25,61,31.0,,0.31,18.91
2017-07-26,56,31.0,,0.31,17.36
2017-07-27,57,31.0,,0.31,17.669999999999998
2017-07-28,57,31.0,,0.31,17.669999999999998
2017-07-29,27,31.0,,0.31,8.37
2017-07-30,22,31.0,,0.31,6.82
2017-07-31,53,31.0,,0.31,16.43
2017-08-01,76,33.0,False,0.33,25.080000000000002
2017-08-02,80,33.0,,0.33,26.400000000000002
2017-08-03,69,33.0,,0.33,22.77
2017-08-04,74,33.0,,0.33,24.42
2017-08-05,29,33.0,,0.33,9.57
2017-08-06,17,33.0,,0.33,5.61
2017-08-07,55,33.0,,0.33,18.150000000000002
2017-08-08,60,33.0,,0.33,19.8
2017-08-09,73,33.0,,0.33,24.09
2017-08-10,66,33.0,,0.33,21.78
2017-08-11,76,33.0,,0.33,25.080000000000002
2017-08-12,15,33.0,,0.33,4.95
2017-08-13,24,33.0,,0.33,7.92
2017-08-14,65,33.0,,0.33,21.45
2017-08-15,74,33.0,,0.33,24.42
2017-08-16,85,33.0,,0.33,28.05
2017-08-17,71,33.0,,0.33,23.43
2017-08-18,55,33.0,,0.33,18.150000000000002
2017-08-19,32,33.0,,0.33,10.56
2017-08-20,15,33.0,,0.33,4.95
2017-08-21,60,33.0,,0.33,19.8
2017-08-22,100,33.0,,0.33,33.0
2017-08-23,66,33.0,,0.33,21.78
2017-08-24,79,33.0,,0.33,26.07
2017-08-25,61,33.0,,0.33,20.130000000000003
2017-08-26,23,33.0,,0.33,7.590000000000001
2017-08-27,22,33.0,,0.33,7.260000000000001
2017-08-28,73,33.0,,0.33,24.09
2017-08-29,72,33.0,,0.33,23.76
2017-08-30,52,33.0,,0.33,17.16
2017-08-31,63,33.0,,0.33,20.790000000000003
2017-09-01,83,28.0,False,0.28,23.240000000000002
2017-09-02,20,28.0,,0.28,5.6000000000000005
2017-09-03,18,28.0,,0.28,5.040000000000001
2017-09-04,26,28.0,,0.28,7.280000000000001
2017-09-05,75,28.0,,0.28,21.000000000000004
2017-09-06,80,28.0,,0.28,22.400000000000002
2017-09-07,71,28.0,,0.28,19.880000000000003
2017-09-08,52,28.0,,0.28,14.560000000000002
2017-09-09,25,28.0,,0.28,7.000000000000001
2017-09-10,24,28.0,,0.28,6.720000000000001
2017-09-11,63,28.0,,0.28,17.64
2017-09-12,90,28.0,,0.28,25.200000000000003
2017-09-13,91,28.0,,0.28,25.480000000000004
2017-09-14,78,28.0,,0.28,21.840000000000003
2017-09-15,74,28.0,,0.28,20.720000000000002
2017-09-16,37,28.0,,0.28,10.360000000000001
2017-09-17,31,28.0,,0.28,8.680000000000001
2017-09-18,69,28.0,,0.28,19.32
2017-09-19,100,28.0,,0.28,28.000000000000004
2017-09-20,84,28.0,,0.28,23.520000000000003
2017-09-21,77,28.0,,0.28,21.560000000000002
2017-09-22,76,28.0,,0.28,21.28
2017-09-23,30,28.0,,0.28,8.4
2017-09-24,21,28.0,,0.28,5.880000000000001
2017-09-25,70,28.0,,0.28,19.6
2017-09-26,60,28.0,,0.28,16.8
2017-09-27,89,28.0,,0.28,24.92
2017-09-28,84,28.0,,0.28,23.520000000000003
2017-09-29,79,28.0,,0.28,22.12
2017-09-30,26,28.0,,0.28,7.280000000000001
2017-10-01,15,36.0,False,0.36,5.3999999999999995
2017-10-02,36,36.0,,0.36,12.959999999999999
2017-10-03,46,36.0,,0.36,16.56
2017-10-04,38,36.0,,0.36,13.68
2017-10-05,50,36.0,,0.36,18.0
2017-10-06,55,36.0,,0.36,19.8
2017-10-07,17,36.0,,0.36,6.12
2017-10-08,23,36.0,,0.36,8.28
2017-10-09,40,36.0,,0.36,14.399999999999999
2017-10-10,45,36.0,,0.36,16.2
2017-10-11,70,36.0,,0.36,25.2
2017-10-12,65,36.0,,0.36,23.4
2017-10-13,62,36.0,,0.36,22.32
2017-10-14,25,36.0,,0.36,9.0
2017-10-15,21,36.0,,0.36,7.56
2017-10-16,46,36.0,,0.36,16.56
2017-10-17,100,36.0,,0.36,36.0
2017-10-18,86,36.0,,0.36,30.959999999999997
2017-10-19,67,36.0,,0.36,24.119999999999997
2017-10-20,83,36.0,,0.36,29.88
2017-10-21,23,36.0,,0.36,8.28
2017-10-22,17,36.0,,0.36,6.12
2017-10-23,73,36.0,,0.36,26.279999999999998
2017-10-24,66,36.0,,0.36,23.759999999999998
2017-10-25,57,36.0,,0.36,20.52
2017-10-26,60,36.0,,0.36,21.599999999999998
2017-10-27,53,36.0,,0.36,19.08
2017-10-28,29,36.0,,0.36,10.44
2017-10-29,20,36.0,,0.36,7.199999999999999
2017-10-30,59,36.0,,0.36,21.24
2017-10-31,66,36.0,,0.36,23.759999999999998
2017-11-01,67,31.0,False,0.31,20.77
2017-11-02,61,31.0,,0.31,18.91
2017-11-03,100,31.0,,0.31,31.0
2017-11-04,30,31.0,,0.31,9.3
2017-11-05,12,31.0,,0.31,3.7199999999999998
2017-11-06,83,31.0,,0.31,25.73
2017-11-07,73,31.0,,0.31,22.63
2017-11-08,85,31.0,,0.31,26.35
2017-11-09,95,31.0,,0.31,29.45
2017-11-10,83,31.0,,0.31,25.73
2017-11-11,28,31.0,,0.31,8.68
2017-11-12,10,31.0,,0.31,3.1
2017-11-13,63,31.0,,0.31,19.53
2017-11-14,66,31.0,,0.31,20.46
2017-11-15,86,31.0,,0.31,26.66
2017-11-16,78,31.0,,0.31,24.18
2017-11-17,71,31.0,,0.31,22.01
2017-11-18,37,31.0,,0.31,11.47
2017-11-19,28,31.0,,0.31,8.68
2017-11-20,78,31.0,,0.31,24.18
2017-11-21,80,31.0,,0.31,24.8
2017-11-22,64,31.0,,0.31,19.84
2017-11-23,16,31.0,,0.31,4.96
2017-11-24,42,31.0,,0.31,13.02
2017-11-25,34,31.0,,0.31,10.54
2017-11-26,12,31.0,,0.31,3.7199999999999998
2017-11-27,72,31.0,,0.31,22.32
2017-11-28,79,31.0,,0.31,24.49
2017-11-29,79,31.0,,0.31,24.49
2017-11-30,73,31.0,,0.31,22.63
2017-12-01,100,29.0,False,0.29,28.999999999999996
2017-12-02,44,29.0,,0.29,12.76
2017-12-03,22,29.0,,0.29,6.38
2017-12-04,99,29.0,,0.29,28.709999999999997
2017-12-05,61,29.0,,0.29,17.689999999999998
2017-12-06,64,29.0,,0.29,18.56
2017-12-07,69,29.0,,0.29,20.009999999999998
2017-12-08,60,29.0,,0.29,17.4
2017-12-09,19,29.0,,0.29,5.51
2017-12-10,31,29.0,,0.29,8.99
2017-12-11,92,29.0,,0.29,26.68
2017-12-12,89,29.0,,0.29,25.81
2017-12-13,62,29.0,,0.29,17.98
2017-12-14,83,29.0,,0.29,24.069999999999997
2017-12-15,90,29.0,,0.29,26.099999999999998
2017-12-16,37,29.0,,0.29,10.729999999999999
2017-12-17,41,29.0,,0.29,11.889999999999999
2017-12-18,82,29.0,,0.29,23.779999999999998
2017-12-19,88,29.0,,0.29,25.52
2017-12-20,81,29.0,,0.29,23.49
2017-12-21,88,29.0,,0.29,25.52
2017-12-22,64,29.0,,0.29,18.56
2017-12-23,35,29.0,,0.29,10.149999999999999
2017-12-24,34,29.0,,0.29,9.86
