date,BJ_unscaled,BJ_monthly,isPartial,scale,BJ
2016-07-03,94,84.0,,0.84,78.96
2016-07-04,95,84.0,,0.84,79.8
2016-07-05,73,84.0,,0.84,61.32
2016-07-06,60,84.0,,0.84,50.4
2016-07-07,64,84.0,,0.84,53.76
2016-07-08,66,84.0,,0.84,55.44
2016-07-09,81,84.0,,0.84,68.03999999999999
2016-07-10,84,84.0,,0.84,70.56
2016-07-11,72,84.0,,0.84,60.48
2016-07-12,68,84.0,,0.84,57.12
2016-07-13,69,84.0,,0.84,57.96
2016-07-14,64,84.0,,0.84,53.76
2016-07-15,69,84.0,,0.84,57.96
2016-07-16,78,84.0,,0.84,65.52
2016-07-17,85,84.0,,0.84,71.39999999999999
2016-07-18,70,84.0,,0.84,58.8
2016-07-19,72,84.0,,0.84,60.48
2016-07-20,75,84.0,,0.84,63.0
2016-07-21,100,84.0,,0.84,84.0
2016-07-22,81,84.0,,0.84,68.03999999999999
2016-07-23,87,84.0,,0.84,73.08
2016-07-24,82,84.0,,0.84,68.88
2016-07-25,70,84.0,,0.84,58.8
2016-07-26,78,84.0,,0.84,65.52
2016-07-27,67,84.0,,0.84,56.28
2016-07-28,75,84.0,,0.84,63.0
2016-07-29,66,84.0,,0.84,55.44
2016-07-30,79,84.0,,0.84,66.36
2016-07-31,91,84.0,,0.84,76.44
2016-08-01,75,76.0,False,0.76,57.0
2016-08-02,75,76.0,,0.76,57.0
2016-08-03,72,76.0,,0.76,54.72
2016-08-04,82,76.0,,0.76,62.32
2016-08-05,85,76.0,,0.76,64.6
2016-08-06,84,76.0,,0.76,63.84
2016-08-07,82,76.0,,0.76,62.32
2016-08-08,79,76.0,,0.76,60.04
2016-08-09,74,76.0,,0.76,56.24
2016-08-10,69,76.0,,0.76,52.44
2016-08-11,70,76.0,,0.76,53.2
2016-08-12,77,76.0,,0.76,58.52
2016-08-13,88,76.0,,0.76,66.88
2016-08-14,100,76.0,,0.76,76.0
2016-08-15,72,76.0,,0.76,54.72
2016-08-16,79,76.0,,0.76,60.04
2016-08-17,67,76.0,,0.76,50.92
2016-08-18,75,76.0,,0.76,57.0
2016-08-19,71,76.0,,0.76,53.96
2016-08-20,90,76.0,,0.76,68.4
2016-08-21,92,76.0,,0.76,69.92
2016-08-22,71,76.0,,0.76,53.96
2016-08-23,69,76.0,,0.76,52.44
2016-08-24,73,76.0,,0.76,55.480000000000004
2016-08-25,75,76.0,,0.76,57.0
2016-08-26,72,76.0,,0.76,54.72
2016-08-27,84,76.0,,0.76,63.84
2016-08-28,88,76.0,,0.76,66.88
2016-08-29,71,76.0,,0.76,53.96
2016-08-30,69,76.0,,0.76,52.44
2016-08-31,78,76.0,,0.76,59.28
2016-09-01,70,74.0,False,0.74,51.8
2016-09-02,77,74.0,,0.74,56.98
2016-09-03,96,74.0,,0.74,71.03999999999999
2016-09-04,100,74.0,,0.74,74.0
2016-09-05,100,74.0,,0.74,74.0
2016-09-06,72,74.0,,0.74,53.28
2016-09-07,70,74.0,,0.74,51.8
2016-09-08,66,74.0,,0.74,48.839999999999996
2016-09-09,69,74.0,,0.74,51.06
2016-09-10,91,74.0,,0.74,67.34
2016-09-11,88,74.0,,0.74,65.12
2016-09-12,70,74.0,,0.74,51.8
2016-09-13,68,74.0,,0.74,50.32
2016-09-14,69,74.0,,0.74,51.06
2016-09-15,69,74.0,,0.74,51.06
2016-09-16,74,74.0,,0.74,54.76
2016-09-17,84,74.0,,0.74,62.16
2016-09-18,88,74.0,,0.74,65.12
2016-09-19,75,74.0,,0.74,55.5
2016-09-20,66,74.0,,0.74,48.839999999999996
2016-09-21,71,74.0,,0.74,52.54
2016-09-22,69,74.0,,0.74,51.06
2016-09-23,73,74.0,,0.74,54.019999999999996
2016-09-24,82,74.0,,0.74,60.68
2016-09-25,84,74.0,,0.74,62.16
2016-09-26,69,74.0,,0.74,51.06
2016-09-27,61,74.0,,0.74,45.14
2016-09-28,67,74.0,,0.74,49.58
2016-09-29,68,74.0,,0.74,50.32
2016-09-30,70,74.0,,0.74,51.8
2016-10-01,89,73.0,False,0.73,64.97
2016-10-02,98,73.0,,0.73,71.53999999999999
2016-10-03,79,73.0,,0.73,57.67
2016-10-04,76,73.0,,0.73,55.48
2016-10-05,81,73.0,,0.73,59.129999999999995
2016-10-06,78,73.0,,0.73,56.94
2016-10-07,72,73.0,,0.73,52.56
2016-10-08,89,73.0,,0.73,64.97
2016-10-09,90,73.0,,0.73,65.7
2016-10-10,76,73.0,,0.73,55.48
2016-10-11,70,73.0,,0.73,51.1
2016-10-12,70,73.0,,0.73,51.1
2016-10-13,64,73.0,,0.73,46.72
2016-10-14,71,73.0,,0.73,51.83
2016-10-15,100,73.0,,0.73,73.0
2016-10-16,94,73.0,,0.73,68.62
2016-10-17,67,73.0,,0.73,48.91
2016-10-18,67,73.0,,0.73,48.91
2016-10-19,68,73.0,,0.73,49.64
2016-10-20,64,73.0,,0.73,46.72
2016-10-21,75,73.0,,0.73,54.75
2016-10-22,92,73.0,,0.73,67.16
2016-10-23,77,73.0,,0.73,56.21
2016-10-24,68,73.0,,0.73,49.64
2016-10-25,67,73.0,,0.73,48.91
2016-10-26,66,73.0,,0.73,48.18
2016-10-27,71,73.0,,0.73,51.83
2016-10-28,73,73.0,,0.73,53.29
2016-10-29,83,73.0,,0.73,60.589999999999996
2016-10-30,82,73.0,,0.73,59.86
2016-10-31,68,73.0,,0.73,49.64
2016-11-01,65,77.0,False,0.77,50.050000000000004
2016-11-02,66,77.0,,0.77,50.82
2016-11-03,64,77.0,,0.77,49.28
2016-11-04,70,77.0,,0.77,53.9
2016-11-05,93,77.0,,0.77,71.61
2016-11-06,89,77.0,,0.77,68.53
2016-11-07,64,77.0,,0.77,49.28
2016-11-08,63,77.0,,0.77,48.51
2016-11-09,55,77.0,,0.77,42.35
2016-11-10,66,77.0,,0.77,50.82
2016-11-11,80,77.0,,0.77,61.6
2016-11-12,91,77.0,,0.77,70.07000000000001
2016-11-13,100,77.0,,0.77,77.0
2016-11-14,69,77.0,,0.77,53.13
2016-11-15,68,77.0,,0.77,52.36
2016-11-16,69,77.0,,0.77,53.13
2016-11-17,75,77.0,,0.77,57.75
2016-11-18,76,77.0,,0.77,58.52
2016-11-19,88,77.0,,0.77,67.76
2016-11-20,95,77.0,,0.77,73.15
2016-11-21,69,77.0,,0.77,53.13
2016-11-22,72,77.0,,0.77,55.44
2016-11-23,74,77.0,,0.77,56.980000000000004
2016-11-24,98,77.0,,0.77,75.46000000000001
2016-11-25,94,77.0,,0.77,72.38
2016-11-26,81,77.0,,0.77,62.370000000000005
2016-11-27,95,77.0,,0.77,73.15
2016-11-28,70,77.0,,0.77,53.9
2016-11-29,70,77.0,,0.77,53.9
2016-11-30,67,77.0,,0.77,51.59
2016-12-01,73,79.0,False,0.79,57.67
2016-12-02,73,79.0,,0.79,57.67
2016-12-03,89,79.0,,0.79,70.31
2016-12-04,97,79.0,,0.79,76.63000000000001
2016-12-05,70,79.0,,0.79,55.300000000000004
2016-12-06,74,79.0,,0.79,58.46
2016-12-07,68,79.0,,0.79,53.72
2016-12-08,72,79.0,,0.79,56.88
2016-12-09,65,79.0,,0.79,51.35
2016-12-10,76,79.0,,0.79,60.040000000000006
2016-12-11,88,79.0,,0.79,69.52000000000001
2016-12-12,70,79.0,,0.79,55.300000000000004
2016-12-13,73,79.0,,0.79,57.67
2016-12-14,66,79.0,,0.79,52.14
2016-12-15,71,79.0,,0.79,56.09
2016-12-16,77,79.0,,0.79,60.830000000000005
2016-12-17,91,79.0,,0.79,71.89
2016-12-18,89,79.0,,0.79,70.31
2016-12-19,76,79.0,,0.79,60.040000000000006
2016-12-20,75,79.0,,0.79,59.25
2016-12-21,76,79.0,,0.79,60.040000000000006
2016-12-22,82,79.0,,0.79,64.78
2016-12-23,94,79.0,,0.79,74.26
2016-12-24,89,79.0,,0.79,70.31
2016-12-25,83,79.0,,0.79,65.57000000000001
2016-12-26,83,79.0,,0.79,65.57000000000001
2016-12-27,72,79.0,,0.79,56.88
2016-12-28,76,79.0,,0.79,60.040000000000006
2016-12-29,85,79.0,,0.79,67.15
2016-12-30,80,79.0,,0.79,63.2
2016-12-31,100,79.0,,0.79,79.0
2017-01-01,21,97.0,False,0.97,20.37
2017-01-02,23,97.0,,0.97,22.31
2017-01-03,19,97.0,,0.97,18.43
2017-01-04,21,97.0,,0.97,20.37
2017-01-05,20,97.0,,0.97,19.4
2017-01-06,17,97.0,,0.97,16.49
2017-01-07,20,97.0,,0.97,19.4
2017-01-08,24,97.0,,0.97,23.28
2017-01-09,19,97.0,,0.97,18.43
2017-01-10,20,97.0,,0.97,19.4
2017-01-11,19,97.0,,0.97,18.43
2017-01-12,20,97.0,,0.97,19.4
2017-01-13,22,97.0,,0.97,21.34
2017-01-14,28,97.0,,0.97,27.16
2017-01-15,43,97.0,,0.97,41.71
2017-01-16,100,97.0,,0.97,97.0
2017-01-17,33,97.0,,0.97,32.01
2017-01-18,22,97.0,,0.97,21.34
2017-01-19,23,97.0,,0.97,22.31
2017-01-20,17,97.0,,0.97,16.49
2017-01-21,21,97.0,,0.97,20.37
2017-01-22,22,97.0,,0.97,21.34
2017-01-23,16,97.0,,0.97,15.52
2017-01-24,16,97.0,,0.97,15.52
2017-01-25,15,97.0,,0.97,14.549999999999999
2017-01-26,16,97.0,,0.97,15.52
2017-01-27,17,97.0,,0.97,16.49
2017-01-28,20,97.0,,0.97,19.4
2017-01-29,21,97.0,,0.97,20.37
2017-01-30,16,97.0,,0.97,15.52
2017-01-31,16,97.0,,0.97,15.52
2017-02-01,75,73.0,False,0.73,54.75
2017-02-02,77,73.0,,0.73,56.21
2017-02-03,82,73.0,,0.73,59.86
2017-02-04,92,73.0,,0.73,67.16
2017-02-05,94,73.0,,0.73,68.62
2017-02-06,75,73.0,,0.73,54.75
2017-02-07,70,73.0,,0.73,51.1
2017-02-08,70,73.0,,0.73,51.1
2017-02-09,78,73.0,,0.73,56.94
2017-02-10,78,73.0,,0.73,56.94
2017-02-11,93,73.0,,0.73,67.89
2017-02-12,100,73.0,,0.73,73.0
2017-02-13,75,73.0,,0.73,54.75
2017-02-14,74,73.0,,0.73,54.019999999999996
2017-02-15,83,73.0,,0.73,60.589999999999996
2017-02-16,75,73.0,,0.73,54.75
2017-02-17,83,73.0,,0.73,60.589999999999996
2017-02-18,93,73.0,,0.73,67.89
2017-02-19,87,73.0,,0.73,63.51
2017-02-20,83,73.0,,0.73,60.589999999999996
2017-02-21,73,73.0,,0.73,53.29
2017-02-22,72,73.0,,0.73,52.56
2017-02-23,69,73.0,,0.73,50.37
2017-02-24,81,73.0,,0.73,59.129999999999995
2017-02-25,97,73.0,,0.73,70.81
2017-02-26,94,73.0,,0.73,68.62
2017-02-27,77,73.0,,0.73,56.21
2017-02-28,73,73.0,,0.73,53.29
2017-03-01,42,80.0,False,0.8,33.6
2017-03-02,42,80.0,,0.8,33.6
2017-03-03,47,80.0,,0.8,37.6
2017-03-04,47,80.0,,0.8,37.6
2017-03-05,53,80.0,,0.8,42.400000000000006
2017-03-06,43,80.0,,0.8,34.4
2017-03-07,36,80.0,,0.8,28.8
2017-03-08,41,80.0,,0.8,32.800000000000004
2017-03-09,41,80.0,,0.8,32.800000000000004
2017-03-10,42,80.0,,0.8,33.6
2017-03-11,53,80.0,,0.8,42.400000000000006
2017-03-12,48,80.0,,0.8,38.400000000000006
2017-03-13,45,80.0,,0.8,36.0
2017-03-14,100,80.0,,0.8,80.0
2017-03-15,74,80.0,,0.8,59.2
2017-03-16,49,80.0,,0.8,39.2
2017-03-17,45,80.0,,0.8,36.0
2017-03-18,55,80.0,,0.8,44.0
2017-03-19,50,80.0,,0.8,40.0
2017-03-20,43,80.0,,0.8,34.4
2017-03-21,42,80.0,,0.8,33.6
2017-03-22,41,80.0,,0.8,32.800000000000004
2017-03-23,40,80.0,,0.8,32.0
2017-03-24,46,80.0,,0.8,36.800000000000004
2017-03-25,51,80.0,,0.8,40.800000000000004
2017-03-26,51,80.0,,0.8,40.800000000000004
2017-03-27,38,80.0,,0.8,30.400000000000002
2017-03-28,40,80.0,,0.8,32.0
2017-03-29,43,80.0,,0.8,34.4
2017-03-30,41,80.0,,0.8,32.800000000000004
2017-03-31,43,80.0,,0.8,34.4
2017-04-01,88,75.0,False,0.75,66.0
2017-04-02,91,75.0,,0.75,68.25
2017-04-03,78,75.0,,0.75,58.5
2017-04-04,71,75.0,,0.75,53.25
2017-04-05,74,75.0,,0.75,55.5
2017-04-06,76,75.0,,0.75,57.0
2017-04-07,78,75.0,,0.75,58.5
2017-04-08,100,75.0,,0.75,75.0
2017-04-09,89,75.0,,0.75,66.75
2017-04-10,71,75.0,,0.75,53.25
2017-04-11,84,75.0,,0.75,63.0
2017-04-12,76,75.0,,0.75,57.0
2017-04-13,82,75.0,,0.75,61.5
2017-04-14,79,75.0,,0.75,59.25
2017-04-15,89,75.0,,0.75,66.75
2017-04-16,96,75.0,,0.75,72.0
2017-04-17,79,75.0,,0.75,59.25
2017-04-18,72,75.0,,0.75,54.0
2017-04-19,71,75.0,,0.75,53.25
2017-04-20,68,75.0,,0.75,51.0
2017-04-21,73,75.0,,0.75,54.75
2017-04-22,88,75.0,,0.75,66.0
2017-04-23,92,75.0,,0.75,69.0
2017-04-24,74,75.0,,0.75,55.5
2017-04-25,71,75.0,,0.75,53.25
2017-04-26,69,75.0,,0.75,51.75
2017-04-27,68,75.0,,0.75,51.0
2017-04-28,70,75.0,,0.75,52.5
2017-04-29,87,75.0,,0.75,65.25
2017-04-30,87,75.0,,0.75,65.25
2017-05-01,74,75.0,False,0.75,55.5
2017-05-02,64,75.0,,0.75,48.0
2017-05-03,74,75.0,,0.75,55.5
2017-05-04,83,75.0,,0.75,62.25
2017-05-05,80,75.0,,0.75,60.0
2017-05-06,91,75.0,,0.75,68.25
2017-05-07,100,75.0,,0.75,75.0
2017-05-08,68,75.0,,0.75,51.0
2017-05-09,66,75.0,,0.75,49.5
2017-05-10,65,75.0,,0.75,48.75
2017-05-11,74,75.0,,0.75,55.5
2017-05-12,72,75.0,,0.75,54.0
2017-05-13,93,75.0,,0.75,69.75
2017-05-14,88,75.0,,0.75,66.0
2017-05-15,72,75.0,,0.75,54.0
2017-05-16,72,75.0,,0.75,54.0
2017-05-17,69,75.0,,0.75,51.75
2017-05-18,67,75.0,,0.75,50.25
2017-05-19,74,75.0,,0.75,55.5
2017-05-20,87,75.0,,0.75,65.25
2017-05-21,86,75.0,,0.75,64.5
2017-05-22,73,75.0,,0.75,54.75
2017-05-23,70,75.0,,0.75,52.5
2017-05-24,72,75.0,,0.75,54.0
2017-05-25,76,75.0,,0.75,57.0
2017-05-26,74,75.0,,0.75,55.5
2017-05-27,86,75.0,,0.75,64.5
2017-05-28,99,75.0,,0.75,74.25
2017-05-29,97,75.0,,0.75,72.75
2017-05-30,68,75.0,,0.75,51.0
2017-05-31,67,75.0,,0.75,50.25
2017-06-01,57,83.0,False,0.83,47.309999999999995
2017-06-02,53,83.0,,0.83,43.989999999999995
2017-06-03,66,83.0,,0.83,54.779999999999994
2017-06-04,71,83.0,,0.83,58.93
2017-06-05,60,83.0,,0.83,49.8
2017-06-06,62,83.0,,0.83,51.46
2017-06-07,56,83.0,,0.83,46.48
2017-06-08,60,83.0,,0.83,49.8
2017-06-09,64,83.0,,0.83,53.12
2017-06-10,63,83.0,,0.83,52.29
2017-06-11,73,83.0,,0.83,60.589999999999996
2017-06-12,62,83.0,,0.83,51.46
2017-06-13,61,83.0,,0.83,50.629999999999995
2017-06-14,54,83.0,,0.83,44.82
2017-06-15,61,83.0,,0.83,50.629999999999995
2017-06-16,62,83.0,,0.83,51.46
2017-06-17,65,83.0,,0.83,53.949999999999996
2017-06-18,76,83.0,,0.83,63.08
2017-06-19,60,83.0,,0.83,49.8
2017-06-20,56,83.0,,0.83,46.48
2017-06-21,56,83.0,,0.83,46.48
2017-06-22,57,83.0,,0.83,47.309999999999995
2017-06-23,61,83.0,,0.83,50.629999999999995
2017-06-24,75,83.0,,0.83,62.25
2017-06-25,82,83.0,,0.83,68.06
2017-06-26,100,83.0,,0.83,83.0
2017-06-27,64,83.0,,0.83,53.12
2017-06-28,60,83.0,,0.83,49.8
2017-06-29,68,83.0,,0.83,56.44
2017-06-30,64,83.0,,0.83,53.12
2017-07-01,89,80.0,False,0.8,71.2
2017-07-02,93,80.0,,0.8,74.4
2017-07-03,90,80.0,,0.8,72.0
2017-07-04,94,80.0,,0.8,75.2
2017-07-05,78,80.0,,0.8,62.400000000000006
2017-07-06,80,80.0,,0.8,64.0
2017-07-07,77,80.0,,0.8,61.6
2017-07-08,89,80.0,,0.8,71.2
2017-07-09,89,80.0,,0.8,71.2
2017-07-10,77,80.0,,0.8,61.6
2017-07-11,74,80.0,,0.8,59.2
2017-07-12,81,80.0,,0.8,64.8
2017-07-13,76,80.0,,0.8,60.800000000000004
2017-07-14,79,80.0,,0.8,63.2
2017-07-15,85,80.0,,0.8,68.0
2017-07-16,91,80.0,,0.8,72.8
2017-07-17,83,80.0,,0.8,66.4
2017-07-18,90,80.0,,0.8,72.0
2017-07-19,82,80.0,,0.8,65.60000000000001
2017-07-20,79,80.0,,0.8,63.2
2017-07-21,81,80.0,,0.8,64.8
2017-07-22,91,80.0,,0.8,72.8
2017-07-23,96,80.0,,0.8,76.80000000000001
2017-07-24,72,80.0,,0.8,57.6
2017-07-25,72,80.0,,0.8,57.6
2017-07-26,76,80.0,,0.8,60.800000000000004
2017-07-27,77,80.0,,0.8,61.6
2017-07-28,81,80.0,,0.8,64.8
2017-07-29,87,80.0,,0.8,69.60000000000001
2017-07-30,100,80.0,,0.8,80.0
2017-07-31,75,80.0,,0.8,60.0
2017-08-01,76,73.0,False,0.73,55.48
2017-08-02,84,73.0,,0.73,61.32
2017-08-03,75,73.0,,0.73,54.75
2017-08-04,83,73.0,,0.73,60.589999999999996
2017-08-05,92,73.0,,0.73,67.16
2017-08-06,100,73.0,,0.73,73.0
2017-08-07,84,73.0,,0.73,61.32
2017-08-08,80,73.0,,0.73,58.4
2017-08-09,82,73.0,,0.73,59.86
2017-08-10,80,73.0,,0.73,58.4
2017-08-11,85,73.0,,0.73,62.05
2017-08-12,95,73.0,,0.73,69.35
2017-08-13,92,73.0,,0.73,67.16
2017-08-14,78,73.0,,0.73,56.94
2017-08-15,88,73.0,,0.73,64.24
2017-08-16,80,73.0,,0.73,58.4
2017-08-17,85,73.0,,0.73,62.05
2017-08-18,79,73.0,,0.73,57.67
2017-08-19,99,73.0,,0.73,72.27
2017-08-20,100,73.0,,0.73,73.0
2017-08-21,71,73.0,,0.73,51.83
2017-08-22,83,73.0,,0.73,60.589999999999996
2017-08-23,80,73.0,,0.73,58.4
2017-08-24,69,73.0,,0.73,50.37
2017-08-25,81,73.0,,0.73,59.129999999999995
2017-08-26,84,73.0,,0.73,61.32
2017-08-27,84,73.0,,0.73,61.32
2017-08-28,77,73.0,,0.73,56.21
2017-08-29,72,73.0,,0.73,52.56
2017-08-30,77,73.0,,0.73,56.21
2017-08-31,79,73.0,,0.73,57.67
2017-09-01,92,69.0,False,0.69,63.48
2017-09-02,95,69.0,,0.69,65.55
2017-09-03,100,69.0,,0.69,69.0
2017-09-04,98,69.0,,0.69,67.61999999999999
2017-09-05,81,69.0,,0.69,55.88999999999999
2017-09-06,75,69.0,,0.69,51.74999999999999
2017-09-07,77,69.0,,0.69,53.129999999999995
2017-09-08,72,69.0,,0.69,49.67999999999999
2017-09-09,91,69.0,,0.69,62.78999999999999
2017-09-10,86,69.0,,0.69,59.339999999999996
2017-09-11,77,69.0,,0.69,53.129999999999995
2017-09-12,68,69.0,,0.69,46.919999999999995
2017-09-13,70,69.0,,0.69,48.3
2017-09-14,75,69.0,,0.69,51.74999999999999
2017-09-15,75,69.0,,0.69,51.74999999999999
2017-09-16,100,69.0,,0.69,69.0
2017-09-17,85,69.0,,0.69,58.65
2017-09-18,80,69.0,,0.69,55.199999999999996
2017-09-19,63,69.0,,0.69,43.47
2017-09-20,72,69.0,,0.69,49.67999999999999
2017-09-21,79,69.0,,0.69,54.51
2017-09-22,75,69.0,,0.69,51.74999999999999
2017-09-23,96,69.0,,0.69,66.24
2017-09-24,96,69.0,,0.69,66.24
2017-09-25,74,69.0,,0.69,51.059999999999995
2017-09-26,75,69.0,,0.69,51.74999999999999
2017-09-27,70,69.0,,0.69,48.3
2017-09-28,78,69.0,,0.69,53.81999999999999
2017-09-29,78,69.0,,0.69,53.81999999999999
2017-09-30,93,69.0,,0.69,64.17
2017-10-01,93,68.0,False,0.68,63.24
2017-10-02,79,68.0,,0.68,53.720000000000006
2017-10-03,66,68.0,,0.68,44.88
2017-10-04,78,68.0,,0.68,53.040000000000006
2017-10-05,71,68.0,,0.68,48.28
2017-10-06,71,68.0,,0.68,48.28
2017-10-07,100,68.0,,0.68,68.0
2017-10-08,96,68.0,,0.68,65.28
2017-10-09,78,68.0,,0.68,53.040000000000006
2017-10-10,68,68.0,,0.68,46.24
2017-10-11,71,68.0,,0.68,48.28
2017-10-12,74,68.0,,0.68,50.32
2017-10-13,78,68.0,,0.68,53.040000000000006
2017-10-14,91,68.0,,0.68,61.88
2017-10-15,94,68.0,,0.68,63.92
2017-10-16,75,68.0,,0.68,51.00000000000001
2017-10-17,75,68.0,,0.68,51.00000000000001
2017-10-18,77,68.0,,0.68,52.36000000000001
2017-10-19,75,68.0,,0.68,51.00000000000001
2017-10-20,74,68.0,,0.68,50.32
2017-10-21,93,68.0,,0.68,63.24
2017-10-22,80,68.0,,0.68,54.400000000000006
2017-10-23,77,68.0,,0.68,52.36000000000001
2017-10-24,73,68.0,,0.68,49.64
2017-10-25,67,68.0,,0.68,45.56
2017-10-26,79,68.0,,0.68,53.720000000000006
2017-10-27,73,68.0,,0.68,49.64
2017-10-28,86,68.0,,0.68,58.480000000000004
2017-10-29,92,68.0,,0.68,62.56
2017-10-30,70,68.0,,0.68,47.6
2017-10-31,73,68.0,,0.68,49.64
2017-11-01,71,71.0,False,0.71,50.41
2017-11-02,73,71.0,,0.71,51.83
2017-11-03,82,71.0,,0.71,58.22
2017-11-04,87,71.0,,0.71,61.769999999999996
2017-11-05,98,71.0,,0.71,69.58
2017-11-06,76,71.0,,0.71,53.959999999999994
2017-11-07,77,71.0,,0.71,54.669999999999995
2017-11-08,69,71.0,,0.71,48.989999999999995
2017-11-09,79,71.0,,0.71,56.089999999999996
2017-11-10,96,71.0,,0.71,68.16
2017-11-11,100,71.0,,0.71,71.0
2017-11-12,88,71.0,,0.71,62.48
2017-11-13,75,71.0,,0.71,53.25
2017-11-14,73,71.0,,0.71,51.83
2017-11-15,74,71.0,,0.71,52.54
2017-11-16,76,71.0,,0.71,53.959999999999994
2017-11-17,79,71.0,,0.71,56.089999999999996
2017-11-18,98,71.0,,0.71,69.58
2017-11-19,95,71.0,,0.71,67.45
2017-11-20,82,71.0,,0.71,58.22
2017-11-21,87,71.0,,0.71,61.769999999999996
2017-11-22,97,71.0,,0.71,68.86999999999999
2017-11-23,92,71.0,,0.71,65.32
2017-11-24,88,71.0,,0.71,62.48
2017-11-25,97,71.0,,0.71,68.86999999999999
2017-11-26,100,71.0,,0.71,71.0
2017-11-27,75,71.0,,0.71,53.25
2017-11-28,72,71.0,,0.71,51.12
2017-11-29,68,71.0,,0.71,48.28
2017-11-30,74,71.0,,0.71,52.54
2017-12-01,75,71.0,False,0.71,53.25
2017-12-02,85,71.0,,0.71,60.349999999999994
2017-12-03,94,71.0,,0.71,66.74
2017-12-04,73,71.0,,0.71,51.83
2017-12-05,75,71.0,,0.71,53.25
2017-12-06,74,71.0,,0.71,52.54
2017-12-07,72,71.0,,0.71,51.12
2017-12-08,75,71.0,,0.71,53.25
2017-12-09,86,71.0,,0.71,61.059999999999995
2017-12-10,94,71.0,,0.71,66.74
2017-12-11,76,71.0,,0.71,53.959999999999994
2017-12-12,71,71.0,,0.71,50.41
2017-12-13,75,71.0,,0.71,53.25
2017-12-14,76,71.0,,0.71,53.959999999999994
2017-12-15,80,71.0,,0.71,56.8
2017-12-16,93,71.0,,0.71,66.03
2017-12-17,93,71.0,,0.71,66.03
2017-12-18,82,71.0,,0.71,58.22
2017-12-19,76,71.0,,0.71,53.959999999999994
2017-12-20,88,71.0,,0.71,62.48
2017-12-21,88,71.0,,0.71,62.48
2017-12-22,94,71.0,,0.71,66.74
2017-12-23,100,71.0,,0.71,71.0
2017-12-24,100,71.0,,0.71,71.0
2017-12-25,81,71.0,,0.71,57.51
2017-12-26,84,71.0,,0.71,59.64
2017-12-27,83,71.0,,0.71,58.93
2017-12-28,87,71.0,,0.71,61.769999999999996
2017-12-29,86,71.0,,0.71,61.059999999999995
2017-12-30,94,71.0,,0.71,66.74
2017-12-31,95,71.0,,0.71,67.45
