date,LIFE_unscaled,LIFE_monthly,isPartial,scale,LIFE
2016-06-26,96,89.0,,0.89,85.44
2016-06-27,92,89.0,,0.89,81.88
2016-06-28,99,89.0,,0.89,88.11
2016-06-29,96,89.0,,0.89,85.44
2016-06-30,92,89.0,,0.89,81.88
2016-07-01,65,96.0,False,0.96,62.4
2016-07-02,63,96.0,,0.96,60.48
2016-07-03,68,96.0,,0.96,65.28
2016-07-04,63,96.0,,0.96,60.48
2016-07-05,66,96.0,,0.96,63.36
2016-07-06,71,96.0,,0.96,68.16
2016-07-07,76,96.0,,0.96,72.96
2016-07-08,90,96.0,,0.96,86.39999999999999
2016-07-09,100,96.0,,0.96,96.0
2016-07-10,98,96.0,,0.96,94.08
2016-07-11,82,96.0,,0.96,78.72
2016-07-12,75,96.0,,0.96,72.0
2016-07-13,77,96.0,,0.96,73.92
2016-07-14,70,96.0,,0.96,67.2
2016-07-15,71,96.0,,0.96,68.16
2016-07-16,77,96.0,,0.96,73.92
2016-07-17,83,96.0,,0.96,79.67999999999999
2016-07-18,71,96.0,,0.96,68.16
2016-07-19,71,96.0,,0.96,68.16
2016-07-20,69,96.0,,0.96,66.24
2016-07-21,71,96.0,,0.96,68.16
2016-07-22,72,96.0,,0.96,69.12
2016-07-23,77,96.0,,0.96,73.92
2016-07-24,81,96.0,,0.96,77.75999999999999
2016-07-25,70,96.0,,0.96,67.2
2016-07-26,71,96.0,,0.96,68.16
2016-07-27,68,96.0,,0.96,65.28
2016-07-28,68,96.0,,0.96,65.28
2016-07-29,67,96.0,,0.96,64.32
2016-07-30,72,96.0,,0.96,69.12
2016-07-31,75,96.0,,0.96,72.0
2016-08-01,96,87.0,False,0.87,83.52
2016-08-02,99,87.0,,0.87,86.13
2016-08-03,100,87.0,,0.87,87.0
2016-08-04,95,87.0,,0.87,82.65
2016-08-05,94,87.0,,0.87,81.78
2016-08-06,91,87.0,,0.87,79.17
2016-08-07,94,87.0,,0.87,81.78
2016-08-08,86,87.0,,0.87,74.82
2016-08-09,90,87.0,,0.87,78.3
2016-08-10,90,87.0,,0.87,78.3
2016-08-11,90,87.0,,0.87,78.3
2016-08-12,91,87.0,,0.87,79.17
2016-08-13,86,87.0,,0.87,74.82
2016-08-14,97,87.0,,0.87,84.39
2016-08-15,90,87.0,,0.87,78.3
2016-08-16,90,87.0,,0.87,78.3
2016-08-17,90,87.0,,0.87,78.3
2016-08-18,87,87.0,,0.87,75.69
2016-08-19,89,87.0,,0.87,77.42999999999999
2016-08-20,88,87.0,,0.87,76.56
2016-08-21,93,87.0,,0.87,80.91
2016-08-22,91,87.0,,0.87,79.17
2016-08-23,93,87.0,,0.87,80.91
2016-08-24,95,87.0,,0.87,82.65
2016-08-25,96,87.0,,0.87,83.52
2016-08-26,97,87.0,,0.87,84.39
2016-08-27,94,87.0,,0.87,81.78
2016-08-28,100,87.0,,0.87,87.0
2016-08-29,95,87.0,,0.87,82.65
2016-08-30,97,87.0,,0.87,84.39
2016-08-31,96,87.0,,0.87,83.52
2016-09-01,90,91.0,False,0.91,81.9
2016-09-02,89,91.0,,0.91,80.99000000000001
2016-09-03,86,91.0,,0.91,78.26
2016-09-04,97,91.0,,0.91,88.27
2016-09-05,97,91.0,,0.91,88.27
2016-09-06,95,91.0,,0.91,86.45
2016-09-07,92,91.0,,0.91,83.72
2016-09-08,95,91.0,,0.91,86.45
2016-09-09,96,91.0,,0.91,87.36
2016-09-10,90,91.0,,0.91,81.9
2016-09-11,98,91.0,,0.91,89.18
2016-09-12,96,91.0,,0.91,87.36
2016-09-13,98,91.0,,0.91,89.18
2016-09-14,99,91.0,,0.91,90.09
2016-09-15,97,91.0,,0.91,88.27
2016-09-16,100,91.0,,0.91,91.0
2016-09-17,92,91.0,,0.91,83.72
2016-09-18,97,91.0,,0.91,88.27
2016-09-19,95,91.0,,0.91,86.45
2016-09-20,100,91.0,,0.91,91.0
2016-09-21,95,91.0,,0.91,86.45
2016-09-22,100,91.0,,0.91,91.0
2016-09-23,96,91.0,,0.91,87.36
2016-09-24,92,91.0,,0.91,83.72
2016-09-25,94,91.0,,0.91,85.54
2016-09-26,96,91.0,,0.91,87.36
2016-09-27,93,91.0,,0.91,84.63000000000001
2016-09-28,94,91.0,,0.91,85.54
2016-09-29,99,91.0,,0.91,90.09
2016-09-30,94,91.0,,0.91,85.54
2016-10-01,82,88.0,False,0.88,72.16
2016-10-02,89,88.0,,0.88,78.32000000000001
2016-10-03,93,88.0,,0.88,81.84
2016-10-04,93,88.0,,0.88,81.84
2016-10-05,90,88.0,,0.88,79.2
2016-10-06,90,88.0,,0.88,79.2
2016-10-07,87,88.0,,0.88,76.56
2016-10-08,82,88.0,,0.88,72.16
2016-10-09,84,88.0,,0.88,73.92
2016-10-10,90,88.0,,0.88,79.2
2016-10-11,100,88.0,,0.88,88.0
2016-10-12,96,88.0,,0.88,84.48
2016-10-13,94,88.0,,0.88,82.72
2016-10-14,90,88.0,,0.88,79.2
2016-10-15,79,88.0,,0.88,69.52
2016-10-16,85,88.0,,0.88,74.8
2016-10-17,94,88.0,,0.88,82.72
2016-10-18,95,88.0,,0.88,83.6
2016-10-19,91,88.0,,0.88,80.08
2016-10-20,92,88.0,,0.88,80.96
2016-10-21,88,88.0,,0.88,77.44
2016-10-22,81,88.0,,0.88,71.28
2016-10-23,87,88.0,,0.88,76.56
2016-10-24,98,88.0,,0.88,86.24
2016-10-25,97,88.0,,0.88,85.36
2016-10-26,95,88.0,,0.88,83.6
2016-10-27,95,88.0,,0.88,83.6
2016-10-28,94,88.0,,0.88,82.72
2016-10-29,77,88.0,,0.88,67.76
2016-10-30,85,88.0,,0.88,74.8
2016-10-31,95,88.0,,0.88,83.6
2016-11-01,96,86.0,False,0.86,82.56
2016-11-02,99,86.0,,0.86,85.14
2016-11-03,93,86.0,,0.86,79.98
2016-11-04,98,86.0,,0.86,84.28
2016-11-05,83,86.0,,0.86,71.38
2016-11-06,89,86.0,,0.86,76.53999999999999
2016-11-07,95,86.0,,0.86,81.7
2016-11-08,89,86.0,,0.86,76.53999999999999
2016-11-09,68,86.0,,0.86,58.48
2016-11-10,89,86.0,,0.86,76.53999999999999
2016-11-11,85,86.0,,0.86,73.1
2016-11-12,79,86.0,,0.86,67.94
2016-11-13,87,86.0,,0.86,74.82
2016-11-14,96,86.0,,0.86,82.56
2016-11-15,95,86.0,,0.86,81.7
2016-11-16,95,86.0,,0.86,81.7
2016-11-17,94,86.0,,0.86,80.84
2016-11-18,89,86.0,,0.86,76.53999999999999
2016-11-19,82,86.0,,0.86,70.52
2016-11-20,87,86.0,,0.86,74.82
2016-11-21,90,86.0,,0.86,77.4
2016-11-22,88,86.0,,0.86,75.67999999999999
2016-11-23,83,86.0,,0.86,71.38
2016-11-24,73,86.0,,0.86,62.78
2016-11-25,83,86.0,,0.86,71.38
2016-11-26,89,86.0,,0.86,76.53999999999999
2016-11-27,100,86.0,,0.86,86.0
2016-11-28,97,86.0,,0.86,83.42
2016-11-29,100,86.0,,0.86,86.0
2016-11-30,100,86.0,,0.86,86.0
2016-12-01,92,90.0,False,0.9,82.8
2016-12-02,92,90.0,,0.9,82.8
2016-12-03,86,90.0,,0.9,77.4
2016-12-04,95,90.0,,0.9,85.5
2016-12-05,95,90.0,,0.9,85.5
2016-12-06,96,90.0,,0.9,86.4
2016-12-07,94,90.0,,0.9,84.60000000000001
2016-12-08,100,90.0,,0.9,90.0
2016-12-09,91,90.0,,0.9,81.9
2016-12-10,87,90.0,,0.9,78.3
2016-12-11,98,90.0,,0.9,88.2
2016-12-12,91,90.0,,0.9,81.9
2016-12-13,92,90.0,,0.9,82.8
2016-12-14,92,90.0,,0.9,82.8
2016-12-15,89,90.0,,0.9,80.10000000000001
2016-12-16,86,90.0,,0.9,77.4
2016-12-17,84,90.0,,0.9,75.60000000000001
2016-12-18,86,90.0,,0.9,77.4
2016-12-19,86,90.0,,0.9,77.4
2016-12-20,85,90.0,,0.9,76.5
2016-12-21,85,90.0,,0.9,76.5
2016-12-22,81,90.0,,0.9,72.9
2016-12-23,80,90.0,,0.9,72.0
2016-12-24,79,90.0,,0.9,71.10000000000001
2016-12-25,96,90.0,,0.9,86.4
2016-12-26,81,90.0,,0.9,72.9
2016-12-27,84,90.0,,0.9,75.60000000000001
2016-12-28,84,90.0,,0.9,75.60000000000001
2016-12-29,82,90.0,,0.9,73.8
2016-12-30,82,90.0,,0.9,73.8
2016-12-31,76,90.0,,0.9,68.4
2017-01-01,71,94.0,False,0.94,66.74
2017-01-02,71,94.0,,0.94,66.74
2017-01-03,73,94.0,,0.94,68.61999999999999
2017-01-04,77,94.0,,0.94,72.38
2017-01-05,78,94.0,,0.94,73.32
2017-01-06,77,94.0,,0.94,72.38
2017-01-07,70,94.0,,0.94,65.8
2017-01-08,74,94.0,,0.94,69.56
2017-01-09,76,94.0,,0.94,71.44
2017-01-10,75,94.0,,0.94,70.5
2017-01-11,78,94.0,,0.94,73.32
2017-01-12,78,94.0,,0.94,73.32
2017-01-13,78,94.0,,0.94,73.32
2017-01-14,72,94.0,,0.94,67.67999999999999
2017-01-15,74,94.0,,0.94,69.56
2017-01-16,74,94.0,,0.94,69.56
2017-01-17,78,94.0,,0.94,73.32
2017-01-18,77,94.0,,0.94,72.38
2017-01-19,79,94.0,,0.94,74.25999999999999
2017-01-20,74,94.0,,0.94,69.56
2017-01-21,71,94.0,,0.94,66.74
2017-01-22,82,94.0,,0.94,77.08
2017-01-23,80,94.0,,0.94,75.19999999999999
2017-01-24,82,94.0,,0.94,77.08
2017-01-25,81,94.0,,0.94,76.14
2017-01-26,85,94.0,,0.94,79.89999999999999
2017-01-27,100,94.0,,0.94,94.0
2017-01-28,87,94.0,,0.94,81.78
2017-01-29,81,94.0,,0.94,76.14
2017-01-30,76,94.0,,0.94,71.44
2017-01-31,80,94.0,,0.94,75.19999999999999
2017-02-01,100,92.0,False,0.92,92.0
2017-02-02,96,92.0,,0.92,88.32000000000001
2017-02-03,95,92.0,,0.92,87.4
2017-02-04,87,92.0,,0.92,80.04
2017-02-05,89,92.0,,0.92,81.88000000000001
2017-02-06,94,92.0,,0.92,86.48
2017-02-07,97,92.0,,0.92,89.24000000000001
2017-02-08,95,92.0,,0.92,87.4
2017-02-09,97,92.0,,0.92,89.24000000000001
2017-02-10,93,92.0,,0.92,85.56
2017-02-11,85,92.0,,0.92,78.2
2017-02-12,90,92.0,,0.92,82.8
2017-02-13,96,92.0,,0.92,88.32000000000001
2017-02-14,91,92.0,,0.92,83.72
2017-02-15,97,92.0,,0.92,89.24000000000001
2017-02-16,96,92.0,,0.92,88.32000000000001
2017-02-17,90,92.0,,0.92,82.8
2017-02-18,85,92.0,,0.92,78.2
2017-02-19,90,92.0,,0.92,82.8
2017-02-20,95,92.0,,0.92,87.4
2017-02-21,99,92.0,,0.92,91.08
2017-02-22,99,92.0,,0.92,91.08
2017-02-23,95,92.0,,0.92,87.4
2017-02-24,92,92.0,,0.92,84.64
2017-02-25,85,92.0,,0.92,78.2
2017-02-26,91,92.0,,0.92,83.72
2017-02-27,98,92.0,,0.92,90.16000000000001
2017-02-28,97,92.0,,0.92,89.24000000000001
2017-03-01,67,100.0,False,1.0,67.0
2017-03-02,70,100.0,,1.0,70.0
2017-03-03,67,100.0,,1.0,67.0
2017-03-04,64,100.0,,1.0,64.0
2017-03-05,69,100.0,,1.0,69.0
2017-03-06,71,100.0,,1.0,71.0
2017-03-07,70,100.0,,1.0,70.0
2017-03-08,69,100.0,,1.0,69.0
2017-03-09,68,100.0,,1.0,68.0
2017-03-10,65,100.0,,1.0,65.0
2017-03-11,60,100.0,,1.0,60.0
2017-03-12,62,100.0,,1.0,62.0
2017-03-13,66,100.0,,1.0,66.0
2017-03-14,66,100.0,,1.0,66.0
2017-03-15,69,100.0,,1.0,69.0
2017-03-16,69,100.0,,1.0,69.0
2017-03-17,70,100.0,,1.0,70.0
2017-03-18,82,100.0,,1.0,82.0
2017-03-19,100,100.0,,1.0,100.0
2017-03-20,81,100.0,,1.0,81.0
2017-03-21,80,100.0,,1.0,80.0
2017-03-22,77,100.0,,1.0,77.0
2017-03-23,78,100.0,,1.0,78.0
2017-03-24,88,100.0,,1.0,88.0
2017-03-25,86,100.0,,1.0,86.0
2017-03-26,88,100.0,,1.0,88.0
2017-03-27,78,100.0,,1.0,78.0
2017-03-28,78,100.0,,1.0,78.0
2017-03-29,77,100.0,,1.0,77.0
2017-03-30,78,100.0,,1.0,78.0
2017-03-31,77,100.0,,1.0,77.0
2017-04-01,99,98.0,False,0.98,97.02
2017-04-02,99,98.0,,0.98,97.02
2017-04-03,95,98.0,,0.98,93.1
2017-04-04,97,98.0,,0.98,95.06
2017-04-05,92,98.0,,0.98,90.16
2017-04-06,93,98.0,,0.98,91.14
2017-04-07,93,98.0,,0.98,91.14
2017-04-08,89,98.0,,0.98,87.22
2017-04-09,92,98.0,,0.98,90.16
2017-04-10,92,98.0,,0.98,90.16
2017-04-11,93,98.0,,0.98,91.14
2017-04-12,88,98.0,,0.98,86.24
2017-04-13,87,98.0,,0.98,85.26
2017-04-14,84,98.0,,0.98,82.32
2017-04-15,80,98.0,,0.98,78.4
2017-04-16,85,98.0,,0.98,83.3
2017-04-17,86,98.0,,0.98,84.28
2017-04-18,91,98.0,,0.98,89.17999999999999
2017-04-19,91,98.0,,0.98,89.17999999999999
2017-04-20,91,98.0,,0.98,89.17999999999999
2017-04-21,92,98.0,,0.98,90.16
2017-04-22,85,98.0,,0.98,83.3
2017-04-23,95,98.0,,0.98,93.1
2017-04-24,97,98.0,,0.98,95.06
2017-04-25,100,98.0,,0.98,98.0
2017-04-26,97,98.0,,0.98,95.06
2017-04-27,98,98.0,,0.98,96.03999999999999
2017-04-28,92,98.0,,0.98,90.16
2017-04-29,84,98.0,,0.98,82.32
2017-04-30,96,98.0,,0.98,94.08
2017-05-01,99,90.0,False,0.9,89.10000000000001
2017-05-02,98,90.0,,0.9,88.2
2017-05-03,98,90.0,,0.9,88.2
2017-05-04,100,90.0,,0.9,90.0
2017-05-05,93,90.0,,0.9,83.7
2017-05-06,83,90.0,,0.9,74.7
2017-05-07,92,90.0,,0.9,82.8
2017-05-08,99,90.0,,0.9,89.10000000000001
2017-05-09,98,90.0,,0.9,88.2
2017-05-10,95,90.0,,0.9,85.5
2017-05-11,92,90.0,,0.9,82.8
2017-05-12,93,90.0,,0.9,83.7
2017-05-13,81,90.0,,0.9,72.9
2017-05-14,87,90.0,,0.9,78.3
2017-05-15,97,90.0,,0.9,87.3
2017-05-16,93,90.0,,0.9,83.7
2017-05-17,90,90.0,,0.9,81.0
2017-05-18,90,90.0,,0.9,81.0
2017-05-19,87,90.0,,0.9,78.3
2017-05-20,77,90.0,,0.9,69.3
2017-05-21,88,90.0,,0.9,79.2
2017-05-22,94,90.0,,0.9,84.60000000000001
2017-05-23,89,90.0,,0.9,80.10000000000001
2017-05-24,89,90.0,,0.9,80.10000000000001
2017-05-25,86,90.0,,0.9,77.4
2017-05-26,85,90.0,,0.9,76.5
2017-05-27,78,90.0,,0.9,70.2
2017-05-28,83,90.0,,0.9,74.7
2017-05-29,86,90.0,,0.9,77.4
2017-05-30,90,90.0,,0.9,81.0
2017-05-31,90,90.0,,0.9,81.0
2017-06-01,96,88.0,False,0.88,84.48
2017-06-02,95,88.0,,0.88,83.6
2017-06-03,91,88.0,,0.88,80.08
2017-06-04,97,88.0,,0.88,85.36
2017-06-05,97,88.0,,0.88,85.36
2017-06-06,100,88.0,,0.88,88.0
2017-06-07,97,88.0,,0.88,85.36
2017-06-08,90,88.0,,0.88,79.2
2017-06-09,95,88.0,,0.88,83.6
2017-06-10,85,88.0,,0.88,74.8
2017-06-11,99,88.0,,0.88,87.12
2017-06-12,98,88.0,,0.88,86.24
2017-06-13,93,88.0,,0.88,81.84
2017-06-14,89,88.0,,0.88,78.32000000000001
2017-06-15,92,88.0,,0.88,80.96
2017-06-16,91,88.0,,0.88,80.08
2017-06-17,89,88.0,,0.88,78.32000000000001
2017-06-18,95,88.0,,0.88,83.6
2017-06-19,93,88.0,,0.88,81.84
2017-06-20,94,88.0,,0.88,82.72
2017-06-21,91,88.0,,0.88,80.08
2017-06-22,93,88.0,,0.88,81.84
2017-06-23,87,88.0,,0.88,76.56
2017-06-24,92,88.0,,0.88,80.96
2017-06-25,96,88.0,,0.88,84.48
2017-06-26,99,88.0,,0.88,87.12
2017-06-27,95,88.0,,0.88,83.6
2017-06-28,92,88.0,,0.88,80.96
2017-06-29,88,88.0,,0.88,77.44
2017-06-30,91,88.0,,0.88,80.08
2017-07-01,92,81.0,False,0.81,74.52000000000001
2017-07-02,98,81.0,,0.81,79.38000000000001
2017-07-03,94,81.0,,0.81,76.14
2017-07-04,95,81.0,,0.81,76.95
2017-07-05,95,81.0,,0.81,76.95
2017-07-06,95,81.0,,0.81,76.95
2017-07-07,94,81.0,,0.81,76.14
2017-07-08,97,81.0,,0.81,78.57000000000001
2017-07-09,99,81.0,,0.81,80.19000000000001
2017-07-10,100,81.0,,0.81,81.0
2017-07-11,96,81.0,,0.81,77.76
2017-07-12,95,81.0,,0.81,76.95
2017-07-13,96,81.0,,0.81,77.76
2017-07-14,96,81.0,,0.81,77.76
2017-07-15,91,81.0,,0.81,73.71000000000001
2017-07-16,99,81.0,,0.81,80.19000000000001
2017-07-17,95,81.0,,0.81,76.95
2017-07-18,96,81.0,,0.81,77.76
2017-07-19,96,81.0,,0.81,77.76
2017-07-20,95,81.0,,0.81,76.95
2017-07-21,99,81.0,,0.81,80.19000000000001
2017-07-22,95,81.0,,0.81,76.95
2017-07-23,96,81.0,,0.81,77.76
2017-07-24,97,81.0,,0.81,78.57000000000001
2017-07-25,94,81.0,,0.81,76.14
2017-07-26,94,81.0,,0.81,76.14
2017-07-27,94,81.0,,0.81,76.14
2017-07-28,94,81.0,,0.81,76.14
2017-07-29,94,81.0,,0.81,76.14
2017-07-30,99,81.0,,0.81,80.19000000000001
2017-07-31,96,81.0,,0.81,77.76
2017-08-01,93,83.0,False,0.83,77.19
2017-08-02,93,83.0,,0.83,77.19
2017-08-03,89,83.0,,0.83,73.86999999999999
2017-08-04,89,83.0,,0.83,73.86999999999999
2017-08-05,85,83.0,,0.83,70.55
2017-08-06,96,83.0,,0.83,79.67999999999999
2017-08-07,100,83.0,,0.83,83.0
2017-08-08,95,83.0,,0.83,78.85
2017-08-09,92,83.0,,0.83,76.36
2017-08-10,91,83.0,,0.83,75.53
2017-08-11,90,83.0,,0.83,74.7
2017-08-12,88,83.0,,0.83,73.03999999999999
2017-08-13,94,83.0,,0.83,78.02
2017-08-14,93,83.0,,0.83,77.19
2017-08-15,92,83.0,,0.83,76.36
2017-08-16,91,83.0,,0.83,75.53
2017-08-17,89,83.0,,0.83,73.86999999999999
2017-08-18,88,83.0,,0.83,73.03999999999999
2017-08-19,86,83.0,,0.83,71.38
2017-08-20,88,83.0,,0.83,73.03999999999999
2017-08-21,84,83.0,,0.83,69.72
2017-08-22,90,83.0,,0.83,74.7
2017-08-23,93,83.0,,0.83,77.19
2017-08-24,92,83.0,,0.83,76.36
2017-08-25,97,83.0,,0.83,80.50999999999999
2017-08-26,85,83.0,,0.83,70.55
2017-08-27,84,83.0,,0.83,69.72
2017-08-28,95,83.0,,0.83,78.85
2017-08-29,99,83.0,,0.83,82.17
2017-08-30,100,83.0,,0.83,83.0
2017-08-31,95,83.0,,0.83,78.85
2017-09-01,88,83.0,False,0.83,73.03999999999999
2017-09-02,84,83.0,,0.83,69.72
2017-09-03,89,83.0,,0.83,73.86999999999999
2017-09-04,92,83.0,,0.83,76.36
2017-09-05,93,83.0,,0.83,77.19
2017-09-06,87,83.0,,0.83,72.21
2017-09-07,90,83.0,,0.83,74.7
2017-09-08,88,83.0,,0.83,73.03999999999999
2017-09-09,78,83.0,,0.83,64.74
2017-09-10,86,83.0,,0.83,71.38
2017-09-11,91,83.0,,0.83,75.53
2017-09-12,95,83.0,,0.83,78.85
2017-09-13,95,83.0,,0.83,78.85
2017-09-14,98,83.0,,0.83,81.33999999999999
2017-09-15,94,83.0,,0.83,78.02
2017-09-16,86,83.0,,0.83,71.38
2017-09-17,91,83.0,,0.83,75.53
2017-09-18,97,83.0,,0.83,80.50999999999999
2017-09-19,98,83.0,,0.83,81.33999999999999
2017-09-20,100,83.0,,0.83,83.0
2017-09-21,96,83.0,,0.83,79.67999999999999
2017-09-22,98,83.0,,0.83,81.33999999999999
2017-09-23,88,83.0,,0.83,73.03999999999999
2017-09-24,95,83.0,,0.83,78.85
2017-09-25,99,83.0,,0.83,82.17
2017-09-26,100,83.0,,0.83,83.0
2017-09-27,98,83.0,,0.83,81.33999999999999
2017-09-28,99,83.0,,0.83,82.17
2017-09-29,91,83.0,,0.83,75.53
2017-09-30,84,83.0,,0.83,69.72
2017-10-01,87,87.0,False,0.87,75.69
2017-10-02,92,87.0,,0.87,80.04
2017-10-03,96,87.0,,0.87,83.52
2017-10-04,97,87.0,,0.87,84.39
2017-10-05,100,87.0,,0.87,87.0
2017-10-06,94,87.0,,0.87,81.78
2017-10-07,79,87.0,,0.87,68.73
2017-10-08,90,87.0,,0.87,78.3
2017-10-09,92,87.0,,0.87,80.04
2017-10-10,95,87.0,,0.87,82.65
2017-10-11,92,87.0,,0.87,80.04
2017-10-12,93,87.0,,0.87,80.91
2017-10-13,91,87.0,,0.87,79.17
2017-10-14,77,87.0,,0.87,66.99
2017-10-15,86,87.0,,0.87,74.82
2017-10-16,97,87.0,,0.87,84.39
2017-10-17,100,87.0,,0.87,87.0
2017-10-18,92,87.0,,0.87,80.04
2017-10-19,98,87.0,,0.87,85.26
2017-10-20,91,87.0,,0.87,79.17
2017-10-21,78,87.0,,0.87,67.86
2017-10-22,91,87.0,,0.87,79.17
2017-10-23,99,87.0,,0.87,86.13
2017-10-24,98,87.0,,0.87,85.26
2017-10-25,100,87.0,,0.87,87.0
2017-10-26,97,87.0,,0.87,84.39
2017-10-27,90,87.0,,0.87,78.3
2017-10-28,80,87.0,,0.87,69.6
2017-10-29,90,87.0,,0.87,78.3
2017-10-30,94,87.0,,0.87,81.78
2017-10-31,91,87.0,,0.87,79.17
2017-11-01,92,85.0,False,0.85,78.2
2017-11-02,91,85.0,,0.85,77.35
2017-11-03,96,85.0,,0.85,81.6
2017-11-04,83,85.0,,0.85,70.55
2017-11-05,88,85.0,,0.85,74.8
2017-11-06,97,85.0,,0.85,82.45
2017-11-07,100,85.0,,0.85,85.0
2017-11-08,94,85.0,,0.85,79.89999999999999
2017-11-09,93,85.0,,0.85,79.05
2017-11-10,93,85.0,,0.85,79.05
2017-11-11,79,85.0,,0.85,67.14999999999999
2017-11-12,86,85.0,,0.85,73.1
2017-11-13,93,85.0,,0.85,79.05
2017-11-14,97,85.0,,0.85,82.45
2017-11-15,98,85.0,,0.85,83.3
2017-11-16,93,85.0,,0.85,79.05
2017-11-17,93,85.0,,0.85,79.05
2017-11-18,77,85.0,,0.85,65.45
2017-11-19,83,85.0,,0.85,70.55
2017-11-20,89,85.0,,0.85,75.64999999999999
2017-11-21,89,85.0,,0.85,75.64999999999999
2017-11-22,77,85.0,,0.85,65.45
2017-11-23,68,85.0,,0.85,57.8
2017-11-24,75,85.0,,0.85,63.75
2017-11-25,80,85.0,,0.85,68.0
2017-11-26,84,85.0,,0.85,71.39999999999999
2017-11-27,89,85.0,,0.85,75.64999999999999
2017-11-28,98,85.0,,0.85,83.3
2017-11-29,95,85.0,,0.85,80.75
2017-11-30,96,85.0,,0.85,81.6
2017-12-01,88,83.0,False,0.83,73.03999999999999
2017-12-02,76,83.0,,0.83,63.08
2017-12-03,86,83.0,,0.83,71.38
2017-12-04,94,83.0,,0.83,78.02
2017-12-05,93,83.0,,0.83,77.19
2017-12-06,91,83.0,,0.83,75.53
2017-12-07,94,83.0,,0.83,78.02
2017-12-08,89,83.0,,0.83,73.86999999999999
2017-12-09,80,83.0,,0.83,66.39999999999999
2017-12-10,89,83.0,,0.83,73.86999999999999
2017-12-11,92,83.0,,0.83,76.36
2017-12-12,97,83.0,,0.83,80.50999999999999
2017-12-13,88,83.0,,0.83,73.03999999999999
2017-12-14,88,83.0,,0.83,73.03999999999999
2017-12-15,89,83.0,,0.83,73.86999999999999
2017-12-16,82,83.0,,0.83,68.06
2017-12-17,82,83.0,,0.83,68.06
2017-12-18,90,83.0,,0.83,74.7
2017-12-19,89,83.0,,0.83,73.86999999999999
2017-12-20,87,83.0,,0.83,72.21
2017-12-21,84,83.0,,0.83,69.72
2017-12-22,80,83.0,,0.83,66.39999999999999
2017-12-23,78,83.0,,0.83,64.74
2017-12-24,84,83.0,,0.83,69.72
2017-12-25,100,83.0,,0.83,83.0
2017-12-26,79,83.0,,0.83,65.57
2017-12-27,81,83.0,,0.83,67.22999999999999
2017-12-28,86,83.0,,0.83,71.38
2017-12-29,85,83.0,,0.83,70.55
2017-12-30,81,83.0,,0.83,67.22999999999999
2017-12-31,81,83.0,,0.83,67.22999999999999
2018-01-01,82,89.0,False,0.89,72.98
2018-01-02,86,89.0,,0.89,76.54
