date,CVS_unscaled,CVS_monthly,isPartial,scale,CVS
2016-07-31,92,34.0,,0.34,31.28
2016-08-01,94,34.0,False,0.34,31.96
2016-08-02,91,34.0,,0.34,30.94
2016-08-03,93,34.0,,0.34,31.62
2016-08-04,94,34.0,,0.34,31.96
2016-08-05,95,34.0,,0.34,32.300000000000004
2016-08-06,86,34.0,,0.34,29.240000000000002
2016-08-07,92,34.0,,0.34,31.28
2016-08-08,91,34.0,,0.34,30.94
2016-08-09,94,34.0,,0.34,31.96
2016-08-10,90,34.0,,0.34,30.6
2016-08-11,90,34.0,,0.34,30.6
2016-08-12,92,34.0,,0.34,31.28
2016-08-13,88,34.0,,0.34,29.92
2016-08-14,93,34.0,,0.34,31.62
2016-08-15,97,34.0,,0.34,32.980000000000004
2016-08-16,91,34.0,,0.34,30.94
2016-08-17,91,34.0,,0.34,30.94
2016-08-18,93,34.0,,0.34,31.62
2016-08-19,92,34.0,,0.34,31.28
2016-08-20,90,34.0,,0.34,30.6
2016-08-21,100,34.0,,0.34,34.0
2016-08-22,98,34.0,,0.34,33.32
2016-08-23,93,34.0,,0.34,31.62
2016-08-24,91,34.0,,0.34,30.94
2016-08-25,89,34.0,,0.34,30.26
2016-08-26,92,34.0,,0.34,31.28
2016-08-27,92,34.0,,0.34,31.28
2016-08-28,100,34.0,,0.34,34.0
2016-08-29,94,34.0,,0.34,31.96
2016-08-30,90,34.0,,0.34,30.6
2016-08-31,91,34.0,,0.34,30.94
2016-09-01,91,33.0,False,0.33,30.03
2016-09-02,97,33.0,,0.33,32.01
2016-09-03,93,33.0,,0.33,30.69
2016-09-04,100,33.0,,0.33,33.0
2016-09-05,98,33.0,,0.33,32.34
2016-09-06,100,33.0,,0.33,33.0
2016-09-07,92,33.0,,0.33,30.360000000000003
2016-09-08,91,33.0,,0.33,30.03
2016-09-09,94,33.0,,0.33,31.020000000000003
2016-09-10,94,33.0,,0.33,31.020000000000003
2016-09-11,97,33.0,,0.33,32.01
2016-09-12,97,33.0,,0.33,32.01
2016-09-13,94,33.0,,0.33,31.020000000000003
2016-09-14,96,33.0,,0.33,31.68
2016-09-15,93,33.0,,0.33,30.69
2016-09-16,98,33.0,,0.33,32.34
2016-09-17,94,33.0,,0.33,31.020000000000003
2016-09-18,94,33.0,,0.33,31.020000000000003
2016-09-19,96,33.0,,0.33,31.68
2016-09-20,94,33.0,,0.33,31.020000000000003
2016-09-21,93,33.0,,0.33,30.69
2016-09-22,93,33.0,,0.33,30.69
2016-09-23,92,33.0,,0.33,30.360000000000003
2016-09-24,93,33.0,,0.33,30.69
2016-09-25,100,33.0,,0.33,33.0
2016-09-26,94,33.0,,0.33,31.020000000000003
2016-09-27,93,33.0,,0.33,30.69
2016-09-28,90,33.0,,0.33,29.700000000000003
2016-09-29,90,33.0,,0.33,29.700000000000003
2016-09-30,91,33.0,,0.33,30.03
2016-10-01,87,33.0,False,0.33,28.71
2016-10-02,84,33.0,,0.33,27.720000000000002
2016-10-03,82,33.0,,0.33,27.060000000000002
2016-10-04,83,33.0,,0.33,27.39
2016-10-05,80,33.0,,0.33,26.400000000000002
2016-10-06,81,33.0,,0.33,26.73
2016-10-07,79,33.0,,0.33,26.07
2016-10-08,81,33.0,,0.33,26.73
2016-10-09,81,33.0,,0.33,26.73
2016-10-10,83,33.0,,0.33,27.39
2016-10-11,82,33.0,,0.33,27.060000000000002
2016-10-12,81,33.0,,0.33,26.73
2016-10-13,77,33.0,,0.33,25.41
2016-10-14,82,33.0,,0.33,27.060000000000002
2016-10-15,80,33.0,,0.33,26.400000000000002
2016-10-16,85,33.0,,0.33,28.05
2016-10-17,82,33.0,,0.33,27.060000000000002
2016-10-18,82,33.0,,0.33,27.060000000000002
2016-10-19,80,33.0,,0.33,26.400000000000002
2016-10-20,79,33.0,,0.33,26.07
2016-10-21,83,33.0,,0.33,27.39
2016-10-22,86,33.0,,0.33,28.380000000000003
2016-10-23,88,33.0,,0.33,29.040000000000003
2016-10-24,100,33.0,,0.33,33.0
2016-10-25,82,33.0,,0.33,27.060000000000002
2016-10-26,79,33.0,,0.33,26.07
2016-10-27,82,33.0,,0.33,27.060000000000002
2016-10-28,83,33.0,,0.33,27.39
2016-10-29,83,33.0,,0.33,27.39
2016-10-30,88,33.0,,0.33,29.040000000000003
2016-10-31,85,33.0,,0.33,28.05
2016-11-01,71,32.0,False,0.32,22.72
2016-11-02,69,32.0,,0.32,22.080000000000002
2016-11-03,68,32.0,,0.32,21.76
2016-11-04,73,32.0,,0.32,23.36
2016-11-05,75,32.0,,0.32,24.0
2016-11-06,74,32.0,,0.32,23.68
2016-11-07,71,32.0,,0.32,22.72
2016-11-08,71,32.0,,0.32,22.72
2016-11-09,54,32.0,,0.32,17.28
2016-11-10,71,32.0,,0.32,22.72
2016-11-11,75,32.0,,0.32,24.0
2016-11-12,72,32.0,,0.32,23.04
2016-11-13,75,32.0,,0.32,24.0
2016-11-14,75,32.0,,0.32,24.0
2016-11-15,75,32.0,,0.32,24.0
2016-11-16,70,32.0,,0.32,22.400000000000002
2016-11-17,71,32.0,,0.32,22.72
2016-11-18,72,32.0,,0.32,23.04
2016-11-19,69,32.0,,0.32,22.080000000000002
2016-11-20,76,32.0,,0.32,24.32
2016-11-21,75,32.0,,0.32,24.0
2016-11-22,78,32.0,,0.32,24.96
2016-11-23,84,32.0,,0.32,26.88
2016-11-24,100,32.0,,0.32,32.0
2016-11-25,76,32.0,,0.32,24.32
2016-11-26,69,32.0,,0.32,22.080000000000002
2016-11-27,79,32.0,,0.32,25.28
2016-11-28,73,32.0,,0.32,23.36
2016-11-29,74,32.0,,0.32,23.68
2016-11-30,74,32.0,,0.32,23.68
2016-12-01,31,37.0,False,0.37,11.47
2016-12-02,31,37.0,,0.37,11.47
2016-12-03,31,37.0,,0.37,11.47
2016-12-04,33,37.0,,0.37,12.209999999999999
2016-12-05,31,37.0,,0.37,11.47
2016-12-06,31,37.0,,0.37,11.47
2016-12-07,31,37.0,,0.37,11.47
2016-12-08,31,37.0,,0.37,11.47
2016-12-09,31,37.0,,0.37,11.47
2016-12-10,32,37.0,,0.37,11.84
2016-12-11,33,37.0,,0.37,12.209999999999999
2016-12-12,32,37.0,,0.37,11.84
2016-12-13,32,37.0,,0.37,11.84
2016-12-14,32,37.0,,0.37,11.84
2016-12-15,33,37.0,,0.37,12.209999999999999
2016-12-16,32,37.0,,0.37,11.84
2016-12-17,34,37.0,,0.37,12.58
2016-12-18,36,37.0,,0.37,13.32
2016-12-19,36,37.0,,0.37,13.32
2016-12-20,38,37.0,,0.37,14.06
2016-12-21,41,37.0,,0.37,15.17
2016-12-22,41,37.0,,0.37,15.17
2016-12-23,45,37.0,,0.37,16.65
2016-12-24,57,37.0,,0.37,21.09
2016-12-25,100,37.0,,0.37,37.0
2016-12-26,39,37.0,,0.37,14.43
2016-12-27,34,37.0,,0.37,12.58
2016-12-28,35,37.0,,0.37,12.95
2016-12-29,34,37.0,,0.37,12.58
2016-12-30,35,37.0,,0.37,12.95
2016-12-31,34,37.0,,0.37,12.58
2017-01-01,100,33.0,False,0.33,33.0
2017-01-02,91,33.0,,0.33,30.03
2017-01-03,90,33.0,,0.33,29.700000000000003
2017-01-04,97,33.0,,0.33,32.01
2017-01-05,93,33.0,,0.33,30.69
2017-01-06,88,33.0,,0.33,29.040000000000003
2017-01-07,83,33.0,,0.33,27.39
2017-01-08,85,33.0,,0.33,28.05
2017-01-09,88,33.0,,0.33,29.040000000000003
2017-01-10,88,33.0,,0.33,29.040000000000003
2017-01-11,87,33.0,,0.33,28.71
2017-01-12,88,33.0,,0.33,29.040000000000003
2017-01-13,90,33.0,,0.33,29.700000000000003
2017-01-14,86,33.0,,0.33,28.380000000000003
2017-01-15,87,33.0,,0.33,28.71
2017-01-16,89,33.0,,0.33,29.37
2017-01-17,89,33.0,,0.33,29.37
2017-01-18,87,33.0,,0.33,28.71
2017-01-19,86,33.0,,0.33,28.380000000000003
2017-01-20,83,33.0,,0.33,27.39
2017-01-21,82,33.0,,0.33,27.060000000000002
2017-01-22,87,33.0,,0.33,28.71
2017-01-23,86,33.0,,0.33,28.380000000000003
2017-01-24,84,33.0,,0.33,27.720000000000002
2017-01-25,83,33.0,,0.33,27.39
2017-01-26,83,33.0,,0.33,27.39
2017-01-27,85,33.0,,0.33,28.05
2017-01-28,87,33.0,,0.33,28.71
2017-01-29,90,33.0,,0.33,29.700000000000003
2017-01-30,86,33.0,,0.33,28.380000000000003
2017-01-31,87,33.0,,0.33,28.71
2017-02-01,91,32.0,False,0.32,29.12
2017-02-02,88,32.0,,0.32,28.16
2017-02-03,90,32.0,,0.32,28.8
2017-02-04,94,32.0,,0.32,30.080000000000002
2017-02-05,93,32.0,,0.32,29.76
2017-02-06,85,32.0,,0.32,27.2
2017-02-07,89,32.0,,0.32,28.48
2017-02-08,89,32.0,,0.32,28.48
2017-02-09,86,32.0,,0.32,27.52
2017-02-10,91,32.0,,0.32,29.12
2017-02-11,95,32.0,,0.32,30.400000000000002
2017-02-12,98,32.0,,0.32,31.36
2017-02-13,96,32.0,,0.32,30.72
2017-02-14,100,32.0,,0.32,32.0
2017-02-15,92,32.0,,0.32,29.44
2017-02-16,90,32.0,,0.32,28.8
2017-02-17,89,32.0,,0.32,28.48
2017-02-18,91,32.0,,0.32,29.12
2017-02-19,96,32.0,,0.32,30.72
2017-02-20,93,32.0,,0.32,29.76
2017-02-21,90,32.0,,0.32,28.8
2017-02-22,87,32.0,,0.32,27.84
2017-02-23,85,32.0,,0.32,27.2
2017-02-24,90,32.0,,0.32,28.8
2017-02-25,89,32.0,,0.32,28.48
2017-02-26,87,32.0,,0.32,27.84
2017-02-27,86,32.0,,0.32,27.52
2017-02-28,85,32.0,,0.32,27.2
2017-03-01,92,32.0,False,0.32,29.44
2017-03-02,93,32.0,,0.32,29.76
2017-03-03,93,32.0,,0.32,29.76
2017-03-04,91,32.0,,0.32,29.12
2017-03-05,99,32.0,,0.32,31.68
2017-03-06,93,32.0,,0.32,29.76
2017-03-07,89,32.0,,0.32,28.48
2017-03-08,87,32.0,,0.32,27.84
2017-03-09,89,32.0,,0.32,28.48
2017-03-10,91,32.0,,0.32,29.12
2017-03-11,93,32.0,,0.32,29.76
2017-03-12,96,32.0,,0.32,30.72
2017-03-13,98,32.0,,0.32,31.36
2017-03-14,86,32.0,,0.32,27.52
2017-03-15,91,32.0,,0.32,29.12
2017-03-16,93,32.0,,0.32,29.76
2017-03-17,91,32.0,,0.32,29.12
2017-03-18,91,32.0,,0.32,29.12
2017-03-19,100,32.0,,0.32,32.0
2017-03-20,98,32.0,,0.32,31.36
2017-03-21,92,32.0,,0.32,29.44
2017-03-22,91,32.0,,0.32,29.12
2017-03-23,93,32.0,,0.32,29.76
2017-03-24,95,32.0,,0.32,30.400000000000002
2017-03-25,94,32.0,,0.32,30.080000000000002
2017-03-26,99,32.0,,0.32,31.68
2017-03-27,96,32.0,,0.32,30.72
2017-03-28,95,32.0,,0.32,30.400000000000002
2017-03-29,97,32.0,,0.32,31.04
2017-03-30,93,32.0,,0.32,29.76
2017-03-31,93,32.0,,0.32,29.76
2017-04-01,77,32.0,False,0.32,24.64
2017-04-02,83,32.0,,0.32,26.560000000000002
2017-04-03,90,32.0,,0.32,28.8
2017-04-04,76,32.0,,0.32,24.32
2017-04-05,72,32.0,,0.32,23.04
2017-04-06,74,32.0,,0.32,23.68
2017-04-07,72,32.0,,0.32,23.04
2017-04-08,75,32.0,,0.32,24.0
2017-04-09,79,32.0,,0.32,25.28
2017-04-10,77,32.0,,0.32,24.64
2017-04-11,74,32.0,,0.32,23.68
2017-04-12,74,32.0,,0.32,23.68
2017-04-13,75,32.0,,0.32,24.0
2017-04-14,75,32.0,,0.32,24.0
2017-04-15,80,32.0,,0.32,25.6
2017-04-16,100,32.0,,0.32,32.0
2017-04-17,80,32.0,,0.32,25.6
2017-04-18,73,32.0,,0.32,23.36
2017-04-19,72,32.0,,0.32,23.04
2017-04-20,72,32.0,,0.32,23.04
2017-04-21,75,32.0,,0.32,24.0
2017-04-22,73,32.0,,0.32,23.36
2017-04-23,77,32.0,,0.32,24.64
2017-04-24,75,32.0,,0.32,24.0
2017-04-25,73,32.0,,0.32,23.36
2017-04-26,70,32.0,,0.32,22.400000000000002
2017-04-27,72,32.0,,0.32,23.04
2017-04-28,71,32.0,,0.32,22.72
2017-04-29,76,32.0,,0.32,24.32
2017-04-30,80,32.0,,0.32,25.6
2017-05-01,83,33.0,False,0.33,27.39
2017-05-02,82,33.0,,0.33,27.060000000000002
2017-05-03,84,33.0,,0.33,27.720000000000002
2017-05-04,84,33.0,,0.33,27.720000000000002
2017-05-05,81,33.0,,0.33,26.73
2017-05-06,86,33.0,,0.33,28.380000000000003
2017-05-07,93,33.0,,0.33,30.69
2017-05-08,93,33.0,,0.33,30.69
2017-05-09,88,33.0,,0.33,29.040000000000003
2017-05-10,88,33.0,,0.33,29.040000000000003
2017-05-11,86,33.0,,0.33,28.380000000000003
2017-05-12,87,33.0,,0.33,28.71
2017-05-13,95,33.0,,0.33,31.35
2017-05-14,100,33.0,,0.33,33.0
2017-05-15,90,33.0,,0.33,29.700000000000003
2017-05-16,87,33.0,,0.33,28.71
2017-05-17,86,33.0,,0.33,28.380000000000003
2017-05-18,88,33.0,,0.33,29.040000000000003
2017-05-19,87,33.0,,0.33,28.71
2017-05-20,90,33.0,,0.33,29.700000000000003
2017-05-21,94,33.0,,0.33,31.020000000000003
2017-05-22,91,33.0,,0.33,30.03
2017-05-23,88,33.0,,0.33,29.040000000000003
2017-05-24,87,33.0,,0.33,28.71
2017-05-25,90,33.0,,0.33,29.700000000000003
2017-05-26,93,33.0,,0.33,30.69
2017-05-27,92,33.0,,0.33,30.360000000000003
2017-05-28,99,33.0,,0.33,32.67
2017-05-29,87,33.0,,0.33,28.71
2017-05-30,93,33.0,,0.33,30.69
2017-05-31,93,33.0,,0.33,30.69
2017-06-01,91,35.0,False,0.35,31.849999999999998
2017-06-02,94,35.0,,0.35,32.9
2017-06-03,91,35.0,,0.35,31.849999999999998
2017-06-04,94,35.0,,0.35,32.9
2017-06-05,93,35.0,,0.35,32.55
2017-06-06,92,35.0,,0.35,32.199999999999996
2017-06-07,89,35.0,,0.35,31.15
2017-06-08,91,35.0,,0.35,31.849999999999998
2017-06-09,94,35.0,,0.35,32.9
2017-06-10,89,35.0,,0.35,31.15
2017-06-11,94,35.0,,0.35,32.9
2017-06-12,94,35.0,,0.35,32.9
2017-06-13,92,35.0,,0.35,32.199999999999996
2017-06-14,91,35.0,,0.35,31.849999999999998
2017-06-15,95,35.0,,0.35,33.25
2017-06-16,96,35.0,,0.35,33.599999999999994
2017-06-17,97,35.0,,0.35,33.949999999999996
2017-06-18,100,35.0,,0.35,35.0
2017-06-19,96,35.0,,0.35,33.599999999999994
2017-06-20,89,35.0,,0.35,31.15
2017-06-21,93,35.0,,0.35,32.55
2017-06-22,88,35.0,,0.35,30.799999999999997
2017-06-23,90,35.0,,0.35,31.499999999999996
2017-06-24,88,35.0,,0.35,30.799999999999997
2017-06-25,96,35.0,,0.35,33.599999999999994
2017-06-26,97,35.0,,0.35,33.949999999999996
2017-06-27,94,35.0,,0.35,32.9
2017-06-28,90,35.0,,0.35,31.499999999999996
2017-06-29,96,35.0,,0.35,33.599999999999994
2017-06-30,97,35.0,,0.35,33.949999999999996
2017-07-01,91,34.0,False,0.34,30.94
2017-07-02,97,34.0,,0.34,32.980000000000004
2017-07-03,100,34.0,,0.34,34.0
2017-07-04,97,34.0,,0.34,32.980000000000004
2017-07-05,96,34.0,,0.34,32.64
2017-07-06,94,34.0,,0.34,31.96
2017-07-07,92,34.0,,0.34,31.28
2017-07-08,94,34.0,,0.34,31.96
2017-07-09,92,34.0,,0.34,31.28
2017-07-10,94,34.0,,0.34,31.96
2017-07-11,92,34.0,,0.34,31.28
2017-07-12,91,34.0,,0.34,30.94
2017-07-13,90,34.0,,0.34,30.6
2017-07-14,94,34.0,,0.34,31.96
2017-07-15,91,34.0,,0.34,30.94
2017-07-16,91,34.0,,0.34,30.94
2017-07-17,98,34.0,,0.34,33.32
2017-07-18,93,34.0,,0.34,31.62
2017-07-19,92,34.0,,0.34,31.28
2017-07-20,90,34.0,,0.34,30.6
2017-07-21,91,34.0,,0.34,30.94
2017-07-22,86,34.0,,0.34,29.240000000000002
2017-07-23,91,34.0,,0.34,30.94
2017-07-24,92,34.0,,0.34,31.28
2017-07-25,93,34.0,,0.34,31.62
2017-07-26,89,34.0,,0.34,30.26
2017-07-27,90,34.0,,0.34,30.6
2017-07-28,89,34.0,,0.34,30.26
2017-07-29,89,34.0,,0.34,30.26
2017-07-30,93,34.0,,0.34,31.62
2017-07-31,97,34.0,,0.34,32.980000000000004
2017-08-01,91,36.0,False,0.36,32.76
2017-08-02,92,36.0,,0.36,33.12
2017-08-03,84,36.0,,0.36,30.24
2017-08-04,92,36.0,,0.36,33.12
2017-08-05,84,36.0,,0.36,30.24
2017-08-06,88,36.0,,0.36,31.68
2017-08-07,92,36.0,,0.36,33.12
2017-08-08,89,36.0,,0.36,32.04
2017-08-09,87,36.0,,0.36,31.32
2017-08-10,89,36.0,,0.36,32.04
2017-08-11,89,36.0,,0.36,32.04
2017-08-12,87,36.0,,0.36,31.32
2017-08-13,85,36.0,,0.36,30.599999999999998
2017-08-14,91,36.0,,0.36,32.76
2017-08-15,90,36.0,,0.36,32.4
2017-08-16,90,36.0,,0.36,32.4
2017-08-17,88,36.0,,0.36,31.68
2017-08-18,91,36.0,,0.36,32.76
2017-08-19,88,36.0,,0.36,31.68
2017-08-20,97,36.0,,0.36,34.92
2017-08-21,100,36.0,,0.36,36.0
2017-08-22,87,36.0,,0.36,31.32
2017-08-23,89,36.0,,0.36,32.04
2017-08-24,86,36.0,,0.36,30.959999999999997
2017-08-25,83,36.0,,0.36,29.88
2017-08-26,82,36.0,,0.36,29.52
2017-08-27,84,36.0,,0.36,30.24
2017-08-28,88,36.0,,0.36,31.68
2017-08-29,85,36.0,,0.36,30.599999999999998
2017-08-30,86,36.0,,0.36,30.959999999999997
2017-08-31,87,36.0,,0.36,31.32
2017-09-01,92,33.0,False,0.33,30.360000000000003
2017-09-02,87,33.0,,0.33,28.71
2017-09-03,95,33.0,,0.33,31.35
2017-09-04,94,33.0,,0.33,31.020000000000003
2017-09-05,100,33.0,,0.33,33.0
2017-09-06,92,33.0,,0.33,30.360000000000003
2017-09-07,91,33.0,,0.33,30.03
2017-09-08,91,33.0,,0.33,30.03
2017-09-09,89,33.0,,0.33,29.37
2017-09-10,90,33.0,,0.33,29.700000000000003
2017-09-11,90,33.0,,0.33,29.700000000000003
2017-09-12,91,33.0,,0.33,30.03
2017-09-13,89,33.0,,0.33,29.37
2017-09-14,92,33.0,,0.33,30.360000000000003
2017-09-15,88,33.0,,0.33,29.040000000000003
2017-09-16,92,33.0,,0.33,30.360000000000003
2017-09-17,91,33.0,,0.33,30.03
2017-09-18,94,33.0,,0.33,31.020000000000003
2017-09-19,91,33.0,,0.33,30.03
2017-09-20,86,33.0,,0.33,28.380000000000003
2017-09-21,89,33.0,,0.33,29.37
2017-09-22,95,33.0,,0.33,31.35
2017-09-23,91,33.0,,0.33,30.03
2017-09-24,94,33.0,,0.33,31.020000000000003
2017-09-25,94,33.0,,0.33,31.020000000000003
2017-09-26,89,33.0,,0.33,29.37
2017-09-27,92,33.0,,0.33,30.360000000000003
2017-09-28,86,33.0,,0.33,28.380000000000003
2017-09-29,89,33.0,,0.33,29.37
2017-09-30,93,33.0,,0.33,30.69
2017-10-01,89,33.0,False,0.33,29.37
2017-10-02,86,33.0,,0.33,28.380000000000003
2017-10-03,82,33.0,,0.33,27.060000000000002
2017-10-04,85,33.0,,0.33,28.05
2017-10-05,84,33.0,,0.33,27.720000000000002
2017-10-06,84,33.0,,0.33,27.720000000000002
2017-10-07,84,33.0,,0.33,27.720000000000002
2017-10-08,88,33.0,,0.33,29.040000000000003
2017-10-09,89,33.0,,0.33,29.37
2017-10-10,85,33.0,,0.33,28.05
2017-10-11,85,33.0,,0.33,28.05
2017-10-12,84,33.0,,0.33,27.720000000000002
2017-10-13,84,33.0,,0.33,27.720000000000002
2017-10-14,85,33.0,,0.33,28.05
2017-10-15,87,33.0,,0.33,28.71
2017-10-16,87,33.0,,0.33,28.71
2017-10-17,82,33.0,,0.33,27.060000000000002
2017-10-18,84,33.0,,0.33,27.720000000000002
2017-10-19,85,33.0,,0.33,28.05
2017-10-20,84,33.0,,0.33,27.720000000000002
2017-10-21,84,33.0,,0.33,27.720000000000002
2017-10-22,91,33.0,,0.33,30.03
2017-10-23,89,33.0,,0.33,29.37
2017-10-24,86,33.0,,0.33,28.380000000000003
2017-10-25,86,33.0,,0.33,28.380000000000003
2017-10-26,90,33.0,,0.33,29.700000000000003
2017-10-27,100,33.0,,0.33,33.0
2017-10-28,91,33.0,,0.33,30.03
2017-10-29,89,33.0,,0.33,29.37
2017-10-30,92,33.0,,0.33,30.360000000000003
2017-10-31,90,33.0,,0.33,29.700000000000003
2017-11-01,71,34.0,False,0.34,24.14
2017-11-02,71,34.0,,0.34,24.14
2017-11-03,73,34.0,,0.34,24.82
2017-11-04,73,34.0,,0.34,24.82
2017-11-05,78,34.0,,0.34,26.520000000000003
2017-11-06,77,34.0,,0.34,26.180000000000003
2017-11-07,74,34.0,,0.34,25.16
2017-11-08,72,34.0,,0.34,24.48
2017-11-09,72,34.0,,0.34,24.48
2017-11-10,75,34.0,,0.34,25.500000000000004
2017-11-11,73,34.0,,0.34,24.82
2017-11-12,80,34.0,,0.34,27.200000000000003
2017-11-13,77,34.0,,0.34,26.180000000000003
2017-11-14,89,34.0,,0.34,30.26
2017-11-15,82,34.0,,0.34,27.880000000000003
2017-11-16,72,34.0,,0.34,24.48
2017-11-17,75,34.0,,0.34,25.500000000000004
2017-11-18,74,34.0,,0.34,25.16
2017-11-19,77,34.0,,0.34,26.180000000000003
2017-11-20,80,34.0,,0.34,27.200000000000003
2017-11-21,80,34.0,,0.34,27.200000000000003
2017-11-22,86,34.0,,0.34,29.240000000000002
2017-11-23,100,34.0,,0.34,34.0
2017-11-24,80,34.0,,0.34,27.200000000000003
2017-11-25,73,34.0,,0.34,24.82
2017-11-26,78,34.0,,0.34,26.520000000000003
2017-11-27,74,34.0,,0.34,25.16
2017-11-28,77,34.0,,0.34,26.180000000000003
2017-11-29,73,34.0,,0.34,24.82
2017-11-30,73,34.0,,0.34,24.82
2017-12-01,29,41.0,False,0.41,11.889999999999999
2017-12-02,29,41.0,,0.41,11.889999999999999
2017-12-03,33,41.0,,0.41,13.53
2017-12-04,45,41.0,,0.41,18.45
2017-12-05,32,41.0,,0.41,13.12
2017-12-06,31,41.0,,0.41,12.709999999999999
2017-12-07,30,41.0,,0.41,12.299999999999999
2017-12-08,29,41.0,,0.41,11.889999999999999
2017-12-09,30,41.0,,0.41,12.299999999999999
2017-12-10,32,41.0,,0.41,13.12
2017-12-11,30,41.0,,0.41,12.299999999999999
2017-12-12,31,41.0,,0.41,12.709999999999999
2017-12-13,31,41.0,,0.41,12.709999999999999
2017-12-14,30,41.0,,0.41,12.299999999999999
2017-12-15,31,41.0,,0.41,12.709999999999999
2017-12-16,31,41.0,,0.41,12.709999999999999
2017-12-17,34,41.0,,0.41,13.94
2017-12-18,37,41.0,,0.41,15.17
2017-12-19,37,41.0,,0.41,15.17
2017-12-20,38,41.0,,0.41,15.579999999999998
2017-12-21,39,41.0,,0.41,15.989999999999998
2017-12-22,41,41.0,,0.41,16.81
