date,RE_unscaled,RE_monthly,isPartial,scale,RE
2016-08-24,79,86.0,,0.86,67.94
2016-08-25,77,86.0,,0.86,66.22
2016-08-26,77,86.0,,0.86,66.22
2016-08-27,77,86.0,,0.86,66.22
2016-08-28,89,86.0,,0.86,76.53999999999999
2016-08-29,91,86.0,,0.86,78.26
2016-08-30,83,86.0,,0.86,71.38
2016-08-31,79,86.0,,0.86,67.94
2016-09-01,75,91.0,False,0.91,68.25
2016-09-02,76,91.0,,0.91,69.16
2016-09-03,79,91.0,,0.91,71.89
2016-09-04,88,91.0,,0.91,80.08
2016-09-05,85,91.0,,0.91,77.35000000000001
2016-09-06,84,91.0,,0.91,76.44
2016-09-07,86,91.0,,0.91,78.26
2016-09-08,76,91.0,,0.91,69.16
2016-09-09,75,91.0,,0.91,68.25
2016-09-10,75,91.0,,0.91,68.25
2016-09-11,81,91.0,,0.91,73.71000000000001
2016-09-12,92,91.0,,0.91,83.72
2016-09-13,89,91.0,,0.91,80.99000000000001
2016-09-14,79,91.0,,0.91,71.89
2016-09-15,77,91.0,,0.91,70.07000000000001
2016-09-16,77,91.0,,0.91,70.07000000000001
2016-09-17,81,91.0,,0.91,73.71000000000001
2016-09-18,98,91.0,,0.91,89.18
2016-09-19,100,91.0,,0.91,91.0
2016-09-20,93,91.0,,0.91,84.63000000000001
2016-09-21,86,91.0,,0.91,78.26
2016-09-22,85,91.0,,0.91,77.35000000000001
2016-09-23,80,91.0,,0.91,72.8
2016-09-24,81,91.0,,0.91,73.71000000000001
2016-09-25,75,91.0,,0.91,68.25
2016-09-26,84,91.0,,0.91,76.44
2016-09-27,84,91.0,,0.91,76.44
2016-09-28,87,91.0,,0.91,79.17
2016-09-29,84,91.0,,0.91,76.44
2016-09-30,76,91.0,,0.91,69.16
2016-10-01,86,85.0,False,0.85,73.1
2016-10-02,86,85.0,,0.85,73.1
2016-10-03,82,85.0,,0.85,69.7
2016-10-04,95,85.0,,0.85,80.75
2016-10-05,86,85.0,,0.85,73.1
2016-10-06,78,85.0,,0.85,66.3
2016-10-07,83,85.0,,0.85,70.55
2016-10-08,78,85.0,,0.85,66.3
2016-10-09,83,85.0,,0.85,70.55
2016-10-10,100,85.0,,0.85,85.0
2016-10-11,85,85.0,,0.85,72.25
2016-10-12,95,85.0,,0.85,80.75
2016-10-13,83,85.0,,0.85,70.55
2016-10-14,89,85.0,,0.85,75.64999999999999
2016-10-15,81,85.0,,0.85,68.85
2016-10-16,78,85.0,,0.85,66.3
2016-10-17,95,85.0,,0.85,80.75
2016-10-18,94,85.0,,0.85,79.89999999999999
2016-10-19,85,85.0,,0.85,72.25
2016-10-20,88,85.0,,0.85,74.8
2016-10-21,79,85.0,,0.85,67.14999999999999
2016-10-22,84,85.0,,0.85,71.39999999999999
2016-10-23,81,85.0,,0.85,68.85
2016-10-24,82,85.0,,0.85,69.7
2016-10-25,84,85.0,,0.85,71.39999999999999
2016-10-26,84,85.0,,0.85,71.39999999999999
2016-10-27,81,85.0,,0.85,68.85
2016-10-28,86,85.0,,0.85,73.1
2016-10-29,82,85.0,,0.85,69.7
2016-10-30,83,85.0,,0.85,70.55
2016-10-31,78,85.0,,0.85,66.3
2016-11-01,91,81.0,False,0.81,73.71000000000001
2016-11-02,88,81.0,,0.81,71.28
2016-11-03,80,81.0,,0.81,64.80000000000001
2016-11-04,87,81.0,,0.81,70.47
2016-11-05,84,81.0,,0.81,68.04
2016-11-06,84,81.0,,0.81,68.04
2016-11-07,89,81.0,,0.81,72.09
2016-11-08,88,81.0,,0.81,71.28
2016-11-09,80,81.0,,0.81,64.80000000000001
2016-11-10,99,81.0,,0.81,80.19000000000001
2016-11-11,89,81.0,,0.81,72.09
2016-11-12,92,81.0,,0.81,74.52000000000001
2016-11-13,88,81.0,,0.81,71.28
2016-11-14,98,81.0,,0.81,79.38000000000001
2016-11-15,100,81.0,,0.81,81.0
2016-11-16,98,81.0,,0.81,79.38000000000001
2016-11-17,84,81.0,,0.81,68.04
2016-11-18,80,81.0,,0.81,64.80000000000001
2016-11-19,83,81.0,,0.81,67.23
2016-11-20,80,81.0,,0.81,64.80000000000001
2016-11-21,88,81.0,,0.81,71.28
2016-11-22,83,81.0,,0.81,67.23
2016-11-23,90,81.0,,0.81,72.9
2016-11-24,76,81.0,,0.81,61.56
2016-11-25,73,81.0,,0.81,59.13
2016-11-26,84,81.0,,0.81,68.04
2016-11-27,86,81.0,,0.81,69.66000000000001
2016-11-28,95,81.0,,0.81,76.95
2016-11-29,95,81.0,,0.81,76.95
2016-11-30,98,81.0,,0.81,79.38000000000001
2016-12-01,100,79.0,False,0.79,79.0
2016-12-02,85,79.0,,0.79,67.15
2016-12-03,85,79.0,,0.79,67.15
2016-12-04,87,79.0,,0.79,68.73
2016-12-05,89,79.0,,0.79,70.31
2016-12-06,89,79.0,,0.79,70.31
2016-12-07,93,79.0,,0.79,73.47
2016-12-08,93,79.0,,0.79,73.47
2016-12-09,87,79.0,,0.79,68.73
2016-12-10,82,79.0,,0.79,64.78
2016-12-11,78,79.0,,0.79,61.620000000000005
2016-12-12,95,79.0,,0.79,75.05
2016-12-13,100,79.0,,0.79,79.0
2016-12-14,96,79.0,,0.79,75.84
2016-12-15,90,79.0,,0.79,71.10000000000001
2016-12-16,83,79.0,,0.79,65.57000000000001
2016-12-17,88,79.0,,0.79,69.52000000000001
2016-12-18,85,79.0,,0.79,67.15
2016-12-19,84,79.0,,0.79,66.36
2016-12-20,81,79.0,,0.79,63.99
2016-12-21,82,79.0,,0.79,64.78
2016-12-22,83,79.0,,0.79,65.57000000000001
2016-12-23,79,79.0,,0.79,62.410000000000004
2016-12-24,82,79.0,,0.79,64.78
2016-12-25,79,79.0,,0.79,62.410000000000004
2016-12-26,85,79.0,,0.79,67.15
2016-12-27,88,79.0,,0.79,69.52000000000001
2016-12-28,81,79.0,,0.79,63.99
2016-12-29,84,79.0,,0.79,66.36
2016-12-30,89,79.0,,0.79,70.31
2016-12-31,83,79.0,,0.79,65.57000000000001
2017-01-01,73,86.0,False,0.86,62.78
2017-01-02,76,86.0,,0.86,65.36
2017-01-03,83,86.0,,0.86,71.38
2017-01-04,87,86.0,,0.86,74.82
2017-01-05,94,86.0,,0.86,80.84
2017-01-06,81,86.0,,0.86,69.66
2017-01-07,78,86.0,,0.86,67.08
2017-01-08,82,86.0,,0.86,70.52
2017-01-09,85,86.0,,0.86,73.1
2017-01-10,90,86.0,,0.86,77.4
2017-01-11,82,86.0,,0.86,70.52
2017-01-12,88,86.0,,0.86,75.67999999999999
2017-01-13,89,86.0,,0.86,76.53999999999999
2017-01-14,82,86.0,,0.86,70.52
2017-01-15,81,86.0,,0.86,69.66
2017-01-16,89,86.0,,0.86,76.53999999999999
2017-01-17,87,86.0,,0.86,74.82
2017-01-18,86,86.0,,0.86,73.96
2017-01-19,90,86.0,,0.86,77.4
2017-01-20,78,86.0,,0.86,67.08
2017-01-21,74,86.0,,0.86,63.64
2017-01-22,83,86.0,,0.86,71.38
2017-01-23,87,86.0,,0.86,74.82
2017-01-24,100,86.0,,0.86,86.0
2017-01-25,94,86.0,,0.86,80.84
2017-01-26,91,86.0,,0.86,78.26
2017-01-27,95,86.0,,0.86,81.7
2017-01-28,91,86.0,,0.86,78.26
2017-01-29,90,86.0,,0.86,77.4
2017-01-30,96,86.0,,0.86,82.56
2017-01-31,95,86.0,,0.86,81.7
2017-02-01,95,86.0,False,0.86,81.7
2017-02-02,92,86.0,,0.86,79.12
2017-02-03,96,86.0,,0.86,82.56
2017-02-04,100,86.0,,0.86,86.0
2017-02-05,86,86.0,,0.86,73.96
2017-02-06,87,86.0,,0.86,74.82
2017-02-07,93,86.0,,0.86,79.98
2017-02-08,92,86.0,,0.86,79.12
2017-02-09,92,86.0,,0.86,79.12
2017-02-10,92,86.0,,0.86,79.12
2017-02-11,86,86.0,,0.86,73.96
2017-02-12,86,86.0,,0.86,73.96
2017-02-13,87,86.0,,0.86,74.82
2017-02-14,91,86.0,,0.86,78.26
2017-02-15,86,86.0,,0.86,73.96
2017-02-16,87,86.0,,0.86,74.82
2017-02-17,88,86.0,,0.86,75.67999999999999
2017-02-18,79,86.0,,0.86,67.94
2017-02-19,85,86.0,,0.86,73.1
2017-02-20,92,86.0,,0.86,79.12
2017-02-21,86,86.0,,0.86,73.96
2017-02-22,89,86.0,,0.86,76.53999999999999
2017-02-23,88,86.0,,0.86,75.67999999999999
2017-02-24,78,86.0,,0.86,67.08
2017-02-25,86,86.0,,0.86,73.96
2017-02-26,83,86.0,,0.86,71.38
2017-02-27,86,86.0,,0.86,73.96
2017-02-28,85,86.0,,0.86,73.1
2017-03-01,97,85.0,False,0.85,82.45
2017-03-02,98,85.0,,0.85,83.3
2017-03-03,94,85.0,,0.85,79.89999999999999
2017-03-04,86,85.0,,0.85,73.1
2017-03-05,88,85.0,,0.85,74.8
2017-03-06,90,85.0,,0.85,76.5
2017-03-07,94,85.0,,0.85,79.89999999999999
2017-03-08,90,85.0,,0.85,76.5
2017-03-09,79,85.0,,0.85,67.14999999999999
2017-03-10,83,85.0,,0.85,70.55
2017-03-11,76,85.0,,0.85,64.6
2017-03-12,87,85.0,,0.85,73.95
2017-03-13,90,85.0,,0.85,76.5
2017-03-14,88,85.0,,0.85,74.8
2017-03-15,90,85.0,,0.85,76.5
2017-03-16,91,85.0,,0.85,77.35
2017-03-17,81,85.0,,0.85,68.85
2017-03-18,84,85.0,,0.85,71.39999999999999
2017-03-19,85,85.0,,0.85,72.25
2017-03-20,96,85.0,,0.85,81.6
2017-03-21,95,85.0,,0.85,80.75
2017-03-22,95,85.0,,0.85,80.75
2017-03-23,91,85.0,,0.85,77.35
2017-03-24,84,85.0,,0.85,71.39999999999999
2017-03-25,92,85.0,,0.85,78.2
2017-03-26,87,85.0,,0.85,73.95
2017-03-27,100,85.0,,0.85,85.0
2017-03-28,96,85.0,,0.85,81.6
2017-03-29,89,85.0,,0.85,75.64999999999999
2017-03-30,97,85.0,,0.85,82.45
2017-03-31,95,85.0,,0.85,80.75
2017-04-01,83,88.0,False,0.88,73.04
2017-04-02,88,88.0,,0.88,77.44
2017-04-03,96,88.0,,0.88,84.48
2017-04-04,96,88.0,,0.88,84.48
2017-04-05,92,88.0,,0.88,80.96
2017-04-06,97,88.0,,0.88,85.36
2017-04-07,90,88.0,,0.88,79.2
2017-04-08,87,88.0,,0.88,76.56
2017-04-09,91,88.0,,0.88,80.08
2017-04-10,94,88.0,,0.88,82.72
2017-04-11,95,88.0,,0.88,83.6
2017-04-12,100,88.0,,0.88,88.0
2017-04-13,92,88.0,,0.88,80.96
2017-04-14,83,88.0,,0.88,73.04
2017-04-15,90,88.0,,0.88,79.2
2017-04-16,94,88.0,,0.88,82.72
2017-04-17,90,88.0,,0.88,79.2
2017-04-18,91,88.0,,0.88,80.08
2017-04-19,93,88.0,,0.88,81.84
2017-04-20,90,88.0,,0.88,79.2
2017-04-21,99,88.0,,0.88,87.12
2017-04-22,94,88.0,,0.88,82.72
2017-04-23,92,88.0,,0.88,80.96
2017-04-24,95,88.0,,0.88,83.6
2017-04-25,94,88.0,,0.88,82.72
2017-04-26,95,88.0,,0.88,83.6
2017-04-27,95,88.0,,0.88,83.6
2017-04-28,93,88.0,,0.88,81.84
2017-04-29,93,88.0,,0.88,81.84
2017-04-30,93,88.0,,0.88,81.84
2017-05-01,95,87.0,False,0.87,82.65
2017-05-02,94,87.0,,0.87,81.78
2017-05-03,96,87.0,,0.87,83.52
2017-05-04,98,87.0,,0.87,85.26
2017-05-05,98,87.0,,0.87,85.26
2017-05-06,82,87.0,,0.87,71.34
2017-05-07,97,87.0,,0.87,84.39
2017-05-08,84,87.0,,0.87,73.08
2017-05-09,93,87.0,,0.87,80.91
2017-05-10,98,87.0,,0.87,85.26
2017-05-11,96,87.0,,0.87,83.52
2017-05-12,88,87.0,,0.87,76.56
2017-05-13,86,87.0,,0.87,74.82
2017-05-14,92,87.0,,0.87,80.04
2017-05-15,98,87.0,,0.87,85.26
2017-05-16,88,87.0,,0.87,76.56
2017-05-17,100,87.0,,0.87,87.0
2017-05-18,88,87.0,,0.87,76.56
2017-05-19,87,87.0,,0.87,75.69
2017-05-20,88,87.0,,0.87,76.56
2017-05-21,96,87.0,,0.87,83.52
2017-05-22,98,87.0,,0.87,85.26
2017-05-23,94,87.0,,0.87,81.78
2017-05-24,83,87.0,,0.87,72.21
2017-05-25,88,87.0,,0.87,76.56
2017-05-26,88,87.0,,0.87,76.56
2017-05-27,84,87.0,,0.87,73.08
2017-05-28,84,87.0,,0.87,73.08
2017-05-29,84,87.0,,0.87,73.08
2017-05-30,89,87.0,,0.87,77.42999999999999
2017-05-31,86,87.0,,0.87,74.82
2017-06-01,85,81.0,False,0.81,68.85000000000001
2017-06-02,84,81.0,,0.81,68.04
2017-06-03,95,81.0,,0.81,76.95
2017-06-04,86,81.0,,0.81,69.66000000000001
2017-06-05,94,81.0,,0.81,76.14
2017-06-06,100,81.0,,0.81,81.0
2017-06-07,86,81.0,,0.81,69.66000000000001
2017-06-08,86,81.0,,0.81,69.66000000000001
2017-06-09,89,81.0,,0.81,72.09
2017-06-10,86,81.0,,0.81,69.66000000000001
2017-06-11,92,81.0,,0.81,74.52000000000001
2017-06-12,90,81.0,,0.81,72.9
2017-06-13,93,81.0,,0.81,75.33
2017-06-14,89,81.0,,0.81,72.09
2017-06-15,85,81.0,,0.81,68.85000000000001
2017-06-16,85,81.0,,0.81,68.85000000000001
2017-06-17,92,81.0,,0.81,74.52000000000001
2017-06-18,90,81.0,,0.81,72.9
2017-06-19,87,81.0,,0.81,70.47
2017-06-20,90,81.0,,0.81,72.9
2017-06-21,87,81.0,,0.81,70.47
2017-06-22,87,81.0,,0.81,70.47
2017-06-23,88,81.0,,0.81,71.28
2017-06-24,90,81.0,,0.81,72.9
2017-06-25,89,81.0,,0.81,72.09
2017-06-26,89,81.0,,0.81,72.09
2017-06-27,90,81.0,,0.81,72.9
2017-06-28,90,81.0,,0.81,72.9
2017-06-29,88,81.0,,0.81,71.28
2017-06-30,90,81.0,,0.81,72.9
2017-07-01,99,80.0,False,0.8,79.2
2017-07-02,98,80.0,,0.8,78.4
2017-07-03,93,80.0,,0.8,74.4
2017-07-04,100,80.0,,0.8,80.0
2017-07-05,96,80.0,,0.8,76.80000000000001
2017-07-06,91,80.0,,0.8,72.8
2017-07-07,91,80.0,,0.8,72.8
2017-07-08,92,80.0,,0.8,73.60000000000001
2017-07-09,94,80.0,,0.8,75.2
2017-07-10,100,80.0,,0.8,80.0
2017-07-11,91,80.0,,0.8,72.8
2017-07-12,88,80.0,,0.8,70.4
2017-07-13,91,80.0,,0.8,72.8
2017-07-14,89,80.0,,0.8,71.2
2017-07-15,89,80.0,,0.8,71.2
2017-07-16,93,80.0,,0.8,74.4
2017-07-17,98,80.0,,0.8,78.4
2017-07-18,97,80.0,,0.8,77.60000000000001
2017-07-19,97,80.0,,0.8,77.60000000000001
2017-07-20,89,80.0,,0.8,71.2
2017-07-21,94,80.0,,0.8,75.2
2017-07-22,93,80.0,,0.8,74.4
2017-07-23,90,80.0,,0.8,72.0
2017-07-24,99,80.0,,0.8,79.2
2017-07-25,90,80.0,,0.8,72.0
2017-07-26,90,80.0,,0.8,72.0
2017-07-27,90,80.0,,0.8,72.0
2017-07-28,96,80.0,,0.8,76.80000000000001
2017-07-29,89,80.0,,0.8,71.2
2017-07-30,95,80.0,,0.8,76.0
2017-07-31,98,80.0,,0.8,78.4
2017-08-01,86,81.0,False,0.81,69.66000000000001
2017-08-02,82,81.0,,0.81,66.42
2017-08-03,83,81.0,,0.81,67.23
2017-08-04,76,81.0,,0.81,61.56
2017-08-05,87,81.0,,0.81,70.47
2017-08-06,87,81.0,,0.81,70.47
2017-08-07,94,81.0,,0.81,76.14
2017-08-08,93,81.0,,0.81,75.33
2017-08-09,82,81.0,,0.81,66.42
2017-08-10,84,81.0,,0.81,68.04
2017-08-11,78,81.0,,0.81,63.18000000000001
2017-08-12,84,81.0,,0.81,68.04
2017-08-13,90,81.0,,0.81,72.9
2017-08-14,96,81.0,,0.81,77.76
2017-08-15,100,81.0,,0.81,81.0
2017-08-16,81,81.0,,0.81,65.61
2017-08-17,83,81.0,,0.81,67.23
2017-08-18,78,81.0,,0.81,63.18000000000001
2017-08-19,89,81.0,,0.81,72.09
2017-08-20,84,81.0,,0.81,68.04
2017-08-21,76,81.0,,0.81,61.56
2017-08-22,83,81.0,,0.81,67.23
2017-08-23,87,81.0,,0.81,70.47
2017-08-24,79,81.0,,0.81,63.99
2017-08-25,78,81.0,,0.81,63.18000000000001
2017-08-26,85,81.0,,0.81,68.85000000000001
2017-08-27,82,81.0,,0.81,66.42
2017-08-28,89,81.0,,0.81,72.09
2017-08-29,80,81.0,,0.81,64.80000000000001
2017-08-30,85,81.0,,0.81,68.85000000000001
2017-08-31,80,81.0,,0.81,64.80000000000001
2017-09-01,84,82.0,False,0.82,68.88
2017-09-02,88,82.0,,0.82,72.16
2017-09-03,85,82.0,,0.82,69.7
2017-09-04,89,82.0,,0.82,72.97999999999999
2017-09-05,84,82.0,,0.82,68.88
2017-09-06,92,82.0,,0.82,75.44
2017-09-07,85,82.0,,0.82,69.7
2017-09-08,77,82.0,,0.82,63.13999999999999
2017-09-09,83,82.0,,0.82,68.06
2017-09-10,84,82.0,,0.82,68.88
2017-09-11,93,82.0,,0.82,76.25999999999999
2017-09-12,100,82.0,,0.82,82.0
2017-09-13,97,82.0,,0.82,79.53999999999999
2017-09-14,97,82.0,,0.82,79.53999999999999
2017-09-15,95,82.0,,0.82,77.89999999999999
2017-09-16,85,82.0,,0.82,69.7
2017-09-17,87,82.0,,0.82,71.33999999999999
2017-09-18,92,82.0,,0.82,75.44
2017-09-19,90,82.0,,0.82,73.8
2017-09-20,91,82.0,,0.82,74.61999999999999
2017-09-21,90,82.0,,0.82,73.8
2017-09-22,85,82.0,,0.82,69.7
2017-09-23,86,82.0,,0.82,70.52
2017-09-24,88,82.0,,0.82,72.16
2017-09-25,98,82.0,,0.82,80.36
2017-09-26,94,82.0,,0.82,77.08
2017-09-27,84,82.0,,0.82,68.88
2017-09-28,96,82.0,,0.82,78.72
2017-09-29,84,82.0,,0.82,68.88
2017-09-30,86,82.0,,0.82,70.52
2017-10-01,83,86.0,False,0.86,71.38
2017-10-02,85,86.0,,0.86,73.1
2017-10-03,80,86.0,,0.86,68.8
2017-10-04,89,86.0,,0.86,76.53999999999999
2017-10-05,94,86.0,,0.86,80.84
2017-10-06,84,86.0,,0.86,72.24
2017-10-07,88,86.0,,0.86,75.67999999999999
2017-10-08,80,86.0,,0.86,68.8
2017-10-09,86,86.0,,0.86,73.96
2017-10-10,88,86.0,,0.86,75.67999999999999
2017-10-11,86,86.0,,0.86,73.96
2017-10-12,88,86.0,,0.86,75.67999999999999
2017-10-13,96,86.0,,0.86,82.56
2017-10-14,83,86.0,,0.86,71.38
2017-10-15,86,86.0,,0.86,73.96
2017-10-16,95,86.0,,0.86,81.7
2017-10-17,82,86.0,,0.86,70.52
2017-10-18,92,86.0,,0.86,79.12
2017-10-19,92,86.0,,0.86,79.12
2017-10-20,78,86.0,,0.86,67.08
2017-10-21,84,86.0,,0.86,72.24
2017-10-22,84,86.0,,0.86,72.24
2017-10-23,96,86.0,,0.86,82.56
2017-10-24,100,86.0,,0.86,86.0
2017-10-25,89,86.0,,0.86,76.53999999999999
2017-10-26,91,86.0,,0.86,78.26
2017-10-27,79,86.0,,0.86,67.94
2017-10-28,81,86.0,,0.86,69.66
2017-10-29,87,86.0,,0.86,74.82
2017-10-30,92,86.0,,0.86,79.12
2017-10-31,91,86.0,,0.86,78.26
2017-11-01,98,81.0,False,0.81,79.38000000000001
2017-11-02,97,81.0,,0.81,78.57000000000001
2017-11-03,87,81.0,,0.81,70.47
2017-11-04,89,81.0,,0.81,72.09
2017-11-05,84,81.0,,0.81,68.04
2017-11-06,99,81.0,,0.81,80.19000000000001
2017-11-07,93,81.0,,0.81,75.33
2017-11-08,94,81.0,,0.81,76.14
2017-11-09,92,81.0,,0.81,74.52000000000001
2017-11-10,89,81.0,,0.81,72.09
2017-11-11,80,81.0,,0.81,64.80000000000001
2017-11-12,93,81.0,,0.81,75.33
2017-11-13,96,81.0,,0.81,77.76
2017-11-14,96,81.0,,0.81,77.76
2017-11-15,94,81.0,,0.81,76.14
2017-11-16,100,81.0,,0.81,81.0
2017-11-17,87,81.0,,0.81,70.47
2017-11-18,83,81.0,,0.81,67.23
2017-11-19,81,81.0,,0.81,65.61
2017-11-20,83,81.0,,0.81,67.23
2017-11-21,85,81.0,,0.81,68.85000000000001
2017-11-22,86,81.0,,0.81,69.66000000000001
2017-11-23,79,81.0,,0.81,63.99
2017-11-24,68,81.0,,0.81,55.080000000000005
2017-11-25,84,81.0,,0.81,68.04
2017-11-26,81,81.0,,0.81,65.61
2017-11-27,88,81.0,,0.81,71.28
2017-11-28,94,81.0,,0.81,76.14
2017-11-29,93,81.0,,0.81,75.33
2017-11-30,81,81.0,,0.81,65.61
2017-12-01,96,73.0,False,0.73,70.08
2017-12-02,86,73.0,,0.73,62.78
2017-12-03,87,73.0,,0.73,63.51
2017-12-04,100,73.0,,0.73,73.0
2017-12-05,88,73.0,,0.73,64.24
2017-12-06,89,73.0,,0.73,64.97
2017-12-07,96,73.0,,0.73,70.08
2017-12-08,85,73.0,,0.73,62.05
2017-12-09,88,73.0,,0.73,64.24
2017-12-10,90,73.0,,0.73,65.7
2017-12-11,99,73.0,,0.73,72.27
2017-12-12,99,73.0,,0.73,72.27
2017-12-13,95,73.0,,0.73,69.35
2017-12-14,87,73.0,,0.73,63.51
2017-12-15,85,73.0,,0.73,62.05
2017-12-16,83,73.0,,0.73,60.589999999999996
2017-12-17,86,73.0,,0.73,62.78
2017-12-18,88,73.0,,0.73,64.24
2017-12-19,88,73.0,,0.73,64.24
2017-12-20,94,73.0,,0.73,68.62
2017-12-21,89,73.0,,0.73,64.97
2017-12-22,81,73.0,,0.73,59.129999999999995
2017-12-23,83,73.0,,0.73,60.589999999999996
2017-12-24,76,73.0,,0.73,55.48
2017-12-25,84,73.0,,0.73,61.32
2017-12-26,85,73.0,,0.73,62.05
2017-12-27,92,73.0,,0.73,67.16
2017-12-28,85,73.0,,0.73,62.05
2017-12-29,89,73.0,,0.73,64.97
2017-12-30,87,73.0,,0.73,63.51
2017-12-31,80,73.0,,0.73,58.4
2018-01-01,81,77.0,False,0.77,62.370000000000005
