date,BBC_unscaled,BBC_monthly,isPartial,scale,BBC
2016-12-07,77,85.0,,0.85,65.45
2016-12-08,80,85.0,,0.85,68.0
2016-12-09,75,85.0,,0.85,63.75
2016-12-10,82,85.0,,0.85,69.7
2016-12-11,83,85.0,,0.85,70.55
2016-12-12,77,85.0,,0.85,65.45
2016-12-13,81,85.0,,0.85,68.85
2016-12-14,81,85.0,,0.85,68.85
2016-12-15,74,85.0,,0.85,62.9
2016-12-16,79,85.0,,0.85,67.14999999999999
2016-12-17,81,85.0,,0.85,68.85
2016-12-18,84,85.0,,0.85,71.39999999999999
2016-12-19,92,85.0,,0.85,78.2
2016-12-20,92,85.0,,0.85,78.2
2016-12-21,82,85.0,,0.85,69.7
2016-12-22,78,85.0,,0.85,66.3
2016-12-23,80,85.0,,0.85,68.0
2016-12-24,81,85.0,,0.85,68.85
2016-12-25,93,85.0,,0.85,79.05
2016-12-26,100,85.0,,0.85,85.0
2016-12-27,83,85.0,,0.85,70.55
2016-12-28,82,85.0,,0.85,69.7
2016-12-29,82,85.0,,0.85,69.7
2016-12-30,80,85.0,,0.85,68.0
2016-12-31,82,85.0,,0.85,69.7
2017-01-01,93,92.0,False,0.92,85.56
2017-01-02,88,92.0,,0.92,80.96000000000001
2017-01-03,77,92.0,,0.92,70.84
2017-01-04,77,92.0,,0.92,70.84
2017-01-05,72,92.0,,0.92,66.24000000000001
2017-01-06,78,92.0,,0.92,71.76
2017-01-07,78,92.0,,0.92,71.76
2017-01-08,84,92.0,,0.92,77.28
2017-01-09,82,92.0,,0.92,75.44
2017-01-10,77,92.0,,0.92,70.84
2017-01-11,82,92.0,,0.92,75.44
2017-01-12,82,92.0,,0.92,75.44
2017-01-13,75,92.0,,0.92,69.0
2017-01-14,77,92.0,,0.92,70.84
2017-01-15,77,92.0,,0.92,70.84
2017-01-16,77,92.0,,0.92,70.84
2017-01-17,79,92.0,,0.92,72.68
2017-01-18,79,92.0,,0.92,72.68
2017-01-19,82,92.0,,0.92,75.44
2017-01-20,95,92.0,,0.92,87.4
2017-01-21,96,92.0,,0.92,88.32000000000001
2017-01-22,87,92.0,,0.92,80.04
2017-01-23,82,92.0,,0.92,75.44
2017-01-24,79,92.0,,0.92,72.68
2017-01-25,82,92.0,,0.92,75.44
2017-01-26,85,92.0,,0.92,78.2
2017-01-27,84,92.0,,0.92,77.28
2017-01-28,89,92.0,,0.92,81.88000000000001
2017-01-29,100,92.0,,0.92,92.0
2017-01-30,94,92.0,,0.92,86.48
2017-01-31,94,92.0,,0.92,86.48
2017-02-01,100,86.0,False,0.86,86.0
2017-02-02,97,86.0,,0.86,83.42
2017-02-03,95,86.0,,0.86,81.7
2017-02-04,96,86.0,,0.86,82.56
2017-02-05,91,86.0,,0.86,78.26
2017-02-06,90,86.0,,0.86,77.4
2017-02-07,93,86.0,,0.86,79.98
2017-02-08,96,86.0,,0.86,82.56
2017-02-09,94,86.0,,0.86,80.84
2017-02-10,94,86.0,,0.86,80.84
2017-02-11,93,86.0,,0.86,79.98
2017-02-12,91,86.0,,0.86,78.26
2017-02-13,89,86.0,,0.86,76.53999999999999
2017-02-14,90,86.0,,0.86,77.4
2017-02-15,93,86.0,,0.86,79.98
2017-02-16,97,86.0,,0.86,83.42
2017-02-17,94,86.0,,0.86,80.84
2017-02-18,93,86.0,,0.86,79.98
2017-02-19,100,86.0,,0.86,86.0
2017-02-20,96,86.0,,0.86,82.56
2017-02-21,93,86.0,,0.86,79.98
2017-02-22,85,86.0,,0.86,73.1
2017-02-23,93,86.0,,0.86,79.98
2017-02-24,86,86.0,,0.86,73.96
2017-02-25,99,86.0,,0.86,85.14
2017-02-26,97,86.0,,0.86,83.42
2017-02-27,86,86.0,,0.86,73.96
2017-02-28,85,86.0,,0.86,73.1
2017-03-01,57,95.0,False,0.95,54.15
2017-03-02,58,95.0,,0.95,55.099999999999994
2017-03-03,56,95.0,,0.95,53.199999999999996
2017-03-04,59,95.0,,0.95,56.05
2017-03-05,61,95.0,,0.95,57.949999999999996
2017-03-06,62,95.0,,0.95,58.9
2017-03-07,59,95.0,,0.95,56.05
2017-03-08,58,95.0,,0.95,55.099999999999994
2017-03-09,57,95.0,,0.95,54.15
2017-03-10,87,95.0,,0.95,82.64999999999999
2017-03-11,100,95.0,,0.95,95.0
2017-03-12,78,95.0,,0.95,74.1
2017-03-13,68,95.0,,0.95,64.6
2017-03-14,73,95.0,,0.95,69.35
2017-03-15,81,95.0,,0.95,76.95
2017-03-16,70,95.0,,0.95,66.5
2017-03-17,72,95.0,,0.95,68.39999999999999
2017-03-18,78,95.0,,0.95,74.1
2017-03-19,70,95.0,,0.95,66.5
2017-03-20,61,95.0,,0.95,57.949999999999996
2017-03-21,61,95.0,,0.95,57.949999999999996
2017-03-22,90,95.0,,0.95,85.5
2017-03-23,73,95.0,,0.95,69.35
2017-03-24,64,95.0,,0.95,60.8
2017-03-25,64,95.0,,0.95,60.8
2017-03-26,60,95.0,,0.95,57.0
2017-03-27,59,95.0,,0.95,56.05
2017-03-28,57,95.0,,0.95,54.15
2017-03-29,57,95.0,,0.95,54.15
2017-03-30,58,95.0,,0.95,55.099999999999994
2017-03-31,58,95.0,,0.95,55.099999999999994
2017-04-01,68,90.0,False,0.9,61.2
2017-04-02,66,90.0,,0.9,59.4
2017-04-03,66,90.0,,0.9,59.4
2017-04-04,62,90.0,,0.9,55.800000000000004
2017-04-05,65,90.0,,0.9,58.5
2017-04-06,62,90.0,,0.9,55.800000000000004
2017-04-07,100,90.0,,0.9,90.0
2017-04-08,76,90.0,,0.9,68.4
2017-04-09,71,90.0,,0.9,63.9
2017-04-10,68,90.0,,0.9,61.2
2017-04-11,69,90.0,,0.9,62.1
2017-04-12,67,90.0,,0.9,60.300000000000004
2017-04-13,76,90.0,,0.9,68.4
2017-04-14,71,90.0,,0.9,63.9
2017-04-15,80,90.0,,0.9,72.0
2017-04-16,83,90.0,,0.9,74.7
2017-04-17,69,90.0,,0.9,62.1
2017-04-18,71,90.0,,0.9,63.9
2017-04-19,69,90.0,,0.9,62.1
2017-04-20,69,90.0,,0.9,62.1
2017-04-21,71,90.0,,0.9,63.9
2017-04-22,69,90.0,,0.9,62.1
2017-04-23,79,90.0,,0.9,71.10000000000001
2017-04-24,68,90.0,,0.9,61.2
2017-04-25,66,90.0,,0.9,59.4
2017-04-26,66,90.0,,0.9,59.4
2017-04-27,67,90.0,,0.9,60.300000000000004
2017-04-28,65,90.0,,0.9,58.5
2017-04-29,70,90.0,,0.9,63.0
2017-04-30,69,90.0,,0.9,62.1
2017-05-01,60,92.0,False,0.92,55.2
2017-05-02,54,92.0,,0.92,49.68
2017-05-03,60,92.0,,0.92,55.2
2017-05-04,69,92.0,,0.92,63.480000000000004
2017-05-05,59,92.0,,0.92,54.28
2017-05-06,59,92.0,,0.92,54.28
2017-05-07,69,92.0,,0.92,63.480000000000004
2017-05-08,60,92.0,,0.92,55.2
2017-05-09,59,92.0,,0.92,54.28
2017-05-10,64,92.0,,0.92,58.88
2017-05-11,58,92.0,,0.92,53.36
2017-05-12,60,92.0,,0.92,55.2
2017-05-13,66,92.0,,0.92,60.720000000000006
2017-05-14,66,92.0,,0.92,60.720000000000006
2017-05-15,61,92.0,,0.92,56.120000000000005
2017-05-16,63,92.0,,0.92,57.96
2017-05-17,65,92.0,,0.92,59.800000000000004
2017-05-18,63,92.0,,0.92,57.96
2017-05-19,60,92.0,,0.92,55.2
2017-05-20,64,92.0,,0.92,58.88
2017-05-21,66,92.0,,0.92,60.720000000000006
2017-05-22,68,92.0,,0.92,62.56
2017-05-23,100,92.0,,0.92,92.0
2017-05-24,72,92.0,,0.92,66.24000000000001
2017-05-25,65,92.0,,0.92,59.800000000000004
2017-05-26,60,92.0,,0.92,55.2
2017-05-27,68,92.0,,0.92,62.56
2017-05-28,66,92.0,,0.92,60.720000000000006
2017-05-29,61,92.0,,0.92,56.120000000000005
2017-05-30,60,92.0,,0.92,55.2
2017-05-31,62,92.0,,0.92,57.04
2017-06-01,63,95.0,False,0.95,59.849999999999994
2017-06-02,63,95.0,,0.95,59.849999999999994
2017-06-03,78,95.0,,0.95,74.1
2017-06-04,100,95.0,,0.95,95.0
2017-06-05,71,95.0,,0.95,67.45
2017-06-06,66,95.0,,0.95,62.699999999999996
2017-06-07,67,95.0,,0.95,63.65
2017-06-08,89,95.0,,0.95,84.55
2017-06-09,99,95.0,,0.95,94.05
2017-06-10,63,95.0,,0.95,59.849999999999994
2017-06-11,69,95.0,,0.95,65.55
2017-06-12,64,95.0,,0.95,60.8
2017-06-13,61,95.0,,0.95,57.949999999999996
2017-06-14,85,95.0,,0.95,80.75
2017-06-15,67,95.0,,0.95,63.65
2017-06-16,64,95.0,,0.95,60.8
2017-06-17,63,95.0,,0.95,59.849999999999994
2017-06-18,61,95.0,,0.95,57.949999999999996
2017-06-19,73,95.0,,0.95,69.35
2017-06-20,62,95.0,,0.95,58.9
2017-06-21,61,95.0,,0.95,57.949999999999996
2017-06-22,61,95.0,,0.95,57.949999999999996
2017-06-23,59,95.0,,0.95,56.05
2017-06-24,61,95.0,,0.95,57.949999999999996
2017-06-25,66,95.0,,0.95,62.699999999999996
2017-06-26,59,95.0,,0.95,56.05
2017-06-27,60,95.0,,0.95,57.0
2017-06-28,58,95.0,,0.95,55.099999999999994
2017-06-29,57,95.0,,0.95,54.15
2017-06-30,57,95.0,,0.95,54.15
2017-07-01,84,83.0,False,0.83,69.72
2017-07-02,88,83.0,,0.83,73.03999999999999
2017-07-03,87,83.0,,0.83,72.21
2017-07-04,88,83.0,,0.83,73.03999999999999
2017-07-05,91,83.0,,0.83,75.53
2017-07-06,91,83.0,,0.83,75.53
2017-07-07,92,83.0,,0.83,76.36
2017-07-08,86,83.0,,0.83,71.38
2017-07-09,87,83.0,,0.83,72.21
2017-07-10,92,83.0,,0.83,76.36
2017-07-11,84,83.0,,0.83,69.72
2017-07-12,90,83.0,,0.83,74.7
2017-07-13,85,83.0,,0.83,70.55
2017-07-14,87,83.0,,0.83,72.21
2017-07-15,86,83.0,,0.83,71.38
2017-07-16,100,83.0,,0.83,83.0
2017-07-17,81,83.0,,0.83,67.22999999999999
2017-07-18,83,83.0,,0.83,68.89
2017-07-19,84,83.0,,0.83,69.72
2017-07-20,86,83.0,,0.83,71.38
2017-07-21,84,83.0,,0.83,69.72
2017-07-22,85,83.0,,0.83,70.55
2017-07-23,90,83.0,,0.83,74.7
2017-07-24,83,83.0,,0.83,68.89
2017-07-25,81,83.0,,0.83,67.22999999999999
2017-07-26,84,83.0,,0.83,69.72
2017-07-27,84,83.0,,0.83,69.72
2017-07-28,91,83.0,,0.83,75.53
2017-07-29,88,83.0,,0.83,73.03999999999999
2017-07-30,86,83.0,,0.83,71.38
2017-07-31,86,83.0,,0.83,71.38
2017-08-01,73,92.0,False,0.92,67.16
2017-08-02,74,92.0,,0.92,68.08
2017-08-03,72,92.0,,0.92,66.24000000000001
2017-08-04,72,92.0,,0.92,66.24000000000001
2017-08-05,75,92.0,,0.92,69.0
2017-08-06,77,92.0,,0.92,70.84
2017-08-07,71,92.0,,0.92,65.32000000000001
2017-08-08,76,92.0,,0.92,69.92
2017-08-09,85,92.0,,0.92,78.2
2017-08-10,85,92.0,,0.92,78.2
2017-08-11,83,92.0,,0.92,76.36
2017-08-12,84,92.0,,0.92,77.28
2017-08-13,88,92.0,,0.92,80.96000000000001
2017-08-14,80,92.0,,0.92,73.60000000000001
2017-08-15,80,92.0,,0.92,73.60000000000001
2017-08-16,82,92.0,,0.92,75.44
2017-08-17,90,92.0,,0.92,82.8
2017-08-18,86,92.0,,0.92,79.12
2017-08-19,85,92.0,,0.92,78.2
2017-08-20,78,92.0,,0.92,71.76
2017-08-21,100,92.0,,0.92,92.0
2017-08-22,79,92.0,,0.92,72.68
2017-08-23,78,92.0,,0.92,71.76
2017-08-24,72,92.0,,0.92,66.24000000000001
2017-08-25,73,92.0,,0.92,67.16
2017-08-26,79,92.0,,0.92,72.68
2017-08-27,80,92.0,,0.92,73.60000000000001
2017-08-28,77,92.0,,0.92,70.84
2017-08-29,78,92.0,,0.92,71.76
2017-08-30,73,92.0,,0.92,67.16
2017-08-31,78,92.0,,0.92,71.76
2017-09-01,85,81.0,False,0.81,68.85000000000001
2017-09-02,87,81.0,,0.81,70.47
2017-09-03,91,81.0,,0.81,73.71000000000001
2017-09-04,89,81.0,,0.81,72.09
2017-09-05,87,81.0,,0.81,70.47
2017-09-06,87,81.0,,0.81,70.47
2017-09-07,83,81.0,,0.81,67.23
2017-09-08,89,81.0,,0.81,72.09
2017-09-09,91,81.0,,0.81,73.71000000000001
2017-09-10,88,81.0,,0.81,71.28
2017-09-11,89,81.0,,0.81,72.09
2017-09-12,86,81.0,,0.81,69.66000000000001
2017-09-13,81,81.0,,0.81,65.61
2017-09-14,86,81.0,,0.81,69.66000000000001
2017-09-15,100,81.0,,0.81,81.0
2017-09-16,92,81.0,,0.81,74.52000000000001
2017-09-17,85,81.0,,0.81,68.85000000000001
2017-09-18,83,81.0,,0.81,67.23
2017-09-19,93,81.0,,0.81,75.33
2017-09-20,89,81.0,,0.81,72.09
2017-09-21,89,81.0,,0.81,72.09
2017-09-22,79,81.0,,0.81,63.99
2017-09-23,87,81.0,,0.81,70.47
2017-09-24,94,81.0,,0.81,76.14
2017-09-25,94,81.0,,0.81,76.14
2017-09-26,90,81.0,,0.81,72.9
2017-09-27,90,81.0,,0.81,72.9
2017-09-28,88,81.0,,0.81,71.28
2017-09-29,84,81.0,,0.81,68.04
2017-09-30,89,81.0,,0.81,72.09
2017-10-01,82,83.0,False,0.83,68.06
2017-10-02,100,83.0,,0.83,83.0
2017-10-03,87,83.0,,0.83,72.21
2017-10-04,81,83.0,,0.83,67.22999999999999
2017-10-05,80,83.0,,0.83,66.39999999999999
2017-10-06,75,83.0,,0.83,62.25
2017-10-07,75,83.0,,0.83,62.25
2017-10-08,76,83.0,,0.83,63.08
2017-10-09,77,83.0,,0.83,63.91
2017-10-10,75,83.0,,0.83,62.25
2017-10-11,72,83.0,,0.83,59.76
2017-10-12,75,83.0,,0.83,62.25
2017-10-13,77,83.0,,0.83,63.91
2017-10-14,78,83.0,,0.83,64.74
2017-10-15,80,83.0,,0.83,66.39999999999999
2017-10-16,81,83.0,,0.83,67.22999999999999
2017-10-17,75,83.0,,0.83,62.25
2017-10-18,74,83.0,,0.83,61.419999999999995
2017-10-19,79,83.0,,0.83,65.57
2017-10-20,76,83.0,,0.83,63.08
2017-10-21,78,83.0,,0.83,64.74
2017-10-22,78,83.0,,0.83,64.74
2017-10-23,78,83.0,,0.83,64.74
2017-10-24,76,83.0,,0.83,63.08
2017-10-25,77,83.0,,0.83,63.91
2017-10-26,76,83.0,,0.83,63.08
2017-10-27,79,83.0,,0.83,65.57
2017-10-28,79,83.0,,0.83,65.57
2017-10-29,78,83.0,,0.83,64.74
2017-10-30,81,83.0,,0.83,67.22999999999999
2017-10-31,85,83.0,,0.83,70.55
2017-11-01,97,80.0,False,0.8,77.60000000000001
2017-11-02,88,80.0,,0.8,70.4
2017-11-03,95,80.0,,0.8,76.0
2017-11-04,96,80.0,,0.8,76.80000000000001
2017-11-05,97,80.0,,0.8,77.60000000000001
2017-11-06,99,80.0,,0.8,79.2
2017-11-07,92,80.0,,0.8,73.60000000000001
2017-11-08,91,80.0,,0.8,72.8
2017-11-09,92,80.0,,0.8,73.60000000000001
2017-11-10,99,80.0,,0.8,79.2
2017-11-11,94,80.0,,0.8,75.2
2017-11-12,96,80.0,,0.8,76.80000000000001
2017-11-13,96,80.0,,0.8,76.80000000000001
2017-11-14,93,80.0,,0.8,74.4
2017-11-15,95,80.0,,0.8,76.0
2017-11-16,91,80.0,,0.8,72.8
2017-11-17,90,80.0,,0.8,72.0
2017-11-18,98,80.0,,0.8,78.4
2017-11-19,93,80.0,,0.8,74.4
2017-11-20,93,80.0,,0.8,74.4
2017-11-21,91,80.0,,0.8,72.8
2017-11-22,89,80.0,,0.8,71.2
2017-11-23,84,80.0,,0.8,67.2
2017-11-24,92,80.0,,0.8,73.60000000000001
2017-11-25,100,80.0,,0.8,80.0
2017-11-26,94,80.0,,0.8,75.2
2017-11-27,97,80.0,,0.8,77.60000000000001
2017-11-28,97,80.0,,0.8,77.60000000000001
2017-11-29,92,80.0,,0.8,73.60000000000001
2017-11-30,91,80.0,,0.8,72.8
2017-12-01,84,80.0,False,0.8,67.2
2017-12-02,91,80.0,,0.8,72.8
2017-12-03,82,80.0,,0.8,65.60000000000001
2017-12-04,80,80.0,,0.8,64.0
2017-12-05,83,80.0,,0.8,66.4
2017-12-06,82,80.0,,0.8,65.60000000000001
2017-12-07,85,80.0,,0.8,68.0
2017-12-08,83,80.0,,0.8,66.4
2017-12-09,85,80.0,,0.8,68.0
2017-12-10,82,80.0,,0.8,65.60000000000001
2017-12-11,86,80.0,,0.8,68.8
2017-12-12,81,80.0,,0.8,64.8
2017-12-13,83,80.0,,0.8,66.4
2017-12-14,80,80.0,,0.8,64.0
2017-12-15,78,80.0,,0.8,62.400000000000006
2017-12-16,81,80.0,,0.8,64.8
2017-12-17,79,80.0,,0.8,63.2
2017-12-18,83,80.0,,0.8,66.4
2017-12-19,83,80.0,,0.8,66.4
2017-12-20,84,80.0,,0.8,67.2
2017-12-21,85,80.0,,0.8,68.0
2017-12-22,82,80.0,,0.8,65.60000000000001
2017-12-23,89,80.0,,0.8,71.2
2017-12-24,86,80.0,,0.8,68.8
2017-12-25,100,80.0,,0.8,80.0
2017-12-26,96,80.0,,0.8,76.80000000000001
2017-12-27,91,80.0,,0.8,72.8
2017-12-28,86,80.0,,0.8,68.8
2017-12-29,82,80.0,,0.8,65.60000000000001
