date,ACB_unscaled,ACB_monthly,isPartial,scale,ACB
2016-11-16,100,3.0,,0.03,3.0
2016-11-17,73,3.0,,0.03,2.19
2016-11-18,52,3.0,,0.03,1.56
2016-11-19,43,3.0,,0.03,1.29
2016-11-20,84,3.0,,0.03,2.52
2016-11-21,100,3.0,,0.03,3.0
2016-11-22,44,3.0,,0.03,1.3199999999999998
2016-11-23,62,3.0,,0.03,1.8599999999999999
2016-11-24,34,3.0,,0.03,1.02
2016-11-25,47,3.0,,0.03,1.41
2016-11-26,57,3.0,,0.03,1.71
2016-11-27,58,3.0,,0.03,1.74
2016-11-28,85,3.0,,0.03,2.55
2016-11-29,46,3.0,,0.03,1.38
2016-11-30,27,3.0,,0.03,0.8099999999999999
2016-12-01,44,3.0,False,0.03,1.3199999999999998
2016-12-02,57,3.0,,0.03,1.71
2016-12-03,15,3.0,,0.03,0.44999999999999996
2016-12-04,28,3.0,,0.03,0.84
2016-12-05,50,3.0,,0.03,1.5
2016-12-06,65,3.0,,0.03,1.95
2016-12-07,87,3.0,,0.03,2.61
2016-12-08,37,3.0,,0.03,1.1099999999999999
2016-12-09,65,3.0,,0.03,1.95
2016-12-10,39,3.0,,0.03,1.17
2016-12-11,44,3.0,,0.03,1.3199999999999998
2016-12-12,66,3.0,,0.03,1.98
2016-12-13,67,3.0,,0.03,2.01
2016-12-14,100,3.0,,0.03,3.0
2016-12-15,51,3.0,,0.03,1.53
2016-12-16,73,3.0,,0.03,2.19
2016-12-17,46,3.0,,0.03,1.38
2016-12-18,46,3.0,,0.03,1.38
2016-12-19,72,3.0,,0.03,2.16
2016-12-20,60,3.0,,0.03,1.7999999999999998
2016-12-21,48,3.0,,0.03,1.44
2016-12-22,71,3.0,,0.03,2.13
2016-12-23,36,3.0,,0.03,1.08
2016-12-24,49,3.0,,0.03,1.47
2016-12-25,17,3.0,,0.03,0.51
2016-12-26,30,3.0,,0.03,0.8999999999999999
2016-12-27,61,3.0,,0.03,1.8299999999999998
2016-12-28,28,3.0,,0.03,0.84
2016-12-29,27,3.0,,0.03,0.8099999999999999
2016-12-30,92,3.0,,0.03,2.76
2016-12-31,15,3.0,,0.03,0.44999999999999996
2017-01-01,29,4.0,False,0.04,1.16
2017-01-02,41,4.0,,0.04,1.6400000000000001
2017-01-03,52,4.0,,0.04,2.08
2017-01-04,24,4.0,,0.04,0.96
2017-01-05,39,4.0,,0.04,1.56
2017-01-06,34,4.0,,0.04,1.36
2017-01-07,33,4.0,,0.04,1.32
2017-01-08,87,4.0,,0.04,3.48
2017-01-09,79,4.0,,0.04,3.16
2017-01-10,56,4.0,,0.04,2.24
2017-01-11,37,4.0,,0.04,1.48
2017-01-12,80,4.0,,0.04,3.2
2017-01-13,24,4.0,,0.04,0.96
2017-01-14,100,4.0,,0.04,4.0
2017-01-15,58,4.0,,0.04,2.32
2017-01-16,34,4.0,,0.04,1.36
2017-01-17,55,4.0,,0.04,2.2
2017-01-18,83,4.0,,0.04,3.3200000000000003
2017-01-19,42,4.0,,0.04,1.68
2017-01-20,46,4.0,,0.04,1.84
2017-01-21,59,4.0,,0.04,2.36
2017-01-22,37,4.0,,0.04,1.48
2017-01-23,49,4.0,,0.04,1.96
2017-01-24,28,4.0,,0.04,1.12
2017-01-25,41,4.0,,0.04,1.6400000000000001
2017-01-26,41,4.0,,0.04,1.6400000000000001
2017-01-27,43,4.0,,0.04,1.72
2017-01-28,66,4.0,,0.04,2.64
2017-01-29,33,4.0,,0.04,1.32
2017-01-30,58,4.0,,0.04,2.32
2017-01-31,59,4.0,,0.04,2.36
2017-02-01,81,4.0,False,0.04,3.24
2017-02-02,58,4.0,,0.04,2.32
2017-02-03,61,4.0,,0.04,2.44
2017-02-04,57,4.0,,0.04,2.2800000000000002
2017-02-05,56,4.0,,0.04,2.24
2017-02-06,34,4.0,,0.04,1.36
2017-02-07,69,4.0,,0.04,2.7600000000000002
2017-02-08,100,4.0,,0.04,4.0
2017-02-09,65,4.0,,0.04,2.6
2017-02-10,79,4.0,,0.04,3.16
2017-02-11,29,4.0,,0.04,1.16
2017-02-12,36,4.0,,0.04,1.44
2017-02-13,52,4.0,,0.04,2.08
2017-02-14,53,4.0,,0.04,2.12
2017-02-15,90,4.0,,0.04,3.6
2017-02-16,47,4.0,,0.04,1.8800000000000001
2017-02-17,53,4.0,,0.04,2.12
