date,WTI_unscaled,WTI_monthly,isPartial,scale,WTI
2016-07-19,77,14.0,,0.14,10.780000000000001
2016-07-20,83,14.0,,0.14,11.620000000000001
2016-07-21,64,14.0,,0.14,8.96
2016-07-22,49,14.0,,0.14,6.86
2016-07-23,21,14.0,,0.14,2.9400000000000004
2016-07-24,12,14.0,,0.14,1.6800000000000002
2016-07-25,94,14.0,,0.14,13.160000000000002
2016-07-26,81,14.0,,0.14,11.340000000000002
2016-07-27,100,14.0,,0.14,14.000000000000002
2016-07-28,83,14.0,,0.14,11.620000000000001
2016-07-29,73,14.0,,0.14,10.22
2016-07-30,27,14.0,,0.14,3.7800000000000002
2016-07-31,17,14.0,,0.14,2.3800000000000003
2016-08-01,99,15.0,False,0.15,14.85
2016-08-02,97,15.0,,0.15,14.549999999999999
2016-08-03,96,15.0,,0.15,14.399999999999999
2016-08-04,93,15.0,,0.15,13.95
2016-08-05,73,15.0,,0.15,10.95
2016-08-06,24,15.0,,0.15,3.5999999999999996
2016-08-07,8,15.0,,0.15,1.2
2016-08-08,90,15.0,,0.15,13.5
2016-08-09,65,15.0,,0.15,9.75
2016-08-10,72,15.0,,0.15,10.799999999999999
2016-08-11,100,15.0,,0.15,15.0
2016-08-12,72,15.0,,0.15,10.799999999999999
2016-08-13,18,15.0,,0.15,2.6999999999999997
2016-08-14,14,15.0,,0.15,2.1
2016-08-15,77,15.0,,0.15,11.549999999999999
2016-08-16,76,15.0,,0.15,11.4
2016-08-17,74,15.0,,0.15,11.1
2016-08-18,85,15.0,,0.15,12.75
2016-08-19,88,15.0,,0.15,13.2
2016-08-20,24,15.0,,0.15,3.5999999999999996
2016-08-21,14,15.0,,0.15,2.1
2016-08-22,59,15.0,,0.15,8.85
2016-08-23,70,15.0,,0.15,10.5
2016-08-24,91,15.0,,0.15,13.65
2016-08-25,50,15.0,,0.15,7.5
2016-08-26,52,15.0,,0.15,7.8
2016-08-27,26,15.0,,0.15,3.9
2016-08-28,16,15.0,,0.15,2.4
2016-08-29,51,15.0,,0.15,7.6499999999999995
2016-08-30,55,15.0,,0.15,8.25
2016-08-31,73,15.0,,0.15,10.95
2016-09-01,76,13.0,False,0.13,9.88
2016-09-02,69,13.0,,0.13,8.97
2016-09-03,22,13.0,,0.13,2.8600000000000003
2016-09-04,17,13.0,,0.13,2.21
2016-09-05,32,13.0,,0.13,4.16
2016-09-06,84,13.0,,0.13,10.92
2016-09-07,59,13.0,,0.13,7.67
2016-09-08,65,13.0,,0.13,8.450000000000001
2016-09-09,77,13.0,,0.13,10.01
2016-09-10,37,13.0,,0.13,4.8100000000000005
2016-09-11,18,13.0,,0.13,2.34
2016-09-12,60,13.0,,0.13,7.800000000000001
2016-09-13,76,13.0,,0.13,9.88
2016-09-14,85,13.0,,0.13,11.05
2016-09-15,66,13.0,,0.13,8.58
2016-09-16,74,13.0,,0.13,9.620000000000001
2016-09-17,25,13.0,,0.13,3.25
2016-09-18,9,13.0,,0.13,1.17
2016-09-19,71,13.0,,0.13,9.23
2016-09-20,67,13.0,,0.13,8.71
2016-09-21,69,13.0,,0.13,8.97
2016-09-22,63,13.0,,0.13,8.19
2016-09-23,67,13.0,,0.13,8.71
2016-09-24,28,13.0,,0.13,3.64
2016-09-25,15,13.0,,0.13,1.9500000000000002
2016-09-26,61,13.0,,0.13,7.930000000000001
2016-09-27,71,13.0,,0.13,9.23
2016-09-28,88,13.0,,0.13,11.440000000000001
2016-09-29,100,13.0,,0.13,13.0
2016-09-30,82,13.0,,0.13,10.66
2016-10-01,35,11.0,False,0.11,3.85
2016-10-02,14,11.0,,0.11,1.54
2016-10-03,65,11.0,,0.11,7.15
2016-10-04,81,11.0,,0.11,8.91
2016-10-05,86,11.0,,0.11,9.46
2016-10-06,82,11.0,,0.11,9.02
2016-10-07,89,11.0,,0.11,9.790000000000001
2016-10-08,25,11.0,,0.11,2.75
2016-10-09,26,11.0,,0.11,2.86
2016-10-10,100,11.0,,0.11,11.0
2016-10-11,91,11.0,,0.11,10.01
2016-10-12,75,11.0,,0.11,8.25
2016-10-13,60,11.0,,0.11,6.6
2016-10-14,47,11.0,,0.11,5.17
2016-10-15,16,11.0,,0.11,1.76
2016-10-16,14,11.0,,0.11,1.54
2016-10-17,64,11.0,,0.11,7.04
2016-10-18,67,11.0,,0.11,7.37
2016-10-19,77,11.0,,0.11,8.47
2016-10-20,62,11.0,,0.11,6.82
2016-10-21,70,11.0,,0.11,7.7
2016-10-22,15,11.0,,0.11,1.65
2016-10-23,14,11.0,,0.11,1.54
2016-10-24,72,11.0,,0.11,7.92
2016-10-25,62,11.0,,0.11,6.82
2016-10-26,73,11.0,,0.11,8.03
2016-10-27,52,11.0,,0.11,5.72
2016-10-28,64,11.0,,0.11,7.04
2016-10-29,21,11.0,,0.11,2.31
2016-10-30,19,11.0,,0.11,2.09
2016-10-31,64,11.0,,0.11,7.04
2016-11-01,81,11.0,False,0.11,8.91
2016-11-02,79,11.0,,0.11,8.69
2016-11-03,45,11.0,,0.11,4.95
2016-11-04,65,11.0,,0.11,7.15
2016-11-05,16,11.0,,0.11,1.76
2016-11-06,15,11.0,,0.11,1.65
2016-11-07,55,11.0,,0.11,6.05
2016-11-08,53,11.0,,0.11,5.83
2016-11-09,49,11.0,,0.11,5.39
2016-11-10,55,11.0,,0.11,6.05
2016-11-11,53,11.0,,0.11,5.83
2016-11-12,24,11.0,,0.11,2.64
2016-11-13,11,11.0,,0.11,1.21
2016-11-14,54,11.0,,0.11,5.94
2016-11-15,55,11.0,,0.11,6.05
2016-11-16,64,11.0,,0.11,7.04
2016-11-17,47,11.0,,0.11,5.17
2016-11-18,59,11.0,,0.11,6.49
2016-11-19,10,11.0,,0.11,1.1
2016-11-20,11,11.0,,0.11,1.21
2016-11-21,53,11.0,,0.11,5.83
2016-11-22,60,11.0,,0.11,6.6
2016-11-23,45,11.0,,0.11,4.95
2016-11-24,16,11.0,,0.11,1.76
2016-11-25,38,11.0,,0.11,4.18
2016-11-26,17,11.0,,0.11,1.87
2016-11-27,22,11.0,,0.11,2.42
2016-11-28,58,11.0,,0.11,6.38
2016-11-29,55,11.0,,0.11,6.05
2016-11-30,100,11.0,,0.11,11.0
2016-12-01,100,13.0,False,0.13,13.0
2016-12-02,66,13.0,,0.13,8.58
2016-12-03,21,13.0,,0.13,2.73
2016-12-04,16,13.0,,0.13,2.08
2016-12-05,72,13.0,,0.13,9.36
2016-12-06,62,13.0,,0.13,8.06
2016-12-07,61,13.0,,0.13,7.930000000000001
2016-12-08,56,13.0,,0.13,7.28
2016-12-09,37,13.0,,0.13,4.8100000000000005
2016-12-10,21,13.0,,0.13,2.73
2016-12-11,23,13.0,,0.13,2.99
2016-12-12,74,13.0,,0.13,9.620000000000001
2016-12-13,80,13.0,,0.13,10.4
2016-12-14,52,13.0,,0.13,6.76
2016-12-15,62,13.0,,0.13,8.06
2016-12-16,57,13.0,,0.13,7.41
2016-12-17,26,13.0,,0.13,3.38
2016-12-18,14,13.0,,0.13,1.82
2016-12-19,54,13.0,,0.13,7.0200000000000005
2016-12-20,58,13.0,,0.13,7.54
2016-12-21,73,13.0,,0.13,9.49
2016-12-22,47,13.0,,0.13,6.11
2016-12-23,44,13.0,,0.13,5.720000000000001
2016-12-24,13,13.0,,0.13,1.69
2016-12-25,12,13.0,,0.13,1.56
2016-12-26,24,13.0,,0.13,3.12
2016-12-27,47,13.0,,0.13,6.11
2016-12-28,67,13.0,,0.13,8.71
2016-12-29,51,13.0,,0.13,6.63
2016-12-30,38,13.0,,0.13,4.94
2016-12-31,18,13.0,,0.13,2.34
2017-01-01,15,9.0,False,0.09,1.3499999999999999
2017-01-02,37,9.0,,0.09,3.33
2017-01-03,91,9.0,,0.09,8.19
2017-01-04,74,9.0,,0.09,6.66
2017-01-05,100,9.0,,0.09,9.0
2017-01-06,91,9.0,,0.09,8.19
2017-01-07,30,9.0,,0.09,2.6999999999999997
2017-01-08,26,9.0,,0.09,2.34
2017-01-09,82,9.0,,0.09,7.38
2017-01-10,80,9.0,,0.09,7.199999999999999
2017-01-11,76,9.0,,0.09,6.84
2017-01-12,74,9.0,,0.09,6.66
2017-01-13,85,9.0,,0.09,7.6499999999999995
2017-01-14,36,9.0,,0.09,3.2399999999999998
2017-01-15,21,9.0,,0.09,1.89
2017-01-16,36,9.0,,0.09,3.2399999999999998
2017-01-17,78,9.0,,0.09,7.02
2017-01-18,60,9.0,,0.09,5.3999999999999995
2017-01-19,67,9.0,,0.09,6.029999999999999
2017-01-20,50,9.0,,0.09,4.5
2017-01-21,45,9.0,,0.09,4.05
2017-01-22,13,9.0,,0.09,1.17
2017-01-23,70,9.0,,0.09,6.3
2017-01-24,62,9.0,,0.09,5.58
2017-01-25,73,9.0,,0.09,6.569999999999999
2017-01-26,59,9.0,,0.09,5.31
2017-01-27,62,9.0,,0.09,5.58
2017-01-28,20,9.0,,0.09,1.7999999999999998
2017-01-29,34,9.0,,0.09,3.06
2017-01-30,73,9.0,,0.09,6.569999999999999
2017-01-31,69,9.0,,0.09,6.21
2017-02-01,98,7.0,False,0.07,6.86
2017-02-02,62,7.0,,0.07,4.340000000000001
2017-02-03,52,7.0,,0.07,3.6400000000000006
2017-02-04,26,7.0,,0.07,1.8200000000000003
2017-02-05,19,7.0,,0.07,1.33
2017-02-06,58,7.0,,0.07,4.0600000000000005
2017-02-07,100,7.0,,0.07,7.000000000000001
2017-02-08,72,7.0,,0.07,5.040000000000001
2017-02-09,59,7.0,,0.07,4.130000000000001
2017-02-10,79,7.0,,0.07,5.53
2017-02-11,39,7.0,,0.07,2.7300000000000004
2017-02-12,14,7.0,,0.07,0.9800000000000001
2017-02-13,51,7.0,,0.07,3.5700000000000003
2017-02-14,51,7.0,,0.07,3.5700000000000003
2017-02-15,68,7.0,,0.07,4.760000000000001
2017-02-16,57,7.0,,0.07,3.99
2017-02-17,59,7.0,,0.07,4.130000000000001
2017-02-18,23,7.0,,0.07,1.61
2017-02-19,15,7.0,,0.07,1.05
2017-02-20,47,7.0,,0.07,3.2900000000000005
2017-02-21,83,7.0,,0.07,5.8100000000000005
2017-02-22,79,7.0,,0.07,5.53
2017-02-23,62,7.0,,0.07,4.340000000000001
2017-02-24,40,7.0,,0.07,2.8000000000000003
2017-02-25,35,7.0,,0.07,2.45
2017-02-26,16,7.0,,0.07,1.12
2017-02-27,52,7.0,,0.07,3.6400000000000006
2017-02-28,68,7.0,,0.07,4.760000000000001
2017-03-01,73,9.0,False,0.09,6.569999999999999
2017-03-02,51,9.0,,0.09,4.59
2017-03-03,43,9.0,,0.09,3.8699999999999997
2017-03-04,14,9.0,,0.09,1.26
2017-03-05,21,9.0,,0.09,1.89
2017-03-06,48,9.0,,0.09,4.32
2017-03-07,65,9.0,,0.09,5.85
2017-03-08,89,9.0,,0.09,8.01
2017-03-09,100,9.0,,0.09,9.0
2017-03-10,97,9.0,,0.09,8.73
2017-03-11,27,9.0,,0.09,2.4299999999999997
2017-03-12,22,9.0,,0.09,1.98
2017-03-13,82,9.0,,0.09,7.38
2017-03-14,71,9.0,,0.09,6.39
2017-03-15,88,9.0,,0.09,7.92
2017-03-16,83,9.0,,0.09,7.47
2017-03-17,57,9.0,,0.09,5.13
2017-03-18,37,9.0,,0.09,3.33
2017-03-19,25,9.0,,0.09,2.25
2017-03-20,59,9.0,,0.09,5.31
2017-03-21,90,9.0,,0.09,8.1
2017-03-22,78,9.0,,0.09,7.02
2017-03-23,57,9.0,,0.09,5.13
2017-03-24,48,9.0,,0.09,4.32
2017-03-25,14,9.0,,0.09,1.26
2017-03-26,12,9.0,,0.09,1.08
2017-03-27,73,9.0,,0.09,6.569999999999999
2017-03-28,71,9.0,,0.09,6.39
2017-03-29,66,9.0,,0.09,5.9399999999999995
2017-03-30,67,9.0,,0.09,6.029999999999999
2017-03-31,55,9.0,,0.09,4.95
2017-04-01,14,8.0,False,0.08,1.12
2017-04-02,36,8.0,,0.08,2.88
2017-04-03,76,8.0,,0.08,6.08
2017-04-04,55,8.0,,0.08,4.4
2017-04-05,71,8.0,,0.08,5.68
2017-04-06,65,8.0,,0.08,5.2
2017-04-07,100,8.0,,0.08,8.0
2017-04-08,27,8.0,,0.08,2.16
2017-04-09,36,8.0,,0.08,2.88
2017-04-10,90,8.0,,0.08,7.2
2017-04-11,73,8.0,,0.08,5.84
2017-04-12,77,8.0,,0.08,6.16
2017-04-13,63,8.0,,0.08,5.04
2017-04-14,44,8.0,,0.08,3.52
2017-04-15,25,8.0,,0.08,2.0
2017-04-16,13,8.0,,0.08,1.04
2017-04-17,62,8.0,,0.08,4.96
2017-04-18,82,8.0,,0.08,6.5600000000000005
2017-04-19,65,8.0,,0.08,5.2
2017-04-20,56,8.0,,0.08,4.48
2017-04-21,96,8.0,,0.08,7.68
2017-04-22,29,8.0,,0.08,2.32
2017-04-23,22,8.0,,0.08,1.76
2017-04-24,78,8.0,,0.08,6.24
2017-04-25,82,8.0,,0.08,6.5600000000000005
2017-04-26,67,8.0,,0.08,5.36
2017-04-27,89,8.0,,0.08,7.12
2017-04-28,79,8.0,,0.08,6.32
2017-04-29,29,8.0,,0.08,2.32
2017-04-30,19,8.0,,0.08,1.52
2017-05-01,74,9.0,False,0.09,6.66
2017-05-02,81,9.0,,0.09,7.29
2017-05-03,87,9.0,,0.09,7.83
2017-05-04,91,9.0,,0.09,8.19
2017-05-05,94,9.0,,0.09,8.459999999999999
2017-05-06,24,9.0,,0.09,2.16
2017-05-07,29,9.0,,0.09,2.61
2017-05-08,55,9.0,,0.09,4.95
2017-05-09,100,9.0,,0.09,9.0
2017-05-10,80,9.0,,0.09,7.199999999999999
2017-05-11,70,9.0,,0.09,6.3
2017-05-12,60,9.0,,0.09,5.3999999999999995
2017-05-13,22,9.0,,0.09,1.98
2017-05-14,23,9.0,,0.09,2.07
2017-05-15,72,9.0,,0.09,6.4799999999999995
2017-05-16,69,9.0,,0.09,6.21
2017-05-17,73,9.0,,0.09,6.569999999999999
2017-05-18,84,9.0,,0.09,7.56
2017-05-19,62,9.0,,0.09,5.58
2017-05-20,13,9.0,,0.09,1.17
2017-05-21,13,9.0,,0.09,1.17
2017-05-22,87,9.0,,0.09,7.83
2017-05-23,87,9.0,,0.09,7.83
2017-05-24,68,9.0,,0.09,6.12
2017-05-25,94,9.0,,0.09,8.459999999999999
2017-05-26,96,9.0,,0.09,8.64
2017-05-27,24,9.0,,0.09,2.16
2017-05-28,19,9.0,,0.09,1.71
2017-05-29,47,9.0,,0.09,4.2299999999999995
2017-05-30,63,9.0,,0.09,5.67
2017-05-31,79,9.0,,0.09,7.109999999999999
2017-06-01,30,10.0,False,0.1,3.0
2017-06-02,43,10.0,,0.1,4.3
2017-06-03,14,10.0,,0.1,1.4000000000000001
2017-06-04,7,10.0,,0.1,0.7000000000000001
2017-06-05,53,10.0,,0.1,5.300000000000001
2017-06-06,40,10.0,,0.1,4.0
2017-06-07,62,10.0,,0.1,6.2
2017-06-08,61,10.0,,0.1,6.1000000000000005
2017-06-09,50,10.0,,0.1,5.0
2017-06-10,30,10.0,,0.1,3.0
2017-06-11,19,10.0,,0.1,1.9000000000000001
2017-06-12,55,10.0,,0.1,5.5
2017-06-13,57,10.0,,0.1,5.7
2017-06-14,76,10.0,,0.1,7.6000000000000005
2017-06-15,73,10.0,,0.1,7.300000000000001
2017-06-16,40,10.0,,0.1,4.0
2017-06-17,7,10.0,,0.1,0.7000000000000001
2017-06-18,11,10.0,,0.1,1.1
2017-06-19,54,10.0,,0.1,5.4
2017-06-20,100,10.0,,0.1,10.0
2017-06-21,95,10.0,,0.1,9.5
2017-06-22,73,10.0,,0.1,7.300000000000001
2017-06-23,63,10.0,,0.1,6.300000000000001
2017-06-24,17,10.0,,0.1,1.7000000000000002
2017-06-25,18,10.0,,0.1,1.8
2017-06-26,51,10.0,,0.1,5.1000000000000005
2017-06-27,61,10.0,,0.1,6.1000000000000005
2017-06-28,63,10.0,,0.1,6.300000000000001
2017-06-29,37,10.0,,0.1,3.7
2017-06-30,48,10.0,,0.1,4.800000000000001
2017-07-01,24,8.0,False,0.08,1.92
2017-07-02,7,8.0,,0.08,0.56
2017-07-03,61,8.0,,0.08,4.88
2017-07-04,33,8.0,,0.08,2.64
2017-07-05,67,8.0,,0.08,5.36
2017-07-06,68,8.0,,0.08,5.44
2017-07-07,77,8.0,,0.08,6.16
2017-07-08,21,8.0,,0.08,1.68
2017-07-09,11,8.0,,0.08,0.88
2017-07-10,61,8.0,,0.08,4.88
2017-07-11,74,8.0,,0.08,5.92
2017-07-12,70,8.0,,0.08,5.6000000000000005
2017-07-13,52,8.0,,0.08,4.16
2017-07-14,55,8.0,,0.08,4.4
2017-07-15,7,8.0,,0.08,0.56
2017-07-16,22,8.0,,0.08,1.76
2017-07-17,46,8.0,,0.08,3.68
2017-07-18,61,8.0,,0.08,4.88
2017-07-19,80,8.0,,0.08,6.4
2017-07-20,64,8.0,,0.08,5.12
2017-07-21,61,8.0,,0.08,4.88
2017-07-22,6,8.0,,0.08,0.48
2017-07-23,21,8.0,,0.08,1.68
2017-07-24,79,8.0,,0.08,6.32
2017-07-25,64,8.0,,0.08,5.12
2017-07-26,100,8.0,,0.08,8.0
2017-07-27,62,8.0,,0.08,4.96
2017-07-28,63,8.0,,0.08,5.04
2017-07-29,15,8.0,,0.08,1.2
2017-07-30,13,8.0,,0.08,1.04
2017-07-31,96,8.0,,0.08,7.68
2017-08-01,91,8.0,False,0.08,7.28
2017-08-02,79,8.0,,0.08,6.32
2017-08-03,74,8.0,,0.08,5.92
2017-08-04,100,8.0,,0.08,8.0
2017-08-05,18,8.0,,0.08,1.44
2017-08-06,16,8.0,,0.08,1.28
2017-08-07,86,8.0,,0.08,6.88
2017-08-08,59,8.0,,0.08,4.72
2017-08-09,70,8.0,,0.08,5.6000000000000005
2017-08-10,85,8.0,,0.08,6.8
2017-08-11,59,8.0,,0.08,4.72
2017-08-12,33,8.0,,0.08,2.64
2017-08-13,21,8.0,,0.08,1.68
2017-08-14,54,8.0,,0.08,4.32
2017-08-15,51,8.0,,0.08,4.08
2017-08-16,80,8.0,,0.08,6.4
2017-08-17,44,8.0,,0.08,3.52
2017-08-18,53,8.0,,0.08,4.24
2017-08-19,8,8.0,,0.08,0.64
2017-08-20,26,8.0,,0.08,2.08
2017-08-21,61,8.0,,0.08,4.88
2017-08-22,53,8.0,,0.08,4.24
2017-08-23,79,8.0,,0.08,6.32
2017-08-24,65,8.0,,0.08,5.2
2017-08-25,76,8.0,,0.08,6.08
2017-08-26,40,8.0,,0.08,3.2
2017-08-27,24,8.0,,0.08,1.92
2017-08-28,85,8.0,,0.08,6.8
2017-08-29,89,8.0,,0.08,7.12
2017-08-30,82,8.0,,0.08,6.5600000000000005
2017-08-31,91,8.0,,0.08,7.28
2017-09-01,48,7.0,False,0.07,3.3600000000000003
2017-09-02,22,7.0,,0.07,1.54
2017-09-03,20,7.0,,0.07,1.4000000000000001
2017-09-04,30,7.0,,0.07,2.1
2017-09-05,54,7.0,,0.07,3.7800000000000002
2017-09-06,44,7.0,,0.07,3.08
2017-09-07,49,7.0,,0.07,3.43
2017-09-08,59,7.0,,0.07,4.130000000000001
2017-09-09,17,7.0,,0.07,1.1900000000000002
2017-09-10,15,7.0,,0.07,1.05
2017-09-11,56,7.0,,0.07,3.9200000000000004
2017-09-12,50,7.0,,0.07,3.5000000000000004
2017-09-13,63,7.0,,0.07,4.41
2017-09-14,57,7.0,,0.07,3.99
2017-09-15,56,7.0,,0.07,3.9200000000000004
2017-09-16,12,7.0,,0.07,0.8400000000000001
2017-09-17,20,7.0,,0.07,1.4000000000000001
2017-09-18,56,7.0,,0.07,3.9200000000000004
2017-09-19,61,7.0,,0.07,4.2700000000000005
2017-09-20,47,7.0,,0.07,3.2900000000000005
2017-09-21,63,7.0,,0.07,4.41
2017-09-22,41,7.0,,0.07,2.87
2017-09-23,18,7.0,,0.07,1.2600000000000002
2017-09-24,22,7.0,,0.07,1.54
2017-09-25,73,7.0,,0.07,5.11
2017-09-26,80,7.0,,0.07,5.6000000000000005
2017-09-27,100,7.0,,0.07,7.000000000000001
2017-09-28,83,7.0,,0.07,5.8100000000000005
2017-09-29,60,7.0,,0.07,4.2
2017-09-30,24,7.0,,0.07,1.6800000000000002
2017-10-01,23,7.0,False,0.07,1.61
2017-10-02,73,7.0,,0.07,5.11
2017-10-03,74,7.0,,0.07,5.180000000000001
2017-10-04,85,7.0,,0.07,5.95
2017-10-05,64,7.0,,0.07,4.48
2017-10-06,88,7.0,,0.07,6.16
2017-10-07,15,7.0,,0.07,1.05
2017-10-08,34,7.0,,0.07,2.3800000000000003
2017-10-09,75,7.0,,0.07,5.250000000000001
2017-10-10,97,7.0,,0.07,6.790000000000001
2017-10-11,58,7.0,,0.07,4.0600000000000005
2017-10-12,70,7.0,,0.07,4.9
2017-10-13,100,7.0,,0.07,7.000000000000001
2017-10-14,32,7.0,,0.07,2.24
2017-10-15,29,7.0,,0.07,2.0300000000000002
2017-10-16,100,7.0,,0.07,7.000000000000001
2017-10-17,61,7.0,,0.07,4.2700000000000005
2017-10-18,70,7.0,,0.07,4.9
2017-10-19,80,7.0,,0.07,5.6000000000000005
2017-10-20,53,7.0,,0.07,3.7100000000000004
2017-10-21,39,7.0,,0.07,2.7300000000000004
2017-10-22,17,7.0,,0.07,1.1900000000000002
2017-10-23,53,7.0,,0.07,3.7100000000000004
2017-10-24,88,7.0,,0.07,6.16
2017-10-25,73,7.0,,0.07,5.11
2017-10-26,80,7.0,,0.07,5.6000000000000005
2017-10-27,78,7.0,,0.07,5.460000000000001
2017-10-28,38,7.0,,0.07,2.66
2017-10-29,26,7.0,,0.07,1.8200000000000003
2017-10-30,100,7.0,,0.07,7.000000000000001
2017-10-31,77,7.0,,0.07,5.390000000000001
2017-11-01,72,8.0,False,0.08,5.76
2017-11-02,58,8.0,,0.08,4.64
2017-11-03,56,8.0,,0.08,4.48
2017-11-04,26,8.0,,0.08,2.08
2017-11-05,23,8.0,,0.08,1.84
2017-11-06,95,8.0,,0.08,7.6000000000000005
2017-11-07,100,8.0,,0.08,8.0
2017-11-08,72,8.0,,0.08,5.76
2017-11-09,66,8.0,,0.08,5.28
2017-11-10,63,8.0,,0.08,5.04
2017-11-11,26,8.0,,0.08,2.08
2017-11-12,13,8.0,,0.08,1.04
2017-11-13,58,8.0,,0.08,4.64
2017-11-14,62,8.0,,0.08,4.96
2017-11-15,61,8.0,,0.08,4.88
2017-11-16,52,8.0,,0.08,4.16
2017-11-17,63,8.0,,0.08,5.04
2017-11-18,21,8.0,,0.08,1.68
2017-11-19,11,8.0,,0.08,0.88
2017-11-20,68,8.0,,0.08,5.44
2017-11-21,57,8.0,,0.08,4.5600000000000005
2017-11-22,51,8.0,,0.08,4.08
2017-11-23,26,8.0,,0.08,2.08
2017-11-24,33,8.0,,0.08,2.64
2017-11-25,8,8.0,,0.08,0.64
2017-11-26,17,8.0,,0.08,1.36
2017-11-27,54,8.0,,0.08,4.32
2017-11-28,71,8.0,,0.08,5.68
2017-11-29,65,8.0,,0.08,5.2
2017-11-30,61,8.0,,0.08,4.88
2017-12-01,100,6.0,False,0.06,6.0
2017-12-02,33,6.0,,0.06,1.98
2017-12-03,36,6.0,,0.06,2.16
2017-12-04,84,6.0,,0.06,5.04
2017-12-05,68,6.0,,0.06,4.08
2017-12-06,83,6.0,,0.06,4.9799999999999995
2017-12-07,58,6.0,,0.06,3.48
2017-12-08,40,6.0,,0.06,2.4
2017-12-09,17,6.0,,0.06,1.02
2017-12-10,25,6.0,,0.06,1.5
2017-12-11,50,6.0,,0.06,3.0
2017-12-12,57,6.0,,0.06,3.42
2017-12-13,57,6.0,,0.06,3.42
2017-12-14,78,6.0,,0.06,4.68
2017-12-15,73,6.0,,0.06,4.38
2017-12-16,37,6.0,,0.06,2.2199999999999998
2017-12-17,14,6.0,,0.06,0.84
2017-12-18,67,6.0,,0.06,4.02
2017-12-19,65,6.0,,0.06,3.9
2017-12-20,72,6.0,,0.06,4.32
