date,CMG_unscaled,CMG_monthly,isPartial,scale,CMG
2016-09-23,35,63.0,,0.63,22.05
2016-09-24,11,63.0,,0.63,6.93
2016-09-25,12,63.0,,0.63,7.5600000000000005
2016-09-26,38,63.0,,0.63,23.94
2016-09-27,31,63.0,,0.63,19.53
2016-09-28,28,63.0,,0.63,17.64
2016-09-29,34,63.0,,0.63,21.42
2016-09-30,31,63.0,,0.63,19.53
2016-10-01,6,74.0,False,0.74,4.4399999999999995
2016-10-02,11,74.0,,0.74,8.14
2016-10-03,24,74.0,,0.74,17.759999999999998
2016-10-04,29,74.0,,0.74,21.46
2016-10-05,23,74.0,,0.74,17.02
2016-10-06,24,74.0,,0.74,17.759999999999998
2016-10-07,20,74.0,,0.74,14.8
2016-10-08,10,74.0,,0.74,7.4
2016-10-09,7,74.0,,0.74,5.18
2016-10-10,24,74.0,,0.74,17.759999999999998
2016-10-11,30,74.0,,0.74,22.2
2016-10-12,30,74.0,,0.74,22.2
2016-10-13,15,74.0,,0.74,11.1
2016-10-14,21,74.0,,0.74,15.54
2016-10-15,8,74.0,,0.74,5.92
2016-10-16,9,74.0,,0.74,6.66
2016-10-17,36,74.0,,0.74,26.64
2016-10-18,38,74.0,,0.74,28.12
2016-10-19,25,74.0,,0.74,18.5
2016-10-20,30,74.0,,0.74,22.2
2016-10-21,23,74.0,,0.74,17.02
2016-10-22,11,74.0,,0.74,8.14
2016-10-23,3,74.0,,0.74,2.2199999999999998
2016-10-24,24,74.0,,0.74,17.759999999999998
2016-10-25,87,74.0,,0.74,64.38
2016-10-26,100,74.0,,0.74,74.0
2016-10-27,56,74.0,,0.74,41.44
2016-10-28,42,74.0,,0.74,31.08
2016-10-29,11,74.0,,0.74,8.14
2016-10-30,10,74.0,,0.74,7.4
2016-10-31,37,74.0,,0.74,27.38
2016-11-01,89,62.0,False,0.62,55.18
2016-11-02,76,62.0,,0.62,47.12
2016-11-03,71,62.0,,0.62,44.02
2016-11-04,61,62.0,,0.62,37.82
2016-11-05,17,62.0,,0.62,10.54
2016-11-06,22,62.0,,0.62,13.64
2016-11-07,63,62.0,,0.62,39.06
2016-11-08,60,62.0,,0.62,37.2
2016-11-09,46,62.0,,0.62,28.52
2016-11-10,100,62.0,,0.62,62.0
2016-11-11,68,62.0,,0.62,42.16
2016-11-12,32,62.0,,0.62,19.84
2016-11-13,22,62.0,,0.62,13.64
2016-11-14,88,62.0,,0.62,54.56
2016-11-15,74,62.0,,0.62,45.88
2016-11-16,74,62.0,,0.62,45.88
2016-11-17,59,62.0,,0.62,36.58
2016-11-18,71,62.0,,0.62,44.02
2016-11-19,29,62.0,,0.62,17.98
2016-11-20,26,62.0,,0.62,16.12
2016-11-21,47,62.0,,0.62,29.14
2016-11-22,67,62.0,,0.62,41.54
2016-11-23,55,62.0,,0.62,34.1
2016-11-24,17,62.0,,0.62,10.54
2016-11-25,45,62.0,,0.62,27.9
2016-11-26,63,62.0,,0.62,39.06
2016-11-27,53,62.0,,0.62,32.86
2016-11-28,60,62.0,,0.62,37.2
2016-11-29,47,62.0,,0.62,29.14
2016-11-30,77,62.0,,0.62,47.74
2016-12-01,44,62.0,False,0.62,27.28
2016-12-02,32,62.0,,0.62,19.84
2016-12-03,24,62.0,,0.62,14.879999999999999
2016-12-04,13,62.0,,0.62,8.06
2016-12-05,49,62.0,,0.62,30.38
2016-12-06,100,62.0,,0.62,62.0
2016-12-07,75,62.0,,0.62,46.5
2016-12-08,80,62.0,,0.62,49.6
2016-12-09,54,62.0,,0.62,33.48
2016-12-10,45,62.0,,0.62,27.9
2016-12-11,20,62.0,,0.62,12.4
2016-12-12,83,62.0,,0.62,51.46
2016-12-13,74,62.0,,0.62,45.88
2016-12-14,58,62.0,,0.62,35.96
2016-12-15,65,62.0,,0.62,40.3
2016-12-16,77,62.0,,0.62,47.74
2016-12-17,22,62.0,,0.62,13.64
2016-12-18,18,62.0,,0.62,11.16
2016-12-19,46,62.0,,0.62,28.52
2016-12-20,50,62.0,,0.62,31.0
2016-12-21,35,62.0,,0.62,21.7
2016-12-22,47,62.0,,0.62,29.14
2016-12-23,55,62.0,,0.62,34.1
2016-12-24,37,62.0,,0.62,22.94
2016-12-25,10,62.0,,0.62,6.2
2016-12-26,24,62.0,,0.62,14.879999999999999
2016-12-27,54,62.0,,0.62,33.48
2016-12-28,40,62.0,,0.62,24.8
2016-12-29,44,62.0,,0.62,27.28
2016-12-30,35,62.0,,0.62,21.7
2016-12-31,31,62.0,,0.62,19.22
2017-01-01,25,55.0,False,0.55,13.750000000000002
2017-01-02,26,55.0,,0.55,14.3
2017-01-03,41,55.0,,0.55,22.55
2017-01-04,36,55.0,,0.55,19.8
2017-01-05,57,55.0,,0.55,31.35
2017-01-06,62,55.0,,0.55,34.1
2017-01-07,22,55.0,,0.55,12.100000000000001
2017-01-08,24,55.0,,0.55,13.200000000000001
2017-01-09,57,55.0,,0.55,31.35
2017-01-10,100,55.0,,0.55,55.00000000000001
2017-01-11,76,55.0,,0.55,41.800000000000004
2017-01-12,57,55.0,,0.55,31.35
2017-01-13,50,55.0,,0.55,27.500000000000004
2017-01-14,16,55.0,,0.55,8.8
2017-01-15,19,55.0,,0.55,10.450000000000001
2017-01-16,26,55.0,,0.55,14.3
2017-01-17,53,55.0,,0.55,29.150000000000002
2017-01-18,42,55.0,,0.55,23.1
2017-01-19,60,55.0,,0.55,33.0
2017-01-20,40,55.0,,0.55,22.0
2017-01-21,23,55.0,,0.55,12.65
2017-01-22,28,55.0,,0.55,15.400000000000002
2017-01-23,36,55.0,,0.55,19.8
2017-01-24,63,55.0,,0.55,34.650000000000006
2017-01-25,67,55.0,,0.55,36.85
2017-01-26,57,55.0,,0.55,31.35
2017-01-27,56,55.0,,0.55,30.800000000000004
2017-01-28,29,55.0,,0.55,15.950000000000001
2017-01-29,23,55.0,,0.55,12.65
2017-01-30,45,55.0,,0.55,24.750000000000004
2017-01-31,52,55.0,,0.55,28.6
2017-02-01,44,68.0,False,0.68,29.92
2017-02-02,100,68.0,,0.68,68.0
2017-02-03,97,68.0,,0.68,65.96000000000001
2017-02-04,16,68.0,,0.68,10.88
2017-02-05,12,68.0,,0.68,8.16
2017-02-06,41,68.0,,0.68,27.880000000000003
2017-02-07,44,68.0,,0.68,29.92
2017-02-08,43,68.0,,0.68,29.240000000000002
2017-02-09,44,68.0,,0.68,29.92
2017-02-10,42,68.0,,0.68,28.560000000000002
2017-02-11,13,68.0,,0.68,8.84
2017-02-12,20,68.0,,0.68,13.600000000000001
2017-02-13,40,68.0,,0.68,27.200000000000003
2017-02-14,40,68.0,,0.68,27.200000000000003
2017-02-15,42,68.0,,0.68,28.560000000000002
2017-02-16,44,68.0,,0.68,29.92
2017-02-17,26,68.0,,0.68,17.68
2017-02-18,21,68.0,,0.68,14.280000000000001
2017-02-19,11,68.0,,0.68,7.48
2017-02-20,27,68.0,,0.68,18.360000000000003
2017-02-21,40,68.0,,0.68,27.200000000000003
2017-02-22,48,68.0,,0.68,32.64
2017-02-23,41,68.0,,0.68,27.880000000000003
2017-02-24,30,68.0,,0.68,20.400000000000002
2017-02-25,15,68.0,,0.68,10.200000000000001
2017-02-26,14,68.0,,0.68,9.520000000000001
2017-02-27,45,68.0,,0.68,30.6
2017-02-28,31,68.0,,0.68,21.080000000000002
2017-03-01,71,56.0,False,0.56,39.760000000000005
2017-03-02,73,56.0,,0.56,40.88
2017-03-03,73,56.0,,0.56,40.88
2017-03-04,36,56.0,,0.56,20.160000000000004
2017-03-05,16,56.0,,0.56,8.96
2017-03-06,76,56.0,,0.56,42.56
2017-03-07,70,56.0,,0.56,39.2
2017-03-08,65,56.0,,0.56,36.400000000000006
2017-03-09,66,56.0,,0.56,36.96
2017-03-10,73,56.0,,0.56,40.88
2017-03-11,16,56.0,,0.56,8.96
2017-03-12,19,56.0,,0.56,10.64
2017-03-13,58,56.0,,0.56,32.480000000000004
2017-03-14,57,56.0,,0.56,31.92
2017-03-15,48,56.0,,0.56,26.880000000000003
2017-03-16,60,56.0,,0.56,33.6
2017-03-17,74,56.0,,0.56,41.440000000000005
2017-03-18,28,56.0,,0.56,15.680000000000001
2017-03-19,26,56.0,,0.56,14.560000000000002
2017-03-20,62,56.0,,0.56,34.720000000000006
2017-03-21,76,56.0,,0.56,42.56
2017-03-22,83,56.0,,0.56,46.480000000000004
2017-03-23,75,56.0,,0.56,42.00000000000001
2017-03-24,56,56.0,,0.56,31.360000000000003
2017-03-25,22,56.0,,0.56,12.32
2017-03-26,43,56.0,,0.56,24.080000000000002
2017-03-27,62,56.0,,0.56,34.720000000000006
2017-03-28,80,56.0,,0.56,44.800000000000004
2017-03-29,82,56.0,,0.56,45.92
2017-03-30,100,56.0,,0.56,56.00000000000001
2017-03-31,96,56.0,,0.56,53.760000000000005
2017-04-01,20,74.0,False,0.74,14.8
2017-04-02,14,74.0,,0.74,10.36
2017-04-03,30,74.0,,0.74,22.2
2017-04-04,36,74.0,,0.74,26.64
2017-04-05,44,74.0,,0.74,32.56
2017-04-06,34,74.0,,0.74,25.16
2017-04-07,29,74.0,,0.74,21.46
2017-04-08,11,74.0,,0.74,8.14
2017-04-09,13,74.0,,0.74,9.62
2017-04-10,23,74.0,,0.74,17.02
2017-04-11,25,74.0,,0.74,18.5
2017-04-12,34,74.0,,0.74,25.16
2017-04-13,33,74.0,,0.74,24.419999999999998
2017-04-14,25,74.0,,0.74,18.5
2017-04-15,15,74.0,,0.74,11.1
2017-04-16,10,74.0,,0.74,7.4
2017-04-17,29,74.0,,0.74,21.46
2017-04-18,37,74.0,,0.74,27.38
2017-04-19,40,74.0,,0.74,29.6
2017-04-20,39,74.0,,0.74,28.86
2017-04-21,37,74.0,,0.74,27.38
2017-04-22,14,74.0,,0.74,10.36
2017-04-23,13,74.0,,0.74,9.62
2017-04-24,48,74.0,,0.74,35.519999999999996
2017-04-25,100,74.0,,0.74,74.0
2017-04-26,97,74.0,,0.74,71.78
2017-04-27,39,74.0,,0.74,28.86
2017-04-28,40,74.0,,0.74,29.6
2017-04-29,10,74.0,,0.74,7.4
2017-04-30,12,74.0,,0.74,8.879999999999999
2017-05-01,88,59.0,False,0.59,51.919999999999995
2017-05-02,78,59.0,,0.59,46.019999999999996
2017-05-03,75,59.0,,0.59,44.25
2017-05-04,97,59.0,,0.59,57.23
2017-05-05,75,59.0,,0.59,44.25
2017-05-06,48,59.0,,0.59,28.32
2017-05-07,19,59.0,,0.59,11.209999999999999
2017-05-08,61,59.0,,0.59,35.989999999999995
2017-05-09,89,59.0,,0.59,52.51
2017-05-10,89,59.0,,0.59,52.51
2017-05-11,100,59.0,,0.59,59.0
2017-05-12,60,59.0,,0.59,35.4
2017-05-13,33,59.0,,0.59,19.47
2017-05-14,7,59.0,,0.59,4.13
2017-05-15,60,59.0,,0.59,35.4
2017-05-16,72,59.0,,0.59,42.48
2017-05-17,50,59.0,,0.59,29.5
2017-05-18,77,59.0,,0.59,45.43
2017-05-19,66,59.0,,0.59,38.94
2017-05-20,23,59.0,,0.59,13.569999999999999
2017-05-21,29,59.0,,0.59,17.11
2017-05-22,48,59.0,,0.59,28.32
2017-05-23,75,59.0,,0.59,44.25
2017-05-24,76,59.0,,0.59,44.839999999999996
2017-05-25,45,59.0,,0.59,26.549999999999997
2017-05-26,82,59.0,,0.59,48.379999999999995
2017-05-27,35,59.0,,0.59,20.65
2017-05-28,33,59.0,,0.59,19.47
2017-05-29,26,59.0,,0.59,15.34
2017-05-30,96,59.0,,0.59,56.64
2017-05-31,51,59.0,,0.59,30.09
2017-06-01,46,60.0,False,0.6,27.599999999999998
2017-06-02,40,60.0,,0.6,24.0
2017-06-03,21,60.0,,0.6,12.6
2017-06-04,26,60.0,,0.6,15.6
2017-06-05,52,60.0,,0.6,31.2
2017-06-06,61,60.0,,0.6,36.6
2017-06-07,58,60.0,,0.6,34.8
2017-06-08,48,60.0,,0.6,28.799999999999997
2017-06-09,35,60.0,,0.6,21.0
2017-06-10,19,60.0,,0.6,11.4
2017-06-11,18,60.0,,0.6,10.799999999999999
2017-06-12,41,60.0,,0.6,24.599999999999998
2017-06-13,56,60.0,,0.6,33.6
2017-06-14,56,60.0,,0.6,33.6
2017-06-15,56,60.0,,0.6,33.6
2017-06-16,37,60.0,,0.6,22.2
2017-06-17,21,60.0,,0.6,12.6
2017-06-18,21,60.0,,0.6,12.6
2017-06-19,60,60.0,,0.6,36.0
2017-06-20,100,60.0,,0.6,60.0
2017-06-21,65,60.0,,0.6,39.0
2017-06-22,68,60.0,,0.6,40.8
2017-06-23,50,60.0,,0.6,30.0
2017-06-24,46,60.0,,0.6,27.599999999999998
2017-06-25,42,60.0,,0.6,25.2
2017-06-26,53,60.0,,0.6,31.799999999999997
2017-06-27,65,60.0,,0.6,39.0
2017-06-28,63,60.0,,0.6,37.8
2017-06-29,54,60.0,,0.6,32.4
2017-06-30,53,60.0,,0.6,31.799999999999997
2017-07-01,13,100.0,False,1.0,13.0
2017-07-02,7,100.0,,1.0,7.0
2017-07-03,14,100.0,,1.0,14.0
2017-07-04,10,100.0,,1.0,10.0
2017-07-05,12,100.0,,1.0,12.0
2017-07-06,21,100.0,,1.0,21.0
2017-07-07,15,100.0,,1.0,15.0
2017-07-08,7,100.0,,1.0,7.0
2017-07-09,6,100.0,,1.0,6.0
2017-07-10,15,100.0,,1.0,15.0
2017-07-11,20,100.0,,1.0,20.0
2017-07-12,24,100.0,,1.0,24.0
2017-07-13,20,100.0,,1.0,20.0
2017-07-14,20,100.0,,1.0,20.0
2017-07-15,11,100.0,,1.0,11.0
2017-07-16,5,100.0,,1.0,5.0
2017-07-17,22,100.0,,1.0,22.0
2017-07-18,91,100.0,,1.0,91.0
2017-07-19,83,100.0,,1.0,83.0
2017-07-20,77,100.0,,1.0,77.0
2017-07-21,65,100.0,,1.0,65.0
2017-07-22,20,100.0,,1.0,20.0
2017-07-23,14,100.0,,1.0,14.0
2017-07-24,47,100.0,,1.0,47.0
2017-07-25,100,100.0,,1.0,100.0
2017-07-26,67,100.0,,1.0,67.0
2017-07-27,57,100.0,,1.0,57.0
2017-07-28,28,100.0,,1.0,28.0
2017-07-29,13,100.0,,1.0,13.0
2017-07-30,11,100.0,,1.0,11.0
2017-07-31,34,100.0,,1.0,34.0
2017-08-01,90,72.0,False,0.72,64.8
2017-08-02,77,72.0,,0.72,55.44
2017-08-03,65,72.0,,0.72,46.8
2017-08-04,71,72.0,,0.72,51.12
2017-08-05,34,72.0,,0.72,24.48
2017-08-06,31,72.0,,0.72,22.32
2017-08-07,75,72.0,,0.72,54.0
2017-08-08,100,72.0,,0.72,72.0
2017-08-09,66,72.0,,0.72,47.519999999999996
2017-08-10,86,72.0,,0.72,61.919999999999995
2017-08-11,86,72.0,,0.72,61.919999999999995
2017-08-12,35,72.0,,0.72,25.2
2017-08-13,16,72.0,,0.72,11.52
2017-08-14,78,72.0,,0.72,56.16
2017-08-15,74,72.0,,0.72,53.28
2017-08-16,39,72.0,,0.72,28.08
2017-08-17,67,72.0,,0.72,48.239999999999995
2017-08-18,76,72.0,,0.72,54.72
2017-08-19,23,72.0,,0.72,16.56
2017-08-20,30,72.0,,0.72,21.599999999999998
2017-08-21,41,72.0,,0.72,29.52
2017-08-22,64,72.0,,0.72,46.08
2017-08-23,78,72.0,,0.72,56.16
2017-08-24,82,72.0,,0.72,59.04
2017-08-25,58,72.0,,0.72,41.76
2017-08-26,21,72.0,,0.72,15.12
2017-08-27,25,72.0,,0.72,18.0
2017-08-28,81,72.0,,0.72,58.32
2017-08-29,74,72.0,,0.72,53.28
2017-08-30,70,72.0,,0.72,50.4
2017-08-31,57,72.0,,0.72,41.04
2017-09-01,78,56.0,False,0.56,43.68000000000001
2017-09-02,29,56.0,,0.56,16.240000000000002
2017-09-03,26,56.0,,0.56,14.560000000000002
2017-09-04,28,56.0,,0.56,15.680000000000001
2017-09-05,74,56.0,,0.56,41.440000000000005
2017-09-06,55,56.0,,0.56,30.800000000000004
2017-09-07,57,56.0,,0.56,31.92
2017-09-08,83,56.0,,0.56,46.480000000000004
2017-09-09,36,56.0,,0.56,20.160000000000004
2017-09-10,16,56.0,,0.56,8.96
2017-09-11,72,56.0,,0.56,40.32000000000001
2017-09-12,68,56.0,,0.56,38.080000000000005
2017-09-13,88,56.0,,0.56,49.28
2017-09-14,69,56.0,,0.56,38.64
2017-09-15,64,56.0,,0.56,35.84
2017-09-16,34,56.0,,0.56,19.040000000000003
2017-09-17,31,56.0,,0.56,17.360000000000003
2017-09-18,65,56.0,,0.56,36.400000000000006
2017-09-19,100,56.0,,0.56,56.00000000000001
2017-09-20,84,56.0,,0.56,47.040000000000006
2017-09-21,61,56.0,,0.56,34.160000000000004
2017-09-22,58,56.0,,0.56,32.480000000000004
2017-09-23,23,56.0,,0.56,12.88
2017-09-24,25,56.0,,0.56,14.000000000000002
2017-09-25,63,56.0,,0.56,35.28
2017-09-26,85,56.0,,0.56,47.6
2017-09-27,88,56.0,,0.56,49.28
2017-09-28,82,56.0,,0.56,45.92
2017-09-29,95,56.0,,0.56,53.2
2017-09-30,43,56.0,,0.56,24.080000000000002
2017-10-01,8,86.0,False,0.86,6.88
2017-10-02,24,86.0,,0.86,20.64
2017-10-03,23,86.0,,0.86,19.78
2017-10-04,19,86.0,,0.86,16.34
2017-10-05,20,86.0,,0.86,17.2
2017-10-06,22,86.0,,0.86,18.919999999999998
2017-10-07,8,86.0,,0.86,6.88
2017-10-08,7,86.0,,0.86,6.02
2017-10-09,18,86.0,,0.86,15.48
2017-10-10,16,86.0,,0.86,13.76
2017-10-11,26,86.0,,0.86,22.36
2017-10-12,18,86.0,,0.86,15.48
2017-10-13,21,86.0,,0.86,18.06
2017-10-14,9,86.0,,0.86,7.74
2017-10-15,8,86.0,,0.86,6.88
2017-10-16,26,86.0,,0.86,22.36
2017-10-17,22,86.0,,0.86,18.919999999999998
2017-10-18,26,86.0,,0.86,22.36
2017-10-19,27,86.0,,0.86,23.22
2017-10-20,21,86.0,,0.86,18.06
2017-10-21,12,86.0,,0.86,10.32
2017-10-22,5,86.0,,0.86,4.3
2017-10-23,20,86.0,,0.86,17.2
2017-10-24,69,86.0,,0.86,59.339999999999996
2017-10-25,100,86.0,,0.86,86.0
2017-10-26,45,86.0,,0.86,38.7
2017-10-27,27,86.0,,0.86,23.22
2017-10-28,13,86.0,,0.86,11.18
2017-10-29,6,86.0,,0.86,5.16
2017-10-30,27,86.0,,0.86,23.22
2017-10-31,30,86.0,,0.86,25.8
2017-11-01,57,65.0,False,0.65,37.050000000000004
2017-11-02,65,65.0,,0.65,42.25
2017-11-03,75,65.0,,0.65,48.75
2017-11-04,37,65.0,,0.65,24.05
2017-11-05,27,65.0,,0.65,17.55
2017-11-06,61,65.0,,0.65,39.65
2017-11-07,65,65.0,,0.65,42.25
2017-11-08,89,65.0,,0.65,57.85
2017-11-09,62,65.0,,0.65,40.300000000000004
2017-11-10,49,65.0,,0.65,31.85
2017-11-11,34,65.0,,0.65,22.1
2017-11-12,22,65.0,,0.65,14.3
2017-11-13,76,65.0,,0.65,49.4
2017-11-14,77,65.0,,0.65,50.050000000000004
2017-11-15,56,65.0,,0.65,36.4
2017-11-16,61,65.0,,0.65,39.65
2017-11-17,50,65.0,,0.65,32.5
2017-11-18,27,65.0,,0.65,17.55
2017-11-19,27,65.0,,0.65,17.55
2017-11-20,70,65.0,,0.65,45.5
2017-11-21,63,65.0,,0.65,40.95
2017-11-22,46,65.0,,0.65,29.900000000000002
2017-11-23,15,65.0,,0.65,9.75
2017-11-24,46,65.0,,0.65,29.900000000000002
2017-11-25,28,65.0,,0.65,18.2
2017-11-26,22,65.0,,0.65,14.3
2017-11-27,50,65.0,,0.65,32.5
2017-11-28,53,65.0,,0.65,34.45
2017-11-29,100,65.0,,0.65,65.0
2017-11-30,78,65.0,,0.65,50.7
2017-12-01,83,57.0,False,0.57,47.309999999999995
2017-12-02,43,57.0,,0.57,24.509999999999998
2017-12-03,43,57.0,,0.57,24.509999999999998
2017-12-04,100,57.0,,0.57,56.99999999999999
2017-12-05,87,57.0,,0.57,49.589999999999996
2017-12-06,82,57.0,,0.57,46.739999999999995
2017-12-07,73,57.0,,0.57,41.61
2017-12-08,59,57.0,,0.57,33.629999999999995
2017-12-09,32,57.0,,0.57,18.24
2017-12-10,28,57.0,,0.57,15.959999999999999
2017-12-11,61,57.0,,0.57,34.769999999999996
2017-12-12,71,57.0,,0.57,40.47
2017-12-13,56,57.0,,0.57,31.919999999999998
2017-12-14,65,57.0,,0.57,37.05
2017-12-15,41,57.0,,0.57,23.369999999999997
2017-12-16,36,57.0,,0.57,20.52
2017-12-17,23,57.0,,0.57,13.11
2017-12-18,60,57.0,,0.57,34.199999999999996
2017-12-19,51,57.0,,0.57,29.069999999999997
2017-12-20,98,57.0,,0.57,55.85999999999999
2017-12-21,76,57.0,,0.57,43.31999999999999
2017-12-22,56,57.0,,0.57,31.919999999999998
2017-12-23,48,57.0,,0.57,27.36
2017-12-24,41,57.0,,0.57,23.369999999999997
2017-12-25,26,57.0,,0.57,14.819999999999999
