date,GO_unscaled,GO_monthly,isPartial,scale,GO
2016-08-30,58,53.0,,0.53,30.740000000000002
2016-08-31,56,53.0,,0.53,29.68
2016-09-01,83,40.0,False,0.4,33.2
2016-09-02,85,40.0,,0.4,34.0
2016-09-03,94,40.0,,0.4,37.6
2016-09-04,100,40.0,,0.4,40.0
2016-09-05,100,40.0,,0.4,40.0
2016-09-06,84,40.0,,0.4,33.6
2016-09-07,81,40.0,,0.4,32.4
2016-09-08,82,40.0,,0.4,32.800000000000004
2016-09-09,84,40.0,,0.4,33.6
2016-09-10,95,40.0,,0.4,38.0
2016-09-11,97,40.0,,0.4,38.800000000000004
2016-09-12,82,40.0,,0.4,32.800000000000004
2016-09-13,87,40.0,,0.4,34.800000000000004
2016-09-14,86,40.0,,0.4,34.4
2016-09-15,84,40.0,,0.4,33.6
2016-09-16,82,40.0,,0.4,32.800000000000004
2016-09-17,90,40.0,,0.4,36.0
2016-09-18,88,40.0,,0.4,35.2
2016-09-19,81,40.0,,0.4,32.4
2016-09-20,79,40.0,,0.4,31.6
2016-09-21,77,40.0,,0.4,30.8
2016-09-22,76,40.0,,0.4,30.400000000000002
2016-09-23,74,40.0,,0.4,29.6
2016-09-24,83,40.0,,0.4,33.2
2016-09-25,87,40.0,,0.4,34.800000000000004
2016-09-26,77,40.0,,0.4,30.8
2016-09-27,76,40.0,,0.4,30.400000000000002
2016-09-28,75,40.0,,0.4,30.0
2016-09-29,75,40.0,,0.4,30.0
2016-09-30,77,40.0,,0.4,30.8
2016-10-01,98,37.0,False,0.37,36.26
2016-10-02,99,37.0,,0.37,36.63
2016-10-03,88,37.0,,0.37,32.56
2016-10-04,87,37.0,,0.37,32.19
2016-10-05,85,37.0,,0.37,31.45
2016-10-06,87,37.0,,0.37,32.19
2016-10-07,86,37.0,,0.37,31.82
2016-10-08,97,37.0,,0.37,35.89
2016-10-09,92,37.0,,0.37,34.04
2016-10-10,86,37.0,,0.37,31.82
2016-10-11,87,37.0,,0.37,32.19
2016-10-12,91,37.0,,0.37,33.67
2016-10-13,87,37.0,,0.37,32.19
2016-10-14,86,37.0,,0.37,31.82
2016-10-15,94,37.0,,0.37,34.78
2016-10-16,98,37.0,,0.37,36.26
2016-10-17,85,37.0,,0.37,31.45
2016-10-18,83,37.0,,0.37,30.71
2016-10-19,88,37.0,,0.37,32.56
2016-10-20,88,37.0,,0.37,32.56
2016-10-21,84,37.0,,0.37,31.08
2016-10-22,92,37.0,,0.37,34.04
2016-10-23,95,37.0,,0.37,35.15
2016-10-24,88,37.0,,0.37,32.56
2016-10-25,89,37.0,,0.37,32.93
2016-10-26,100,37.0,,0.37,37.0
2016-10-27,92,37.0,,0.37,34.04
2016-10-28,90,37.0,,0.37,33.3
2016-10-29,92,37.0,,0.37,34.04
2016-10-30,97,37.0,,0.37,35.89
2016-10-31,89,37.0,,0.37,32.93
2016-11-01,84,37.0,False,0.37,31.08
2016-11-02,87,37.0,,0.37,32.19
2016-11-03,92,37.0,,0.37,34.04
2016-11-04,82,37.0,,0.37,30.34
2016-11-05,90,37.0,,0.37,33.3
2016-11-06,98,37.0,,0.37,36.26
2016-11-07,82,37.0,,0.37,30.34
2016-11-08,100,37.0,,0.37,37.0
2016-11-09,70,37.0,,0.37,25.9
2016-11-10,81,37.0,,0.37,29.97
2016-11-11,80,37.0,,0.37,29.6
2016-11-12,86,37.0,,0.37,31.82
2016-11-13,87,37.0,,0.37,32.19
2016-11-14,79,37.0,,0.37,29.23
2016-11-15,79,37.0,,0.37,29.23
2016-11-16,79,37.0,,0.37,29.23
2016-11-17,82,37.0,,0.37,30.34
2016-11-18,79,37.0,,0.37,29.23
2016-11-19,82,37.0,,0.37,30.34
2016-11-20,87,37.0,,0.37,32.19
2016-11-21,84,37.0,,0.37,31.08
2016-11-22,86,37.0,,0.37,31.82
2016-11-23,92,37.0,,0.37,34.04
2016-11-24,88,37.0,,0.37,32.56
2016-11-25,86,37.0,,0.37,31.82
2016-11-26,89,37.0,,0.37,32.93
2016-11-27,92,37.0,,0.37,34.04
2016-11-28,79,37.0,,0.37,29.23
2016-11-29,81,37.0,,0.37,29.97
2016-11-30,83,37.0,,0.37,30.71
2016-12-01,85,35.0,False,0.35,29.749999999999996
2016-12-02,82,35.0,,0.35,28.7
2016-12-03,86,35.0,,0.35,30.099999999999998
2016-12-04,90,35.0,,0.35,31.499999999999996
2016-12-05,85,35.0,,0.35,29.749999999999996
2016-12-06,87,35.0,,0.35,30.45
2016-12-07,90,35.0,,0.35,31.499999999999996
2016-12-08,87,35.0,,0.35,30.45
2016-12-09,85,35.0,,0.35,29.749999999999996
2016-12-10,87,35.0,,0.35,30.45
2016-12-11,88,35.0,,0.35,30.799999999999997
2016-12-12,100,35.0,,0.35,35.0
2016-12-13,93,35.0,,0.35,32.55
2016-12-14,88,35.0,,0.35,30.799999999999997
2016-12-15,85,35.0,,0.35,29.749999999999996
2016-12-16,84,35.0,,0.35,29.4
2016-12-17,86,35.0,,0.35,30.099999999999998
2016-12-18,87,35.0,,0.35,30.45
2016-12-19,82,35.0,,0.35,28.7
2016-12-20,84,35.0,,0.35,29.4
2016-12-21,82,35.0,,0.35,28.7
2016-12-22,84,35.0,,0.35,29.4
2016-12-23,88,35.0,,0.35,30.799999999999997
2016-12-24,88,35.0,,0.35,30.799999999999997
2016-12-25,93,35.0,,0.35,32.55
2016-12-26,92,35.0,,0.35,32.199999999999996
2016-12-27,90,35.0,,0.35,31.499999999999996
2016-12-28,88,35.0,,0.35,30.799999999999997
2016-12-29,88,35.0,,0.35,30.799999999999997
2016-12-30,90,35.0,,0.35,31.499999999999996
2016-12-31,90,35.0,,0.35,31.499999999999996
2017-01-01,97,35.0,False,0.35,33.949999999999996
2017-01-02,99,35.0,,0.35,34.65
2017-01-03,92,35.0,,0.35,32.199999999999996
2017-01-04,88,35.0,,0.35,30.799999999999997
2017-01-05,89,35.0,,0.35,31.15
2017-01-06,88,35.0,,0.35,30.799999999999997
2017-01-07,93,35.0,,0.35,32.55
2017-01-08,97,35.0,,0.35,33.949999999999996
2017-01-09,85,35.0,,0.35,29.749999999999996
2017-01-10,86,35.0,,0.35,30.099999999999998
2017-01-11,89,35.0,,0.35,31.15
2017-01-12,85,35.0,,0.35,29.749999999999996
2017-01-13,88,35.0,,0.35,30.799999999999997
2017-01-14,94,35.0,,0.35,32.9
2017-01-15,94,35.0,,0.35,32.9
2017-01-16,91,35.0,,0.35,31.849999999999998
2017-01-17,86,35.0,,0.35,30.099999999999998
2017-01-18,89,35.0,,0.35,31.15
2017-01-19,92,35.0,,0.35,32.199999999999996
2017-01-20,84,35.0,,0.35,29.4
2017-01-21,92,35.0,,0.35,32.199999999999996
2017-01-22,100,35.0,,0.35,35.0
2017-01-23,84,35.0,,0.35,29.4
2017-01-24,86,35.0,,0.35,30.099999999999998
2017-01-25,83,35.0,,0.35,29.049999999999997
2017-01-26,85,35.0,,0.35,29.749999999999996
2017-01-27,86,35.0,,0.35,30.099999999999998
2017-01-28,93,35.0,,0.35,32.55
2017-01-29,95,35.0,,0.35,33.25
2017-01-30,82,35.0,,0.35,28.7
2017-01-31,87,35.0,,0.35,30.45
2017-02-01,74,36.0,False,0.36,26.64
2017-02-02,72,36.0,,0.36,25.919999999999998
2017-02-03,71,36.0,,0.36,25.56
2017-02-04,81,36.0,,0.36,29.16
2017-02-05,83,36.0,,0.36,29.88
2017-02-06,77,36.0,,0.36,27.72
2017-02-07,71,36.0,,0.36,25.56
2017-02-08,72,36.0,,0.36,25.919999999999998
2017-02-09,74,36.0,,0.36,26.64
2017-02-10,74,36.0,,0.36,26.64
2017-02-11,79,36.0,,0.36,28.439999999999998
2017-02-12,79,36.0,,0.36,28.439999999999998
2017-02-13,73,36.0,,0.36,26.279999999999998
2017-02-14,72,36.0,,0.36,25.919999999999998
2017-02-15,77,36.0,,0.36,27.72
2017-02-16,81,36.0,,0.36,29.16
2017-02-17,98,36.0,,0.36,35.28
2017-02-18,100,36.0,,0.36,36.0
2017-02-19,98,36.0,,0.36,35.28
2017-02-20,91,36.0,,0.36,32.76
2017-02-21,82,36.0,,0.36,29.52
2017-02-22,84,36.0,,0.36,30.24
2017-02-23,79,36.0,,0.36,28.439999999999998
2017-02-24,82,36.0,,0.36,29.52
2017-02-25,86,36.0,,0.36,30.959999999999997
2017-02-26,84,36.0,,0.36,30.24
2017-02-27,80,36.0,,0.36,28.799999999999997
2017-02-28,79,36.0,,0.36,28.439999999999998
2017-03-01,92,34.0,False,0.34,31.28
2017-03-02,93,34.0,,0.34,31.62
2017-03-03,93,34.0,,0.34,31.62
2017-03-04,98,34.0,,0.34,33.32
2017-03-05,100,34.0,,0.34,34.0
2017-03-06,90,34.0,,0.34,30.6
2017-03-07,88,34.0,,0.34,29.92
2017-03-08,88,34.0,,0.34,29.92
2017-03-09,87,34.0,,0.34,29.580000000000002
2017-03-10,88,34.0,,0.34,29.92
2017-03-11,95,34.0,,0.34,32.300000000000004
2017-03-12,99,34.0,,0.34,33.660000000000004
2017-03-13,88,34.0,,0.34,29.92
2017-03-14,89,34.0,,0.34,30.26
2017-03-15,88,34.0,,0.34,29.92
2017-03-16,88,34.0,,0.34,29.92
2017-03-17,96,34.0,,0.34,32.64
2017-03-18,92,34.0,,0.34,31.28
2017-03-19,95,34.0,,0.34,32.300000000000004
2017-03-20,88,34.0,,0.34,29.92
2017-03-21,85,34.0,,0.34,28.900000000000002
2017-03-22,92,34.0,,0.34,31.28
2017-03-23,91,34.0,,0.34,30.94
2017-03-24,90,34.0,,0.34,30.6
2017-03-25,95,34.0,,0.34,32.300000000000004
2017-03-26,99,34.0,,0.34,33.660000000000004
2017-03-27,89,34.0,,0.34,30.26
2017-03-28,91,34.0,,0.34,30.94
2017-03-29,89,34.0,,0.34,30.26
2017-03-30,91,34.0,,0.34,30.94
2017-03-31,87,34.0,,0.34,29.580000000000002
2017-04-01,96,35.0,False,0.35,33.599999999999994
2017-04-02,100,35.0,,0.35,35.0
2017-04-03,89,35.0,,0.35,31.15
2017-04-04,91,35.0,,0.35,31.849999999999998
2017-04-05,90,35.0,,0.35,31.499999999999996
2017-04-06,87,35.0,,0.35,30.45
2017-04-07,89,35.0,,0.35,31.15
2017-04-08,94,35.0,,0.35,32.9
2017-04-09,97,35.0,,0.35,33.949999999999996
2017-04-10,88,35.0,,0.35,30.799999999999997
2017-04-11,91,35.0,,0.35,31.849999999999998
2017-04-12,89,35.0,,0.35,31.15
2017-04-13,94,35.0,,0.35,32.9
2017-04-14,93,35.0,,0.35,32.55
2017-04-15,94,35.0,,0.35,32.9
2017-04-16,95,35.0,,0.35,33.25
2017-04-17,88,35.0,,0.35,30.799999999999997
2017-04-18,89,35.0,,0.35,31.15
2017-04-19,92,35.0,,0.35,32.199999999999996
2017-04-20,90,35.0,,0.35,31.499999999999996
2017-04-21,93,35.0,,0.35,32.55
2017-04-22,94,35.0,,0.35,32.9
2017-04-23,99,35.0,,0.35,34.65
2017-04-24,89,35.0,,0.35,31.15
2017-04-25,88,35.0,,0.35,30.799999999999997
2017-04-26,86,35.0,,0.35,30.099999999999998
2017-04-27,88,35.0,,0.35,30.799999999999997
2017-04-28,85,35.0,,0.35,29.749999999999996
2017-04-29,91,35.0,,0.35,31.849999999999998
2017-04-30,97,35.0,,0.35,33.949999999999996
2017-05-01,90,35.0,False,0.35,31.499999999999996
2017-05-02,86,35.0,,0.35,30.099999999999998
2017-05-03,91,35.0,,0.35,31.849999999999998
2017-05-04,89,35.0,,0.35,31.15
2017-05-05,92,35.0,,0.35,32.199999999999996
2017-05-06,96,35.0,,0.35,33.599999999999994
2017-05-07,100,35.0,,0.35,35.0
2017-05-08,90,35.0,,0.35,31.499999999999996
2017-05-09,91,35.0,,0.35,31.849999999999998
2017-05-10,87,35.0,,0.35,30.45
2017-05-11,88,35.0,,0.35,30.799999999999997
2017-05-12,90,35.0,,0.35,31.499999999999996
2017-05-13,95,35.0,,0.35,33.25
2017-05-14,94,35.0,,0.35,32.9
2017-05-15,86,35.0,,0.35,30.099999999999998
2017-05-16,90,35.0,,0.35,31.499999999999996
2017-05-17,88,35.0,,0.35,30.799999999999997
2017-05-18,90,35.0,,0.35,31.499999999999996
2017-05-19,88,35.0,,0.35,30.799999999999997
2017-05-20,94,35.0,,0.35,32.9
2017-05-21,96,35.0,,0.35,33.599999999999994
2017-05-22,93,35.0,,0.35,32.55
2017-05-23,92,35.0,,0.35,32.199999999999996
2017-05-24,94,35.0,,0.35,32.9
2017-05-25,92,35.0,,0.35,32.199999999999996
2017-05-26,92,35.0,,0.35,32.199999999999996
2017-05-27,96,35.0,,0.35,33.599999999999994
2017-05-28,98,35.0,,0.35,34.3
2017-05-29,98,35.0,,0.35,34.3
2017-05-30,89,35.0,,0.35,31.15
2017-05-31,89,35.0,,0.35,31.15
2017-06-01,75,35.0,False,0.35,26.25
2017-06-02,81,35.0,,0.35,28.349999999999998
2017-06-03,85,35.0,,0.35,29.749999999999996
2017-06-04,83,35.0,,0.35,29.049999999999997
2017-06-05,77,35.0,,0.35,26.95
2017-06-06,79,35.0,,0.35,27.65
2017-06-07,76,35.0,,0.35,26.599999999999998
2017-06-08,77,35.0,,0.35,26.95
2017-06-09,78,35.0,,0.35,27.299999999999997
2017-06-10,80,35.0,,0.35,28.0
2017-06-11,86,35.0,,0.35,30.099999999999998
2017-06-12,79,35.0,,0.35,27.65
2017-06-13,80,35.0,,0.35,28.0
2017-06-14,79,35.0,,0.35,27.65
2017-06-15,80,35.0,,0.35,28.0
2017-06-16,80,35.0,,0.35,28.0
2017-06-17,84,35.0,,0.35,29.4
2017-06-18,84,35.0,,0.35,29.4
2017-06-19,88,35.0,,0.35,30.799999999999997
2017-06-20,86,35.0,,0.35,30.099999999999998
2017-06-21,86,35.0,,0.35,30.099999999999998
2017-06-22,90,35.0,,0.35,31.499999999999996
2017-06-23,91,35.0,,0.35,31.849999999999998
2017-06-24,100,35.0,,0.35,35.0
2017-06-25,99,35.0,,0.35,34.65
2017-06-26,89,35.0,,0.35,31.15
2017-06-27,89,35.0,,0.35,31.15
2017-06-28,86,35.0,,0.35,30.099999999999998
2017-06-29,86,35.0,,0.35,30.099999999999998
2017-06-30,84,35.0,,0.35,29.4
2017-07-01,82,39.0,False,0.39,31.98
2017-07-02,83,39.0,,0.39,32.370000000000005
2017-07-03,78,39.0,,0.39,30.42
2017-07-04,78,39.0,,0.39,30.42
2017-07-05,75,39.0,,0.39,29.25
2017-07-06,77,39.0,,0.39,30.03
2017-07-07,76,39.0,,0.39,29.64
2017-07-08,83,39.0,,0.39,32.370000000000005
2017-07-09,82,39.0,,0.39,31.98
2017-07-10,74,39.0,,0.39,28.86
2017-07-11,74,39.0,,0.39,28.86
2017-07-12,77,39.0,,0.39,30.03
2017-07-13,73,39.0,,0.39,28.470000000000002
2017-07-14,75,39.0,,0.39,29.25
2017-07-15,79,39.0,,0.39,30.810000000000002
2017-07-16,92,39.0,,0.39,35.88
2017-07-17,86,39.0,,0.39,33.54
2017-07-18,76,39.0,,0.39,29.64
2017-07-19,74,39.0,,0.39,28.86
2017-07-20,77,39.0,,0.39,30.03
2017-07-21,77,39.0,,0.39,30.03
2017-07-22,100,39.0,,0.39,39.0
2017-07-23,99,39.0,,0.39,38.61
2017-07-24,93,39.0,,0.39,36.27
2017-07-25,85,39.0,,0.39,33.15
2017-07-26,80,39.0,,0.39,31.200000000000003
2017-07-27,79,39.0,,0.39,30.810000000000002
2017-07-28,79,39.0,,0.39,30.810000000000002
2017-07-29,85,39.0,,0.39,33.15
2017-07-30,85,39.0,,0.39,33.15
2017-07-31,82,39.0,,0.39,31.98
2017-08-01,97,36.0,False,0.36,34.92
2017-08-02,92,36.0,,0.36,33.12
2017-08-03,90,36.0,,0.36,32.4
2017-08-04,91,36.0,,0.36,32.76
2017-08-05,95,36.0,,0.36,34.199999999999996
2017-08-06,100,36.0,,0.36,36.0
2017-08-07,97,36.0,,0.36,34.92
2017-08-08,92,36.0,,0.36,33.12
2017-08-09,90,36.0,,0.36,32.4
2017-08-10,89,36.0,,0.36,32.04
2017-08-11,91,36.0,,0.36,32.76
2017-08-12,94,36.0,,0.36,33.839999999999996
2017-08-13,96,36.0,,0.36,34.56
2017-08-14,100,36.0,,0.36,36.0
2017-08-15,90,36.0,,0.36,32.4
2017-08-16,88,36.0,,0.36,31.68
2017-08-17,88,36.0,,0.36,31.68
2017-08-18,88,36.0,,0.36,31.68
2017-08-19,97,36.0,,0.36,34.92
2017-08-20,94,36.0,,0.36,33.839999999999996
2017-08-21,100,36.0,,0.36,36.0
2017-08-22,87,36.0,,0.36,31.32
2017-08-23,87,36.0,,0.36,31.32
2017-08-24,82,36.0,,0.36,29.52
2017-08-25,83,36.0,,0.36,29.88
2017-08-26,90,36.0,,0.36,32.4
2017-08-27,84,36.0,,0.36,30.24
2017-08-28,93,36.0,,0.36,33.48
2017-08-29,84,36.0,,0.36,30.24
2017-08-30,84,36.0,,0.36,30.24
2017-08-31,86,36.0,,0.36,30.959999999999997
2017-09-01,92,32.0,False,0.32,29.44
2017-09-02,97,32.0,,0.32,31.04
2017-09-03,100,32.0,,0.32,32.0
2017-09-04,94,32.0,,0.32,30.080000000000002
2017-09-05,83,32.0,,0.32,26.560000000000002
2017-09-06,83,32.0,,0.32,26.560000000000002
2017-09-07,83,32.0,,0.32,26.560000000000002
2017-09-08,82,32.0,,0.32,26.240000000000002
2017-09-09,87,32.0,,0.32,27.84
2017-09-10,91,32.0,,0.32,29.12
2017-09-11,81,32.0,,0.32,25.92
2017-09-12,85,32.0,,0.32,27.2
2017-09-13,87,32.0,,0.32,27.84
2017-09-14,86,32.0,,0.32,27.52
2017-09-15,85,32.0,,0.32,27.2
2017-09-16,94,32.0,,0.32,30.080000000000002
2017-09-17,95,32.0,,0.32,30.400000000000002
2017-09-18,84,32.0,,0.32,26.88
2017-09-19,84,32.0,,0.32,26.88
2017-09-20,85,32.0,,0.32,27.2
2017-09-21,86,32.0,,0.32,27.52
2017-09-22,92,32.0,,0.32,29.44
2017-09-23,96,32.0,,0.32,30.72
2017-09-24,94,32.0,,0.32,30.080000000000002
2017-09-25,86,32.0,,0.32,27.52
2017-09-26,89,32.0,,0.32,28.48
2017-09-27,86,32.0,,0.32,27.52
2017-09-28,86,32.0,,0.32,27.52
2017-09-29,87,32.0,,0.32,27.84
2017-09-30,92,32.0,,0.32,29.44
2017-10-01,100,32.0,False,0.32,32.0
2017-10-02,86,32.0,,0.32,27.52
2017-10-03,89,32.0,,0.32,28.48
2017-10-04,92,32.0,,0.32,29.44
2017-10-05,91,32.0,,0.32,29.12
2017-10-06,90,32.0,,0.32,28.8
2017-10-07,91,32.0,,0.32,29.12
2017-10-08,97,32.0,,0.32,31.04
2017-10-09,90,32.0,,0.32,28.8
2017-10-10,88,32.0,,0.32,28.16
2017-10-11,91,32.0,,0.32,29.12
2017-10-12,89,32.0,,0.32,28.48
2017-10-13,90,32.0,,0.32,28.8
2017-10-14,95,32.0,,0.32,30.400000000000002
2017-10-15,94,32.0,,0.32,30.080000000000002
2017-10-16,88,32.0,,0.32,28.16
2017-10-17,90,32.0,,0.32,28.8
2017-10-18,89,32.0,,0.32,28.48
2017-10-19,95,32.0,,0.32,30.400000000000002
2017-10-20,91,32.0,,0.32,29.12
2017-10-21,96,32.0,,0.32,30.72
2017-10-22,99,32.0,,0.32,31.68
2017-10-23,91,32.0,,0.32,29.12
2017-10-24,91,32.0,,0.32,29.12
2017-10-25,91,32.0,,0.32,29.12
2017-10-26,89,32.0,,0.32,28.48
2017-10-27,89,32.0,,0.32,28.48
2017-10-28,92,32.0,,0.32,29.44
2017-10-29,90,32.0,,0.32,28.8
2017-10-30,90,32.0,,0.32,28.8
2017-10-31,89,32.0,,0.32,28.48
2017-11-01,87,32.0,False,0.32,27.84
2017-11-02,90,32.0,,0.32,28.8
2017-11-03,90,32.0,,0.32,28.8
2017-11-04,95,32.0,,0.32,30.400000000000002
2017-11-05,100,32.0,,0.32,32.0
2017-11-06,90,32.0,,0.32,28.8
2017-11-07,90,32.0,,0.32,28.8
2017-11-08,88,32.0,,0.32,28.16
2017-11-09,86,32.0,,0.32,27.52
2017-11-10,91,32.0,,0.32,29.12
2017-11-11,93,32.0,,0.32,29.76
2017-11-12,94,32.0,,0.32,30.080000000000002
2017-11-13,87,32.0,,0.32,27.84
2017-11-14,88,32.0,,0.32,28.16
2017-11-15,89,32.0,,0.32,28.48
2017-11-16,88,32.0,,0.32,28.16
2017-11-17,92,32.0,,0.32,29.44
2017-11-18,90,32.0,,0.32,28.8
2017-11-19,95,32.0,,0.32,30.400000000000002
2017-11-20,91,32.0,,0.32,29.12
2017-11-21,94,32.0,,0.32,30.080000000000002
2017-11-22,87,32.0,,0.32,27.84
2017-11-23,93,32.0,,0.32,29.76
2017-11-24,93,32.0,,0.32,29.76
2017-11-25,100,32.0,,0.32,32.0
2017-11-26,99,32.0,,0.32,31.68
2017-11-27,92,32.0,,0.32,29.44
2017-11-28,93,32.0,,0.32,29.76
2017-11-29,88,32.0,,0.32,28.16
2017-11-30,90,32.0,,0.32,28.8
2017-12-01,87,33.0,False,0.33,28.71
2017-12-02,94,33.0,,0.33,31.020000000000003
2017-12-03,96,33.0,,0.33,31.68
2017-12-04,90,33.0,,0.33,29.700000000000003
2017-12-05,87,33.0,,0.33,28.71
2017-12-06,89,33.0,,0.33,29.37
2017-12-07,90,33.0,,0.33,29.700000000000003
2017-12-08,90,33.0,,0.33,29.700000000000003
2017-12-09,99,33.0,,0.33,32.67
2017-12-10,100,33.0,,0.33,33.0
2017-12-11,90,33.0,,0.33,29.700000000000003
2017-12-12,93,33.0,,0.33,30.69
2017-12-13,87,33.0,,0.33,28.71
2017-12-14,90,33.0,,0.33,29.700000000000003
2017-12-15,89,33.0,,0.33,29.37
2017-12-16,93,33.0,,0.33,30.69
2017-12-17,91,33.0,,0.33,30.03
2017-12-18,85,33.0,,0.33,28.05
2017-12-19,85,33.0,,0.33,28.05
2017-12-20,89,33.0,,0.33,29.37
2017-12-21,90,33.0,,0.33,29.700000000000003
2017-12-22,94,33.0,,0.33,31.020000000000003
