date,TLT_unscaled,TLT_monthly,isPartial,scale,TLT
2016-07-20,56,34.0,,0.34,19.040000000000003
2016-07-21,34,34.0,,0.34,11.56
2016-07-22,38,34.0,,0.34,12.920000000000002
2016-07-23,17,34.0,,0.34,5.78
2016-07-24,17,34.0,,0.34,5.78
2016-07-25,36,34.0,,0.34,12.24
2016-07-26,58,34.0,,0.34,19.720000000000002
2016-07-27,40,34.0,,0.34,13.600000000000001
2016-07-28,32,34.0,,0.34,10.88
2016-07-29,41,34.0,,0.34,13.940000000000001
2016-07-30,8,34.0,,0.34,2.72
2016-07-31,17,34.0,,0.34,5.78
2016-08-01,51,27.0,False,0.27,13.770000000000001
2016-08-02,57,27.0,,0.27,15.39
2016-08-03,52,27.0,,0.27,14.040000000000001
2016-08-04,95,27.0,,0.27,25.650000000000002
2016-08-05,82,27.0,,0.27,22.14
2016-08-06,22,27.0,,0.27,5.94
2016-08-07,28,27.0,,0.27,7.5600000000000005
2016-08-08,100,27.0,,0.27,27.0
2016-08-09,72,27.0,,0.27,19.44
2016-08-10,24,27.0,,0.27,6.48
2016-08-11,38,27.0,,0.27,10.260000000000002
2016-08-12,68,27.0,,0.27,18.36
2016-08-13,14,27.0,,0.27,3.7800000000000002
2016-08-14,21,27.0,,0.27,5.67
2016-08-15,61,27.0,,0.27,16.470000000000002
2016-08-16,67,27.0,,0.27,18.09
2016-08-17,61,27.0,,0.27,16.470000000000002
2016-08-18,38,27.0,,0.27,10.260000000000002
2016-08-19,57,27.0,,0.27,15.39
2016-08-20,22,27.0,,0.27,5.94
2016-08-21,73,27.0,,0.27,19.71
2016-08-22,49,27.0,,0.27,13.23
2016-08-23,42,27.0,,0.27,11.34
2016-08-24,30,27.0,,0.27,8.100000000000001
2016-08-25,51,27.0,,0.27,13.770000000000001
2016-08-26,58,27.0,,0.27,15.66
2016-08-27,40,27.0,,0.27,10.8
2016-08-28,40,27.0,,0.27,10.8
2016-08-29,72,27.0,,0.27,19.44
2016-08-30,39,27.0,,0.27,10.530000000000001
2016-08-31,33,27.0,,0.27,8.91
2016-09-01,61,28.0,False,0.28,17.080000000000002
2016-09-02,63,28.0,,0.28,17.64
2016-09-03,44,28.0,,0.28,12.32
2016-09-04,30,28.0,,0.28,8.4
2016-09-05,14,28.0,,0.28,3.9200000000000004
2016-09-06,79,28.0,,0.28,22.12
2016-09-07,100,28.0,,0.28,28.000000000000004
2016-09-08,54,28.0,,0.28,15.120000000000001
2016-09-09,37,28.0,,0.28,10.360000000000001
2016-09-10,36,28.0,,0.28,10.080000000000002
2016-09-11,48,28.0,,0.28,13.440000000000001
2016-09-12,59,28.0,,0.28,16.520000000000003
2016-09-13,71,28.0,,0.28,19.880000000000003
2016-09-14,36,28.0,,0.28,10.080000000000002
2016-09-15,66,28.0,,0.28,18.48
2016-09-16,68,28.0,,0.28,19.040000000000003
2016-09-17,21,28.0,,0.28,5.880000000000001
2016-09-18,34,28.0,,0.28,9.520000000000001
2016-09-19,70,28.0,,0.28,19.6
2016-09-20,36,28.0,,0.28,10.080000000000002
2016-09-21,71,28.0,,0.28,19.880000000000003
2016-09-22,61,28.0,,0.28,17.080000000000002
2016-09-23,93,28.0,,0.28,26.040000000000003
2016-09-24,51,28.0,,0.28,14.280000000000001
2016-09-25,56,28.0,,0.28,15.680000000000001
2016-09-26,71,28.0,,0.28,19.880000000000003
2016-09-27,66,28.0,,0.28,18.48
2016-09-28,96,28.0,,0.28,26.880000000000003
2016-09-29,30,28.0,,0.28,8.4
2016-09-30,75,28.0,,0.28,21.000000000000004
2016-10-01,27,25.0,False,0.25,6.75
2016-10-02,33,25.0,,0.25,8.25
2016-10-03,49,25.0,,0.25,12.25
2016-10-04,50,25.0,,0.25,12.5
2016-10-05,66,25.0,,0.25,16.5
2016-10-06,78,25.0,,0.25,19.5
2016-10-07,57,25.0,,0.25,14.25
2016-10-08,34,25.0,,0.25,8.5
2016-10-09,20,25.0,,0.25,5.0
2016-10-10,39,25.0,,0.25,9.75
2016-10-11,51,25.0,,0.25,12.75
2016-10-12,73,25.0,,0.25,18.25
2016-10-13,34,25.0,,0.25,8.5
2016-10-14,88,25.0,,0.25,22.0
2016-10-15,28,25.0,,0.25,7.0
2016-10-16,33,25.0,,0.25,8.25
2016-10-17,100,25.0,,0.25,25.0
2016-10-18,55,25.0,,0.25,13.75
2016-10-19,56,25.0,,0.25,14.0
2016-10-20,73,25.0,,0.25,18.25
2016-10-21,51,25.0,,0.25,12.75
2016-10-22,35,25.0,,0.25,8.75
2016-10-23,27,25.0,,0.25,6.75
2016-10-24,49,25.0,,0.25,12.25
2016-10-25,44,25.0,,0.25,11.0
2016-10-26,60,25.0,,0.25,15.0
2016-10-27,39,25.0,,0.25,9.75
2016-10-28,70,25.0,,0.25,17.5
2016-10-29,20,25.0,,0.25,5.0
2016-10-30,33,25.0,,0.25,8.25
2016-10-31,44,25.0,,0.25,11.0
2016-11-01,37,36.0,False,0.36,13.32
2016-11-02,50,36.0,,0.36,18.0
2016-11-03,34,36.0,,0.36,12.24
2016-11-04,49,36.0,,0.36,17.64
2016-11-05,19,36.0,,0.36,6.84
2016-11-06,28,36.0,,0.36,10.08
2016-11-07,42,36.0,,0.36,15.12
2016-11-08,26,36.0,,0.36,9.36
2016-11-09,84,36.0,,0.36,30.24
2016-11-10,100,36.0,,0.36,36.0
2016-11-11,90,36.0,,0.36,32.4
2016-11-12,33,36.0,,0.36,11.879999999999999
2016-11-13,32,36.0,,0.36,11.52
2016-11-14,62,36.0,,0.36,22.32
2016-11-15,70,36.0,,0.36,25.2
2016-11-16,90,36.0,,0.36,32.4
2016-11-17,60,36.0,,0.36,21.599999999999998
2016-11-18,81,36.0,,0.36,29.16
2016-11-19,24,36.0,,0.36,8.64
2016-11-20,23,36.0,,0.36,8.28
2016-11-21,47,36.0,,0.36,16.919999999999998
2016-11-22,61,36.0,,0.36,21.96
2016-11-23,72,36.0,,0.36,25.919999999999998
2016-11-24,14,36.0,,0.36,5.04
2016-11-25,13,36.0,,0.36,4.68
2016-11-26,27,36.0,,0.36,9.719999999999999
2016-11-27,27,36.0,,0.36,9.719999999999999
2016-11-28,61,36.0,,0.36,21.96
2016-11-29,44,36.0,,0.36,15.84
2016-11-30,74,36.0,,0.36,26.64
2016-12-01,100,35.0,False,0.35,35.0
2016-12-02,69,35.0,,0.35,24.15
2016-12-03,34,35.0,,0.35,11.899999999999999
2016-12-04,20,35.0,,0.35,7.0
2016-12-05,35,35.0,,0.35,12.25
2016-12-06,64,35.0,,0.35,22.4
2016-12-07,67,35.0,,0.35,23.45
2016-12-08,71,35.0,,0.35,24.849999999999998
2016-12-09,60,35.0,,0.35,21.0
2016-12-10,36,35.0,,0.35,12.6
2016-12-11,54,35.0,,0.35,18.9
2016-12-12,69,35.0,,0.35,24.15
2016-12-13,62,35.0,,0.35,21.7
2016-12-14,96,35.0,,0.35,33.599999999999994
2016-12-15,87,35.0,,0.35,30.45
2016-12-16,38,35.0,,0.35,13.299999999999999
2016-12-17,13,35.0,,0.35,4.55
2016-12-18,17,35.0,,0.35,5.949999999999999
2016-12-19,56,35.0,,0.35,19.599999999999998
2016-12-20,42,35.0,,0.35,14.7
2016-12-21,35,35.0,,0.35,12.25
2016-12-22,65,35.0,,0.35,22.75
2016-12-23,45,35.0,,0.35,15.749999999999998
2016-12-24,28,35.0,,0.35,9.799999999999999
2016-12-25,20,35.0,,0.35,7.0
2016-12-26,13,35.0,,0.35,4.55
2016-12-27,39,35.0,,0.35,13.649999999999999
2016-12-28,47,35.0,,0.35,16.45
2016-12-29,23,35.0,,0.35,8.049999999999999
2016-12-30,28,35.0,,0.35,9.799999999999999
2016-12-31,4,35.0,,0.35,1.4
2017-01-01,31,27.0,False,0.27,8.370000000000001
2017-01-02,40,27.0,,0.27,10.8
2017-01-03,62,27.0,,0.27,16.740000000000002
2017-01-04,100,27.0,,0.27,27.0
2017-01-05,71,27.0,,0.27,19.17
2017-01-06,76,27.0,,0.27,20.520000000000003
2017-01-07,36,27.0,,0.27,9.72
2017-01-08,36,27.0,,0.27,9.72
2017-01-09,61,27.0,,0.27,16.470000000000002
2017-01-10,48,27.0,,0.27,12.96
2017-01-11,92,27.0,,0.27,24.840000000000003
2017-01-12,74,27.0,,0.27,19.98
2017-01-13,69,27.0,,0.27,18.630000000000003
2017-01-14,29,27.0,,0.27,7.83
2017-01-15,56,27.0,,0.27,15.120000000000001
2017-01-16,56,27.0,,0.27,15.120000000000001
2017-01-17,48,27.0,,0.27,12.96
2017-01-18,72,27.0,,0.27,19.44
2017-01-19,91,27.0,,0.27,24.57
2017-01-20,60,27.0,,0.27,16.200000000000003
2017-01-21,71,27.0,,0.27,19.17
2017-01-22,27,27.0,,0.27,7.290000000000001
2017-01-23,81,27.0,,0.27,21.87
2017-01-24,60,27.0,,0.27,16.200000000000003
2017-01-25,66,27.0,,0.27,17.82
2017-01-26,65,27.0,,0.27,17.55
2017-01-27,86,27.0,,0.27,23.220000000000002
2017-01-28,43,27.0,,0.27,11.610000000000001
2017-01-29,57,27.0,,0.27,15.39
2017-01-30,76,27.0,,0.27,20.520000000000003
2017-01-31,65,27.0,,0.27,17.55
2017-02-01,53,29.0,False,0.29,15.37
2017-02-02,63,29.0,,0.29,18.27
2017-02-03,75,29.0,,0.29,21.75
2017-02-04,60,29.0,,0.29,17.4
2017-02-05,32,29.0,,0.29,9.28
2017-02-06,44,29.0,,0.29,12.76
2017-02-07,36,29.0,,0.29,10.44
2017-02-08,91,29.0,,0.29,26.389999999999997
2017-02-09,69,29.0,,0.29,20.009999999999998
2017-02-10,19,29.0,,0.29,5.51
2017-02-11,28,29.0,,0.29,8.12
2017-02-12,44,29.0,,0.29,12.76
2017-02-13,35,29.0,,0.29,10.149999999999999
2017-02-14,59,29.0,,0.29,17.11
2017-02-15,65,29.0,,0.29,18.849999999999998
2017-02-16,100,29.0,,0.29,28.999999999999996
2017-02-17,73,29.0,,0.29,21.169999999999998
2017-02-18,49,29.0,,0.29,14.209999999999999
2017-02-19,23,29.0,,0.29,6.67
2017-02-20,43,29.0,,0.29,12.469999999999999
2017-02-21,63,29.0,,0.29,18.27
2017-02-22,40,29.0,,0.29,11.6
2017-02-23,59,29.0,,0.29,17.11
2017-02-24,47,29.0,,0.29,13.629999999999999
2017-02-25,32,29.0,,0.29,9.28
2017-02-26,21,29.0,,0.29,6.09
2017-02-27,71,29.0,,0.29,20.59
2017-02-28,68,29.0,,0.29,19.72
2017-03-01,48,36.0,False,0.36,17.28
2017-03-02,54,36.0,,0.36,19.439999999999998
2017-03-03,57,36.0,,0.36,20.52
2017-03-04,46,36.0,,0.36,16.56
2017-03-05,31,36.0,,0.36,11.16
2017-03-06,53,36.0,,0.36,19.08
2017-03-07,79,36.0,,0.36,28.439999999999998
2017-03-08,89,36.0,,0.36,32.04
2017-03-09,76,36.0,,0.36,27.36
2017-03-10,95,36.0,,0.36,34.199999999999996
2017-03-11,66,36.0,,0.36,23.759999999999998
2017-03-12,24,36.0,,0.36,8.64
2017-03-13,100,36.0,,0.36,36.0
2017-03-14,51,36.0,,0.36,18.36
2017-03-15,78,36.0,,0.36,28.08
2017-03-16,83,36.0,,0.36,29.88
2017-03-17,50,36.0,,0.36,18.0
2017-03-18,62,36.0,,0.36,22.32
2017-03-19,46,36.0,,0.36,16.56
2017-03-20,56,36.0,,0.36,20.16
2017-03-21,95,36.0,,0.36,34.199999999999996
2017-03-22,61,36.0,,0.36,21.96
2017-03-23,35,36.0,,0.36,12.6
2017-03-24,49,36.0,,0.36,17.64
2017-03-25,42,36.0,,0.36,15.12
2017-03-26,21,36.0,,0.36,7.56
2017-03-27,64,36.0,,0.36,23.04
2017-03-28,57,36.0,,0.36,20.52
2017-03-29,39,36.0,,0.36,14.04
2017-03-30,84,36.0,,0.36,30.24
2017-03-31,87,36.0,,0.36,31.32
2017-04-01,39,25.0,False,0.25,9.75
2017-04-02,39,25.0,,0.25,9.75
2017-04-03,85,25.0,,0.25,21.25
2017-04-04,48,25.0,,0.25,12.0
2017-04-05,48,25.0,,0.25,12.0
2017-04-06,65,25.0,,0.25,16.25
2017-04-07,89,25.0,,0.25,22.25
2017-04-08,73,25.0,,0.25,18.25
2017-04-09,20,25.0,,0.25,5.0
2017-04-10,76,25.0,,0.25,19.0
2017-04-11,50,25.0,,0.25,12.5
2017-04-12,88,25.0,,0.25,22.0
2017-04-13,100,25.0,,0.25,25.0
2017-04-14,71,25.0,,0.25,17.75
2017-04-15,27,25.0,,0.25,6.75
2017-04-16,42,25.0,,0.25,10.5
2017-04-17,50,25.0,,0.25,12.5
2017-04-18,43,25.0,,0.25,10.75
2017-04-19,92,25.0,,0.25,23.0
2017-04-20,60,25.0,,0.25,15.0
2017-04-21,34,25.0,,0.25,8.5
2017-04-22,27,25.0,,0.25,6.75
2017-04-23,66,25.0,,0.25,16.5
2017-04-24,48,25.0,,0.25,12.0
2017-04-25,54,25.0,,0.25,13.5
2017-04-26,53,25.0,,0.25,13.25
2017-04-27,48,25.0,,0.25,12.0
2017-04-28,44,25.0,,0.25,11.0
2017-04-29,13,25.0,,0.25,3.25
2017-04-30,20,25.0,,0.25,5.0
2017-05-01,70,26.0,False,0.26,18.2
2017-05-02,50,26.0,,0.26,13.0
2017-05-03,41,26.0,,0.26,10.66
2017-05-04,73,26.0,,0.26,18.98
2017-05-05,91,26.0,,0.26,23.66
2017-05-06,50,26.0,,0.26,13.0
2017-05-07,44,26.0,,0.26,11.440000000000001
2017-05-08,52,26.0,,0.26,13.52
2017-05-09,46,26.0,,0.26,11.96
2017-05-10,62,26.0,,0.26,16.12
2017-05-11,63,26.0,,0.26,16.38
2017-05-12,71,26.0,,0.26,18.46
2017-05-13,32,26.0,,0.26,8.32
2017-05-14,20,26.0,,0.26,5.2
2017-05-15,27,26.0,,0.26,7.0200000000000005
2017-05-16,33,26.0,,0.26,8.58
2017-05-17,83,26.0,,0.26,21.580000000000002
2017-05-18,61,26.0,,0.26,15.860000000000001
2017-05-19,34,26.0,,0.26,8.84
2017-05-20,54,26.0,,0.26,14.040000000000001
2017-05-21,20,26.0,,0.26,5.2
2017-05-22,61,26.0,,0.26,15.860000000000001
2017-05-23,48,26.0,,0.26,12.48
2017-05-24,100,26.0,,0.26,26.0
2017-05-25,39,26.0,,0.26,10.14
2017-05-26,30,26.0,,0.26,7.800000000000001
2017-05-27,57,26.0,,0.26,14.82
2017-05-28,28,26.0,,0.26,7.28
2017-05-29,32,26.0,,0.26,8.32
2017-05-30,49,26.0,,0.26,12.74
2017-05-31,54,26.0,,0.26,14.040000000000001
2017-06-01,46,27.0,False,0.27,12.420000000000002
2017-06-02,37,27.0,,0.27,9.99
2017-06-03,35,27.0,,0.27,9.450000000000001
2017-06-04,55,27.0,,0.27,14.850000000000001
2017-06-05,62,27.0,,0.27,16.740000000000002
2017-06-06,50,27.0,,0.27,13.5
2017-06-07,79,27.0,,0.27,21.330000000000002
2017-06-08,57,27.0,,0.27,15.39
2017-06-09,30,27.0,,0.27,8.100000000000001
2017-06-10,28,27.0,,0.27,7.5600000000000005
2017-06-11,42,27.0,,0.27,11.34
2017-06-12,28,27.0,,0.27,7.5600000000000005
2017-06-13,39,27.0,,0.27,10.530000000000001
2017-06-14,96,27.0,,0.27,25.92
2017-06-15,100,27.0,,0.27,27.0
2017-06-16,77,27.0,,0.27,20.790000000000003
2017-06-17,28,27.0,,0.27,7.5600000000000005
2017-06-18,28,27.0,,0.27,7.5600000000000005
2017-06-19,52,27.0,,0.27,14.040000000000001
2017-06-20,87,27.0,,0.27,23.490000000000002
2017-06-21,99,27.0,,0.27,26.73
2017-06-22,50,27.0,,0.27,13.5
2017-06-23,50,27.0,,0.27,13.5
2017-06-24,46,27.0,,0.27,12.420000000000002
2017-06-25,28,27.0,,0.27,7.5600000000000005
2017-06-26,64,27.0,,0.27,17.28
2017-06-27,65,27.0,,0.27,17.55
2017-06-28,73,27.0,,0.27,19.71
2017-06-29,61,27.0,,0.27,16.470000000000002
2017-06-30,44,27.0,,0.27,11.88
2017-07-01,54,24.0,False,0.24,12.959999999999999
2017-07-02,19,24.0,,0.24,4.56
2017-07-03,100,24.0,,0.24,24.0
2017-07-04,45,24.0,,0.24,10.799999999999999
2017-07-05,73,24.0,,0.24,17.52
2017-07-06,61,24.0,,0.24,14.639999999999999
2017-07-07,85,24.0,,0.24,20.4
2017-07-08,27,24.0,,0.24,6.4799999999999995
2017-07-09,27,24.0,,0.24,6.4799999999999995
2017-07-10,68,24.0,,0.24,16.32
2017-07-11,84,24.0,,0.24,20.16
2017-07-12,76,24.0,,0.24,18.24
2017-07-13,77,24.0,,0.24,18.48
2017-07-14,70,24.0,,0.24,16.8
2017-07-15,63,24.0,,0.24,15.12
2017-07-16,27,24.0,,0.24,6.4799999999999995
2017-07-17,53,24.0,,0.24,12.719999999999999
2017-07-18,91,24.0,,0.24,21.84
2017-07-19,92,24.0,,0.24,22.08
2017-07-20,60,24.0,,0.24,14.399999999999999
2017-07-21,78,24.0,,0.24,18.72
2017-07-22,44,24.0,,0.24,10.559999999999999
2017-07-23,62,24.0,,0.24,14.879999999999999
2017-07-24,76,24.0,,0.24,18.24
2017-07-25,98,24.0,,0.24,23.52
2017-07-26,82,24.0,,0.24,19.68
2017-07-27,98,24.0,,0.24,23.52
2017-07-28,23,24.0,,0.24,5.52
2017-07-29,44,24.0,,0.24,10.559999999999999
2017-07-30,18,24.0,,0.24,4.32
2017-07-31,61,24.0,,0.24,14.639999999999999
2017-08-01,32,22.0,False,0.22,7.04
2017-08-02,100,22.0,,0.22,22.0
2017-08-03,58,22.0,,0.22,12.76
2017-08-04,68,22.0,,0.22,14.96
2017-08-05,31,22.0,,0.22,6.82
2017-08-06,24,22.0,,0.22,5.28
2017-08-07,77,22.0,,0.22,16.94
2017-08-08,88,22.0,,0.22,19.36
2017-08-09,52,22.0,,0.22,11.44
2017-08-10,41,22.0,,0.22,9.02
2017-08-11,55,22.0,,0.22,12.1
2017-08-12,69,22.0,,0.22,15.18
2017-08-13,31,22.0,,0.22,6.82
2017-08-14,20,22.0,,0.22,4.4
2017-08-15,80,22.0,,0.22,17.6
2017-08-16,40,22.0,,0.22,8.8
2017-08-17,80,22.0,,0.22,17.6
2017-08-18,80,22.0,,0.22,17.6
2017-08-19,23,22.0,,0.22,5.06
2017-08-20,15,22.0,,0.22,3.3
2017-08-21,50,22.0,,0.22,11.0
2017-08-22,46,22.0,,0.22,10.12
2017-08-23,33,22.0,,0.22,7.26
2017-08-24,39,22.0,,0.22,8.58
2017-08-25,60,22.0,,0.22,13.2
2017-08-26,8,22.0,,0.22,1.76
2017-08-27,43,22.0,,0.22,9.46
2017-08-28,79,22.0,,0.22,17.38
2017-08-29,51,22.0,,0.22,11.22
2017-08-30,71,22.0,,0.22,15.62
2017-08-31,52,22.0,,0.22,11.44
2017-09-01,77,19.0,False,0.19,14.63
2017-09-02,58,19.0,,0.19,11.02
2017-09-03,49,19.0,,0.19,9.31
2017-09-04,64,19.0,,0.19,12.16
2017-09-05,95,19.0,,0.19,18.05
2017-09-06,92,19.0,,0.19,17.48
2017-09-07,47,19.0,,0.19,8.93
2017-09-08,80,19.0,,0.19,15.2
2017-09-09,9,19.0,,0.19,1.71
2017-09-10,28,19.0,,0.19,5.32
2017-09-11,64,19.0,,0.19,12.16
2017-09-12,72,19.0,,0.19,13.68
2017-09-13,56,19.0,,0.19,10.64
2017-09-14,57,19.0,,0.19,10.83
2017-09-15,33,19.0,,0.19,6.2700000000000005
2017-09-16,58,19.0,,0.19,11.02
2017-09-17,29,19.0,,0.19,5.51
2017-09-18,40,19.0,,0.19,7.6
2017-09-19,48,19.0,,0.19,9.120000000000001
2017-09-20,87,19.0,,0.19,16.53
2017-09-21,89,19.0,,0.19,16.91
2017-09-22,100,19.0,,0.19,19.0
2017-09-23,59,19.0,,0.19,11.21
2017-09-24,38,19.0,,0.19,7.22
2017-09-25,40,19.0,,0.19,7.6
2017-09-26,72,19.0,,0.19,13.68
2017-09-27,73,19.0,,0.19,13.870000000000001
2017-09-28,24,19.0,,0.19,4.5600000000000005
2017-09-29,58,19.0,,0.19,11.02
2017-09-30,20,19.0,,0.19,3.8
2017-10-01,34,22.0,False,0.22,7.48
2017-10-02,43,22.0,,0.22,9.46
2017-10-03,60,22.0,,0.22,13.2
2017-10-04,39,22.0,,0.22,8.58
2017-10-05,45,22.0,,0.22,9.9
2017-10-06,46,22.0,,0.22,10.12
2017-10-07,40,22.0,,0.22,8.8
2017-10-08,33,22.0,,0.22,7.26
2017-10-09,33,22.0,,0.22,7.26
2017-10-10,54,22.0,,0.22,11.88
2017-10-11,50,22.0,,0.22,11.0
2017-10-12,67,22.0,,0.22,14.74
2017-10-13,40,22.0,,0.22,8.8
2017-10-14,40,22.0,,0.22,8.8
2017-10-15,20,22.0,,0.22,4.4
2017-10-16,22,22.0,,0.22,4.84
2017-10-17,67,22.0,,0.22,14.74
2017-10-18,56,22.0,,0.22,12.32
2017-10-19,52,22.0,,0.22,11.44
2017-10-20,82,22.0,,0.22,18.04
2017-10-21,21,22.0,,0.22,4.62
2017-10-22,40,22.0,,0.22,8.8
2017-10-23,77,22.0,,0.22,16.94
2017-10-24,38,22.0,,0.22,8.36
2017-10-25,100,22.0,,0.22,22.0
2017-10-26,28,22.0,,0.22,6.16
2017-10-27,69,22.0,,0.22,15.18
2017-10-28,41,22.0,,0.22,9.02
2017-10-29,26,22.0,,0.22,5.72
2017-10-30,55,22.0,,0.22,12.1
2017-10-31,51,22.0,,0.22,11.22
2017-11-01,100,21.0,False,0.21,21.0
2017-11-02,65,21.0,,0.21,13.65
2017-11-03,37,21.0,,0.21,7.77
2017-11-04,18,21.0,,0.21,3.78
2017-11-05,18,21.0,,0.21,3.78
2017-11-06,40,21.0,,0.21,8.4
2017-11-07,51,21.0,,0.21,10.709999999999999
2017-11-08,40,21.0,,0.21,8.4
2017-11-09,61,21.0,,0.21,12.809999999999999
2017-11-10,82,21.0,,0.21,17.22
2017-11-11,12,21.0,,0.21,2.52
2017-11-12,18,21.0,,0.21,3.78
2017-11-13,85,21.0,,0.21,17.849999999999998
2017-11-14,40,21.0,,0.21,8.4
2017-11-15,41,21.0,,0.21,8.61
2017-11-16,71,21.0,,0.21,14.91
2017-11-17,52,21.0,,0.21,10.92
2017-11-18,6,21.0,,0.21,1.26
2017-11-19,12,21.0,,0.21,2.52
2017-11-20,31,21.0,,0.21,6.51
2017-11-21,37,21.0,,0.21,7.77
2017-11-22,22,21.0,,0.21,4.62
2017-11-23,18,21.0,,0.21,3.78
2017-11-24,23,21.0,,0.21,4.83
2017-11-25,18,21.0,,0.21,3.78
2017-11-26,59,21.0,,0.21,12.389999999999999
2017-11-27,33,21.0,,0.21,6.93
2017-11-28,54,21.0,,0.21,11.34
2017-11-29,30,21.0,,0.21,6.3
2017-11-30,56,21.0,,0.21,11.76
2017-12-01,58,20.0,False,0.2,11.600000000000001
2017-12-02,31,20.0,,0.2,6.2
2017-12-03,38,20.0,,0.2,7.6000000000000005
2017-12-04,95,20.0,,0.2,19.0
2017-12-05,63,20.0,,0.2,12.600000000000001
2017-12-06,45,20.0,,0.2,9.0
2017-12-07,71,20.0,,0.2,14.200000000000001
2017-12-08,73,20.0,,0.2,14.600000000000001
2017-12-09,31,20.0,,0.2,6.2
2017-12-10,31,20.0,,0.2,6.2
2017-12-11,57,20.0,,0.2,11.4
2017-12-12,57,20.0,,0.2,11.4
2017-12-13,51,20.0,,0.2,10.200000000000001
2017-12-14,33,20.0,,0.2,6.6000000000000005
2017-12-15,61,20.0,,0.2,12.200000000000001
2017-12-16,32,20.0,,0.2,6.4
2017-12-17,47,20.0,,0.2,9.4
2017-12-18,20,20.0,,0.2,4.0
2017-12-19,81,20.0,,0.2,16.2
2017-12-20,70,20.0,,0.2,14.0
2017-12-21,100,20.0,,0.2,20.0
2017-12-22,45,20.0,,0.2,9.0
2017-12-23,8,20.0,,0.2,1.6
