date,GPRO_unscaled,GPRO_monthly,isPartial,scale,GPRO
2016-06-30,65,66.0,,0.66,42.9
2016-07-01,18,67.0,False,0.67,12.06
2016-07-02,12,67.0,,0.67,8.040000000000001
2016-07-03,4,67.0,,0.67,2.68
2016-07-04,5,67.0,,0.67,3.35
2016-07-05,29,67.0,,0.67,19.43
2016-07-06,22,67.0,,0.67,14.74
2016-07-07,23,67.0,,0.67,15.41
2016-07-08,30,67.0,,0.67,20.1
2016-07-09,3,67.0,,0.67,2.0100000000000002
2016-07-10,9,67.0,,0.67,6.03
2016-07-11,58,67.0,,0.67,38.86
2016-07-12,60,67.0,,0.67,40.2
2016-07-13,31,67.0,,0.67,20.77
2016-07-14,41,67.0,,0.67,27.470000000000002
2016-07-15,44,67.0,,0.67,29.48
2016-07-16,19,67.0,,0.67,12.73
2016-07-17,9,67.0,,0.67,6.03
2016-07-18,25,67.0,,0.67,16.75
2016-07-19,47,67.0,,0.67,31.490000000000002
2016-07-20,39,67.0,,0.67,26.130000000000003
2016-07-21,46,67.0,,0.67,30.82
2016-07-22,23,67.0,,0.67,15.41
2016-07-23,8,67.0,,0.67,5.36
2016-07-24,3,67.0,,0.67,2.0100000000000002
2016-07-25,40,67.0,,0.67,26.8
2016-07-26,28,67.0,,0.67,18.76
2016-07-27,100,67.0,,0.67,67.0
2016-07-28,76,67.0,,0.67,50.92
2016-07-29,47,67.0,,0.67,31.490000000000002
2016-07-30,10,67.0,,0.67,6.7
2016-07-31,8,67.0,,0.67,5.36
2016-08-01,47,71.0,False,0.71,33.37
2016-08-02,60,71.0,,0.71,42.599999999999994
2016-08-03,68,71.0,,0.71,48.28
2016-08-04,82,71.0,,0.71,58.22
2016-08-05,55,71.0,,0.71,39.05
2016-08-06,11,71.0,,0.71,7.81
2016-08-07,13,71.0,,0.71,9.23
2016-08-08,79,71.0,,0.71,56.089999999999996
2016-08-09,83,71.0,,0.71,58.93
2016-08-10,73,71.0,,0.71,51.83
2016-08-11,73,71.0,,0.71,51.83
2016-08-12,49,71.0,,0.71,34.79
2016-08-13,10,71.0,,0.71,7.1
2016-08-14,3,71.0,,0.71,2.13
2016-08-15,100,71.0,,0.71,71.0
2016-08-16,85,71.0,,0.71,60.349999999999994
2016-08-17,69,71.0,,0.71,48.989999999999995
2016-08-18,56,71.0,,0.71,39.76
2016-08-19,43,71.0,,0.71,30.529999999999998
2016-08-20,14,71.0,,0.71,9.94
2016-08-21,8,71.0,,0.71,5.68
2016-08-22,53,71.0,,0.71,37.629999999999995
2016-08-23,66,71.0,,0.71,46.86
2016-08-24,72,71.0,,0.71,51.12
2016-08-25,66,71.0,,0.71,46.86
2016-08-26,31,71.0,,0.71,22.009999999999998
2016-08-27,13,71.0,,0.71,9.23
2016-08-28,8,71.0,,0.71,5.68
2016-08-29,54,71.0,,0.71,38.339999999999996
2016-08-30,63,71.0,,0.71,44.73
2016-08-31,40,71.0,,0.71,28.4
2016-09-01,22,100.0,False,1.0,22.0
2016-09-02,24,100.0,,1.0,24.0
2016-09-03,4,100.0,,1.0,4.0
2016-09-04,2,100.0,,1.0,2.0
2016-09-05,2,100.0,,1.0,2.0
2016-09-06,24,100.0,,1.0,24.0
2016-09-07,17,100.0,,1.0,17.0
2016-09-08,19,100.0,,1.0,19.0
2016-09-09,20,100.0,,1.0,20.0
2016-09-10,6,100.0,,1.0,6.0
2016-09-11,2,100.0,,1.0,2.0
2016-09-12,18,100.0,,1.0,18.0
2016-09-13,19,100.0,,1.0,19.0
2016-09-14,20,100.0,,1.0,20.0
2016-09-15,25,100.0,,1.0,25.0
2016-09-16,41,100.0,,1.0,41.0
2016-09-17,20,100.0,,1.0,20.0
2016-09-18,10,100.0,,1.0,10.0
2016-09-19,100,100.0,,1.0,100.0
2016-09-20,69,100.0,,1.0,69.0
2016-09-21,53,100.0,,1.0,53.0
2016-09-22,50,100.0,,1.0,50.0
2016-09-23,63,100.0,,1.0,63.0
2016-09-24,14,100.0,,1.0,14.0
2016-09-25,9,100.0,,1.0,9.0
2016-09-26,36,100.0,,1.0,36.0
2016-09-27,40,100.0,,1.0,40.0
2016-09-28,55,100.0,,1.0,55.0
2016-09-29,46,100.0,,1.0,46.0
2016-09-30,30,100.0,,1.0,30.0
2016-10-01,36,72.0,False,0.72,25.919999999999998
2016-10-02,6,72.0,,0.72,4.32
2016-10-03,90,72.0,,0.72,64.8
2016-10-04,64,72.0,,0.72,46.08
2016-10-05,95,72.0,,0.72,68.39999999999999
2016-10-06,94,72.0,,0.72,67.67999999999999
2016-10-07,60,72.0,,0.72,43.199999999999996
2016-10-08,19,72.0,,0.72,13.68
2016-10-09,16,72.0,,0.72,11.52
2016-10-10,86,72.0,,0.72,61.919999999999995
2016-10-11,57,72.0,,0.72,41.04
2016-10-12,87,72.0,,0.72,62.64
2016-10-13,100,72.0,,0.72,72.0
2016-10-14,79,72.0,,0.72,56.879999999999995
2016-10-15,13,72.0,,0.72,9.36
2016-10-16,13,72.0,,0.72,9.36
2016-10-17,75,72.0,,0.72,54.0
2016-10-18,56,72.0,,0.72,40.32
2016-10-19,73,72.0,,0.72,52.559999999999995
2016-10-20,67,72.0,,0.72,48.239999999999995
2016-10-21,55,72.0,,0.72,39.6
2016-10-22,20,72.0,,0.72,14.399999999999999
2016-10-23,10,72.0,,0.72,7.199999999999999
2016-10-24,95,72.0,,0.72,68.39999999999999
2016-10-25,71,72.0,,0.72,51.12
2016-10-26,69,72.0,,0.72,49.68
2016-10-27,59,72.0,,0.72,42.48
2016-10-28,39,72.0,,0.72,28.08
2016-10-29,16,72.0,,0.72,11.52
2016-10-30,6,72.0,,0.72,4.32
2016-10-31,51,72.0,,0.72,36.72
2016-11-01,24,82.0,False,0.82,19.68
2016-11-02,27,82.0,,0.82,22.139999999999997
2016-11-03,93,82.0,,0.82,76.25999999999999
2016-11-04,100,82.0,,0.82,82.0
2016-11-05,11,82.0,,0.82,9.02
2016-11-06,10,82.0,,0.82,8.2
2016-11-07,32,82.0,,0.82,26.24
2016-11-08,34,82.0,,0.82,27.88
2016-11-09,54,82.0,,0.82,44.279999999999994
2016-11-10,38,82.0,,0.82,31.159999999999997
2016-11-11,15,82.0,,0.82,12.299999999999999
2016-11-12,6,82.0,,0.82,4.92
2016-11-13,7,82.0,,0.82,5.739999999999999
2016-11-14,29,82.0,,0.82,23.779999999999998
2016-11-15,21,82.0,,0.82,17.22
2016-11-16,19,82.0,,0.82,15.579999999999998
2016-11-17,27,82.0,,0.82,22.139999999999997
2016-11-18,17,82.0,,0.82,13.94
2016-11-19,12,82.0,,0.82,9.84
2016-11-20,5,82.0,,0.82,4.1
2016-11-21,17,82.0,,0.82,13.94
2016-11-22,21,82.0,,0.82,17.22
2016-11-23,16,82.0,,0.82,13.12
2016-11-24,9,82.0,,0.82,7.38
2016-11-25,11,82.0,,0.82,9.02
2016-11-26,6,82.0,,0.82,4.92
2016-11-27,5,82.0,,0.82,4.1
2016-11-28,16,82.0,,0.82,13.12
2016-11-29,22,82.0,,0.82,18.04
2016-11-30,29,82.0,,0.82,23.779999999999998
2016-12-01,74,49.0,False,0.49,36.26
2016-12-02,67,49.0,,0.49,32.83
2016-12-03,24,49.0,,0.49,11.76
2016-12-04,22,49.0,,0.49,10.78
2016-12-05,58,49.0,,0.49,28.419999999999998
2016-12-06,75,49.0,,0.49,36.75
2016-12-07,65,49.0,,0.49,31.849999999999998
2016-12-08,48,49.0,,0.49,23.52
2016-12-09,56,49.0,,0.49,27.439999999999998
2016-12-10,21,49.0,,0.49,10.29
2016-12-11,17,49.0,,0.49,8.33
2016-12-12,79,49.0,,0.49,38.71
2016-12-13,83,49.0,,0.49,40.67
2016-12-14,60,49.0,,0.49,29.4
2016-12-15,72,49.0,,0.49,35.28
2016-12-16,36,49.0,,0.49,17.64
2016-12-17,35,49.0,,0.49,17.15
2016-12-18,17,49.0,,0.49,8.33
2016-12-19,71,49.0,,0.49,34.79
2016-12-20,70,49.0,,0.49,34.3
2016-12-21,60,49.0,,0.49,29.4
2016-12-22,100,49.0,,0.49,49.0
2016-12-23,62,49.0,,0.49,30.38
2016-12-24,29,49.0,,0.49,14.209999999999999
2016-12-25,8,49.0,,0.49,3.92
2016-12-26,24,49.0,,0.49,11.76
2016-12-27,43,49.0,,0.49,21.07
2016-12-28,50,49.0,,0.49,24.5
2016-12-29,40,49.0,,0.49,19.6
2016-12-30,42,49.0,,0.49,20.58
2016-12-31,20,49.0,,0.49,9.8
2017-01-01,9,53.0,False,0.53,4.7700000000000005
2017-01-02,15,53.0,,0.53,7.95
2017-01-03,53,53.0,,0.53,28.09
2017-01-04,79,53.0,,0.53,41.870000000000005
2017-01-05,72,53.0,,0.53,38.160000000000004
2017-01-06,73,53.0,,0.53,38.690000000000005
2017-01-07,19,53.0,,0.53,10.07
2017-01-08,21,53.0,,0.53,11.13
2017-01-09,36,53.0,,0.53,19.080000000000002
2017-01-10,50,53.0,,0.53,26.5
2017-01-11,62,53.0,,0.53,32.86
2017-01-12,51,53.0,,0.53,27.03
2017-01-13,56,53.0,,0.53,29.68
2017-01-14,19,53.0,,0.53,10.07
2017-01-15,3,53.0,,0.53,1.59
2017-01-16,21,53.0,,0.53,11.13
2017-01-17,40,53.0,,0.53,21.200000000000003
2017-01-18,34,53.0,,0.53,18.02
2017-01-19,50,53.0,,0.53,26.5
2017-01-20,43,53.0,,0.53,22.790000000000003
2017-01-21,24,53.0,,0.53,12.72
2017-01-22,10,53.0,,0.53,5.300000000000001
2017-01-23,45,53.0,,0.53,23.85
2017-01-24,92,53.0,,0.53,48.760000000000005
2017-01-25,71,53.0,,0.53,37.63
2017-01-26,53,53.0,,0.53,28.09
2017-01-27,62,53.0,,0.53,32.86
2017-01-28,5,53.0,,0.53,2.6500000000000004
2017-01-29,19,53.0,,0.53,10.07
2017-01-30,63,53.0,,0.53,33.39
2017-01-31,100,53.0,,0.53,53.0
2017-02-01,49,64.0,False,0.64,31.36
2017-02-02,92,64.0,,0.64,58.88
2017-02-03,100,64.0,,0.64,64.0
2017-02-04,17,64.0,,0.64,10.88
2017-02-05,20,64.0,,0.64,12.8
2017-02-06,33,64.0,,0.64,21.12
2017-02-07,29,64.0,,0.64,18.56
2017-02-08,24,64.0,,0.64,15.36
2017-02-09,31,64.0,,0.64,19.84
2017-02-10,34,64.0,,0.64,21.76
2017-02-11,7,64.0,,0.64,4.48
2017-02-12,7,64.0,,0.64,4.48
2017-02-13,19,64.0,,0.64,12.16
2017-02-14,23,64.0,,0.64,14.72
2017-02-15,33,64.0,,0.64,21.12
2017-02-16,40,64.0,,0.64,25.6
2017-02-17,30,64.0,,0.64,19.2
2017-02-18,10,64.0,,0.64,6.4
2017-02-19,4,64.0,,0.64,2.56
2017-02-20,10,64.0,,0.64,6.4
2017-02-21,20,64.0,,0.64,12.8
2017-02-22,24,64.0,,0.64,15.36
2017-02-23,33,64.0,,0.64,21.12
2017-02-24,31,64.0,,0.64,19.84
2017-02-25,9,64.0,,0.64,5.76
2017-02-26,12,64.0,,0.64,7.68
2017-02-27,19,64.0,,0.64,12.16
2017-02-28,23,64.0,,0.64,14.72
2017-03-01,34,60.0,False,0.6,20.4
2017-03-02,37,60.0,,0.6,22.2
2017-03-03,26,60.0,,0.6,15.6
2017-03-04,13,60.0,,0.6,7.8
2017-03-05,13,60.0,,0.6,7.8
2017-03-06,60,60.0,,0.6,36.0
2017-03-07,44,60.0,,0.6,26.4
2017-03-08,33,60.0,,0.6,19.8
2017-03-09,29,60.0,,0.6,17.4
2017-03-10,34,60.0,,0.6,20.4
2017-03-11,10,60.0,,0.6,6.0
2017-03-12,6,60.0,,0.6,3.5999999999999996
2017-03-13,33,60.0,,0.6,19.8
2017-03-14,35,60.0,,0.6,21.0
2017-03-15,51,60.0,,0.6,30.599999999999998
2017-03-16,100,60.0,,0.6,60.0
2017-03-17,61,60.0,,0.6,36.6
2017-03-18,15,60.0,,0.6,9.0
2017-03-19,7,60.0,,0.6,4.2
2017-03-20,42,60.0,,0.6,25.2
2017-03-21,33,60.0,,0.6,19.8
2017-03-22,37,60.0,,0.6,22.2
2017-03-23,35,60.0,,0.6,21.0
2017-03-24,28,60.0,,0.6,16.8
2017-03-25,12,60.0,,0.6,7.199999999999999
2017-03-26,15,60.0,,0.6,9.0
2017-03-27,28,60.0,,0.6,16.8
2017-03-28,36,60.0,,0.6,21.599999999999998
2017-03-29,31,60.0,,0.6,18.599999999999998
2017-03-30,22,60.0,,0.6,13.2
2017-03-31,32,60.0,,0.6,19.2
2017-04-01,9,48.0,False,0.48,4.32
2017-04-02,9,48.0,,0.48,4.32
2017-04-03,40,48.0,,0.48,19.2
2017-04-04,39,48.0,,0.48,18.72
2017-04-05,39,48.0,,0.48,18.72
2017-04-06,43,48.0,,0.48,20.64
2017-04-07,31,48.0,,0.48,14.879999999999999
2017-04-08,16,48.0,,0.48,7.68
2017-04-09,7,48.0,,0.48,3.36
2017-04-10,41,48.0,,0.48,19.68
2017-04-11,53,48.0,,0.48,25.439999999999998
2017-04-12,38,48.0,,0.48,18.24
2017-04-13,33,48.0,,0.48,15.84
2017-04-14,20,48.0,,0.48,9.6
2017-04-15,12,48.0,,0.48,5.76
2017-04-16,10,48.0,,0.48,4.8
2017-04-17,32,48.0,,0.48,15.36
2017-04-18,42,48.0,,0.48,20.16
2017-04-19,43,48.0,,0.48,20.64
2017-04-20,36,48.0,,0.48,17.28
2017-04-21,45,48.0,,0.48,21.599999999999998
2017-04-22,16,48.0,,0.48,7.68
2017-04-23,7,48.0,,0.48,3.36
2017-04-24,44,48.0,,0.48,21.119999999999997
2017-04-25,48,48.0,,0.48,23.04
2017-04-26,45,48.0,,0.48,21.599999999999998
2017-04-27,100,48.0,,0.48,48.0
2017-04-28,70,48.0,,0.48,33.6
2017-04-29,32,48.0,,0.48,15.36
2017-04-30,14,48.0,,0.48,6.72
2017-05-01,97,42.0,False,0.42,40.74
2017-05-02,89,42.0,,0.42,37.379999999999995
2017-05-03,95,42.0,,0.42,39.9
2017-05-04,56,42.0,,0.42,23.52
2017-05-05,92,42.0,,0.42,38.64
2017-05-06,27,42.0,,0.42,11.34
2017-05-07,23,42.0,,0.42,9.66
2017-05-08,67,42.0,,0.42,28.14
2017-05-09,59,42.0,,0.42,24.779999999999998
2017-05-10,48,42.0,,0.42,20.16
2017-05-11,72,42.0,,0.42,30.24
2017-05-12,67,42.0,,0.42,28.14
2017-05-13,33,42.0,,0.42,13.86
2017-05-14,19,42.0,,0.42,7.9799999999999995
2017-05-15,78,42.0,,0.42,32.76
2017-05-16,91,42.0,,0.42,38.22
2017-05-17,48,42.0,,0.42,20.16
2017-05-18,60,42.0,,0.42,25.2
2017-05-19,20,42.0,,0.42,8.4
2017-05-20,10,42.0,,0.42,4.2
2017-05-21,24,42.0,,0.42,10.08
2017-05-22,96,42.0,,0.42,40.32
2017-05-23,88,42.0,,0.42,36.96
2017-05-24,100,42.0,,0.42,42.0
2017-05-25,76,42.0,,0.42,31.919999999999998
2017-05-26,39,42.0,,0.42,16.38
2017-05-27,31,42.0,,0.42,13.02
2017-05-28,26,42.0,,0.42,10.92
2017-05-29,9,42.0,,0.42,3.78
2017-05-30,75,42.0,,0.42,31.5
2017-05-31,27,42.0,,0.42,11.34
2017-06-01,82,33.0,False,0.33,27.060000000000002
2017-06-02,64,33.0,,0.33,21.12
2017-06-03,26,33.0,,0.33,8.58
2017-06-04,10,33.0,,0.33,3.3000000000000003
2017-06-05,67,33.0,,0.33,22.11
2017-06-06,54,33.0,,0.33,17.82
2017-06-07,63,33.0,,0.33,20.790000000000003
2017-06-08,42,33.0,,0.33,13.860000000000001
2017-06-09,63,33.0,,0.33,20.790000000000003
2017-06-10,26,33.0,,0.33,8.58
2017-06-11,0,33.0,,0.33,0.0
2017-06-12,42,33.0,,0.33,13.860000000000001
2017-06-13,58,33.0,,0.33,19.14
2017-06-14,63,33.0,,0.33,20.790000000000003
2017-06-15,39,33.0,,0.33,12.870000000000001
2017-06-16,57,33.0,,0.33,18.810000000000002
2017-06-17,47,33.0,,0.33,15.510000000000002
2017-06-18,26,33.0,,0.33,8.58
2017-06-19,51,33.0,,0.33,16.830000000000002
2017-06-20,48,33.0,,0.33,15.84
2017-06-21,58,33.0,,0.33,19.14
2017-06-22,33,33.0,,0.33,10.89
2017-06-23,46,33.0,,0.33,15.180000000000001
2017-06-24,20,33.0,,0.33,6.6000000000000005
2017-06-25,5,33.0,,0.33,1.6500000000000001
2017-06-26,100,33.0,,0.33,33.0
2017-06-27,75,33.0,,0.33,24.75
2017-06-28,59,33.0,,0.33,19.470000000000002
2017-06-29,41,33.0,,0.33,13.530000000000001
2017-06-30,60,33.0,,0.33,19.8
2017-07-01,6,30.0,False,0.3,1.7999999999999998
2017-07-02,19,30.0,,0.3,5.7
2017-07-03,52,30.0,,0.3,15.6
2017-07-04,63,30.0,,0.3,18.9
2017-07-05,67,30.0,,0.3,20.099999999999998
2017-07-06,89,30.0,,0.3,26.7
2017-07-07,43,30.0,,0.3,12.9
2017-07-08,24,30.0,,0.3,7.199999999999999
2017-07-09,18,30.0,,0.3,5.3999999999999995
2017-07-10,68,30.0,,0.3,20.4
2017-07-11,94,30.0,,0.3,28.2
2017-07-12,63,30.0,,0.3,18.9
2017-07-13,63,30.0,,0.3,18.9
2017-07-14,70,30.0,,0.3,21.0
2017-07-15,18,30.0,,0.3,5.3999999999999995
2017-07-16,12,30.0,,0.3,3.5999999999999996
2017-07-17,32,30.0,,0.3,9.6
2017-07-18,58,30.0,,0.3,17.4
2017-07-19,100,30.0,,0.3,30.0
2017-07-20,36,30.0,,0.3,10.799999999999999
2017-07-21,38,30.0,,0.3,11.4
2017-07-22,12,30.0,,0.3,3.5999999999999996
2017-07-23,6,30.0,,0.3,1.7999999999999998
2017-07-24,42,30.0,,0.3,12.6
2017-07-25,78,30.0,,0.3,23.4
2017-07-26,46,30.0,,0.3,13.799999999999999
2017-07-27,93,30.0,,0.3,27.9
2017-07-28,69,30.0,,0.3,20.7
2017-07-29,49,30.0,,0.3,14.7
2017-07-30,25,30.0,,0.3,7.5
2017-07-31,99,30.0,,0.3,29.7
2017-08-01,12,54.0,False,0.54,6.48
2017-08-02,27,54.0,,0.54,14.580000000000002
2017-08-03,62,54.0,,0.54,33.480000000000004
2017-08-04,100,54.0,,0.54,54.0
2017-08-05,12,54.0,,0.54,6.48
2017-08-06,3,54.0,,0.54,1.62
2017-08-07,48,54.0,,0.54,25.92
2017-08-08,45,54.0,,0.54,24.3
2017-08-09,26,54.0,,0.54,14.040000000000001
2017-08-10,36,54.0,,0.54,19.44
2017-08-11,22,54.0,,0.54,11.88
2017-08-12,4,54.0,,0.54,2.16
2017-08-13,7,54.0,,0.54,3.7800000000000002
2017-08-14,24,54.0,,0.54,12.96
2017-08-15,22,54.0,,0.54,11.88
2017-08-16,21,54.0,,0.54,11.34
2017-08-17,22,54.0,,0.54,11.88
2017-08-18,16,54.0,,0.54,8.64
2017-08-19,10,54.0,,0.54,5.4
2017-08-20,3,54.0,,0.54,1.62
2017-08-21,22,54.0,,0.54,11.88
2017-08-22,20,54.0,,0.54,10.8
2017-08-23,18,54.0,,0.54,9.72
2017-08-24,15,54.0,,0.54,8.100000000000001
2017-08-25,25,54.0,,0.54,13.5
2017-08-26,6,54.0,,0.54,3.24
2017-08-27,4,54.0,,0.54,2.16
2017-08-28,19,54.0,,0.54,10.260000000000002
2017-08-29,19,54.0,,0.54,10.260000000000002
2017-08-30,22,54.0,,0.54,11.88
2017-08-31,14,54.0,,0.54,7.5600000000000005
2017-09-01,22,44.0,False,0.44,9.68
2017-09-02,5,44.0,,0.44,2.2
2017-09-03,7,44.0,,0.44,3.08
2017-09-04,7,44.0,,0.44,3.08
2017-09-05,18,44.0,,0.44,7.92
2017-09-06,21,44.0,,0.44,9.24
2017-09-07,100,44.0,,0.44,44.0
2017-09-08,73,44.0,,0.44,32.12
2017-09-09,14,44.0,,0.44,6.16
2017-09-10,14,44.0,,0.44,6.16
2017-09-11,62,44.0,,0.44,27.28
2017-09-12,53,44.0,,0.44,23.32
2017-09-13,49,44.0,,0.44,21.56
2017-09-14,41,44.0,,0.44,18.04
2017-09-15,40,44.0,,0.44,17.6
2017-09-16,15,44.0,,0.44,6.6
2017-09-17,0,44.0,,0.44,0.0
2017-09-18,34,44.0,,0.44,14.96
2017-09-19,38,44.0,,0.44,16.72
2017-09-20,32,44.0,,0.44,14.08
2017-09-21,37,44.0,,0.44,16.28
2017-09-22,23,44.0,,0.44,10.12
2017-09-23,7,44.0,,0.44,3.08
2017-09-24,10,44.0,,0.44,4.4
2017-09-25,41,44.0,,0.44,18.04
2017-09-26,41,44.0,,0.44,18.04
2017-09-27,39,44.0,,0.44,17.16
2017-09-28,53,44.0,,0.44,23.32
2017-09-29,46,44.0,,0.44,20.24
2017-09-30,20,44.0,,0.44,8.8
2017-10-01,8,46.0,False,0.46,3.68
2017-10-02,55,46.0,,0.46,25.3
2017-10-03,70,46.0,,0.46,32.2
2017-10-04,78,46.0,,0.46,35.88
2017-10-05,88,46.0,,0.46,40.480000000000004
2017-10-06,63,46.0,,0.46,28.98
2017-10-07,16,46.0,,0.46,7.36
2017-10-08,20,46.0,,0.46,9.200000000000001
2017-10-09,57,46.0,,0.46,26.220000000000002
2017-10-10,59,46.0,,0.46,27.14
2017-10-11,43,46.0,,0.46,19.78
2017-10-12,67,46.0,,0.46,30.82
2017-10-13,56,46.0,,0.46,25.76
2017-10-14,20,46.0,,0.46,9.200000000000001
2017-10-15,8,46.0,,0.46,3.68
2017-10-16,51,46.0,,0.46,23.46
2017-10-17,85,46.0,,0.46,39.1
2017-10-18,84,46.0,,0.46,38.64
2017-10-19,52,46.0,,0.46,23.92
2017-10-20,74,46.0,,0.46,34.04
2017-10-21,12,46.0,,0.46,5.5200000000000005
2017-10-22,12,46.0,,0.46,5.5200000000000005
2017-10-23,43,46.0,,0.46,19.78
2017-10-24,63,46.0,,0.46,28.98
2017-10-25,81,46.0,,0.46,37.260000000000005
2017-10-26,78,46.0,,0.46,35.88
2017-10-27,67,46.0,,0.46,30.82
2017-10-28,37,46.0,,0.46,17.02
2017-10-29,28,46.0,,0.46,12.88
2017-10-30,86,46.0,,0.46,39.56
2017-10-31,100,46.0,,0.46,46.0
2017-11-01,100,44.0,False,0.44,44.0
2017-11-02,75,44.0,,0.44,33.0
2017-11-03,42,44.0,,0.44,18.48
2017-11-04,20,44.0,,0.44,8.8
2017-11-05,4,44.0,,0.44,1.76
2017-11-06,37,44.0,,0.44,16.28
2017-11-07,27,44.0,,0.44,11.88
2017-11-08,28,44.0,,0.44,12.32
2017-11-09,47,44.0,,0.44,20.68
2017-11-10,31,44.0,,0.44,13.64
2017-11-11,14,44.0,,0.44,6.16
2017-11-12,8,44.0,,0.44,3.52
2017-11-13,22,44.0,,0.44,9.68
2017-11-14,25,44.0,,0.44,11.0
2017-11-15,30,44.0,,0.44,13.2
2017-11-16,25,44.0,,0.44,11.0
2017-11-17,30,44.0,,0.44,13.2
2017-11-18,12,44.0,,0.44,5.28
2017-11-19,8,44.0,,0.44,3.52
2017-11-20,42,44.0,,0.44,18.48
2017-11-21,16,44.0,,0.44,7.04
2017-11-22,30,44.0,,0.44,13.2
2017-11-23,16,44.0,,0.44,7.04
2017-11-24,16,44.0,,0.44,7.04
2017-11-25,12,44.0,,0.44,5.28
2017-11-26,8,44.0,,0.44,3.52
2017-11-27,24,44.0,,0.44,10.56
2017-11-28,23,44.0,,0.44,10.12
2017-11-29,22,44.0,,0.44,9.68
2017-11-30,19,44.0,,0.44,8.36
2017-12-01,65,29.0,False,0.29,18.849999999999998
2017-12-02,39,29.0,,0.29,11.309999999999999
2017-12-03,11,29.0,,0.29,3.19
2017-12-04,37,29.0,,0.29,10.729999999999999
2017-12-05,59,29.0,,0.29,17.11
2017-12-06,60,29.0,,0.29,17.4
2017-12-07,42,29.0,,0.29,12.18
2017-12-08,95,29.0,,0.29,27.549999999999997
2017-12-09,6,29.0,,0.29,1.7399999999999998
2017-12-10,6,29.0,,0.29,1.7399999999999998
2017-12-11,68,29.0,,0.29,19.72
2017-12-12,69,29.0,,0.29,20.009999999999998
2017-12-13,87,29.0,,0.29,25.229999999999997
2017-12-14,81,29.0,,0.29,23.49
2017-12-15,79,29.0,,0.29,22.91
2017-12-16,45,29.0,,0.29,13.049999999999999
2017-12-17,17,29.0,,0.29,4.93
2017-12-18,29,29.0,,0.29,8.41
2017-12-19,73,29.0,,0.29,21.169999999999998
2017-12-20,60,29.0,,0.29,17.4
2017-12-21,57,29.0,,0.29,16.529999999999998
2017-12-22,65,29.0,,0.29,18.849999999999998
2017-12-23,12,29.0,,0.29,3.4799999999999995
2017-12-24,12,29.0,,0.29,3.4799999999999995
2017-12-25,26,29.0,,0.29,7.539999999999999
2017-12-26,50,29.0,,0.29,14.499999999999998
2017-12-27,53,29.0,,0.29,15.37
