date,IG_unscaled,IG_monthly,isPartial,scale,IG
2016-07-04,87,30.0,,0.3,26.099999999999998
2016-07-05,87,30.0,,0.3,26.099999999999998
2016-07-06,85,30.0,,0.3,25.5
2016-07-07,96,30.0,,0.3,28.799999999999997
2016-07-08,83,30.0,,0.3,24.9
2016-07-09,78,30.0,,0.3,23.4
2016-07-10,78,30.0,,0.3,23.4
2016-07-11,72,30.0,,0.3,21.599999999999998
2016-07-12,89,30.0,,0.3,26.7
2016-07-13,78,30.0,,0.3,23.4
2016-07-14,85,30.0,,0.3,25.5
2016-07-15,84,30.0,,0.3,25.2
2016-07-16,81,30.0,,0.3,24.3
2016-07-17,85,30.0,,0.3,25.5
2016-07-18,88,30.0,,0.3,26.4
2016-07-19,76,30.0,,0.3,22.8
2016-07-20,82,30.0,,0.3,24.599999999999998
2016-07-21,84,30.0,,0.3,25.2
2016-07-22,91,30.0,,0.3,27.3
2016-07-23,83,30.0,,0.3,24.9
2016-07-24,84,30.0,,0.3,25.2
2016-07-25,87,30.0,,0.3,26.099999999999998
2016-07-26,100,30.0,,0.3,30.0
2016-07-27,87,30.0,,0.3,26.099999999999998
2016-07-28,81,30.0,,0.3,24.3
2016-07-29,75,30.0,,0.3,22.5
2016-07-30,81,30.0,,0.3,24.3
2016-07-31,92,30.0,,0.3,27.599999999999998
2016-08-01,81,28.0,False,0.28,22.680000000000003
2016-08-02,79,28.0,,0.28,22.12
2016-08-03,100,28.0,,0.28,28.000000000000004
2016-08-04,86,28.0,,0.28,24.080000000000002
2016-08-05,77,28.0,,0.28,21.560000000000002
2016-08-06,80,28.0,,0.28,22.400000000000002
2016-08-07,79,28.0,,0.28,22.12
2016-08-08,79,28.0,,0.28,22.12
2016-08-09,83,28.0,,0.28,23.240000000000002
2016-08-10,75,28.0,,0.28,21.000000000000004
2016-08-11,73,28.0,,0.28,20.44
2016-08-12,76,28.0,,0.28,21.28
2016-08-13,75,28.0,,0.28,21.000000000000004
2016-08-14,81,28.0,,0.28,22.680000000000003
2016-08-15,81,28.0,,0.28,22.680000000000003
2016-08-16,80,28.0,,0.28,22.400000000000002
2016-08-17,70,28.0,,0.28,19.6
2016-08-18,72,28.0,,0.28,20.160000000000004
2016-08-19,72,28.0,,0.28,20.160000000000004
2016-08-20,80,28.0,,0.28,22.400000000000002
2016-08-21,87,28.0,,0.28,24.360000000000003
2016-08-22,68,28.0,,0.28,19.040000000000003
2016-08-23,76,28.0,,0.28,21.28
2016-08-24,77,28.0,,0.28,21.560000000000002
2016-08-25,77,28.0,,0.28,21.560000000000002
2016-08-26,74,28.0,,0.28,20.720000000000002
2016-08-27,87,28.0,,0.28,24.360000000000003
2016-08-28,86,28.0,,0.28,24.080000000000002
2016-08-29,86,28.0,,0.28,24.080000000000002
2016-08-30,76,28.0,,0.28,21.28
2016-08-31,79,28.0,,0.28,22.12
2016-09-01,77,30.0,False,0.3,23.099999999999998
2016-09-02,69,30.0,,0.3,20.7
2016-09-03,84,30.0,,0.3,25.2
2016-09-04,90,30.0,,0.3,27.0
2016-09-05,89,30.0,,0.3,26.7
2016-09-06,80,30.0,,0.3,24.0
2016-09-07,74,30.0,,0.3,22.2
2016-09-08,75,30.0,,0.3,22.5
2016-09-09,70,30.0,,0.3,21.0
2016-09-10,86,30.0,,0.3,25.8
2016-09-11,76,30.0,,0.3,22.8
2016-09-12,69,30.0,,0.3,20.7
2016-09-13,69,30.0,,0.3,20.7
2016-09-14,71,30.0,,0.3,21.3
2016-09-15,76,30.0,,0.3,22.8
2016-09-16,76,30.0,,0.3,22.8
2016-09-17,82,30.0,,0.3,24.599999999999998
2016-09-18,93,30.0,,0.3,27.9
2016-09-19,91,30.0,,0.3,27.3
2016-09-20,84,30.0,,0.3,25.2
2016-09-21,87,30.0,,0.3,26.099999999999998
2016-09-22,74,30.0,,0.3,22.2
2016-09-23,85,30.0,,0.3,25.5
2016-09-24,100,30.0,,0.3,30.0
2016-09-25,91,30.0,,0.3,27.3
2016-09-26,89,30.0,,0.3,26.7
2016-09-27,83,30.0,,0.3,24.9
2016-09-28,89,30.0,,0.3,26.7
2016-09-29,85,30.0,,0.3,25.5
2016-09-30,80,30.0,,0.3,24.0
2016-10-01,93,30.0,False,0.3,27.9
2016-10-02,94,30.0,,0.3,28.2
2016-10-03,85,30.0,,0.3,25.5
2016-10-04,72,30.0,,0.3,21.599999999999998
2016-10-05,89,30.0,,0.3,26.7
2016-10-06,77,30.0,,0.3,23.099999999999998
2016-10-07,75,30.0,,0.3,22.5
2016-10-08,81,30.0,,0.3,24.3
2016-10-09,89,30.0,,0.3,26.7
2016-10-10,79,30.0,,0.3,23.7
2016-10-11,74,30.0,,0.3,22.2
2016-10-12,78,30.0,,0.3,23.4
2016-10-13,80,30.0,,0.3,24.0
2016-10-14,70,30.0,,0.3,21.0
2016-10-15,86,30.0,,0.3,25.8
2016-10-16,94,30.0,,0.3,28.2
2016-10-17,80,30.0,,0.3,24.0
2016-10-18,82,30.0,,0.3,24.599999999999998
2016-10-19,87,30.0,,0.3,26.099999999999998
2016-10-20,86,30.0,,0.3,25.8
2016-10-21,71,30.0,,0.3,21.3
2016-10-22,84,30.0,,0.3,25.2
2016-10-23,91,30.0,,0.3,27.3
2016-10-24,79,30.0,,0.3,23.7
2016-10-25,84,30.0,,0.3,25.2
2016-10-26,83,30.0,,0.3,24.9
2016-10-27,78,30.0,,0.3,23.4
2016-10-28,82,30.0,,0.3,24.599999999999998
2016-10-29,92,30.0,,0.3,27.599999999999998
2016-10-30,100,30.0,,0.3,30.0
2016-10-31,86,30.0,,0.3,25.8
2016-11-01,88,31.0,False,0.31,27.28
2016-11-02,83,31.0,,0.31,25.73
2016-11-03,82,31.0,,0.31,25.419999999999998
2016-11-04,89,31.0,,0.31,27.59
2016-11-05,91,31.0,,0.31,28.21
2016-11-06,89,31.0,,0.31,27.59
2016-11-07,87,31.0,,0.31,26.97
2016-11-08,82,31.0,,0.31,25.419999999999998
2016-11-09,68,31.0,,0.31,21.08
2016-11-10,94,31.0,,0.31,29.14
2016-11-11,90,31.0,,0.31,27.9
2016-11-12,97,31.0,,0.31,30.07
2016-11-13,94,31.0,,0.31,29.14
2016-11-14,85,31.0,,0.31,26.35
2016-11-15,91,31.0,,0.31,28.21
2016-11-16,87,31.0,,0.31,26.97
2016-11-17,87,31.0,,0.31,26.97
2016-11-18,83,31.0,,0.31,25.73
2016-11-19,94,31.0,,0.31,29.14
2016-11-20,95,31.0,,0.31,29.45
2016-11-21,95,31.0,,0.31,29.45
2016-11-22,94,31.0,,0.31,29.14
2016-11-23,99,31.0,,0.31,30.69
2016-11-24,100,31.0,,0.31,31.0
2016-11-25,85,31.0,,0.31,26.35
2016-11-26,94,31.0,,0.31,29.14
2016-11-27,100,31.0,,0.31,31.0
2016-11-28,89,31.0,,0.31,27.59
2016-11-29,91,31.0,,0.31,28.21
2016-11-30,89,31.0,,0.31,27.59
2016-12-01,61,35.0,False,0.35,21.349999999999998
2016-12-02,65,35.0,,0.35,22.75
2016-12-03,77,35.0,,0.35,26.95
2016-12-04,72,35.0,,0.35,25.2
2016-12-05,62,35.0,,0.35,21.7
2016-12-06,73,35.0,,0.35,25.549999999999997
2016-12-07,72,35.0,,0.35,25.2
2016-12-08,63,35.0,,0.35,22.049999999999997
2016-12-09,63,35.0,,0.35,22.049999999999997
2016-12-10,74,35.0,,0.35,25.9
2016-12-11,73,35.0,,0.35,25.549999999999997
2016-12-12,73,35.0,,0.35,25.549999999999997
2016-12-13,78,35.0,,0.35,27.299999999999997
2016-12-14,70,35.0,,0.35,24.5
2016-12-15,66,35.0,,0.35,23.099999999999998
2016-12-16,67,35.0,,0.35,23.45
2016-12-17,85,35.0,,0.35,29.749999999999996
2016-12-18,100,35.0,,0.35,35.0
2016-12-19,86,35.0,,0.35,30.099999999999998
2016-12-20,77,35.0,,0.35,26.95
2016-12-21,71,35.0,,0.35,24.849999999999998
2016-12-22,76,35.0,,0.35,26.599999999999998
2016-12-23,73,35.0,,0.35,25.549999999999997
2016-12-24,70,35.0,,0.35,24.5
2016-12-25,75,35.0,,0.35,26.25
2016-12-26,80,35.0,,0.35,28.0
2016-12-27,82,35.0,,0.35,28.7
2016-12-28,82,35.0,,0.35,28.7
2016-12-29,83,35.0,,0.35,29.049999999999997
2016-12-30,78,35.0,,0.35,27.299999999999997
2016-12-31,100,35.0,,0.35,35.0
2017-01-01,100,38.0,False,0.38,38.0
2017-01-02,77,38.0,,0.38,29.26
2017-01-03,71,38.0,,0.38,26.98
2017-01-04,76,38.0,,0.38,28.88
2017-01-05,80,38.0,,0.38,30.4
2017-01-06,73,38.0,,0.38,27.740000000000002
2017-01-07,80,38.0,,0.38,30.4
2017-01-08,82,38.0,,0.38,31.16
2017-01-09,72,38.0,,0.38,27.36
2017-01-10,76,38.0,,0.38,28.88
2017-01-11,76,38.0,,0.38,28.88
2017-01-12,69,38.0,,0.38,26.22
2017-01-13,69,38.0,,0.38,26.22
2017-01-14,80,38.0,,0.38,30.4
2017-01-15,79,38.0,,0.38,30.02
2017-01-16,74,38.0,,0.38,28.12
2017-01-17,72,38.0,,0.38,27.36
2017-01-18,69,38.0,,0.38,26.22
2017-01-19,68,38.0,,0.38,25.84
2017-01-20,64,38.0,,0.38,24.32
2017-01-21,70,38.0,,0.38,26.6
2017-01-22,81,38.0,,0.38,30.78
2017-01-23,67,38.0,,0.38,25.46
2017-01-24,71,38.0,,0.38,26.98
2017-01-25,66,38.0,,0.38,25.080000000000002
2017-01-26,69,38.0,,0.38,26.22
2017-01-27,74,38.0,,0.38,28.12
2017-01-28,82,38.0,,0.38,31.16
2017-01-29,73,38.0,,0.38,27.740000000000002
2017-01-30,65,38.0,,0.38,24.7
2017-01-31,72,38.0,,0.38,27.36
2017-02-01,84,39.0,False,0.39,32.76
2017-02-02,81,39.0,,0.39,31.59
2017-02-03,70,39.0,,0.39,27.3
2017-02-04,74,39.0,,0.39,28.86
2017-02-05,79,39.0,,0.39,30.810000000000002
2017-02-06,68,39.0,,0.39,26.52
2017-02-07,74,39.0,,0.39,28.86
2017-02-08,76,39.0,,0.39,29.64
2017-02-09,72,39.0,,0.39,28.080000000000002
2017-02-10,74,39.0,,0.39,28.86
2017-02-11,86,39.0,,0.39,33.54
2017-02-12,100,39.0,,0.39,39.0
2017-02-13,76,39.0,,0.39,29.64
2017-02-14,70,39.0,,0.39,27.3
2017-02-15,75,39.0,,0.39,29.25
2017-02-16,66,39.0,,0.39,25.740000000000002
2017-02-17,69,39.0,,0.39,26.91
2017-02-18,84,39.0,,0.39,32.76
2017-02-19,87,39.0,,0.39,33.93
2017-02-20,77,39.0,,0.39,30.03
2017-02-21,76,39.0,,0.39,29.64
2017-02-22,76,39.0,,0.39,29.64
2017-02-23,73,39.0,,0.39,28.470000000000002
2017-02-24,71,39.0,,0.39,27.69
2017-02-25,78,39.0,,0.39,30.42
2017-02-26,99,39.0,,0.39,38.61
2017-02-27,81,39.0,,0.39,31.59
2017-02-28,80,39.0,,0.39,31.200000000000003
2017-03-01,84,41.0,False,0.41,34.44
2017-03-02,84,41.0,,0.41,34.44
2017-03-03,97,41.0,,0.41,39.769999999999996
2017-03-04,100,41.0,,0.41,41.0
2017-03-05,96,41.0,,0.41,39.36
2017-03-06,88,41.0,,0.41,36.08
2017-03-07,91,41.0,,0.41,37.309999999999995
2017-03-08,89,41.0,,0.41,36.489999999999995
2017-03-09,80,41.0,,0.41,32.8
2017-03-10,86,41.0,,0.41,35.26
2017-03-11,96,41.0,,0.41,39.36
2017-03-12,89,41.0,,0.41,36.489999999999995
2017-03-13,84,41.0,,0.41,34.44
2017-03-14,81,41.0,,0.41,33.21
2017-03-15,88,41.0,,0.41,36.08
2017-03-16,77,41.0,,0.41,31.569999999999997
2017-03-17,80,41.0,,0.41,32.8
2017-03-18,91,41.0,,0.41,37.309999999999995
2017-03-19,100,41.0,,0.41,41.0
2017-03-20,88,41.0,,0.41,36.08
2017-03-21,91,41.0,,0.41,37.309999999999995
2017-03-22,78,41.0,,0.41,31.979999999999997
2017-03-23,80,41.0,,0.41,32.8
2017-03-24,81,41.0,,0.41,33.21
2017-03-25,93,41.0,,0.41,38.129999999999995
2017-03-26,96,41.0,,0.41,39.36
2017-03-27,90,41.0,,0.41,36.9
2017-03-28,85,41.0,,0.41,34.85
2017-03-29,84,41.0,,0.41,34.44
2017-03-30,88,41.0,,0.41,36.08
2017-03-31,80,41.0,,0.41,32.8
2017-04-01,87,42.0,False,0.42,36.54
2017-04-02,89,42.0,,0.42,37.379999999999995
2017-04-03,77,42.0,,0.42,32.339999999999996
2017-04-04,79,42.0,,0.42,33.18
2017-04-05,75,42.0,,0.42,31.5
2017-04-06,78,42.0,,0.42,32.76
2017-04-07,80,42.0,,0.42,33.6
2017-04-08,80,42.0,,0.42,33.6
2017-04-09,88,42.0,,0.42,36.96
2017-04-10,77,42.0,,0.42,32.339999999999996
2017-04-11,82,42.0,,0.42,34.44
2017-04-12,83,42.0,,0.42,34.86
2017-04-13,81,42.0,,0.42,34.019999999999996
2017-04-14,87,42.0,,0.42,36.54
2017-04-15,92,42.0,,0.42,38.64
2017-04-16,95,42.0,,0.42,39.9
2017-04-17,85,42.0,,0.42,35.699999999999996
2017-04-18,89,42.0,,0.42,37.379999999999995
2017-04-19,89,42.0,,0.42,37.379999999999995
2017-04-20,80,42.0,,0.42,33.6
2017-04-21,78,42.0,,0.42,32.76
2017-04-22,100,42.0,,0.42,42.0
2017-04-23,91,42.0,,0.42,38.22
2017-04-24,79,42.0,,0.42,33.18
2017-04-25,72,42.0,,0.42,30.24
2017-04-26,79,42.0,,0.42,33.18
2017-04-27,81,42.0,,0.42,34.019999999999996
2017-04-28,77,42.0,,0.42,32.339999999999996
2017-04-29,83,42.0,,0.42,34.86
2017-04-30,89,42.0,,0.42,37.379999999999995
2017-05-01,76,43.0,False,0.43,32.68
2017-05-02,80,43.0,,0.43,34.4
2017-05-03,84,43.0,,0.43,36.12
2017-05-04,83,43.0,,0.43,35.69
2017-05-05,84,43.0,,0.43,36.12
2017-05-06,94,43.0,,0.43,40.42
2017-05-07,91,43.0,,0.43,39.13
2017-05-08,91,43.0,,0.43,39.13
2017-05-09,80,43.0,,0.43,34.4
2017-05-10,89,43.0,,0.43,38.269999999999996
2017-05-11,85,43.0,,0.43,36.55
2017-05-12,79,43.0,,0.43,33.97
2017-05-13,90,43.0,,0.43,38.7
2017-05-14,94,43.0,,0.43,40.42
2017-05-15,85,43.0,,0.43,36.55
2017-05-16,91,43.0,,0.43,39.13
2017-05-17,81,43.0,,0.43,34.83
2017-05-18,87,43.0,,0.43,37.41
2017-05-19,78,43.0,,0.43,33.54
2017-05-20,94,43.0,,0.43,40.42
2017-05-21,92,43.0,,0.43,39.56
2017-05-22,86,43.0,,0.43,36.98
2017-05-23,80,43.0,,0.43,34.4
2017-05-24,84,43.0,,0.43,36.12
2017-05-25,88,43.0,,0.43,37.839999999999996
2017-05-26,94,43.0,,0.43,40.42
2017-05-27,92,43.0,,0.43,39.56
2017-05-28,95,43.0,,0.43,40.85
2017-05-29,100,43.0,,0.43,43.0
2017-05-30,79,43.0,,0.43,33.97
2017-05-31,84,43.0,,0.43,36.12
2017-06-01,72,46.0,False,0.46,33.120000000000005
2017-06-02,71,46.0,,0.46,32.660000000000004
2017-06-03,73,46.0,,0.46,33.58
2017-06-04,81,46.0,,0.46,37.260000000000005
2017-06-05,71,46.0,,0.46,32.660000000000004
2017-06-06,68,46.0,,0.46,31.28
2017-06-07,71,46.0,,0.46,32.660000000000004
2017-06-08,71,46.0,,0.46,32.660000000000004
2017-06-09,72,46.0,,0.46,33.120000000000005
2017-06-10,100,46.0,,0.46,46.0
2017-06-11,86,46.0,,0.46,39.56
2017-06-12,74,46.0,,0.46,34.04
2017-06-13,71,46.0,,0.46,32.660000000000004
2017-06-14,73,46.0,,0.46,33.58
2017-06-15,75,46.0,,0.46,34.5
2017-06-16,75,46.0,,0.46,34.5
2017-06-17,80,46.0,,0.46,36.800000000000004
2017-06-18,81,46.0,,0.46,37.260000000000005
2017-06-19,74,46.0,,0.46,34.04
2017-06-20,80,46.0,,0.46,36.800000000000004
2017-06-21,77,46.0,,0.46,35.42
2017-06-22,70,46.0,,0.46,32.2
2017-06-23,74,46.0,,0.46,34.04
2017-06-24,88,46.0,,0.46,40.480000000000004
2017-06-25,83,46.0,,0.46,38.18
2017-06-26,88,46.0,,0.46,40.480000000000004
2017-06-27,75,46.0,,0.46,34.5
2017-06-28,71,46.0,,0.46,32.660000000000004
2017-06-29,78,46.0,,0.46,35.88
2017-06-30,70,46.0,,0.46,32.2
2017-07-01,65,52.0,False,0.52,33.800000000000004
2017-07-02,71,52.0,,0.52,36.92
2017-07-03,63,52.0,,0.52,32.76
2017-07-04,70,52.0,,0.52,36.4
2017-07-05,99,52.0,,0.52,51.480000000000004
2017-07-06,100,52.0,,0.52,52.0
2017-07-07,69,52.0,,0.52,35.88
2017-07-08,71,52.0,,0.52,36.92
2017-07-09,68,52.0,,0.52,35.36
2017-07-10,68,52.0,,0.52,35.36
2017-07-11,63,52.0,,0.52,32.76
2017-07-12,67,52.0,,0.52,34.84
2017-07-13,61,52.0,,0.52,31.720000000000002
2017-07-14,67,52.0,,0.52,34.84
2017-07-15,70,52.0,,0.52,36.4
2017-07-16,67,52.0,,0.52,34.84
2017-07-17,65,52.0,,0.52,33.800000000000004
2017-07-18,63,52.0,,0.52,32.76
2017-07-19,69,52.0,,0.52,35.88
2017-07-20,60,52.0,,0.52,31.200000000000003
2017-07-21,68,52.0,,0.52,35.36
2017-07-22,69,52.0,,0.52,35.88
2017-07-23,66,52.0,,0.52,34.32
2017-07-24,69,52.0,,0.52,35.88
2017-07-25,67,52.0,,0.52,34.84
2017-07-26,71,52.0,,0.52,36.92
2017-07-27,72,52.0,,0.52,37.44
2017-07-28,69,52.0,,0.52,35.88
2017-07-29,68,52.0,,0.52,35.36
2017-07-30,65,52.0,,0.52,33.800000000000004
2017-07-31,67,52.0,,0.52,34.84
2017-08-01,87,48.0,False,0.48,41.76
2017-08-02,87,48.0,,0.48,41.76
2017-08-03,87,48.0,,0.48,41.76
2017-08-04,85,48.0,,0.48,40.8
2017-08-05,86,48.0,,0.48,41.28
2017-08-06,92,48.0,,0.48,44.16
2017-08-07,100,48.0,,0.48,48.0
2017-08-08,93,48.0,,0.48,44.64
2017-08-09,89,48.0,,0.48,42.72
2017-08-10,90,48.0,,0.48,43.199999999999996
2017-08-11,88,48.0,,0.48,42.239999999999995
2017-08-12,89,48.0,,0.48,42.72
2017-08-13,93,48.0,,0.48,44.64
2017-08-14,89,48.0,,0.48,42.72
2017-08-15,84,48.0,,0.48,40.32
2017-08-16,84,48.0,,0.48,40.32
2017-08-17,75,48.0,,0.48,36.0
2017-08-18,83,48.0,,0.48,39.839999999999996
2017-08-19,85,48.0,,0.48,40.8
2017-08-20,93,48.0,,0.48,44.64
2017-08-21,84,48.0,,0.48,40.32
2017-08-22,79,48.0,,0.48,37.92
2017-08-23,82,48.0,,0.48,39.36
2017-08-24,77,48.0,,0.48,36.96
2017-08-25,81,48.0,,0.48,38.879999999999995
2017-08-26,89,48.0,,0.48,42.72
2017-08-27,91,48.0,,0.48,43.68
2017-08-28,86,48.0,,0.48,41.28
2017-08-29,82,48.0,,0.48,39.36
2017-08-30,82,48.0,,0.48,39.36
2017-08-31,79,48.0,,0.48,37.92
2017-09-01,90,43.0,False,0.43,38.7
2017-09-02,85,43.0,,0.43,36.55
2017-09-03,92,43.0,,0.43,39.56
2017-09-04,97,43.0,,0.43,41.71
2017-09-05,87,43.0,,0.43,37.41
2017-09-06,83,43.0,,0.43,35.69
2017-09-07,82,43.0,,0.43,35.26
2017-09-08,72,43.0,,0.43,30.96
2017-09-09,92,43.0,,0.43,39.56
2017-09-10,86,43.0,,0.43,36.98
2017-09-11,84,43.0,,0.43,36.12
2017-09-12,81,43.0,,0.43,34.83
2017-09-13,81,43.0,,0.43,34.83
2017-09-14,89,43.0,,0.43,38.269999999999996
2017-09-15,89,43.0,,0.43,38.269999999999996
2017-09-16,99,43.0,,0.43,42.57
2017-09-17,97,43.0,,0.43,41.71
2017-09-18,85,43.0,,0.43,36.55
2017-09-19,86,43.0,,0.43,36.98
2017-09-20,90,43.0,,0.43,38.7
2017-09-21,90,43.0,,0.43,38.7
2017-09-22,87,43.0,,0.43,37.41
2017-09-23,100,43.0,,0.43,43.0
2017-09-24,99,43.0,,0.43,42.57
2017-09-25,84,43.0,,0.43,36.12
2017-09-26,94,43.0,,0.43,40.42
2017-09-27,97,43.0,,0.43,41.71
2017-09-28,84,43.0,,0.43,36.12
2017-09-29,82,43.0,,0.43,35.26
2017-09-30,98,43.0,,0.43,42.14
2017-10-01,89,45.0,False,0.45,40.050000000000004
2017-10-02,78,45.0,,0.45,35.1
2017-10-03,76,45.0,,0.45,34.2
2017-10-04,77,45.0,,0.45,34.65
2017-10-05,79,45.0,,0.45,35.550000000000004
2017-10-06,83,45.0,,0.45,37.35
2017-10-07,90,45.0,,0.45,40.5
2017-10-08,91,45.0,,0.45,40.95
2017-10-09,82,45.0,,0.45,36.9
2017-10-10,86,45.0,,0.45,38.7
2017-10-11,85,45.0,,0.45,38.25
2017-10-12,87,45.0,,0.45,39.15
2017-10-13,79,45.0,,0.45,35.550000000000004
2017-10-14,91,45.0,,0.45,40.95
2017-10-15,88,45.0,,0.45,39.6
2017-10-16,84,45.0,,0.45,37.800000000000004
2017-10-17,82,45.0,,0.45,36.9
2017-10-18,85,45.0,,0.45,38.25
2017-10-19,83,45.0,,0.45,37.35
2017-10-20,85,45.0,,0.45,38.25
2017-10-21,91,45.0,,0.45,40.95
2017-10-22,91,45.0,,0.45,40.95
2017-10-23,88,45.0,,0.45,39.6
2017-10-24,83,45.0,,0.45,37.35
2017-10-25,82,45.0,,0.45,36.9
2017-10-26,77,45.0,,0.45,34.65
2017-10-27,81,45.0,,0.45,36.45
2017-10-28,100,45.0,,0.45,45.0
2017-10-29,95,45.0,,0.45,42.75
2017-10-30,78,45.0,,0.45,35.1
2017-10-31,86,45.0,,0.45,38.7
2017-11-01,90,45.0,False,0.45,40.5
2017-11-02,79,45.0,,0.45,35.550000000000004
2017-11-03,80,45.0,,0.45,36.0
2017-11-04,93,45.0,,0.45,41.85
2017-11-05,94,45.0,,0.45,42.300000000000004
2017-11-06,86,45.0,,0.45,38.7
2017-11-07,89,45.0,,0.45,40.050000000000004
2017-11-08,86,45.0,,0.45,38.7
2017-11-09,84,45.0,,0.45,37.800000000000004
2017-11-10,87,45.0,,0.45,39.15
2017-11-11,81,45.0,,0.45,36.45
2017-11-12,98,45.0,,0.45,44.1
2017-11-13,86,45.0,,0.45,38.7
2017-11-14,83,45.0,,0.45,37.35
2017-11-15,82,45.0,,0.45,36.9
2017-11-16,86,45.0,,0.45,38.7
2017-11-17,81,45.0,,0.45,36.45
2017-11-18,87,45.0,,0.45,39.15
2017-11-19,97,45.0,,0.45,43.65
2017-11-20,87,45.0,,0.45,39.15
2017-11-21,86,45.0,,0.45,38.7
2017-11-22,93,45.0,,0.45,41.85
2017-11-23,92,45.0,,0.45,41.4
2017-11-24,90,45.0,,0.45,40.5
2017-11-25,89,45.0,,0.45,40.050000000000004
2017-11-26,100,45.0,,0.45,45.0
2017-11-27,89,45.0,,0.45,40.050000000000004
2017-11-28,84,45.0,,0.45,37.800000000000004
2017-11-29,82,45.0,,0.45,36.9
2017-11-30,85,45.0,,0.45,38.25
2017-12-01,68,48.0,False,0.48,32.64
2017-12-02,73,48.0,,0.48,35.04
2017-12-03,75,48.0,,0.48,36.0
2017-12-04,68,48.0,,0.48,32.64
2017-12-05,71,48.0,,0.48,34.08
2017-12-06,69,48.0,,0.48,33.12
2017-12-07,68,48.0,,0.48,32.64
2017-12-08,63,48.0,,0.48,30.24
2017-12-09,78,48.0,,0.48,37.44
2017-12-10,81,48.0,,0.48,38.879999999999995
2017-12-11,69,48.0,,0.48,33.12
2017-12-12,67,48.0,,0.48,32.16
2017-12-13,64,48.0,,0.48,30.72
2017-12-14,73,48.0,,0.48,35.04
2017-12-15,69,48.0,,0.48,33.12
2017-12-16,84,48.0,,0.48,40.32
2017-12-17,82,48.0,,0.48,39.36
2017-12-18,71,48.0,,0.48,34.08
2017-12-19,66,48.0,,0.48,31.68
2017-12-20,70,48.0,,0.48,33.6
2017-12-21,77,48.0,,0.48,36.96
2017-12-22,77,48.0,,0.48,36.96
2017-12-23,74,48.0,,0.48,35.519999999999996
2017-12-24,82,48.0,,0.48,39.36
