date,ST_unscaled,ST_monthly,isPartial,scale,ST
2016-08-12,93,76.0,,0.76,70.68
2016-08-13,86,76.0,,0.76,65.36
2016-08-14,89,76.0,,0.76,67.64
2016-08-15,94,76.0,,0.76,71.44
2016-08-16,93,76.0,,0.76,70.68
2016-08-17,92,76.0,,0.76,69.92
2016-08-18,94,76.0,,0.76,71.44
2016-08-19,91,76.0,,0.76,69.16
2016-08-20,89,76.0,,0.76,67.64
2016-08-21,86,76.0,,0.76,65.36
2016-08-22,95,76.0,,0.76,72.2
2016-08-23,92,76.0,,0.76,69.92
2016-08-24,95,76.0,,0.76,72.2
2016-08-25,89,76.0,,0.76,67.64
2016-08-26,93,76.0,,0.76,70.68
2016-08-27,93,76.0,,0.76,70.68
2016-08-28,92,76.0,,0.76,69.92
2016-08-29,93,76.0,,0.76,70.68
2016-08-30,92,76.0,,0.76,69.92
2016-08-31,93,76.0,,0.76,70.68
2016-09-01,95,77.0,False,0.77,73.15
2016-09-02,98,77.0,,0.77,75.46000000000001
2016-09-03,98,77.0,,0.77,75.46000000000001
2016-09-04,96,77.0,,0.77,73.92
2016-09-05,85,77.0,,0.77,65.45
2016-09-06,100,77.0,,0.77,77.0
2016-09-07,95,77.0,,0.77,73.15
2016-09-08,94,77.0,,0.77,72.38
2016-09-09,98,77.0,,0.77,75.46000000000001
2016-09-10,99,77.0,,0.77,76.23
2016-09-11,88,77.0,,0.77,67.76
2016-09-12,93,77.0,,0.77,71.61
2016-09-13,92,77.0,,0.77,70.84
2016-09-14,93,77.0,,0.77,71.61
2016-09-15,92,77.0,,0.77,70.84
2016-09-16,96,77.0,,0.77,73.92
2016-09-17,95,77.0,,0.77,73.15
2016-09-18,96,77.0,,0.77,73.92
2016-09-19,97,77.0,,0.77,74.69
2016-09-20,92,77.0,,0.77,70.84
2016-09-21,93,77.0,,0.77,71.61
2016-09-22,91,77.0,,0.77,70.07000000000001
2016-09-23,95,77.0,,0.77,73.15
2016-09-24,94,77.0,,0.77,72.38
2016-09-25,87,77.0,,0.77,66.99
2016-09-26,95,77.0,,0.77,73.15
2016-09-27,88,77.0,,0.77,67.76
2016-09-28,90,77.0,,0.77,69.3
2016-09-29,93,77.0,,0.77,71.61
2016-09-30,97,77.0,,0.77,74.69
2016-10-01,100,76.0,False,0.76,76.0
2016-10-02,90,76.0,,0.76,68.4
2016-10-03,89,76.0,,0.76,67.64
2016-10-04,89,76.0,,0.76,67.64
2016-10-05,92,76.0,,0.76,69.92
2016-10-06,95,76.0,,0.76,72.2
2016-10-07,100,76.0,,0.76,76.0
2016-10-08,99,76.0,,0.76,75.24
2016-10-09,85,76.0,,0.76,64.6
2016-10-10,87,76.0,,0.76,66.12
2016-10-11,90,76.0,,0.76,68.4
2016-10-12,89,76.0,,0.76,67.64
2016-10-13,92,76.0,,0.76,69.92
2016-10-14,92,76.0,,0.76,69.92
2016-10-15,97,76.0,,0.76,73.72
2016-10-16,86,76.0,,0.76,65.36
2016-10-17,92,76.0,,0.76,69.92
2016-10-18,91,76.0,,0.76,69.16
2016-10-19,92,76.0,,0.76,69.92
2016-10-20,89,76.0,,0.76,67.64
2016-10-21,91,76.0,,0.76,69.16
2016-10-22,93,76.0,,0.76,70.68
2016-10-23,86,76.0,,0.76,65.36
2016-10-24,89,76.0,,0.76,67.64
2016-10-25,89,76.0,,0.76,67.64
2016-10-26,88,76.0,,0.76,66.88
2016-10-27,89,76.0,,0.76,67.64
2016-10-28,91,76.0,,0.76,69.16
2016-10-29,90,76.0,,0.76,68.4
2016-10-30,89,76.0,,0.76,67.64
2016-10-31,91,76.0,,0.76,69.16
2016-11-01,100,67.0,False,0.67,67.0
2016-11-02,90,67.0,,0.67,60.300000000000004
2016-11-03,87,67.0,,0.67,58.290000000000006
2016-11-04,95,67.0,,0.67,63.650000000000006
2016-11-05,95,67.0,,0.67,63.650000000000006
2016-11-06,87,67.0,,0.67,58.290000000000006
2016-11-07,90,67.0,,0.67,60.300000000000004
2016-11-08,88,67.0,,0.67,58.96
2016-11-09,62,67.0,,0.67,41.54
2016-11-10,87,67.0,,0.67,58.290000000000006
2016-11-11,89,67.0,,0.67,59.63
2016-11-12,91,67.0,,0.67,60.970000000000006
2016-11-13,83,67.0,,0.67,55.61000000000001
2016-11-14,90,67.0,,0.67,60.300000000000004
2016-11-15,92,67.0,,0.67,61.64
2016-11-16,87,67.0,,0.67,58.290000000000006
2016-11-17,89,67.0,,0.67,59.63
2016-11-18,95,67.0,,0.67,63.650000000000006
2016-11-19,94,67.0,,0.67,62.980000000000004
2016-11-20,86,67.0,,0.67,57.620000000000005
2016-11-21,91,67.0,,0.67,60.970000000000006
2016-11-22,90,67.0,,0.67,60.300000000000004
2016-11-23,86,67.0,,0.67,57.620000000000005
2016-11-24,67,67.0,,0.67,44.89
2016-11-25,74,67.0,,0.67,49.580000000000005
2016-11-26,83,67.0,,0.67,55.61000000000001
2016-11-27,84,67.0,,0.67,56.28
2016-11-28,84,67.0,,0.67,56.28
2016-11-29,87,67.0,,0.67,58.290000000000006
2016-11-30,91,67.0,,0.67,60.970000000000006
2016-12-01,83,71.0,False,0.71,58.93
2016-12-02,81,71.0,,0.71,57.51
2016-12-03,89,71.0,,0.71,63.19
2016-12-04,84,71.0,,0.71,59.64
2016-12-05,83,71.0,,0.71,58.93
2016-12-06,86,71.0,,0.71,61.059999999999995
2016-12-07,85,71.0,,0.71,60.349999999999994
2016-12-08,87,71.0,,0.71,61.769999999999996
2016-12-09,78,71.0,,0.71,55.379999999999995
2016-12-10,81,71.0,,0.71,57.51
2016-12-11,77,71.0,,0.71,54.669999999999995
2016-12-12,81,71.0,,0.71,57.51
2016-12-13,84,71.0,,0.71,59.64
2016-12-14,81,71.0,,0.71,57.51
2016-12-15,83,71.0,,0.71,58.93
2016-12-16,85,71.0,,0.71,60.349999999999994
2016-12-17,84,71.0,,0.71,59.64
2016-12-18,82,71.0,,0.71,58.22
2016-12-19,85,71.0,,0.71,60.349999999999994
2016-12-20,89,71.0,,0.71,63.19
2016-12-21,88,71.0,,0.71,62.48
2016-12-22,88,71.0,,0.71,62.48
2016-12-23,85,71.0,,0.71,60.349999999999994
2016-12-24,100,71.0,,0.71,71.0
2016-12-25,85,71.0,,0.71,60.349999999999994
2016-12-26,73,71.0,,0.71,51.83
2016-12-27,86,71.0,,0.71,61.059999999999995
2016-12-28,89,71.0,,0.71,63.19
2016-12-29,85,71.0,,0.71,60.349999999999994
2016-12-30,87,71.0,,0.71,61.769999999999996
2016-12-31,81,71.0,,0.71,57.51
2017-01-01,87,75.0,False,0.75,65.25
2017-01-02,89,75.0,,0.75,66.75
2017-01-03,91,75.0,,0.75,68.25
2017-01-04,95,75.0,,0.75,71.25
2017-01-05,100,75.0,,0.75,75.0
2017-01-06,91,75.0,,0.75,68.25
2017-01-07,86,75.0,,0.75,64.5
2017-01-08,86,75.0,,0.75,64.5
2017-01-09,94,75.0,,0.75,70.5
2017-01-10,91,75.0,,0.75,68.25
2017-01-11,94,75.0,,0.75,70.5
2017-01-12,94,75.0,,0.75,70.5
2017-01-13,94,75.0,,0.75,70.5
2017-01-14,94,75.0,,0.75,70.5
2017-01-15,85,75.0,,0.75,63.75
2017-01-16,88,75.0,,0.75,66.0
2017-01-17,94,75.0,,0.75,70.5
2017-01-18,92,75.0,,0.75,69.0
2017-01-19,91,75.0,,0.75,68.25
2017-01-20,85,75.0,,0.75,63.75
2017-01-21,86,75.0,,0.75,64.5
2017-01-22,82,75.0,,0.75,61.5
2017-01-23,88,75.0,,0.75,66.0
2017-01-24,91,75.0,,0.75,68.25
2017-01-25,90,75.0,,0.75,67.5
2017-01-26,91,75.0,,0.75,68.25
2017-01-27,93,75.0,,0.75,69.75
2017-01-28,90,75.0,,0.75,67.5
2017-01-29,90,75.0,,0.75,67.5
2017-01-30,89,75.0,,0.75,66.75
2017-01-31,94,75.0,,0.75,70.5
2017-02-01,86,79.0,False,0.79,67.94
2017-02-02,84,79.0,,0.79,66.36
2017-02-03,88,79.0,,0.79,69.52000000000001
2017-02-04,87,79.0,,0.79,68.73
2017-02-05,81,79.0,,0.79,63.99
2017-02-06,82,79.0,,0.79,64.78
2017-02-07,88,79.0,,0.79,69.52000000000001
2017-02-08,88,79.0,,0.79,69.52000000000001
2017-02-09,85,79.0,,0.79,67.15
2017-02-10,87,79.0,,0.79,68.73
2017-02-11,88,79.0,,0.79,69.52000000000001
2017-02-12,89,79.0,,0.79,70.31
2017-02-13,88,79.0,,0.79,69.52000000000001
2017-02-14,90,79.0,,0.79,71.10000000000001
2017-02-15,92,79.0,,0.79,72.68
2017-02-16,89,79.0,,0.79,70.31
2017-02-17,94,79.0,,0.79,74.26
2017-02-18,93,79.0,,0.79,73.47
2017-02-19,93,79.0,,0.79,73.47
2017-02-20,93,79.0,,0.79,73.47
2017-02-21,90,79.0,,0.79,71.10000000000001
2017-02-22,94,79.0,,0.79,74.26
2017-02-23,93,79.0,,0.79,73.47
2017-02-24,96,79.0,,0.79,75.84
2017-02-25,96,79.0,,0.79,75.84
2017-02-26,91,79.0,,0.79,71.89
2017-02-27,96,79.0,,0.79,75.84
2017-02-28,100,79.0,,0.79,79.0
2017-03-01,50,95.0,False,0.95,47.5
2017-03-02,39,95.0,,0.95,37.05
2017-03-03,40,95.0,,0.95,38.0
2017-03-04,41,95.0,,0.95,38.949999999999996
2017-03-05,40,95.0,,0.95,38.0
2017-03-06,40,95.0,,0.95,38.0
2017-03-07,40,95.0,,0.95,38.0
2017-03-08,40,95.0,,0.95,38.0
2017-03-09,41,95.0,,0.95,38.949999999999996
2017-03-10,44,95.0,,0.95,41.8
2017-03-11,52,95.0,,0.95,49.4
2017-03-12,45,95.0,,0.95,42.75
2017-03-13,43,95.0,,0.95,40.85
2017-03-14,40,95.0,,0.95,38.0
2017-03-15,46,95.0,,0.95,43.699999999999996
2017-03-16,54,95.0,,0.95,51.3
2017-03-17,100,95.0,,0.95,95.0
2017-03-18,50,95.0,,0.95,47.5
2017-03-19,42,95.0,,0.95,39.9
2017-03-20,36,95.0,,0.95,34.199999999999996
2017-03-21,36,95.0,,0.95,34.199999999999996
2017-03-22,36,95.0,,0.95,34.199999999999996
2017-03-23,36,95.0,,0.95,34.199999999999996
2017-03-24,36,95.0,,0.95,34.199999999999996
2017-03-25,35,95.0,,0.95,33.25
2017-03-26,34,95.0,,0.95,32.3
2017-03-27,36,95.0,,0.95,34.199999999999996
2017-03-28,35,95.0,,0.95,33.25
2017-03-29,35,95.0,,0.95,33.25
2017-03-30,35,95.0,,0.95,33.25
2017-03-31,36,95.0,,0.95,34.199999999999996
2017-04-01,82,79.0,False,0.79,64.78
2017-04-02,81,79.0,,0.79,63.99
2017-04-03,91,79.0,,0.79,71.89
2017-04-04,86,79.0,,0.79,67.94
2017-04-05,85,79.0,,0.79,67.15
2017-04-06,82,79.0,,0.79,64.78
2017-04-07,82,79.0,,0.79,64.78
2017-04-08,85,79.0,,0.79,67.15
2017-04-09,88,79.0,,0.79,69.52000000000001
2017-04-10,84,79.0,,0.79,66.36
2017-04-11,83,79.0,,0.79,65.57000000000001
2017-04-12,83,79.0,,0.79,65.57000000000001
2017-04-13,88,79.0,,0.79,69.52000000000001
2017-04-14,93,79.0,,0.79,73.47
2017-04-15,91,79.0,,0.79,71.89
2017-04-16,100,79.0,,0.79,79.0
2017-04-17,82,79.0,,0.79,64.78
2017-04-18,78,79.0,,0.79,61.620000000000005
2017-04-19,82,79.0,,0.79,64.78
2017-04-20,80,79.0,,0.79,63.2
2017-04-21,83,79.0,,0.79,65.57000000000001
2017-04-22,82,79.0,,0.79,64.78
2017-04-23,79,79.0,,0.79,62.410000000000004
2017-04-24,82,79.0,,0.79,64.78
2017-04-25,80,79.0,,0.79,63.2
2017-04-26,78,79.0,,0.79,61.620000000000005
2017-04-27,84,79.0,,0.79,66.36
2017-04-28,81,79.0,,0.79,63.99
2017-04-29,80,79.0,,0.79,63.2
2017-04-30,81,79.0,,0.79,63.99
2017-05-01,94,78.0,False,0.78,73.32000000000001
2017-05-02,95,78.0,,0.78,74.10000000000001
2017-05-03,98,78.0,,0.78,76.44
2017-05-04,97,78.0,,0.78,75.66
2017-05-05,98,78.0,,0.78,76.44
2017-05-06,94,78.0,,0.78,73.32000000000001
2017-05-07,95,78.0,,0.78,74.10000000000001
2017-05-08,96,78.0,,0.78,74.88
2017-05-09,96,78.0,,0.78,74.88
2017-05-10,93,78.0,,0.78,72.54
2017-05-11,98,78.0,,0.78,76.44
2017-05-12,96,78.0,,0.78,74.88
2017-05-13,96,78.0,,0.78,74.88
2017-05-14,85,78.0,,0.78,66.3
2017-05-15,93,78.0,,0.78,72.54
2017-05-16,93,78.0,,0.78,72.54
2017-05-17,92,78.0,,0.78,71.76
2017-05-18,94,78.0,,0.78,73.32000000000001
2017-05-19,96,78.0,,0.78,74.88
2017-05-20,95,78.0,,0.78,74.10000000000001
2017-05-21,92,78.0,,0.78,71.76
2017-05-22,96,78.0,,0.78,74.88
2017-05-23,94,78.0,,0.78,73.32000000000001
2017-05-24,97,78.0,,0.78,75.66
2017-05-25,98,78.0,,0.78,76.44
2017-05-26,94,78.0,,0.78,73.32000000000001
2017-05-27,97,78.0,,0.78,75.66
2017-05-28,95,78.0,,0.78,74.10000000000001
2017-05-29,84,78.0,,0.78,65.52
2017-05-30,99,78.0,,0.78,77.22
2017-05-31,100,78.0,,0.78,78.0
2017-06-01,95,84.0,False,0.84,79.8
2017-06-02,97,84.0,,0.84,81.48
2017-06-03,92,84.0,,0.84,77.28
2017-06-04,90,84.0,,0.84,75.6
2017-06-05,96,84.0,,0.84,80.64
2017-06-06,94,84.0,,0.84,78.96
2017-06-07,95,84.0,,0.84,79.8
2017-06-08,93,84.0,,0.84,78.11999999999999
2017-06-09,95,84.0,,0.84,79.8
2017-06-10,92,84.0,,0.84,77.28
2017-06-11,93,84.0,,0.84,78.11999999999999
2017-06-12,99,84.0,,0.84,83.16
2017-06-13,91,84.0,,0.84,76.44
2017-06-14,93,84.0,,0.84,78.11999999999999
2017-06-15,94,84.0,,0.84,78.96
2017-06-16,93,84.0,,0.84,78.11999999999999
2017-06-17,94,84.0,,0.84,78.96
2017-06-18,87,84.0,,0.84,73.08
2017-06-19,100,84.0,,0.84,84.0
2017-06-20,94,84.0,,0.84,78.96
2017-06-21,92,84.0,,0.84,77.28
2017-06-22,97,84.0,,0.84,81.48
2017-06-23,94,84.0,,0.84,78.96
2017-06-24,94,84.0,,0.84,78.96
2017-06-25,96,84.0,,0.84,80.64
2017-06-26,99,84.0,,0.84,83.16
2017-06-27,94,84.0,,0.84,78.96
2017-06-28,97,84.0,,0.84,81.48
2017-06-29,98,84.0,,0.84,82.32
2017-06-30,95,84.0,,0.84,79.8
2017-07-01,93,82.0,False,0.82,76.25999999999999
2017-07-02,96,82.0,,0.82,78.72
2017-07-03,97,82.0,,0.82,79.53999999999999
2017-07-04,84,82.0,,0.82,68.88
2017-07-05,100,82.0,,0.82,82.0
2017-07-06,96,82.0,,0.82,78.72
2017-07-07,99,82.0,,0.82,81.17999999999999
2017-07-08,93,82.0,,0.82,76.25999999999999
2017-07-09,92,82.0,,0.82,75.44
2017-07-10,97,82.0,,0.82,79.53999999999999
2017-07-11,96,82.0,,0.82,78.72
2017-07-12,95,82.0,,0.82,77.89999999999999
2017-07-13,96,82.0,,0.82,78.72
2017-07-14,97,82.0,,0.82,79.53999999999999
2017-07-15,93,82.0,,0.82,76.25999999999999
2017-07-16,95,82.0,,0.82,77.89999999999999
2017-07-17,99,82.0,,0.82,81.17999999999999
2017-07-18,97,82.0,,0.82,79.53999999999999
2017-07-19,98,82.0,,0.82,80.36
2017-07-20,92,82.0,,0.82,75.44
2017-07-21,97,82.0,,0.82,79.53999999999999
2017-07-22,92,82.0,,0.82,75.44
2017-07-23,91,82.0,,0.82,74.61999999999999
2017-07-24,98,82.0,,0.82,80.36
2017-07-25,97,82.0,,0.82,79.53999999999999
2017-07-26,97,82.0,,0.82,79.53999999999999
2017-07-27,97,82.0,,0.82,79.53999999999999
2017-07-28,96,82.0,,0.82,78.72
2017-07-29,94,82.0,,0.82,77.08
2017-07-30,95,82.0,,0.82,77.89999999999999
2017-07-31,96,82.0,,0.82,78.72
2017-08-01,95,80.0,False,0.8,76.0
2017-08-02,94,80.0,,0.8,75.2
2017-08-03,94,80.0,,0.8,75.2
2017-08-04,95,80.0,,0.8,76.0
2017-08-05,88,80.0,,0.8,70.4
2017-08-06,91,80.0,,0.8,72.8
2017-08-07,93,80.0,,0.8,74.4
2017-08-08,91,80.0,,0.8,72.8
2017-08-09,94,80.0,,0.8,75.2
2017-08-10,96,80.0,,0.8,76.80000000000001
2017-08-11,94,80.0,,0.8,75.2
2017-08-12,89,80.0,,0.8,71.2
2017-08-13,88,80.0,,0.8,70.4
2017-08-14,97,80.0,,0.8,77.60000000000001
2017-08-15,100,80.0,,0.8,80.0
2017-08-16,91,80.0,,0.8,72.8
2017-08-17,91,80.0,,0.8,72.8
2017-08-18,90,80.0,,0.8,72.0
2017-08-19,89,80.0,,0.8,71.2
2017-08-20,86,80.0,,0.8,68.8
2017-08-21,92,80.0,,0.8,73.60000000000001
2017-08-22,91,80.0,,0.8,72.8
2017-08-23,89,80.0,,0.8,71.2
2017-08-24,90,80.0,,0.8,72.0
2017-08-25,88,80.0,,0.8,70.4
2017-08-26,86,80.0,,0.8,68.8
2017-08-27,77,80.0,,0.8,61.6
2017-08-28,88,80.0,,0.8,70.4
2017-08-29,86,80.0,,0.8,68.8
2017-08-30,88,80.0,,0.8,70.4
2017-08-31,89,80.0,,0.8,71.2
2017-09-01,81,79.0,False,0.79,63.99
2017-09-02,76,79.0,,0.79,60.040000000000006
2017-09-03,79,79.0,,0.79,62.410000000000004
2017-09-04,66,79.0,,0.79,52.14
2017-09-05,83,79.0,,0.79,65.57000000000001
2017-09-06,100,79.0,,0.79,79.0
2017-09-07,99,79.0,,0.79,78.21000000000001
2017-09-08,92,79.0,,0.79,72.68
2017-09-09,87,79.0,,0.79,68.73
2017-09-10,80,79.0,,0.79,63.2
2017-09-11,88,79.0,,0.79,69.52000000000001
2017-09-12,85,79.0,,0.79,67.15
2017-09-13,84,79.0,,0.79,66.36
2017-09-14,79,79.0,,0.79,62.410000000000004
2017-09-15,92,79.0,,0.79,72.68
2017-09-16,94,79.0,,0.79,74.26
2017-09-17,81,79.0,,0.79,63.99
2017-09-18,84,79.0,,0.79,66.36
2017-09-19,81,79.0,,0.79,63.99
2017-09-20,82,79.0,,0.79,64.78
2017-09-21,79,79.0,,0.79,62.410000000000004
2017-09-22,81,79.0,,0.79,63.99
2017-09-23,80,79.0,,0.79,63.2
2017-09-24,76,79.0,,0.79,60.040000000000006
2017-09-25,77,79.0,,0.79,60.830000000000005
2017-09-26,78,79.0,,0.79,61.620000000000005
2017-09-27,77,79.0,,0.79,60.830000000000005
2017-09-28,75,79.0,,0.79,59.25
2017-09-29,77,79.0,,0.79,60.830000000000005
2017-09-30,77,79.0,,0.79,60.830000000000005
2017-10-01,92,73.0,False,0.73,67.16
2017-10-02,91,73.0,,0.73,66.42999999999999
2017-10-03,95,73.0,,0.73,69.35
2017-10-04,95,73.0,,0.73,69.35
2017-10-05,97,73.0,,0.73,70.81
2017-10-06,97,73.0,,0.73,70.81
2017-10-07,98,73.0,,0.73,71.53999999999999
2017-10-08,91,73.0,,0.73,66.42999999999999
2017-10-09,93,73.0,,0.73,67.89
2017-10-10,94,73.0,,0.73,68.62
2017-10-11,93,73.0,,0.73,67.89
2017-10-12,96,73.0,,0.73,70.08
2017-10-13,98,73.0,,0.73,71.53999999999999
2017-10-14,99,73.0,,0.73,72.27
2017-10-15,91,73.0,,0.73,66.42999999999999
2017-10-16,98,73.0,,0.73,71.53999999999999
2017-10-17,98,73.0,,0.73,71.53999999999999
2017-10-18,95,73.0,,0.73,69.35
2017-10-19,96,73.0,,0.73,70.08
2017-10-20,100,73.0,,0.73,73.0
2017-10-21,98,73.0,,0.73,71.53999999999999
2017-10-22,93,73.0,,0.73,67.89
2017-10-23,97,73.0,,0.73,70.81
2017-10-24,95,73.0,,0.73,69.35
2017-10-25,94,73.0,,0.73,68.62
2017-10-26,94,73.0,,0.73,68.62
2017-10-27,97,73.0,,0.73,70.81
2017-10-28,95,73.0,,0.73,69.35
2017-10-29,90,73.0,,0.73,65.7
2017-10-30,94,73.0,,0.73,68.62
2017-10-31,93,73.0,,0.73,67.89
2017-11-01,100,71.0,False,0.71,71.0
2017-11-02,90,71.0,,0.71,63.9
2017-11-03,97,71.0,,0.71,68.86999999999999
2017-11-04,99,71.0,,0.71,70.28999999999999
2017-11-05,96,71.0,,0.71,68.16
2017-11-06,95,71.0,,0.71,67.45
2017-11-07,94,71.0,,0.71,66.74
2017-11-08,94,71.0,,0.71,66.74
2017-11-09,94,71.0,,0.71,66.74
2017-11-10,96,71.0,,0.71,68.16
2017-11-11,94,71.0,,0.71,66.74
2017-11-12,88,71.0,,0.71,62.48
2017-11-13,90,71.0,,0.71,63.9
2017-11-14,92,71.0,,0.71,65.32
2017-11-15,94,71.0,,0.71,66.74
2017-11-16,90,71.0,,0.71,63.9
2017-11-17,94,71.0,,0.71,66.74
2017-11-18,93,71.0,,0.71,66.03
2017-11-19,87,71.0,,0.71,61.769999999999996
2017-11-20,89,71.0,,0.71,63.19
2017-11-21,93,71.0,,0.71,66.03
2017-11-22,87,71.0,,0.71,61.769999999999996
2017-11-23,67,71.0,,0.71,47.57
2017-11-24,77,71.0,,0.71,54.669999999999995
2017-11-25,82,71.0,,0.71,58.22
2017-11-26,86,71.0,,0.71,61.059999999999995
2017-11-27,87,71.0,,0.71,61.769999999999996
2017-11-28,92,71.0,,0.71,65.32
2017-11-29,88,71.0,,0.71,62.48
2017-11-30,93,71.0,,0.71,66.03
2017-12-01,80,71.0,False,0.71,56.8
2017-12-02,86,71.0,,0.71,61.059999999999995
2017-12-03,81,71.0,,0.71,57.51
2017-12-04,82,71.0,,0.71,58.22
2017-12-05,85,71.0,,0.71,60.349999999999994
2017-12-06,87,71.0,,0.71,61.769999999999996
2017-12-07,83,71.0,,0.71,58.93
2017-12-08,89,71.0,,0.71,63.19
2017-12-09,80,71.0,,0.71,56.8
2017-12-10,78,71.0,,0.71,55.379999999999995
2017-12-11,81,71.0,,0.71,57.51
2017-12-12,81,71.0,,0.71,57.51
2017-12-13,82,71.0,,0.71,58.22
2017-12-14,82,71.0,,0.71,58.22
2017-12-15,80,71.0,,0.71,56.8
2017-12-16,82,71.0,,0.71,58.22
2017-12-17,78,71.0,,0.71,55.379999999999995
2017-12-18,82,71.0,,0.71,58.22
2017-12-19,87,71.0,,0.71,61.769999999999996
2017-12-20,86,71.0,,0.71,61.059999999999995
2017-12-21,87,71.0,,0.71,61.769999999999996
2017-12-22,84,71.0,,0.71,59.64
2017-12-23,86,71.0,,0.71,61.059999999999995
