date,LUV_unscaled,LUV_monthly,isPartial,scale,LUV
2016-08-14,52,70.0,,0.7,36.4
2016-08-15,52,70.0,,0.7,36.4
2016-08-16,52,70.0,,0.7,36.4
2016-08-17,54,70.0,,0.7,37.8
2016-08-18,46,70.0,,0.7,32.199999999999996
2016-08-19,48,70.0,,0.7,33.599999999999994
2016-08-20,51,70.0,,0.7,35.699999999999996
2016-08-21,57,70.0,,0.7,39.9
2016-08-22,51,70.0,,0.7,35.699999999999996
2016-08-23,50,70.0,,0.7,35.0
2016-08-24,50,70.0,,0.7,35.0
2016-08-25,57,70.0,,0.7,39.9
2016-08-26,56,70.0,,0.7,39.199999999999996
2016-08-27,54,70.0,,0.7,37.8
2016-08-28,60,70.0,,0.7,42.0
2016-08-29,55,70.0,,0.7,38.5
2016-08-30,48,70.0,,0.7,33.599999999999994
2016-08-31,51,70.0,,0.7,35.699999999999996
2016-09-01,89,54.0,False,0.54,48.06
2016-09-02,84,54.0,,0.54,45.36
2016-09-03,94,54.0,,0.54,50.760000000000005
2016-09-04,100,54.0,,0.54,54.0
2016-09-05,82,54.0,,0.54,44.28
2016-09-06,81,54.0,,0.54,43.74
2016-09-07,90,54.0,,0.54,48.6
2016-09-08,73,54.0,,0.54,39.42
2016-09-09,92,54.0,,0.54,49.68000000000001
2016-09-10,94,54.0,,0.54,50.760000000000005
2016-09-11,92,54.0,,0.54,49.68000000000001
2016-09-12,78,54.0,,0.54,42.120000000000005
2016-09-13,75,54.0,,0.54,40.5
2016-09-14,90,54.0,,0.54,48.6
2016-09-15,88,54.0,,0.54,47.52
2016-09-16,80,54.0,,0.54,43.2
2016-09-17,97,54.0,,0.54,52.38
2016-09-18,73,54.0,,0.54,39.42
2016-09-19,81,54.0,,0.54,43.74
2016-09-20,89,54.0,,0.54,48.06
2016-09-21,72,54.0,,0.54,38.88
2016-09-22,82,54.0,,0.54,44.28
2016-09-23,87,54.0,,0.54,46.980000000000004
2016-09-24,82,54.0,,0.54,44.28
2016-09-25,87,54.0,,0.54,46.980000000000004
2016-09-26,65,54.0,,0.54,35.1
2016-09-27,67,54.0,,0.54,36.18
2016-09-28,74,54.0,,0.54,39.96
2016-09-29,75,54.0,,0.54,40.5
2016-09-30,84,54.0,,0.54,45.36
2016-10-01,93,47.0,False,0.47,43.71
2016-10-02,80,47.0,,0.47,37.599999999999994
2016-10-03,78,47.0,,0.47,36.66
2016-10-04,90,47.0,,0.47,42.3
2016-10-05,73,47.0,,0.47,34.309999999999995
2016-10-06,72,47.0,,0.47,33.839999999999996
2016-10-07,71,47.0,,0.47,33.37
2016-10-08,79,47.0,,0.47,37.129999999999995
2016-10-09,88,47.0,,0.47,41.36
2016-10-10,75,47.0,,0.47,35.25
2016-10-11,80,47.0,,0.47,37.599999999999994
2016-10-12,92,47.0,,0.47,43.239999999999995
2016-10-13,95,47.0,,0.47,44.65
2016-10-14,89,47.0,,0.47,41.83
2016-10-15,100,47.0,,0.47,47.0
2016-10-16,77,47.0,,0.47,36.19
2016-10-17,79,47.0,,0.47,37.129999999999995
2016-10-18,69,47.0,,0.47,32.43
2016-10-19,74,47.0,,0.47,34.78
2016-10-20,80,47.0,,0.47,37.599999999999994
2016-10-21,69,47.0,,0.47,32.43
2016-10-22,75,47.0,,0.47,35.25
2016-10-23,79,47.0,,0.47,37.129999999999995
2016-10-24,75,47.0,,0.47,35.25
2016-10-25,78,47.0,,0.47,36.66
2016-10-26,87,47.0,,0.47,40.89
2016-10-27,78,47.0,,0.47,36.66
2016-10-28,81,47.0,,0.47,38.07
2016-10-29,100,47.0,,0.47,47.0
2016-10-30,73,47.0,,0.47,34.309999999999995
2016-10-31,60,47.0,,0.47,28.2
2016-11-01,81,44.0,False,0.44,35.64
2016-11-02,79,44.0,,0.44,34.76
2016-11-03,83,44.0,,0.44,36.52
2016-11-04,75,44.0,,0.44,33.0
2016-11-05,89,44.0,,0.44,39.160000000000004
2016-11-06,100,44.0,,0.44,44.0
2016-11-07,74,44.0,,0.44,32.56
2016-11-08,66,44.0,,0.44,29.04
2016-11-09,61,44.0,,0.44,26.84
2016-11-10,83,44.0,,0.44,36.52
2016-11-11,65,44.0,,0.44,28.6
2016-11-12,75,44.0,,0.44,33.0
2016-11-13,86,44.0,,0.44,37.84
2016-11-14,62,44.0,,0.44,27.28
2016-11-15,71,44.0,,0.44,31.24
2016-11-16,70,44.0,,0.44,30.8
2016-11-17,70,44.0,,0.44,30.8
2016-11-18,70,44.0,,0.44,30.8
2016-11-19,74,44.0,,0.44,32.56
2016-11-20,72,44.0,,0.44,31.68
2016-11-21,82,44.0,,0.44,36.08
2016-11-22,88,44.0,,0.44,38.72
2016-11-23,93,44.0,,0.44,40.92
2016-11-24,78,44.0,,0.44,34.32
2016-11-25,86,44.0,,0.44,37.84
2016-11-26,91,44.0,,0.44,40.04
2016-11-27,73,44.0,,0.44,32.12
2016-11-28,87,44.0,,0.44,38.28
2016-11-29,70,44.0,,0.44,30.8
2016-11-30,88,44.0,,0.44,38.72
2016-12-01,69,46.0,False,0.46,31.740000000000002
2016-12-02,70,46.0,,0.46,32.2
2016-12-03,88,46.0,,0.46,40.480000000000004
2016-12-04,77,46.0,,0.46,35.42
2016-12-05,71,46.0,,0.46,32.660000000000004
2016-12-06,59,46.0,,0.46,27.14
2016-12-07,78,46.0,,0.46,35.88
2016-12-08,82,46.0,,0.46,37.72
2016-12-09,78,46.0,,0.46,35.88
2016-12-10,74,46.0,,0.46,34.04
2016-12-11,70,46.0,,0.46,32.2
2016-12-12,63,46.0,,0.46,28.98
2016-12-13,77,46.0,,0.46,35.42
2016-12-14,84,46.0,,0.46,38.64
2016-12-15,100,46.0,,0.46,46.0
2016-12-16,82,46.0,,0.46,37.72
2016-12-17,87,46.0,,0.46,40.02
2016-12-18,88,46.0,,0.46,40.480000000000004
2016-12-19,63,46.0,,0.46,28.98
2016-12-20,93,46.0,,0.46,42.78
2016-12-21,97,46.0,,0.46,44.620000000000005
2016-12-22,100,46.0,,0.46,46.0
2016-12-23,84,46.0,,0.46,38.64
2016-12-24,98,46.0,,0.46,45.080000000000005
2016-12-25,78,46.0,,0.46,35.88
2016-12-26,87,46.0,,0.46,40.02
2016-12-27,76,46.0,,0.46,34.96
2016-12-28,96,46.0,,0.46,44.160000000000004
2016-12-29,71,46.0,,0.46,32.660000000000004
2016-12-30,69,46.0,,0.46,31.740000000000002
2016-12-31,70,46.0,,0.46,32.2
2017-01-01,92,46.0,False,0.46,42.32
2017-01-02,100,46.0,,0.46,46.0
2017-01-03,82,46.0,,0.46,37.72
2017-01-04,83,46.0,,0.46,38.18
2017-01-05,91,46.0,,0.46,41.86
2017-01-06,72,46.0,,0.46,33.120000000000005
2017-01-07,82,46.0,,0.46,37.72
2017-01-08,75,46.0,,0.46,34.5
2017-01-09,79,46.0,,0.46,36.34
2017-01-10,73,46.0,,0.46,33.58
2017-01-11,90,46.0,,0.46,41.4
2017-01-12,97,46.0,,0.46,44.620000000000005
2017-01-13,95,46.0,,0.46,43.7
2017-01-14,80,46.0,,0.46,36.800000000000004
2017-01-15,86,46.0,,0.46,39.56
2017-01-16,80,46.0,,0.46,36.800000000000004
2017-01-17,87,46.0,,0.46,40.02
2017-01-18,88,46.0,,0.46,40.480000000000004
2017-01-19,74,46.0,,0.46,34.04
2017-01-20,75,46.0,,0.46,34.5
2017-01-21,80,46.0,,0.46,36.800000000000004
2017-01-22,91,46.0,,0.46,41.86
2017-01-23,76,46.0,,0.46,34.96
2017-01-24,57,46.0,,0.46,26.220000000000002
2017-01-25,67,46.0,,0.46,30.82
2017-01-26,88,46.0,,0.46,40.480000000000004
2017-01-27,88,46.0,,0.46,40.480000000000004
2017-01-28,78,46.0,,0.46,35.88
2017-01-29,72,46.0,,0.46,33.120000000000005
2017-01-30,76,46.0,,0.46,34.96
2017-01-31,84,46.0,,0.46,38.64
2017-02-01,66,50.0,False,0.5,33.0
2017-02-02,66,50.0,,0.5,33.0
2017-02-03,63,50.0,,0.5,31.5
2017-02-04,74,50.0,,0.5,37.0
2017-02-05,74,50.0,,0.5,37.0
2017-02-06,62,50.0,,0.5,31.0
2017-02-07,63,50.0,,0.5,31.5
2017-02-08,74,50.0,,0.5,37.0
2017-02-09,71,50.0,,0.5,35.5
2017-02-10,79,50.0,,0.5,39.5
2017-02-11,76,50.0,,0.5,38.0
2017-02-12,70,50.0,,0.5,35.0
2017-02-13,69,50.0,,0.5,34.5
2017-02-14,100,50.0,,0.5,50.0
2017-02-15,97,50.0,,0.5,48.5
2017-02-16,86,50.0,,0.5,43.0
2017-02-17,76,50.0,,0.5,38.0
2017-02-18,88,50.0,,0.5,44.0
2017-02-19,75,50.0,,0.5,37.5
2017-02-20,71,50.0,,0.5,35.5
2017-02-21,61,50.0,,0.5,30.5
2017-02-22,71,50.0,,0.5,35.5
2017-02-23,85,50.0,,0.5,42.5
2017-02-24,95,50.0,,0.5,47.5
2017-02-25,75,50.0,,0.5,37.5
2017-02-26,73,50.0,,0.5,36.5
2017-02-27,100,50.0,,0.5,50.0
2017-02-28,96,50.0,,0.5,48.0
2017-03-01,94,52.0,False,0.52,48.88
2017-03-02,85,52.0,,0.52,44.2
2017-03-03,80,52.0,,0.52,41.6
2017-03-04,100,52.0,,0.52,52.0
2017-03-05,84,52.0,,0.52,43.68
2017-03-06,85,52.0,,0.52,44.2
2017-03-07,75,52.0,,0.52,39.0
2017-03-08,72,52.0,,0.52,37.44
2017-03-09,79,52.0,,0.52,41.08
2017-03-10,88,52.0,,0.52,45.760000000000005
2017-03-11,78,52.0,,0.52,40.56
2017-03-12,78,52.0,,0.52,40.56
2017-03-13,81,52.0,,0.52,42.120000000000005
2017-03-14,74,52.0,,0.52,38.480000000000004
2017-03-15,86,52.0,,0.52,44.72
2017-03-16,86,52.0,,0.52,44.72
2017-03-17,72,52.0,,0.52,37.44
2017-03-18,98,52.0,,0.52,50.96
2017-03-19,70,52.0,,0.52,36.4
2017-03-20,70,52.0,,0.52,36.4
2017-03-21,69,52.0,,0.52,35.88
2017-03-22,75,52.0,,0.52,39.0
2017-03-23,74,52.0,,0.52,38.480000000000004
2017-03-24,70,52.0,,0.52,36.4
2017-03-25,71,52.0,,0.52,36.92
2017-03-26,76,52.0,,0.52,39.52
2017-03-27,69,52.0,,0.52,35.88
2017-03-28,71,52.0,,0.52,36.92
2017-03-29,74,52.0,,0.52,38.480000000000004
2017-03-30,85,52.0,,0.52,44.2
2017-03-31,86,52.0,,0.52,44.72
2017-04-01,83,44.0,False,0.44,36.52
2017-04-02,81,44.0,,0.44,35.64
2017-04-03,70,44.0,,0.44,30.8
2017-04-04,70,44.0,,0.44,30.8
2017-04-05,72,44.0,,0.44,31.68
2017-04-06,67,44.0,,0.44,29.48
2017-04-07,78,44.0,,0.44,34.32
2017-04-08,74,44.0,,0.44,32.56
2017-04-09,79,44.0,,0.44,34.76
2017-04-10,76,44.0,,0.44,33.44
2017-04-11,96,44.0,,0.44,42.24
2017-04-12,83,44.0,,0.44,36.52
2017-04-13,82,44.0,,0.44,36.08
2017-04-14,81,44.0,,0.44,35.64
2017-04-15,100,44.0,,0.44,44.0
2017-04-16,81,44.0,,0.44,35.64
2017-04-17,77,44.0,,0.44,33.88
2017-04-18,71,44.0,,0.44,31.24
2017-04-19,61,44.0,,0.44,26.84
2017-04-20,76,44.0,,0.44,33.44
2017-04-21,59,44.0,,0.44,25.96
2017-04-22,78,44.0,,0.44,34.32
2017-04-23,74,44.0,,0.44,32.56
2017-04-24,62,44.0,,0.44,27.28
2017-04-25,73,44.0,,0.44,32.12
2017-04-26,68,44.0,,0.44,29.92
2017-04-27,67,44.0,,0.44,29.48
2017-04-28,70,44.0,,0.44,30.8
2017-04-29,76,44.0,,0.44,33.44
2017-04-30,84,44.0,,0.44,36.96
2017-05-01,84,45.0,False,0.45,37.800000000000004
2017-05-02,78,45.0,,0.45,35.1
2017-05-03,80,45.0,,0.45,36.0
2017-05-04,74,45.0,,0.45,33.300000000000004
2017-05-05,82,45.0,,0.45,36.9
2017-05-06,91,45.0,,0.45,40.95
2017-05-07,82,45.0,,0.45,36.9
2017-05-08,83,45.0,,0.45,37.35
2017-05-09,84,45.0,,0.45,37.800000000000004
2017-05-10,87,45.0,,0.45,39.15
2017-05-11,100,45.0,,0.45,45.0
2017-05-12,92,45.0,,0.45,41.4
2017-05-13,94,45.0,,0.45,42.300000000000004
2017-05-14,90,45.0,,0.45,40.5
2017-05-15,69,45.0,,0.45,31.05
2017-05-16,90,45.0,,0.45,40.5
2017-05-17,94,45.0,,0.45,42.300000000000004
2017-05-18,85,45.0,,0.45,38.25
2017-05-19,83,45.0,,0.45,37.35
2017-05-20,77,45.0,,0.45,34.65
2017-05-21,92,45.0,,0.45,41.4
2017-05-22,82,45.0,,0.45,36.9
2017-05-23,81,45.0,,0.45,36.45
2017-05-24,83,45.0,,0.45,37.35
2017-05-25,74,45.0,,0.45,33.300000000000004
2017-05-26,96,45.0,,0.45,43.2
2017-05-27,90,45.0,,0.45,40.5
2017-05-28,96,45.0,,0.45,43.2
2017-05-29,87,45.0,,0.45,39.15
2017-05-30,91,45.0,,0.45,40.95
2017-05-31,82,45.0,,0.45,36.9
2017-06-01,77,47.0,False,0.47,36.19
2017-06-02,72,47.0,,0.47,33.839999999999996
2017-06-03,68,47.0,,0.47,31.959999999999997
2017-06-04,73,47.0,,0.47,34.309999999999995
2017-06-05,75,47.0,,0.47,35.25
2017-06-06,76,47.0,,0.47,35.72
2017-06-07,81,47.0,,0.47,38.07
2017-06-08,80,47.0,,0.47,37.599999999999994
2017-06-09,78,47.0,,0.47,36.66
2017-06-10,76,47.0,,0.47,35.72
2017-06-11,73,47.0,,0.47,34.309999999999995
2017-06-12,78,47.0,,0.47,36.66
2017-06-13,62,47.0,,0.47,29.139999999999997
2017-06-14,98,47.0,,0.47,46.059999999999995
2017-06-15,71,47.0,,0.47,33.37
2017-06-16,67,47.0,,0.47,31.49
2017-06-17,79,47.0,,0.47,37.129999999999995
2017-06-18,91,47.0,,0.47,42.769999999999996
2017-06-19,79,47.0,,0.47,37.129999999999995
2017-06-20,69,47.0,,0.47,32.43
2017-06-21,75,47.0,,0.47,35.25
2017-06-22,85,47.0,,0.47,39.949999999999996
2017-06-23,73,47.0,,0.47,34.309999999999995
2017-06-24,69,47.0,,0.47,32.43
2017-06-25,88,47.0,,0.47,41.36
2017-06-26,76,47.0,,0.47,35.72
2017-06-27,78,47.0,,0.47,36.66
2017-06-28,73,47.0,,0.47,34.309999999999995
2017-06-29,77,47.0,,0.47,36.19
2017-06-30,100,47.0,,0.47,47.0
2017-07-01,100,50.0,False,0.5,50.0
2017-07-02,69,50.0,,0.5,34.5
2017-07-03,70,50.0,,0.5,35.0
2017-07-04,67,50.0,,0.5,33.5
2017-07-05,56,50.0,,0.5,28.0
2017-07-06,70,50.0,,0.5,35.0
2017-07-07,71,50.0,,0.5,35.5
2017-07-08,80,50.0,,0.5,40.0
2017-07-09,71,50.0,,0.5,35.5
2017-07-10,71,50.0,,0.5,35.5
2017-07-11,66,50.0,,0.5,33.0
2017-07-12,63,50.0,,0.5,31.5
2017-07-13,68,50.0,,0.5,34.0
2017-07-14,50,50.0,,0.5,25.0
2017-07-15,66,50.0,,0.5,33.0
2017-07-16,60,50.0,,0.5,30.0
2017-07-17,68,50.0,,0.5,34.0
2017-07-18,57,50.0,,0.5,28.5
2017-07-19,57,50.0,,0.5,28.5
2017-07-20,66,50.0,,0.5,33.0
2017-07-21,74,50.0,,0.5,37.0
2017-07-22,61,50.0,,0.5,30.5
2017-07-23,69,50.0,,0.5,34.5
2017-07-24,100,50.0,,0.5,50.0
2017-07-25,78,50.0,,0.5,39.0
2017-07-26,72,50.0,,0.5,36.0
2017-07-27,96,50.0,,0.5,48.0
2017-07-28,78,50.0,,0.5,39.0
2017-07-29,74,50.0,,0.5,37.0
2017-07-30,63,50.0,,0.5,31.5
2017-07-31,73,50.0,,0.5,36.5
2017-08-01,11,82.0,False,0.82,9.02
2017-08-02,12,82.0,,0.82,9.84
2017-08-03,13,82.0,,0.82,10.66
2017-08-04,11,82.0,,0.82,9.02
2017-08-05,11,82.0,,0.82,9.02
2017-08-06,9,82.0,,0.82,7.38
2017-08-07,12,82.0,,0.82,9.84
2017-08-08,9,82.0,,0.82,7.38
2017-08-09,11,82.0,,0.82,9.02
2017-08-10,9,82.0,,0.82,7.38
2017-08-11,11,82.0,,0.82,9.02
2017-08-12,11,82.0,,0.82,9.02
2017-08-13,9,82.0,,0.82,7.38
2017-08-14,12,82.0,,0.82,9.84
2017-08-15,10,82.0,,0.82,8.2
2017-08-16,10,82.0,,0.82,8.2
2017-08-17,11,82.0,,0.82,9.02
2017-08-18,10,82.0,,0.82,8.2
2017-08-19,9,82.0,,0.82,7.38
2017-08-20,10,82.0,,0.82,8.2
2017-08-21,8,82.0,,0.82,6.56
2017-08-22,10,82.0,,0.82,8.2
2017-08-23,10,82.0,,0.82,8.2
2017-08-24,24,82.0,,0.82,19.68
2017-08-25,100,82.0,,0.82,82.0
2017-08-26,35,82.0,,0.82,28.7
2017-08-27,21,82.0,,0.82,17.22
2017-08-28,17,82.0,,0.82,13.94
2017-08-29,18,82.0,,0.82,14.76
2017-08-30,16,82.0,,0.82,13.12
2017-08-31,14,82.0,,0.82,11.479999999999999
2017-09-01,96,46.0,False,0.46,44.160000000000004
2017-09-02,96,46.0,,0.46,44.160000000000004
2017-09-03,100,46.0,,0.46,46.0
2017-09-04,82,46.0,,0.46,37.72
2017-09-05,80,46.0,,0.46,36.800000000000004
2017-09-06,78,46.0,,0.46,35.88
2017-09-07,75,46.0,,0.46,34.5
2017-09-08,79,46.0,,0.46,36.34
2017-09-09,69,46.0,,0.46,31.740000000000002
2017-09-10,61,46.0,,0.46,28.060000000000002
2017-09-11,65,46.0,,0.46,29.900000000000002
2017-09-12,60,46.0,,0.46,27.6
2017-09-13,67,46.0,,0.46,30.82
2017-09-14,65,46.0,,0.46,29.900000000000002
2017-09-15,64,46.0,,0.46,29.44
2017-09-16,81,46.0,,0.46,37.260000000000005
2017-09-17,85,46.0,,0.46,39.1
2017-09-18,53,46.0,,0.46,24.380000000000003
2017-09-19,74,46.0,,0.46,34.04
2017-09-20,73,46.0,,0.46,33.58
2017-09-21,74,46.0,,0.46,34.04
2017-09-22,73,46.0,,0.46,33.58
2017-09-23,75,46.0,,0.46,34.5
2017-09-24,61,46.0,,0.46,28.060000000000002
2017-09-25,70,46.0,,0.46,32.2
2017-09-26,66,46.0,,0.46,30.360000000000003
2017-09-27,69,46.0,,0.46,31.740000000000002
2017-09-28,63,46.0,,0.46,28.98
2017-09-29,70,46.0,,0.46,32.2
2017-09-30,72,46.0,,0.46,33.120000000000005
2017-10-01,94,42.0,False,0.42,39.48
2017-10-02,74,42.0,,0.42,31.08
2017-10-03,79,42.0,,0.42,33.18
2017-10-04,78,42.0,,0.42,32.76
2017-10-05,85,42.0,,0.42,35.699999999999996
2017-10-06,74,42.0,,0.42,31.08
2017-10-07,90,42.0,,0.42,37.8
2017-10-08,89,42.0,,0.42,37.379999999999995
2017-10-09,93,42.0,,0.42,39.059999999999995
2017-10-10,74,42.0,,0.42,31.08
2017-10-11,74,42.0,,0.42,31.08
2017-10-12,89,42.0,,0.42,37.379999999999995
2017-10-13,84,42.0,,0.42,35.28
2017-10-14,98,42.0,,0.42,41.16
2017-10-15,94,42.0,,0.42,39.48
2017-10-16,100,42.0,,0.42,42.0
2017-10-17,85,42.0,,0.42,35.699999999999996
2017-10-18,81,42.0,,0.42,34.019999999999996
2017-10-19,76,42.0,,0.42,31.919999999999998
2017-10-20,85,42.0,,0.42,35.699999999999996
2017-10-21,76,42.0,,0.42,31.919999999999998
2017-10-22,84,42.0,,0.42,35.28
2017-10-23,80,42.0,,0.42,33.6
2017-10-24,72,42.0,,0.42,30.24
2017-10-25,90,42.0,,0.42,37.8
2017-10-26,91,42.0,,0.42,38.22
2017-10-27,70,42.0,,0.42,29.4
2017-10-28,78,42.0,,0.42,32.76
2017-10-29,69,42.0,,0.42,28.98
2017-10-30,81,42.0,,0.42,34.019999999999996
2017-10-31,65,42.0,,0.42,27.3
2017-11-01,69,41.0,False,0.41,28.29
2017-11-02,62,41.0,,0.41,25.419999999999998
2017-11-03,63,41.0,,0.41,25.83
2017-11-04,88,41.0,,0.41,36.08
2017-11-05,69,41.0,,0.41,28.29
2017-11-06,73,41.0,,0.41,29.93
2017-11-07,81,41.0,,0.41,33.21
2017-11-08,63,41.0,,0.41,25.83
2017-11-09,68,41.0,,0.41,27.88
2017-11-10,72,41.0,,0.41,29.52
2017-11-11,73,41.0,,0.41,29.93
2017-11-12,67,41.0,,0.41,27.47
2017-11-13,69,41.0,,0.41,28.29
2017-11-14,73,41.0,,0.41,29.93
2017-11-15,75,41.0,,0.41,30.749999999999996
2017-11-16,74,41.0,,0.41,30.34
2017-11-17,100,41.0,,0.41,41.0
2017-11-18,83,41.0,,0.41,34.03
2017-11-19,82,41.0,,0.41,33.62
2017-11-20,63,41.0,,0.41,25.83
2017-11-21,76,41.0,,0.41,31.159999999999997
2017-11-22,72,41.0,,0.41,29.52
2017-11-23,61,41.0,,0.41,25.009999999999998
2017-11-24,71,41.0,,0.41,29.11
2017-11-25,76,41.0,,0.41,31.159999999999997
2017-11-26,73,41.0,,0.41,29.93
2017-11-27,71,41.0,,0.41,29.11
2017-11-28,68,41.0,,0.41,27.88
2017-11-29,62,41.0,,0.41,25.419999999999998
2017-11-30,73,41.0,,0.41,29.93
2017-12-01,47,45.0,False,0.45,21.150000000000002
2017-12-02,44,45.0,,0.45,19.8
2017-12-03,45,45.0,,0.45,20.25
2017-12-04,46,45.0,,0.45,20.7
2017-12-05,44,45.0,,0.45,19.8
2017-12-06,48,45.0,,0.45,21.6
2017-12-07,46,45.0,,0.45,20.7
2017-12-08,46,45.0,,0.45,20.7
2017-12-09,46,45.0,,0.45,20.7
2017-12-10,55,45.0,,0.45,24.75
2017-12-11,39,45.0,,0.45,17.55
2017-12-12,48,45.0,,0.45,21.6
2017-12-13,45,45.0,,0.45,20.25
2017-12-14,50,45.0,,0.45,22.5
2017-12-15,100,45.0,,0.45,45.0
2017-12-16,90,45.0,,0.45,40.5
2017-12-17,67,45.0,,0.45,30.150000000000002
2017-12-18,47,45.0,,0.45,21.150000000000002
2017-12-19,45,45.0,,0.45,20.25
2017-12-20,45,45.0,,0.45,20.25
2017-12-21,55,45.0,,0.45,24.75
2017-12-22,42,45.0,,0.45,18.900000000000002
2017-12-23,54,45.0,,0.45,24.3
2017-12-24,43,45.0,,0.45,19.35
2017-12-25,52,45.0,,0.45,23.400000000000002
2017-12-26,51,45.0,,0.45,22.95
2017-12-27,50,45.0,,0.45,22.5
2017-12-28,50,45.0,,0.45,22.5
2017-12-29,56,45.0,,0.45,25.2
2017-12-30,51,45.0,,0.45,22.95
2017-12-31,48,45.0,,0.45,21.6
2018-01-01,54,49.0,False,0.49,26.46
