date,NOW_unscaled,NOW_monthly,isPartial,scale,NOW
2016-08-07,95,66.0,,0.66,62.7
2016-08-08,85,66.0,,0.66,56.1
2016-08-09,83,66.0,,0.66,54.78
2016-08-10,83,66.0,,0.66,54.78
2016-08-11,83,66.0,,0.66,54.78
2016-08-12,83,66.0,,0.66,54.78
2016-08-13,86,66.0,,0.66,56.760000000000005
2016-08-14,89,66.0,,0.66,58.74
2016-08-15,82,66.0,,0.66,54.120000000000005
2016-08-16,80,66.0,,0.66,52.800000000000004
2016-08-17,81,66.0,,0.66,53.46
2016-08-18,79,66.0,,0.66,52.14
2016-08-19,79,66.0,,0.66,52.14
2016-08-20,87,66.0,,0.66,57.42
2016-08-21,90,66.0,,0.66,59.400000000000006
2016-08-22,80,66.0,,0.66,52.800000000000004
2016-08-23,82,66.0,,0.66,54.120000000000005
2016-08-24,83,66.0,,0.66,54.78
2016-08-25,89,66.0,,0.66,58.74
2016-08-26,89,66.0,,0.66,58.74
2016-08-27,100,66.0,,0.66,66.0
2016-08-28,100,66.0,,0.66,66.0
2016-08-29,88,66.0,,0.66,58.080000000000005
2016-08-30,87,66.0,,0.66,57.42
2016-08-31,86,66.0,,0.66,56.760000000000005
2016-09-01,83,66.0,False,0.66,54.78
2016-09-02,85,66.0,,0.66,56.1
2016-09-03,98,66.0,,0.66,64.68
2016-09-04,100,66.0,,0.66,66.0
2016-09-05,95,66.0,,0.66,62.7
2016-09-06,85,66.0,,0.66,56.1
2016-09-07,77,66.0,,0.66,50.82
2016-09-08,78,66.0,,0.66,51.480000000000004
2016-09-09,85,66.0,,0.66,56.1
2016-09-10,95,66.0,,0.66,62.7
2016-09-11,100,66.0,,0.66,66.0
2016-09-12,81,66.0,,0.66,53.46
2016-09-13,80,66.0,,0.66,52.800000000000004
2016-09-14,80,66.0,,0.66,52.800000000000004
2016-09-15,81,66.0,,0.66,53.46
2016-09-16,80,66.0,,0.66,52.800000000000004
2016-09-17,89,66.0,,0.66,58.74
2016-09-18,95,66.0,,0.66,62.7
2016-09-19,83,66.0,,0.66,54.78
2016-09-20,84,66.0,,0.66,55.440000000000005
2016-09-21,81,66.0,,0.66,53.46
2016-09-22,79,66.0,,0.66,52.14
2016-09-23,77,66.0,,0.66,50.82
2016-09-24,88,66.0,,0.66,58.080000000000005
2016-09-25,92,66.0,,0.66,60.720000000000006
2016-09-26,79,66.0,,0.66,52.14
2016-09-27,78,66.0,,0.66,51.480000000000004
2016-09-28,77,66.0,,0.66,50.82
2016-09-29,76,66.0,,0.66,50.160000000000004
2016-09-30,81,66.0,,0.66,53.46
2016-10-01,85,71.0,False,0.71,60.349999999999994
2016-10-02,84,71.0,,0.71,59.64
2016-10-03,73,71.0,,0.71,51.83
2016-10-04,75,71.0,,0.71,53.25
2016-10-05,77,71.0,,0.71,54.669999999999995
2016-10-06,87,71.0,,0.71,61.769999999999996
2016-10-07,100,71.0,,0.71,71.0
2016-10-08,96,71.0,,0.71,68.16
2016-10-09,92,71.0,,0.71,65.32
2016-10-10,79,71.0,,0.71,56.089999999999996
2016-10-11,76,71.0,,0.71,53.959999999999994
2016-10-12,75,71.0,,0.71,53.25
2016-10-13,80,71.0,,0.71,56.8
2016-10-14,86,71.0,,0.71,61.059999999999995
2016-10-15,96,71.0,,0.71,68.16
2016-10-16,94,71.0,,0.71,66.74
2016-10-17,80,71.0,,0.71,56.8
2016-10-18,79,71.0,,0.71,56.089999999999996
2016-10-19,74,71.0,,0.71,52.54
2016-10-20,79,71.0,,0.71,56.089999999999996
2016-10-21,80,71.0,,0.71,56.8
2016-10-22,90,71.0,,0.71,63.9
2016-10-23,87,71.0,,0.71,61.769999999999996
2016-10-24,75,71.0,,0.71,53.25
2016-10-25,75,71.0,,0.71,53.25
2016-10-26,79,71.0,,0.71,56.089999999999996
2016-10-27,76,71.0,,0.71,53.959999999999994
2016-10-28,78,71.0,,0.71,55.379999999999995
2016-10-29,85,71.0,,0.71,60.349999999999994
2016-10-30,88,71.0,,0.71,62.48
2016-10-31,79,71.0,,0.71,56.089999999999996
2016-11-01,55,73.0,False,0.73,40.15
2016-11-02,55,73.0,,0.73,40.15
2016-11-03,57,73.0,,0.73,41.61
2016-11-04,58,73.0,,0.73,42.339999999999996
2016-11-05,63,73.0,,0.73,45.99
2016-11-06,79,73.0,,0.73,57.67
2016-11-07,62,73.0,,0.73,45.26
2016-11-08,79,73.0,,0.73,57.67
2016-11-09,100,73.0,,0.73,73.0
2016-11-10,66,73.0,,0.73,48.18
2016-11-11,63,73.0,,0.73,45.99
2016-11-12,66,73.0,,0.73,48.18
2016-11-13,63,73.0,,0.73,45.99
2016-11-14,58,73.0,,0.73,42.339999999999996
2016-11-15,58,73.0,,0.73,42.339999999999996
2016-11-16,55,73.0,,0.73,40.15
2016-11-17,55,73.0,,0.73,40.15
2016-11-18,56,73.0,,0.73,40.879999999999995
2016-11-19,63,73.0,,0.73,45.99
2016-11-20,63,73.0,,0.73,45.99
2016-11-21,58,73.0,,0.73,42.339999999999996
2016-11-22,57,73.0,,0.73,41.61
2016-11-23,57,73.0,,0.73,41.61
2016-11-24,64,73.0,,0.73,46.72
2016-11-25,61,73.0,,0.73,44.53
2016-11-26,61,73.0,,0.73,44.53
2016-11-27,64,73.0,,0.73,46.72
2016-11-28,59,73.0,,0.73,43.07
2016-11-29,65,73.0,,0.73,47.449999999999996
2016-11-30,68,73.0,,0.73,49.64
2016-12-01,67,72.0,False,0.72,48.239999999999995
2016-12-02,64,72.0,,0.72,46.08
2016-12-03,69,72.0,,0.72,49.68
2016-12-04,70,72.0,,0.72,50.4
2016-12-05,59,72.0,,0.72,42.48
2016-12-06,61,72.0,,0.72,43.92
2016-12-07,60,72.0,,0.72,43.199999999999996
2016-12-08,61,72.0,,0.72,43.92
2016-12-09,59,72.0,,0.72,42.48
2016-12-10,66,72.0,,0.72,47.519999999999996
2016-12-11,69,72.0,,0.72,49.68
2016-12-12,59,72.0,,0.72,42.48
2016-12-13,59,72.0,,0.72,42.48
2016-12-14,61,72.0,,0.72,43.92
2016-12-15,63,72.0,,0.72,45.36
2016-12-16,62,72.0,,0.72,44.64
2016-12-17,67,72.0,,0.72,48.239999999999995
2016-12-18,72,72.0,,0.72,51.839999999999996
2016-12-19,66,72.0,,0.72,47.519999999999996
2016-12-20,62,72.0,,0.72,44.64
2016-12-21,63,72.0,,0.72,45.36
2016-12-22,65,72.0,,0.72,46.8
2016-12-23,66,72.0,,0.72,47.519999999999996
2016-12-24,73,72.0,,0.72,52.559999999999995
2016-12-25,100,72.0,,0.72,72.0
2016-12-26,74,72.0,,0.72,53.28
2016-12-27,69,72.0,,0.72,49.68
2016-12-28,66,72.0,,0.72,47.519999999999996
2016-12-29,65,72.0,,0.72,46.8
2016-12-30,67,72.0,,0.72,48.239999999999995
2016-12-31,73,72.0,,0.72,52.559999999999995
2017-01-01,100,74.0,False,0.74,74.0
2017-01-02,82,74.0,,0.74,60.68
2017-01-03,74,74.0,,0.74,54.76
2017-01-04,71,74.0,,0.74,52.54
2017-01-05,75,74.0,,0.74,55.5
2017-01-06,82,74.0,,0.74,60.68
2017-01-07,85,74.0,,0.74,62.9
2017-01-08,90,74.0,,0.74,66.6
2017-01-09,77,74.0,,0.74,56.98
2017-01-10,75,74.0,,0.74,55.5
2017-01-11,73,74.0,,0.74,54.019999999999996
2017-01-12,92,74.0,,0.74,68.08
2017-01-13,80,74.0,,0.74,59.2
2017-01-14,89,74.0,,0.74,65.86
2017-01-15,92,74.0,,0.74,68.08
2017-01-16,86,74.0,,0.74,63.64
2017-01-17,73,74.0,,0.74,54.019999999999996
2017-01-18,70,74.0,,0.74,51.8
2017-01-19,70,74.0,,0.74,51.8
2017-01-20,81,74.0,,0.74,59.94
2017-01-21,89,74.0,,0.74,65.86
2017-01-22,87,74.0,,0.74,64.38
2017-01-23,76,74.0,,0.74,56.24
2017-01-24,73,74.0,,0.74,54.019999999999996
2017-01-25,71,74.0,,0.74,52.54
2017-01-26,74,74.0,,0.74,54.76
2017-01-27,73,74.0,,0.74,54.019999999999996
2017-01-28,79,74.0,,0.74,58.46
2017-01-29,84,74.0,,0.74,62.16
2017-01-30,71,74.0,,0.74,52.54
2017-01-31,73,74.0,,0.74,54.019999999999996
2017-02-01,85,69.0,False,0.69,58.65
2017-02-02,83,69.0,,0.69,57.269999999999996
2017-02-03,85,69.0,,0.69,58.65
2017-02-04,93,69.0,,0.69,64.17
2017-02-05,97,69.0,,0.69,66.92999999999999
2017-02-06,87,69.0,,0.69,60.029999999999994
2017-02-07,84,69.0,,0.69,57.959999999999994
2017-02-08,83,69.0,,0.69,57.269999999999996
2017-02-09,85,69.0,,0.69,58.65
2017-02-10,87,69.0,,0.69,60.029999999999994
2017-02-11,98,69.0,,0.69,67.61999999999999
2017-02-12,96,69.0,,0.69,66.24
2017-02-13,89,69.0,,0.69,61.41
2017-02-14,81,69.0,,0.69,55.88999999999999
2017-02-15,82,69.0,,0.69,56.58
2017-02-16,84,69.0,,0.69,57.959999999999994
2017-02-17,90,69.0,,0.69,62.099999999999994
2017-02-18,97,69.0,,0.69,66.92999999999999
2017-02-19,100,69.0,,0.69,69.0
2017-02-20,92,69.0,,0.69,63.48
2017-02-21,87,69.0,,0.69,60.029999999999994
2017-02-22,85,69.0,,0.69,58.65
2017-02-23,85,69.0,,0.69,58.65
2017-02-24,86,69.0,,0.69,59.339999999999996
2017-02-25,95,69.0,,0.69,65.55
2017-02-26,94,69.0,,0.69,64.86
2017-02-27,88,69.0,,0.69,60.72
2017-02-28,84,69.0,,0.69,57.959999999999994
2017-03-01,73,73.0,False,0.73,53.29
2017-03-02,76,73.0,,0.73,55.48
2017-03-03,75,73.0,,0.73,54.75
2017-03-04,80,73.0,,0.73,58.4
2017-03-05,85,73.0,,0.73,62.05
2017-03-06,74,73.0,,0.73,54.019999999999996
2017-03-07,73,73.0,,0.73,53.29
2017-03-08,72,73.0,,0.73,52.56
2017-03-09,71,73.0,,0.73,51.83
2017-03-10,73,73.0,,0.73,53.29
2017-03-11,85,73.0,,0.73,62.05
2017-03-12,100,73.0,,0.73,73.0
2017-03-13,80,73.0,,0.73,58.4
2017-03-14,85,73.0,,0.73,62.05
2017-03-15,81,73.0,,0.73,59.129999999999995
2017-03-16,77,73.0,,0.73,56.21
2017-03-17,76,73.0,,0.73,55.48
2017-03-18,89,73.0,,0.73,64.97
2017-03-19,88,73.0,,0.73,64.24
2017-03-20,80,73.0,,0.73,58.4
2017-03-21,73,73.0,,0.73,53.29
2017-03-22,74,73.0,,0.73,54.019999999999996
2017-03-23,73,73.0,,0.73,53.29
2017-03-24,79,73.0,,0.73,57.67
2017-03-25,87,73.0,,0.73,63.51
2017-03-26,87,73.0,,0.73,63.51
2017-03-27,76,73.0,,0.73,55.48
2017-03-28,78,73.0,,0.73,56.94
2017-03-29,75,73.0,,0.73,54.75
2017-03-30,74,73.0,,0.73,54.019999999999996
2017-03-31,75,73.0,,0.73,54.75
2017-04-01,100,69.0,False,0.69,69.0
2017-04-02,100,69.0,,0.69,69.0
2017-04-03,84,69.0,,0.69,57.959999999999994
2017-04-04,83,69.0,,0.69,57.269999999999996
2017-04-05,87,69.0,,0.69,60.029999999999994
2017-04-06,86,69.0,,0.69,59.339999999999996
2017-04-07,90,69.0,,0.69,62.099999999999994
2017-04-08,97,69.0,,0.69,66.92999999999999
2017-04-09,92,69.0,,0.69,63.48
2017-04-10,89,69.0,,0.69,61.41
2017-04-11,88,69.0,,0.69,60.72
2017-04-12,86,69.0,,0.69,59.339999999999996
2017-04-13,87,69.0,,0.69,60.029999999999994
2017-04-14,92,69.0,,0.69,63.48
2017-04-15,92,69.0,,0.69,63.48
2017-04-16,98,69.0,,0.69,67.61999999999999
2017-04-17,88,69.0,,0.69,60.72
2017-04-18,82,69.0,,0.69,56.58
2017-04-19,82,69.0,,0.69,56.58
2017-04-20,82,69.0,,0.69,56.58
2017-04-21,85,69.0,,0.69,58.65
2017-04-22,91,69.0,,0.69,62.78999999999999
2017-04-23,94,69.0,,0.69,64.86
2017-04-24,82,69.0,,0.69,56.58
2017-04-25,81,69.0,,0.69,55.88999999999999
2017-04-26,80,69.0,,0.69,55.199999999999996
2017-04-27,82,69.0,,0.69,56.58
2017-04-28,83,69.0,,0.69,57.269999999999996
2017-04-29,93,69.0,,0.69,64.17
2017-04-30,93,69.0,,0.69,64.17
2017-05-01,86,69.0,False,0.69,59.339999999999996
2017-05-02,82,69.0,,0.69,56.58
2017-05-03,83,69.0,,0.69,57.269999999999996
2017-05-04,89,69.0,,0.69,61.41
2017-05-05,88,69.0,,0.69,60.72
2017-05-06,94,69.0,,0.69,64.86
2017-05-07,92,69.0,,0.69,63.48
2017-05-08,84,69.0,,0.69,57.959999999999994
2017-05-09,84,69.0,,0.69,57.959999999999994
2017-05-10,83,69.0,,0.69,57.269999999999996
2017-05-11,83,69.0,,0.69,57.269999999999996
2017-05-12,87,69.0,,0.69,60.029999999999994
2017-05-13,92,69.0,,0.69,63.48
2017-05-14,95,69.0,,0.69,65.55
2017-05-15,82,69.0,,0.69,56.58
2017-05-16,81,69.0,,0.69,55.88999999999999
2017-05-17,84,69.0,,0.69,57.959999999999994
2017-05-18,85,69.0,,0.69,58.65
2017-05-19,85,69.0,,0.69,58.65
2017-05-20,95,69.0,,0.69,65.55
2017-05-21,97,69.0,,0.69,66.92999999999999
2017-05-22,88,69.0,,0.69,60.72
2017-05-23,88,69.0,,0.69,60.72
2017-05-24,86,69.0,,0.69,59.339999999999996
2017-05-25,86,69.0,,0.69,59.339999999999996
2017-05-26,89,69.0,,0.69,61.41
2017-05-27,99,69.0,,0.69,68.30999999999999
2017-05-28,98,69.0,,0.69,67.61999999999999
2017-05-29,100,69.0,,0.69,69.0
2017-05-30,88,69.0,,0.69,60.72
2017-05-31,89,69.0,,0.69,61.41
2017-06-01,86,72.0,False,0.72,61.919999999999995
2017-06-02,89,72.0,,0.72,64.08
2017-06-03,95,72.0,,0.72,68.39999999999999
2017-06-04,97,72.0,,0.72,69.84
2017-06-05,89,72.0,,0.72,64.08
2017-06-06,88,72.0,,0.72,63.36
2017-06-07,86,72.0,,0.72,61.919999999999995
2017-06-08,89,72.0,,0.72,64.08
2017-06-09,90,72.0,,0.72,64.8
2017-06-10,96,72.0,,0.72,69.12
2017-06-11,99,72.0,,0.72,71.28
2017-06-12,91,72.0,,0.72,65.52
2017-06-13,87,72.0,,0.72,62.64
2017-06-14,88,72.0,,0.72,63.36
2017-06-15,90,72.0,,0.72,64.8
2017-06-16,92,72.0,,0.72,66.24
2017-06-17,100,72.0,,0.72,72.0
2017-06-18,100,72.0,,0.72,72.0
2017-06-19,89,72.0,,0.72,64.08
2017-06-20,90,72.0,,0.72,64.8
2017-06-21,91,72.0,,0.72,65.52
2017-06-22,89,72.0,,0.72,64.08
2017-06-23,90,72.0,,0.72,64.8
2017-06-24,94,72.0,,0.72,67.67999999999999
2017-06-25,98,72.0,,0.72,70.56
2017-06-26,92,72.0,,0.72,66.24
2017-06-27,90,72.0,,0.72,64.8
2017-06-28,88,72.0,,0.72,63.36
2017-06-29,88,72.0,,0.72,63.36
2017-06-30,91,72.0,,0.72,65.52
2017-07-01,76,74.0,False,0.74,56.24
2017-07-02,76,74.0,,0.74,56.24
2017-07-03,74,74.0,,0.74,54.76
2017-07-04,75,74.0,,0.74,55.5
2017-07-05,69,74.0,,0.74,51.06
2017-07-06,70,74.0,,0.74,51.8
2017-07-07,73,74.0,,0.74,54.019999999999996
2017-07-08,78,74.0,,0.74,57.72
2017-07-09,80,74.0,,0.74,59.2
2017-07-10,73,74.0,,0.74,54.019999999999996
2017-07-11,70,74.0,,0.74,51.8
2017-07-12,72,74.0,,0.74,53.28
2017-07-13,71,74.0,,0.74,52.54
2017-07-14,77,74.0,,0.74,56.98
2017-07-15,81,74.0,,0.74,59.94
2017-07-16,100,74.0,,0.74,74.0
2017-07-17,94,74.0,,0.74,69.56
2017-07-18,73,74.0,,0.74,54.019999999999996
2017-07-19,72,74.0,,0.74,53.28
2017-07-20,87,74.0,,0.74,64.38
2017-07-21,77,74.0,,0.74,56.98
2017-07-22,80,74.0,,0.74,59.2
2017-07-23,85,74.0,,0.74,62.9
2017-07-24,77,74.0,,0.74,56.98
2017-07-25,72,74.0,,0.74,53.28
2017-07-26,70,74.0,,0.74,51.8
2017-07-27,70,74.0,,0.74,51.8
2017-07-28,72,74.0,,0.74,53.28
2017-07-29,74,74.0,,0.74,54.76
2017-07-30,77,74.0,,0.74,56.98
2017-07-31,78,74.0,,0.74,57.72
2017-08-01,76,76.0,False,0.76,57.76
2017-08-02,77,76.0,,0.76,58.52
2017-08-03,76,76.0,,0.76,57.76
2017-08-04,78,76.0,,0.76,59.28
2017-08-05,82,76.0,,0.76,62.32
2017-08-06,82,76.0,,0.76,62.32
2017-08-07,83,76.0,,0.76,63.08
2017-08-08,74,76.0,,0.76,56.24
2017-08-09,77,76.0,,0.76,58.52
2017-08-10,78,76.0,,0.76,59.28
2017-08-11,75,76.0,,0.76,57.0
2017-08-12,82,76.0,,0.76,62.32
2017-08-13,85,76.0,,0.76,64.6
2017-08-14,83,76.0,,0.76,63.08
2017-08-15,77,76.0,,0.76,58.52
2017-08-16,73,76.0,,0.76,55.480000000000004
2017-08-17,75,76.0,,0.76,57.0
2017-08-18,78,76.0,,0.76,59.28
2017-08-19,82,76.0,,0.76,62.32
2017-08-20,82,76.0,,0.76,62.32
2017-08-21,100,76.0,,0.76,76.0
2017-08-22,78,76.0,,0.76,59.28
2017-08-23,76,76.0,,0.76,57.76
2017-08-24,76,76.0,,0.76,57.76
2017-08-25,79,76.0,,0.76,60.04
2017-08-26,94,76.0,,0.76,71.44
2017-08-27,93,76.0,,0.76,70.68
2017-08-28,93,76.0,,0.76,70.68
2017-08-29,81,76.0,,0.76,61.56
2017-08-30,79,76.0,,0.76,60.04
2017-08-31,79,76.0,,0.76,60.04
2017-09-01,57,80.0,False,0.8,45.6
2017-09-02,64,80.0,,0.8,51.2
2017-09-03,64,80.0,,0.8,51.2
2017-09-04,61,80.0,,0.8,48.800000000000004
2017-09-05,57,80.0,,0.8,45.6
2017-09-06,62,80.0,,0.8,49.6
2017-09-07,63,80.0,,0.8,50.400000000000006
2017-09-08,69,80.0,,0.8,55.2
2017-09-09,82,80.0,,0.8,65.60000000000001
2017-09-10,100,80.0,,0.8,80.0
2017-09-11,86,80.0,,0.8,68.8
2017-09-12,59,80.0,,0.8,47.2
2017-09-13,52,80.0,,0.8,41.6
2017-09-14,52,80.0,,0.8,41.6
2017-09-15,53,80.0,,0.8,42.400000000000006
2017-09-16,58,80.0,,0.8,46.400000000000006
2017-09-17,61,80.0,,0.8,48.800000000000004
2017-09-18,51,80.0,,0.8,40.800000000000004
2017-09-19,54,80.0,,0.8,43.2
2017-09-20,51,80.0,,0.8,40.800000000000004
2017-09-21,53,80.0,,0.8,42.400000000000006
2017-09-22,54,80.0,,0.8,43.2
2017-09-23,58,80.0,,0.8,46.400000000000006
2017-09-24,58,80.0,,0.8,46.400000000000006
2017-09-25,52,80.0,,0.8,41.6
2017-09-26,49,80.0,,0.8,39.2
2017-09-27,49,80.0,,0.8,39.2
2017-09-28,49,80.0,,0.8,39.2
2017-09-29,53,80.0,,0.8,42.400000000000006
2017-09-30,58,80.0,,0.8,46.400000000000006
2017-10-01,98,71.0,False,0.71,69.58
2017-10-02,85,71.0,,0.71,60.349999999999994
2017-10-03,80,71.0,,0.71,56.8
2017-10-04,82,71.0,,0.71,58.22
2017-10-05,82,71.0,,0.71,58.22
2017-10-06,85,71.0,,0.71,60.349999999999994
2017-10-07,95,71.0,,0.71,67.45
2017-10-08,100,71.0,,0.71,71.0
2017-10-09,93,71.0,,0.71,66.03
2017-10-10,88,71.0,,0.71,62.48
2017-10-11,87,71.0,,0.71,61.769999999999996
2017-10-12,87,71.0,,0.71,61.769999999999996
2017-10-13,89,71.0,,0.71,63.19
2017-10-14,99,71.0,,0.71,70.28999999999999
2017-10-15,100,71.0,,0.71,71.0
2017-10-16,88,71.0,,0.71,62.48
2017-10-17,86,71.0,,0.71,61.059999999999995
2017-10-18,82,71.0,,0.71,58.22
2017-10-19,86,71.0,,0.71,61.059999999999995
2017-10-20,86,71.0,,0.71,61.059999999999995
2017-10-21,93,71.0,,0.71,66.03
2017-10-22,95,71.0,,0.71,67.45
2017-10-23,84,71.0,,0.71,59.64
2017-10-24,84,71.0,,0.71,59.64
2017-10-25,84,71.0,,0.71,59.64
2017-10-26,83,71.0,,0.71,58.93
2017-10-27,85,71.0,,0.71,60.349999999999994
2017-10-28,91,71.0,,0.71,64.61
2017-10-29,93,71.0,,0.71,66.03
2017-10-30,83,71.0,,0.71,58.93
2017-10-31,83,71.0,,0.71,58.93
2017-11-01,73,70.0,False,0.7,51.099999999999994
2017-11-02,77,70.0,,0.7,53.9
2017-11-03,75,70.0,,0.7,52.5
2017-11-04,86,70.0,,0.7,60.199999999999996
2017-11-05,100,70.0,,0.7,70.0
2017-11-06,83,70.0,,0.7,58.099999999999994
2017-11-07,77,70.0,,0.7,53.9
2017-11-08,76,70.0,,0.7,53.199999999999996
2017-11-09,79,70.0,,0.7,55.3
2017-11-10,84,70.0,,0.7,58.8
2017-11-11,86,70.0,,0.7,60.199999999999996
2017-11-12,88,70.0,,0.7,61.599999999999994
2017-11-13,76,70.0,,0.7,53.199999999999996
2017-11-14,73,70.0,,0.7,51.099999999999994
2017-11-15,77,70.0,,0.7,53.9
2017-11-16,73,70.0,,0.7,51.099999999999994
2017-11-17,78,70.0,,0.7,54.599999999999994
2017-11-18,89,70.0,,0.7,62.3
2017-11-19,88,70.0,,0.7,61.599999999999994
2017-11-20,81,70.0,,0.7,56.699999999999996
2017-11-21,79,70.0,,0.7,55.3
2017-11-22,80,70.0,,0.7,56.0
2017-11-23,87,70.0,,0.7,60.9
2017-11-24,86,70.0,,0.7,60.199999999999996
2017-11-25,82,70.0,,0.7,57.4
2017-11-26,85,70.0,,0.7,59.49999999999999
2017-11-27,76,70.0,,0.7,53.199999999999996
2017-11-28,75,70.0,,0.7,52.5
2017-11-29,73,70.0,,0.7,51.099999999999994
2017-11-30,78,70.0,,0.7,54.599999999999994
2017-12-01,46,75.0,False,0.75,34.5
2017-12-02,51,75.0,,0.75,38.25
2017-12-03,52,75.0,,0.75,39.0
2017-12-04,46,75.0,,0.75,34.5
2017-12-05,47,75.0,,0.75,35.25
2017-12-06,46,75.0,,0.75,34.5
2017-12-07,48,75.0,,0.75,36.0
2017-12-08,52,75.0,,0.75,39.0
2017-12-09,54,75.0,,0.75,40.5
2017-12-10,52,75.0,,0.75,39.0
2017-12-11,47,75.0,,0.75,35.25
2017-12-12,47,75.0,,0.75,35.25
2017-12-13,46,75.0,,0.75,34.5
2017-12-14,48,75.0,,0.75,36.0
2017-12-15,48,75.0,,0.75,36.0
2017-12-16,51,75.0,,0.75,38.25
2017-12-17,53,75.0,,0.75,39.75
2017-12-18,48,75.0,,0.75,36.0
2017-12-19,45,75.0,,0.75,33.75
2017-12-20,47,75.0,,0.75,35.25
2017-12-21,49,75.0,,0.75,36.75
2017-12-22,49,75.0,,0.75,36.75
