date,PYPL_unscaled,PYPL_monthly,isPartial,scale,PYPL
2016-09-01,39,8.0,False,0.08,3.12
2016-09-02,24,8.0,,0.08,1.92
2016-09-03,18,8.0,,0.08,1.44
2016-09-04,10,8.0,,0.08,0.8
2016-09-05,0,8.0,,0.08,0.0
2016-09-06,85,8.0,,0.08,6.8
2016-09-07,75,8.0,,0.08,6.0
2016-09-08,84,8.0,,0.08,6.72
2016-09-09,71,8.0,,0.08,5.68
2016-09-10,0,8.0,,0.08,0.0
2016-09-11,9,8.0,,0.08,0.72
2016-09-12,60,8.0,,0.08,4.8
2016-09-13,53,8.0,,0.08,4.24
2016-09-14,100,8.0,,0.08,8.0
2016-09-15,100,8.0,,0.08,8.0
2016-09-16,31,8.0,,0.08,2.48
2016-09-17,27,8.0,,0.08,2.16
2016-09-18,9,8.0,,0.08,0.72
2016-09-19,60,8.0,,0.08,4.8
2016-09-20,45,8.0,,0.08,3.6
2016-09-21,76,8.0,,0.08,6.08
2016-09-22,77,8.0,,0.08,6.16
2016-09-23,47,8.0,,0.08,3.7600000000000002
2016-09-24,9,8.0,,0.08,0.72
2016-09-25,18,8.0,,0.08,1.44
2016-09-26,61,8.0,,0.08,4.88
2016-09-27,61,8.0,,0.08,4.88
2016-09-28,68,8.0,,0.08,5.44
2016-09-29,84,8.0,,0.08,6.72
2016-09-30,56,8.0,,0.08,4.48
2016-10-01,4,9.0,False,0.09,0.36
2016-10-02,14,9.0,,0.09,1.26
2016-10-03,12,9.0,,0.09,1.08
2016-10-04,18,9.0,,0.09,1.6199999999999999
2016-10-05,12,9.0,,0.09,1.08
2016-10-06,12,9.0,,0.09,1.08
2016-10-07,6,9.0,,0.09,0.54
2016-10-08,4,9.0,,0.09,0.36
2016-10-09,11,9.0,,0.09,0.99
2016-10-10,9,9.0,,0.09,0.8099999999999999
2016-10-11,9,9.0,,0.09,0.8099999999999999
2016-10-12,12,9.0,,0.09,1.08
2016-10-13,12,9.0,,0.09,1.08
2016-10-14,0,9.0,,0.09,0.0
2016-10-15,8,9.0,,0.09,0.72
2016-10-16,4,9.0,,0.09,0.36
2016-10-17,24,9.0,,0.09,2.16
2016-10-18,27,9.0,,0.09,2.4299999999999997
2016-10-19,31,9.0,,0.09,2.79
2016-10-20,95,9.0,,0.09,8.549999999999999
2016-10-21,100,9.0,,0.09,9.0
2016-10-22,27,9.0,,0.09,2.4299999999999997
2016-10-23,15,9.0,,0.09,1.3499999999999999
2016-10-24,66,9.0,,0.09,5.9399999999999995
2016-10-25,24,9.0,,0.09,2.16
2016-10-26,33,9.0,,0.09,2.9699999999999998
2016-10-27,30,9.0,,0.09,2.6999999999999997
2016-10-28,38,9.0,,0.09,3.42
2016-10-29,0,9.0,,0.09,0.0
2016-10-30,4,9.0,,0.09,0.36
2016-10-31,24,9.0,,0.09,2.16
2016-11-01,94,6.0,False,0.06,5.64
2016-11-02,36,6.0,,0.06,2.16
2016-11-03,70,6.0,,0.06,4.2
2016-11-04,56,6.0,,0.06,3.36
2016-11-05,22,6.0,,0.06,1.3199999999999998
2016-11-06,0,6.0,,0.06,0.0
2016-11-07,96,6.0,,0.06,5.76
2016-11-08,43,6.0,,0.06,2.58
2016-11-09,100,6.0,,0.06,6.0
2016-11-10,55,6.0,,0.06,3.3
2016-11-11,76,6.0,,0.06,4.56
2016-11-12,11,6.0,,0.06,0.6599999999999999
2016-11-13,11,6.0,,0.06,0.6599999999999999
2016-11-14,89,6.0,,0.06,5.34
2016-11-15,72,6.0,,0.06,4.32
2016-11-16,63,6.0,,0.06,3.78
2016-11-17,27,6.0,,0.06,1.6199999999999999
2016-11-18,66,6.0,,0.06,3.96
2016-11-19,22,6.0,,0.06,1.3199999999999998
2016-11-20,11,6.0,,0.06,0.6599999999999999
2016-11-21,36,6.0,,0.06,2.16
2016-11-22,56,6.0,,0.06,3.36
2016-11-23,29,6.0,,0.06,1.74
2016-11-24,0,6.0,,0.06,0.0
2016-11-25,0,6.0,,0.06,0.0
2016-11-26,20,6.0,,0.06,1.2
2016-11-27,21,6.0,,0.06,1.26
2016-11-28,49,6.0,,0.06,2.94
2016-11-29,67,6.0,,0.06,4.02
2016-11-30,42,6.0,,0.06,2.52
2016-12-01,57,5.0,False,0.05,2.85
2016-12-02,48,5.0,,0.05,2.4000000000000004
2016-12-03,23,5.0,,0.05,1.1500000000000001
2016-12-04,11,5.0,,0.05,0.55
2016-12-05,67,5.0,,0.05,3.35
2016-12-06,44,5.0,,0.05,2.2
2016-12-07,93,5.0,,0.05,4.65
2016-12-08,56,5.0,,0.05,2.8000000000000003
2016-12-09,39,5.0,,0.05,1.9500000000000002
2016-12-10,35,5.0,,0.05,1.75
2016-12-11,11,5.0,,0.05,0.55
2016-12-12,36,5.0,,0.05,1.8
2016-12-13,64,5.0,,0.05,3.2
2016-12-14,94,5.0,,0.05,4.7
2016-12-15,67,5.0,,0.05,3.35
2016-12-16,100,5.0,,0.05,5.0
2016-12-17,12,5.0,,0.05,0.6000000000000001
2016-12-18,23,5.0,,0.05,1.1500000000000001
2016-12-19,49,5.0,,0.05,2.45
2016-12-20,71,5.0,,0.05,3.5500000000000003
2016-12-21,62,5.0,,0.05,3.1
2016-12-22,43,5.0,,0.05,2.15
2016-12-23,11,5.0,,0.05,0.55
2016-12-24,0,5.0,,0.05,0.0
2016-12-25,26,5.0,,0.05,1.3
2016-12-26,23,5.0,,0.05,1.1500000000000001
2016-12-27,20,5.0,,0.05,1.0
2016-12-28,31,5.0,,0.05,1.55
2016-12-29,51,5.0,,0.05,2.5500000000000003
2016-12-30,64,5.0,,0.05,3.2
2016-12-31,0,5.0,,0.05,0.0
2017-01-01,16,8.0,False,0.08,1.28
2017-01-02,9,8.0,,0.08,0.72
2017-01-03,46,8.0,,0.08,3.68
2017-01-04,29,8.0,,0.08,2.32
2017-01-05,22,8.0,,0.08,1.76
2017-01-06,30,8.0,,0.08,2.4
2017-01-07,5,8.0,,0.08,0.4
2017-01-08,0,8.0,,0.08,0.0
2017-01-09,20,8.0,,0.08,1.6
2017-01-10,28,8.0,,0.08,2.24
2017-01-11,12,8.0,,0.08,0.96
2017-01-12,25,8.0,,0.08,2.0
2017-01-13,25,8.0,,0.08,2.0
2017-01-14,10,8.0,,0.08,0.8
2017-01-15,0,8.0,,0.08,0.0
2017-01-16,13,8.0,,0.08,1.04
2017-01-17,40,8.0,,0.08,3.2
2017-01-18,32,8.0,,0.08,2.56
2017-01-19,20,8.0,,0.08,1.6
2017-01-20,36,8.0,,0.08,2.88
2017-01-21,10,8.0,,0.08,0.8
2017-01-22,0,8.0,,0.08,0.0
2017-01-23,23,8.0,,0.08,1.84
2017-01-24,24,8.0,,0.08,1.92
2017-01-25,48,8.0,,0.08,3.84
2017-01-26,100,8.0,,0.08,8.0
2017-01-27,92,8.0,,0.08,7.36
2017-01-28,15,8.0,,0.08,1.2
2017-01-29,0,8.0,,0.08,0.0
2017-01-30,71,8.0,,0.08,5.68
2017-01-31,56,8.0,,0.08,4.48
2017-02-01,54,8.0,False,0.08,4.32
2017-02-02,68,8.0,,0.08,5.44
2017-02-03,100,8.0,,0.08,8.0
2017-02-04,8,8.0,,0.08,0.64
2017-02-05,8,8.0,,0.08,0.64
2017-02-06,46,8.0,,0.08,3.68
2017-02-07,68,8.0,,0.08,5.44
2017-02-08,90,8.0,,0.08,7.2
2017-02-09,70,8.0,,0.08,5.6000000000000005
2017-02-10,58,8.0,,0.08,4.64
2017-02-11,9,8.0,,0.08,0.72
2017-02-12,17,8.0,,0.08,1.36
2017-02-13,34,8.0,,0.08,2.72
2017-02-14,97,8.0,,0.08,7.76
2017-02-15,85,8.0,,0.08,6.8
2017-02-16,42,8.0,,0.08,3.36
2017-02-17,35,8.0,,0.08,2.8000000000000003
2017-02-18,25,8.0,,0.08,2.0
2017-02-19,0,8.0,,0.08,0.0
2017-02-20,14,8.0,,0.08,1.12
2017-02-21,62,8.0,,0.08,4.96
2017-02-22,75,8.0,,0.08,6.0
2017-02-23,41,8.0,,0.08,3.2800000000000002
2017-02-24,78,8.0,,0.08,6.24
2017-02-25,33,8.0,,0.08,2.64
2017-02-26,0,8.0,,0.08,0.0
2017-02-27,51,8.0,,0.08,4.08
2017-02-28,72,8.0,,0.08,5.76
2017-03-01,90,8.0,False,0.08,7.2
2017-03-02,100,8.0,,0.08,8.0
2017-03-03,75,8.0,,0.08,6.0
2017-03-04,0,8.0,,0.08,0.0
2017-03-05,26,8.0,,0.08,2.08
2017-03-06,49,8.0,,0.08,3.92
2017-03-07,75,8.0,,0.08,6.0
2017-03-08,73,8.0,,0.08,5.84
2017-03-09,36,8.0,,0.08,2.88
2017-03-10,52,8.0,,0.08,4.16
2017-03-11,9,8.0,,0.08,0.72
2017-03-12,33,8.0,,0.08,2.64
2017-03-13,55,8.0,,0.08,4.4
2017-03-14,80,8.0,,0.08,6.4
2017-03-15,82,8.0,,0.08,6.5600000000000005
2017-03-16,30,8.0,,0.08,2.4
2017-03-17,54,8.0,,0.08,4.32
2017-03-18,9,8.0,,0.08,0.72
2017-03-19,0,8.0,,0.08,0.0
2017-03-20,59,8.0,,0.08,4.72
2017-03-21,52,8.0,,0.08,4.16
2017-03-22,67,8.0,,0.08,5.36
2017-03-23,38,8.0,,0.08,3.04
2017-03-24,23,8.0,,0.08,1.84
2017-03-25,9,8.0,,0.08,0.72
2017-03-26,9,8.0,,0.08,0.72
2017-03-27,22,8.0,,0.08,1.76
2017-03-28,90,8.0,,0.08,7.2
2017-03-29,75,8.0,,0.08,6.0
2017-03-30,45,8.0,,0.08,3.6
2017-03-31,60,8.0,,0.08,4.8
2017-04-01,8,10.0,False,0.1,0.8
2017-04-02,6,10.0,,0.1,0.6000000000000001
2017-04-03,22,10.0,,0.1,2.2
2017-04-04,18,10.0,,0.1,1.8
2017-04-05,29,10.0,,0.1,2.9000000000000004
2017-04-06,7,10.0,,0.1,0.7000000000000001
2017-04-07,12,10.0,,0.1,1.2000000000000002
2017-04-08,3,10.0,,0.1,0.30000000000000004
2017-04-09,3,10.0,,0.1,0.30000000000000004
2017-04-10,7,10.0,,0.1,0.7000000000000001
2017-04-11,19,10.0,,0.1,1.9000000000000001
2017-04-12,23,10.0,,0.1,2.3000000000000003
2017-04-13,9,10.0,,0.1,0.9
2017-04-14,8,10.0,,0.1,0.8
2017-04-15,3,10.0,,0.1,0.30000000000000004
2017-04-16,6,10.0,,0.1,0.6000000000000001
2017-04-17,9,10.0,,0.1,0.9
2017-04-18,22,10.0,,0.1,2.2
2017-04-19,14,10.0,,0.1,1.4000000000000001
2017-04-20,25,10.0,,0.1,2.5
2017-04-21,12,10.0,,0.1,1.2000000000000002
2017-04-22,6,10.0,,0.1,0.6000000000000001
2017-04-23,3,10.0,,0.1,0.30000000000000004
2017-04-24,11,10.0,,0.1,1.1
2017-04-25,9,10.0,,0.1,0.9
2017-04-26,100,10.0,,0.1,10.0
2017-04-27,89,10.0,,0.1,8.9
2017-04-28,37,10.0,,0.1,3.7
2017-04-29,22,10.0,,0.1,2.2
2017-04-30,8,10.0,,0.1,0.8
2017-05-01,63,11.0,False,0.11,6.93
2017-05-02,100,11.0,,0.11,11.0
2017-05-03,68,11.0,,0.11,7.48
2017-05-04,54,11.0,,0.11,5.94
2017-05-05,40,11.0,,0.11,4.4
2017-05-06,9,11.0,,0.11,0.99
2017-05-07,14,11.0,,0.11,1.54
2017-05-08,35,11.0,,0.11,3.85
2017-05-09,61,11.0,,0.11,6.71
2017-05-10,35,11.0,,0.11,3.85
2017-05-11,39,11.0,,0.11,4.29
2017-05-12,32,11.0,,0.11,3.52
2017-05-13,19,11.0,,0.11,2.09
2017-05-14,5,11.0,,0.11,0.55
2017-05-15,37,11.0,,0.11,4.07
2017-05-16,37,11.0,,0.11,4.07
2017-05-17,41,11.0,,0.11,4.51
2017-05-18,49,11.0,,0.11,5.39
2017-05-19,21,11.0,,0.11,2.31
2017-05-20,5,11.0,,0.11,0.55
2017-05-21,10,11.0,,0.11,1.1
2017-05-22,58,11.0,,0.11,6.38
2017-05-23,36,11.0,,0.11,3.96
2017-05-24,21,11.0,,0.11,2.31
2017-05-25,46,11.0,,0.11,5.06
2017-05-26,54,11.0,,0.11,5.94
2017-05-27,11,11.0,,0.11,1.21
2017-05-28,0,11.0,,0.11,0.0
2017-05-29,5,11.0,,0.11,0.55
2017-05-30,29,11.0,,0.11,3.19
2017-05-31,41,11.0,,0.11,4.51
2017-06-01,79,12.0,False,0.12,9.48
2017-06-02,83,12.0,,0.12,9.959999999999999
2017-06-03,41,12.0,,0.12,4.92
2017-06-04,17,12.0,,0.12,2.04
2017-06-05,100,12.0,,0.12,12.0
2017-06-06,71,12.0,,0.12,8.52
2017-06-07,72,12.0,,0.12,8.64
2017-06-08,72,12.0,,0.12,8.64
2017-06-09,51,12.0,,0.12,6.12
2017-06-10,12,12.0,,0.12,1.44
2017-06-11,24,12.0,,0.12,2.88
2017-06-12,77,12.0,,0.12,9.24
2017-06-13,47,12.0,,0.12,5.64
2017-06-14,48,12.0,,0.12,5.76
2017-06-15,50,12.0,,0.12,6.0
2017-06-16,45,12.0,,0.12,5.3999999999999995
2017-06-17,6,12.0,,0.12,0.72
2017-06-18,12,12.0,,0.12,1.44
2017-06-19,48,12.0,,0.12,5.76
2017-06-20,37,12.0,,0.12,4.4399999999999995
2017-06-21,56,12.0,,0.12,6.72
2017-06-22,47,12.0,,0.12,5.64
2017-06-23,52,12.0,,0.12,6.24
2017-06-24,11,12.0,,0.12,1.3199999999999998
2017-06-25,0,12.0,,0.12,0.0
2017-06-26,35,12.0,,0.12,4.2
2017-06-27,45,12.0,,0.12,5.3999999999999995
2017-06-28,41,12.0,,0.12,4.92
2017-06-29,42,12.0,,0.12,5.04
2017-06-30,37,12.0,,0.12,4.4399999999999995
2017-07-01,0,18.0,False,0.18,0.0
2017-07-02,5,18.0,,0.18,0.8999999999999999
2017-07-03,14,18.0,,0.18,2.52
2017-07-04,9,18.0,,0.18,1.6199999999999999
2017-07-05,42,18.0,,0.18,7.56
2017-07-06,30,18.0,,0.18,5.3999999999999995
2017-07-07,10,18.0,,0.18,1.7999999999999998
2017-07-08,4,18.0,,0.18,0.72
2017-07-09,2,18.0,,0.18,0.36
2017-07-10,22,18.0,,0.18,3.96
2017-07-11,24,18.0,,0.18,4.32
2017-07-12,49,18.0,,0.18,8.82
2017-07-13,49,18.0,,0.18,8.82
2017-07-14,25,18.0,,0.18,4.5
2017-07-15,18,18.0,,0.18,3.2399999999999998
2017-07-16,4,18.0,,0.18,0.72
2017-07-17,19,18.0,,0.18,3.42
2017-07-18,34,18.0,,0.18,6.12
2017-07-19,38,18.0,,0.18,6.84
2017-07-20,56,18.0,,0.18,10.08
2017-07-21,31,18.0,,0.18,5.58
2017-07-22,2,18.0,,0.18,0.36
2017-07-23,9,18.0,,0.18,1.6199999999999999
2017-07-24,22,18.0,,0.18,3.96
2017-07-25,36,18.0,,0.18,6.4799999999999995
2017-07-26,100,18.0,,0.18,18.0
2017-07-27,76,18.0,,0.18,13.68
2017-07-28,36,18.0,,0.18,6.4799999999999995
2017-07-29,17,18.0,,0.18,3.06
2017-07-30,13,18.0,,0.18,2.34
2017-07-31,26,18.0,,0.18,4.68
2017-08-01,65,13.0,False,0.13,8.450000000000001
2017-08-02,79,13.0,,0.13,10.27
2017-08-03,56,13.0,,0.13,7.28
2017-08-04,63,13.0,,0.13,8.19
2017-08-05,15,13.0,,0.13,1.9500000000000002
2017-08-06,0,13.0,,0.13,0.0
2017-08-07,51,13.0,,0.13,6.63
2017-08-08,54,13.0,,0.13,7.0200000000000005
2017-08-09,65,13.0,,0.13,8.450000000000001
2017-08-10,100,13.0,,0.13,13.0
2017-08-11,90,13.0,,0.13,11.700000000000001
2017-08-12,10,13.0,,0.13,1.3
2017-08-13,10,13.0,,0.13,1.3
2017-08-14,58,13.0,,0.13,7.54
2017-08-15,71,13.0,,0.13,9.23
2017-08-16,57,13.0,,0.13,7.41
2017-08-17,93,13.0,,0.13,12.09
2017-08-18,49,13.0,,0.13,6.37
2017-08-19,15,13.0,,0.13,1.9500000000000002
2017-08-20,5,13.0,,0.13,0.65
2017-08-21,33,13.0,,0.13,4.29
2017-08-22,52,13.0,,0.13,6.76
2017-08-23,31,13.0,,0.13,4.03
2017-08-24,65,13.0,,0.13,8.450000000000001
2017-08-25,31,13.0,,0.13,4.03
2017-08-26,0,13.0,,0.13,0.0
2017-08-27,5,13.0,,0.13,0.65
2017-08-28,35,13.0,,0.13,4.55
2017-08-29,55,13.0,,0.13,7.15
2017-08-30,77,13.0,,0.13,10.01
2017-08-31,51,13.0,,0.13,6.63
2017-09-01,44,12.0,False,0.12,5.279999999999999
2017-09-02,17,12.0,,0.12,2.04
2017-09-03,11,12.0,,0.12,1.3199999999999998
2017-09-04,16,12.0,,0.12,1.92
2017-09-05,36,12.0,,0.12,4.32
2017-09-06,88,12.0,,0.12,10.559999999999999
2017-09-07,54,12.0,,0.12,6.4799999999999995
2017-09-08,23,12.0,,0.12,2.76
2017-09-09,16,12.0,,0.12,1.92
2017-09-10,5,12.0,,0.12,0.6
2017-09-11,50,12.0,,0.12,6.0
2017-09-12,55,12.0,,0.12,6.6
2017-09-13,68,12.0,,0.12,8.16
2017-09-14,37,12.0,,0.12,4.4399999999999995
2017-09-15,66,12.0,,0.12,7.92
2017-09-16,6,12.0,,0.12,0.72
2017-09-17,11,12.0,,0.12,1.3199999999999998
2017-09-18,54,12.0,,0.12,6.4799999999999995
2017-09-19,86,12.0,,0.12,10.32
2017-09-20,100,12.0,,0.12,12.0
2017-09-21,60,12.0,,0.12,7.199999999999999
2017-09-22,100,12.0,,0.12,12.0
2017-09-23,17,12.0,,0.12,2.04
2017-09-24,11,12.0,,0.12,1.3199999999999998
2017-09-25,92,12.0,,0.12,11.04
2017-09-26,64,12.0,,0.12,7.68
2017-09-27,55,12.0,,0.12,6.6
2017-09-28,79,12.0,,0.12,9.48
2017-09-29,33,12.0,,0.12,3.96
2017-09-30,11,12.0,,0.12,1.3199999999999998
2017-10-01,4,25.0,False,0.25,1.0
2017-10-02,11,25.0,,0.25,2.75
2017-10-03,15,25.0,,0.25,3.75
2017-10-04,16,25.0,,0.25,4.0
2017-10-05,21,25.0,,0.25,5.25
2017-10-06,26,25.0,,0.25,6.5
2017-10-07,6,25.0,,0.25,1.5
2017-10-08,4,25.0,,0.25,1.0
2017-10-09,12,25.0,,0.25,3.0
2017-10-10,11,25.0,,0.25,2.75
2017-10-11,27,25.0,,0.25,6.75
2017-10-12,28,25.0,,0.25,7.0
2017-10-13,26,25.0,,0.25,6.5
2017-10-14,6,25.0,,0.25,1.5
2017-10-15,6,25.0,,0.25,1.5
2017-10-16,31,25.0,,0.25,7.75
2017-10-17,21,25.0,,0.25,5.25
2017-10-18,32,25.0,,0.25,8.0
2017-10-19,100,25.0,,0.25,25.0
2017-10-20,78,25.0,,0.25,19.5
2017-10-21,15,25.0,,0.25,3.75
2017-10-22,5,25.0,,0.25,1.25
2017-10-23,29,25.0,,0.25,7.25
2017-10-24,39,25.0,,0.25,9.75
2017-10-25,27,25.0,,0.25,6.75
2017-10-26,25,25.0,,0.25,6.25
2017-10-27,25,25.0,,0.25,6.25
2017-10-28,11,25.0,,0.25,2.75
2017-10-29,6,25.0,,0.25,1.5
2017-10-30,26,25.0,,0.25,6.5
2017-10-31,14,25.0,,0.25,3.5
2017-11-01,58,25.0,False,0.25,14.5
2017-11-02,57,25.0,,0.25,14.25
2017-11-03,75,25.0,,0.25,18.75
2017-11-04,20,25.0,,0.25,5.0
2017-11-05,11,25.0,,0.25,2.75
2017-11-06,55,25.0,,0.25,13.75
2017-11-07,85,25.0,,0.25,21.25
2017-11-08,80,25.0,,0.25,20.0
2017-11-09,53,25.0,,0.25,13.25
2017-11-10,60,25.0,,0.25,15.0
2017-11-11,25,25.0,,0.25,6.25
2017-11-12,8,25.0,,0.25,2.0
2017-11-13,50,25.0,,0.25,12.5
2017-11-14,44,25.0,,0.25,11.0
2017-11-15,62,25.0,,0.25,15.5
2017-11-16,65,25.0,,0.25,16.25
2017-11-17,91,25.0,,0.25,22.75
2017-11-18,22,25.0,,0.25,5.5
2017-11-19,8,25.0,,0.25,2.0
2017-11-20,73,25.0,,0.25,18.25
2017-11-21,100,25.0,,0.25,25.0
2017-11-22,63,25.0,,0.25,15.75
2017-11-23,17,25.0,,0.25,4.25
2017-11-24,48,25.0,,0.25,12.0
2017-11-25,19,25.0,,0.25,4.75
2017-11-26,8,25.0,,0.25,2.0
2017-11-27,52,25.0,,0.25,13.0
2017-11-28,72,25.0,,0.25,18.0
2017-11-29,96,25.0,,0.25,24.0
2017-11-30,95,25.0,,0.25,23.75
2017-12-01,58,20.0,False,0.2,11.600000000000001
2017-12-02,7,20.0,,0.2,1.4000000000000001
2017-12-03,5,20.0,,0.2,1.0
2017-12-04,100,20.0,,0.2,20.0
2017-12-05,75,20.0,,0.2,15.0
2017-12-06,76,20.0,,0.2,15.200000000000001
2017-12-07,72,20.0,,0.2,14.4
2017-12-08,53,20.0,,0.2,10.600000000000001
2017-12-09,15,20.0,,0.2,3.0
2017-12-10,5,20.0,,0.2,1.0
2017-12-11,53,20.0,,0.2,10.600000000000001
2017-12-12,57,20.0,,0.2,11.4
2017-12-13,57,20.0,,0.2,11.4
2017-12-14,49,20.0,,0.2,9.8
2017-12-15,57,20.0,,0.2,11.4
2017-12-16,10,20.0,,0.2,2.0
2017-12-17,3,20.0,,0.2,0.6000000000000001
2017-12-18,45,20.0,,0.2,9.0
2017-12-19,46,20.0,,0.2,9.200000000000001
2017-12-20,31,20.0,,0.2,6.2
2017-12-21,64,20.0,,0.2,12.8
2017-12-22,31,20.0,,0.2,6.2
2017-12-23,8,20.0,,0.2,1.6
2017-12-24,8,20.0,,0.2,1.6
2017-12-25,3,20.0,,0.2,0.6000000000000001
2017-12-26,32,20.0,,0.2,6.4
2017-12-27,19,20.0,,0.2,3.8000000000000003
2017-12-28,30,20.0,,0.2,6.0
2017-12-29,35,20.0,,0.2,7.0
2017-12-30,8,20.0,,0.2,1.6
