date,AG_unscaled,AG_monthly,isPartial,scale,AG
2016-10-05,77,84.0,,0.84,64.67999999999999
2016-10-06,80,84.0,,0.84,67.2
2016-10-07,82,84.0,,0.84,68.88
2016-10-08,60,84.0,,0.84,50.4
2016-10-09,67,84.0,,0.84,56.28
2016-10-10,80,84.0,,0.84,67.2
2016-10-11,100,84.0,,0.84,84.0
2016-10-12,86,84.0,,0.84,72.24
2016-10-13,90,84.0,,0.84,75.6
2016-10-14,82,84.0,,0.84,68.88
2016-10-15,71,84.0,,0.84,59.64
2016-10-16,67,84.0,,0.84,56.28
2016-10-17,91,84.0,,0.84,76.44
2016-10-18,89,84.0,,0.84,74.75999999999999
2016-10-19,89,84.0,,0.84,74.75999999999999
2016-10-20,79,84.0,,0.84,66.36
2016-10-21,77,84.0,,0.84,64.67999999999999
2016-10-22,88,84.0,,0.84,73.92
2016-10-23,58,84.0,,0.84,48.72
2016-10-24,85,84.0,,0.84,71.39999999999999
2016-10-25,92,84.0,,0.84,77.28
2016-10-26,89,84.0,,0.84,74.75999999999999
2016-10-27,88,84.0,,0.84,73.92
2016-10-28,78,84.0,,0.84,65.52
2016-10-29,64,84.0,,0.84,53.76
2016-10-30,61,84.0,,0.84,51.239999999999995
2016-10-31,85,84.0,,0.84,71.39999999999999
2016-11-01,90,85.0,False,0.85,76.5
2016-11-02,89,85.0,,0.85,75.64999999999999
2016-11-03,85,85.0,,0.85,72.25
2016-11-04,81,85.0,,0.85,68.85
2016-11-05,63,85.0,,0.85,53.55
2016-11-06,65,85.0,,0.85,55.25
2016-11-07,83,85.0,,0.85,70.55
2016-11-08,87,85.0,,0.85,73.95
2016-11-09,68,85.0,,0.85,57.8
2016-11-10,91,85.0,,0.85,77.35
2016-11-11,76,85.0,,0.85,64.6
2016-11-12,60,85.0,,0.85,51.0
2016-11-13,68,85.0,,0.85,57.8
2016-11-14,92,85.0,,0.85,78.2
2016-11-15,100,85.0,,0.85,85.0
2016-11-16,98,85.0,,0.85,83.3
2016-11-17,97,85.0,,0.85,82.45
2016-11-18,94,85.0,,0.85,79.89999999999999
2016-11-19,77,85.0,,0.85,65.45
2016-11-20,64,85.0,,0.85,54.4
2016-11-21,86,85.0,,0.85,73.1
2016-11-22,89,85.0,,0.85,75.64999999999999
2016-11-23,89,85.0,,0.85,75.64999999999999
2016-11-24,60,85.0,,0.85,51.0
2016-11-25,72,85.0,,0.85,61.199999999999996
2016-11-26,64,85.0,,0.85,54.4
2016-11-27,73,85.0,,0.85,62.05
2016-11-28,89,85.0,,0.85,75.64999999999999
2016-11-29,83,85.0,,0.85,70.55
2016-11-30,94,85.0,,0.85,79.89999999999999
2016-12-01,91,76.0,False,0.76,69.16
2016-12-02,86,76.0,,0.76,65.36
2016-12-03,69,76.0,,0.76,52.44
2016-12-04,65,76.0,,0.76,49.4
2016-12-05,84,76.0,,0.76,63.84
2016-12-06,94,76.0,,0.76,71.44
2016-12-07,100,76.0,,0.76,76.0
2016-12-08,88,76.0,,0.76,66.88
2016-12-09,80,76.0,,0.76,60.8
2016-12-10,68,76.0,,0.76,51.68
2016-12-11,69,76.0,,0.76,52.44
2016-12-12,80,76.0,,0.76,60.8
2016-12-13,90,76.0,,0.76,68.4
2016-12-14,83,76.0,,0.76,63.08
2016-12-15,87,76.0,,0.76,66.12
2016-12-16,86,76.0,,0.76,65.36
2016-12-17,68,76.0,,0.76,51.68
2016-12-18,62,76.0,,0.76,47.12
2016-12-19,89,76.0,,0.76,67.64
2016-12-20,91,76.0,,0.76,69.16
2016-12-21,82,76.0,,0.76,62.32
2016-12-22,85,76.0,,0.76,64.6
2016-12-23,70,76.0,,0.76,53.2
2016-12-24,60,76.0,,0.76,45.6
2016-12-25,56,76.0,,0.76,42.56
2016-12-26,69,76.0,,0.76,52.44
2016-12-27,78,76.0,,0.76,59.28
2016-12-28,91,76.0,,0.76,69.16
2016-12-29,81,76.0,,0.76,61.56
2016-12-30,81,76.0,,0.76,61.56
2016-12-31,67,76.0,,0.76,50.92
2017-01-01,24,91.0,False,0.91,21.84
2017-01-02,29,91.0,,0.91,26.39
2017-01-03,34,91.0,,0.91,30.94
2017-01-04,42,91.0,,0.91,38.22
2017-01-05,39,91.0,,0.91,35.49
2017-01-06,34,91.0,,0.91,30.94
2017-01-07,26,91.0,,0.91,23.66
2017-01-08,24,91.0,,0.91,21.84
2017-01-09,37,91.0,,0.91,33.67
2017-01-10,43,91.0,,0.91,39.13
2017-01-11,40,91.0,,0.91,36.4
2017-01-12,37,91.0,,0.91,33.67
2017-01-13,41,91.0,,0.91,37.31
2017-01-14,31,91.0,,0.91,28.21
2017-01-15,27,91.0,,0.91,24.57
2017-01-16,34,91.0,,0.91,30.94
2017-01-17,40,91.0,,0.91,36.4
2017-01-18,44,91.0,,0.91,40.04
2017-01-19,41,91.0,,0.91,37.31
2017-01-20,36,91.0,,0.91,32.76
2017-01-21,30,91.0,,0.91,27.3
2017-01-22,27,91.0,,0.91,24.57
2017-01-23,40,91.0,,0.91,36.4
2017-01-24,41,91.0,,0.91,37.31
2017-01-25,40,91.0,,0.91,36.4
2017-01-26,41,91.0,,0.91,37.31
2017-01-27,38,91.0,,0.91,34.58
2017-01-28,29,91.0,,0.91,26.39
2017-01-29,25,91.0,,0.91,22.75
2017-01-30,42,91.0,,0.91,38.22
2017-01-31,100,91.0,,0.91,91.0
2017-02-01,100,90.0,False,0.9,90.0
2017-02-02,88,90.0,,0.9,79.2
2017-02-03,81,90.0,,0.9,72.9
2017-02-04,70,90.0,,0.9,63.0
2017-02-05,59,90.0,,0.9,53.1
2017-02-06,80,90.0,,0.9,72.0
2017-02-07,88,90.0,,0.9,79.2
2017-02-08,91,90.0,,0.9,81.9
2017-02-09,90,90.0,,0.9,81.0
2017-02-10,92,90.0,,0.9,82.8
2017-02-11,66,90.0,,0.9,59.4
2017-02-12,59,90.0,,0.9,53.1
2017-02-13,80,90.0,,0.9,72.0
2017-02-14,91,90.0,,0.9,81.9
2017-02-15,92,90.0,,0.9,82.8
2017-02-16,89,90.0,,0.9,80.10000000000001
2017-02-17,80,90.0,,0.9,72.0
2017-02-18,61,90.0,,0.9,54.9
2017-02-19,58,90.0,,0.9,52.2
2017-02-20,76,90.0,,0.9,68.4
2017-02-21,83,90.0,,0.9,74.7
2017-02-22,86,90.0,,0.9,77.4
2017-02-23,86,90.0,,0.9,77.4
2017-02-24,89,90.0,,0.9,80.10000000000001
2017-02-25,64,90.0,,0.9,57.6
2017-02-26,53,90.0,,0.9,47.7
2017-02-27,82,90.0,,0.9,73.8
2017-02-28,79,90.0,,0.9,71.10000000000001
2017-03-01,84,90.0,False,0.9,75.60000000000001
2017-03-02,90,90.0,,0.9,81.0
2017-03-03,100,90.0,,0.9,90.0
2017-03-04,65,90.0,,0.9,58.5
2017-03-05,63,90.0,,0.9,56.7
2017-03-06,94,90.0,,0.9,84.60000000000001
2017-03-07,87,90.0,,0.9,78.3
2017-03-08,90,90.0,,0.9,81.0
2017-03-09,94,90.0,,0.9,84.60000000000001
2017-03-10,87,90.0,,0.9,78.3
2017-03-11,66,90.0,,0.9,59.4
2017-03-12,60,90.0,,0.9,54.0
2017-03-13,81,90.0,,0.9,72.9
2017-03-14,80,90.0,,0.9,72.0
2017-03-15,84,90.0,,0.9,75.60000000000001
2017-03-16,84,90.0,,0.9,75.60000000000001
2017-03-17,79,90.0,,0.9,71.10000000000001
2017-03-18,65,90.0,,0.9,58.5
2017-03-19,64,90.0,,0.9,57.6
2017-03-20,85,90.0,,0.9,76.5
2017-03-21,99,90.0,,0.9,89.10000000000001
2017-03-22,87,90.0,,0.9,78.3
2017-03-23,94,90.0,,0.9,84.60000000000001
2017-03-24,85,90.0,,0.9,76.5
2017-03-25,65,90.0,,0.9,58.5
2017-03-26,69,90.0,,0.9,62.1
2017-03-27,88,90.0,,0.9,79.2
2017-03-28,86,90.0,,0.9,77.4
2017-03-29,90,90.0,,0.9,81.0
2017-03-30,83,90.0,,0.9,74.7
2017-03-31,82,90.0,,0.9,73.8
2017-04-01,71,81.0,False,0.81,57.510000000000005
2017-04-02,68,81.0,,0.81,55.080000000000005
2017-04-03,93,81.0,,0.81,75.33
2017-04-04,100,81.0,,0.81,81.0
2017-04-05,93,81.0,,0.81,75.33
2017-04-06,97,81.0,,0.81,78.57000000000001
2017-04-07,93,81.0,,0.81,75.33
2017-04-08,77,81.0,,0.81,62.370000000000005
2017-04-09,60,81.0,,0.81,48.6
2017-04-10,98,81.0,,0.81,79.38000000000001
2017-04-11,95,81.0,,0.81,76.95
2017-04-12,94,81.0,,0.81,76.14
2017-04-13,91,81.0,,0.81,73.71000000000001
2017-04-14,79,81.0,,0.81,63.99
2017-04-15,62,81.0,,0.81,50.220000000000006
2017-04-16,54,81.0,,0.81,43.74
2017-04-17,95,81.0,,0.81,76.95
2017-04-18,91,81.0,,0.81,73.71000000000001
2017-04-19,92,81.0,,0.81,74.52000000000001
2017-04-20,96,81.0,,0.81,77.76
2017-04-21,92,81.0,,0.81,74.52000000000001
2017-04-22,71,81.0,,0.81,57.510000000000005
2017-04-23,75,81.0,,0.81,60.75000000000001
2017-04-24,99,81.0,,0.81,80.19000000000001
2017-04-25,98,81.0,,0.81,79.38000000000001
2017-04-26,96,81.0,,0.81,77.76
2017-04-27,97,81.0,,0.81,78.57000000000001
2017-04-28,83,81.0,,0.81,67.23
2017-04-29,81,81.0,,0.81,65.61
2017-04-30,68,81.0,,0.81,55.080000000000005
2017-05-01,80,85.0,False,0.85,68.0
2017-05-02,82,85.0,,0.85,69.7
2017-05-03,91,85.0,,0.85,77.35
2017-05-04,87,85.0,,0.85,73.95
2017-05-05,84,85.0,,0.85,71.39999999999999
2017-05-06,58,85.0,,0.85,49.3
2017-05-07,69,85.0,,0.85,58.65
2017-05-08,87,85.0,,0.85,73.95
2017-05-09,92,85.0,,0.85,78.2
2017-05-10,100,85.0,,0.85,85.0
2017-05-11,87,85.0,,0.85,73.95
2017-05-12,83,85.0,,0.85,70.55
2017-05-13,69,85.0,,0.85,58.65
2017-05-14,58,85.0,,0.85,49.3
2017-05-15,81,85.0,,0.85,68.85
2017-05-16,83,85.0,,0.85,70.55
2017-05-17,83,85.0,,0.85,70.55
2017-05-18,79,85.0,,0.85,67.14999999999999
2017-05-19,77,85.0,,0.85,65.45
2017-05-20,64,85.0,,0.85,54.4
2017-05-21,60,85.0,,0.85,51.0
2017-05-22,78,85.0,,0.85,66.3
2017-05-23,72,85.0,,0.85,61.199999999999996
2017-05-24,82,85.0,,0.85,69.7
2017-05-25,76,85.0,,0.85,64.6
2017-05-26,80,85.0,,0.85,68.0
2017-05-27,62,85.0,,0.85,52.699999999999996
2017-05-28,61,85.0,,0.85,51.85
2017-05-29,63,85.0,,0.85,53.55
2017-05-30,78,85.0,,0.85,66.3
2017-05-31,82,85.0,,0.85,69.7
2017-06-01,75,81.0,False,0.81,60.75000000000001
2017-06-02,70,81.0,,0.81,56.7
2017-06-03,69,81.0,,0.81,55.89
2017-06-04,64,81.0,,0.81,51.84
2017-06-05,79,81.0,,0.81,63.99
2017-06-06,76,81.0,,0.81,61.56
2017-06-07,84,81.0,,0.81,68.04
2017-06-08,79,81.0,,0.81,63.99
2017-06-09,79,81.0,,0.81,63.99
2017-06-10,54,81.0,,0.81,43.74
2017-06-11,46,81.0,,0.81,37.260000000000005
2017-06-12,92,81.0,,0.81,74.52000000000001
2017-06-13,100,81.0,,0.81,81.0
2017-06-14,90,81.0,,0.81,72.9
2017-06-15,82,81.0,,0.81,66.42
2017-06-16,75,81.0,,0.81,60.75000000000001
2017-06-17,63,81.0,,0.81,51.03
2017-06-18,62,81.0,,0.81,50.220000000000006
2017-06-19,80,81.0,,0.81,64.80000000000001
2017-06-20,80,81.0,,0.81,64.80000000000001
2017-06-21,76,81.0,,0.81,61.56
2017-06-22,76,81.0,,0.81,61.56
2017-06-23,71,81.0,,0.81,57.510000000000005
2017-06-24,63,81.0,,0.81,51.03
2017-06-25,56,81.0,,0.81,45.36
2017-06-26,81,81.0,,0.81,65.61
2017-06-27,78,81.0,,0.81,63.18000000000001
2017-06-28,89,81.0,,0.81,72.09
2017-06-29,80,81.0,,0.81,64.80000000000001
2017-06-30,75,81.0,,0.81,60.75000000000001
2017-07-01,69,82.0,False,0.82,56.58
2017-07-02,54,82.0,,0.82,44.279999999999994
2017-07-03,84,82.0,,0.82,68.88
2017-07-04,68,82.0,,0.82,55.76
2017-07-05,92,82.0,,0.82,75.44
2017-07-06,94,82.0,,0.82,77.08
2017-07-07,98,82.0,,0.82,80.36
2017-07-08,71,82.0,,0.82,58.22
2017-07-09,64,82.0,,0.82,52.48
2017-07-10,92,82.0,,0.82,75.44
2017-07-11,90,82.0,,0.82,73.8
2017-07-12,100,82.0,,0.82,82.0
2017-07-13,90,82.0,,0.82,73.8
2017-07-14,91,82.0,,0.82,74.61999999999999
2017-07-15,75,82.0,,0.82,61.49999999999999
2017-07-16,65,82.0,,0.82,53.3
2017-07-17,92,82.0,,0.82,75.44
2017-07-18,97,82.0,,0.82,79.53999999999999
2017-07-19,95,82.0,,0.82,77.89999999999999
2017-07-20,100,82.0,,0.82,82.0
2017-07-21,90,82.0,,0.82,73.8
2017-07-22,72,82.0,,0.82,59.04
2017-07-23,61,82.0,,0.82,50.019999999999996
2017-07-24,90,82.0,,0.82,73.8
2017-07-25,98,82.0,,0.82,80.36
2017-07-26,92,82.0,,0.82,75.44
2017-07-27,90,82.0,,0.82,73.8
2017-07-28,89,82.0,,0.82,72.97999999999999
2017-07-29,75,82.0,,0.82,61.49999999999999
2017-07-30,62,82.0,,0.82,50.839999999999996
2017-07-31,81,82.0,,0.82,66.42
2017-08-01,85,84.0,False,0.84,71.39999999999999
2017-08-02,92,84.0,,0.84,77.28
2017-08-03,88,84.0,,0.84,73.92
2017-08-04,88,84.0,,0.84,73.92
2017-08-05,64,84.0,,0.84,53.76
2017-08-06,61,84.0,,0.84,51.239999999999995
2017-08-07,97,84.0,,0.84,81.48
2017-08-08,90,84.0,,0.84,75.6
2017-08-09,98,84.0,,0.84,82.32
2017-08-10,100,84.0,,0.84,84.0
2017-08-11,83,84.0,,0.84,69.72
2017-08-12,64,84.0,,0.84,53.76
2017-08-13,68,84.0,,0.84,57.12
2017-08-14,96,84.0,,0.84,80.64
2017-08-15,92,84.0,,0.84,77.28
2017-08-16,99,84.0,,0.84,83.16
2017-08-17,90,84.0,,0.84,75.6
2017-08-18,83,84.0,,0.84,69.72
2017-08-19,56,84.0,,0.84,47.04
2017-08-20,61,84.0,,0.84,51.239999999999995
2017-08-21,84,84.0,,0.84,70.56
2017-08-22,87,84.0,,0.84,73.08
2017-08-23,100,84.0,,0.84,84.0
2017-08-24,96,84.0,,0.84,80.64
2017-08-25,86,84.0,,0.84,72.24
2017-08-26,72,84.0,,0.84,60.48
2017-08-27,58,84.0,,0.84,48.72
2017-08-28,94,84.0,,0.84,78.96
2017-08-29,93,84.0,,0.84,78.11999999999999
2017-08-30,90,84.0,,0.84,75.6
2017-08-31,88,84.0,,0.84,73.92
2017-09-01,78,81.0,False,0.81,63.18000000000001
2017-09-02,63,81.0,,0.81,51.03
2017-09-03,57,81.0,,0.81,46.17
2017-09-04,68,81.0,,0.81,55.080000000000005
2017-09-05,89,81.0,,0.81,72.09
2017-09-06,89,81.0,,0.81,72.09
2017-09-07,95,81.0,,0.81,76.95
2017-09-08,89,81.0,,0.81,72.09
2017-09-09,63,81.0,,0.81,51.03
2017-09-10,65,81.0,,0.81,52.650000000000006
2017-09-11,90,81.0,,0.81,72.9
2017-09-12,93,81.0,,0.81,75.33
2017-09-13,85,81.0,,0.81,68.85000000000001
2017-09-14,84,81.0,,0.81,68.04
2017-09-15,90,81.0,,0.81,72.9
2017-09-16,66,81.0,,0.81,53.46
2017-09-17,61,81.0,,0.81,49.410000000000004
2017-09-18,92,81.0,,0.81,74.52000000000001
2017-09-19,93,81.0,,0.81,75.33
2017-09-20,100,81.0,,0.81,81.0
2017-09-21,89,81.0,,0.81,72.09
2017-09-22,86,81.0,,0.81,69.66000000000001
2017-09-23,70,81.0,,0.81,56.7
2017-09-24,57,81.0,,0.81,46.17
2017-09-25,95,81.0,,0.81,76.95
2017-09-26,91,81.0,,0.81,73.71000000000001
2017-09-27,94,81.0,,0.81,76.14
2017-09-28,92,81.0,,0.81,74.52000000000001
2017-09-29,90,81.0,,0.81,72.9
2017-09-30,75,81.0,,0.81,60.75000000000001
2017-10-01,67,86.0,False,0.86,57.62
2017-10-02,81,86.0,,0.86,69.66
2017-10-03,91,86.0,,0.86,78.26
2017-10-04,87,86.0,,0.86,74.82
2017-10-05,91,86.0,,0.86,78.26
2017-10-06,89,86.0,,0.86,76.53999999999999
2017-10-07,62,86.0,,0.86,53.32
2017-10-08,66,86.0,,0.86,56.76
2017-10-09,90,86.0,,0.86,77.4
2017-10-10,86,86.0,,0.86,73.96
2017-10-11,89,86.0,,0.86,76.53999999999999
2017-10-12,88,86.0,,0.86,75.67999999999999
2017-10-13,94,86.0,,0.86,80.84
2017-10-14,77,86.0,,0.86,66.22
2017-10-15,76,86.0,,0.86,65.36
2017-10-16,96,86.0,,0.86,82.56
2017-10-17,97,86.0,,0.86,83.42
2017-10-18,95,86.0,,0.86,81.7
2017-10-19,97,86.0,,0.86,83.42
2017-10-20,89,86.0,,0.86,76.53999999999999
2017-10-21,61,86.0,,0.86,52.46
2017-10-22,67,86.0,,0.86,57.62
2017-10-23,91,86.0,,0.86,78.26
2017-10-24,100,86.0,,0.86,86.0
2017-10-25,92,86.0,,0.86,79.12
2017-10-26,85,86.0,,0.86,73.1
2017-10-27,85,86.0,,0.86,73.1
2017-10-28,69,86.0,,0.86,59.339999999999996
2017-10-29,67,86.0,,0.86,57.62
2017-10-30,84,86.0,,0.86,72.24
2017-10-31,84,86.0,,0.86,72.24
2017-11-01,93,85.0,False,0.85,79.05
2017-11-02,95,85.0,,0.85,80.75
2017-11-03,89,85.0,,0.85,75.64999999999999
2017-11-04,76,85.0,,0.85,64.6
2017-11-05,63,85.0,,0.85,53.55
2017-11-06,93,85.0,,0.85,79.05
2017-11-07,92,85.0,,0.85,78.2
2017-11-08,88,85.0,,0.85,74.8
2017-11-09,89,85.0,,0.85,75.64999999999999
2017-11-10,81,85.0,,0.85,68.85
2017-11-11,65,85.0,,0.85,55.25
2017-11-12,69,85.0,,0.85,58.65
2017-11-13,93,85.0,,0.85,79.05
2017-11-14,95,85.0,,0.85,80.75
2017-11-15,100,85.0,,0.85,85.0
2017-11-16,96,85.0,,0.85,81.6
2017-11-17,92,85.0,,0.85,78.2
2017-11-18,74,85.0,,0.85,62.9
2017-11-19,64,85.0,,0.85,54.4
2017-11-20,92,85.0,,0.85,78.2
2017-11-21,88,85.0,,0.85,74.8
2017-11-22,74,85.0,,0.85,62.9
2017-11-23,59,85.0,,0.85,50.15
2017-11-24,77,85.0,,0.85,65.45
2017-11-25,64,85.0,,0.85,54.4
2017-11-26,73,85.0,,0.85,62.05
2017-11-27,90,85.0,,0.85,76.5
2017-11-28,92,85.0,,0.85,78.2
2017-11-29,89,85.0,,0.85,75.64999999999999
2017-11-30,87,85.0,,0.85,73.95
2017-12-01,89,76.0,False,0.76,67.64
2017-12-02,77,76.0,,0.76,58.52
2017-12-03,62,76.0,,0.76,47.12
2017-12-04,82,76.0,,0.76,62.32
2017-12-05,88,76.0,,0.76,66.88
2017-12-06,99,76.0,,0.76,75.24
2017-12-07,89,76.0,,0.76,67.64
2017-12-08,85,76.0,,0.76,64.6
2017-12-09,61,76.0,,0.76,46.36
2017-12-10,60,76.0,,0.76,45.6
2017-12-11,87,76.0,,0.76,66.12
2017-12-12,87,76.0,,0.76,66.12
2017-12-13,100,76.0,,0.76,76.0
2017-12-14,98,76.0,,0.76,74.48
2017-12-15,88,76.0,,0.76,66.88
2017-12-16,65,76.0,,0.76,49.4
2017-12-17,61,76.0,,0.76,46.36
2017-12-18,98,76.0,,0.76,74.48
2017-12-19,85,76.0,,0.76,64.6
2017-12-20,84,76.0,,0.76,63.84
2017-12-21,80,76.0,,0.76,60.8
2017-12-22,72,76.0,,0.76,54.72
2017-12-23,59,76.0,,0.76,44.84
2017-12-24,60,76.0,,0.76,45.6
2017-12-25,54,76.0,,0.76,41.04
2017-12-26,83,76.0,,0.76,63.08
2017-12-27,86,76.0,,0.76,65.36
2017-12-28,84,76.0,,0.76,63.84
2017-12-29,80,76.0,,0.76,60.8
