date,BK_unscaled,BK_monthly,isPartial,scale,BK
2016-09-18,70,70.0,,0.7,49.0
2016-09-19,79,70.0,,0.7,55.3
2016-09-20,86,70.0,,0.7,60.199999999999996
2016-09-21,93,70.0,,0.7,65.1
2016-09-22,77,70.0,,0.7,53.9
2016-09-23,87,70.0,,0.7,60.9
2016-09-24,93,70.0,,0.7,65.1
2016-09-25,79,70.0,,0.7,55.3
2016-09-26,70,70.0,,0.7,49.0
2016-09-27,88,70.0,,0.7,61.599999999999994
2016-09-28,93,70.0,,0.7,65.1
2016-09-29,93,70.0,,0.7,65.1
2016-09-30,84,70.0,,0.7,58.8
2016-10-01,87,67.0,False,0.67,58.290000000000006
2016-10-02,76,67.0,,0.67,50.92
2016-10-03,71,67.0,,0.67,47.57
2016-10-04,84,67.0,,0.67,56.28
2016-10-05,82,67.0,,0.67,54.940000000000005
2016-10-06,81,67.0,,0.67,54.27
2016-10-07,77,67.0,,0.67,51.59
2016-10-08,83,67.0,,0.67,55.61000000000001
2016-10-09,89,67.0,,0.67,59.63
2016-10-10,81,67.0,,0.67,54.27
2016-10-11,76,67.0,,0.67,50.92
2016-10-12,80,67.0,,0.67,53.6
2016-10-13,80,67.0,,0.67,53.6
2016-10-14,85,67.0,,0.67,56.95
2016-10-15,95,67.0,,0.67,63.650000000000006
2016-10-16,79,67.0,,0.67,52.93
2016-10-17,93,67.0,,0.67,62.31
2016-10-18,92,67.0,,0.67,61.64
2016-10-19,81,67.0,,0.67,54.27
2016-10-20,93,67.0,,0.67,62.31
2016-10-21,86,67.0,,0.67,57.620000000000005
2016-10-22,87,67.0,,0.67,58.290000000000006
2016-10-23,73,67.0,,0.67,48.910000000000004
2016-10-24,100,67.0,,0.67,67.0
2016-10-25,81,67.0,,0.67,54.27
2016-10-26,86,67.0,,0.67,57.620000000000005
2016-10-27,92,67.0,,0.67,61.64
2016-10-28,88,67.0,,0.67,58.96
2016-10-29,91,67.0,,0.67,60.970000000000006
2016-10-30,88,67.0,,0.67,58.96
2016-10-31,86,67.0,,0.67,57.620000000000005
2016-11-01,80,68.0,False,0.68,54.400000000000006
2016-11-02,85,68.0,,0.68,57.800000000000004
2016-11-03,82,68.0,,0.68,55.760000000000005
2016-11-04,85,68.0,,0.68,57.800000000000004
2016-11-05,98,68.0,,0.68,66.64
2016-11-06,77,68.0,,0.68,52.36000000000001
2016-11-07,93,68.0,,0.68,63.24
2016-11-08,88,68.0,,0.68,59.84
2016-11-09,72,68.0,,0.68,48.96
2016-11-10,80,68.0,,0.68,54.400000000000006
2016-11-11,88,68.0,,0.68,59.84
2016-11-12,90,68.0,,0.68,61.2
2016-11-13,75,68.0,,0.68,51.00000000000001
2016-11-14,78,68.0,,0.68,53.040000000000006
2016-11-15,94,68.0,,0.68,63.92
2016-11-16,89,68.0,,0.68,60.52
2016-11-17,100,68.0,,0.68,68.0
2016-11-18,84,68.0,,0.68,57.120000000000005
2016-11-19,79,68.0,,0.68,53.720000000000006
2016-11-20,78,68.0,,0.68,53.040000000000006
2016-11-21,87,68.0,,0.68,59.160000000000004
2016-11-22,96,68.0,,0.68,65.28
2016-11-23,79,68.0,,0.68,53.720000000000006
2016-11-24,66,68.0,,0.68,44.88
2016-11-25,62,68.0,,0.68,42.160000000000004
2016-11-26,69,68.0,,0.68,46.92
2016-11-27,74,68.0,,0.68,50.32
2016-11-28,71,68.0,,0.68,48.28
2016-11-29,89,68.0,,0.68,60.52
2016-11-30,87,68.0,,0.68,59.160000000000004
2016-12-01,73,68.0,False,0.68,49.64
2016-12-02,85,68.0,,0.68,57.800000000000004
2016-12-03,77,68.0,,0.68,52.36000000000001
2016-12-04,75,68.0,,0.68,51.00000000000001
2016-12-05,79,68.0,,0.68,53.720000000000006
2016-12-06,74,68.0,,0.68,50.32
2016-12-07,77,68.0,,0.68,52.36000000000001
2016-12-08,80,68.0,,0.68,54.400000000000006
2016-12-09,75,68.0,,0.68,51.00000000000001
2016-12-10,69,68.0,,0.68,46.92
2016-12-11,75,68.0,,0.68,51.00000000000001
2016-12-12,76,68.0,,0.68,51.68000000000001
2016-12-13,90,68.0,,0.68,61.2
2016-12-14,76,68.0,,0.68,51.68000000000001
2016-12-15,75,68.0,,0.68,51.00000000000001
2016-12-16,86,68.0,,0.68,58.480000000000004
2016-12-17,77,68.0,,0.68,52.36000000000001
2016-12-18,92,68.0,,0.68,62.56
2016-12-19,81,68.0,,0.68,55.080000000000005
2016-12-20,87,68.0,,0.68,59.160000000000004
2016-12-21,79,68.0,,0.68,53.720000000000006
2016-12-22,87,68.0,,0.68,59.160000000000004
2016-12-23,72,68.0,,0.68,48.96
2016-12-24,72,68.0,,0.68,48.96
2016-12-25,48,68.0,,0.68,32.64
2016-12-26,61,68.0,,0.68,41.480000000000004
2016-12-27,72,68.0,,0.68,48.96
2016-12-28,100,68.0,,0.68,68.0
2016-12-29,82,68.0,,0.68,55.760000000000005
2016-12-30,94,68.0,,0.68,63.92
2016-12-31,80,68.0,,0.68,54.400000000000006
2017-01-01,63,70.0,False,0.7,44.099999999999994
2017-01-02,82,70.0,,0.7,57.4
2017-01-03,89,70.0,,0.7,62.3
2017-01-04,96,70.0,,0.7,67.19999999999999
2017-01-05,92,70.0,,0.7,64.39999999999999
2017-01-06,92,70.0,,0.7,64.39999999999999
2017-01-07,87,70.0,,0.7,60.9
2017-01-08,100,70.0,,0.7,70.0
2017-01-09,78,70.0,,0.7,54.599999999999994
2017-01-10,89,70.0,,0.7,62.3
2017-01-11,96,70.0,,0.7,67.19999999999999
2017-01-12,80,70.0,,0.7,56.0
2017-01-13,97,70.0,,0.7,67.89999999999999
2017-01-14,98,70.0,,0.7,68.6
2017-01-15,83,70.0,,0.7,58.099999999999994
2017-01-16,81,70.0,,0.7,56.699999999999996
2017-01-17,79,70.0,,0.7,55.3
2017-01-18,94,70.0,,0.7,65.8
2017-01-19,90,70.0,,0.7,62.99999999999999
2017-01-20,84,70.0,,0.7,58.8
2017-01-21,90,70.0,,0.7,62.99999999999999
2017-01-22,93,70.0,,0.7,65.1
2017-01-23,86,70.0,,0.7,60.199999999999996
2017-01-24,82,70.0,,0.7,57.4
2017-01-25,91,70.0,,0.7,63.699999999999996
2017-01-26,95,70.0,,0.7,66.5
2017-01-27,86,70.0,,0.7,60.199999999999996
2017-01-28,97,70.0,,0.7,67.89999999999999
2017-01-29,93,70.0,,0.7,65.1
2017-01-30,92,70.0,,0.7,64.39999999999999
2017-01-31,90,70.0,,0.7,62.99999999999999
2017-02-01,79,70.0,False,0.7,55.3
2017-02-02,83,70.0,,0.7,58.099999999999994
2017-02-03,82,70.0,,0.7,57.4
2017-02-04,82,70.0,,0.7,57.4
2017-02-05,72,70.0,,0.7,50.4
2017-02-06,71,70.0,,0.7,49.699999999999996
2017-02-07,88,70.0,,0.7,61.599999999999994
2017-02-08,88,70.0,,0.7,61.599999999999994
2017-02-09,84,70.0,,0.7,58.8
2017-02-10,89,70.0,,0.7,62.3
2017-02-11,93,70.0,,0.7,65.1
2017-02-12,79,70.0,,0.7,55.3
2017-02-13,71,70.0,,0.7,49.699999999999996
2017-02-14,96,70.0,,0.7,67.19999999999999
2017-02-15,100,70.0,,0.7,70.0
2017-02-16,94,70.0,,0.7,65.8
2017-02-17,89,70.0,,0.7,62.3
2017-02-18,76,70.0,,0.7,53.199999999999996
2017-02-19,84,70.0,,0.7,58.8
2017-02-20,74,70.0,,0.7,51.8
2017-02-21,88,70.0,,0.7,61.599999999999994
2017-02-22,96,70.0,,0.7,67.19999999999999
2017-02-23,90,70.0,,0.7,62.99999999999999
2017-02-24,90,70.0,,0.7,62.99999999999999
2017-02-25,95,70.0,,0.7,66.5
2017-02-26,98,70.0,,0.7,68.6
2017-02-27,79,70.0,,0.7,55.3
2017-02-28,91,70.0,,0.7,63.699999999999996
2017-03-01,80,75.0,False,0.75,60.0
2017-03-02,81,75.0,,0.75,60.75
2017-03-03,85,75.0,,0.75,63.75
2017-03-04,95,75.0,,0.75,71.25
2017-03-05,100,75.0,,0.75,75.0
2017-03-06,74,75.0,,0.75,55.5
2017-03-07,83,75.0,,0.75,62.25
2017-03-08,87,75.0,,0.75,65.25
2017-03-09,78,75.0,,0.75,58.5
2017-03-10,82,75.0,,0.75,61.5
2017-03-11,73,75.0,,0.75,54.75
2017-03-12,71,75.0,,0.75,53.25
2017-03-13,65,75.0,,0.75,48.75
2017-03-14,72,75.0,,0.75,54.0
2017-03-15,63,75.0,,0.75,47.25
2017-03-16,78,75.0,,0.75,58.5
2017-03-17,83,75.0,,0.75,62.25
2017-03-18,75,75.0,,0.75,56.25
2017-03-19,83,75.0,,0.75,62.25
2017-03-20,77,75.0,,0.75,57.75
2017-03-21,87,75.0,,0.75,65.25
2017-03-22,93,75.0,,0.75,69.75
2017-03-23,77,75.0,,0.75,57.75
2017-03-24,82,75.0,,0.75,61.5
2017-03-25,72,75.0,,0.75,54.0
2017-03-26,71,75.0,,0.75,53.25
2017-03-27,87,75.0,,0.75,65.25
2017-03-28,90,75.0,,0.75,67.5
2017-03-29,80,75.0,,0.75,60.0
2017-03-30,94,75.0,,0.75,70.5
2017-03-31,85,75.0,,0.75,63.75
2017-04-01,86,76.0,False,0.76,65.36
2017-04-02,71,76.0,,0.76,53.96
2017-04-03,77,76.0,,0.76,58.52
2017-04-04,77,76.0,,0.76,58.52
2017-04-05,84,76.0,,0.76,63.84
2017-04-06,75,76.0,,0.76,57.0
2017-04-07,81,76.0,,0.76,61.56
2017-04-08,98,76.0,,0.76,74.48
2017-04-09,100,76.0,,0.76,76.0
2017-04-10,90,76.0,,0.76,68.4
2017-04-11,80,76.0,,0.76,60.8
2017-04-12,91,76.0,,0.76,69.16
2017-04-13,82,76.0,,0.76,62.32
2017-04-14,91,76.0,,0.76,69.16
2017-04-15,93,76.0,,0.76,70.68
2017-04-16,61,76.0,,0.76,46.36
2017-04-17,90,76.0,,0.76,68.4
2017-04-18,77,76.0,,0.76,58.52
2017-04-19,86,76.0,,0.76,65.36
2017-04-20,79,76.0,,0.76,60.04
2017-04-21,80,76.0,,0.76,60.8
2017-04-22,83,76.0,,0.76,63.08
2017-04-23,79,76.0,,0.76,60.04
2017-04-24,84,76.0,,0.76,63.84
2017-04-25,83,76.0,,0.76,63.08
2017-04-26,80,76.0,,0.76,60.8
2017-04-27,96,76.0,,0.76,72.96000000000001
2017-04-28,93,76.0,,0.76,70.68
2017-04-29,84,76.0,,0.76,63.84
2017-04-30,75,76.0,,0.76,57.0
2017-05-01,79,77.0,False,0.77,60.83
2017-05-02,91,77.0,,0.77,70.07000000000001
2017-05-03,92,77.0,,0.77,70.84
2017-05-04,95,77.0,,0.77,73.15
2017-05-05,80,77.0,,0.77,61.6
2017-05-06,94,77.0,,0.77,72.38
2017-05-07,75,77.0,,0.77,57.75
2017-05-08,88,77.0,,0.77,67.76
2017-05-09,93,77.0,,0.77,71.61
2017-05-10,93,77.0,,0.77,71.61
2017-05-11,84,77.0,,0.77,64.68
2017-05-12,77,77.0,,0.77,59.29
2017-05-13,92,77.0,,0.77,70.84
2017-05-14,78,77.0,,0.77,60.06
2017-05-15,100,77.0,,0.77,77.0
2017-05-16,83,77.0,,0.77,63.910000000000004
2017-05-17,75,77.0,,0.77,57.75
2017-05-18,79,77.0,,0.77,60.83
2017-05-19,76,77.0,,0.77,58.52
2017-05-20,95,77.0,,0.77,73.15
2017-05-21,93,77.0,,0.77,71.61
2017-05-22,96,77.0,,0.77,73.92
2017-05-23,99,77.0,,0.77,76.23
2017-05-24,82,77.0,,0.77,63.14
2017-05-25,89,77.0,,0.77,68.53
2017-05-26,85,77.0,,0.77,65.45
2017-05-27,76,77.0,,0.77,58.52
2017-05-28,69,77.0,,0.77,53.13
2017-05-29,81,77.0,,0.77,62.370000000000005
2017-05-30,91,77.0,,0.77,70.07000000000001
2017-05-31,88,77.0,,0.77,67.76
2017-06-01,82,81.0,False,0.81,66.42
2017-06-02,85,81.0,,0.81,68.85000000000001
2017-06-03,75,81.0,,0.81,60.75000000000001
2017-06-04,86,81.0,,0.81,69.66000000000001
2017-06-05,85,81.0,,0.81,68.85000000000001
2017-06-06,92,81.0,,0.81,74.52000000000001
2017-06-07,81,81.0,,0.81,65.61
2017-06-08,74,81.0,,0.81,59.940000000000005
2017-06-09,74,81.0,,0.81,59.940000000000005
2017-06-10,82,81.0,,0.81,66.42
2017-06-11,80,81.0,,0.81,64.80000000000001
2017-06-12,75,81.0,,0.81,60.75000000000001
2017-06-13,70,81.0,,0.81,56.7
2017-06-14,83,81.0,,0.81,67.23
2017-06-15,74,81.0,,0.81,59.940000000000005
2017-06-16,82,81.0,,0.81,66.42
2017-06-17,78,81.0,,0.81,63.18000000000001
2017-06-18,73,81.0,,0.81,59.13
2017-06-19,90,81.0,,0.81,72.9
2017-06-20,100,81.0,,0.81,81.0
2017-06-21,84,81.0,,0.81,68.04
2017-06-22,80,81.0,,0.81,64.80000000000001
2017-06-23,87,81.0,,0.81,70.47
2017-06-24,76,81.0,,0.81,61.56
2017-06-25,73,81.0,,0.81,59.13
2017-06-26,76,81.0,,0.81,61.56
2017-06-27,94,81.0,,0.81,76.14
2017-06-28,94,81.0,,0.81,76.14
2017-06-29,77,81.0,,0.81,62.370000000000005
2017-06-30,96,81.0,,0.81,77.76
2017-07-01,81,78.0,False,0.78,63.18
2017-07-02,83,78.0,,0.78,64.74000000000001
2017-07-03,81,78.0,,0.78,63.18
2017-07-04,76,78.0,,0.78,59.28
2017-07-05,87,78.0,,0.78,67.86
2017-07-06,80,78.0,,0.78,62.400000000000006
2017-07-07,72,78.0,,0.78,56.160000000000004
2017-07-08,65,78.0,,0.78,50.7
2017-07-09,88,78.0,,0.78,68.64
2017-07-10,88,78.0,,0.78,68.64
2017-07-11,72,78.0,,0.78,56.160000000000004
2017-07-12,85,78.0,,0.78,66.3
2017-07-13,81,78.0,,0.78,63.18
2017-07-14,95,78.0,,0.78,74.10000000000001
2017-07-15,79,78.0,,0.78,61.620000000000005
2017-07-16,84,78.0,,0.78,65.52
2017-07-17,88,78.0,,0.78,68.64
2017-07-18,77,78.0,,0.78,60.06
2017-07-19,93,78.0,,0.78,72.54
2017-07-20,96,78.0,,0.78,74.88
2017-07-21,88,78.0,,0.78,68.64
2017-07-22,79,78.0,,0.78,61.620000000000005
2017-07-23,86,78.0,,0.78,67.08
2017-07-24,77,78.0,,0.78,60.06
2017-07-25,74,78.0,,0.78,57.72
2017-07-26,89,78.0,,0.78,69.42
2017-07-27,76,78.0,,0.78,59.28
2017-07-28,100,78.0,,0.78,78.0
2017-07-29,83,78.0,,0.78,64.74000000000001
2017-07-30,76,78.0,,0.78,59.28
2017-07-31,85,78.0,,0.78,66.3
2017-08-01,88,75.0,False,0.75,66.0
2017-08-02,77,75.0,,0.75,57.75
2017-08-03,100,75.0,,0.75,75.0
2017-08-04,88,75.0,,0.75,66.0
2017-08-05,85,75.0,,0.75,63.75
2017-08-06,72,75.0,,0.75,54.0
2017-08-07,74,75.0,,0.75,55.5
2017-08-08,72,75.0,,0.75,54.0
2017-08-09,86,75.0,,0.75,64.5
2017-08-10,88,75.0,,0.75,66.0
2017-08-11,74,75.0,,0.75,55.5
2017-08-12,76,75.0,,0.75,57.0
2017-08-13,81,75.0,,0.75,60.75
2017-08-14,88,75.0,,0.75,66.0
2017-08-15,80,75.0,,0.75,60.0
2017-08-16,93,75.0,,0.75,69.75
2017-08-17,94,75.0,,0.75,70.5
2017-08-18,89,75.0,,0.75,66.75
2017-08-19,69,75.0,,0.75,51.75
2017-08-20,74,75.0,,0.75,55.5
2017-08-21,81,75.0,,0.75,60.75
2017-08-22,82,75.0,,0.75,61.5
2017-08-23,81,75.0,,0.75,60.75
2017-08-24,89,75.0,,0.75,66.75
2017-08-25,88,75.0,,0.75,66.0
2017-08-26,88,75.0,,0.75,66.0
2017-08-27,72,75.0,,0.75,54.0
2017-08-28,78,75.0,,0.75,58.5
2017-08-29,90,75.0,,0.75,67.5
2017-08-30,85,75.0,,0.75,63.75
2017-08-31,75,75.0,,0.75,56.25
2017-09-01,82,69.0,False,0.69,56.58
2017-09-02,89,69.0,,0.69,61.41
2017-09-03,84,69.0,,0.69,57.959999999999994
2017-09-04,81,69.0,,0.69,55.88999999999999
2017-09-05,77,69.0,,0.69,53.129999999999995
2017-09-06,70,69.0,,0.69,48.3
2017-09-07,95,69.0,,0.69,65.55
2017-09-08,82,69.0,,0.69,56.58
2017-09-09,88,69.0,,0.69,60.72
2017-09-10,72,69.0,,0.69,49.67999999999999
2017-09-11,77,69.0,,0.69,53.129999999999995
2017-09-12,84,69.0,,0.69,57.959999999999994
2017-09-13,80,69.0,,0.69,55.199999999999996
2017-09-14,84,69.0,,0.69,57.959999999999994
2017-09-15,89,69.0,,0.69,61.41
2017-09-16,81,69.0,,0.69,55.88999999999999
2017-09-17,79,69.0,,0.69,54.51
2017-09-18,79,69.0,,0.69,54.51
2017-09-19,100,69.0,,0.69,69.0
2017-09-20,82,69.0,,0.69,56.58
2017-09-21,89,69.0,,0.69,61.41
2017-09-22,75,69.0,,0.69,51.74999999999999
2017-09-23,89,69.0,,0.69,61.41
2017-09-24,62,69.0,,0.69,42.779999999999994
2017-09-25,98,69.0,,0.69,67.61999999999999
2017-09-26,76,69.0,,0.69,52.44
2017-09-27,79,69.0,,0.69,54.51
2017-09-28,94,69.0,,0.69,64.86
2017-09-29,85,69.0,,0.69,58.65
2017-09-30,90,69.0,,0.69,62.099999999999994
2017-10-01,93,75.0,False,0.75,69.75
2017-10-02,78,75.0,,0.75,58.5
2017-10-03,85,75.0,,0.75,63.75
2017-10-04,92,75.0,,0.75,69.0
2017-10-05,89,75.0,,0.75,66.75
2017-10-06,95,75.0,,0.75,71.25
2017-10-07,100,75.0,,0.75,75.0
2017-10-08,80,75.0,,0.75,60.0
2017-10-09,94,75.0,,0.75,70.5
2017-10-10,99,75.0,,0.75,74.25
2017-10-11,86,75.0,,0.75,64.5
2017-10-12,100,75.0,,0.75,75.0
2017-10-13,82,75.0,,0.75,61.5
2017-10-14,89,75.0,,0.75,66.75
2017-10-15,92,75.0,,0.75,69.0
2017-10-16,83,75.0,,0.75,62.25
2017-10-17,98,75.0,,0.75,73.5
2017-10-18,81,75.0,,0.75,60.75
2017-10-19,95,75.0,,0.75,71.25
2017-10-20,98,75.0,,0.75,73.5
2017-10-21,97,75.0,,0.75,72.75
2017-10-22,93,75.0,,0.75,69.75
2017-10-23,91,75.0,,0.75,68.25
2017-10-24,94,75.0,,0.75,70.5
2017-10-25,85,75.0,,0.75,63.75
2017-10-26,90,75.0,,0.75,67.5
2017-10-27,87,75.0,,0.75,65.25
2017-10-28,94,75.0,,0.75,70.5
2017-10-29,84,75.0,,0.75,63.0
2017-10-30,92,75.0,,0.75,69.0
2017-10-31,96,75.0,,0.75,72.0
2017-11-01,83,69.0,False,0.69,57.269999999999996
2017-11-02,82,69.0,,0.69,56.58
2017-11-03,90,69.0,,0.69,62.099999999999994
2017-11-04,72,69.0,,0.69,49.67999999999999
2017-11-05,72,69.0,,0.69,49.67999999999999
2017-11-06,84,69.0,,0.69,57.959999999999994
2017-11-07,73,69.0,,0.69,50.37
2017-11-08,88,69.0,,0.69,60.72
2017-11-09,91,69.0,,0.69,62.78999999999999
2017-11-10,88,69.0,,0.69,60.72
2017-11-11,84,69.0,,0.69,57.959999999999994
2017-11-12,78,69.0,,0.69,53.81999999999999
2017-11-13,72,69.0,,0.69,49.67999999999999
2017-11-14,64,69.0,,0.69,44.16
2017-11-15,81,69.0,,0.69,55.88999999999999
2017-11-16,81,69.0,,0.69,55.88999999999999
2017-11-17,85,69.0,,0.69,58.65
2017-11-18,100,69.0,,0.69,69.0
2017-11-19,73,69.0,,0.69,50.37
2017-11-20,68,69.0,,0.69,46.919999999999995
2017-11-21,76,69.0,,0.69,52.44
2017-11-22,65,69.0,,0.69,44.849999999999994
2017-11-23,76,69.0,,0.69,52.44
2017-11-24,58,69.0,,0.69,40.019999999999996
2017-11-25,75,69.0,,0.69,51.74999999999999
2017-11-26,73,69.0,,0.69,50.37
2017-11-27,78,69.0,,0.69,53.81999999999999
2017-11-28,71,69.0,,0.69,48.989999999999995
2017-11-29,72,69.0,,0.69,49.67999999999999
2017-11-30,76,69.0,,0.69,52.44
2017-12-01,100,66.0,False,0.66,66.0
2017-12-02,97,66.0,,0.66,64.02
2017-12-03,75,66.0,,0.66,49.5
2017-12-04,80,66.0,,0.66,52.800000000000004
2017-12-05,100,66.0,,0.66,66.0
2017-12-06,84,66.0,,0.66,55.440000000000005
2017-12-07,88,66.0,,0.66,58.080000000000005
2017-12-08,87,66.0,,0.66,57.42
2017-12-09,81,66.0,,0.66,53.46
2017-12-10,96,66.0,,0.66,63.36
2017-12-11,75,66.0,,0.66,49.5
2017-12-12,89,66.0,,0.66,58.74
2017-12-13,87,66.0,,0.66,57.42
2017-12-14,87,66.0,,0.66,57.42
2017-12-15,80,66.0,,0.66,52.800000000000004
2017-12-16,75,66.0,,0.66,49.5
2017-12-17,100,66.0,,0.66,66.0
2017-12-18,78,66.0,,0.66,51.480000000000004
2017-12-19,87,66.0,,0.66,57.42
2017-12-20,76,66.0,,0.66,50.160000000000004
2017-12-21,95,66.0,,0.66,62.7
2017-12-22,94,66.0,,0.66,62.040000000000006
