date,IBM_unscaled,IBM_monthly,isPartial,scale,IBM
2016-11-24,38,82.0,,0.82,31.159999999999997
2016-11-25,40,82.0,,0.82,32.8
2016-11-26,36,82.0,,0.82,29.52
2016-11-27,28,82.0,,0.82,22.959999999999997
2016-11-28,76,82.0,,0.82,62.31999999999999
2016-11-29,96,82.0,,0.82,78.72
2016-11-30,88,82.0,,0.82,72.16
2016-12-01,73,77.0,False,0.77,56.21
2016-12-02,68,77.0,,0.77,52.36
2016-12-03,34,77.0,,0.77,26.18
2016-12-04,34,77.0,,0.77,26.18
2016-12-05,71,77.0,,0.77,54.67
2016-12-06,79,77.0,,0.77,60.83
2016-12-07,75,77.0,,0.77,57.75
2016-12-08,72,77.0,,0.77,55.44
2016-12-09,63,77.0,,0.77,48.51
2016-12-10,24,77.0,,0.77,18.48
2016-12-11,28,77.0,,0.77,21.560000000000002
2016-12-12,66,77.0,,0.77,50.82
2016-12-13,79,77.0,,0.77,60.83
2016-12-14,100,77.0,,0.77,77.0
2016-12-15,82,77.0,,0.77,63.14
2016-12-16,70,77.0,,0.77,53.9
2016-12-17,32,77.0,,0.77,24.64
2016-12-18,35,77.0,,0.77,26.95
2016-12-19,64,77.0,,0.77,49.28
2016-12-20,73,77.0,,0.77,56.21
2016-12-21,65,77.0,,0.77,50.050000000000004
2016-12-22,66,77.0,,0.77,50.82
2016-12-23,46,77.0,,0.77,35.42
2016-12-24,23,77.0,,0.77,17.71
2016-12-25,17,77.0,,0.77,13.09
2016-12-26,23,77.0,,0.77,17.71
2016-12-27,49,77.0,,0.77,37.730000000000004
2016-12-28,51,77.0,,0.77,39.27
2016-12-29,50,77.0,,0.77,38.5
2016-12-30,50,77.0,,0.77,38.5
2016-12-31,22,77.0,,0.77,16.94
2017-01-01,24,90.0,False,0.9,21.6
2017-01-02,38,90.0,,0.9,34.2
2017-01-03,64,90.0,,0.9,57.6
2017-01-04,74,90.0,,0.9,66.60000000000001
2017-01-05,73,90.0,,0.9,65.7
2017-01-06,71,90.0,,0.9,63.9
2017-01-07,34,90.0,,0.9,30.6
2017-01-08,34,90.0,,0.9,30.6
2017-01-09,66,90.0,,0.9,59.4
2017-01-10,74,90.0,,0.9,66.60000000000001
2017-01-11,76,90.0,,0.9,68.4
2017-01-12,75,90.0,,0.9,67.5
2017-01-13,73,90.0,,0.9,65.7
2017-01-14,38,90.0,,0.9,34.2
2017-01-15,39,90.0,,0.9,35.1
2017-01-16,64,90.0,,0.9,57.6
2017-01-17,82,90.0,,0.9,73.8
2017-01-18,80,90.0,,0.9,72.0
2017-01-19,100,90.0,,0.9,90.0
2017-01-20,80,90.0,,0.9,72.0
2017-01-21,43,90.0,,0.9,38.7
2017-01-22,38,90.0,,0.9,34.2
2017-01-23,82,90.0,,0.9,73.8
2017-01-24,88,90.0,,0.9,79.2
2017-01-25,87,90.0,,0.9,78.3
2017-01-26,91,90.0,,0.9,81.9
2017-01-27,75,90.0,,0.9,67.5
2017-01-28,37,90.0,,0.9,33.300000000000004
2017-01-29,32,90.0,,0.9,28.8
2017-01-30,67,90.0,,0.9,60.300000000000004
2017-01-31,91,90.0,,0.9,81.9
2017-02-01,92,99.0,False,0.99,91.08
2017-02-02,85,99.0,,0.99,84.15
2017-02-03,85,99.0,,0.99,84.15
2017-02-04,41,99.0,,0.99,40.589999999999996
2017-02-05,35,99.0,,0.99,34.65
2017-02-06,86,99.0,,0.99,85.14
2017-02-07,86,99.0,,0.99,85.14
2017-02-08,92,99.0,,0.99,91.08
2017-02-09,94,99.0,,0.99,93.06
2017-02-10,80,99.0,,0.99,79.2
2017-02-11,42,99.0,,0.99,41.58
2017-02-12,43,99.0,,0.99,42.57
2017-02-13,88,99.0,,0.99,87.12
2017-02-14,100,99.0,,0.99,99.0
2017-02-15,96,99.0,,0.99,95.03999999999999
2017-02-16,97,99.0,,0.99,96.03
2017-02-17,90,99.0,,0.99,89.1
2017-02-18,47,99.0,,0.99,46.53
2017-02-19,42,99.0,,0.99,41.58
2017-02-20,67,99.0,,0.99,66.33
2017-02-21,95,99.0,,0.99,94.05
2017-02-22,94,99.0,,0.99,93.06
2017-02-23,85,99.0,,0.99,84.15
2017-02-24,79,99.0,,0.99,78.21
2017-02-25,39,99.0,,0.99,38.61
2017-02-26,37,99.0,,0.99,36.63
2017-02-27,84,99.0,,0.99,83.16
2017-02-28,91,99.0,,0.99,90.09
2017-03-01,87,100.0,False,1.0,87.0
2017-03-02,90,100.0,,1.0,90.0
2017-03-03,81,100.0,,1.0,81.0
2017-03-04,44,100.0,,1.0,44.0
2017-03-05,33,100.0,,1.0,33.0
2017-03-06,91,100.0,,1.0,91.0
2017-03-07,90,100.0,,1.0,90.0
2017-03-08,87,100.0,,1.0,87.0
2017-03-09,92,100.0,,1.0,92.0
2017-03-10,77,100.0,,1.0,77.0
2017-03-11,40,100.0,,1.0,40.0
2017-03-12,38,100.0,,1.0,38.0
2017-03-13,79,100.0,,1.0,79.0
2017-03-14,76,100.0,,1.0,76.0
2017-03-15,84,100.0,,1.0,84.0
2017-03-16,87,100.0,,1.0,87.0
2017-03-17,81,100.0,,1.0,81.0
2017-03-18,45,100.0,,1.0,45.0
2017-03-19,39,100.0,,1.0,39.0
2017-03-20,100,100.0,,1.0,100.0
2017-03-21,96,100.0,,1.0,96.0
2017-03-22,96,100.0,,1.0,96.0
2017-03-23,84,100.0,,1.0,84.0
2017-03-24,75,100.0,,1.0,75.0
2017-03-25,38,100.0,,1.0,38.0
2017-03-26,39,100.0,,1.0,39.0
2017-03-27,82,100.0,,1.0,82.0
2017-03-28,86,100.0,,1.0,86.0
2017-03-29,81,100.0,,1.0,81.0
2017-03-30,97,100.0,,1.0,97.0
2017-03-31,82,100.0,,1.0,82.0
2017-04-01,32,93.0,False,0.93,29.76
2017-04-02,31,93.0,,0.93,28.830000000000002
2017-04-03,57,93.0,,0.93,53.010000000000005
2017-04-04,63,93.0,,0.93,58.59
2017-04-05,63,93.0,,0.93,58.59
2017-04-06,67,93.0,,0.93,62.31
2017-04-07,56,93.0,,0.93,52.080000000000005
2017-04-08,33,93.0,,0.93,30.69
2017-04-09,39,93.0,,0.93,36.27
2017-04-10,60,93.0,,0.93,55.800000000000004
2017-04-11,67,93.0,,0.93,62.31
2017-04-12,66,93.0,,0.93,61.38
2017-04-13,66,93.0,,0.93,61.38
2017-04-14,47,93.0,,0.93,43.71
2017-04-15,27,93.0,,0.93,25.110000000000003
2017-04-16,25,93.0,,0.93,23.25
2017-04-17,63,93.0,,0.93,58.59
2017-04-18,76,93.0,,0.93,70.68
2017-04-19,100,93.0,,0.93,93.0
2017-04-20,76,93.0,,0.93,70.68
2017-04-21,63,93.0,,0.93,58.59
2017-04-22,35,93.0,,0.93,32.550000000000004
2017-04-23,28,93.0,,0.93,26.040000000000003
2017-04-24,66,93.0,,0.93,61.38
2017-04-25,68,93.0,,0.93,63.24
2017-04-26,65,93.0,,0.93,60.45
2017-04-27,62,93.0,,0.93,57.660000000000004
2017-04-28,55,93.0,,0.93,51.150000000000006
2017-04-29,26,93.0,,0.93,24.18
2017-04-30,27,93.0,,0.93,25.110000000000003
2017-05-01,70,97.0,False,0.97,67.89999999999999
2017-05-02,74,97.0,,0.97,71.78
2017-05-03,76,97.0,,0.97,73.72
2017-05-04,73,97.0,,0.97,70.81
2017-05-05,100,97.0,,0.97,97.0
2017-05-06,42,97.0,,0.97,40.74
2017-05-07,40,97.0,,0.97,38.8
2017-05-08,79,97.0,,0.97,76.63
2017-05-09,83,97.0,,0.97,80.50999999999999
2017-05-10,75,97.0,,0.97,72.75
2017-05-11,74,97.0,,0.97,71.78
2017-05-12,68,97.0,,0.97,65.96
2017-05-13,31,97.0,,0.97,30.07
2017-05-14,35,97.0,,0.97,33.949999999999996
2017-05-15,68,97.0,,0.97,65.96
2017-05-16,77,97.0,,0.97,74.69
2017-05-17,75,97.0,,0.97,72.75
2017-05-18,86,97.0,,0.97,83.42
2017-05-19,80,97.0,,0.97,77.6
2017-05-20,40,97.0,,0.97,38.8
2017-05-21,33,97.0,,0.97,32.01
2017-05-22,74,97.0,,0.97,71.78
2017-05-23,73,97.0,,0.97,70.81
2017-05-24,70,97.0,,0.97,67.89999999999999
2017-05-25,71,97.0,,0.97,68.87
2017-05-26,62,97.0,,0.97,60.14
2017-05-27,30,97.0,,0.97,29.099999999999998
2017-05-28,24,97.0,,0.97,23.28
2017-05-29,33,97.0,,0.97,32.01
2017-05-30,68,97.0,,0.97,65.96
2017-05-31,70,97.0,,0.97,67.89999999999999
2017-06-01,89,88.0,False,0.88,78.32000000000001
2017-06-02,91,88.0,,0.88,80.08
2017-06-03,43,88.0,,0.88,37.84
2017-06-04,43,88.0,,0.88,37.84
2017-06-05,97,88.0,,0.88,85.36
2017-06-06,99,88.0,,0.88,87.12
2017-06-07,95,88.0,,0.88,83.6
2017-06-08,94,88.0,,0.88,82.72
2017-06-09,86,88.0,,0.88,75.68
2017-06-10,40,88.0,,0.88,35.2
2017-06-11,39,88.0,,0.88,34.32
2017-06-12,89,88.0,,0.88,78.32000000000001
2017-06-13,100,88.0,,0.88,88.0
2017-06-14,89,88.0,,0.88,78.32000000000001
2017-06-15,95,88.0,,0.88,83.6
2017-06-16,82,88.0,,0.88,72.16
2017-06-17,39,88.0,,0.88,34.32
2017-06-18,46,88.0,,0.88,40.48
2017-06-19,89,88.0,,0.88,78.32000000000001
2017-06-20,92,88.0,,0.88,80.96
2017-06-21,97,88.0,,0.88,85.36
2017-06-22,87,88.0,,0.88,76.56
2017-06-23,79,88.0,,0.88,69.52
2017-06-24,39,88.0,,0.88,34.32
2017-06-25,44,88.0,,0.88,38.72
2017-06-26,91,88.0,,0.88,80.08
2017-06-27,97,88.0,,0.88,85.36
2017-06-28,100,88.0,,0.88,88.0
2017-06-29,90,88.0,,0.88,79.2
2017-06-30,80,88.0,,0.88,70.4
2017-07-01,28,82.0,False,0.82,22.959999999999997
2017-07-02,24,82.0,,0.82,19.68
2017-07-03,43,82.0,,0.82,35.26
2017-07-04,27,82.0,,0.82,22.139999999999997
2017-07-05,60,82.0,,0.82,49.199999999999996
2017-07-06,69,82.0,,0.82,56.58
2017-07-07,58,82.0,,0.82,47.559999999999995
2017-07-08,28,82.0,,0.82,22.959999999999997
2017-07-09,31,82.0,,0.82,25.419999999999998
2017-07-10,67,82.0,,0.82,54.94
2017-07-11,66,82.0,,0.82,54.12
2017-07-12,70,82.0,,0.82,57.4
2017-07-13,62,82.0,,0.82,50.839999999999996
2017-07-14,61,82.0,,0.82,50.019999999999996
2017-07-15,29,82.0,,0.82,23.779999999999998
2017-07-16,30,82.0,,0.82,24.599999999999998
2017-07-17,70,82.0,,0.82,57.4
2017-07-18,100,82.0,,0.82,82.0
2017-07-19,100,82.0,,0.82,82.0
2017-07-20,72,82.0,,0.82,59.04
2017-07-21,72,82.0,,0.82,59.04
2017-07-22,29,82.0,,0.82,23.779999999999998
2017-07-23,26,82.0,,0.82,21.32
2017-07-24,65,82.0,,0.82,53.3
2017-07-25,71,82.0,,0.82,58.22
2017-07-26,69,82.0,,0.82,56.58
2017-07-27,74,82.0,,0.82,60.68
2017-07-28,64,82.0,,0.82,52.48
2017-07-29,26,82.0,,0.82,21.32
2017-07-30,28,82.0,,0.82,22.959999999999997
2017-07-31,65,82.0,,0.82,53.3
2017-08-01,89,86.0,False,0.86,76.53999999999999
2017-08-02,97,86.0,,0.86,83.42
2017-08-03,100,86.0,,0.86,86.0
2017-08-04,89,86.0,,0.86,76.53999999999999
2017-08-05,33,86.0,,0.86,28.38
2017-08-06,35,86.0,,0.86,30.099999999999998
2017-08-07,85,86.0,,0.86,73.1
2017-08-08,87,86.0,,0.86,74.82
2017-08-09,87,86.0,,0.86,74.82
2017-08-10,86,86.0,,0.86,73.96
2017-08-11,73,86.0,,0.86,62.78
2017-08-12,34,86.0,,0.86,29.24
2017-08-13,24,86.0,,0.86,20.64
2017-08-14,66,86.0,,0.86,56.76
2017-08-15,92,86.0,,0.86,79.12
2017-08-16,90,86.0,,0.86,77.4
2017-08-17,82,86.0,,0.86,70.52
2017-08-18,70,86.0,,0.86,60.199999999999996
2017-08-19,36,86.0,,0.86,30.96
2017-08-20,34,86.0,,0.86,29.24
2017-08-21,73,86.0,,0.86,62.78
2017-08-22,91,86.0,,0.86,78.26
2017-08-23,85,86.0,,0.86,73.1
2017-08-24,82,86.0,,0.86,70.52
2017-08-25,79,86.0,,0.86,67.94
2017-08-26,36,86.0,,0.86,30.96
2017-08-27,28,86.0,,0.86,24.08
2017-08-28,72,86.0,,0.86,61.92
2017-08-29,88,86.0,,0.86,75.67999999999999
2017-08-30,89,86.0,,0.86,76.53999999999999
2017-08-31,83,86.0,,0.86,71.38
2017-09-01,71,83.0,False,0.83,58.93
2017-09-02,39,83.0,,0.83,32.37
2017-09-03,35,83.0,,0.83,29.049999999999997
2017-09-04,48,83.0,,0.83,39.839999999999996
2017-09-05,80,83.0,,0.83,66.39999999999999
2017-09-06,85,83.0,,0.83,70.55
2017-09-07,87,83.0,,0.83,72.21
2017-09-08,79,83.0,,0.83,65.57
2017-09-09,35,83.0,,0.83,29.049999999999997
2017-09-10,38,83.0,,0.83,31.54
2017-09-11,88,83.0,,0.83,73.03999999999999
2017-09-12,88,83.0,,0.83,73.03999999999999
2017-09-13,90,83.0,,0.83,74.7
2017-09-14,100,83.0,,0.83,83.0
2017-09-15,85,83.0,,0.83,70.55
2017-09-16,37,83.0,,0.83,30.709999999999997
2017-09-17,41,83.0,,0.83,34.03
2017-09-18,77,83.0,,0.83,63.91
2017-09-19,89,83.0,,0.83,73.86999999999999
2017-09-20,86,83.0,,0.83,71.38
2017-09-21,91,83.0,,0.83,75.53
2017-09-22,80,83.0,,0.83,66.39999999999999
2017-09-23,39,83.0,,0.83,32.37
2017-09-24,34,83.0,,0.83,28.22
2017-09-25,89,83.0,,0.83,73.86999999999999
2017-09-26,98,83.0,,0.83,81.33999999999999
2017-09-27,90,83.0,,0.83,74.7
2017-09-28,85,83.0,,0.83,70.55
2017-09-29,76,83.0,,0.83,63.08
2017-09-30,40,83.0,,0.83,33.199999999999996
2017-10-01,21,93.0,False,0.93,19.53
2017-10-02,45,93.0,,0.93,41.85
2017-10-03,48,93.0,,0.93,44.64
2017-10-04,48,93.0,,0.93,44.64
2017-10-05,51,93.0,,0.93,47.43
2017-10-06,46,93.0,,0.93,42.78
2017-10-07,21,93.0,,0.93,19.53
2017-10-08,23,93.0,,0.93,21.39
2017-10-09,42,93.0,,0.93,39.06
2017-10-10,48,93.0,,0.93,44.64
2017-10-11,54,93.0,,0.93,50.220000000000006
2017-10-12,51,93.0,,0.93,47.43
2017-10-13,41,93.0,,0.93,38.13
2017-10-14,22,93.0,,0.93,20.46
2017-10-15,20,93.0,,0.93,18.6
2017-10-16,52,93.0,,0.93,48.36
2017-10-17,74,93.0,,0.93,68.82000000000001
2017-10-18,100,93.0,,0.93,93.0
2017-10-19,67,93.0,,0.93,62.31
2017-10-20,50,93.0,,0.93,46.5
2017-10-21,21,93.0,,0.93,19.53
2017-10-22,25,93.0,,0.93,23.25
2017-10-23,48,93.0,,0.93,44.64
2017-10-24,58,93.0,,0.93,53.940000000000005
2017-10-25,59,93.0,,0.93,54.870000000000005
2017-10-26,56,93.0,,0.93,52.080000000000005
2017-10-27,51,93.0,,0.93,47.43
2017-10-28,21,93.0,,0.93,19.53
2017-10-29,24,93.0,,0.93,22.32
2017-10-30,48,93.0,,0.93,44.64
2017-10-31,54,93.0,,0.93,50.220000000000006
2017-11-01,86,84.0,False,0.84,72.24
2017-11-02,83,84.0,,0.84,69.72
2017-11-03,84,84.0,,0.84,70.56
2017-11-04,40,84.0,,0.84,33.6
2017-11-05,43,84.0,,0.84,36.12
2017-11-06,79,84.0,,0.84,66.36
2017-11-07,90,84.0,,0.84,75.6
2017-11-08,88,84.0,,0.84,73.92
2017-11-09,86,84.0,,0.84,72.24
2017-11-10,79,84.0,,0.84,66.36
2017-11-11,38,84.0,,0.84,31.919999999999998
2017-11-12,31,84.0,,0.84,26.04
2017-11-13,87,84.0,,0.84,73.08
2017-11-14,89,84.0,,0.84,74.75999999999999
2017-11-15,100,84.0,,0.84,84.0
2017-11-16,89,84.0,,0.84,74.75999999999999
2017-11-17,80,84.0,,0.84,67.2
2017-11-18,35,84.0,,0.84,29.4
2017-11-19,34,84.0,,0.84,28.56
2017-11-20,71,84.0,,0.84,59.64
2017-11-21,78,84.0,,0.84,65.52
2017-11-22,68,84.0,,0.84,57.12
2017-11-23,33,84.0,,0.84,27.72
2017-11-24,42,84.0,,0.84,35.28
2017-11-25,35,84.0,,0.84,29.4
2017-11-26,31,84.0,,0.84,26.04
2017-11-27,69,84.0,,0.84,57.96
2017-11-28,84,84.0,,0.84,70.56
2017-11-29,84,84.0,,0.84,70.56
2017-11-30,85,84.0,,0.84,71.39999999999999
2017-12-01,84,71.0,False,0.71,59.64
2017-12-02,43,71.0,,0.71,30.529999999999998
2017-12-03,41,71.0,,0.71,29.11
2017-12-04,89,71.0,,0.71,63.19
2017-12-05,93,71.0,,0.71,66.03
2017-12-06,95,71.0,,0.71,67.45
2017-12-07,93,71.0,,0.71,66.03
2017-12-08,78,71.0,,0.71,55.379999999999995
2017-12-09,39,71.0,,0.71,27.689999999999998
2017-12-10,41,71.0,,0.71,29.11
2017-12-11,76,71.0,,0.71,53.959999999999994
2017-12-12,100,71.0,,0.71,71.0
2017-12-13,92,71.0,,0.71,65.32
2017-12-14,87,71.0,,0.71,61.769999999999996
2017-12-15,74,71.0,,0.71,52.54
2017-12-16,40,71.0,,0.71,28.4
2017-12-17,42,71.0,,0.71,29.82
2017-12-18,81,71.0,,0.71,57.51
2017-12-19,79,71.0,,0.71,56.089999999999996
2017-12-20,79,71.0,,0.71,56.089999999999996
2017-12-21,90,71.0,,0.71,63.9
2017-12-22,60,71.0,,0.71,42.599999999999994
2017-12-23,31,71.0,,0.71,22.009999999999998
2017-12-24,30,71.0,,0.71,21.299999999999997
2017-12-25,29,71.0,,0.71,20.59
2017-12-26,65,71.0,,0.71,46.15
2017-12-27,63,71.0,,0.71,44.73
2017-12-28,59,71.0,,0.71,41.89
2017-12-29,56,71.0,,0.71,39.76
2017-12-30,39,71.0,,0.71,27.689999999999998
2017-12-31,32,71.0,,0.71,22.72
2018-01-01,23,98.0,False,0.98,22.54
