date,MORE_unscaled,MORE_monthly,isPartial,scale,MORE
2016-07-30,76,71.0,,0.71,53.959999999999994
2016-07-31,77,71.0,,0.71,54.669999999999995
2016-08-01,96,64.0,False,0.64,61.44
2016-08-02,93,64.0,,0.64,59.52
2016-08-03,92,64.0,,0.64,58.88
2016-08-04,87,64.0,,0.64,55.68
2016-08-05,90,64.0,,0.64,57.6
2016-08-06,88,64.0,,0.64,56.32
2016-08-07,88,64.0,,0.64,56.32
2016-08-08,84,64.0,,0.64,53.76
2016-08-09,86,64.0,,0.64,55.04
2016-08-10,87,64.0,,0.64,55.68
2016-08-11,88,64.0,,0.64,56.32
2016-08-12,83,64.0,,0.64,53.120000000000005
2016-08-13,88,64.0,,0.64,56.32
2016-08-14,91,64.0,,0.64,58.24
2016-08-15,84,64.0,,0.64,53.76
2016-08-16,87,64.0,,0.64,55.68
2016-08-17,86,64.0,,0.64,55.04
2016-08-18,86,64.0,,0.64,55.04
2016-08-19,82,64.0,,0.64,52.480000000000004
2016-08-20,81,64.0,,0.64,51.84
2016-08-21,88,64.0,,0.64,56.32
2016-08-22,85,64.0,,0.64,54.4
2016-08-23,89,64.0,,0.64,56.96
2016-08-24,94,64.0,,0.64,60.160000000000004
2016-08-25,97,64.0,,0.64,62.08
2016-08-26,97,64.0,,0.64,62.08
2016-08-27,90,64.0,,0.64,57.6
2016-08-28,97,64.0,,0.64,62.08
2016-08-29,96,64.0,,0.64,61.44
2016-08-30,100,64.0,,0.64,64.0
2016-08-31,98,64.0,,0.64,62.72
2016-09-01,77,76.0,False,0.76,58.52
2016-09-02,74,76.0,,0.76,56.24
2016-09-03,66,76.0,,0.76,50.160000000000004
2016-09-04,71,76.0,,0.76,53.96
2016-09-05,73,76.0,,0.76,55.480000000000004
2016-09-06,83,76.0,,0.76,63.08
2016-09-07,84,76.0,,0.76,63.84
2016-09-08,83,76.0,,0.76,63.08
2016-09-09,87,76.0,,0.76,66.12
2016-09-10,73,76.0,,0.76,55.480000000000004
2016-09-11,74,76.0,,0.76,56.24
2016-09-12,85,76.0,,0.76,64.6
2016-09-13,89,76.0,,0.76,67.64
2016-09-14,96,76.0,,0.76,72.96000000000001
2016-09-15,88,76.0,,0.76,66.88
2016-09-16,85,76.0,,0.76,64.6
2016-09-17,71,76.0,,0.76,53.96
2016-09-18,77,76.0,,0.76,58.52
2016-09-19,93,76.0,,0.76,70.68
2016-09-20,93,76.0,,0.76,70.68
2016-09-21,100,76.0,,0.76,76.0
2016-09-22,92,76.0,,0.76,69.92
2016-09-23,83,76.0,,0.76,63.08
2016-09-24,69,76.0,,0.76,52.44
2016-09-25,73,76.0,,0.76,55.480000000000004
2016-09-26,93,76.0,,0.76,70.68
2016-09-27,97,76.0,,0.76,73.72
2016-09-28,95,76.0,,0.76,72.2
2016-09-29,93,76.0,,0.76,70.68
2016-09-30,84,76.0,,0.76,63.84
2016-10-01,69,77.0,False,0.77,53.13
2016-10-02,75,77.0,,0.77,57.75
2016-10-03,90,77.0,,0.77,69.3
2016-10-04,91,77.0,,0.77,70.07000000000001
2016-10-05,91,77.0,,0.77,70.07000000000001
2016-10-06,86,77.0,,0.77,66.22
2016-10-07,75,77.0,,0.77,57.75
2016-10-08,69,77.0,,0.77,53.13
2016-10-09,75,77.0,,0.77,57.75
2016-10-10,86,77.0,,0.77,66.22
2016-10-11,92,77.0,,0.77,70.84
2016-10-12,93,77.0,,0.77,71.61
2016-10-13,91,77.0,,0.77,70.07000000000001
2016-10-14,77,77.0,,0.77,59.29
2016-10-15,73,77.0,,0.77,56.21
2016-10-16,74,77.0,,0.77,56.980000000000004
2016-10-17,92,77.0,,0.77,70.84
2016-10-18,95,77.0,,0.77,73.15
2016-10-19,96,77.0,,0.77,73.92
2016-10-20,96,77.0,,0.77,73.92
2016-10-21,80,77.0,,0.77,61.6
2016-10-22,72,77.0,,0.77,55.44
2016-10-23,75,77.0,,0.77,57.75
2016-10-24,97,77.0,,0.77,74.69
2016-10-25,98,77.0,,0.77,75.46000000000001
2016-10-26,100,77.0,,0.77,77.0
2016-10-27,99,77.0,,0.77,76.23
2016-10-28,86,77.0,,0.77,66.22
2016-10-29,70,77.0,,0.77,53.9
2016-10-30,75,77.0,,0.77,57.75
2016-10-31,90,77.0,,0.77,69.3
2016-11-01,90,79.0,False,0.79,71.10000000000001
2016-11-02,97,79.0,,0.79,76.63000000000001
2016-11-03,92,79.0,,0.79,72.68
2016-11-04,84,79.0,,0.79,66.36
2016-11-05,67,79.0,,0.79,52.93
2016-11-06,72,79.0,,0.79,56.88
2016-11-07,95,79.0,,0.79,75.05
2016-11-08,91,79.0,,0.79,71.89
2016-11-09,84,79.0,,0.79,66.36
2016-11-10,98,79.0,,0.79,77.42
2016-11-11,81,79.0,,0.79,63.99
2016-11-12,68,79.0,,0.79,53.72
2016-11-13,75,79.0,,0.79,59.25
2016-11-14,95,79.0,,0.79,75.05
2016-11-15,100,79.0,,0.79,79.0
2016-11-16,97,79.0,,0.79,76.63000000000001
2016-11-17,98,79.0,,0.79,77.42
2016-11-18,85,79.0,,0.79,67.15
2016-11-19,67,79.0,,0.79,52.93
2016-11-20,69,79.0,,0.79,54.510000000000005
2016-11-21,83,79.0,,0.79,65.57000000000001
2016-11-22,80,79.0,,0.79,63.2
2016-11-23,65,79.0,,0.79,51.35
2016-11-24,60,79.0,,0.79,47.400000000000006
2016-11-25,60,79.0,,0.79,47.400000000000006
2016-11-26,68,79.0,,0.79,53.72
2016-11-27,76,79.0,,0.79,60.040000000000006
2016-11-28,93,79.0,,0.79,73.47
2016-11-29,98,79.0,,0.79,77.42
2016-11-30,98,79.0,,0.79,77.42
2016-12-01,99,74.0,False,0.74,73.26
2016-12-02,91,74.0,,0.74,67.34
2016-12-03,79,74.0,,0.74,58.46
2016-12-04,83,74.0,,0.74,61.42
2016-12-05,100,74.0,,0.74,74.0
2016-12-06,99,74.0,,0.74,73.26
2016-12-07,99,74.0,,0.74,73.26
2016-12-08,94,74.0,,0.74,69.56
2016-12-09,87,74.0,,0.74,64.38
2016-12-10,67,74.0,,0.74,49.58
2016-12-11,74,74.0,,0.74,54.76
2016-12-12,90,74.0,,0.74,66.6
2016-12-13,90,74.0,,0.74,66.6
2016-12-14,89,74.0,,0.74,65.86
2016-12-15,87,74.0,,0.74,64.38
2016-12-16,70,74.0,,0.74,51.8
2016-12-17,65,74.0,,0.74,48.1
2016-12-18,62,74.0,,0.74,45.88
2016-12-19,70,74.0,,0.74,51.8
2016-12-20,70,74.0,,0.74,51.8
2016-12-21,70,74.0,,0.74,51.8
2016-12-22,64,74.0,,0.74,47.36
2016-12-23,60,74.0,,0.74,44.4
2016-12-24,59,74.0,,0.74,43.66
2016-12-25,59,74.0,,0.74,43.66
2016-12-26,62,74.0,,0.74,45.88
2016-12-27,62,74.0,,0.74,45.88
2016-12-28,60,74.0,,0.74,44.4
2016-12-29,63,74.0,,0.74,46.62
2016-12-30,61,74.0,,0.74,45.14
2016-12-31,60,74.0,,0.74,44.4
2017-01-01,62,76.0,False,0.76,47.12
2017-01-02,70,76.0,,0.76,53.2
2017-01-03,72,76.0,,0.76,54.72
2017-01-04,81,76.0,,0.76,61.56
2017-01-05,83,76.0,,0.76,63.08
2017-01-06,70,76.0,,0.76,53.2
2017-01-07,67,76.0,,0.76,50.92
2017-01-08,71,76.0,,0.76,53.96
2017-01-09,78,76.0,,0.76,59.28
2017-01-10,83,76.0,,0.76,63.08
2017-01-11,90,76.0,,0.76,68.4
2017-01-12,89,76.0,,0.76,67.64
2017-01-13,84,76.0,,0.76,63.84
2017-01-14,69,76.0,,0.76,52.44
2017-01-15,67,76.0,,0.76,50.92
2017-01-16,76,76.0,,0.76,57.76
2017-01-17,87,76.0,,0.76,66.12
2017-01-18,86,76.0,,0.76,65.36
2017-01-19,93,76.0,,0.76,70.68
2017-01-20,85,76.0,,0.76,64.6
2017-01-21,71,76.0,,0.76,53.96
2017-01-22,80,76.0,,0.76,60.8
2017-01-23,97,76.0,,0.76,73.72
2017-01-24,98,76.0,,0.76,74.48
2017-01-25,100,76.0,,0.76,76.0
2017-01-26,99,76.0,,0.76,75.24
2017-01-27,94,76.0,,0.76,71.44
2017-01-28,80,76.0,,0.76,60.8
2017-01-29,93,76.0,,0.76,70.68
2017-01-30,96,76.0,,0.76,72.96000000000001
2017-01-31,98,76.0,,0.76,74.48
2017-02-01,100,83.0,False,0.83,83.0
2017-02-02,100,83.0,,0.83,83.0
2017-02-03,94,83.0,,0.83,78.02
2017-02-04,75,83.0,,0.83,62.25
2017-02-05,82,83.0,,0.83,68.06
2017-02-06,92,83.0,,0.83,76.36
2017-02-07,96,83.0,,0.83,79.67999999999999
2017-02-08,97,83.0,,0.83,80.50999999999999
2017-02-09,98,83.0,,0.83,81.33999999999999
2017-02-10,92,83.0,,0.83,76.36
2017-02-11,75,83.0,,0.83,62.25
2017-02-12,81,83.0,,0.83,67.22999999999999
2017-02-13,93,83.0,,0.83,77.19
2017-02-14,93,83.0,,0.83,77.19
2017-02-15,98,83.0,,0.83,81.33999999999999
2017-02-16,97,83.0,,0.83,80.50999999999999
2017-02-17,92,83.0,,0.83,76.36
2017-02-18,72,83.0,,0.83,59.76
2017-02-19,74,83.0,,0.83,61.419999999999995
2017-02-20,93,83.0,,0.83,77.19
2017-02-21,95,83.0,,0.83,78.85
2017-02-22,96,83.0,,0.83,79.67999999999999
2017-02-23,98,83.0,,0.83,81.33999999999999
2017-02-24,92,83.0,,0.83,76.36
2017-02-25,71,83.0,,0.83,58.93
2017-02-26,78,83.0,,0.83,64.74
2017-02-27,95,83.0,,0.83,78.85
2017-02-28,99,83.0,,0.83,82.17
2017-03-01,52,92.0,False,0.92,47.84
2017-03-02,51,92.0,,0.92,46.92
2017-03-03,48,92.0,,0.92,44.160000000000004
2017-03-04,49,92.0,,0.92,45.080000000000005
2017-03-05,56,92.0,,0.92,51.52
2017-03-06,53,92.0,,0.92,48.760000000000005
2017-03-07,51,92.0,,0.92,46.92
2017-03-08,51,92.0,,0.92,46.92
2017-03-09,50,92.0,,0.92,46.0
2017-03-10,47,92.0,,0.92,43.24
2017-03-11,38,92.0,,0.92,34.96
2017-03-12,40,92.0,,0.92,36.800000000000004
2017-03-13,49,92.0,,0.92,45.080000000000005
2017-03-14,47,92.0,,0.92,43.24
2017-03-15,47,92.0,,0.92,43.24
2017-03-16,47,92.0,,0.92,43.24
2017-03-17,47,92.0,,0.92,43.24
2017-03-18,77,92.0,,0.92,70.84
2017-03-19,100,92.0,,0.92,92.0
2017-03-20,69,92.0,,0.92,63.480000000000004
2017-03-21,61,92.0,,0.92,56.120000000000005
2017-03-22,57,92.0,,0.92,52.440000000000005
2017-03-23,56,92.0,,0.92,51.52
2017-03-24,52,92.0,,0.92,47.84
2017-03-25,40,92.0,,0.92,36.800000000000004
2017-03-26,46,92.0,,0.92,42.32
2017-03-27,50,92.0,,0.92,46.0
2017-03-28,51,92.0,,0.92,46.92
2017-03-29,51,92.0,,0.92,46.92
2017-03-30,49,92.0,,0.92,45.080000000000005
2017-03-31,46,92.0,,0.92,42.32
2017-04-01,70,80.0,False,0.8,56.0
2017-04-02,80,80.0,,0.8,64.0
2017-04-03,100,80.0,,0.8,80.0
2017-04-04,97,80.0,,0.8,77.60000000000001
2017-04-05,96,80.0,,0.8,76.80000000000001
2017-04-06,100,80.0,,0.8,80.0
2017-04-07,88,80.0,,0.8,70.4
2017-04-08,72,80.0,,0.8,57.6
2017-04-09,75,80.0,,0.8,60.0
2017-04-10,94,80.0,,0.8,75.2
2017-04-11,94,80.0,,0.8,75.2
2017-04-12,96,80.0,,0.8,76.80000000000001
2017-04-13,88,80.0,,0.8,70.4
2017-04-14,77,80.0,,0.8,61.6
2017-04-15,70,80.0,,0.8,56.0
2017-04-16,72,80.0,,0.8,57.6
2017-04-17,92,80.0,,0.8,73.60000000000001
2017-04-18,97,80.0,,0.8,77.60000000000001
2017-04-19,97,80.0,,0.8,77.60000000000001
2017-04-20,93,80.0,,0.8,74.4
2017-04-21,92,80.0,,0.8,73.60000000000001
2017-04-22,71,80.0,,0.8,56.800000000000004
2017-04-23,79,80.0,,0.8,63.2
2017-04-24,99,80.0,,0.8,79.2
2017-04-25,97,80.0,,0.8,77.60000000000001
2017-04-26,99,80.0,,0.8,79.2
2017-04-27,97,80.0,,0.8,77.60000000000001
2017-04-28,88,80.0,,0.8,70.4
2017-04-29,72,80.0,,0.8,57.6
2017-04-30,78,80.0,,0.8,62.400000000000006
2017-05-01,100,75.0,False,0.75,75.0
2017-05-02,98,75.0,,0.75,73.5
2017-05-03,100,75.0,,0.75,75.0
2017-05-04,96,75.0,,0.75,72.0
2017-05-05,91,75.0,,0.75,68.25
2017-05-06,70,75.0,,0.75,52.5
2017-05-07,76,75.0,,0.75,57.0
2017-05-08,99,75.0,,0.75,74.25
2017-05-09,96,75.0,,0.75,72.0
2017-05-10,93,75.0,,0.75,69.75
2017-05-11,93,75.0,,0.75,69.75
2017-05-12,82,75.0,,0.75,61.5
2017-05-13,69,75.0,,0.75,51.75
2017-05-14,69,75.0,,0.75,51.75
2017-05-15,82,75.0,,0.75,61.5
2017-05-16,81,75.0,,0.75,60.75
2017-05-17,90,75.0,,0.75,67.5
2017-05-18,85,75.0,,0.75,63.75
2017-05-19,77,75.0,,0.75,57.75
2017-05-20,72,75.0,,0.75,54.0
2017-05-21,72,75.0,,0.75,54.0
2017-05-22,82,75.0,,0.75,61.5
2017-05-23,82,75.0,,0.75,61.5
2017-05-24,78,75.0,,0.75,58.5
2017-05-25,80,75.0,,0.75,60.0
2017-05-26,74,75.0,,0.75,55.5
2017-05-27,67,75.0,,0.75,50.25
2017-05-28,71,75.0,,0.75,53.25
2017-05-29,67,75.0,,0.75,50.25
2017-05-30,74,75.0,,0.75,55.5
2017-05-31,81,75.0,,0.75,60.75
2017-06-01,92,68.0,False,0.68,62.56
2017-06-02,86,68.0,,0.68,58.480000000000004
2017-06-03,81,68.0,,0.68,55.080000000000005
2017-06-04,88,68.0,,0.68,59.84
2017-06-05,93,68.0,,0.68,63.24
2017-06-06,100,68.0,,0.68,68.0
2017-06-07,91,68.0,,0.68,61.88
2017-06-08,89,68.0,,0.68,60.52
2017-06-09,84,68.0,,0.68,57.120000000000005
2017-06-10,82,68.0,,0.68,55.760000000000005
2017-06-11,87,68.0,,0.68,59.160000000000004
2017-06-12,89,68.0,,0.68,60.52
2017-06-13,92,68.0,,0.68,62.56
2017-06-14,92,68.0,,0.68,62.56
2017-06-15,92,68.0,,0.68,62.56
2017-06-16,86,68.0,,0.68,58.480000000000004
2017-06-17,81,68.0,,0.68,55.080000000000005
2017-06-18,83,68.0,,0.68,56.440000000000005
2017-06-19,88,68.0,,0.68,59.84
2017-06-20,93,68.0,,0.68,63.24
2017-06-21,91,68.0,,0.68,61.88
2017-06-22,93,68.0,,0.68,63.24
2017-06-23,92,68.0,,0.68,62.56
2017-06-24,84,68.0,,0.68,57.120000000000005
2017-06-25,88,68.0,,0.68,59.84
2017-06-26,92,68.0,,0.68,62.56
2017-06-27,90,68.0,,0.68,61.2
2017-06-28,89,68.0,,0.68,60.52
2017-06-29,85,68.0,,0.68,57.800000000000004
2017-06-30,82,68.0,,0.68,55.760000000000005
2017-07-01,87,69.0,False,0.69,60.029999999999994
2017-07-02,89,69.0,,0.69,61.41
2017-07-03,88,69.0,,0.69,60.72
2017-07-04,85,69.0,,0.69,58.65
2017-07-05,84,69.0,,0.69,57.959999999999994
2017-07-06,87,69.0,,0.69,60.029999999999994
2017-07-07,91,69.0,,0.69,62.78999999999999
2017-07-08,87,69.0,,0.69,60.029999999999994
2017-07-09,88,69.0,,0.69,60.72
2017-07-10,94,69.0,,0.69,64.86
2017-07-11,96,69.0,,0.69,66.24
2017-07-12,98,69.0,,0.69,67.61999999999999
2017-07-13,97,69.0,,0.69,66.92999999999999
2017-07-14,88,69.0,,0.69,60.72
2017-07-15,88,69.0,,0.69,60.72
2017-07-16,92,69.0,,0.69,63.48
2017-07-17,96,69.0,,0.69,66.24
2017-07-18,94,69.0,,0.69,64.86
2017-07-19,94,69.0,,0.69,64.86
2017-07-20,100,69.0,,0.69,69.0
2017-07-21,97,69.0,,0.69,66.92999999999999
2017-07-22,89,69.0,,0.69,61.41
2017-07-23,95,69.0,,0.69,65.55
2017-07-24,95,69.0,,0.69,65.55
2017-07-25,93,69.0,,0.69,64.17
2017-07-26,100,69.0,,0.69,69.0
2017-07-27,94,69.0,,0.69,64.86
2017-07-28,87,69.0,,0.69,60.029999999999994
2017-07-29,88,69.0,,0.69,60.72
2017-07-30,89,69.0,,0.69,61.41
2017-07-31,93,69.0,,0.69,64.17
2017-08-01,89,67.0,False,0.67,59.63
2017-08-02,86,67.0,,0.67,57.620000000000005
2017-08-03,85,67.0,,0.67,56.95
2017-08-04,84,67.0,,0.67,56.28
2017-08-05,80,67.0,,0.67,53.6
2017-08-06,81,67.0,,0.67,54.27
2017-08-07,85,67.0,,0.67,56.95
2017-08-08,84,67.0,,0.67,56.28
2017-08-09,84,67.0,,0.67,56.28
2017-08-10,82,67.0,,0.67,54.940000000000005
2017-08-11,77,67.0,,0.67,51.59
2017-08-12,76,67.0,,0.67,50.92
2017-08-13,82,67.0,,0.67,54.940000000000005
2017-08-14,78,67.0,,0.67,52.260000000000005
2017-08-15,86,67.0,,0.67,57.620000000000005
2017-08-16,84,67.0,,0.67,56.28
2017-08-17,85,67.0,,0.67,56.95
2017-08-18,82,67.0,,0.67,54.940000000000005
2017-08-19,80,67.0,,0.67,53.6
2017-08-20,83,67.0,,0.67,55.61000000000001
2017-08-21,88,67.0,,0.67,58.96
2017-08-22,89,67.0,,0.67,59.63
2017-08-23,92,67.0,,0.67,61.64
2017-08-24,88,67.0,,0.67,58.96
2017-08-25,81,67.0,,0.67,54.27
2017-08-26,78,67.0,,0.67,52.260000000000005
2017-08-27,75,67.0,,0.67,50.25
2017-08-28,89,67.0,,0.67,59.63
2017-08-29,93,67.0,,0.67,62.31
2017-08-30,96,67.0,,0.67,64.32000000000001
2017-08-31,100,67.0,,0.67,67.0
2017-09-01,72,72.0,False,0.72,51.839999999999996
2017-09-02,64,72.0,,0.72,46.08
2017-09-03,69,72.0,,0.72,49.68
2017-09-04,70,72.0,,0.72,50.4
2017-09-05,76,72.0,,0.72,54.72
2017-09-06,80,72.0,,0.72,57.599999999999994
2017-09-07,82,72.0,,0.72,59.04
2017-09-08,75,72.0,,0.72,54.0
2017-09-09,63,72.0,,0.72,45.36
2017-09-10,68,72.0,,0.72,48.96
2017-09-11,79,72.0,,0.72,56.879999999999995
2017-09-12,85,72.0,,0.72,61.199999999999996
2017-09-13,93,72.0,,0.72,66.96
2017-09-14,93,72.0,,0.72,66.96
2017-09-15,87,72.0,,0.72,62.64
2017-09-16,68,72.0,,0.72,48.96
2017-09-17,74,72.0,,0.72,53.28
2017-09-18,93,72.0,,0.72,66.96
2017-09-19,97,72.0,,0.72,69.84
2017-09-20,96,72.0,,0.72,69.12
2017-09-21,100,72.0,,0.72,72.0
2017-09-22,85,72.0,,0.72,61.199999999999996
2017-09-23,69,72.0,,0.72,49.68
2017-09-24,82,72.0,,0.72,59.04
2017-09-25,97,72.0,,0.72,69.84
2017-09-26,97,72.0,,0.72,69.84
2017-09-27,96,72.0,,0.72,69.12
2017-09-28,95,72.0,,0.72,68.39999999999999
2017-09-29,88,72.0,,0.72,63.36
2017-09-30,69,72.0,,0.72,49.68
2017-10-01,73,77.0,False,0.77,56.21
2017-10-02,89,77.0,,0.77,68.53
2017-10-03,100,77.0,,0.77,77.0
2017-10-04,98,77.0,,0.77,75.46000000000001
2017-10-05,100,77.0,,0.77,77.0
2017-10-06,88,77.0,,0.77,67.76
2017-10-07,68,77.0,,0.77,52.36
2017-10-08,72,77.0,,0.77,55.44
2017-10-09,91,77.0,,0.77,70.07000000000001
2017-10-10,94,77.0,,0.77,72.38
2017-10-11,92,77.0,,0.77,70.84
2017-10-12,94,77.0,,0.77,72.38
2017-10-13,90,77.0,,0.77,69.3
2017-10-14,66,77.0,,0.77,50.82
2017-10-15,73,77.0,,0.77,56.21
2017-10-16,95,77.0,,0.77,73.15
2017-10-17,99,77.0,,0.77,76.23
2017-10-18,97,77.0,,0.77,74.69
2017-10-19,97,77.0,,0.77,74.69
2017-10-20,85,77.0,,0.77,65.45
2017-10-21,66,77.0,,0.77,50.82
2017-10-22,72,77.0,,0.77,55.44
2017-10-23,98,77.0,,0.77,75.46000000000001
2017-10-24,97,77.0,,0.77,74.69
2017-10-25,97,77.0,,0.77,74.69
2017-10-26,97,77.0,,0.77,74.69
2017-10-27,89,77.0,,0.77,68.53
2017-10-28,68,77.0,,0.77,52.36
2017-10-29,74,77.0,,0.77,56.980000000000004
2017-10-30,95,77.0,,0.77,73.15
2017-10-31,92,77.0,,0.77,70.84
2017-11-01,87,79.0,False,0.79,68.73
2017-11-02,94,79.0,,0.79,74.26
2017-11-03,87,79.0,,0.79,68.73
2017-11-04,69,79.0,,0.79,54.510000000000005
2017-11-05,76,79.0,,0.79,60.040000000000006
2017-11-06,95,79.0,,0.79,75.05
2017-11-07,97,79.0,,0.79,76.63000000000001
2017-11-08,93,79.0,,0.79,73.47
2017-11-09,94,79.0,,0.79,74.26
2017-11-10,81,79.0,,0.79,63.99
2017-11-11,77,79.0,,0.79,60.830000000000005
2017-11-12,77,79.0,,0.79,60.830000000000005
2017-11-13,99,79.0,,0.79,78.21000000000001
2017-11-14,99,79.0,,0.79,78.21000000000001
2017-11-15,100,79.0,,0.79,79.0
2017-11-16,97,79.0,,0.79,76.63000000000001
2017-11-17,90,79.0,,0.79,71.10000000000001
2017-11-18,66,79.0,,0.79,52.14
2017-11-19,72,79.0,,0.79,56.88
2017-11-20,88,79.0,,0.79,69.52000000000001
2017-11-21,85,79.0,,0.79,67.15
2017-11-22,69,79.0,,0.79,54.510000000000005
2017-11-23,59,79.0,,0.79,46.61
2017-11-24,58,79.0,,0.79,45.82
2017-11-25,66,79.0,,0.79,52.14
2017-11-26,72,79.0,,0.79,56.88
2017-11-27,88,79.0,,0.79,69.52000000000001
2017-11-28,96,79.0,,0.79,75.84
2017-11-29,97,79.0,,0.79,76.63000000000001
2017-11-30,99,79.0,,0.79,78.21000000000001
2017-12-01,94,73.0,False,0.73,68.62
2017-12-02,72,73.0,,0.73,52.56
2017-12-03,81,73.0,,0.73,59.129999999999995
2017-12-04,100,73.0,,0.73,73.0
2017-12-05,99,73.0,,0.73,72.27
2017-12-06,98,73.0,,0.73,71.53999999999999
2017-12-07,99,73.0,,0.73,72.27
2017-12-08,91,73.0,,0.73,66.42999999999999
2017-12-09,70,73.0,,0.73,51.1
2017-12-10,79,73.0,,0.73,57.67
2017-12-11,97,73.0,,0.73,70.81
2017-12-12,98,73.0,,0.73,71.53999999999999
2017-12-13,98,73.0,,0.73,71.53999999999999
2017-12-14,94,73.0,,0.73,68.62
2017-12-15,87,73.0,,0.73,63.51
2017-12-16,64,73.0,,0.73,46.72
2017-12-17,66,73.0,,0.73,48.18
2017-12-18,77,73.0,,0.73,56.21
2017-12-19,74,73.0,,0.73,54.019999999999996
2017-12-20,73,73.0,,0.73,53.29
2017-12-21,67,73.0,,0.73,48.91
2017-12-22,61,73.0,,0.73,44.53
2017-12-23,62,73.0,,0.73,45.26
2017-12-24,62,73.0,,0.73,45.26
2017-12-25,61,73.0,,0.73,44.53
2017-12-26,61,73.0,,0.73,44.53
2017-12-27,64,73.0,,0.73,46.72
2017-12-28,65,73.0,,0.73,47.449999999999996
2017-12-29,63,73.0,,0.73,45.99
