date,GRS_unscaled,GRS_monthly,isPartial,scale,GRS
2016-11-20,48,67.0,,0.67,32.160000000000004
2016-11-21,50,67.0,,0.67,33.5
2016-11-22,94,67.0,,0.67,62.980000000000004
2016-11-23,60,67.0,,0.67,40.2
2016-11-24,72,67.0,,0.67,48.24
2016-11-25,39,67.0,,0.67,26.130000000000003
2016-11-26,63,67.0,,0.67,42.21
2016-11-27,58,67.0,,0.67,38.86
2016-11-28,46,67.0,,0.67,30.82
2016-11-29,98,67.0,,0.67,65.66000000000001
2016-11-30,86,67.0,,0.67,57.620000000000005
2016-12-01,80,72.0,False,0.72,57.599999999999994
2016-12-02,68,72.0,,0.72,48.96
2016-12-03,53,72.0,,0.72,38.16
2016-12-04,95,72.0,,0.72,68.39999999999999
2016-12-05,83,72.0,,0.72,59.76
2016-12-06,62,72.0,,0.72,44.64
2016-12-07,70,72.0,,0.72,50.4
2016-12-08,40,72.0,,0.72,28.799999999999997
2016-12-09,32,72.0,,0.72,23.04
2016-12-10,83,72.0,,0.72,59.76
2016-12-11,82,72.0,,0.72,59.04
2016-12-12,73,72.0,,0.72,52.559999999999995
2016-12-13,86,72.0,,0.72,61.919999999999995
2016-12-14,89,72.0,,0.72,64.08
2016-12-15,85,72.0,,0.72,61.199999999999996
2016-12-16,52,72.0,,0.72,37.44
2016-12-17,66,72.0,,0.72,47.519999999999996
2016-12-18,38,72.0,,0.72,27.36
2016-12-19,37,72.0,,0.72,26.64
2016-12-20,100,72.0,,0.72,72.0
2016-12-21,83,72.0,,0.72,59.76
2016-12-22,65,72.0,,0.72,46.8
2016-12-23,56,72.0,,0.72,40.32
2016-12-24,57,72.0,,0.72,41.04
2016-12-25,37,72.0,,0.72,26.64
2016-12-26,48,72.0,,0.72,34.56
2016-12-27,81,72.0,,0.72,58.32
2016-12-28,74,72.0,,0.72,53.28
2016-12-29,62,72.0,,0.72,44.64
2016-12-30,55,72.0,,0.72,39.6
2016-12-31,26,72.0,,0.72,18.72
2017-01-01,34,78.0,False,0.78,26.52
2017-01-02,46,78.0,,0.78,35.88
2017-01-03,51,78.0,,0.78,39.78
2017-01-04,39,78.0,,0.78,30.42
2017-01-05,44,78.0,,0.78,34.32
2017-01-06,31,78.0,,0.78,24.18
2017-01-07,49,78.0,,0.78,38.22
2017-01-08,59,78.0,,0.78,46.02
2017-01-09,100,78.0,,0.78,78.0
2017-01-10,62,78.0,,0.78,48.36
2017-01-11,59,78.0,,0.78,46.02
2017-01-12,42,78.0,,0.78,32.76
2017-01-13,33,78.0,,0.78,25.740000000000002
2017-01-14,39,78.0,,0.78,30.42
2017-01-15,47,78.0,,0.78,36.660000000000004
2017-01-16,46,78.0,,0.78,35.88
2017-01-17,55,78.0,,0.78,42.9
2017-01-18,49,78.0,,0.78,38.22
2017-01-19,53,78.0,,0.78,41.34
2017-01-20,58,78.0,,0.78,45.24
2017-01-21,41,78.0,,0.78,31.98
2017-01-22,37,78.0,,0.78,28.86
2017-01-23,53,78.0,,0.78,41.34
2017-01-24,61,78.0,,0.78,47.58
2017-01-25,46,78.0,,0.78,35.88
2017-01-26,49,78.0,,0.78,38.22
2017-01-27,30,78.0,,0.78,23.400000000000002
2017-01-28,42,78.0,,0.78,32.76
2017-01-29,38,78.0,,0.78,29.64
2017-01-30,48,78.0,,0.78,37.44
2017-01-31,38,78.0,,0.78,29.64
2017-02-01,44,73.0,False,0.73,32.12
2017-02-02,41,73.0,,0.73,29.93
2017-02-03,62,73.0,,0.73,45.26
2017-02-04,68,73.0,,0.73,49.64
2017-02-05,89,73.0,,0.73,64.97
2017-02-06,61,73.0,,0.73,44.53
2017-02-07,59,73.0,,0.73,43.07
2017-02-08,67,73.0,,0.73,48.91
2017-02-09,49,73.0,,0.73,35.769999999999996
2017-02-10,39,73.0,,0.73,28.47
2017-02-11,46,73.0,,0.73,33.58
2017-02-12,82,73.0,,0.73,59.86
2017-02-13,40,73.0,,0.73,29.2
2017-02-14,37,73.0,,0.73,27.009999999999998
2017-02-15,53,73.0,,0.73,38.69
2017-02-16,75,73.0,,0.73,54.75
2017-02-17,72,73.0,,0.73,52.56
2017-02-18,40,73.0,,0.73,29.2
2017-02-19,70,73.0,,0.73,51.1
2017-02-20,43,73.0,,0.73,31.39
2017-02-21,59,73.0,,0.73,43.07
2017-02-22,66,73.0,,0.73,48.18
2017-02-23,59,73.0,,0.73,43.07
2017-02-24,46,73.0,,0.73,33.58
2017-02-25,53,73.0,,0.73,38.69
2017-02-26,85,73.0,,0.73,62.05
2017-02-27,100,73.0,,0.73,73.0
2017-02-28,67,73.0,,0.73,48.91
2017-03-01,93,71.0,False,0.71,66.03
2017-03-02,100,71.0,,0.71,71.0
2017-03-03,46,71.0,,0.71,32.66
2017-03-04,79,71.0,,0.71,56.089999999999996
2017-03-05,59,71.0,,0.71,41.89
2017-03-06,70,71.0,,0.71,49.699999999999996
2017-03-07,57,71.0,,0.71,40.47
2017-03-08,61,71.0,,0.71,43.309999999999995
2017-03-09,65,71.0,,0.71,46.15
2017-03-10,54,71.0,,0.71,38.339999999999996
2017-03-11,69,71.0,,0.71,48.989999999999995
2017-03-12,60,71.0,,0.71,42.599999999999994
2017-03-13,65,71.0,,0.71,46.15
2017-03-14,29,71.0,,0.71,20.59
2017-03-15,63,71.0,,0.71,44.73
2017-03-16,71,71.0,,0.71,50.41
2017-03-17,74,71.0,,0.71,52.54
2017-03-18,54,71.0,,0.71,38.339999999999996
2017-03-19,40,71.0,,0.71,28.4
2017-03-20,74,71.0,,0.71,52.54
2017-03-21,66,71.0,,0.71,46.86
2017-03-22,58,71.0,,0.71,41.18
2017-03-23,93,71.0,,0.71,66.03
2017-03-24,43,71.0,,0.71,30.529999999999998
2017-03-25,25,71.0,,0.71,17.75
2017-03-26,50,71.0,,0.71,35.5
2017-03-27,78,71.0,,0.71,55.379999999999995
2017-03-28,80,71.0,,0.71,56.8
2017-03-29,33,71.0,,0.71,23.43
2017-03-30,63,71.0,,0.71,44.73
2017-03-31,63,71.0,,0.71,44.73
2017-04-01,64,73.0,False,0.73,46.72
2017-04-02,60,73.0,,0.73,43.8
2017-04-03,100,73.0,,0.73,73.0
2017-04-04,65,73.0,,0.73,47.449999999999996
2017-04-05,57,73.0,,0.73,41.61
2017-04-06,77,73.0,,0.73,56.21
2017-04-07,89,73.0,,0.73,64.97
2017-04-08,40,73.0,,0.73,29.2
2017-04-09,40,73.0,,0.73,29.2
2017-04-10,95,73.0,,0.73,69.35
2017-04-11,58,73.0,,0.73,42.339999999999996
2017-04-12,92,73.0,,0.73,67.16
2017-04-13,55,73.0,,0.73,40.15
2017-04-14,59,73.0,,0.73,43.07
2017-04-15,41,73.0,,0.73,29.93
2017-04-16,59,73.0,,0.73,43.07
2017-04-17,83,73.0,,0.73,60.589999999999996
2017-04-18,56,73.0,,0.73,40.879999999999995
2017-04-19,33,73.0,,0.73,24.09
2017-04-20,58,73.0,,0.73,42.339999999999996
2017-04-21,78,73.0,,0.73,56.94
2017-04-22,60,73.0,,0.73,43.8
2017-04-23,45,73.0,,0.73,32.85
2017-04-24,69,73.0,,0.73,50.37
2017-04-25,77,73.0,,0.73,56.21
2017-04-26,56,73.0,,0.73,40.879999999999995
2017-04-27,90,73.0,,0.73,65.7
2017-04-28,54,73.0,,0.73,39.42
2017-04-29,55,73.0,,0.73,40.15
2017-04-30,69,73.0,,0.73,50.37
2017-05-01,55,75.0,False,0.75,41.25
2017-05-02,75,75.0,,0.75,56.25
2017-05-03,56,75.0,,0.75,42.0
2017-05-04,82,75.0,,0.75,61.5
2017-05-05,76,75.0,,0.75,57.0
2017-05-06,45,75.0,,0.75,33.75
2017-05-07,60,75.0,,0.75,45.0
2017-05-08,90,75.0,,0.75,67.5
2017-05-09,69,75.0,,0.75,51.75
2017-05-10,61,75.0,,0.75,45.75
2017-05-11,83,75.0,,0.75,62.25
2017-05-12,60,75.0,,0.75,45.0
2017-05-13,36,75.0,,0.75,27.0
2017-05-14,37,75.0,,0.75,27.75
2017-05-15,77,75.0,,0.75,57.75
2017-05-16,91,75.0,,0.75,68.25
2017-05-17,44,75.0,,0.75,33.0
2017-05-18,74,75.0,,0.75,55.5
2017-05-19,76,75.0,,0.75,57.0
2017-05-20,70,75.0,,0.75,52.5
2017-05-21,43,75.0,,0.75,32.25
2017-05-22,31,75.0,,0.75,23.25
2017-05-23,59,75.0,,0.75,44.25
2017-05-24,62,75.0,,0.75,46.5
2017-05-25,93,75.0,,0.75,69.75
2017-05-26,76,75.0,,0.75,57.0
2017-05-27,39,75.0,,0.75,29.25
2017-05-28,96,75.0,,0.75,72.0
2017-05-29,51,75.0,,0.75,38.25
2017-05-30,100,75.0,,0.75,75.0
2017-05-31,69,75.0,,0.75,51.75
2017-06-01,93,68.0,False,0.68,63.24
2017-06-02,86,68.0,,0.68,58.480000000000004
2017-06-03,46,68.0,,0.68,31.28
2017-06-04,58,68.0,,0.68,39.440000000000005
2017-06-05,90,68.0,,0.68,61.2
2017-06-06,95,68.0,,0.68,64.60000000000001
2017-06-07,90,68.0,,0.68,61.2
2017-06-08,32,68.0,,0.68,21.76
2017-06-09,46,68.0,,0.68,31.28
2017-06-10,59,68.0,,0.68,40.120000000000005
2017-06-11,33,68.0,,0.68,22.44
2017-06-12,81,68.0,,0.68,55.080000000000005
2017-06-13,63,68.0,,0.68,42.84
2017-06-14,96,68.0,,0.68,65.28
2017-06-15,83,68.0,,0.68,56.440000000000005
2017-06-16,45,68.0,,0.68,30.6
2017-06-17,59,68.0,,0.68,40.120000000000005
2017-06-18,40,68.0,,0.68,27.200000000000003
2017-06-19,87,68.0,,0.68,59.160000000000004
2017-06-20,82,68.0,,0.68,55.760000000000005
2017-06-21,94,68.0,,0.68,63.92
2017-06-22,78,68.0,,0.68,53.040000000000006
2017-06-23,79,68.0,,0.68,53.720000000000006
2017-06-24,100,68.0,,0.68,68.0
2017-06-25,40,68.0,,0.68,27.200000000000003
2017-06-26,55,68.0,,0.68,37.400000000000006
2017-06-27,67,68.0,,0.68,45.56
2017-06-28,75,68.0,,0.68,51.00000000000001
2017-06-29,87,68.0,,0.68,59.160000000000004
2017-06-30,100,68.0,,0.68,68.0
2017-07-01,44,66.0,False,0.66,29.040000000000003
2017-07-02,71,66.0,,0.66,46.86
2017-07-03,64,66.0,,0.66,42.24
2017-07-04,82,66.0,,0.66,54.120000000000005
2017-07-05,39,66.0,,0.66,25.740000000000002
2017-07-06,68,66.0,,0.66,44.88
2017-07-07,65,66.0,,0.66,42.9
2017-07-08,74,66.0,,0.66,48.84
2017-07-09,74,66.0,,0.66,48.84
2017-07-10,100,66.0,,0.66,66.0
2017-07-11,53,66.0,,0.66,34.980000000000004
2017-07-12,63,66.0,,0.66,41.580000000000005
2017-07-13,53,66.0,,0.66,34.980000000000004
2017-07-14,87,66.0,,0.66,57.42
2017-07-15,87,66.0,,0.66,57.42
2017-07-16,100,66.0,,0.66,66.0
2017-07-17,37,66.0,,0.66,24.42
2017-07-18,79,66.0,,0.66,52.14
2017-07-19,48,66.0,,0.66,31.68
2017-07-20,68,66.0,,0.66,44.88
2017-07-21,70,66.0,,0.66,46.2
2017-07-22,67,66.0,,0.66,44.22
2017-07-23,43,66.0,,0.66,28.380000000000003
2017-07-24,58,66.0,,0.66,38.28
2017-07-25,79,66.0,,0.66,52.14
2017-07-26,83,66.0,,0.66,54.78
2017-07-27,73,66.0,,0.66,48.18
2017-07-28,75,66.0,,0.66,49.5
2017-07-29,92,66.0,,0.66,60.720000000000006
2017-07-30,75,66.0,,0.66,49.5
2017-07-31,58,66.0,,0.66,38.28
2017-08-01,59,67.0,False,0.67,39.53
2017-08-02,56,67.0,,0.67,37.52
2017-08-03,35,67.0,,0.67,23.450000000000003
2017-08-04,25,67.0,,0.67,16.75
2017-08-05,54,67.0,,0.67,36.18
2017-08-06,46,67.0,,0.67,30.82
2017-08-07,45,67.0,,0.67,30.150000000000002
2017-08-08,100,67.0,,0.67,67.0
2017-08-09,24,67.0,,0.67,16.080000000000002
2017-08-10,40,67.0,,0.67,26.8
2017-08-11,40,67.0,,0.67,26.8
2017-08-12,69,67.0,,0.67,46.230000000000004
2017-08-13,41,67.0,,0.67,27.470000000000002
2017-08-14,53,67.0,,0.67,35.510000000000005
2017-08-15,35,67.0,,0.67,23.450000000000003
2017-08-16,35,67.0,,0.67,23.450000000000003
2017-08-17,28,67.0,,0.67,18.76
2017-08-18,28,67.0,,0.67,18.76
2017-08-19,29,67.0,,0.67,19.43
2017-08-20,49,67.0,,0.67,32.830000000000005
2017-08-21,40,67.0,,0.67,26.8
2017-08-22,59,67.0,,0.67,39.53
2017-08-23,39,67.0,,0.67,26.130000000000003
2017-08-24,66,67.0,,0.67,44.220000000000006
2017-08-25,57,67.0,,0.67,38.190000000000005
2017-08-26,44,67.0,,0.67,29.48
2017-08-27,54,67.0,,0.67,36.18
2017-08-28,52,67.0,,0.67,34.84
2017-08-29,34,67.0,,0.67,22.78
2017-08-30,68,67.0,,0.67,45.56
2017-08-31,41,67.0,,0.67,27.470000000000002
2017-09-01,68,67.0,False,0.67,45.56
2017-09-02,77,67.0,,0.67,51.59
2017-09-03,79,67.0,,0.67,52.93
2017-09-04,57,67.0,,0.67,38.190000000000005
2017-09-05,54,67.0,,0.67,36.18
2017-09-06,97,67.0,,0.67,64.99000000000001
2017-09-07,68,67.0,,0.67,45.56
2017-09-08,46,67.0,,0.67,30.82
2017-09-09,59,67.0,,0.67,39.53
2017-09-10,58,67.0,,0.67,38.86
2017-09-11,55,67.0,,0.67,36.85
2017-09-12,41,67.0,,0.67,27.470000000000002
2017-09-13,59,67.0,,0.67,39.53
2017-09-14,51,67.0,,0.67,34.17
2017-09-15,80,67.0,,0.67,53.6
2017-09-16,78,67.0,,0.67,52.260000000000005
2017-09-17,93,67.0,,0.67,62.31
2017-09-18,68,67.0,,0.67,45.56
2017-09-19,77,67.0,,0.67,51.59
2017-09-20,100,67.0,,0.67,67.0
2017-09-21,60,67.0,,0.67,40.2
2017-09-22,72,67.0,,0.67,48.24
2017-09-23,39,67.0,,0.67,26.130000000000003
2017-09-24,33,67.0,,0.67,22.110000000000003
2017-09-25,74,67.0,,0.67,49.580000000000005
2017-09-26,78,67.0,,0.67,52.260000000000005
2017-09-27,79,67.0,,0.67,52.93
2017-09-28,79,67.0,,0.67,52.93
2017-09-29,43,67.0,,0.67,28.810000000000002
2017-09-30,51,67.0,,0.67,34.17
2017-10-01,24,79.0,False,0.79,18.96
2017-10-02,52,79.0,,0.79,41.08
2017-10-03,60,79.0,,0.79,47.400000000000006
2017-10-04,34,79.0,,0.79,26.86
2017-10-05,48,79.0,,0.79,37.92
2017-10-06,56,79.0,,0.79,44.24
2017-10-07,40,79.0,,0.79,31.6
2017-10-08,51,79.0,,0.79,40.29
2017-10-09,37,79.0,,0.79,29.23
2017-10-10,53,79.0,,0.79,41.870000000000005
2017-10-11,57,79.0,,0.79,45.03
2017-10-12,54,79.0,,0.79,42.660000000000004
2017-10-13,31,79.0,,0.79,24.490000000000002
2017-10-14,52,79.0,,0.79,41.08
2017-10-15,56,79.0,,0.79,44.24
2017-10-16,57,79.0,,0.79,45.03
2017-10-17,88,79.0,,0.79,69.52000000000001
2017-10-18,71,79.0,,0.79,56.09
2017-10-19,56,79.0,,0.79,44.24
2017-10-20,71,79.0,,0.79,56.09
2017-10-21,50,79.0,,0.79,39.5
2017-10-22,76,79.0,,0.79,60.040000000000006
2017-10-23,86,79.0,,0.79,67.94
2017-10-24,80,79.0,,0.79,63.2
2017-10-25,34,79.0,,0.79,26.86
2017-10-26,44,79.0,,0.79,34.760000000000005
2017-10-27,42,79.0,,0.79,33.18
2017-10-28,45,79.0,,0.79,35.550000000000004
2017-10-29,64,79.0,,0.79,50.56
2017-10-30,63,79.0,,0.79,49.77
2017-10-31,100,79.0,,0.79,79.0
2017-11-01,100,94.0,False,0.94,94.0
2017-11-02,71,94.0,,0.94,66.74
2017-11-03,64,94.0,,0.94,60.16
2017-11-04,68,94.0,,0.94,63.919999999999995
2017-11-05,50,94.0,,0.94,47.0
2017-11-06,45,94.0,,0.94,42.3
2017-11-07,83,94.0,,0.94,78.02
2017-11-08,58,94.0,,0.94,54.519999999999996
2017-11-09,56,94.0,,0.94,52.64
2017-11-10,43,94.0,,0.94,40.419999999999995
2017-11-11,48,94.0,,0.94,45.12
2017-11-12,54,94.0,,0.94,50.76
2017-11-13,68,94.0,,0.94,63.919999999999995
2017-11-14,56,94.0,,0.94,52.64
2017-11-15,51,94.0,,0.94,47.94
2017-11-16,59,94.0,,0.94,55.459999999999994
2017-11-17,55,94.0,,0.94,51.699999999999996
2017-11-18,48,94.0,,0.94,45.12
2017-11-19,71,94.0,,0.94,66.74
2017-11-20,41,94.0,,0.94,38.54
2017-11-21,51,94.0,,0.94,47.94
2017-11-22,47,94.0,,0.94,44.18
2017-11-23,42,94.0,,0.94,39.48
2017-11-24,62,94.0,,0.94,58.279999999999994
2017-11-25,47,94.0,,0.94,44.18
2017-11-26,31,94.0,,0.94,29.139999999999997
2017-11-27,55,94.0,,0.94,51.699999999999996
2017-11-28,36,94.0,,0.94,33.839999999999996
2017-11-29,68,94.0,,0.94,63.919999999999995
2017-11-30,59,94.0,,0.94,55.459999999999994
2017-12-01,64,92.0,False,0.92,58.88
2017-12-02,95,92.0,,0.92,87.4
2017-12-03,87,92.0,,0.92,80.04
2017-12-04,100,92.0,,0.92,92.0
2017-12-05,87,92.0,,0.92,80.04
2017-12-06,69,92.0,,0.92,63.480000000000004
2017-12-07,41,92.0,,0.92,37.72
2017-12-08,55,92.0,,0.92,50.6
2017-12-09,54,92.0,,0.92,49.68
2017-12-10,65,92.0,,0.92,59.800000000000004
2017-12-11,53,92.0,,0.92,48.760000000000005
2017-12-12,50,92.0,,0.92,46.0
2017-12-13,72,92.0,,0.92,66.24000000000001
2017-12-14,58,92.0,,0.92,53.36
2017-12-15,43,92.0,,0.92,39.56
2017-12-16,54,92.0,,0.92,49.68
2017-12-17,77,92.0,,0.92,70.84
2017-12-18,56,92.0,,0.92,51.52
2017-12-19,100,92.0,,0.92,92.0
2017-12-20,75,92.0,,0.92,69.0
2017-12-21,74,92.0,,0.92,68.08
2017-12-22,59,92.0,,0.92,54.28
2017-12-23,45,92.0,,0.92,41.4
2017-12-24,54,92.0,,0.92,49.68
2017-12-25,63,92.0,,0.92,57.96
2017-12-26,53,92.0,,0.92,48.760000000000005
2017-12-27,61,92.0,,0.92,56.120000000000005
