date,OG_unscaled,OG_monthly,isPartial,scale,OG
2016-09-16,72,64.0,,0.64,46.08
2016-09-17,74,64.0,,0.64,47.36
2016-09-18,68,64.0,,0.64,43.52
2016-09-19,74,64.0,,0.64,47.36
2016-09-20,85,64.0,,0.64,54.4
2016-09-21,78,64.0,,0.64,49.92
2016-09-22,72,64.0,,0.64,46.08
2016-09-23,72,64.0,,0.64,46.08
2016-09-24,74,64.0,,0.64,47.36
2016-09-25,68,64.0,,0.64,43.52
2016-09-26,70,64.0,,0.64,44.800000000000004
2016-09-27,91,64.0,,0.64,58.24
2016-09-28,80,64.0,,0.64,51.2
2016-09-29,78,64.0,,0.64,49.92
2016-09-30,80,64.0,,0.64,51.2
2016-10-01,69,64.0,False,0.64,44.160000000000004
2016-10-02,72,64.0,,0.64,46.08
2016-10-03,71,64.0,,0.64,45.44
2016-10-04,87,64.0,,0.64,55.68
2016-10-05,80,64.0,,0.64,51.2
2016-10-06,75,64.0,,0.64,48.0
2016-10-07,73,64.0,,0.64,46.72
2016-10-08,76,64.0,,0.64,48.64
2016-10-09,67,64.0,,0.64,42.88
2016-10-10,63,64.0,,0.64,40.32
2016-10-11,98,64.0,,0.64,62.72
2016-10-12,84,64.0,,0.64,53.76
2016-10-13,78,64.0,,0.64,49.92
2016-10-14,76,64.0,,0.64,48.64
2016-10-15,75,64.0,,0.64,48.0
2016-10-16,78,64.0,,0.64,49.92
2016-10-17,72,64.0,,0.64,46.08
2016-10-18,94,64.0,,0.64,60.160000000000004
2016-10-19,78,64.0,,0.64,49.92
2016-10-20,79,64.0,,0.64,50.56
2016-10-21,76,64.0,,0.64,48.64
2016-10-22,71,64.0,,0.64,45.44
2016-10-23,67,64.0,,0.64,42.88
2016-10-24,77,64.0,,0.64,49.28
2016-10-25,100,64.0,,0.64,64.0
2016-10-26,82,64.0,,0.64,52.480000000000004
2016-10-27,75,64.0,,0.64,48.0
2016-10-28,75,64.0,,0.64,48.0
2016-10-29,77,64.0,,0.64,49.28
2016-10-30,63,64.0,,0.64,40.32
2016-10-31,67,64.0,,0.64,42.88
2016-11-01,65,67.0,False,0.67,43.550000000000004
2016-11-02,58,67.0,,0.67,38.86
2016-11-03,53,67.0,,0.67,35.510000000000005
2016-11-04,54,67.0,,0.67,36.18
2016-11-05,60,67.0,,0.67,40.2
2016-11-06,57,67.0,,0.67,38.190000000000005
2016-11-07,55,67.0,,0.67,36.85
2016-11-08,54,67.0,,0.67,36.18
2016-11-09,40,67.0,,0.67,26.8
2016-11-10,54,67.0,,0.67,36.18
2016-11-11,57,67.0,,0.67,38.190000000000005
2016-11-12,61,67.0,,0.67,40.870000000000005
2016-11-13,53,67.0,,0.67,35.510000000000005
2016-11-14,55,67.0,,0.67,36.85
2016-11-15,61,67.0,,0.67,40.870000000000005
2016-11-16,59,67.0,,0.67,39.53
2016-11-17,58,67.0,,0.67,38.86
2016-11-18,65,67.0,,0.67,43.550000000000004
2016-11-19,55,67.0,,0.67,36.85
2016-11-20,57,67.0,,0.67,38.190000000000005
2016-11-21,55,67.0,,0.67,36.85
2016-11-22,76,67.0,,0.67,50.92
2016-11-23,67,67.0,,0.67,44.89
2016-11-24,58,67.0,,0.67,38.86
2016-11-25,58,67.0,,0.67,38.86
2016-11-26,63,67.0,,0.67,42.21
2016-11-27,63,67.0,,0.67,42.21
2016-11-28,68,67.0,,0.67,45.56
2016-11-29,100,67.0,,0.67,67.0
2016-11-30,71,67.0,,0.67,47.57
2016-12-01,81,70.0,False,0.7,56.699999999999996
2016-12-02,66,70.0,,0.7,46.199999999999996
2016-12-03,74,70.0,,0.7,51.8
2016-12-04,69,70.0,,0.7,48.3
2016-12-05,59,70.0,,0.7,41.3
2016-12-06,100,70.0,,0.7,70.0
2016-12-07,76,70.0,,0.7,53.199999999999996
2016-12-08,69,70.0,,0.7,48.3
2016-12-09,64,70.0,,0.7,44.8
2016-12-10,66,70.0,,0.7,46.199999999999996
2016-12-11,68,70.0,,0.7,47.599999999999994
2016-12-12,62,70.0,,0.7,43.4
2016-12-13,64,70.0,,0.7,44.8
2016-12-14,58,70.0,,0.7,40.599999999999994
2016-12-15,60,70.0,,0.7,42.0
2016-12-16,58,70.0,,0.7,40.599999999999994
2016-12-17,66,70.0,,0.7,46.199999999999996
2016-12-18,56,70.0,,0.7,39.199999999999996
2016-12-19,53,70.0,,0.7,37.099999999999994
2016-12-20,58,70.0,,0.7,40.599999999999994
2016-12-21,55,70.0,,0.7,38.5
2016-12-22,59,70.0,,0.7,41.3
2016-12-23,56,70.0,,0.7,39.199999999999996
2016-12-24,57,70.0,,0.7,39.9
2016-12-25,56,70.0,,0.7,39.199999999999996
2016-12-26,55,70.0,,0.7,38.5
2016-12-27,51,70.0,,0.7,35.699999999999996
2016-12-28,53,70.0,,0.7,37.099999999999994
2016-12-29,52,70.0,,0.7,36.4
2016-12-30,54,70.0,,0.7,37.8
2016-12-31,53,70.0,,0.7,37.099999999999994
2017-01-01,56,65.0,False,0.65,36.4
2017-01-02,59,65.0,,0.65,38.35
2017-01-03,67,65.0,,0.65,43.550000000000004
2017-01-04,62,65.0,,0.65,40.300000000000004
2017-01-05,68,65.0,,0.65,44.2
2017-01-06,66,65.0,,0.65,42.9
2017-01-07,72,65.0,,0.65,46.800000000000004
2017-01-08,69,65.0,,0.65,44.85
2017-01-09,64,65.0,,0.65,41.6
2017-01-10,63,65.0,,0.65,40.95
2017-01-11,67,65.0,,0.65,43.550000000000004
2017-01-12,65,65.0,,0.65,42.25
2017-01-13,71,65.0,,0.65,46.15
2017-01-14,100,65.0,,0.65,65.0
2017-01-15,70,65.0,,0.65,45.5
2017-01-16,60,65.0,,0.65,39.0
2017-01-17,63,65.0,,0.65,40.95
2017-01-18,63,65.0,,0.65,40.95
2017-01-19,90,65.0,,0.65,58.5
2017-01-20,70,65.0,,0.65,45.5
2017-01-21,73,65.0,,0.65,47.45
2017-01-22,64,65.0,,0.65,41.6
2017-01-23,66,65.0,,0.65,42.9
2017-01-24,64,65.0,,0.65,41.6
2017-01-25,59,65.0,,0.65,38.35
2017-01-26,59,65.0,,0.65,38.35
2017-01-27,60,65.0,,0.65,39.0
2017-01-28,64,65.0,,0.65,41.6
2017-01-29,65,65.0,,0.65,42.25
2017-01-30,57,65.0,,0.65,37.050000000000004
2017-01-31,67,65.0,,0.65,43.550000000000004
2017-02-01,77,59.0,False,0.59,45.43
2017-02-02,80,59.0,,0.59,47.199999999999996
2017-02-03,79,59.0,,0.59,46.61
2017-02-04,85,59.0,,0.59,50.15
2017-02-05,82,59.0,,0.59,48.379999999999995
2017-02-06,77,59.0,,0.59,45.43
2017-02-07,77,59.0,,0.59,45.43
2017-02-08,78,59.0,,0.59,46.019999999999996
2017-02-09,85,59.0,,0.59,50.15
2017-02-10,85,59.0,,0.59,50.15
2017-02-11,90,59.0,,0.59,53.099999999999994
2017-02-12,79,59.0,,0.59,46.61
2017-02-13,72,59.0,,0.59,42.48
2017-02-14,96,59.0,,0.59,56.64
2017-02-15,90,59.0,,0.59,53.099999999999994
2017-02-16,100,59.0,,0.59,59.0
2017-02-17,80,59.0,,0.59,47.199999999999996
2017-02-18,95,59.0,,0.59,56.05
2017-02-19,97,59.0,,0.59,57.23
2017-02-20,75,59.0,,0.59,44.25
2017-02-21,86,59.0,,0.59,50.739999999999995
2017-02-22,80,59.0,,0.59,47.199999999999996
2017-02-23,85,59.0,,0.59,50.15
2017-02-24,88,59.0,,0.59,51.919999999999995
2017-02-25,86,59.0,,0.59,50.739999999999995
2017-02-26,78,59.0,,0.59,46.019999999999996
2017-02-27,73,59.0,,0.59,43.07
2017-02-28,82,59.0,,0.59,48.379999999999995
2017-03-01,87,61.0,False,0.61,53.07
2017-03-02,85,61.0,,0.61,51.85
2017-03-03,89,61.0,,0.61,54.29
2017-03-04,100,61.0,,0.61,61.0
2017-03-05,96,61.0,,0.61,58.56
2017-03-06,83,61.0,,0.61,50.629999999999995
2017-03-07,96,61.0,,0.61,58.56
2017-03-08,85,61.0,,0.61,51.85
2017-03-09,83,61.0,,0.61,50.629999999999995
2017-03-10,80,61.0,,0.61,48.8
2017-03-11,90,61.0,,0.61,54.9
2017-03-12,90,61.0,,0.61,54.9
2017-03-13,81,61.0,,0.61,49.41
2017-03-14,88,61.0,,0.61,53.68
2017-03-15,82,61.0,,0.61,50.019999999999996
2017-03-16,87,61.0,,0.61,53.07
2017-03-17,83,61.0,,0.61,50.629999999999995
2017-03-18,88,61.0,,0.61,53.68
2017-03-19,90,61.0,,0.61,54.9
2017-03-20,82,61.0,,0.61,50.019999999999996
2017-03-21,92,61.0,,0.61,56.12
2017-03-22,87,61.0,,0.61,53.07
2017-03-23,95,61.0,,0.61,57.949999999999996
2017-03-24,93,61.0,,0.61,56.73
2017-03-25,89,61.0,,0.61,54.29
2017-03-26,87,61.0,,0.61,53.07
2017-03-27,92,61.0,,0.61,56.12
2017-03-28,91,61.0,,0.61,55.51
2017-03-29,84,61.0,,0.61,51.24
2017-03-30,98,61.0,,0.61,59.78
2017-03-31,94,61.0,,0.61,57.339999999999996
2017-04-01,88,67.0,False,0.67,58.96
2017-04-02,84,67.0,,0.67,56.28
2017-04-03,68,67.0,,0.67,45.56
2017-04-04,80,67.0,,0.67,53.6
2017-04-05,70,67.0,,0.67,46.900000000000006
2017-04-06,69,67.0,,0.67,46.230000000000004
2017-04-07,65,67.0,,0.67,43.550000000000004
2017-04-08,76,67.0,,0.67,50.92
2017-04-09,64,67.0,,0.67,42.88
2017-04-10,72,67.0,,0.67,48.24
2017-04-11,80,67.0,,0.67,53.6
2017-04-12,69,67.0,,0.67,46.230000000000004
2017-04-13,75,67.0,,0.67,50.25
2017-04-14,73,67.0,,0.67,48.910000000000004
2017-04-15,80,67.0,,0.67,53.6
2017-04-16,76,67.0,,0.67,50.92
2017-04-17,79,67.0,,0.67,52.93
2017-04-18,100,67.0,,0.67,67.0
2017-04-19,81,67.0,,0.67,54.27
2017-04-20,82,67.0,,0.67,54.940000000000005
2017-04-21,79,67.0,,0.67,52.93
2017-04-22,81,67.0,,0.67,54.27
2017-04-23,75,67.0,,0.67,50.25
2017-04-24,73,67.0,,0.67,48.910000000000004
2017-04-25,82,67.0,,0.67,54.940000000000005
2017-04-26,76,67.0,,0.67,50.92
2017-04-27,71,67.0,,0.67,47.57
2017-04-28,72,67.0,,0.67,48.24
2017-04-29,74,67.0,,0.67,49.580000000000005
2017-04-30,81,67.0,,0.67,54.27
2017-05-01,67,69.0,False,0.69,46.23
2017-05-02,76,69.0,,0.69,52.44
2017-05-03,67,69.0,,0.69,46.23
2017-05-04,65,69.0,,0.69,44.849999999999994
2017-05-05,64,69.0,,0.69,44.16
2017-05-06,70,69.0,,0.69,48.3
2017-05-07,71,69.0,,0.69,48.989999999999995
2017-05-08,71,69.0,,0.69,48.989999999999995
2017-05-09,77,69.0,,0.69,53.129999999999995
2017-05-10,63,69.0,,0.69,43.47
2017-05-11,66,69.0,,0.69,45.54
2017-05-12,59,69.0,,0.69,40.709999999999994
2017-05-13,73,69.0,,0.69,50.37
2017-05-14,70,69.0,,0.69,48.3
2017-05-15,61,69.0,,0.69,42.089999999999996
2017-05-16,80,69.0,,0.69,55.199999999999996
2017-05-17,64,69.0,,0.69,44.16
2017-05-18,72,69.0,,0.69,49.67999999999999
2017-05-19,67,69.0,,0.69,46.23
2017-05-20,64,69.0,,0.69,44.16
2017-05-21,72,69.0,,0.69,49.67999999999999
2017-05-22,65,69.0,,0.69,44.849999999999994
2017-05-23,100,69.0,,0.69,69.0
2017-05-24,73,69.0,,0.69,50.37
2017-05-25,73,69.0,,0.69,50.37
2017-05-26,72,69.0,,0.69,49.67999999999999
2017-05-27,76,69.0,,0.69,52.44
2017-05-28,72,69.0,,0.69,49.67999999999999
2017-05-29,65,69.0,,0.69,44.849999999999994
2017-05-30,87,69.0,,0.69,60.029999999999994
2017-05-31,71,69.0,,0.69,48.989999999999995
2017-06-01,55,72.0,False,0.72,39.6
2017-06-02,54,72.0,,0.72,38.879999999999995
2017-06-03,60,72.0,,0.72,43.199999999999996
2017-06-04,52,72.0,,0.72,37.44
2017-06-05,52,72.0,,0.72,37.44
2017-06-06,59,72.0,,0.72,42.48
2017-06-07,52,72.0,,0.72,37.44
2017-06-08,52,72.0,,0.72,37.44
2017-06-09,55,72.0,,0.72,39.6
2017-06-10,56,72.0,,0.72,40.32
2017-06-11,47,72.0,,0.72,33.839999999999996
2017-06-12,48,72.0,,0.72,34.56
2017-06-13,52,72.0,,0.72,37.44
2017-06-14,51,72.0,,0.72,36.72
2017-06-15,55,72.0,,0.72,39.6
2017-06-16,56,72.0,,0.72,40.32
2017-06-17,51,72.0,,0.72,36.72
2017-06-18,53,72.0,,0.72,38.16
2017-06-19,50,72.0,,0.72,36.0
2017-06-20,62,72.0,,0.72,44.64
2017-06-21,49,72.0,,0.72,35.28
2017-06-22,53,72.0,,0.72,38.16
2017-06-23,75,72.0,,0.72,54.0
2017-06-24,55,72.0,,0.72,39.6
2017-06-25,60,72.0,,0.72,43.199999999999996
2017-06-26,57,72.0,,0.72,41.04
2017-06-27,100,72.0,,0.72,72.0
2017-06-28,71,72.0,,0.72,51.12
2017-06-29,63,72.0,,0.72,45.36
2017-06-30,59,72.0,,0.72,42.48
2017-07-01,84,65.0,False,0.65,54.6
2017-07-02,80,65.0,,0.65,52.0
2017-07-03,88,65.0,,0.65,57.2
2017-07-04,100,65.0,,0.65,65.0
2017-07-05,88,65.0,,0.65,57.2
2017-07-06,84,65.0,,0.65,54.6
2017-07-07,83,65.0,,0.65,53.95
2017-07-08,81,65.0,,0.65,52.65
2017-07-09,81,65.0,,0.65,52.65
2017-07-10,77,65.0,,0.65,50.050000000000004
2017-07-11,86,65.0,,0.65,55.9
2017-07-12,88,65.0,,0.65,57.2
2017-07-13,75,65.0,,0.65,48.75
2017-07-14,71,65.0,,0.65,46.15
2017-07-15,80,65.0,,0.65,52.0
2017-07-16,75,65.0,,0.65,48.75
2017-07-17,73,65.0,,0.65,47.45
2017-07-18,69,65.0,,0.65,44.85
2017-07-19,71,65.0,,0.65,46.15
2017-07-20,70,65.0,,0.65,45.5
2017-07-21,69,65.0,,0.65,44.85
2017-07-22,78,65.0,,0.65,50.7
2017-07-23,81,65.0,,0.65,52.65
2017-07-24,66,65.0,,0.65,42.9
2017-07-25,72,65.0,,0.65,46.800000000000004
2017-07-26,73,65.0,,0.65,47.45
2017-07-27,63,65.0,,0.65,40.95
2017-07-28,68,65.0,,0.65,44.2
2017-07-29,77,65.0,,0.65,50.050000000000004
2017-07-30,72,65.0,,0.65,46.800000000000004
2017-07-31,72,65.0,,0.65,46.800000000000004
2017-08-01,86,60.0,False,0.6,51.6
2017-08-02,87,60.0,,0.6,52.199999999999996
2017-08-03,93,60.0,,0.6,55.8
2017-08-04,92,60.0,,0.6,55.199999999999996
2017-08-05,100,60.0,,0.6,60.0
2017-08-06,95,60.0,,0.6,57.0
2017-08-07,85,60.0,,0.6,51.0
2017-08-08,85,60.0,,0.6,51.0
2017-08-09,87,60.0,,0.6,52.199999999999996
2017-08-10,80,60.0,,0.6,48.0
2017-08-11,99,60.0,,0.6,59.4
2017-08-12,88,60.0,,0.6,52.8
2017-08-13,93,60.0,,0.6,55.8
2017-08-14,82,60.0,,0.6,49.199999999999996
2017-08-15,85,60.0,,0.6,51.0
2017-08-16,86,60.0,,0.6,51.6
2017-08-17,90,60.0,,0.6,54.0
2017-08-18,91,60.0,,0.6,54.6
2017-08-19,91,60.0,,0.6,54.6
2017-08-20,93,60.0,,0.6,55.8
2017-08-21,84,60.0,,0.6,50.4
2017-08-22,86,60.0,,0.6,51.6
2017-08-23,81,60.0,,0.6,48.6
2017-08-24,93,60.0,,0.6,55.8
2017-08-25,96,60.0,,0.6,57.599999999999994
2017-08-26,91,60.0,,0.6,54.6
2017-08-27,75,60.0,,0.6,45.0
2017-08-28,85,60.0,,0.6,51.0
2017-08-29,85,60.0,,0.6,51.0
2017-08-30,78,60.0,,0.6,46.8
2017-08-31,91,60.0,,0.6,54.6
2017-09-01,86,59.0,False,0.59,50.739999999999995
2017-09-02,87,59.0,,0.59,51.33
2017-09-03,97,59.0,,0.59,57.23
2017-09-04,92,59.0,,0.59,54.279999999999994
2017-09-05,86,59.0,,0.59,50.739999999999995
2017-09-06,71,59.0,,0.59,41.89
2017-09-07,78,59.0,,0.59,46.019999999999996
2017-09-08,83,59.0,,0.59,48.97
2017-09-09,88,59.0,,0.59,51.919999999999995
2017-09-10,82,59.0,,0.59,48.379999999999995
2017-09-11,77,59.0,,0.59,45.43
2017-09-12,94,59.0,,0.59,55.459999999999994
2017-09-13,84,59.0,,0.59,49.559999999999995
2017-09-14,85,59.0,,0.59,50.15
2017-09-15,85,59.0,,0.59,50.15
2017-09-16,92,59.0,,0.59,54.279999999999994
2017-09-17,90,59.0,,0.59,53.099999999999994
2017-09-18,89,59.0,,0.59,52.51
2017-09-19,90,59.0,,0.59,53.099999999999994
2017-09-20,90,59.0,,0.59,53.099999999999994
2017-09-21,99,59.0,,0.59,58.41
2017-09-22,91,59.0,,0.59,53.69
2017-09-23,99,59.0,,0.59,58.41
2017-09-24,95,59.0,,0.59,56.05
2017-09-25,92,59.0,,0.59,54.279999999999994
2017-09-26,96,59.0,,0.59,56.64
2017-09-27,85,59.0,,0.59,50.15
2017-09-28,92,59.0,,0.59,54.279999999999994
2017-09-29,92,59.0,,0.59,54.279999999999994
2017-09-30,100,59.0,,0.59,59.0
2017-10-01,85,59.0,False,0.59,50.15
2017-10-02,72,59.0,,0.59,42.48
2017-10-03,80,59.0,,0.59,47.199999999999996
2017-10-04,75,59.0,,0.59,44.25
2017-10-05,83,59.0,,0.59,48.97
2017-10-06,80,59.0,,0.59,47.199999999999996
2017-10-07,86,59.0,,0.59,50.739999999999995
2017-10-08,88,59.0,,0.59,51.919999999999995
2017-10-09,71,59.0,,0.59,41.89
2017-10-10,78,59.0,,0.59,46.019999999999996
2017-10-11,80,59.0,,0.59,47.199999999999996
2017-10-12,78,59.0,,0.59,46.019999999999996
2017-10-13,79,59.0,,0.59,46.61
2017-10-14,74,59.0,,0.59,43.66
2017-10-15,79,59.0,,0.59,46.61
2017-10-16,75,59.0,,0.59,44.25
2017-10-17,76,59.0,,0.59,44.839999999999996
2017-10-18,79,59.0,,0.59,46.61
2017-10-19,92,59.0,,0.59,54.279999999999994
2017-10-20,87,59.0,,0.59,51.33
2017-10-21,85,59.0,,0.59,50.15
2017-10-22,100,59.0,,0.59,59.0
2017-10-23,79,59.0,,0.59,46.61
2017-10-24,91,59.0,,0.59,53.69
2017-10-25,89,59.0,,0.59,52.51
2017-10-26,93,59.0,,0.59,54.87
2017-10-27,81,59.0,,0.59,47.79
2017-10-28,81,59.0,,0.59,47.79
2017-10-29,78,59.0,,0.59,46.019999999999996
2017-10-30,76,59.0,,0.59,44.839999999999996
2017-10-31,86,59.0,,0.59,50.739999999999995
2017-11-01,68,64.0,False,0.64,43.52
2017-11-02,71,64.0,,0.64,45.44
2017-11-03,67,64.0,,0.64,42.88
2017-11-04,77,64.0,,0.64,49.28
2017-11-05,80,64.0,,0.64,51.2
2017-11-06,68,64.0,,0.64,43.52
2017-11-07,70,64.0,,0.64,44.800000000000004
2017-11-08,69,64.0,,0.64,44.160000000000004
2017-11-09,71,64.0,,0.64,45.44
2017-11-10,73,64.0,,0.64,46.72
2017-11-11,75,64.0,,0.64,48.0
2017-11-12,68,64.0,,0.64,43.52
2017-11-13,65,64.0,,0.64,41.6
2017-11-14,68,64.0,,0.64,43.52
2017-11-15,71,64.0,,0.64,45.44
2017-11-16,75,64.0,,0.64,48.0
2017-11-17,69,64.0,,0.64,44.160000000000004
2017-11-18,77,64.0,,0.64,49.28
2017-11-19,72,64.0,,0.64,46.08
2017-11-20,73,64.0,,0.64,46.72
2017-11-21,71,64.0,,0.64,45.44
2017-11-22,66,64.0,,0.64,42.24
2017-11-23,71,64.0,,0.64,45.44
2017-11-24,72,64.0,,0.64,46.08
2017-11-25,78,64.0,,0.64,49.92
2017-11-26,74,64.0,,0.64,47.36
2017-11-27,75,64.0,,0.64,48.0
2017-11-28,100,64.0,,0.64,64.0
2017-11-29,91,64.0,,0.64,58.24
2017-11-30,72,64.0,,0.64,46.08
2017-12-01,72,70.0,False,0.7,50.4
2017-12-02,77,70.0,,0.7,53.9
2017-12-03,78,70.0,,0.7,54.599999999999994
2017-12-04,68,70.0,,0.7,47.599999999999994
2017-12-05,93,70.0,,0.7,65.1
2017-12-06,100,70.0,,0.7,70.0
2017-12-07,85,70.0,,0.7,59.49999999999999
2017-12-08,76,70.0,,0.7,53.199999999999996
2017-12-09,91,70.0,,0.7,63.699999999999996
2017-12-10,72,70.0,,0.7,50.4
2017-12-11,72,70.0,,0.7,50.4
2017-12-12,96,70.0,,0.7,67.19999999999999
2017-12-13,80,70.0,,0.7,56.0
2017-12-14,78,70.0,,0.7,54.599999999999994
2017-12-15,76,70.0,,0.7,53.199999999999996
2017-12-16,74,70.0,,0.7,51.8
2017-12-17,77,70.0,,0.7,53.9
2017-12-18,72,70.0,,0.7,50.4
2017-12-19,89,70.0,,0.7,62.3
