date,ROKU_unscaled,ROKU_monthly,isPartial,scale,ROKU
2016-09-22,46,39.0,,0.39,17.94
2016-09-23,50,39.0,,0.39,19.5
2016-09-24,73,39.0,,0.39,28.470000000000002
2016-09-25,83,39.0,,0.39,32.370000000000005
2016-09-26,66,39.0,,0.39,25.740000000000002
2016-09-27,59,39.0,,0.39,23.01
2016-09-28,49,39.0,,0.39,19.11
2016-09-29,49,39.0,,0.39,19.11
2016-09-30,53,39.0,,0.39,20.67
2016-10-01,95,41.0,False,0.41,38.949999999999996
2016-10-02,98,41.0,,0.41,40.18
2016-10-03,61,41.0,,0.41,25.009999999999998
2016-10-04,61,41.0,,0.41,25.009999999999998
2016-10-05,53,41.0,,0.41,21.73
2016-10-06,57,41.0,,0.41,23.369999999999997
2016-10-07,65,41.0,,0.41,26.65
2016-10-08,86,41.0,,0.41,35.26
2016-10-09,94,41.0,,0.41,38.54
2016-10-10,62,41.0,,0.41,25.419999999999998
2016-10-11,58,41.0,,0.41,23.779999999999998
2016-10-12,60,41.0,,0.41,24.599999999999998
2016-10-13,57,41.0,,0.41,23.369999999999997
2016-10-14,60,41.0,,0.41,24.599999999999998
2016-10-15,84,41.0,,0.41,34.44
2016-10-16,100,41.0,,0.41,41.0
2016-10-17,59,41.0,,0.41,24.189999999999998
2016-10-18,61,41.0,,0.41,25.009999999999998
2016-10-19,59,41.0,,0.41,24.189999999999998
2016-10-20,59,41.0,,0.41,24.189999999999998
2016-10-21,61,41.0,,0.41,25.009999999999998
2016-10-22,87,41.0,,0.41,35.669999999999995
2016-10-23,97,41.0,,0.41,39.769999999999996
2016-10-24,66,41.0,,0.41,27.06
2016-10-25,61,41.0,,0.41,25.009999999999998
2016-10-26,57,41.0,,0.41,23.369999999999997
2016-10-27,59,41.0,,0.41,24.189999999999998
2016-10-28,62,41.0,,0.41,25.419999999999998
2016-10-29,88,41.0,,0.41,36.08
2016-10-30,85,41.0,,0.41,34.85
2016-10-31,55,41.0,,0.41,22.549999999999997
2016-11-01,25,51.0,False,0.51,12.75
2016-11-02,28,51.0,,0.51,14.280000000000001
2016-11-03,27,51.0,,0.51,13.77
2016-11-04,31,51.0,,0.51,15.81
2016-11-05,44,51.0,,0.51,22.44
2016-11-06,44,51.0,,0.51,22.44
2016-11-07,29,51.0,,0.51,14.790000000000001
2016-11-08,28,51.0,,0.51,14.280000000000001
2016-11-09,18,51.0,,0.51,9.18
2016-11-10,27,51.0,,0.51,13.77
2016-11-11,31,51.0,,0.51,15.81
2016-11-12,42,51.0,,0.51,21.42
2016-11-13,45,51.0,,0.51,22.95
2016-11-14,29,51.0,,0.51,14.790000000000001
2016-11-15,30,51.0,,0.51,15.3
2016-11-16,28,51.0,,0.51,14.280000000000001
2016-11-17,28,51.0,,0.51,14.280000000000001
2016-11-18,29,51.0,,0.51,14.790000000000001
2016-11-19,42,51.0,,0.51,21.42
2016-11-20,50,51.0,,0.51,25.5
2016-11-21,37,51.0,,0.51,18.87
2016-11-22,41,51.0,,0.51,20.91
2016-11-23,43,51.0,,0.51,21.93
2016-11-24,80,51.0,,0.51,40.8
2016-11-25,100,51.0,,0.51,51.0
2016-11-26,71,51.0,,0.51,36.21
2016-11-27,69,51.0,,0.51,35.19
2016-11-28,57,51.0,,0.51,29.07
2016-11-29,45,51.0,,0.51,22.95
2016-11-30,37,51.0,,0.51,18.87
2016-12-01,49,55.0,False,0.55,26.950000000000003
2016-12-02,51,55.0,,0.55,28.05
2016-12-03,72,55.0,,0.55,39.6
2016-12-04,72,55.0,,0.55,39.6
2016-12-05,53,55.0,,0.55,29.150000000000002
2016-12-06,46,55.0,,0.55,25.3
2016-12-07,42,55.0,,0.55,23.1
2016-12-08,42,55.0,,0.55,23.1
2016-12-09,43,55.0,,0.55,23.650000000000002
2016-12-10,63,55.0,,0.55,34.650000000000006
2016-12-11,66,55.0,,0.55,36.300000000000004
2016-12-12,50,55.0,,0.55,27.500000000000004
2016-12-13,45,55.0,,0.55,24.750000000000004
2016-12-14,42,55.0,,0.55,23.1
2016-12-15,41,55.0,,0.55,22.55
2016-12-16,48,55.0,,0.55,26.400000000000002
2016-12-17,68,55.0,,0.55,37.400000000000006
2016-12-18,72,55.0,,0.55,39.6
2016-12-19,52,55.0,,0.55,28.6
2016-12-20,55,55.0,,0.55,30.250000000000004
2016-12-21,53,55.0,,0.55,29.150000000000002
2016-12-22,56,55.0,,0.55,30.800000000000004
2016-12-23,66,55.0,,0.55,36.300000000000004
2016-12-24,73,55.0,,0.55,40.150000000000006
2016-12-25,100,55.0,,0.55,55.00000000000001
2016-12-26,97,55.0,,0.55,53.35
2016-12-27,82,55.0,,0.55,45.1
2016-12-28,73,55.0,,0.55,40.150000000000006
2016-12-29,73,55.0,,0.55,40.150000000000006
2016-12-30,72,55.0,,0.55,39.6
2016-12-31,91,55.0,,0.55,50.050000000000004
2017-01-01,100,50.0,False,0.5,50.0
2017-01-02,95,50.0,,0.5,47.5
2017-01-03,67,50.0,,0.5,33.5
2017-01-04,64,50.0,,0.5,32.0
2017-01-05,57,50.0,,0.5,28.5
2017-01-06,62,50.0,,0.5,31.0
2017-01-07,94,50.0,,0.5,47.0
2017-01-08,94,50.0,,0.5,47.0
2017-01-09,59,50.0,,0.5,29.5
2017-01-10,56,50.0,,0.5,28.0
2017-01-11,48,50.0,,0.5,24.0
2017-01-12,46,50.0,,0.5,23.0
2017-01-13,49,50.0,,0.5,24.5
2017-01-14,80,50.0,,0.5,40.0
2017-01-15,85,50.0,,0.5,42.5
2017-01-16,67,50.0,,0.5,33.5
2017-01-17,52,50.0,,0.5,26.0
2017-01-18,51,50.0,,0.5,25.5
2017-01-19,45,50.0,,0.5,22.5
2017-01-20,46,50.0,,0.5,23.0
2017-01-21,73,50.0,,0.5,36.5
2017-01-22,80,50.0,,0.5,40.0
2017-01-23,52,50.0,,0.5,26.0
2017-01-24,45,50.0,,0.5,22.5
2017-01-25,43,50.0,,0.5,21.5
2017-01-26,43,50.0,,0.5,21.5
2017-01-27,45,50.0,,0.5,22.5
2017-01-28,69,50.0,,0.5,34.5
2017-01-29,79,50.0,,0.5,39.5
2017-01-30,54,50.0,,0.5,27.0
2017-01-31,56,50.0,,0.5,28.0
2017-02-01,48,43.0,False,0.43,20.64
2017-02-02,42,43.0,,0.43,18.06
2017-02-03,56,43.0,,0.43,24.08
2017-02-04,69,43.0,,0.43,29.669999999999998
2017-02-05,100,43.0,,0.43,43.0
2017-02-06,50,43.0,,0.43,21.5
2017-02-07,42,43.0,,0.43,18.06
2017-02-08,42,43.0,,0.43,18.06
2017-02-09,44,43.0,,0.43,18.919999999999998
2017-02-10,43,43.0,,0.43,18.49
2017-02-11,63,43.0,,0.43,27.09
2017-02-12,72,43.0,,0.43,30.96
2017-02-13,49,43.0,,0.43,21.07
2017-02-14,40,43.0,,0.43,17.2
2017-02-15,39,43.0,,0.43,16.77
2017-02-16,38,43.0,,0.43,16.34
2017-02-17,41,43.0,,0.43,17.63
2017-02-18,66,43.0,,0.43,28.38
2017-02-19,76,43.0,,0.43,32.68
2017-02-20,56,43.0,,0.43,24.08
2017-02-21,44,43.0,,0.43,18.919999999999998
2017-02-22,40,43.0,,0.43,17.2
2017-02-23,42,43.0,,0.43,18.06
2017-02-24,44,43.0,,0.43,18.919999999999998
2017-02-25,65,43.0,,0.43,27.95
2017-02-26,72,43.0,,0.43,30.96
2017-02-27,52,43.0,,0.43,22.36
2017-02-28,41,43.0,,0.43,17.63
2017-03-01,63,41.0,False,0.41,25.83
2017-03-02,57,41.0,,0.41,23.369999999999997
2017-03-03,59,41.0,,0.41,24.189999999999998
2017-03-04,91,41.0,,0.41,37.309999999999995
2017-03-05,100,41.0,,0.41,41.0
2017-03-06,63,41.0,,0.41,25.83
2017-03-07,53,41.0,,0.41,21.73
2017-03-08,55,41.0,,0.41,22.549999999999997
2017-03-09,52,41.0,,0.41,21.32
2017-03-10,54,41.0,,0.41,22.139999999999997
2017-03-11,95,41.0,,0.41,38.949999999999996
2017-03-12,94,41.0,,0.41,38.54
2017-03-13,68,41.0,,0.41,27.88
2017-03-14,69,41.0,,0.41,28.29
2017-03-15,61,41.0,,0.41,25.009999999999998
2017-03-16,69,41.0,,0.41,28.29
2017-03-17,61,41.0,,0.41,25.009999999999998
2017-03-18,89,41.0,,0.41,36.489999999999995
2017-03-19,94,41.0,,0.41,38.54
2017-03-20,58,41.0,,0.41,23.779999999999998
2017-03-21,55,41.0,,0.41,22.549999999999997
2017-03-22,58,41.0,,0.41,23.779999999999998
2017-03-23,54,41.0,,0.41,22.139999999999997
2017-03-24,61,41.0,,0.41,25.009999999999998
2017-03-25,89,41.0,,0.41,36.489999999999995
2017-03-26,93,41.0,,0.41,38.129999999999995
2017-03-27,58,41.0,,0.41,23.779999999999998
2017-03-28,56,41.0,,0.41,22.959999999999997
2017-03-29,52,41.0,,0.41,21.32
2017-03-30,54,41.0,,0.41,22.139999999999997
2017-03-31,56,41.0,,0.41,22.959999999999997
2017-04-01,96,40.0,False,0.4,38.400000000000006
2017-04-02,100,40.0,,0.4,40.0
2017-04-03,61,40.0,,0.4,24.400000000000002
2017-04-04,63,40.0,,0.4,25.200000000000003
2017-04-05,61,40.0,,0.4,24.400000000000002
2017-04-06,64,40.0,,0.4,25.6
2017-04-07,65,40.0,,0.4,26.0
2017-04-08,90,40.0,,0.4,36.0
2017-04-09,92,40.0,,0.4,36.800000000000004
2017-04-10,60,40.0,,0.4,24.0
2017-04-11,57,40.0,,0.4,22.8
2017-04-12,60,40.0,,0.4,24.0
2017-04-13,54,40.0,,0.4,21.6
2017-04-14,59,40.0,,0.4,23.6
2017-04-15,88,40.0,,0.4,35.2
2017-04-16,92,40.0,,0.4,36.800000000000004
2017-04-17,62,40.0,,0.4,24.8
2017-04-18,56,40.0,,0.4,22.400000000000002
2017-04-19,58,40.0,,0.4,23.200000000000003
2017-04-20,54,40.0,,0.4,21.6
2017-04-21,57,40.0,,0.4,22.8
2017-04-22,78,40.0,,0.4,31.200000000000003
2017-04-23,89,40.0,,0.4,35.6
2017-04-24,57,40.0,,0.4,22.8
2017-04-25,57,40.0,,0.4,22.8
2017-04-26,51,40.0,,0.4,20.400000000000002
2017-04-27,51,40.0,,0.4,20.400000000000002
2017-04-28,53,40.0,,0.4,21.200000000000003
2017-04-29,80,40.0,,0.4,32.0
2017-04-30,86,40.0,,0.4,34.4
2017-05-01,57,38.0,False,0.38,21.66
2017-05-02,56,38.0,,0.38,21.28
2017-05-03,55,38.0,,0.38,20.9
2017-05-04,57,38.0,,0.38,21.66
2017-05-05,68,38.0,,0.38,25.84
2017-05-06,92,38.0,,0.38,34.96
2017-05-07,100,38.0,,0.38,38.0
2017-05-08,64,38.0,,0.38,24.32
2017-05-09,55,38.0,,0.38,20.9
2017-05-10,55,38.0,,0.38,20.9
2017-05-11,60,38.0,,0.38,22.8
2017-05-12,59,38.0,,0.38,22.42
2017-05-13,86,38.0,,0.38,32.68
2017-05-14,94,38.0,,0.38,35.72
2017-05-15,62,38.0,,0.38,23.56
2017-05-16,60,38.0,,0.38,22.8
2017-05-17,59,38.0,,0.38,22.42
2017-05-18,55,38.0,,0.38,20.9
2017-05-19,56,38.0,,0.38,21.28
2017-05-20,85,38.0,,0.38,32.3
2017-05-21,84,38.0,,0.38,31.92
2017-05-22,62,38.0,,0.38,23.56
2017-05-23,57,38.0,,0.38,21.66
2017-05-24,55,38.0,,0.38,20.9
2017-05-25,57,38.0,,0.38,21.66
2017-05-26,60,38.0,,0.38,22.8
2017-05-27,81,38.0,,0.38,30.78
2017-05-28,88,38.0,,0.38,33.44
2017-05-29,91,38.0,,0.38,34.58
2017-05-30,66,38.0,,0.38,25.080000000000002
2017-05-31,64,38.0,,0.38,24.32
2017-06-01,66,42.0,False,0.42,27.72
2017-06-02,74,42.0,,0.42,31.08
2017-06-03,86,42.0,,0.42,36.12
2017-06-04,98,42.0,,0.42,41.16
2017-06-05,68,42.0,,0.42,28.56
2017-06-06,66,42.0,,0.42,27.72
2017-06-07,62,42.0,,0.42,26.04
2017-06-08,64,42.0,,0.42,26.88
2017-06-09,67,42.0,,0.42,28.14
2017-06-10,78,42.0,,0.42,32.76
2017-06-11,93,42.0,,0.42,39.059999999999995
2017-06-12,65,42.0,,0.42,27.3
2017-06-13,68,42.0,,0.42,28.56
2017-06-14,65,42.0,,0.42,27.3
2017-06-15,66,42.0,,0.42,27.72
2017-06-16,72,42.0,,0.42,30.24
2017-06-17,90,42.0,,0.42,37.8
2017-06-18,91,42.0,,0.42,38.22
2017-06-19,77,42.0,,0.42,32.339999999999996
2017-06-20,67,42.0,,0.42,28.14
2017-06-21,63,42.0,,0.42,26.459999999999997
2017-06-22,69,42.0,,0.42,28.98
2017-06-23,72,42.0,,0.42,30.24
2017-06-24,95,42.0,,0.42,39.9
2017-06-25,100,42.0,,0.42,42.0
2017-06-26,69,42.0,,0.42,28.98
2017-06-27,67,42.0,,0.42,28.14
2017-06-28,65,42.0,,0.42,27.3
2017-06-29,63,42.0,,0.42,26.459999999999997
2017-06-30,69,42.0,,0.42,28.98
2017-07-01,67,46.0,False,0.46,30.82
2017-07-02,75,46.0,,0.46,34.5
2017-07-03,62,46.0,,0.46,28.52
2017-07-04,72,46.0,,0.46,33.120000000000005
2017-07-05,53,46.0,,0.46,24.380000000000003
2017-07-06,58,46.0,,0.46,26.68
2017-07-07,59,46.0,,0.46,27.14
2017-07-08,77,46.0,,0.46,35.42
2017-07-09,83,46.0,,0.46,38.18
2017-07-10,56,46.0,,0.46,25.76
2017-07-11,71,46.0,,0.46,32.660000000000004
2017-07-12,58,46.0,,0.46,26.68
2017-07-13,58,46.0,,0.46,26.68
2017-07-14,63,46.0,,0.46,28.98
2017-07-15,85,46.0,,0.46,39.1
2017-07-16,100,46.0,,0.46,46.0
2017-07-17,75,46.0,,0.46,34.5
2017-07-18,57,46.0,,0.46,26.220000000000002
2017-07-19,59,46.0,,0.46,27.14
2017-07-20,56,46.0,,0.46,25.76
2017-07-21,60,46.0,,0.46,27.6
2017-07-22,82,46.0,,0.46,37.72
2017-07-23,89,46.0,,0.46,40.940000000000005
2017-07-24,68,46.0,,0.46,31.28
2017-07-25,60,46.0,,0.46,27.6
2017-07-26,58,46.0,,0.46,26.68
2017-07-27,59,46.0,,0.46,27.14
2017-07-28,59,46.0,,0.46,27.14
2017-07-29,81,46.0,,0.46,37.260000000000005
2017-07-30,88,46.0,,0.46,40.480000000000004
2017-07-31,68,46.0,,0.46,31.28
2017-08-01,56,49.0,False,0.49,27.439999999999998
2017-08-02,53,49.0,,0.49,25.97
2017-08-03,55,49.0,,0.49,26.95
2017-08-04,53,49.0,,0.49,25.97
2017-08-05,71,49.0,,0.49,34.79
2017-08-06,79,49.0,,0.49,38.71
2017-08-07,64,49.0,,0.49,31.36
2017-08-08,53,49.0,,0.49,25.97
2017-08-09,57,49.0,,0.49,27.93
2017-08-10,58,49.0,,0.49,28.419999999999998
2017-08-11,50,49.0,,0.49,24.5
2017-08-12,78,49.0,,0.49,38.22
2017-08-13,82,49.0,,0.49,40.18
2017-08-14,61,49.0,,0.49,29.89
2017-08-15,53,49.0,,0.49,25.97
2017-08-16,49,49.0,,0.49,24.009999999999998
2017-08-17,51,49.0,,0.49,24.99
2017-08-18,50,49.0,,0.49,24.5
2017-08-19,74,49.0,,0.49,36.26
2017-08-20,82,49.0,,0.49,40.18
2017-08-21,63,49.0,,0.49,30.87
2017-08-22,59,49.0,,0.49,28.91
2017-08-23,56,49.0,,0.49,27.439999999999998
2017-08-24,50,49.0,,0.49,24.5
2017-08-25,62,49.0,,0.49,30.38
2017-08-26,100,49.0,,0.49,49.0
2017-08-27,99,49.0,,0.49,48.51
2017-08-28,59,49.0,,0.49,28.91
2017-08-29,53,49.0,,0.49,25.97
2017-08-30,46,49.0,,0.49,22.54
2017-08-31,56,49.0,,0.49,27.439999999999998
2017-09-01,61,53.0,False,0.53,32.33
2017-09-02,100,53.0,,0.53,53.0
2017-09-03,92,53.0,,0.53,48.760000000000005
2017-09-04,83,53.0,,0.53,43.99
2017-09-05,57,53.0,,0.53,30.21
2017-09-06,56,53.0,,0.53,29.68
2017-09-07,59,53.0,,0.53,31.270000000000003
2017-09-08,55,53.0,,0.53,29.150000000000002
2017-09-09,80,53.0,,0.53,42.400000000000006
2017-09-10,96,53.0,,0.53,50.88
2017-09-11,61,53.0,,0.53,32.33
2017-09-12,55,53.0,,0.53,29.150000000000002
2017-09-13,54,53.0,,0.53,28.62
2017-09-14,58,53.0,,0.53,30.740000000000002
2017-09-15,56,53.0,,0.53,29.68
2017-09-16,79,53.0,,0.53,41.870000000000005
2017-09-17,100,53.0,,0.53,53.0
2017-09-18,58,53.0,,0.53,30.740000000000002
2017-09-19,56,53.0,,0.53,29.68
2017-09-20,53,53.0,,0.53,28.09
2017-09-21,58,53.0,,0.53,30.740000000000002
2017-09-22,59,53.0,,0.53,31.270000000000003
2017-09-23,83,53.0,,0.53,43.99
2017-09-24,96,53.0,,0.53,50.88
2017-09-25,60,53.0,,0.53,31.8
2017-09-26,55,53.0,,0.53,29.150000000000002
2017-09-27,54,53.0,,0.53,28.62
2017-09-28,93,53.0,,0.53,49.29
2017-09-29,94,53.0,,0.53,49.82
2017-09-30,92,53.0,,0.53,48.760000000000005
2017-10-01,100,51.0,False,0.51,51.0
2017-10-02,72,51.0,,0.51,36.72
2017-10-03,74,51.0,,0.51,37.74
2017-10-04,68,51.0,,0.51,34.68
2017-10-05,66,51.0,,0.51,33.660000000000004
2017-10-06,70,51.0,,0.51,35.7
2017-10-07,86,51.0,,0.51,43.86
2017-10-08,99,51.0,,0.51,50.49
2017-10-09,69,51.0,,0.51,35.19
2017-10-10,62,51.0,,0.51,31.62
2017-10-11,57,51.0,,0.51,29.07
2017-10-12,60,51.0,,0.51,30.6
2017-10-13,64,51.0,,0.51,32.64
2017-10-14,90,51.0,,0.51,45.9
2017-10-15,97,51.0,,0.51,49.47
2017-10-16,63,51.0,,0.51,32.13
2017-10-17,57,51.0,,0.51,29.07
2017-10-18,57,51.0,,0.51,29.07
2017-10-19,52,51.0,,0.51,26.52
2017-10-20,53,51.0,,0.51,27.03
2017-10-21,79,51.0,,0.51,40.29
2017-10-22,85,51.0,,0.51,43.35
2017-10-23,59,51.0,,0.51,30.09
2017-10-24,59,51.0,,0.51,30.09
2017-10-25,55,51.0,,0.51,28.05
2017-10-26,52,51.0,,0.51,26.52
2017-10-27,50,51.0,,0.51,25.5
2017-10-28,76,51.0,,0.51,38.76
2017-10-29,84,51.0,,0.51,42.84
2017-10-30,58,51.0,,0.51,29.580000000000002
2017-10-31,50,51.0,,0.51,25.5
2017-11-01,31,62.0,False,0.62,19.22
2017-11-02,31,62.0,,0.62,19.22
2017-11-03,33,62.0,,0.62,20.46
2017-11-04,49,62.0,,0.62,30.38
2017-11-05,50,62.0,,0.62,31.0
2017-11-06,33,62.0,,0.62,20.46
2017-11-07,30,62.0,,0.62,18.6
2017-11-08,35,62.0,,0.62,21.7
2017-11-09,45,62.0,,0.62,27.9
2017-11-10,47,62.0,,0.62,29.14
2017-11-11,52,62.0,,0.62,32.24
2017-11-12,53,62.0,,0.62,32.86
2017-11-13,45,62.0,,0.62,27.9
2017-11-14,45,62.0,,0.62,27.9
2017-11-15,37,62.0,,0.62,22.94
2017-11-16,33,62.0,,0.62,20.46
2017-11-17,36,62.0,,0.62,22.32
2017-11-18,53,62.0,,0.62,32.86
2017-11-19,60,62.0,,0.62,37.2
2017-11-20,40,62.0,,0.62,24.8
2017-11-21,41,62.0,,0.62,25.419999999999998
2017-11-22,50,62.0,,0.62,31.0
2017-11-23,81,62.0,,0.62,50.22
2017-11-24,100,62.0,,0.62,62.0
2017-11-25,86,62.0,,0.62,53.32
2017-11-26,71,62.0,,0.62,44.02
2017-11-27,60,62.0,,0.62,37.2
2017-11-28,51,62.0,,0.62,31.62
2017-11-29,40,62.0,,0.62,24.8
2017-11-30,39,62.0,,0.62,24.18
2017-12-01,51,61.0,False,0.61,31.11
2017-12-02,75,61.0,,0.61,45.75
2017-12-03,78,61.0,,0.61,47.58
2017-12-04,52,61.0,,0.61,31.72
2017-12-05,48,61.0,,0.61,29.28
2017-12-06,48,61.0,,0.61,29.28
2017-12-07,51,61.0,,0.61,31.11
2017-12-08,51,61.0,,0.61,31.11
2017-12-09,71,61.0,,0.61,43.31
2017-12-10,78,61.0,,0.61,47.58
2017-12-11,49,61.0,,0.61,29.89
2017-12-12,49,61.0,,0.61,29.89
2017-12-13,46,61.0,,0.61,28.06
2017-12-14,47,61.0,,0.61,28.669999999999998
2017-12-15,48,61.0,,0.61,29.28
2017-12-16,74,61.0,,0.61,45.14
2017-12-17,77,61.0,,0.61,46.97
2017-12-18,58,61.0,,0.61,35.38
2017-12-19,55,61.0,,0.61,33.55
2017-12-20,56,61.0,,0.61,34.16
2017-12-21,54,61.0,,0.61,32.94
2017-12-22,60,61.0,,0.61,36.6
2017-12-23,77,61.0,,0.61,46.97
2017-12-24,80,61.0,,0.61,48.8
2017-12-25,100,61.0,,0.61,61.0
