date,MU_unscaled,MU_monthly,isPartial,scale,MU
2017-04-18,89,41.0,,0.41,36.489999999999995
2017-04-19,87,41.0,,0.41,35.669999999999995
2017-04-20,97,41.0,,0.41,39.769999999999996
2017-04-21,91,41.0,,0.41,37.309999999999995
2017-04-22,72,41.0,,0.41,29.52
2017-04-23,78,41.0,,0.41,31.979999999999997
2017-04-24,91,41.0,,0.41,37.309999999999995
2017-04-25,94,41.0,,0.41,38.54
2017-04-26,93,41.0,,0.41,38.129999999999995
2017-04-27,99,41.0,,0.41,40.589999999999996
2017-04-28,92,41.0,,0.41,37.72
2017-04-29,85,41.0,,0.41,34.85
2017-04-30,81,41.0,,0.41,33.21
2017-05-01,96,38.0,False,0.38,36.480000000000004
2017-05-02,96,38.0,,0.38,36.480000000000004
2017-05-03,81,38.0,,0.38,30.78
2017-05-04,100,38.0,,0.38,38.0
2017-05-05,77,38.0,,0.38,29.26
2017-05-06,80,38.0,,0.38,30.4
2017-05-07,94,38.0,,0.38,35.72
2017-05-08,94,38.0,,0.38,35.72
2017-05-09,86,38.0,,0.38,32.68
2017-05-10,90,38.0,,0.38,34.2
2017-05-11,87,38.0,,0.38,33.06
2017-05-12,95,38.0,,0.38,36.1
2017-05-13,74,38.0,,0.38,28.12
2017-05-14,77,38.0,,0.38,29.26
2017-05-15,81,38.0,,0.38,30.78
2017-05-16,91,38.0,,0.38,34.58
2017-05-17,94,38.0,,0.38,35.72
2017-05-18,81,38.0,,0.38,30.78
2017-05-19,79,38.0,,0.38,30.02
2017-05-20,76,38.0,,0.38,28.88
2017-05-21,76,38.0,,0.38,28.88
2017-05-22,93,38.0,,0.38,35.34
2017-05-23,75,38.0,,0.38,28.5
2017-05-24,98,38.0,,0.38,37.24
2017-05-25,82,38.0,,0.38,31.16
2017-05-26,77,38.0,,0.38,29.26
2017-05-27,69,38.0,,0.38,26.22
2017-05-28,64,38.0,,0.38,24.32
2017-05-29,74,38.0,,0.38,28.12
2017-05-30,87,38.0,,0.38,33.06
2017-05-31,90,38.0,,0.38,34.2
2017-06-01,63,39.0,False,0.39,24.57
2017-06-02,72,39.0,,0.39,28.080000000000002
2017-06-03,57,39.0,,0.39,22.23
2017-06-04,55,39.0,,0.39,21.45
2017-06-05,65,39.0,,0.39,25.35
2017-06-06,64,39.0,,0.39,24.96
2017-06-07,60,39.0,,0.39,23.400000000000002
2017-06-08,67,39.0,,0.39,26.130000000000003
2017-06-09,68,39.0,,0.39,26.52
2017-06-10,63,39.0,,0.39,24.57
2017-06-11,78,39.0,,0.39,30.42
2017-06-12,65,39.0,,0.39,25.35
2017-06-13,66,39.0,,0.39,25.740000000000002
2017-06-14,68,39.0,,0.39,26.52
2017-06-15,63,39.0,,0.39,24.57
2017-06-16,65,39.0,,0.39,25.35
2017-06-17,49,39.0,,0.39,19.11
2017-06-18,64,39.0,,0.39,24.96
2017-06-19,62,39.0,,0.39,24.18
2017-06-20,64,39.0,,0.39,24.96
2017-06-21,61,39.0,,0.39,23.79
2017-06-22,68,39.0,,0.39,26.52
2017-06-23,72,39.0,,0.39,28.080000000000002
2017-06-24,52,39.0,,0.39,20.28
2017-06-25,61,39.0,,0.39,23.79
2017-06-26,74,39.0,,0.39,28.86
2017-06-27,69,39.0,,0.39,26.91
2017-06-28,77,39.0,,0.39,30.03
2017-06-29,100,39.0,,0.39,39.0
2017-06-30,91,39.0,,0.39,35.49
2017-07-01,80,38.0,False,0.38,30.4
2017-07-02,70,38.0,,0.38,26.6
2017-07-03,93,38.0,,0.38,35.34
2017-07-04,77,38.0,,0.38,29.26
2017-07-05,96,38.0,,0.38,36.480000000000004
2017-07-06,100,38.0,,0.38,38.0
2017-07-07,84,38.0,,0.38,31.92
2017-07-08,74,38.0,,0.38,28.12
2017-07-09,81,38.0,,0.38,30.78
2017-07-10,81,38.0,,0.38,30.78
2017-07-11,87,38.0,,0.38,33.06
2017-07-12,98,38.0,,0.38,37.24
2017-07-13,84,38.0,,0.38,31.92
2017-07-14,91,38.0,,0.38,34.58
2017-07-15,87,38.0,,0.38,33.06
2017-07-16,74,38.0,,0.38,28.12
2017-07-17,95,38.0,,0.38,36.1
2017-07-18,88,38.0,,0.38,33.44
2017-07-19,90,38.0,,0.38,34.2
2017-07-20,92,38.0,,0.38,34.96
2017-07-21,86,38.0,,0.38,32.68
2017-07-22,80,38.0,,0.38,30.4
2017-07-23,70,38.0,,0.38,26.6
2017-07-24,87,38.0,,0.38,33.06
2017-07-25,100,38.0,,0.38,38.0
2017-07-26,97,38.0,,0.38,36.86
2017-07-27,96,38.0,,0.38,36.480000000000004
2017-07-28,91,38.0,,0.38,34.58
2017-07-29,67,38.0,,0.38,25.46
2017-07-30,72,38.0,,0.38,27.36
2017-07-31,92,38.0,,0.38,34.96
2017-08-01,80,41.0,False,0.41,32.8
2017-08-02,81,41.0,,0.41,33.21
2017-08-03,84,41.0,,0.41,34.44
2017-08-04,81,41.0,,0.41,33.21
2017-08-05,61,41.0,,0.41,25.009999999999998
2017-08-06,70,41.0,,0.41,28.7
2017-08-07,91,41.0,,0.41,37.309999999999995
2017-08-08,85,41.0,,0.41,34.85
2017-08-09,83,41.0,,0.41,34.03
2017-08-10,84,41.0,,0.41,34.44
2017-08-11,87,41.0,,0.41,35.669999999999995
2017-08-12,77,41.0,,0.41,31.569999999999997
2017-08-13,76,41.0,,0.41,31.159999999999997
2017-08-14,91,41.0,,0.41,37.309999999999995
2017-08-15,89,41.0,,0.41,36.489999999999995
2017-08-16,92,41.0,,0.41,37.72
2017-08-17,85,41.0,,0.41,34.85
2017-08-18,83,41.0,,0.41,34.03
2017-08-19,86,41.0,,0.41,35.26
2017-08-20,83,41.0,,0.41,34.03
2017-08-21,87,41.0,,0.41,35.669999999999995
2017-08-22,87,41.0,,0.41,35.669999999999995
2017-08-23,100,41.0,,0.41,41.0
2017-08-24,89,41.0,,0.41,36.489999999999995
2017-08-25,85,41.0,,0.41,34.85
2017-08-26,71,41.0,,0.41,29.11
2017-08-27,69,41.0,,0.41,28.29
2017-08-28,98,41.0,,0.41,40.18
2017-08-29,83,41.0,,0.41,34.03
2017-08-30,82,41.0,,0.41,33.62
2017-08-31,89,41.0,,0.41,36.489999999999995
2017-09-01,72,44.0,False,0.44,31.68
2017-09-02,70,44.0,,0.44,30.8
2017-09-03,61,44.0,,0.44,26.84
2017-09-04,64,44.0,,0.44,28.16
2017-09-05,71,44.0,,0.44,31.24
2017-09-06,64,44.0,,0.44,28.16
2017-09-07,67,44.0,,0.44,29.48
2017-09-08,62,44.0,,0.44,27.28
2017-09-09,63,44.0,,0.44,27.72
2017-09-10,70,44.0,,0.44,30.8
2017-09-11,72,44.0,,0.44,31.68
2017-09-12,76,44.0,,0.44,33.44
2017-09-13,77,44.0,,0.44,33.88
2017-09-14,78,44.0,,0.44,34.32
2017-09-15,67,44.0,,0.44,29.48
2017-09-16,75,44.0,,0.44,33.0
2017-09-17,68,44.0,,0.44,29.92
2017-09-18,70,44.0,,0.44,30.8
2017-09-19,75,44.0,,0.44,33.0
2017-09-20,70,44.0,,0.44,30.8
2017-09-21,79,44.0,,0.44,34.76
2017-09-22,71,44.0,,0.44,31.24
2017-09-23,70,44.0,,0.44,30.8
2017-09-24,74,44.0,,0.44,32.56
2017-09-25,71,44.0,,0.44,31.24
2017-09-26,92,44.0,,0.44,40.48
2017-09-27,100,44.0,,0.44,44.0
2017-09-28,77,44.0,,0.44,33.88
2017-09-29,78,44.0,,0.44,34.32
2017-09-30,69,44.0,,0.44,30.36
2017-10-01,35,52.0,False,0.52,18.2
2017-10-02,45,52.0,,0.52,23.400000000000002
2017-10-03,48,52.0,,0.52,24.96
2017-10-04,48,52.0,,0.52,24.96
2017-10-05,44,52.0,,0.52,22.880000000000003
2017-10-06,43,52.0,,0.52,22.36
2017-10-07,36,52.0,,0.52,18.72
2017-10-08,42,52.0,,0.52,21.84
2017-10-09,43,52.0,,0.52,22.36
2017-10-10,47,52.0,,0.52,24.44
2017-10-11,51,52.0,,0.52,26.52
2017-10-12,48,52.0,,0.52,24.96
2017-10-13,50,52.0,,0.52,26.0
2017-10-14,48,52.0,,0.52,24.96
2017-10-15,42,52.0,,0.52,21.84
2017-10-16,49,52.0,,0.52,25.48
2017-10-17,53,52.0,,0.52,27.560000000000002
2017-10-18,54,52.0,,0.52,28.080000000000002
2017-10-19,47,52.0,,0.52,24.44
2017-10-20,51,52.0,,0.52,26.52
2017-10-21,46,52.0,,0.52,23.92
2017-10-22,100,52.0,,0.52,52.0
2017-10-23,60,52.0,,0.52,31.200000000000003
2017-10-24,50,52.0,,0.52,26.0
2017-10-25,42,52.0,,0.52,21.84
2017-10-26,42,52.0,,0.52,21.84
2017-10-27,43,52.0,,0.52,22.36
2017-10-28,36,52.0,,0.52,18.72
2017-10-29,40,52.0,,0.52,20.8
2017-10-30,43,52.0,,0.52,22.36
2017-10-31,49,52.0,,0.52,25.48
2017-11-01,93,50.0,False,0.5,46.5
2017-11-02,80,50.0,,0.5,40.0
2017-11-03,78,50.0,,0.5,39.0
2017-11-04,81,50.0,,0.5,40.5
2017-11-05,71,50.0,,0.5,35.5
2017-11-06,84,50.0,,0.5,42.0
2017-11-07,86,50.0,,0.5,43.0
2017-11-08,81,50.0,,0.5,40.5
2017-11-09,90,50.0,,0.5,45.0
2017-11-10,91,50.0,,0.5,45.5
2017-11-11,91,50.0,,0.5,45.5
2017-11-12,81,50.0,,0.5,40.5
2017-11-13,84,50.0,,0.5,42.0
2017-11-14,78,50.0,,0.5,39.0
2017-11-15,84,50.0,,0.5,42.0
2017-11-16,80,50.0,,0.5,40.0
2017-11-17,86,50.0,,0.5,43.0
2017-11-18,65,50.0,,0.5,32.5
2017-11-19,72,50.0,,0.5,36.0
2017-11-20,79,50.0,,0.5,39.5
2017-11-21,96,50.0,,0.5,48.0
2017-11-22,76,50.0,,0.5,38.0
2017-11-23,70,50.0,,0.5,35.0
2017-11-24,94,50.0,,0.5,47.0
2017-11-25,78,50.0,,0.5,39.0
2017-11-26,69,50.0,,0.5,34.5
2017-11-27,88,50.0,,0.5,44.0
2017-11-28,84,50.0,,0.5,42.0
2017-11-29,91,50.0,,0.5,45.5
2017-11-30,100,50.0,,0.5,50.0
2017-12-01,78,48.0,False,0.48,37.44
2017-12-02,62,48.0,,0.48,29.759999999999998
2017-12-03,57,48.0,,0.48,27.36
2017-12-04,77,48.0,,0.48,36.96
2017-12-05,83,48.0,,0.48,39.839999999999996
2017-12-06,70,48.0,,0.48,33.6
2017-12-07,73,48.0,,0.48,35.04
2017-12-08,67,48.0,,0.48,32.16
2017-12-09,52,48.0,,0.48,24.96
2017-12-10,58,48.0,,0.48,27.84
2017-12-11,63,48.0,,0.48,30.24
2017-12-12,72,48.0,,0.48,34.56
2017-12-13,65,48.0,,0.48,31.2
2017-12-14,65,48.0,,0.48,31.2
2017-12-15,59,48.0,,0.48,28.32
2017-12-16,55,48.0,,0.48,26.4
2017-12-17,51,48.0,,0.48,24.48
2017-12-18,65,48.0,,0.48,31.2
2017-12-19,98,48.0,,0.48,47.04
2017-12-20,100,48.0,,0.48,48.0
2017-12-21,71,48.0,,0.48,34.08
2017-12-22,67,48.0,,0.48,32.16
2017-12-23,49,48.0,,0.48,23.52
2017-12-24,55,48.0,,0.48,26.4
2017-12-25,42,48.0,,0.48,20.16
2017-12-26,67,48.0,,0.48,32.16
2017-12-27,66,48.0,,0.48,31.68
2017-12-28,66,48.0,,0.48,31.68
2017-12-29,59,48.0,,0.48,28.32
2017-12-30,52,48.0,,0.48,24.96
2017-12-31,46,48.0,,0.48,22.08
2018-01-01,58,47.0,False,0.47,27.259999999999998
2018-01-02,83,47.0,,0.47,39.01
