date,PT_unscaled,PT_monthly,isPartial,scale,PT
2016-09-02,86,80.0,,0.8,68.8
2016-09-03,78,80.0,,0.8,62.400000000000006
2016-09-04,72,80.0,,0.8,57.6
2016-09-05,77,80.0,,0.8,61.6
2016-09-06,95,80.0,,0.8,76.0
2016-09-07,97,80.0,,0.8,77.60000000000001
2016-09-08,96,80.0,,0.8,76.80000000000001
2016-09-09,100,80.0,,0.8,80.0
2016-09-10,83,80.0,,0.8,66.4
2016-09-11,72,80.0,,0.8,57.6
2016-09-12,93,80.0,,0.8,74.4
2016-09-13,96,80.0,,0.8,76.80000000000001
2016-09-14,100,80.0,,0.8,80.0
2016-09-15,92,80.0,,0.8,73.60000000000001
2016-09-16,87,80.0,,0.8,69.60000000000001
2016-09-17,74,80.0,,0.8,59.2
2016-09-18,76,80.0,,0.8,60.800000000000004
2016-09-19,89,80.0,,0.8,71.2
2016-09-20,94,80.0,,0.8,75.2
2016-09-21,92,80.0,,0.8,73.60000000000001
2016-09-22,93,80.0,,0.8,74.4
2016-09-23,84,80.0,,0.8,67.2
2016-09-24,80,80.0,,0.8,64.0
2016-09-25,71,80.0,,0.8,56.800000000000004
2016-09-26,90,80.0,,0.8,72.0
2016-09-27,90,80.0,,0.8,72.0
2016-09-28,97,80.0,,0.8,77.60000000000001
2016-09-29,88,80.0,,0.8,70.4
2016-09-30,94,80.0,,0.8,75.2
2016-10-01,75,80.0,False,0.8,60.0
2016-10-02,69,80.0,,0.8,55.2
2016-10-03,89,80.0,,0.8,71.2
2016-10-04,94,80.0,,0.8,75.2
2016-10-05,86,80.0,,0.8,68.8
2016-10-06,91,80.0,,0.8,72.8
2016-10-07,84,80.0,,0.8,67.2
2016-10-08,64,80.0,,0.8,51.2
2016-10-09,65,80.0,,0.8,52.0
2016-10-10,88,80.0,,0.8,70.4
2016-10-11,89,80.0,,0.8,71.2
2016-10-12,89,80.0,,0.8,71.2
2016-10-13,93,80.0,,0.8,74.4
2016-10-14,96,80.0,,0.8,76.80000000000001
2016-10-15,79,80.0,,0.8,63.2
2016-10-16,82,80.0,,0.8,65.60000000000001
2016-10-17,95,80.0,,0.8,76.0
2016-10-18,96,80.0,,0.8,76.80000000000001
2016-10-19,94,80.0,,0.8,75.2
2016-10-20,100,80.0,,0.8,80.0
2016-10-21,86,80.0,,0.8,68.8
2016-10-22,77,80.0,,0.8,61.6
2016-10-23,77,80.0,,0.8,61.6
2016-10-24,94,80.0,,0.8,75.2
2016-10-25,92,80.0,,0.8,73.60000000000001
2016-10-26,92,80.0,,0.8,73.60000000000001
2016-10-27,99,80.0,,0.8,79.2
2016-10-28,77,80.0,,0.8,61.6
2016-10-29,73,80.0,,0.8,58.400000000000006
2016-10-30,64,80.0,,0.8,51.2
2016-10-31,85,80.0,,0.8,68.0
2016-11-01,82,77.0,False,0.77,63.14
2016-11-02,100,77.0,,0.77,77.0
2016-11-03,73,77.0,,0.77,56.21
2016-11-04,87,77.0,,0.77,66.99
2016-11-05,68,77.0,,0.77,52.36
2016-11-06,66,77.0,,0.77,50.82
2016-11-07,82,77.0,,0.77,63.14
2016-11-08,78,77.0,,0.77,60.06
2016-11-09,64,77.0,,0.77,49.28
2016-11-10,89,77.0,,0.77,68.53
2016-11-11,84,77.0,,0.77,64.68
2016-11-12,60,77.0,,0.77,46.2
2016-11-13,57,77.0,,0.77,43.89
2016-11-14,83,77.0,,0.77,63.910000000000004
2016-11-15,86,77.0,,0.77,66.22
2016-11-16,85,77.0,,0.77,65.45
2016-11-17,81,77.0,,0.77,62.370000000000005
2016-11-18,81,77.0,,0.77,62.370000000000005
2016-11-19,59,77.0,,0.77,45.43
2016-11-20,63,77.0,,0.77,48.51
2016-11-21,87,77.0,,0.77,66.99
2016-11-22,87,77.0,,0.77,66.99
2016-11-23,79,77.0,,0.77,60.83
2016-11-24,61,77.0,,0.77,46.97
2016-11-25,64,77.0,,0.77,49.28
2016-11-26,62,77.0,,0.77,47.74
2016-11-27,58,77.0,,0.77,44.660000000000004
2016-11-28,76,77.0,,0.77,58.52
2016-11-29,81,77.0,,0.77,62.370000000000005
2016-11-30,84,77.0,,0.77,64.68
2016-12-01,84,73.0,False,0.73,61.32
2016-12-02,86,73.0,,0.73,62.78
2016-12-03,85,73.0,,0.73,62.05
2016-12-04,72,73.0,,0.73,52.56
2016-12-05,86,73.0,,0.73,62.78
2016-12-06,87,73.0,,0.73,63.51
2016-12-07,93,73.0,,0.73,67.89
2016-12-08,88,73.0,,0.73,64.24
2016-12-09,100,73.0,,0.73,73.0
2016-12-10,89,73.0,,0.73,64.97
2016-12-11,81,73.0,,0.73,59.129999999999995
2016-12-12,91,73.0,,0.73,66.42999999999999
2016-12-13,98,73.0,,0.73,71.53999999999999
2016-12-14,87,73.0,,0.73,63.51
2016-12-15,79,73.0,,0.73,57.67
2016-12-16,84,73.0,,0.73,61.32
2016-12-17,65,73.0,,0.73,47.449999999999996
2016-12-18,65,73.0,,0.73,47.449999999999996
2016-12-19,76,73.0,,0.73,55.48
2016-12-20,80,73.0,,0.73,58.4
2016-12-21,79,73.0,,0.73,57.67
2016-12-22,80,73.0,,0.73,58.4
2016-12-23,64,73.0,,0.73,46.72
2016-12-24,58,73.0,,0.73,42.339999999999996
2016-12-25,54,73.0,,0.73,39.42
2016-12-26,62,73.0,,0.73,45.26
2016-12-27,77,73.0,,0.73,56.21
2016-12-28,80,73.0,,0.73,58.4
2016-12-29,74,73.0,,0.73,54.019999999999996
2016-12-30,79,73.0,,0.73,57.67
2016-12-31,64,73.0,,0.73,46.72
2017-01-01,59,79.0,False,0.79,46.61
2017-01-02,68,79.0,,0.79,53.72
2017-01-03,92,79.0,,0.79,72.68
2017-01-04,83,79.0,,0.79,65.57000000000001
2017-01-05,95,79.0,,0.79,75.05
2017-01-06,80,79.0,,0.79,63.2
2017-01-07,68,79.0,,0.79,53.72
2017-01-08,72,79.0,,0.79,56.88
2017-01-09,83,79.0,,0.79,65.57000000000001
2017-01-10,87,79.0,,0.79,68.73
2017-01-11,93,79.0,,0.79,73.47
2017-01-12,91,79.0,,0.79,71.89
2017-01-13,87,79.0,,0.79,68.73
2017-01-14,77,79.0,,0.79,60.830000000000005
2017-01-15,64,79.0,,0.79,50.56
2017-01-16,84,79.0,,0.79,66.36
2017-01-17,87,79.0,,0.79,68.73
2017-01-18,94,79.0,,0.79,74.26
2017-01-19,86,79.0,,0.79,67.94
2017-01-20,87,79.0,,0.79,68.73
2017-01-21,66,79.0,,0.79,52.14
2017-01-22,72,79.0,,0.79,56.88
2017-01-23,83,79.0,,0.79,65.57000000000001
2017-01-24,92,79.0,,0.79,72.68
2017-01-25,99,79.0,,0.79,78.21000000000001
2017-01-26,100,79.0,,0.79,79.0
2017-01-27,90,79.0,,0.79,71.10000000000001
2017-01-28,76,79.0,,0.79,60.040000000000006
2017-01-29,74,79.0,,0.79,58.46
2017-01-30,100,79.0,,0.79,79.0
2017-01-31,95,79.0,,0.79,75.05
2017-02-01,92,81.0,False,0.81,74.52000000000001
2017-02-02,90,81.0,,0.81,72.9
2017-02-03,86,81.0,,0.81,69.66000000000001
2017-02-04,77,81.0,,0.81,62.370000000000005
2017-02-05,75,81.0,,0.81,60.75000000000001
2017-02-06,90,81.0,,0.81,72.9
2017-02-07,100,81.0,,0.81,81.0
2017-02-08,90,81.0,,0.81,72.9
2017-02-09,89,81.0,,0.81,72.09
2017-02-10,89,81.0,,0.81,72.09
2017-02-11,78,81.0,,0.81,63.18000000000001
2017-02-12,85,81.0,,0.81,68.85000000000001
2017-02-13,92,81.0,,0.81,74.52000000000001
2017-02-14,89,81.0,,0.81,72.09
2017-02-15,92,81.0,,0.81,74.52000000000001
2017-02-16,95,81.0,,0.81,76.95
2017-02-17,87,81.0,,0.81,70.47
2017-02-18,80,81.0,,0.81,64.80000000000001
2017-02-19,90,81.0,,0.81,72.9
2017-02-20,93,81.0,,0.81,75.33
2017-02-21,89,81.0,,0.81,72.09
2017-02-22,96,81.0,,0.81,77.76
2017-02-23,94,81.0,,0.81,76.14
2017-02-24,91,81.0,,0.81,73.71000000000001
2017-02-25,84,81.0,,0.81,68.04
2017-02-26,74,81.0,,0.81,59.940000000000005
2017-02-27,93,81.0,,0.81,75.33
2017-02-28,96,81.0,,0.81,77.76
2017-03-01,74,83.0,False,0.83,61.419999999999995
2017-03-02,77,83.0,,0.83,63.91
2017-03-03,72,83.0,,0.83,59.76
2017-03-04,72,83.0,,0.83,59.76
2017-03-05,60,83.0,,0.83,49.8
2017-03-06,74,83.0,,0.83,61.419999999999995
2017-03-07,74,83.0,,0.83,61.419999999999995
2017-03-08,79,83.0,,0.83,65.57
2017-03-09,73,83.0,,0.83,60.589999999999996
2017-03-10,72,83.0,,0.83,59.76
2017-03-11,64,83.0,,0.83,53.12
2017-03-12,63,83.0,,0.83,52.29
2017-03-13,79,83.0,,0.83,65.57
2017-03-14,70,83.0,,0.83,58.099999999999994
2017-03-15,72,83.0,,0.83,59.76
2017-03-16,78,83.0,,0.83,64.74
2017-03-17,69,83.0,,0.83,57.269999999999996
2017-03-18,61,83.0,,0.83,50.629999999999995
2017-03-19,58,83.0,,0.83,48.14
2017-03-20,69,83.0,,0.83,57.269999999999996
2017-03-21,77,83.0,,0.83,63.91
2017-03-22,75,83.0,,0.83,62.25
2017-03-23,73,83.0,,0.83,60.589999999999996
2017-03-24,100,83.0,,0.83,83.0
2017-03-25,76,83.0,,0.83,63.08
2017-03-26,62,83.0,,0.83,51.46
2017-03-27,78,83.0,,0.83,64.74
2017-03-28,85,83.0,,0.83,70.55
2017-03-29,79,83.0,,0.83,65.57
2017-03-30,85,83.0,,0.83,70.55
2017-03-31,74,83.0,,0.83,61.419999999999995
2017-04-01,84,80.0,False,0.8,67.2
2017-04-02,82,80.0,,0.8,65.60000000000001
2017-04-03,90,80.0,,0.8,72.0
2017-04-04,91,80.0,,0.8,72.8
2017-04-05,99,80.0,,0.8,79.2
2017-04-06,100,80.0,,0.8,80.0
2017-04-07,91,80.0,,0.8,72.8
2017-04-08,71,80.0,,0.8,56.800000000000004
2017-04-09,79,80.0,,0.8,63.2
2017-04-10,93,80.0,,0.8,74.4
2017-04-11,89,80.0,,0.8,71.2
2017-04-12,98,80.0,,0.8,78.4
2017-04-13,88,80.0,,0.8,70.4
2017-04-14,84,80.0,,0.8,67.2
2017-04-15,68,80.0,,0.8,54.400000000000006
2017-04-16,68,80.0,,0.8,54.400000000000006
2017-04-17,87,80.0,,0.8,69.60000000000001
2017-04-18,90,80.0,,0.8,72.0
2017-04-19,92,80.0,,0.8,73.60000000000001
2017-04-20,88,80.0,,0.8,70.4
2017-04-21,94,80.0,,0.8,75.2
2017-04-22,74,80.0,,0.8,59.2
2017-04-23,79,80.0,,0.8,63.2
2017-04-24,99,80.0,,0.8,79.2
2017-04-25,100,80.0,,0.8,80.0
2017-04-26,94,80.0,,0.8,75.2
2017-04-27,93,80.0,,0.8,74.4
2017-04-28,95,80.0,,0.8,76.0
2017-04-29,78,80.0,,0.8,62.400000000000006
2017-04-30,72,80.0,,0.8,57.6
2017-05-01,93,81.0,False,0.81,75.33
2017-05-02,99,81.0,,0.81,80.19000000000001
2017-05-03,96,81.0,,0.81,77.76
2017-05-04,99,81.0,,0.81,80.19000000000001
2017-05-05,85,81.0,,0.81,68.85000000000001
2017-05-06,82,81.0,,0.81,66.42
2017-05-07,86,81.0,,0.81,69.66000000000001
2017-05-08,89,81.0,,0.81,72.09
2017-05-09,98,81.0,,0.81,79.38000000000001
2017-05-10,88,81.0,,0.81,71.28
2017-05-11,90,81.0,,0.81,72.9
2017-05-12,90,81.0,,0.81,72.9
2017-05-13,84,81.0,,0.81,68.04
2017-05-14,68,81.0,,0.81,55.080000000000005
2017-05-15,90,81.0,,0.81,72.9
2017-05-16,100,81.0,,0.81,81.0
2017-05-17,87,81.0,,0.81,70.47
2017-05-18,92,81.0,,0.81,74.52000000000001
2017-05-19,81,81.0,,0.81,65.61
2017-05-20,80,81.0,,0.81,64.80000000000001
2017-05-21,80,81.0,,0.81,64.80000000000001
2017-05-22,96,81.0,,0.81,77.76
2017-05-23,94,81.0,,0.81,76.14
2017-05-24,89,81.0,,0.81,72.09
2017-05-25,87,81.0,,0.81,70.47
2017-05-26,95,81.0,,0.81,76.95
2017-05-27,82,81.0,,0.81,66.42
2017-05-28,76,81.0,,0.81,61.56
2017-05-29,78,81.0,,0.81,63.18000000000001
2017-05-30,99,81.0,,0.81,80.19000000000001
2017-05-31,94,81.0,,0.81,76.14
2017-06-01,82,82.0,False,0.82,67.24
2017-06-02,85,82.0,,0.82,69.7
2017-06-03,70,82.0,,0.82,57.4
2017-06-04,70,82.0,,0.82,57.4
2017-06-05,87,82.0,,0.82,71.33999999999999
2017-06-06,90,82.0,,0.82,73.8
2017-06-07,82,82.0,,0.82,67.24
2017-06-08,88,82.0,,0.82,72.16
2017-06-09,79,82.0,,0.82,64.78
2017-06-10,70,82.0,,0.82,57.4
2017-06-11,82,82.0,,0.82,67.24
2017-06-12,100,82.0,,0.82,82.0
2017-06-13,89,82.0,,0.82,72.97999999999999
2017-06-14,85,82.0,,0.82,69.7
2017-06-15,91,82.0,,0.82,74.61999999999999
2017-06-16,77,82.0,,0.82,63.13999999999999
2017-06-17,68,82.0,,0.82,55.76
2017-06-18,62,82.0,,0.82,50.839999999999996
2017-06-19,81,82.0,,0.82,66.42
2017-06-20,89,82.0,,0.82,72.97999999999999
2017-06-21,83,82.0,,0.82,68.06
2017-06-22,84,82.0,,0.82,68.88
2017-06-23,74,82.0,,0.82,60.68
2017-06-24,67,82.0,,0.82,54.94
2017-06-25,72,82.0,,0.82,59.04
2017-06-26,85,82.0,,0.82,69.7
2017-06-27,81,82.0,,0.82,66.42
2017-06-28,87,82.0,,0.82,71.33999999999999
2017-06-29,95,82.0,,0.82,77.89999999999999
2017-06-30,85,82.0,,0.82,69.7
2017-07-01,74,82.0,False,0.82,60.68
2017-07-02,68,82.0,,0.82,55.76
2017-07-03,84,82.0,,0.82,68.88
2017-07-04,70,82.0,,0.82,57.4
2017-07-05,94,82.0,,0.82,77.08
2017-07-06,89,82.0,,0.82,72.97999999999999
2017-07-07,89,82.0,,0.82,72.97999999999999
2017-07-08,83,82.0,,0.82,68.06
2017-07-09,83,82.0,,0.82,68.06
2017-07-10,97,82.0,,0.82,79.53999999999999
2017-07-11,95,82.0,,0.82,77.89999999999999
2017-07-12,100,82.0,,0.82,82.0
2017-07-13,95,82.0,,0.82,77.89999999999999
2017-07-14,90,82.0,,0.82,73.8
2017-07-15,99,82.0,,0.82,81.17999999999999
2017-07-16,82,82.0,,0.82,67.24
2017-07-17,91,82.0,,0.82,74.61999999999999
2017-07-18,98,82.0,,0.82,80.36
2017-07-19,95,82.0,,0.82,77.89999999999999
2017-07-20,93,82.0,,0.82,76.25999999999999
2017-07-21,92,82.0,,0.82,75.44
2017-07-22,77,82.0,,0.82,63.13999999999999
2017-07-23,86,82.0,,0.82,70.52
2017-07-24,92,82.0,,0.82,75.44
2017-07-25,89,82.0,,0.82,72.97999999999999
2017-07-26,93,82.0,,0.82,76.25999999999999
2017-07-27,97,82.0,,0.82,79.53999999999999
2017-07-28,92,82.0,,0.82,75.44
2017-07-29,76,82.0,,0.82,62.31999999999999
2017-07-30,73,82.0,,0.82,59.86
2017-07-31,93,82.0,,0.82,76.25999999999999
2017-08-01,98,81.0,False,0.81,79.38000000000001
2017-08-02,91,81.0,,0.81,73.71000000000001
2017-08-03,93,81.0,,0.81,75.33
2017-08-04,91,81.0,,0.81,73.71000000000001
2017-08-05,83,81.0,,0.81,67.23
2017-08-06,82,81.0,,0.81,66.42
2017-08-07,97,81.0,,0.81,78.57000000000001
2017-08-08,96,81.0,,0.81,77.76
2017-08-09,88,81.0,,0.81,71.28
2017-08-10,93,81.0,,0.81,75.33
2017-08-11,93,81.0,,0.81,75.33
2017-08-12,69,81.0,,0.81,55.89
2017-08-13,80,81.0,,0.81,64.80000000000001
2017-08-14,98,81.0,,0.81,79.38000000000001
2017-08-15,94,81.0,,0.81,76.14
2017-08-16,95,81.0,,0.81,76.95
2017-08-17,95,81.0,,0.81,76.95
2017-08-18,86,81.0,,0.81,69.66000000000001
2017-08-19,82,81.0,,0.81,66.42
2017-08-20,76,81.0,,0.81,61.56
2017-08-21,94,81.0,,0.81,76.14
2017-08-22,100,81.0,,0.81,81.0
2017-08-23,98,81.0,,0.81,79.38000000000001
2017-08-24,92,81.0,,0.81,74.52000000000001
2017-08-25,91,81.0,,0.81,73.71000000000001
2017-08-26,79,81.0,,0.81,63.99
2017-08-27,68,81.0,,0.81,55.080000000000005
2017-08-28,96,81.0,,0.81,77.76
2017-08-29,94,81.0,,0.81,76.14
2017-08-30,99,81.0,,0.81,80.19000000000001
2017-08-31,93,81.0,,0.81,75.33
2017-09-01,77,78.0,False,0.78,60.06
2017-09-02,61,78.0,,0.78,47.58
2017-09-03,60,78.0,,0.78,46.800000000000004
2017-09-04,61,78.0,,0.78,47.58
2017-09-05,77,78.0,,0.78,60.06
2017-09-06,81,78.0,,0.78,63.18
2017-09-07,83,78.0,,0.78,64.74000000000001
2017-09-08,78,78.0,,0.78,60.84
2017-09-09,61,78.0,,0.78,47.58
2017-09-10,57,78.0,,0.78,44.46
2017-09-11,82,78.0,,0.78,63.96
2017-09-12,100,78.0,,0.78,78.0
2017-09-13,85,78.0,,0.78,66.3
2017-09-14,85,78.0,,0.78,66.3
2017-09-15,82,78.0,,0.78,63.96
2017-09-16,68,78.0,,0.78,53.04
2017-09-17,62,78.0,,0.78,48.36
2017-09-18,81,78.0,,0.78,63.18
2017-09-19,88,78.0,,0.78,68.64
2017-09-20,76,78.0,,0.78,59.28
2017-09-21,76,78.0,,0.78,59.28
2017-09-22,80,78.0,,0.78,62.400000000000006
2017-09-23,60,78.0,,0.78,46.800000000000004
2017-09-24,63,78.0,,0.78,49.14
2017-09-25,84,78.0,,0.78,65.52
2017-09-26,85,78.0,,0.78,66.3
2017-09-27,86,78.0,,0.78,67.08
2017-09-28,85,78.0,,0.78,66.3
2017-09-29,78,78.0,,0.78,60.84
2017-09-30,66,78.0,,0.78,51.480000000000004
2017-10-01,66,82.0,False,0.82,54.12
2017-10-02,91,82.0,,0.82,74.61999999999999
2017-10-03,92,82.0,,0.82,75.44
2017-10-04,93,82.0,,0.82,76.25999999999999
2017-10-05,93,82.0,,0.82,76.25999999999999
2017-10-06,86,82.0,,0.82,70.52
2017-10-07,78,82.0,,0.82,63.959999999999994
2017-10-08,70,82.0,,0.82,57.4
2017-10-09,85,82.0,,0.82,69.7
2017-10-10,94,82.0,,0.82,77.08
2017-10-11,88,82.0,,0.82,72.16
2017-10-12,85,82.0,,0.82,69.7
2017-10-13,92,82.0,,0.82,75.44
2017-10-14,75,82.0,,0.82,61.49999999999999
2017-10-15,77,82.0,,0.82,63.13999999999999
2017-10-16,93,82.0,,0.82,76.25999999999999
2017-10-17,100,82.0,,0.82,82.0
2017-10-18,98,82.0,,0.82,80.36
2017-10-19,92,82.0,,0.82,75.44
2017-10-20,86,82.0,,0.82,70.52
2017-10-21,80,82.0,,0.82,65.6
2017-10-22,73,82.0,,0.82,59.86
2017-10-23,88,82.0,,0.82,72.16
2017-10-24,93,82.0,,0.82,76.25999999999999
2017-10-25,96,82.0,,0.82,78.72
2017-10-26,85,82.0,,0.82,69.7
2017-10-27,95,82.0,,0.82,77.89999999999999
2017-10-28,71,82.0,,0.82,58.22
2017-10-29,62,82.0,,0.82,50.839999999999996
2017-10-30,84,82.0,,0.82,68.88
2017-10-31,91,82.0,,0.82,74.61999999999999
2017-11-01,93,77.0,False,0.77,71.61
2017-11-02,91,77.0,,0.77,70.07000000000001
2017-11-03,87,77.0,,0.77,66.99
2017-11-04,82,77.0,,0.77,63.14
2017-11-05,77,77.0,,0.77,59.29
2017-11-06,96,77.0,,0.77,73.92
2017-11-07,92,77.0,,0.77,70.84
2017-11-08,91,77.0,,0.77,70.07000000000001
2017-11-09,89,77.0,,0.77,68.53
2017-11-10,86,77.0,,0.77,66.22
2017-11-11,76,77.0,,0.77,58.52
2017-11-12,66,77.0,,0.77,50.82
2017-11-13,93,77.0,,0.77,71.61
2017-11-14,98,77.0,,0.77,75.46000000000001
2017-11-15,100,77.0,,0.77,77.0
2017-11-16,90,77.0,,0.77,69.3
2017-11-17,86,77.0,,0.77,66.22
2017-11-18,87,77.0,,0.77,66.99
2017-11-19,75,77.0,,0.77,57.75
2017-11-20,86,77.0,,0.77,66.22
2017-11-21,92,77.0,,0.77,70.84
2017-11-22,84,77.0,,0.77,64.68
2017-11-23,62,77.0,,0.77,47.74
2017-11-24,75,77.0,,0.77,57.75
2017-11-25,63,77.0,,0.77,48.51
2017-11-26,58,77.0,,0.77,44.660000000000004
2017-11-27,82,77.0,,0.77,63.14
2017-11-28,91,77.0,,0.77,70.07000000000001
2017-11-29,89,77.0,,0.77,68.53
2017-11-30,91,77.0,,0.77,70.07000000000001
2017-12-01,69,78.0,False,0.78,53.82
2017-12-02,63,78.0,,0.78,49.14
2017-12-03,50,78.0,,0.78,39.0
2017-12-04,70,78.0,,0.78,54.6
2017-12-05,72,78.0,,0.78,56.160000000000004
2017-12-06,69,78.0,,0.78,53.82
2017-12-07,69,78.0,,0.78,53.82
2017-12-08,66,78.0,,0.78,51.480000000000004
2017-12-09,60,78.0,,0.78,46.800000000000004
2017-12-10,54,78.0,,0.78,42.120000000000005
2017-12-11,66,78.0,,0.78,51.480000000000004
2017-12-12,71,78.0,,0.78,55.38
2017-12-13,67,78.0,,0.78,52.260000000000005
2017-12-14,66,78.0,,0.78,51.480000000000004
2017-12-15,60,78.0,,0.78,46.800000000000004
2017-12-16,53,78.0,,0.78,41.34
2017-12-17,55,78.0,,0.78,42.9
2017-12-18,65,78.0,,0.78,50.7
2017-12-19,66,78.0,,0.78,51.480000000000004
2017-12-20,67,78.0,,0.78,52.260000000000005
2017-12-21,74,78.0,,0.78,57.72
2017-12-22,71,78.0,,0.78,55.38
