date,AI_unscaled,AI_monthly,isPartial,scale,AI
2016-08-21,63,40.0,,0.4,25.200000000000003
2016-08-22,78,40.0,,0.4,31.200000000000003
2016-08-23,70,40.0,,0.4,28.0
2016-08-24,88,40.0,,0.4,35.2
2016-08-25,81,40.0,,0.4,32.4
2016-08-26,74,40.0,,0.4,29.6
2016-08-27,79,40.0,,0.4,31.6
2016-08-28,82,40.0,,0.4,32.800000000000004
2016-08-29,82,40.0,,0.4,32.800000000000004
2016-08-30,81,40.0,,0.4,32.4
2016-08-31,81,40.0,,0.4,32.4
2016-09-01,85,45.0,False,0.45,38.25
2016-09-02,78,45.0,,0.45,35.1
2016-09-03,71,45.0,,0.45,31.95
2016-09-04,83,45.0,,0.45,37.35
2016-09-05,83,45.0,,0.45,37.35
2016-09-06,84,45.0,,0.45,37.800000000000004
2016-09-07,86,45.0,,0.45,38.7
2016-09-08,89,45.0,,0.45,40.050000000000004
2016-09-09,86,45.0,,0.45,38.7
2016-09-10,95,45.0,,0.45,42.75
2016-09-11,84,45.0,,0.45,37.800000000000004
2016-09-12,88,45.0,,0.45,39.6
2016-09-13,93,45.0,,0.45,41.85
2016-09-14,96,45.0,,0.45,43.2
2016-09-15,86,45.0,,0.45,38.7
2016-09-16,92,45.0,,0.45,41.4
2016-09-17,86,45.0,,0.45,38.7
2016-09-18,80,45.0,,0.45,36.0
2016-09-19,91,45.0,,0.45,40.95
2016-09-20,92,45.0,,0.45,41.4
2016-09-21,95,45.0,,0.45,42.75
2016-09-22,97,45.0,,0.45,43.65
2016-09-23,96,45.0,,0.45,43.2
2016-09-24,80,45.0,,0.45,36.0
2016-09-25,88,45.0,,0.45,39.6
2016-09-26,83,45.0,,0.45,37.35
2016-09-27,77,45.0,,0.45,34.65
2016-09-28,95,45.0,,0.45,42.75
2016-09-29,100,45.0,,0.45,45.0
2016-09-30,91,45.0,,0.45,40.95
2016-10-01,66,49.0,False,0.49,32.339999999999996
2016-10-02,68,49.0,,0.49,33.32
2016-10-03,68,49.0,,0.49,33.32
2016-10-04,72,49.0,,0.49,35.28
2016-10-05,83,49.0,,0.49,40.67
2016-10-06,82,49.0,,0.49,40.18
2016-10-07,74,49.0,,0.49,36.26
2016-10-08,73,49.0,,0.49,35.769999999999996
2016-10-09,78,49.0,,0.49,38.22
2016-10-10,87,49.0,,0.49,42.63
2016-10-11,85,49.0,,0.49,41.65
2016-10-12,87,49.0,,0.49,42.63
2016-10-13,79,49.0,,0.49,38.71
2016-10-14,79,49.0,,0.49,38.71
2016-10-15,75,49.0,,0.49,36.75
2016-10-16,66,49.0,,0.49,32.339999999999996
2016-10-17,97,49.0,,0.49,47.53
2016-10-18,92,49.0,,0.49,45.08
2016-10-19,80,49.0,,0.49,39.2
2016-10-20,82,49.0,,0.49,40.18
2016-10-21,87,49.0,,0.49,42.63
2016-10-22,74,49.0,,0.49,36.26
2016-10-23,77,49.0,,0.49,37.73
2016-10-24,81,49.0,,0.49,39.69
2016-10-25,93,49.0,,0.49,45.57
2016-10-26,91,49.0,,0.49,44.589999999999996
2016-10-27,81,49.0,,0.49,39.69
2016-10-28,100,49.0,,0.49,49.0
2016-10-29,89,49.0,,0.49,43.61
2016-10-30,88,49.0,,0.49,43.12
2016-10-31,83,49.0,,0.49,40.67
2016-11-01,79,51.0,False,0.51,40.29
2016-11-02,82,51.0,,0.51,41.82
2016-11-03,89,51.0,,0.51,45.39
2016-11-04,94,51.0,,0.51,47.94
2016-11-05,92,51.0,,0.51,46.92
2016-11-06,84,51.0,,0.51,42.84
2016-11-07,81,51.0,,0.51,41.31
2016-11-08,90,51.0,,0.51,45.9
2016-11-09,69,51.0,,0.51,35.19
2016-11-10,77,51.0,,0.51,39.27
2016-11-11,77,51.0,,0.51,39.27
2016-11-12,80,51.0,,0.51,40.8
2016-11-13,82,51.0,,0.51,41.82
2016-11-14,87,51.0,,0.51,44.37
2016-11-15,95,51.0,,0.51,48.45
2016-11-16,92,51.0,,0.51,46.92
2016-11-17,95,51.0,,0.51,48.45
2016-11-18,93,51.0,,0.51,47.43
2016-11-19,94,51.0,,0.51,47.94
2016-11-20,85,51.0,,0.51,43.35
2016-11-21,88,51.0,,0.51,44.88
2016-11-22,87,51.0,,0.51,44.37
2016-11-23,82,51.0,,0.51,41.82
2016-11-24,78,51.0,,0.51,39.78
2016-11-25,79,51.0,,0.51,40.29
2016-11-26,78,51.0,,0.51,39.78
2016-11-27,78,51.0,,0.51,39.78
2016-11-28,82,51.0,,0.51,41.82
2016-11-29,90,51.0,,0.51,45.9
2016-11-30,100,51.0,,0.51,51.0
2016-12-01,97,53.0,False,0.53,51.410000000000004
2016-12-02,90,53.0,,0.53,47.7
2016-12-03,93,53.0,,0.53,49.29
2016-12-04,98,53.0,,0.53,51.940000000000005
2016-12-05,96,53.0,,0.53,50.88
2016-12-06,97,53.0,,0.53,51.410000000000004
2016-12-07,90,53.0,,0.53,47.7
2016-12-08,84,53.0,,0.53,44.52
2016-12-09,91,53.0,,0.53,48.230000000000004
2016-12-10,85,53.0,,0.53,45.050000000000004
2016-12-11,94,53.0,,0.53,49.82
2016-12-12,94,53.0,,0.53,49.82
2016-12-13,91,53.0,,0.53,48.230000000000004
2016-12-14,97,53.0,,0.53,51.410000000000004
2016-12-15,91,53.0,,0.53,48.230000000000004
2016-12-16,92,53.0,,0.53,48.760000000000005
2016-12-17,87,53.0,,0.53,46.11
2016-12-18,90,53.0,,0.53,47.7
2016-12-19,100,53.0,,0.53,53.0
2016-12-20,100,53.0,,0.53,53.0
2016-12-21,100,53.0,,0.53,53.0
2016-12-22,99,53.0,,0.53,52.470000000000006
2016-12-23,96,53.0,,0.53,50.88
2016-12-24,93,53.0,,0.53,49.29
2016-12-25,96,53.0,,0.53,50.88
2016-12-26,92,53.0,,0.53,48.760000000000005
2016-12-27,87,53.0,,0.53,46.11
2016-12-28,85,53.0,,0.53,45.050000000000004
2016-12-29,84,53.0,,0.53,44.52
2016-12-30,84,53.0,,0.53,44.52
2016-12-31,82,53.0,,0.53,43.46
2017-01-01,76,52.0,False,0.52,39.52
2017-01-02,84,52.0,,0.52,43.68
2017-01-03,90,52.0,,0.52,46.800000000000004
2017-01-04,96,52.0,,0.52,49.92
2017-01-05,96,52.0,,0.52,49.92
2017-01-06,97,52.0,,0.52,50.440000000000005
2017-01-07,91,52.0,,0.52,47.32
2017-01-08,84,52.0,,0.52,43.68
2017-01-09,93,52.0,,0.52,48.36
2017-01-10,97,52.0,,0.52,50.440000000000005
2017-01-11,100,52.0,,0.52,52.0
2017-01-12,94,52.0,,0.52,48.88
2017-01-13,89,52.0,,0.52,46.28
2017-01-14,80,52.0,,0.52,41.6
2017-01-15,81,52.0,,0.52,42.120000000000005
2017-01-16,82,52.0,,0.52,42.64
2017-01-17,88,52.0,,0.52,45.760000000000005
2017-01-18,94,52.0,,0.52,48.88
2017-01-19,91,52.0,,0.52,47.32
2017-01-20,86,52.0,,0.52,44.72
2017-01-21,80,52.0,,0.52,41.6
2017-01-22,82,52.0,,0.52,42.64
2017-01-23,85,52.0,,0.52,44.2
2017-01-24,99,52.0,,0.52,51.480000000000004
2017-01-25,89,52.0,,0.52,46.28
2017-01-26,92,52.0,,0.52,47.84
2017-01-27,88,52.0,,0.52,45.760000000000005
2017-01-28,81,52.0,,0.52,42.120000000000005
2017-01-29,85,52.0,,0.52,44.2
2017-01-30,97,52.0,,0.52,50.440000000000005
2017-01-31,87,52.0,,0.52,45.24
2017-02-01,86,55.0,False,0.55,47.300000000000004
2017-02-02,82,55.0,,0.55,45.1
2017-02-03,87,55.0,,0.55,47.85
2017-02-04,82,55.0,,0.55,45.1
2017-02-05,83,55.0,,0.55,45.650000000000006
2017-02-06,93,55.0,,0.55,51.150000000000006
2017-02-07,89,55.0,,0.55,48.95
2017-02-08,88,55.0,,0.55,48.400000000000006
2017-02-09,83,55.0,,0.55,45.650000000000006
2017-02-10,95,55.0,,0.55,52.25000000000001
2017-02-11,86,55.0,,0.55,47.300000000000004
2017-02-12,89,55.0,,0.55,48.95
2017-02-13,93,55.0,,0.55,51.150000000000006
2017-02-14,94,55.0,,0.55,51.7
2017-02-15,100,55.0,,0.55,55.00000000000001
2017-02-16,95,55.0,,0.55,52.25000000000001
2017-02-17,93,55.0,,0.55,51.150000000000006
2017-02-18,85,55.0,,0.55,46.75000000000001
2017-02-19,79,55.0,,0.55,43.45
2017-02-20,80,55.0,,0.55,44.0
2017-02-21,94,55.0,,0.55,51.7
2017-02-22,84,55.0,,0.55,46.2
2017-02-23,87,55.0,,0.55,47.85
2017-02-24,90,55.0,,0.55,49.50000000000001
2017-02-25,82,55.0,,0.55,45.1
2017-02-26,83,55.0,,0.55,45.650000000000006
2017-02-27,90,55.0,,0.55,49.50000000000001
2017-02-28,92,55.0,,0.55,50.6
2017-03-01,79,58.0,False,0.58,45.82
2017-03-02,84,58.0,,0.58,48.72
2017-03-03,84,58.0,,0.58,48.72
2017-03-04,79,58.0,,0.58,45.82
2017-03-05,80,58.0,,0.58,46.4
2017-03-06,90,58.0,,0.58,52.199999999999996
2017-03-07,89,58.0,,0.58,51.62
2017-03-08,91,58.0,,0.58,52.779999999999994
2017-03-09,79,58.0,,0.58,45.82
2017-03-10,85,58.0,,0.58,49.3
2017-03-11,77,58.0,,0.58,44.66
2017-03-12,78,58.0,,0.58,45.239999999999995
2017-03-13,89,58.0,,0.58,51.62
2017-03-14,81,58.0,,0.58,46.98
2017-03-15,87,58.0,,0.58,50.459999999999994
2017-03-16,88,58.0,,0.58,51.04
2017-03-17,83,58.0,,0.58,48.13999999999999
2017-03-18,80,58.0,,0.58,46.4
2017-03-19,79,58.0,,0.58,45.82
2017-03-20,90,58.0,,0.58,52.199999999999996
2017-03-21,87,58.0,,0.58,50.459999999999994
2017-03-22,80,58.0,,0.58,46.4
2017-03-23,89,58.0,,0.58,51.62
2017-03-24,87,58.0,,0.58,50.459999999999994
2017-03-25,86,58.0,,0.58,49.879999999999995
2017-03-26,80,58.0,,0.58,46.4
2017-03-27,94,58.0,,0.58,54.519999999999996
2017-03-28,100,58.0,,0.58,57.99999999999999
2017-03-29,99,58.0,,0.58,57.419999999999995
2017-03-30,100,58.0,,0.58,57.99999999999999
2017-03-31,85,58.0,,0.58,49.3
2017-04-01,84,56.0,False,0.56,47.040000000000006
2017-04-02,88,56.0,,0.56,49.28
2017-04-03,94,56.0,,0.56,52.64000000000001
2017-04-04,96,56.0,,0.56,53.760000000000005
2017-04-05,99,56.0,,0.56,55.440000000000005
2017-04-06,94,56.0,,0.56,52.64000000000001
2017-04-07,91,56.0,,0.56,50.96000000000001
2017-04-08,91,56.0,,0.56,50.96000000000001
2017-04-09,92,56.0,,0.56,51.52
2017-04-10,99,56.0,,0.56,55.440000000000005
2017-04-11,91,56.0,,0.56,50.96000000000001
2017-04-12,96,56.0,,0.56,53.760000000000005
2017-04-13,92,56.0,,0.56,51.52
2017-04-14,86,56.0,,0.56,48.160000000000004
2017-04-15,83,56.0,,0.56,46.480000000000004
2017-04-16,89,56.0,,0.56,49.84
2017-04-17,94,56.0,,0.56,52.64000000000001
2017-04-18,100,56.0,,0.56,56.00000000000001
2017-04-19,90,56.0,,0.56,50.400000000000006
2017-04-20,89,56.0,,0.56,49.84
2017-04-21,92,56.0,,0.56,51.52
2017-04-22,82,56.0,,0.56,45.92
2017-04-23,91,56.0,,0.56,50.96000000000001
2017-04-24,99,56.0,,0.56,55.440000000000005
2017-04-25,96,56.0,,0.56,53.760000000000005
2017-04-26,99,56.0,,0.56,55.440000000000005
2017-04-27,95,56.0,,0.56,53.2
2017-04-28,95,56.0,,0.56,53.2
2017-04-29,81,56.0,,0.56,45.36000000000001
2017-04-30,93,56.0,,0.56,52.080000000000005
2017-05-01,89,59.0,False,0.59,52.51
2017-05-02,83,59.0,,0.59,48.97
2017-05-03,87,59.0,,0.59,51.33
2017-05-04,92,59.0,,0.59,54.279999999999994
2017-05-05,94,59.0,,0.59,55.459999999999994
2017-05-06,84,59.0,,0.59,49.559999999999995
2017-05-07,86,59.0,,0.59,50.739999999999995
2017-05-08,94,59.0,,0.59,55.459999999999994
2017-05-09,92,59.0,,0.59,54.279999999999994
2017-05-10,90,59.0,,0.59,53.099999999999994
2017-05-11,77,59.0,,0.59,45.43
2017-05-12,84,59.0,,0.59,49.559999999999995
2017-05-13,76,59.0,,0.59,44.839999999999996
2017-05-14,80,59.0,,0.59,47.199999999999996
2017-05-15,85,59.0,,0.59,50.15
2017-05-16,85,59.0,,0.59,50.15
2017-05-17,87,59.0,,0.59,51.33
2017-05-18,76,59.0,,0.59,44.839999999999996
2017-05-19,84,59.0,,0.59,49.559999999999995
2017-05-20,91,59.0,,0.59,53.69
2017-05-21,95,59.0,,0.59,56.05
2017-05-22,96,59.0,,0.59,56.64
2017-05-23,94,59.0,,0.59,55.459999999999994
2017-05-24,100,59.0,,0.59,59.0
2017-05-25,91,59.0,,0.59,53.69
2017-05-26,84,59.0,,0.59,49.559999999999995
2017-05-27,81,59.0,,0.59,47.79
2017-05-28,83,59.0,,0.59,48.97
2017-05-29,78,59.0,,0.59,46.019999999999996
2017-05-30,85,59.0,,0.59,50.15
2017-05-31,88,59.0,,0.59,51.919999999999995
2017-06-01,85,56.0,False,0.56,47.6
2017-06-02,84,56.0,,0.56,47.040000000000006
2017-06-03,79,56.0,,0.56,44.24
2017-06-04,75,56.0,,0.56,42.00000000000001
2017-06-05,78,56.0,,0.56,43.68000000000001
2017-06-06,81,56.0,,0.56,45.36000000000001
2017-06-07,84,56.0,,0.56,47.040000000000006
2017-06-08,84,56.0,,0.56,47.040000000000006
2017-06-09,82,56.0,,0.56,45.92
2017-06-10,83,56.0,,0.56,46.480000000000004
2017-06-11,74,56.0,,0.56,41.440000000000005
2017-06-12,84,56.0,,0.56,47.040000000000006
2017-06-13,81,56.0,,0.56,45.36000000000001
2017-06-14,83,56.0,,0.56,46.480000000000004
2017-06-15,97,56.0,,0.56,54.32000000000001
2017-06-16,77,56.0,,0.56,43.120000000000005
2017-06-17,72,56.0,,0.56,40.32000000000001
2017-06-18,77,56.0,,0.56,43.120000000000005
2017-06-19,83,56.0,,0.56,46.480000000000004
2017-06-20,88,56.0,,0.56,49.28
2017-06-21,93,56.0,,0.56,52.080000000000005
2017-06-22,90,56.0,,0.56,50.400000000000006
2017-06-23,87,56.0,,0.56,48.720000000000006
2017-06-24,79,56.0,,0.56,44.24
2017-06-25,76,56.0,,0.56,42.56
2017-06-26,97,56.0,,0.56,54.32000000000001
2017-06-27,94,56.0,,0.56,52.64000000000001
2017-06-28,100,56.0,,0.56,56.00000000000001
2017-06-29,89,56.0,,0.56,49.84
2017-06-30,93,56.0,,0.56,52.080000000000005
2017-07-01,54,63.0,False,0.63,34.02
2017-07-02,51,63.0,,0.63,32.13
2017-07-03,58,63.0,,0.63,36.54
2017-07-04,56,63.0,,0.63,35.28
2017-07-05,60,63.0,,0.63,37.8
2017-07-06,55,63.0,,0.63,34.65
2017-07-07,59,63.0,,0.63,37.17
2017-07-08,56,63.0,,0.63,35.28
2017-07-09,55,63.0,,0.63,34.65
2017-07-10,65,63.0,,0.63,40.95
2017-07-11,60,63.0,,0.63,37.8
2017-07-12,63,63.0,,0.63,39.69
2017-07-13,57,63.0,,0.63,35.910000000000004
2017-07-14,62,63.0,,0.63,39.06
2017-07-15,60,63.0,,0.63,37.8
2017-07-16,62,63.0,,0.63,39.06
2017-07-17,72,63.0,,0.63,45.36
2017-07-18,67,63.0,,0.63,42.21
2017-07-19,74,63.0,,0.63,46.62
2017-07-20,59,63.0,,0.63,37.17
2017-07-21,61,63.0,,0.63,38.43
2017-07-22,56,63.0,,0.63,35.28
2017-07-23,59,63.0,,0.63,37.17
2017-07-24,64,63.0,,0.63,40.32
2017-07-25,63,63.0,,0.63,39.69
2017-07-26,72,63.0,,0.63,45.36
2017-07-27,65,63.0,,0.63,40.95
2017-07-28,75,63.0,,0.63,47.25
2017-07-29,63,63.0,,0.63,39.69
2017-07-30,64,63.0,,0.63,40.32
2017-07-31,100,63.0,,0.63,63.0
2017-08-01,100,68.0,False,0.68,68.0
2017-08-02,73,68.0,,0.68,49.64
2017-08-03,60,68.0,,0.68,40.800000000000004
2017-08-04,68,68.0,,0.68,46.24
2017-08-05,55,68.0,,0.68,37.400000000000006
2017-08-06,51,68.0,,0.68,34.68
2017-08-07,54,68.0,,0.68,36.720000000000006
2017-08-08,48,68.0,,0.68,32.64
2017-08-09,50,68.0,,0.68,34.0
2017-08-10,47,68.0,,0.68,31.96
2017-08-11,46,68.0,,0.68,31.28
2017-08-12,50,68.0,,0.68,34.0
2017-08-13,44,68.0,,0.68,29.92
2017-08-14,52,68.0,,0.68,35.36
2017-08-15,46,68.0,,0.68,31.28
2017-08-16,42,68.0,,0.68,28.560000000000002
2017-08-17,45,68.0,,0.68,30.6
2017-08-18,46,68.0,,0.68,31.28
2017-08-19,37,68.0,,0.68,25.16
2017-08-20,37,68.0,,0.68,25.16
2017-08-21,38,68.0,,0.68,25.840000000000003
2017-08-22,42,68.0,,0.68,28.560000000000002
2017-08-23,42,68.0,,0.68,28.560000000000002
2017-08-24,44,68.0,,0.68,29.92
2017-08-25,45,68.0,,0.68,30.6
2017-08-26,37,68.0,,0.68,25.16
2017-08-27,32,68.0,,0.68,21.76
2017-08-28,44,68.0,,0.68,29.92
2017-08-29,43,68.0,,0.68,29.240000000000002
2017-08-30,43,68.0,,0.68,29.240000000000002
2017-08-31,36,68.0,,0.68,24.48
2017-09-01,77,57.0,False,0.57,43.88999999999999
2017-09-02,75,57.0,,0.57,42.74999999999999
2017-09-03,83,57.0,,0.57,47.309999999999995
2017-09-04,100,57.0,,0.57,56.99999999999999
2017-09-05,94,57.0,,0.57,53.58
2017-09-06,87,57.0,,0.57,49.589999999999996
2017-09-07,90,57.0,,0.57,51.3
2017-09-08,87,57.0,,0.57,49.589999999999996
2017-09-09,81,57.0,,0.57,46.169999999999995
2017-09-10,70,57.0,,0.57,39.9
2017-09-11,86,57.0,,0.57,49.019999999999996
2017-09-12,87,57.0,,0.57,49.589999999999996
2017-09-13,89,57.0,,0.57,50.73
2017-09-14,94,57.0,,0.57,53.58
2017-09-15,87,57.0,,0.57,49.589999999999996
2017-09-16,83,57.0,,0.57,47.309999999999995
2017-09-17,87,57.0,,0.57,49.589999999999996
2017-09-18,89,57.0,,0.57,50.73
2017-09-19,86,57.0,,0.57,49.019999999999996
2017-09-20,95,57.0,,0.57,54.15
2017-09-21,93,57.0,,0.57,53.01
2017-09-22,86,57.0,,0.57,49.019999999999996
2017-09-23,77,57.0,,0.57,43.88999999999999
2017-09-24,75,57.0,,0.57,42.74999999999999
2017-09-25,90,57.0,,0.57,51.3
2017-09-26,88,57.0,,0.57,50.16
2017-09-27,88,57.0,,0.57,50.16
2017-09-28,82,57.0,,0.57,46.739999999999995
2017-09-29,81,57.0,,0.57,46.169999999999995
2017-09-30,80,57.0,,0.57,45.599999999999994
2017-10-01,67,68.0,False,0.68,45.56
2017-10-02,78,68.0,,0.68,53.040000000000006
2017-10-03,79,68.0,,0.68,53.720000000000006
2017-10-04,93,68.0,,0.68,63.24
2017-10-05,87,68.0,,0.68,59.160000000000004
2017-10-06,86,68.0,,0.68,58.480000000000004
2017-10-07,74,68.0,,0.68,50.32
2017-10-08,71,68.0,,0.68,48.28
2017-10-09,86,68.0,,0.68,58.480000000000004
2017-10-10,90,68.0,,0.68,61.2
2017-10-11,92,68.0,,0.68,62.56
2017-10-12,88,68.0,,0.68,59.84
2017-10-13,91,68.0,,0.68,61.88
2017-10-14,80,68.0,,0.68,54.400000000000006
2017-10-15,89,68.0,,0.68,60.52
2017-10-16,95,68.0,,0.68,64.60000000000001
2017-10-17,83,68.0,,0.68,56.440000000000005
2017-10-18,84,68.0,,0.68,57.120000000000005
2017-10-19,100,68.0,,0.68,68.0
2017-10-20,86,68.0,,0.68,58.480000000000004
2017-10-21,78,68.0,,0.68,53.040000000000006
2017-10-22,79,68.0,,0.68,53.720000000000006
2017-10-23,96,68.0,,0.68,65.28
2017-10-24,92,68.0,,0.68,62.56
2017-10-25,91,68.0,,0.68,61.88
2017-10-26,100,68.0,,0.68,68.0
2017-10-27,94,68.0,,0.68,63.92
2017-10-28,90,68.0,,0.68,61.2
2017-10-29,83,68.0,,0.68,56.440000000000005
2017-10-30,86,68.0,,0.68,58.480000000000004
2017-10-31,87,68.0,,0.68,59.160000000000004
2017-11-01,85,70.0,False,0.7,59.49999999999999
2017-11-02,85,70.0,,0.7,59.49999999999999
2017-11-03,93,70.0,,0.7,65.1
2017-11-04,79,70.0,,0.7,55.3
2017-11-05,82,70.0,,0.7,57.4
2017-11-06,97,70.0,,0.7,67.89999999999999
2017-11-07,93,70.0,,0.7,65.1
2017-11-08,94,70.0,,0.7,65.8
2017-11-09,88,70.0,,0.7,61.599999999999994
2017-11-10,89,70.0,,0.7,62.3
2017-11-11,77,70.0,,0.7,53.9
2017-11-12,82,70.0,,0.7,57.4
2017-11-13,90,70.0,,0.7,62.99999999999999
2017-11-14,85,70.0,,0.7,59.49999999999999
2017-11-15,92,70.0,,0.7,64.39999999999999
2017-11-16,89,70.0,,0.7,62.3
2017-11-17,90,70.0,,0.7,62.99999999999999
2017-11-18,81,70.0,,0.7,56.699999999999996
2017-11-19,80,70.0,,0.7,56.0
2017-11-20,86,70.0,,0.7,60.199999999999996
2017-11-21,77,70.0,,0.7,53.9
2017-11-22,81,70.0,,0.7,56.699999999999996
2017-11-23,71,70.0,,0.7,49.699999999999996
2017-11-24,67,70.0,,0.7,46.9
2017-11-25,76,70.0,,0.7,53.199999999999996
2017-11-26,85,70.0,,0.7,59.49999999999999
2017-11-27,88,70.0,,0.7,61.599999999999994
2017-11-28,98,70.0,,0.7,68.6
2017-11-29,96,70.0,,0.7,67.19999999999999
2017-11-30,100,70.0,,0.7,70.0
2017-12-01,85,65.0,False,0.65,55.25
2017-12-02,78,65.0,,0.65,50.7
2017-12-03,86,65.0,,0.65,55.9
2017-12-04,92,65.0,,0.65,59.800000000000004
2017-12-05,94,65.0,,0.65,61.1
2017-12-06,99,65.0,,0.65,64.35000000000001
2017-12-07,94,65.0,,0.65,61.1
2017-12-08,93,65.0,,0.65,60.45
2017-12-09,77,65.0,,0.65,50.050000000000004
2017-12-10,90,65.0,,0.65,58.5
2017-12-11,89,65.0,,0.65,57.85
2017-12-12,100,65.0,,0.65,65.0
2017-12-13,94,65.0,,0.65,61.1
2017-12-14,97,65.0,,0.65,63.050000000000004
2017-12-15,87,65.0,,0.65,56.550000000000004
2017-12-16,91,65.0,,0.65,59.15
