date,SBUX_unscaled,SBUX_monthly,isPartial,scale,SBUX
2016-08-01,46,32.0,False,0.32,14.72
2016-08-02,75,32.0,,0.32,24.0
2016-08-03,64,32.0,,0.32,20.48
2016-08-04,61,32.0,,0.32,19.52
2016-08-05,100,32.0,,0.32,32.0
2016-08-06,16,32.0,,0.32,5.12
2016-08-07,16,32.0,,0.32,5.12
2016-08-08,58,32.0,,0.32,18.56
2016-08-09,33,32.0,,0.32,10.56
2016-08-10,70,32.0,,0.32,22.400000000000002
2016-08-11,72,32.0,,0.32,23.04
2016-08-12,58,32.0,,0.32,18.56
2016-08-13,27,32.0,,0.32,8.64
2016-08-14,12,32.0,,0.32,3.84
2016-08-15,40,32.0,,0.32,12.8
2016-08-16,44,32.0,,0.32,14.08
2016-08-17,94,32.0,,0.32,30.080000000000002
2016-08-18,34,32.0,,0.32,10.88
2016-08-19,69,32.0,,0.32,22.080000000000002
2016-08-20,36,32.0,,0.32,11.52
2016-08-21,12,32.0,,0.32,3.84
2016-08-22,90,32.0,,0.32,28.8
2016-08-23,66,32.0,,0.32,21.12
2016-08-24,59,32.0,,0.32,18.88
2016-08-25,68,32.0,,0.32,21.76
2016-08-26,64,32.0,,0.32,20.48
2016-08-27,15,32.0,,0.32,4.8
2016-08-28,15,32.0,,0.32,4.8
2016-08-29,70,32.0,,0.32,22.400000000000002
2016-08-30,48,32.0,,0.32,15.36
2016-08-31,52,32.0,,0.32,16.64
2016-09-01,74,32.0,False,0.32,23.68
2016-09-02,67,32.0,,0.32,21.44
2016-09-03,26,32.0,,0.32,8.32
2016-09-04,8,32.0,,0.32,2.56
2016-09-05,7,32.0,,0.32,2.24
2016-09-06,74,32.0,,0.32,23.68
2016-09-07,60,32.0,,0.32,19.2
2016-09-08,91,32.0,,0.32,29.12
2016-09-09,98,32.0,,0.32,31.36
2016-09-10,33,32.0,,0.32,10.56
2016-09-11,28,32.0,,0.32,8.96
2016-09-12,66,32.0,,0.32,21.12
2016-09-13,70,32.0,,0.32,22.400000000000002
2016-09-14,43,32.0,,0.32,13.76
2016-09-15,77,32.0,,0.32,24.64
2016-09-16,82,32.0,,0.32,26.240000000000002
2016-09-17,22,32.0,,0.32,7.04
2016-09-18,17,32.0,,0.32,5.44
2016-09-19,80,32.0,,0.32,25.6
2016-09-20,39,32.0,,0.32,12.48
2016-09-21,100,32.0,,0.32,32.0
2016-09-22,77,32.0,,0.32,24.64
2016-09-23,47,32.0,,0.32,15.040000000000001
2016-09-24,26,32.0,,0.32,8.32
2016-09-25,11,32.0,,0.32,3.52
2016-09-26,45,32.0,,0.32,14.4
2016-09-27,58,32.0,,0.32,18.56
2016-09-28,88,32.0,,0.32,28.16
2016-09-29,64,32.0,,0.32,20.48
2016-09-30,48,32.0,,0.32,15.36
2016-10-01,14,32.0,False,0.32,4.48
2016-10-02,14,32.0,,0.32,4.48
2016-10-03,80,32.0,,0.32,25.6
2016-10-04,60,32.0,,0.32,19.2
2016-10-05,100,32.0,,0.32,32.0
2016-10-06,67,32.0,,0.32,21.44
2016-10-07,50,32.0,,0.32,16.0
2016-10-08,7,32.0,,0.32,2.24
2016-10-09,3,32.0,,0.32,0.96
2016-10-10,67,32.0,,0.32,21.44
2016-10-11,38,32.0,,0.32,12.16
2016-10-12,74,32.0,,0.32,23.68
2016-10-13,76,32.0,,0.32,24.32
2016-10-14,70,32.0,,0.32,22.400000000000002
2016-10-15,33,32.0,,0.32,10.56
2016-10-16,24,32.0,,0.32,7.68
2016-10-17,72,32.0,,0.32,23.04
2016-10-18,89,32.0,,0.32,28.48
2016-10-19,94,32.0,,0.32,30.080000000000002
2016-10-20,76,32.0,,0.32,24.32
2016-10-21,95,32.0,,0.32,30.400000000000002
2016-10-22,29,32.0,,0.32,9.28
2016-10-23,10,32.0,,0.32,3.2
2016-10-24,57,32.0,,0.32,18.240000000000002
2016-10-25,66,32.0,,0.32,21.12
2016-10-26,71,32.0,,0.32,22.72
2016-10-27,52,32.0,,0.32,16.64
2016-10-28,48,32.0,,0.32,15.36
2016-10-29,21,32.0,,0.32,6.72
2016-10-30,17,32.0,,0.32,5.44
2016-10-31,58,32.0,,0.32,18.56
2016-11-01,41,46.0,False,0.46,18.86
2016-11-02,47,46.0,,0.46,21.62
2016-11-03,100,46.0,,0.46,46.0
2016-11-04,79,46.0,,0.46,36.34
2016-11-05,14,46.0,,0.46,6.44
2016-11-06,6,46.0,,0.46,2.7600000000000002
2016-11-07,49,46.0,,0.46,22.540000000000003
2016-11-08,29,46.0,,0.46,13.34
2016-11-09,53,46.0,,0.46,24.380000000000003
2016-11-10,42,46.0,,0.46,19.32
2016-11-11,32,46.0,,0.46,14.72
2016-11-12,9,46.0,,0.46,4.140000000000001
2016-11-13,7,46.0,,0.46,3.22
2016-11-14,31,46.0,,0.46,14.26
2016-11-15,26,46.0,,0.46,11.96
2016-11-16,40,46.0,,0.46,18.400000000000002
2016-11-17,37,46.0,,0.46,17.02
2016-11-18,43,46.0,,0.46,19.78
2016-11-19,12,46.0,,0.46,5.5200000000000005
2016-11-20,7,46.0,,0.46,3.22
2016-11-21,24,46.0,,0.46,11.040000000000001
2016-11-22,53,46.0,,0.46,24.380000000000003
2016-11-23,41,46.0,,0.46,18.86
2016-11-24,14,46.0,,0.46,6.44
2016-11-25,20,46.0,,0.46,9.200000000000001
2016-11-26,17,46.0,,0.46,7.82
2016-11-27,9,46.0,,0.46,4.140000000000001
2016-11-28,30,46.0,,0.46,13.8
2016-11-29,43,46.0,,0.46,19.78
2016-11-30,33,46.0,,0.46,15.180000000000001
2016-12-01,84,43.0,False,0.43,36.12
2016-12-02,100,43.0,,0.43,43.0
2016-12-03,21,43.0,,0.43,9.03
2016-12-04,12,43.0,,0.43,5.16
2016-12-05,39,43.0,,0.43,16.77
2016-12-06,29,43.0,,0.43,12.47
2016-12-07,45,43.0,,0.43,19.35
2016-12-08,56,43.0,,0.43,24.08
2016-12-09,34,43.0,,0.43,14.62
2016-12-10,12,43.0,,0.43,5.16
2016-12-11,7,43.0,,0.43,3.01
2016-12-12,24,43.0,,0.43,10.32
2016-12-13,36,43.0,,0.43,15.48
2016-12-14,39,43.0,,0.43,16.77
2016-12-15,32,43.0,,0.43,13.76
2016-12-16,38,43.0,,0.43,16.34
2016-12-17,9,43.0,,0.43,3.87
2016-12-18,7,43.0,,0.43,3.01
2016-12-19,39,43.0,,0.43,16.77
2016-12-20,24,43.0,,0.43,10.32
2016-12-21,37,43.0,,0.43,15.91
2016-12-22,26,43.0,,0.43,11.18
2016-12-23,29,43.0,,0.43,12.47
2016-12-24,15,43.0,,0.43,6.45
2016-12-25,6,43.0,,0.43,2.58
2016-12-26,15,43.0,,0.43,6.45
2016-12-27,27,43.0,,0.43,11.61
2016-12-28,27,43.0,,0.43,11.61
2016-12-29,25,43.0,,0.43,10.75
2016-12-30,20,43.0,,0.43,8.6
2016-12-31,5,43.0,,0.43,2.15
2017-01-01,11,40.0,False,0.4,4.4
2017-01-02,10,40.0,,0.4,4.0
2017-01-03,21,40.0,,0.4,8.4
2017-01-04,36,40.0,,0.4,14.4
2017-01-05,17,40.0,,0.4,6.800000000000001
2017-01-06,37,40.0,,0.4,14.8
2017-01-07,7,40.0,,0.4,2.8000000000000003
2017-01-08,4,40.0,,0.4,1.6
2017-01-09,38,40.0,,0.4,15.200000000000001
2017-01-10,23,40.0,,0.4,9.200000000000001
2017-01-11,20,40.0,,0.4,8.0
2017-01-12,28,40.0,,0.4,11.200000000000001
2017-01-13,30,40.0,,0.4,12.0
2017-01-14,11,40.0,,0.4,4.4
2017-01-15,4,40.0,,0.4,1.6
2017-01-16,9,40.0,,0.4,3.6
2017-01-17,22,40.0,,0.4,8.8
2017-01-18,33,40.0,,0.4,13.200000000000001
2017-01-19,23,40.0,,0.4,9.200000000000001
2017-01-20,17,40.0,,0.4,6.800000000000001
2017-01-21,10,40.0,,0.4,4.0
2017-01-22,4,40.0,,0.4,1.6
2017-01-23,27,40.0,,0.4,10.8
2017-01-24,25,40.0,,0.4,10.0
2017-01-25,37,40.0,,0.4,14.8
2017-01-26,94,40.0,,0.4,37.6
2017-01-27,100,40.0,,0.4,40.0
2017-01-28,16,40.0,,0.4,6.4
2017-01-29,15,40.0,,0.4,6.0
2017-01-30,61,40.0,,0.4,24.400000000000002
2017-01-31,71,40.0,,0.4,28.400000000000002
2017-02-01,100,44.0,False,0.44,44.0
2017-02-02,75,44.0,,0.44,33.0
2017-02-03,56,44.0,,0.44,24.64
2017-02-04,15,44.0,,0.44,6.6
2017-02-05,20,44.0,,0.44,8.8
2017-02-06,29,44.0,,0.44,12.76
2017-02-07,31,44.0,,0.44,13.64
2017-02-08,33,44.0,,0.44,14.52
2017-02-09,40,44.0,,0.44,17.6
2017-02-10,42,44.0,,0.44,18.48
2017-02-11,12,44.0,,0.44,5.28
2017-02-12,4,44.0,,0.44,1.76
2017-02-13,46,44.0,,0.44,20.24
2017-02-14,43,44.0,,0.44,18.92
2017-02-15,35,44.0,,0.44,15.4
2017-02-16,42,44.0,,0.44,18.48
2017-02-17,30,44.0,,0.44,13.2
2017-02-18,5,44.0,,0.44,2.2
2017-02-19,7,44.0,,0.44,3.08
2017-02-20,13,44.0,,0.44,5.72
2017-02-21,28,44.0,,0.44,12.32
2017-02-22,26,44.0,,0.44,11.44
2017-02-23,20,44.0,,0.44,8.8
2017-02-24,24,44.0,,0.44,10.56
2017-02-25,13,44.0,,0.44,5.72
2017-02-26,7,44.0,,0.44,3.08
2017-02-27,29,44.0,,0.44,12.76
2017-02-28,38,44.0,,0.44,16.72
2017-03-01,64,36.0,False,0.36,23.04
2017-03-02,74,36.0,,0.36,26.64
2017-03-03,49,36.0,,0.36,17.64
2017-03-04,24,36.0,,0.36,8.64
2017-03-05,18,36.0,,0.36,6.4799999999999995
2017-03-06,48,36.0,,0.36,17.28
2017-03-07,66,36.0,,0.36,23.759999999999998
2017-03-08,65,36.0,,0.36,23.4
2017-03-09,90,36.0,,0.36,32.4
2017-03-10,82,36.0,,0.36,29.52
2017-03-11,21,36.0,,0.36,7.56
2017-03-12,14,36.0,,0.36,5.04
2017-03-13,45,36.0,,0.36,16.2
2017-03-14,63,36.0,,0.36,22.68
2017-03-15,62,36.0,,0.36,22.32
2017-03-16,95,36.0,,0.36,34.199999999999996
2017-03-17,61,36.0,,0.36,21.96
2017-03-18,9,36.0,,0.36,3.2399999999999998
2017-03-19,27,36.0,,0.36,9.719999999999999
2017-03-20,76,36.0,,0.36,27.36
2017-03-21,59,36.0,,0.36,21.24
2017-03-22,100,36.0,,0.36,36.0
2017-03-23,65,36.0,,0.36,23.4
2017-03-24,95,36.0,,0.36,34.199999999999996
2017-03-25,18,36.0,,0.36,6.4799999999999995
2017-03-26,37,36.0,,0.36,13.32
2017-03-27,94,36.0,,0.36,33.839999999999996
2017-03-28,72,36.0,,0.36,25.919999999999998
2017-03-29,39,36.0,,0.36,14.04
2017-03-30,78,36.0,,0.36,28.08
2017-03-31,67,36.0,,0.36,24.119999999999997
2017-04-01,16,40.0,False,0.4,6.4
2017-04-02,7,40.0,,0.4,2.8000000000000003
2017-04-03,35,40.0,,0.4,14.0
2017-04-04,36,40.0,,0.4,14.4
2017-04-05,27,40.0,,0.4,10.8
2017-04-06,25,40.0,,0.4,10.0
2017-04-07,22,40.0,,0.4,8.8
2017-04-08,6,40.0,,0.4,2.4000000000000004
2017-04-09,12,40.0,,0.4,4.800000000000001
2017-04-10,29,40.0,,0.4,11.600000000000001
2017-04-11,24,40.0,,0.4,9.600000000000001
2017-04-12,25,40.0,,0.4,10.0
2017-04-13,28,40.0,,0.4,11.200000000000001
2017-04-14,10,40.0,,0.4,4.0
2017-04-15,3,40.0,,0.4,1.2000000000000002
2017-04-16,5,40.0,,0.4,2.0
2017-04-17,29,40.0,,0.4,11.600000000000001
2017-04-18,24,40.0,,0.4,9.600000000000001
2017-04-19,39,40.0,,0.4,15.600000000000001
2017-04-20,66,40.0,,0.4,26.400000000000002
2017-04-21,46,40.0,,0.4,18.400000000000002
2017-04-22,22,40.0,,0.4,8.8
2017-04-23,16,40.0,,0.4,6.4
2017-04-24,44,40.0,,0.4,17.6
2017-04-25,55,40.0,,0.4,22.0
2017-04-26,33,40.0,,0.4,13.200000000000001
2017-04-27,87,40.0,,0.4,34.800000000000004
2017-04-28,100,40.0,,0.4,40.0
2017-04-29,20,40.0,,0.4,8.0
2017-04-30,11,40.0,,0.4,4.4
2017-05-01,100,34.0,False,0.34,34.0
2017-05-02,57,34.0,,0.34,19.380000000000003
2017-05-03,59,34.0,,0.34,20.060000000000002
2017-05-04,63,34.0,,0.34,21.42
2017-05-05,43,34.0,,0.34,14.620000000000001
2017-05-06,25,34.0,,0.34,8.5
2017-05-07,25,34.0,,0.34,8.5
2017-05-08,51,34.0,,0.34,17.34
2017-05-09,67,34.0,,0.34,22.78
2017-05-10,73,34.0,,0.34,24.82
2017-05-11,33,34.0,,0.34,11.22
2017-05-12,48,34.0,,0.34,16.32
2017-05-13,35,34.0,,0.34,11.9
2017-05-14,6,34.0,,0.34,2.04
2017-05-15,44,34.0,,0.34,14.96
2017-05-16,61,34.0,,0.34,20.740000000000002
2017-05-17,49,34.0,,0.34,16.66
2017-05-18,64,34.0,,0.34,21.76
2017-05-19,83,34.0,,0.34,28.220000000000002
2017-05-20,18,34.0,,0.34,6.12
2017-05-21,18,34.0,,0.34,6.12
2017-05-22,52,34.0,,0.34,17.68
2017-05-23,48,34.0,,0.34,16.32
2017-05-24,50,34.0,,0.34,17.0
2017-05-25,67,34.0,,0.34,22.78
2017-05-26,62,34.0,,0.34,21.080000000000002
2017-05-27,9,34.0,,0.34,3.06
2017-05-28,35,34.0,,0.34,11.9
2017-05-29,6,34.0,,0.34,2.04
2017-05-30,47,34.0,,0.34,15.98
2017-05-31,75,34.0,,0.34,25.500000000000004
2017-06-01,100,32.0,False,0.32,32.0
2017-06-02,82,32.0,,0.32,26.240000000000002
2017-06-03,38,32.0,,0.32,12.16
2017-06-04,4,32.0,,0.32,1.28
2017-06-05,42,32.0,,0.32,13.44
2017-06-06,75,32.0,,0.32,24.0
2017-06-07,76,32.0,,0.32,24.32
2017-06-08,74,32.0,,0.32,23.68
2017-06-09,65,32.0,,0.32,20.8
2017-06-10,30,32.0,,0.32,9.6
2017-06-11,19,32.0,,0.32,6.08
2017-06-12,61,32.0,,0.32,19.52
2017-06-13,69,32.0,,0.32,22.080000000000002
2017-06-14,94,32.0,,0.32,30.080000000000002
2017-06-15,67,32.0,,0.32,21.44
2017-06-16,57,32.0,,0.32,18.240000000000002
2017-06-17,37,32.0,,0.32,11.84
2017-06-18,19,32.0,,0.32,6.08
2017-06-19,62,32.0,,0.32,19.84
2017-06-20,76,32.0,,0.32,24.32
2017-06-21,53,32.0,,0.32,16.96
2017-06-22,65,32.0,,0.32,20.8
2017-06-23,54,32.0,,0.32,17.28
2017-06-24,29,32.0,,0.32,9.28
2017-06-25,27,32.0,,0.32,8.64
2017-06-26,50,32.0,,0.32,16.0
2017-06-27,32,32.0,,0.32,10.24
2017-06-28,79,32.0,,0.32,25.28
2017-06-29,53,32.0,,0.32,16.96
2017-06-30,47,32.0,,0.32,15.040000000000001
2017-07-01,8,46.0,False,0.46,3.68
2017-07-02,7,46.0,,0.46,3.22
2017-07-03,13,46.0,,0.46,5.98
2017-07-04,7,46.0,,0.46,3.22
2017-07-05,19,46.0,,0.46,8.74
2017-07-06,18,46.0,,0.46,8.280000000000001
2017-07-07,18,46.0,,0.46,8.280000000000001
2017-07-08,5,46.0,,0.46,2.3000000000000003
2017-07-09,6,46.0,,0.46,2.7600000000000002
2017-07-10,20,46.0,,0.46,9.200000000000001
2017-07-11,20,46.0,,0.46,9.200000000000001
2017-07-12,31,46.0,,0.46,14.26
2017-07-13,18,46.0,,0.46,8.280000000000001
2017-07-14,19,46.0,,0.46,8.74
2017-07-15,5,46.0,,0.46,2.3000000000000003
2017-07-16,5,46.0,,0.46,2.3000000000000003
2017-07-17,23,46.0,,0.46,10.58
2017-07-18,10,46.0,,0.46,4.6000000000000005
2017-07-19,16,46.0,,0.46,7.36
2017-07-20,19,46.0,,0.46,8.74
2017-07-21,19,46.0,,0.46,8.74
2017-07-22,7,46.0,,0.46,3.22
2017-07-23,3,46.0,,0.46,1.3800000000000001
2017-07-24,9,46.0,,0.46,4.140000000000001
2017-07-25,23,46.0,,0.46,10.58
2017-07-26,24,46.0,,0.46,11.040000000000001
2017-07-27,59,46.0,,0.46,27.14
2017-07-28,100,46.0,,0.46,46.0
2017-07-29,34,46.0,,0.46,15.64
2017-07-30,16,46.0,,0.46,7.36
2017-07-31,40,46.0,,0.46,18.400000000000002
2017-08-01,100,41.0,False,0.41,41.0
2017-08-02,89,41.0,,0.41,36.489999999999995
2017-08-03,57,41.0,,0.41,23.369999999999997
2017-08-04,83,41.0,,0.41,34.03
2017-08-05,16,41.0,,0.41,6.56
2017-08-06,27,41.0,,0.41,11.069999999999999
2017-08-07,90,41.0,,0.41,36.9
2017-08-08,66,41.0,,0.41,27.06
2017-08-09,82,41.0,,0.41,33.62
2017-08-10,51,41.0,,0.41,20.91
2017-08-11,58,41.0,,0.41,23.779999999999998
2017-08-12,7,41.0,,0.41,2.8699999999999997
2017-08-13,7,41.0,,0.41,2.8699999999999997
2017-08-14,52,41.0,,0.41,21.32
2017-08-15,32,41.0,,0.41,13.12
2017-08-16,43,41.0,,0.41,17.63
2017-08-17,42,41.0,,0.41,17.22
2017-08-18,51,41.0,,0.41,20.91
2017-08-19,26,41.0,,0.41,10.66
2017-08-20,13,41.0,,0.41,5.33
2017-08-21,36,41.0,,0.41,14.76
2017-08-22,54,41.0,,0.41,22.139999999999997
2017-08-23,39,41.0,,0.41,15.989999999999998
2017-08-24,50,41.0,,0.41,20.5
2017-08-25,48,41.0,,0.41,19.68
2017-08-26,11,41.0,,0.41,4.51
2017-08-27,18,41.0,,0.41,7.38
2017-08-28,43,41.0,,0.41,17.63
2017-08-29,24,41.0,,0.41,9.84
2017-08-30,26,41.0,,0.41,10.66
2017-08-31,57,41.0,,0.41,23.369999999999997
2017-09-01,90,24.0,False,0.24,21.599999999999998
2017-09-02,34,24.0,,0.24,8.16
2017-09-03,10,24.0,,0.24,2.4
2017-09-04,18,24.0,,0.24,4.32
2017-09-05,64,24.0,,0.24,15.36
2017-09-06,78,24.0,,0.24,18.72
2017-09-07,88,24.0,,0.24,21.119999999999997
2017-09-08,97,24.0,,0.24,23.279999999999998
2017-09-09,19,24.0,,0.24,4.56
2017-09-10,23,24.0,,0.24,5.52
2017-09-11,100,24.0,,0.24,24.0
2017-09-12,69,24.0,,0.24,16.56
2017-09-13,93,24.0,,0.24,22.32
2017-09-14,99,24.0,,0.24,23.759999999999998
2017-09-15,58,24.0,,0.24,13.92
2017-09-16,25,24.0,,0.24,6.0
2017-09-17,5,24.0,,0.24,1.2
2017-09-18,96,24.0,,0.24,23.04
2017-09-19,84,24.0,,0.24,20.16
2017-09-20,76,24.0,,0.24,18.24
2017-09-21,89,24.0,,0.24,21.36
2017-09-22,38,24.0,,0.24,9.12
2017-09-23,35,24.0,,0.24,8.4
2017-09-24,10,24.0,,0.24,2.4
2017-09-25,61,24.0,,0.24,14.639999999999999
2017-09-26,61,24.0,,0.24,14.639999999999999
2017-09-27,65,24.0,,0.24,15.6
2017-09-28,57,24.0,,0.24,13.68
2017-09-29,75,24.0,,0.24,18.0
2017-09-30,40,24.0,,0.24,9.6
2017-10-01,19,29.0,False,0.29,5.51
2017-10-02,49,29.0,,0.29,14.209999999999999
2017-10-03,60,29.0,,0.29,17.4
2017-10-04,74,29.0,,0.29,21.459999999999997
2017-10-05,100,29.0,,0.29,28.999999999999996
2017-10-06,46,29.0,,0.29,13.34
2017-10-07,23,29.0,,0.29,6.67
2017-10-08,19,29.0,,0.29,5.51
2017-10-09,51,29.0,,0.29,14.79
2017-10-10,72,29.0,,0.29,20.88
2017-10-11,73,29.0,,0.29,21.169999999999998
2017-10-12,77,29.0,,0.29,22.33
2017-10-13,79,29.0,,0.29,22.91
2017-10-14,27,29.0,,0.29,7.829999999999999
2017-10-15,23,29.0,,0.29,6.67
2017-10-16,61,29.0,,0.29,17.689999999999998
2017-10-17,90,29.0,,0.29,26.099999999999998
2017-10-18,83,29.0,,0.29,24.069999999999997
2017-10-19,56,29.0,,0.29,16.24
2017-10-20,87,29.0,,0.29,25.229999999999997
2017-10-21,16,29.0,,0.29,4.64
2017-10-22,8,29.0,,0.29,2.32
2017-10-23,44,29.0,,0.29,12.76
2017-10-24,79,29.0,,0.29,22.91
2017-10-25,89,29.0,,0.29,25.81
2017-10-26,67,29.0,,0.29,19.43
2017-10-27,53,29.0,,0.29,15.37
2017-10-28,19,29.0,,0.29,5.51
2017-10-29,4,29.0,,0.29,1.16
2017-10-30,85,29.0,,0.29,24.65
2017-10-31,79,29.0,,0.29,22.91
2017-11-01,25,38.0,False,0.38,9.5
2017-11-02,94,38.0,,0.38,35.72
2017-11-03,100,38.0,,0.38,38.0
2017-11-04,25,38.0,,0.38,9.5
2017-11-05,13,38.0,,0.38,4.94
2017-11-06,31,38.0,,0.38,11.78
2017-11-07,41,38.0,,0.38,15.58
2017-11-08,32,38.0,,0.38,12.16
2017-11-09,30,38.0,,0.38,11.4
2017-11-10,31,38.0,,0.38,11.78
2017-11-11,8,38.0,,0.38,3.04
2017-11-12,10,38.0,,0.38,3.8
2017-11-13,24,38.0,,0.38,9.120000000000001
2017-11-14,24,38.0,,0.38,9.120000000000001
2017-11-15,26,38.0,,0.38,9.88
2017-11-16,32,38.0,,0.38,12.16
2017-11-17,25,38.0,,0.38,9.5
2017-11-18,9,38.0,,0.38,3.42
2017-11-19,7,38.0,,0.38,2.66
2017-11-20,17,38.0,,0.38,6.46
2017-11-21,17,38.0,,0.38,6.46
2017-11-22,22,38.0,,0.38,8.36
2017-11-23,8,38.0,,0.38,3.04
2017-11-24,14,38.0,,0.38,5.32
2017-11-25,6,38.0,,0.38,2.2800000000000002
2017-11-26,4,38.0,,0.38,1.52
2017-11-27,30,38.0,,0.38,11.4
2017-11-28,23,38.0,,0.38,8.74
2017-11-29,32,38.0,,0.38,12.16
2017-11-30,35,38.0,,0.38,13.3
2017-12-01,43,28.0,False,0.28,12.040000000000001
2017-12-02,21,28.0,,0.28,5.880000000000001
2017-12-03,24,28.0,,0.28,6.720000000000001
2017-12-04,87,28.0,,0.28,24.360000000000003
2017-12-05,100,28.0,,0.28,28.000000000000004
2017-12-06,90,28.0,,0.28,25.200000000000003
2017-12-07,57,28.0,,0.28,15.96
2017-12-08,44,28.0,,0.28,12.32
2017-12-09,48,28.0,,0.28,13.440000000000001
2017-12-10,20,28.0,,0.28,5.6000000000000005
2017-12-11,53,28.0,,0.28,14.840000000000002
2017-12-12,98,28.0,,0.28,27.44
2017-12-13,65,28.0,,0.28,18.200000000000003
2017-12-14,55,28.0,,0.28,15.400000000000002
2017-12-15,84,28.0,,0.28,23.520000000000003
2017-12-16,35,28.0,,0.28,9.8
2017-12-17,7,28.0,,0.28,1.9600000000000002
2017-12-18,59,28.0,,0.28,16.520000000000003
2017-12-19,71,28.0,,0.28,19.880000000000003
2017-12-20,49,28.0,,0.28,13.72
2017-12-21,53,28.0,,0.28,14.840000000000002
2017-12-22,66,28.0,,0.28,18.48
2017-12-23,18,28.0,,0.28,5.040000000000001
2017-12-24,8,28.0,,0.28,2.24
2017-12-25,12,28.0,,0.28,3.3600000000000003
