date,HP_unscaled,HP_monthly,isPartial,scale,HP
2016-07-10,84,87.0,,0.87,73.08
2016-07-11,94,87.0,,0.87,81.78
2016-07-12,94,87.0,,0.87,81.78
2016-07-13,95,87.0,,0.87,82.65
2016-07-14,90,87.0,,0.87,78.3
2016-07-15,90,87.0,,0.87,78.3
2016-07-16,82,87.0,,0.87,71.34
2016-07-17,82,87.0,,0.87,71.34
2016-07-18,96,87.0,,0.87,83.52
2016-07-19,95,87.0,,0.87,82.65
2016-07-20,100,87.0,,0.87,87.0
2016-07-21,93,87.0,,0.87,80.91
2016-07-22,89,87.0,,0.87,77.42999999999999
2016-07-23,83,87.0,,0.87,72.21
2016-07-24,86,87.0,,0.87,74.82
2016-07-25,95,87.0,,0.87,82.65
2016-07-26,98,87.0,,0.87,85.26
2016-07-27,100,87.0,,0.87,87.0
2016-07-28,97,87.0,,0.87,84.39
2016-07-29,95,87.0,,0.87,82.65
2016-07-30,89,87.0,,0.87,77.42999999999999
2016-07-31,95,87.0,,0.87,82.65
2016-08-01,92,95.0,False,0.95,87.39999999999999
2016-08-02,94,95.0,,0.95,89.3
2016-08-03,92,95.0,,0.95,87.39999999999999
2016-08-04,96,95.0,,0.95,91.19999999999999
2016-08-05,92,95.0,,0.95,87.39999999999999
2016-08-06,87,95.0,,0.95,82.64999999999999
2016-08-07,81,95.0,,0.95,76.95
2016-08-08,95,95.0,,0.95,90.25
2016-08-09,95,95.0,,0.95,90.25
2016-08-10,91,95.0,,0.95,86.45
2016-08-11,89,95.0,,0.95,84.55
2016-08-12,88,95.0,,0.95,83.6
2016-08-13,84,95.0,,0.95,79.8
2016-08-14,87,95.0,,0.95,82.64999999999999
2016-08-15,94,95.0,,0.95,89.3
2016-08-16,95,95.0,,0.95,90.25
2016-08-17,99,95.0,,0.95,94.05
2016-08-18,94,95.0,,0.95,89.3
2016-08-19,92,95.0,,0.95,87.39999999999999
2016-08-20,88,95.0,,0.95,83.6
2016-08-21,91,95.0,,0.95,86.45
2016-08-22,100,95.0,,0.95,95.0
2016-08-23,97,95.0,,0.95,92.14999999999999
2016-08-24,96,95.0,,0.95,91.19999999999999
2016-08-25,93,95.0,,0.95,88.35
2016-08-26,90,95.0,,0.95,85.5
2016-08-27,87,95.0,,0.95,82.64999999999999
2016-08-28,90,95.0,,0.95,85.5
2016-08-29,97,95.0,,0.95,92.14999999999999
2016-08-30,94,95.0,,0.95,89.3
2016-08-31,90,95.0,,0.95,85.5
2016-09-01,95,88.0,False,0.88,83.6
2016-09-02,90,88.0,,0.88,79.2
2016-09-03,86,88.0,,0.88,75.68
2016-09-04,89,88.0,,0.88,78.32000000000001
2016-09-05,94,88.0,,0.88,82.72
2016-09-06,100,88.0,,0.88,88.0
2016-09-07,93,88.0,,0.88,81.84
2016-09-08,93,88.0,,0.88,81.84
2016-09-09,93,88.0,,0.88,81.84
2016-09-10,83,88.0,,0.88,73.04
2016-09-11,83,88.0,,0.88,73.04
2016-09-12,93,88.0,,0.88,81.84
2016-09-13,96,88.0,,0.88,84.48
2016-09-14,92,88.0,,0.88,80.96
2016-09-15,89,88.0,,0.88,78.32000000000001
2016-09-16,87,88.0,,0.88,76.56
2016-09-17,84,88.0,,0.88,73.92
2016-09-18,81,88.0,,0.88,71.28
2016-09-19,90,88.0,,0.88,79.2
2016-09-20,88,88.0,,0.88,77.44
2016-09-21,90,88.0,,0.88,79.2
2016-09-22,88,88.0,,0.88,77.44
2016-09-23,87,88.0,,0.88,76.56
2016-09-24,78,88.0,,0.88,68.64
2016-09-25,76,88.0,,0.88,66.88
2016-09-26,87,88.0,,0.88,76.56
2016-09-27,85,88.0,,0.88,74.8
2016-09-28,90,88.0,,0.88,79.2
2016-09-29,89,88.0,,0.88,78.32000000000001
2016-09-30,85,88.0,,0.88,74.8
2016-10-01,87,82.0,False,0.82,71.33999999999999
2016-10-02,89,82.0,,0.82,72.97999999999999
2016-10-03,99,82.0,,0.82,81.17999999999999
2016-10-04,96,82.0,,0.82,78.72
2016-10-05,93,82.0,,0.82,76.25999999999999
2016-10-06,90,82.0,,0.82,73.8
2016-10-07,87,82.0,,0.82,71.33999999999999
2016-10-08,80,82.0,,0.82,65.6
2016-10-09,79,82.0,,0.82,64.78
2016-10-10,90,82.0,,0.82,73.8
2016-10-11,98,82.0,,0.82,80.36
2016-10-12,94,82.0,,0.82,77.08
2016-10-13,98,82.0,,0.82,80.36
2016-10-14,97,82.0,,0.82,79.53999999999999
2016-10-15,92,82.0,,0.82,75.44
2016-10-16,84,82.0,,0.82,68.88
2016-10-17,100,82.0,,0.82,82.0
2016-10-18,97,82.0,,0.82,79.53999999999999
2016-10-19,99,82.0,,0.82,81.17999999999999
2016-10-20,89,82.0,,0.82,72.97999999999999
2016-10-21,89,82.0,,0.82,72.97999999999999
2016-10-22,85,82.0,,0.82,69.7
2016-10-23,83,82.0,,0.82,68.06
2016-10-24,98,82.0,,0.82,80.36
2016-10-25,94,82.0,,0.82,77.08
2016-10-26,94,82.0,,0.82,77.08
2016-10-27,97,82.0,,0.82,79.53999999999999
2016-10-28,95,82.0,,0.82,77.89999999999999
2016-10-29,83,82.0,,0.82,68.06
2016-10-30,85,82.0,,0.82,69.7
2016-10-31,96,82.0,,0.82,78.72
2016-11-01,71,89.0,False,0.89,63.19
2016-11-02,70,89.0,,0.89,62.300000000000004
2016-11-03,68,89.0,,0.89,60.52
2016-11-04,67,89.0,,0.89,59.63
2016-11-05,62,89.0,,0.89,55.18
2016-11-06,64,89.0,,0.89,56.96
2016-11-07,69,89.0,,0.89,61.410000000000004
2016-11-08,64,89.0,,0.89,56.96
2016-11-09,47,89.0,,0.89,41.83
2016-11-10,67,89.0,,0.89,59.63
2016-11-11,66,89.0,,0.89,58.74
2016-11-12,61,89.0,,0.89,54.29
2016-11-13,63,89.0,,0.89,56.07
2016-11-14,68,89.0,,0.89,60.52
2016-11-15,71,89.0,,0.89,63.19
2016-11-16,71,89.0,,0.89,63.19
2016-11-17,70,89.0,,0.89,62.300000000000004
2016-11-18,68,89.0,,0.89,60.52
2016-11-19,65,89.0,,0.89,57.85
2016-11-20,65,89.0,,0.89,57.85
2016-11-21,73,89.0,,0.89,64.97
2016-11-22,76,89.0,,0.89,67.64
2016-11-23,75,89.0,,0.89,66.75
2016-11-24,83,89.0,,0.89,73.87
2016-11-25,100,89.0,,0.89,89.0
2016-11-26,78,89.0,,0.89,69.42
2016-11-27,77,89.0,,0.89,68.53
2016-11-28,92,89.0,,0.89,81.88
2016-11-29,83,89.0,,0.89,73.87
2016-11-30,75,89.0,,0.89,66.75
2016-12-01,96,83.0,False,0.83,79.67999999999999
2016-12-02,93,83.0,,0.83,77.19
2016-12-03,89,83.0,,0.83,73.86999999999999
2016-12-04,87,83.0,,0.83,72.21
2016-12-05,91,83.0,,0.83,75.53
2016-12-06,94,83.0,,0.83,78.02
2016-12-07,95,83.0,,0.83,78.85
2016-12-08,95,83.0,,0.83,78.85
2016-12-09,88,83.0,,0.83,73.03999999999999
2016-12-10,88,83.0,,0.83,73.03999999999999
2016-12-11,92,83.0,,0.83,76.36
2016-12-12,96,83.0,,0.83,79.67999999999999
2016-12-13,89,83.0,,0.83,73.86999999999999
2016-12-14,98,83.0,,0.83,81.33999999999999
2016-12-15,94,83.0,,0.83,78.02
2016-12-16,93,83.0,,0.83,77.19
2016-12-17,86,83.0,,0.83,71.38
2016-12-18,85,83.0,,0.83,70.55
2016-12-19,95,83.0,,0.83,78.85
2016-12-20,100,83.0,,0.83,83.0
2016-12-21,96,83.0,,0.83,79.67999999999999
2016-12-22,96,83.0,,0.83,79.67999999999999
2016-12-23,87,83.0,,0.83,72.21
2016-12-24,77,83.0,,0.83,63.91
2016-12-25,90,83.0,,0.83,74.7
2016-12-26,91,83.0,,0.83,75.53
2016-12-27,95,83.0,,0.83,78.85
2016-12-28,96,83.0,,0.83,79.67999999999999
2016-12-29,89,83.0,,0.83,73.86999999999999
2016-12-30,90,83.0,,0.83,74.7
2016-12-31,77,83.0,,0.83,63.91
2017-01-01,76,85.0,False,0.85,64.6
2017-01-02,88,85.0,,0.85,74.8
2017-01-03,92,85.0,,0.85,78.2
2017-01-04,92,85.0,,0.85,78.2
2017-01-05,95,85.0,,0.85,80.75
2017-01-06,92,85.0,,0.85,78.2
2017-01-07,87,85.0,,0.85,73.95
2017-01-08,82,85.0,,0.85,69.7
2017-01-09,93,85.0,,0.85,79.05
2017-01-10,90,85.0,,0.85,76.5
2017-01-11,96,85.0,,0.85,81.6
2017-01-12,97,85.0,,0.85,82.45
2017-01-13,94,85.0,,0.85,79.89999999999999
2017-01-14,86,85.0,,0.85,73.1
2017-01-15,84,85.0,,0.85,71.39999999999999
2017-01-16,96,85.0,,0.85,81.6
2017-01-17,97,85.0,,0.85,82.45
2017-01-18,94,85.0,,0.85,79.89999999999999
2017-01-19,93,85.0,,0.85,79.05
2017-01-20,87,85.0,,0.85,73.95
2017-01-21,86,85.0,,0.85,73.1
2017-01-22,88,85.0,,0.85,74.8
2017-01-23,91,85.0,,0.85,77.35
2017-01-24,97,85.0,,0.85,82.45
2017-01-25,100,85.0,,0.85,85.0
2017-01-26,94,85.0,,0.85,79.89999999999999
2017-01-27,93,85.0,,0.85,79.05
2017-01-28,88,85.0,,0.85,74.8
2017-01-29,96,85.0,,0.85,81.6
2017-01-30,92,85.0,,0.85,78.2
2017-01-31,100,85.0,,0.85,85.0
2017-02-01,100,83.0,False,0.83,83.0
2017-02-02,99,83.0,,0.83,82.17
2017-02-03,98,83.0,,0.83,81.33999999999999
2017-02-04,93,83.0,,0.83,77.19
2017-02-05,92,83.0,,0.83,76.36
2017-02-06,92,83.0,,0.83,76.36
2017-02-07,98,83.0,,0.83,81.33999999999999
2017-02-08,96,83.0,,0.83,79.67999999999999
2017-02-09,95,83.0,,0.83,78.85
2017-02-10,92,83.0,,0.83,76.36
2017-02-11,93,83.0,,0.83,77.19
2017-02-12,94,83.0,,0.83,78.02
2017-02-13,92,83.0,,0.83,76.36
2017-02-14,91,83.0,,0.83,75.53
2017-02-15,94,83.0,,0.83,78.02
2017-02-16,95,83.0,,0.83,78.85
2017-02-17,93,83.0,,0.83,77.19
2017-02-18,88,83.0,,0.83,73.03999999999999
2017-02-19,96,83.0,,0.83,79.67999999999999
2017-02-20,99,83.0,,0.83,82.17
2017-02-21,98,83.0,,0.83,81.33999999999999
2017-02-22,96,83.0,,0.83,79.67999999999999
2017-02-23,95,83.0,,0.83,78.85
2017-02-24,95,83.0,,0.83,78.85
2017-02-25,94,83.0,,0.83,78.02
2017-02-26,90,83.0,,0.83,74.7
2017-02-27,92,83.0,,0.83,76.36
2017-02-28,96,83.0,,0.83,79.67999999999999
2017-03-01,90,84.0,False,0.84,75.6
2017-03-02,96,84.0,,0.84,80.64
2017-03-03,93,84.0,,0.84,78.11999999999999
2017-03-04,87,84.0,,0.84,73.08
2017-03-05,95,84.0,,0.84,79.8
2017-03-06,98,84.0,,0.84,82.32
2017-03-07,94,84.0,,0.84,78.96
2017-03-08,92,84.0,,0.84,77.28
2017-03-09,93,84.0,,0.84,78.11999999999999
2017-03-10,90,84.0,,0.84,75.6
2017-03-11,87,84.0,,0.84,73.08
2017-03-12,89,84.0,,0.84,74.75999999999999
2017-03-13,92,84.0,,0.84,77.28
2017-03-14,94,84.0,,0.84,78.96
2017-03-15,98,84.0,,0.84,82.32
2017-03-16,91,84.0,,0.84,76.44
2017-03-17,89,84.0,,0.84,74.75999999999999
2017-03-18,86,84.0,,0.84,72.24
2017-03-19,90,84.0,,0.84,75.6
2017-03-20,100,84.0,,0.84,84.0
2017-03-21,96,84.0,,0.84,80.64
2017-03-22,94,84.0,,0.84,78.96
2017-03-23,93,84.0,,0.84,78.11999999999999
2017-03-24,92,84.0,,0.84,77.28
2017-03-25,85,84.0,,0.84,71.39999999999999
2017-03-26,91,84.0,,0.84,76.44
2017-03-27,92,84.0,,0.84,77.28
2017-03-28,100,84.0,,0.84,84.0
2017-03-29,94,84.0,,0.84,78.96
2017-03-30,95,84.0,,0.84,79.8
2017-03-31,93,84.0,,0.84,78.11999999999999
2017-04-01,92,78.0,False,0.78,71.76
2017-04-02,94,78.0,,0.78,73.32000000000001
2017-04-03,94,78.0,,0.78,73.32000000000001
2017-04-04,96,78.0,,0.78,74.88
2017-04-05,95,78.0,,0.78,74.10000000000001
2017-04-06,97,78.0,,0.78,75.66
2017-04-07,93,78.0,,0.78,72.54
2017-04-08,88,78.0,,0.78,68.64
2017-04-09,90,78.0,,0.78,70.2
2017-04-10,98,78.0,,0.78,76.44
2017-04-11,98,78.0,,0.78,76.44
2017-04-12,98,78.0,,0.78,76.44
2017-04-13,96,78.0,,0.78,74.88
2017-04-14,89,78.0,,0.78,69.42
2017-04-15,86,78.0,,0.78,67.08
2017-04-16,88,78.0,,0.78,68.64
2017-04-17,100,78.0,,0.78,78.0
2017-04-18,92,78.0,,0.78,71.76
2017-04-19,94,78.0,,0.78,73.32000000000001
2017-04-20,96,78.0,,0.78,74.88
2017-04-21,92,78.0,,0.78,71.76
2017-04-22,88,78.0,,0.78,68.64
2017-04-23,88,78.0,,0.78,68.64
2017-04-24,98,78.0,,0.78,76.44
2017-04-25,99,78.0,,0.78,77.22
2017-04-26,91,78.0,,0.78,70.98
2017-04-27,91,78.0,,0.78,70.98
2017-04-28,88,78.0,,0.78,68.64
2017-04-29,88,78.0,,0.78,68.64
2017-04-30,90,78.0,,0.78,70.2
2017-05-01,92,80.0,False,0.8,73.60000000000001
2017-05-02,93,80.0,,0.8,74.4
2017-05-03,96,80.0,,0.8,76.80000000000001
2017-05-04,90,80.0,,0.8,72.0
2017-05-05,94,80.0,,0.8,75.2
2017-05-06,84,80.0,,0.8,67.2
2017-05-07,91,80.0,,0.8,72.8
2017-05-08,98,80.0,,0.8,78.4
2017-05-09,100,80.0,,0.8,80.0
2017-05-10,94,80.0,,0.8,75.2
2017-05-11,97,80.0,,0.8,77.60000000000001
2017-05-12,94,80.0,,0.8,75.2
2017-05-13,89,80.0,,0.8,71.2
2017-05-14,90,80.0,,0.8,72.0
2017-05-15,96,80.0,,0.8,76.80000000000001
2017-05-16,95,80.0,,0.8,76.0
2017-05-17,94,80.0,,0.8,75.2
2017-05-18,92,80.0,,0.8,73.60000000000001
2017-05-19,86,80.0,,0.8,68.8
2017-05-20,83,80.0,,0.8,66.4
2017-05-21,86,80.0,,0.8,68.8
2017-05-22,99,80.0,,0.8,79.2
2017-05-23,96,80.0,,0.8,76.80000000000001
2017-05-24,91,80.0,,0.8,72.8
2017-05-25,92,80.0,,0.8,73.60000000000001
2017-05-26,95,80.0,,0.8,76.0
2017-05-27,80,80.0,,0.8,64.0
2017-05-28,87,80.0,,0.8,69.60000000000001
2017-05-29,86,80.0,,0.8,68.8
2017-05-30,95,80.0,,0.8,76.0
2017-05-31,97,80.0,,0.8,77.60000000000001
2017-06-01,90,82.0,False,0.82,73.8
2017-06-02,93,82.0,,0.82,76.25999999999999
2017-06-03,84,82.0,,0.82,68.88
2017-06-04,88,82.0,,0.82,72.16
2017-06-05,94,82.0,,0.82,77.08
2017-06-06,98,82.0,,0.82,80.36
2017-06-07,96,82.0,,0.82,78.72
2017-06-08,94,82.0,,0.82,77.08
2017-06-09,91,82.0,,0.82,74.61999999999999
2017-06-10,82,82.0,,0.82,67.24
2017-06-11,84,82.0,,0.82,68.88
2017-06-12,95,82.0,,0.82,77.89999999999999
2017-06-13,91,82.0,,0.82,74.61999999999999
2017-06-14,91,82.0,,0.82,74.61999999999999
2017-06-15,89,82.0,,0.82,72.97999999999999
2017-06-16,87,82.0,,0.82,71.33999999999999
2017-06-17,87,82.0,,0.82,71.33999999999999
2017-06-18,82,82.0,,0.82,67.24
2017-06-19,94,82.0,,0.82,77.08
2017-06-20,91,82.0,,0.82,74.61999999999999
2017-06-21,92,82.0,,0.82,75.44
2017-06-22,94,82.0,,0.82,77.08
2017-06-23,92,82.0,,0.82,75.44
2017-06-24,82,82.0,,0.82,67.24
2017-06-25,86,82.0,,0.82,70.52
2017-06-26,100,82.0,,0.82,82.0
2017-06-27,100,82.0,,0.82,82.0
2017-06-28,98,82.0,,0.82,80.36
2017-06-29,92,82.0,,0.82,75.44
2017-06-30,88,82.0,,0.82,72.16
2017-07-01,74,81.0,False,0.81,59.940000000000005
2017-07-02,84,81.0,,0.81,68.04
2017-07-03,88,81.0,,0.81,71.28
2017-07-04,78,81.0,,0.81,63.18000000000001
2017-07-05,93,81.0,,0.81,75.33
2017-07-06,94,81.0,,0.81,76.14
2017-07-07,85,81.0,,0.81,68.85000000000001
2017-07-08,82,81.0,,0.81,66.42
2017-07-09,90,81.0,,0.81,72.9
2017-07-10,95,81.0,,0.81,76.95
2017-07-11,100,81.0,,0.81,81.0
2017-07-12,94,81.0,,0.81,76.14
2017-07-13,92,81.0,,0.81,74.52000000000001
2017-07-14,91,81.0,,0.81,73.71000000000001
2017-07-15,81,81.0,,0.81,65.61
2017-07-16,82,81.0,,0.81,66.42
2017-07-17,94,81.0,,0.81,76.14
2017-07-18,98,81.0,,0.81,79.38000000000001
2017-07-19,96,81.0,,0.81,77.76
2017-07-20,90,81.0,,0.81,72.9
2017-07-21,86,81.0,,0.81,69.66000000000001
2017-07-22,84,81.0,,0.81,68.04
2017-07-23,85,81.0,,0.81,68.85000000000001
2017-07-24,91,81.0,,0.81,73.71000000000001
2017-07-25,91,81.0,,0.81,73.71000000000001
2017-07-26,90,81.0,,0.81,72.9
2017-07-27,96,81.0,,0.81,77.76
2017-07-28,93,81.0,,0.81,75.33
2017-07-29,84,81.0,,0.81,68.04
2017-07-30,82,81.0,,0.81,66.42
2017-07-31,96,81.0,,0.81,77.76
2017-08-01,96,88.0,False,0.88,84.48
2017-08-02,93,88.0,,0.88,81.84
2017-08-03,90,88.0,,0.88,79.2
2017-08-04,92,88.0,,0.88,80.96
2017-08-05,87,88.0,,0.88,76.56
2017-08-06,88,88.0,,0.88,77.44
2017-08-07,97,88.0,,0.88,85.36
2017-08-08,95,88.0,,0.88,83.6
2017-08-09,96,88.0,,0.88,84.48
2017-08-10,95,88.0,,0.88,83.6
2017-08-11,90,88.0,,0.88,79.2
2017-08-12,86,88.0,,0.88,75.68
2017-08-13,87,88.0,,0.88,76.56
2017-08-14,94,88.0,,0.88,82.72
2017-08-15,97,88.0,,0.88,85.36
2017-08-16,93,88.0,,0.88,81.84
2017-08-17,96,88.0,,0.88,84.48
2017-08-18,89,88.0,,0.88,78.32000000000001
2017-08-19,90,88.0,,0.88,79.2
2017-08-20,88,88.0,,0.88,77.44
2017-08-21,87,88.0,,0.88,76.56
2017-08-22,99,88.0,,0.88,87.12
2017-08-23,99,88.0,,0.88,87.12
2017-08-24,93,88.0,,0.88,81.84
2017-08-25,90,88.0,,0.88,79.2
2017-08-26,82,88.0,,0.88,72.16
2017-08-27,79,88.0,,0.88,69.52
2017-08-28,100,88.0,,0.88,88.0
2017-08-29,94,88.0,,0.88,82.72
2017-08-30,94,88.0,,0.88,82.72
2017-08-31,93,88.0,,0.88,81.84
2017-09-01,93,80.0,False,0.8,74.4
2017-09-02,88,80.0,,0.8,70.4
2017-09-03,86,80.0,,0.8,68.8
2017-09-04,92,80.0,,0.8,73.60000000000001
2017-09-05,92,80.0,,0.8,73.60000000000001
2017-09-06,89,80.0,,0.8,71.2
2017-09-07,89,80.0,,0.8,71.2
2017-09-08,83,80.0,,0.8,66.4
2017-09-09,76,80.0,,0.8,60.800000000000004
2017-09-10,78,80.0,,0.8,62.400000000000006
2017-09-11,91,80.0,,0.8,72.8
2017-09-12,88,80.0,,0.8,70.4
2017-09-13,96,80.0,,0.8,76.80000000000001
2017-09-14,100,80.0,,0.8,80.0
2017-09-15,87,80.0,,0.8,69.60000000000001
2017-09-16,87,80.0,,0.8,69.60000000000001
2017-09-17,82,80.0,,0.8,65.60000000000001
2017-09-18,95,80.0,,0.8,76.0
2017-09-19,94,80.0,,0.8,75.2
2017-09-20,95,80.0,,0.8,76.0
2017-09-21,91,80.0,,0.8,72.8
2017-09-22,86,80.0,,0.8,68.8
2017-09-23,78,80.0,,0.8,62.400000000000006
2017-09-24,83,80.0,,0.8,66.4
2017-09-25,89,80.0,,0.8,71.2
2017-09-26,91,80.0,,0.8,72.8
2017-09-27,87,80.0,,0.8,69.60000000000001
2017-09-28,88,80.0,,0.8,70.4
2017-09-29,85,80.0,,0.8,68.0
2017-09-30,78,80.0,,0.8,62.400000000000006
2017-10-01,83,79.0,False,0.79,65.57000000000001
2017-10-02,89,79.0,,0.79,70.31
2017-10-03,94,79.0,,0.79,74.26
2017-10-04,95,79.0,,0.79,75.05
2017-10-05,94,79.0,,0.79,74.26
2017-10-06,88,79.0,,0.79,69.52000000000001
2017-10-07,81,79.0,,0.79,63.99
2017-10-08,84,79.0,,0.79,66.36
2017-10-09,91,79.0,,0.79,71.89
2017-10-10,91,79.0,,0.79,71.89
2017-10-11,97,79.0,,0.79,76.63000000000001
2017-10-12,94,79.0,,0.79,74.26
2017-10-13,89,79.0,,0.79,70.31
2017-10-14,82,79.0,,0.79,64.78
2017-10-15,80,79.0,,0.79,63.2
2017-10-16,100,79.0,,0.79,79.0
2017-10-17,98,79.0,,0.79,77.42
2017-10-18,92,79.0,,0.79,72.68
2017-10-19,95,79.0,,0.79,75.05
2017-10-20,92,79.0,,0.79,72.68
2017-10-21,82,79.0,,0.79,64.78
2017-10-22,87,79.0,,0.79,68.73
2017-10-23,94,79.0,,0.79,74.26
2017-10-24,94,79.0,,0.79,74.26
2017-10-25,94,79.0,,0.79,74.26
2017-10-26,91,79.0,,0.79,71.89
2017-10-27,90,79.0,,0.79,71.10000000000001
2017-10-28,88,79.0,,0.79,69.52000000000001
2017-10-29,84,79.0,,0.79,66.36
2017-10-30,89,79.0,,0.79,70.31
2017-10-31,89,79.0,,0.79,70.31
2017-11-01,58,84.0,False,0.84,48.72
2017-11-02,58,84.0,,0.84,48.72
2017-11-03,57,84.0,,0.84,47.879999999999995
2017-11-04,54,84.0,,0.84,45.36
2017-11-05,54,84.0,,0.84,45.36
2017-11-06,58,84.0,,0.84,48.72
2017-11-07,58,84.0,,0.84,48.72
2017-11-08,61,84.0,,0.84,51.239999999999995
2017-11-09,60,84.0,,0.84,50.4
2017-11-10,60,84.0,,0.84,50.4
2017-11-11,58,84.0,,0.84,48.72
2017-11-12,55,84.0,,0.84,46.199999999999996
2017-11-13,60,84.0,,0.84,50.4
2017-11-14,62,84.0,,0.84,52.08
2017-11-15,63,84.0,,0.84,52.919999999999995
2017-11-16,60,84.0,,0.84,50.4
2017-11-17,60,84.0,,0.84,50.4
2017-11-18,58,84.0,,0.84,48.72
2017-11-19,59,84.0,,0.84,49.559999999999995
2017-11-20,64,84.0,,0.84,53.76
2017-11-21,67,84.0,,0.84,56.28
2017-11-22,67,84.0,,0.84,56.28
2017-11-23,81,84.0,,0.84,68.03999999999999
2017-11-24,100,84.0,,0.84,84.0
2017-11-25,72,84.0,,0.84,60.48
2017-11-26,70,84.0,,0.84,58.8
2017-11-27,83,84.0,,0.84,69.72
2017-11-28,74,84.0,,0.84,62.16
2017-11-29,65,84.0,,0.84,54.6
2017-11-30,63,84.0,,0.84,52.919999999999995
2017-12-01,88,82.0,False,0.82,72.16
2017-12-02,86,82.0,,0.82,70.52
2017-12-03,85,82.0,,0.82,69.7
2017-12-04,89,82.0,,0.82,72.97999999999999
2017-12-05,91,82.0,,0.82,74.61999999999999
2017-12-06,91,82.0,,0.82,74.61999999999999
2017-12-07,86,82.0,,0.82,70.52
2017-12-08,83,82.0,,0.82,68.06
2017-12-09,85,82.0,,0.82,69.7
2017-12-10,83,82.0,,0.82,68.06
2017-12-11,92,82.0,,0.82,75.44
2017-12-12,89,82.0,,0.82,72.97999999999999
2017-12-13,87,82.0,,0.82,71.33999999999999
2017-12-14,88,82.0,,0.82,72.16
2017-12-15,89,82.0,,0.82,72.97999999999999
2017-12-16,87,82.0,,0.82,71.33999999999999
2017-12-17,84,82.0,,0.82,68.88
2017-12-18,86,82.0,,0.82,70.52
2017-12-19,92,82.0,,0.82,75.44
2017-12-20,95,82.0,,0.82,77.89999999999999
2017-12-21,89,82.0,,0.82,72.97999999999999
2017-12-22,85,82.0,,0.82,69.7
2017-12-23,81,82.0,,0.82,66.42
2017-12-24,80,82.0,,0.82,65.6
2017-12-25,100,82.0,,0.82,82.0
2017-12-26,97,82.0,,0.82,79.53999999999999
2017-12-27,97,82.0,,0.82,79.53999999999999
2017-12-28,94,82.0,,0.82,77.08
