date,AMZN_unscaled,AMZN_monthly,isPartial,scale,AMZN
2016-07-05,16,20.0,,0.2,3.2
2016-07-06,20,20.0,,0.2,4.0
2016-07-07,19,20.0,,0.2,3.8000000000000003
2016-07-08,22,20.0,,0.2,4.4
2016-07-09,7,20.0,,0.2,1.4000000000000001
2016-07-10,5,20.0,,0.2,1.0
2016-07-11,29,20.0,,0.2,5.800000000000001
2016-07-12,39,20.0,,0.2,7.800000000000001
2016-07-13,35,20.0,,0.2,7.0
2016-07-14,19,20.0,,0.2,3.8000000000000003
2016-07-15,23,20.0,,0.2,4.6000000000000005
2016-07-16,3,20.0,,0.2,0.6000000000000001
2016-07-17,3,20.0,,0.2,0.6000000000000001
2016-07-18,19,20.0,,0.2,3.8000000000000003
2016-07-19,22,20.0,,0.2,4.4
2016-07-20,20,20.0,,0.2,4.0
2016-07-21,20,20.0,,0.2,4.0
2016-07-22,20,20.0,,0.2,4.0
2016-07-23,6,20.0,,0.2,1.2000000000000002
2016-07-24,4,20.0,,0.2,0.8
2016-07-25,20,20.0,,0.2,4.0
2016-07-26,23,20.0,,0.2,4.6000000000000005
2016-07-27,27,20.0,,0.2,5.4
2016-07-28,100,20.0,,0.2,20.0
2016-07-29,76,20.0,,0.2,15.200000000000001
2016-07-30,10,20.0,,0.2,2.0
2016-07-31,4,20.0,,0.2,0.8
2016-08-01,100,13.0,False,0.13,13.0
2016-08-02,90,13.0,,0.13,11.700000000000001
2016-08-03,80,13.0,,0.13,10.4
2016-08-04,66,13.0,,0.13,8.58
2016-08-05,87,13.0,,0.13,11.31
2016-08-06,22,13.0,,0.13,2.8600000000000003
2016-08-07,9,13.0,,0.13,1.17
2016-08-08,72,13.0,,0.13,9.36
2016-08-09,69,13.0,,0.13,8.97
2016-08-10,64,13.0,,0.13,8.32
2016-08-11,60,13.0,,0.13,7.800000000000001
2016-08-12,56,13.0,,0.13,7.28
2016-08-13,20,13.0,,0.13,2.6
2016-08-14,9,13.0,,0.13,1.17
2016-08-15,57,13.0,,0.13,7.41
2016-08-16,63,13.0,,0.13,8.19
2016-08-17,47,13.0,,0.13,6.11
2016-08-18,45,13.0,,0.13,5.8500000000000005
2016-08-19,50,13.0,,0.13,6.5
2016-08-20,14,13.0,,0.13,1.82
2016-08-21,8,13.0,,0.13,1.04
2016-08-22,39,13.0,,0.13,5.07
2016-08-23,52,13.0,,0.13,6.76
2016-08-24,45,13.0,,0.13,5.8500000000000005
2016-08-25,50,13.0,,0.13,6.5
2016-08-26,50,13.0,,0.13,6.5
2016-08-27,15,13.0,,0.13,1.9500000000000002
2016-08-28,12,13.0,,0.13,1.56
2016-08-29,50,13.0,,0.13,6.5
2016-08-30,53,13.0,,0.13,6.890000000000001
2016-08-31,57,13.0,,0.13,7.41
2016-09-01,46,14.0,False,0.14,6.44
2016-09-02,42,14.0,,0.14,5.880000000000001
2016-09-03,13,14.0,,0.14,1.8200000000000003
2016-09-04,14,14.0,,0.14,1.9600000000000002
2016-09-05,10,14.0,,0.14,1.4000000000000001
2016-09-06,60,14.0,,0.14,8.4
2016-09-07,75,14.0,,0.14,10.500000000000002
2016-09-08,58,14.0,,0.14,8.120000000000001
2016-09-09,59,14.0,,0.14,8.260000000000002
2016-09-10,17,14.0,,0.14,2.3800000000000003
2016-09-11,12,14.0,,0.14,1.6800000000000002
2016-09-12,55,14.0,,0.14,7.700000000000001
2016-09-13,55,14.0,,0.14,7.700000000000001
2016-09-14,40,14.0,,0.14,5.6000000000000005
2016-09-15,51,14.0,,0.14,7.140000000000001
2016-09-16,52,14.0,,0.14,7.280000000000001
2016-09-17,23,14.0,,0.14,3.22
2016-09-18,16,14.0,,0.14,2.24
2016-09-19,49,14.0,,0.14,6.86
2016-09-20,50,14.0,,0.14,7.000000000000001
2016-09-21,52,14.0,,0.14,7.280000000000001
2016-09-22,96,14.0,,0.14,13.440000000000001
2016-09-23,86,14.0,,0.14,12.040000000000001
2016-09-24,24,14.0,,0.14,3.3600000000000003
2016-09-25,17,14.0,,0.14,2.3800000000000003
2016-09-26,62,14.0,,0.14,8.680000000000001
2016-09-27,84,14.0,,0.14,11.760000000000002
2016-09-28,92,14.0,,0.14,12.88
2016-09-29,100,14.0,,0.14,14.000000000000002
2016-09-30,77,14.0,,0.14,10.780000000000001
2016-10-01,10,21.0,False,0.21,2.1
2016-10-02,5,21.0,,0.21,1.05
2016-10-03,23,21.0,,0.21,4.83
2016-10-04,25,21.0,,0.21,5.25
2016-10-05,27,21.0,,0.21,5.67
2016-10-06,23,21.0,,0.21,4.83
2016-10-07,20,21.0,,0.21,4.2
2016-10-08,6,21.0,,0.21,1.26
2016-10-09,4,21.0,,0.21,0.84
2016-10-10,21,21.0,,0.21,4.41
2016-10-11,26,21.0,,0.21,5.46
2016-10-12,20,21.0,,0.21,4.2
2016-10-13,22,21.0,,0.21,4.62
2016-10-14,19,21.0,,0.21,3.9899999999999998
2016-10-15,7,21.0,,0.21,1.47
2016-10-16,4,21.0,,0.21,0.84
2016-10-17,25,21.0,,0.21,5.25
2016-10-18,26,21.0,,0.21,5.46
2016-10-19,20,21.0,,0.21,4.2
2016-10-20,21,21.0,,0.21,4.41
2016-10-21,23,21.0,,0.21,4.83
2016-10-22,5,21.0,,0.21,1.05
2016-10-23,6,21.0,,0.21,1.26
2016-10-24,26,21.0,,0.21,5.46
2016-10-25,29,21.0,,0.21,6.09
2016-10-26,28,21.0,,0.21,5.88
2016-10-27,100,21.0,,0.21,21.0
2016-10-28,95,21.0,,0.21,19.95
2016-10-29,13,21.0,,0.21,2.73
2016-10-30,8,21.0,,0.21,1.68
2016-10-31,30,21.0,,0.21,6.3
2016-11-01,61,23.0,False,0.23,14.030000000000001
2016-11-02,50,23.0,,0.23,11.5
2016-11-03,51,23.0,,0.23,11.73
2016-11-04,43,23.0,,0.23,9.89
2016-11-05,13,23.0,,0.23,2.99
2016-11-06,9,23.0,,0.23,2.0700000000000003
2016-11-07,59,23.0,,0.23,13.57
2016-11-08,48,23.0,,0.23,11.040000000000001
2016-11-09,98,23.0,,0.23,22.540000000000003
2016-11-10,100,23.0,,0.23,23.0
2016-11-11,81,23.0,,0.23,18.630000000000003
2016-11-12,24,23.0,,0.23,5.5200000000000005
2016-11-13,10,23.0,,0.23,2.3000000000000003
2016-11-14,68,23.0,,0.23,15.64
2016-11-15,85,23.0,,0.23,19.55
2016-11-16,65,23.0,,0.23,14.950000000000001
2016-11-17,49,23.0,,0.23,11.270000000000001
2016-11-18,59,23.0,,0.23,13.57
2016-11-19,20,23.0,,0.23,4.6000000000000005
2016-11-20,10,23.0,,0.23,2.3000000000000003
2016-11-21,66,23.0,,0.23,15.180000000000001
2016-11-22,72,23.0,,0.23,16.560000000000002
2016-11-23,59,23.0,,0.23,13.57
2016-11-24,19,23.0,,0.23,4.37
2016-11-25,40,23.0,,0.23,9.200000000000001
2016-11-26,15,23.0,,0.23,3.45
2016-11-27,8,23.0,,0.23,1.84
2016-11-28,52,23.0,,0.23,11.96
2016-11-29,58,23.0,,0.23,13.34
2016-11-30,57,23.0,,0.23,13.110000000000001
2016-12-01,82,17.0,False,0.17,13.940000000000001
2016-12-02,63,17.0,,0.17,10.71
2016-12-03,25,17.0,,0.17,4.25
2016-12-04,13,17.0,,0.17,2.21
2016-12-05,97,17.0,,0.17,16.490000000000002
2016-12-06,100,17.0,,0.17,17.0
2016-12-07,89,17.0,,0.17,15.13
2016-12-08,77,17.0,,0.17,13.090000000000002
2016-12-09,75,17.0,,0.17,12.750000000000002
2016-12-10,19,17.0,,0.17,3.2300000000000004
2016-12-11,14,17.0,,0.17,2.3800000000000003
2016-12-12,62,17.0,,0.17,10.540000000000001
2016-12-13,77,17.0,,0.17,13.090000000000002
2016-12-14,79,17.0,,0.17,13.430000000000001
2016-12-15,70,17.0,,0.17,11.9
2016-12-16,58,17.0,,0.17,9.860000000000001
2016-12-17,22,17.0,,0.17,3.74
2016-12-18,9,17.0,,0.17,1.53
2016-12-19,59,17.0,,0.17,10.030000000000001
2016-12-20,74,17.0,,0.17,12.58
2016-12-21,64,17.0,,0.17,10.88
2016-12-22,63,17.0,,0.17,10.71
2016-12-23,63,17.0,,0.17,10.71
2016-12-24,20,17.0,,0.17,3.4000000000000004
2016-12-25,10,17.0,,0.17,1.7000000000000002
2016-12-26,21,17.0,,0.17,3.5700000000000003
2016-12-27,68,17.0,,0.17,11.56
2016-12-28,78,17.0,,0.17,13.260000000000002
2016-12-29,64,17.0,,0.17,10.88
2016-12-30,60,17.0,,0.17,10.200000000000001
2016-12-31,19,17.0,,0.17,3.2300000000000004
2017-01-01,4,19.0,False,0.19,0.76
2017-01-02,15,19.0,,0.19,2.85
2017-01-03,59,19.0,,0.19,11.21
2017-01-04,63,19.0,,0.19,11.97
2017-01-05,68,19.0,,0.19,12.92
2017-01-06,92,19.0,,0.19,17.48
2017-01-07,27,19.0,,0.19,5.13
2017-01-08,13,19.0,,0.19,2.47
2017-01-09,65,19.0,,0.19,12.35
2017-01-10,63,19.0,,0.19,11.97
2017-01-11,61,19.0,,0.19,11.59
2017-01-12,92,19.0,,0.19,17.48
2017-01-13,72,19.0,,0.19,13.68
2017-01-14,30,19.0,,0.19,5.7
2017-01-15,14,19.0,,0.19,2.66
2017-01-16,26,19.0,,0.19,4.94
2017-01-17,65,19.0,,0.19,12.35
2017-01-18,66,19.0,,0.19,12.540000000000001
2017-01-19,64,19.0,,0.19,12.16
2017-01-20,67,19.0,,0.19,12.73
2017-01-21,23,19.0,,0.19,4.37
2017-01-22,11,19.0,,0.19,2.09
2017-01-23,53,19.0,,0.19,10.07
2017-01-24,74,19.0,,0.19,14.06
2017-01-25,89,19.0,,0.19,16.91
2017-01-26,100,19.0,,0.19,19.0
2017-01-27,82,19.0,,0.19,15.58
2017-01-28,23,19.0,,0.19,4.37
2017-01-29,14,19.0,,0.19,2.66
2017-01-30,71,19.0,,0.19,13.49
2017-01-31,86,19.0,,0.19,16.34
2017-02-01,36,25.0,False,0.25,9.0
2017-02-02,93,25.0,,0.25,23.25
2017-02-03,100,25.0,,0.25,25.0
2017-02-04,15,25.0,,0.25,3.75
2017-02-05,8,25.0,,0.25,2.0
2017-02-06,28,25.0,,0.25,7.0
2017-02-07,33,25.0,,0.25,8.25
2017-02-08,27,25.0,,0.25,6.75
2017-02-09,28,25.0,,0.25,7.0
2017-02-10,26,25.0,,0.25,6.5
2017-02-11,8,25.0,,0.25,2.0
2017-02-12,6,25.0,,0.25,1.5
2017-02-13,27,25.0,,0.25,6.75
2017-02-14,25,25.0,,0.25,6.25
2017-02-15,29,25.0,,0.25,7.25
2017-02-16,27,25.0,,0.25,6.75
2017-02-17,25,25.0,,0.25,6.25
2017-02-18,9,25.0,,0.25,2.25
2017-02-19,5,25.0,,0.25,1.25
2017-02-20,11,25.0,,0.25,2.75
2017-02-21,29,25.0,,0.25,7.25
2017-02-22,26,25.0,,0.25,6.5
2017-02-23,26,25.0,,0.25,6.5
2017-02-24,21,25.0,,0.25,5.25
2017-02-25,6,25.0,,0.25,1.5
2017-02-26,5,25.0,,0.25,1.25
2017-02-27,20,25.0,,0.25,5.0
2017-02-28,35,25.0,,0.25,8.75
2017-03-01,88,16.0,False,0.16,14.08
2017-03-02,64,16.0,,0.16,10.24
2017-03-03,58,16.0,,0.16,9.28
2017-03-04,17,16.0,,0.16,2.72
2017-03-05,14,16.0,,0.16,2.24
2017-03-06,53,16.0,,0.16,8.48
2017-03-07,58,16.0,,0.16,9.28
2017-03-08,46,16.0,,0.16,7.36
2017-03-09,54,16.0,,0.16,8.64
2017-03-10,51,16.0,,0.16,8.16
2017-03-11,15,16.0,,0.16,2.4
2017-03-12,13,16.0,,0.16,2.08
2017-03-13,47,16.0,,0.16,7.5200000000000005
2017-03-14,40,16.0,,0.16,6.4
2017-03-15,59,16.0,,0.16,9.44
2017-03-16,57,16.0,,0.16,9.120000000000001
2017-03-17,49,16.0,,0.16,7.84
2017-03-18,16,16.0,,0.16,2.56
2017-03-19,8,16.0,,0.16,1.28
2017-03-20,55,16.0,,0.16,8.8
2017-03-21,60,16.0,,0.16,9.6
2017-03-22,52,16.0,,0.16,8.32
2017-03-23,53,16.0,,0.16,8.48
2017-03-24,42,16.0,,0.16,6.72
2017-03-25,14,16.0,,0.16,2.24
2017-03-26,9,16.0,,0.16,1.44
2017-03-27,49,16.0,,0.16,7.84
2017-03-28,58,16.0,,0.16,9.28
2017-03-29,86,16.0,,0.16,13.76
2017-03-30,100,16.0,,0.16,16.0
2017-03-31,96,16.0,,0.16,15.36
2017-04-01,13,30.0,False,0.3,3.9
2017-04-02,7,30.0,,0.3,2.1
2017-04-03,24,30.0,,0.3,7.199999999999999
2017-04-04,37,30.0,,0.3,11.1
2017-04-05,44,30.0,,0.3,13.2
2017-04-06,38,30.0,,0.3,11.4
2017-04-07,30,30.0,,0.3,9.0
2017-04-08,7,30.0,,0.3,2.1
2017-04-09,6,30.0,,0.3,1.7999999999999998
2017-04-10,30,30.0,,0.3,9.0
2017-04-11,26,30.0,,0.3,7.8
2017-04-12,29,30.0,,0.3,8.7
2017-04-13,24,30.0,,0.3,7.199999999999999
2017-04-14,14,30.0,,0.3,4.2
2017-04-15,5,30.0,,0.3,1.5
2017-04-16,4,30.0,,0.3,1.2
2017-04-17,29,30.0,,0.3,8.7
2017-04-18,30,30.0,,0.3,9.0
2017-04-19,23,30.0,,0.3,6.8999999999999995
2017-04-20,24,30.0,,0.3,7.199999999999999
2017-04-21,23,30.0,,0.3,6.8999999999999995
2017-04-22,7,30.0,,0.3,2.1
2017-04-23,4,30.0,,0.3,1.2
2017-04-24,28,30.0,,0.3,8.4
2017-04-25,31,30.0,,0.3,9.299999999999999
2017-04-26,32,30.0,,0.3,9.6
2017-04-27,100,30.0,,0.3,30.0
2017-04-28,90,30.0,,0.3,27.0
2017-04-29,15,30.0,,0.3,4.5
2017-04-30,7,30.0,,0.3,2.1
2017-05-01,75,33.0,False,0.33,24.75
2017-05-02,69,33.0,,0.33,22.77
2017-05-03,55,33.0,,0.33,18.150000000000002
2017-05-04,54,33.0,,0.33,17.82
2017-05-05,46,33.0,,0.33,15.180000000000001
2017-05-06,14,33.0,,0.33,4.62
2017-05-07,10,33.0,,0.33,3.3000000000000003
2017-05-08,57,33.0,,0.33,18.810000000000002
2017-05-09,65,33.0,,0.33,21.45
2017-05-10,56,33.0,,0.33,18.48
2017-05-11,44,33.0,,0.33,14.520000000000001
2017-05-12,61,33.0,,0.33,20.130000000000003
2017-05-13,17,33.0,,0.33,5.61
2017-05-14,11,33.0,,0.33,3.6300000000000003
2017-05-15,54,33.0,,0.33,17.82
2017-05-16,69,33.0,,0.33,22.77
2017-05-17,60,33.0,,0.33,19.8
2017-05-18,54,33.0,,0.33,17.82
2017-05-19,52,33.0,,0.33,17.16
2017-05-20,16,33.0,,0.33,5.28
2017-05-21,9,33.0,,0.33,2.97
2017-05-22,50,33.0,,0.33,16.5
2017-05-23,57,33.0,,0.33,18.810000000000002
2017-05-24,57,33.0,,0.33,18.810000000000002
2017-05-25,100,33.0,,0.33,33.0
2017-05-26,85,33.0,,0.33,28.05
2017-05-27,18,33.0,,0.33,5.94
2017-05-28,12,33.0,,0.33,3.96
2017-05-29,15,33.0,,0.33,4.95
2017-05-30,100,33.0,,0.33,33.0
2017-05-31,79,33.0,,0.33,26.07
2017-06-01,37,42.0,False,0.42,15.54
2017-06-02,37,42.0,,0.42,15.54
2017-06-03,9,42.0,,0.42,3.78
2017-06-04,7,42.0,,0.42,2.94
2017-06-05,30,42.0,,0.42,12.6
2017-06-06,35,42.0,,0.42,14.7
2017-06-07,28,42.0,,0.42,11.76
2017-06-08,30,42.0,,0.42,12.6
2017-06-09,44,42.0,,0.42,18.48
2017-06-10,13,42.0,,0.42,5.46
2017-06-11,9,42.0,,0.42,3.78
2017-06-12,43,42.0,,0.42,18.06
2017-06-13,37,42.0,,0.42,15.54
2017-06-14,35,42.0,,0.42,14.7
2017-06-15,33,42.0,,0.42,13.86
2017-06-16,100,42.0,,0.42,42.0
2017-06-17,20,42.0,,0.42,8.4
2017-06-18,10,42.0,,0.42,4.2
2017-06-19,48,42.0,,0.42,20.16
2017-06-20,38,42.0,,0.42,15.959999999999999
2017-06-21,36,42.0,,0.42,15.12
2017-06-22,33,42.0,,0.42,13.86
2017-06-23,33,42.0,,0.42,13.86
2017-06-24,7,42.0,,0.42,2.94
2017-06-25,8,42.0,,0.42,3.36
2017-06-26,32,42.0,,0.42,13.44
2017-06-27,29,42.0,,0.42,12.18
2017-06-28,34,42.0,,0.42,14.28
2017-06-29,37,42.0,,0.42,15.54
2017-06-30,28,42.0,,0.42,11.76
2017-07-01,5,44.0,False,0.44,2.2
2017-07-02,3,44.0,,0.44,1.32
2017-07-03,21,44.0,,0.44,9.24
2017-07-04,30,44.0,,0.44,13.2
2017-07-05,24,44.0,,0.44,10.56
2017-07-06,24,44.0,,0.44,10.56
2017-07-07,20,44.0,,0.44,8.8
2017-07-08,6,44.0,,0.44,2.64
2017-07-09,4,44.0,,0.44,1.76
2017-07-10,23,44.0,,0.44,10.12
2017-07-11,27,44.0,,0.44,11.88
2017-07-12,28,44.0,,0.44,12.32
2017-07-13,23,44.0,,0.44,10.12
2017-07-14,21,44.0,,0.44,9.24
2017-07-15,5,44.0,,0.44,2.2
2017-07-16,4,44.0,,0.44,1.76
2017-07-17,23,44.0,,0.44,10.12
2017-07-18,25,44.0,,0.44,11.0
2017-07-19,26,44.0,,0.44,11.44
2017-07-20,25,44.0,,0.44,11.0
2017-07-21,23,44.0,,0.44,10.12
2017-07-22,6,44.0,,0.44,2.64
2017-07-23,4,44.0,,0.44,1.76
2017-07-24,25,44.0,,0.44,11.0
2017-07-25,26,44.0,,0.44,11.44
2017-07-26,33,44.0,,0.44,14.52
2017-07-27,100,44.0,,0.44,44.0
2017-07-28,72,44.0,,0.44,31.68
2017-07-29,14,44.0,,0.44,6.16
2017-07-30,6,44.0,,0.44,2.64
2017-07-31,41,44.0,,0.44,18.04
2017-08-01,100,35.0,False,0.35,35.0
2017-08-02,90,35.0,,0.35,31.499999999999996
2017-08-03,61,35.0,,0.35,21.349999999999998
2017-08-04,70,35.0,,0.35,24.5
2017-08-05,17,35.0,,0.35,5.949999999999999
2017-08-06,9,35.0,,0.35,3.15
2017-08-07,56,35.0,,0.35,19.599999999999998
2017-08-08,59,35.0,,0.35,20.65
2017-08-09,60,35.0,,0.35,21.0
2017-08-10,78,35.0,,0.35,27.299999999999997
2017-08-11,64,35.0,,0.35,22.4
2017-08-12,18,35.0,,0.35,6.3
2017-08-13,11,35.0,,0.35,3.8499999999999996
2017-08-14,61,35.0,,0.35,21.349999999999998
2017-08-15,55,35.0,,0.35,19.25
2017-08-16,77,35.0,,0.35,26.95
2017-08-17,57,35.0,,0.35,19.95
2017-08-18,55,35.0,,0.35,19.25
2017-08-19,16,35.0,,0.35,5.6
2017-08-20,7,35.0,,0.35,2.4499999999999997
2017-08-21,53,35.0,,0.35,18.549999999999997
2017-08-22,56,35.0,,0.35,19.599999999999998
2017-08-23,52,35.0,,0.35,18.2
2017-08-24,72,35.0,,0.35,25.2
2017-08-25,55,35.0,,0.35,19.25
2017-08-26,21,35.0,,0.35,7.35
2017-08-27,11,35.0,,0.35,3.8499999999999996
2017-08-28,58,35.0,,0.35,20.299999999999997
2017-08-29,57,35.0,,0.35,19.95
2017-08-30,52,35.0,,0.35,18.2
2017-08-31,43,35.0,,0.35,15.049999999999999
2017-09-01,91,19.0,False,0.19,17.29
2017-09-02,21,19.0,,0.19,3.99
2017-09-03,18,19.0,,0.19,3.42
2017-09-04,22,19.0,,0.19,4.18
2017-09-05,87,19.0,,0.19,16.53
2017-09-06,79,19.0,,0.19,15.01
2017-09-07,92,19.0,,0.19,17.48
2017-09-08,67,19.0,,0.19,12.73
2017-09-09,21,19.0,,0.19,3.99
2017-09-10,13,19.0,,0.19,2.47
2017-09-11,86,19.0,,0.19,16.34
2017-09-12,82,19.0,,0.19,15.58
2017-09-13,89,19.0,,0.19,16.91
2017-09-14,100,19.0,,0.19,19.0
2017-09-15,90,19.0,,0.19,17.1
2017-09-16,24,19.0,,0.19,4.5600000000000005
2017-09-17,12,19.0,,0.19,2.2800000000000002
2017-09-18,78,19.0,,0.19,14.82
2017-09-19,79,19.0,,0.19,15.01
2017-09-20,77,19.0,,0.19,14.63
2017-09-21,76,19.0,,0.19,14.44
2017-09-22,70,19.0,,0.19,13.3
2017-09-23,24,19.0,,0.19,4.5600000000000005
2017-09-24,13,19.0,,0.19,2.47
2017-09-25,94,19.0,,0.19,17.86
2017-09-26,100,19.0,,0.19,19.0
2017-09-27,94,19.0,,0.19,17.86
2017-09-28,94,19.0,,0.19,17.86
2017-09-29,70,19.0,,0.19,13.3
2017-09-30,27,19.0,,0.19,5.13
2017-10-01,3,37.0,False,0.37,1.1099999999999999
2017-10-02,12,37.0,,0.37,4.4399999999999995
2017-10-03,12,37.0,,0.37,4.4399999999999995
2017-10-04,13,37.0,,0.37,4.81
2017-10-05,14,37.0,,0.37,5.18
2017-10-06,14,37.0,,0.37,5.18
2017-10-07,4,37.0,,0.37,1.48
2017-10-08,3,37.0,,0.37,1.1099999999999999
2017-10-09,14,37.0,,0.37,5.18
2017-10-10,14,37.0,,0.37,5.18
2017-10-11,14,37.0,,0.37,5.18
2017-10-12,18,37.0,,0.37,6.66
2017-10-13,16,37.0,,0.37,5.92
2017-10-14,3,37.0,,0.37,1.1099999999999999
2017-10-15,3,37.0,,0.37,1.1099999999999999
2017-10-16,15,37.0,,0.37,5.55
2017-10-17,15,37.0,,0.37,5.55
2017-10-18,15,37.0,,0.37,5.55
2017-10-19,16,37.0,,0.37,5.92
2017-10-20,13,37.0,,0.37,4.81
2017-10-21,5,37.0,,0.37,1.85
2017-10-22,3,37.0,,0.37,1.1099999999999999
2017-10-23,16,37.0,,0.37,5.92
2017-10-24,16,37.0,,0.37,5.92
2017-10-25,17,37.0,,0.37,6.29
2017-10-26,57,37.0,,0.37,21.09
2017-10-27,100,37.0,,0.37,37.0
2017-10-28,21,37.0,,0.37,7.77
2017-10-29,11,37.0,,0.37,4.07
2017-10-30,33,37.0,,0.37,12.209999999999999
2017-10-31,26,37.0,,0.37,9.62
2017-11-01,67,33.0,False,0.33,22.11
2017-11-02,58,33.0,,0.33,19.14
2017-11-03,63,33.0,,0.33,20.790000000000003
2017-11-04,21,33.0,,0.33,6.930000000000001
2017-11-05,17,33.0,,0.33,5.61
2017-11-06,49,33.0,,0.33,16.17
2017-11-07,57,33.0,,0.33,18.810000000000002
2017-11-08,63,33.0,,0.33,20.790000000000003
2017-11-09,58,33.0,,0.33,19.14
2017-11-10,50,33.0,,0.33,16.5
2017-11-11,15,33.0,,0.33,4.95
2017-11-12,11,33.0,,0.33,3.6300000000000003
2017-11-13,58,33.0,,0.33,19.14
2017-11-14,49,33.0,,0.33,16.17
2017-11-15,60,33.0,,0.33,19.8
2017-11-16,51,33.0,,0.33,16.830000000000002
2017-11-17,49,33.0,,0.33,16.17
2017-11-18,14,33.0,,0.33,4.62
2017-11-19,11,33.0,,0.33,3.6300000000000003
2017-11-20,45,33.0,,0.33,14.850000000000001
2017-11-21,56,33.0,,0.33,18.48
2017-11-22,53,33.0,,0.33,17.490000000000002
2017-11-23,21,33.0,,0.33,6.930000000000001
2017-11-24,71,33.0,,0.33,23.43
2017-11-25,43,33.0,,0.33,14.190000000000001
2017-11-26,20,33.0,,0.33,6.6000000000000005
2017-11-27,89,33.0,,0.33,29.37
2017-11-28,95,33.0,,0.33,31.35
2017-11-29,100,33.0,,0.33,33.0
2017-11-30,82,33.0,,0.33,27.060000000000002
2017-12-01,100,23.0,False,0.23,23.0
2017-12-02,24,23.0,,0.23,5.5200000000000005
2017-12-03,13,23.0,,0.23,2.99
2017-12-04,97,23.0,,0.23,22.310000000000002
2017-12-05,97,23.0,,0.23,22.310000000000002
2017-12-06,82,23.0,,0.23,18.86
2017-12-07,86,23.0,,0.23,19.78
2017-12-08,73,23.0,,0.23,16.79
2017-12-09,20,23.0,,0.23,4.6000000000000005
2017-12-10,14,23.0,,0.23,3.22
2017-12-11,70,23.0,,0.23,16.1
2017-12-12,64,23.0,,0.23,14.72
2017-12-13,64,23.0,,0.23,14.72
2017-12-14,64,23.0,,0.23,14.72
2017-12-15,64,23.0,,0.23,14.72
2017-12-16,19,23.0,,0.23,4.37
2017-12-17,15,23.0,,0.23,3.45
2017-12-18,75,23.0,,0.23,17.25
2017-12-19,67,23.0,,0.23,15.41
2017-12-20,65,23.0,,0.23,14.950000000000001
2017-12-21,62,23.0,,0.23,14.26
2017-12-22,58,23.0,,0.23,13.34
