date,DM_unscaled,DM_monthly,isPartial,scale,DM
2016-08-08,70,80.0,,0.8,56.0
2016-08-09,77,80.0,,0.8,61.6
2016-08-10,79,80.0,,0.8,63.2
2016-08-11,80,80.0,,0.8,64.0
2016-08-12,80,80.0,,0.8,64.0
2016-08-13,77,80.0,,0.8,61.6
2016-08-14,65,80.0,,0.8,52.0
2016-08-15,67,80.0,,0.8,53.6
2016-08-16,84,80.0,,0.8,67.2
2016-08-17,82,80.0,,0.8,65.60000000000001
2016-08-18,81,80.0,,0.8,64.8
2016-08-19,65,80.0,,0.8,52.0
2016-08-20,64,80.0,,0.8,51.2
2016-08-21,74,80.0,,0.8,59.2
2016-08-22,73,80.0,,0.8,58.400000000000006
2016-08-23,86,80.0,,0.8,68.8
2016-08-24,86,80.0,,0.8,68.8
2016-08-25,86,80.0,,0.8,68.8
2016-08-26,80,80.0,,0.8,64.0
2016-08-27,70,80.0,,0.8,56.0
2016-08-28,75,80.0,,0.8,60.0
2016-08-29,77,80.0,,0.8,61.6
2016-08-30,82,80.0,,0.8,65.60000000000001
2016-08-31,87,80.0,,0.8,69.60000000000001
2016-09-01,67,87.0,False,0.87,58.29
2016-09-02,57,87.0,,0.87,49.589999999999996
2016-09-03,68,87.0,,0.87,59.16
2016-09-04,63,87.0,,0.87,54.81
2016-09-05,76,87.0,,0.87,66.12
2016-09-06,100,87.0,,0.87,87.0
2016-09-07,89,87.0,,0.87,77.42999999999999
2016-09-08,70,87.0,,0.87,60.9
2016-09-09,71,87.0,,0.87,61.77
2016-09-10,74,87.0,,0.87,64.38
2016-09-11,64,87.0,,0.87,55.68
2016-09-12,69,87.0,,0.87,60.03
2016-09-13,73,87.0,,0.87,63.51
2016-09-14,75,87.0,,0.87,65.25
2016-09-15,66,87.0,,0.87,57.42
2016-09-16,65,87.0,,0.87,56.55
2016-09-17,73,87.0,,0.87,63.51
2016-09-18,69,87.0,,0.87,60.03
2016-09-19,67,87.0,,0.87,58.29
2016-09-20,70,87.0,,0.87,60.9
2016-09-21,66,87.0,,0.87,57.42
2016-09-22,63,87.0,,0.87,54.81
2016-09-23,66,87.0,,0.87,57.42
2016-09-24,65,87.0,,0.87,56.55
2016-09-25,69,87.0,,0.87,60.03
2016-09-26,67,87.0,,0.87,58.29
2016-09-27,72,87.0,,0.87,62.64
2016-09-28,68,87.0,,0.87,59.16
2016-09-29,65,87.0,,0.87,56.55
2016-09-30,63,87.0,,0.87,54.81
2016-10-01,89,76.0,False,0.76,67.64
2016-10-02,84,76.0,,0.76,63.84
2016-10-03,74,76.0,,0.76,56.24
2016-10-04,91,76.0,,0.76,69.16
2016-10-05,100,76.0,,0.76,76.0
2016-10-06,84,76.0,,0.76,63.84
2016-10-07,83,76.0,,0.76,63.08
2016-10-08,81,76.0,,0.76,61.56
2016-10-09,92,76.0,,0.76,69.92
2016-10-10,81,76.0,,0.76,61.56
2016-10-11,92,76.0,,0.76,69.92
2016-10-12,94,76.0,,0.76,71.44
2016-10-13,80,76.0,,0.76,60.8
2016-10-14,80,76.0,,0.76,60.8
2016-10-15,89,76.0,,0.76,67.64
2016-10-16,80,76.0,,0.76,60.8
2016-10-17,86,76.0,,0.76,65.36
2016-10-18,92,76.0,,0.76,69.92
2016-10-19,82,76.0,,0.76,62.32
2016-10-20,89,76.0,,0.76,67.64
2016-10-21,81,76.0,,0.76,61.56
2016-10-22,93,76.0,,0.76,70.68
2016-10-23,89,76.0,,0.76,67.64
2016-10-24,84,76.0,,0.76,63.84
2016-10-25,90,76.0,,0.76,68.4
2016-10-26,85,76.0,,0.76,64.6
2016-10-27,84,76.0,,0.76,63.84
2016-10-28,80,76.0,,0.76,60.8
2016-10-29,76,76.0,,0.76,57.76
2016-10-30,78,76.0,,0.76,59.28
2016-10-31,88,76.0,,0.76,66.88
2016-11-01,96,79.0,False,0.79,75.84
2016-11-02,100,79.0,,0.79,79.0
2016-11-03,83,79.0,,0.79,65.57000000000001
2016-11-04,82,79.0,,0.79,64.78
2016-11-05,85,79.0,,0.79,67.15
2016-11-06,79,79.0,,0.79,62.410000000000004
2016-11-07,75,79.0,,0.79,59.25
2016-11-08,71,79.0,,0.79,56.09
2016-11-09,60,79.0,,0.79,47.400000000000006
2016-11-10,87,79.0,,0.79,68.73
2016-11-11,87,79.0,,0.79,68.73
2016-11-12,81,79.0,,0.79,63.99
2016-11-13,90,79.0,,0.79,71.10000000000001
2016-11-14,85,79.0,,0.79,67.15
2016-11-15,87,79.0,,0.79,68.73
2016-11-16,85,79.0,,0.79,67.15
2016-11-17,87,79.0,,0.79,68.73
2016-11-18,82,79.0,,0.79,64.78
2016-11-19,76,79.0,,0.79,60.040000000000006
2016-11-20,85,79.0,,0.79,67.15
2016-11-21,86,79.0,,0.79,67.94
2016-11-22,90,79.0,,0.79,71.10000000000001
2016-11-23,88,79.0,,0.79,69.52000000000001
2016-11-24,81,79.0,,0.79,63.99
2016-11-25,72,79.0,,0.79,56.88
2016-11-26,97,79.0,,0.79,76.63000000000001
2016-11-27,93,79.0,,0.79,73.47
2016-11-28,91,79.0,,0.79,71.89
2016-11-29,90,79.0,,0.79,71.10000000000001
2016-11-30,98,79.0,,0.79,77.42
2016-12-01,73,89.0,False,0.89,64.97
2016-12-02,75,89.0,,0.89,66.75
2016-12-03,84,89.0,,0.89,74.76
2016-12-04,71,89.0,,0.89,63.19
2016-12-05,75,89.0,,0.89,66.75
2016-12-06,76,89.0,,0.89,67.64
2016-12-07,75,89.0,,0.89,66.75
2016-12-08,70,89.0,,0.89,62.300000000000004
2016-12-09,68,89.0,,0.89,60.52
2016-12-10,72,89.0,,0.89,64.08
2016-12-11,66,89.0,,0.89,58.74
2016-12-12,68,89.0,,0.89,60.52
2016-12-13,69,89.0,,0.89,61.410000000000004
2016-12-14,71,89.0,,0.89,63.19
2016-12-15,72,89.0,,0.89,64.08
2016-12-16,71,89.0,,0.89,63.19
2016-12-17,68,89.0,,0.89,60.52
2016-12-18,74,89.0,,0.89,65.86
2016-12-19,79,89.0,,0.89,70.31
2016-12-20,81,89.0,,0.89,72.09
2016-12-21,80,89.0,,0.89,71.2
2016-12-22,84,89.0,,0.89,74.76
2016-12-23,70,89.0,,0.89,62.300000000000004
2016-12-24,69,89.0,,0.89,61.410000000000004
2016-12-25,61,89.0,,0.89,54.29
2016-12-26,72,89.0,,0.89,64.08
2016-12-27,91,89.0,,0.89,80.99
2016-12-28,92,89.0,,0.89,81.88
2016-12-29,100,89.0,,0.89,89.0
2016-12-30,92,89.0,,0.89,81.88
2016-12-31,73,89.0,,0.89,64.97
2017-01-01,66,91.0,False,0.91,60.06
2017-01-02,92,91.0,,0.91,83.72
2017-01-03,94,91.0,,0.91,85.54
2017-01-04,100,91.0,,0.91,91.0
2017-01-05,87,91.0,,0.91,79.17
2017-01-06,83,91.0,,0.91,75.53
2017-01-07,76,91.0,,0.91,69.16
2017-01-08,77,91.0,,0.91,70.07000000000001
2017-01-09,74,91.0,,0.91,67.34
2017-01-10,81,91.0,,0.91,73.71000000000001
2017-01-11,84,91.0,,0.91,76.44
2017-01-12,73,91.0,,0.91,66.43
2017-01-13,79,91.0,,0.91,71.89
2017-01-14,79,91.0,,0.91,71.89
2017-01-15,70,91.0,,0.91,63.7
2017-01-16,84,91.0,,0.91,76.44
2017-01-17,85,91.0,,0.91,77.35000000000001
2017-01-18,77,91.0,,0.91,70.07000000000001
2017-01-19,80,91.0,,0.91,72.8
2017-01-20,80,91.0,,0.91,72.8
2017-01-21,71,91.0,,0.91,64.61
2017-01-22,79,91.0,,0.91,71.89
2017-01-23,77,91.0,,0.91,70.07000000000001
2017-01-24,82,91.0,,0.91,74.62
2017-01-25,68,91.0,,0.91,61.88
2017-01-26,77,91.0,,0.91,70.07000000000001
2017-01-27,78,91.0,,0.91,70.98
2017-01-28,79,91.0,,0.91,71.89
2017-01-29,77,91.0,,0.91,70.07000000000001
2017-01-30,69,91.0,,0.91,62.79
2017-01-31,79,91.0,,0.91,71.89
2017-02-01,95,87.0,False,0.87,82.65
2017-02-02,94,87.0,,0.87,81.78
2017-02-03,85,87.0,,0.87,73.95
2017-02-04,85,87.0,,0.87,73.95
2017-02-05,93,87.0,,0.87,80.91
2017-02-06,78,87.0,,0.87,67.86
2017-02-07,86,87.0,,0.87,74.82
2017-02-08,95,87.0,,0.87,82.65
2017-02-09,90,87.0,,0.87,78.3
2017-02-10,92,87.0,,0.87,80.04
2017-02-11,90,87.0,,0.87,78.3
2017-02-12,88,87.0,,0.87,76.56
2017-02-13,90,87.0,,0.87,78.3
2017-02-14,90,87.0,,0.87,78.3
2017-02-15,87,87.0,,0.87,75.69
2017-02-16,90,87.0,,0.87,78.3
2017-02-17,93,87.0,,0.87,80.91
2017-02-18,89,87.0,,0.87,77.42999999999999
2017-02-19,99,87.0,,0.87,86.13
2017-02-20,94,87.0,,0.87,81.78
2017-02-21,88,87.0,,0.87,76.56
2017-02-22,100,87.0,,0.87,87.0
2017-02-23,87,87.0,,0.87,75.69
2017-02-24,86,87.0,,0.87,74.82
2017-02-25,95,87.0,,0.87,82.65
2017-02-26,80,87.0,,0.87,69.6
2017-02-27,80,87.0,,0.87,69.6
2017-02-28,84,87.0,,0.87,73.08
2017-03-01,93,88.0,False,0.88,81.84
2017-03-02,100,88.0,,0.88,88.0
2017-03-03,84,88.0,,0.88,73.92
2017-03-04,91,88.0,,0.88,80.08
2017-03-05,88,88.0,,0.88,77.44
2017-03-06,86,88.0,,0.88,75.68
2017-03-07,100,88.0,,0.88,88.0
2017-03-08,93,88.0,,0.88,81.84
2017-03-09,93,88.0,,0.88,81.84
2017-03-10,85,88.0,,0.88,74.8
2017-03-11,92,88.0,,0.88,80.96
2017-03-12,85,88.0,,0.88,74.8
2017-03-13,92,88.0,,0.88,80.96
2017-03-14,90,88.0,,0.88,79.2
2017-03-15,91,88.0,,0.88,80.08
2017-03-16,95,88.0,,0.88,83.6
2017-03-17,93,88.0,,0.88,81.84
2017-03-18,82,88.0,,0.88,72.16
2017-03-19,80,88.0,,0.88,70.4
2017-03-20,89,88.0,,0.88,78.32000000000001
2017-03-21,99,88.0,,0.88,87.12
2017-03-22,89,88.0,,0.88,78.32000000000001
2017-03-23,99,88.0,,0.88,87.12
2017-03-24,86,88.0,,0.88,75.68
2017-03-25,86,88.0,,0.88,75.68
2017-03-26,85,88.0,,0.88,74.8
2017-03-27,87,88.0,,0.88,76.56
2017-03-28,91,88.0,,0.88,80.08
2017-03-29,92,88.0,,0.88,80.96
2017-03-30,88,88.0,,0.88,77.44
2017-03-31,90,88.0,,0.88,79.2
2017-04-01,75,73.0,False,0.73,54.75
2017-04-02,87,73.0,,0.73,63.51
2017-04-03,92,73.0,,0.73,67.16
2017-04-04,93,73.0,,0.73,67.89
2017-04-05,92,73.0,,0.73,67.16
2017-04-06,100,73.0,,0.73,73.0
2017-04-07,91,73.0,,0.73,66.42999999999999
2017-04-08,88,73.0,,0.73,64.24
2017-04-09,85,73.0,,0.73,62.05
2017-04-10,93,73.0,,0.73,67.89
2017-04-11,93,73.0,,0.73,67.89
2017-04-12,92,73.0,,0.73,67.16
2017-04-13,92,73.0,,0.73,67.16
2017-04-14,90,73.0,,0.73,65.7
2017-04-15,90,73.0,,0.73,65.7
2017-04-16,94,73.0,,0.73,68.62
2017-04-17,86,73.0,,0.73,62.78
2017-04-18,89,73.0,,0.73,64.97
2017-04-19,88,73.0,,0.73,64.24
2017-04-20,79,73.0,,0.73,57.67
2017-04-21,76,73.0,,0.73,55.48
2017-04-22,89,73.0,,0.73,64.97
2017-04-23,80,73.0,,0.73,58.4
2017-04-24,93,73.0,,0.73,67.89
2017-04-25,93,73.0,,0.73,67.89
2017-04-26,88,73.0,,0.73,64.24
2017-04-27,87,73.0,,0.73,63.51
2017-04-28,83,73.0,,0.73,60.589999999999996
2017-04-29,90,73.0,,0.73,65.7
2017-04-30,87,73.0,,0.73,63.51
2017-05-01,96,70.0,False,0.7,67.19999999999999
2017-05-02,82,70.0,,0.7,57.4
2017-05-03,89,70.0,,0.7,62.3
2017-05-04,85,70.0,,0.7,59.49999999999999
2017-05-05,81,70.0,,0.7,56.699999999999996
2017-05-06,82,70.0,,0.7,57.4
2017-05-07,78,70.0,,0.7,54.599999999999994
2017-05-08,94,70.0,,0.7,65.8
2017-05-09,100,70.0,,0.7,70.0
2017-05-10,97,70.0,,0.7,67.89999999999999
2017-05-11,88,70.0,,0.7,61.599999999999994
2017-05-12,88,70.0,,0.7,61.599999999999994
2017-05-13,93,70.0,,0.7,65.1
2017-05-14,79,70.0,,0.7,55.3
2017-05-15,91,70.0,,0.7,63.699999999999996
2017-05-16,81,70.0,,0.7,56.699999999999996
2017-05-17,96,70.0,,0.7,67.19999999999999
2017-05-18,83,70.0,,0.7,58.099999999999994
2017-05-19,80,70.0,,0.7,56.0
2017-05-20,83,70.0,,0.7,58.099999999999994
2017-05-21,79,70.0,,0.7,55.3
2017-05-22,81,70.0,,0.7,56.699999999999996
2017-05-23,77,70.0,,0.7,53.9
2017-05-24,92,70.0,,0.7,64.39999999999999
2017-05-25,83,70.0,,0.7,58.099999999999994
2017-05-26,85,70.0,,0.7,59.49999999999999
2017-05-27,83,70.0,,0.7,58.099999999999994
2017-05-28,77,70.0,,0.7,53.9
2017-05-29,83,70.0,,0.7,58.099999999999994
2017-05-30,90,70.0,,0.7,62.99999999999999
2017-05-31,92,70.0,,0.7,64.39999999999999
2017-06-01,89,67.0,False,0.67,59.63
2017-06-02,92,67.0,,0.67,61.64
2017-06-03,79,67.0,,0.67,52.93
2017-06-04,81,67.0,,0.67,54.27
2017-06-05,83,67.0,,0.67,55.61000000000001
2017-06-06,94,67.0,,0.67,62.980000000000004
2017-06-07,97,67.0,,0.67,64.99000000000001
2017-06-08,100,67.0,,0.67,67.0
2017-06-09,92,67.0,,0.67,61.64
2017-06-10,73,67.0,,0.67,48.910000000000004
2017-06-11,78,67.0,,0.67,52.260000000000005
2017-06-12,91,67.0,,0.67,60.970000000000006
2017-06-13,87,67.0,,0.67,58.290000000000006
2017-06-14,92,67.0,,0.67,61.64
2017-06-15,92,67.0,,0.67,61.64
2017-06-16,87,67.0,,0.67,58.290000000000006
2017-06-17,78,67.0,,0.67,52.260000000000005
2017-06-18,75,67.0,,0.67,50.25
2017-06-19,90,67.0,,0.67,60.300000000000004
2017-06-20,87,67.0,,0.67,58.290000000000006
2017-06-21,92,67.0,,0.67,61.64
2017-06-22,86,67.0,,0.67,57.620000000000005
2017-06-23,80,67.0,,0.67,53.6
2017-06-24,82,67.0,,0.67,54.940000000000005
2017-06-25,76,67.0,,0.67,50.92
2017-06-26,88,67.0,,0.67,58.96
2017-06-27,87,67.0,,0.67,58.290000000000006
2017-06-28,84,67.0,,0.67,56.28
2017-06-29,85,67.0,,0.67,56.95
2017-06-30,75,67.0,,0.67,50.25
2017-07-01,71,62.0,False,0.62,44.02
2017-07-02,70,62.0,,0.62,43.4
2017-07-03,97,62.0,,0.62,60.14
2017-07-04,86,62.0,,0.62,53.32
2017-07-05,93,62.0,,0.62,57.66
2017-07-06,98,62.0,,0.62,60.76
2017-07-07,86,62.0,,0.62,53.32
2017-07-08,84,62.0,,0.62,52.08
2017-07-09,93,62.0,,0.62,57.66
2017-07-10,88,62.0,,0.62,54.56
2017-07-11,98,62.0,,0.62,60.76
2017-07-12,87,62.0,,0.62,53.94
2017-07-13,88,62.0,,0.62,54.56
2017-07-14,94,62.0,,0.62,58.28
2017-07-15,100,62.0,,0.62,62.0
2017-07-16,81,62.0,,0.62,50.22
2017-07-17,88,62.0,,0.62,54.56
2017-07-18,72,62.0,,0.62,44.64
2017-07-19,90,62.0,,0.62,55.8
2017-07-20,91,62.0,,0.62,56.42
2017-07-21,90,62.0,,0.62,55.8
2017-07-22,82,62.0,,0.62,50.839999999999996
2017-07-23,89,62.0,,0.62,55.18
2017-07-24,86,62.0,,0.62,53.32
2017-07-25,84,62.0,,0.62,52.08
2017-07-26,99,62.0,,0.62,61.38
2017-07-27,91,62.0,,0.62,56.42
2017-07-28,94,62.0,,0.62,58.28
2017-07-29,87,62.0,,0.62,53.94
2017-07-30,84,62.0,,0.62,52.08
2017-07-31,95,62.0,,0.62,58.9
2017-08-01,83,67.0,False,0.67,55.61000000000001
2017-08-02,78,67.0,,0.67,52.260000000000005
2017-08-03,75,67.0,,0.67,50.25
2017-08-04,77,67.0,,0.67,51.59
2017-08-05,68,67.0,,0.67,45.56
2017-08-06,72,67.0,,0.67,48.24
2017-08-07,80,67.0,,0.67,53.6
2017-08-08,84,67.0,,0.67,56.28
2017-08-09,72,67.0,,0.67,48.24
2017-08-10,78,67.0,,0.67,52.260000000000005
2017-08-11,81,67.0,,0.67,54.27
2017-08-12,71,67.0,,0.67,47.57
2017-08-13,76,67.0,,0.67,50.92
2017-08-14,100,67.0,,0.67,67.0
2017-08-15,83,67.0,,0.67,55.61000000000001
2017-08-16,86,67.0,,0.67,57.620000000000005
2017-08-17,78,67.0,,0.67,52.260000000000005
2017-08-18,76,67.0,,0.67,50.92
2017-08-19,81,67.0,,0.67,54.27
2017-08-20,85,67.0,,0.67,56.95
2017-08-21,74,67.0,,0.67,49.580000000000005
2017-08-22,77,67.0,,0.67,51.59
2017-08-23,73,67.0,,0.67,48.910000000000004
2017-08-24,92,67.0,,0.67,61.64
2017-08-25,78,67.0,,0.67,52.260000000000005
2017-08-26,67,67.0,,0.67,44.89
2017-08-27,62,67.0,,0.67,41.54
2017-08-28,82,67.0,,0.67,54.940000000000005
2017-08-29,86,67.0,,0.67,57.620000000000005
2017-08-30,85,67.0,,0.67,56.95
2017-08-31,95,67.0,,0.67,63.650000000000006
2017-09-01,85,71.0,False,0.71,60.349999999999994
2017-09-02,77,71.0,,0.71,54.669999999999995
2017-09-03,68,71.0,,0.71,48.28
2017-09-04,78,71.0,,0.71,55.379999999999995
2017-09-05,93,71.0,,0.71,66.03
2017-09-06,96,71.0,,0.71,68.16
2017-09-07,98,71.0,,0.71,69.58
2017-09-08,77,71.0,,0.71,54.669999999999995
2017-09-09,70,71.0,,0.71,49.699999999999996
2017-09-10,75,71.0,,0.71,53.25
2017-09-11,82,71.0,,0.71,58.22
2017-09-12,89,71.0,,0.71,63.19
2017-09-13,82,71.0,,0.71,58.22
2017-09-14,92,71.0,,0.71,65.32
2017-09-15,83,71.0,,0.71,58.93
2017-09-16,69,71.0,,0.71,48.989999999999995
2017-09-17,85,71.0,,0.71,60.349999999999994
2017-09-18,80,71.0,,0.71,56.8
2017-09-19,97,71.0,,0.71,68.86999999999999
2017-09-20,82,71.0,,0.71,58.22
2017-09-21,93,71.0,,0.71,66.03
2017-09-22,76,71.0,,0.71,53.959999999999994
2017-09-23,75,71.0,,0.71,53.25
2017-09-24,79,71.0,,0.71,56.089999999999996
2017-09-25,88,71.0,,0.71,62.48
2017-09-26,83,71.0,,0.71,58.93
2017-09-27,100,71.0,,0.71,71.0
2017-09-28,86,71.0,,0.71,61.059999999999995
2017-09-29,92,71.0,,0.71,65.32
2017-09-30,79,71.0,,0.71,56.089999999999996
2017-10-01,81,72.0,False,0.72,58.32
2017-10-02,81,72.0,,0.72,58.32
2017-10-03,92,72.0,,0.72,66.24
2017-10-04,95,72.0,,0.72,68.39999999999999
2017-10-05,95,72.0,,0.72,68.39999999999999
2017-10-06,88,72.0,,0.72,63.36
2017-10-07,85,72.0,,0.72,61.199999999999996
2017-10-08,73,72.0,,0.72,52.559999999999995
2017-10-09,96,72.0,,0.72,69.12
2017-10-10,89,72.0,,0.72,64.08
2017-10-11,100,72.0,,0.72,72.0
2017-10-12,99,72.0,,0.72,71.28
2017-10-13,91,72.0,,0.72,65.52
2017-10-14,83,72.0,,0.72,59.76
2017-10-15,81,72.0,,0.72,58.32
2017-10-16,92,72.0,,0.72,66.24
2017-10-17,94,72.0,,0.72,67.67999999999999
2017-10-18,84,72.0,,0.72,60.48
2017-10-19,100,72.0,,0.72,72.0
2017-10-20,89,72.0,,0.72,64.08
2017-10-21,90,72.0,,0.72,64.8
2017-10-22,81,72.0,,0.72,58.32
2017-10-23,98,72.0,,0.72,70.56
2017-10-24,90,72.0,,0.72,64.8
2017-10-25,97,72.0,,0.72,69.84
2017-10-26,98,72.0,,0.72,70.56
2017-10-27,93,72.0,,0.72,66.96
2017-10-28,97,72.0,,0.72,69.84
2017-10-29,79,72.0,,0.72,56.879999999999995
2017-10-30,93,72.0,,0.72,66.96
2017-10-31,83,72.0,,0.72,59.76
2017-11-01,84,81.0,False,0.81,68.04
2017-11-02,81,81.0,,0.81,65.61
2017-11-03,75,81.0,,0.81,60.75000000000001
2017-11-04,80,81.0,,0.81,64.80000000000001
2017-11-05,76,81.0,,0.81,61.56
2017-11-06,78,81.0,,0.81,63.18000000000001
2017-11-07,93,81.0,,0.81,75.33
2017-11-08,95,81.0,,0.81,76.95
2017-11-09,87,81.0,,0.81,70.47
2017-11-10,98,81.0,,0.81,79.38000000000001
2017-11-11,92,81.0,,0.81,74.52000000000001
2017-11-12,82,81.0,,0.81,66.42
2017-11-13,86,81.0,,0.81,69.66000000000001
2017-11-14,90,81.0,,0.81,72.9
2017-11-15,88,81.0,,0.81,71.28
2017-11-16,93,81.0,,0.81,75.33
2017-11-17,92,81.0,,0.81,74.52000000000001
2017-11-18,74,81.0,,0.81,59.940000000000005
2017-11-19,75,81.0,,0.81,60.75000000000001
2017-11-20,93,81.0,,0.81,75.33
2017-11-21,100,81.0,,0.81,81.0
2017-11-22,97,81.0,,0.81,78.57000000000001
2017-11-23,74,81.0,,0.81,59.940000000000005
2017-11-24,83,81.0,,0.81,67.23
2017-11-25,83,81.0,,0.81,67.23
2017-11-26,88,81.0,,0.81,71.28
2017-11-27,87,81.0,,0.81,70.47
2017-11-28,95,81.0,,0.81,76.95
2017-11-29,81,81.0,,0.81,65.61
2017-11-30,99,81.0,,0.81,80.19000000000001
2017-12-01,63,94.0,False,0.94,59.22
2017-12-02,65,94.0,,0.94,61.099999999999994
2017-12-03,60,94.0,,0.94,56.4
2017-12-04,68,94.0,,0.94,63.919999999999995
2017-12-05,66,94.0,,0.94,62.04
2017-12-06,81,94.0,,0.94,76.14
2017-12-07,89,94.0,,0.94,83.66
2017-12-08,71,94.0,,0.94,66.74
2017-12-09,74,94.0,,0.94,69.56
2017-12-10,65,94.0,,0.94,61.099999999999994
2017-12-11,75,94.0,,0.94,70.5
2017-12-12,70,94.0,,0.94,65.8
2017-12-13,60,94.0,,0.94,56.4
2017-12-14,69,94.0,,0.94,64.86
2017-12-15,66,94.0,,0.94,62.04
2017-12-16,67,94.0,,0.94,62.98
2017-12-17,73,94.0,,0.94,68.61999999999999
2017-12-18,75,94.0,,0.94,70.5
2017-12-19,74,94.0,,0.94,69.56
2017-12-20,81,94.0,,0.94,76.14
2017-12-21,76,94.0,,0.94,71.44
2017-12-22,77,94.0,,0.94,72.38
2017-12-23,77,94.0,,0.94,72.38
2017-12-24,75,94.0,,0.94,70.5
2017-12-25,65,94.0,,0.94,61.099999999999994
2017-12-26,84,94.0,,0.94,78.96
2017-12-27,83,94.0,,0.94,78.02
2017-12-28,100,94.0,,0.94,94.0
2017-12-29,84,94.0,,0.94,78.96
2017-12-30,91,94.0,,0.94,85.53999999999999
