date,SQ_unscaled,SQ_monthly,isPartial,scale,SQ
2017-03-22,100,61.0,,0.61,61.0
2017-03-23,93,61.0,,0.61,56.73
2017-03-24,99,61.0,,0.61,60.39
2017-03-25,87,61.0,,0.61,53.07
2017-03-26,88,61.0,,0.61,53.68
2017-03-27,94,61.0,,0.61,57.339999999999996
2017-03-28,93,61.0,,0.61,56.73
2017-03-29,91,61.0,,0.61,55.51
2017-03-30,94,61.0,,0.61,57.339999999999996
2017-03-31,82,61.0,,0.61,50.019999999999996
2017-04-01,79,62.0,False,0.62,48.98
2017-04-02,85,62.0,,0.62,52.7
2017-04-03,89,62.0,,0.62,55.18
2017-04-04,92,62.0,,0.62,57.04
2017-04-05,82,62.0,,0.62,50.839999999999996
2017-04-06,89,62.0,,0.62,55.18
2017-04-07,73,62.0,,0.62,45.26
2017-04-08,81,62.0,,0.62,50.22
2017-04-09,78,62.0,,0.62,48.36
2017-04-10,86,62.0,,0.62,53.32
2017-04-11,89,62.0,,0.62,55.18
2017-04-12,90,62.0,,0.62,55.8
2017-04-13,86,62.0,,0.62,53.32
2017-04-14,86,62.0,,0.62,53.32
2017-04-15,88,62.0,,0.62,54.56
2017-04-16,80,62.0,,0.62,49.6
2017-04-17,92,62.0,,0.62,57.04
2017-04-18,88,62.0,,0.62,54.56
2017-04-19,94,62.0,,0.62,58.28
2017-04-20,77,62.0,,0.62,47.74
2017-04-21,93,62.0,,0.62,57.66
2017-04-22,85,62.0,,0.62,52.7
2017-04-23,93,62.0,,0.62,57.66
2017-04-24,97,62.0,,0.62,60.14
2017-04-25,100,62.0,,0.62,62.0
2017-04-26,95,62.0,,0.62,58.9
2017-04-27,94,62.0,,0.62,58.28
2017-04-28,87,62.0,,0.62,53.94
2017-04-29,87,62.0,,0.62,53.94
2017-04-30,88,62.0,,0.62,54.56
2017-05-01,90,66.0,False,0.66,59.400000000000006
2017-05-02,97,66.0,,0.66,64.02
2017-05-03,97,66.0,,0.66,64.02
2017-05-04,100,66.0,,0.66,66.0
2017-05-05,93,66.0,,0.66,61.38
2017-05-06,76,66.0,,0.66,50.160000000000004
2017-05-07,79,66.0,,0.66,52.14
2017-05-08,96,66.0,,0.66,63.36
2017-05-09,84,66.0,,0.66,55.440000000000005
2017-05-10,83,66.0,,0.66,54.78
2017-05-11,90,66.0,,0.66,59.400000000000006
2017-05-12,87,66.0,,0.66,57.42
2017-05-13,82,66.0,,0.66,54.120000000000005
2017-05-14,75,66.0,,0.66,49.5
2017-05-15,88,66.0,,0.66,58.080000000000005
2017-05-16,92,66.0,,0.66,60.720000000000006
2017-05-17,82,66.0,,0.66,54.120000000000005
2017-05-18,96,66.0,,0.66,63.36
2017-05-19,93,66.0,,0.66,61.38
2017-05-20,82,66.0,,0.66,54.120000000000005
2017-05-21,83,66.0,,0.66,54.78
2017-05-22,87,66.0,,0.66,57.42
2017-05-23,90,66.0,,0.66,59.400000000000006
2017-05-24,94,66.0,,0.66,62.040000000000006
2017-05-25,95,66.0,,0.66,62.7
2017-05-26,83,66.0,,0.66,54.78
2017-05-27,77,66.0,,0.66,50.82
2017-05-28,84,66.0,,0.66,55.440000000000005
2017-05-29,82,66.0,,0.66,54.120000000000005
2017-05-30,82,66.0,,0.66,54.120000000000005
2017-05-31,91,66.0,,0.66,60.06
2017-06-01,90,67.0,False,0.67,60.300000000000004
2017-06-02,85,67.0,,0.67,56.95
2017-06-03,80,67.0,,0.67,53.6
2017-06-04,84,67.0,,0.67,56.28
2017-06-05,92,67.0,,0.67,61.64
2017-06-06,91,67.0,,0.67,60.970000000000006
2017-06-07,95,67.0,,0.67,63.650000000000006
2017-06-08,88,67.0,,0.67,58.96
2017-06-09,94,67.0,,0.67,62.980000000000004
2017-06-10,76,67.0,,0.67,50.92
2017-06-11,84,67.0,,0.67,56.28
2017-06-12,92,67.0,,0.67,61.64
2017-06-13,89,67.0,,0.67,59.63
2017-06-14,88,67.0,,0.67,58.96
2017-06-15,94,67.0,,0.67,62.980000000000004
2017-06-16,94,67.0,,0.67,62.980000000000004
2017-06-17,78,67.0,,0.67,52.260000000000005
2017-06-18,74,67.0,,0.67,49.580000000000005
2017-06-19,100,67.0,,0.67,67.0
2017-06-20,100,67.0,,0.67,67.0
2017-06-21,96,67.0,,0.67,64.32000000000001
2017-06-22,89,67.0,,0.67,59.63
2017-06-23,91,67.0,,0.67,60.970000000000006
2017-06-24,89,67.0,,0.67,59.63
2017-06-25,87,67.0,,0.67,58.290000000000006
2017-06-26,97,67.0,,0.67,64.99000000000001
2017-06-27,96,67.0,,0.67,64.32000000000001
2017-06-28,93,67.0,,0.67,62.31
2017-06-29,89,67.0,,0.67,59.63
2017-06-30,77,67.0,,0.67,51.59
2017-07-01,78,64.0,False,0.64,49.92
2017-07-02,76,64.0,,0.64,48.64
2017-07-03,87,64.0,,0.64,55.68
2017-07-04,80,64.0,,0.64,51.2
2017-07-05,91,64.0,,0.64,58.24
2017-07-06,92,64.0,,0.64,58.88
2017-07-07,97,64.0,,0.64,62.08
2017-07-08,87,64.0,,0.64,55.68
2017-07-09,82,64.0,,0.64,52.480000000000004
2017-07-10,92,64.0,,0.64,58.88
2017-07-11,99,64.0,,0.64,63.36
2017-07-12,100,64.0,,0.64,64.0
2017-07-13,97,64.0,,0.64,62.08
2017-07-14,93,64.0,,0.64,59.52
2017-07-15,91,64.0,,0.64,58.24
2017-07-16,89,64.0,,0.64,56.96
2017-07-17,98,64.0,,0.64,62.72
2017-07-18,97,64.0,,0.64,62.08
2017-07-19,95,64.0,,0.64,60.800000000000004
2017-07-20,86,64.0,,0.64,55.04
2017-07-21,90,64.0,,0.64,57.6
2017-07-22,79,64.0,,0.64,50.56
2017-07-23,81,64.0,,0.64,51.84
2017-07-24,91,64.0,,0.64,58.24
2017-07-25,88,64.0,,0.64,56.32
2017-07-26,89,64.0,,0.64,56.96
2017-07-27,95,64.0,,0.64,60.800000000000004
2017-07-28,91,64.0,,0.64,58.24
2017-07-29,80,64.0,,0.64,51.2
2017-07-30,88,64.0,,0.64,56.32
2017-07-31,95,64.0,,0.64,60.800000000000004
2017-08-01,93,62.0,False,0.62,57.66
2017-08-02,99,62.0,,0.62,61.38
2017-08-03,100,62.0,,0.62,62.0
2017-08-04,84,62.0,,0.62,52.08
2017-08-05,81,62.0,,0.62,50.22
2017-08-06,75,62.0,,0.62,46.5
2017-08-07,89,62.0,,0.62,55.18
2017-08-08,80,62.0,,0.62,49.6
2017-08-09,86,62.0,,0.62,53.32
2017-08-10,78,62.0,,0.62,48.36
2017-08-11,73,62.0,,0.62,45.26
2017-08-12,78,62.0,,0.62,48.36
2017-08-13,66,62.0,,0.62,40.92
2017-08-14,80,62.0,,0.62,49.6
2017-08-15,84,62.0,,0.62,52.08
2017-08-16,81,62.0,,0.62,50.22
2017-08-17,73,62.0,,0.62,45.26
2017-08-18,72,62.0,,0.62,44.64
2017-08-19,72,62.0,,0.62,44.64
2017-08-20,71,62.0,,0.62,44.02
2017-08-21,71,62.0,,0.62,44.02
2017-08-22,80,62.0,,0.62,49.6
2017-08-23,80,62.0,,0.62,49.6
2017-08-24,73,62.0,,0.62,45.26
2017-08-25,75,62.0,,0.62,46.5
2017-08-26,63,62.0,,0.62,39.06
2017-08-27,60,62.0,,0.62,37.2
2017-08-28,69,62.0,,0.62,42.78
2017-08-29,78,62.0,,0.62,48.36
2017-08-30,78,62.0,,0.62,48.36
2017-08-31,77,62.0,,0.62,47.74
2017-09-01,77,58.0,False,0.58,44.66
2017-09-02,79,58.0,,0.58,45.82
2017-09-03,74,58.0,,0.58,42.919999999999995
2017-09-04,81,58.0,,0.58,46.98
2017-09-05,89,58.0,,0.58,51.62
2017-09-06,80,58.0,,0.58,46.4
2017-09-07,91,58.0,,0.58,52.779999999999994
2017-09-08,88,58.0,,0.58,51.04
2017-09-09,80,58.0,,0.58,46.4
2017-09-10,75,58.0,,0.58,43.5
2017-09-11,84,58.0,,0.58,48.72
2017-09-12,100,58.0,,0.58,57.99999999999999
2017-09-13,84,58.0,,0.58,48.72
2017-09-14,91,58.0,,0.58,52.779999999999994
2017-09-15,85,58.0,,0.58,49.3
2017-09-16,77,58.0,,0.58,44.66
2017-09-17,82,58.0,,0.58,47.559999999999995
2017-09-18,86,58.0,,0.58,49.879999999999995
2017-09-19,94,58.0,,0.58,54.519999999999996
2017-09-20,91,58.0,,0.58,52.779999999999994
2017-09-21,97,58.0,,0.58,56.26
2017-09-22,85,58.0,,0.58,49.3
2017-09-23,73,58.0,,0.58,42.339999999999996
2017-09-24,75,58.0,,0.58,43.5
2017-09-25,87,58.0,,0.58,50.459999999999994
2017-09-26,89,58.0,,0.58,51.62
2017-09-27,99,58.0,,0.58,57.419999999999995
2017-09-28,88,58.0,,0.58,51.04
2017-09-29,85,58.0,,0.58,49.3
2017-09-30,80,58.0,,0.58,46.4
2017-10-01,76,59.0,False,0.59,44.839999999999996
2017-10-02,90,59.0,,0.59,53.099999999999994
2017-10-03,83,59.0,,0.59,48.97
2017-10-04,91,59.0,,0.59,53.69
2017-10-05,83,59.0,,0.59,48.97
2017-10-06,80,59.0,,0.59,47.199999999999996
2017-10-07,73,59.0,,0.59,43.07
2017-10-08,75,59.0,,0.59,44.25
2017-10-09,82,59.0,,0.59,48.379999999999995
2017-10-10,93,59.0,,0.59,54.87
2017-10-11,87,59.0,,0.59,51.33
2017-10-12,84,59.0,,0.59,49.559999999999995
2017-10-13,88,59.0,,0.59,51.919999999999995
2017-10-14,75,59.0,,0.59,44.25
2017-10-15,80,59.0,,0.59,47.199999999999996
2017-10-16,88,59.0,,0.59,51.919999999999995
2017-10-17,85,59.0,,0.59,50.15
2017-10-18,82,59.0,,0.59,48.379999999999995
2017-10-19,89,59.0,,0.59,52.51
2017-10-20,79,59.0,,0.59,46.61
2017-10-21,70,59.0,,0.59,41.3
2017-10-22,71,59.0,,0.59,41.89
2017-10-23,91,59.0,,0.59,53.69
2017-10-24,90,59.0,,0.59,53.099999999999994
2017-10-25,89,59.0,,0.59,52.51
2017-10-26,91,59.0,,0.59,53.69
2017-10-27,81,59.0,,0.59,47.79
2017-10-28,71,59.0,,0.59,41.89
2017-10-29,76,59.0,,0.59,44.839999999999996
2017-10-30,85,59.0,,0.59,50.15
2017-10-31,100,59.0,,0.59,59.0
2017-11-01,67,67.0,False,0.67,44.89
2017-11-02,76,67.0,,0.67,50.92
2017-11-03,78,67.0,,0.67,52.260000000000005
2017-11-04,69,67.0,,0.67,46.230000000000004
2017-11-05,66,67.0,,0.67,44.220000000000006
2017-11-06,79,67.0,,0.67,52.93
2017-11-07,82,67.0,,0.67,54.940000000000005
2017-11-08,84,67.0,,0.67,56.28
2017-11-09,89,67.0,,0.67,59.63
2017-11-10,77,67.0,,0.67,51.59
2017-11-11,64,67.0,,0.67,42.88
2017-11-12,64,67.0,,0.67,42.88
2017-11-13,80,67.0,,0.67,53.6
2017-11-14,79,67.0,,0.67,52.93
2017-11-15,74,67.0,,0.67,49.580000000000005
2017-11-16,84,67.0,,0.67,56.28
2017-11-17,87,67.0,,0.67,58.290000000000006
2017-11-18,61,67.0,,0.67,40.870000000000005
2017-11-19,58,67.0,,0.67,38.86
2017-11-20,83,67.0,,0.67,55.61000000000001
2017-11-21,93,67.0,,0.67,62.31
2017-11-22,92,67.0,,0.67,61.64
2017-11-23,54,67.0,,0.67,36.18
2017-11-24,65,67.0,,0.67,43.550000000000004
2017-11-25,64,67.0,,0.67,42.88
2017-11-26,61,67.0,,0.67,40.870000000000005
2017-11-27,99,67.0,,0.67,66.33
2017-11-28,100,67.0,,0.67,67.0
2017-11-29,94,67.0,,0.67,62.980000000000004
2017-11-30,84,67.0,,0.67,56.28
2017-12-01,94,56.0,False,0.56,52.64000000000001
2017-12-02,80,56.0,,0.56,44.800000000000004
2017-12-03,67,56.0,,0.56,37.52
2017-12-04,100,56.0,,0.56,56.00000000000001
2017-12-05,90,56.0,,0.56,50.400000000000006
2017-12-06,94,56.0,,0.56,52.64000000000001
2017-12-07,90,56.0,,0.56,50.400000000000006
2017-12-08,87,56.0,,0.56,48.720000000000006
2017-12-09,85,56.0,,0.56,47.6
2017-12-10,77,56.0,,0.56,43.120000000000005
2017-12-11,95,56.0,,0.56,53.2
2017-12-12,89,56.0,,0.56,49.84
2017-12-13,81,56.0,,0.56,45.36000000000001
2017-12-14,90,56.0,,0.56,50.400000000000006
2017-12-15,85,56.0,,0.56,47.6
2017-12-16,65,56.0,,0.56,36.400000000000006
2017-12-17,66,56.0,,0.56,36.96
2017-12-18,89,56.0,,0.56,49.84
2017-12-19,83,56.0,,0.56,46.480000000000004
2017-12-20,77,56.0,,0.56,43.120000000000005
2017-12-21,79,56.0,,0.56,44.24
