date,BIG_unscaled,BIG_monthly,isPartial,scale,BIG
2016-11-29,75,82.0,,0.82,61.49999999999999
2016-11-30,76,82.0,,0.82,62.31999999999999
2016-12-01,77,85.0,False,0.85,65.45
2016-12-02,78,85.0,,0.85,66.3
2016-12-03,92,85.0,,0.85,78.2
2016-12-04,100,85.0,,0.85,85.0
2016-12-05,73,85.0,,0.85,62.05
2016-12-06,73,85.0,,0.85,62.05
2016-12-07,74,85.0,,0.85,62.9
2016-12-08,75,85.0,,0.85,63.75
2016-12-09,72,85.0,,0.85,61.199999999999996
2016-12-10,80,85.0,,0.85,68.0
2016-12-11,83,85.0,,0.85,70.55
2016-12-12,72,85.0,,0.85,61.199999999999996
2016-12-13,72,85.0,,0.85,61.199999999999996
2016-12-14,74,85.0,,0.85,62.9
2016-12-15,72,85.0,,0.85,61.199999999999996
2016-12-16,74,85.0,,0.85,62.9
2016-12-17,86,85.0,,0.85,73.1
2016-12-18,82,85.0,,0.85,69.7
2016-12-19,76,85.0,,0.85,64.6
2016-12-20,74,85.0,,0.85,62.9
2016-12-21,75,85.0,,0.85,63.75
2016-12-22,81,85.0,,0.85,68.85
2016-12-23,80,85.0,,0.85,68.0
2016-12-24,85,85.0,,0.85,72.25
2016-12-25,77,85.0,,0.85,65.45
2016-12-26,83,85.0,,0.85,70.55
2016-12-27,78,85.0,,0.85,66.3
2016-12-28,79,85.0,,0.85,67.14999999999999
2016-12-29,75,85.0,,0.85,63.75
2016-12-30,81,85.0,,0.85,68.85
2016-12-31,81,85.0,,0.85,68.85
2017-01-01,97,79.0,False,0.79,76.63000000000001
2017-01-02,96,79.0,,0.79,75.84
2017-01-03,88,79.0,,0.79,69.52000000000001
2017-01-04,85,79.0,,0.79,67.15
2017-01-05,87,79.0,,0.79,68.73
2017-01-06,88,79.0,,0.79,69.52000000000001
2017-01-07,97,79.0,,0.79,76.63000000000001
2017-01-08,96,79.0,,0.79,75.84
2017-01-09,86,79.0,,0.79,67.94
2017-01-10,87,79.0,,0.79,68.73
2017-01-11,84,79.0,,0.79,66.36
2017-01-12,87,79.0,,0.79,68.73
2017-01-13,91,79.0,,0.79,71.89
2017-01-14,96,79.0,,0.79,75.84
2017-01-15,94,79.0,,0.79,74.26
2017-01-16,90,79.0,,0.79,71.10000000000001
2017-01-17,86,79.0,,0.79,67.94
2017-01-18,87,79.0,,0.79,68.73
2017-01-19,84,79.0,,0.79,66.36
2017-01-20,85,79.0,,0.79,67.15
2017-01-21,96,79.0,,0.79,75.84
2017-01-22,98,79.0,,0.79,77.42
2017-01-23,84,79.0,,0.79,66.36
2017-01-24,85,79.0,,0.79,67.15
2017-01-25,88,79.0,,0.79,69.52000000000001
2017-01-26,84,79.0,,0.79,66.36
2017-01-27,87,79.0,,0.79,68.73
2017-01-28,99,79.0,,0.79,78.21000000000001
2017-01-29,100,79.0,,0.79,79.0
2017-01-30,86,79.0,,0.79,67.94
2017-01-31,83,79.0,,0.79,65.57000000000001
2017-02-01,82,80.0,False,0.8,65.60000000000001
2017-02-02,78,80.0,,0.8,62.400000000000006
2017-02-03,90,80.0,,0.8,72.0
2017-02-04,100,80.0,,0.8,80.0
2017-02-05,95,80.0,,0.8,76.0
2017-02-06,73,80.0,,0.8,58.400000000000006
2017-02-07,79,80.0,,0.8,63.2
2017-02-08,81,80.0,,0.8,64.8
2017-02-09,80,80.0,,0.8,64.0
2017-02-10,83,80.0,,0.8,66.4
2017-02-11,92,80.0,,0.8,73.60000000000001
2017-02-12,92,80.0,,0.8,73.60000000000001
2017-02-13,80,80.0,,0.8,64.0
2017-02-14,78,80.0,,0.8,62.400000000000006
2017-02-15,81,80.0,,0.8,64.8
2017-02-16,80,80.0,,0.8,64.0
2017-02-17,84,80.0,,0.8,67.2
2017-02-18,98,80.0,,0.8,78.4
2017-02-19,99,80.0,,0.8,79.2
2017-02-20,92,80.0,,0.8,73.60000000000001
2017-02-21,83,80.0,,0.8,66.4
2017-02-22,81,80.0,,0.8,64.8
2017-02-23,81,80.0,,0.8,64.8
2017-02-24,85,80.0,,0.8,68.0
2017-02-25,97,80.0,,0.8,77.60000000000001
2017-02-26,100,80.0,,0.8,80.0
2017-02-27,83,80.0,,0.8,66.4
2017-02-28,81,80.0,,0.8,64.8
2017-03-01,70,85.0,False,0.85,59.5
2017-03-02,75,85.0,,0.85,63.75
2017-03-03,74,85.0,,0.85,62.9
2017-03-04,87,85.0,,0.85,73.95
2017-03-05,94,85.0,,0.85,79.89999999999999
2017-03-06,88,85.0,,0.85,74.8
2017-03-07,77,85.0,,0.85,65.45
2017-03-08,77,85.0,,0.85,65.45
2017-03-09,88,85.0,,0.85,74.8
2017-03-10,88,85.0,,0.85,74.8
2017-03-11,100,85.0,,0.85,85.0
2017-03-12,95,85.0,,0.85,80.75
2017-03-13,79,85.0,,0.85,67.14999999999999
2017-03-14,74,85.0,,0.85,62.9
2017-03-15,74,85.0,,0.85,62.9
2017-03-16,71,85.0,,0.85,60.35
2017-03-17,73,85.0,,0.85,62.05
2017-03-18,82,85.0,,0.85,69.7
2017-03-19,85,85.0,,0.85,72.25
2017-03-20,83,85.0,,0.85,70.55
2017-03-21,76,85.0,,0.85,64.6
2017-03-22,76,85.0,,0.85,64.6
2017-03-23,74,85.0,,0.85,62.9
2017-03-24,75,85.0,,0.85,63.75
2017-03-25,84,85.0,,0.85,71.39999999999999
2017-03-26,82,85.0,,0.85,69.7
2017-03-27,80,85.0,,0.85,68.0
2017-03-28,75,85.0,,0.85,63.75
2017-03-29,75,85.0,,0.85,63.75
2017-03-30,71,85.0,,0.85,60.35
2017-03-31,74,85.0,,0.85,62.9
2017-04-01,95,81.0,False,0.81,76.95
2017-04-02,100,81.0,,0.81,81.0
2017-04-03,100,81.0,,0.81,81.0
2017-04-04,87,81.0,,0.81,70.47
2017-04-05,83,81.0,,0.81,67.23
2017-04-06,82,81.0,,0.81,66.42
2017-04-07,82,81.0,,0.81,66.42
2017-04-08,92,81.0,,0.81,74.52000000000001
2017-04-09,90,81.0,,0.81,72.9
2017-04-10,83,81.0,,0.81,67.23
2017-04-11,79,81.0,,0.81,63.99
2017-04-12,78,81.0,,0.81,63.18000000000001
2017-04-13,79,81.0,,0.81,63.99
2017-04-14,86,81.0,,0.81,69.66000000000001
2017-04-15,92,81.0,,0.81,74.52000000000001
2017-04-16,92,81.0,,0.81,74.52000000000001
2017-04-17,79,81.0,,0.81,63.99
2017-04-18,76,81.0,,0.81,61.56
2017-04-19,76,81.0,,0.81,61.56
2017-04-20,78,81.0,,0.81,63.18000000000001
2017-04-21,82,81.0,,0.81,66.42
2017-04-22,91,81.0,,0.81,73.71000000000001
2017-04-23,89,81.0,,0.81,72.09
2017-04-24,81,81.0,,0.81,65.61
2017-04-25,77,81.0,,0.81,62.370000000000005
2017-04-26,77,81.0,,0.81,62.370000000000005
2017-04-27,79,81.0,,0.81,63.99
2017-04-28,80,81.0,,0.81,64.80000000000001
2017-04-29,92,81.0,,0.81,74.52000000000001
2017-04-30,90,81.0,,0.81,72.9
2017-05-01,38,91.0,False,0.91,34.58
2017-05-02,37,91.0,,0.91,33.67
2017-05-03,38,91.0,,0.91,34.58
2017-05-04,39,91.0,,0.91,35.49
2017-05-05,44,91.0,,0.91,40.04
2017-05-06,44,91.0,,0.91,40.04
2017-05-07,44,91.0,,0.91,40.04
2017-05-08,39,91.0,,0.91,35.49
2017-05-09,38,91.0,,0.91,34.58
2017-05-10,100,91.0,,0.91,91.0
2017-05-11,46,91.0,,0.91,41.86
2017-05-12,43,91.0,,0.91,39.13
2017-05-13,46,91.0,,0.91,41.86
2017-05-14,45,91.0,,0.91,40.95
2017-05-15,39,91.0,,0.91,35.49
2017-05-16,39,91.0,,0.91,35.49
2017-05-17,40,91.0,,0.91,36.4
2017-05-18,37,91.0,,0.91,33.67
2017-05-19,38,91.0,,0.91,34.58
2017-05-20,45,91.0,,0.91,40.95
2017-05-21,45,91.0,,0.91,40.95
2017-05-22,39,91.0,,0.91,35.49
2017-05-23,39,91.0,,0.91,35.49
2017-05-24,41,91.0,,0.91,37.31
2017-05-25,40,91.0,,0.91,36.4
2017-05-26,42,91.0,,0.91,38.22
2017-05-27,47,91.0,,0.91,42.77
2017-05-28,48,91.0,,0.91,43.68
2017-05-29,44,91.0,,0.91,40.04
2017-05-30,40,91.0,,0.91,36.4
2017-05-31,39,91.0,,0.91,35.49
2017-06-01,73,89.0,False,0.89,64.97
2017-06-02,79,89.0,,0.89,70.31
2017-06-03,83,89.0,,0.89,73.87
2017-06-04,83,89.0,,0.89,73.87
2017-06-05,75,89.0,,0.89,66.75
2017-06-06,78,89.0,,0.89,69.42
2017-06-07,75,89.0,,0.89,66.75
2017-06-08,74,89.0,,0.89,65.86
2017-06-09,77,89.0,,0.89,68.53
2017-06-10,82,89.0,,0.89,72.98
2017-06-11,86,89.0,,0.89,76.54
2017-06-12,78,89.0,,0.89,69.42
2017-06-13,72,89.0,,0.89,64.08
2017-06-14,75,89.0,,0.89,66.75
2017-06-15,78,89.0,,0.89,69.42
2017-06-16,81,89.0,,0.89,72.09
2017-06-17,99,89.0,,0.89,88.11
2017-06-18,91,89.0,,0.89,80.99
2017-06-19,83,89.0,,0.89,73.87
2017-06-20,79,89.0,,0.89,70.31
2017-06-21,79,89.0,,0.89,70.31
2017-06-22,81,89.0,,0.89,72.09
2017-06-23,86,89.0,,0.89,76.54
2017-06-24,93,89.0,,0.89,82.77
2017-06-25,100,89.0,,0.89,89.0
2017-06-26,90,89.0,,0.89,80.1
2017-06-27,84,89.0,,0.89,74.76
2017-06-28,86,89.0,,0.89,76.54
2017-06-29,98,89.0,,0.89,87.22
2017-06-30,95,89.0,,0.89,84.55
2017-07-01,87,100.0,False,1.0,87.0
2017-07-02,93,100.0,,1.0,93.0
2017-07-03,91,100.0,,1.0,91.0
2017-07-04,90,100.0,,1.0,90.0
2017-07-05,81,100.0,,1.0,81.0
2017-07-06,83,100.0,,1.0,83.0
2017-07-07,93,100.0,,1.0,93.0
2017-07-08,95,100.0,,1.0,95.0
2017-07-09,97,100.0,,1.0,97.0
2017-07-10,84,100.0,,1.0,84.0
2017-07-11,80,100.0,,1.0,80.0
2017-07-12,78,100.0,,1.0,78.0
2017-07-13,85,100.0,,1.0,85.0
2017-07-14,97,100.0,,1.0,97.0
2017-07-15,98,100.0,,1.0,98.0
2017-07-16,98,100.0,,1.0,98.0
2017-07-17,85,100.0,,1.0,85.0
2017-07-18,80,100.0,,1.0,80.0
2017-07-19,76,100.0,,1.0,76.0
2017-07-20,80,100.0,,1.0,80.0
2017-07-21,90,100.0,,1.0,90.0
2017-07-22,100,100.0,,1.0,100.0
2017-07-23,95,100.0,,1.0,95.0
2017-07-24,85,100.0,,1.0,85.0
2017-07-25,79,100.0,,1.0,79.0
2017-07-26,78,100.0,,1.0,78.0
2017-07-27,81,100.0,,1.0,81.0
2017-07-28,87,100.0,,1.0,87.0
2017-07-29,92,100.0,,1.0,92.0
2017-07-30,91,100.0,,1.0,91.0
2017-07-31,83,100.0,,1.0,83.0
2017-08-01,83,90.0,False,0.9,74.7
2017-08-02,83,90.0,,0.9,74.7
2017-08-03,87,90.0,,0.9,78.3
2017-08-04,94,90.0,,0.9,84.60000000000001
2017-08-05,100,90.0,,0.9,90.0
2017-08-06,96,90.0,,0.9,86.4
2017-08-07,86,90.0,,0.9,77.4
2017-08-08,82,90.0,,0.9,73.8
2017-08-09,79,90.0,,0.9,71.10000000000001
2017-08-10,88,90.0,,0.9,79.2
2017-08-11,93,90.0,,0.9,83.7
2017-08-12,97,90.0,,0.9,87.3
2017-08-13,93,90.0,,0.9,83.7
2017-08-14,88,90.0,,0.9,79.2
2017-08-15,81,90.0,,0.9,72.9
2017-08-16,76,90.0,,0.9,68.4
2017-08-17,84,90.0,,0.9,75.60000000000001
2017-08-18,88,90.0,,0.9,79.2
2017-08-19,96,90.0,,0.9,86.4
2017-08-20,91,90.0,,0.9,81.9
2017-08-21,78,90.0,,0.9,70.2
2017-08-22,78,90.0,,0.9,70.2
2017-08-23,76,90.0,,0.9,68.4
2017-08-24,78,90.0,,0.9,70.2
2017-08-25,86,90.0,,0.9,77.4
2017-08-26,90,90.0,,0.9,81.0
2017-08-27,83,90.0,,0.9,74.7
2017-08-28,75,90.0,,0.9,67.5
2017-08-29,76,90.0,,0.9,68.4
2017-08-30,75,90.0,,0.9,67.5
2017-08-31,80,90.0,,0.9,72.0
2017-09-01,88,86.0,False,0.86,75.67999999999999
2017-09-02,93,86.0,,0.86,79.98
2017-09-03,94,86.0,,0.86,80.84
2017-09-04,94,86.0,,0.86,80.84
2017-09-05,74,86.0,,0.86,63.64
2017-09-06,70,86.0,,0.86,60.199999999999996
2017-09-07,72,86.0,,0.86,61.92
2017-09-08,81,86.0,,0.86,69.66
2017-09-09,85,86.0,,0.86,73.1
2017-09-10,83,86.0,,0.86,71.38
2017-09-11,76,86.0,,0.86,65.36
2017-09-12,72,86.0,,0.86,61.92
2017-09-13,74,86.0,,0.86,63.64
2017-09-14,81,86.0,,0.86,69.66
2017-09-15,82,86.0,,0.86,70.52
2017-09-16,96,86.0,,0.86,82.56
2017-09-17,91,86.0,,0.86,78.26
2017-09-18,84,86.0,,0.86,72.24
2017-09-19,77,86.0,,0.86,66.22
2017-09-20,77,86.0,,0.86,66.22
2017-09-21,100,86.0,,0.86,86.0
2017-09-22,81,86.0,,0.86,69.66
2017-09-23,90,86.0,,0.86,77.4
2017-09-24,91,86.0,,0.86,78.26
2017-09-25,74,86.0,,0.86,63.64
2017-09-26,72,86.0,,0.86,61.92
2017-09-27,69,86.0,,0.86,59.339999999999996
2017-09-28,70,86.0,,0.86,60.199999999999996
2017-09-29,73,86.0,,0.86,62.78
2017-09-30,88,86.0,,0.86,75.67999999999999
2017-10-01,100,79.0,False,0.79,79.0
2017-10-02,81,79.0,,0.79,63.99
2017-10-03,79,79.0,,0.79,62.410000000000004
2017-10-04,78,79.0,,0.79,61.620000000000005
2017-10-05,81,79.0,,0.79,63.99
2017-10-06,82,79.0,,0.79,64.78
2017-10-07,97,79.0,,0.79,76.63000000000001
2017-10-08,96,79.0,,0.79,75.84
2017-10-09,86,79.0,,0.79,67.94
2017-10-10,83,79.0,,0.79,65.57000000000001
2017-10-11,76,79.0,,0.79,60.040000000000006
2017-10-12,79,79.0,,0.79,62.410000000000004
2017-10-13,84,79.0,,0.79,66.36
2017-10-14,93,79.0,,0.79,73.47
2017-10-15,96,79.0,,0.79,75.84
2017-10-16,82,79.0,,0.79,64.78
2017-10-17,82,79.0,,0.79,64.78
2017-10-18,79,79.0,,0.79,62.410000000000004
2017-10-19,78,79.0,,0.79,61.620000000000005
2017-10-20,81,79.0,,0.79,63.99
2017-10-21,95,79.0,,0.79,75.05
2017-10-22,94,79.0,,0.79,74.26
2017-10-23,77,79.0,,0.79,60.830000000000005
2017-10-24,79,79.0,,0.79,62.410000000000004
2017-10-25,78,79.0,,0.79,61.620000000000005
2017-10-26,80,79.0,,0.79,63.2
2017-10-27,82,79.0,,0.79,64.78
2017-10-28,93,79.0,,0.79,73.47
2017-10-29,93,79.0,,0.79,73.47
2017-10-30,79,79.0,,0.79,62.410000000000004
2017-10-31,78,79.0,,0.79,61.620000000000005
2017-11-01,72,81.0,False,0.81,58.32000000000001
2017-11-02,74,81.0,,0.81,59.940000000000005
2017-11-03,81,81.0,,0.81,65.61
2017-11-04,91,81.0,,0.81,73.71000000000001
2017-11-05,93,81.0,,0.81,75.33
2017-11-06,79,81.0,,0.81,63.99
2017-11-07,75,81.0,,0.81,60.75000000000001
2017-11-08,74,81.0,,0.81,59.940000000000005
2017-11-09,79,81.0,,0.81,63.99
2017-11-10,84,81.0,,0.81,68.04
2017-11-11,94,81.0,,0.81,76.14
2017-11-12,95,81.0,,0.81,76.95
2017-11-13,77,81.0,,0.81,62.370000000000005
2017-11-14,77,81.0,,0.81,62.370000000000005
2017-11-15,80,81.0,,0.81,64.80000000000001
2017-11-16,77,81.0,,0.81,62.370000000000005
2017-11-17,80,81.0,,0.81,64.80000000000001
2017-11-18,94,81.0,,0.81,76.14
2017-11-19,93,81.0,,0.81,75.33
2017-11-20,82,81.0,,0.81,66.42
2017-11-21,80,81.0,,0.81,64.80000000000001
2017-11-22,84,81.0,,0.81,68.04
2017-11-23,92,81.0,,0.81,74.52000000000001
2017-11-24,96,81.0,,0.81,77.76
2017-11-25,100,81.0,,0.81,81.0
2017-11-26,97,81.0,,0.81,78.57000000000001
2017-11-27,82,81.0,,0.81,66.42
2017-11-28,81,81.0,,0.81,65.61
2017-11-29,78,81.0,,0.81,63.18000000000001
2017-11-30,82,81.0,,0.81,66.42
2017-12-01,78,84.0,False,0.84,65.52
2017-12-02,95,84.0,,0.84,79.8
2017-12-03,100,84.0,,0.84,84.0
2017-12-04,77,84.0,,0.84,64.67999999999999
2017-12-05,74,84.0,,0.84,62.16
2017-12-06,74,84.0,,0.84,62.16
2017-12-07,74,84.0,,0.84,62.16
2017-12-08,77,84.0,,0.84,64.67999999999999
2017-12-09,89,84.0,,0.84,74.75999999999999
2017-12-10,87,84.0,,0.84,73.08
2017-12-11,75,84.0,,0.84,63.0
2017-12-12,72,84.0,,0.84,60.48
2017-12-13,72,84.0,,0.84,60.48
2017-12-14,76,84.0,,0.84,63.839999999999996
2017-12-15,77,84.0,,0.84,64.67999999999999
2017-12-16,85,84.0,,0.84,71.39999999999999
2017-12-17,86,84.0,,0.84,72.24
2017-12-18,75,84.0,,0.84,63.0
2017-12-19,76,84.0,,0.84,63.839999999999996
2017-12-20,78,84.0,,0.84,65.52
2017-12-21,80,84.0,,0.84,67.2
2017-12-22,80,84.0,,0.84,67.2
2017-12-23,86,84.0,,0.84,72.24
2017-12-24,84,84.0,,0.84,70.56
2017-12-25,84,84.0,,0.84,70.56
2017-12-26,80,84.0,,0.84,67.2
2017-12-27,80,84.0,,0.84,67.2
2017-12-28,82,84.0,,0.84,68.88
2017-12-29,85,84.0,,0.84,71.39999999999999
2017-12-30,90,84.0,,0.84,75.6
2017-12-31,92,84.0,,0.84,77.28
