date,NUGT_unscaled,NUGT_monthly,isPartial,scale,NUGT
2016-06-18,8,98.0,,0.98,7.84
2016-06-19,4,98.0,,0.98,3.92
2016-06-20,35,98.0,,0.98,34.3
2016-06-21,43,98.0,,0.98,42.14
2016-06-22,32,98.0,,0.98,31.36
2016-06-23,44,98.0,,0.98,43.12
2016-06-24,100,98.0,,0.98,98.0
2016-06-25,6,98.0,,0.98,5.88
2016-06-26,10,98.0,,0.98,9.8
2016-06-27,48,98.0,,0.98,47.04
2016-06-28,42,98.0,,0.98,41.16
2016-06-29,48,98.0,,0.98,47.04
2016-06-30,52,98.0,,0.98,50.96
2016-07-01,73,100.0,False,1.0,73.0
2016-07-02,24,100.0,,1.0,24.0
2016-07-03,7,100.0,,1.0,7.0
2016-07-04,9,100.0,,1.0,9.0
2016-07-05,82,100.0,,1.0,82.0
2016-07-06,100,100.0,,1.0,100.0
2016-07-07,75,100.0,,1.0,75.0
2016-07-08,99,100.0,,1.0,99.0
2016-07-09,19,100.0,,1.0,19.0
2016-07-10,10,100.0,,1.0,10.0
2016-07-11,70,100.0,,1.0,70.0
2016-07-12,65,100.0,,1.0,65.0
2016-07-13,65,100.0,,1.0,65.0
2016-07-14,68,100.0,,1.0,68.0
2016-07-15,63,100.0,,1.0,63.0
2016-07-16,20,100.0,,1.0,20.0
2016-07-17,4,100.0,,1.0,4.0
2016-07-18,63,100.0,,1.0,63.0
2016-07-19,45,100.0,,1.0,45.0
2016-07-20,55,100.0,,1.0,55.0
2016-07-21,89,100.0,,1.0,89.0
2016-07-22,41,100.0,,1.0,41.0
2016-07-23,11,100.0,,1.0,11.0
2016-07-24,6,100.0,,1.0,6.0
2016-07-25,46,100.0,,1.0,46.0
2016-07-26,49,100.0,,1.0,49.0
2016-07-27,71,100.0,,1.0,71.0
2016-07-28,68,100.0,,1.0,68.0
2016-07-29,57,100.0,,1.0,57.0
2016-07-30,15,100.0,,1.0,15.0
2016-07-31,10,100.0,,1.0,10.0
2016-08-01,42,99.0,False,0.99,41.58
2016-08-02,64,99.0,,0.99,63.36
2016-08-03,57,99.0,,0.99,56.43
2016-08-04,62,99.0,,0.99,61.38
2016-08-05,52,99.0,,0.99,51.48
2016-08-06,5,99.0,,0.99,4.95
2016-08-07,1,99.0,,0.99,0.99
2016-08-08,45,99.0,,0.99,44.55
2016-08-09,34,99.0,,0.99,33.66
2016-08-10,46,99.0,,0.99,45.54
2016-08-11,50,99.0,,0.99,49.5
2016-08-12,41,99.0,,0.99,40.589999999999996
2016-08-13,7,99.0,,0.99,6.93
2016-08-14,6,99.0,,0.99,5.9399999999999995
2016-08-15,24,99.0,,0.99,23.759999999999998
2016-08-16,44,99.0,,0.99,43.56
2016-08-17,43,99.0,,0.99,42.57
2016-08-18,46,99.0,,0.99,45.54
2016-08-19,36,99.0,,0.99,35.64
2016-08-20,9,99.0,,0.99,8.91
2016-08-21,5,99.0,,0.99,4.95
2016-08-22,38,99.0,,0.99,37.62
2016-08-23,23,99.0,,0.99,22.77
2016-08-24,74,99.0,,0.99,73.26
2016-08-25,100,99.0,,0.99,99.0
2016-08-26,88,99.0,,0.99,87.12
2016-08-27,13,99.0,,0.99,12.87
2016-08-28,8,99.0,,0.99,7.92
2016-08-29,53,99.0,,0.99,52.47
2016-08-30,55,99.0,,0.99,54.45
2016-08-31,49,99.0,,0.99,48.51
2016-09-01,75,96.0,False,0.96,72.0
2016-09-02,100,96.0,,0.96,96.0
2016-09-03,13,96.0,,0.96,12.48
2016-09-04,9,96.0,,0.96,8.64
2016-09-05,7,96.0,,0.96,6.72
2016-09-06,92,96.0,,0.96,88.32
2016-09-07,65,96.0,,0.96,62.4
2016-09-08,63,96.0,,0.96,60.48
2016-09-09,51,96.0,,0.96,48.96
2016-09-10,18,96.0,,0.96,17.28
2016-09-11,8,96.0,,0.96,7.68
2016-09-12,53,96.0,,0.96,50.879999999999995
2016-09-13,70,96.0,,0.96,67.2
2016-09-14,48,96.0,,0.96,46.08
2016-09-15,78,96.0,,0.96,74.88
2016-09-16,46,96.0,,0.96,44.16
2016-09-17,5,96.0,,0.96,4.8
2016-09-18,8,96.0,,0.96,7.68
2016-09-19,50,96.0,,0.96,48.0
2016-09-20,54,96.0,,0.96,51.839999999999996
2016-09-21,77,96.0,,0.96,73.92
2016-09-22,89,96.0,,0.96,85.44
2016-09-23,50,96.0,,0.96,48.0
2016-09-24,10,96.0,,0.96,9.6
2016-09-25,10,96.0,,0.96,9.6
2016-09-26,53,96.0,,0.96,50.879999999999995
2016-09-27,51,96.0,,0.96,48.96
2016-09-28,47,96.0,,0.96,45.12
2016-09-29,73,96.0,,0.96,70.08
2016-09-30,52,96.0,,0.96,49.92
2016-10-01,5,85.0,False,0.85,4.25
2016-10-02,8,85.0,,0.85,6.8
2016-10-03,24,85.0,,0.85,20.4
2016-10-04,100,85.0,,0.85,85.0
2016-10-05,77,85.0,,0.85,65.45
2016-10-06,83,85.0,,0.85,70.55
2016-10-07,70,85.0,,0.85,59.5
2016-10-08,19,85.0,,0.85,16.15
2016-10-09,12,85.0,,0.85,10.2
2016-10-10,55,85.0,,0.85,46.75
2016-10-11,60,85.0,,0.85,51.0
2016-10-12,64,85.0,,0.85,54.4
2016-10-13,66,85.0,,0.85,56.1
2016-10-14,53,85.0,,0.85,45.05
2016-10-15,4,85.0,,0.85,3.4
2016-10-16,6,85.0,,0.85,5.1
2016-10-17,33,85.0,,0.85,28.05
2016-10-18,66,85.0,,0.85,56.1
2016-10-19,52,85.0,,0.85,44.199999999999996
2016-10-20,61,85.0,,0.85,51.85
2016-10-21,48,85.0,,0.85,40.8
2016-10-22,3,85.0,,0.85,2.55
2016-10-23,5,85.0,,0.85,4.25
2016-10-24,41,85.0,,0.85,34.85
2016-10-25,46,85.0,,0.85,39.1
2016-10-26,49,85.0,,0.85,41.65
2016-10-27,46,85.0,,0.85,39.1
2016-10-28,42,85.0,,0.85,35.699999999999996
2016-10-29,6,85.0,,0.85,5.1
2016-10-30,5,85.0,,0.85,4.25
2016-10-31,36,85.0,,0.85,30.599999999999998
2016-11-01,56,91.0,False,0.91,50.96
2016-11-02,57,91.0,,0.91,51.870000000000005
2016-11-03,43,91.0,,0.91,39.13
2016-11-04,46,91.0,,0.91,41.86
2016-11-05,6,91.0,,0.91,5.46
2016-11-06,1,91.0,,0.91,0.91
2016-11-07,47,91.0,,0.91,42.77
2016-11-08,49,91.0,,0.91,44.59
2016-11-09,100,91.0,,0.91,91.0
2016-11-10,72,91.0,,0.91,65.52
2016-11-11,92,91.0,,0.91,83.72
2016-11-12,19,91.0,,0.91,17.29
2016-11-13,11,91.0,,0.91,10.01
2016-11-14,71,91.0,,0.91,64.61
2016-11-15,90,91.0,,0.91,81.9
2016-11-16,52,91.0,,0.91,47.32
2016-11-17,59,91.0,,0.91,53.690000000000005
2016-11-18,50,91.0,,0.91,45.5
2016-11-19,2,91.0,,0.91,1.82
2016-11-20,6,91.0,,0.91,5.46
2016-11-21,47,91.0,,0.91,42.77
2016-11-22,42,91.0,,0.91,38.22
2016-11-23,55,91.0,,0.91,50.050000000000004
2016-11-24,10,91.0,,0.91,9.1
2016-11-25,27,91.0,,0.91,24.57
2016-11-26,9,91.0,,0.91,8.19
2016-11-27,8,91.0,,0.91,7.28
2016-11-28,43,91.0,,0.91,39.13
2016-11-29,48,91.0,,0.91,43.68
2016-11-30,39,91.0,,0.91,35.49
2016-12-01,56,73.0,False,0.73,40.879999999999995
2016-12-02,72,73.0,,0.73,52.56
2016-12-03,17,73.0,,0.73,12.41
2016-12-04,8,73.0,,0.73,5.84
2016-12-05,62,73.0,,0.73,45.26
2016-12-06,56,73.0,,0.73,40.879999999999995
2016-12-07,45,73.0,,0.73,32.85
2016-12-08,51,73.0,,0.73,37.23
2016-12-09,50,73.0,,0.73,36.5
2016-12-10,12,73.0,,0.73,8.76
2016-12-11,7,73.0,,0.73,5.109999999999999
2016-12-12,48,73.0,,0.73,35.04
2016-12-13,47,73.0,,0.73,34.31
2016-12-14,62,73.0,,0.73,45.26
2016-12-15,94,73.0,,0.73,68.62
2016-12-16,57,73.0,,0.73,41.61
2016-12-17,18,73.0,,0.73,13.14
2016-12-18,9,73.0,,0.73,6.57
2016-12-19,53,73.0,,0.73,38.69
2016-12-20,66,73.0,,0.73,48.18
2016-12-21,58,73.0,,0.73,42.339999999999996
2016-12-22,52,73.0,,0.73,37.96
2016-12-23,52,73.0,,0.73,37.96
2016-12-24,8,73.0,,0.73,5.84
2016-12-25,8,73.0,,0.73,5.84
2016-12-26,12,73.0,,0.73,8.76
2016-12-27,53,73.0,,0.73,38.69
2016-12-28,78,73.0,,0.73,56.94
2016-12-29,84,73.0,,0.73,61.32
2016-12-30,100,73.0,,0.73,73.0
2016-12-31,25,73.0,,0.73,18.25
2017-01-01,7,84.0,False,0.84,5.88
2017-01-02,17,84.0,,0.84,14.28
2017-01-03,61,84.0,,0.84,51.239999999999995
2017-01-04,60,84.0,,0.84,50.4
2017-01-05,100,84.0,,0.84,84.0
2017-01-06,68,84.0,,0.84,57.12
2017-01-07,26,84.0,,0.84,21.84
2017-01-08,14,84.0,,0.84,11.76
2017-01-09,67,84.0,,0.84,56.28
2017-01-10,62,84.0,,0.84,52.08
2017-01-11,60,84.0,,0.84,50.4
2017-01-12,73,84.0,,0.84,61.32
2017-01-13,65,84.0,,0.84,54.6
2017-01-14,8,84.0,,0.84,6.72
2017-01-15,6,84.0,,0.84,5.04
2017-01-16,25,84.0,,0.84,21.0
2017-01-17,62,84.0,,0.84,52.08
2017-01-18,56,84.0,,0.84,47.04
2017-01-19,66,84.0,,0.84,55.44
2017-01-20,58,84.0,,0.84,48.72
2017-01-21,10,84.0,,0.84,8.4
2017-01-22,9,84.0,,0.84,7.56
2017-01-23,61,84.0,,0.84,51.239999999999995
2017-01-24,72,84.0,,0.84,60.48
2017-01-25,50,84.0,,0.84,42.0
2017-01-26,69,84.0,,0.84,57.96
2017-01-27,68,84.0,,0.84,57.12
2017-01-28,8,84.0,,0.84,6.72
2017-01-29,9,84.0,,0.84,7.56
2017-01-30,67,84.0,,0.84,56.28
2017-01-31,68,84.0,,0.84,57.12
2017-02-01,66,81.0,False,0.81,53.46
2017-02-02,74,81.0,,0.81,59.940000000000005
2017-02-03,78,81.0,,0.81,63.18000000000001
2017-02-04,21,81.0,,0.81,17.01
2017-02-05,9,81.0,,0.81,7.290000000000001
2017-02-06,73,81.0,,0.81,59.13
2017-02-07,76,81.0,,0.81,61.56
2017-02-08,100,81.0,,0.81,81.0
2017-02-09,78,81.0,,0.81,63.18000000000001
2017-02-10,71,81.0,,0.81,57.510000000000005
2017-02-11,10,81.0,,0.81,8.100000000000001
2017-02-12,11,81.0,,0.81,8.91
2017-02-13,59,81.0,,0.81,47.790000000000006
2017-02-14,57,81.0,,0.81,46.17
2017-02-15,66,81.0,,0.81,53.46
2017-02-16,57,81.0,,0.81,46.17
2017-02-17,54,81.0,,0.81,43.74
2017-02-18,18,81.0,,0.81,14.580000000000002
2017-02-19,4,81.0,,0.81,3.24
2017-02-20,15,81.0,,0.81,12.15
2017-02-21,36,81.0,,0.81,29.160000000000004
2017-02-22,57,81.0,,0.81,46.17
2017-02-23,81,81.0,,0.81,65.61
2017-02-24,69,81.0,,0.81,55.89
2017-02-25,13,81.0,,0.81,10.530000000000001
2017-02-26,1,81.0,,0.81,0.81
2017-02-27,71,81.0,,0.81,57.510000000000005
2017-02-28,76,81.0,,0.81,61.56
2017-03-01,68,82.0,False,0.82,55.76
2017-03-02,67,82.0,,0.82,54.94
2017-03-03,89,82.0,,0.82,72.97999999999999
2017-03-04,14,82.0,,0.82,11.479999999999999
2017-03-05,10,82.0,,0.82,8.2
2017-03-06,77,82.0,,0.82,63.13999999999999
2017-03-07,70,82.0,,0.82,57.4
2017-03-08,68,82.0,,0.82,55.76
2017-03-09,59,82.0,,0.82,48.379999999999995
2017-03-10,78,82.0,,0.82,63.959999999999994
2017-03-11,11,82.0,,0.82,9.02
2017-03-12,9,82.0,,0.82,7.38
2017-03-13,59,82.0,,0.82,48.379999999999995
2017-03-14,59,82.0,,0.82,48.379999999999995
2017-03-15,100,82.0,,0.82,82.0
2017-03-16,87,82.0,,0.82,71.33999999999999
2017-03-17,53,82.0,,0.82,43.46
2017-03-18,7,82.0,,0.82,5.739999999999999
2017-03-19,4,82.0,,0.82,3.28
2017-03-20,70,82.0,,0.82,57.4
2017-03-21,75,82.0,,0.82,61.49999999999999
2017-03-22,62,82.0,,0.82,50.839999999999996
2017-03-23,69,82.0,,0.82,56.58
2017-03-24,54,82.0,,0.82,44.279999999999994
2017-03-25,13,82.0,,0.82,10.66
2017-03-26,4,82.0,,0.82,3.28
2017-03-27,67,82.0,,0.82,54.94
2017-03-28,66,82.0,,0.82,54.12
2017-03-29,51,82.0,,0.82,41.82
2017-03-30,41,82.0,,0.82,33.62
2017-03-31,43,82.0,,0.82,35.26
2017-04-01,14,65.0,False,0.65,9.1
2017-04-02,9,65.0,,0.65,5.8500000000000005
2017-04-03,70,65.0,,0.65,45.5
2017-04-04,53,65.0,,0.65,34.45
2017-04-05,54,65.0,,0.65,35.1
2017-04-06,60,65.0,,0.65,39.0
2017-04-07,95,65.0,,0.65,61.75
2017-04-08,14,65.0,,0.65,9.1
2017-04-09,10,65.0,,0.65,6.5
2017-04-10,47,65.0,,0.65,30.55
2017-04-11,100,65.0,,0.65,65.0
2017-04-12,80,65.0,,0.65,52.0
2017-04-13,71,65.0,,0.65,46.15
2017-04-14,26,65.0,,0.65,16.900000000000002
2017-04-15,9,65.0,,0.65,5.8500000000000005
2017-04-16,6,65.0,,0.65,3.9000000000000004
2017-04-17,73,65.0,,0.65,47.45
2017-04-18,51,65.0,,0.65,33.15
2017-04-19,70,65.0,,0.65,45.5
2017-04-20,76,65.0,,0.65,49.4
2017-04-21,82,65.0,,0.65,53.300000000000004
2017-04-22,14,65.0,,0.65,9.1
2017-04-23,14,65.0,,0.65,9.1
2017-04-24,70,65.0,,0.65,45.5
2017-04-25,56,65.0,,0.65,36.4
2017-04-26,94,65.0,,0.65,61.1
2017-04-27,81,65.0,,0.65,52.65
2017-04-28,86,65.0,,0.65,55.9
2017-04-29,12,65.0,,0.65,7.800000000000001
2017-04-30,10,65.0,,0.65,6.5
2017-05-01,100,66.0,False,0.66,66.0
2017-05-02,46,66.0,,0.66,30.360000000000003
2017-05-03,32,66.0,,0.66,21.12
2017-05-04,46,66.0,,0.66,30.360000000000003
2017-05-05,43,66.0,,0.66,28.380000000000003
2017-05-06,11,66.0,,0.66,7.260000000000001
2017-05-07,6,66.0,,0.66,3.96
2017-05-08,45,66.0,,0.66,29.700000000000003
2017-05-09,33,66.0,,0.66,21.78
2017-05-10,33,66.0,,0.66,21.78
2017-05-11,42,66.0,,0.66,27.720000000000002
2017-05-12,40,66.0,,0.66,26.400000000000002
2017-05-13,4,66.0,,0.66,2.64
2017-05-14,3,66.0,,0.66,1.98
2017-05-15,32,66.0,,0.66,21.12
2017-05-16,32,66.0,,0.66,21.12
2017-05-17,46,66.0,,0.66,30.360000000000003
2017-05-18,47,66.0,,0.66,31.020000000000003
2017-05-19,33,66.0,,0.66,21.78
2017-05-20,9,66.0,,0.66,5.94
2017-05-21,5,66.0,,0.66,3.3000000000000003
2017-05-22,42,66.0,,0.66,27.720000000000002
2017-05-23,31,66.0,,0.66,20.46
2017-05-24,37,66.0,,0.66,24.42
2017-05-25,34,66.0,,0.66,22.44
2017-05-26,30,66.0,,0.66,19.8
2017-05-27,8,66.0,,0.66,5.28
2017-05-28,5,66.0,,0.66,3.3000000000000003
2017-05-29,5,66.0,,0.66,3.3000000000000003
2017-05-30,18,66.0,,0.66,11.88
2017-05-31,28,66.0,,0.66,18.48
2017-06-01,37,56.0,False,0.56,20.720000000000002
2017-06-02,63,56.0,,0.56,35.28
2017-06-03,13,56.0,,0.56,7.280000000000001
2017-06-04,6,56.0,,0.56,3.3600000000000003
2017-06-05,50,56.0,,0.56,28.000000000000004
2017-06-06,100,56.0,,0.56,56.00000000000001
2017-06-07,81,56.0,,0.56,45.36000000000001
2017-06-08,66,56.0,,0.56,36.96
2017-06-09,48,56.0,,0.56,26.880000000000003
2017-06-10,8,56.0,,0.56,4.48
2017-06-11,6,56.0,,0.56,3.3600000000000003
2017-06-12,61,56.0,,0.56,34.160000000000004
2017-06-13,56,56.0,,0.56,31.360000000000003
2017-06-14,65,56.0,,0.56,36.400000000000006
2017-06-15,61,56.0,,0.56,34.160000000000004
2017-06-16,76,56.0,,0.56,42.56
2017-06-17,4,56.0,,0.56,2.24
2017-06-18,4,56.0,,0.56,2.24
2017-06-19,59,56.0,,0.56,33.040000000000006
2017-06-20,61,56.0,,0.56,34.160000000000004
2017-06-21,57,56.0,,0.56,31.92
2017-06-22,66,56.0,,0.56,36.96
2017-06-23,41,56.0,,0.56,22.96
2017-06-24,10,56.0,,0.56,5.6000000000000005
2017-06-25,6,56.0,,0.56,3.3600000000000003
2017-06-26,57,56.0,,0.56,31.92
2017-06-27,67,56.0,,0.56,37.52
2017-06-28,54,56.0,,0.56,30.240000000000002
2017-06-29,50,56.0,,0.56,28.000000000000004
2017-06-30,38,56.0,,0.56,21.28
2017-07-01,13,45.0,False,0.45,5.8500000000000005
2017-07-02,0,45.0,,0.45,0.0
2017-07-03,48,45.0,,0.45,21.6
2017-07-04,18,45.0,,0.45,8.1
2017-07-05,72,45.0,,0.45,32.4
2017-07-06,71,45.0,,0.45,31.95
2017-07-07,53,45.0,,0.45,23.85
2017-07-08,5,45.0,,0.45,2.25
2017-07-09,3,45.0,,0.45,1.35
2017-07-10,71,45.0,,0.45,31.95
2017-07-11,67,45.0,,0.45,30.150000000000002
2017-07-12,100,45.0,,0.45,45.0
2017-07-13,70,45.0,,0.45,31.5
2017-07-14,80,45.0,,0.45,36.0
2017-07-15,8,45.0,,0.45,3.6
2017-07-16,3,45.0,,0.45,1.35
2017-07-17,78,45.0,,0.45,35.1
2017-07-18,65,45.0,,0.45,29.25
2017-07-19,41,45.0,,0.45,18.45
2017-07-20,54,45.0,,0.45,24.3
2017-07-21,51,45.0,,0.45,22.95
2017-07-22,5,45.0,,0.45,2.25
2017-07-23,5,45.0,,0.45,2.25
2017-07-24,54,45.0,,0.45,24.3
2017-07-25,76,45.0,,0.45,34.2
2017-07-26,64,45.0,,0.45,28.8
2017-07-27,99,45.0,,0.45,44.550000000000004
2017-07-28,75,45.0,,0.45,33.75
2017-07-29,13,45.0,,0.45,5.8500000000000005
2017-07-30,8,45.0,,0.45,3.6
2017-07-31,65,45.0,,0.45,29.25
2017-08-01,58,45.0,False,0.45,26.1
2017-08-02,60,45.0,,0.45,27.0
2017-08-03,47,45.0,,0.45,21.150000000000002
2017-08-04,63,45.0,,0.45,28.35
2017-08-05,16,45.0,,0.45,7.2
2017-08-06,3,45.0,,0.45,1.35
2017-08-07,38,45.0,,0.45,17.1
2017-08-08,45,45.0,,0.45,20.25
2017-08-09,81,45.0,,0.45,36.45
2017-08-10,80,45.0,,0.45,36.0
2017-08-11,85,45.0,,0.45,38.25
2017-08-12,16,45.0,,0.45,7.2
2017-08-13,16,45.0,,0.45,7.2
2017-08-14,51,45.0,,0.45,22.95
2017-08-15,62,45.0,,0.45,27.900000000000002
2017-08-16,71,45.0,,0.45,31.95
2017-08-17,50,45.0,,0.45,22.5
2017-08-18,73,45.0,,0.45,32.85
2017-08-19,11,45.0,,0.45,4.95
2017-08-20,11,45.0,,0.45,4.95
2017-08-21,67,45.0,,0.45,30.150000000000002
2017-08-22,50,45.0,,0.45,22.5
2017-08-23,52,45.0,,0.45,23.400000000000002
2017-08-24,63,45.0,,0.45,28.35
2017-08-25,76,45.0,,0.45,34.2
2017-08-26,10,45.0,,0.45,4.5
2017-08-27,0,45.0,,0.45,0.0
2017-08-28,97,45.0,,0.45,43.65
2017-08-29,81,45.0,,0.45,36.45
2017-08-30,71,45.0,,0.45,31.95
2017-08-31,100,45.0,,0.45,45.0
2017-09-01,76,39.0,False,0.39,29.64
2017-09-02,6,39.0,,0.39,2.34
2017-09-03,12,39.0,,0.39,4.68
2017-09-04,23,39.0,,0.39,8.97
2017-09-05,100,39.0,,0.39,39.0
2017-09-06,95,39.0,,0.39,37.050000000000004
2017-09-07,100,39.0,,0.39,39.0
2017-09-08,98,39.0,,0.39,38.22
2017-09-09,27,39.0,,0.39,10.530000000000001
2017-09-10,3,39.0,,0.39,1.17
2017-09-11,60,39.0,,0.39,23.400000000000002
2017-09-12,76,39.0,,0.39,29.64
2017-09-13,46,39.0,,0.39,17.94
2017-09-14,59,39.0,,0.39,23.01
2017-09-15,73,39.0,,0.39,28.470000000000002
2017-09-16,9,39.0,,0.39,3.5100000000000002
2017-09-17,6,39.0,,0.39,2.34
2017-09-18,68,39.0,,0.39,26.52
2017-09-19,75,39.0,,0.39,29.25
2017-09-20,88,39.0,,0.39,34.32
2017-09-21,71,39.0,,0.39,27.69
2017-09-22,68,39.0,,0.39,26.52
2017-09-23,9,39.0,,0.39,3.5100000000000002
2017-09-24,3,39.0,,0.39,1.17
2017-09-25,56,39.0,,0.39,21.84
2017-09-26,74,39.0,,0.39,28.86
2017-09-27,64,39.0,,0.39,24.96
2017-09-28,59,39.0,,0.39,23.01
2017-09-29,57,39.0,,0.39,22.23
2017-09-30,6,39.0,,0.39,2.34
2017-10-01,14,33.0,False,0.33,4.62
2017-10-02,52,33.0,,0.33,17.16
2017-10-03,100,33.0,,0.33,33.0
2017-10-04,86,33.0,,0.33,28.380000000000003
2017-10-05,81,33.0,,0.33,26.73
2017-10-06,68,33.0,,0.33,22.44
2017-10-07,14,33.0,,0.33,4.62
2017-10-08,10,33.0,,0.33,3.3000000000000003
2017-10-09,80,33.0,,0.33,26.400000000000002
2017-10-10,84,33.0,,0.33,27.720000000000002
2017-10-11,83,33.0,,0.33,27.39
2017-10-12,80,33.0,,0.33,26.400000000000002
2017-10-13,77,33.0,,0.33,25.41
2017-10-14,11,33.0,,0.33,3.6300000000000003
2017-10-15,7,33.0,,0.33,2.31
2017-10-16,36,33.0,,0.33,11.88
2017-10-17,36,33.0,,0.33,11.88
2017-10-18,48,33.0,,0.33,15.84
2017-10-19,58,33.0,,0.33,19.14
2017-10-20,66,33.0,,0.33,21.78
2017-10-21,0,33.0,,0.33,0.0
2017-10-22,7,33.0,,0.33,2.31
2017-10-23,67,33.0,,0.33,22.11
2017-10-24,59,33.0,,0.33,19.470000000000002
2017-10-25,77,33.0,,0.33,25.41
2017-10-26,60,33.0,,0.33,19.8
2017-10-27,65,33.0,,0.33,21.45
2017-10-28,11,33.0,,0.33,3.6300000000000003
2017-10-29,14,33.0,,0.33,4.62
2017-10-30,76,33.0,,0.33,25.080000000000002
2017-10-31,82,33.0,,0.33,27.060000000000002
2017-11-01,49,29.0,False,0.29,14.209999999999999
2017-11-02,93,29.0,,0.29,26.97
2017-11-03,94,29.0,,0.29,27.259999999999998
2017-11-04,9,29.0,,0.29,2.61
2017-11-05,0,29.0,,0.29,0.0
2017-11-06,65,29.0,,0.29,18.849999999999998
2017-11-07,87,29.0,,0.29,25.229999999999997
2017-11-08,100,29.0,,0.29,28.999999999999996
2017-11-09,72,29.0,,0.29,20.88
2017-11-10,89,29.0,,0.29,25.81
2017-11-11,13,29.0,,0.29,3.7699999999999996
2017-11-12,13,29.0,,0.29,3.7699999999999996
2017-11-13,85,29.0,,0.29,24.65
2017-11-14,54,29.0,,0.29,15.659999999999998
2017-11-15,76,29.0,,0.29,22.04
2017-11-16,79,29.0,,0.29,22.91
2017-11-17,89,29.0,,0.29,25.81
2017-11-18,26,29.0,,0.29,7.539999999999999
2017-11-19,4,29.0,,0.29,1.16
2017-11-20,59,29.0,,0.29,17.11
2017-11-21,61,29.0,,0.29,17.689999999999998
2017-11-22,59,29.0,,0.29,17.11
2017-11-23,39,29.0,,0.29,11.309999999999999
2017-11-24,42,29.0,,0.29,12.18
2017-11-25,17,29.0,,0.29,4.93
2017-11-26,8,29.0,,0.29,2.32
2017-11-27,51,29.0,,0.29,14.79
2017-11-28,49,29.0,,0.29,14.209999999999999
2017-11-29,92,29.0,,0.29,26.68
2017-11-30,94,29.0,,0.29,27.259999999999998
2017-12-01,79,31.0,False,0.31,24.49
2017-12-02,14,31.0,,0.31,4.34
2017-12-03,7,31.0,,0.31,2.17
2017-12-04,53,31.0,,0.31,16.43
2017-12-05,47,31.0,,0.31,14.57
2017-12-06,87,31.0,,0.31,26.97
2017-12-07,67,31.0,,0.31,20.77
2017-12-08,63,31.0,,0.31,19.53
2017-12-09,24,31.0,,0.31,7.4399999999999995
2017-12-10,10,31.0,,0.31,3.1
2017-12-11,50,31.0,,0.31,15.5
2017-12-12,67,31.0,,0.31,20.77
2017-12-13,94,31.0,,0.31,29.14
2017-12-14,83,31.0,,0.31,25.73
2017-12-15,53,31.0,,0.31,16.43
2017-12-16,7,31.0,,0.31,2.17
2017-12-17,14,31.0,,0.31,4.34
2017-12-18,52,31.0,,0.31,16.12
2017-12-19,76,31.0,,0.31,23.56
2017-12-20,100,31.0,,0.31,31.0
2017-12-21,78,31.0,,0.31,24.18
2017-12-22,45,31.0,,0.31,13.95
2017-12-23,7,31.0,,0.31,2.17
2017-12-24,7,31.0,,0.31,2.17
2017-12-25,8,31.0,,0.31,2.48
2017-12-26,61,31.0,,0.31,18.91
2017-12-27,64,31.0,,0.31,19.84
2017-12-28,70,31.0,,0.31,21.7
2017-12-29,45,31.0,,0.31,13.95
2017-12-30,7,31.0,,0.31,2.17
