date,TGT_unscaled,TGT_monthly,isPartial,scale,TGT
2016-11-17,40,49.0,,0.49,19.6
2016-11-18,22,49.0,,0.49,10.78
2016-11-19,20,49.0,,0.49,9.8
2016-11-20,14,49.0,,0.49,6.859999999999999
2016-11-21,22,49.0,,0.49,10.78
2016-11-22,22,49.0,,0.49,10.78
2016-11-23,29,49.0,,0.49,14.209999999999999
2016-11-24,7,49.0,,0.49,3.4299999999999997
2016-11-25,31,49.0,,0.49,15.19
2016-11-26,12,49.0,,0.49,5.88
2016-11-27,12,49.0,,0.49,5.88
2016-11-28,24,49.0,,0.49,11.76
2016-11-29,21,49.0,,0.49,10.29
2016-11-30,20,49.0,,0.49,9.8
2016-12-01,100,37.0,False,0.37,37.0
2016-12-02,73,37.0,,0.37,27.009999999999998
2016-12-03,21,37.0,,0.37,7.77
2016-12-04,20,37.0,,0.37,7.4
2016-12-05,48,37.0,,0.37,17.759999999999998
2016-12-06,47,37.0,,0.37,17.39
2016-12-07,28,37.0,,0.37,10.36
2016-12-08,43,37.0,,0.37,15.91
2016-12-09,63,37.0,,0.37,23.31
2016-12-10,22,37.0,,0.37,8.14
2016-12-11,33,37.0,,0.37,12.209999999999999
2016-12-12,48,37.0,,0.37,17.759999999999998
2016-12-13,66,37.0,,0.37,24.419999999999998
2016-12-14,75,37.0,,0.37,27.75
2016-12-15,43,37.0,,0.37,15.91
2016-12-16,49,37.0,,0.37,18.13
2016-12-17,18,37.0,,0.37,6.66
2016-12-18,30,37.0,,0.37,11.1
2016-12-19,30,37.0,,0.37,11.1
2016-12-20,38,37.0,,0.37,14.06
2016-12-21,47,37.0,,0.37,17.39
2016-12-22,53,37.0,,0.37,19.61
2016-12-23,41,37.0,,0.37,15.17
2016-12-24,23,37.0,,0.37,8.51
2016-12-25,20,37.0,,0.37,7.4
2016-12-26,39,37.0,,0.37,14.43
2016-12-27,66,37.0,,0.37,24.419999999999998
2016-12-28,8,37.0,,0.37,2.96
2016-12-29,31,37.0,,0.37,11.47
2016-12-30,40,37.0,,0.37,14.8
2016-12-31,21,37.0,,0.37,7.77
2017-01-01,19,49.0,False,0.49,9.31
2017-01-02,14,49.0,,0.49,6.859999999999999
2017-01-03,21,49.0,,0.49,10.29
2017-01-04,44,49.0,,0.49,21.56
2017-01-05,27,49.0,,0.49,13.23
2017-01-06,55,49.0,,0.49,26.95
2017-01-07,33,49.0,,0.49,16.169999999999998
2017-01-08,24,49.0,,0.49,11.76
2017-01-09,35,49.0,,0.49,17.15
2017-01-10,38,49.0,,0.49,18.62
2017-01-11,38,49.0,,0.49,18.62
2017-01-12,31,49.0,,0.49,15.19
2017-01-13,37,49.0,,0.49,18.13
2017-01-14,24,49.0,,0.49,11.76
2017-01-15,23,49.0,,0.49,11.27
2017-01-16,13,49.0,,0.49,6.37
2017-01-17,43,49.0,,0.49,21.07
2017-01-18,100,49.0,,0.49,49.0
2017-01-19,55,49.0,,0.49,26.95
2017-01-20,68,49.0,,0.49,33.32
2017-01-21,15,49.0,,0.49,7.35
2017-01-22,20,49.0,,0.49,9.8
2017-01-23,51,49.0,,0.49,24.99
2017-01-24,58,49.0,,0.49,28.419999999999998
2017-01-25,62,49.0,,0.49,30.38
2017-01-26,62,49.0,,0.49,30.38
2017-01-27,54,49.0,,0.49,26.46
2017-01-28,27,49.0,,0.49,13.23
2017-01-29,24,49.0,,0.49,11.76
2017-01-30,27,49.0,,0.49,13.23
2017-01-31,72,49.0,,0.49,35.28
2017-02-01,15,72.0,False,0.72,10.799999999999999
2017-02-02,13,72.0,,0.72,9.36
2017-02-03,18,72.0,,0.72,12.959999999999999
2017-02-04,7,72.0,,0.72,5.04
2017-02-05,5,72.0,,0.72,3.5999999999999996
2017-02-06,15,72.0,,0.72,10.799999999999999
2017-02-07,21,72.0,,0.72,15.12
2017-02-08,19,72.0,,0.72,13.68
2017-02-09,20,72.0,,0.72,14.399999999999999
2017-02-10,18,72.0,,0.72,12.959999999999999
2017-02-11,10,72.0,,0.72,7.199999999999999
2017-02-12,10,72.0,,0.72,7.199999999999999
2017-02-13,16,72.0,,0.72,11.52
2017-02-14,15,72.0,,0.72,10.799999999999999
2017-02-15,20,72.0,,0.72,14.399999999999999
2017-02-16,12,72.0,,0.72,8.64
2017-02-17,17,72.0,,0.72,12.24
2017-02-18,8,72.0,,0.72,5.76
2017-02-19,8,72.0,,0.72,5.76
2017-02-20,11,72.0,,0.72,7.92
2017-02-21,14,72.0,,0.72,10.08
2017-02-22,12,72.0,,0.72,8.64
2017-02-23,16,72.0,,0.72,11.52
2017-02-24,16,72.0,,0.72,11.52
2017-02-25,7,72.0,,0.72,5.04
2017-02-26,8,72.0,,0.72,5.76
2017-02-27,13,72.0,,0.72,9.36
2017-02-28,100,72.0,,0.72,72.0
2017-03-01,100,100.0,False,1.0,100.0
2017-03-02,61,100.0,,1.0,61.0
2017-03-03,41,100.0,,1.0,41.0
2017-03-04,18,100.0,,1.0,18.0
2017-03-05,6,100.0,,1.0,6.0
2017-03-06,40,100.0,,1.0,40.0
2017-03-07,35,100.0,,1.0,35.0
2017-03-08,30,100.0,,1.0,30.0
2017-03-09,32,100.0,,1.0,32.0
2017-03-10,31,100.0,,1.0,31.0
2017-03-11,15,100.0,,1.0,15.0
2017-03-12,8,100.0,,1.0,8.0
2017-03-13,24,100.0,,1.0,24.0
2017-03-14,37,100.0,,1.0,37.0
2017-03-15,28,100.0,,1.0,28.0
2017-03-16,26,100.0,,1.0,26.0
2017-03-17,21,100.0,,1.0,21.0
2017-03-18,8,100.0,,1.0,8.0
2017-03-19,10,100.0,,1.0,10.0
2017-03-20,19,100.0,,1.0,19.0
2017-03-21,29,100.0,,1.0,29.0
2017-03-22,32,100.0,,1.0,32.0
2017-03-23,24,100.0,,1.0,24.0
2017-03-24,20,100.0,,1.0,20.0
2017-03-25,8,100.0,,1.0,8.0
2017-03-26,7,100.0,,1.0,7.0
2017-03-27,12,100.0,,1.0,12.0
2017-03-28,21,100.0,,1.0,21.0
2017-03-29,34,100.0,,1.0,34.0
2017-03-30,25,100.0,,1.0,25.0
2017-03-31,25,100.0,,1.0,25.0
2017-04-01,18,66.0,False,0.66,11.88
2017-04-02,23,66.0,,0.66,15.180000000000001
2017-04-03,53,66.0,,0.66,34.980000000000004
2017-04-04,77,66.0,,0.66,50.82
2017-04-05,66,66.0,,0.66,43.56
2017-04-06,63,66.0,,0.66,41.580000000000005
2017-04-07,69,66.0,,0.66,45.54
2017-04-08,26,66.0,,0.66,17.16
2017-04-09,18,66.0,,0.66,11.88
2017-04-10,65,66.0,,0.66,42.9
2017-04-11,100,66.0,,0.66,66.0
2017-04-12,66,66.0,,0.66,43.56
2017-04-13,62,66.0,,0.66,40.92
2017-04-14,18,66.0,,0.66,11.88
2017-04-15,21,66.0,,0.66,13.860000000000001
2017-04-16,14,66.0,,0.66,9.24
2017-04-17,55,66.0,,0.66,36.300000000000004
2017-04-18,47,66.0,,0.66,31.020000000000003
2017-04-19,42,66.0,,0.66,27.720000000000002
2017-04-20,65,66.0,,0.66,42.9
2017-04-21,64,66.0,,0.66,42.24
2017-04-22,28,66.0,,0.66,18.48
2017-04-23,18,66.0,,0.66,11.88
2017-04-24,66,66.0,,0.66,43.56
2017-04-25,70,66.0,,0.66,46.2
2017-04-26,47,66.0,,0.66,31.020000000000003
2017-04-27,48,66.0,,0.66,31.68
2017-04-28,51,66.0,,0.66,33.660000000000004
2017-04-29,20,66.0,,0.66,13.200000000000001
2017-04-30,10,66.0,,0.66,6.6000000000000005
2017-05-01,42,85.0,False,0.85,35.699999999999996
2017-05-02,29,85.0,,0.85,24.65
2017-05-03,31,85.0,,0.85,26.349999999999998
2017-05-04,21,85.0,,0.85,17.849999999999998
2017-05-05,40,85.0,,0.85,34.0
2017-05-06,13,85.0,,0.85,11.049999999999999
2017-05-07,4,85.0,,0.85,3.4
2017-05-08,37,85.0,,0.85,31.45
2017-05-09,38,85.0,,0.85,32.3
2017-05-10,31,85.0,,0.85,26.349999999999998
2017-05-11,35,85.0,,0.85,29.75
2017-05-12,38,85.0,,0.85,32.3
2017-05-13,12,85.0,,0.85,10.2
2017-05-14,12,85.0,,0.85,10.2
2017-05-15,39,85.0,,0.85,33.15
2017-05-16,60,85.0,,0.85,51.0
2017-05-17,100,85.0,,0.85,85.0
2017-05-18,69,85.0,,0.85,58.65
2017-05-19,34,85.0,,0.85,28.9
2017-05-20,17,85.0,,0.85,14.45
2017-05-21,11,85.0,,0.85,9.35
2017-05-22,36,85.0,,0.85,30.599999999999998
2017-05-23,26,85.0,,0.85,22.099999999999998
2017-05-24,41,85.0,,0.85,34.85
2017-05-25,40,85.0,,0.85,34.0
2017-05-26,29,85.0,,0.85,24.65
2017-05-27,18,85.0,,0.85,15.299999999999999
2017-05-28,12,85.0,,0.85,10.2
2017-05-29,14,85.0,,0.85,11.9
2017-05-30,27,85.0,,0.85,22.95
2017-05-31,38,85.0,,0.85,32.3
2017-06-01,27,81.0,False,0.81,21.87
2017-06-02,24,81.0,,0.81,19.44
2017-06-03,8,81.0,,0.81,6.48
2017-06-04,9,81.0,,0.81,7.290000000000001
2017-06-05,20,81.0,,0.81,16.200000000000003
2017-06-06,29,81.0,,0.81,23.490000000000002
2017-06-07,13,81.0,,0.81,10.530000000000001
2017-06-08,16,81.0,,0.81,12.96
2017-06-09,27,81.0,,0.81,21.87
2017-06-10,8,81.0,,0.81,6.48
2017-06-11,3,81.0,,0.81,2.43
2017-06-12,24,81.0,,0.81,19.44
2017-06-13,28,81.0,,0.81,22.68
2017-06-14,31,81.0,,0.81,25.110000000000003
2017-06-15,31,81.0,,0.81,25.110000000000003
2017-06-16,100,81.0,,0.81,81.0
2017-06-17,31,81.0,,0.81,25.110000000000003
2017-06-18,14,81.0,,0.81,11.34
2017-06-19,49,81.0,,0.81,39.690000000000005
2017-06-20,39,81.0,,0.81,31.590000000000003
2017-06-21,33,81.0,,0.81,26.73
2017-06-22,40,81.0,,0.81,32.400000000000006
2017-06-23,29,81.0,,0.81,23.490000000000002
2017-06-24,6,81.0,,0.81,4.86
2017-06-25,5,81.0,,0.81,4.050000000000001
2017-06-26,41,81.0,,0.81,33.21
2017-06-27,30,81.0,,0.81,24.3
2017-06-28,30,81.0,,0.81,24.3
2017-06-29,32,81.0,,0.81,25.92
2017-06-30,27,81.0,,0.81,21.87
2017-07-01,19,69.0,False,0.69,13.11
2017-07-02,29,69.0,,0.69,20.009999999999998
2017-07-03,42,69.0,,0.69,28.979999999999997
2017-07-04,17,69.0,,0.69,11.729999999999999
2017-07-05,46,69.0,,0.69,31.74
2017-07-06,18,69.0,,0.69,12.419999999999998
2017-07-07,46,69.0,,0.69,31.74
2017-07-08,25,69.0,,0.69,17.25
2017-07-09,15,69.0,,0.69,10.35
2017-07-10,59,69.0,,0.69,40.709999999999994
2017-07-11,36,69.0,,0.69,24.839999999999996
2017-07-12,47,69.0,,0.69,32.43
2017-07-13,100,69.0,,0.69,69.0
2017-07-14,82,69.0,,0.69,56.58
2017-07-15,13,69.0,,0.69,8.969999999999999
2017-07-16,11,69.0,,0.69,7.59
2017-07-17,40,69.0,,0.69,27.599999999999998
2017-07-18,38,69.0,,0.69,26.22
2017-07-19,45,69.0,,0.69,31.049999999999997
2017-07-20,45,69.0,,0.69,31.049999999999997
2017-07-21,37,69.0,,0.69,25.529999999999998
2017-07-22,23,69.0,,0.69,15.87
2017-07-23,17,69.0,,0.69,11.729999999999999
2017-07-24,36,69.0,,0.69,24.839999999999996
2017-07-25,56,69.0,,0.69,38.64
2017-07-26,32,69.0,,0.69,22.08
2017-07-27,68,69.0,,0.69,46.919999999999995
2017-07-28,36,69.0,,0.69,24.839999999999996
2017-07-29,25,69.0,,0.69,17.25
2017-07-30,8,69.0,,0.69,5.52
2017-07-31,36,69.0,,0.69,24.839999999999996
2017-08-01,28,73.0,False,0.73,20.439999999999998
2017-08-02,25,73.0,,0.73,18.25
2017-08-03,25,73.0,,0.73,18.25
2017-08-04,34,73.0,,0.73,24.82
2017-08-05,9,73.0,,0.73,6.57
2017-08-06,5,73.0,,0.73,3.65
2017-08-07,21,73.0,,0.73,15.33
2017-08-08,35,73.0,,0.73,25.55
2017-08-09,28,73.0,,0.73,20.439999999999998
2017-08-10,31,73.0,,0.73,22.63
2017-08-11,21,73.0,,0.73,15.33
2017-08-12,19,73.0,,0.73,13.87
2017-08-13,7,73.0,,0.73,5.109999999999999
2017-08-14,28,73.0,,0.73,20.439999999999998
2017-08-15,39,73.0,,0.73,28.47
2017-08-16,100,73.0,,0.73,73.0
2017-08-17,39,73.0,,0.73,28.47
2017-08-18,24,73.0,,0.73,17.52
2017-08-19,13,73.0,,0.73,9.49
2017-08-20,7,73.0,,0.73,5.109999999999999
2017-08-21,22,73.0,,0.73,16.06
2017-08-22,26,73.0,,0.73,18.98
2017-08-23,31,73.0,,0.73,22.63
2017-08-24,37,73.0,,0.73,27.009999999999998
2017-08-25,34,73.0,,0.73,24.82
2017-08-26,17,73.0,,0.73,12.41
2017-08-27,4,73.0,,0.73,2.92
2017-08-28,28,73.0,,0.73,20.439999999999998
2017-08-29,23,73.0,,0.73,16.79
2017-08-30,23,73.0,,0.73,16.79
2017-08-31,17,73.0,,0.73,12.41
2017-09-01,62,54.0,False,0.54,33.480000000000004
2017-09-02,48,54.0,,0.54,25.92
2017-09-03,22,54.0,,0.54,11.88
2017-09-04,21,54.0,,0.54,11.34
2017-09-05,57,54.0,,0.54,30.78
2017-09-06,58,54.0,,0.54,31.32
2017-09-07,72,54.0,,0.54,38.88
2017-09-08,100,54.0,,0.54,54.0
2017-09-09,36,54.0,,0.54,19.44
2017-09-10,21,54.0,,0.54,11.34
2017-09-11,72,54.0,,0.54,38.88
2017-09-12,67,54.0,,0.54,36.18
2017-09-13,85,54.0,,0.54,45.900000000000006
2017-09-14,84,54.0,,0.54,45.36
2017-09-15,69,54.0,,0.54,37.260000000000005
2017-09-16,33,54.0,,0.54,17.82
2017-09-17,14,54.0,,0.54,7.5600000000000005
2017-09-18,75,54.0,,0.54,40.5
2017-09-19,91,54.0,,0.54,49.14
2017-09-20,60,54.0,,0.54,32.400000000000006
2017-09-21,70,54.0,,0.54,37.800000000000004
2017-09-22,47,54.0,,0.54,25.380000000000003
2017-09-23,11,54.0,,0.54,5.94
2017-09-24,15,54.0,,0.54,8.100000000000001
2017-09-25,77,54.0,,0.54,41.580000000000005
2017-09-26,70,54.0,,0.54,37.800000000000004
2017-09-27,55,54.0,,0.54,29.700000000000003
2017-09-28,40,54.0,,0.54,21.6
2017-09-29,47,54.0,,0.54,25.380000000000003
2017-09-30,19,54.0,,0.54,10.260000000000002
2017-10-01,34,56.0,False,0.56,19.040000000000003
2017-10-02,74,56.0,,0.56,41.440000000000005
2017-10-03,76,56.0,,0.56,42.56
2017-10-04,77,56.0,,0.56,43.120000000000005
2017-10-05,53,56.0,,0.56,29.680000000000003
2017-10-06,82,56.0,,0.56,45.92
2017-10-07,33,56.0,,0.56,18.48
2017-10-08,37,56.0,,0.56,20.720000000000002
2017-10-09,45,56.0,,0.56,25.200000000000003
2017-10-10,85,56.0,,0.56,47.6
2017-10-11,100,56.0,,0.56,56.00000000000001
2017-10-12,66,56.0,,0.56,36.96
2017-10-13,68,56.0,,0.56,38.080000000000005
2017-10-14,37,56.0,,0.56,20.720000000000002
2017-10-15,33,56.0,,0.56,18.48
2017-10-16,63,56.0,,0.56,35.28
2017-10-17,60,56.0,,0.56,33.6
2017-10-18,87,56.0,,0.56,48.720000000000006
2017-10-19,76,56.0,,0.56,42.56
2017-10-20,91,56.0,,0.56,50.96000000000001
2017-10-21,34,56.0,,0.56,19.040000000000003
2017-10-22,33,56.0,,0.56,18.48
2017-10-23,89,56.0,,0.56,49.84
2017-10-24,86,56.0,,0.56,48.160000000000004
2017-10-25,63,56.0,,0.56,35.28
2017-10-26,66,56.0,,0.56,36.96
2017-10-27,83,56.0,,0.56,46.480000000000004
2017-10-28,51,56.0,,0.56,28.560000000000002
2017-10-29,45,56.0,,0.56,25.200000000000003
2017-10-30,68,56.0,,0.56,38.080000000000005
2017-10-31,71,56.0,,0.56,39.760000000000005
2017-11-01,28,83.0,False,0.83,23.24
2017-11-02,22,83.0,,0.83,18.259999999999998
2017-11-03,21,83.0,,0.83,17.43
2017-11-04,10,83.0,,0.83,8.299999999999999
2017-11-05,2,83.0,,0.83,1.66
2017-11-06,17,83.0,,0.83,14.11
2017-11-07,19,83.0,,0.83,15.77
2017-11-08,32,83.0,,0.83,26.56
2017-11-09,27,83.0,,0.83,22.41
2017-11-10,25,83.0,,0.83,20.75
2017-11-11,7,83.0,,0.83,5.81
2017-11-12,10,83.0,,0.83,8.299999999999999
2017-11-13,24,83.0,,0.83,19.919999999999998
2017-11-14,26,83.0,,0.83,21.58
2017-11-15,100,83.0,,0.83,83.0
2017-11-16,65,83.0,,0.83,53.949999999999996
2017-11-17,43,83.0,,0.83,35.69
2017-11-18,11,83.0,,0.83,9.129999999999999
2017-11-19,5,83.0,,0.83,4.1499999999999995
2017-11-20,28,83.0,,0.83,23.24
2017-11-21,30,83.0,,0.83,24.9
2017-11-22,16,83.0,,0.83,13.28
2017-11-23,15,83.0,,0.83,12.45
2017-11-24,25,83.0,,0.83,20.75
2017-11-25,9,83.0,,0.83,7.47
2017-11-26,6,83.0,,0.83,4.9799999999999995
2017-11-27,29,83.0,,0.83,24.07
2017-11-28,23,83.0,,0.83,19.09
2017-11-29,66,83.0,,0.83,54.779999999999994
2017-11-30,46,83.0,,0.83,38.18
2017-12-01,96,59.0,False,0.59,56.64
2017-12-02,29,59.0,,0.59,17.11
2017-12-03,19,59.0,,0.59,11.209999999999999
2017-12-04,79,59.0,,0.59,46.61
2017-12-05,60,59.0,,0.59,35.4
2017-12-06,69,59.0,,0.59,40.71
2017-12-07,50,59.0,,0.59,29.5
2017-12-08,76,59.0,,0.59,44.839999999999996
2017-12-09,29,59.0,,0.59,17.11
2017-12-10,16,59.0,,0.59,9.44
2017-12-11,50,59.0,,0.59,29.5
2017-12-12,53,59.0,,0.59,31.27
2017-12-13,100,59.0,,0.59,59.0
2017-12-14,90,59.0,,0.59,53.099999999999994
2017-12-15,84,59.0,,0.59,49.559999999999995
2017-12-16,26,59.0,,0.59,15.34
2017-12-17,23,59.0,,0.59,13.569999999999999
2017-12-18,58,59.0,,0.59,34.22
2017-12-19,89,59.0,,0.59,52.51
2017-12-20,60,59.0,,0.59,35.4
2017-12-21,65,59.0,,0.59,38.35
2017-12-22,52,59.0,,0.59,30.68
2017-12-23,34,59.0,,0.59,20.06
