date,VZ_unscaled,VZ_monthly,isPartial,scale,VZ
2016-08-01,100,58.0,False,0.58,57.99999999999999
2016-08-02,76,58.0,,0.58,44.08
2016-08-03,73,58.0,,0.58,42.339999999999996
2016-08-04,54,58.0,,0.58,31.319999999999997
2016-08-05,73,58.0,,0.58,42.339999999999996
2016-08-06,44,58.0,,0.58,25.52
2016-08-07,42,58.0,,0.58,24.36
2016-08-08,61,58.0,,0.58,35.379999999999995
2016-08-09,78,58.0,,0.58,45.239999999999995
2016-08-10,76,58.0,,0.58,44.08
2016-08-11,80,58.0,,0.58,46.4
2016-08-12,64,58.0,,0.58,37.12
2016-08-13,21,58.0,,0.58,12.18
2016-08-14,30,58.0,,0.58,17.4
2016-08-15,68,58.0,,0.58,39.44
2016-08-16,71,58.0,,0.58,41.18
2016-08-17,71,58.0,,0.58,41.18
2016-08-18,66,58.0,,0.58,38.279999999999994
2016-08-19,66,58.0,,0.58,38.279999999999994
2016-08-20,38,58.0,,0.58,22.04
2016-08-21,36,58.0,,0.58,20.88
2016-08-22,59,58.0,,0.58,34.22
2016-08-23,76,58.0,,0.58,44.08
2016-08-24,62,58.0,,0.58,35.96
2016-08-25,40,58.0,,0.58,23.2
2016-08-26,73,58.0,,0.58,42.339999999999996
2016-08-27,53,58.0,,0.58,30.74
2016-08-28,39,58.0,,0.58,22.619999999999997
2016-08-29,86,58.0,,0.58,49.879999999999995
2016-08-30,57,58.0,,0.58,33.059999999999995
2016-08-31,66,58.0,,0.58,38.279999999999994
2016-09-01,71,56.0,False,0.56,39.760000000000005
2016-09-02,58,56.0,,0.56,32.480000000000004
2016-09-03,56,56.0,,0.56,31.360000000000003
2016-09-04,58,56.0,,0.56,32.480000000000004
2016-09-05,40,56.0,,0.56,22.400000000000002
2016-09-06,90,56.0,,0.56,50.400000000000006
2016-09-07,73,56.0,,0.56,40.88
2016-09-08,63,56.0,,0.56,35.28
2016-09-09,100,56.0,,0.56,56.00000000000001
2016-09-10,58,56.0,,0.56,32.480000000000004
2016-09-11,31,56.0,,0.56,17.360000000000003
2016-09-12,84,56.0,,0.56,47.040000000000006
2016-09-13,54,56.0,,0.56,30.240000000000002
2016-09-14,67,56.0,,0.56,37.52
2016-09-15,99,56.0,,0.56,55.440000000000005
2016-09-16,70,56.0,,0.56,39.2
2016-09-17,56,56.0,,0.56,31.360000000000003
2016-09-18,52,56.0,,0.56,29.120000000000005
2016-09-19,79,56.0,,0.56,44.24
2016-09-20,88,56.0,,0.56,49.28
2016-09-21,98,56.0,,0.56,54.88
2016-09-22,75,56.0,,0.56,42.00000000000001
2016-09-23,80,56.0,,0.56,44.800000000000004
2016-09-24,52,56.0,,0.56,29.120000000000005
2016-09-25,39,56.0,,0.56,21.840000000000003
2016-09-26,74,56.0,,0.56,41.440000000000005
2016-09-27,78,56.0,,0.56,43.68000000000001
2016-09-28,71,56.0,,0.56,39.760000000000005
2016-09-29,73,56.0,,0.56,40.88
2016-09-30,71,56.0,,0.56,39.760000000000005
2016-10-01,52,61.0,False,0.61,31.72
2016-10-02,32,61.0,,0.61,19.52
2016-10-03,55,61.0,,0.61,33.55
2016-10-04,54,61.0,,0.61,32.94
2016-10-05,66,61.0,,0.61,40.26
2016-10-06,94,61.0,,0.61,57.339999999999996
2016-10-07,56,61.0,,0.61,34.16
2016-10-08,47,61.0,,0.61,28.669999999999998
2016-10-09,41,61.0,,0.61,25.009999999999998
2016-10-10,53,61.0,,0.61,32.33
2016-10-11,68,61.0,,0.61,41.48
2016-10-12,69,61.0,,0.61,42.089999999999996
2016-10-13,53,61.0,,0.61,32.33
2016-10-14,69,61.0,,0.61,42.089999999999996
2016-10-15,38,61.0,,0.61,23.18
2016-10-16,41,61.0,,0.61,25.009999999999998
2016-10-17,69,61.0,,0.61,42.089999999999996
2016-10-18,74,61.0,,0.61,45.14
2016-10-19,80,61.0,,0.61,48.8
2016-10-20,100,61.0,,0.61,61.0
2016-10-21,92,61.0,,0.61,56.12
2016-10-22,49,61.0,,0.61,29.89
2016-10-23,50,61.0,,0.61,30.5
2016-10-24,78,61.0,,0.61,47.58
2016-10-25,100,61.0,,0.61,61.0
2016-10-26,86,61.0,,0.61,52.46
2016-10-27,66,61.0,,0.61,40.26
2016-10-28,56,61.0,,0.61,34.16
2016-10-29,44,61.0,,0.61,26.84
2016-10-30,33,61.0,,0.61,20.13
2016-10-31,72,61.0,,0.61,43.92
2016-11-01,74,67.0,False,0.67,49.580000000000005
2016-11-02,81,67.0,,0.67,54.27
2016-11-03,84,67.0,,0.67,56.28
2016-11-04,65,67.0,,0.67,43.550000000000004
2016-11-05,45,67.0,,0.67,30.150000000000002
2016-11-06,42,67.0,,0.67,28.14
2016-11-07,78,67.0,,0.67,52.260000000000005
2016-11-08,77,67.0,,0.67,51.59
2016-11-09,93,67.0,,0.67,62.31
2016-11-10,91,67.0,,0.67,60.970000000000006
2016-11-11,88,67.0,,0.67,58.96
2016-11-12,49,67.0,,0.67,32.830000000000005
2016-11-13,42,67.0,,0.67,28.14
2016-11-14,68,67.0,,0.67,45.56
2016-11-15,96,67.0,,0.67,64.32000000000001
2016-11-16,78,67.0,,0.67,52.260000000000005
2016-11-17,89,67.0,,0.67,59.63
2016-11-18,96,67.0,,0.67,64.32000000000001
2016-11-19,46,67.0,,0.67,30.82
2016-11-20,59,67.0,,0.67,39.53
2016-11-21,87,67.0,,0.67,58.290000000000006
2016-11-22,100,67.0,,0.67,67.0
2016-11-23,77,67.0,,0.67,51.59
2016-11-24,52,67.0,,0.67,34.84
2016-11-25,74,67.0,,0.67,49.580000000000005
2016-11-26,43,67.0,,0.67,28.810000000000002
2016-11-27,47,67.0,,0.67,31.490000000000002
2016-11-28,64,67.0,,0.67,42.88
2016-11-29,86,67.0,,0.67,57.620000000000005
2016-11-30,81,67.0,,0.67,54.27
2016-12-01,100,65.0,False,0.65,65.0
2016-12-02,69,65.0,,0.65,44.85
2016-12-03,43,65.0,,0.65,27.95
2016-12-04,41,65.0,,0.65,26.650000000000002
2016-12-05,64,65.0,,0.65,41.6
2016-12-06,71,65.0,,0.65,46.15
2016-12-07,76,65.0,,0.65,49.4
2016-12-08,69,65.0,,0.65,44.85
2016-12-09,90,65.0,,0.65,58.5
2016-12-10,26,65.0,,0.65,16.900000000000002
2016-12-11,39,65.0,,0.65,25.35
2016-12-12,80,65.0,,0.65,52.0
2016-12-13,86,65.0,,0.65,55.9
2016-12-14,72,65.0,,0.65,46.800000000000004
2016-12-15,87,65.0,,0.65,56.550000000000004
2016-12-16,79,65.0,,0.65,51.35
2016-12-17,62,65.0,,0.65,40.300000000000004
2016-12-18,40,65.0,,0.65,26.0
2016-12-19,72,65.0,,0.65,46.800000000000004
2016-12-20,91,65.0,,0.65,59.15
2016-12-21,80,65.0,,0.65,52.0
2016-12-22,93,65.0,,0.65,60.45
2016-12-23,94,65.0,,0.65,61.1
2016-12-24,46,65.0,,0.65,29.900000000000002
2016-12-25,46,65.0,,0.65,29.900000000000002
2016-12-26,45,65.0,,0.65,29.25
2016-12-27,79,65.0,,0.65,51.35
2016-12-28,82,65.0,,0.65,53.300000000000004
2016-12-29,84,65.0,,0.65,54.6
2016-12-30,87,65.0,,0.65,56.550000000000004
2016-12-31,46,65.0,,0.65,29.900000000000002
2017-01-01,29,68.0,False,0.68,19.720000000000002
2017-01-02,30,68.0,,0.68,20.400000000000002
2017-01-03,63,68.0,,0.68,42.84
2017-01-04,62,68.0,,0.68,42.160000000000004
2017-01-05,59,68.0,,0.68,40.120000000000005
2017-01-06,58,68.0,,0.68,39.440000000000005
2017-01-07,39,68.0,,0.68,26.520000000000003
2017-01-08,14,68.0,,0.68,9.520000000000001
2017-01-09,54,68.0,,0.68,36.720000000000006
2017-01-10,52,68.0,,0.68,35.36
2017-01-11,46,68.0,,0.68,31.28
2017-01-12,46,68.0,,0.68,31.28
2017-01-13,43,68.0,,0.68,29.240000000000002
2017-01-14,29,68.0,,0.68,19.720000000000002
2017-01-15,32,68.0,,0.68,21.76
2017-01-16,29,68.0,,0.68,19.720000000000002
2017-01-17,53,68.0,,0.68,36.04
2017-01-18,37,68.0,,0.68,25.16
2017-01-19,45,68.0,,0.68,30.6
2017-01-20,48,68.0,,0.68,32.64
2017-01-21,24,68.0,,0.68,16.32
2017-01-22,26,68.0,,0.68,17.68
2017-01-23,45,68.0,,0.68,30.6
2017-01-24,98,68.0,,0.68,66.64
2017-01-25,100,68.0,,0.68,68.0
2017-01-26,73,68.0,,0.68,49.64
2017-01-27,76,68.0,,0.68,51.68000000000001
2017-01-28,30,68.0,,0.68,20.400000000000002
2017-01-29,23,68.0,,0.68,15.64
2017-01-30,57,68.0,,0.68,38.760000000000005
2017-01-31,60,68.0,,0.68,40.800000000000004
2017-02-01,78,80.0,False,0.8,62.400000000000006
2017-02-02,100,80.0,,0.8,80.0
2017-02-03,77,80.0,,0.8,61.6
2017-02-04,40,80.0,,0.8,32.0
2017-02-05,24,80.0,,0.8,19.200000000000003
2017-02-06,58,80.0,,0.8,46.400000000000006
2017-02-07,64,80.0,,0.8,51.2
2017-02-08,59,80.0,,0.8,47.2
2017-02-09,75,80.0,,0.8,60.0
2017-02-10,68,80.0,,0.8,54.400000000000006
2017-02-11,50,80.0,,0.8,40.0
2017-02-12,39,80.0,,0.8,31.200000000000003
2017-02-13,89,80.0,,0.8,71.2
2017-02-14,78,80.0,,0.8,62.400000000000006
2017-02-15,86,80.0,,0.8,68.8
2017-02-16,90,80.0,,0.8,72.0
2017-02-17,64,80.0,,0.8,51.2
2017-02-18,36,80.0,,0.8,28.8
2017-02-19,39,80.0,,0.8,31.200000000000003
2017-02-20,45,80.0,,0.8,36.0
2017-02-21,73,80.0,,0.8,58.400000000000006
2017-02-22,59,80.0,,0.8,47.2
2017-02-23,64,80.0,,0.8,51.2
2017-02-24,81,80.0,,0.8,64.8
2017-02-25,37,80.0,,0.8,29.6
2017-02-26,39,80.0,,0.8,31.200000000000003
2017-02-27,63,80.0,,0.8,50.400000000000006
2017-02-28,73,80.0,,0.8,58.400000000000006
2017-03-01,100,69.0,False,0.69,69.0
2017-03-02,79,69.0,,0.69,54.51
2017-03-03,88,69.0,,0.69,60.72
2017-03-04,52,69.0,,0.69,35.879999999999995
2017-03-05,36,69.0,,0.69,24.839999999999996
2017-03-06,78,69.0,,0.69,53.81999999999999
2017-03-07,74,69.0,,0.69,51.059999999999995
2017-03-08,78,69.0,,0.69,53.81999999999999
2017-03-09,71,69.0,,0.69,48.989999999999995
2017-03-10,88,69.0,,0.69,60.72
2017-03-11,48,69.0,,0.69,33.12
2017-03-12,45,69.0,,0.69,31.049999999999997
2017-03-13,76,69.0,,0.69,52.44
2017-03-14,60,69.0,,0.69,41.4
2017-03-15,77,69.0,,0.69,53.129999999999995
2017-03-16,71,69.0,,0.69,48.989999999999995
2017-03-17,78,69.0,,0.69,53.81999999999999
2017-03-18,45,69.0,,0.69,31.049999999999997
2017-03-19,39,69.0,,0.69,26.909999999999997
2017-03-20,64,69.0,,0.69,44.16
2017-03-21,83,69.0,,0.69,57.269999999999996
2017-03-22,93,69.0,,0.69,64.17
2017-03-23,65,69.0,,0.69,44.849999999999994
2017-03-24,65,69.0,,0.69,44.849999999999994
2017-03-25,41,69.0,,0.69,28.29
2017-03-26,44,69.0,,0.69,30.36
2017-03-27,73,69.0,,0.69,50.37
2017-03-28,86,69.0,,0.69,59.339999999999996
2017-03-29,63,69.0,,0.69,43.47
2017-03-30,73,69.0,,0.69,50.37
2017-03-31,71,69.0,,0.69,48.989999999999995
2017-04-01,35,70.0,False,0.7,24.5
2017-04-02,27,70.0,,0.7,18.9
2017-04-03,57,70.0,,0.7,39.9
2017-04-04,62,70.0,,0.7,43.4
2017-04-05,55,70.0,,0.7,38.5
2017-04-06,54,70.0,,0.7,37.8
2017-04-07,47,70.0,,0.7,32.9
2017-04-08,28,70.0,,0.7,19.599999999999998
2017-04-09,27,70.0,,0.7,18.9
2017-04-10,49,70.0,,0.7,34.3
2017-04-11,58,70.0,,0.7,40.599999999999994
2017-04-12,51,70.0,,0.7,35.699999999999996
2017-04-13,44,70.0,,0.7,30.799999999999997
2017-04-14,51,70.0,,0.7,35.699999999999996
2017-04-15,28,70.0,,0.7,19.599999999999998
2017-04-16,30,70.0,,0.7,21.0
2017-04-17,52,70.0,,0.7,36.4
2017-04-18,50,70.0,,0.7,35.0
2017-04-19,77,70.0,,0.7,53.9
2017-04-20,100,70.0,,0.7,70.0
2017-04-21,92,70.0,,0.7,64.39999999999999
2017-04-22,33,70.0,,0.7,23.099999999999998
2017-04-23,27,70.0,,0.7,18.9
2017-04-24,68,70.0,,0.7,47.599999999999994
2017-04-25,88,70.0,,0.7,61.599999999999994
2017-04-26,64,70.0,,0.7,44.8
2017-04-27,74,70.0,,0.7,51.8
2017-04-28,78,70.0,,0.7,54.599999999999994
2017-04-29,48,70.0,,0.7,33.599999999999994
2017-04-30,35,70.0,,0.7,24.5
2017-05-01,75,78.0,False,0.78,58.5
2017-05-02,77,78.0,,0.78,60.06
2017-05-03,79,78.0,,0.78,61.620000000000005
2017-05-04,85,78.0,,0.78,66.3
2017-05-05,89,78.0,,0.78,69.42
2017-05-06,39,78.0,,0.78,30.42
2017-05-07,49,78.0,,0.78,38.22
2017-05-08,85,78.0,,0.78,66.3
2017-05-09,88,78.0,,0.78,68.64
2017-05-10,74,78.0,,0.78,57.72
2017-05-11,100,78.0,,0.78,78.0
2017-05-12,72,78.0,,0.78,56.160000000000004
2017-05-13,33,78.0,,0.78,25.740000000000002
2017-05-14,27,78.0,,0.78,21.060000000000002
2017-05-15,82,78.0,,0.78,63.96
2017-05-16,64,78.0,,0.78,49.92
2017-05-17,84,78.0,,0.78,65.52
2017-05-18,88,78.0,,0.78,68.64
2017-05-19,66,78.0,,0.78,51.480000000000004
2017-05-20,27,78.0,,0.78,21.060000000000002
2017-05-21,23,78.0,,0.78,17.94
2017-05-22,78,78.0,,0.78,60.84
2017-05-23,76,78.0,,0.78,59.28
2017-05-24,82,78.0,,0.78,63.96
2017-05-25,70,78.0,,0.78,54.6
2017-05-26,62,78.0,,0.78,48.36
2017-05-27,41,78.0,,0.78,31.98
2017-05-28,37,78.0,,0.78,28.86
2017-05-29,41,78.0,,0.78,31.98
2017-05-30,83,78.0,,0.78,64.74000000000001
2017-05-31,94,78.0,,0.78,73.32000000000001
2017-06-01,77,75.0,False,0.75,57.75
2017-06-02,67,75.0,,0.75,50.25
2017-06-03,53,75.0,,0.75,39.75
2017-06-04,42,75.0,,0.75,31.5
2017-06-05,69,75.0,,0.75,51.75
2017-06-06,68,75.0,,0.75,51.0
2017-06-07,80,75.0,,0.75,60.0
2017-06-08,88,75.0,,0.75,66.0
2017-06-09,78,75.0,,0.75,58.5
2017-06-10,30,75.0,,0.75,22.5
2017-06-11,42,75.0,,0.75,31.5
2017-06-12,100,75.0,,0.75,75.0
2017-06-13,85,75.0,,0.75,63.75
2017-06-14,81,75.0,,0.75,60.75
2017-06-15,80,75.0,,0.75,60.0
2017-06-16,83,75.0,,0.75,62.25
2017-06-17,32,75.0,,0.75,24.0
2017-06-18,30,75.0,,0.75,22.5
2017-06-19,78,75.0,,0.75,58.5
2017-06-20,71,75.0,,0.75,53.25
2017-06-21,79,75.0,,0.75,59.25
2017-06-22,75,75.0,,0.75,56.25
2017-06-23,79,75.0,,0.75,59.25
2017-06-24,57,75.0,,0.75,42.75
2017-06-25,33,75.0,,0.75,24.75
2017-06-26,81,75.0,,0.75,60.75
2017-06-27,90,75.0,,0.75,67.5
2017-06-28,78,75.0,,0.75,58.5
2017-06-29,82,75.0,,0.75,61.5
2017-06-30,96,75.0,,0.75,72.0
2017-07-01,29,81.0,False,0.81,23.490000000000002
2017-07-02,25,81.0,,0.81,20.25
2017-07-03,49,81.0,,0.81,39.690000000000005
2017-07-04,31,81.0,,0.81,25.110000000000003
2017-07-05,34,81.0,,0.81,27.540000000000003
2017-07-06,47,81.0,,0.81,38.07
2017-07-07,50,81.0,,0.81,40.5
2017-07-08,19,81.0,,0.81,15.39
2017-07-09,26,81.0,,0.81,21.060000000000002
2017-07-10,54,81.0,,0.81,43.74
2017-07-11,58,81.0,,0.81,46.980000000000004
2017-07-12,49,81.0,,0.81,39.690000000000005
2017-07-13,51,81.0,,0.81,41.31
2017-07-14,49,81.0,,0.81,39.690000000000005
2017-07-15,19,81.0,,0.81,15.39
2017-07-16,24,81.0,,0.81,19.44
2017-07-17,46,81.0,,0.81,37.260000000000005
2017-07-18,46,81.0,,0.81,37.260000000000005
2017-07-19,45,81.0,,0.81,36.45
2017-07-20,45,81.0,,0.81,36.45
2017-07-21,44,81.0,,0.81,35.64
2017-07-22,15,81.0,,0.81,12.15
2017-07-23,23,81.0,,0.81,18.630000000000003
2017-07-24,41,81.0,,0.81,33.21
2017-07-25,35,81.0,,0.81,28.35
2017-07-26,56,81.0,,0.81,45.36
2017-07-27,100,81.0,,0.81,81.0
2017-07-28,72,81.0,,0.81,58.32000000000001
2017-07-29,23,81.0,,0.81,18.630000000000003
2017-07-30,27,81.0,,0.81,21.87
2017-07-31,52,81.0,,0.81,42.120000000000005
2017-08-01,94,71.0,False,0.71,66.74
2017-08-02,100,71.0,,0.71,71.0
2017-08-03,64,71.0,,0.71,45.44
2017-08-04,85,71.0,,0.71,60.349999999999994
2017-08-05,40,71.0,,0.71,28.4
2017-08-06,32,71.0,,0.71,22.72
2017-08-07,75,71.0,,0.71,53.25
2017-08-08,69,71.0,,0.71,48.989999999999995
2017-08-09,53,71.0,,0.71,37.629999999999995
2017-08-10,69,71.0,,0.71,48.989999999999995
2017-08-11,66,71.0,,0.71,46.86
2017-08-12,32,71.0,,0.71,22.72
2017-08-13,18,71.0,,0.71,12.78
2017-08-14,62,71.0,,0.71,44.019999999999996
2017-08-15,65,71.0,,0.71,46.15
2017-08-16,58,71.0,,0.71,41.18
2017-08-17,55,71.0,,0.71,39.05
2017-08-18,45,71.0,,0.71,31.95
2017-08-19,28,71.0,,0.71,19.88
2017-08-20,26,71.0,,0.71,18.46
2017-08-21,40,71.0,,0.71,28.4
2017-08-22,65,71.0,,0.71,46.15
2017-08-23,50,71.0,,0.71,35.5
2017-08-24,46,71.0,,0.71,32.66
2017-08-25,58,71.0,,0.71,41.18
2017-08-26,42,71.0,,0.71,29.82
2017-08-27,36,71.0,,0.71,25.56
2017-08-28,50,71.0,,0.71,35.5
2017-08-29,58,71.0,,0.71,41.18
2017-08-30,54,71.0,,0.71,38.339999999999996
2017-08-31,53,71.0,,0.71,37.629999999999995
2017-09-01,71,58.0,False,0.58,41.18
2017-09-02,45,58.0,,0.58,26.099999999999998
2017-09-03,24,58.0,,0.58,13.919999999999998
2017-09-04,37,58.0,,0.58,21.459999999999997
2017-09-05,83,58.0,,0.58,48.13999999999999
2017-09-06,78,58.0,,0.58,45.239999999999995
2017-09-07,84,58.0,,0.58,48.72
2017-09-08,98,58.0,,0.58,56.839999999999996
2017-09-09,41,58.0,,0.58,23.779999999999998
2017-09-10,34,58.0,,0.58,19.72
2017-09-11,72,58.0,,0.58,41.76
2017-09-12,81,58.0,,0.58,46.98
2017-09-13,77,58.0,,0.58,44.66
2017-09-14,72,58.0,,0.58,41.76
2017-09-15,85,58.0,,0.58,49.3
2017-09-16,66,58.0,,0.58,38.279999999999994
2017-09-17,54,58.0,,0.58,31.319999999999997
2017-09-18,70,58.0,,0.58,40.599999999999994
2017-09-19,92,58.0,,0.58,53.36
2017-09-20,100,58.0,,0.58,57.99999999999999
2017-09-21,98,58.0,,0.58,56.839999999999996
2017-09-22,90,58.0,,0.58,52.199999999999996
2017-09-23,63,58.0,,0.58,36.54
2017-09-24,46,58.0,,0.58,26.68
2017-09-25,93,58.0,,0.58,53.94
2017-09-26,91,58.0,,0.58,52.779999999999994
2017-09-27,69,58.0,,0.58,40.019999999999996
2017-09-28,85,58.0,,0.58,49.3
2017-09-29,85,58.0,,0.58,49.3
2017-09-30,44,58.0,,0.58,25.52
2017-10-01,26,63.0,False,0.63,16.38
2017-10-02,50,63.0,,0.63,31.5
2017-10-03,52,63.0,,0.63,32.76
2017-10-04,69,63.0,,0.63,43.47
2017-10-05,70,63.0,,0.63,44.1
2017-10-06,53,63.0,,0.63,33.39
2017-10-07,34,63.0,,0.63,21.42
2017-10-08,36,63.0,,0.63,22.68
2017-10-09,39,63.0,,0.63,24.57
2017-10-10,49,63.0,,0.63,30.87
2017-10-11,60,63.0,,0.63,37.8
2017-10-12,57,63.0,,0.63,35.910000000000004
2017-10-13,40,63.0,,0.63,25.2
2017-10-14,39,63.0,,0.63,24.57
2017-10-15,28,63.0,,0.63,17.64
2017-10-16,51,63.0,,0.63,32.13
2017-10-17,51,63.0,,0.63,32.13
2017-10-18,61,63.0,,0.63,38.43
2017-10-19,100,63.0,,0.63,63.0
2017-10-20,55,63.0,,0.63,34.65
2017-10-21,27,63.0,,0.63,17.01
2017-10-22,23,63.0,,0.63,14.49
2017-10-23,56,63.0,,0.63,35.28
2017-10-24,59,63.0,,0.63,37.17
2017-10-25,66,63.0,,0.63,41.58
2017-10-26,41,63.0,,0.63,25.830000000000002
2017-10-27,64,63.0,,0.63,40.32
2017-10-28,30,63.0,,0.63,18.9
2017-10-29,26,63.0,,0.63,16.38
2017-10-30,59,63.0,,0.63,37.17
2017-10-31,57,63.0,,0.63,35.910000000000004
2017-11-01,54,70.0,False,0.7,37.8
2017-11-02,75,70.0,,0.7,52.5
2017-11-03,74,70.0,,0.7,51.8
2017-11-04,50,70.0,,0.7,35.0
2017-11-05,19,70.0,,0.7,13.299999999999999
2017-11-06,91,70.0,,0.7,63.699999999999996
2017-11-07,92,70.0,,0.7,64.39999999999999
2017-11-08,80,70.0,,0.7,56.0
2017-11-09,63,70.0,,0.7,44.099999999999994
2017-11-10,76,70.0,,0.7,53.199999999999996
2017-11-11,36,70.0,,0.7,25.2
2017-11-12,22,70.0,,0.7,15.399999999999999
2017-11-13,70,70.0,,0.7,49.0
2017-11-14,67,70.0,,0.7,46.9
2017-11-15,73,70.0,,0.7,51.099999999999994
2017-11-16,64,70.0,,0.7,44.8
2017-11-17,81,70.0,,0.7,56.699999999999996
2017-11-18,34,70.0,,0.7,23.799999999999997
2017-11-19,26,70.0,,0.7,18.2
2017-11-20,74,70.0,,0.7,51.8
2017-11-21,77,70.0,,0.7,53.9
2017-11-22,79,70.0,,0.7,55.3
2017-11-23,54,70.0,,0.7,37.8
2017-11-24,56,70.0,,0.7,39.199999999999996
2017-11-25,37,70.0,,0.7,25.9
2017-11-26,28,70.0,,0.7,19.599999999999998
2017-11-27,70,70.0,,0.7,49.0
2017-11-28,88,70.0,,0.7,61.599999999999994
2017-11-29,100,70.0,,0.7,70.0
2017-11-30,88,70.0,,0.7,61.599999999999994
2017-12-01,85,74.0,False,0.74,62.9
2017-12-02,37,74.0,,0.74,27.38
2017-12-03,40,74.0,,0.74,29.6
2017-12-04,90,74.0,,0.74,66.6
2017-12-05,67,74.0,,0.74,49.58
2017-12-06,65,74.0,,0.74,48.1
2017-12-07,55,74.0,,0.74,40.7
2017-12-08,49,74.0,,0.74,36.26
2017-12-09,32,74.0,,0.74,23.68
2017-12-10,23,74.0,,0.74,17.02
2017-12-11,69,74.0,,0.74,51.06
2017-12-12,94,74.0,,0.74,69.56
2017-12-13,89,74.0,,0.74,65.86
2017-12-14,100,74.0,,0.74,74.0
2017-12-15,71,74.0,,0.74,52.54
2017-12-16,48,74.0,,0.74,35.519999999999996
