date,OIL_unscaled,OIL_monthly,isPartial,scale,OIL
2016-07-01,98,73.0,False,0.73,71.53999999999999
2016-07-02,97,73.0,,0.73,70.81
2016-07-03,91,73.0,,0.73,66.42999999999999
2016-07-04,85,73.0,,0.73,62.05
2016-07-05,92,73.0,,0.73,67.16
2016-07-06,97,73.0,,0.73,70.81
2016-07-07,96,73.0,,0.73,70.08
2016-07-08,91,73.0,,0.73,66.42999999999999
2016-07-09,99,73.0,,0.73,72.27
2016-07-10,95,73.0,,0.73,69.35
2016-07-11,94,73.0,,0.73,68.62
2016-07-12,93,73.0,,0.73,67.89
2016-07-13,95,73.0,,0.73,69.35
2016-07-14,90,73.0,,0.73,65.7
2016-07-15,91,73.0,,0.73,66.42999999999999
2016-07-16,100,73.0,,0.73,73.0
2016-07-17,93,73.0,,0.73,67.89
2016-07-18,97,73.0,,0.73,70.81
2016-07-19,90,73.0,,0.73,65.7
2016-07-20,96,73.0,,0.73,70.08
2016-07-21,92,73.0,,0.73,67.16
2016-07-22,93,73.0,,0.73,67.89
2016-07-23,98,73.0,,0.73,71.53999999999999
2016-07-24,91,73.0,,0.73,66.42999999999999
2016-07-25,94,73.0,,0.73,68.62
2016-07-26,94,73.0,,0.73,68.62
2016-07-27,92,73.0,,0.73,67.16
2016-07-28,94,73.0,,0.73,68.62
2016-07-29,93,73.0,,0.73,67.89
2016-07-30,99,73.0,,0.73,72.27
2016-07-31,95,73.0,,0.73,69.35
2016-08-01,96,72.0,False,0.72,69.12
2016-08-02,97,72.0,,0.72,69.84
2016-08-03,93,72.0,,0.72,66.96
2016-08-04,96,72.0,,0.72,69.12
2016-08-05,91,72.0,,0.72,65.52
2016-08-06,97,72.0,,0.72,69.84
2016-08-07,91,72.0,,0.72,65.52
2016-08-08,90,72.0,,0.72,64.8
2016-08-09,86,72.0,,0.72,61.919999999999995
2016-08-10,87,72.0,,0.72,62.64
2016-08-11,88,72.0,,0.72,63.36
2016-08-12,86,72.0,,0.72,61.919999999999995
2016-08-13,90,72.0,,0.72,64.8
2016-08-14,88,72.0,,0.72,63.36
2016-08-15,89,72.0,,0.72,64.08
2016-08-16,88,72.0,,0.72,63.36
2016-08-17,85,72.0,,0.72,61.199999999999996
2016-08-18,88,72.0,,0.72,63.36
2016-08-19,89,72.0,,0.72,64.08
2016-08-20,92,72.0,,0.72,66.24
2016-08-21,91,72.0,,0.72,65.52
2016-08-22,92,72.0,,0.72,66.24
2016-08-23,94,72.0,,0.72,67.67999999999999
2016-08-24,91,72.0,,0.72,65.52
2016-08-25,88,72.0,,0.72,63.36
2016-08-26,91,72.0,,0.72,65.52
2016-08-27,100,72.0,,0.72,72.0
2016-08-28,98,72.0,,0.72,70.56
2016-08-29,92,72.0,,0.72,66.24
2016-08-30,89,72.0,,0.72,64.08
2016-08-31,92,72.0,,0.72,66.24
2016-09-01,88,71.0,False,0.71,62.48
2016-09-02,90,71.0,,0.71,63.9
2016-09-03,97,71.0,,0.71,68.86999999999999
2016-09-04,96,71.0,,0.71,68.16
2016-09-05,100,71.0,,0.71,71.0
2016-09-06,91,71.0,,0.71,64.61
2016-09-07,87,71.0,,0.71,61.769999999999996
2016-09-08,93,71.0,,0.71,66.03
2016-09-09,94,71.0,,0.71,66.74
2016-09-10,99,71.0,,0.71,70.28999999999999
2016-09-11,89,71.0,,0.71,63.19
2016-09-12,89,71.0,,0.71,63.19
2016-09-13,91,71.0,,0.71,64.61
2016-09-14,92,71.0,,0.71,65.32
2016-09-15,87,71.0,,0.71,61.769999999999996
2016-09-16,94,71.0,,0.71,66.74
2016-09-17,95,71.0,,0.71,67.45
2016-09-18,91,71.0,,0.71,64.61
2016-09-19,92,71.0,,0.71,65.32
2016-09-20,91,71.0,,0.71,64.61
2016-09-21,90,71.0,,0.71,63.9
2016-09-22,87,71.0,,0.71,61.769999999999996
2016-09-23,88,71.0,,0.71,62.48
2016-09-24,95,71.0,,0.71,67.45
2016-09-25,90,71.0,,0.71,63.9
2016-09-26,94,71.0,,0.71,66.74
2016-09-27,88,71.0,,0.71,62.48
2016-09-28,91,71.0,,0.71,64.61
2016-09-29,92,71.0,,0.71,65.32
2016-09-30,90,71.0,,0.71,63.9
2016-10-01,100,72.0,False,0.72,72.0
2016-10-02,92,72.0,,0.72,66.24
2016-10-03,94,72.0,,0.72,67.67999999999999
2016-10-04,91,72.0,,0.72,65.52
2016-10-05,90,72.0,,0.72,64.8
2016-10-06,88,72.0,,0.72,63.36
2016-10-07,87,72.0,,0.72,62.64
2016-10-08,97,72.0,,0.72,69.84
2016-10-09,90,72.0,,0.72,64.8
2016-10-10,94,72.0,,0.72,67.67999999999999
2016-10-11,96,72.0,,0.72,69.12
2016-10-12,96,72.0,,0.72,69.12
2016-10-13,91,72.0,,0.72,65.52
2016-10-14,92,72.0,,0.72,66.24
2016-10-15,99,72.0,,0.72,71.28
2016-10-16,93,72.0,,0.72,66.96
2016-10-17,92,72.0,,0.72,66.24
2016-10-18,91,72.0,,0.72,65.52
2016-10-19,90,72.0,,0.72,64.8
2016-10-20,85,72.0,,0.72,61.199999999999996
2016-10-21,88,72.0,,0.72,63.36
2016-10-22,95,72.0,,0.72,68.39999999999999
2016-10-23,93,72.0,,0.72,66.96
2016-10-24,93,72.0,,0.72,66.96
2016-10-25,91,72.0,,0.72,65.52
2016-10-26,88,72.0,,0.72,63.36
2016-10-27,90,72.0,,0.72,64.8
2016-10-28,93,72.0,,0.72,66.96
2016-10-29,96,72.0,,0.72,69.12
2016-10-30,89,72.0,,0.72,64.08
2016-10-31,90,72.0,,0.72,64.8
2016-11-01,87,71.0,False,0.71,61.769999999999996
2016-11-02,85,71.0,,0.71,60.349999999999994
2016-11-03,81,71.0,,0.71,57.51
2016-11-04,86,71.0,,0.71,61.059999999999995
2016-11-05,94,71.0,,0.71,66.74
2016-11-06,90,71.0,,0.71,63.9
2016-11-07,88,71.0,,0.71,62.48
2016-11-08,81,71.0,,0.71,57.51
2016-11-09,61,71.0,,0.71,43.309999999999995
2016-11-10,83,71.0,,0.71,58.93
2016-11-11,89,71.0,,0.71,63.19
2016-11-12,91,71.0,,0.71,64.61
2016-11-13,89,71.0,,0.71,63.19
2016-11-14,87,71.0,,0.71,61.769999999999996
2016-11-15,91,71.0,,0.71,64.61
2016-11-16,90,71.0,,0.71,63.9
2016-11-17,92,71.0,,0.71,65.32
2016-11-18,90,71.0,,0.71,63.9
2016-11-19,97,71.0,,0.71,68.86999999999999
2016-11-20,94,71.0,,0.71,66.74
2016-11-21,92,71.0,,0.71,65.32
2016-11-22,100,71.0,,0.71,71.0
2016-11-23,99,71.0,,0.71,70.28999999999999
2016-11-24,87,71.0,,0.71,61.769999999999996
2016-11-25,80,71.0,,0.71,56.8
2016-11-26,91,71.0,,0.71,64.61
2016-11-27,95,71.0,,0.71,67.45
2016-11-28,91,71.0,,0.71,64.61
2016-11-29,91,71.0,,0.71,64.61
2016-11-30,97,71.0,,0.71,68.86999999999999
2016-12-01,93,74.0,False,0.74,68.82
2016-12-02,89,74.0,,0.74,65.86
2016-12-03,94,74.0,,0.74,69.56
2016-12-04,95,74.0,,0.74,70.3
2016-12-05,90,74.0,,0.74,66.6
2016-12-06,85,74.0,,0.74,62.9
2016-12-07,88,74.0,,0.74,65.12
2016-12-08,90,74.0,,0.74,66.6
2016-12-09,85,74.0,,0.74,62.9
2016-12-10,96,74.0,,0.74,71.03999999999999
2016-12-11,91,74.0,,0.74,67.34
2016-12-12,91,74.0,,0.74,67.34
2016-12-13,93,74.0,,0.74,68.82
2016-12-14,89,74.0,,0.74,65.86
2016-12-15,92,74.0,,0.74,68.08
2016-12-16,91,74.0,,0.74,67.34
2016-12-17,93,74.0,,0.74,68.82
2016-12-18,88,74.0,,0.74,65.12
2016-12-19,88,74.0,,0.74,65.12
2016-12-20,92,74.0,,0.74,68.08
2016-12-21,93,74.0,,0.74,68.82
2016-12-22,90,74.0,,0.74,66.6
2016-12-23,93,74.0,,0.74,68.82
2016-12-24,82,74.0,,0.74,60.68
2016-12-25,62,74.0,,0.74,45.88
2016-12-26,94,74.0,,0.74,69.56
2016-12-27,94,74.0,,0.74,69.56
2016-12-28,97,74.0,,0.74,71.78
2016-12-29,96,74.0,,0.74,71.03999999999999
2016-12-30,100,74.0,,0.74,74.0
2016-12-31,90,74.0,,0.74,66.6
2017-01-01,68,77.0,False,0.77,52.36
2017-01-02,93,77.0,,0.77,71.61
2017-01-03,88,77.0,,0.77,67.76
2017-01-04,87,77.0,,0.77,66.99
2017-01-05,92,77.0,,0.77,70.84
2017-01-06,85,77.0,,0.77,65.45
2017-01-07,88,77.0,,0.77,67.76
2017-01-08,89,77.0,,0.77,68.53
2017-01-09,87,77.0,,0.77,66.99
2017-01-10,85,77.0,,0.77,65.45
2017-01-11,85,77.0,,0.77,65.45
2017-01-12,89,77.0,,0.77,68.53
2017-01-13,89,77.0,,0.77,68.53
2017-01-14,100,77.0,,0.77,77.0
2017-01-15,89,77.0,,0.77,68.53
2017-01-16,94,77.0,,0.77,72.38
2017-01-17,86,77.0,,0.77,66.22
2017-01-18,82,77.0,,0.77,63.14
2017-01-19,81,77.0,,0.77,62.370000000000005
2017-01-20,79,77.0,,0.77,60.83
2017-01-21,90,77.0,,0.77,69.3
2017-01-22,86,77.0,,0.77,66.22
2017-01-23,83,77.0,,0.77,63.910000000000004
2017-01-24,87,77.0,,0.77,66.99
2017-01-25,90,77.0,,0.77,69.3
2017-01-26,83,77.0,,0.77,63.910000000000004
2017-01-27,85,77.0,,0.77,65.45
2017-01-28,97,77.0,,0.77,74.69
2017-01-29,92,77.0,,0.77,70.84
2017-01-30,87,77.0,,0.77,66.99
2017-01-31,86,77.0,,0.77,66.22
2017-02-01,87,76.0,False,0.76,66.12
2017-02-02,86,76.0,,0.76,65.36
2017-02-03,88,76.0,,0.76,66.88
2017-02-04,97,76.0,,0.76,73.72
2017-02-05,95,76.0,,0.76,72.2
2017-02-06,78,76.0,,0.76,59.28
2017-02-07,86,76.0,,0.76,65.36
2017-02-08,86,76.0,,0.76,65.36
2017-02-09,86,76.0,,0.76,65.36
2017-02-10,86,76.0,,0.76,65.36
2017-02-11,100,76.0,,0.76,76.0
2017-02-12,91,76.0,,0.76,69.16
2017-02-13,84,76.0,,0.76,63.84
2017-02-14,82,76.0,,0.76,62.32
2017-02-15,83,76.0,,0.76,63.08
2017-02-16,88,76.0,,0.76,66.88
2017-02-17,91,76.0,,0.76,69.16
2017-02-18,100,76.0,,0.76,76.0
2017-02-19,99,76.0,,0.76,75.24
2017-02-20,97,76.0,,0.76,73.72
2017-02-21,89,76.0,,0.76,67.64
2017-02-22,86,76.0,,0.76,65.36
2017-02-23,84,76.0,,0.76,63.84
2017-02-24,85,76.0,,0.76,64.6
2017-02-25,95,76.0,,0.76,72.2
2017-02-26,91,76.0,,0.76,69.16
2017-02-27,86,76.0,,0.76,65.36
2017-02-28,85,76.0,,0.76,64.6
2017-03-01,83,79.0,False,0.79,65.57000000000001
2017-03-02,86,79.0,,0.79,67.94
2017-03-03,88,79.0,,0.79,69.52000000000001
2017-03-04,100,79.0,,0.79,79.0
2017-03-05,98,79.0,,0.79,77.42
2017-03-06,90,79.0,,0.79,71.10000000000001
2017-03-07,88,79.0,,0.79,69.52000000000001
2017-03-08,89,79.0,,0.79,70.31
2017-03-09,93,79.0,,0.79,73.47
2017-03-10,90,79.0,,0.79,71.10000000000001
2017-03-11,100,79.0,,0.79,79.0
2017-03-12,97,79.0,,0.79,76.63000000000001
2017-03-13,96,79.0,,0.79,75.84
2017-03-14,88,79.0,,0.79,69.52000000000001
2017-03-15,86,79.0,,0.79,67.94
2017-03-16,88,79.0,,0.79,69.52000000000001
2017-03-17,85,79.0,,0.79,67.15
2017-03-18,95,79.0,,0.79,75.05
2017-03-19,98,79.0,,0.79,77.42
2017-03-20,91,79.0,,0.79,71.89
2017-03-21,89,79.0,,0.79,70.31
2017-03-22,92,79.0,,0.79,72.68
2017-03-23,91,79.0,,0.79,71.89
2017-03-24,91,79.0,,0.79,71.89
2017-03-25,99,79.0,,0.79,78.21000000000001
2017-03-26,97,79.0,,0.79,76.63000000000001
2017-03-27,91,79.0,,0.79,71.89
2017-03-28,90,79.0,,0.79,71.10000000000001
2017-03-29,90,79.0,,0.79,71.10000000000001
2017-03-30,87,79.0,,0.79,68.73
2017-03-31,87,79.0,,0.79,68.73
2017-04-01,91,78.0,False,0.78,70.98
2017-04-02,91,78.0,,0.78,70.98
2017-04-03,82,78.0,,0.78,63.96
2017-04-04,80,78.0,,0.78,62.400000000000006
2017-04-05,81,78.0,,0.78,63.18
2017-04-06,83,78.0,,0.78,64.74000000000001
2017-04-07,86,78.0,,0.78,67.08
2017-04-08,100,78.0,,0.78,78.0
2017-04-09,96,78.0,,0.78,74.88
2017-04-10,89,78.0,,0.78,69.42
2017-04-11,85,78.0,,0.78,66.3
2017-04-12,81,78.0,,0.78,63.18
2017-04-13,82,78.0,,0.78,63.96
2017-04-14,84,78.0,,0.78,65.52
2017-04-15,97,78.0,,0.78,75.66
2017-04-16,83,78.0,,0.78,64.74000000000001
2017-04-17,84,78.0,,0.78,65.52
2017-04-18,82,78.0,,0.78,63.96
2017-04-19,84,78.0,,0.78,65.52
2017-04-20,87,78.0,,0.78,67.86
2017-04-21,86,78.0,,0.78,67.08
2017-04-22,94,78.0,,0.78,73.32000000000001
2017-04-23,96,78.0,,0.78,74.88
2017-04-24,88,78.0,,0.78,68.64
2017-04-25,86,78.0,,0.78,67.08
2017-04-26,84,78.0,,0.78,65.52
2017-04-27,84,78.0,,0.78,65.52
2017-04-28,83,78.0,,0.78,64.74000000000001
2017-04-29,92,78.0,,0.78,71.76
2017-04-30,92,78.0,,0.78,71.76
2017-05-01,84,79.0,False,0.79,66.36
2017-05-02,84,79.0,,0.79,66.36
2017-05-03,83,79.0,,0.79,65.57000000000001
2017-05-04,89,79.0,,0.79,70.31
2017-05-05,87,79.0,,0.79,68.73
2017-05-06,95,79.0,,0.79,75.05
2017-05-07,94,79.0,,0.79,74.26
2017-05-08,92,79.0,,0.79,72.68
2017-05-09,87,79.0,,0.79,68.73
2017-05-10,86,79.0,,0.79,67.94
2017-05-11,84,79.0,,0.79,66.36
2017-05-12,87,79.0,,0.79,68.73
2017-05-13,97,79.0,,0.79,76.63000000000001
2017-05-14,87,79.0,,0.79,68.73
2017-05-15,86,79.0,,0.79,67.94
2017-05-16,86,79.0,,0.79,67.94
2017-05-17,87,79.0,,0.79,68.73
2017-05-18,82,79.0,,0.79,64.78
2017-05-19,84,79.0,,0.79,66.36
2017-05-20,97,79.0,,0.79,76.63000000000001
2017-05-21,95,79.0,,0.79,75.05
2017-05-22,89,79.0,,0.79,70.31
2017-05-23,86,79.0,,0.79,67.94
2017-05-24,85,79.0,,0.79,67.15
2017-05-25,89,79.0,,0.79,70.31
2017-05-26,89,79.0,,0.79,70.31
2017-05-27,100,79.0,,0.79,79.0
2017-05-28,89,79.0,,0.79,70.31
2017-05-29,94,79.0,,0.79,74.26
2017-05-30,91,79.0,,0.79,71.89
2017-05-31,89,79.0,,0.79,70.31
2017-06-01,86,79.0,False,0.79,67.94
2017-06-02,90,79.0,,0.79,71.10000000000001
2017-06-03,98,79.0,,0.79,77.42
2017-06-04,97,79.0,,0.79,76.63000000000001
2017-06-05,90,79.0,,0.79,71.10000000000001
2017-06-06,91,79.0,,0.79,71.89
2017-06-07,90,79.0,,0.79,71.10000000000001
2017-06-08,89,79.0,,0.79,70.31
2017-06-09,92,79.0,,0.79,72.68
2017-06-10,96,79.0,,0.79,75.84
2017-06-11,97,79.0,,0.79,76.63000000000001
2017-06-12,91,79.0,,0.79,71.89
2017-06-13,87,79.0,,0.79,68.73
2017-06-14,86,79.0,,0.79,67.94
2017-06-15,87,79.0,,0.79,68.73
2017-06-16,92,79.0,,0.79,72.68
2017-06-17,99,79.0,,0.79,78.21000000000001
2017-06-18,89,79.0,,0.79,70.31
2017-06-19,94,79.0,,0.79,74.26
2017-06-20,93,79.0,,0.79,73.47
2017-06-21,93,79.0,,0.79,73.47
2017-06-22,93,79.0,,0.79,73.47
2017-06-23,89,79.0,,0.79,70.31
2017-06-24,95,79.0,,0.79,75.05
2017-06-25,100,79.0,,0.79,79.0
2017-06-26,97,79.0,,0.79,76.63000000000001
2017-06-27,91,79.0,,0.79,71.89
2017-06-28,91,79.0,,0.79,71.89
2017-06-29,91,79.0,,0.79,71.89
2017-06-30,93,79.0,,0.79,73.47
2017-07-01,92,83.0,False,0.83,76.36
2017-07-02,93,83.0,,0.83,77.19
2017-07-03,92,83.0,,0.83,76.36
2017-07-04,83,83.0,,0.83,68.89
2017-07-05,84,83.0,,0.83,69.72
2017-07-06,84,83.0,,0.83,69.72
2017-07-07,87,83.0,,0.83,72.21
2017-07-08,100,83.0,,0.83,83.0
2017-07-09,91,83.0,,0.83,75.53
2017-07-10,88,83.0,,0.83,73.03999999999999
2017-07-11,85,83.0,,0.83,70.55
2017-07-12,87,83.0,,0.83,72.21
2017-07-13,83,83.0,,0.83,68.89
2017-07-14,84,83.0,,0.83,69.72
2017-07-15,96,83.0,,0.83,79.67999999999999
2017-07-16,91,83.0,,0.83,75.53
2017-07-17,89,83.0,,0.83,73.86999999999999
2017-07-18,87,83.0,,0.83,72.21
2017-07-19,86,83.0,,0.83,71.38
2017-07-20,87,83.0,,0.83,72.21
2017-07-21,88,83.0,,0.83,73.03999999999999
2017-07-22,90,83.0,,0.83,74.7
2017-07-23,89,83.0,,0.83,73.86999999999999
2017-07-24,86,83.0,,0.83,71.38
2017-07-25,85,83.0,,0.83,70.55
2017-07-26,84,83.0,,0.83,69.72
2017-07-27,86,83.0,,0.83,71.38
2017-07-28,85,83.0,,0.83,70.55
2017-07-29,95,83.0,,0.83,78.85
2017-07-30,92,83.0,,0.83,76.36
2017-07-31,87,83.0,,0.83,72.21
2017-08-01,95,77.0,False,0.77,73.15
2017-08-02,94,77.0,,0.77,72.38
2017-08-03,93,77.0,,0.77,71.61
2017-08-04,91,77.0,,0.77,70.07000000000001
2017-08-05,100,77.0,,0.77,77.0
2017-08-06,95,77.0,,0.77,73.15
2017-08-07,92,77.0,,0.77,70.84
2017-08-08,91,77.0,,0.77,70.07000000000001
2017-08-09,90,77.0,,0.77,69.3
2017-08-10,91,77.0,,0.77,70.07000000000001
2017-08-11,90,77.0,,0.77,69.3
2017-08-12,98,77.0,,0.77,75.46000000000001
2017-08-13,92,77.0,,0.77,70.84
2017-08-14,91,77.0,,0.77,70.07000000000001
2017-08-15,88,77.0,,0.77,67.76
2017-08-16,86,77.0,,0.77,66.22
2017-08-17,88,77.0,,0.77,67.76
2017-08-18,87,77.0,,0.77,66.99
2017-08-19,98,77.0,,0.77,75.46000000000001
2017-08-20,91,77.0,,0.77,70.07000000000001
2017-08-21,81,77.0,,0.77,62.370000000000005
2017-08-22,86,77.0,,0.77,66.22
2017-08-23,86,77.0,,0.77,66.22
2017-08-24,86,77.0,,0.77,66.22
2017-08-25,84,77.0,,0.77,64.68
2017-08-26,91,77.0,,0.77,70.07000000000001
2017-08-27,82,77.0,,0.77,63.14
2017-08-28,84,77.0,,0.77,64.68
2017-08-29,83,77.0,,0.77,63.910000000000004
2017-08-30,88,77.0,,0.77,67.76
2017-08-31,87,77.0,,0.77,66.99
2017-09-01,88,73.0,False,0.73,64.24
2017-09-02,96,73.0,,0.73,70.08
2017-09-03,93,73.0,,0.73,67.89
2017-09-04,94,73.0,,0.73,68.62
2017-09-05,85,73.0,,0.73,62.05
2017-09-06,81,73.0,,0.73,59.129999999999995
2017-09-07,81,73.0,,0.73,59.129999999999995
2017-09-08,81,73.0,,0.73,59.129999999999995
2017-09-09,87,73.0,,0.73,63.51
2017-09-10,81,73.0,,0.73,59.129999999999995
2017-09-11,80,73.0,,0.73,58.4
2017-09-12,82,73.0,,0.73,59.86
2017-09-13,84,73.0,,0.73,61.32
2017-09-14,88,73.0,,0.73,64.24
2017-09-15,87,73.0,,0.73,63.51
2017-09-16,100,73.0,,0.73,73.0
2017-09-17,89,73.0,,0.73,64.97
2017-09-18,84,73.0,,0.73,61.32
2017-09-19,86,73.0,,0.73,62.78
2017-09-20,86,73.0,,0.73,62.78
2017-09-21,84,73.0,,0.73,61.32
2017-09-22,87,73.0,,0.73,63.51
2017-09-23,96,73.0,,0.73,70.08
2017-09-24,90,73.0,,0.73,65.7
2017-09-25,85,73.0,,0.73,62.05
2017-09-26,85,73.0,,0.73,62.05
2017-09-27,85,73.0,,0.73,62.05
2017-09-28,87,73.0,,0.73,63.51
2017-09-29,86,73.0,,0.73,62.78
2017-09-30,97,73.0,,0.73,70.81
2017-10-01,93,74.0,False,0.74,68.82
2017-10-02,83,74.0,,0.74,61.42
2017-10-03,83,74.0,,0.74,61.42
2017-10-04,88,74.0,,0.74,65.12
2017-10-05,83,74.0,,0.74,61.42
2017-10-06,87,74.0,,0.74,64.38
2017-10-07,95,74.0,,0.74,70.3
2017-10-08,91,74.0,,0.74,67.34
2017-10-09,89,74.0,,0.74,65.86
2017-10-10,87,74.0,,0.74,64.38
2017-10-11,86,74.0,,0.74,63.64
2017-10-12,89,74.0,,0.74,65.86
2017-10-13,90,74.0,,0.74,66.6
2017-10-14,95,74.0,,0.74,70.3
2017-10-15,92,74.0,,0.74,68.08
2017-10-16,97,74.0,,0.74,71.78
2017-10-17,92,74.0,,0.74,68.08
2017-10-18,90,74.0,,0.74,66.6
2017-10-19,94,74.0,,0.74,69.56
2017-10-20,86,74.0,,0.74,63.64
2017-10-21,100,74.0,,0.74,74.0
2017-10-22,95,74.0,,0.74,70.3
2017-10-23,89,74.0,,0.74,65.86
2017-10-24,91,74.0,,0.74,67.34
2017-10-25,90,74.0,,0.74,66.6
2017-10-26,86,74.0,,0.74,63.64
2017-10-27,89,74.0,,0.74,65.86
2017-10-28,100,74.0,,0.74,74.0
2017-10-29,90,74.0,,0.74,66.6
2017-10-30,86,74.0,,0.74,63.64
2017-10-31,84,74.0,,0.74,62.16
2017-11-01,81,76.0,False,0.76,61.56
2017-11-02,85,76.0,,0.76,64.6
2017-11-03,86,76.0,,0.76,65.36
2017-11-04,96,76.0,,0.76,72.96000000000001
2017-11-05,93,76.0,,0.76,70.68
2017-11-06,86,76.0,,0.76,65.36
2017-11-07,89,76.0,,0.76,67.64
2017-11-08,87,76.0,,0.76,66.12
2017-11-09,87,76.0,,0.76,66.12
2017-11-10,93,76.0,,0.76,70.68
2017-11-11,100,76.0,,0.76,76.0
2017-11-12,95,76.0,,0.76,72.2
2017-11-13,88,76.0,,0.76,66.88
2017-11-14,90,76.0,,0.76,68.4
2017-11-15,87,76.0,,0.76,66.12
2017-11-16,85,76.0,,0.76,64.6
2017-11-17,89,76.0,,0.76,67.64
2017-11-18,100,76.0,,0.76,76.0
2017-11-19,95,76.0,,0.76,72.2
2017-11-20,89,76.0,,0.76,67.64
2017-11-21,91,76.0,,0.76,69.16
2017-11-22,95,76.0,,0.76,72.2
2017-11-23,85,76.0,,0.76,64.6
2017-11-24,84,76.0,,0.76,63.84
2017-11-25,93,76.0,,0.76,70.68
2017-11-26,90,76.0,,0.76,68.4
2017-11-27,84,76.0,,0.76,63.84
2017-11-28,84,76.0,,0.76,63.84
2017-11-29,86,76.0,,0.76,65.36
2017-11-30,83,76.0,,0.76,63.08
2017-12-01,80,78.0,False,0.78,62.400000000000006
2017-12-02,91,78.0,,0.78,70.98
2017-12-03,88,78.0,,0.78,68.64
2017-12-04,81,78.0,,0.78,63.18
2017-12-05,79,78.0,,0.78,61.620000000000005
2017-12-06,79,78.0,,0.78,61.620000000000005
2017-12-07,78,78.0,,0.78,60.84
2017-12-08,76,78.0,,0.78,59.28
2017-12-09,85,78.0,,0.78,66.3
2017-12-10,87,78.0,,0.78,67.86
2017-12-11,79,78.0,,0.78,61.620000000000005
2017-12-12,79,78.0,,0.78,61.620000000000005
2017-12-13,79,78.0,,0.78,61.620000000000005
2017-12-14,80,78.0,,0.78,62.400000000000006
2017-12-15,82,78.0,,0.78,63.96
2017-12-16,91,78.0,,0.78,70.98
2017-12-17,88,78.0,,0.78,68.64
2017-12-18,84,78.0,,0.78,65.52
2017-12-19,81,78.0,,0.78,63.18
2017-12-20,83,78.0,,0.78,64.74000000000001
2017-12-21,82,78.0,,0.78,63.96
2017-12-22,84,78.0,,0.78,65.52
2017-12-23,86,78.0,,0.78,67.08
2017-12-24,74,78.0,,0.78,57.72
2017-12-25,62,78.0,,0.78,48.36
2017-12-26,88,78.0,,0.78,68.64
2017-12-27,98,78.0,,0.78,76.44
2017-12-28,98,78.0,,0.78,76.44
2017-12-29,100,78.0,,0.78,78.0
2017-12-30,100,78.0,,0.78,78.0
2017-12-31,90,78.0,,0.78,70.2
2018-01-01,75,83.0,False,0.83,62.25
2018-01-02,91,83.0,,0.83,75.53
2018-01-03,97,83.0,,0.83,80.50999999999999
