date,HLNE_unscaled,HLNE_monthly,isPartial,scale,HLNE
2016-11-22,0,3.0,,0.03,0.0
2016-11-23,0,3.0,,0.03,0.0
2016-11-24,0,3.0,,0.03,0.0
2016-11-25,0,3.0,,0.03,0.0
2016-11-26,0,3.0,,0.03,0.0
2016-11-27,100,3.0,,0.03,3.0
2016-11-28,0,3.0,,0.03,0.0
2016-11-29,0,3.0,,0.03,0.0
2016-11-30,0,3.0,,0.03,0.0
2016-12-01,0,5.0,False,0.05,0.0
2016-12-02,0,5.0,,0.05,0.0
2016-12-03,0,5.0,,0.05,0.0
2016-12-04,0,5.0,,0.05,0.0
2016-12-05,0,5.0,,0.05,0.0
2016-12-06,0,5.0,,0.05,0.0
2016-12-07,0,5.0,,0.05,0.0
2016-12-08,0,5.0,,0.05,0.0
2016-12-09,0,5.0,,0.05,0.0
2016-12-10,0,5.0,,0.05,0.0
2016-12-11,0,5.0,,0.05,0.0
2016-12-12,0,5.0,,0.05,0.0
2016-12-13,0,5.0,,0.05,0.0
2016-12-14,0,5.0,,0.05,0.0
2016-12-15,0,5.0,,0.05,0.0
2016-12-16,99,5.0,,0.05,4.95
2016-12-17,0,5.0,,0.05,0.0
2016-12-18,0,5.0,,0.05,0.0
2016-12-19,0,5.0,,0.05,0.0
2016-12-20,0,5.0,,0.05,0.0
2016-12-21,0,5.0,,0.05,0.0
2016-12-22,0,5.0,,0.05,0.0
2016-12-23,0,5.0,,0.05,0.0
2016-12-24,0,5.0,,0.05,0.0
2016-12-25,0,5.0,,0.05,0.0
2016-12-26,0,5.0,,0.05,0.0
2016-12-27,0,5.0,,0.05,0.0
2016-12-28,0,5.0,,0.05,0.0
2016-12-29,100,5.0,,0.05,5.0
2016-12-30,0,5.0,,0.05,0.0
2016-12-31,0,5.0,,0.05,0.0
2017-02-01,94,10.0,False,0.1,9.4
2017-02-02,95,10.0,,0.1,9.5
2017-02-03,0,10.0,,0.1,0.0
2017-02-04,0,10.0,,0.1,0.0
2017-02-05,0,10.0,,0.1,0.0
2017-02-06,0,10.0,,0.1,0.0
2017-02-07,0,10.0,,0.1,0.0
2017-02-08,0,10.0,,0.1,0.0
2017-02-09,0,10.0,,0.1,0.0
2017-02-10,0,10.0,,0.1,0.0
2017-02-11,0,10.0,,0.1,0.0
2017-02-12,0,10.0,,0.1,0.0
2017-02-13,0,10.0,,0.1,0.0
2017-02-14,0,10.0,,0.1,0.0
2017-02-15,0,10.0,,0.1,0.0
2017-02-16,0,10.0,,0.1,0.0
2017-02-17,0,10.0,,0.1,0.0
2017-02-18,0,10.0,,0.1,0.0
2017-02-19,0,10.0,,0.1,0.0
2017-02-20,100,10.0,,0.1,10.0
2017-02-21,0,10.0,,0.1,0.0
2017-02-22,0,10.0,,0.1,0.0
2017-02-23,0,10.0,,0.1,0.0
2017-02-24,0,10.0,,0.1,0.0
2017-02-25,0,10.0,,0.1,0.0
2017-02-26,0,10.0,,0.1,0.0
2017-02-27,0,10.0,,0.1,0.0
2017-02-28,90,10.0,,0.1,9.0
2017-03-01,100,100.0,False,1.0,100.0
2017-03-02,47,100.0,,1.0,47.0
2017-03-03,30,100.0,,1.0,30.0
2017-03-04,23,100.0,,1.0,23.0
2017-03-05,0,100.0,,1.0,0.0
2017-03-06,18,100.0,,1.0,18.0
2017-03-07,9,100.0,,1.0,9.0
2017-03-08,10,100.0,,1.0,10.0
2017-03-09,29,100.0,,1.0,29.0
2017-03-10,39,100.0,,1.0,39.0
2017-03-11,12,100.0,,1.0,12.0
2017-03-12,0,100.0,,1.0,0.0
2017-03-13,0,100.0,,1.0,0.0
2017-03-14,0,100.0,,1.0,0.0
2017-03-15,0,100.0,,1.0,0.0
2017-03-16,30,100.0,,1.0,30.0
2017-03-17,10,100.0,,1.0,10.0
2017-03-18,0,100.0,,1.0,0.0
2017-03-19,0,100.0,,1.0,0.0
2017-03-20,0,100.0,,1.0,0.0
2017-03-21,19,100.0,,1.0,19.0
2017-03-22,0,100.0,,1.0,0.0
2017-03-23,0,100.0,,1.0,0.0
2017-03-24,10,100.0,,1.0,10.0
2017-03-25,0,100.0,,1.0,0.0
2017-03-26,0,100.0,,1.0,0.0
2017-03-27,19,100.0,,1.0,19.0
2017-03-28,0,100.0,,1.0,0.0
2017-03-29,20,100.0,,1.0,20.0
2017-03-30,0,100.0,,1.0,0.0
2017-03-31,10,100.0,,1.0,10.0
2017-04-01,0,16.0,False,0.16,0.0
2017-04-02,0,16.0,,0.16,0.0
2017-04-03,0,16.0,,0.16,0.0
2017-04-04,100,16.0,,0.16,16.0
2017-04-05,100,16.0,,0.16,16.0
2017-04-06,0,16.0,,0.16,0.0
2017-04-07,0,16.0,,0.16,0.0
2017-04-08,0,16.0,,0.16,0.0
2017-04-09,0,16.0,,0.16,0.0
2017-04-10,0,16.0,,0.16,0.0
2017-04-11,51,16.0,,0.16,8.16
2017-04-12,0,16.0,,0.16,0.0
2017-04-13,0,16.0,,0.16,0.0
2017-04-14,0,16.0,,0.16,0.0
2017-04-15,0,16.0,,0.16,0.0
2017-04-16,0,16.0,,0.16,0.0
2017-04-17,0,16.0,,0.16,0.0
2017-04-18,0,16.0,,0.16,0.0
2017-04-19,0,16.0,,0.16,0.0
2017-04-20,0,16.0,,0.16,0.0
2017-04-21,0,16.0,,0.16,0.0
2017-04-22,0,16.0,,0.16,0.0
2017-04-23,0,16.0,,0.16,0.0
2017-04-24,0,16.0,,0.16,0.0
2017-04-25,0,16.0,,0.16,0.0
2017-04-26,49,16.0,,0.16,7.84
2017-04-27,0,16.0,,0.16,0.0
2017-04-28,51,16.0,,0.16,8.16
2017-04-29,0,16.0,,0.16,0.0
2017-04-30,0,16.0,,0.16,0.0
2017-05-01,0,29.0,False,0.29,0.0
2017-05-02,0,29.0,,0.29,0.0
2017-05-03,0,29.0,,0.29,0.0
2017-05-04,31,29.0,,0.29,8.99
2017-05-05,32,29.0,,0.29,9.28
2017-05-06,0,29.0,,0.29,0.0
2017-05-07,0,29.0,,0.29,0.0
2017-05-08,0,29.0,,0.29,0.0
2017-05-09,0,29.0,,0.29,0.0
2017-05-10,0,29.0,,0.29,0.0
2017-05-11,0,29.0,,0.29,0.0
2017-05-12,0,29.0,,0.29,0.0
2017-05-13,0,29.0,,0.29,0.0
2017-05-14,0,29.0,,0.29,0.0
2017-05-15,33,29.0,,0.29,9.569999999999999
2017-05-16,0,29.0,,0.29,0.0
2017-05-17,100,29.0,,0.29,28.999999999999996
2017-05-18,0,29.0,,0.29,0.0
2017-05-19,0,29.0,,0.29,0.0
2017-05-20,0,29.0,,0.29,0.0
2017-05-21,0,29.0,,0.29,0.0
2017-05-22,0,29.0,,0.29,0.0
2017-05-23,0,29.0,,0.29,0.0
2017-05-24,67,29.0,,0.29,19.43
2017-05-25,34,29.0,,0.29,9.86
2017-05-26,0,29.0,,0.29,0.0
2017-05-27,0,29.0,,0.29,0.0
2017-05-28,0,29.0,,0.29,0.0
2017-05-29,0,29.0,,0.29,0.0
2017-05-30,67,29.0,,0.29,19.43
2017-05-31,33,29.0,,0.29,9.569999999999999
2017-06-01,0,36.0,False,0.36,0.0
2017-06-02,54,36.0,,0.36,19.439999999999998
2017-06-03,0,36.0,,0.36,0.0
2017-06-04,0,36.0,,0.36,0.0
2017-06-05,50,36.0,,0.36,18.0
2017-06-06,49,36.0,,0.36,17.64
2017-06-07,100,36.0,,0.36,36.0
2017-06-08,51,36.0,,0.36,18.36
2017-06-09,53,36.0,,0.36,19.08
2017-06-10,0,36.0,,0.36,0.0
2017-06-11,0,36.0,,0.36,0.0
2017-06-12,0,36.0,,0.36,0.0
2017-06-13,49,36.0,,0.36,17.64
2017-06-14,0,36.0,,0.36,0.0
2017-06-15,52,36.0,,0.36,18.72
2017-06-16,0,36.0,,0.36,0.0
2017-06-17,0,36.0,,0.36,0.0
2017-06-18,0,36.0,,0.36,0.0
2017-06-19,0,36.0,,0.36,0.0
2017-06-20,48,36.0,,0.36,17.28
2017-06-21,49,36.0,,0.36,17.64
2017-06-22,0,36.0,,0.36,0.0
2017-06-23,50,36.0,,0.36,18.0
2017-06-24,0,36.0,,0.36,0.0
2017-06-25,0,36.0,,0.36,0.0
2017-06-26,0,36.0,,0.36,0.0
2017-06-27,53,36.0,,0.36,19.08
2017-06-28,54,36.0,,0.36,19.439999999999998
2017-06-29,0,36.0,,0.36,0.0
2017-06-30,0,36.0,,0.36,0.0
2017-07-01,0,23.0,False,0.23,0.0
2017-07-02,0,23.0,,0.23,0.0
2017-07-03,100,23.0,,0.23,23.0
2017-07-04,0,23.0,,0.23,0.0
2017-07-05,49,23.0,,0.23,11.270000000000001
2017-07-06,0,23.0,,0.23,0.0
2017-07-07,0,23.0,,0.23,0.0
2017-07-08,0,23.0,,0.23,0.0
2017-07-09,0,23.0,,0.23,0.0
2017-07-10,91,23.0,,0.23,20.93
2017-07-11,0,23.0,,0.23,0.0
2017-07-12,46,23.0,,0.23,10.58
2017-07-13,0,23.0,,0.23,0.0
2017-07-14,0,23.0,,0.23,0.0
2017-07-15,0,23.0,,0.23,0.0
2017-07-16,0,23.0,,0.23,0.0
2017-07-17,0,23.0,,0.23,0.0
2017-07-18,0,23.0,,0.23,0.0
2017-07-19,46,23.0,,0.23,10.58
2017-07-20,45,23.0,,0.23,10.35
2017-07-21,0,23.0,,0.23,0.0
2017-07-22,0,23.0,,0.23,0.0
2017-07-23,0,23.0,,0.23,0.0
2017-07-24,0,23.0,,0.23,0.0
2017-07-25,0,23.0,,0.23,0.0
2017-07-26,0,23.0,,0.23,0.0
2017-07-27,0,23.0,,0.23,0.0
2017-07-28,46,23.0,,0.23,10.58
2017-07-29,0,23.0,,0.23,0.0
2017-07-30,0,23.0,,0.23,0.0
2017-07-31,0,23.0,,0.23,0.0
2017-08-01,95,14.0,False,0.14,13.3
2017-08-02,0,14.0,,0.14,0.0
2017-08-03,0,14.0,,0.14,0.0
2017-08-04,0,14.0,,0.14,0.0
2017-08-05,0,14.0,,0.14,0.0
2017-08-06,0,14.0,,0.14,0.0
2017-08-07,0,14.0,,0.14,0.0
2017-08-08,0,14.0,,0.14,0.0
2017-08-09,0,14.0,,0.14,0.0
2017-08-10,0,14.0,,0.14,0.0
2017-08-11,100,14.0,,0.14,14.000000000000002
2017-08-12,0,14.0,,0.14,0.0
2017-08-13,0,14.0,,0.14,0.0
2017-08-14,98,14.0,,0.14,13.72
2017-08-15,0,14.0,,0.14,0.0
2017-08-16,0,14.0,,0.14,0.0
2017-08-17,0,14.0,,0.14,0.0
2017-08-18,98,14.0,,0.14,13.72
2017-08-19,0,14.0,,0.14,0.0
2017-08-20,0,14.0,,0.14,0.0
2017-08-21,0,14.0,,0.14,0.0
2017-08-22,0,14.0,,0.14,0.0
2017-08-23,97,14.0,,0.14,13.580000000000002
2017-08-24,0,14.0,,0.14,0.0
2017-08-25,0,14.0,,0.14,0.0
2017-08-26,0,14.0,,0.14,0.0
2017-08-27,0,14.0,,0.14,0.0
2017-08-28,0,14.0,,0.14,0.0
2017-08-29,0,14.0,,0.14,0.0
2017-08-30,0,14.0,,0.14,0.0
2017-08-31,95,14.0,,0.14,13.3
2017-09-01,34,38.0,False,0.38,12.92
2017-09-02,39,38.0,,0.38,14.82
2017-09-03,0,38.0,,0.38,0.0
2017-09-04,0,38.0,,0.38,0.0
2017-09-05,0,38.0,,0.38,0.0
2017-09-06,31,38.0,,0.38,11.78
2017-09-07,0,38.0,,0.38,0.0
2017-09-08,0,38.0,,0.38,0.0
2017-09-09,0,38.0,,0.38,0.0
2017-09-10,0,38.0,,0.38,0.0
2017-09-11,0,38.0,,0.38,0.0
2017-09-12,0,38.0,,0.38,0.0
2017-09-13,0,38.0,,0.38,0.0
2017-09-14,0,38.0,,0.38,0.0
2017-09-15,0,38.0,,0.38,0.0
2017-09-16,0,38.0,,0.38,0.0
2017-09-17,0,38.0,,0.38,0.0
2017-09-18,32,38.0,,0.38,12.16
2017-09-19,64,38.0,,0.38,24.32
2017-09-20,64,38.0,,0.38,24.32
2017-09-21,32,38.0,,0.38,12.16
2017-09-22,100,38.0,,0.38,38.0
2017-09-23,0,38.0,,0.38,0.0
2017-09-24,0,38.0,,0.38,0.0
2017-09-25,65,38.0,,0.38,24.7
2017-09-26,0,38.0,,0.38,0.0
2017-09-27,32,38.0,,0.38,12.16
2017-09-28,0,38.0,,0.38,0.0
2017-09-29,33,38.0,,0.38,12.540000000000001
2017-09-30,0,38.0,,0.38,0.0
2017-10-01,0,14.0,False,0.14,0.0
2017-10-02,0,14.0,,0.14,0.0
2017-10-03,81,14.0,,0.14,11.340000000000002
2017-10-04,0,14.0,,0.14,0.0
2017-10-05,83,14.0,,0.14,11.620000000000001
2017-10-06,0,14.0,,0.14,0.0
2017-10-07,0,14.0,,0.14,0.0
2017-10-08,96,14.0,,0.14,13.440000000000001
2017-10-09,81,14.0,,0.14,11.340000000000002
2017-10-10,0,14.0,,0.14,0.0
2017-10-11,0,14.0,,0.14,0.0
2017-10-12,0,14.0,,0.14,0.0
2017-10-13,0,14.0,,0.14,0.0
2017-10-14,0,14.0,,0.14,0.0
2017-10-15,0,14.0,,0.14,0.0
2017-10-16,0,14.0,,0.14,0.0
2017-10-17,0,14.0,,0.14,0.0
2017-10-18,82,14.0,,0.14,11.48
2017-10-19,0,14.0,,0.14,0.0
2017-10-20,0,14.0,,0.14,0.0
2017-10-21,0,14.0,,0.14,0.0
2017-10-22,0,14.0,,0.14,0.0
2017-10-23,0,14.0,,0.14,0.0
2017-10-24,0,14.0,,0.14,0.0
2017-10-25,0,14.0,,0.14,0.0
2017-10-26,0,14.0,,0.14,0.0
2017-10-27,0,14.0,,0.14,0.0
2017-10-28,100,14.0,,0.14,14.000000000000002
2017-10-29,0,14.0,,0.14,0.0
2017-10-30,0,14.0,,0.14,0.0
2017-10-31,0,14.0,,0.14,0.0
2017-11-01,0,30.0,False,0.3,0.0
2017-11-02,0,30.0,,0.3,0.0
2017-11-03,49,30.0,,0.3,14.7
2017-11-04,0,30.0,,0.3,0.0
2017-11-05,0,30.0,,0.3,0.0
2017-11-06,0,30.0,,0.3,0.0
2017-11-07,47,30.0,,0.3,14.1
2017-11-08,0,30.0,,0.3,0.0
2017-11-09,0,30.0,,0.3,0.0
2017-11-10,51,30.0,,0.3,15.299999999999999
2017-11-11,0,30.0,,0.3,0.0
2017-11-12,0,30.0,,0.3,0.0
2017-11-13,0,30.0,,0.3,0.0
2017-11-14,47,30.0,,0.3,14.1
2017-11-15,47,30.0,,0.3,14.1
2017-11-16,47,30.0,,0.3,14.1
2017-11-17,0,30.0,,0.3,0.0
2017-11-18,0,30.0,,0.3,0.0
2017-11-19,57,30.0,,0.3,17.099999999999998
2017-11-20,0,30.0,,0.3,0.0
2017-11-21,100,30.0,,0.3,30.0
2017-11-22,52,30.0,,0.3,15.6
2017-11-23,0,30.0,,0.3,0.0
2017-11-24,0,30.0,,0.3,0.0
2017-11-25,0,30.0,,0.3,0.0
2017-11-26,0,30.0,,0.3,0.0
2017-11-27,0,30.0,,0.3,0.0
2017-11-28,92,30.0,,0.3,27.599999999999998
2017-11-29,47,30.0,,0.3,14.1
2017-11-30,0,30.0,,0.3,0.0
2017-12-01,48,26.0,False,0.26,12.48
2017-12-02,58,26.0,,0.26,15.08
2017-12-03,0,26.0,,0.26,0.0
2017-12-04,0,26.0,,0.26,0.0
2017-12-05,0,26.0,,0.26,0.0
2017-12-06,0,26.0,,0.26,0.0
2017-12-07,48,26.0,,0.26,12.48
2017-12-08,0,26.0,,0.26,0.0
2017-12-09,0,26.0,,0.26,0.0
2017-12-10,57,26.0,,0.26,14.82
2017-12-11,47,26.0,,0.26,12.22
2017-12-12,0,26.0,,0.26,0.0
2017-12-13,47,26.0,,0.26,12.22
2017-12-14,0,26.0,,0.26,0.0
2017-12-15,0,26.0,,0.26,0.0
2017-12-16,0,26.0,,0.26,0.0
2017-12-17,0,26.0,,0.26,0.0
2017-12-18,0,26.0,,0.26,0.0
2017-12-19,100,26.0,,0.26,26.0
2017-12-20,0,26.0,,0.26,0.0
2017-12-21,53,26.0,,0.26,13.780000000000001
2017-12-22,0,26.0,,0.26,0.0
2017-12-23,0,26.0,,0.26,0.0
2017-12-24,63,26.0,,0.26,16.38
2017-12-25,0,26.0,,0.26,0.0
2017-12-26,0,26.0,,0.26,0.0
2017-12-27,0,26.0,,0.26,0.0
2017-12-28,0,26.0,,0.26,0.0
2017-12-29,0,26.0,,0.26,0.0
2017-12-30,58,26.0,,0.26,15.08
2017-12-31,0,26.0,,0.26,0.0
2018-01-01,0,16.0,False,0.16,0.0
2018-01-02,0,16.0,,0.16,0.0
2018-01-03,0,16.0,,0.16,0.0
2018-01-04,87,16.0,,0.16,13.92
2018-01-05,89,16.0,,0.16,14.24
2018-01-06,100,16.0,,0.16,16.0
2018-01-07,0,16.0,,0.16,0.0
2018-01-08,83,16.0,,0.16,13.280000000000001
2018-01-09,84,16.0,,0.16,13.44
2018-01-10,0,16.0,,0.16,0.0
2018-01-11,0,16.0,,0.16,0.0
2018-01-12,0,16.0,,0.16,0.0
2018-01-13,0,16.0,,0.16,0.0
2018-01-14,0,16.0,,0.16,0.0
2018-01-15,0,16.0,,0.16,0.0
2018-01-16,0,16.0,,0.16,0.0
2018-01-17,0,16.0,,0.16,0.0
2018-01-18,0,16.0,,0.16,0.0
2018-01-19,0,16.0,,0.16,0.0
2018-01-20,0,16.0,,0.16,0.0
2018-01-21,0,16.0,,0.16,0.0
2018-01-22,0,16.0,,0.16,0.0
2018-01-23,0,16.0,,0.16,0.0
2018-01-24,0,16.0,,0.16,0.0
2018-01-25,0,16.0,,0.16,0.0
2018-01-26,0,16.0,,0.16,0.0
2018-01-27,0,16.0,,0.16,0.0
2018-01-28,0,16.0,,0.16,0.0
2018-01-29,82,16.0,,0.16,13.120000000000001
2018-01-30,0,16.0,,0.16,0.0
2018-01-31,84,16.0,,0.16,13.44
2018-02-01,0,29.0,False,0.29,0.0
2018-02-02,35,29.0,,0.29,10.149999999999999
2018-02-03,0,29.0,,0.29,0.0
2018-02-04,0,29.0,,0.29,0.0
2018-02-05,32,29.0,,0.29,9.28
2018-02-06,0,29.0,,0.29,0.0
2018-02-07,0,29.0,,0.29,0.0
2018-02-08,67,29.0,,0.29,19.43
2018-02-09,0,29.0,,0.29,0.0
2018-02-10,0,29.0,,0.29,0.0
2018-02-11,0,29.0,,0.29,0.0
2018-02-12,66,29.0,,0.29,19.139999999999997
2018-02-13,0,29.0,,0.29,0.0
2018-02-14,0,29.0,,0.29,0.0
2018-02-15,34,29.0,,0.29,9.86
2018-02-16,0,29.0,,0.29,0.0
2018-02-17,0,29.0,,0.29,0.0
2018-02-18,0,29.0,,0.29,0.0
2018-02-19,0,29.0,,0.29,0.0
2018-02-20,0,29.0,,0.29,0.0
2018-02-21,34,29.0,,0.29,9.86
2018-02-22,0,29.0,,0.29,0.0
2018-02-23,0,29.0,,0.29,0.0
2018-02-24,0,29.0,,0.29,0.0
2018-02-25,0,29.0,,0.29,0.0
2018-02-26,33,29.0,,0.29,9.569999999999999
2018-02-27,100,29.0,,0.29,28.999999999999996
2018-02-28,0,29.0,,0.29,0.0
2018-03-01,0,29.0,False,0.29,0.0
2018-03-02,100,29.0,,0.29,28.999999999999996
2018-03-03,0,29.0,,0.29,0.0
2018-03-04,0,29.0,,0.29,0.0
2018-03-05,33,29.0,,0.29,9.569999999999999
2018-03-06,0,29.0,,0.29,0.0
2018-03-07,33,29.0,,0.29,9.569999999999999
2018-03-08,0,29.0,,0.29,0.0
2018-03-09,0,29.0,,0.29,0.0
2018-03-10,0,29.0,,0.29,0.0
2018-03-11,0,29.0,,0.29,0.0
2018-03-12,0,29.0,,0.29,0.0
2018-03-13,34,29.0,,0.29,9.86
2018-03-14,67,29.0,,0.29,19.43
2018-03-15,0,29.0,,0.29,0.0
2018-03-16,0,29.0,,0.29,0.0
2018-03-17,0,29.0,,0.29,0.0
2018-03-18,0,29.0,,0.29,0.0
2018-03-19,33,29.0,,0.29,9.569999999999999
2018-03-20,33,29.0,,0.29,9.569999999999999
2018-03-21,0,29.0,,0.29,0.0
2018-03-22,0,29.0,,0.29,0.0
2018-03-23,70,29.0,,0.29,20.299999999999997
2018-03-24,0,29.0,,0.29,0.0
2018-03-25,0,29.0,,0.29,0.0
2018-03-26,0,29.0,,0.29,0.0
2018-03-27,0,29.0,,0.29,0.0
2018-03-28,35,29.0,,0.29,10.149999999999999
2018-03-29,0,29.0,,0.29,0.0
2018-03-30,0,29.0,,0.29,0.0
2018-03-31,0,29.0,,0.29,0.0
2018-04-01,0,18.0,False,0.18,0.0
2018-04-02,0,18.0,,0.18,0.0
2018-04-03,0,18.0,,0.18,0.0
2018-04-04,49,18.0,,0.18,8.82
2018-04-05,100,18.0,,0.18,18.0
2018-04-06,0,18.0,,0.18,0.0
2018-04-07,0,18.0,,0.18,0.0
2018-04-08,0,18.0,,0.18,0.0
2018-04-09,49,18.0,,0.18,8.82
2018-04-10,0,18.0,,0.18,0.0
2018-04-11,0,18.0,,0.18,0.0
2018-04-12,0,18.0,,0.18,0.0
2018-04-13,0,18.0,,0.18,0.0
2018-04-14,0,18.0,,0.18,0.0
2018-04-15,0,18.0,,0.18,0.0
2018-04-16,47,18.0,,0.18,8.459999999999999
2018-04-17,0,18.0,,0.18,0.0
2018-04-18,0,18.0,,0.18,0.0
2018-04-19,0,18.0,,0.18,0.0
2018-04-20,50,18.0,,0.18,9.0
2018-04-21,0,18.0,,0.18,0.0
2018-04-22,0,18.0,,0.18,0.0
2018-04-23,47,18.0,,0.18,8.459999999999999
2018-04-24,0,18.0,,0.18,0.0
2018-04-25,47,18.0,,0.18,8.459999999999999
2018-04-26,0,18.0,,0.18,0.0
2018-04-27,0,18.0,,0.18,0.0
2018-04-28,0,18.0,,0.18,0.0
2018-04-29,0,18.0,,0.18,0.0
2018-04-30,0,18.0,,0.18,0.0
2018-05-01,0,16.0,False,0.16,0.0
2018-05-02,48,16.0,,0.16,7.68
2018-05-03,0,16.0,,0.16,0.0
2018-05-04,0,16.0,,0.16,0.0
2018-05-05,60,16.0,,0.16,9.6
2018-05-06,0,16.0,,0.16,0.0
2018-05-07,0,16.0,,0.16,0.0
2018-05-08,0,16.0,,0.16,0.0
2018-05-09,0,16.0,,0.16,0.0
2018-05-10,0,16.0,,0.16,0.0
2018-05-11,0,16.0,,0.16,0.0
2018-05-12,0,16.0,,0.16,0.0
2018-05-13,0,16.0,,0.16,0.0
2018-05-14,0,16.0,,0.16,0.0
2018-05-15,0,16.0,,0.16,0.0
2018-05-16,0,16.0,,0.16,0.0
2018-05-17,0,16.0,,0.16,0.0
2018-05-18,0,16.0,,0.16,0.0
2018-05-19,0,16.0,,0.16,0.0
2018-05-20,0,16.0,,0.16,0.0
2018-05-21,0,16.0,,0.16,0.0
2018-05-22,49,16.0,,0.16,7.84
2018-05-23,0,16.0,,0.16,0.0
2018-05-24,0,16.0,,0.16,0.0
2018-05-25,0,16.0,,0.16,0.0
2018-05-26,0,16.0,,0.16,0.0
2018-05-27,0,16.0,,0.16,0.0
2018-05-28,0,16.0,,0.16,0.0
2018-05-29,100,16.0,,0.16,16.0
2018-05-30,99,16.0,,0.16,15.84
2018-05-31,0,16.0,,0.16,0.0
2018-06-01,0,48.0,False,0.48,0.0
2018-06-02,0,48.0,,0.48,0.0
2018-06-03,0,48.0,,0.48,0.0
2018-06-04,33,48.0,,0.48,15.84
2018-06-05,33,48.0,,0.48,15.84
2018-06-06,100,48.0,,0.48,48.0
2018-06-07,34,48.0,,0.48,16.32
2018-06-08,34,48.0,,0.48,16.32
2018-06-09,0,48.0,,0.48,0.0
2018-06-10,0,48.0,,0.48,0.0
2018-06-11,32,48.0,,0.48,15.36
2018-06-12,31,48.0,,0.48,14.879999999999999
2018-06-13,32,48.0,,0.48,15.36
2018-06-14,0,48.0,,0.48,0.0
2018-06-15,0,48.0,,0.48,0.0
2018-06-16,0,48.0,,0.48,0.0
2018-06-17,0,48.0,,0.48,0.0
2018-06-18,0,48.0,,0.48,0.0
