date,INTC_unscaled,INTC_monthly,isPartial,scale,INTC
2016-12-18,7,26.0,,0.26,1.82
2016-12-19,41,26.0,,0.26,10.66
2016-12-20,60,26.0,,0.26,15.600000000000001
2016-12-21,57,26.0,,0.26,14.82
2016-12-22,38,26.0,,0.26,9.88
2016-12-23,59,26.0,,0.26,15.34
2016-12-24,11,26.0,,0.26,2.8600000000000003
2016-12-25,3,26.0,,0.26,0.78
2016-12-26,17,26.0,,0.26,4.42
2016-12-27,55,26.0,,0.26,14.3
2016-12-28,62,26.0,,0.26,16.12
2016-12-29,36,26.0,,0.26,9.36
2016-12-30,53,26.0,,0.26,13.780000000000001
2016-12-31,5,26.0,,0.26,1.3
2017-01-01,3,34.0,False,0.34,1.02
2017-01-02,12,34.0,,0.34,4.08
2017-01-03,23,34.0,,0.34,7.82
2017-01-04,29,34.0,,0.34,9.860000000000001
2017-01-05,31,34.0,,0.34,10.540000000000001
2017-01-06,28,34.0,,0.34,9.520000000000001
2017-01-07,3,34.0,,0.34,1.02
2017-01-08,2,34.0,,0.34,0.68
2017-01-09,26,34.0,,0.34,8.84
2017-01-10,20,34.0,,0.34,6.800000000000001
2017-01-11,22,34.0,,0.34,7.48
2017-01-12,27,34.0,,0.34,9.180000000000001
2017-01-13,17,34.0,,0.34,5.78
2017-01-14,5,34.0,,0.34,1.7000000000000002
2017-01-15,9,34.0,,0.34,3.06
2017-01-16,6,34.0,,0.34,2.04
2017-01-17,25,34.0,,0.34,8.5
2017-01-18,25,34.0,,0.34,8.5
2017-01-19,19,34.0,,0.34,6.460000000000001
2017-01-20,21,34.0,,0.34,7.140000000000001
2017-01-21,12,34.0,,0.34,4.08
2017-01-22,7,34.0,,0.34,2.3800000000000003
2017-01-23,26,34.0,,0.34,8.84
2017-01-24,43,34.0,,0.34,14.620000000000001
2017-01-25,56,34.0,,0.34,19.040000000000003
2017-01-26,100,34.0,,0.34,34.0
2017-01-27,73,34.0,,0.34,24.82
2017-01-28,26,34.0,,0.34,8.84
2017-01-29,6,34.0,,0.34,2.04
2017-01-30,34,34.0,,0.34,11.56
2017-01-31,35,34.0,,0.34,11.9
2017-02-01,67,35.0,False,0.35,23.45
2017-02-02,73,35.0,,0.35,25.549999999999997
2017-02-03,83,35.0,,0.35,29.049999999999997
2017-02-04,24,35.0,,0.35,8.399999999999999
2017-02-05,14,35.0,,0.35,4.8999999999999995
2017-02-06,88,35.0,,0.35,30.799999999999997
2017-02-07,79,35.0,,0.35,27.65
2017-02-08,98,35.0,,0.35,34.3
2017-02-09,99,35.0,,0.35,34.65
2017-02-10,100,35.0,,0.35,35.0
2017-02-11,29,35.0,,0.35,10.149999999999999
2017-02-12,22,35.0,,0.35,7.699999999999999
2017-02-13,78,35.0,,0.35,27.299999999999997
2017-02-14,66,35.0,,0.35,23.099999999999998
2017-02-15,75,35.0,,0.35,26.25
2017-02-16,74,35.0,,0.35,25.9
2017-02-17,55,35.0,,0.35,19.25
2017-02-18,14,35.0,,0.35,4.8999999999999995
2017-02-19,12,35.0,,0.35,4.199999999999999
2017-02-20,21,35.0,,0.35,7.35
2017-02-21,71,35.0,,0.35,24.849999999999998
2017-02-22,87,35.0,,0.35,30.45
2017-02-23,98,35.0,,0.35,34.3
2017-02-24,64,35.0,,0.35,22.4
2017-02-25,40,35.0,,0.35,14.0
2017-02-26,21,35.0,,0.35,7.35
2017-02-27,83,35.0,,0.35,29.049999999999997
2017-02-28,85,35.0,,0.35,29.749999999999996
2017-03-01,100,35.0,False,0.35,35.0
2017-03-02,59,35.0,,0.35,20.65
2017-03-03,48,35.0,,0.35,16.799999999999997
2017-03-04,15,35.0,,0.35,5.25
2017-03-05,6,35.0,,0.35,2.0999999999999996
2017-03-06,40,35.0,,0.35,14.0
2017-03-07,46,35.0,,0.35,16.099999999999998
2017-03-08,37,35.0,,0.35,12.95
2017-03-09,31,35.0,,0.35,10.85
2017-03-10,36,35.0,,0.35,12.6
2017-03-11,13,35.0,,0.35,4.55
2017-03-12,11,35.0,,0.35,3.8499999999999996
2017-03-13,83,35.0,,0.35,29.049999999999997
2017-03-14,65,35.0,,0.35,22.75
2017-03-15,55,35.0,,0.35,19.25
2017-03-16,47,35.0,,0.35,16.45
2017-03-17,39,35.0,,0.35,13.649999999999999
2017-03-18,15,35.0,,0.35,5.25
2017-03-19,9,35.0,,0.35,3.15
2017-03-20,50,35.0,,0.35,17.5
2017-03-21,38,35.0,,0.35,13.299999999999999
2017-03-22,50,35.0,,0.35,17.5
2017-03-23,29,35.0,,0.35,10.149999999999999
2017-03-24,40,35.0,,0.35,14.0
2017-03-25,14,35.0,,0.35,4.8999999999999995
2017-03-26,3,35.0,,0.35,1.0499999999999998
2017-03-27,34,35.0,,0.35,11.899999999999999
2017-03-28,43,35.0,,0.35,15.049999999999999
2017-03-29,44,35.0,,0.35,15.399999999999999
2017-03-30,33,35.0,,0.35,11.549999999999999
2017-03-31,42,35.0,,0.35,14.7
2017-04-01,14,35.0,False,0.35,4.8999999999999995
2017-04-02,6,35.0,,0.35,2.0999999999999996
2017-04-03,18,35.0,,0.35,6.3
